   akaṇṭakaṃ bhoktumanā Ram_2,84.13c	akaNwakam Boktu manAH Ram_2,84.13c
   pucchenordhvaṃ virājitaḥ Ram_3,40.15d	pucCena UrDvam virAjitaH Ram_3,40.15d
   puṇḍarīkanibhekṣaṇam Ram_2,93.26b	puNxarIka niBa IkzaNam Ram_2,93.26b
   puṇḍarīkaviśālākṣas Ram_2,81.2c	puNxarIka viSAla akzaH Ram_2,81.2c
   puṇḍarīkaviśālākṣau Ram_3,18.11c	puNxarIka viSAla akzO Ram_3,18.11c
   puṇḍarīkātha vāmanā Ram_2,85.44b	puNxarIkA aTa vAmanAH Ram_2,85.44b
   puṇyaś ca ramaṇīyaś ca Ram_2,48.20c	puNyaH ca ramaNIyaH ca Ram_2,48.20c
   puṇyaṃ vāsāya svanilayam upasaṃpede Ram_2,108.25d	puNyam vAsAya sva nilayam upasaMpede Ram_2,108.25d
   puṇyaḥ puṣpitakānanaḥ Ram_2,3.4b	puNyaH puzpita kAnanaH Ram_2,3.4b
   puṇyām ṛṣiniṣevitām Ram_2,44.2d	puNyAm Rzi nizevitAm Ram_2,44.2d
   puṇyāṃ rāmaniveśane Ram_2,93.23d	puNyAm rAma niveSane Ram_2,93.23d
   puṇyāṃ śaśinibhānanaḥ Ram_2,111.16b	puNyAm SaSi niBa AnanaH Ram_2,111.16b
   puṇye tapasi tiṣṭhataḥ Ram_3,8.15d	puNye tapasi tizWataH Ram_3,8.15d
   puṇyena svena karmaṇā Ram_2,110.12d	puNyena svena karmaNA Ram_2,110.12d
   puṇye ramye vanāntare Ram_3,33.36d	puNye ramye vana antare Ram_3,33.36d
   puṇyaiś ca niyatāhāraiḥ Ram_3,1.7c	puNyEH ca niyata AhArEH Ram_3,1.7c
   puṇyaiḥ svāduphalair vṛtam Ram_3,1.5b	puNyEH svAdu PalEH vRtam Ram_3,1.5b
   puṇyodyānā yaśasvinī Ram_2,65.15b	puNya udyAnA yaSasvinI Ram_2,65.15b
   puṇyo ramyas tathaiva ca Ram_3,12.19d	puNyaH ramyaH taTA eva ca Ram_3,12.19d
   putra tvāṃ saṃśrayiṣyati Ram_2,4.41d	putra tvAm saMSrayizyati Ram_2,4.41d
   putradāraiḥ samāvṛtāḥ Ram_2,42.2b	putra dArEH samAvRtAH Ram_2,42.2b
   putra bhrātari gacchati Ram_2,35.5d	putra BrAtari gacCati Ram_2,35.5d
   putra mā gaccha sarvathā Ram_2,31.27b	putra mA gacCa sarvaTA Ram_2,31.27b
   putrarājyam avāpnuyāt Ram_2,46.53d	putra rAjyam avApnuyAt Ram_2,46.53d
   putrarājyāya vartate Ram_2,20.18d	putra rAjyAya vartate Ram_2,20.18d
   putra vakṣyāmi te hitam Ram_2,3.25d	putra vakzyAmi te hitam Ram_2,3.25d
   putravat paripālane Ram_2,20.21d	putra vat paripAlane Ram_2,20.21d
   putravat pratyapadyata Ram_2,109.5d	putra vat pratyapadyate Ram_2,109.5d
   putra vā hy ekaputrāyāḥ Ram_2,81.10c	putra vA hi eka putrAyAH Ram_2,81.10c
   putravyasanajaṃ duḥkhaṃ Ram_2,58.46a	putra vyasana jam duHKam Ram_2,58.46a
   putravyasanajaṃ bhayam Ram_2,58.10d	putra vyasana jam Bayam Ram_2,58.10d
   putra vyādhir na te kaccic Ram_2,81.8a	putra vyADiH na te kaccit Ram_2,81.8a
   putraśokaparidyūnam Ram_2,51.20c	putra Soka paridyUnam Ram_2,51.20c
   putraśokaparidyūnaḥ Ram_2,66.43c	putra Soka paridyUnaH Ram_2,66.43c
   putraśokabhayārditam Ram_2,58.28d	putra Soka Baya arditam Ram_2,58.28d
   putraśokākulām iva Ram_2,46.31d	putra Soka AkulAm iva Ram_2,46.31d
   putraśokābhipīḍitaḥ Ram_2,97.5d	putra Soka aBipIxitaH Ram_2,97.5d
   putraśokābhipīḍite Ram_2,67.5b	putra Soka aBipIxite Ram_2,67.5b
   putraśokābhisaṃtaptaḥ Ram_2,36.8c	putra Soka aBisaMtaptaH Ram_2,36.8c
   putraśokārtayā tat tu Ram_2,56.11c	putra Soka ArtayA tat tu Ram_2,56.11c
   putraśokārditaṃ pāpā Ram_2,12.1a	putra Soka arditam pApAH Ram_2,12.1a
   putraśokena pārthivaḥ Ram_2,21.19b	putra Sokena pArTivaH Ram_2,21.19b
   putraśokena pārthive Ram_2,61.4d	putra Sokena pArTive Ram_2,61.4d
   putras tasya mahātmanaḥ Ram_3,71. 24b	putraH tasya mahAtmanaH Ram_3,71. 24b
   putras te varadaḥ kṣipram Ram_2,39.15a	putraH te vara daH kzipram Ram_2,39.15a
   putrasnehena lālitaḥ Ram_2,1.6d	putra snehena lAlitaH Ram_2,1.6d
   putraṃ kṛtvā prajāhite Ram_2,2.8b	putram kRtvA prajA hite Ram_2,2.8b
   putraṃ paścimadarśanam Ram_2,58.22d	putram paScima darSanam Ram_2,58.22d
   putraṃ putravatāṃ varaḥ Ram_2,3.22b	putram putravatAm varaH Ram_2,3.22b
   putraṃ prathamajaṃ labdhvā Ram_2,42.4c	putram praTama jam labDvA Ram_2,42.4c
   putraṃ me vanavāsinam Ram_2,69.7b	putram me vana vAsinam Ram_2,69.7b
   putraṃ rāmam ihārhasi Ram_2,12.13d	putram rAmam iha arhasi Ram_2,12.13d
   putraṃ śaraṇam āgatā Ram_2,72.19d	putram SaraNam AgatAH Ram_2,72.19d
   putraṃ saṃcintya tāpasam Ram_2,37.11d	putram saMcintya tApasam Ram_2,37.11d
   putraḥ kila jayasyāhaṃ Ram_3,3.5a	putraH kila jayasya aham Ram_3,3.5a
   putraḥ ko hṛdaye kuryād Ram_2,18.7c	putraH kaH hRdaye kuryAt Ram_2,18.7c
   putraḥ paramadhārmikaḥ Ram_2,102.27d	putraH parama DArmikaH Ram_2,102.27d
   putraḥ pravrājito mama Ram_2,34.21b	putraH pravrAjitaH mama Ram_2,34.21b
   putraḥ pravrājito vanam Ram_2,71.7b	putraH pravrAjitaH vanam Ram_2,71.7b
   putraḥ prāpsyati kevalam Ram_2,9.5d	putraH prApsyati kevalam Ram_2,9.5d
   putraḥ sadṛśalakṣaṇaḥ Ram_2,45.11d	putraH sadRSa lakzaNaH Ram_2,45.11d
   putraḥ sadṛśalakṣaṇaḥ Ram_2,80.12d	putraH sadRSa lakzaNaH Ram_2,80.12d
   putraḥ sa puruṣottamaḥ Ram_2,39.2b	putraH sa puruzottamaH Ram_2,39.2b
   putrārthe dīrghadarśinī Ram_3,2.18b	putra arTe dIrGadarSinI Ram_3,2.18b
   putrāṃs trailokyabhartṝn vai Ram_3,13.13a	putrAn trElokya BartLn vE Ram_3,13.13a
   putreṇa kim aputrāyā Ram_2,47.23c	putreNa kim aputrAyAH Ram_2,47.23c
   putreṣv agniṣu dāreṣu Ram_2,2.26a	putrezu agnizu dArezu Ram_2,2.26a
   putrair api śapāmahe Ram_2,42.20d	putrEH api SapAmahe Ram_2,42.20d
   putrair dāraiś ca bhṛtyaiś ca Ram_2,69.23a	putrEH dArEH ca BRtyEH ca Ram_2,69.23a
   putrair vā kiṃ sukhair vāpi Ram_2,42.6c	putrEH vA kim suKEH vA api Ram_2,42.6c
   putro daśarathasya ca Ram_2,42.13d	putraH daSaraTasya ca Ram_2,42.13d
   putro daśarathasyāyaṃ Ram_2,46.68a	putraH daSaraTasya ayam Ram_2,46.68a
   putro yaḥ sādhu manyate Ram_2,98.53b	putraH yaH sADu manyate Ram_2,98.53b
   putro rājādhirājasya Ram_2,63.2c	putraH rAja aDirAjasya Ram_2,63.2c
   putro vasati putraka Ram_2,1.2b	putraH vasati putrakaH Ram_2,1.2b
   putro viśravasaḥ sākṣād Ram_3,64.16a	putraH viSravasaH sAkzAt Ram_3,64.16a
   putrau tau saha sītayā Ram_2,55.3b	putrO tO saha sItayA Ram_2,55.3b
   putrau daśarathasyāvāṃ Ram_2,48.12c	putrO daSaraTasya AvAm Ram_2,48.12c
   putrau daśarathasyāvāṃ Ram_3,19.7a	putrO daSaraTasya AvAm Ram_3,19.7a
   putrau daśarathasyemau Ram_3,11.7a	putrO daSaraTasya imO Ram_3,11.7a
   putrau vigatacetasau Ram_2,68.15d	putrO vigata cetasO Ram_2,68.15d
   punar apy aham eṣyāmi Ram_2,64.13c	punar api aham ezyAmi Ram_2,64.13c
   punar ākārayāmāsa Ram_2,11.2c	punar AkArayAmAsa Ram_2,11.2c
   punarāgamanāya ca Ram_2,31.26b	punar AgamanAya ca Ram_2,31.26b
   punar eva tato 'bravīt Ram_3,11.28d	punar eva tatas abravIt Ram_3,11.28d
   punar eva nivartate Ram_3,40.24b	punar eva nivartate Ram_3,40.24b
   punar eva nivartane Ram_2,19.13d	punar eva nivartane Ram_2,19.13d
   punar eva niṣīdati Ram_3,40.23b	punar eva nizIdati Ram_3,40.23b
   punar eva praśaṃsitaḥ Ram_3,21.7b	punar eva praSaMsitaH Ram_3,21.7b
   punar evaṃ bruvāṇaṃ tu Ram_2,99.1a	punar evam bruvANam tu Ram_2,99.1a
   punar evājagāma ha Ram_3,10.26d	punar eva AjagAma ha Ram_3,10.26d
   punar evāparaṃ vacaḥ Ram_2,103.1d	punar eva aparam vacaH Ram_2,103.1d
   punar evābravīd idam Ram_2,7.28d	punar eva abravIt idam Ram_2,7.28d
   punar evābravīd vacaḥ Ram_2,68.1d	punar eva abravIt vacaH Ram_2,68.1d
   punar evābravīd vacaḥ Ram_3,4. 29d	punar eva abravIt vacaH Ram_3,4. 29d
   punar evābravīd vākyaṃ Ram_2,79.11c	punar eva abravIt vAkyam Ram_2,79.11c
   punar evābhyavartata Ram_3,50.25d	punar eva aByavartate Ram_3,50.25d
   punar evāśramaṃ mama Ram_3,7.16d	punar eva ASramam mama Ram_3,7.16d
   punar eṣyāmy ahaṃ purīm Ram_2,18.38f	punar ezyAmi aham purIm Ram_2,18.38f
   punar gatvā tv ayodhyāyāṃ Ram_3,8.24c	punar gatvA tu ayoDyAyAm Ram_3,8.24c
   punar gatvā nivṛttaś ca Ram_3,40.22a	punar gatvA nivRttaH ca Ram_3,40.22a
   punar draṣṭuṃ nareśvaram Ram_2,4.8d	punar drazwum nareSvaram Ram_2,4.8d
   punar nivṛttā vistīrṇā Ram_2,105.20c	punar nivRttAH vistIrNAH Ram_2,105.20c
   punar niveśyaiva camūṃ mahātmā Ram_2,92.15d	punar niveSya eva camUm mahAtmA Ram_2,92.15d
   punar novāca kiṃcana Ram_2,93.37d	punar na uvAca kiMcana Ram_2,93.37d
   punar novāca kiṃcana Ram_3,54.20d	punar na uvAca kiMcana Ram_3,54.20d
   punar bālyam upeyuṣaḥ Ram_2,18.7b	punar bAlyam upeyuzaH Ram_2,18.7b
   punas teṣāṃ ca rakṣasām Ram_3,24.28d	punar tezAm ca rakzasAm Ram_3,24.28d
   punaḥ pariṣvajya śaśiprabhānanā Ram_3,49.40c	punar parizvajya SaSi praBA AnanAH Ram_3,49.40c
   punaḥ punar adhaḥśirāḥ Ram_2,63.10b	punar punar aDaHSirAH Ram_2,63.10b
   punaḥ punar uvāca tam Ram_2,46.14d	punar punar uvAca tam Ram_2,46.14d
   punaḥ punaś cāpi nipīḍya sasvaje Ram_2,22.19d	punar punar ca api nipIxya sasvaje Ram_2,22.19d
   punaḥ pratinivartate Ram_3,40.22d	punar pratinivartate Ram_3,40.22d
   punaḥ pratyāgamiṣyati Ram_2,46.69d	punar pratyAgamizyati Ram_2,46.69d
   punaḥ prahasitā sītā Ram_3,56.10c	punar prahasitA sItA Ram_3,56.10c
   punaḥ priyāyāḥ paramaṃ pariśramam Ram_3,58.35d	punar priyAyAH paramam pariSramam Ram_3,58.35d
   punaḥ śabdāpayed iti Ram_2,53.3d	punar SabdApayet iti Ram_2,53.3d
   punaḥ saṃdarśane 'bhavat Ram_3,42.3d	punar saMdarSane aBavat Ram_3,42.3d
   punaḥ sāntvaiś ca maithilīm Ram_3,54.28b	punar sAntvEH ca mETilIm Ram_3,54.28b
   pumān yo rāghavaṃ raṇe Ram_3,57.13d	pumAn yaH rAGavam raNe Ram_3,57.13d
   puratas te pratasthire Ram_2,74.3d	puratas te pratasTire Ram_2,74.3d
   purapradhānaiś ca sahaiva sainikaiḥ Ram_2,96.26b	pura praDAnEH ca saha eva sEnikEH Ram_2,96.26b
   puram āsīn mahāsvanam Ram_2,35.16d	puram AsIt mahA svanam Ram_2,35.16d
   puravaryām itaḥ kṣipram Ram_2,103.18c	pura varyAm itas kzipram Ram_2,103.18c
   puraskṛtya gamiṣyāmi Ram_2,73.10c	puraskRtya gamizyAmi Ram_2,73.10c
   puraskṛtya rathe sītāṃ Ram_2,38.12c	puraskRtya raTe sItAm Ram_2,38.12c
   purastāt tāpasāśrame Ram_2,108.2b	purastAt tApasa ASrame Ram_2,108.2b
   purastāt puṣpitadrumaḥ Ram_3,69.24b	purastAt puzpita drumaH Ram_3,69.24b
   purastāt sampratasthire Ram_2,74.5d	purastAt sampratasTire Ram_2,74.5d
   purastād iha vātāpiḥ Ram_3,41.39a	purastAt iha vAtApiH Ram_3,41.39a
   puraṃ ca rāṣṭraṃ ca mahī ca kevalā Ram_2,31.33a	puram ca rAzwram ca mahI ca kevalAH Ram_2,31.33a
   puraṃ tadāsīt punar eva saṃkulam Ram_2,51.30d	puram tadA AsIt punar eva saMkulam Ram_2,51.30d
   puraṃdarasamo vīrye Ram_2,2.9c	puraMdara samaH vIrye Ram_2,2.9c
   puraṃdareṇeva mahī saparvatā Ram_2,36.17b	puraMdareNa iva mahI sa parvatA Ram_2,36.17b
   puraṃ praviśyāśruparītanetrā Ram_2,70.23c	puram praviSya aSru parIta netrAH Ram_2,70.23c
   puraṃ yatra timidhvajaḥ Ram_2,9.10d	puram yatra timiDvajaH Ram_2,9.10d
   puraṃ rājagṛhaṃ gatvā Ram_2,62.6a	puram rAjagRham gatvA Ram_2,62.6a
   puraṃ saṃpadyatāṃ vanam Ram_2,30.19d	puram saMpadyatAm vanam Ram_2,30.19d
   puraḥsaraiḥ svastikasūtamāgadhaiḥ Ram_2,14.26b	puraHsarEH svastika sUta mAgaDEH Ram_2,14.26b
   purā kila mahābāho Ram_3,8.13a	purA kila mahA bAho Ram_3,8.13a
   purāṇāśramam evāhaṃ Ram_2,108.20c	purANa ASramam eva aham Ram_2,108.20c
   purāṇe satyasaṃśrayaḥ Ram_3,48.3b	purANe satya saMSrayaH Ram_3,48.3b
   purāṇair munibhir vṛtam Ram_3,1.7b	purANEH muniBiH vRtam Ram_3,1.7b
   purā tāta pravartate Ram_2,108.21b	purA tAta pravartate Ram_2,108.21b
   purā dattau mahāvarau Ram_2,23.20d	purA dattO mahA varO Ram_2,23.20d
   purād asmād abhitvaran Ram_2,16.42b	purAt asmAt aBitvaran Ram_2,16.42b
   purā devāsure yuddhe Ram_2,16.21a	purA devAsure yudDe Ram_2,16.21a
   purā pitṛgṛhe satyaṃ Ram_2,26.6c	purA pitR gRhe satyam Ram_2,26.6c
   purā prekṣya suvṛttaṃ māṃ Ram_2,95.17a	purA prekzya su vRttam mAm Ram_2,95.17a
   purā bhavati no dūrād Ram_2,42.14a	purA Bavati naH dUrAt Ram_2,42.14a
   purā bhūtvā mṛdur dāntaḥ Ram_3,61.4a	purA BUtvA mRduH dAntaH Ram_3,61.4a
   purā bhrātaḥ pitā naḥ sa Ram_2,99.3a	purA BrAtar pitA naH saH Ram_2,99.3a
   purā rāma mahābāho Ram_3,67.1a	purA rAma mahA bAho Ram_3,67.1a
   purālayair jānapadaiś ca mānavaiḥ Ram_2,1.37b	purA AlayEH jAnapadEH ca mAnavEH Ram_2,1.37b
   purā viṣṇur divaukasām Ram_3,11.32d	purA vizNuH divOkasAm Ram_3,11.32d
   purā vīra kadaryayā Ram_2,38.16b	purA vIra kadaryayA Ram_2,38.16b
   purā vai kāraṇāntare Ram_3,67.31d	purA vE kAraNa antare Ram_3,67.31d
   purā śakrasya naḥ śrutāḥ Ram_3,4. 11d	purA Sakrasya naH SrutAH Ram_3,4. 11d
   purāsīt savanārṇavā Ram_3,13.16b	purA AsIt sa vana arNavAH Ram_3,13.16b
   purā svayambhuve dhīraḥ Ram_3,30.17c	purA svayamBuve DIraH Ram_3,30.17c
   purī nārājatāyodhyā Ram_2,60.16c	purI na arAjata ayoDyAH Ram_2,60.16c
   purī paramapīḍitā Ram_2,35.17b	purI parama pIxitA Ram_2,35.17b
   purī babhāse rahitā mahātmanā Ram_2,60.18c	purI baBAse rahitAH mahAtmanA Ram_2,60.18c
   purīṃ jānapadā janāḥ Ram_2,6.26d	purIm jAnapadAH janAH Ram_2,6.26d
   purīṃ bhogavatīṃ gatvā Ram_3,30.13a	purIm BogavatIm gatvA Ram_3,30.13a
   purīṃ vīraḥ pravekṣyati Ram_2,38.12b	purIm vIraH pravekzyati Ram_2,38.12b
   purīṃ vyathitasajjanām Ram_2,41.33d	purIm vyaTita sat janAm Ram_2,41.33d
   puruṣasyeha jātasya Ram_2,103.2a	puruzasya iha jAtasya Ram_2,103.2a
   puruṣaṃ puruṣarṣabha Ram_2,103.3b	puruzam puruza RzaBaH Ram_2,103.3b
   puruṣaṃ prārthayanti hi Ram_2,101.22b	puruzam prArTayanti hi Ram_2,101.22b
   puruṣaḥ so 'vasīdati Ram_2,20.12d	puruzaH saH avasIdati Ram_2,20.12d
   puruṣāṇāṃ mayi sthite Ram_2,20.30d	puruzANAm mayi sTite Ram_2,20.30d
   puruṣāṇāṃ mahāyaśāḥ Ram_2,40.3b	puruzANAm mahA yaSAH Ram_2,40.3b
   puruṣādaṃ mahāsvanam Ram_3,2.4d	puruzAdam mahA svanam Ram_3,2.4d
   puruṣāntarakovidaḥ Ram_2,1.20b	puruza antara kovidaH Ram_2,1.20b
   puruṣā yantrakovidāḥ Ram_2,74.2b	puruzAH yantra kovidAH Ram_2,74.2b
   puruṣāḥ karma kutsitam Ram_3,51.7b	puruzAH karma kutsitam Ram_3,51.7b
   puruṣāḥ śastrapāṇayaḥ Ram_2,87.21b	puruzAH Sastra pANayaH Ram_2,87.21b
   puruṣeṇa vipaścitā Ram_3,23.10d	puruzeNa vipaScitAH Ram_3,23.10d
   puruṣeṇa vivardhitaḥ Ram_2,98.8b	puruzeNa vivarDitaH Ram_2,98.8b
   puruṣeṇeha kenacit Ram_2,46.9b	puruzeNa iha kenacid Ram_2,46.9b
   puruṣe puṣkarekṣaṇe Ram_2,4.41b	puruze puzkara IkzaNe Ram_2,4.41b
   puruṣair akṛtātmabhiḥ Ram_2,26.10d	puruzEH akRtAtmaBiH Ram_2,26.10d
   puruṣo 'yam anīśvaraḥ Ram_2,98.15b	puruzaH ayam anISvaraH Ram_2,98.15b
   purūravasam urvaśī Ram_3,46.18d	purUravasam urvaSI Ram_3,46.18d
   pure rājagṛhe ramye Ram_2,61.6c	pure rAja gRhe ramye Ram_2,61.6c
   pure rājagṛhe sukhī Ram_2,62.2b	pure rAja gRhe suKI Ram_2,62.2b
   pureva me cārudatīm aninditāṃ Ram_3,60.52a	purA iva me cArudatIm aninditAm Ram_3,60.52a
   purodhāya purohitam Ram_2,84.2d	puroDAya purohitam Ram_2,84.2d
   purohitaś ca tat pūrvaṃ Ram_2,83.14a	purohitaH ca tat pUrvam Ram_2,83.14a
   purohitas tvā kuśalaṃ Ram_2,64.3a	purohitaH tvA kuSalam Ram_2,64.3a
   purohitas tvāṃ kuśalaṃ Ram_2,62.7a	purohitaH tvAm kuSalam Ram_2,62.7a
   purohitasyāgnisamasya tasya vai Ram_2,96.25a	purohitasya agni samasya tasya vE Ram_2,96.25a
   purohitaṃ ca kuśalaṃ Ram_2,64.16a	purohitam ca kuSalam Ram_2,64.16a
   purohitaṃ samāhūya Ram_2,5.1c	purohitam samAhUya Ram_2,5.1c
   pulastyaś cāṅgirāś caiva Ram_3,13.8c	pulastyaH ca aFgirAH ca eva Ram_3,13.8c
   puṣkarāṇi ca bhāmini Ram_2,89.14d	puzkarANi ca BAmini Ram_2,89.14d
   puṣpakaṃ nāma suśroṇi Ram_3,53.29a	puzpakam nAma suSroNi Ram_3,53.29a
   puṣpagulmalatopetais Ram_3,14.17c	puzpa gulma latA upetEH Ram_3,14.17c
   puṣpadhvajavatīḥ pūrṇāḥ Ram_2,85.63a	puzpa DvajavatIH pUrNAH Ram_2,85.63a
   puṣpanaddhāṃ vasantānte Ram_2,106.12a	puzpa nadDAm vasanta ante Ram_2,106.12a
   puṣpabhāreṇa ca drumāḥ Ram_3,10.46d	puzpa BAreNa ca drumAH Ram_3,10.46d
   puṣpamārgam apaśyatām Ram_3,60.15d	puzpa mArgam apaSyatAm Ram_3,60.15d
   puṣpavadbhiḥ phalopetaiś Ram_2,88.10a	puzpavadBiH Pala upetEH Ram_2,88.10a
   puṣpavṛṣṭiḥ samantataḥ Ram_3,50.24b	puzpa vRzwiH samantataH Ram_3,50.24b
   puṣpavṛṣṭiḥ samantataḥ Ram_3,50.25b	puzpa vRzwiH samantataH Ram_3,50.25b
   puṣpasaṃcayacitreṣu Ram_2,82.6a	puzpa saMcaya citrezu Ram_2,82.6a
   puṣpasaṃstarasaṃkaṭe Ram_2,50.9d	puzpa saMstara saMkawe Ram_2,50.9d
   puṣpaṃ dṛṣṭvā phale gṛdhnuḥ Ram_2,57.6c	puzpam dRzwvA Pale gRDnuH Ram_2,57.6c
   puṣpāṇi ca tamālasya Ram_3,33.23a	puzpANi ca tamAlasya Ram_3,33.23a
   puṣpāṇi ca phalāni ca Ram_2,27.15d	puzpANi ca PalAni ca Ram_2,27.15d
   puṣpāṇi ca phalāni ca Ram_2,42.11d	puzpANi ca PalAni ca Ram_2,42.11d
   puṣpāṇy avacitāni ca Ram_2,93.5d	puzpANi avacitAni ca Ram_2,93.5d
   puṣpārkaketakābhāś ca Ram_2,88.6a	puzpa arka ketaka ABAH ca Ram_2,88.6a
   puṣpitadrumasaṃchannā Ram_2,86.11c	puzpita druma saMCannAH Ram_2,86.11c
   puṣpitāgrāṇi madhyena Ram_2,92.12c	puzpita agrANi maDyena Ram_2,92.12c
   puṣpitāgro yathā drumaḥ Ram_2,95.9d	puzpita agraH yaTA drumaH Ram_2,95.9d
   puṣpitāni vanāni ca Ram_2,43.3b	puzpitAni vanAni ca Ram_2,43.3b
   puṣpitāni vanāni ca Ram_3,7.13b	puzpitAni vanAni ca Ram_3,7.13b
   puṣpitān puṣpitāgrābhir Ram_3,10.73a	puzpitAn puzpita agrABiH Ram_3,10.73a
   puṣpitāmravaṇopetāṃ Ram_3,71. 19c	puzpita AmravaNa upetAm Ram_3,71. 19c
   puṣpitais tarubhir vṛtaḥ Ram_3,14.10b	puzpitEH taruBiH vRtaH Ram_3,14.10b
   puṣpitais tarubhir vṛtā Ram_3,14.12d	puzpitEH taruBiH vRtAH Ram_3,14.12d
   puṣpitaiḥ karavīraiś ca Ram_3,71. 21c	puzpitEH karavIrEH ca Ram_3,71. 21c
   puṣpair iva śarair yasya Ram_3,26.12c	puzpEH iva SarEH yasya Ram_3,26.12c
   puṣpair vanyaiś ca rāghavam Ram_3,1.21b	puzpEH vanyEH ca rAGavam Ram_3,1.21b
   puṣpair vanyaiḥ parikṣiptaṃ Ram_3,1.6a	puzpEH vanyEH parikziptam Ram_3,1.6a
   puṣpaiś cānyaiś ca rāghavam Ram_3,11.28b	puzpEH ca anyEH ca rAGavam Ram_3,11.28b
   puṣpopahāraṃ kurvanti Ram_3,10.50c	puzpa upahAram kurvanti Ram_3,10.50c
   puṣpopahāraṃ kurvanti Ram_3,70.19c	puzpa upahAram kurvanti Ram_3,70.19c
   puṣyanītā himāruṇāḥ Ram_3,15.12b	puzya nItAH hima aruNAH Ram_3,15.12b
   puṣyāt pūrvaṃ punar vasum Ram_2,4.21b	puzyAt pUrvam punar vasum Ram_2,4.21b
   puṣye cābhyāgate 'hani Ram_2,13.3b	puzye ca aByAgate ahani Ram_2,13.3b
   puṃnāgaiś ca supuṣpitaiḥ Ram_3,71. 21d	puMnAgEH ca su puzpitEH Ram_3,71. 21d
   puṃnāgaiś copaśobhitāḥ Ram_3,14.16d	puMnAgEH ca upaSoBitAH Ram_3,14.16d
   puṃnāmnā narakād yasmāt Ram_2,99.12a	puMnAmnA narakAt yasmAt Ram_2,99.12a
   pūjanīyaś ca mānyaś ca Ram_3,1.17c	pUjanIyaH ca mAnyaH ca Ram_3,1.17c
   pūjanīyaś ca mānyaś ca Ram_3,11.27c	pUjanIyaH ca mAnyaH ca Ram_3,11.27c
   pūjanīyaś ca mānyaś ca Ram_3,64.26c	pUjanIyaH ca mAnyaH ca Ram_3,64.26c
   pūjayāmāsatus tadā Ram_2,1.11d	pUjayAmAsatuH tadA Ram_2,1.11d
   pūjayāmāsa maithilī Ram_3,44.31f	pUjayAmAsa mETilI Ram_3,44.31f
   pūjayāmāsa rāghavaḥ Ram_3,13.4b	pUjayAmAsa rAGavaH Ram_3,13.4b
   pūjayitvā yathākāmaṃ Ram_3,11.28c	pUjayitvA yaTAkAmam Ram_3,11.28c
   pūjitaṃ copanṛttaṃ ca Ram_3,1.3c	pUjitam ca upanRttam ca Ram_3,1.3c
   pūjitaṃ puruṣavyāghra Ram_2,97.13c	pUjitam puruza vyAGra Ram_2,97.13c
   pūjitāś cāpi te vayam Ram_2,83.7b	pUjitAH ca api te vayam Ram_2,83.7b
   pūjyamānaṃ mahātmabhiḥ Ram_3,4. 6d	pUjyamAnam mahAtmaBiH Ram_3,4. 6d
   pūjyamāno maharṣibhiḥ Ram_3,10.22b	pUjyamAnaH mahA RziBiH Ram_3,10.22b
   pūjyamāno maharṣibhiḥ Ram_3,29.34b	pUjyamAnaH mahA RziBiH Ram_3,29.34b
   pūjyās te matkṛte devi Ram_2,21.22a	pUjyAH te mad kRte devi Ram_2,21.22a
   pūrayāmāsa tad vanam Ram_3,23.21d	pUrayAmAsa tat vanam Ram_3,23.21d
   pūrayāmāsa taṃ dṛṣṭvā Ram_3,27.6c	pUrayAmAsa tam dRzwvA Ram_3,27.6c
   pūrayāmāsa vīryavān Ram_2,110.46d	pUrayAmAsa vIryavAn Ram_2,110.46d
   pūrayāmāsa sāyakaiḥ Ram_3,25.15b	pUrayAmAsa sAyakEH Ram_3,25.15b
   pūrṇacandra iva priyaḥ Ram_2,40.3d	pUrNa candraH iva priyaH Ram_2,40.3d
   pūrṇacandranibhānanām Ram_2,95.18d	pUrNa candra niBa AnanAm Ram_2,95.18d
   pūrṇacandranibhānanām Ram_3,32.19b	pUrNa candra niBa AnanAm Ram_3,32.19b
   pūrṇacandranibhānanām Ram_3,44.11b	pUrNa candra niBa AnanAm Ram_3,44.11b
   pūrṇacandrapratīkāśaṃ Ram_3,49.14e	pUrNa candra pratIkASam Ram_3,49.14e
   pūrṇacandrānanaṃ vīraṃ Ram_3,45.31a	pUrNa candra Ananam vIram Ram_3,45.31a
   pūrṇacandrāṃ niśām iva Ram_2,76.1d	pUrNa candrAm niSAm iva Ram_2,76.1d
   pūrṇacandreva śarvarī Ram_2,76.2d	pUrNa candrA iva SarvarI Ram_2,76.2d
   pūrṇacandropamaprabham Ram_2,54.14b	pUrNa candra upama praBam Ram_2,54.14b
   pūrṇamuktair ajihmagaiḥ Ram_3,49.9b	pUrNa muktEH ajihma gEH Ram_3,49.9b
   pūrṇaṃ paramavāriṇā Ram_2,58.2b	pUrNam parama vAriNA Ram_2,58.2b
   pūrṇāḥ paramavāriṇā Ram_2,13.7f	pUrNAH parama vAriNA Ram_2,13.7f
   pūrvakāle mahābāho Ram_3,13.6a	pUrva kAle mahA bAho Ram_3,13.6a
   pūrvakāle vinirmitaḥ Ram_3,69.24f	pUrva kAle vinirmitaH Ram_3,69.24f
   pūrvajenāvaraḥ putro Ram_2,102.30c	pUrvajena avaraH putraH Ram_2,102.30c
