   śrī bhakti sandarbhaḥ	SrI  Bakti sandarBaH
   sad guṇa maṇi bhūṣite sarva hita paryavasāyi caryāmṛte śrī puruṣottame	sad guNa maNi  BUzite sarva hita paryavasAyi caryAm Rte SrI  puruzottame
   tat 	tat 
   priya jane vā prītiṃ na kurvīta | tad dveṣa kāraṇaṃ tu sutarām evāsmad 	priya jane vA prItim na kurvIta | tad  dveza  kAraNam tu sutarAm eva asmad  
   buddhi paddhatim atītam | tasmād brahmādi sthāvara paryantā aduṣṭā	budDi padDatim atItam | tasmAt brahma Adi sTAvara  paryantA aduzwA
   duṣṭāś ca tasmin bāḍhaṃ rajyanta eveti | tad uktaṃ śrī śukena   	duzwAH ca tasmin bAXam rajyantaH eva iti | tat uktam SrI Sukena   
   govinda bhuja guptāyāṃ dvāravatyāṃ kurūdvaha |	govinda  Buja  guptAyAm dvAravatyAm kuru udvaha |
   avātsīn nārado'bhīkṣṇaṃkṛṣṇopāsana lālasaḥ ||	avAtsIt nAradaH aBIkzNaMkRzNa upAsana  lAlasaH ||
   ko nu rājann indriya vān mukunda caraṇāmbujam |	kaH nu rAjan indriya vAn mukunda  caraNa ambujam |
   na bhajet sarvato mṛtyur upāsyan amarottamaiḥ || [BhP 11.2.1 2] iti |	na Bajet sarvatas  mRtyuH upAsyan amara uttamEH || [Bhj 11.2.1 2] iti |
   atha bhagavad dharmācaraṇa rūpeṇa kāyikena kiñcin mānasena ca liṅgena	aTa Bagavat  Darma AcaraNa  rUpeNa kAyikena kiQcid mAnasena ca liFgena
   kaniṣṭhaṃ lakṣayati  	kanizWam lakzayati  
   arcāyām eva haraye pūjāṃ yaḥ śraddhayehate |	arcAyAm eva haraye pUjAm yaH SradDayA Ihate |
   na tad bhakteṣu cānyeṣu sa bhaktaḥ prākṛtaḥ smṛtaḥ || [BhP 11.2.47]	na tad  Baktezu ca anyezu sa BaktaH prAkRtaH smRtaH || [Bhj 11.2.47]
   arcāyāṃ pratimāyām eva tad bhakteṣu anyeṣu ca sutarāṃ na bhagavat 	arcAyAm pratimAyAm eva tad  Baktezu anyezu ca sutarAm na Bagavat 
   premābhāvad bhakta māhātmya jñānābhāvāt sarvādara lakṣaṇa bhakta 	prema aBAvat Bakta  mAhAtmya  jQAna aBAvAt sarva Adara  lakzaNa  Bakta 
   guṇānudayāc ca | sa prākṛtaḥ prakṛti prārabdho'dhunaiva prārabdha bhaktir	guNAn udayAt ca | sa prAkRtaH prakRti prArabDaH aDunA eva prArabDa  BaktiH 
   ity arthaḥ | iyaṃ ca śraddhā na śāstrārthāvadhāraṇa jātā |	iti arTaH | iyam ca SradDA na SAstra arTa avaDAraNa  jAtAH |
   yasyātma buddhiḥ kuṇape tri dhātuke	yasya Atma budDiH kuNape tri DAtuke
   sva dhīḥ kalatrādiṣu bhauma ijya dhīḥ |	sva DIH kalatra Adizu BOmaH iji a DIH |
   yat tīrtha buddhiḥ salile na karhicij [BhP 10.84.13] (page 97) ity ādi	yat tIrTa  budDiH salile na karhicit [Bhj 10.84.13] (page 97) iti Adi
   śāstra 	SAstra 
   jñānāt |	jQAnAt |
   tasmāl loka paramparā prāptaiveti pūrvavat | ataś cājāta premāśāstrīya 	tasmAt loka paramparA  prAptA eva iti pUrvavat | atas ca ajAta  prema ASAstrIya 
   śraddhā yuktaḥ sādhakas tu mukhyo kaniṣṭho jñeyaḥ |	SradDA yuktaH sADakaH tu muKyaH kanizWaH jQeyaH |
   atha ṭīkā   punar aṣṭabhiḥ ślokair abhyarhitatvād uttamasyaiva lakṣaṇāny	aTa wIkA  punar azwaBiH SlokEH aByarhita tvAt uttamasya eva lakzaNAni 
   āha gṛhītvā ity eṣā | tathā hi  	Aha gRhItvA iti ezA | taTA hi  
   gṛhītvāpīndriyair arthān yo na dveṣṭi na hṛṣyati |	gRhItvA api indriyEH arTAn yaH na dvezwi na hRzyati |
   viṣṇor māyām idaṃ paśyan sa vai bhāgavatottamaḥ || [BhP 11.2.48]	vizNoH mAyAm idam paSyan sa vE BAgavata uttamaH || [Bhj 11.2.48]
   pūrvokta prakāreṇa tadāviṣṭa citto na gṛhṇāti tāvad indriyair arthān	pUrva ukta  prakAreNa tadAvizwa  cittaH na gRhNAti tAvat  indriyEH arTAn
   gṛhītvāpīty api śabdārthaḥ | idaṃ viśvaṃ māyāṃ bahiraṅga śakti vilāsatvād	gRhItvA api iti api Sabda arTaH | idam viSvam mAyAm bahis aFga  Sakti vilAsa tvAt 
   dheyam ity arthaḥ | atrāpi kāyika mānasayoḥ sāṅkaryam |	Deyam iti arTaH | atra api kAyika mAnasayoH sAFkaryam |
   atha kevala mānasa liṅgenāha yāvat prakaraṇam  	aTa kevala mAnasa  liFgena Aha yAvat prakaraNam  
   dehendriya prāṇa mano dhiyāṃ yo	deha indriya  prANa  mano  DiyAm yaH 
   janmāpyaya kṣud bhaya tarṣa kṛcchraiḥ |	janma apyaya kzud Baya  tarza  kRcCrEH |
   saṃsāra dharmair avimuhyamānaḥ	saMsAra  DarmEH avimuhyamAnaH
   smṛtyā harer bhāgavata pradhānaḥ || [BhP 11.2.49]	smRtyA hareH BAgavata  praDAnaH || [Bhj 11.2.49]
   yo hareḥ smṛtyā dehādīnāṃ saṃsāra dharmair janmāpyayādibhir	yaH hareH smRtyA deha AdInAm saMsAra  DarmEH janma apyaya AdiBiH 
   avimuhyamāno bhavati sa bhāgavata pradhānaḥ uktaṃ ca śrī gītāsu  	avimuhyamAnaH Bavati sa BAgavata  praDAnaH uktam ca SrI  gItAsu  
   yeṣāṃ tv anta gataṃ pāpaṃ janānāṃ puṇya karmaṇām |	yezAm tu anta gatam pApam janAnAm puNya karmaNAm |
   te dvandva moha nirmuktā bhajante māṃ dṛḍha vratāḥ || [Gītā 7.28]	te dvandva moha  nirmuktAH Bajante mAm dRXa  vratAH || [GItAH 7.28]
   tathā  	taTA  
   na kāma karma bījānāṃ yasya cetasi sambhavaḥ |	na kAma karma  bIjAnAm yasya cetasi samBavaH |
   vāsudevaika nilayaḥ sa vai bhāgavatottamaḥ || [BhP 11.2.50]	vAsudeva eka nilayaH sa vE BAgavata uttamaH || [Bhj 11.2.50]
   bījāni vāsanāḥ | vāsudevam atrāśrayaḥ |	bIjAni vAsanAH | vAsudevam atra ASrayaH |
   tathā  	taTA  
   na yasya janma karmabhyāṃ na varṇāśrama jātibhiḥ |	na yasya janma  karmaByAm na varNa ASrama jAtiBiH |
   sajjate'sminn aham bhāvo dehe vai sa hareḥ priyaḥ || [BhP 11.2.51]	sajjate asmin aham  BAvaH dehe vE sa hareH priyaH || [Bhj 11.2.51]
   janma sat kulam | karma tapa ādi | jātayaḥ anulomajā mūrdhābhiṣiktādayaḥ |	janma sat kulam | karma tapa Adi | jAtayaH anuloma jAH mUrDABizikta AdayaH |
   etābhir yasyāsmin deha ahambhāvo na sajjate kintu bhagavat sevaupayika 	etABiH yasya asmin deha ahamBAvaH na sajjate kintu Bagavat  sevA Opayika 
   sādhya deha eva sajjata ity arthaḥ sa hareḥ priyo bhāgavatottama iti	sADya dehaH eva sajjataH iti arTaH sa hareH priyaH BAgavata uttamaH iti
   pūrveṇānvayaḥ | prakaraṇārthatvād dhareḥ priya iti bhāgavata mātra vāci 	pUrveNa anvayaH | prakaraNa arTa tvAt DareH priyaH iti BAgavata  mAtra  vAci 
   bhāgavatatvād eva |	BAgavata tvAt eva |
   tathā  	taTA  
   na yasya svaḥ para iti vitteṣv ātmani vā bhidā |	na yasya svar paraH iti vittezu Atmani vA BidA |
   sarva bhūta samaḥ śāntaḥ sa vai bhāgavatottamaḥ || [BhP 11.2.52]	sarva BUta  samaH SAntaH sa vE BAgavata uttamaH || [Bhj 11.2.52]
   vitteṣu mamatāspada mātreṣu svīyaṃ parakīyam iti ātmani svaḥ para iti |	vittezu mamatA Aspada  mAtrezu svIyam parakIyam iti Atmani svar paraH iti |
   atra	atra
   vittavad ātmani ca sva pakṣapāta mātraṃ niṣidhyate na vyakti bhedaḥ |	vitta vat Atmani ca sva pakza pAta  mAtram niziDyate na vyakti BedaH |
   tathoktaṃ skānde mārkaṇḍeya bhagīratha saṃvāde  	taTA uktam skAnde mArkaNxeya BagIraTa  saMvAde  
   para duḥkhenātma duḥkhaṃ manyante ye nṛpottama |	para  duHKena Atma  duHKam manyante ye nRpa uttamaH |
   bhagavad dharma niratās te narā vaiṣṇavottamāḥ ||	Bagavat  Darma  niratAH te narAH vEzNava uttamAH ||
   kiṃ ca  	kim ca  
   tri bhuvana vibhava hetave'py akuṇṭha 	tri Buvana  viBava  hetave api akuNWa 
   smṛtir ajitātma surādibhir vimṛgyāt |	smRtiH ajita Atma  sura AdiBiH vimRgyAt |
   na calati bhagavat padāravindāl	na calati Bagavat  pada aravindAl
   lava nimiṣārdham api yaḥ sa vaiṣṇavāgryaḥ || [BhP 11.2.53]	lava  nimiza arDam api yaH sa vEzNava agryaH || [Bhj 11.2.53]
   acalena hetus tribhuvaneti | tatra hetur ajite harāv eva ātmā yeṣāṃ tair	acalena hetuH triBuvana iti | tatra hetuH ajite harO eva AtmA yezAm tEH 
   brahmeśa prabhṛtibhiḥ surādibhir api vimṛgyād durlabhād ity arthaḥ | (page	brahma ISa  praBRtiBiH sura AdiBiH api vimRgyAt durlaBAt iti arTaH | (page
   api ca viṣayābhisandhinā calanaṃ kāmenātisantāpe sati bhavet | sa tu	api ca vizaya aBisanDinA calanam kAmena ati santApe sati Bavet | sa tu
   bhagavat sevā nirvṛtau na sambhavatīty āha  	Bagavat  sevA  nirvRtO na samBavati iti Aha  
   bhagavata uru vikramāṅghri śākhā 	BagavataH uru  vikrama aFGri SAKA 
   nakha maṇi candrikayā nirasta tāpe |	naKa maNi candrikayA nirasta tApe |
   hṛdi katham upasīdatāṃ punaḥ sa	hRdi kaTam upasIdatAm punar sa
   prabhavati candra ivodite'rka tāpaḥ || [BhP 11.2.54]	praBavati candraH iva udite arka tApaH || [Bhj 11.2.54]
   uru vikramau ca tāv aṅghrī | tayoḥ śākhā aṅga layaḥ | candrikā tāpa hāriṇī	uru  vikramO ca tO aFGrI | tayoH SAKA aFga layaH | candrikA tApa  hAriNI
   dīptiḥ | tāpaḥ kāmādi santāpaḥ |	dIptiH | tApaH kAma Adi santApaH |
   tathā  	taTA  
   visṛjati hṛdayaṃ na yasya sākṣād	visRjati hRdayam na yasya sAkzAt 
   dharir avaśābhihito'py aghaugha nāśaḥ || [BhP 11.2.55]	DariH avaSa aBihitaH api aGa oGa nASaH || [Bhj 11.2.55]
   ṭīkā ca   ukta samasta lakṣaṇa sāram āha   visṛjatīti | harir eva svayaṃ	wIkA ca  ukta  samasta  lakzaNa  sAram Aha  visRjati iti | hariH eva svayam
   sākṣād yasya hṛdayaṃ na visṛjati na muñcati | avaśenāpy abhihita mātro'py	sAkzAt yasya hRdayam na visRjati na muQcati | avaSena api aBihita  mAtraH api 
   aghaughaṃ nāśayati yaḥ saḥ | tat kiṃ na visṛjati | yataḥ praṇaya raśanayā	aGa oGam nASayati yaH saH | tat kim na visRjati | yatas praNaya raSanayA
   dhṛtaṃ hṛdaye baddham aṅghr padmaṃ yasya sa bhāgavata pradhāna ukto	DRtam hRdaye badDam aFGr  padmam yasya sa BAgavata  praDAnaH uktaH 
   bhavati ity eṣā |	Bavati iti ezA |
   atra kāmādīnām asambhave hetuḥ sākṣād iti padam uttara kālatvāt	atra kAma AdInAm asamBave hetuH sAkzAt iti padam uttara  kAla tvAt
   sāksātkārasya | tathā harir avaśābhihito'pīty ādinā yat tādṛśa praṇayavāṃs	sAksAtkArasya | taTA hariH avaSA aBihitaH api iti AdinA yat tAdRSa  praNaya vAn= 
   tenānena tu sarvadā parmāveśenaiva kīrtyamānaḥ sutarām evāghaugha 	tena anena tu sarvadA parma AveSena eva kIrtyamAnaH sutarAm eva aGa oGa 
   nāśaḥ syād ity abhihitam | uktaṃ ca   etan nirvidyamānānām icchatām akuto 	nASaH syAt iti aBihitam | uktam ca  etat nirvidyamAnAnAm icCatAm akuto 
   bhayam [BhP 2.1.11] ity ādi | tata ubhayathaiva teṣām agha saṃskāro'pi na	Bayam [Bhj 2.1.11] iti Adi | tatas uBayaTA eva tezAm aGa saMskAraH api na
   sthātum iṣṭa iti dhvanitam | anena vācika liṅgam api nirdiśya yad brūte	sTAtum izwaH iti Dvanitam | anena vAcika  liFgam api nirdiSya yat brUte
   [BhP	[BhP
   11.2.42] ity asyottaram uktam | prakaraṇe'smin gṛhītvāpi [BhP 11.2.43] ity	11.2.42] iti asya uttaram uktam | prakaraNe asmin gRhItvA api [Bhj 11.2.43] iti 
   ādīnām uttama bhāgavata lakṣaṇa padyānām amīṣām apṛthak pṛthak ca	AdInAm uttama  BAgavata  lakzaNa  padyAnAm amIzAm apRTak pRTak ca
   vākyatvaṃ jñeyam | tathābhūta bhagavad vaśīkāravati bhāgavatottame	vAkya tvam jQeyam | taTABUta  Bagavat  vaSIkAravati BAgavata uttame
   tat tal 	tat tal 
   lakṣaṇānām antarbhāvāt | kvacit dvitrādimātra lakṣaṇa darśanāc ca |	lakzaNAnAm antarBAvAt | kvacid dvitra Adi mAtra  lakzaNa  darSanAt ca |
   tatrāpṛthag vākyatāyām ekaika vākya gatenaikaikenaiva lakṣaṇena ayam eva	tatra apRTak  vAkyatAyAm ekEka  vAkya  gatena ekEkena eva lakzaNena ayam eva
   sarva bhūteṣu ity ādy ukto mahā bhāgavato lakṣyate | tat tad dharma 	sarva BUtezu iti  Adi  uktaH mahA  BAgavataH lakzyate | tat tad  Darma 
   hetutvena tu visṛtatīty ādinā sarva lakṣṇa sāropanyāsaḥ | yā ca tatrāpi	hetu tvena tu visRtati iti AdinA sarva  lakzNa  sAra upanyAsaH | yA ca tatra api
   smṛtyā harer ity ādinā hetutvena smṛtir uktā | tasyā eva vivaraṇam idam	smRtyA hareH iti AdinA hetu tvena smRtiH uktA | tasyAH eva vivaraNam idam
   antima vākyam iti samarthanīyam | ataeva pṛthak pṛthag bhāgavatottama ity	antima  vAkyam iti samarTanIyam | ataeva pRTak pRTak BAgavata uttamaH iti 
   ādy anuvādo'pi saṅgacchate | pṛthag vākyatāyāṃ yatra sākṣād bhagavat 	Ady anuvAdaH api saFgacCate | pRTak  vAkyatAyAm yatra sAkzAt  Bagavat 
   sambandho na śrūyate | tatra bhāgavata pada balenaiva prakaraṇa balenaiva	sambanDaH na SrUyate | tatra BAgavata  pada  balena eva prakaraNa  balena eva
   vā jñeyaḥ | pūrvottara padya stha smṛtyetyādi padaṃ vā yojanīyam |	vA jQeyaH | pUrva uttara padya  sTa smRtyA ityAdi padam vA yojanIyam |
   tathātra	taTA atra
   pakṣe cāpekṣikam evānyatraa bhāgavatottamatvam | tatrottara śraiṣṭhya 	pakze ca Apekzikam eva anyatraa BAgavata uttama tvam | tatra uttara  SrEzWya 
   kramo'yam | arcāyām eva iti | na yasya janma karmābhyām iti | na yasya	kramaH ayam | arcAyAm eva iti | na yasya janma karmAByAm iti | na yasya
   svaḥ	svar 
   paraḥ iti | gṛhītvāpīndriyaiḥ iti | dehendriya prāṇa iti | asya	paraH iti | gRhItvA api indriyEH iti | deha indriya  prANaH iti | asya
   saṃskāro'sti |	saMskAraH asti |
   kintu tena vimoho na syād iti mūrcchita saṃskāro'yaṃ jāta navīna 	kintu tena vimohaH na syAt iti mUrcCita saMskAraH ayam jAta navIna 
   premāṅkuraḥ syāt | tathā na kāma karma bījānām ity asyaiva vivaraṇaṃ	prema aFkuraH syAt | taTA na kAma karma  bIjAnAm iti asya eva vivaraNam
   tribhuvana vibhava hetave'pi iti | iyam eva naiṣṭhikī (page 99) bhaktir	triBuvana  viBava  hetave api iti | iyam eva nEzWikI (page 99) BaktiH 
   dhyānākhyā dhurvānusmṛtir ity ucyate | asya premāṅkuro'py	DyAna AKyA Durva anusmRtiH iti ucyate | asya prema aFkuraH api 
   anācchādyatayā jāto'sti | anyathā tādṛśa smaraṇa sātatya bhāvaḥ syāt |	anAcCAdya tayA jAtaH asti | anyaTA tAdRSa  smaraNa sAtatya BAvaH syAt |
   ayaṃ	ayam
   hi nirdhūta kaṣāyo nirūdḥa premāṅkura iti labhyate | ata ūrdhvaṃ sākṣāt 	hi nirDUta  kazAyaH nirUdHa  prema aFkuraH iti laByate | atas UrDvam sAkzAt 
   prema janmataḥ īśvare tad adhīneṣu iti | asya maitry ādikaṃ trayam api	prema janmataH ISvare tad  aDInezu iti | asya mEtrI  a Adikam trayam api
   bhakti hetukam eveti na kaṣāya sthitir avagantavyā | nirdhūta kaṣāya mahā 	Bakti hetukam eva iti na kazAya  sTitiH avagantavyA | nirDUta  kazAya  mahA 
   prema sūcakasya sarva bhūteṣu ity asya tu vivaraṇaṃ visṛjati iti |	prema sUcakasya sarva BUtezu iti asya tu vivaraNam visRjati iti |
   tāpādi pañca saṃskāro	tApa Adi  paQca  saMskAraH 
   navejyā karma kārakaḥ |	na vejyA  karma kArakaH |
   artha pañcaka vid vipro	arTa  paQcaka vid vipraH 
   mahā bhāgavataḥ smṛtaḥ || [PadmaP 6.253.27] iti pādmottara khaṇḍa 	mahA  BAgavataH smRtaH || [Pat maP 6.253.27] iti pAdma uttara   KaNxa 
   vacanam |	vacanam |
   mahattvaṃ cārcana mārga parāṇāṃ madhya eva jñeyam asiddha prematvāt |	mahat tvam ca arcana  mArga  parANAm maDye eva jQeyam asidDa  prema tvAt |
   atra tāpādi pañca saṃskārādi tāpaḥ puṇḍraṃ tathā nāma [PadmaP 6.226.6] ity	atra tApa Adi paQca  saMskAra Adi tApaH puNxram taTA nAma [Pat maP 6.226.6] iti 
   ādinā tatraiva darśitam | navejyā karma kārakatvaṃ cānena vacanena dṛśyate	AdinA tatra eva darSitam | na vejyA  karma  kAraka tvam ca anena vacanena dRSyate
   arcanaṃ mantra paṭhanaṃ yogo yāgo hi vandanam |	arcanam mantra  paWanam yogaH yAgaH hi vandanam |
   nāma saṅkīrtanaṃ sevā tac cihner aṅkanaṃ tathā ||	nAma  saFkIrtanam sevA tac cihneH aFkanam taTA ||
   tadīyārādhanaṃ cejyā navadhā bhidyate śubhe |	tadIya ArADanam ca ijyA navaDA Bidyate SuBe |
   nava karma vidhānejyā viprāṇāṃ satataṃ smṛtā || iti |	nava karma  viDAna ijyA viprANAm satatam smRtAH || iti |
   artha pañcaka vittvaṃ tu   śrī bhagavān tat paramaṃ padaṃ tad dravyaṃ tan 	arTa  paQcaka vit tvam tu  SrI  BagavAn tat paramaM padam tat  dravyam tan 
   mantro jīvātmā ceti pañca tattva jñātṛtvam | tac ca śrī hāyaśīrṣe vivṛtaṃ	mantraH jIvAtmA ca iti paQca  tattva  jQAtR tvam | tat ca SrI hAyaSIrze vivRtam
   saṅkṣipya likhyate  	saFkzipya liKyate  
   eka eveśvaraḥ kṛṣṇaḥ sac cid ānanda vigrahaḥ |	ekaH eva ISvaraH kRzNaH sac cit  a Ananda vigrahaH |
   puṇḍarīka viśālākṣaḥ kṛṣṇa cchurita mūrdhajaḥ ||	puNxarIka viSAla akzaH kRzNa  cCurita mUrDajaH ||
   vaikuṇṭhādhipatir devyā līlayā cit svarūpayā |	vEkuNWa aDipatiH devyA lIlayA cit  svarUpayA |
   svarṇa kāntyā viśālākhyā svabhāvād gāḍham āśritaḥ ||	svarNa  kAntyA viSAlA AKyA svaBAvAt gAXam ASritaH ||
   nityaḥ sarvagataḥ pūrṇo vyāpakaḥ sarva kāraṇam |	nityaH sarva gataH pUrNaH vyApakaH sarva kAraNam |
   veda guhyo gabhīrātmā nānā śaktyodayo naraḥ || ity ādi |	veda  guhyaH gaBIra AtmA nAnA SaktyA udayaH naraH || iti Adi |
   sthāna tattvam ato vakṣye prakṛteḥ param avyayam |	sTAna  tattvam atas vakzye prakRteH param avyayam |
   śuddha sattva mayaṃ sūrya candra koṭi sama prabham ||	SudDa  sattva  mayam sUrya candra  kowi  sama  praBam ||
   cintāmaṇimayaṃ sākṣāt sac cid ānanda lakṣaṇam |	cintAmaNi mayam sAkzAt sac cit  A Ananda  lakzaNam |
   ādhāraṃ sarva bhūtānāṃ sarva pralaya varjitam || ity ādi |	ADAram sarva BUtAnAm sarva pralaya   varjitam || iti Adi |
   dravya tattvaṃ śṛṇu brahman pravakṣyāmi samāsataḥ |	dravya  tattvam SRNu brahman pravakzyAmi samAsatas |
   sarva bhoga pradā yatra pādapāḥ kalpa pādapāḥ ||	sarva   Boga  pradAH yatra pAdapAH kalpa  pAdapAH ||
   bhavanti tādṛśā vallyas tad bhavaṃ cāpi tādṛśam |	Bavanti tAdRSAH vallyaH tad  Bavam ca api tAdRSam |
   gandha rūpaṃ svādu rūpaṃ dravyaṃ puṣpādikaṃ ca yat ||	ganDa rUpam svAdu  rUpam dravyam puzpa Adikam ca yat ||
   heyāṃśānām abhāvāc ca rasa rūpaṃ bhaved dhi tat |	heya aMSAnAm aBAvAt ca rasa rUpam Bavet Di tat |
   tvag bījaṃ caiva heyāṃśaṃ kaṭhināṃśaṃ ca yad bhavet ||	tvag bIjam ca eva heya aMSam kaWina aMSam ca yat Bavet ||
   sarva tad bhautikaṃ viddhi na hy abhūtamayaṃ ca tat |	sarva tat BOtikam vidDi na hi aBUta mayam ca tat |
   rasasya yogato brahman bhautikaṃ svāduvad bhavet ||	rasasya yogataH brahman BOtikam svAdu vat Bavet ||
   tasmāt sādhyo raso brahman rasaḥ syād vyāpakaḥ paraḥ |	tasmAt sADyaH rasaH brahman rasaH syAt vyApakaH paraH |
   rasavad bhautikaṃ dravyam atra syād rasa rūpakam || iti |	rasavat BOtikam dravyam atra syAt rasa  rUpakam || iti |
   vācyatvaṃ vācakatvaṃ ca deva tan mantrayor iha |	vAcya tvam vAcaka tvam ca deva tan  mantrayoH iha |
   abhedenocyate brahmaṃs tattvavidbhir vicāritaḥ || ity ādi |	aBedena ucyate brahman tattva vidBiH vicAritaH || iti Adi |
   marut sāgara saṃyoge taraṅgāt kaṇikā yathā |	marut  sAgara  saMyoge taraFgAt kaNikA yaTA |
   jāyante tat svarūpāś ca tad upādhi samāvṛtāḥ ||	jAyante tat  svarUpAH ca tad  upADi  samAvRtAH ||
   āśleṣād ubhayos tadvad ātmanaś ca sahasraśaḥ |	ASlezAt uBayoH tadvat AtmanaH ca sahasraSas |
   sañjātāḥ sarvato brahman mūrtāmūrta svarūpataḥ || (page 100) ity ādy api |	san jAtAH sarvatas brahman mUrta amUrta  svarUpataH || (page 100) iti Adi api |
   kintu śrī bhagavad āvirbhāvādiṣu sva svopāsanā śāstrānusāreṇāparo'pi	kintu SrI  Bagavat  AvirBAva Adizu sva sva upAsanA  SAstra anusAreNa aparaH api
   bhedaḥ kaścij jñeyaḥ |	BedaH kaScid jQeyaH |
   jīva nirūpaṇaṃ cedam | na ghaṭata udbhavaḥ [BhP 10.87.31] ity ādy 	jIva  nirUpaNam ca idam | na GawataH udBavaH [Bhj 10.87.31] iti Ady 
   anusāreṇopādhi sahitam eva kṛtam | nirupādhikaṃ tu  	anusAreNa upADi  sahitam eva kRtam | nirupADikam tu  
   viṣṇu śaktiḥ parā proktā	vizNu  SaktiH parA proktA
   kṣetrajñākhyā tathāparā |	kzetrajQA AKyA taTA aparAH |
   avidyā karma saṃjñānyā	avidyA karma  saMjQA anyA
   tṛtīyā śaktir iṣyate || [ViP 6.7.61] iti viṣṇu purāṇānusāreṇa |	tRtIyA SaktiH izyate || [ViP 6.7.61] iti vizNu purANa anusAreNa |
   tathā  	taTA  
   apareyam itas tv anyāṃ prakṛtiṃ viddhi me parām |	aparA iyam itas tu anyAm prakRtim vidDi me parAm |
   jīvabhūtāṃ mahābāho yayedaṃ dhāryate jagat || [Gītā 7.5] iti |	jIva BUtAm mahA bAho yayA idam DAryate jagat || [GItAH 7.5] iti |
   mamaivāṃśo jīva loke jīva bhūtaḥ sanātanaḥ [Gītā 15.7] iti ca gītānusāreṇa	mama eva aMSaH jIva  loke jIva BUtaH sanAtanaH [GItA 15.7] iti ca gIta anusAreNa
   tathā  	taTA  
   yat taṭasthaṃ tu cid rūpaṃ	yat tawa sTam tu cit  rUpam
   sva saṃvedyād vinirgatam |	sva  saMvedyAt vinirgatam |
   rañjitaṃ guṇa rāgeṇa	raQjitam guNa  rAgeNa
   sa jīva iti kathyate || iti śrī nārada pañcarātrānusāreṇa jñeyam ||	sa jIvaH iti kaTyate || iti SrI nArada  paQcarAtra anusAreNa jQeyam ||
   || 11.2 || hari yogeśvaro nimim || 187 198 ||	|| 11.2 || hari  yoga ISvaraH nimim || 187 198 ||
   tad evam upadiṣṭā bhāgavata satsu mūrcchita kaṣāyādayā mahad bhedāṃ	tat evam upadizwA BAgavata  satsu mUrcCita kazAya AdayAH mahat  BedAm
   bhāgavata sanmātra bhedāś ca tat san mātra bhedeṣu arcāyām eva haraye	BAgavata sanmAtra  BedAH ca tat san  mAtra  Bedezu arcAyAm eva haraye
   [BhP 11.2.45] ity ādinā tat tad guṇāvirbhāva tāratamyāl labdha tāratamyāḥ	[Bhj 11.2.45] iti AdinA tat  tad  guNa AvirBAva  tAratamyAt labDa   tAratamyAH
