   śāstrasaṃgrahaḥ prathamo 'dhyāyaḥ 1	SAstra-saMgrahaH praTamaH aDyAyaH 1
   vāsudevasātavāhanaśūdrakasāhasāṅkādīnsakalānsabhāpatīndānamānābhyāmanukuryāt	vAsudeva-sAta-vAhana-SUdraka-sAhasa-aFka-AdIn-sakalAn-saBApati-in-dAna-mAnAByAm-anukuryAt-
   tuṣṭapuṣṭāścāsya sabhyā bhaveyuḥ sthāne ca pāritoṣikaṃ labheran /	tuzwa-puzwAH-ca-asya saByAH BaveyuH sTAne ca pAritozikam laBeran /
   lokottarasya kāvyasya ca yathārhā pūjā kavarvā /	lokottarasya kAvyasya ca yaTArhA pUjA kavarvAH /
   antarāntarā ca kāvyagoṣṭhīṃ śāstravādānanujānīyāt /	antarA-antarA ca kAvya-gozWIm SAstra-vAdAn-anujAnIyAt /
   madhvapi nānavadaṃśaṃ svadate /	maDu-api na-anavadaMSam svadate /
   kāvyaśāstraviratau vijñāniṣvabhirameta /	kAvya-SAstra-viratO vijQAnizu-aBirameta /
   deśāntarāgatānāṃ ca vituṣāmanyadvārā saṅgaṃ kārayedaucityādyāvatsthiti	deSa-antara-AgatAnAm ca vituzAm-anya-dvArA saFgam kArayet-OcityAt-yAvat-sTiti
   pūjāṃ ca /	pUjAm ca /
   vṛttikāmāṃścopajapat /	vRtti-kAmAn=-ca-upajapat /
   saṅgṛhṇīyācca /	saFgRhNIyAt-ca /
   puruṣaratnānāmeka eva rājodanvānbhājanam /	puruza-ratnAnAm-ekaH eva rAja-udanvAn-BAjanam /
   rājacaritaṃ ca rajopajīvino 'pyanukuryuḥ /	rAja-caritam ca raja-upajIvinaH api-anukuryuH /
   rājña eva hyasāvupakāro yadrājopajīvināṃ saṃskāraḥ /	rAjQaH eva hi-asO=-upakAraH yat-rAja-upajIvinAm saMskAraH /
   mahānagareṣu ca kāvyaśāstraparīkṣārthaṃ brahmasabhāḥ kārayet /	mahA-nagarezu ca kAvya-SAstra-parIkzA-arTam brahma-saBAH kArayet /
   tatra parīkṣottarṇānāṃ brahmārathayānaṃ paṭṭabandhaśca /	tatra parIkzA-uttarNAnAm brahmAraTa-yAnam pawwabanDaH-ca /
   śrūyate cojjayinyāṃ kāvyakāraparīkṣā-	SrUyate ca-ujjayinyAm kAvya-kAra-parIkzA-
   "iha kālidāsameṇṭhāvatrāmararupasūrabhāravayaḥ /	"iha kAli-dA-sa-meNWO=-atra-amararupasUra-BAra-vayaH /
   haricandracandragutpau parīkṣitāviha viśālāyām" //	haricandra-candra-gutpO parIkzitO=-iha viSAla-AyAm" //
   śrūyate ca pāṭaliputre śāstrakāraparīkṣā-	SrUyate ca pAwaliputre SAstra-kAra-parIkzA-
   "atropavarṣavarṣāviha pāṇinipiṅgalāviha vyaḍiḥ /	"atra-upavarza-varzO=-iha pANinipiFgalO=-iha vyaxiH /
   vararucipatañjalī iha parīkṣitāḥ khyātimupajagmuḥ" //	vararuci-pa-taQjalI iha parIkzitAH KyAtim-upajagmuH" //
   itthaṃ sabhāpatirbhūtvā yaḥ kāvyāni parīkṣate /	itTam saBA-patiH-BUtvA yaH kAvyAni parIkzate /
   vaśastasya jagadvayāpi sa sukhī tatra tatra ca //	vaSaH-tasya jagat-vayA-api sa suKI tatra tatra ca //
   iti rājaśekharakṛtau kāvyamīmāṃsāyāṃ kavirahasye prathame 'dhikaraṇe	iti rAja-SeKara-kRtO kAvya-mImAMsAyAm kavi-rahasye praTame aDikaraNe
   kavicaryā rājacaryāṃ ca daśamo 'dhyāyaḥ	kavi-caryA rAjacaryAm ca daSamaH aDyAyaH
   ____________________________ Adhyaya 11 _____________________________	____________________________ ADyayaH 11 _____________________________
   ekādaśo 'dhyāyaḥ 11	ekAdaSaH aDyAyaH 11
   śabdārthaharaṇopāyāḥ kaviviśeṣāḥ, tatra śabdaharaṇopāyāḥ /	Sabda-arTa-haraNa-upAyAH kavi-viSezAH, tatra Sabda-haraNa-upAyAH /
   śabdaharaṇopāyāḥ /	Sabda-haraNa-upAyAH /
   paraprayuktayoḥ śabdārthayorupanibandho haraṇam /	para-prayuktayoH Sabda-arTayoH-upanibanDaH haraNam /
   taddvidhā parityājyamanugrāhyaṃ ca /	tat-dviDA parityAjyam-anugrAhyam ca /
   tayoḥ śabdaharaṇameva tāvatpañcadhā padataḥ, pādataḥ, arddhataḥ, vṛttataḥ,	tayoH Sabda-haraNam-eva tAvat-paQcaDA padataH, pAdataH, ardDataH, vRttataH,
   prabandhataśca /	prabanDataH-ca /
   "tatraikapadaraṇaṃ na doṣāya" iti ācāryāḥ /	"tatra-eka-padaraNam na doza-aya" iti AcAryAH /
   "anyatra dvayarthapadāt" iti yāyāvarīyaḥ /	"anyatra dvayarTa-padAt" iti yAyAvarIyaH /
   tatra śliṣṭasya śliṣṭapadena haraṇam-	tatra Slizwasya Slizwa-padena haraNam-
   "dūrakṛṣṭaśilīmukhavyatikārānno kiṃ kirātānimā	"dUra-kRzwa-SilImuKa-vyatikArAt-no kim kirAtAn-imA
   nārādvayāvṛtapītalohitamukhānkiṃ vā palāśānapi /	nArA-dvaya-AvRta-pIta-lohita-muKAn-kim vA palASAn-api /
   pānthāḥ kesariṇaṃ na paśyata puropyenaṃ vasantaṃ vane mūḍhā rakṣata	pAnTAH kesariNam na paSyata purA-upi-enam vasantam vane mUXAH rakzata
   jīvitāni śaraṇaṃ yāta priyāṃ devatām" //	jIvitAni SaraNam yAta priyAm devatAm" //
   yathā ca-	yaTA ca-
   "mā gāḥ pāntha priyāṃ tyaktyā dūrākṛṣṭaśilīmukham /	"mA gAH pAnTa priyAm tyaktyA dUra-AkRzwa-SilImuKam /
   sthitaṃ panthānamāvṛtya kiṃ kirātaṃ na paśyasi" //	sTitam panTAnam-AvRtya kim kirAtam na paSyasi" //
   śliṣṭapadaikadeśena haraṇam-	Slizwa-pada-eka-deSena haraNam-
   "nāścaryaṃ yadanāryātpāvastaprītirayaṃ mayi /	"nAScaryam yat-anAryAt-pAvasta-prItiH-ayam mayi /
   māṃsopayogaṃ kurvīta kathaṃ kṣudrahito janaḥ" //	mAMsa-upayogam kurvIta kaTam kzuD-rahitaH janaH" //
   yathā ca-	yaTA ca-
   "kopānmānini kiṃ sphuratyatitarāṃ śobhādharaste 'dharaḥ kiṃ vā	"kopAt-mAnini kim sPurati-atitarAm SoBADaraH-te aDaraH kim vA
   cumbanakāraṇāddayita no vāyorvikārādayam /	cumbana-kAraNAt-dayita naH vAyoH-vikArAt-ayam /
   tasmātsubhru sugandhimāhitarasaṃ snigdhaṃ bhajasvādarān mugdhe māṃsarasaṃ	tasmAt-suBru suganDim-Ahita-rasam snigDam Bajasva-AdarAt mugDe mAMsa-rasam
   bruvantiti tayā gāḍhaṃ samāliṅgitaḥ" //	bruvantiti tayA gAXam samAliFgitaH" //
   śliṣṭasya yamakena haraṇam-	Slizwasya yamakena haraNam-
   "halamapārayonidhivistṛtaṃ praharatā halīnā samarāṅgaṇe /	"halam-apAra-yoniDi-vistRtam praharatA halInA samara-aFgaNe /
   nijayaśaśca śaśāṅkakalāmalaṃ niravadhīritamākulamāsuram" //	nija-yaSaH-ca SaSAFka-kalA-malam niravaDIritam-Akulam-Asuram" //
   yathā ca-	yaTA ca-
   "dalayatā viśikhairbalamunmadaṃ niravadhīritamākulamāluram /	"dalayatA viSiKEH-balam-unmadam niravaDIritam-Akulam-Aluram /
   daśasu dikṣu ca tena yaśaḥ sitaṃ niravadhīritamākulamāsuram" //	daSasu dikzu ca tena yaSaH sitam niravaDIritam-Akulam-Asuram" //
   śliṣṭasya praśnottareṇa haraṇam-	Slizwasya praSna-uttareNa haraNam-
   "yasyāṃ bhujaṅgavargaḥ karṇoyatekṣaṇaṃ kāminīvavadanaṃ ca" //	"yasyAm BujaFga-vargaH karNa-uyata-IkzaNam kAminI-iva-vadanam ca" //
   yathā ca-	yaTA ca-
   "kiṃ karoti kiyatkālaṃ veśyāveśmani kāmukaḥ /	"kim karoti kiyat-kAlam veSyA-veSmani kAmukaH /
   kīdṛśaṃ vadanaṃ vīkṣya tasyāḥ karṇāyatekṣaṇam" //	kIdRSam vadanam vIkzya tasyAH karNa-Ayata-IkzaNam" //
   yamakasya yamakena haraṇam-	yamakasya yamakena haraNam-
   "varadāya namo haraye patati jano 'yaṃ smarannapi na moharaye /	"varadAya namaH haraye patati janaH ayam smaran=-api na moha-raye /
   bahuśaścakranda hatā manasi ditiryena daityacakraṃ dahatā" //	bahuSas-cakranda hatAH manasi ditiH-yena dEtya-cakram dahatA" //
   yathā ca-	yaTA ca-
   cakraṃ dahatāraṃ cakranda hatāraṃ khaṅgena tavājau rājannarinārī /	cakram dahatAram cakranda hatAram KaFgena tava-AjO rAjan=-ari-nArI /
   evamanyonyasamanvaye 'nye 'pi bhedāḥ /	evam-anyonya-samanvaye anye api BedAH /
   nanvidamupadeśyameva na bhavati //	nanu-idam-upadeSyam-eva na Bavati //
   yaditthaṃ kathayanti-	yat-itTam kaTayanti-
   "puṃsaḥ kālātipātena cauryamanyadviśīryati /	"puMsaH kAla-atipAtena cOryam-anyat-viSIryati /
   api putreṣu pautreṣu vākcauryaṃ ca na śīryati" //	api putrezu pOtrezu vAc-cOryam ca na SIryati" //
   "ayamaprasiddhaḥ prasiddhimānahamṣa, ayamapratiṣṭhaḥ pratiṣṭhāvānaham,	"ayam-aprasidDaH prasidDi-mAnahamza, ayam-apratizWaH pratizWAvAn-aham,
   aprakrāntamidamasya saṃvidhānakaṃ prakrāntaṃ mama, gūḍūcīvacano 'yaṃ	aprakrAntam-idam-asya saMviDAnakam prakrAntam mama, gUxUcI-vacanaH ayam
   mṛdvīkāvacano 'ham, anādṛtabhāṣāviśṣo 'yamahamādṛtabhāṣāviśeṣaḥ,	mRdvIkA-vacanaH aham, anAdRta-BAzA-viSzaH ayam-aham-AdRta-BAzA-viSezaH,
   praśāntajñātṛkamidaṃ, deśāntaritakarttṛkamidam,	praSAnta-jQAtRkam-idan, deSa-antarita-karttRkam-idam,
   ucchannanibandhanamūlamidaṃ, mlecchitakopanibandhamūlamidamityevamādi bhiḥ	ucCanna-nibanDana-mUlam-idaM, mlecCita-kopa-nibanDa-mUlam-idam-iti-evamAdi BiH
   kāraṇaiḥ śabdaharaṇe 'rthaharaṇe cābhirameta" //	kAraNEH Sabda-haraNe arTa-haraNe ca-aBirameta" //
   ity avantisundarī /	iti avantisundarI /
   "tribhyaḥ padebhyaḥ prabhṛti tvaśliśṭebhyo haraṇam"	"triByaH padeByaH praBRti tu-aSliSweByaH haraNam"
   iti ācāryāḥ-	iti AcAryAH-
   yathā-	yaTA-
   "sa pātu vo yasya jaṭākalāpe sthitaḥ śaśāṅkaḥ sphuṭahāragauraḥ /	"sa pAtu vaH yasya jawA-kalApe sTitaH SaSAFkaH sPuwa-hAra-gOraH /
   nīlotpalānāmiva nālapuñje nidrāyamāṇaḥ śaradīva haṃsaḥ" //	nIlotpalAnAm-iva nAla-puQje nidrAyamANaH Saradi-iva haMsaH" //
   yathā ca-	yaTA ca-
   "sa pāsu vo yasya hatāvaśeṣāstattulyavarṇāñjanarañjiteṣu /	"sa pAsu vaH yasya hata-avaSezAH-tad-tulya-varNa-aQjana-raQjitezu /
   lāvaṇyayukteṣvapi vitrasanti daityāḥ svakāntānayanotpaleṣu" //	lAvaNya-yuktezu-api vitrasanti dEtyAH sva-kAnta-Anayana-utpalezu" //
   "na" iti yāyāvarīyaḥ /	"na" iti yAyAvarIyaH /
   ullekhavānpadasandarbhaḥ pariharaṇīyo nāpratyabhijñāyātaḥ pādo 'pi /	ulleKavAn-pada-sandarBaH pariharaNIyaH na-apratyaBijQAyAtas pAdaH api /
   tasyāpi sāmye na kiñcana dṛṣṭaṃ syāt /	tasya-api sAmye na kiQcana dRzwam syAt /
   yathā-	yaTA-
   "ityuktavānuktiviśeṣaramyaṃ manaḥ samādhāya jayopapattau /	"iti-ukta-vAn-ukti-viSeza-ramyam manaH samADAya jaya-upapattO /
   udāracetā giramityudārāṃ dvaipāyanenābhidadhe narendraḥ" //	udAra-cetAH giram-iti-udArAm dvEpAyanena-aBidaDe narendraH" //
   yathā ca-	yaTA ca-
   "ityuktavacanuktiviśeṣaramyaṃ rāmānujanmā virarāma mānī /	"iti-ukta-vaca-nukti-viSeza-ramyam rAmAnujanmA virarAma mAnI /
   saṃkṣitpamātpāvasaraṃ ca vākyaṃ sevāvidhijñaiḥ purataḥ prabhūṇām" //	saMkziD-pamAt-pAvasaram ca vAkyam sevA-viDi-jQEH puratas praBUNAm" //
   ullekhavānyathā-	ulleKavAn-yaTA-
   "namaḥ saṃsāranirvāṇaviṣāmṛtavidhāyine /	"namaH saMsAra-nirvANa-viza-amRta-viDAyine /
   satpalokormibhaṅgāya śaṅkarakṣīrasindhave" //	sat-paloka-Urmi-BaFgAya SaFkara-kzIra-sinDave" //
   yathā ca-	yaTA ca-
   "prasaradbindunādāya śuddhāmṛtamayātmane /	"prasarat-bindunAdAya SudDa-amRta-maya-Atmane /
   namo 'nantaprakāśāya śaṅkarakṣīrasindhave" //	namaH ananta-prakASAya SaFkara-kzIra-sinDave" //
   "pāda evānyathātvakaraṇakāraṇaṃ na haraṇam, api tu svīkaraṇam" iti ācāryāḥ	"pAdaH eva-anyaTAtva-karaNa-kAraNam na haraNam, api tu svIkaraNam" iti AcAryAH
   yathā---	yaTA---
   "tyāgādhikāḥ svargamupāśrayante tyāgena hīnā naraka vrajanti /	"tyAga-aDikAH svargam-upASrayante tyAgena hInAH naraka vrajanti /
   na tyāgināṃ kiñcidasādhyamasti tyāgo hi sarvavyasanāni hanti" //	na tyAginAm kiQcid-asADyam-asti tyAgaH hi sarva-vyasanAni hanti" //
   yathā ca-	yaTA ca-
   "tyāgo hi sarvavyasanāni hantītyalīkametadbhuvi sampratītam /	"tyAgaH hi sarva-vyasanAni hanti-iti-alIkam-etat-Buvi sampratItam /
   jātāni sarvavyasanāni tasyāstyāgena me mugdhavilocanāyāḥ" //	jAtAni sarva-vyasanAni tasyAH-tyAgena me mugDa-vilocanAyAH" //
   tadidaṃ svīkaraṇāparanāmadheyaṃ haraṇameva (iti yāyāvarīyaḥ-) /	tat-idam svIkaraNa-apara-nAmaDeyam haraNam-eva (iti yAyAvarIyaH-) /
   tadvadardhdaprayoge 'pi /	tat-vat-arDda-prayoge api /
   yathā-	yaTA-
   "pādaste naravara dakṣiṇe samudre pādo 'nyo himavati hemakūṭalagne /	"pAdaH-te nara-vara dakziNe samudre pAdaH anyaH himavati hema-kUwa-lagne /
   ākrāmatyalaghu mahītalaṃ tvayītthaṃ bhūpālāḥ praṇatimapāsya kinnu kuryuḥ"	AkrAmati-alaGu mahI-talam tvayi-itTam BUpAlAH praNatim-apAsya kinnu kuryuH"
   yathā cottarārddhe-	yaTA ca-uttara-ardDe-
   "itthaṃ te vidhṛtapadadvayasya rājan nāścaryaṃ kathamiva sīvanī na bhinnā"	"itTam te viDRta-pada-dvayasya rAjan na-AScaryam kaTam-iva sIvanI na BinnA"
   evaṃ vyastārddhaprayoge 'pi /	evam vyasta-ardDa-prayoge api /
   yathā-	yaTA-
   "tattāvadeva śaśinaḥ sphuritaṃ mahīyo yāvanna tigmarucimaṇḍalamabhyudeti /	"tat-tAvat-eva SaSinaH sPuritam mahIyaH yAvat-na tigma-ruci-maNxalam-aByudeti /
   abhyudgate sakaladhāmanidhau tu tasmin nindoḥ sitābhraśakalasya ca ko	aByudgate sakala-DAma-niDO tu tasmin nindoH sita-aBra-Sakalasya ca kaH-
   viśeṣaḥ" //	viSezaH" //
   yathā ca--	yaTA ca--
   "tattāvadeva śaśinaḥ sphiritaṃ mahīyo yāvanna kiñcidapi gauritarā hasanti	"tat-tAvat-eva SaSinaH sPiritam mahIyaH yAvat-na kiQcid-api gOH-itarAH hasanti
   tābhiḥ punarvihasitānanapaṅkajābhir indoḥ sitābhraśakalasya ca ko viśeṣaḥ"	tABiH punar-vihasita-Anana-paFkajABiH indoH sita-aBra-Sakalasya ca kaH viSezaH"
   pāda evānyathātvakaraṇaṃ na svīkaraṇaṃ pādonaharaṇaṃ vā /	pAdaH eva-anyaTAtva-karaNam na svIkaraNam pAda-Una-haraNam vA /
   yathā-	yaTA-
   "araṇye nirjane rātrāvantarveśmani sāhase /	"araNye nirjane rAtrO=-antar-veSmani sAhase /
   nyāsāpahnavane caiva divyā sambhavati kriyā" //	nyAsa-apahnavane ca-eva divyA samBavati kriyA" //
   yathā cottarārddhe-	yaTA ca-uttara-ardDe-
   "tanvaṅgī yadī labhyeta divyā sambhagavati kriyā" /	"tanu-aFgI yadI laByeta divyA samBagavati kriyA" /
   yathā vā---	yaTA vA---
   "yasya keśeṣu jīmūtā nadyaḥ sarvāṅgamandhiṣu /	"yasya keSezu jImUtAH nadyaH sarva-aFgam-anDizu /
   kukṣau samudrāścatvārastasmai toyātmane namaḥ" //	kukzO samudrAH-catvAraH-tasmE toya-Atmane namaH" //
   yathā cottarārddhe---	yaTA ca-uttara-ardDe---
   "kukṣau samudrāścatvāraḥ sa saheta smarānalam" /	"kukzO samudrAH-catvAraH sa saheta smara-analam" /
   bhinnārthānāṃ tu pādānāmekena pādenānvayanaṃ kavitvameva /	Binna-arTAnAm tu pAdAnAm-ekena pAdena-anvayanam kavi-tvam-eva /
   yathā---	yaTA---
   "kimiha kimapi dṛṣṭaṃ sthānamasti śrutaṃ vā vrajati dinakaro 'yaṃ yanna	"kim-iha kim-api dRzwam sTAnam-asti Srutam vA vrajati dinakaraH ayam yat-na
   nāstaṃ kadācit /	na-astam kadAcid /
   bhramati vihagasārthānitthamāpṛcchamāno rajanivirahabhītaścakravāko	Bramati vihaga-sArTAn-itTam-ApRcCamAnaH rajani-viraha-BItaH-cakravAkaH-
   varākaḥ" //	varAkaH" //
   yathā ca-	yaTA ca-
   "jayati sitavilolavtayālayajñopavītī	"jayati sita-vilola-vtayA-Ala-yajQa-upavItI
   ghanakapilaṭānatarbhāntagaṅgājalaughaḥ /	Gana-kapilawAnatarBAnta-gaFgA-jala-oGaH /
   aviditamṛgajihnamindulekhāṃ dadhānaḥ pariṇataśitikaṇṭhaśyāmakaṇṭhaḥ	avidita-mRga-jihnam-indu-leKAm daDAnaH pariNata-SitikaNWa-SyAma-kaNWaH
   pinākī" //	pinAkI" //
   yathā ca-	yaTA ca-
   "kumudavanamapaśri śrīmadambhojakhaṇḍaṃ tyajati madamulūkaḥ	"kumuda-vanam-apaSri SrImat-amBoja-KaNxam tyajati madam-ulUkaH
   prītimāṃścakravākaḥ /	prItimAn=-cakravAkaH /
   udayamahimaraśmiryāti śītāṃsurastaṃ hatavidhilalitānāṃ hī vicitro vipākaḥ	udayamahimaraSmiH-yAti SItAMsuraH-tam hata-viDi-lalitAnAm hI vicitraH vipAkaH
   " yathā ca-	" yaTA ca-
   "kimiha kimapi dṛṣṭaṃ sthānamasti śrutaṃ vā	"kim-iha kim-api dRzwam sTAnam-asti Srutam vA
   ghanakapilajaṭāntarbhrāntagaṅgājalaudhaḥ /	Gana-kapila-jawA-antar-BrAnta-gaFgA-jalODaH /
   nivasati sa pinākī yatra yāyāṃ tadasmin hatavidhilalitānāṃ hī vicitro	nivasati sa pinAkI yatra yAyAm tat-asmin hata-viDi-lalitAnAm hI vicitraH-
   vipākaḥ" //	vipAkaH" //
   pādonavatkatipayapadaprayogo 'pi yathā-	pAda-Una-vat-katipaya-pada-prayogaH api yaTA-
   "yā vyāpāravatī rasān rasayituṃ kācitkavīnāṃ navā dṛṣṭiryā	"yA vyApAravatI rasAn rasayitum kAcid-kavInAm navA dRzwiH-yA
   pariniṣṭhitārthaviṣayonmeṣā ca vaipaścitī /	parinizWita-arTa-vizaya-unmezA ca vEpaScitI /
   te dve apyavalambya viśvamaniśaṃ nirvārṇayanto vayaṃ śrāntā naiva	te dve api-avalambya viSvam-aniSam nirvArNayantaH vayam SrAntAH na-eva
   labdhamabdhiśayana tvadbhaktitulyaṃ sukham" //	labDam-abDiSayana tvad-Bakti-tulyam suKam" //
   yathā ca caturthapāde-	yaTA ca caturTa-pAde-
   "śrāntā naiva ca labdhamutpaladṛśāṃ premṇaḥ samānaṃ sukham" //	"SrAntAH na-eva ca labDam-utpala-dRSAm premNaH samAnam suKam" //
   pādaikadeśāgrahaṇamapi padaikadeśopalakṣaṇaparam yathā-	pAda-eka-deSa-agrahaNam-api pada-eka-deSa-upalakzaNa-param yaTA-
   "asakalahasitvātkṣālitānīva kāntyā mukulitanayanatvādvyaktakarṇotpalāni /	"asa-kalahasitvAt-kzAlitAni-iva kAntyA mukulita-nayana-tvAt-vyakta-karNa-utpalAni /
   pibati madhusugandhīnyānanāni priyāṇāṃ tvayi vinihitabhāraḥ	pibati maDu-suganDIni-AnanAni priyANAm tvayi vinihita-BAraH
   kuntalānāmadhīśaḥ" //	kuntalAnAm-aDISaH" //
   yathā cottarārdhe-	yaTA ca-uttara-arDe-
   "pibatu madhusugandhīnyānanāni priyāṇāṃ mayi vinihitabhāraḥ	"pibatu maDu-suganDIni-AnanAni priyANAm mayi vinihita-BAraH
   kuntalānāmadhīśaḥ" /	kuntalAnAm-aDISaH" /
   vākyasyānyathā vyākhyānamapi na svīkaraṇaṃ haraṇaṃ vā /	vAkyasya-anyaTA vyAKyAnam-api na svIkaraNam haraNam vA /
   yathā-	yaTA-
   "subhru!tvaṃ kupitetyapāstamaśanaṃ tyaktā kathā yoṣitāṃ dūrādeva	"suBru!-tvam kupitA-iti-apAstam-aSanam tyaktA kaTA yozitAm dUrAt-eva
   mayojbhphatāḥ surabhayaḥ sragdāmadhūpādayaḥ /	mayA-ujBPatAH sura-BayaH sragdAma-DUpa-AdayaH /
   kopaṃ rāgiṇi muñca mayyavanate dṛṣṭe prasīdādhunā	kopam rAgiNi muQca mayi-avanate dRzwe prasIda-aDunA
   sadyastvadvirahādbhavanti dayite sarvā mamāndhā diśaḥ" //	sadyas-tvad-virahAt-Bavanti dayite sarvAH mama-anDAH diSaH" //
   etañca kāntāprasādanaparaṃ vākyaṃ kupitadṛṣṭiparatayā vyakhyātaṃ, na	etaQca kAntA-prasAdana-param vAkyam kupita-dRzwi-para-tayA vyaKyAtaM, na
   svīkṛtaṃ hṛtaṃ vā /	svIkRtam hRtam vA /
   yattu parakīyaṃ svīyamiti proktānāmanyatamena kāraṇena vilapanti, tanna	yat-tu parakIyam svIyam-iti proktAnAm-anyatamena kAraNena vilapanti, tat-na
   kevalaṃ haraṇam, api tu doṣodāharaṇam /	kevalam haraNam, api tu doza-udAharaNam /
   muktakaprabandhaviṣayaṃ tat /	muktaka-prabanDa-vizayam tat /
   mūlyakrayo 'pi haraṇameva /	mUlya-krayaH api haraNam-eva /
   varamaprātpiryaśaso na punarduryaśaḥ /	varam-aprAtpiH-yaSasaH na punar-duryaSaH /
   (sabhāpatistu dvidhā, upajīvya, upajīvakaśca /	(saBA-patiH-tu dviDA, upajIvya, upajIvakaH-ca /
   tatropajīvanamātreṇa na kaściddoṣaḥ /	tatra-upajIvana-mAtreNa na kaScid-dozaH /
   yataḥ sarvo 'pi parebhya eva vyutpadyate, kevalaṃ tatra samudāyo guruḥ)	yatas sarvaH api pareByaH eva vyutpadyate, kevalam tatra samudAyaH guruH)
   "tadvahaktiharaṇam" iti ācāryāḥ /	"tadvahakti-haraNam" iti AcAryAH /
   yathā -	yaTA -
   "ūrudvayaṃ sarasakadalīkāṇḍasabrahmacāri" /	"u-Uru-dvayam sarasa-kadalI-kANxa-sabrahmacAri" /
   yathā ca --	yaTA ca --
   "urudvayaṃ kadalakandalayoḥ savaṃśaṃ śroṇiḥ śilāphalakasodarasanniveśā /	"uru-dvayam kadala-kandalayoH sa-vaMSam SroNiH SilA-Palaka-sodara-sanniveSAH /
   vakṣaḥ stanadvitayatāḍitakumbhaśobhaṃ sabrahmacāri śaśisaśca mukhaṃ	vakzaH stana-dvitaya-tAxita-kumBa-SoBam sabrahmacAri SaSisaH-ca muKam
   mṛgākṣyāḥ" //	mRga-akzyAH" //
   uktayo hyarthāntarasaṅkrāntā na pratyabhiyājñante, svadante ca;	uktayaH hi-arTa-antara-saFkrAntAH na pratyaBiyAjQante, svadante ca;
   tadarthastu haraṇādapi haraṇaṃ syuḥ" iti yāyāvarīyaḥ /	tad-arTaH-tu haraNAt-api haraNam syuH" iti yAyAvarIyaH /
   "nāstyacauraḥ kavijano nāstyacauro vaṇigjanaḥ /	"nA-asti-acOraH kavi-janaH na-asti-acOraH vaNij-janaH /
   sa nandati vinā vācyaṃ yo jānāt nigūhitum //	sa nandati vinA vAcyam yaH jAnAt nigUhitum //
   utpādakaḥ kaviḥ kaścitkaściñca parivarttakaḥ /	utpAdakaH kaviH kaScid-kaSciQca parivarttakaH /
   ācchādakastathā cānyastathā saṃvargako 'paraḥ //	AcCAdakaH-taTA ca-anyaH-taTA saMvargakaH aparaH //
   śabdārthoktiṣu yaḥ paścediha kiñcana nūtanam /	Sabda-arTa-uktizu yaH paScet-iha kiQcana nUtanam /
   ullikhetkiñcana prācyaṃ manyatāṃ sa mahākaviḥ" //	ulliKet-kiQcana prAcyam manyatAm sa mahA-kaviH" //
   iti rājaśekharakṛtau kāvyamīmāṃsāyāṃ kavirahasye prathame 'dhikaraṇe	iti rAja-SeKara-kRtO kAvya-mImAMsAyAm kavi-rahasye praTame aDikaraNe
   ekādaśo 'dhyāyaḥ śabdaharaṇāni //	ekAdaSaH aDyAyaH Sabda-haraNAni //
   ____________________________ Adhyaya 12 _____________________________	____________________________ ADyayaH 12 _____________________________
   dvadaśo 'dhyāyaḥ 12	dvadaSaH aDyAyaH 12
   arthaharaṇopāyāḥ, kaviprabhedāḥ, pratibimba-kalpavikalpasya samīkṣā ca /	arTa-haraNa-upAyAH, kavi-praBedAH, pratibimba--kalpa-vikalpasya samIkzA ca /
   "purāṇakavikṣuṇṇe vartmani durāpamaspṛṣṭaṃ vastu, tataśca tadeva	"purANaka-vikzuNNe vartmani durApama-spRzwam vastu, tatas-ca tat-eva
   saṃskṛrtuṃ prayateta" iti ācāryāḥ /	saMskRrtum prayateta" iti AcAryAH /
   "na" iti vākpatirājaḥ /	"na" iti vAkpati-rAjaH /
   "āsaṃsāramudāraiḥ kavibhiḥ pratidinagṛhītasāro 'pi /	"a-asaMsAram-udArEH kaviBiH pratidina-gRhIta-sAraH api /
   adyāpyabhinnamudro vibhāti vācāṃ parisyandaḥ" //	adya-api-aBinna-mudraH viBAti vAcAm parisyandaH" //
   tatpratibhāsāya ca paraprabandheṣvavadadhīta /	tad-pratiBAsAya ca para-prabanDezu-avadaDIta /
   "tadavagāhane hi tadekayonayo 'rthāḥ pṛthak pṛthak prathante" ityeke /	"tad-avagAhane hi tat-eka-yonayaH arTAH pRTak pRTak praTante" iti-eke /
   "tatratyānāmarthānāṃ chāyayā parivṛttiḥ phalam" ityapare /	"tatratyAnAm-arTAnAm CAyayA parivRttiH Palam" iti-apare /
   mahātmanāṃ hi saṃvādinyo buddhaya ekamevārthamupasthāpayanti,	mahAtmanAm hi saMvAdinyaH budDayaH ekam-eva-arTam-upasTApayanti,
   tatparityāgāyatānādriyeta iti ca kecit /	tad-parityAga-Ayata-an-Adriyeta iti ca kecid /
   "na" iti yāyāvarīyaḥ /	"na" iti yAyAvarIyaH /
   sārasvataṃ cakṣuravāṅmanasagocareṇa praṇidhānena dṛṣṭamadṛṣṭaṃ cārthajātaṃ	sArasvatam cakzuH-avAc-manasa-gocareNa praNiDAnena dRzwam-adRzwam ca-arTa-jAtam
   svayaṃ vibhajati /	svayam viBajati /
   tadāhuḥ-	tat-AhuH-
   sutpasyāpi mahākaveḥ śabdārthau sarasvatī darśayati /	sutpasya-api mahA-kaveH Sabda-arTO sarasvatI darSayati /
