   namo buddhāya	namaH budDAya
   puṣkariṇi kim idam ucitaṃ tāṃ cedānīm adho nayasi // VidSrk_33.94 *(1112)	puzkariNi kim idam ucitam tAm ca idAnIm aDas nayasi // Vit Srj _33.94 *(1112)
   kuśalanāthasya	kuSala nATasya
   kṛtam idam asādhu hariṇaiḥ śirasi tarūṇāṃ davānale jvalati /*	kRtam idam asADu hariNEH Sirasi tarUNAm dava anale jvalati /*
   ājanma kelibhavanaṃ yad bhītair ujjhitaṃ vipinam // VidSrk_33.95 *(1113)	Ajanma keli Bavanam yat BItEH ujJitam vipinam // Vit Srj _33.95 *(1113)
   khadirasya	Kadirasya
   vidhvastā mṛgapakṣiṇo vidhuratāṃ nītāḥ sthalīdevatā dhūmair antaritāḥ	viDvastAH mRga pakziNaH viDura tAm nItAH sTalI devatAH DUmEH antaritAH
   svabhāvamalinair āśā mahī tāpitā /	svaBAva malinEH ASA mahI tApitA /
   bhasmīkṛtya sapuṣpapallavadalāṃs tāṃs tān mahāpādapān durvṛttena	BasmIkRtya sa puzpa pallava dalAn tAn tAn mahA pAdapAn durvRttena
   davānalena vihitaṃ valmīkaśeṣaṃ vanam // VidSrk_33.96 *(1114) //.	dava analena vihitam valmIka Sezam vanam // Vit Srj _33.96 *(1114) //.
   /var{@ntaritāḥ/lem	/var{@ntaritAH/lem
   /emend, @ntaritā /edKG}	/ema ind, @ntaritA /edKG}
   karṇāhativyatikaraṃ kariṇāṃ vipakṣa  dānaṃ vyavasyati madhuvrata eṣa	karNa Ahati vyatikaram kariNAm vipakza dAnam vyavasyati maDuvrataH eza
   tiktam /	tiktam /
   smartavyatām upagateṣu saroruheṣu dhig jīvitavyasanam asya malīmasasya //	smartavya tAm upagatezu saroruhezu Dik jIvita vyasanam asya malImasasya //
   VidSrk_33.97 *(1115) //	Vit Srj _33.97 *(1115) //
   citraṃ tad eva mahad aśmasu tāpaneṣu yan nodgiranty analam	citram tat eva mahat aSmasu tApanezu yat na udgiranti analam
   indukarābhimṛṣṭāḥ /	indu kara aBimRzwAH /
   sambhāvyate 'pi kim idaṃ nu yathendukāntās te pāvanaṃ ca śiśiraṃ ca rasaṃ	samBAvyate api kim idam nu yaTA indu kAntAH te pAvanam ca SiSiram ca rasam
   sṛjanti // VidSrk_33.98 *(1116) //	sRjanti // Vit Srj _33.98 *(1116) //
   dāhacchedanikāṣair atipariśuddhasya te vṛthā garimā /*	dAha= Ceda nikAzEH ati pariSudDasya te vRTA garimAH /*
   yad asi tulām adhirūḍhaṃ kāñcana guñjāphalaiḥ sārdham // VidSrk_33.99	yat asi tulAm aDirUXam kAQcana guQjA PalEH sArDam // Vit Srj _33.99
   surabheḥ	suraBeH
   sindhor uccaiḥ pavanacalanād utsaladbhis taraṅgaiḥ kūlaṃ nīto	sinDoH uccEs pavana calanAt utsaladBiH taraFgEH kUlam nItaH 
   hatavidhivaśād dakṣiṇāvartaśaṅkhaḥ /	hata viDi vaSAt dakziNa Avarta SaFKaH /
   dagdhaḥ kiṃ vā na bhavati masī ceti saṃdehanībhiḥ śambūkābhiḥ saha	dagDaH kim vA na Bavati masI ca iti saMdehanIBiH SambUkABiH saha
   paricito nīyate pāmarībhiḥ // VidSrk_33.100 *(1118) //.	paricitaH nIyate pAmarIBiH // Vit Srj _33.100 *(1118) //.
   sucaritasya	su caritasya
   chidraṃ maṇer guṇārthaṃ nāyakapadahetur asya tāralyam /*	Cidram maNeH guNa arTam nAyaka pada hetuH asya tAralyam /*
   katham anyatheśvarāṇāṃ viluṭhati hṛdaye ca maulau ca // VidSrk_33.101	kaTam anyaTA ISvarANAm viluWati hRdaye ca mOlO ca // Vit Srj _33.101
   pariṇatisukumāra svādumākanda nindāṃ katham iva tava bhṛṣṭo rājakīraḥ	pariNati sukumAra svAdumAkanda nindAm kaTam iva tava BRzwaH rAjakIraH
   karotu /	karotu /
   anavadhikaṭhinatvaṃ nārikerasya yasmin vaśikahṛdayavṛtter luptasāraśriyaś	anavaDi kaWina tvam nArikerasya yasmin vaSika hRdaya vRtteH lupta sAra SriyaH 
   ca // VidSrk_33.102 *(1120) //	ca // Vit Srj _33.102 *(1120) //
   kiṃpāka pāke bahir eva rakta tiktāsitāntar dṛśi kāntim eṣi /*	kiMpAka pAke bahis eva rakta tikta asita antar dRSi kAntim ezi /*
   etāvatā kākam apāsya kasya hṛtprītibhittis tvam idaṃ na jāne //	etAvatA kAkam apAsya kasya hRd prIti BittiH tvam idam na jAne //
   VidSrk_33.103 *(1121) //*	Vit Srj _33.103 *(1121) //*
   buddhākaraguptasya	budDa Akara guptasya
   vigarjām unmuñca tyaja taralatām arṇava manāg ahaṃkāraḥ ko 'yaṃ	vigarjAm unmuQca tyaja tarala tAm arNava manAk ahaMkAraH kaH ayam
   katipayamaṇigrāvaguḍakaiḥ /	katipaya maNi grAva guxakEH /
   dṛśaṃ merau dadyāḥ sa hi maṇimayaprasthamahito mahāmaunaḥ sthairyād atha	dRSam merO dadyAH sa hi maNi maya prasTam ahitaH mahA mOnaH sTEryAt aTa
   bhuvanam eva sthirayati // VidSrk_33.104 *(1122) //.	Buvanam eva sTirayati // Vit Srj _33.104 *(1122) //.
   ājñām eva muner nidhāya śirasā vindhyācala sthīyatām atyuccaiḥ padam	AjQAm eva muneH niDAya SirasA vinDya acala sTIyatAm ati uccEs padam
   icchatā punar iyaṃ no laṅghanīyā tvayā /	icCatA punar iyam naH laFGanIyA tvayA /
   mainākādimahīdhralabdhavasatiṃ yaḥ pītavān ambudhiṃ tasya tvāṃ gilataḥ	mEnAka Adi mahIDra labDa vasatim yaH pItavAn ambuDim tasya tvAm gilataH
   kapolamilanakleśo 'pi kiṃ jāyate // VidSrk_33.105 *(1123) //.	kapola milana kleSaH api kim jAyate // Vit Srj _33.105 *(1123) //.
   abhyudyatkavalagrahapraṇayinas te śallakīpallavās tac cāsphālasahaṃ saraḥ	aByudyat kavala graha praNayinaH te SallakI pallavAH tat ca AsPAla saham saraH
   kṣitibhṛtām ity asti ko nihnute /	kzitiBRtAm iti asti kaH nihnute /
   dantastambhaniṣaṇṇaniḥsahakaraḥ śvāsair atiprāṃśubhir yenāyaṃ virahī tu	danta stamBa nizaNNa niHsaha karaH SvAsEH ati prAMSuBiH yena ayam virahI tu
   vāraṇapatiḥ svāmin sa vindhyo bhavān // VidSrk_33.106 *(1124) //.	vAraNa patiH svAmin sa vinDyaH BavAn // Vit Srj _33.106 *(1124) //.
   /Colo ity anyāpadeśavrajyā	/ColaH iti anya apadeSa vrajyA
   tato vātavrajyā	tatas vAta vrajyA
   uddāmadviradāvalūnabisinīsaurabhyasambhāvita  vyomānaḥ	uddAma dvirada avalUna bisinI sOraBya samBAvita vyomAnaH
   kalahaṃsakampitagarutpālīmarunmāṃsalāḥ /	kalahaMsa kampita garutpAlI marut mAMsalAH /
   dūrottānataraṅgalaṅghanajalājaṅghālagarvaspṛśaḥ karpūradravaśīkarair iva	dUra uttAna taraFga laFGana jala AjaFGAla garva spRSaH karpUra drava SIkarEH iva
   diśo limpanti pampānilāḥ // VidSrk_34.1 *(1125) //	diSaH limpanti pampa anilAH // Vit Srj _34.1 *(1125) //
   andhrīnīrandhrapīnastanataṭaluṭhanāyāsamandapracārāś cārūn ullāsayanto	anDrI nI ranDra pIna stana tawa luWana AyAsa manda pracArAH cArUn ullAsayantaH 
   draviḍavaravadhūhāridhammillabhārān /	dravixa vara vaDU hAri Dam milla BArAn /
   jighrantaḥ siṃhalīnāṃ mukhakamalam alaṃ keralīnāṃ kapolaṃ cumbanto vānti	jiGrantaH siMha lInAm muKa kamalam alam keralInAm kapolam cumbantaH vAnti
   mandaṃ malayaparimalā vāyavo dākṣiṇātyāḥ // VidSrk_34.2 *(1126) //.	mandam malaya parimalAH vAyavaH dAkziNAtyAH // Vit Srj _34.2 *(1126) //.
   vasukalpasyaitau	vasu kalpasya etO
   latāṃ puṣpavatīṃ spṛṣṭvā kṛtasnāno jalāśaye /	latAm puzpavatIm spRzwvA kRta snAnaH jalASaye /
   punas tatsaṅgaśaṅkīva vāti vātaḥ śanaiḥ śanaiḥ // VidSrk_34.3 *(1127) //	punar tad saFga SaFkI iva vAti vAtaH SanEs SanEs // Vit Srj _34.3 *(1127) //
   vinayadevasya	vinaya devasya
   kāntākarṣaṇalolakeralavadhūdhamillamallīrajaś caurāś	kAntA karzaNa lolakerala vaDU Damilla mallI rajaH cOra AH 
   coḍanitambinīstanataṭe niṣpandatām āgatāḥ /	coxa nitambinI stana tawe nizpanda tAm AgatAH /
   revāśīkaradhāriṇo 'ndhramuralastrīmānamudrābhido vātā vānti	revA SIkara DAriNaH anDra murala strI mAna mudrA BidaH vAtAH vAnti
   navīnakokilavadhūhūṃkāravācālitāḥ // VidSrk_34.4 *(1128) //.	navIna kokila vaDU hUMkAra vAcAlitAH // Vit Srj _34.4 *(1128) //.
   śrīkaṇṭhasya	SrIkaNWasya
   dhunānaḥ kāverīparisarabhuvaś campakatarūn marun mandaṃ	DunAnaH kAverI parisara BuvaH campaka tarUn marut mandam
   kundaprakaramakarandān avakiran /	kunda prakaram akarandAn avakiran /
   priyapremākarṣacyutaracanam āmūlasaralaṃ lalāṭe lāṭīnāṃ luṭhitam alakaṃ	priya prema Akarza cyuta racanam AmUla saralam lalAwe lAwInAm luWitam alakam
   tāṇḍavayati // VidSrk_34.5 *(1129) //	tANxavayati // Vit Srj _34.5 *(1129) //
   vahati lalitamandaḥ kāminīmānabandhaṃ ślathayitum ayam eko dakṣiṇo	vahati lalita mandaH kAminI mAna banDam SlaTayitum ayam ekaH dakziNaH 
   dākṣiṇātyaḥ /	dAkziNAtyaH /
   vitarati ghanasārāmodam antar dhunāno jaladhijalataraṅgān khelayan	vitarati Gana sAra Amodam antar DunAnaH jalaDi jala taraFgAn Kelayan
   gandhavāhaḥ // VidSrk_34.6 *(1130) //	ganDavAhaH // Vit Srj _34.6 *(1130) //
   bhuktvā ciraṃ dakṣiṇadigvadhūm imāṃ vihāya tasyā bhayataḥ śanaiḥ śanaiḥ /	BuktvA ciram dakziNa diS vaDUm imAm vihAya tasyAH BayataH SanEs SanEs /
   sagandhasārādikṛtāṅgabhūṣaṇaḥ prayāty udīcīṃ dayitām ivānilaḥ //	sa ganDa sAra Adi kRta aFga BUzaNaH prayAti udIcIm dayitAm iva anilaH //
   VidSrk_34.7 *(1131) //	Vit Srj _34.7 *(1131) //
   /var{@bhūṣaṇaḥ/lem	/var{@ BUzaNaH/lem
   /emend/ /Ingalls, @bhūṣaḥ /edKG}	/ema ind/ /Ingalls, @BUzaH /edKG}
   vāti vyastalavaṅgalodhralavalīkuñjaḥ karañjadrumān ādhunvann upabhuktam	vAti vyasta lavaFga loDra lavalI kuQjaH karaQja drumAn ADunvan upaBuktam
   uktamuralātoyormimālājaḍaḥ /	ukta muralA toya Urmi mAlA jaxaH /
   svairaṃ dakṣiṇasindhukūlakadalīkacchopakaṇṭhodbhavaḥ	svEram dakziNa sinDu kUla kadalI kacCa upakaNWa udBavaH
   kāverītaṭatāḍitāḍanataṭatkārottaro mārutaḥ // VidSrk_34.8 *(1132) //.	kAverI tawa tAxi tAxana tawatkAra uttaraH mArutaH // Vit Srj _34.8 *(1132) //.
   cumbann ānanam āluṭhan stanataṭīm āndolayan kuntalaṃ vyasyann	cumban Ananam AluWan stana tawIm Andolayan kuntalam vyasyan= 
   aṃśukapallavaṃ manasijakrīḍāḥ samullāsayan /	aMSuka pallavam manasija krIxAH samullAsayan /
   aṅgaṃ vihvalayan mano vikalayan mānaṃ samunmūlayan nārīṇāṃ malayānilaḥ	aFgam vihvalayan manaH vikalayan mAnam samunmUlayan nArINAm malaya anilaH
   priya iva pratyaṅgam āliṅgati // VidSrk_34.9 *(1133) //.	priyaH iva pratyaFgam AliFgati // Vit Srj _34.9 *(1133) //.
   alīnāṃ mālābhir viracitajaṭābhāramahimā parāgaiḥ puṣpāṇām	alInAm mAlABiH viracita jawA BAra mahimA parAgEH puzpANAm
   uparacitabhasmavyatikaraḥ /	uparacita Basma vyatikaraH /
   vanānām ābhoge kusumavati puṣpoccayaparo marun mandaṃ mandaṃ vicarati	vanAnAm ABoge kusumavati puzpa uccaya paraH marut mandam mandam vicarati
   parivrājaka iva // VidSrk_34.10 *(1134) //.	parivrAjakaH iva // Vit Srj _34.10 *(1134) //.
   śaṣpaśyāmalitālavālanipatatkulyājalaplāvita  krīḍodyānaniketanājirajuṣām	Sazpa SyAmalitA lavAla nipatat kulyA jala plAvita krIxA udyAna niketana ajirajuzAm
   aspṛṣṭabhūreṇavaḥ /	aspRzwa BUreNavaH /
   suptaṃ samprati bodhayanti śanakaiś cetobhuvaṃ kāmināṃ	suptam samprati boDayanti SanakEs cetaH Buvam kAminAm
   pratyagrasphuṭamallikāsurabhayaḥ sāyaṃtanā vāyavaḥ // VidSrk_34.11 *(1135)	pratyagra sPuwa mallikA asura BayaH sAyaMtanAH vAyavaH // Vit Srj _34.11 *(1135)
   acalasiṃhasya	acala siMhasya
   adyābhogini gāḍhamarmanivahe harmāgravedījuṣāṃ sadyaś candanaśoṣiṇi	adya aBogini gAXa marma nivahe harma agra vedI juzAm sadyas candana SoziNi
   stanataṭe saṅge kuraṅgīdṛśām /	stana tawe saFge kuraFgI dRSAm /
   prāyaḥ praślathayanti puṣpadhanuṣaḥ puṣpākare niṣṭhite nirvedaṃ	prAyas praSlaTayanti puzpa DanuzaH puzpa Akare nizWite nirvedam
   navamallikāsurabhayaḥ sāyṃnayā vāyavaḥ // VidSrk_34.12 *(1136) //.	nava mallikA asura BayaH sAyMnayA vAyavaH // Vit Srj _34.12 *(1136) //.
   śatānandasya	SatAnandasya
   śiśiraśīkaravāhini mārute carati śītabhayād iva satvaraḥ /	SiSira SIkara vAhini mArute carati SIta BayAt iva sa tvaraH /
   manasijaḥ praviveśa viyoginī  hṛdayam āhitaśokahutāśanaḥ // VidSrk_34.13	manasijaH praviveSa viyoginI hRdayam Ahita Soka hutASanaH // Vit Srj _34.13
   kumāradāsasya	kumAradAsasya
   dīrghān muktaḥ sapadi malayādhityakāyāḥ prasaṅgād āviṣkurvan	dIrGAt muktaH sapadi malaya aDityakAyAH prasaFgAt Avizkurvan
   praṇayapiśunaṃ saurabhaṃ candanasya /	praNaya piSunam sOraBam candanasya /
   mandaṃ mandaṃ nipatati cirād āgato mādhavīṣu vyākurvāṇo bhayam iva paraṃ	mandam mandam nipatati cirAt AgataH mADavIzu vyAkurvANaH Bayam iva param
   dākṣiṇo gandhavāhaḥ // VidSrk_34.14 *(1138) //.	dAkziNaH ganDavAhaH // Vit Srj _34.14 *(1138) //.
   madhuśīlasya	maDu SIlasya
   prabhāte sannaddhastanitamahimānaṃ jaladharaṃ spṛśantaḥ sarvatra	praBAte sannadDa stanita mahimAnam jalaDaram spRSantaH sarvatra
   sphuṭitavanamallīsurabhayaḥ /	sPuwita vana mallI suraBayaH /
   amī mandaṃ mandaṃ suratasamaraśrāntataruṇī  lalāṭasvedāmbhaḥkaṇaparimuṣo	amI mandam mandam surata samara SrAnta taruNI lalAwa sveda amBaH kaNa parimuzaH 
   vānti marutaḥ // VidSrk_34.15 *(1139) //	vAnti marutaH // Vit Srj _34.15 *(1139) //
   suratabharakhinnapannagavilāsinīpānakelijarjaritaḥ /*	surata Bara Kinna pannaga vilAsinI pAna keli jarjaritaH /*
   punar iha virahiśvāsair malayamarun māṃsalībhavati // VidSrk_34.16 *(1140)	punar iha virahi SvAsEH malayamarut mAMsalIBavati // Vit Srj _34.16 *(1140)
   ete pallīparivṛḍhavadhūprauḍhakandarpakeli 	ete pallI parivRXa vaDU prOXa kandarpa keli 
   kliṣṭāpīnastanaparisarakhedasampadvipakṣāḥ /	klizwA pIna stana parisara Keda sampad vipakzAH /
   vānti svairaṃ sarasi sarasi kroḍadaṃṣṭrāvimarda 	vAnti svEram sarasi sarasi kroxa daMzwrA vimarda 
   truṭyadgundrāparimalaguṇagrāhiṇo gandhavāhāḥ // VidSrk_34.17 *(1141) //	truwyat gundrA parimala guNa grAhiNaH ganDavAhAH // Vit Srj _34.17 *(1141) //
   nādhanyaiḥ śaṅkhapāṇeḥ kṣaṇadhṛtagatayaḥ prāṃśubhiś candrakānta  prāsādair	na aDanyEH SaFKapANeH kzaNa DRta gatayaH prAMSuBiH candrakAnta prAsAdEH 
   dvārakāyāṃ taralitacaramāmbhodhinīrāḥ samīrāḥ /	dvArakAyAm taralita carama amBoDi nIrAH samIrAH /
   sevyante nityamādyatkarikāṭhinakarāsphālakālaprabuddha 	sevyante nityam Adyat kari kAWina kara AsPAla kAla prabudDa 
   krudhyatpañcānanāgradhvanibharavigaladguggulūdgāragarbhāḥ // VidSrk_34.18	kruDyat paQca Anana agra Dvani Bara vigalat guggulu udgAra garBAH // Vit Srj _34.18
   himasparśād aṅge ghanapulakajālaṃ vidadhataḥ	hima sparSAt aFge Gana pulaka jAlam vidaDataH
   pikatroṭītruṭyadvikacasahakārāṅkuralihaḥ /	pikatrowI truwya dvi kaca sahakAra aFkura lihaH /
   amī svairaṃ svairaṃ malayamaruto vānti dinajaṃ dināpāye cakṣuḥklamam	amI svEram svEram malaya marutaH vAnti dina jam dina apAye cakzuH klamam
   apaharanto mṛgadṛśām // VidSrk_34.19 *(1143) //	apaharantaH mRga dRSAm // Vit Srj _34.19 *(1143) //
   ayam uṣasi vinidradrāviḍītuṅgapīna  stanaparisarasāndrakhedabindūpamardī /	ayam uzasi vinidradrAvixI tuFga pIna stana parisarasAndra Keda bindu upamardI /
   srutamalayajavṛkṣakṣīrasaurabhyasabhyo vahati sakhi bhujaṅgībhuktaśeṣaḥ	sruta malayaja vRkza kzIra sOraBya saByaH vahati saKi BujaFgI Bukta SezaH
   samīraḥ // VidSrk_34.20 *(1144) //	samIraH // Vit Srj _34.20 *(1144) //
   ye dolākelikārāḥ kim api mṛgadṛśāṃ manyutantucchido ye sadyaḥ	ye dolA kelikArAH kim api mRga dRSAm manyu tantu= CidaH ye sadyas 
   śṛṅgāradīkṣāvyatikaraguravo ye ca lokatraye 'pi /	SRFgAra dIkzA vyatikara guravaH ye ca lokatraye api /
   te kaṇṭhe loṭhayantaḥ parabhṛtavayasāṃ pañcamaṃ rāgarājaṃ vānti svairaṃ	te kaNWe loWayantaH paraBRta vayasAm paQcamam rAgarAjam vAnti svEram
   samīrāḥ smaravijayamahāsākṣiṇo dākṣiṇātyāḥ // VidSrk_34.21 *(1145) //.	samIrAH smara vijaya mahA sAkziNaH dAkziNAtyAH // Vit Srj _34.21 *(1145) //.
   rājaśekharasya	rAjaSeKarasya
   daronmīlaccūḍaprakaramukulodgārasurabhir	dara unmIlat cUxa prakara mukula udgAra suraBiH 
   latālāsyakrīḍāvidhinibiḍadīkṣāparicayaḥ /	latAlA Asya krIxA viDi nibixa dIkzA paricayaH /
   vibhindann udyānāny atanumakarandadravahara  śramasvairo vāyur	viBindan udyAnAni atanumakaranda drava hara Srama svEraH vAyuH 
   manasijaśarair jarjarayati // VidSrk_34.22 *(1146) //	manasija SarEH jarjarayati // Vit Srj _34.22 *(1146) //
   śrāntāś cūtavanāni kuñjapaṭalapreṅkholanād unmiṣan 	SrAntAH cUta vanAni kuQja pawala preFKolanAt unmizan 
   mallīkuḍmalasāndrasaurabhasaritsaṃsyandaśṛṅgāriṇaḥ /	mallI kuxmala sAndra sOraBa sarit saMsyanda SRFgAriNaH /
   ete saṃvasathopakaṇṭhavilasadvṛṣṭyambuvīcīcayon 	ete saMvasaTa upakaNWa vilasat vRzwi ambu vIcIcayon 
   mīladbālatuṣāraśīkarakiraḥ krīḍanti jhañjhānilāḥ // VidSrk_34.23 *(1147)	mIlat bAla tuzAra SIkara kiraH krIxanti JaQJA anilAH // Vit Srj _34.23 *(1147)
   buddhākaraguptasya	budDa Akara guptasya
   /Colo iti vātavrajyā	/ColaH iti vAta vrajyA
   tato jātivrajyā|| 35	tatas jAti vrajyA|| 35
   ajājījambāle rajasi maricānāṃ ca luṭhitāḥ kaṭutvād uṣṇatvāj	ajAjI jambAle rajasi maricAnAm ca luWitAH kawu tvAt uzNa tvAt 
   janitarasanauṣṭhavyatikarāḥ /	janita rasana ozWa vyatikarAH /
   anirvāṇotthena prabalataratailāktatanavo mayā sadyo bhṛṣṭāḥ	anirvANa utTena prabalatara tEla akta tanavaH mayA sadyas BRzwAH
   katipayakavayyaḥ kavalitāḥ // VidSrk_35.1 *(1148) //.	katipaya kavayyaH kavalitAH // Vit Srj _35.1 *(1148) //.
   grīvābhaṅgābhirāmaṃ muhur anupatati syandane dattadṛṣṭiḥ paścārdhena	grIvA BaFga aBirAmam muhur anupatati syandane datta dRzwiH paSca arDena
   praviṣṭaḥ śarapatanabhayād bhūyasā pūrvakāyam /	pravizwaH Sara patana BayAt BUyasA pUrva kAyam /
   śaṣpair ardhāvalīḍhaiḥ śramavivṛtamukhabhraṃśibhiḥ kīrṇavartmā	SazpEH arDa avalIXEH Srama vivRta muKa BraMSiBiH kIrNavartmA
   paśyodagraplutatvād viyati bahutaraṃ stokam urvyāṃ prayāti // VidSrk_35.2	paSya udagra pluta tvAt viyati bahutaram stokam urvyAm prayAti // Vit Srj _35.2
   kālidāsasya	kAlidAsasya
   svairaṃ cakrānuvṛttyā muhur upari paribhramya samyakkṛtāsthaḥ	svEram cakra anuvRttyA muhur upari pariBramya samyak kRta AsTaH
   kṣiptādhidṛṣṭilakṣyīkṛtapalaśakalaḥ pakkaṇaprāṅgaṇeṣu /	kzipta aDidRzwi lakzyIkRta pala SakalaH pakkaNa prAFgaNezu /
   tīvrādhaḥpātapuñjīkṛtavitatacalatpakṣapālīviśālaś cillaś	tIvra aDas pAta puQjIkRta vitata calat pakzapAlI viSAlaH cillaH 
   cāṇḍālapallīpiṭharajaṭharataḥ proddharaty ardhadagdham // VidSrk_35.3	cANxAla pallI piWara jaWa rataH prodDarati arDa dagDam // Vit Srj _35.3
   udgrīvā vivṛtāruṇāsyakuharās tṛṣṇācalattālavaḥ	udgrIvAH vivRta aruNa Asya kuharAH tRzNA calat tAlavaH
   pakṣāsambhavavepamānatanavaḥ proḍḍīya kiṃcid bhuvaḥ /	pakza asamBava vepamAna tanavaH proxxIya kiMcid BuvaH /
   anyonyākramiṇaḥ śarāriśiśavaḥ prātar nadīrodhasi prāleyāmbu pibanti	anyonya AkramiNaH SarAri SiSavaH prAtar nadI roDasi prAleya ambu pibanti
   vīraṇadaladroṇīpraṇālasrutam // VidSrk_35.4 *(1151) //.	vIraNa dala droNI praNAla srutam // Vit Srj _35.4 *(1151) //.
   rajjukṣeparayonnamadbhujalatāvyaktaikapārśvastanī	rajju kzepa raya unnamat Buja latA vyakta eka pArSva stanI
   sūtracchedavilolaśaṅkhavalayaśreṇījhaṇatkāriṇī /	sUtra= Ceda vilola SaFKa valaya SreNI JaNat kAriNI /
   tiryagvistṛtapīvaroruyugalā pṛṣṭhānativyākṛtā  bhogaśroṇir udasyati	tiryak vistRta pIvara Uru yugalA pRzWAnati vyAkRtA Boga SroNiH udasyati
   pratimuhuḥ kūpād apaḥ pāmarī // VidSrk_35.5 *(1152) //	pratimuhur kUpAt apaH pAmarI // Vit Srj _35.5 *(1152) //
   pakṣābhyāṃ sahitau prasārya caraṇāv ekaikaśaḥ pārśvayor ekīkṛtya	pakzAByAm sahitO prasArya caraNO ekEkaSas pArSvayoH ekIkRtya
   śirodharopari śanaiḥ pāṇḍūdare pakṣatī /	SiroDarA upari SanEs pANxu udare pakzatI /
   nidrāśeṣaviśeṣaraktanayano niryāya nīḍodarād āsṛkkāntavidāritānanapuṭaḥ	nidrA aSeza viSeza rakta nayanaH niryAya nIxa udarAt AsRk kAnta vidArita Anana puwaH
   pārāvato jṛmbhate // VidSrk_35.6 *(1153) //.	pArAvataH jRmBate // Vit Srj _35.6 *(1153) //.
   bhṛṅgārasya	BRFgArasya
   prātar vāravilāsinījanaraṇanmañjīramañjusvanair udbuddhaḥ paridhūya	prAtar vAra vilAsinI jana raNat maQjIra maQju svanEH udbudDaH pariDUya
   pakṣatipuṭaṃ pārāvataḥ saspṛham /	pakzati puwam pArAvataH sa spRham /
   kiṃcitkuñcitalocanāṃ sahacarīṃ saṃcumbya cañcvā ciraṃ	kiMcid kuQcita locanAm sahacarIm saMcumbya caQcvA ciram
   mandāndolitakaṇṭhakuṇṭhitagalaḥ sotkaṇṭham utkūjati // VidSrk_35.7 *(1154)	mandAndolita kaNWa kuNWita galaH sa utkaNWam utkUjati // Vit Srj _35.7 *(1154)
   vikramādityatapasvinoḥ	vikrama Aditya tapasvinoH
   utplutya dūraṃ paridhūya pakṣā  vadho nirīkṣya kṣaṇabaddhalakṣyaḥ /	utplutya dUram pariDUya pakzA vaDaH nirIkzya kzaNa badDa lakzyaH /
   madhyejalaṃ buḍḍati dattajhampaḥ samatsyam utsarpati matsyaraṅkaḥ //	maDyejalam buxxati datta JampaH sa matsyam utsarpati matsya raFkaH //
   VidSrk_35.8 *(1155) //	Vit Srj _35.8 *(1155) //
   vākpatirājasya	vAkpati rAjasya
   nīḍād apakramya vidhūya pakṣau vṛkṣāgram āruhya tataḥ krameṇa /	nIxAt apakramya viDUya pakzO vRkza agram Aruhya tatas krameNa /
