   Aśokāvadānaṃ	ASoka-avadAnam
   yatpratyekabuddhaḥ śastreṇa praghātitastasya karmaṇo vipākena bahūni	yat-pratyekabudDaH SastreNa praGAtitaH-tasya karmaNaH vipAkena bahUni
   varṣasahasrāṇi narakeṣu duḥkhamanubhūya pañcajanmaśatani manuṣyaṣupapannaḥ	varza-sahasrANi narakezu duHKam-anuBUya paQcajanma-Satani manuzya-zupa-pannaH
   śastreṇa praghātitaḥ / tatkarmāvaśeṣeṇaitarhi arhattvaprāpto 'pi śastreṇa	SastreNa praGAtitaH / tad-karma-avaSezeNa-etarhi arhat-tva-prAptaH api SastreNa
   praghātitaḥ /	praGAtitaH /
   kiṃ karma kṛtaṃ yena uccakule upapannaḥ / arhattvaṃ ca prāptaṃ /	kim karma kRtam yena ucca-kule upapannaH / arhat-tvam ca prAptam /
   sthavira uvāca / kāśyape samyaksambuddhe pravrajitaḥ / abhūt pradānaruciḥ	sTaviraH uvAca / kASyape samyaksambudDe pravrajitaH / aBUt pradAna-ruciH
   / tena dāyakadānapatayaḥ saṅghabhaktāḥ kārāpitāḥ / tarpaṇāni yavāgūpānāni	/ tena dAyaka-dAna-patayaH saFGa-BaktAH kArApitAH / tarpaNAni yavAgU-pAnAni
   nimantraṇākāni [kārāpitāni] stūpeṣu ca chatrāṇyavaropitāni /	nimantraNAkAni [kAra-apitAni] stUpezu ca CatrANi-avaropitAni /
   dhvajapatākāgandhamālyapuṣpavāditrasamudayena pūjāḥ kṛtāḥ / tasya karmaṇo	Dvaja-patAkA-ganDa-mAlya-puzpa-vAditra-samudayena pUjAH kRtAH / tasya karmaNaH-
   vipākenoccakula upapannaḥ / yāvad daśavarṣasahasrāṇi brahmacaryaṃ caritvā	vipAkena-uccakule upapannaH / yAvat daSa-varza-sahasrANi brahmacaryam caritvA
   samyak praṇidhānaṃ kṛtaṃ / tasya karmaṇo vipākenārhattvaṃ prāptamiti /	samyak praNiDAnam kRtam / tasya karmaNaH vipAkena-arhat-tvam prAptam-iti /
   iti śrīdivyāvadāne vītaśokāvadānamaṣṭāviṃśatitamaṃ /	iti SrI-divya-avadAne vIta-Soka-avadAnam-azwAviMSatitamam /
   (A-av 71)	(a-a-au 71)
   kunālāvadānaṃ	kunAla-avadAnam
   yaśo 'mātyopākhyānaṃ	yaSaH amAtya-upAKyAnam
   sa idānīmacirajātaprasādo buddhāśāsane yatra śākyaputrīyān dadarśa, ākīrṇe	saH idAnIm-acira-jAta-prasAdaH budDa-ASAsane yatra SAkya-putrIyAn dadarSa, AkIrNe
   rahasi vā tatra śirasā pādayornipatya vandate sma /	rahasi vA tatra SirasA pAdayoH-nipatya vandate sma /
   tasya ca yaśo nāmāmātyaḥ paramaśrāddho bhagavati / sa taṃ rājānamuvāca /	tasya ca yaSaH nAma-amAtyaH parama-SrAdDaH Bagavati / sa tam rAjAnam-uvAca /
   deva nārhasi sarvarṇapravrajitānāṃ praṇipātaṃ kartuṃ / santi hi	deva na-arhasi sarva-RNa-pravrajitAnAm praNipAtam kartum / santi hi
   śākyaśrāmaṇerakāścaturbhyo varṇebhyaḥ pravrajitā iti / tasya rājā na	SAkya-SrAmaNerakAH-caturByaH varNeByaH pravrajitAH iti / tasya rAjA na
   kiṃcidavocad /	kiMcid-avocat /
   atha sa rājā kenacit kālāntareṇa sarvasacivān uvāca / vividhānāṃ prāṇināṃ	aTa sa rAjA kenacid kAla-antareNa sarva-sacivAn uvAca / viviDAnAm prANinAm
   śirobhiḥ kāryaṃ / tattvamamukasya prāṇinaḥ śīrṣamānaya tvamamukasyeti /	SiroBiH kAryam / tattvam-amukasya prANinaH SIrzam-Anaya tvam-amukasya-iti /
   yaśo 'mātyaḥ punarājñaptastvaṃ mānuṣaṃ śīrṣamānayeti / samānīteṣu ca	yaSaH amAtyaH punar-AjQaptaH-tvam mAnuzam SIrzam-Anaya-iti / samAnItezu ca
   śīraḥsvabhihitāḥ / gacchatemāni śirāṃsi mūlyena vikrīṇidhvamiti /	SIraHsu-aBihitAH / gacCata-imAni SirAMsi mUlyena vikrINiDvam-iti /
   atha sarvaśirāṃsi vikrītāni / tadeva mānuṣaṃ śiro na kaścij (A-av 72)	aTa sarva-SirAMsi vikrItAni / tat-eva mAnuzam SiraH na kaScid (A-au 72)
   jagrāha / tato rājñābhihitaḥ / vināpi mūlyena kasmaicid etacchiro dehiti /	jagrAha / tatas rAjQA-aBihitaH / vinA-api mUlyena kasmEcid etat-SiraH dehiti /
   na cāsya kaścit pratigrāhako babhūva / tato yaśo 'mātyastasya śirasaḥ	na ca-asya kaScid pratigrAhakaH baBUva / tatas yaSaH amAtyaH-tasya SirasaH
   pratigrāhakamanāsādya savrīḍo rājānamupetyedamarthamuvāca /	pratigrAhakam-anAsAdya sa-vrIxaH rAjAnam-upetya-idam-arTam-uvAca /
   gogardabhorabhramṛgadvijānāṃ mūlyairgṛhītāni śirāṃsi pumbhiḥ /	go-gardaBa-uraBra-mRga-dvijAnAm mUlyEH-gRhItAni SirAMsi pumBiH /
   śirastvidaṃ mānuṣamapraśastaṃ na gṛhyate mūlyamṛte 'pi rājan //	SiraH-tu-idam mAnuzam-apraSastam na gRhyate mUlyam-Rte api rAjan //
   atha sa rājā tamamātyamuvāca / kimidamiti / idaṃ mānuṣaśiro na kaścid	aTa sa rAjA tam-amAtyam-uvAca / kim-idam-iti / idam mAnuza-SiraH na kaScid-
   gṛṇhātīti /	gRNhAti-iti /
   amātya uvāca / jugupsitatvāditi / rājābravīt / kimetadeva śiro	amAtyaH uvAca / jugupsita-tvAt-iti / rAjA-abravIt / kim-etat-eva SiraH-
   jugupsitamāhosvit sarvamānuṣaśirāṃsīti / amātya uvāca /	jugupsitam-Ahosvit sarva-mAnuza-SirAMsi-iti / amAtyaH uvAca /
   sarvamānuṣaśirāṃsīti /	sarva-mAnuza-SirAMsi-iti /
   rājābravīt / kimidaṃ madīyamapi śiro jugupsitamiti / sa ca bhayānnecchati	rAjA-abravIt / kim-idam madIyam-api SiraH jugupsitam-iti / sa ca BayAt-na-icCati
   tasmād bhūtārthamabhidhātuṃ / sa rājñābhihitaḥ / amātya satyamucyatāmiti /	tasmAt BUta-arTam-aBiDAtum / sa rAjQA-aBihitaH / amAtya satyam-ucyatAm-iti /
   sa uvāca / evamiti /	saH uvAca / evam-iti /
   tataḥ sa rājā tamamātyaṃ pratijñāyāṃ pratiṣṭhāpya	tatas sa rAjA tam-amAtyam pratijQAyAm pratizWApya
   pratyādiśannimamarthamuvāca / haṃ bho rūpaiśvaryajanitamadavismita	pratyAdiSat-nimam-arTam-uvAca / ham Bo rUpa-ESvarya-janita-madavismita
   yuktamidaṃ bhavataḥ / yasmāttvaṃ bhikṣucaraṇapraṇāmaṃ māṃ	yuktam-idam BavataH / yasmAt-tvam Bikzu-caraNa-praNAmam mAm
   vicchandayitumicchasi /	vicCandayitum-icCasi /
   vināpi mūlyairvijugupsitatvāt pratigrahītā bhuvi yasya nāsti /	vinA-api mUlyEH-vijugupsita-tvAt pratigrahItA Buvi yasya na-asti /
   śirastadāsādya mameha puṇyaṃ yadyarjitaṃ kiṃ viparītamatra //	SiraH-tadAsAdya mama-iha puNyam yadi-arjitam kim viparItam-atra //
   (A-av 73)	(a-a-au 73)
   jātiṃ bhavān paśyati śākyabhikṣuṣvantargatāṃsteṣu guṇānna ceti /	jAtim BavAn paSyati SAkya-Bikzuzu-antargatAn=-tezu guNAn-na ca-iti /
   ato bhavān jātimadāvalepādātmānamanyāṃśca hinasti mohāt //	atas BavAn jAti-mada-avalepAt-AtmAnam-anyAn=-ca hinasti mohAt //
   āvāhakāle 'tha vivāhakāle jāteḥ parīkṣā na tu dharmakāle /	AvAha-kAle aTa vivAha-kAle jAteH parIkzA na tu Darma-kAle /
   dharmakriyāyā hi guṇā nimitta guṇāśca jātiṃ na vicārayanti //	Darma-kriyAyAH hi guNAH nimitta guNAH-ca jAtim na vicArayanti //
   yadyuccakulīnagatā doṣā garhāṃ prayānti loke 'smin /	yadi-ucca-kulIna-gatAH dozAH garhAm prayAnti loke asmin /
   kathamiva nīcajanagatā guṇā na satkāramarhanti //	kaTam-iva nIca-jana-gatAH guNAH na satkAram-arhanti //
   cittavaśena hi puṃsāṃ kaḍevaraṃ nindyate 'tha satkriyate /	citta-vaSena hi puMsAm kaxevaram nindyate aTa satkriyate /
   śākyaśramaṇamanāṃsi ca śuddhānyarcāmyataḥ śākyān //	SAkya-SramaNa-manAMsi ca SudDAni-arcAmi-atas SAkyAn //
   yadi guṇaparivarjito dvijātiḥ patita iti prathito 'pi yātyavajñāṃ /	yadi guNa-parivarjitaH dvijAtiH patitaH iti praTitaH api yAti-avajQAm /
   nanu nidhanakulodgato 'pi jantuḥ śubhaguṇayukta iti praṇamyapūjyaḥ //	nanu niDana-kula-udgataH api jantuH SuBa-guNa-yuktaH iti praNamya-pUjyaH //
   api ca /	api ca /
   kiṃ te kāruṇikasya śākyavṛṣabhasyaitad vaco na śrutaṃ	kim te kAruNikasya SAkya-vRzaBasya-etat vacaH na Srutam
   prājñaiḥ sāramasārakebhya iha yantrebhyo grahītuṃ kṣamaṃ /	prAjQEH sAramasArakeByaH iha yantreByaH grahItum kzamam /
   tasyānanyathavādino yadi ca tāmājñāṃ cikīrṣāmyahaṃ	tasya-ananyaTavA-AdinaH yadi ca tAm-AjQAm cikIrzAmi-aham
   vyāhantuṃ ca bhavān yadi prayatate naitat suhṛllakṣaṇaṃ //	vyAhantum ca BavAn yadi prayatate na-etat suhRd-lakzaNam //
   ikṣukṣodavad ujjhito bhuvi yadā kāyo mama svapsyati	ikzu-kzoda-vat ujJitaH Buvi yadA kAyaH mama svapsyati
   pratyutthānanamaskṛtāñjalipuṭakleśakriyāsvakṣamaḥ /	pratyutTAna-namaskRta-aQjali-puwa-kleSa-kriyAsu-akzamaH /
   kāyenāhamanena kinnu kuśalaṃ śakṣyāmi kartuṃ tadā	kAyena-aham-anena kinnu kuSalam SakzyAmi kartum tadA
   tasmān nvarhamataḥ śmaśānanidhanāt sāraṃ grahītuṃ mayā //	tasmAt nu-arham-atas SmaSAna-niDanAt sAram grahItum mayA //
   (A-av 74)	(a-a-au 74)
   bhavanādiva pradīptān nimajjamānādivāpsu ratnanidheḥ /	BavanAt-iva pradIptAn nimajjamAnAt-i-va-apsu ratna-niDeH /
   kāyād vidhānanidhanād ye sāraṃ nādhigacchanti //	kAyAt viDAna-niDanAt ye sAram na-aDigacCanti //
   te sāramapaśyantaḥ sārāsāreṣvakovidāprājñāḥ /	te sAram-apaSyantaH sAra-asArezu-akovidA-prAjQAH /
   te maraṇamakaravadanapraveśasamaye viṣīdanti //	te maraNa-makara-vadana-praveSa-samaye vizIdanti //
   dadhighṛtanavanītakṣīratakropayogād	daDi-GRta-navanIta-kzIra-takra-upayogAt-
   varamapahṛtasāro maṇḍakumbhovabhagnaḥ /	varam-apahRta-sAraH maNxa-kumBaH-vaBagnaH /
   na bhavati bahuścocyaṃ yadvadevaṃ śarīraṃ	na Bavati bahuH-cocyam yadvat-evam SarIram
   sucaritahṛtasāraṃ naiti śoko 'ntakāle //	su-carita-hRta-sAram na-eti SokaH anta-kAle //
   sucaritavimukhānāṃ garvitānāṃ yadā tu	su-carita-vimuKAnAm garvitAnAm yadA tu
   prasabhamiha hi mṛtyu kāyakumbhaṃ bhinatti /	prasaBam-iha hi mRtyu kAya-kumBam Binatti /
   dahati hṛdayameṣāṃ śokavanhistadānīṃ	dahati hRdayam-ezAm Soka-vanhiH-tadAnIm
   dadhighata iva bhagne sarvaśo 'prāptasāre //	daDi-GataH iva Bagne sarvaSas aprApta-sAre //
   kartuṃ vighnamato na me 'rhati bhavān kāyapraṇāmaṃ prati	kartum viGnam-atas na me arhati BavAn kAya-praNAmam prati
   śreṣṭho 'smītyaparīkṣako hi gaṇayan mohāndhakārāvṛtaḥ /	SrezWaH asmi-iti-aparIkzakaH hi gaNayan moha-anDakAra-AvRtaH /
   kāyaṃ yastu parīkṣate daśabalavyāhāradīpairbudhaḥ	kAyam yaH-tu parIkzate daSa-bala-vyAhAra-dIpEH-buDaH
   nāsau pārthivabhṛtyayorvisa[ṣa]matāṃ kāyasya saṃpaśyati //	na-asO pArTiva-BRtyayoH-visa[za]matAm kAyasya saMpaSyati //
   tvaṅmāṃsāsthiśirāyākṛtprabhṛto bhāvā hi tulyā nṛṇāṃ	tvac-mAMsa-asTi-SirA-yAkRt-praBRtaH BAvAH hi tulyA nRNAm
   āhāryaistu vibhūṣaṇairadhikatā kāyasya niṣpādyate /	AhAryEH-tu viBUzaNEH-aDika-tA kAyasya nizpAdyate /
   etat sāramiheṣyate tu yadimaṃ niśritya kāyādhamaṃ	etat sAram-iha-izyate tu yat-imam niSritya kAya-aDamam
   pratyutthānanamaskṛtādi kuśalaṃ prājñaiḥ samutthāpyate /	pratyutTAna-namaskRta-Adi kuSalam prAjQEH samutTApyate /
   iti /	iti /
   rājāśokopākhyānaṃ	rAja-aSoka-upAKyAnam
   athāśoko rājā hi kṣodakasikatāpiṇḍairaṇḍakāṣṭhebhyo 'pi asārataratvaṃ	aTa-aSokaH rAjA hi kzodaka-sikatA-piNxa-eraNxa-kAzWeByaH api asAratara-tvam
   kāyasyāvetya, praṇāmādibhyaḥ samutthasya phalasya bahukalpaśaḥ sthāpayitvā	kAyasya-Avetya, praNAma-AdiByaH samutTasya Palasya bahu-kalpaSas sTApayitvA
   sumeruvan, mahāpṛthivībhyaḥ sārataratāmavekṣya bhagavataḥ (A-av 75)	sumeru-van, mahA-pRTivIByaH sAratara-tAm-avekzya BagavataH (A-au 75)
   stūpavandanāyām ātmānamalaṅkartukāmo 'mātyagaṇaparivṛtaḥ kukkuṭārāmaṃ	stu-upavandanAyAm AtmAnam-alaFkartu-kAmaH amAtya-gaNa-parivRtaH kukkuwa-ArAmam
   gatvā tatra vṛddhānte sthitvā kṛtāñjalir uvāca /	gatvA tatra vRdDAnte sTitvA kRtAQjaliH uvAca /
   asti kaścidanyo 'pi nirdiṣṭaḥ sarvadarśinā /	asti kaScid-anyaH api nirdizwaH sarva-darSinA /
   yathāhaṃ tena nirdiṣṭaṃ pāṃśudānena dhīmatā //	yaTA-aham tena nirdizwam pAMSu-dAnena DImatA //
   tatra yaśo nāmnā saṅghasthavira uvāca / asti mahārāja / yadā bhagavataḥ	tatra yaSaH nAmnA saFGa-sTaviraH uvAca / asti mahA-rAja / yadA BagavataH
   parinirvāṇakālasamayastadāpalālaṃ nāgaṃ damayitvā kumbhakārīṃ caṇḍālīṃ	parinirvANa-kAla-samayaH-tadA-palAlam nAgam damayitvA kumBakArIm caNxAlIm
   gopālīṃ ca nāgaṃ ca mathurāmanuprāptaḥ /	gopAlIm ca nAgam ca maTurAm-anuprAptaH /
   tatra bhagavānāyuṣmantamānandam āmantrayata / asyāmānanda mathurāyāṃ	tatra BagavAn-Ayuzmantam-Anandam Amantrayata / asyAm-Ananda maTurAyAm
   varṣaśataparinirvṛtasya tathāgatasya gupto nāmnā gāndhiko bhaviṣyati /	varza-Sata-parinirvRtasya taTAgatasya guptaH nAmnA gAnDikaH Bavizyati /
   tasya putro bhaviṣyatyupagupto nāmnā avavādakānāmagraḥ alakṣaṇako buddho	tasya putraH Bavizyati-upaguptaH nAmnA avavAdakAnAm-agraH alakzaNakaH budDaH-
   yo mama varṣaśataparinirvṛtasya buddhakāryaṃ kariṣyati /	yaH mama varza-Sata-parinirvRtasya budDa-kAryam karizyati /
   paśyasi tvamānanda dūrata eva nīlanīlāmbararājiṃ / evaṃ bhadanta / eṣa	paSyasi tvam-Ananda dUratas eva nIla-nIla-ambara-rAjim / evam Badanta / eza
   ānanda urumuṇḍo nāma parvato 'tra varṣaśataparinirvṛtasya tathāgatasya	AnandaH urumuNxaH nAma parvataH atra varza-Sata-parinirvRtasya taTAgatasya
   naṭabhaṭikā nāmāraṇyāyatanaṃ bhaviṣyati / etadagraṃ me (A-av 76) ānanda	nawaBawikA nAma-araNyAyatanam Bavizyati / etat-agram me (A-au 76) Ananda
   bhaviṣyati śamathānukūlānāṃ śayyāsanānāṃ yaduta naṭabhaṭikā	Bavizyati SamaTa-anukUlAnAm SayyA-AsanAnAm yat-uta nawaBawikA
   nāmāraṇyāyatanam / āha ca /	nAma-araNyAyatanam / Aha ca /
   avavādakānāṃ pravara upagupto mahāyaśāḥ /	avavAdakAnAm pravaraH upaguptaH mahA-yaSAH /
   vyākṛto lokanāthena buddhakāryaṃ kariṣyati //	vyAkRtaH lokanATena budDa-kAryam karizyati //
   rājāha /	rAjA-Aha /
   kiṃ punaḥ sa śuddhasattva upapannaḥ / athādyāpi notpadyata iti / sthavira	kim punar sa SudDa-sattvaH upapannaH / aTa-adya-api na-utpadyate iti / sTavira
   uvāca / utpannaḥ sa mahātmā urumuṇḍe parvate jitakleśo 'rhadgaṇaiḥ	uvAca / utpannaH sa mahAtmA uru-muNxe parvate jita-kleSaH arhat-gaNEH
   parivṛtastiṣṭhati lokānukampārthaṃ / api ca deva /	parivRtaH-tizWati loka-anukampA-arTam / api ca deva /
   sarvajñalīlo hi sa śuddhasattvo dharmaṃ praṇītaṃ vadate gaṇāgre /	sarvajQa-lIlaH hi sa SudDa-sattvaH Darmam praNItam vadate gaNa-agre /
   devāsurendroragamānuṣāṃśca sahasraśo mokṣapuraṃ praṇetā //	deva-asura-indra-uraga-mAnuzAn=-ca sahasraSas mokza-puram praNetA //
   tena khalu samayenāyuṣmānupagupto 'ṣṭādaśabhirarhatsahasraiḥ parivṛto	tena Kalu samayena-AyuzmAn-upaguptaH azwAdaSaBiH-arhat-sahasrEH parivRtaH-
   naṭabhaṭikāraṇyāyatane prativasati / śrutvā ca rājāmātyagaṇān āhūya	nawa-BawikA-araNya-Ayatane prativasati / SrutvA ca rAjA-amAtya-gaNAn AhUya
   kathayati /	kaTayati /
   saṃnāhyatāṃ hastirathāśvakāyaḥ śīghraṃ prayāsyāmyurumuṇḍaśailaṃ /	saMnAhyatAm hasti-raTa-aSva-kAyaH SIGram prayAsyAmi-uru-muNxa-SElam /
   drakṣyāmi sarvāsrava vipramuktaṃ sākṣadarhantaḥ hyupaguptamāryaṃ //	drakzyAmi sarva-Asrava vipramuktam sAkza-darhantaH hi-upaguptam-Aryam //
   tato 'mātyairabhihitaḥ / deva dūtaḥ preṣayitavyo viṣayanivāsī sa devasya	tatas amAtyEH-aBihitaH / deva dUtaH prezayitavyaH vizaya-nivAsI sa devasya
   svayamevāgamiṣyati / rājāha / nāsāvasmāka arhatyabhigantum kiṃtu	svayam-eva-Agamizyati / rAjA-Aha / na-asO=-asmAka arhati-aBigantum kiMtu
   vayamevārhāmastasyābhigantum / api ca /	vayam-eva-arhAmaH-tasya-aBigantum / api ca /
   (A-av 77)	(a-a-au 77)
   manye vajramayaṃ tasya dehaṃ śailopamādhikaṃ /	manye vajra-mayam tasya deham SEla-upama-aDikam /
   śāstṛtulyopaguptasya yo hyājñāmākṣipen naraḥ //	SAstR-tulya-upaguptasya yaH hi-AjQAm-Akzipet naraH //
   yāvad rājñā sthaviropaguptasya sakāśaṃ dūtaḥ preṣitaḥ sthaviradarśanāya	yAvat rAjQA sTavira-upaguptasya sakASam dUtaH prezitaH sTavira-darSanAya
   āgamiṣyāmīti / sthaviropaguptaścintayati / yadi rājāgamiṣyati	AgamizyAmi-iti / sTavira-upaguptaH-cintayati / yadi rAja-Agamizyati
   mahājanakāyasya pīḍā bhaviṣyati / gocarasya ca / tataḥ sthavireṇābhihitaṃ	mahA-jana-kAyasya pIxA Bavizyati / gocarasya ca / tatas sTavireNa-aBihitam
   / svayamevāgamiṣyāmīti /	/ svayam-eva-AgamizyAmi-iti /
   tato rājñā sthaviropaguptasyārthe nauyānenāgamiṣyatīti yāvacca mathurāṃ	tatas rAjQA sTavira-upaguptasya-arTe nOyAnena-Agamizyati-iti yAvat-ca maTurAm
   yāvacca pāṭaliputramantarān nausaṅkramo 'vasthāpitaḥ / atha	yAvat-ca pAwaliputram-antarAt nOsaFkramaH avasTApitaH / aTa
   sthaviropagupto rājño 'śokasya anugrahārtham aṣṭādaśabhirarhatsahasraiḥ	sTavira-upaguptaH rAjQaH aSokasya anugraha-arTam azwAdaSaBiH-arhat-sahasrEH
   parivṛto nāvamabhiruhya pāṭaliputramanuprāptaḥ /	parivRtaH nAvam-aBiruhya pAwaliputram-anuprAptaH /
   tato rājapuruṣai rājño 'śokasya niveditaṃ / deva diṣṭyā vardhasva /	tatas rAja-puruzEH rAjQaH aSokasya niveditam / deva dizwyA varDasva /
   anugrahārthaṃ tava sopaguptaścitteśvaraḥ śāsanakarṇadhāraḥ	anugraha-arTam tava sa-upaguptaH-citteSvaraH SAsana-karNaDAraH
   puraskṛtastīrṇabhavaughapāraiḥ sārdhaṃ samabhyāgata eṣa pabhdyāṃ /	puraskRtaH-tIrNa-Bava-oGa-pArEH sArDam samaByAgataH eza paBdyAm /
   śrutvā ca rājñā prītamanasā śatasahasramūlyo muktāhāraḥ svaśarīrādavanīya	SrutvA ca rAjQA prIta-manasA Sata-sahasra-mUlyaH muktA-hAraH sva-SarIrAt-avanIya
   priyākhyāyino dattaḥ / ghāṇṭikaṃ cāhūya kathayati / ghūṣyantāṃ pātaliputre	priya-AKyAyinaH dattaH / GANwikam ca-AhUya kaTayati / GUzyantAm pAtaliputre
   ghaṇṭāḥ / sthaviropaguptasyāgamanaṃ nivedyatāṃ / vaktavyaṃ /	GaNwAH / sTavira-upaguptasya-Agamanam nivedyatAm / vaktavyam /
   (A-av 78)	(a-a-au 78)
   utsṛjya dāridramanarthamūlaṃ yaḥ sphītaśobhāṃ śriyamicchatīha /	utsRjya dAridram-anarTa-mUlam yaH sPIta-SoBAm Sriyam-icCati-iha /
   svargāpavargāya ca hetubhūtaṃ sa paśyatāṃ kāruṇikopaguptaṃ //	svarga-apavargAya ca hetu-BUtam sa paSyatAm kAruNikA-upaguptam //
   yebhirna dṛṣṭo dvipadapradhānaḥ śāstā mahākāruṇikaḥ svayambhūḥ /	yeBiH-na dRzwaH dvipada-praDAnaH SAstA mahA-kAruNikaH svayamBUH /
   te śāstṛkalpaṃ sthaviropaguptaṃ paśyantyudāraṃ tribhavapradīpaṃ //	te SAstR-kalpam sTavira-upaguptam paSyanti-udAram tri-Bava-pradIpam //
   yāvadrājñā pāṭaliputre ghaṇṭāṃ ghoṣayitvā nagaraśobhāṃ ca kārayitvā	yAvat-rAjQA pAwaliputre GaNwAm GozayitvA nagara-SoBAm ca kArayitvA
   ardhatṛtīyāni yojanāni gatvā sarvavādyena sarvapuṣpagandhamālyena	arDa-tRtIyAni yojanAni gatvA sarva-vAdyena sarva-puzpa-ganDa-mAlyena
   sarvapauraiḥ sarvamātyaiḥ saha sthaviropaguptaṃ pratyudgataḥ /	sarva-pOrEH sarva-mAtyEH saha sTavira-upaguptam pratyudgataH /
   dadarśa rājā sthaviropaguptaṃ durata eva	dadarSa rAjA sTavira-upaguptam duratas eva
   aṣṭādaśabhirarhatsahasrairardhacandreṇopaguptaṃ / yadantaraṃ ca rājā	azwAdaSaBiH-arhat-sahasrEH-arDacandreNa-upaguptam / yat-antaram ca rAjA
   sthaviropaguptamadrākṣīt tadantaraṃ hastiskandhād avatīrya padbhyāṃ	sTavira-upaguptam-adrAkzIt tad-antaram hasti-skanDAt avatIrya padByAm
   nadītiramabhigamya ekaṃ pādaṃ nadītīre sthāpya dvitīyaṃ nauphalake	nadItiram-aBigamya ekam pAdam nadI-tIre sTApya dvitIyam nOPalake
   sthaviropaguptaṃ sarvāṅgeṇānuparigṛhya nāva uttāritavān / uttārya ca	sTavira-upaguptam sarva-aFgeNa-anuparigRhya nAvaH uttAritavAn / uttArya ca
   mūlanikṛtta iva drumaḥ sarvaśarīreṇopaguptasya pādayornipatito	mUla-nikRttaH iva drumaH sarva-SarIreNa-upaguptasya pAdayoH-nipatitaH-
   mukhatuṇḍakena ca pādāvanuparimārjya utthāya dvau jānumaṇḍalau pṛthivītale	muKa-tuNxakena ca pAdO=-anuparimArjyaH utTAya dvO jAnu-maNxalO pRTivI-tale
   nikṣipya kṛtāñjaliḥ sthaviropaguptaṃ nirīkṣamāṇa uvāca /	nikzipya kRtAQjaliH sTavira-upaguptam nirIkzamANaH uvAca /
   yadā mayā śatrugaṇān nihatya prāptā samudrābharaṇā saśailā /	yadA mayA Satru-gaNAn nihatya prAptA samudra-ABaraNA sa-SElAH /
   ekātapatrā pṛthivī tadā me prītirna sā yā sthaviraṃ nirīkṣya //	eka-AtapatrA pRTivI tadA me prItiH-na sA yA sTaviram nirIkzya //
   (A-av 79)	(a-a-au 79)
   tvaddarśanām me dviguṇaprasādaḥ saṃjāyate 'smin varaśāsanāgre /	tvad-darSanAm me dviguNa-prasAdaH saMjAyate asmin vara-SAsana-agre /
   tvaddarśanāccaiva paropi śuddho dṛṣṭo mayādya apratimaḥ svayambhūḥ //	tvad-darSanAt-ca-eva paropi SudDaH dRzwaH mayA-adya apratimaH svayamBUH //
   api ca /	api ca /
   śāntiṃgate kāruṇike jinendre tvaṃ buddhakāryaṃ kuruṣe triloke /	SAntiMgate kAruNike jinendre tvam budDa-kAryam kuruze triloke /
   naṣṭe jaganmohanamīlitākṣe tvamarkavaj jñānavabhāsakartā //	nazwe jagat-mohana-mIlita-akze tvam-arka-vat jQAna-vaBAsa-kartA //
   tvaṃ śāstṛkalpo jagadekacakṣuravavādakānāṃ pravaraḥ śaraṇyaṃ /	tvam SAstR-kalpaH jagat-eka-cakzuH-avavAdakAnAm pravaraH SaraNyam /
   vibho mamājñāṃ vada śīghramadya kartāsmi vākyaṃ tava śuddhasattva //	viBo mama-AjQAm vada SIGram-adya kartAsmi vAkyam tava SudDa-sattvaH //
   atha sthaviropagupto dakṣiṇena pāṇinā rājānaṃ śirasi parimārjayannuvāca /	aTa sTavira-upaguptaH dakziNena pANinA rAjAnam Sirasi parimArjayan=-uvAca /
   apramādena saṃpādya rājaiśvaryaṃ pravartatāṃ /	apramAdena saMpAdya rAja-ESvaryam pravartatAm /
   durlabhatrīṇi ratnāni nityaṃ pūjaya pārthiva //	durlaBa-trINi ratnAni nityam pUjaya pArTiva //
   api ca mahārāja tena bhagavatā tathāgatenārhatā samyaksambuddhena tava ca	api ca mahA-rAja tena BagavatA taTAgatena-arhatA samyaksambudDena tava ca
   mama śāsanamupanyastaṃ sattvasārathivareṇa gaṇamadhye parīttaṃ paripālyaṃ	mama SAsanam-upanyastam sattva-sAraTi-vareNa gaNa-maDye parIttam paripAlyam
   yatnato 'smābhiḥ / rājāha / sthavira yathāhaṃ nirdiṣṭo bhagavatā	yatnataH asmABiH / rAjA-Aha / sTavira yaTA-aham nirdizwaH BagavatA
   tadevānuṣṭhīyate / kutaḥ /	tat-eva-anuzWIyate / kutas /
   stūpairvicitrairgiriśrṛṅgakalpaiś chatradhvajaiścocchritaratnacitraiḥ /	stUpEH-vicitrEH-giri-SrRFga-kalpEH Catra-DvajEH-ca-ucCrita-ratna-citrEH /
   saṃśobhitā me pṛthivī samantād vaistārikā dhātudharāḥ kṛtāśca //	saMSoBitA me pRTivI samantAt vEstArikAH DAtu-DarAH kRtAH-ca //
