   uttarabhāgaḥ	uttara BAgaH
   dvitīyā tanmukhe prāptā payasyātha tṛtīyakā // NarP_2,29.31 //	dvitIyA tad muKe prAptA payasyA aTa tRtIyakAH // NA rP_2,29.31 //
   jaladhārā śivaṃ prāptā harasya heturagrataḥ /	jala DArA Sivam prAptAH harasya hetuH agratas /
   tā dhārāstrīṇi varṣāṇi saṃsevya vidhivaddharaḥ // NarP_2,29.32 //	tAH DArAH trINi varzANi saMsevya viDivat haraH // NA rP_2,29.32 //
   kiñcitprīto yayau kṣetraṃ kuroḥ puṇyakaraṃ dvija /	kiQcid prItaH yayO kzetram kuroH puNya karam dvija /
   tatra gatvā haraḥ sthāṇurbhūtastatra papāta ca // NarP_2,29.33 //	tatra gatvA haraH sTANuH BUtaH tatra papAta ca // NA rP_2,29.33 //
   brahmahrade trivarṣāṇi magro brahmahradāṃbuni /	brahma hrade tri varzANi magraH brahma hrada aMbuni /
   varṣatraye gate tatra kṣatārddhāṅgo viniḥsṛtaḥ // NarP_2,29.34 //	varza traye gate tatra kzata ardDa aFgaH viniHsRtaH // NA rP_2,29.34 //
   ciraṃ tuṣṭāva deveśaṃ viṣṇuṃ sarvaguhāśayam /	ciram tuzwAva deveSam vizNum sarva guhA ASayam /
   tatastuṣṭo jagannātho varaṃ tasmai dadau tu saḥ // NarP_2,29.35 //	tatas tuzwaH jagannATaH varam tasmE dadO tu saH // NA rP_2,29.35 //
   gaccha kāśīmito bhrāntvā tīrthāni bahuśo hara /	gacCa kASI mitaH BrAntvA tIrTAni bahuSas hara /
   tato hariṃ namaskṛtya parītya bahudhā tathā // NarP_2,29.36 //	tatas harim namaskRtya parItya bahuDA taTA // NA rP_2,29.36 //
   kramāttīrthāṭanaṃ kurvannavimuktapurīṃ gataḥ /	kramAt tIrTa awanam kurvan= avimukta purIm gataH /
   avimuktasya sīmāyāṃ prāviśadvīkṣtaya dhūrjaṭiḥ // NarP_2,29.37 //	avimuktasya sImAyAm prAviSat vIkztaya DUrjawiH // NA rP_2,29.37 //
   nāpaśyattāmanuprāptāṃ brahmahatyāṃ bahiḥ sthitām /	na apaSyattAm anuprAptAm brahma hatyAm bahis sTitAm /
   tato 'sau vaiṣṇavaṃ jñātvā kṣetraṃ duritanāśanam /	tatas asO vEzNavam jQAtvA kzetram durita nASanam /
   tuṣṭāva prayato bhūtvā mādhavaṃ vandyamīśvaram // NarP_2,29.38 //	tuzwAva prayataH BUtvA mADavam vandyam ISvaram // NA rP_2,29.38 //
   jaya jaya jagadīśa nātha viṣṇo jagadānandanidhāna vedavedya /	jaya jaya jagadISa nATa vizNo jagat Ananda niDAna veda vedyaH /
   madhumathana nṛsiṃha pītavāso garuḍādhiṣṭhita mādhavādideva //	maDumaTana nRsiMha pIta vAsaH garuxa aDizWita mADava Adideva //
   NarP_2,29.39 //	NA rP_2,29.39 //
   vrajaramaṇa rameśa rādhikeśa tridaśeśākhilakāmapūra kṛṣṇa /	vrajaramaNa rameSa rADikeSa tridaSa ISa aKila kAma pUra kRzNaH /
   suravarakaruṇārṇavārtināśinnalinākṣādhipate vibho pareśa // NarP_2,29.40	sura vara karuNa arNava Arti nASinnalina akza aDipate viBo para ISaH // NA rP_2,29.40
   yaduku latilakābdhivāsa śaure kudharoddhāravidhānadakṣa dhanvin /	yaduku latilaka abDi vAsa SOre kuDara udDAra viDAna dakza Danvin /
   kalikaluṣaharāṅghripadmayugma gṛṇadātmaprada kūrma kaśyapottha //	kali kaluza hara aFGri padma yugma gRNat Atma prada kUrma kaSyapa utTa //
   NarP_2,29.41 //	NA rP_2,29.41 //
   kukupativanapāvakākhilejyāsrapakālāsitavastra buddha kalkin /	kukupati vana pAvaka aKila ijya Asrapa kAla asita vaH tra budDa kalkin /
   bhavabhayahara bhaktavaśya gopa praṇattoddhāraka puṇyakīrtinām //	Bava Baya hara Bakta vaSya gopa praNattA udDAraka puNya kIrtinAm //
   NarP_2,29.42 //	NA rP_2,29.42 //
   dharaṇibharaharāsurāripūjya prakṛtīśeśa jagannivāsa rāma /	DaraNi Bara hara asurAripUjya prakRti ISa ISa jagannivAsa rAma /
   guṇagaṇavilasaccarācareśa triguṇātīta sanātanāgrapūjya /	guNa gaNa vilasat carAcara ISa triguNa atIta sanAtana agra pUjya /
   nijajanaparirakṣitāntakāre kamalāṅghre kamanīya padmanābha /	nija jana parirakzita antakAre kamala aFGre kamanIya padmanABa /
   kamalakara kuśeśayā dhivāsa priyakāmonmathana tryadhīśavandya //	kamala kara kuSeSayAH DivAsa priya kAma unmaTana tri aDISavandya //
   NarP_2,29.43 //	NA rP_2,29.43 //
   aghahara raghunātha yādaveśa priyabhūdeva parātparāmarejya /	aGa hara raGunA aTa yAdava ISa priya BUt eva parAt parAmara ijyaH /
   haladhara duritāpaha praṇamya triguṇavyāpta jagattrikāladakṣa //	halaDara duritA apaha praNamya triguNa vyApta jagat tri kAla dakza //
   NarP_2,29.44 //	NA rP_2,29.44 //
   danujakulavināśanaikakarmannanaghārūḍhaphaṇīśa kaṃsakāla /	danuja kula vinASana eka karman= anaGa ArUXa PaNi ISa kaMsa kAla /
   raviśaśinayana pragalbhaceṣṭa pradhutadhvānta navāṃbudābha meśa //	ravi SaSi nayana pragalBa cezwa praDuta DvAnta nava aMbuda ABa mA ISaH //
   NarP_2,29.45 //	NA rP_2,29.45 //
   makha makhadhara mātṛbaddhadāmannavanītapriya ballavīgaṇeśa /	maKa maKa Dara mAtR badDa dAman= avanIta priya ballavI gaNeSa /
   aghabakavṛṣakeśipūtanānta triśirovālidaśāsyabhedakārin // NarP_2,29.46 //	aGa baka vRza keSi pUta nAnta triSiraH vAli daSa Asya Beda kArin // NA rP_2,29.46 //
   narakamuravināśa bāṇadoḥ kṛttripurārījya sudāmamitra sevya /	narakam ura vinASa bANadoH kRttripuH a ArIjya sudAma mitra sevya /
   bhavataraṇivahitrapādapadma prakaṭaiśvarya purāṇa pūrṇabāho //	Bavata raNi vahitra pAda padma prakawa ESvarya purANa pUrNabAho //
   NarP_2,29.47 //	NA rP_2,29.47 //
   bahujanisukṛtāpya maṅgalārha śrutivedya śrutidhāma śāntaśuddha /	bahu jani sukRtA apya maFgala arha Sruti vedya Sruti DAma SAnta SudDaH /
   tava varada vareṇyamaṅghriyugmaṃ śaraṇaṃ prāptamaghārditaṃ prapāhi //	tava vara da vareNyam aFGri yugmam SaraNam prAptam aGA arditam prapAhi //
   NarP_2,29.48 //	NA rP_2,29.48 //
   nahi mama gatidaṃ purāṇapuṃso 'nyaditi prārthanayā prasīda'medya //	na hi mama gati dam purANa puMsaH anyat iti prArTanayA prasIda amedya //
   NarP_2,29.49 //	NA rP_2,29.49 //
   iti stuto jagannātho bhaktyā devena śaṃbhunā /	iti stutaH jagannATaH BaktyA devena SaMBunA /
   āvirbabhūva sahasā mādhavo bhaktavatsalaḥ // NarP_2,29.50 //	AvirbaBUva sahasA mADavaH Bakta vatsalaH // NA rP_2,29.50 //
   taṃ dṛṣṭvā daṇḍavadbhūmau nipapāta haro harim /	tam dRzwvA daNxa vat BUmO nipapAta haraH harim /
   punarutthāya viprendra nanāma vidhṛtāñjaliḥ // NarP_2,29.51 //	punar utTAya vipra indra nanAma viDRta aQjaliH // NA rP_2,29.51 //
   tamuvāca hṛṣīkeśaḥ praṇataṃ bhūtanāyakam /	tam uvAca hRzIkeSaH praNatam BUtanAyakam /
   varaṃ vṛṇu pradāsye 'haṃ saṃtuṣṭaḥ stotratastava // NarP_2,29.52 //	varam vRNu pradAsye aham saMtuzwaH stotrataH tava // NA rP_2,29.52 //
   tacchrutvā bhagavadvākyaṃ bhūteśo brahyahatyayā /	tat SrutvA Bagavat vAkyam BUteSaH brahya hatyayA /
   pīḍitātmā jagādedaṃ bhuktimuktipradaṃ harim // NarP_2,29.53 //	pIxita AtmA jagAda idam Bukti mukti pradam harim // NA rP_2,29.53 //
   icchāmi vasituṃ kṣetre tava cakragadādhara /	icCAmi vasitum kzetre tava cakra gadA Dara /
   tvatkṣetrasīmābāhyasthā brahmahatyā yadīkṣyate // NarP_2,29.54 //	tvad kzetra sImA bAhya sTA brahmahatyA yadi Ikzyate // NA rP_2,29.54 //
   kṣetradānena kāruṇyaṃ kuru me garuḍadhvaja /	kzetra dAnena kAruNyam kuru me garuxaDvaja /
   mama nirgamane brahmahatyā māṃ punareṣyati // NarP_2,29.55 //	mama nirgamane brahmahatyA mAm punar ezyati // NA rP_2,29.55 //
   tvatkṣetre saṃsthito 'haṃ tu pūjāṃ prāpsye jagattraye /	tvad kzetre saMsTitaH aham tu pUjAm prApsye jagattraye /
   ityuktvā hyabhavattūṣṇīṃ devadevaṃ vṛṣadhvajaḥ // NarP_2,29.56 //	iti uktvA hi aBavat tUzNIm devadevam vRzaDvajaH // NA rP_2,29.56 //
   tatheti pratipede ca kṣīrasāgarajāpriyaḥ /	taTA iti pratipede ca kzIrasAgara jA priyaH /
   tataḥ prabhṛti viprendra śaivaṃ kṣetraṃ nigadyate // NarP_2,29.57 //	tatas praBRti vipra indra SEvam kzetram nigadyate // NA rP_2,29.57 //
   kṣetraṃ tu keśavasyedaṃ purāṇaṃ kavayo viduḥ /	kzetram tu keSavasya idam purANam kavayaH viduH /
   kṛpayā saṃparītasya mādhavasya dvijottama // NarP_2,29.58 //	kRpayA saMparItasya mADavasya dvijottamaH // NA rP_2,29.58 //
   netrābhyāṃ nirgataṃ vāri tena bindusaro 'bhavat /	netrAByAm nirgatam vAri tena bindusaraH aBavat /
   mādhavasyājñayā tatra sasnau devo vṛṣadhvajaḥ // NarP_2,29.59 //	mADavasya AjQayA tatra sasnO devaH vRzaDvajaH // NA rP_2,29.59 //
   snātamātre hare tattu kapālaṃ pāṇito 'patat /	snAta mAtre hare tat tu kapAlam pANitaH apatat /
   kapālamocanaṃ nāma tattīrthaṃ khyātimāgatam // NarP_2,29.60 //	kapAlamocanam nAma tat tIrTam KyAtim Agatam // NA rP_2,29.60 //
   bindumādhavanāmāsau datvā svaṃ dhāma śūline /	bindu mADava nAmA asO datvA svam DAma SUline /
   bhaktibhāvena śaṃbhustu nibaddhastatra saṃsthitaḥ // NarP_2,29.61 //	Bakti BAvena SaMBuH tu nibadDaH tatra saMsTitaH // NA rP_2,29.61 //
   yaṃ tu brahmādayo devāḥ svaḥsthāḥ paśyati sarvadā /	yam tu brahma AdayaH devAH svaHsTAH paSyati sarvadA /
   sūryāyutasamaprakhya digaṃbaraniṣevitam // NarP_2,29.62 //	sUrya ayuta sama praKya diS aMbara nizevitam // NA rP_2,29.62 //
   vighnāni śūlinā kānta kṛtānyasya niṣevaṇe /	viGnAni SUlinA kAnta kRtAni asya nizevaNe /
   yairvighnairabhibhūtāstu stutvā viṣṇuṃ śivārcakāḥ // NarP_2,29.63 //	yEH viGnEH aBiBUtAH tu stutvA vizNum Siva arcakAH // NA rP_2,29.63 //
   sarve lokāḥ sthitā hyatra śivaḥ kāśīti cintakāḥ /	sarve lokAH sTitAH hi atra SivaH kASI iti cintakAH /
   śivasya cintanādvipra śaivāḥ sarve nirākulāḥ // NarP_2,29.64 //	Sivasya cintanAt vipra SEvAH sarve nirAkulAH // NA rP_2,29.64 //
   prayānti śivalokaṃ vaijarāmṛtyuvivarjitam /	prayAnti Siva lokam vEjarA mRtyu vivarjitam /
   bahupuṇyayutāḥ saṃto nivasaṃttayatra nīrujaḥ // NarP_2,29.65 //	bahu puNya yutAH saMtaH nivasaM= tayatra nIrujaH // NA rP_2,29.65 //
   yajñaśiṣṭāśinaḥ kāśīkānta ṛddhisamanvitāḥ /	yajQa Sizwa ASinaH kASIkAnte RdDi samanvitAH /
   nātra snānaṃ praśaṃsaṃti na japaṃ na surārcanam // NarP_2,29.66 //	na atra snAnam praSaMsaMti na japam na sura arcanam // NA rP_2,29.66 //
   nāpi dānaṃ dvijaśreṣṭha muktvaikaṃ dehapātanam /	na api dAnam dvijaSrezWa muktvA ekam deha pAtanam /
   mṛtyuṃ prātyuṃ naraḥ kāmaṃ kṛtakṛtyo bhaveddhruvan // NarP_2,29.67 //	mRtyum prAtyum naraH kAmam kRtakRtyaH Bavet Druvan // NA rP_2,29.67 //
   seyamāsāditā viprara purī prāsādasaṃkulā /	sA iyam AsAditA viprara purI prAsAda saMkulAH /
   bhoginīmapi mokṣāya kiṃ punarvratadhāriṇām // NarP_2,29.68 //	BoginIm api mokzAya kim punar vrata DAriNAm // NA rP_2,29.68 //
   nikṣipyatāmiyaṃ bālā kāśīśasyeha mandire /	nikzipyatAm iyam bAlA kASISasya iha mandire /
   viyojitā tu yā pūrvaṃ tena duṣṭena rakṣasā // NarP_2,29.69 //	viyojitA tu yA pUrvam tena duzwena rakzasA // NA rP_2,29.69 //
   ātmanaḥ suratārthāya kumārī niyamānvitā /	AtmanaH surata arTAya kumArI niyama anvitA /
   eṣa prabhāvo 'pi hitaḥ kṣetrasyāsya dvijotma // NarP_2,29.70 //	eza praBAvaH api hitaH kzetrasya asya dvijotmaH // NA rP_2,29.70 //
   vinaśyantīha karmāṇi śubhānyapyaśubhāni ca /	vinaSyanti iha karmANi SuBAni api aSuBAni ca /
   bhūtavyabhaviṣyāṇi jñānājñānakṛtāni ca // NarP_2,29.71 //	BUtavya BavizyANi jQAna ajQAna kRtAni ca // NA rP_2,29.71 //
   eṣā purī karmavināśanāya kṛṣṇena pūrvaṃ hi vinirmitābhūt /	ezA purI karma vinASanAya kRzNena pUrvam hi vinirmitA aBUt /
   yasyāṃ mṛtā duḥkhamanantamugraṃ bhuñjanti martyā yamayātanāṃ no //	yasyAm mRtAH duHKam anantam ugram BuQjanti martyAH yama yAtanAm naH //
   NarP_2,29.72 //	NA rP_2,29.72 //
   iti śrībṛhannāradīyapurāṇottarabhāge mohinīcarite kāṣṭhīlopākhyāne	iti SrI bRhat nAradIyapurANa uttara BAge mohinI carite kAzWIlA upAKyAne
   rākṣasīcarite kāśīvarṇanaṃ nāma ekonatriṃśo 'dhyāyaḥ	rAkzasIcarite kASIvarNanam nAma ekonatriMSaH aDyAyaH
   kāṣṭhīlovāca	kAzWIlA uvAca
   bhāryāyāstadvacaḥ śrutvā rākṣasyā dharmasaṃmitam /	BAryAyAH tad vacaH SrutvA rAkzasyAH Darma saMmitam /
   pṛṣṭhātkaroṇurūpiṇyāḥ sakanyo 'vātaraddvijaḥ // NarP_2,30.1 //	pRzWAt karoNu rUpiNyAH sa kanyaH avAtarat dvijaH // NA rP_2,30.1 //
   avatīrṇe dvije sābhūtsurūpā pramadā punaḥ /	avatIrNe dvije sA aBUt surUpA pramadA punar /
   kṣapācarī kṣapānāthavaktrā pīnonnatastanī // NarP_2,30.2 //	kzapAcarI kzapA nATa vaktrA pIna unnata stanI // NA rP_2,30.2 //
   sā kumārī tataḥ prāpya nagaraṃ svapituḥ śubham /	sA kumArI tatas prApya nagaram sva pituH SuBam /
   bāhyarakṣāsthita prāptaṃ purapālamuvāca ha // NarP_2,30.3 //	bAhya rakzA sTita prAptam purapAlam uvAca ha // NA rP_2,30.3 //
   gaccha tvaṃ nṛpateḥ pārśvaṃ piturmama purādhipa /	gacCa tvam nRpateH pArSvam pituH mama purA aDipa /
   brūhi māṃ samanuprāptāṃ ratnaśālāṃ purā hṛtām // NarP_2,30.4 //	brUhi mAm samanuprAptAm ratna SAlAm purA hRtAm // NA rP_2,30.4 //
   ratnāvaliṃ ratnabhūtāṃ sudyumnasya mahīkṣituḥ /	ratna Avalim ratna BUtAm sudyumnasya mahIkzituH /
   talpasthā rakṣasā rātrau svapurasthā hṛtā dvija // NarP_2,30.5 //	talpa sTAH rakzasA rAtrO sva pura sTAH hRtA dvija // NA rP_2,30.5 //
   punaḥ sā samanuprāptā jīvamānākṣatā pitaḥ /	punar sA samanuprAptA jIvamAna akzatA pitar /
   samāśvasihi śokaṃ tvaṃ mā kṛthā matkṛte kvacit // NarP_2,30.6 //	samASvasihi Sokam tvam mA kRTAH mad kRte kvacid // NA rP_2,30.6 //
   aviplutāsmi rājendra gāṅgā āpa ivāmalāḥ /	aviplutA asmi rAja indra gAFgAH ApaH iva amalAH /
   tava kīrtikarī tadvanmātuḥ sauśīlyasūcikā // NarP_2,30.7 //	tava kIrti karI tadvat mAtuH sOSIlya sUcikA // NA rP_2,30.7 //
   tatkumārīvacaḥ śrutvā purāpālastvarānvitaḥ /	tat kumArI vacaH SrutvA purApAlaH tvarA anvitaH /
   abāhuriti vikhyātaḥ prāptaḥ sudyumrasannidhau // NarP_2,30.8 //	ap AhuH iti viKyAtaH prAptaH sudyumra sanniDO // NA rP_2,30.8 //
   kṛtapraṇāmaḥ saṃpṛṣṭaḥ prāha rājānamādarāt /	kRta praNAmaH saMpRzwaH prAha rAjAnam AdarAt /
   rājannupāgatā naṣṭā dihitā tava mānada // NarP_2,30.9 //	rAjan= upAgatA nazwA dihitA tava mAnada // NA rP_2,30.9 //
   ratnāvalīti vikhyātā sastrīkadvidajasaṃyutā /	ratnAvalI iti viKyAtA sa strIka dvi daja saMyutAH /
   purabāhye sthitā dṛṣṭā mayā jñātā na cābhavat // NarP_2,30.10 //	pura bAhye sTitA dRzwA mayA jQAtA na ca aBavat // NA rP_2,30.10 //
   tayāhaṃ preritaḥ prāgāṃ tvāṃ vijñāpayituṃ prabho /	tayA aham preritaH prAgAm tvAm vijQApayitum praBo /
   aviplutāhaṃ vadati māṃ jānātu samāgatām // NarP_2,30.11 //	aviplutA aham vadati mAm jAnAtu samAgatAm // NA rP_2,30.11 //
   pitaraṃ mama satkṛtyai nātra kāryā vicāraṇā /	pitaram mama satkRtyE na atra kAryA vicAraNA /
   tadadbhutaṃ vacaḥ śrutvā purapālasya tatkṣaṇāt // NarP_2,30.12 //	tat adButam vacaH SrutvA purapAlasya tad kzaNAt // NA rP_2,30.12 //
   sāmātyaḥ sakalatrastu sadvijo niryayau nṛpaḥ /	sa amAtyaH sakalatrastu sa dvijaH niryayO nRpaH /
   sa tu gatvā purādbrāhye gaṅgātīre vyavasthitām // NarP_2,30.13 //	sa tu gatvA purAt brAhye gaFgA tIre vyavasTitAm // NA rP_2,30.13 //
   apaśyadbhāskarākārāṃ sastrīkadvijasaṃyutām /	apaSyat BAskara AkArAm sa strIka dvija saMyutAm /
   sahaje naiva veṣeṇa bhūṣitāṃ bhūṣaṇapriyām // NarP_2,30.14 //	sahaje na eva vezeNa BUzitAm BUzaNa priyAm // NA rP_2,30.14 //
   amlānakusumaprakhyāṃ tatpakāñcanasuprabhām /	amlAna kusuma praKyAm tad pakAQcana supraBAm /
   dūrāddṛṣṭvāntikaṃ gatvā paryaṣvajata bhūpatiḥ // NarP_2,30.15 //	dUrAt dRzwvA antikam gatvA paryazvajata BUpatiH // NA rP_2,30.15 //
   pitaraṃ sāpi saṃhṛṣṭā samāśliṣya nanāma ha /	pitaram sA api saMhRzwA samASlizya nanAma ha /
   tataśca mātrā saṃgamya hṛṣṭayā harṣitāntarā // NarP_2,30.16 //	tatas ca mAtrA saMgamya hRzwayA harzita antarAH // NA rP_2,30.16 //
   prāha vākyaṃ viśālākṣī saṃbodhya pitaraṃ nṛpam /	prAha vAkyam viSAla akzI saMboDya pitaram nRpam /
   suptāhaṃ ratnaśālāyāṃ sakhībhiḥ parivāritā // NarP_2,30.17 //	suptA aham ratna SAlAyAm saKIBiH parivAritA // NA rP_2,30.17 //
   udakūkṛtvā śirastātādhautāṅghrirmañcakopari /	udakUkRtvA SiraH tAtA DOta aFGriH maQcaka upari /
   cintayatnī bhartṛyogaṃ niśīthe rakṣasā hṛtā // NarP_2,30.18 //	cintayatnI BartR yogam niSITe rakzasA hRtA // NA rP_2,30.18 //
   sa māṃ gṛhītvā svapuraṃ prāgādarṇavage girau /	sa mAm gRhItvA sva puram prAgAt arNavage girO /
   nānāratnamaye tatra guhāyāṃ sthāpitā hyaham // NarP_2,30.19 //	nAnA ratna maye tatra guhAyAm sTApitAH hi aham // NA rP_2,30.19 //
   sa tatrodvahanopāyacintayāntarvyavasthitaḥ /	sa tatra udvahana upAya cintayA antar vyavasTitaH /
   tasya bhāryā tviyaṃ subhrūryā tiṣṭhati sumadhyamā // NarP_2,30.20 //	tasya BAryA tu iyam suBrUH yA tizWati sumaDyamA // NA rP_2,30.20 //
   bibhratī mānuṣaṃ rūpaṃ rākṣasī rākṣasapriyā /	biBratI mAnuzam rUpam rAkzasI rAkzasa priyA /
   anayā buddhiyogena śaktyā śakrasya bhūpate // NarP_2,30.21 //	anayA budDi yogena SaktyA Sakrasya BUpate // NA rP_2,30.21 //
   ghātito viprahastena krūrakarmā patiḥ svakaḥ /	GAtitaH vipra hastena krUra karmA patiH svakaH /
   puraiva mama taṃ śailaṃ prāpto devena bhūsuraḥ // NarP_2,30.22 //	purA eva mama tam SElam prAptaH devena BUsuraH // NA rP_2,30.22 //
   iyaṃ tu rākṣasī dṛṣṭvā patiṃ svaṃ dharmadūṣakam /	iyam tu rAkzasI dRzwvA patim svam Darma dUzakam /
   vipreṇa saṃvidaṃ kṛtvā dāṃpatye nijakarmaṇā // NarP_2,30.23 //	vipreNa saMvidam kRtvA dAMpatye nija karmaNA // NA rP_2,30.23 //
   rūpeṇāpyasya saṃmugdhā ghātayāmāsa rākṣasam /	rUpeNa api asya saMmugDA GAtayAmAsa rAkzasam /
   evaṃ kṛtvā patiṃ vipraṃ hastinīrūpadhāriṇī // NarP_2,30.24 //	evam kRtvA patim vipram hastinI rUpa DAriNI // NA rP_2,30.24 //
   gṛhītvā vāstukaṃ vittaṃ pṛṣṭhamāropya māmapi /	gRhItvA vAstukam vittam pRzWam Aropya mAm api /
   samāyātātra bhūpāla māmattuṃ tava mandiram // NarP_2,30.25 //	samAyAta atra BUpAla mAmattum tava mandiram // NA rP_2,30.25 //
   anayā rakṣitā rājan rākṣasyārākṣasāttataḥ /	anayA rakzitA rAjan rAkzasya arAkzasAt tatas /
   tasmādimāṃ pūjayasva satkṛtyāgrajasaṃyutām // NarP_2,30.26 //	tasmAt imAm pUjayasva satkRtya agraja saMyutAm // NA rP_2,30.26 //
   asyā evāmumatyā māṃ dehyasmai brāhmaṇāya hi /	asyAH eva amumatyA mAm dehi asmE brAhmaNAya hi /
   anenaikāsanagatā jātā bhartā sa me bhavat // NarP_2,30.27 //	anena eka Asana gatA jAtA BartA sa me Bavat // NA rP_2,30.27 //
   yenaikāsanagā nārī bhavedbhartā sa eva hi /	yena eka Asana gA nArI Bavet BartA saH eva hi /
   nānya itthaṃ purāṇeṣu śrūyate hyāgameṣvapi // NarP_2,30.28 //	na anyaH itTam purANezu SrUyate hi Agamezu api // NA rP_2,30.28 //
   asyāḥ pṛṣṭhe niviṣṭāhaṃ prītyā saha dvijanmanā /	asyAH pRzWe nivizwA aham prItyA saha dvijanmanA /
   dharmata stena madbhartā bhavedeṣā matirmama // NarP_2,30.29 //	Darmata stena mad BartA Bavet ezA matiH mama // NA rP_2,30.29 //
   tasmādimāṃ sāṃtvayitvā śāstrāgamavidhānataḥ /	tasmAt imAm sAMtvayitvA SAstra Agama viDAnataH /
   dehi viprāya māṃ tāta pitamanyaṃ vṛṇe na ca // NarP_2,30.30 //	dehi viprAya mAm tAta pitam anyam vRNe na ca // NA rP_2,30.30 //
   tacchrutvā duhiturvākyaṃ sudyumno bhūpatistadā /	tat SrutvA duhituH vAkyam sudyumnaH BUpatiH tadA /
   sāṃtvayāmāsa tanvaṅgīṃ rākṣasīṃ praśrayānataḥ // NarP_2,30.31 //	sAMtvayAmAsa tanvaFgIm rAkzasIm praSraya AnataH // NA rP_2,30.31 //
   sutaiṣā dharmabhītā me tvāmeva śaraṇaṃ gatā /	sutA ezA Darma BItA me tvAm eva SaraNam gatAH /
   yadarthaṃ nihataḥ kāntastvayā pūrvataraḥ sati // NarP_2,30.32 //	yad arTam nihataH kAntaH tvayA pUrvataraH sati // NA rP_2,30.32 //
   tvadadhīnā tato bhadre jāteyaṃ matsutā kila /	tvad aDInA tatas Badre jAtA iyam mad sutA kila /
   imamicchati bhartāraṃ yo 'yaṃ bhartā kṛtastvayā // NarP_2,30.33 //	imam icCati BartAram yaH ayam BartA kRtaH tvayA // NA rP_2,30.33 //
   mayā praṇāmadānābhyāṃ yācitā tvaṃ niśācari /	mayA praNAma dAnAByAm yAcitA tvam niSAcari /
   anumodaya sāhāyye sutāṃ mama sulocane // NarP_2,30.34 //	anumodaya sAhAyye sutAm mama su locane // NA rP_2,30.34 //
   tvadvākyādbhavatu preṣyā matsutā brāhmaṇasya tu /	tvad vAkyAt Bavatu prezyAH mad sutAH brAhmaNasya tu /
   sāpatnabhāvaṃ tyaktvā tu sutāṃ me paripālaya // NarP_2,30.35 //	sApatna BAvam tyaktvA tu sutAm me paripAlaya // NA rP_2,30.35 //
   sutāyā mama bhāryāyā madbalasya janasya ca /	sutAyAH mama BAryAyAH mad balasya janasya ca /
   purasya viṣayasyāpi svāminī tvaṃ na saṃśayaḥ // NarP_2,30.36 //	purasya vizayasya api svAminI tvam na saMSayaH // NA rP_2,30.36 //
   tava vākye sthitā hyeṣā sadaivāpi bhaviṣyati /	tava vAkye sTitA hi ezA sadA eva api Bavizyati /
   etacchruttvā tu vacanaṃ sudyumnasya niśācarī // NarP_2,30.37 //	etat SruttvA tu vacanam sudyumnasya niSAcarI // NA rP_2,30.37 //
   anvamodata śuddhena cetasā sahacāriṇī /	anvamodata SudDena cetasA sahacAriNI /
   uvāca ca dharāpālaṃ pradānāya kṛtodyamam // NarP_2,30.38 //	uvAca ca DarA pAlam pradAnAya kRta udyamam // NA rP_2,30.38 //
   yadarthaṃ praṇatastvaṃ māṃ sadbhāvena nṛpottama /	yad arTam praNataH tvam mAm sadBAvena nRpa uttamaH /
   tasmāddvitīyā bhāryeyaṃ bhavatvasya dvijanmanaḥ // NarP_2,30.39 //	tasmAt dvitIyA BAryA iyam Bavatu asya dvijanmanaH // NA rP_2,30.39 //
   ahaṃ ca bhavatā pūjyā kṛtvārcāṃ devamandire /	aham ca BavatA pUjyA kRtvA arcAm deva mandire /
   sarvaiśca nāgaraiḥ sārddhaṃ phālgune dhavale dale // NarP_2,30.40 //	sarvEH ca nAgarEH sArdDam PAlgune Davale dale // NA rP_2,30.40 //
