   mālinīvijayottaratantram	mAlinIvijaya-uttaratantram
   14.26ab: sarvaṃ phalam avāpnoti divyadṛṣṭiś ca jāyate	14.26ab: sarvam Palam avApnoti divya-dRzwiH ca jAyate
   14.26cd: itīyaṃ kalpanāśūnyā dhāraṇākṛtakoditā	14.26cd: iti-iyam kalpanA-SUnyA DAraNA-kRta-koditA
   14.27ab: daśapañcavidho bhedaḥ svayam evātra jāyate	14.27ab: daSa-paQcaviDaH BedaH svayam eva-atra jAyate
   14.27cd: ato 'syāṃ niścayaṃ kuryāt kim anyaiḥ śāstraḍambaraiḥ	14.27cd: atas asyAm niScayam kuryAt kim anyEH SAstra-xambarEH
   14.28ab: ataḥ sparśavatīm anyāṃ kathayāmi tavādhunā	14.28ab: atas sparSavatIm anyAm kaTayAmi tava-aDunA
   14.28cd: dhāraṇāṃ tu yayā yogī vajradehaḥ prajāyate	14.28cd: DAraNAm tu yayA yogI vajra-dehaH prajAyate
   14.29ab: ṣaṭkoṇamaṇḍalāntaḥstham ātmānaṃ paribhāvayet	14.29ab: zaz-koNa-maNxala-antar-sTam AtmAnam pariBAvayet-
   14.29cd: rūkṣam añjanasaṃkāśaṃ pratyaṅgasphuritākulam	14.29cd: rUkzam aQjana-saMkASam pratyaFga-sPurita-Akulam
   14.30ab: tato 'sya daśabhir devi divasais tvaci sarvataḥ	14.30ab: tatas asya daSaBiH devi divasEH tvaci sarvatas-
   14.30cd: bhavet pipīlikāsparśas tatas tam anucintayan	14.30cd: Bavet pipIlikA-sparSaH tatas tam anucintayan
   14.31ab: vajradehatvam āsādya pūrvoktaṃ pūrvaval labhet	14.31ab: vajra-deha-tvam AsAdya pUrva-uktam pUrvavat laBet-
   14.31cd: pūrvoktamaṇḍalākāraṃ pūrvarūpaṃ vicintayan	14.31cd: pUrva-ukta-maNxala-AkAram pUrva-rUpam vicintayan
   14.32ab: sparśatattvāvṛtijñānaṃ labhan kena nivāryate	14.32ab: sparSa-tattva-AvRti-jQAnam laBan kena nivAryate
   14.32cd: hīnamaṇḍalam ātmānaṃ dhyāyet tatpatisiddhaye	14.32cd: hIna-maNxalam AtmAnam DyAyet tad-pati-sidDaye
   14.33ab: yayā saṃsiddhayā sarva sparśavedī bhaviṣyati	14.33ab: yayA saMsidDayA sarva sparSa-vedI Bavizyati
   14.33cd: karṇau pidhāya yatnena nimīlitavilocanaḥ	14.33cd: karNO piDAya yatnena nimIlita-vilocanaH
   14.34ab: saṃśṛṇoti mahāghoṣaṃ cetas tatrānusaṃdadhet	14.34ab: saMSRNoti mahA-Gozam cetaH tatra-anusaMdaDet
   14.34cd: dīpyate jāṭharo vahnis tato 'sya daśabhir dinaiḥ	14.34cd: dIpyate jAWaraH vahniH tatas asya daSaBiH dinEH
   14.35ab: dūrāc chravaṇavijñānaṃ ṣaṇmāsād upajāyate	14.35ab: dUrAt SravaNa-vijQAnam zaz-mAsAt upajAyate
   14.35cd: yas tasyānte dhvanir mandaḥ kiṃ cit kiṃ cid vibhāvyate	14.35cd: yaH tasya-ante DvaniH mandaH kim cit kim cit viBAvyate
   14.36ab: sakalātmā sa vijñeyas tadabhyāsād ananyadhīḥ	14.36ab: sakala-AtmA sa vijQeyaH tad-aByAsAt ananyaDIH
   14.36cd: śabdāvaraṇavijñānam āpnoti sthiratāṃ gatam	14.36cd: Sabda-AvaraNa-vijQAnam Apnoti sTira-tAm gatam
   14.37ab: yaḥ punaḥ śrūyate śabdas tadante śaṅkhanādavat	14.37ab: yaH punar SrUyate SabdaH tad-ante SaFKanAda-vat-
   14.37cd: pralayākalarūpaṃ tad abhyasyaṃ tatphalepsubhiḥ	14.37cd: pralayAkala-rUpam tat aByasyam tad-Pala-IpsuBiH
   14.38ab: sa evātitarām anyaśabdapracchādako yadā	14.38ab: saH eva-atitarAm anya-Sabda-pracCAdakaH yadA
   14.38cd: vijñānākala ity uktas tadāsāv aparājite	14.38cd: vijQAnAkalaH iti uktaH tadA-asO aparAjite
   14.39ab: manohlādakaro yo 'nyas tadante saṃvibhāvyate	14.39ab: manohlAda-karaH yaH anyaH tad-ante saMviBAvyate
   14.39cd: sa mantra iti vijñeyo yogibhir yogakāṅkṣibhiḥ	14.39cd: sa mantraH iti vijQeyaH yogiBiH yoga-kAFkziBiH
   14.40ab: tatas tu śrūyate yo 'nyaḥ śāntaghaṇṭāninādavat	14.40ab: tatas tu SrUyate yaH anyaH SAnta-GaNwA-ninAda-vat-
   14.40cd: sa mantreśa iti proktaḥ sarvasiddhiphalapradaḥ	14.40cd: sa mantreSaH iti proktaH sarva-sidDi-Pala-pradaH
   14.41ab: ghaṇṭānādavirāmānte yaḥ śabdaḥ saṃprajāyate	14.41ab: GaNwA-nAda-virAma-ante yaH SabdaH saMprajAyate
   14.41cd: mantreśeśapadaṃ tad dhi siddhīnāṃ kāraṇaṃ mahat	14.41cd: mantreSa-ISa-padam tat Di sidDInAm kAraNam mahat-
   14.42ab: anilenāhatā vīṇā yādṛṅ nādaṃ vimuñcati	14.42ab: anilena-AhatA vINA yAdRS nAdam vimuQcati
   14.42cd: tādṛśo yo dhvanis tatra taṃ vidyāc chāmbhavaṃ padaṃ	14.42cd: tAdRSaH yaH DvaniH tatra tam vidyAt SAmBavam padam
   14.43ab: pṛthag vā kramaśo vāpi sarvān etān samabhyaset	14.43ab: pRTak vA kramaSas vA-api sarvAn etAn samaByaset-
   14.43cd: prāpnoti sarvavit siddhīḥ śabdāvaraṇam āśritāḥ	14.43cd: prApnoti sarva-vid sidDIH Sabda-AvaraNam ASritAH
   14.44ab: ity etāḥ kathitāḥ pañca tanmātrāṇāṃ tu dhāraṇāḥ	14.44ab: iti etAH kaTitAH paQca tanmAtrANAm tu DAraNAH
   iti śrīmālinīvijayottare tantre tanmātradhāraṇādhikāraś caturdaśaḥ	iti SrI-mAlinI-vijaya-uttare tantre tanmAtra-DAraNa-aDikAraH caturdaSaH
   samāptaḥ	samAptaH
   akṣadhāraṇādhikāraḥ pañcadaśaḥ	akza-DAraNa-aDikAraH paQcadaSaH
   15.1ab: atha vāgindriyādīnāṃ manontānām anukramāt	15.1ab: aTa vAc-indriya-AdInAm manontAnAm anukramAt-
   15.1cd: dhāraṇāḥ saṃpravakṣyāmi daśaikāñ ca samāsataḥ	15.1cd: DAraNAH saMpravakzyAmi daSa-ekAn ca samAsatas-
   15.2ab: vadanāntar namaḥśabdam ātmanaś cintayed budhaḥ	15.2ab: vadana-antar namaH-Sabdam AtmanaH cintayet buDaH
   15.2cd: gṛhītavāktvam abhyeti maunena madhusūdani	15.2cd: gRhIta-vAc-tvam aByeti mOnena maDusUdani
   15.3ab: sarvatrāskhalitā vāṇī ṣaḍbhir māsaiḥ pravartate	15.3ab: sarvatra-asKalitA vANI zaxBiH mAsEH pravartate
   15.3cd: sarvaśāstrārthavettṛtvaṃ vatsarād upajāyate	15.3cd: sarva-SAstra-arTa-vettR-tvam vatsarAt upajAyate
   15.4ab: vāg evāsya pravarteta kāvyālaṅkārabhūṣitā	15.4ab: vAc eva-asya pravarteta kAvya-alaFkAra-BUzitA
   15.4cd: tribhir abdaiḥ svayaṃ kartā śāstrāṇāṃ saṃprajāyate	15.4cd: triBiH abdEH svayam kartA SAstrANAm saMprajAyate
   15.5ab: tatraiva cintayed dehaṃ svakīyam anurūpataḥ	15.5ab: tatra-eva cintayet deham svakIyam anurUpatas-
   15.5cd: bhūyas tam eva dhavalam īṣattejovabhāsitam	15.5cd: BUyas tam eva Davalam Izat-tejaH-vaBAsitam
   15.6ab: rasāntaḥsomabimbāditejontaṃ tam anusmaret	15.6ab: rasa-antar-soma-bimba-Adi-tejontam tam anusmaret-
   15.6cd: sarvaṃ phalam avāpnoti vāgāvaraṇajaṃ kramāt	15.6cd: sarvam Palam avApnoti vAc-AvaraNa-jam kramAt-
   15.7ab: pāṇau cittaṃ samādāya ṣaṇmāsād dūrasaṃsthitam	15.7ab: pANO cittam samAdAya zaz-mAsAt dUra-saMsTitam
   15.7cd: vastu gṛhṇāty asaṃdehāt tryabdāt pāre 'pi vāridheḥ	15.7cd: vastu gRhNAti asaMdehAt tri-abdAt pAre api vAriDeH
   15.8ab: tatrātmadehapūrvaṃ tu padmābham anucintayan	15.8ab: tatra-Atma-deha-pUrvam tu padma-ABam anucintayan
   15.8cd: savyāpārādibhedena caturdaśakam ādarāt	15.8cd: sa-vyApAra-Adi-Bedena caturdaSakam AdarAt-
   15.9ab: puroktakālaniyamāt pūrvoktenaiva vartmanā	15.9ab: purA-ukta-kAla-niyamAt pUrva-uktena-eva vartmanA
   15.9cd: sarvaṃ phalam avāpnoti hastāvṛtisamāśritam	15.9cd: sarvam Palam avApnoti hasta-AvRti-samASritam
   15.10ab: pādāv evaṃvidhau dhyāyan vatsaratrayam ādarāt	15.10ab: pAdO evaMviDO DyAyan vatsara-trayam AdarAt-
   15.10cd: muhūrtena samudrāntām aśrānto bhramati kṣitim	15.10cd: muhUrtena samudra-antAm aSrAntaH Bramati kzitim
   15.11ab: caturdaśa samabhyarcya svadehādikam abhyasan	15.11ab: caturdaSa samaByarcya sva-deha-Adikam aByasan
   15.11cd: prāpnoti pūrvavat sarvaṃ phalaṃ pādāvṛtisthitam	15.11cd: prApnoti pUrvavat sarvam Palam pAda-AvRti-sTitam
   15.12ab: pāyāv api manastattvaṃ sthirīkurvann avāpsyati	15.12ab: pAyO api manaH-tattvam sTirIkurvan avApsyati
   15.12cd: māsena tadbhavavyādhi vimuktim avilambataḥ	15.12cd: mAsena tat-Bava-vyADi vimuktim avilambataH
   15.13ab: puṇyaślokatvam āpnoti tribhir abdair anādarāt	15.13ab: puNyaSloka-tvam Apnoti triBiH abdEH anAdarAt-
   15.13cd: caturdaśavidhaṃ cātra pūrvavat phalam āpsyati	15.13cd: caturdaSaviDam ca-atra pUrvavat Palam Apsyati
   15.14ab: svarūpataḥ smarel liṅgaṃ māsamātrāj jitendriyaḥ	15.14ab: svarUpataH smaret liFgam mAsa-mAtrAt jita-indriyaH
   15.14cd: ṣaḍbhir māsair anāyāsād icchākāmitvam āpnuyāt	15.14cd: zaxBiH mAsEH anAyAsAt icCA-kAmi-tvam ApnuyAt-
   15.15ab: caturdaśavidhe bhede tatrābhyaste mahāmatiḥ	15.15ab: caturdaSaviDe Bede tatra-aByaste mahAmatiH
   15.15cd: liṅgāvaraṇajaṃ sarvaṃ pūrvaval labhate phalam	15.15cd: liFga-AvaraNa-jam sarvam pUrvavat laBate Palam
   15.16ab: svajihvām induvarṇābhāṃ cintayed daśabhir dinaiḥ	15.16ab: sva-jihvAm indu-varNa-ABAm cintayet daSaBiH dinEH
   15.16cd: prāpnoty anubhavaṃ yogī jihvābhāvam ivātmanaḥ	15.16cd: prApnoti anuBavam yogI jihvA-BAvam iva-AtmanaH
   15.17ab: āsvādayati dūrasthaṃ ṣaṇmāsād ekamānasaḥ	15.17ab: AsvAdayati dUra-sTam zaz-mAsAt eka-mAnasaH
   15.17cd: vatsarais tu tribhiḥ sākṣāl leḍhy asau paramāmṛtam	15.17cd: vatsarEH tu triBiH sAkzAt leXI asO parama-amRtam
   15.18ab: yenāsau bhavate yogī jarāmaraṇavarjitaḥ	15.18ab: yena-asO Bavate yogI jarA-maraNa-varjitaH
   15.18cd: apeyādiprasakto 'pi na pāpaiḥ paribhūyate	15.18cd: apeya-Adi-prasaktaH api na pApEH pariBUyate
   15.19ab: pūrvavat sarvam anyac ca svadehādy anucintayan	15.19ab: pUrvavat sarvam anyat ca sva-deha-Adi anucintayan
   15.19cd: phalam āpnoty asaṃdehād rasanāvṛtisaṃbhavam	15.19cd: Palam Apnoti asaMdehAt rasanA-AvRti-saMBavam
   15.20ab: kanakābhaṃ svakaṃ ghrāṇam anucintayataḥ śanaih	15.20ab: kanaka-ABam svakam GrANam anucintayataH SanEs-h
   15.20cd: divasair daśabhir ghrāṇaśunyatānubhavo bhavet	15.20cd: divasEH daSaBiH GrANa-SunyatA-anuBavaH Bavet-
   15.21ab: ṣaṇmāsād gandham āghrāti dūrasthasyāpi vastunaḥ	15.21ab: zaz-mAsAt ganDam AGrAti dUra-sTasya-api vastunaH
   15.21cd: ghātayed gandham āghrāya yasya ruṣṭo bhaviṣyati	15.21cd: GAtayet ganDam AGrAya yasya ruzwaH Bavizyati
   15.22ab: vatsarais tu tribhir divyaṃ gandham āsādya yogavit	15.22ab: vatsarEH tu triBiH divyam ganDam AsAdya yoga-vid-
   15.22cd: jarāmaraṇanairguṇyayukto divyatvam arhati	15.22cd: jarA-maraNa-nErguNya-yuktaH divya-tvam arhati
   15.23ab: sarvam anyad yathoddiṣṭaṃ tathaiva ca vicintayet	15.23ab: sarvam anyat yaToddizwam taTA-eva ca vicintayet-
   15.23cd: kramikaṃ phalam āpnoti ghrāṇāvaraṇam āsthitam	15.23cd: kramikam Palam Apnoti GrANa-AvaraNam AsTitam
   15.24ab: udayādityasaṃkāśe cintayaṃś cakṣuṣī nije	15.24ab: udaya-Aditya-saMkASe cintayan cakzuzI nije
   15.24cd: daśāhāc cakṣuṣo raktasrāvānubhavam āpsyati	15.24cd: daSa-ahAt cakzuzaH rakta-srAva-anuBavam Apsyati
   15.25ab: vedanā mahatī cāsya lalāṭe saṃprajāyate	15.25ab: vedanA mahatI ca-asya lalAwe saMprajAyate
   15.25cd: na bhetavyaṃ mahādevi na cābhyāsaṃ parityajet	15.25cd: na Betavyam mahAdevi na ca-aByAsam parityajet-
   15.26ab: saṃtyajann andhatām eti tena yatnāt samabhyaset	15.26ab: saMtyajan anDatAm eti tena yatnAt samaByaset-
   15.26cd: ṣaḍbhir māsair mahāyogī divyadṛṣṭiḥ prajāyate	15.26cd: zaxBiH mAsEH mahA-yogI divya-dRzwiH prajAyate
   15.27ab: chidrāṃ prapaśyate bhūmiṃ kaṭāhāntām atandritaḥ	15.27ab: CidrAm prapaSyate BUmim kawAha-antAm atandritaH
   15.27cd: ādhruvāntam athordhvaṃ ca karāmalakavad budhaḥ	15.27cd: ADruva-antam aTa-UrDvam ca kara-Amalaka-vat buDaH
   15.28ab: vatsarais tu tribhir yogī brahmāṇḍāntaṃ prapaśyati	15.28ab: vatsarEH tu triBiH yogI brahmANxa-antam prapaSyati
   15.28cd: tadantar yoginījñānaṃ śarīrasthaṃ prajāyate	15.28cd: tad-antar yoginI-jQAnam SarIra-sTam prajAyate
   15.29ab: svadehādikam anyac ca pūrvoktaṃ pūrvavat smaran	15.29ab: sva-deha-Adikam anyat ca pUrva-uktam pUrvavat smaran
   15.29cd: nayanāvṛtijaṃ sarvam āpnotīti kim adbhutam	15.29cd: nayana-AvRti-jam sarvam Apnoti-iti kim adButam
   15.30ab: sarvatrāñjanapatrābhāṃ nistaraṅgāṃ tvacaṃ smaran	15.30ab: sarvatra-aQjana-patra-ABAm nistaraFgAm tvacam smaran
   15.30cd: śastrair api na māsena chettuṃ śakyo bhaviṣyati	15.30cd: SastrEH api na mAsena Cettum SakyaH Bavizyati
   15.31ab: ṣaṇmāsād atitīvreṇa nāgnināpy eṣa dahyate	15.31ab: zaz-mAsAt ati-tIvreNa na-agninA-api eza dahyate
   15.31cd: vatsaratritayād yogī vajropalaviṣāhibhiḥ	15.31cd: vatsara-tritayAt yogI vajra-upala-viza-ahiBiH
   15.32ab: pīḍyate na kadā cit syād ajarāmaratāṃ gataḥ	15.32ab: pIxyate na kadA cit syAt ajara-amara-tAm gataH
   15.32cd: sparśāvṛtijavijñāna gītavac ca caturdaśa	15.32cd: sparSa-AvRti-ja-vijQAna gIta-vat ca caturdaSa
   15.33ab: bhedāḥ saha phalair jñeyāḥ pūrvakālānusārataḥ	15.33ab: BedAH saha PalEH jQeyAH pUrva-kAla-anusArataH
   15.33cd: kiṃ tv atra cintayed dehaṃ svadehādibhir āvṛtam	15.33cd: kim tu atra cintayet deham sva-deha-AdiBiH AvRtam
   15.34ab: saṃdadhānaḥ svakaṃ cetaḥ śrotrākāśe vicakṣaṇaḥ	15.34ab: saMdaDAnaH svakam cetaH Srotra-AkASe vicakzaNaH
   15.34cd: dūrāc chravaṇavijñānaṃ ṣaṇmāsād upajāyate	15.34cd: dUrAt SravaNa-vijQAnam zaz-mAsAt upajAyate
   15.35ab: tribhiḥ saṃvatsarair devi brahmāṇḍāntar udīritam	15.35ab: triBiH saMvatsarEH devi brahmANxa-antar udIritam
   15.35cd: śṛṇoti sa sphuṭaṃ sarvaṃ jarāmaraṇavarjitaḥ	15.35cd: SRNoti sa sPuwam sarvam jarA-maraNa-varjitaH
   15.36ab: tatrākāśoktavat sarvaṃ svadehādy anucintayet	15.36ab: tatra-AkASa-ukta-vat sarvam sva-deha-Adi anucintayet-
   15.36cd: śrotrāvaraṇajaṃ sarvaṃ phalam āpnoti pūrvavat	15.36cd: Srotra-AvaraNa-jam sarvam Palam Apnoti pUrvavat-
   15.37ab: manovatīm ato vakṣye dhāraṇāṃ sarvasiddhidām	15.37ab: manovatIm atas vakzye DAraNAm sarva-sidDi-dAm
   15.37cd: yayā saṃsiddhayā devi sarvasiddhiphalaṃ labhet	15.37cd: yayA saMsidDayA devi sarva-sidDi-Palam laBet-
   15.38ab: mana eva manuṣyāṇāṃ kāraṇaṃ bandhamokṣayoḥ	15.38ab: manaH eva manuzyANAm kAraNam banDa-mokzayoH
   15.38cd: tasmāt tad abhyasen mantrī yadīcchen mokṣam akṣayam	15.38cd: tasmAt tat aByaset mantrI yadi-icCet mokzam akzayam
   15.39ab: tad ardhacandrasaṃkāśam adhovaktraṃ hṛdi sthitam	15.39ab: tat arDacandra-saMkASam aDas-vaktram hRdi sTitam
   15.39cd: cintayan māsamātreṇa pratibhāṃ pratipatsyate	15.39cd: cintayan mAsa-mAtreNa pratiBAm pratipatsyate
   15.40ab: akasmāt paśyate kiṃ cid akasmāc chṛṇute tathā	15.40ab: akasmAt paSyate kim cit akasmAt SRNute taTA
   15.40cd: sarvendriyātmakaṃ jñānaṃ akasmāc ca kva cit kva cit	15.40cd: sarva-indriya-Atmakam jQAnam akasmAt ca kva cit kva cit-
   15.41ab: svasvakendriyavijñānaṃ saṃpaśyed vatsaratrayāt	15.41ab: sva-svaka-indriya-vijQAnam saMpaSyet vatsara-trayAt-
   15.41cd: bhavate yogayuktasya yoginaḥ suparisphuṭam	15.41cd: Bavate yoga-yuktasya yoginaH su-parisPuwam
   15.42ab: svadehādikam apy atra pūrvoktavad anusmaran	15.42ab: sva-deha-Adikam api atra pUrva-ukta-vat anusmaran
   15.42cd: cittāvaraṇavijñānaṃ prāpya somaguṇaṃ labhet	15.42cd: citta-AvaraNa-vijQAnam prApya soma-guNam laBet-
   15.43ab: ity ekādaśa gītāni samabhyasyāni te tathā	15.43ab: iti ekAdaSa gItAni samaByasyAni te taTA
   15.43cd: indriyāṇi yataḥ sarvaṃ phalam eṣu pratiṣṭhitam	15.43cd: indriyANi yatas sarvam Palam ezu pratizWitam
   15.44ab: bandhamokṣāv ubhāv etāv indriyāṇi jagur budhāḥ	15.44ab: banDa-mokzO uBO etO indriyANi jaguH buDAH
   15.44cd: vigṛhītāni bandhāya vimuktāni vimuktaye	15.44cd: vigRhItAni banDAya vimuktAni vimuktaye
   15.45ab: etāni vyāpake bhāve yadā syur manasā saha	15.45ab: etAni vyApake BAve yadA syuH manasA saha
   15.45cd: vimuktānīti vidvadbhir jñātavyāni tadā priye	15.45cd: vimuktAni-iti vidvadBiH jQAtavyAni tadA priye
   15.46ab: yadā tu viṣaye kvāpi pradeśāntaravartini	15.46ab: yadA tu vizaye kvApi pradeSa-antara-vartini
   15.46cd: saṃsthitāni tadā tāni baddhānīti pracakṣate	15.46cd: saMsTitAni tadA tAni badDAni-iti pracakzate
   15.47ab: ity ayaṃ dvividho bhāvaḥ śuddhāśuddhaprabhedataḥ	15.47ab: iti ayam dviviDaH BAvaH SudDa-aSudDa-praBedataH
   15.47cd: indriyāṇāṃ samākhyātaḥ siddhayogīśvarīmate	15.47cd: indriyANAm samAKyAtaH sidDayogISvarImate
   iti śrīmālinīvijayottare tantre 'kṣadhāraṇādhikāraḥ pañcadaśaḥ	iti SrI-mAlinI-vijaya-uttare tantre akza-DAraNa-aDikAraH paQcadaSaH
   samāptaḥ	samAptaH
   dhāraṇādhikāraḥ ṣoḍaśaḥ	DAraNa-aDikAraH zoxaSaH
   16.1ab: atha garvamayīṃ divyāṃ dhāraṇāṃ dhāraṇottamām	16.1ab: aTa garva-mayIm divyAm DAraNAm DAraNa-uttamAm
   16.1cd: mahāgarvakarīṃ vakṣye yogināṃ yogavandite	16.1cd: mahA-garva-karIm vakzye yoginAm yoga-vandite
   16.2ab: ṣoḍaśāraṃ smarec cakram ātmadeham ananyadhīḥ	16.2ab: zoxaSa-aram smaret cakram Atma-deham ananyaDIH
   16.2cd: eṣo 'ham iti saṃcintya svakāryaparivāritam	16.2cd: ezaH aham iti saMcintya sva-kArya-parivAritam
   16.3ab: apradhṛṣyo bhaved yogī vatsaratritayena tu	16.3ab: apraDRzyaH Bavet yogI vatsara-tritayena tu
   16.3cd: mamatvam acyutaṃ tasya bhavet sarvatra kutra cit	16.3cd: mamatvam acyutam tasya Bavet sarvatra kutra cit-
   16.4ab: tādṛgrūpasya cakrasya nābhiṃ mūrtiṃ svakāṃ smaran	16.4ab: tAdRS-rUpasya cakrasya nABim mUrtim svakAm smaran
   16.4cd: cintayet sarvam evāhaṃ mayi sarvam avasthitam	16.4cd: cintayet sarvam eva-aham mayi sarvam avasTitam
   16.5ab: tato 'haṅkāravijñānaṃ prāpnotīti kim adbhutam	16.5ab: tatas ahaFkAra-vijQAnam prApnoti-iti kim adButam
   16.5cd: hṛccakre samanudhyāyan matsvarūpam atandritaḥ	16.5cd: hRd-cakre samanuDyAyan mad-sva-rUpam atandritaH
   16.6ab: avilambam avāpnoti garvāvaraṇajaṃ phalam	16.6ab: avilambam avApnoti garva-AvaraNa-jam Palam
   16.6cd: bimbādikaṃ kramāt sarvaṃ cintayan nīlalohitam	16.6cd: bimba-Adikam kramAt sarvam cintayan nIlalohitam
   16.7ab: tadbhavaṃ sarvam āpnoti daśāvasthāpracoditam	16.7ab: tad-Bavam sarvam Apnoti daSa-avasTA-pracoditam
   16.7cd: iti garvamayī proktā prajāpatiguṇapradā	16.7cd: iti garva-mayI proktA prajApati-guNa-pradA
   16.8ab: udyadādityabimbābhaṃ hṛdi padmam anusmaran	16.8ab: udyat-Aditya-bimba-ABam hRdi padmam anusmaran
   16.8cd: dharmādibhāvasaṃyuktam aṣṭapatraṃ sakarṇikam	16.8cd: Darma-Adi-BAva-saMyuktam azwa-patram sa-karNikam
   16.9ab: māsena sthirabuddhiḥ syāt ṣaḍbhiḥ śrutidharo bhavet	16.9ab: mAsena sTira-budDiH syAt zaxBiH Sruti-DaraH Bavet-
   16.9cd: tribhir abdaiḥ svayaṃ kartā śāstrāṇāṃ saṃprajāyate	16.9cd: triBiH abdEH svayam kartA SAstrANAm saMprajAyate
   16.10ab: svāṃ tatra cintayen mūrtiṃ buddhitattvaṃ prapaśyati	16.10ab: svAm tatra cintayet mUrtim budDi-tattvam prapaSyati
   16.10cd: tadīśajñānam āpnoti brahmāṇam anucintayan	16.10cd: tad-ISa-jQAnam Apnoti brahmANam anucintayan
   16.11ab: vedān udgirate suptaḥ samādhistho 'thavā muniḥ	16.11ab: vedAn udgirate suptaH samADi-sTaH aTavA muniH
   16.11cd: susthirās te sadābhyāsād anadhītā api sphuṭam	16.11cd: susTirAH te sadA-aByAsAt anaDItAH api sPuwam
   16.12ab: bimbādikaṃ kramāt sarvaṃ pūrvoktam anucintayan	16.12ab: bimba-Adikam kramAt sarvam pUrva-uktam anucintayan
   16.12cd: prāpnoti brāhmam aiśvaryaṃ buddhyāvaraṇam āśritam	16.12cd: prApnoti brAhmam ESvaryam budDi-AvaraNam ASritam
   16.13ab: hṛdi bimbaṃ raver dhyāyet tadantaḥ somamaṇḍalam	16.13ab: hRdi bimbam raveH DyAyet tad-antar soma-maNxalam
   16.13cd: evam abhyasatas tasya ṣaṇmāsād upajāyate	16.13cd: evam aByasataH tasya zaz-mAsAt upajAyate
   16.14ab: divyacakṣur anāyāsāt siddhiḥ syād vatsaratrayāt	16.14ab: divya-cakzuH anAyAsAt sidDiH syAt vatsara-trayAt-
   16.14cd: svadehaṃ cintayaṃs tatra guṇajñānam avāpsyati	16.14cd: sva-deham cintayan tatra guNa-jQAnam avApsyati
   16.15ab: liṅgākāraṃ smaran dīptaṃ tadīśatvam avāpnuyāt	16.15ab: liFga-AkAram smaran dIptam tat-ISa-tvam avApnuyAt-
   16.15cd: bimbādi pūrvavad dhyāyan daśakaṃ daśakātmakam	16.15cd: bimba-Adi pUrvavat DyAyan daSakam daSaka-Atmakam
   16.16ab: phalam āpnoty asaṃdehād guṇāvaraṇasaṃsthitam	16.16ab: Palam Apnoti asaMdehAt guNa-AvaraNa-saMsTitam
   16.16cd: caturviṃśaty amī proktāḥ pratyekaṃ daśapañcadhā	16.16cd: caturviMSati amI proktAH pratyekam daSa-paQcaDA
   16.17ab: dhāraṇāḥ kṣmāditattvānāṃ samāsād yogināṃ hitāḥ	16.17ab: DAraNAH kzmA-Adi-tattvAnAm samAsAt yoginAm hitAH
   16.17cd: trayodaśātmake bhede ṣaḍ anyāḥ saṃsthitā yathā	16.17cd: trayodaSa-Atmake Bede zaw anyAH saMsTitA yaTA
   16.18ab: yoginām anuvarṇyante tathā yogaprasiddhaye	16.18ab: yoginAm anuvarNyante taTA yoga-prasidDaye
   16.18cd: dehaṃ muktvā svarūpeṇa nānyat kiṃ cid iti smaret	16.18cd: deham muktvA svarUpeNa na-anyat kim cit iti smaret-
   16.19ab: sitapadmāsanāsīnaṃ maṇḍalatritayopari	16.19ab: sita-padma-Asana-AsInam maNxala-tritaya-upari
   16.19cd: evam atra sthirībhūte māsamātreṇa yogavit	16.19cd: evam atra sTirIBUte mAsa-mAtreNa yoga-vid-
   16.20ab: sarvavyādhivinirmukto bhavatīti kim adbhutam	16.20ab: sarva-vyADi-vinirmuktaH Bavati-iti kim adButam
   16.20cd: ṣaṇmāsād asya vijñānaṃ jāyate pṛthivītale	16.20cd: zaz-mAsAt asya vijQAnam jAyate pRTivI-tale
   16.21ab: abdāj jarādinirmuktas tribhiḥ puṃstattvadṛg bhavet	16.21ab: abdAt jarA-Adi-nirmuktaH triBiH puMstattva-dRS Bavet-
   16.21cd: hṛdadhaḥ paṅkaje 'traiva dvādaśārdhāṅgulāṃ tanum	16.21cd: hRdaDaH paFkaje atra-eva dvAdaSa-arDa-aFgulAm tanum
   16.22ab: hṛdantāṃ bhāvayet svākyāṃ ṣaṇmāsān mṛtyujid bhavet	16.22ab: hRdantAm BAvayet svAkyAm zaz-mAsAt mRtyu-jit Bavet-
   16.22cd: tribhir abdaiḥ samāpnoti puṃstattveśvaratulyatām	16.22cd: triBiH abdEH samApnoti puMstattva-ISvara-tulya-tAm
   16.23ab: bimbādau pūrvavat sarvaṃ tatra saṃcintite sati	16.23ab: bimba-AdO pUrvavat sarvam tatra saMcintite sati
   16.23cd: phalam āpnoty asaṃdehāt puruṣāvaraṇasthitam	16.23cd: Palam Apnoti asaMdehAt puruza-AvaraNa-sTitam
   16.24ab: etad vedāntavijñānaṃ samāsād upavarṇitam	16.24ab: etat vedAnta-vijQAnam samAsAt upavarNitam
   16.24cd: kapilasya purā proktam etad vistaraśo mayā	16.24cd: kapilasya purA proktam etat vistaraSaH mayA
   16.25ab: śaratsaṃdhyābhrasaṃghābhaṃ svadeham anucintayan	16.25ab: Sarad-saMDyA-aBra-saMGa-ABam sva-deham anucintayan
   16.25cd: vītarāgatvam abhyeti ṣaḍbhir māsair na saṃśayaḥ	16.25cd: vIta-rAga-tvam aByeti zaxBiH mAsEH na saMSayaH
