   || śrīḥ ||	|| SrIH ||
   nāma yo mukhanāsāntarago bāhye cāsya viṣaye vṛttiḥ | prāṇanāt prāṇa eṣa	nAma yaH muKa-nAsA-antara-gaH bAhye ca-asya vizaye vRttiH | prANanAt prANaH eza
   ity abhidhīyate | asmin prāṇe yat spandanakarma tat katamena kṛtam ity	iti aBiDIyate | asmin prANe yat spandana-karma tat katamena kRtam iti-
   atrocyate --- trayodaśavidhena karaṇena kṛtam | yataś caivaṃ tasmāt	atra-ucyate -- trayodaSaviDena karaNena kRtam | yatas ca-evam tasmAt-
   prāṇakarma sarvasya karaṇagrāmasya vṛttiḥ sāmānyā | api cātra dṛṣṭāntaḥ	prANa-karma sarvasya karaNa-grAmasya vRttiH sAmAnyA | api ca-atra dRzwAntaH
   --- yathā kasmiṃścid rājagṛhe pañjare śukāḥ prativasanti | tebhyo	-- yaTA kasmiMScid rAja-gRhe paQjare SukAH prativasanti | teByaH-
   devadattena odano darśitaḥ | odanaṃ dṛṣṭvā sarve pracalitāḥ | tadā	devadattena odanaH darSitaH | odanam dRzwvA sarve pracalitAH | tadA
   pañjarakam api calitam | yat pañjarasya pracalanaṃ karma tat sarveṣām	paQjarakam api calitam | yat paQjarasya pracalanam karma tat sarvezAm
   śukānāṃ sāmānyam | tadvat prāṇe yat spandanakarma tat sarveṣām indriyāṇāṃ	SukAnAm sAmAnyam | tadvat prANe yat spandana-karma tat sarvezAm indriyANAm
   sāmānyam | kiṃ cānyat --- apānenotsṛjati | itaś cāpakramaṇād apāna ity	sAmAnyam | kim ca-anyat -- apAnena-utsRjati | itas ca-apa-kramaNAt apAnaH iti-
   ucyate | apānabahulaś ca devadattaḥ sarpaṃ dṛṣṭvā apasarpati eṣo 'pānaḥ |	ucyate | apAna-bahulaH ca devadattaH sarpam dRzwvA apasarpati ezaH apAnaH |
   tasminn apāne yat spandanakarma tat sarveṣām indriyāṇāṃ sāmānyā vṛttiḥ |	tasmin apAne yat spandana-karma tat sarvezAm indriyANAm sAmAnyA vRttiH |
   ārohaṇād arthotkarṣe udāna ity abhidhīyate | nābhipradeśād utthitaṃ	ArohaNAt arTa-utkarze udAnaH iti aBiDIyate | nABi-pradeSAt utTitam
   gacchati | udānavṛttiś ca devadatta ānandotkarṣaṃ mṛgayati | aham āḍhyo	gacCati | udAna-vRttiH ca devadattaH Ananda-utkarzam mRgayati | aham AXyaH-
   'smād āḍhyataraḥ kathaṃ syām ity eṣa udānaḥ | asminn udāne yat	asmAt AXyataraH kaTam syAm iti ezaH udAnaH | asmin udAne yat-
   spandanakarma tat sāmānyā vṛttiḥ sarvendriyāṇām | kiñ cānyat ---	spandana-karma tat sAmAnyA vRttiH sarva-indriyANAm | kiQ ca-anyat ---
   hṛdyavasthānaṃ sahabhāvaś ca tena samānaḥ | yo vāyur hṛddeśe vartate sa	hRdi-avasTAnam sahaBAvaH ca tena samAnaH | yaH vAyuH hRd-deSe vartate sa
   samānaḥ | tadbahulaś ca ekākī na ramata eṣa samānaḥ | tasmin yat	samAnaH | tad-bahulaH ca ekAkI na ramataH eza samAnaH | tasmin yat-
   spandanakarma tat sarvendriyāṇāṃ sāmānyavṛttiḥ | kiñ cānyat ---	spandana-karma tat sarva-indriyANAm sAmAnya-vRttiH | kiQ ca-anyat ---
   śarīravyāpitayā vyānaḥ | ānakhād ākeśāntaṃ śarīraṃ vyāpya anati calatīti	SarIra-vyApitayA vyAnaH | AnaKAt AkeSa-antam SarIram vyApya anati calati-iti
   vyānaḥ | vyānabahulo devadattaś ca atyantam anyena vinā ramate |(p.34)	vyAnaH | vyAna-bahulaH devadattaH ca atyantam anyena vinA ramate |(p.34)
   tasmin vyāne yat spandanakarma tat sarveṣām indriyāṇāṃ sāmānyavṛttiḥ | tad	tasmin vyAne yat spandana-karma tat sarvezAm indriyANAm sAmAnya-vRttiH | tat-
   evaṃ sāmānyakāraṇavṛttiḥ prāṇādyā vāyavo vyākhyātāḥ // SkMv_29 //	evam sAmAnya-kAraNa-vRttiH prANa-AdyAH vAyavaH vyAKyAtAH // SkMu-_29 //
   vṛttiṃ vyākhyāsyāmaḥ | tad ucyate ---	vRttim vyAKyAsyAmaH | tat ucyate ---
   yugapac catuṣṭayasya hi vṛttiḥ kramaśaś ca tasya nirdiṣṭā /	yugapad catuzwayasya hi vRttiH kramaSas ca tasya nirdizwA /
   dṛṣṭe tathāpy adṛṣṭe trayasya tatpūrvikā vṛttiḥ // ISk_30 //	dRzwe taTA-api adRzwe trayasya tad-pUrvikA vRttiH // ISc-_30 //
   buddhir ahaṅkāro manaś cakṣur ity etāni catvāri yugapad rūpaṃ paśyanti,	budDiH ahaFkAraH manaH cakzuH iti etAni catvAri yugapad rUpam paSyanti,
   ayaṃ sthāṇur 'yaṃ puruṣa iti | evaṃ śabdaṃ sparśaṃ rasaṃ gandhaṃ catvāri	ayam sTANuH ayam puruzaH iti | evam Sabdam sparSam rasam ganDam catvAri
   yugapad gṛhṇanti | evam eṣā yugapac catuṣṭayasya vṛttiḥ | kiṃ cānyat |	yugapad gRhNanti | evam ezA yugapad catuzwayasya vRttiH | kim ca-anyat |
   kramaśaś ca tasya nirdiṣṭā buddhyahaṅkāramanaścakṣuścatuṣṭayasya kramaśo	kramaSas ca tasya nirdizwAH budDi-ahaFkAra-manaH-cakzuH-catuzwayasya kramaSas-
   vṛttir bhavati | dvāridvāravibhāgopadeśād hrasvakālatvād vibhāgo na	vRttiH Bavati | dvAri-dvAra-viBAga-upadeSAt hrasva-kAla-tvAt viBAgaH na
   śakyate vaktuṃ tato yugapad ity ucyate | yathā bālapatraśataṃ sūcyagreṇa	Sakyate vaktum tatas yugapad iti ucyate | yaTA bAla-patra-Satam sUcI-agreNa
   viddham iti | tad yathā | devadattaḥ panthānaṃ gacchan sthāṇuṃ paśyati	vidDam iti | tat yaTA | devadattaH panTAnam gacCan sTANum paSyati
   tatra tasya saṃśayo bhavati kim ayaṃ sthāṇur uta puruṣa iti | tatra	tatra tasya saMSayaH Bavati kim ayam sTANuH uta puruzaH iti | tatra
   sthāṇurūpaṃ paśyati śakuniṃ ca tatrasthaṃ tato 'sya buddhir bhavati	sTANu-rUpam paSyati Sakunim ca tatrasTam tatas asya budDiH Bavati
   sthāṇur ayam iti | ākuñcanaprasāraṇe karoti tato 'pi puruṣo 'yam iti	sTANuH ayam iti | AkuQcana-prasAraNe karoti tatas api puruzaH ayam iti
   pratītiḥ | evaṃ buddhyahaṅkāramanaścakṣuṣāṃ kramaśo vṛttir dṛṣṭā cakṣū	pratItiH | evam budDi-ahaFkAra-manaH-cakzuzAm kramaSas vRttiH dRzwA cakzU
   rūpaṃ paśyati, manaḥ saṅkalpayati, ahaṅkāro 'bhimānayati, buddhir	rUpam paSyati, manaH saFkalpayati, ahaFkAraH aBimAnayati, budDiH-
   adhyavasyati | evaṃ rasanādiṣv api draṣṭavyam | kiṃ cānyat --- dṛṣṭe	aDyavasyati | evam rasanA-Adizu api drazwavyam | kim ca-anyat -- dRzwe
   tathāpy adṛṣṭe | trayasya tatpūrvikā vṛttiḥ | tacchabdena samanantaroktāni	taTA-api adRzwe | trayasya tad-pUrvikA vRttiH | tad-Sabdena samanantara-uktAni
   buddhīndriyāṇi bhavanti | rūpe cakṣuḥpūrvikā, śabde śrotrapūrvikā, sparśe	budDIndriyANi Bavanti | rUpe cakzuH-pUrvikA, Sabde Srotra-pUrvikA, sparSe
   tvakpūrvikā, rase jihvāpūrvikā, gandhe ghrāṇapūrvikā buddhyahaṅkāramanasāṃ	tvakpUrvikA, rase jihvA-pUrvikA, ganDe GrANa-pUrvikA budDi-ahaFkAra-manasAm
   vṛttir iti // SkMv_30 //	vRttiH iti // SkMu-_30 //
   atrāha --- acetanānīndriyāṇi buddhyahaṅkārau manaś ceti kena hetunā svāṃ	atra-Aha -- acetanAni-indriyANi budDi-ahaFkArO manaH ca-iti kena hetunA svAm
   svāṃ vṛttiṃ pratipadyante ity atrāha ---	svAm vRttim pratipadyante iti atra-Aha ---
   svāṃ svāṃ pratipadyante parasparākūtahetukāṃ vṛttim /	svAm svAm pratipadyante paraspara-AkUta-hetukAm vRttim /
   puruṣārtha eva hetur na kenacit kāryate karaṇam // ISk_31 //	puruza-arTaH eva hetuH na kenacid kAryate karaNam // ISc-_31 //
   svāṃ svām iti vīpsām icchanti | (iti trayodaśavidhasya karaṇasya grahaṇaṃ	svAm svAm iti vIpsAm icCanti | (iti trayodaSaviDasya karaNasya grahaNam
   kṛtaṃ bhavati) | pratipadyante gṛhṇantīty arthaāḥ | kiṃ cānyat ---	kRtam Bavati) | pratipadyante gRhNanti-iti arTaAH | kim ca-anyat ---
   parasparākūtahetukāṃ vṛttim | buddher ākūtaṃ jñātvā ahaṅkāro 'bhimānayati,	paraspara-AkUta-hetukAm vRttim | budDeH AkUtam jQAtvA ahaFkAraH aBimAnayati,
   manaḥ saṅkalpayati, indriyāṇi svāṃ svāṃ vṛttiṃ pratipadyante | ākūtaṃ	manaH saFkalpayati, indriyANi svAm svAm vRttim pratipadyante | AkUtam
   nāmābhiprāyaḥ | yathā kila caurasenā grāmaṃ hantuṃ gacchati tatra	nAma-aBiprAyaH | yaTA kila cOra-senA grAmam hantum gacCati tatra
   caurasenāpatinā saṅketaḥ(p.35) kṛto 'sti yadāhaṃ hā heti bravīmi tadā	cOra-senApatinA saFketaH(p.35) kRtaH asti yadA-aham hA hA-iti bravImi tadA
   sarvaiḥ samavāyena praveṣṭavyam | yadā punar aham ahā heti bravīmi tadā	sarvEH samavAyena pravezwavyam | yadA punar aham ahA hA-iti bravImi tadA
   nirgantavyam | etāṃ caurasenāpater ājñām ākūtaṃ jñātvā caurāḥ praviśanti	nirgantavyam | etAm cOra-senApateH AjQAm AkUtam jQAtvA cOrAH praviSanti
   nirgacchanti ca | tatheha caurasenāpatisthānīyā buddhiḥ	nirgacCanti ca | taTA-iha cOra-senApati-sTAnIyA budDiH
   caurasthānīyānīndriyāṇi | kiṃ svārthaṃ viṣayaṃ pratipadyante āhosvit	cOra-sTAnIyAni-indriyANi | kim sva-arTam vizayam pratipadyante Ahosvit-
   parārtham ity atrocyate | parārthaṃ gamyate | yasmād āha --- puruṣārtha	para-arTam iti atra-ucyate | para-arTam gamyate | yasmAt Aha -- puruza-arTa
   eva hetuḥ puruṣārthaḥ kartavya eva iti guṇānāṃ pravṛttiḥ | tasmād etat	eva hetuH puruza-arTaH kartavyaH eva iti guNAnAm pravRttiH | tasmAt etat-
   trayodaśavidhaṃ karaṇaṃ puruṣārthaḥ pravartayati | yad apy uktam ---	trayodaSaviDam karaNam puruza-arTaH pravartayati | yat api uktam ---
   acetanāni karaṇāni kathaṃ pravartanta iti | atra brūmaḥ --- na kenacit	acetanAni karaNAni kaTam pravartante iti | atra brUmaH -- na kenacid-
   kāryate karaṇam | neśvareṇa nāpi puruṣeṇa | svabhāvo nāma kaścit padārtho	kAryate karaNam | na-ISvareNa na-api puruzeNa | svaBAvaH nAma kaScid padArTaH-
   (nā)sti | yasmāt svayam eva ca trayodaśavidhaṃ karaṇaṃ sve sve viṣaye	(nA-a)sti | yasmAt svayam eva ca trayodaSaviDam karaNam sve sve vizaye
   pravartata iti // SkMv_31 //	pravartate iti // SkMu-_31 //
   atrāha --- uktaṃ ca bhagavatā na kenacit kāryate karaṇam iti |	atra-Aha -- uktam ca BagavatA na kenacid kAryate karaNam iti |
   tat katividhaṃ karaṇam iti? atrocyate ---	tat kativiDam karaNam iti? atra-ucyate ---
   karaṇaṃ trayodaśavidhaṃ tadāharaṇadhāraṇaprakāśakaram /	karaNam trayodaSaviDam tad-AharaNa-DAraNa-prakASa-karam /
   kāryaṃ ca tasya daśadhāhāryaṃ dhāryaṃ prakāśyaṃ ca // ISk_32 //	kAryam ca tasya daSaDA-AhAryam DAryam prakASyam ca // ISc-_32 //
   yad atra karaṇam ity uktaṃ tat trayodaśavidham iti boddhyam | pañca	yat atra karaNam iti uktam tat trayodaSaviDam iti bodDyam | paQca
   karmendriyāṇi, pañca buddhīndriyāṇi, buddhyahaṅkārau mana iti etat	karmendriyANi, paQca budDIndriyANi, budDi-ahaFkArO manaH iti etat-
   trayodaśavidhaṃ karaṇam iti | atrāha --- āhārakaṃ dhārakaṃ prakāśakaṃ ca	trayodaSaviDam karaNam iti | atra-Aha -- AhArakam DArakam prakASakam ca
   tad iti | tatrāhārakam indriyalakṣaṇam | dhārakam abhimānalakṣaṇam |	tat iti | tatra-AhArakam indriya-lakzaNam | DArakam aBimAna-lakzaNam |
   prakāśakaṃ buddhilakṣaṇam | atrāha --- kiṃ tad asti yasyāharaṇaṃ dhāraṇaṃ	prakASakam budDi-lakzaNam | atra-Aha -- kim tat asti yasya-AharaNam DAraNam
   prakāśanaṃ ca kriyate | atrocyate --- kāryaṃ ca tasya daśadhāhāryaṃ	prakASanam ca kriyate | atra-ucyate -- kAryam ca tasya daSaDA-AhAryam
   dhāryaṃ prakāśyaṃ ca | kāryam iti śabdasparśarasarūpagandhāḥ pañca,	DAryam prakASyam ca | kAryam iti Sabda-sparSa-rasa-rUpa-ganDAH paQca,
   vacanādānaviharaṇotsargānandāḥ pañca | ete daśa viṣayāḥ kāryam ity ucyate	vacana-AdAna-viharaNa-utsarga-AnandAH paQca | ete daSa vizayAH kAryam iti ucyate
   | taṃ daśavidhaṃ viṣayaṃ buddhīndriyaiḥ prakāśitam arthaṃ karmendriyāṇy	| tam daSaviDam vizayam budDIndriyEH prakASitam arTam karmendriyANi-
   āharanti dhārayanti ca | tad yathā tamasi sthitaṃ pradīpena prakāśitaṃ	Aharanti DArayanti ca | tat yaTA tamasi sTitam pradIpena prakASitam
   ghaṭaṃ hasta ādatte dhārayati ca | tad evaṃ yathā ghaṭaṃ tathā śeṣāṇy api	Gawam hastaH Adatte DArayati ca | tat evam yaTA Gawam taTA SezANi api
   // SkMv_32 //	// SkMu-_32 //
   antaḥkaraṇaṃ trividhaṃ daśadhā bāhyaṃ trayasya viṣayākhyam /	antaHkaraNam triviDam daSaDA bAhyam trayasya vizaya-AKyam /
   sāmpratakālaṃ bāhyaṃ trikālam ābhyantaraṃ karaṇam // ISk_33 //	sAmprata-kAlam bAhyam tri-kAlam AByantaram karaNam // ISc-_33 //
   antaḥkaraṇaṃ trividham iti buddhyahaṅkāramanasāṃ grahaṇam | etat trividham	antaHkaraNam triviDam iti budDi-ahaFkAra-manasAm grahaNam | etat triviDam
   antaḥkaraṇasaṃjñitam | daśadhā bāhyaṃ buddhikarmendriyabhedāt | kiṃ cānyat	antaHkaraNa-saMjQitam | daSaDA bAhyam budDi-karma-indriya-BedAt | kim ca-anyat-
   | trayasya viṣayākhyaṃ buddhyahaṅkāramanasāṃ trayāṇām antaḥkaraṇānāṃ	| trayasya vizaya-AKyam budDi-ahaFkAra-manasAm trayANAm antaHkaraNAnAm
   bāhyaṃ daśavidhaṃ(p.36) karaṇaṃ viṣayākhyaṃ viṣaya(?) upabhogyam iti |	bAhyam daSaviDaM(p.36) karaNam vizaya-AKyam vizaya(?) upaBogyam iti |
   ābhyantaraṃ trikaṃ svāmibhūtaṃ bāhyaṃ daśavidhaṃ bhṛtyabhūtam ity arthaḥ |	AByantaram trikam svAmi-BUtam bAhyam daSaviDam BRtya-BUtam iti arTaH |
   kiṃ cānyat --- sāmpratakālaṃ bāhyam | yad etad bāhyaṃ daśavidhaṃ karaṇam	kim ca-anyat -- sAmprata-kAlam bAhyam | yat etat bAhyam daSaviDam karaNam
   uktaṃ tat sāmpratakālaṃ vartamānaviṣayagrāhakaṃ bhavati |	uktam tat sAmprata-kAlam vartamAna-vizaya-grAhakam Bavati |
   śrotratvakcakṣurjihvāghrāṇāni vartamānāny eva śabdādīni gṛhṇanti |	Srotra-tvac-cakzuH-jihvA-GrANAni vartamAnAni eva Sabda-AdIni gRhNanti |
   nātītāni na ca bhāvīni | evaṃ vākpāṇipādapāyūpasthāni vartamāneṣu	na-atItAni na ca BAvIni | evam vAc-pANi-pAda-pAyu-upasTAni vartamAnezu
   vacanādeyabhūmimalotsargānandeṣu pravartante nātītābhaviṣyatoḥ | kiñ	vacana-Adeya-BUmi-mala-utsarga-Anandezu pravartante na-atIta-aBavizyatoH | kiQ
   cānyat --- trikālam ābhyantaraṃ mano'haṅkārabuddhirūpaṃ karaṇaṃ pravartate	ca-anyat -- tri-kAlam AByantaram manaH-ahaFkAra-budDi-rUpam karaNam pravartate
   | buddhir vartamānaṃ ghaṭaṃ buddhyate atītaṃ bhaviṣyantaṃ ca smarati | tad	| budDiH vartamAnam Gawam budDyate atItam Bavizyantam ca smarati | tat-
   yathā --- yudhiṣṭhirabhīmasenāv āstām atītaviṣayagrāhiṇī buddhiḥ | kalkī	yaTA -- yuDizWira-BImasenO AstAm atIta-vizaya-grAhiNI budDiH | kalkI
   bhaviṣyati bhāvivastugrāhiṇī | evam ahaṅkāro 'pi trikālavān | yathāham	Bavizyati BAvi-vastu-grAhiNI | evam ahaFkAraH api tri-kAlavAn | yaTA-aham
   asmin gṛhe svāmī āsaṃ, bhaviṣyāmi ceti | evaṃ mano 'py atītaṃ saṅkalpayati	asmin gRhe svAmI AsaM, BavizyAmi ca-iti | evam manaH api atItam saFkalpayati
   vartamānaṃ bhāvi ca | yata evaṃ tasmād ucyate "trikālam ābhyantaraṃ	vartamAnam BAvi ca | yatas evam tasmAt ucyate "tri-kAlam AByantaram
   karaṇam" iti // SkMv_33 //	karaNam" iti // SkMu-_33 //
   atrāha --- kāni indriyāṇi saviśeṣaṃ viṣayaṃ gṛhṇanti, kāni nirviśeṣam |	atra-Aha -- kAni indriyANi sa-viSezam vizayam gRhNanti, kAni nirviSezam |
   atrocyate ---	atra-ucyate ---
   buddhīndriyāṇi teṣāṃ pañca viśeṣāviśeṣaviṣayāṇi /	budDIndriyANi tezAm paQca viSeza-aviSeza-vizayANi /
   vāg bhavati śabdaviṣayā śeṣāny api pañcaviṣayāṇi // ISk_34 //	vAc Bavati Sabda-vizayA SezAni api paQca-vizayANi // ISc-_34 //
   teṣām karaṇānāṃ madhye yeṣām ayam adhikāro vartate teṣāṃ yāni	tezAm karaNAnAm maDye yezAm ayam aDikAraH vartate tezAm yAni
   buddhīndriyāṇi śrotratvakcakṣurjihvāghrāṇāni pañca tāni saviśeṣaṃ gṛhṇanti	budDIndriyANi Srotra-tvac-cakzuH-jihvA-GrANAni paQca tAni sa-viSezam gRhNanti
   aviśeṣam api viṣayaṃ gṛhṇanti | atrāha --- kasya saviśeṣaṃ viṣayaṃ	aviSezam api vizayam gRhNanti | atra-Aha -- kasya sa-viSezam vizayam
   gṛhṇanti kasya nirviśeṣam iti | atrocyate śabdasparśarasarūpagandhāḥ pajña	gRhNanti kasya nirviSezam iti | atra-ucyate Sabda-sparSa-rasa-rUpa-ganDAH pajQa
   devānāṃ tanmātrasaṃjñitā nirviśeṣāḥ kevalasukhalakṣaṇatvāt | yasmāt tatra	devAnAm tanmAtra-saMjQitAH nirviSezAH kevala-suKa-lakzaNa-tvAt | yasmAt tatra
   duḥkhamohau na stas tasmān nirviśeṣās te iti | tathā hi | viśiṣyante	duHKa-mohO na staH tasmAt nirviSezAH te iti | taTA hi | viSizyante
   śāntaghoramūḍhatvādineti viśeṣās taiḥ saha saviśeṣāḥ, kevalā nirviśeṣā iti	SAnta-Gora-mUXa-tva-AdinA-iti viSezAH tEH saha sa-viSezAH, kevalAH nirviSezAH iti
   tātparyam | evaṃ śabdādayo manuṣyāṇāṃ saviśeṣāḥ sukhaduḥkhamohayuktā ity	tAtparyam | evam Sabda-AdayaH manuzyANAm sa-viSezAH suKa-duHKa-moha-yuktAH iti-
   arthaḥ | devānāṃ tu buddhīndriyāṇi nirviśeṣaṃ sukhātmakaṃ prakāśayanti |	arTaH | devAnAm tu budDIndriyANi nirviSezam suKa-Atmakam prakASayanti |
   uktāni buddhīndriyāṇi devānāṃ mānuṣāṇāṃ ca | karmendriyāṇi vakṣyāmaḥ | vāg	uktAni budDIndriyANi devAnAm mAnuzANAm ca | karmendriyANi vakzyAmaH | vAc-
   bhavati śabdaviṣayā śeṣāny api pañca viṣayāṇi | tatra devānāṃ vāk pādaṃ	Bavati Sabda-vizayA SezAni api paQca vizayANi | tatra devAnAm vAc pAdam
   pādārdhaṃ ślokam uccārayati | asmākam api tathaiva | ato devānām asmākaṃ	pAda-arDam Slokam uccArayati | asmAkam api taTA-eva | atas devAnAm asmAkam
   ca vāgindriyaṃ tulyam ity arthaḥ | kiṃ cānyat --- śeṣāṇy api pañca	ca vAc-indriyam tulyam iti arTaH | kim ca-anyat -- SezANi api paQca
   viṣayāṇi iti | teṣāṃ(p.37) caturṇām ekaikaṃ pañcaviṣayam | pāṇis tāvat	vizayANi iti | tezAm(p.37) caturNAm ekEkam paQca-vizayam | pANiH tAvat-
   śabdasparśarasarūpagandhayuktaḥ | evaṃ pañcalakṣaṇam eva pāṇīndriyaṃ	Sabda-sparSa-rasa-rUpa-ganDa-yuktaH | evam paQca-lakzaNam eva pANi-indriyam
   sannikṛṣṭaṃ pañcalakṣaṇaṃ ghaṭaṃ gṛhṇāti | (yasmāt pañcalakṣaṇaṃ hastaṃ	sannikRzwam paQca-lakzaNam Gawam gRhNAti | (yasmAt paQca-lakzaNam hastam
   hastendriyaṃ ca) evaṃ śabdādipañcalakṣaṇaḥ pādaḥ pañcātmikāyām eva bhuvi	hasta-indriyam ca) evam Sabda-Adi-paQca-lakzaNaH pAdaH paQca-AtmikAyAm eva Buvi
   viharati | evaṃ pañcalakṣaṇe pāyūpasthe api pañcalakṣaṇāv utsargānandau	viharati | evam paQca-lakzaNe pAyu-upasTe api paQca-lakzaNO utsarga-AnandO
   kurutaḥ | tasmāt yuktam abhihitam --- "śeṣāṇy api pañca viṣayāṇi" iti //	kurutaH | tasmAt yuktam aBihitam -- "SezANi api paQca vizayANi" iti //
   SkMv_34 //	SkMu-_34 //
   idānīṃ buddhiviṣayakhyāpanāyedam ucyate ---	idAnIm budDi-vizaya-KyApanAya-idam ucyate ---
   sāntaḥkaraṇā buddhiḥ sarvaṃ viṣayam avagāhate yasmāt /	sa-antaHkaraNA budDiH sarvam vizayam avagAhate yasmAt /
   tasmāt trividhaṃ karaṇaṃ dvāri dvārāṇi śeṣāṇi // ISk_35 //	tasmAt triviDam karaNam dvAri dvArANi SezANi // ISc-_35 //
   sāntaḥkaraṇā antaḥkaraṇe ahaṃmanasī tābhyāṃ saha vartate yā buddhiḥ sā	sa-antaHkaraNAH antaHkaraNe ahaMmanasI tAByAm saha vartate yA budDiH sA
   tathoktā | sā buddhiḥ sarvaṃ viṣayaṃ niravaśeṣaṃ triṣv api kāleṣu yasmād	taTA-uktA | sA budDiH sarvam vizayam niravaSezam trizu api kAlezu yasmAt-
   avagāhate vyāpnoti gṛhṇāti śabdādyaṃ pañcavidhaṃ tasmād eva	avagAhate vyApnoti gRhNAti Sabda-Adyam paQcaviDam tasmAt eva
   tanmanobuddhyahaṅkāralakṣaṇaṃ trividham eva karaṇaṃ sādhanaṃ, kriyate	tad-manaH-budDi-ahaFkAra-lakzaNam triviDam eva karaNam sADanan, kriyate
   'nenetikṛtvā | śeṣāṇi punaḥ dvāri bāhye yāni buddhikarmendriyatayā	anena-itikRtvA | SezANi punar dvAri bAhye yAni budDi-karma-indriya-tayA
   pratītāni śrotravākprabhṛtīni daśa tāni tasyā eva mano'haṅkārayuktāyā	pratItAni Srotra-vAc-praBRtIni daSa tAni tasyAH eva manaH-ahaFkAra-yuktAyAH-
   buddher viṣayagrahaṇāya dvārāṇi pratīkāny eva na tu karaṇatayā sānvayāni |	budDeH vizaya-grahaNAya dvArANi pratIkAni eva na tu karaNa-tayA sa-anvayAni |
   tathā etair daśabhir dvāraiḥ sāntaḥkaraṇā buddhir eva viṣayān gṛhṇātīti	taTA etEH daSaBiH dvArEH sa-antaHkaraNA budDiH eva vizayAn gRhNAti-iti
   trividham eva karaṇam ity arthaḥ // SkMv_35 //	triviDam eva karaNam iti arTaH // SkMu-_35 //
   kiñ cānyat ---	kiQ ca-anyat ---
   ete pradīpakalpāḥ parasparavilakṣaṇā guṇaviśeṣāḥ /	ete pradIpa-kalpAH paraspara-vilakzaNAH guNa-viSezAH /
   kṛtsnaṃ puruṣasyārthaṃ prakāśya buddhau prayacchanti // ISk_36 //	kRtsnam puruzasya-arTam prakASya budDO prayacCanti // ISc-_36 //
   ete iti buddhikarmāntaḥkaraṇabhedās trayodeśa pradīpakalpāḥ pradīpatulyāḥ	ete iti budDi-karma-antaHkaraNa-BedAH trayodeSa pradIpa-kalpAH pradIpa-tulyAH
   | kiṃ cānyat | parasparavilakṣaṇāḥ | bhinnalakṣaṇā visadṛśā ity arthaḥ |	| kim ca-anyat | paraspara-vilakzaNAH | Binna-lakzaNAH visadRSAH iti arTaH |
   śrotraṃ hi śabdaṃ gṛhṇāti, na sparśādīn | evam itaratra | vāg vakty eva na	Srotram hi Sabdam gRhNAti, na sparSa-AdIn | evam itaratra | vAc vakti eva na
   gṛhṇāti gacchati viharaty ānandati | evaṃ pāṇyādiṣu | manaḥ saṅkalpayati	gRhNAti gacCati viharati Anandati | evam pANi-Adizu | manaH saFkalpayati
   nāhaṅkurute | ahaṅkāraś cābhimanute na saṅkalpayati | evaṃ dvādaśāpi svaṃ	na-ahaFkurute | ahaFkAraH ca-aBimanute na saFkalpayati | evam dvAdaSA-api svam
   svam arthaṃ puruṣabhogyatayā prakāśya buddhau prayacchanti nikṣipanti |	svam arTam puruza-Bogya-tayA prakASya budDO prayacCanti nikzipanti |
   tad buddhisthaṃ viṣayaṃ sukhaduḥkhādyaṃ puruṣa upalabhate // SkMv_36 //	tat budDi-sTam vizayam suKa-duHKa-Adyam puruzaH upalaBate // SkMu-_36 //
   kiñ cānyat ---	kiQ ca-anyat ---
   sarvaṃ pratyupabhogaṃ yasmāt puruṣasya sādhayati buddhiḥ /	sarvam pratyupaBogam yasmAt puruzasya sADayati budDiH /
   saiva ca viśinaṣṭi tataḥ pradhānapuruṣāntaraṃ sūkṣmam // ISk_37 //	sA-eva ca viSinazwi tatas praDAna-puruza-antaram sUkzmam // ISc-_37 //
   (p.38)	(p.38)
   nirviśeṣaṃ triṣv api kāleṣu yo yo viṣayaṃ prati upabhogo devatiryagyoniṣu	nirviSezam trizu api kAlezu yaH yaH vizayam prati upaBogaH deva-tiryagyonizu
