   daśamaḥ paricchedaḥ	daSamaH paricCedaH
        guṇaḥ sāmānādhikaraṇyena siddhatānirdeśyo dharmaḥ /	guNaH sAmAnADikaraNyena sidDa tA nirdeSyaH DarmaH /
        kriyā sādhyatākāranirddeśyo dharmaḥ /	kriyA sADyatA AkAra nirddeSyaH DarmaH /
        dravyaṃ śṛṅgagrāhikayā nirdeśyo dharmaḥ /	dravyam SRFga grAhikayA nirdeSyaH DarmaH /
        utprekṣyamadhyavaseyam /	utprekzya maDyavaseyam /
        prakṛtasyāpi etad bhedayoge 'pi vaicitryānāvahatvānna bhedagaṇanam,	prakRtasya api etat Beda yoge api vEcitryAn Avaha tvAt na Beda gaNanam,
   sambhāvanaprāṇasya asyālaṅkārasya sambhāvyamānaviśeṣādeva viśeṣopālambhāt	samBAvana prANasya asya alaFkArasya samBAvya mAna viSezAt eva viSeza upAlamBAt 
        dvayoruktabhedayoḥ /	dvayoH ukta BedayoH /
        bhāvo jātyādireva /	BAvaH jAti AdiH eva /
        abhāvasteṣāmevāsattā /	aBAvaH tezAm eva asattA /
        nimittasya utprekṣaṇakāraṇasya viṣayadharmasya tā uktaṣoḍaśaprakārāḥ	nimittasya utprekzaNa kAraNasya vizaya Darmasya tAH ukta zoxaSa prakArAH
        utprakṣyate prakāśyate, arthāt sajātīyamanekamanayā	utprakzyate prakASyate, arTAt sajAtIyam anekam anayA
   svalpayāpītyutprekṣā /	su alpayA api iti utprekzA /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   tatra vācyotprekṣāyāmudāharaṇaṃ diṅmātraṃ yathā  	tatra vAcya utprekzAyAm udAharaNam diS mAtram yaTA  
   "ūruḥ kuraṅgakadṛśaścañcalacelāñcalo bhāti /	"UruH kuraFga kadRSaH caQcala celA aQcalaH BAti /
   sapatākaḥ kanakamayo vijayastambhaḥ smarasyeva" //	sa patAkaH kanaka mayaH vijaya stamBaH smarasi eva" //
   atra vijayastambhasya bahuvācakatvājjātyuprekṣā /	atra vijaya stamBasya bahu vAcaka tvAt jAti u prekzA /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, da) diṅmātram alpamātram /	(vi, da) diS mAtram alpa mAtram /
        ūruriti /	UruH iti /
        cañcalacelāñcalaḥ calavastraikadeśaḥ /	caQcala celA aQcalaH cala vastra eka deSaH /
        kuraṅgakadṛśaḥ ūruḥ smarasya sapatākaḥ kanakamayo nijayastambha iva	kuraFga kadRSaH UruH smarasya sa patAkaH kanaka mayaH nijaya stamBaH iva
   bhātītyarthaḥ /	BAti iti arTaH /
        stambho hemayaṣṭiḥ /	stamBaH hema yazwiH /
        patākā taduparivastram, calacelāñcalasthāne tatra /	patAkA tad upari vastram, cala cela aQcala sTAne tatra /
        atra jātyutprekṣātvaṃ grāhayati   atreti /	atra jAti utprekzA tvam grAhayati    atra iti /
        vijayastambhasyeti /	vijaya stamBasya iti /
        tadvācakapadasyetyarthaḥ, prakrāntasya bahuvācakatvād	tad vAcaka padasya iti arTaH, prakrAntasya bahu vAcaka tvAt 
   bahuvyaktivācitvāt, tathāca stambhatvasya jātitvamupapāditam /	bahu vyakti vAci tvAt, taTA ca stamBa tvasya jAti tvam upapAditam /
        stambhotprekṣāyāśca tatprakārakatvāt tasyā apyutprekṣā /	stamBa utprekzAyAH ca tad prakAraka tvAt tasyAH api utprekzA /
        evaṃ sarvatra vidheyam /	evam sarvatra viDeyam /
        idamudāharaṇaṃ na guṇākriyānimittotprekṣāyāḥ kintu vakṣyamāṇāyā	idam udAharaNam na guNa akriyA nimitta utprekzAyAH kintu vakzyamANAyAH 
   anuktanimittotprekṣāyā eva /	anukta nimitta utprekzAyAH eva /
        ato 'tra vijayastambhotprekṣāhetu kāmoddīpakatvamanuktam /	atas atra vijaya stamBa utprekzA hetu kAma uddIpaka tvam anuktam /
        Locanā:	LocanA:
        (lo, i) jātyutprekṣā /	(lo, i) jAti utprekzAH /
        jātisvarūpotprekṣaṇāt /	jAti svarUpa utprekzaNAt /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   "jñāne maunaṃ kṣamā śaktau tyāge ślāghāviparyayaḥ /	"jQAne mOnam kzamA SaktO tyAge SlAGA viparyayaH /
   guṇā guṇānubandhitvāttasya saprasavā iva" //	guNAH guNa anubanDi tvAt tasya sa prasavAH iva" //
   atra saprasavatvaṃ guṇaḥ /	atra sa prasava tvam guNaH /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, dha) vācyaguṇotprekṣāmāha   jñāne maunamiti /	(vi, Da) vAcya guNa utprekzAm Aha    jQAne mOnam iti /
        tasya dilīpasya guṇāguṇanubandhitvātsaprasavā ivetyarthaḥ /	tasya dilIpasya guNa aguNanubanDi tvAt sa prasavAH iva iti arTaH /
        guṇānāṃ guṇāntarānubandhitvaṃ darśayati   jñānamiti /	guNAnAm guNa antara anubanDi tvam darSayati    jQAnam iti /
        jñānādau sati maunādikamityarthaḥ   atreti /	jQAna AdO sati mOna Adikam iti arTaH   atra iti /
        prasavo yonibahirbhāvaḥ /	prasavaH yoni bahirBAvaH /
        utpādane prakṛte 'prakṛtatadutprekṣā /	utpAdane prakRte aprakRta tad utprekzA /
        prasavapadasya kṛdantatvena nāmatvaprāptyā tadartho na kriyetyato	prasava padasya kRdanta tvena nAma tva prAptyA tad arTaH na kriyA iti atas 
   guṇa eva /	guNaH eva /
        atra guṇānubandhitvamutprekṣāheturukta eva /	atra guNa anubanDi tvam utprekzA hetuH uktaH eva /
        Locanā:	LocanA:
        (lo, ī) evaṃ vakṣyamāṇe guṇa ityanantaramutprekṣyate iti śeṣaḥ /	(lo, I) evam vakzyamANe guNaH iti anantaram utprekzyate iti SezaH /
        evamanyatra /	evam anyatra /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   "gaṅgāmbhasi suratrāṇa ! tava niḥ śānanisvanaḥ /	"gaFga amBasi suratrANaH ! tava niH SAna nisvanaH /
   snātīvāridhūvargagarbhapātanapātakī" //	snAtI vAri DU varga garBa pAtana pAtakI" //
   atra snātīti kriyā /	atra snAti iti kriyA /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, na) vācyāṃ kriyotprekṣāmāha   gaṅgāmbhasīti /	(vi, na) vAcyAm kriyA utprekzA mAha   gaFga amBasi iti /
        suratrāṇeti   pāścāttyayavananṛpatīnāmutkarṣabodhakaḥ	sura trANa iti   pAH cAt tyaya vana nRpatInAm utkarza boDakaH
   karibhāṣāviśeṣaḥ sulatāna iti padasyāpabhraṃśaḥ /	kari BAzA viSezaH su latAnaH iti padasya apaBraMSaH /
        he tādṛśa tava niḥ śāṇasya sainyavādyasya niḥ svanaḥ	he tAdRSa tava niH SANasya sEnya vAdyasya niH svanaH
   arivadhūvargagarbhapātanapātakī yataḥ atastatpātakakṣayārthaṃ gaṅgambhasi	ari vaDU varga garBa pAtana pAtakI yatas atas tad pAtaka kzaya arTam gaFgamBasi
   snātīvetyarthaḥ /	snAtI iva iti arTaH /
        gaṅgāyāḥ pāścātyanṛpatisainyadūravarttitvāttatparyyantamapi sainyaniḥ	gaFgAyAH pAScAtya nRpati sEnya dUra vartti tvAt tat paryyantam api sEnya niH
   svana āyāta iti bhāvaḥ /	svane AyAtaH iti BAvaH /
        atra hetuṃ granthakṛdeva pradarśayiṣyati /	atra hetum granTa kRt eva pradarSayizyati /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   "mukhameṇīdṛśo bhāti pūrṇacandra ivāparaḥ" /	"muKam eNi IdRSaH BAti pUrNa candraH iva aparaH" /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, pa) dravyotprekṣāmāha   mukhamiti /	(vi, pa) dravya utprekzAm Aha   muKam iti /
        iyamapi anuktahetukā /	iyam api anukta hetukAH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   atra candra ityekavyaktivācakatvāddravyaśabdaḥ /	atra candraH iti eka vyakti vAcaka tvAt dravya SabdaH /
   ete bhāvābhimāne /	ete BAva aBimAne /
   abhāvābhimāne yathā  	aBAva aBimAne yaTA  
   "kapolaphalakāvasyāḥ kaṣṭaṃ bhūtvā tathāvidhau /	"kapola Pala kO= asyAH kazwam BUtvA taTAviDO /
   upaśyantāvivānyonyamīdṛkṣāṃ kṣāmatāṃ gatau" //	upaSyantO= iva anyonyamIdRkzAm kzAma tAm gatO" //
   atrāpaśyantāviti kriyāyā abhāvaḥ /	atra apaSyantO= iti kriyAyAH aBAvaH /
   evamanyat /	evam anyat /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, pha) abhāvābhimāne jātyādyabhāvotprekṣāyāṃ tatra	(vi, Pa) aBAva aBimAne jAti Adi aBAva utprekzAyAm tatra
   kriyābhāvotprekṣāmāha   kapolaphalakāviti /	kriyA BAva utprekzA mAha     kapola PalakO= iti /
        asyāḥ kapolaphalakau kapolarūpaspharadeśau tathāvidhau puṣṭasvarūpau	asyAH kapola PalakO kapola rUpa sPara deSO taTAviDO puzwa svarUpO
   bhūtvā īdṛkṣāmīdṛśīṃ kṣāmatāṃ kṣīṇatāṃ gatau iti kaṣṭamityarthaḥ /	BUtvA IdRkzAm IdRSIm kzAma tAm kzINa tAm gatO iti kazwam iti arTaH /
        iṣṭadarśanāt kṣīṇatvaprāptiḥ /	izwa darSanAt kzINa tva prAptiH /
        atra kṣāmatvahetau virahe prakṛte taddhetutvena	atra kzAma tva hetO virahe prakRte tad hetu tvena
   parasparadarśanakriyābhāva utprekṣitaḥ /	paraspara darSana kriyA BAvaH utprekzitaH /
        atra hetūktiḥ granthakṛtaiva agre darśayiṣyate   evamanyaditi /	atra hetu uktiH granTa kRtA eva agre darSayizyate   evam anyat iti /
        atra jātyabhāvotprekṣā yathā   "na sandhayāṃ kurute bhāsvān	atra jAtyaBAva utprekzA yaTA   "na sanDayAm kurute BAsvAn
   dvijatvābhāvataḥ kimu" ityātapaklāntoktau sandhyākaraṇahetau	dvija tva aBAvataH kimu" iti Atapa klAnta uktO sanDyA karaNa hetO
   mandagamaneprakṛte 'prakṛtaśliṣṭasandhyāpadārthakaraṇahetutvena	manda gamaneprakRte aprakRta Slizwa sanDyA padArTa karaNa hetutvena
   dvijatvajātyabhāva utprekṣitaḥ /	dvija tva jAti aBAvaH utprekzitaH /
        sandhyākaraṇañca utprekṣāheturuktaḥ /	sanDyA karaNaQcaH utprekzA hetuH uktaH /
        anuktahetukā jātyabhāvotprekṣā yathā    "āgacchanneva puruṣo na vipra	anukta hetukAH jAtyaBAva utprekzA yaTA   "AgacCan= eva puruzaH na vipra
   iti lakṣyate" //	iti lakzyate" //
        iti /	iti /
        atra tu vipratvavyañjakasaṃsthānābhāvo heturanuktaḥ /	atra tu vipra tva vyaQjaka saMsTAna aBAvaH hetuH anuktaH /
        evaṃ rītyānyatrāpi hetūktyanuktī bodhye /	evam rItyA anyatra api hetu ukti anuktI boDye /
        "kīrttiste śrīmato dūraṃ prayātānādṛteva kim /	"kIrttiH te SrImataH dUram prayAtAnAt RtA iva kim /
        " ityatra kīrttiranādaro guṇa utprekṣitaḥ /	" iti atra kIrttiH anAdaraH guNaH utprekzitaH /
        tatsapatnītvena adhyāsitvaṃ śrīmattvaṃ heturuktaḥ /	tad sapatnI tvena aDyAsi tvam SrImat tvam hetuH uktaH /
        "astaṃ jagāma rajanī tadīśendumṛteriva" //	"astam jagAma rajanI tad ISa indu m RteH iva" //
        ityatra dravyasya indorabhāva utprekṣitaḥ /	iti atra dravyasya indoH aBAvaH utprekzitaH /
        rajanyastagamanaṃ taddheturuktaḥ	rajanI asta gamanam tad hetuH uktaH
        Locanā:	LocanA:
        (lo, u) tathāvidhau rupavantau /	(lo, u) taTAviDO rupavantO /
        kriyāyā darśanarūpāyāḥ /	kriyAyAH darSana rUpAyAH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   nimittasya guṇakriyārūpatve yathā  "gaṅgambhasi" ityādau	nimittasya guNa kriyA rUpa tve yaTA  "gaFgamBasi" iti AdO
   snātīvetyutprekṣānimittaṃ pātakitvaṃ guṇaḥ /	snAti iva iti utprekzA nimittam pAtaki tvam guNaH /
   "apaśyantau " ityādau kṣāmatāgamanarūpaṃ nimittaṃ kriyā /	"apaSyantO " iti AdO kzAma tA gamana rUpam nimittam kriyA /
   evamanyat /	evam anyat /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ba) eṣu hetūnāṃ kriyātvaguṇatve svayameva avadhātvye /	(vi, ba) ezu hetUnAm kriyA tva guNa tve svayam eva avaDAtvye /
        pātakitvaṃ heturiti /	pAtaki tvam hetuH iti /
        "prabhāte hasatīveyam " ityatra tu priyasūryyadarśanaṃ heturanuktaḥ /	"praBAte hasati iva iyam " iti atra tu priya sUryya darSanam hetuH anuktaH /
        evamanyaditi /	evam anyat iti /
        utsukeva hasatyeṣā hasatyeṣā jyotsnāmindoḥ kumudvatī /	utsukA iva hasati ezA hasati ezA jyotsnAm indoH kumudvatI /
        " ityatrotsukatvotprekṣāyāmindujyotsnā guṇaḥ /	" iti atra utsukatva utprekzAyAm indu jyotsnA guNaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   pratīyamānotprekṣā yathā  	pratIyamAna utprekzA yaTA  
   "tanvaṅgyāḥ stanayugmena mukhaṃ na prakaṭīkṛtam /	"tanu aFgyAH stana yugmena muKam na prakawIkRtam /
   hārāya guṇine sthānaṃ na dattamiti lajjayā" //	hArAya guNine sTAnam na dattam iti lajjayA" //
   atra lajjayeveti ivādyabhāvātpratīyamānotprekṣā /	atra lajjayA iva iti iva Adya BAvAt pratIyamAna utprekzA /
   evamanyat /	evam anyat /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, bha) tanvaṅgyā iti /	(vi, Ba) tanu aFgyAH iti /
        mukhāprakaṭanaṃ vastrāvṛtatvāt /	muKa aprakawanam vastra AvRta tvAt /
        hārāya sthānādānaṃ nibiḍasānnidhyena sandhirāhityācca /	hArAya sTAna AdAnam nibixa sAnniDyena sanDi H AhityAt ca /
        sthānādānamatra guṇo heturuktaḥ /	sTAna AdAnam atra guNaH hetuH uktaH /
        evamanyaditi /	evam anyat iti /
        "vikrīya vispaṣṭamukhena bālā, mālākṛtaḥ kairavakorakāṇi /	"vikrIya vispazwa muKena bAlA, mAlA kRtaH kEravakorakANi /
        vikretukāmā vikacāmbujāni celāñcalenānanamāvṛṇoti" //	vikretu kAmA vikaca ambujAni celA aQcalena Ananam AvRNoti" //
        ityatrāpyambujavikrayecchāyā mukhāvaraṇehatutvābhāvāt vikretukāmeva	iti atra api ambuja vikrayecCAyA muKa AvaraNa Iha tutva aBAvAt vikretukAm eva
   "ityutprekṣādhyāhāraḥ /	"iti utprekza aDyAhAraH /
        tadaiva mukhacandrādarśanāt padmanimīlanasya vāraṇamiti bhāvaḥ /	tadA eva muKa candra adarSanAt padma nimIlanasya vAraNam iti BAvaH /
        kriyotprekṣādhyāhāre tu hasatyarkodaye 'mbujamiti	kriyA utprekzA aDyAhAre tu hasati arka udaye ambujam iti
   jātyutprekṣādhyāhāre"cāṇḍālo 'nyo dvijaḥ pāpī'; iti /	jAti utprekza aDyAhAreH cANxAlaH anyaH dvijaH pApI a; iti /
        dravyotprekṣādhyāhāre  candro 'nyamukhametasyā	dravya utprekzA aDyAhAre  candraH anya muKam etasyA
   ityanayoranyapadasattvānna rūpakam /	iti anayoH anya pada sattvAt na rUpakam /
        Locanā:	LocanA:
        (lo, ū) mukhaṃ cūcukāparaparyyāyaṃ vadanañca /	(lo, U) muKam cUcukA para paryyAyam vadanaQca /
        guṇaḥ sūtraṃ vijñātvavinayādiśca /	guNaH sUtram vijQAtva vinaya AdiH ca /
        atra guṇotprekṣā pratīyamānā /	atra guNa utprekzA pratIyamAnAH /
        bhāvābhimānaśca anyatra yathā mama tātapādānām /	BAva aBimAnaH ca anyatra yaTA mama tAta pAdAnAm /
        vikasitamukhīṃ rāgāsaṅgād galattimirāṃśukāṃ	vikasita muKIm rAga AsaFgAt galat timira aMSukAn
   dinakarakaraspṛṣṭāmaindrīṃ nirīkṣya diśaṃ puraḥ /	dinakara kara spRzwAm EndrIm nirIkzya diSam puras /
        jaraṭhalavalīpāṇḍucchāyo bhṛśaṃ kaluṣāntaraḥ śrayati haritaṃ prātaḥ	jaraWa lavalI pANxu= CAyaH BRSam kaluza antaraH Srayati haritam prAtar 
   pracetasīṃ tuhinadyutiḥ //	pracetasIm tuhina dyutiH //
        atra nirīkṣyeveti nirīkṣaṇakriyotprekṣā pratīyamānā /	atra nirIkzya iva iti nirIkzaNa kriyA utprekzA pratIyamAnAH /
        evamanyatra /	evam anyatra /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   nanu dhvaninirūpaṇaprastāve 'laṅkārāṇāṃ sarveṣāmapi vyaṅgyātvaṃ	nanu Dvani nirUpaNa prastAve alaFkArANAm sarvezAm api vyaFgyAtvam
   bhavatītyuktam /	Bavati iti uktam /
   samprati punaviśiṣya kathamutprekṣāyāḥ pratīyamānatvam ?	samprati puna viSizya kaTam utprekzAyAH pratIyamAna tvam ?
   ucyatevyaṅgyotprekṣāyām  "mahilāsahassa " ityādāvutprekṣaṇaṃ vināpi	ucyatevyaFgya utprekzAyAm  " mahilA sahassa " iti AdO= utprekzaNam vinA api
   vākyaviśrāntiḥ /	vAkya viSrAntiH /
   iha tu stanayorlajjāyā asambhavāllajjayevetyutprekṣayaiveti	iha tu stanayoH lajjAyAH asamBavAt lajjayA iva iti utprekzayA eva iti
   vyaṅgyapratīyamānotprekṣayorbhedaḥ /	vyaFgya pratIyamAna utprekzayoH BedaH /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ma) nanu ityādyāśaṅkā spaṣṭaiva /	(vi, ma) nanu iti Adi ASaFkA spazwA eva /
        vākyārthabodhasyotprekṣādhyāhāraṃ vinānupapattau tadadhyāhāre	vAkya arTa boDasya utprekzA aDyAhAram vinA anupapattO tat aDyAhAre
   pratīyamānotprekṣā tadadhyāhāraṃ vināpi vākyārthabodhasambhave	pratIyamAna utprekzA tat aDyAhAram vinA api vAkya arTa boDa samBave
   paścattātparyyavaśād utprekṣāvyañjane utprekṣādhvaniriti	paScattAt paryya vaSAt utprekzA vyaQjane utprekzA DvaniH iti
   siddhāntayitumutprekṣādhvaniviṣayaṃdarśayati   ucyata iti /	sidDAntayitum utprekzA DvanivizayaMdarSayati   ucyate iti /
        mahileti /	mahilA iti /
        prāg vyākhyātam /	prAk vyAKyAtam /
        nāyakasyānekanāyikānurāgāt kṛśībhavantyāstatpanyā avasthāṃ tasmin	nAyakasya aneka nAyikA anurAgAt kRSIBavantyAH tad panyAH avasTAm tasmin
   avedayantyāstatsakhyā uktiriyam /	avedayantyAH tad saKyA uktiH iyam /
        sā tava patnī amāntī avakāśamalabhamānā divasaṃ vyāpya tanayati	sA tava patnI amAntI avakASam alaBamAnAH divasam vyApya tanayati
   tanūkaroti /	tanUkaroti /
        nāmakāritāntasya tanuśabdasya rūpamidam /	nAma kAritAntasya tanu Sabdasya rUpam idam /
        ityādāviti /	iti AdO= iti /
        viśrāntirbodhaḥ /	viSrAntiH boDaH /
        bhāvyamānatvasambandhena sthānaprāpterabhāvasyābhāvyamānatvādeva	BAvyamAna tva sambanDena sTAna prApteH aBAvasya aBAvyamAna tvAt eva
   bodhasambhavāt /	boDa samBavAt /
        parantu aṅgatanūkaraṇatātparyyānusandhānena saṃyogasambandhena manasi	parantu aFga tanUkaraNa tAtparyya anusanDAnena saMyoga sambanDena manasi
   sthānāprāptirevāṅgatanūkaraṇahetutayā pratīyate /	sTAna aprAptiH eva aFga tanUkaraNa hetu tayA pratIyate /
        tacca bādhitamityataḥ sthānāprāpyutprekṣādhvaniḥ /	tat ca bADitam iti atas sTAna aprApi utprekzA DvaniH /
        tanvaṅgayā ityatra tu na tathetyāha   iha tu iti /	tanu aFgayA iti atra tu na taTA iti Aha   iha tu iti /
        ityutprekṣayeva ityatra /	iti utprekzayA iva iti atra /
        viśrāntiriti anuṣaṅgaḥ /	viSrAntiH iti anuzaFgaH /
        utprekṣayorbheda iti /	utprekzayoH BedaH iti /
        utprekṣayoradhāyāhāryyatvavyaṅgyatvābhyāṃ bheda ityarthaḥ /	utprekzayoH aDAya AhAryyatva vyaFgya tvAByAm BedaH iti arTaH /
        Locanā:	LocanA:
        (lo, ṛ) evaṃ ca utprekṣādhvanervivekaṃ darśayitukāma āśaṅkate  nanu	(lo, R) evam ca utprekzA DvaneH vivekam darSayitu kAmaH ASaFkate  nanu
   iti /	iti /
        siddhāntamāha   ucyata iti /	sidDAntam Aha   ucyate iti /
        vyaṅgyotprekṣāyāṃ kāvyasya dhvanitvaprayojakasya	vyaFgya utprekzAyAm kAvyasya Dvani tva prayojakasya
   vyaṅgyabhūtasyotprekṣāyām /	vyaFgya BUtasya utprekzAyAm /
        gāthārthaḥ pūrvaṃ vyākhyāt eva utprekṣāṃ vinā api vākyaviśrānteriti /	gATA arTaH pUrvam vyAKyAt eva utprekzAm vinA api vAkya viSrAnteH iti /
        ayamāśayaḥ /	ayam ASayaH /
        amāntīti padasya tava hṛdayānurāgapātratāmaprāpya" ityarthenābhidheye	amAnti iti padasya tava hRdaya anurAga pAtra tAm aprApya" iti arTena aBiDeye
   viśrānteriti /	viSrAnteH iti /
        iha prakṛtodāharaṇe vyaṅgyapratīyamānotprekṣayorbheda iti /	iha prakRta udAharaNe vyaFgya pratIyamAna utprekzayoH BedaH iti /
        ayamāśayaḥ /	ayam ASayaH /
        pratīyamānasya vācyasiddhyaṅgatvādityādinā yathānyeṣāmapi	pratIyamAnasya vAcya sidDi aFga tvAt ityAdinA yaTA anyezAm api
   bahūnāmalaṅkāraṇāmalaṅkāraviśeṣatā tathotprekṣāyā apīti na kācit kṣatiḥ /	bahUnAm alaFkAraNAm alaFkAra viSeza tA taTA utprekzAyAH api iti na kAcid kzatiH /
