   śrīHarṣadeva-viracitā |	SrIHarza-deva--viracitAH |
   Sāṅkṛtyāyanī - alaṃ rāja-putri ruditena | nedṛśo Vatsa-rājaḥ | (vilokya |)	SAFkRtyAyanI  alam rAja--putri ruditena | na-IdRSaH Vatsa-rAjaH | (vilokya |)
   athavā prāpta evāyaṃ yas te manyu-pramārjanaṃ karoti |	aTavA prAptaH eva-ayam yaH te manyu-pramArjanam karoti |
   Vāsavadattā - maṇorahā dāṇiṃ ede bhaavadīe | [manorathā idānīm ete	VAsavadattA  maNorahAH dANim ede BaavadIe | [manoraTAH idAnIm ete
   bhagavatyāḥ |]	BagavatyAH |]
   (tataḥ praviśati rājā vidūśakaś ca |)	(tatas praviSati rAjA vidUSakaH ca |)
   rājā - vayasya ka idānīm abhyupāyaḥ priyāṃ mocayitum |	rAjA  vayasya kaH idAnIm aByupAyaH priyAm mocayitum |
   vidūṣakaḥ - bho vaassa munca visādaṃ | ahaṃ de uvāaṃ kahaissaṃ | [bho	vidUzakaH  Bo vaassa munca visAdam | aham de uvAam kahEH-sam | [Bo
   vayasya muñca viṣādam | ahaṃ ta upāyaṃ kathayiṣyāmi |]	vayasya muQca vizAdam | aham te upAyam kaTayizyAmi |]
   [p. 48]	[p. 48]
   rājā - (sa-harṣam) vayasya tvaritataram abhidhīyatām |	rAjA  (sa-harzam) vayasya tvaritataram aBiDIyatAm |
   vidūṣakaḥ - bho tumaṃ dāva aṇea-samara saṃghaṭṭha-ppahāva-bāhu-sālī | puṇo	vidUzakaH  Bo tumam dAva aNea--samara saMGawWa-ppahA-ava--bAhu--sAlI | puNo
   vi aṇea-gaa-turaa-paāi-duvvisaha-bala-samudido | tā savva-bala-saṃdoheṇa	vi aNea--gaa--turaa-paAi--duvvisaha--bala--samudidaH | tA savva-bala--saMdoheNa
   anteuraṃ su-pīḍiaṃ karia dāṇim evva Āraṇṇiaṃ muncāvehi | [bho tvaṃ tāvad	anteuram su-pIxiam karia dANim evva ĀraNNiam muncO=-ehi | [BaH tvam tAvat-
   aneka-samara-saṃghaṭṭa-prabhāva-bāhu-śālī | punar apy	aneka-samara--saMGawwa--praBAva--bAhu--SAlI | punar api-
   aneka-gaja-turaga-padāti-durviṣaha-bala-samuditaḥ | tat	aneka-gaja--turaga-padAti-durviza-ha--bala--samuditaH | tat-
   sarva-bala-saṃdohenāntaḥpuraṃ su-pīḍitaṃ kṛtvedānīm evāraṇyikāṃ mocaya |]	sarva-bala--saMdohena-antaHpuram su--pIxitam kRtvA-idAnIm eva-AraNyikAm mocaya |]
   rājā - vayasya a-śakyam upadiṣṭam |	rAjA  vayasya a-Sakyam upadizwam |
   vidūṣakaḥ - kim ettha a-sakkaṃ | jado dāva	vidUzakaH  kim etTa a-sakkam | jadaH dAva
   kujja-vāmaṇa-buḍḍha-añcui-vajjido maṇusso avaro ṇatthi tarhi | [kim	kujja-vAmaNa--buxXa--aQcui-vajjidaH maNussaH avaraH NatTi tarhi | [kim
   atrāśakyam | yatas tāvat kubja-vāmana-vṛddha-kañcuki-varjito manuṣyo 'paro	atra-aSakyam | yatas tAvat kubja-vAmana--vRdDa--kaQcuki--varjitaH manuzyaH aparaH-
   nāsti tatra |]	na-asti tatra |]
   rājā - (sāvajñam) mūrkha kim asaṃbaddhaṃ pralapasi | devyāḥ prasādaṃ	rAjA  (sA-avajQam) mUrKa kim asaMbadDam pralapasi | devyAH prasAdam
   muktvā nānyas tasyā mokṣaṇābhyupāyaḥ | tat kathaya kathaṃ devīṃ	muktvA na-anyaH tasyAH mokzaNa-aByupAyaH | tat kaTaya kaTam devIm
   prasādayāmi |	prasAdayAmi |
   vidūṣakaḥ - bho māsovavāsaṃ karia jīvidaṃ dhārehi | evvaṃ devī Caṇḍī	vidUzakaH  Bo mAsovavAsam karia jIvidam DArA-ihi | evvam devI CaNxI
   pasīdissadi | [bhoḥ māsopavāsaṃ kṛtvā jīvitaṃ dhāraya | evaṃ devī Caṇḍī	pasIdissadi | [BoH mAsa-upavAsam kRtvA jIvitam DAraya | evam devI CaNxI
   prasatsyati |]	prasatsyati |]
   rājā - (vihasya) alaṃ parihāsena | kathaya kathaṃ devīṃ prasādayāmi |	rAjA  (vihasya) alam parihAsena | kaTaya kaTam devIm prasAdayAmi |
   dhṛṣṭaḥ kiṃ purato 'varudhya vihasan gṛhṇāmi kaṇṭhe priyāṃ	DRzwaH kim puratas avaruDya vihasan gRhNAmi kaNWe priyAm
   kiṃ vā cāṭu-śata-prapañca-racanā-prītāṃ kariṣyāmi tām /	kim vA cAwu--Sata--prapaQca--racanA--prItAm karizyAmi tAm /
   kiṃ tiṣṭhāmi kṛtāñjalir nipatito devyāḥ puraḥ pādayoḥ	kim tizWAmi kRtAQjaliH nipatitaH devyAH puras pAdayoH
   satyaṃ satyam aho na vedmy anunayo devyāḥ kathaṃ syād iti // HPri_4.1 //	satyam satyam aho na vedmi anunayaH devyAH kaTam syAt iti // HPri_4.1 //
   [p. 49]	[p. 49]
   tad ehi | devī-sakāśam eva gacchāvaḥ |	tat ehi | devI--sakASam eva gacCAvaH |
   vidūṣakaḥ - bho gaccha tumaṃ | ahaṃ dāṇiṃ evva bandhaṇādo kahaṃ vi	vidUzakaH  Bo gacCa tumam | aham dANim evva banDaNa-AdaH kaham vi
   paribbhaṃsia āado mhi | to ṇa gamissaṃ | [bhoḥ gaccha tvam | ahaṃ punar	paribBaMsiaH AadaH mhi | taH Na gamissam | [BoH gacCa tvam | aham punar-
   idānīm eva bandhanāt katham api paribhraśyāgato 'smi | tan na gamiṣyāmi |]	idAnIm eva banDanAt kaTam api pariBraSyA-gataH asmi | tat na gamizyAmi |]
   rājā - (vihasya kaṇṭhe gṛhītvā balān nivartayati |) mūrkha āgamyatām	rAjA  (vihasya kaNWe gRhItvA balAt nivartayati |) mUrKaH AgamyatAm
   āgamyatām | (parikramyāvalokya ca) iyaṃ devī danta-balabhī-madhyam	AgamyatAm | (parikramya-avalokya ca) iyam devI danta--balaBI--maDyam
   adhyāste | yāvad upasarpāmi | (sa-lajjam upasarpati)	aDyAste | yAvat upasarpAmi | (sa-lajjam upasarpati)
   (Vāsavadattā sa-khedam āsanād uttiṣṭhati |)	(VAsavadattA sa-Kedam AsanAt uttizWati |)
   rājā -	rAjA -
   kiṃ muktam āsanam  alaṃ mayi sambhrameṇa	kim muktam Asanam  alam mayi samBrameNa
   notthātum ittham ucitaṃ mama tānta-madhye  /	na-utTAtum itTam ucitam mama tAnta--maDye  /
   dṛṣṭi-prasāda-vidhi-mātra-hṛto jano 'yam	dRzwi-prasAda--viDi--mAtra--hRtaH janaH ayam
   aty-ādareṇa kim iti kriyate vilakṣaḥ // HPri_4.2 //	ati--AdareNa kim iti kriyate vilakzaH // HPri_4.2 //
   Vāsavadattā - (mukhaṃ nirūpya) ajja-utta vilakkho dāṇiṃ tumaṃ hosi |	VAsavadattA  (muKam nirUpya) ajja-utta vilakKaH dANim tumam hosi |
   [ārya-putra vilakṣa idānīṃ tvaṃ bhavasi |]	[Arya-putra vilakzaH idAnIm tvam Bavasi |]
   rājā - priye satyam ahaṃ vilakṣaḥ | yat pratyakṣa 'dṛṣṭāparādho 'pi	rAjA  priye satyam aham vilakzaH | yat pratyakza adRzwa-aparADaH api
   bhavatīṃ prasādayituṃ vyavasito 'smi |	BavatIm prasAdayitum vyavasitaH asmi |
   Sāṅkṛtyāyanī - (āsanaṃ nirdiśya |) mahā-rāja kriyatām āsana-parigrahaḥ |	SAFkRtyAyanI  (Asanam nirdiSya |) mahA--rAja kriyatAm Asana--parigrahaH |
   rājā - (āsanaṃ nirdiśya |) ita ito devy upaviśatu |	rAjA  (Asanam nirdiSya |) itas itas devI upaviSatu |
   (Vāsavadattā bhūmāv upaviśati)	(VAsavadattA BUmO upaviSati)
   rājā - āḥ kathaṃ bhūmāv upaviṣṭā devī | aham apy atraivopaviśāmi | (iti	rAjA  AH kaTam BUmO upavizwA devI | aham api atra-eva-upaviSAmi | (iti
   bhūmāv upaviśya kṛtāñjaliḥ |) priye prasīda prasīda | kim evaṃ praṇate 'pi	BUmO upaviSya kRtAQjaliH |) priye prasIda prasIda | kim evam praNate api
   mayi gambhīrataraṃ kopam udvahasi |	mayi gamBIrataram kopam udvahasi |
   [p. 50]	[p. 50]
   bhrū-bhaṅgaṃ na karoṣi rodiṣi muhur mugdhekṣaṇe kevalaṃ	BrU-BaFgam na karozi rodizi muhur mugDa-IkzaNe kevalam
   nātiprasphuritādharānavarataṃ niḥśvāsam evojjhasi /	na-ati-prasPurita-aDara-anavaratam niHSvAsam eva-ujJasi /
   vācaṃ nāpi dadāsi tiṣṭhasi paraṃ pradhyāna-namrānanā	vAcam na-api dadAsi tizWasi param praDyAna--namra-AnanA
   kopas te stimito nipīḍayati māṃ gūḍha-prahāropamaḥ // HPri_4.3 //	kopaH te stimitaH nipIxayati mAm gUXa--prahAra-upamaH // HPri_4.3 //
   priye prasīda prasīda | (iti pādayoḥ patati |)	priye prasIda prasIda | (iti pAdayoH patati |)
   Vāsavadattā - adi-suhido ṇaṃ si | kiṃ dāṇiṃ dukkhidaṃ jaṇaṃ viāresi |	VAsavadattA  adi-suhidaH Nam si | kim dANim dukKidam jaNam viAresi |
   uṭṭhehi ko ettha kuvido | [ati-sukhito nanv asi | kim idānīṃ duḥkhitaṃ	uwWehi kaH etTa kuvidaH | [ati--suKitaH nanu asi | kim idAnIm duHKitam
   janaṃ vikārayasi | uttiṣṭha ko 'tra kupitaḥ |]	janam vikArayasi | uttizWa kaH atra kupitaH |]
   Sāṅkṛtyāyanī - uttiṣṭha mahā-rāja | kim anena | anyad eva tāvad	SAFkRtyAyanI  uttizWa mahA--rAja | kim anena | anyat eva tAvat-
   udvega-kāraṇam asyāḥ |	udvega--kAraNam asyAH |
   rājā - (sa-saṃbhramam |) bhagavati kim anyat |	rAjA  (sa--saMBramam |) Bagavati kim anyat |
   (Sāṅkrtyāyanī karṇe kathayati |)	(SAFkrtyAyanI karNe kaTayati |)
   rājā - (vihasya) yady evam alam udvegena mayāpi jñātam | siddha evāsmin	rAjA  (vihasya) yadi evam alam udvegena mayA-api jQAtam | sidDaH eva-asmin
   prayojane devīṃ tu diṣṭyā vardhayiṣyāmīti noktam | anyathā katham ahaṃ	prayojane devIm tu dizwyA varDayizyAmi-iti na-uktam | anyaTA kaTam aham
   Dṛḍhavarma-vṛttānte visrabdhas tiṣṭhāmi | tat katipayāny ahāni tad vārtāyā	DRXavarma--vRttAnte visrabDaH tizWAmi | tat katipayAni ahAni tat vArtAyA
   āgatāyāḥ | idaṃ ca tatra vartate |	AgatAyAH | idam ca tatra vartate |
   asmad-balair Vijayasena-puraḥsarais tair	asmad--balEH Vijayasena--puraHsarEH tEH-
   ākrānta-bāhya-viṣayo vihata-pratāpaḥ /	AkrAnta--bAhya--vizayaH vihata--pratApaH /
   durgaṃ Kaliṅga-hatakaḥ sahasā praviśya	durgam KaliFga-hatakaH sahasA praviSya
   prākāra-mātra-śaraṇo 'śaraṇaḥ kṛto 'sau // HPri_4.4 //	prAkAra--mAtra-SaraNaH aSaraNaH kRtaH asO // HPri_4.4 //
   [p. 51]	[p. 51]
   tad avasthaṃ ca taṃ	tat avasTam ca tam
   nirdiṣṭākrānta-mandaṃ pratidina-viramad-vīra-dāsera-vṛttaṃ	nirdizwa-AkrAnta-mandam pratidina-viramad-vIra-dAsera-vRttam
   śaśvat-saṃśīryamāṇa-dvipa-turaga-nara-kṣīṇa-niḥśeṣa-sainyam /	SaSvat--saMSIryamANa--dvipa--turaga-nara--kzINa--niHSeza--sEnyam /
   adya śvo vā vibhagne jhaṭiti mama balaiḥ sarvatas tatra durge	adya Svas vA viBagne Jawiti mama balEH sarvatas tatra durge
   baddhaṃ yuddhe hataṃ vā bhagavati na cirāc chroṣyasi tvaṃ Kaliṅgam //	badDam yudDe hatam vA Bagavati na cirAt Srozyasi tvam KaliFgam //
   HPri_4.5 //	HPri_4.5 //
   Sāṅkṛtyāyanī - rāja-putri prathamataram eva bhavatyāḥ kathitaṃ mayā katham	SAFkRtyAyanI  rAja--putri praTamataram eva BavatyAH kaTitam mayA kaTam
   apratividhāya Vatsa-rājaḥ sthāsyatīti |	aprativiDAya Vatsa-rAjaH sTAsyati-iti |
   Vāsavadattā - jai evvaṃ piaṃ me | [yady evaṃ priyaṃ me |]	VAsavadattA  jEH evvam piam me | [yadi evam priyam me |]
   (praviśya |)	(praviSya |)
   pratīhārī - jedu jedu bhaṭṭā | eso kkhu Viaaseṇo Diḍhavamma-kañcuī-sahido	pratIhArI  jedu jedu BawwA | esaH kKu ViaaseNaH DiXavamma--kaQcuI---sahidaH-
   harisa- samupphulla-loaṇo piaṃ ṇivedidu-kāmo duvāre ciṭṭhai | [jayatu	harisa samupPulla-loaNaH piam Nivedi-du-kAmaH duvAre ciwWE | [jayatu
   jayatu bhartā | eṣa khalu Vijayaseno Dṛḍhavarma-kañcuki-sahito	jayatu BartA | eza Kalu VijayasenaH DRXavarma--kaQcu-ki--sahitaH-
   harṣa-samutphulla-locanaḥ priyaṃ nivedayitu-kāmo dvāre tiṣṭhati |]	harza--samutPulla--locanaH priyam nivedayitu--kAmaH dvAre tizWati |]
   Vāsavadattā - (sa-smitam |) bhaavadi jaha takkemi paridosida mhi	VAsavadattA  (sa--smitam |) Baavadi jaha takkemi paridosida mhi
   ajja-utteṇetti [ bhagavati yathā tarkayāmi paritoṣitāsmy ārya-putreṇeti |]	ajja--utteNa-itti [ Bagavati yaTA tarkayAmi paritozitA-asmi Arya-putreNa-iti |]
   Sāṅkṛtyāyanī - Vatsa-rāja-pakṣa-pātinī khalv ahaṃ na kiṃ cid api bravīmi |	SAFkRtyAyanI  Vatsa-rAja--pakza--pAtinI Kalu aham na kim cit api bravImi |
   rājā - śīghraṃ praveśaya tau |	rAjA  SIGram praveSaya tO |
   pratīhārī - taha | [tathā |]	pratIhArI  taha | [taTA |]
   (iti niśkrāntā)	(iti niSkrAntA)
   (tataḥ praviśati Vijayasenaḥ Kañcukī ca |)	(tatas praviSati VijayasenaH KaQcukI ca |)
   Vijayasenaḥ - bhoḥ kañcukin | adya svāmi-pādā draṣṭavyā iti yat satyam	VijayasenaH  BoH kaQcukin | adya svAmi-pAdAH drazwavyAH iti yat satyam
   an-upamaṃ kam api sukhātiśayam anubhavāmi |	an-u-pamam kam api suKa-atiSayam anuBavAmi |
   [p. 52]	[p. 52]
   kañcukī - Vijayasena a-vitatham etat | paśya |	kaQcukI  Vijayasena a-vitaTam etat | paSya |
   sukha-nirbharo 'nyathāpi svāminam avalokya bhavati bhṛtya-janaḥ /	suKa--nirBaraH anyaTA-api svAminam avalokya Bavati BRtya-janaH /
   kiṃ punar ari-bala-vighaṭana-nirvyūḍha-prabhu-niyoga-bharaḥ // HPri_4.6 //	kim punar ari-bala--viGawana--nirvyUXa--praBu--niyoga--BaraH // HPri_4.6 //
   ubhau - (upasṛtya) jayatu jayatu svāmī |	uBO  (upasRtya) jayatu jayatu svAmI |
   (rājā ubhāv api pariṣvajate |)	(rAjA uBO api parizvajate |)
   kañcukī - deva diṣṭyā vardhase |	kaQcukI  deva dizwyA varDase |
   hatvā Kaliṅga-hatakaṃ hy asmat-svāmī niveśito rājye /	hatvA KaliFga-hatakam hi asmat-svAmI niveSitaH rAjye /
   devasya samādeśo nirvyūḍho Vijayasenena // HPri_4.7 //	devasya samAdeSaH nirvyUXaH Vijayasenena // HPri_4.7 //
   Vāsavadattā - ai bhaavai ahijāṇāsi edaṃ kañcuiṃ | [ayi bhagavati	VAsavadattA  E BaavEH ahi-jANA-asi edam kaQcuim | [ayi Bagavati
   abhijānāsy etaṃ kañcukinam |]	aBijAnAsi etam kaQcukinam |]
   Sāṅkṛtyāyanī - kathaṃ nābhijānāmi | nanu sa eṣa yasya haste mātṛ-ṣvasā te	SAFkRtyAyanI  kaTam na-aBijAnAmi | nanu saH eza yasya haste mAtR--zvasA te
   patrikām anupreṣitavatī |	patrikAm anuprezitavatI |
   rājā - sādhu Vijayasenena mahā-vyāpāro 'nuṣṭhitaḥ |	rAjA  sADu Vijayasenena mahA--vyApAraH anuzWitaH |
   (Vijayasenaḥ pādayoḥ patati)	(VijayasenaH pAdayoH patati)
   rājā - devi diṣṭyā vardhase | pratiṣṭhito rājye Dṛḍhavarmā |	rAjA  devi dizwyA varDase | pratizWitaH rAjye DRXavarmA |
   Vāsavadattā - (saharṣam|) aṇuggahida mhi | [anugṛhītāsmi |]	VAsavadattA  (saharzam|) aNuggahida mhi | [anugRhItA-asmi |]
   vidūṣakaḥ - īrise abbhudae assiṃ rāa-ule edaṃ karaṇijjaṃ | (rājānaṃ	vidUzakaH  Irise abBudae assim rAa-ule edam karaNijjam | (rAjAnam
   nirdiśya vīṇā-vādanaṃ nāṭayan |) guru-pūā | (ātmano yajñopavītaṃ	nirdiSya vINA-vAdanam nAwayan |) guru-pUA | (a-AtmanaH yajQopavItam
   darśayan|) bamhaṇassa sakkāro | (Āraṇyikāṃ sūcayan|) savva-bandhaṇa-mokkho	darSayan|) bamhaNassa sakkAraH | (ĀraNyikAm sUcayan|) sa-vva-banDaNa-mokKaH-
   tti | [īdṛśe 'bhyudaye 'smin rāja-kula etat karaṇīyam | (rājānaṃ nirdiśya	tti | [IdRSe aByudaye asmin rAja--kule etat karaNIyam | (rAjAnam nirdiSya
   vīṇā-vādanaṃ nāṭayan |) guru-pūjā | (ātmano yajñopavītaṃ darśayan|)	vINA-vAdanam nAwayan |) guru--pUjA | (a-AtmanaH yajQopavItam darSayan|)
   brāhmaṇasya satkāraḥ | (Āraṇyikāṃ sūcayan|) sarva-bandhana-mokṣa iti |]	brAhmaNasya satkAraH | (ĀraNyikAm sUcayan|) sarva--banDana-mokzaH iti |]
   rājā - (Vāsavadattām apavārya choṭikāṃ dadat |) sādhu vayasya sādhu |	rAjA  (VAsavadattAm apavArya CowikAm dadat |) sADu vayasya sADu |
   [p . 53] vidūṣakaḥ - hodi kahaṃ tumaṃ ṇa kiṃ vi ettha samādisasi |	[p . 53] vidUzakaH  hodi kaham tumam Na kim vi etTa samAdisasi |
   [bhavati kathaṃ tvaṃ na kim apy atra samādiśasi |]	[Bavati kaTam tvam na kim api atra samAdiSasi |]
   Vāsavadattā - (Sāṅkṛtyāyaṇīm avalokya sa-smitam |) moidā kkhu hadāseṇa	VAsavadattA  (SAFkRtyAyaNIm avalokya sa--smitam |) moidA kKu hadAseNa
   Āraṇṇiā | [mocitā khalu hatāśenāraṇyikā |]	ĀraNNiA | [mocitA Kalu hata-aSena-AraNyikAH |]
   Sāṅkṛtyāyanī - kiṃ vā tapasvinyānayā baddhayā |	SAFkRtyAyanI  kim vA tapasvinyAnayA badDayA |
   Vāsavadattā - jaha bhaavadīe roadi | [yathā bhagavatyai rocate |]	Va-AsavadattA  jaha BaavadIe roadi | [yaTA BagavatyE rocate |]
   Sāṅkṛtyāyanī - yady evam aham eva gatvā tāṃ mocayiṣyāmi |	SAFkRtyAyanI  yadi evam aham eva gatvA tAm mocayizyAmi |
   (iti niṣkrāntā)	(iti nizkrAntA)
   kañcukī - idam aparaṃ saṃdiṣṭaṃ mahā-rājena Dṛḍhavarmaṇā | tvat-prasādāt	kaQcukI  idam aparam saMdizwam mahA--rAjena DRXavarmaNA | tu-at--prasAdAt-
   sarvam eva yathābhilaṣitaṃ saṃpannaṃ | tad ete prāṇās tvadīyāḥ | yatheṣṭam	sarvam eva yaTA-aBilazitam saMpannam | tat ete prANAH tvadIyAH | yaTezwam
   imān viniyoktuṃ tvam eva pramāṇam iti |	imAn viniyoktum tvam eva pramANam iti |
   (rājā sa-lajjam adho-mukhas tiṣṭhati |)	(rAjA sa-lajjam aDo-muKaH tizWati |)
   Vijayasenaḥ - deva na śakyam eva devaṃ prati prīti-viśeṣaṃ Dṛḍhavarmaṇaḥ	VijayasenaH  deva na Sakyam eva devam prati prIti-viSezam DRXavarmaNaH
   kathayitum |	kaTayitum |
   kañcukī - yady api tubhyaṃ pratipāditāyāḥ Priyadarśikāyā asmad-duhituḥ	kaQcukI  yadi api tuByam pratipAditAyAH Priya-darSikAyAH asmat--duhituH
   paribhraṃśān na me saṃbandho jāta iti duḥkham āsīt tathāpi Vāsavadattāyāḥ	pariBraMSAt na me saMbanDaH jAtaH iti duHKam AsIt taTA-api VAsavadattAyAH
   pariṇetrāpi tvayā tad apanītam eva |	pariNetrA-api tvayA tat apanItam eva |
   Vāsavadattā - (sāsram |) ajja kañcui kahaṃ me bhaiṇī paribbhaṭṭhā | [ārya	VAsavadattA  (sA-asram |) ajja kaQcui kaham me BENI paribBawWA | [Arya
   kañcukin kathaṃ me bhaginī paribhraṣṭā |]	kaQcukin kaTam me BaginI pariBrazwA |]
   kañcukī - rāja-putri tasmin Kaliṅga-hatakāvaskande vidruteṣv itas tato	kaQcukI  rAja--putri tasmin KaliFga-hataka-avaskande vidrutezu itas tatas-
   'ntaḥpura-janeṣu diṣṭyā dṛṣṭām idānīṃ na yuktam atra sthātum iti tām ahaṃ	antaHpura-janezu dizwyA dRzwAm idAnIm na yuktam atra sTAtum iti tAm aham
   gṛhītvā Vatsa-rājāntikaṃ prasthitaḥ | tataḥ saṃcintya tāṃ Vindhyaketor	gRhItvA Vatsa-rAja-antikam prasTitaH | tatas saMcintya tAm VinDyaketor
   haste nikṣipya nirgato 'smi | yāvat pratīpam āgacchāmi tāvat kair api tat	haste nikzipya nirgataH asmi | yAvat pratIpam AgacCAmi tAvat kEH api tat-
   sthānaṃ saha Vindhyaketunā smartavyatāṃ nītam |	sTAnam saha VinDya-ketunA smartavya-tAm nItam |
   [p. 54]	[p. 54]
   rājā - (sa-smitam|) Vijayasena kiṃ kathayasi |	rAjA  (sa--smitam|) Vijayasena kim kaTayasi |
   kañcukī - tatra cānviṣyatā mayā na prāptā | tadā-prabhṛti nādyāpi	kaQcukI  tatra ca-anvizyatA mayA na prAptA | tadA--praBRti na-adya-api
   vijñāyate kva vartata iti |	vijQAyate kva vartate iti |
   (praviśya Manoramā |)	(praviSya ManoramAH |)
   Manoramā - bhaṭṭiṇī pāṇa-saṃsae vaṭṭai sā tavassiṇī | [bhaṭṭini	ManoramA  BawwiNI pANa--saMsae vawwE sA tavassiNI | [Bawwini
   prāṇa-saṃśaye vartate sā tapasvinī |]	prANa--saMSaye vartate sA tapasvinI |]
   Vāsavadattā - (sāsram |) kim uṇa tumaṃ Piadaṃsaṇā-uttantaṃ jāṇāsi | [kiṃ	VAsavadattA  (sA-asram |) kim uNa tumam Pia-daMsaNA-uttantam jANAsi | [kim
   punas tvaṃ Priyadarśanā vṛttāntaṃ jānāsi |]	punar tvam Priya-darSanAH vRttAntam jAnAsi |]
   Manoramā - ṇa hu ahaṃ Piadaṃsaṇā-uttantaṃ jāṇāmi | esā kkhu Āraṇṇiā kalla-	ManoramAH  Na hu aham Pia-daMsaNA-uttantam jANAmi | esA kKu ĀraNNiA kalla-
   vvavadeseṇa āṇīdaṃ visaṃ pāia pāṇa-saṃsae vaṭṭadi tti evvaṃ mae ṇivedidaṃ	vvavadeseNa ANi-idam visam pAia pANa--saMsae vawwadi tti evvam mae Nivet-idam
   | tā parittāadu bhaṭṭiṇī | [na khalv ahaṃ Priyadarśanā-vṛttāntaṃ jānāmi |	| tA parittAa-du BawwiNI | [na Kalu aham Priya-darSanA--vRttAntam jAnAmi |
   eṣā khalv Āraṇyikā kalya-vyapadeśenānītaṃ viṣaṃ pītvā prāṇa-saṃśaye	ezA Kalu ĀraNyikA kalya--vyapadeSena-AnItam vizam pItvA prANa-saMSaye
   vartata iti evaṃ mayā niveditam | tat paritrāyatām bhaṭṭinī |]	vartate iti evam mayA niveditam | tat paritrAyatAm BawwinI |]
   (rudatī pādayoḥ patati |)	(rudatI pAdayoH patati |)
   Vāsavadattā - (sva-gatam|) ha ddhi ha ddhi | Piadaṃsaṇā-dukkhaṃ vi me	VAsavadattA  (sva--gatam|) ha dDi ha dDi | Pia-daMsaNA-dukKam vi me
   antaridaṃ Āraṇṇiā-uttanteṇa | adi-dujjaṇo kkhu loo | kadāi maṃ aṇṇahā	antar-idam ĀraNNiA--uttanteNa | adi-dujjaNaH kKu loaH | kadAi mam aNNa-hA
   saṃbhāvaissadi | tā edaṃ ettha juttaṃ (prakāśam sa-saṃbhramam |)| Maṇorame	saMBAvEH-sadi | tAH edam etTa juttam (prakASam sa--saMBramam |)| MaNorame
   lahu iha evva āṇehi taṃ | ṇāa-loādo gahida-visa-vijjo ajja-utto ettha	lahu iha evva ANehi tam | NAa-loAdaH gahida-visa-vijjaH ajja-uttaH etTa
   kusalo | [hā dhik hā dhik | Priyadarśanā-duḥkham api me 'ntaritam	kusalaH | [hA Dik hA Dik | Priya-darSanA--duHKam api me antaritam
   Āraṇyikā-vṛttāntena | ati-durjanaḥ khalu lokaḥ | kadācin mām anyathā	ĀraNyikA--vRttAntena | ati-duH-janaH Kalu lokaH | kadAcid mAm anyaTA
   saṃbhāvayiṣyati | tad etad atra yuktam | (prakāśam sa-saṃbhramam |)	saMBAvayizyati | tat etat atra yuktam | (prakASam sa--saMBramam |)
   Manorame laghv ihaivānaya tām | nāga-lokād gṛhīta-viṣa-vidya ārya-putro	Manorame laGu iha-eva-Anaya tAm | nAga-lokAt gRhIta-viza-vidyaH Arya-putraH-
   'tra kuśalaḥ |	atra kuSalaH |
   (niṣkrāntā Manoramā | tataḥ praviśati Manoramayā dhṛtā-saviṣa-vegam	(nizkrAntAH ManoramAH | tatas praviSati ManoramayA DRta-a-sa-viza--vegam
   ātmānaṃ nāṭayanty Āraṇyikā |)	AtmAnam nAwayanti ĀraNyikA |)
   Āraṇyikā - halā Maṇorame kīsa dāṇiṃ maṃ andhaāraṃ pavesesi | halā Manorame	ĀraNyikA  halAH MaNa-urame kIsa dANim mam anDaAram pavesesi | halAH Manorame
   kasmād idānīṃ mām andhakāraṃ praveśayasi |	kasmAt idAnIm mAm anDakAram praveSayasi |
   Manoramā - (sa-viṣādam |) haddhi haddhi | diṭṭhi vi se saṃkantā viseṇ';	ManoramAH  (sa-vizAdam |) hadDi hadDi | diwWi vi se saMkantA viseN-a;
   evva | (Vāsavadattāṃ dṛṣṭvā |) bhaṭṭini lahu parittāehi lahu parittāehi |	evva | (VAsavadattAm dRzwvA |) Bawwini lahu parittAehi lahu parittAehi |
   guru-bhūdaṃ se visaṃ | [hā dhik hā dhik | dṛṣṭir api asyāḥ saṃkrāntā	guru-BUdam se visam | [hA Dik hA Dik | dRzwiH api asyAH saMkrAntA
   viṣeṇaiva | (Vāsavadattāṃ dṛṣṭvā |) bhaṭṭini laghu paritrāyasva laghu [p.	vizeNa-eva | (VAsavadattAm dRzwvA |) Bawwini laGu paritrAyasva laGu [p.
   55] paritrāyasva | gurū bhūtam asyā viṣam |]	55] paritrAyasva | gurU BUtam asyAH vizam |]
   Vāsavadattā - (sa-saṃbhramaṃ rājānaṃ haste gṛhītvā |) ajja-utta uṭṭhehi	VAsavadattA  (sa--saMBramam rAjAnam haste gRhItvA |) ajja-uttaH uwWehi
   uṭṭhehi | lahu vivajajjai kkhu esā tavassiṇī | [ārya-putra uttiṣṭhottiṣṭha	uwWA-ihi | lahu vivajat-jE kKu esA tavassiNI | [Arya-putraH uttizWa-uttizWa
   | laghu vipadyate khalv eṣā tapasvinī |]	| laGu vipadyate Kalu ezA tapasvinI |]
   (sarve paśyanti |)	(sarve paSyanti |)
   kañcukī - (vilokya |) su-sadṛśī khalv iyaṃ mama rāja-putryāḥ	kaQcukI  (vilokya |) su--sadRSI Kalu iyam mama rAja--putryAH
