   Govind Kaul: Pradeśasaṃgraha	Govind KOl: PradeSa-saMgraha
   asmin khāgīti prathite grāme viṣṇoḥ pratimāyā adhiṣṭhānaṃ nārāyaṇakuṇḍeti	asmin KAgI-iti praTite grAme vizNoH pratimAyAH aDizWAnam nArAyaNa-kuNxa-iti
   sarvajanavidito madhyam aparīmāṇa eko jalāśayo bhavati |	sarva-jana-viditaH maDyam aparImANaH ekaH jalASayaH Bavati |
   kāśmīrakās tu tasya nārāyaṇakuṇḍasyādhunike kāle svabhāṣayā nārāṇ nāg iti	kASmIrakAH tu tasya nArAyaNa-kuNxasya-aDunike kAle sva-BAzayA nArAj nAk iti
   prathitaṃ nāma kathayanti |	praTitam nAma kaTayanti |
   punaś ca yasyoktagaruḍāśramasya naikaṭyasattayāpy ayaṃ pradeśa enāṃ khāg	punar ca yasya-ukta-garuxa-ASramasya nEkawya-sat-tayA-api ayam pradeSaH enAm KAg
   ityākhyāṃ dhārayati |	iti-AKyAm DArayati |
   tasya garuḍāśramasyāpi yathā khāgīti pradeśasyāpabhraṃśadoṣotthaṃ khāg iti	tasya garuxa-ASramasya-api yaTA KAgI-iti pradeSasya-apaBraMSa-doza-utTam KAk iti
   nāmadheyaṃ samudbhūtaṃ tathaiva tena doṣeṇa gaṇiśram iti nāma grāmīṇāḥ	nAmaDeyam samudBUtam taTA-eva tena dozeNa gaNiSram iti nAma grAmINAH
   sarvato bruvāṇā bhavanti |	sarvatas bruvANAH Bavanti |
   ato varṇitam etat sthānadvayaṃ bahurūpa ityākhye puragaṇe tīrthībhūtam	atas varNitam etat sTAna-dvayam bahu-rUpaH iti-AKye pura-gaNe tIrTIBUtam
   adhunāpy asti |	aDunA-api asti |
   asyāpi bahurūpapuragaṇasya grāmīṇaiḥ prakhyāpitaṃ bīrūpargaṇa iti	asya-api bahu-rUpa-pura-gaNasya grAmINEH praKyApitam bIru-upargaNaH iti
   nāmādhunike kāle saṃlagnam |	na-ama-aDunike kAle saMlagnam |
   asmin bahurūpākhye puragaṇe nārāyaṇakuṇḍādīnām etādṛśānāṃ tīrthānāṃ	asmin bahurUpa-AKye pura-gaNe nArAyaNa-kuNxa-AdInAm etAdRSAnAm tIrTAnAm
   sadbhāvenaivātimāhātmyavattvaṃ sarvatra prasiddham asti |	sadBAvena-eva-ati-mAhAtmyavat-tvam sarvatra prasidDam asti |
   tathā ca nīlamate bahurūpe naraḥ snātvā viṣṇuloke mahīyate |	taTA ca nIla-mate bahu-rUpe naraH snAtvA vizNu-loke mahIyate |
        bahurūpe ca kathitaṃ phalam etan narottama ||	bahu-rUpe ca kaTitam Palam etat nara-uttamaH ||
   ityādi |	ityAdi |
   ayaṃ nārāyaṇ nāgākhyo jalāśayaś catuṣkoṇākāro 'tiśayena	ayam nArAyaN nAga-AKyaH jalASayaH catuzkoNa-AkAraH atiSayena
   śītalasparśajalavās tathāmadhurāsvādaś ca bhavati |	SItala-sparSa-jalavAH taTA-maDura-AsvAdaH ca Bavati |
   asya jalāśayasya mukhaṃ bṛhatpāṣāṇaiś catasṛṣv eva dikṣu ghaṭitam asti |	asya jalASayasya muKam bRhat-pAzANEH catasRzu eva dikzu Gawitam asti |
   ayaṃ pradeśaḥ svalpair marubhūmisadṛśaiḥ parvataiḥ prāptabhūmau parivṛto	ayam pradeSaH su-alpEH maru-BUmi-sadRSEH parvatEH prApta-BUmO parivRtaH-
   dṛśyate |	dRSyate |
   ayam api khāgiti prācīnam eva nāma bibhrāṇo rājñāgrahāreti vyapadeśayutaḥ	ayam api KAk-iti prAcInam eva nAma biBrANaH rAjQA-agrahAra-iti vyapadeSa-yutaH
   samapādita ity anumīyate ||	sama-pAditaH iti anumIyate ||
   19. Khonamuṣaḥ	19. KhonamuzaH
   ślokasaṃ 90 namba 19 khagendrasya varṇane khonamuṣaḥ |	Slokasam 90 nambaH 19 Kaga-indrasya varNane Kona-muzaH |
   asya niruktiḥ |	asya niruktiH |
   kham indriyaṃ samākhyātaṃ kham ākāśe nigadyate |	Kam indriyam samAKyAtam Kam AkASe nigadyate |
   tathāṃśuke ca khaṃ proktaṃ khaṃ śūnyaṃ ca prakīrtitaṃ iti kośamatena |	taTA-aMSuke ca Kam proktam Kam SUnyam ca prakIrtitam iti koSa-matena |
   khair vastrair ūno rahito digambaraḥ śiva iti yāvat |	KEH vastrEH UnaH rahitaH digambaraH SivaH iti yAvat |
   taṃ khonaṃ śivaṃ parvatasthaguhāyāṃ muṣṇāti corayati yaḥ saḥ khonamuṣaḥ |	tam Konam Sivam parvata-sTa-guhAyAm muzNAti corayati yaH saH KonamuzaH |
   atha vā khena śūnyo nono rahitaḥ paripūrṇaḥ pūrṇimācandras taṃ svakīyayā	aTa vA Kena SUnyaH na-UnaH rahitaH paripUrNaH pUrNimAcandraH tam svakIyayA
   śītalayā manohāriṇyā ca śobhayā muṣṇāti yaḥ so 'pi khonamuṣaḥ |	SItalayA manohAriNyA ca SoBayA muzNAti yaH saH api KonamuzaH |
   ayaṃ khonamuṣākhyaḥ pradeśaḥ parvatasya pādabhūmāv kham indriyaṃ	ayam Konamuza-AKyaH pradeSaH parvatasya pAda-BUmO Kam indriyam
   samākhyātaṃ kham ākāśam udāhṛtam || khaṃ svarge ca samākhyātaṃ khaṃ sarpe	samAKyAtam Kam AkASam udAhRtam || Kam svarge ca samAKyAtam Kam sarpe
   ca prakīrtitam |	ca prakIrtitam |
   tathā śvabhre ca khaṃ prāhuḥ khaṃ śūnye ca prakīrtitam || adhastād vartate	taTA SvaBre ca Kam prAhuH Kam SUnye ca prakIrtitam || aDastAt vartate
   asminn evāsya parvatasyoparitane śikhare bṛhaty ekāntaḥ prakāśarahitā guhā	asmin eva-asya parvatasya-uparitane SiKare bRhatI ekAntaH prakASa-rahitA guhA
   vartate |	vartate |
   tasyā guhāyā bhittibhūmiṣu parito devatānāṃ vaddhyo mūrtayaḥ saṃlakṣyante	tasyAH guhAyAH Bitti-BUmizu paritas devatAnAm vadDyaH mUrtayaH saMlakzyante
   tāsāṃ mūrtīnāṃ mukhyatamā ekā mahatī liṅgā kāravatī śivasya mūrtir	tAsAm mUrtInAm muKyatamA ekA mahatI liFgA kAravatI Sivasya mUrtiH-
   harṣeśvara ityākhyāṃ sarvamaṇḍalaprakhyātāṃ dhārayantī bhūmau niṣarāṇā	harza-ISvaraH iti-AKyAm sarva-maNxala-praKyAtAm DArayantI BUmO nizarANA
   dṛśyate |	dRSyate |
   asyā guhāyā antare 'nyālpāpy ekā guhāsti |	asyAH guhAyAH antare anya-alpA-api ekA guhA-asti |
   tasyāṃ guhāyāṃ śivasya svacchandākhyā pañcabhir mukhair upaśobhitā mūrtir	tasyAm guhAyAm Sivasya svacCanda-AKyA paQcaBiH muKEH upaSoBitA mUrtiH-
   bahir eva darśanam āgacchati yatas tasyām alpāyāṃ guhāyāṃ praveśo 'pi	bahis eva darSanam AgacCati yatas tasyAm alpAyAm guhAyAm praveSaH api
   sarvathā duṣkaro bhavati |	sarvaTA duzkaraH Bavati |
   pūrvaṃ bhasmāsurābhidhasyāsurasya vināśanavelāyāṃ śivena	pUrvam Basma-asura-aBiDasya-asurasya vinASana-velAyAm Sivena
   tasyoktadurjātāsurasya vañcanāyai kiṃcit kālaṃ svakīyā mūrtir asyāṃ	tasya-ukta-durjAta-asurasya vaQcanAyE kiMcid kAlam svakIyA mUrtiH asyAm
   guhāyāṃ guptatayā sthāpitā |	guhAyAm gupta-tayA sTApitA |
   atha taṃ duṣṭam asuraṃ vināśya yadātena mahān harṣabharaḥ samākalitas	aTa tam duzwam asuram vinASya yadA-atena mahAn harza-BaraH samAkalitas
   tadaiva tena devena harṣeśvara ityākhyā samāsāditā |	tadA-eva tena devena harza-ISvaraH iti-AKyA samAsAditA |
   ato 'sya pradeśasya guhayā śivamoṣaṇaṃ sārthakam evāvagamyate |	atas asya pradeSasya guhayA SivamozaNam sArTakam eva-avagamyate |
   grāmīṇā ādhunike kāle 'sya khonamuṣākhyapradeśasya khunamoh ityākhya	grAmINA ADunike kAle asya Kona-muzA-AKya-pradeSasya Kuna-moh iti-AKya
   śivamūrtibhedasya harimur iti nāmāpi vadantaḥ santi |	Siva-mUrti-Bedasya harimuH iti nAma-api vadantaH santi |
   asya harṣeśvarasya kathā harṣeśvaramāhātmye bhṛṅgīśasaṃhitāsaṅkalite	asya harza-ISvarasya kaTA harza-ISvara-mAhAtmye BRFgISa-saMhitA-saFkalite
   vistareṇoktā bhavati |	vistareNa-uktA Bavati |
   asya khonamoṣasya samīpe jayavanaṃ yasya kaśmīrabhāṣāyāṃ jivan iti nāma	asya Kona-mozasya samIpe jaya-vanam yasya kaSmIra-BAzAyAm jivan iti nAma
   prasiddham asti |	prasidDam asti |
   so 'pi grāmas tathānyo mābur ityākhyo grāmaś ca nikaṭe vartate |	saH api grAmaH taTA-anyaH mAbuH iti-AKyaH grAmaH ca nikawe vartate |
   ayaṃ khunamuh ākhyo grāmaḥ vihī ityākhye puragaṇe prasiddhiṃ dhāryamāṇo	ayam Kunamuh AKyaH grAmaH vihI iti-AKye pura-gaNe prasidDim DAryamANaH-
   bhavati |	Bavati |
   kaśmīranagarāt pañcakrośadūratāyāṃ grāmo 'yaṃ puragaṇaś cāstīti śam ||	kaSmIra-nagarAt paQcakroSa-dUra-tAyAm grAmaH ayam pura-gaNaH ca-asti-iti Sam ||
   20. Daraddeśaḥ	20. Darat-deSaH
   ślokasaṃ 93 namba 20 surendrasya rājño varṇane daraddeśantike |	Slokasam 93 nambaH 20 sura-indrasya rAjQaH varNane daraddeSantike |
   tatra daraddeśanirvacanam |	tatra darat-deSa-nirvacanam |
   daradāṃ darajjātīyānāṃ janapadānāṃ yo nivāsasthānaṃ deśa ity asti ca |	daradAm darat-jAtIyAnAm janapadAnAm yaH nivAsa-sTAnam deSaH iti asti ca |
   kaśmīranagaraprāntabhūmau parvatādiṣu nivāsino darat ityākhyā bahavo	kaSmIra-nagara-prAnta-BUmO parvata-Adizu nivAsinaH darat iti-AKyAH bahavaH-
   janapadāḥ |	janapadAH |
   yeṣāṃ āśrayībhūtā bahavo deśāḥ kaśmīrād bahiḥ prāntabhūmiṣu daradāṃ	yezAm ASrayIBUtAH bahavaH deSAH kaSmIrAt bahis prAnta-BUmizu daradAn
   nāmnaiva prakhyātim āgatāḥ santi |	nAmnA-eva praKyAtim AgatAH santi |
   tasya ca tair darajjātīyair āśritasya deśasyādhunike kāle kaśmīrabhāṣāyāṃ	tasya ca tEH darat-jAtIyEH ASritasya deSasya-aDunike kAle kaSmIra-BAzAyAm
   dāradin hunu deś iti nāma vadanti |	dAradin hunu deH iti nAma vadanti |
   teṣāṃ ca taddeśanivāsināṃ janānāṃ dārady iti nāma khyātaṃ sarvatraivāsti |	tezAm ca tad-deSa-nivAsinAm janAnAm dAradI iti nAma KyAtam sarvatra-eva-asti |
   tathā nīlamate 'pi	taTA nIla-mate api
        dārvābhisāragāndhārajuhuṇḍaraśakān khaśān |	dArva-aBisAraga-anDAra-ju-huNxa-raSakAn KaSAn |
        taṅganān māṇḍavān madrān antargiribahirgirīn ||	taFganAn mANxavAn madrAn antargiri-bahiH-girIn ||
   ity uktyā ya ete deśā janapadāśrayībhūtā gaṇitās te darajjātīyā	iti uktyA ye ete deSAH janapada-ASrayIBUtAH gaNitAH te darat-jAtIyA
   evānumīyante |	eva-anumIyante |
   eteṣām anyeṣāṃ cāśrayasthānāni sarvāṇi daraddeśaśabdenaivābhidhīyante |	etezAm anyezAm ca-ASraya-sTAnAni sarvANi darat-deSa-Sabdena-eva-aBiDIyante |
   ato 'yaṃ deśaḥ kaśmīrakarājñām ājñāsu sarvadaiva vidheyatayā tiṣṭhati |	atas ayam deSaH kaSmIraka-rAjQAm AjQAsu sarvadA-eva viDeya-tayA tizWati |
   anenaiva hetunā kāśmīrako rājaiva daraddeśājñākṛt sarvadaivāstīty	anena-eva hetunA kASmIrakaH rAjA-eva daraddeSa-AjQA-kRt sarva-dA-eva-asti-iti-
   avagamyate ||	avagamyate ||
   21. Saurakaṃ Nagaraḥ	21. SOrakam NagaraH
   ślokasaṃ 93 namba 21 surendrasya rājye saurakākhyaṃ pattanam |	Slokasam 93 nambaH 21 sura-indrasya rAjye sOraka-AKyam pattanam |
   tatra saurakaśabdasya niruktiḥ |	tatra sOraka-Sabdasya niruktiH |
   saḥ kope vāraṇe caiva auṃ kāraḥ syāt tathābrahma aur apy ānanda ucyate |	saH kope vAraNe ca-eva Om kAraH syAt taTAbrahma OH api AnandaH ucyate |
   kaś cātmāpi samākhyātaḥ kaḥ pradeśa udāhṛta iti kośavākyāvalambanena saḥ	kaH ca-AtmA-api samAKyAtaH kaH pradeSaH udAhRtaH iti koSa-vAkya-avalambanena saH
   vārako duḥkhāt ya au ānandas tam ānandaṃ rāti dadāti yaḥ sa soraḥ |	vArakaH duHKAt yaH O AnandaH tam Anandam rAti dadAti yaH sa soraH |
   etādṛśa eva yaḥ kaḥ pradeśaḥ sa saurakaḥ |	etAdRSaH eva yaH kaH pradeSaH sa sOrakaH |
   arthāt duḥkhavāraka ānandadāyakaś ca deśaḥ |	arTAt duHKa-vArakaH Ananda-dAyakaH ca deSaH |
   atha vā sūrasyāpatyaṃ sauropamaḥ śanir vā sopama iva yaḥ prāntaratayā	aTa vA sUrasya-apatyam sOra-upamaH SaniH vA sa-upamaH iva yaH prAntara-tayA
   durdarśaḥ kāntārakuñjādimattayā ca bhūmāpamāno ta eva śyāmāyamāno	durdarSaH kAntAra-kuQja-Adi-mattayA ca BUmApamAnaH te eva SyAmAyamAnaH-
   malīmasaś ca śanir iva yaḥ kaḥ pradeśaḥ iti vā enam evaitādṛśaṃ pattanaṃ	malImasaH ca SaniH iva yaH kaH pradeSaH iti vE enam eva-etAdRSam pattanam
   nagaram |	nagaram |
   pattanaṃ puṭabhedanam ity amaraḥ |	pattanam puwaBedanam iti amaraH |
   pūrvavarṇitasya daraddeśasyālike virecitavān sa surendra ity ārthaḥ |	pUrva-varNitasya daraddeSasya-alike virecitavAn sa sura-indraH iti ArTaH |
   saurakākhyaṃ nagaraṃ kaśmīramaṇḍalavāryasthalavartini daraddeśe rājñā	sOraka-AKyam nagaram kaSmIra-maNxala-vArya-sTala-vartini darat-deSe rAjQA
   pṛthak sampādinam iti kalhaṇapaṇḍitavacanenaivāvagamyate |	pRTak sampAdinam iti kalhaNa-paNxita-vacanena-eva-avagamyate |
   tathā hi	taTA hi
        daraddeśāntike kṛtvā saurakākhyaṃ sapattanam |	daraddeSa-antike kRtvA sOraka-AKyam sapattanam |
        śrīmātvihāraṃ vidadhe narendrabhavatābhidham ||	SrImAt-vihAram vidaDe narendra-BavatA-aBiDam ||
   anyac ca	anyat ca
        tena svamaṇḍale khaṇḍayaśasā puṇyakarmaṇā |	tena sva-maNxale KaNxa-yaSasA puNya-karmaNA |
        vihāraḥ sukṛtodāro nirmitaḥ sorasābhidha ||	vihAraH sukRta-udAraH nirmitaH sa-urasa-aBiDaH ||
   ity ādy ukteḥ svamaṇḍale kaśmīrākhye svamaṇḍalād anyatra daraddeśe ca	iti Adi ukteH sva-maNxale kaSmIra-AKye sva-maNxalAt anyatra darat-deSe ca
   rājño 'sya nirmāṇādikam abhūt |	rAjQaH asya nirmANa-Adikam aBUt |
   asya saurakākhyasya nagarasya kaśmīrabhāṣāyāṃ hasaur iti prathitatamaṃ	asya sOraka-AKyasya nagarasya kaSmIra-BAzAyAm hasOH iti praTitatamam
   nāma sarve kathayanti |	nAma sarve kaTayanti |
   vartate ca hasaurākhyaṃ nagaraṃ daraddeśe |	vartate ca hasOH-AKyam nagaram darat-deSe |
   daraddeśasyāpy asya dāradyan hundradeś vā dāradyan hundra mulak iti nāma	daraddeSasya-api asya dAradyan hundradeH vA dAradyan hundra mulak iti nAma
   prasiddham asti |	prasidDam asti |
   punaś ca te ye haṇer gilgith hauja karṇāha ity ādayo deśāḥ kaśmīramaṇḍalāt	punar ca te ye haNeH gilgiT ha-oja karNAhaH iti AdayaH deSAH kaSmIra-maNxalAt-
   pṛthaksthā api kaśmīrarājyāntar gaṇitā eva	pRTak-sTAH api kaSmIra-rAjya-antar gaNitAH eva
   tathaitatmaṇḍalapālakasyājñāpālayamānāḥ sarvadaiva bhavanti |	taTA-etat-maNxala-pAlakasya-AjQApAlayamAnAH sarvadA-eva Bavanti |
   atas tasya rājño 'pi daraddeśe nagaranirmāṇam ucitatamaṃ bhavati |	atas tasya rAjQaH api darat-deSe nagara-nirmANam ucitatamam Bavati |
   kecit tu pārisekānuvādavidaḥ saurakākhyam amuṃ pattanam ajānanto	kecid tu pAriseka-anuvAda-vidaH sOraka-AKyam amum pattanam ajAnantaH-
   buddhibhrameṇa svakapolakalpitakalpanayā ca vṛthotthayā sindhaṣurath	budDi-BrameNa sva-kapola-kalpita-kalpanayA ca vRTA-utTayA sinDazuH-aT
   ityākhyaṃ kam api pradeśaṃ saurakaśabdābhidheyaṃ parikalpya rājño	iti-AKyam kam api pradeSam sOraka-Sabda-aBiDeyam parikalpya rAjQaH-
   sindhuṣurathākhyo deśo nirmita ityādi likhanti |	sinDuzuraTa-AKyaH deSaH nirmitaH ityAdi liKanti |
   tat sarvaṃ teṣāṃ likhanam asatyatamam asti |	tat sarvam tezAm liKanam asatyatamam asti |
   yato rājataraṅgiṇyukte surendrasya varṇane kim apy etādṛśaṃ deśanirmāṇaṃ	yatas rAja-taraFgiNI-ukte sura-indrasya varNane kim api etAdRSam deSa-nirmANam
   kvāpi na dṛṣṭam |	kvApi na dRzwam |
   ato 'tra prayojanam ajñātvaiva tanmatam astīti budhyate ||	atas atra prayojanam ajQAtvA-eva tat-matam asti-iti buDyate ||
   22. Narendrabhavanābhidho Vihāraḥ	22. Narendra-Bavana-aBiDaH VihAraH
   śloka 93 nambara 22 surendrarājye narendrabhavanābhidhaṃ vihāraṃ |	SlokaH 93 nambaraH 22 sura-indra-rAjye narendra-Bavana-aBiDam vihAram |
   atra narendrabhavanaśabdasya niruktiḥ |	atra narendra-Bavana-Sabdasya niruktiH |
   narāṇāṃ manuṣyāṇām indro rājā narendraḥ |	narANAm manuzyANAm indraH rAjA narendraH |
   narendrasya bhavanaṃ gṛhaṃ narendrabhavanaṃ rājagṛham ity arthaḥ |	narendrasya Bavanam gRham narendra-Bavanam rAja-gRham iti arTaH |
   yathā rājabhiḥ svakīyāni veśmāni svarṇarajataratnātādibhiḥ khacitāni	yaTA rAjaBiH svakIyAni veSmAni svarNa-rajata-ratnAta-AdiBiH KacitAni
   śuddhatamarītyā kārubhir nirmīyante tathaiva rājñā surendreṇa daraddeśasya	SudDatama-rItyA kAruBiH nirmIyante taTA-eva rAjQA sura-indreNa daraddeSasya
   nikaṭe hasaurābhidhaṃ nagaraṃ nirmāya tatraiva narendrabhavanākhyaṃ	nikawe hasOrABiDam nagaram nirmAya tatra-eva narendra-Bavana-AKyam
   vihāraṃ bauddhajananivasanādyupayogigṛham ity arthaḥ |	vihAram bOdDa-jana-nivasana-Adi-upayogi-gRham iti arTaH |
   bauddhānāṃ tu vihāro strī |	bOdDAnAm tu vihAraH strI |
   gaṃjā tu madirāgṛham ity amaraḥ |	gaMjA tu madirAgRham iti amaraH |
   tādṛśaṃ bauddhamandiram api nirmitam |	tAdRSam bOdDa-mandiram api nirmitam |
   vartate cāsya daraddeśamadhyavartino hasaurākhyasya nagarasya nikaṭe	vartate ca-asya darat-deSa-maDya-vartinaH hasOH-AKyasya nagarasya nikawe
   narendrabhavanākhyaṃ sthānam |	narendra-Bavana-AKyam sTAnam |
   tasya ca narendrabhavanasyādhunike kāle kāśmīrakamatena nagūr iti	tasya ca narendra-Bavanasya-aDunike kAle kASmIraka-matena nagUH iti
   prathitaṃ nāmāsti |	praTitam nAma-asti |
   so nagūrākhyaḥ pradeśo hasaurnikaṭa eva yato vartate 'ta eva	saH nagUH-AKyaH pradeSaH hasOH-nikawaH eva yatas vartate atas eva
   narendrabhavanaśabdābhidheyaḥ sa eva pradeśo bhāti |	narendra-Bavana-Sabda-aBiDeyaH saH eva pradeSaH BAti |
   ittham eva rājño daraddeśamadhye hasaurnagūrākhyayoḥ pradeśayoḥ	itTam eva rAjQaH darat-deSa-maDye hasOH-nagUH-AKyayoH pradeSayoH
   svamaṇḍalād vāryasthale nirmāṇam svamaṇḍale nirmitapradeśanirmāṇam agre	sva-maNxalAt vAri-asTale nirmANam sva-maNxale nirmita-pradeSa-nirmANam agre
   likhiṣyati ||	liKizyati ||
   23. Sorasaḥ Vihāraḥ	23. SorasaH VihAraH
   śloka 94 namba 23 surendrasya rājye sorasābhidhaḥ vihāraḥ |	SlokaH 94 nambaH 23 sura-indrasya rAjye sa-urasa-aBiDaH vihAraH |
   tatra pūrvaṃ sorasaśabdaniruktiḥ |	tatra pUrvam sa-urasa-Sabda-niruktiH |
   saḥ kope vāraṇe caiveti kośokteḥ |	saH kope vAraNe ca-eva-iti koSa-ukteH |
   sovāraka ūṣpādeḥ pipāsādeś ca tathā ukāraḥ śaṅkare prokta ūkāraś caiva	sovArakaH Uzpa-AdeH pipAsA-AdeH ca taTA ukAraH SaFkare proktaH UkAraH ca-eva
   rakṣake iti kośokteś ca |	rakzake iti koSa-ukteH ca |
   ū rakṣako jīvanam iti yāvat |	uH rakzakaH jIvanam iti yAvat |
   tathā ca raso gandharase jale śṛṅgārādau viṣe vīrye tiktādau dravarāgayoḥ	taTA ca rasaH ganDa-rase jale SRFgAra-AdO vize vIrye tikta-AdO drava-rAgayoH
   dehadhātuprabhede ca pāradasvādayoḥ pumān iti medinīkośamatāvalambanena |	deha-DAtu-praBede ca pArada-sva-AdayoH pumAn iti medinI-koSa-mata-avalambanena |
   raso jalaṃ yasya saḥ sorasaḥ |	rasaH jalam yasya saH sa-urasaH |
   atra rasaśabdasya jīvanaṃ bhuvanaṃ vanam ity amaramatena |	atra rasa-Sabdasya jIvanam Buvanam vanam iti amara-matena |
   jalaparyāyeṇa jīvanaśabdena saha samānārthatvād rakṣakajīvanaśabdayoś ca	jala-paryAyeNa jIvana-Sabdena saha samAna-arTa-tvAt rakzaka-jIvana-SabdayoH ca
   tulyārthatayā rakṣakatvaviśeṣaṇaṃ samīcīnam evāsti |	tulya-arTa-tayA rakzaka-tva-viSezaNam samIcInam eva-asti |
   ato gharmādivārakajalavānayavihārasaṃjñabauddhamandirayutaḥ pradeśa ity	atas Garma-Adi-vAraka-jala-vAn-aya-vihAra-saMjQa-bOdDa-mandira-yutaH pradeSaH iti-
   arthaḥ |	arTaH |
   ādhunike kāle 'sya sorasākhyasya pradeśasya kaśmīrabhāṣayā suras yār iti	ADunike kAle asya sa-urasa-AKyasya pradeSasya kaSmIra-BAzayA suraH yAH iti
   nāma grāmīṇāḥ kathayanti |	nAma grAmINAH kaTayanti |
   asmin pradeśe dugdhagaṅgākhyā nadī śītalasparśā madhurāsvādajalā	asmin pradeSe dugDagaFgA-AKyA nadI SItala-sparSA maDura-AsvAda-jalA
   pārvāyatrī ca pravahati |	pArvAyatrI ca pravahati |
   ataḥ soraseti sārthakaṃ nāmāsya eṣā yā dugdhagaṅgākhyā nadī dhārayati |	atas sa-urasA-iti sArTakam nAma-asyaH ezA yA dugDagaFgA-AKyA nadI DArayati |
   asyāḥ kāśmīrakā dūdgaṅgā iti prathitaṃ nāmāsti |	asyAH kASmIrakAH dUdgaFgAH iti praTitam nAma-asti |
   anyad ayaṃ sorasākhyaḥ pradeśo nāgom ityākhye puragaṇe vartate |	anyat ayam sa-urasa-AKyaH pradeSaH nAgom iti-AKye pura-gaNe vartate |
   tatrāpi parvatasya pādadeśo bhavati |	tatra-api parvatasya pAda-deSaH Bavati |
   asya sorasasya nikaṭe ḍāḍa um pūr tathā mici um pūr ityākhyaṃ grāmadvayaṃ	asya sa-urasasya nikawe xAxaH um pUH taTA mici um pUH iti-AKyam grAma-dvayam
   bhavati ||	Bavati ||
   24. Hastiśālākhyaḥ Agrahāraḥ	24. HastiSAla-AKyaH AgrahAraH
   ślokasaṃ 96 namba 24 rājño godharasya varṇane hastiśālākhyaṃ agrahāram |	Slokasam 96 namba 24 rAjQaH goDarasya varNane hastiSAla-AKyam agrahAram |
   tatra hastiśālākhyaśabdanirvacanam |	tatra hasti-SAla-AKya-Sabda-nirvacanam |
   hastino śālante śobhante 'treti gajāḥ hastiśālam |	hastinaH SAlante SoBante atra-iti gajAH hastiSAlam |
   śālante iti śālyaślāghāyām iti dhāto rūpam |	SAlante iti SAlya-SlAGAyAm iti DAtoH rUpam |
   atha vā hastināṃ śālā hastiśālā hastināṃ gṛhaṃ nivasanasthānam iti yāvat |	aTa vA hastinAm SAlA hasti-SAlA hastinAm gRham nivasana-sTAnam iti yAvat |
   etādṛśam agrahāraṃ godhareṇa rājñā nirmitaṃ nirmāya ca viprebhyo dattam	etAdRSam agrahAram goDareNa rAjQA nirmitam nirmAya ca vipreByaH dattam
   ity arthaḥ |	iti arTaH |
   atrāyam āśayaḥ rājño 'sya gṛhe ye madotkaṭā mataṅgajāḥ kariṇyaḥ kalabhāś	atra-ayam ASayaH rAjQaH asya gRhe ye mada-utkawAH mataFga-jAH kariNyaH kala-BAH-
   ca babhūvus teṣāṃ pālanām upayogisthānaṃ yasmād asminn eva pradeśe	ca baBUvuH tezAm pAlanAm upayogi-sTAnam yasmAt asmin eva pradeSe
   niyamitaṃ tenāto 'sya pradeśasya hastiśālam ity etādṛśaṃ nāma saṃlagnam |	niyamitam tena-atas asya pradeSasya hastiSAlam iti etAdRSam nAma saMlagnam |
   vartate ca devasarasākhye puragaṇe hastiśālākhyo grāmaḥ |	vartate ca deva-sarasa-AKye pura-gaNe hastiSAla-AKyaH grAmaH |
   tasya ca devasarasākhyapuragaṇasyādhunike kāle grāmīṇabhāṣāyāṃ	tasya ca deva-sarasa-AKya-pura-gaNasya-aDunike kAle grAmINa-BAzAyAm
   devasarpargaṇa ity ākārakanāmāsti |	deva-sarpargaNaH iti AkAraka-nAmA-asti |
   tathā cāsya hastiśālākhyagrāmasya hasty hel iti sarva viditaṃ nāmāpy asti	taTA ca-asya hasti-SAla-AKya-grAmasya hasti hel iti sarva viditam nAma-api asti
   asya hasty hel grāmasya samīpe kulagrāmākhyo grāmaḥ |	asya hasti het grAmasya samIpe kulagrAma-AKyaH grAmaH |
