   Rāṣṭrapālaparipṛcchā	RAzwrapAla-paripRcCA
   upariratnajālasaṃchāditābhūt, mā kumārasya rajo pāṃśurvā śarīre	upari-ratna-jAla-saMCAditA-BUt, mA kumArasya rajaH pAMSuH-vA SarIre
   nipatiṣyatīti //	nipatizyati-iti //
   tena ca samayena tasmin prāsāde catasra āsanakoṭyaḥ prajñaptā abhūvan	tena ca samayena tasmin prAsAde catasraH Asana-kowyaH prajQaptAH aBUvan
   saptaratnamayyaḥ / sarvasmiṃścāsane pañca pañca dūṣyaśatāni	sapta-ratna-mayyaH / sarvasmin=-ca-Asane paQca paQca dUzya-SatAni
   prajñptānyabhūvan / tatra ca madhye āsanaṃ prajñaptaṃ saptaratnamayaṃ	prajQptAni-aBUvan / tatra ca maDye Asanam prajQaptam sapta-ratna-mayam
   saptapauruṣamuccatvena aśītidūṣyakoṭibhiḥ prajñaptam, yatra puṇyaraśmī	sapta-pOruzam-ucca-tvena aSIti-dUzya-kowiBiH prajQaptam, yatra puNya-raSmI
   rājakumāro (Vaidya, RP 145) niṣetsyata iti / sarvatra cāsanamūle	rAja-kumAraH (VEdya, RP 145) nizetsyate iti / sarvatra ca-Asana-mUle
   agarugandhaghaṭikā dhūpyate / triṣkṛtvo divasasya triṣkṛtvo rātreḥ	agaru-ganDa-GawikA DUpyate / trizkRtvas divasasya trizkRtvaH rAtreH
   puṣpasaṃstaraḥ kriyate / suvarṇachadanācchāditaṃ suvarṇapadmapralambitaṃ	puzpa-saMstaraH kriyate / suvarNa-Cadana-AcCAditam suvarNa-padma-pralambitam
   muktājālavitataṃ maṇiratnaprabhāvabhāsitamaśītisahasrapralambitam /	muktA-jAla-vitatam maNi-ratna-praBAva-BAsitam-aSIti-sahasra-pralambitam /
   sarvatra ca ratnavṛkṣe patākāśatāni pralambitānyabhūvan / sarvatra codyāne	sarvatra ca ratna-vRkze patAkA-SatAni pralambitAni-aBUvan / sarvatra ca-udyAne
   navatirmaṇiratnaśatasahasrāṇi yojanaprabhāṇi sthāpitānyabhūvan, teṣāṃ ca	navatiH-maNi-ratna-Sata-sahasrANi yojana-praBANi sTApitAni-aBUvan, tezAm ca
   prabhayā sarvaloko 'vabhāsito 'bhūt / tasmin punā rāṣṭrapāla udyāne	praBayA sarva-lokaH avaBAsitaH aBUt / tasmin punA rAzwrapAle udyAne
   śukasārikakroñcakokilamayūrahaṃsacakravākakunālakalaviṅkajīvaṃjīvakā	Suka-sArika-kroQca-kokila-mayUra-haMsa-cakravAka-kunAla-kalaviFka-jI-vaMjIvakA
   manuṣyapralāpinaḥ pakṣiṇo 'bhūvan / yeṣāṃ nikūjitāni nadatāṃ nandane	manuzya-pralApinaH pakziNaH aBUvan / yezAm nikUjitAni nadatAm nandane
   devānāmiva madanīyaḥ śabdo niścarati / kumārasya ca paribhogārthaṃ	devAnAm-iva madanIyaH SabdaH niScarati / kumArasya ca pariBoga-arTam
   pañcarasaśataprakārāṇi bhojanāni satatasamitamabhisaṃskṛtānyabhūvan	paQca-rasa-Sata-prakArANi BojanAni satata-samitam-aBisaMskRtAni-aBUvan
   sarvākārasaṃpannāni //	sarva-AkAra-saMpannAni //
   tena ca punaḥ samayena viṃśavarṣāḥ samānāḥ ṣoḍaśavarṣātikrāntāḥ kumārakāḥ	tena ca punar samayena viMSa-varzAH samAnAH zoxaSa-varza-atikrAntAH kumArakAH
   sarvanagarebhyaḥ samudānīya tatra ca nagare praveśitā abhūvan	sarvanagareByaH samudAnIya tatra ca nagare praveSitAH aBUvan
   sarvaśilpasthānakarmasthānavidhijñāḥ /	sarva-Silpa-sTAna-karma-sTAna-viDi-jQAH /
   sarvaloikikaratyupakaraṇavidhijñānāmaśītikoṭyaḥ tasminnagare praveśitā	sarva-loiki-karati-upakaraNa-viDi-jQAnAm-aSIti-kowyaH tasminnagare praveSitA
   abhūvan / tasya mātāpitṛbhyāṃ koṭiḥ kanyānāṃ dattā, jñātisaṃghena koṭiḥ,	aBUvan / tasya mAtA-pitRByAm kowiH kanyAnAm dattA, jQAti-saMGena kowiH,
   naigamajñānapadaiḥ koṭiḥ, sarvarājena koṭiḥ kanyānāṃ dattā abhūvan / tāśca	nEgama-jQAna-padEH kowiH, sarva-rAjena kowiH kanyAnAm dattAH aBUvan / tAH-ca
   sarvā abhurūpāḥ prāsādikā darśanīyāḥ sarvāḥ ṣoḍaśavarṣapramāṇā jātyā	sarvAH aBurUpAH prAsAdikAH darSanIyAH sarvAH zoxaSa-varza-pramANA jAtyA
   gītakuśalā vādyakuśalā nṛttakuśalā hasitakuśalāḥ puruṣopasaṃkramaṇakuśalā	gIta-kuSalA vAdya-kuSalAH nRtta-kuSalAH hasita-kuSalAH puruza-upasaMkramaNa-kuSalA
   ārjavāḥ śiśavā madhurā vṛddhayaḥ pūrvābhilāpinyaḥ	ArjavAH SiSavAH maDurAH vRdDayaH pUrva-aBilApinyaH
   smitamukhāśopacārakuśalāḥ sarvakalāsu vidhijñā nātidīrghā nātihrasvā	smita-muKa-ASa-upacAra-kuSalAH sarva-kalAsu viDi-jQA na-ati-dIrGA na-ati-hrasvA
   nātisthūlā nātigauryo nātiśyāmāḥ / yāsāmutpalagandho mudhāt pravāti,	na-ati-sTUlAH na-ati-gOryaH na-atiSyAmAH / yAsAm-utpala-ganDaH muDAt pravAti,
   candanagandho gātrebhyaḥ pravāti / vyaktāṃ iva devakanyakāḥ,	candana-ganDaH gAtreByaH pravAti / vyaktAm iva deva-kanyakAH,
   ekāntamanāmayacāroṇyaḥ / tāsāṃ madhyagataḥ puṇyaraśmī rājakumāraḥ	ekAntam-anAmaya-cAroNyaH / tAsAm maDya-gataH puNya-raSmI rAja-kumAraH
   saṃgītisaṃprabhāṇitena tatra ca saṃgītiśabde caivaṃ cittamutpādayati -	saMgIti-saMpraBANitena tatra ca saMgIti-Sabde ca-evam cittam-utpAdayati -
   mahānamitrasaṃgho batāyaṃ mama prādurbhutaḥ kuśaladharmaparimoṣakaḥ /	mahAn-amitra-saMGaH bata-ayam mama prAdurButaH kuSala-Darma-parimozakaH /
   hanta anapekṣo bhaviṣyāmi / sa tasmin samaye syādyathāpi nāma vadhyaḥ	hanta anapekzaH BavizyAmi / sa tasmin samaye syAt-yaTA-api nAma vaDyaH
   puruṣo dṛṣṭvā na vismayacitta mutpādayati, evameva puṇyaraśmī rājakumāraḥ	puruzaH dRzwvA na vismaya-citta mutpAdayati, evam-eva puNya-raSmI rAja-kumAraH
   tāṃ pramadāṃ dṛṣṭvā na viṣmayati, nāpi tatra nagare, na ca	tAm pramadAm dRzwvA na vizmayati, na-api tatra nagare, na ca
   sakhībhiṃrvismayati sma / taiśca daśabhirvarṣairna jātu	saKIBiMrvismayati sma / tEH-ca daSaBiH-varzEH-na jAtu
   rūpanimittamudgṛhītavān / na śabdanimittaṃ na gandha nimittaṃ na	rUpa-nimittam-udgRhItavAn / na Sabda-nimittam na ganDa nimittam na
   rasanimittaṃ na sparśanimittamudgṛhītavān / anyatraivaṃrūpaṃ cittaṃ	rasa-nimittam na sparSa-nimittam-udgRhItavAn / anyatra-evaMrUpam cittam
   pravartayate sma - kadā tāvadevaṃrūpādamitrasaṃghamadhyānmama mokṣo	pravartayate sma  kadA tAvat-evaMrUpAt-amitra-saMGa-maDyAt-mama mokzaH-
   bhaviṣyati ? kadāhamapramādacaryāṃ cariṣyāmi yena me mokṣo bhaviṣyati ?	Bavizyati ? kadA-ahamapramAda-caryAm carizyAmi yena me mokzaH Bavizyati ?
   atha khalu tāḥ kanyakāḥ rājño 'rciṣmata ārocayanti sma - na deva kumāraḥ	aTa Kalu tAH kanyakAH rAjQaH arcizmataH Arocayanti sma  na deva kumAraH
   krīḍati, na ramate, na paricārayati ? atha khalu rāṣṭrapāla rājā	krIxati, na ramate, na paricArayati ? aTa Kalu rAzwrapAla rAjA
   arciṣmānaśītibhī rājasahasraiḥ sārdhaṃ yena puṇyaraśmī	arcizmAn-aSItiBiH rAja-sahasrEH sArDam yena puNya-raSmI
   rājakumārastenopasaṃkrāmat / upasaṃkramyāśrumukhaḥ pravepamānena kāyena	rAja-kumAraH-tena-upasaMkrAmat / upasaMkramya-aSru-muKaH pravepamAnena kAyena
   śocamāno dharaṇitale prapatitaḥ / sa utthāya dharaṇitalātpuṇyaraśmiṃ	SocamAnaH DaraNi-tale prapatitaH / saH utTAya DaraNi-talAt-puNya-raSmim
   rājakumāraṃ gāthābhidhyabhāṣata -	rAja-kumAram gATA-aBiDi-aBAzata -
   prakṣasva putravararatna mama pralāpaṃ śokārdito nipatito 'smi bhuvi	prakzasva putra-vara-ratna mama pralApam Soka-arditaH nipatitaH asmi Buvi
   kṣapānte /	kzapA-ante /
   kenāpriyaṃ tava kṛtaṃ mam tadbravīhi jyeṣṭhaṃ dadāmi yadihāsya kṣaṇena	kena-apriyam tava kRtam mam tat-bravIhi jyezWam dadAmi yat-iha-asya kzaNena
   daṇḍam // 244 //	daNxam // 244 //
   (Vaidya, RP 146)	(VEdya, RS 146)
   prekṣasva me 'dya nagaraṃ surasaṃgharamyaṃ manasā mayābhiracittaṃ yadidaṃ	prekzasva me adya nagaram sura-saMGa-ramyam manasA mayABiH-acittam yat-idam
   tvadarthe /	tvad-arTe /
   kimihāṅgamadya vikalaṃ mama tadvadāśu śakrasya vādya vibhavaṃ tava	kim-iha-aFgam-adya vikalam mama tadvat-ASu Sakrasya vA-adya viBavam tava
   darśayāmi // 245 //	darSayAmi // 245 //
   śokārditaṃ kamalalocanacārunetraṃ strīsaṃghamapsarasamaṃ vilapantamīkṣa /	Soka-arditam kamala-locana-cAru-netram strI-saMGam-apsara-samam vilapantam-Ikza /
   etābhiranyaiśca ramasva vinīya śokaṃ kiṃ śalyaviddha iva dhyāyasi	etABiH-anyEH-ca ramasva vinIya Sokam kim Salya-vidDaH iva DyAyasi
   dīnavakraḥ // 246 //	dIna-vakraH // 246 //
   etāḥ svaraṅgarucirāḥ suratervidhijñāḥ saṃgītitālasamaye ca viniścayajñāḥ /	etAH sva-raFga-rucirAH surateH-viDi-jQAH saMgIti-tAla-samaye ca viniScaya-jQAH /
   kālastavādya suratasya na śocitasya mlānaṃ saroruhamivāsi kimadya dīnaḥ //	kAlaH-tava-adya suratasya na Socitasya mlAnam saroruham-iva-asi kim-adya dInaH //
   247 // udyānapuṣpaphalapatravikīrṇaśākhā udviddhacitramiva citrarathaṃ	247 // udyAna-puzpa-Pala-patra-vikIrNa-SAKAH udvidDa-citram-iva citraraTam
   surāṇām /	surANAm /
   saṃcintayasva prathamaṃ hi vayastavedaṃ kālo rate rama ihādya suta prasīda	saMcintayasva praTamam hi vayaH-tava-idam kAlaH rate ramaH iha-adya suta prasIda
   tulyā taveyamapi puṣkariṇī surāṇāṃ snānārthamutpalasarojavanābhikīrṇā /	tulyA tava-iyam-api puzkariNI surANAm snAna-arTam-utpala-saroja-vana-aBikIrNA /
   padmāni mattavaraṣaṭpadabhūṣitāni saṃcintya tāṃ ka iha nābhirameta putra	padmAni matta-vara-zawpada-BUzitAni saMcintya tAm kaH iha na-aBirameta putra
   haṃsā mayūraśukasārikakokilāśca koṇālajīvakalaviṅka manojñaghoṣāḥ /	haMsAH mayUra-Suka-sArika-kokilAH-ca koNAla-jIva-kalaviFka manojQa-GozAH /
   gandharvamādana ivā himavatsamīpe śrutvā naraḥ ka iha nātra ratiṃ labheta	ganDarvamAdanaH ivA himavat-samIpe SrutvA naraH kaH iha na-atra ratim laBeta
   etā vimānamaṇicūḍasamuktajālā vaiḍūryakāñcanacitā iva vaijayante /	etAH vimAna-maNi-cUxa-samukta-jAlAH vExUrya-kAQcana-citAH iva vEjayante /
   ratnāsanāni ca varāṇi varāstṛtāni cārusvarā kanakakaṅkaṇatālapaṅktyaḥ //	ratna-AsanAni ca varANi vara-AstRtAni cAru-svarA kanaka-kaFkaNa-tAla-paFktyaH //
   251 // gambhīradhīravaratūryaninādaghuṣṭā vīthīṣu dānavisarāstava cāpi	251 // gamBIra-DIra-vara-tUrya-ninAda-GuzwAH vITIzu dAna-visarAH-tava ca-api
   hetoḥ /	hetoH /
   kanyāḥ sahasrabahugītarutāḥ kriyante śrūyanti nandanavane 'psarasāṃ	kanyAH sahasra-bahu-gIta-rutAH kriyante SrUyanti nandana-vane apsarasAm
   yathaiva /	yaTA-eva /
   (Vaidya, RP 147)	(VEdya, RS 147)
   kasmān triviṣṭapasame bhavane manojñe vikṣiptacitta iha kiṃ na ratiṃ	kasmAn trivizwapa-same Bavane manojQe vikzipta-cittaH iha kim na ratim
   karoṣi //	karozi //
   ete kumāra tava devasamānagarbhāḥ krīḍāsakhāya saha putra ramasva caibhiḥ	ete kumAra tava deva-samAna-garBAH krIxA-saKAya saha putra ramasva ca-eBiH
   mātā pitā ca tava saṃsthita sāśrukaṇṭhāḥ kiṃ duḥkha nāsti karuṇā ca jane	mAtA pitA ca tava saMsTita sa-aSru-kaNWAH kim duHKa na-asti karuNA ca jane
   tavāsmin // 253 //	tava-asmin // 253 //
   so 'thābravīdguṇacito bhavadoṣadarśī nirviṇṇa saṃskṛtamanarthika	saH aTa-abravIt-guNa-citaH Bava-doza-darSI nirviNNa saMskRtam-anarTika
   kāmabhogaiḥ /	kAma-BogEH /
   saṃsārapañcaragataṃ jagadīkṣyaṃ cedaṃ mokṣārthikaḥ pitaramāha śṛṇuṣva deva	saMsAra-paQcara-gatam jagat-Ikzyam ca-idam mokza-arTikaH pitaram-Aha SRNuzva deva
   devāpriyaṃ mam kṛtaṃ na hi kenacinme kiṃ tvasti me 'dya na hi kāmaguṇeṣu	deva-apriyam mam kRtam na hi kenacid-me kim tu-asti me adya na hi kAma-guNezu
   chandaḥ /	CandaH /
   sarve priyāṃ ripusamā hi nirānuraktā ye kleśadurgatiprapāta prapātayanti	sarve priyAm ripu-samAH hi nirAnu-raktAH ye kleSa-durgati-prapAta prapAtayanti
   etāḥ striyo hyabudhabālajanābhirāmā mārasya pāśaguṇabaddha mahāprapātāḥ /	etAH striyaH hi-abuDa-bAla-jana-aBirAmAH mArasya pASa-guNa-badDa mahA-prapAtAH /
   nityaṃ tathā vigarhita āryajanena caitāḥ sevāmi kiṃ narakadurgatiśokamūlāḥ	nityam taTA vigarhitaH Arya-janena ca-etAH sevAmi kim naraka-durgati-Soka-mUlAH
   etāḥ striyo hi chavimātrakarūparabhyāḥ snāyvasthiyantramaśucībhi	etAH striyaH hi Cavi-mAtraka-rUpa-raByAH snAyu-asTi-yantram-aSucIBi
   nirarthako 'ham /	nirarTakaH aham /
   prasrāviṇī rudhiramūtraśakṛnmalānāṃ vyaktaṃ śmaśānasadṛśīṣu kathaṃ rameyam	prasrAviNI ruDira-mUtra-SakRt-malAnAm vyaktam SmaSAna-sadRSIzu kaTam rameyam
   gītaṃ na śroṣyamapi vādyarutaṃ na grāhyaṃ svapnāya mābhiratayo	gItam na Srozyam-api vAdya-rutam na grAhyam svapnAya mA-aBiratayaH-
   'budhamohanāśca /	abuDa-mohanAH-ca /
   saṃkalpalālasa gatā abudhā tu nāśaṃ kiṃ kleśadāsa iva bālajano bhaviṣye //	saMkalpa-lAlasa gatAH abuDA tu nASam kim kleSa-dAsaH iva bAla-janaH Bavizye //
   sarve ime drumalatā śiśire pravṛtte kāntāravṛkṣasadṛśā hi bhavantyaramyāḥ	sarve ime druma-latA SiSire pravRtte kAntAra-vRkza-sadRSAH hi Bavanti-aramyAH
   sarvaśriyo vidhamanī hi anityateyaṃ mohātpramādamupayāmi cale tu jīve //	sarva-SriyaH viDamanI hi anitya-tA-iyam mohAt-pramAdam-upayAmi cale tu jIve //
   cittaṃ samudra iva tarpayituṃ na śakyaṃ tṛṣṇāpravṛttinirataḥ punareva	cittam samudraH iva tarpayitum na Sakyam tRzNA-pravRtti-nirataH punar-eva
   kāṅkṣa /	kAFkzaH /
   (Vaidya, RP 148)	(VEdya, RS 148)
   anyonyaghāti jagadīkṣya hi kāmahetoḥ meruryathaiva pavanairahamaprampyaḥ	anyonya-GAti jagat-Ikzya hi kAma-hetoH meruH-yaTA-eva pavanEH-aham-aprampyaH
   na tvaṃ pitā na sahajā mama nāpi bhāryāḥ trātā na bāndhavajanā nṛpate	na tvam pitA na sahajAH mama na-api BAryAH trAtA na bAnDava-janAH nRpate
   hmapāyāt /	hmapAyAt /
   sarve vayaṃ tṛṇagatā iva bindulekhā mā tāta cittavaśagā bhavatāṃ pramattāḥ	sarve vayam tRNa-gatAH iva binduleKA mA tAta citta-vaSa-gAH BavatAm pramattAH
   dhigyauvanena manujeśvara yanna nityaṃ dhigjīvitasya gamanaṃ	Dik-yOvanena manuja-ISvara yat-na nityam Dik-jIvitasya gamanam
   giritoyaśīghram /	giri-toya-SIGram /
   dhiksaṃskṛtaṃ kṣayamidaṃ taḍidabhralolaṃ dhikkaṇḍitasya tribhave nṛpa	Dik-saMskRtam kzayam-idam taxit-aBra-lolam Dik-kaNxitasya tri-Bave nRpa
   kāmarāgaḥ // 262 //	kAma-rAgaH // 262 //
   saṃcodito 'smi vibudhairbhava apramatto no bodhisattva bhavate	saMcoditaH asmi vibuDEH-Bava apramattaH naH boDisattva Bavate
   viṣayābhilagnaḥ /	vizaya-aBilagnaH /
   buddho bhaveyamiha lokahitānukampī nāsti pramādacaritasya narendra bodhiḥ	budDaH Baveyam-iha loka-hita-anukampI na-asti pramAda-caritasya narendra boDiH
   kāmāturo bhavati yo nṛpa cittadāsaḥ sa hi puṇyanāśanirato vinivṛttasvargaḥ	kAma-AturaH Bavati yaH nRpa citta-dAsaH sa hi puNya-nASa-nirataH vinivRtta-svargaH
   hiṃsāsamiddhamapi nābhicareta jātu pakṣīva pañjaragataḥ kathamāśvaseta //	hiMsA-samidDam-api na-aBicareta jAtu pakzI-iva paQjara-gataH kaTam-ASvaseta //
   dhātūśca sarpasadṛśā vadhakāśca skandhāḥ cittaṃ ca sāsravamanarthaka śūnya	DAtUH-ca sarpa-sadRSAH vaDakAH-ca skanDAH cittam ca sa-Asravam-anarTaka SUnya
   grāmaḥ /	grAmaH /
   viṣastambapuṣpita iveha narendra kāyaḥ oghe 'tiruhyati kathaṃ nu	viza-stamba-puzpitaH iva-iha narendra kAyaH oGe atiruhyati kaTam nu
   ratirmamātra // 265 //	ratiH-mama-atra // 265 //
   saṃprekṣase jagadidaṃ kugatiprapannaṃ vyaktaṃ padaṃ gaganatulyamapi	saMprekzase jagat-idam kugati-prapannam vyaktam padam gagana-tulyam-api
   jvalantam /	jvalantam /
   teṣāṃ pramokṣaṇanimittamihādya rājan śivadharmanāva samudānayitāsmi	tezAm pramokzaNa-nimittam-iha-adya rAjan Siva-DarmanAva samudAnayitA-asmi
   śīghram // 266 //	SIGram // 266 //
   suptān vibodhayitumātura jīvitārthaṃ śalya nimūlayitumutpathagān vinetum /	suptAn viboDayitum-Atura jIvita-arTam Salya nimUlayitum-utpaTa-gAn vinetum /
   prod ghuṣya bandhanabimokṣa mahāsahasre saṃtarpayaṃściradaridra	prod Guzya banDana-bimokza mahA-sahasre saMtarpayan=-ciradaridra
   subhāṣitena // 267 //	su-BAzitena // 267 //
   sīdanta durgatipathādapi coddhariṣye andhe cakṣurapi tṛṣṇalatāviśoṣī /	sIdanta durgati-paTAt-api ca-udDarizye anDe cakzuH-api tRzNa-latA-viSozI /
   (Vaidya, RP 149)	(VEdya, RS 149)
   prajñārciruttamavimuktikṛtapradīpo drakṣanti yena tribhavaṃ	prajQA-arciH-uttama-vimukti-kRta-pradIpaH drakzanti yena tri-Bavam
   naṭaraṅgakalpam // 268 //	nawaraFga-kalpam // 268 //
   meghaṃ kṛpākaruṇapāramitābhrakūṭaṃ sattvārthagarjita vipaśyanavidyumālī /	meGam kRpA-karuNa-pAramitA-aBra-kUwam sattva-arTa-garjita vipaSyana-vidyumAlI /
   bodhyaṅgadhārasukhaśītalavṛṣṭijālaiḥ śītīkaromi ca jagaccirakālataptam //	boDi-aFga-DAra-suKa-SItala-vRzwi-jAlEH SItIkaromi ca jagat-cira-kAla-taptam //
   etatsmarannahamiha kṣitiśopaviṣṭo nāstīha me praṇidhi saṃskṛtasarvakāmaiḥ	etat-smaran=-aham-iha kzitiSopa-vizwaH na-asti-iha me praNiDi saMskRta-sarva-kAmEH
   bodhyarthiko hi vicarāmiha sattvahetoḥ ekāṃśiko na hi bhavābhiratau	boDi-arTikaH hi vicarAm-iha sattva-hetoH eka-aMSikaH na hi Bava-aBiratO
   mamecchā // 270 //	mama-icCA // 270 //
   jānan vasetka iha pārthiva śatrumadhye ko buddhimān sabhayamārgapathaṃ	jAnan vaset-kaH iha pArTiva Satru-maDye kaH budDimAn sa-Baya-mArga-paTam
   vrajeta /	vrajeta /
   ko vā sacakṣuriha tāta patetprapāte ko bodhimārgamadhigamya	kaH vA sa-cakzuH-iha tAta patet-prapAte kaH boDi-mArgam-aDigamya
   bhavetpramattaḥ // 271 //	Bavet-pramattaH // 271 //
   anusrota sarvajagatī pratisrotā so 'haṃ vācā na śakyamiha pārthiva bodhi	anusrota sarva-jagatI pratisrotA saH aham vAcA na Sakyam-iha pArTiva boDi
   prāptum /	prAptum /
   meruprayātamapi sāgaramutsaheyaṃ na tveva me mana ihābhirameta kāmaiḥ //	meru-prayAtam-api sAgaram-utsaheyam na tu-eva me manaH iha-aBirameta kAmEH //
   gacchāśu pārthiva varasvajanena sārdhaṃ sarvāṃ hi rāṣṭraratimutsṛja	gacCa-ASu pArTiva vara-sva-janena sArDam sarvAm hi rAzwra-ratim-utsRja
   sarvaloke /	sarva-loke /
   ādāya gacchatu yathābhimataṃ hi yasya gṛhyāpramāda mama tāta na rājyakoṭyā	AdAya gacCatu yaTA-aBimatam hi yasya gRhya-apramAda mama tAta na rAjya-kowyA
   śakyā na nārigaṇamadhyagatena bodhiḥ prāptuṃ śivaṃ padamanuttarayogakṣemam	SakyA na nAri-gaNa-maDya-gatena boDiH prAptum Sivam padam-anuttara-yogakzemam
   gacchāmyahaṃ girivanāntaramāśrayāmi prāptā hyaraṇyaniratena jinena bodhiḥ	gacCAmi-aham giri-vana-antaram-ASrayAmi prAptAH hi-araNya-niratena jinena boDiH
   atha khalu rāṣṭrapāla puṇyaraśmī rājakumāraḥ prāsādatalagata eva tābhiḥ	aTa Kalu rAzwrapAla puNya-raSmI rAja-kumAraH prAsAda-tala-gataH eva tABiH
   pramadābhiḥ sārdhaṃ caṃkramannudvignamanāḥ saṃstribhirīryāpathairviharati	pramadABiH sArDam caMkram-an=-udvigna-manAH san=-triBiH-IryA-paTEH-viharati
   / katamaistribhiḥ ? sthānena caṃkrameṇa niṣadyayā /	/ katamEH-triBiH ? sTAnena caMkrameNa nizadyayA /
   styānamiddhaparivarjitaḥ upariprāsādatalagato 'ṣṭamyāṃ bhūmau sthitaḥ / so	styAnam-idDa-parivarjitaH upari-prAsAda-tala-gataH azwamyAm BUmO sTitaH / saH-
   'rdharātrakālasamaye aśroṣīt - antarīkṣācchuddhāvāsakāyikā devatā	arDarAtra-kAla-samaye aSrozIt  antarIkzAt-SudDAvAsa-kAyikA devatA
   buddhasya varṇaṃ bhāṣamāṇā gacchanti, vistareṇa dharmasya saṃghasya varṇaṃ	budDasya varNam BAzamANA gacCanti, vistareNa Darmasya saMGasya varNam
   bhāṣamāṇā gacchanti / śrutvā ca rāṣṭrapāla puṇyaraśmī rājakumāraḥ	BAzamANAH gacCanti / SrutvA ca rAzwrapAla puNya-raSmI rAja-kumAraH
   saṃhṛṣṭaromakūpajātaḥ aśru nipātayati / sa saṃvegajāto 'ñjaliṃ kṛtvā tāṃ	saMhRzwa-romakUpa-jAtaH aSru nipAtayati / sa saMvega-jAtaH aQjalim kRtvA tAm
   devatāṃ gāthābhiradhyabhāṣata -	devatAm gATABiH-aDi-aBAzata -
   (Vaidya, RP 150)	(VEdya, RS 150)
   mayi karuṇa janitvā devatā duḥkhite 'smin yadi na kuruta manyuṃ	mayi karuNa janitvA devatAH duHKite asmin yadi na kuruta manyum
   kiṃcidevābhipṛcche / kasya guṇa vadanto gacchetātrāntarīkṣe sukhitamiha	kiMcid-eva-aBipRcCe / kasya guNa vadantaH gacCeta-atra-antarIkze suKitam-iha
   mano me vākyametaṃ niśāmya // 275	manaH me vAkyam-etam niSAmya // 275
   atha khalu rāṣṭrapāla tā devatāḥ puṇyaraśmirājakumāraṃ	aTa Kalu rAzwrapAla tAH devatAH puNya-raSmi-rAja-kumAram
   gāthābhiradhyabhāṣanta -	gATABiH-aDyaBAzanta -
   śravaṇamupagataste kiṃ na buddhaḥ kumāra śaraṇamaśaraṇānāṃ nāma	SravaNam-upagataH-te kim na budDaH kumAra SaraNam-aSaraNAnAm nAma
   siddhārthabuddhiḥ /	sidDArTa-budDiH /
   paracarikuśalo 'sau puṇyaprajñāguṇaḍhyo daśaniyutasahasrādhyāyināṃ tasya	para-cari-kuSalaH asO puNya-prajQA-guNaXyaH daSa-niyuta-sahasra-aDyAyinAm tasya
   saṃghaḥ // 276 //	saMGaH // 276 //
   puṇyarasmirāha -	puNya-rasmiH-Aha -
   ahamapi jina dṛkṣye kīdṛśaṃ tasya rūpaṃ vadata api ca sarve kīdṛśo cāsya	aham-api jina dRkzye kIdRSam tasya rUpam vadata api ca sarve kIdRSaH ca-asya
   varṇaḥ /	varNaH /
   ahamapi paripṛcche kīdṛśī bodhicaryā bhavati yatha caran vai	aham-api paripRcCe kIdRSI boDi-caryA Bavati yaTa caran vE
   sarvasattvaikanāthaḥ // 277 //	sarva-sattva-eka-nATaH // 277 //
   atha khalu tā devatāḥ puṇyaraśmiṃ rājakumāraṃ gāthābhiradhyabhāṣanta -	aTa Kalu tAH devatAH puNya-raSmim rAja-kumAram gATABiH-aDyaBAzanta -
   snugdharucikeśā dakṣiṇāvartajātā giritatamiva haima śobhate cāsya coṣṇi /	snugDa-ruci-keSAH dakziNa-Avarta-jAtA giritatam-iva hEma SoBate ca-asya ca-uzNi /
   gagana iva ca śūnyo bhāsate cāsya ūrṇā sphaṭikamaṇiviśuddhā dakṣiṇā nābhi	gaganaH iva ca SUnyaH BAsate ca-asya UrNA sPawika-maNi-viSudDAH dakziNA nABi
   jātā // 278 //	jAtAH // 278 //
   bhramaragaṇaviśuddhā netra nīlotpalābhā siṃhahanu narendrao bimba oṣṭhaḥ	Bramara-gaNa-viSudDA netra nIlotpala-ABA siMhahanu narendraaH bimbaH ozWaH
