   sphuṭārthā	sPuwa arTA
   gacchati. jvālāgamanayogena. yathā dīrghā tṛṇānusaktā jvālā [Tib. 288b]	gacCati. jvAlA gamana yogena. yaTA dIrGA tRNa anusaktAH jvAlA [Ti b. 288b]
   gacchatīty ucyate. tathā vijñānasaṃtatibhir antarābhavasambandhād	gacCati iti ucyate. taTA vijQAna saMtatiBiH antarA aBava sambanDAt 
   antarābhavasaṃbandhenātiviprakṛṭadeśām api tāṃtāṃ gatiṃ gacchati. evaṃ ca	antarA aBava saMbanDena ati vipra kRwa deSAm api tAMtAm gatim gacCati. evam ca
   kṛtveti. yadi saṃskārapratyayaṃ antarābhavapratisaṃdhicittam upādāya yāvad	kRtvA iti. yadi saMskAra pratyayam antarA aBava pratisaMDi cittam upAdAya yAvat 
   upapattikṣaṇaḥ sarvāsau vijñānasaṃtatiḥ ṣaṇṇāṃ vijñānakāyānāṃ	upapatti kzaNaH sarvA asO vijQAna saMtatiH zaNNAm vijQAna kAyAnAm
   saṃskārapratyayaṃ vijñānam abhipretaṃ tad upapannaṃ bhavati.	saMskAra pratyayam vijQAnam aBipretam tat upapannam Bavati.
   vijñānāṃganirdeśe vijñānāṃgasya tṛtīyasya nirdeśe. vijñānaṃ katamat. ṣaḍ	vijQAna aMga nirdeSe vijQAna aMgasya tRtIyasya nirdeSe. vijQAnam katamat. zaz 
   vijñānakāyā iti. anyathā hi yadi ṣaṇṇāṃ vijñānakāyānāṃ saṃtatir nābhipretā	vijQAna kAyAH iti. anyaTA hi yadi zaNNAm vijQAna kAyAnAm saMtatiH na aBi pretA
   syāt. saṃskārapratyayaṃ vijñānaṃ pratisaṃdhicittam evābhipretaṃ syāt. atra	syAt. saMskAra pratyayam vijQAnam pratisaMDi cittam eva aBipretam syAt. atra
   ṣaḍ vijñānakāyā iti noktaṃ syāt. evaṃ tu vaktavyaṃ syāt. vijñānaṃ katmat.	zaw vijQAna kAyAH iti na uktam syAt. evam tu vaktavyam syAt. vijQAnam katmat.
   manovijñānam iti. na hi pratisaṃdhikṣaṇe paṃcavijñānakāyasaṃbhavo 'sti.	manaH vijQAnam iti. na hi pratisaMDi kzaNe paMca vijQAna kAya saMBavaH asti.
   manovijñānenaiva pratisaṃdhibandhāt.	manaH vijQAnena eva pratisaMDi banDAt .
   chedasaṃdhānavairāgyahānicyutyupapattayaḥ	Ceda saMDAna vErAgya hAni cyuti upapattayaH
   manovijñṇa eveṣṭā	manaH vijQNaH eva izwA
   iti vacanāt. vibhaṃga evaṃ nirdeśād iti. pratītyasmutpādasūtre	iti vacanAt. viBaMgaH evam nirdeSAt iti. pratItyasmutpAda sUtre
   nāmarūpavibhaṃga evaṃ nirdeśāt. nāma katamat. catvāro 'rūpiṇaḥ skandhā	nAma rUpa viBaMgaH evam nirdeSAt. nAma katamat. catvAraH arUpiNaH skanDA
   iti. rūpaṃ katamat. yatkimcid rūpam iti vistareṇa. yāvad yac cedaṃ rūpaṃ	iti. rUpam katamat. yat kimcid rUpam iti vistareNa. yAvat yat ca idam rUpam
   yac ca nāma. (Abhidh k vy 300) tad ubhayaṃ nāmarūpam ity ucyata [Tib.	yat ca nAma. (a aBiD k vI 300) tat uBayam nAma rUpam iti ucyate [Ti b.
   289a] iti. kāmatṛṣṇeti. kāmāvacarī tṛṣṇā. rūpatṛṣṇeti. yā sukhāyāṃ triṣu	289a] iti. kAma tRzNA iti. kAmAvacarI tRzNA. rUpa tRzNA iti. yA suKAyAm trizu
   dhyāneṣu. aduḥkhāsukhāyāṃ caturthe. aduḥkhāsukhāyām ārūpyatṛṣṇeti.	DyAna izu. aduHKa asuKAyAm caturTe. aduHKa asuKAyAm ArUpya tRzNA iti.
   ārūpyāvacarī. kāmādīnām upādānam iti. kāmyanta iti kāmāḥ. guṇyanta iti	ArUpya avacarI. kAma AdInAm upAdAnam iti. kAmyante iti kAmAH. guNyante iti
   guṇāḥ. kāmā eva guṇāḥ kāmaguṇāḥ. ke punas te.	guNAH. kAmAH eva guNAH kAma guNAH. ke punar te.
   rūpaśabdagandharasaspraṣṭavyāni. dṛṣṭayo dvāṣaṣṭi yathā brahmajāla iti.	rUpa Sabda ganDa rasa sprazwa vyAni. dRzwayaH dvAzazwi yaTA brahma jAlaH iti.
   brahmajālasūtradarśanena tā dṛṣṭayo boddhavyāḥ. kukkuragovratādīnīti.	brahma jAlasUtra darSanena tAH dRzwayaH bodDavyAH. kukkura go vrata AdIni iti.
   ādiśabdena mṛgavratādīni gṛhyante. nirgranthādīnām iti. ādiśabdena	Adi Sabdena mRga vrata AdIni gRhyante. nirgranTa AdInAm iti. Adi Sabdena
   pāṇḍarabhikṣvādīnāṃ grahaṇaṃ. brāhṃaṇetyādivistaraḥ. brāhmaṇānāṃ	pANxara Bikzu AdInAm grahaNaM. brAhMaNa ityAdi vistaraH. brAhmaNAnAm
   daṇḍājinaṃ pāśupatānāṃ jaṭābhasma. parivrājakānāṃ tridaṇḍamauṇḍyaṃ	daNxa ajinam pASupatAnAm jawA Basma. parivrAjakAnAm tridaNxa mONxyam
   ādiśabdadvayena kāpālikādīnāṃ kapāladhāraṇādīni gṛhyante. tatsamādānaṃ	Adi Sabda dvayena kApAlika AdInAm kapAla DAraNa AdIni gRhyante. tad samAdAnam
   śīlavratopādānaṃ. ātmeti vādo 'sminn ity ātmavādaḥ. yathoktaṃ. ye kecic	SIla vrata upAdAnan. AtmA iti vAdaH asmin iti Atma vAdaH. yaTA uktan. ye kecid 
   chramaṇā brāhmaṇā vā ātmeti samanupaśyantaḥ. [Tib. 289b] samanupśyaṃti	CramaNA brAhmaNAH vA AtmA iti samanupaSyantaH. [Ti b. 289b] samanupSyaMti
   sarve ta imān eva paṃcopādānaskandhān iti vistaraḥ. ātmadṛṣṭyasmimānāv ity	sarve te imAn eva paMca upAdAna skanDAn iti vistaraH. Atma dRzwi asmimAnO iti 
   apara ātmavādam āhuḥ. ātmano hy asattvād ātmavādopādānām iti	aparaH Atma vAdam AhuH. AtmanaH hi asattvAt Atma vAda upAdAnAm iti
   vādaśabdopanyāse prayojanaṃ darśayati. bālo 'śrutavān pṛthagjana iti.	vAda Sabda upanyAse prayojanam darSayati. bAlaH aSrutavAn pRTagjanaH iti.
   yasya pūrvābhyāsavāsanānirjātopapattilābhikā prajñā nāsti. sa bālaḥ.	yasya pUrva aByAsa vAsanA nirjAta upapatti lABikA prajQA nAsti. sa bAlaH.
   yasyāgamajā nāsti. so 'śrutavān. yasyādhigamajā satyābhisamayajā nāsti. sa	yasya Agama jA nAsti. saH aSrutavAn. yasya aDigama jA satya aBisamaya jA nAsti. sa
   pṛthagjanaḥ. prajñaptim anupatita iti. yathā saṃjñā yathā ca vyavahāraḥ.	pRTagjanaH. prajQaptim anupatitaH iti. yaTA saMjQA yaTA ca vyavahAraH.
   tathānugata ity arthaḥ. teṣām iti kāmādīnāṃ. chandarāga iti. aprāpteṣu	taTA anugataH iti arTaH. tezAm iti kAma AdInAn. CandarAgaH iti. aprAptezu
   viṣayeṣu prārthanā chandaḥ. prāpteṣu rāgaḥ. teṣu kāmādiṣu yaḥ chandarāgaḥ.	vizayezu prArTanA CandaH. prAptezu rAgaH. tezu kAma Adizu yaH CandarAgaH.
   tad upādānaṃ. na tu	tat upAdAnan. na tu
   yathoktā eva sāvidyā dvidhā dṛṣṭivivecanād	yaTA uktAH eva sa avidyA dviDA dRzwi vivecanAt 
   upādānānīty	upAdAnAni iti 
   abhiprāyaḥ. paunarbhavikam iti punarbhavaphalaṃ. idam atra bhavasyeti.	aBiprAyaH. pOnarBavikam iti punarBava Palan. idam atra Bavasya iti.
   idam atra bhavasya svalakṣaṇaṃ svabhāva ity arthaḥ.	idam atra Bavasya sva lakzaNam svaBAvaH iti arTaH.
   vijñānāvakrāntiyogeneti. jvālāgamanayogenāntarābhavasaṃbandhād anāgataṃ	vijQAna avakrAnti yogena iti. jvAlA gamana yogena antarABava saMbanDAt anAgatam
   janma jātiḥ paṃcaskaṃdhikā nāmarūpasvabhāvatvāt. jarāmaraṇaṃ yathā	janma jAtiH paMcaskaMDikAH nAma rUpa svaBAva tvAt. jarA maraNam yaTA
   nirdiṣṭaṃ sūtra iti. jarā katamā. yat tat khālityaṃ [Tib. 290a] pālityaṃ	nirdizwam sUtraH iti. jarA katamA. yat tat KAlityam [Tib. 290a] pAlityam
   iti vistaraḥ. maraṇaṃ katamat. yā teṣāṃteṣāṃ sattvānāṃ tasmāttasmāc cyutiś	iti vistaraH. maraNam katamat. yA teza aMtezAm sattvAnAm tasmAt tasmAt cyutiH 
   cyavanam iti vistaraḥ. kevalasyātmarahitasyety arthaṃ darśayati. mahata	cyavanam iti vistaraH. kevalasya Atma rahitasya iti arTam darSayati. mahata
   ity anādyantasya. duḥkhaskandhasyeti duḥkhasamūhasya. sa eva tu	iti anAdi antasya. duHKa skanDasya iti duHKa samUhasya. saH eva tu
   vaibhāṣikanyāyo yaḥ pūrvam ukta (Abhidh k vy 301) iti. dvādaśa	vEBAzika nyAyaH yaH pUrvam uktaH (a aBiD k vI 301) iti. dvAdaSa
   paṃcaskaṃdhikā avasthā dvādaśaṃgānīti.	paMcaskaMDikA avasTA dvAdaSaMgAni iti.
   (III.28cd) yā na vidyā. cakṣurādiṣv api prasaṃga iti. cakṣuḥśrotrādīny	(III.28cd) yA na vidyA. cakzuH Adizu api prasaMgaH iti. cakzuH Srotra AdIni 
   avidyā prasajyante. tāny api hi na vidyeti kṛtvā. na kiṃcid syād iti. yadi	avidyA prasajyante. tAni api hi na vidyA iti kRtvA. na kiMcid syAt iti. yadi
   vidyāyā abhāvo 'vidyā adravyaṃ syād ity arthaḥ. na caitad yuktam iti.	vidyAyAH aBAvaH avidyA adravyam syAt iti arTaH. na ca etat yuktam iti.
   pratyayabhāvenopadeśāt. tadvipakṣa iti. virodhe nañ iti darśayati. na tu	pratyaya BAvena upadeSAt. tad vipakzaH iti. viroDe nan iti darSayati. na tu
   yaḥ kaścid anyo mitrād iti. na paryudāsamātra iti darśayati. nāpi	yaH kaScid anyaH mitrAt iti. na paryudAsa mAtraH iti darSayati. na api
   mitrabhāva iti. nābhāvārtha iti darśayati. adharmānārthakāryādayaś ceti.	mitra BAvaH iti. na aBAva arTaH iti darSayati. aDarmAna arTa kArya AdayaH ca iti.
   ādiśabdenāyuktyavyavahārāmanuṣyādayo gṛhyaṃte. dharmādipratidvandvabhūtā	Adi Sabdena ayukti avyavahArA manuzya AdayaH gRhyaMte. Darma Adi pratidvandva BUtA
   iti. dharmārthakāryayuktivyavahāramanuṣyādipratidvandvabhūtāḥ. na tu ye	iti. Darma arTa kArya yukti vyavahAra manuzya Adi pratidvandva BUtAH. na tu ye
   kecid anye dharmādibhyaś [Tib. 290b] cakṣurādayaḥ. nāpi dharmādyabhāvaḥ.	kecid anye Darma AdiByaH [Tib. 290b] cakzuH AdayaH. na api Darma Adi aBAvaH.
   evam avidyāpīti vistaraḥ. kuta etat. pratyayabhāvenopadeśāt.	evam avidyA api iti vistaraH. kutas etat. pratyaya BAvena upadeSAt.
   avidyāpratyayāḥ saṃskārā iti. na cāvidyāyā anyeṣāṃ cakṣurādīnāṃ	avidyA pratyayAH saMskArAH iti. na ca avidyAyAH anyezAm cakzuH AdInAm
   pratyayabhāvenopadeśo yuktaḥ. arhatāṃ saṃskārasaṃbhavāt. na cābhavasya.	pratyaya BAvena upadeSaH yuktaH. arhatAm saMskAra saMBavAt. na ca aBavasya.
   śaśaviṣāṇādīnāṃ apratyayatvāt.	SaSa vizANa AdInAm apratyaya tvAt.
   (III.29) saṃyojanaṃ yāvad yogaś cāvidyocyata iti. avidyāsaṃyojanaṃ yāvad	(III.29) saMyojanam yAvat yogaH ca avidyocyate iti. avidyA saMyojanam yAvat 
   avidyāyoga iti sūtreṣūcyate. na cābhāvamātraṃ tathā bhavitum arhatīti. na	avidyA yogaH iti sUtrezu ucyate. na ca aBAva mAtram taTA Bavitum arhati iti. na
   saṃyojanādi bhavitum arhatīty arthaḥ. na cāpi cakṣurādayas tathā bhavitum	saMyojana Adi Bavitum arhati iti arTaH. na ca api cakzuH AdayaH taTA Bavitum
   arhaṃtīty adhikṛtaṃ. sā ca dṛṣṭisvabhāveti nāvidyā yujyata iti.	arhaMti iti aDikRtaM. sA ca dRzwi svaBAva iti na avidyA yujyate iti.
   dṛṣṭyavidyayoḥ saṃyojanāditvena pṛthakpāṭhāt. yā tarhi na dṛṣṭir iti. yā	dRzwi avidyayoH saMyojana Adi tvena pRTak pAWAt. yA tarhi na dRzwiH iti. yA
   kliṣṭā prajñā rāgādisaṃprayuktā.	klizwA prajQA rAga Adi saMprayuktA.
   dṛṣṭes tatsaṃprayuktatvād	dRzweH tad saMprayukta tvAt 
   iti. avidyāsaṃprayuktatvād ity arthaḥ. kathaṃ ca dṛṣṭir avidyayā	iti. avidyA saMprayukta tvAt iti arTaH. kaTam ca dRzwiH avidyayA
   saṃprayuktā. yasmād avidyālakṣaṇo mohaḥ kleśamahābhūmau paṭhyate.	saMprayuktA. yasmAt avidyA lakzaNaH mohaH kleSa mahA BUmO paWyate.
   kleśamahābhūmikāś ca sarve 'pi mahābhūmikaiḥ saha saṃprayujyanta iti.	kleSa mahA BUmikAH ca sarve api mahA BUmikEH saha saMprayujyante iti.
   dṛṣṭyā satkāyadṛṣṭyādikayā prajñāsvabhāvayā avidyā saṃprayujyata iti	dRzwyA sat kAya dRzwi AdikayA prajQAsvaBAvayA avidyA saMprayujyate iti
   gamyate. tasmān nāvidyā prajñā. dvayoḥ prajñādravyayor [Tib. 291a]	gamyate. tasmAt na avidyA prajQA. dvayoH prajQA dravyayoH [Tib. 291a]
   asaṃprayogāt. avidyopakliṣṭā prajñā na viśudhyatīti. etad udāharaṇaṃ.	asaMprayoga at. avidyA upaklizwA prajQA na viSuDyati iti. etat udAharaNaM.
   yenāvidyā prajñāyā arthāntarabhūteti. na ca saiva prajñā tasyāḥ prajñāyā	yena avidyA prajQAyAH arTa antara BUta iti. na ca sA eva prajQA tasyAH prajQAyA
   upakleśo yukta iti. prajñopakleśadeśanāyāṃ prajñāyā arthāntarabhūtā	upakleSaH yuktaH iti. prajQA upakleSa deSanAyAm prajQAyAH arTa antara BUtA
   avidyā. upakleśatvena nirdiṣṭatvāt. rāgavat. ata āha. yathā cittasyānya	avidyA. upakleSa tvena nirdizwa tva at. rAgavat. atas Aha. yaTA cittasya anya
   iti vistaraḥ. vyavakīryamāṇā na viśudhyatīti. antarāntarotpadyamānayā	iti vistaraH. vyavakIryamANA na viSuDyati iti. antarA antara utpadyamAnayA
   kliṣṭayā prajñayā vyavakīryamāṇā kṣaṇāntarotpannā kuśalā prajñā na	klizwayA prajQayA vyavakIryamANA kzaNa antara utpannA kuSalA prajQA na
   viśudhyatīty arthaḥ. kiṃ tad avaśyaṃ rāgaparyavasthitam iti.	viSuDyati iti arTaH. kim tat avaSyam rAga paryavasTitam iti.
   rāgasaṃprayuktam ity arthaḥ. upahataṃ tu tat tathā rāgeṇeti. na	rAga saMprayuktam iti arTaH. upahatam tu tat taTA rAgeNa iti. na
   samudācaratā rāgeṇa. vāsanādhānena tad upahataṃ bhavati. tāṃ vāsanāṃ tad	samudAcaratA rAgeNa. vAsanADAnena tat upahatam Bavati. tAm vAsanAm tat 
   dauṣṭhulyaṃ vyāvartayato yoginaḥ tac cittaṃ vimucyate. evam avidyopahatā	dOzWulyam vyAvartayataH yoginaH tat cittam vimucyate. evam avidyA upahatA
   kliṣṭā prajñā na śudhyatīti. ataḥ prajñā cāvidyā ca na doṣa iti darśayati.	klizwA prajQA na SuDyati iti. atas prajQA ca avidyA ca na dozaH iti darSayati.
   ko hi parikalpayan (Abhidh k vy 302) vāryata iti. parikalpanāmātram etad	kaH hi parikalpayan (a aBiD k vI 302) vAryatas iti. parikalpanA mAtram etat 
   āgamanirapekṣam iti kathayati.	Agama nirapekzam iti kaTayati.
   yo 'pi manyate sarvakleśā avidyeti. bhadantaśrīlātaḥ. evaṃ manyate.	yaH api manyate sarva kleSAH avidyA iti. Badanta SrI lAtaH. evam manyate.
   avidyeti sarvakleśānām iyaṃ sāmānyasaṃjñā. [Tib. 291b] na	avidyA iti sarva kleSAnAm iyam sAmAnya saMjQA. [Ti b. 291b] na
   rāgādikleśavyatiriktāvidyā nāmāstīti. kasmāt evaṃ manyate. buddhasūtrāt.	rAga Adi kleSa vyatiriktA avidyA nAma asti iti. kasmAt evam manyate. budDa sUtrAt.
   na ca prajānāti na ca prajānātīty āyuṣman mahākauṣṭhila tasmād avidyocyata	na ca prajAnAti na ca prajA anAti iti Ayuzmat mahAkOzWila tasmAt avidyA ucyata
   iti. satkāyadṛṣṭyādayo 'pi kleśā ajñānasvarūpā viparītagrahaṇata iti.	iti. satkAya dRzwi AdayaH api kleSAH ajQAna svarUpA viparIta grahaNataH iti.
   tasyāpy ata eveti vistaraḥ. tasya bhadantasyāta eva pratiṣedhavacanād	tasya api atas eva iti vistaraH. tasya Badantasya atas eva pratizeDa vacanAt 
   vyudāsaḥ. pratiṣedhas tanmatasyety adhyāhāryaṃ. katham ity āhā.	vyudAsaH. pratizeDaH tad matasya iti aDyAhAryan. kaTam iti AhA.
   sarvakleśasvabhāvā hi satī saṃyojanādiṣu pṛthaṅ nocyeta.	sarva kleSa svaBAvA hi satI saMyojana Adizu pRTak na ucyeta.
   anunayasaṃyojanādiṣv avidyāsaṃyojanam iti pṛthaṅ nocyeta.	anunaya saMyojana Adizu avidyA saMyojanam iti pRTak na ucyeta.
   śeṣasaṃyojanāvyatirekāt. rāgo baṃdhanaṃ dveṣo bandhanam ity uktvā moho	Seza saMyojana avyatireka at. rAgaH baMDanam dvezaH banDanam iti uktvA mohaH 
   bandhanam iti. kāmarāgānuśaya ityādi uktvā avidyānuśaya iti. ogheṣv	banDanam iti. kAma rAga anuSayaH ityAdi uktvA avidyA anuSayaH iti. oGezu 
   avidyaugha iti. yogeṣv avidyāyoga iti pṛthaṅ naivocyeta. kasmāt.	avidya oGaH iti. yogezu avidyA yogaH iti pRTak na eva ucyeta. kasmAt .
   parasparāsaṃprayogāt. na hi dṛṣṭir dṛṣṭyā saṃprayujyate. rāgo vā rāgeṇa.	paraspara asaMprayoga at. na hi dRzwiH dRzwyA saMprayujyate. rAgaH vA rAgeNa.
   dṛṣṭyādisaṃprayuktā cāvidyoktā. kleśamahābhūmikatvena	dRzwi Adi saMprayuktA ca avidyA uktA. kleSa mahA BUmika tvena
   mahābhūmikasaṃprayoganiyamāt. cittam api cāvidyopakliṣṭam evoktaṃ bhavet.	mahA BUmika saMprayoga niyamAt. cittam api ca avidyA upaklizwam eva uktam Bavet .
   [Tib. 292a] rāgopakliṣṭaṃ cittaṃ na vimucyata iti noktaṃ bhavet.	[Tib. 292a] rAga upaklizwam cittam na vimucyate iti na uktam Bavet .
   avidyopakliṣṭatvavacanenaiva rāgādyupakliṣṭatvasiddheḥ. atha mataṃ	avidyA upaklizwa tva vacanena eva rAga Adi upaklizwa tva sidDeH. aTa matam
   viśeṣaṇārthaṃ tathoktam iti. rāgalakṣaṇayāvidyayopakliṣṭacittaṃ na	viSezaNa arTam taTA uktam iti. rAga lakzaNayA avidyayA upaklizwa cittam na
   vimucyata iti. prajñāyām api viśeṣaṇaṃ kartavyaṃ syāt. rāgeṇa pratighena	vimucyate iti. prajQAyAm api viSezaNam kartavyam syAt. rAgeNa pratiGena
   mānena veti mā bhūt sarvakleśagrahaṇaprasaṃga iti. iṣṭa iti cet. citte 'pi	mAnena vA iti mA BUt sarva kleSa grahaNa prasaMgaH iti. izwaH iti cet. citte api
   na viśeṣaṇaṃ kartavyaṃ syāt. avidyopakliṣṭaṃ cittaṃ na vimucyata ity evam	na viSezaNam kartavyam syAt. avidyA upaklizwam cittam na vimucyate iti evam
   eva tu vaktavyaṃ syāt.	eva tu vaktavyam syAt .
   saṃprakhyānaṃ prajñā jñānam ity eko 'rthaḥ. tathaiva dośo yathāvidyāyām	saMpraKyAnam prajQA jQAnam iti ekaH arTaH. taTA eva doSaH yaTAvidyAyAm
   iti. athāsaṃprakhyānam iti ko 'rthaḥ. yan va saṃprakhyānaṃ. cakṣurādiṣv	iti. aTa asaMpraKyAnam iti kaH arTaH. yat va saMpraKyAnaM. cakzuH Adizu 
   api prasaṃgaḥ. saṃprakhyānābhāvas tarhi. evaṃ sati na kiṃ cit syāt. na	api prasaMgaH. saMpraKyAna aBAvaH tarhi. evam sati na kim cit syAt. na
   caitad yuktam iti. atha saṃprakhyānavipakṣabhūtaṃ dharmāntaraṃ. tad idaṃ	ca etat yuktam iti. aTa saMpraKyAna vipakza BUtam Darma antaran. tat idam
   tathaiva na jñāyate. yathaivāvidyā. kiṃ tad iti. evaṃjātīyako 'pīti	taTA eva na jQAyate. yaTA eva avidyA. kim tat iti. evaMjAtIyakaH api iti
   vistaraḥ. evaṃjātīyakaḥ karmaprabhāvita ity arthaḥ. tasmād avidyāyāḥ	vistaraH. evaMjAtIyakaH karma praBAvitaH iti arTaH. tasmAt avidyAyAH
   karmaṇaḥ kāritreṇa svabhāvo vijñātavyaḥ. asty asau kaścid dharma yo	karmaNaH kAritreNa svaBAvaH vijQAtavyaH. asti asO kaScid Darma yaH 
   vidyāvipakṣa iti vidyāvipakṣatvaṃ tasyāḥ karmeti. [Tib. 292b] tadyathā	vidyA vipakzaH iti vidyA vipakza tvam tasyAH karma iti. [Ti b. 292b] tat yaTA
   cakṣuḥ katamat. yo rūpaprasādaś cakṣurvijñānasyāśraya iti. nanu ca	cakzuH katamat. yaH rUpa prasAdaH cakzuH vijQAnasya ASrayaH iti. nanu ca
   rūpaprasāda iti svabhāvaprabhāvito 'sya nirdeśa iti. na. apratyakṣatvāt.	rUpa prasAdaH iti svaBAva praBAvitaH asya nirdeSaH iti. na. apratyakza tvAt.
   nityaṃ cakṣurvijñānānumeyatvāc ca. asmīti sattvamayateti. avijñātārtham	nityam cakzuH vijQAna anumeya tvAt ca. asmi iti sattva maya tA iti. avijQAta arTam
   etat. na tena sthavireṇāsyābhidheyam avadhāritaṃ. mayatā punaḥ	etat. na tena sTavireNa asya aBiDeyam avaDAritan. maya tA punar 
   sautrāṃtikair avidyā prakārabhinnā varṇyate. māno vā. yāsau sūtra ukteti	sOtra aMtikEH avidyA prakAra BinnA varNyate. mAnaH vA. yA asO sUtre uktA iti
   vistaraḥ. mayatānām ity avidyānāṃ prakārabhinnānāṃ (Abhidh k vy 303)	vistaraH. mayatAnAm iti avidyAnAm prakAra BinnAnAm (a aBiD k vI 303)
   nāmeti grahaṇaṃ. tṛṣṇādīnāṃ pṛthagupadeśād iti	nAma iti grahaNaM. tRzNA AdInAm pRTak upadeSAt iti
   bhadantadharmatrātasyābhiprāyaḥ. ācārya āha. asty eṣā mayatā. asti sūtre	Badanta Darma trAtasya aBiprAyaH. AcAryaH Aha. asti ezA maya tA. asti sUtre
   uktā mayatā. tatra jātinirdeśād ekavacanaṃ. sā tv avidyeti. kutaḥ kāraṇād	uktA mayatA. tatra jAti nirdeSAt eka vacanan. sA tu avidyA iti. kutas kAraNAt 
   etat paricchidyate. sāvidyeti. bhadantadharmatrātaḥ svābhiprāyaṃ vivṛṇoti.	etat paricCidyate. sA avidyA iti. Badanta Darma trAtar sva aBiprAyam vivRNoti.
   yata eṣā nānyaḥ kleśaḥ śakyate vaktum iti. kasmān na śakyate.	yatas ezA na anyaH kleSaH Sakyate vaktum iti. kasmAt na Sakyate.
   tṛṣṇādṛṣṭyasmimānānāṃ pṛthagukteḥ. ācārya āha. nanu cānyo māna eva syād	tRzNA dRzwi asmimAnAnAm pRTak ukteH. AcAryaH Aha. nanu ca anyaH mAnaH eva syAt 
   iti. asmimānād anyaḥ ṣaṇṇām anyatamaḥ sa ca mayatā. navidyety abhiprāyaḥ.	iti. asmimAnAt anyaH zaNNAm anyatamaH sa ca maya tA. navidyA iti aBiprAyaH.
   atra tu punar vicāryamāṇe bahu vaktavyaṃ jāyata iti. atra punar	atra tu punar vicAryamANe bahu vaktavyam jAyate iti. atra punar 
   vicāryamāṇe 'vidyāṃge [Tib. 293a] bahur ayaṃ grantho jāyate. yathoktam	vicAryamANe avidyA aMge [Tib. 293a] bahuH ayam granTaH jAyate. yaTA uktam
   iti. tasmāt tiṣṭhatv etad etāvad evāstv iti. atha vānyo māṇa eva syāt. na	iti. tasmAt tizWatu etat etAvat eva astu iti. aTa vA anyaH mANaH eva syAt. na
   punar avidyeti. kuta etad ity evamādike punar vicāre kriyamāṇe.	punar avidyA iti. kutas etat iti evam Adike punar vicAre kriyamANe.
   uttarapratyuttaravacanena bahu vaktavyaṃ jāyate. tasmāt tiṣṭhatv etad alaṃ	uttara pratyuttara vacanena bahu vaktavyam jAyate. tasmAt tizWatu etat alam
   vicārāntareṇety arthaḥ.	vicAra antareNa iti arTaH.
   (III.30a) atha nāmarūpam iti. avidyāṃganirdeśānantaraṃ saṃskārāṃgaṃ	(III.30a) aTa nAma rUpam iti. avidyAMga nirdeSa anantaram saMskAra aMgam
   nirdeṣṭavyaṃ. tadanu vijñānāṃgaṃ. kim ity etad atikramyopanyaste. etad	nirdezwavyaM. tadanu vijQAna aMgan. kim iti etat atikramya upanyaste. etat 
   artham atra vakṣyaty ācāryaḥ.	arTam atra vakzyati AcAryaH.
   uktaṃ ca vakṣyate cānyad	uktam ca vakzyate ca anyat 
   iti. rūpaṃ vistareṇoktam iti.	iti. rUpam vistareNa uktam iti.
