   Pāṇḍulohitakavastu	PANxu-lohitakavaH-tu
   saṃghāvaśeṣām āpattim āpanno antarāpattiṃ pūrvāpattipratirūpāṃ	saMGO=-aSezAm Apattim ApannaH antarApattim pUrva-Apatti-pratirUpAm
   praticchannāṃ / tena mayā udāyinā bhikṣuṇā asyāḥ saṃghāvaśeṣāyā āpatter	praticCannAm / tena mayA udAyinA BikzuNA asyAH saMGa-avaSezAyAH ApatteH-
   antarāpatteḥ pūrvāpattipratirūpāyāḥ (300r1 = GBM 912) praticchannāyāḥ	antarApatteH pUrva-Apatti-pratirUpAyAH (300r1  GBm 912) praticCannAyAH
   saṃghān mūlaparivāso yācitaḥ / dattaḥ saṃghena mamodāyino bhikṣor asyāḥ	saMGAn mUla-parivAsaH yAcitaH / dattaH saMGena mama-udAyinaH BikzoH asyAH
   saṃghāvaśeṣāyā āpatter antarāpatteḥ pūrvāpattipratirūpāyāḥ praticchannāyā	saMGa-avaSezAyAH ApatteH antarApatteH pUrva-Apatti-pratirUpAyAH praticCannAyA
   mūlaparivāsaḥ / so 'haṃ mūlapārivāsika eva san* saṃghāvaśeṣām āpattim	mUla-parivAsaH / saH aham mUla-pArivAsikaH eva san* saMGa-a=-aSezAm Apattim
   āpannaḥ pratyantarāpattim antarāpattipratirūpāṃ praticchannāṃ / tena mayā	ApannaH pratyantara-Apattim antarApatti-pratirUpAm praticCannAm / tena mayA
   udāyinā bhikṣuṇā asyāḥ saṃghāvaśeṣāyāḥ āpatter pratyantarāpatter	udAyinAH BikzuNA asyAH saMGa-avaSezAyAH ApatteH pratyantara-ApatteH-
   antarāpattipratirūpāyāḥ praticchannāyāḥ saṃghān mūlāpakarṣo yācitaḥ /	antarApatti-pratirUpAyAH praticCannAyAH saMGAn mUla-apakarzaH yAcitaH /
   dattaḥ saṃghena mamodāyino bhikṣor asyāḥ saṃghāvaśeṣāyāḥ pratyantarāpatter	dattaH saMGena mama-udAyinaH BikzoH asyAH saMGa-avaSezAyAH pratyantara-ApatteH-
   antarāpattipratirūpāyāḥ praticchannāyā mūlāpakarṣaḥ / tena mayā udāyinā	antarApatti-pratirUpAyAH praticCannAyAH mUla-apakarzaH / tena mayA udAyinA
   bhikṣuṇā saṃghāvaśeṣāyā āpatteḥ saṃcintyaśukravisṛṣṭisamutthitāyā	BikzuNA saMGa-avaSezAyAH ApatteH saMcintya-Sukra-visRzwi-samutTitAyAH-
   ardhamāpraticchannāyāḥ paryuṣitaparivāsena antarāpatteḥ	arDamA-praticCannAyAH paryuzita-parivAsena antarApatteH
   pūrvāpattipratirūpāyāḥ praticchannāyā mūlaparivāsaparyuṣitena	pUrva-Apatti-pratirUpAyAH praticCannAyAH mUla-parivAsa-paryuzitena
   pratyantarāpatter antarāpattipratirūpāyāḥ praticchannāyā	pratyantara-ApatteH antarApatti-pratirUpAyAH praticCannAyA
   mūlāpakarṣaparyuṣitena saṃghāt ṣaḍrātraṃ mānāpyaṃ yācitaṃ / dattaṃ	mUla-apakarza-paryuzitena saMGAt zaz-rAtram mAnApyam yAcitam / dattam
   saṃghena mamodāyino bhikṣor asyāḥ saṃghāvaśeṣāyā āpatteḥ	saMGena mama-udAyinaH BikzoH asyAH saMGa-avaSezAyAH ApatteH
   saṃcintyaśukravisṛṣṭisamutthitāyā ardhamāsapraticchannāyāḥ	saMcintya-Sukra-visRzwi-samutTitAyAH arDa-mAsa-praticCannAyAH
   paryuṣitaparivāsasya antarāpatteḥ pūrvāpattipratirūpāyāḥ praticchannāyā	paryuzita-parivAsasya antarApatteH pUrva-Apatti-pratirUpAyAH praticCannAyA
   mūlaparivāsaparyuṣitasya pratyantarāpatter antarāpattipratirūpāyāḥ	mUla-parivAsa-paryuzitasya pratyantara-ApatteH antarApatti-pratirUpAyAH
   praticchannāyā mūlāpakarṣaparyuṣitasya ṣaḍrātraṃ mānāpyaṃ / so 'ham udāyī	praticCannAyAH mUla-apakarza-paryuzitasya zaz-rAtram mAnApyam / saH aham udAyI
   bhikṣur asyāḥ saṃghāvaśeṣāyā āpatteḥ saṃcintyaśukravisṛṣṭisamutthitāyā	BikzuH asyAH saMGa-avaSezAyAH ApatteH saMcintya-Sukra-visRzwi-samutTitAyAH-
   ardhamāsapraticchannāyāḥ paryuṣitaparivāsaḥ antarāpatteḥ	arDa-mAsa-praticCannAyAH paryuzita-parivAsaH antarApatteH
   pūrvāpattipratirūpāyāḥ praticchannāyā mūlaparivāsaparyuṣitaḥ	pUrva-Apatti-pratirUpAyAH praticCannAyAH mUla-parivAsa-paryuzitaH
   pratyantarāpatter antarāpattipratirūpāyāḥ praticchannāyā	pratyantara-ApatteH antarApatti-pratirUpAyAH praticCannAyA
   mūlāpakarṣaparyuṣitaḥ ṣaḍrātraṃ caritamānāpayaṃ / kiṃ mayā karaṇīyaṃ ity /	mUla-apakarza-paryuzitaH zaz-rAtram carita-mAna-apayam / kim mayA karaNIyam iti /
   etat prakaraṇaṃ bhikṣavo bhagavata ārocayanti / bhagavān āha / āvarhata	etat prakaraNam BikzavaH BagavataH Arocayanti / BagavAn Aha / Avarhata
   yūyaṃ bhikṣava udāyinaṃ bhikṣum asyāḥ saṃghāvaśeṣāyā āpatteḥ	yUyam BikzavaH udAyinam Bikzum asyAH saMGa-avaSezAyAH ApatteH
   saṃcintyaśukravisṛṣṭisamutthitāyā ardhamāsapraticchannāyāḥ	saMcintya-Sukra-visRzwi-samutTitAyAH arDa-mAsa-praticCannAyAH
   paryuṣitaparivāsam āntarāpatteḥ pūrvāpattipratirūpāyāḥ praticchannāyā	paryuzita-parivAsam Antara-ApatteH pUrva-Apatti-pratirUpAyAH praticCannAyA
   mūlaparivāsaparyuṣitaṃ pratyantarāpatter antarāpattipratirūpāyāḥ	mUla-parivAsa-paryuzitam pratyantara-ApatteH antarApatti-pratirUpAyAH
   praticchannāyā mūlāpakarṣaparyuṣitaṃ ṣaḍrātraṃ caritamānāpyam iti / yo vā	praticCannAyAH mUla-apakarza-paryuzitam zaz-rAtram caritam-AnApyam iti / yaH vA
   punar anyo 'py evaṃjātīyaḥ /	punar anyaH api evaMjAtIyaH /
   Pāṇḍ-v 7.5.2 evaṃ ca punar avahitavyaḥ / śayanāsanaprajñaptiṃ kṛtvā gaṇḍīm	PANx-u 7.5.2 evam ca punar avahitavyaH / Sayana-Asana-prajQaptim kRtvA gaNxIm
   ākoṭya pṛṣṭavācikayā bhikṣūn samanuyujya sarvasaṃghe saṃniṣaṇṇe	Akowya pRzwa-vAcikayA BikzUn samanuyujya sarva-saMGe saMnizaNNe
   saṃnipatite udāyinā bhikṣuṇā vṛddhānte utkuṭukena sthitvā añjaliṃ pragṛhya	saMnipatite udAyinA BikzuNA vRdDAnte utkuwukena sTitvA aQjalim pragRhya
   idaṃ syād vacanīyam Ś	idam syAt vacanIyam Ś
   Pāṇḍ-v 7.5.3 śṛṇotu bhadantaḥ saṃghaḥ / aham udāyī bhikṣuḥ saṃghāvaśeṣām	PANx-u 7.5.3 SRNotu BadantaH saMGaH / aham udAyI BikzuH saMGa-avaSezAm
   āpattim āpannaḥ saṃcintyaśukravisṛṣṭisamutthitām ardhamāsapraticchannāṃ /	Apattim ApannaH saMcintya-Sukra-visRzwi-samutTitAm arDa-mAsa-praticCannAm /
   tena mayā udāyinā bhikṣuṇā asyāḥ saṃghāvaśeṣāyā āpatteḥ	tena mayA udAyinA BikzuNA asyAH saMGa-avaSezAyAH ApatteH
   saṃcintyaśukravisṛṣṭisamutthitāyā ardhamāsapraticchannāyāḥ saṃghād	saMcintya-Sukra-visRzwi-samutTitAyAH arDa-mAsa-praticCannAyAH saMGAd
   ardhamāsaṃ parivāso yācitaḥ / dattaḥ saṃghena mamodāyino bhikṣor asyāḥ	arDa-mAsam parivAsaH yAcitaH / dattaH saMGena mama-udAyinaH BikzoH asyAH
   (300v1 = GBM 913) saṃghāvaśeṣāyā āpatteḥ saṃcintyaśukravisṛṣṭisamutthitāyā	(300v1  GBm 913) saMGa-avaSezAyAH ApatteH saMcintya-Sukra-visRzwi-samutTitAyAH-
   ardhamāsapraticchannāyāḥ ardhamāsaṃ parivāsaḥ / so 'haṃ pārivāsika eva	arDa-mAsa-praticCannAyAH arDa-mAsam parivAsaH / saH aham pArivAsikaH eva
   san* saṃghāvaśeṣām āpattim āpannaḥ antarāpattiṃ pūrvāpattipratirūpāṃ	san* saMGa-a=-aSezAm Apattim ApannaH antarApattim pUrva-Apatti-pratirUpAm
   praticchannāṃ / tena mayā udāyinā bhikṣuṇā asyāḥ saṃghāvaśeṣāyā āpatteḥ	praticCannAm / tena mayA udAyinA BikzuNA asyAH saMGa-avaSezAyAH ApatteH
   antarāpatteḥ pūrvāpattipratirūpāyāḥ praticchannāyāḥ saṃghān mūlaparivāso	antarApatteH pUrva-Apatti-pratirUpAyAH praticCannAyAH saMGAn mUla-parivAsaH-
   yācitaḥ / dattaḥ saṃghena mamodāyino bhikṣor asyāḥ saṃghāvaśeṣāyā āpatter	yAcitaH / dattaH saMGena mama-udAyinaH BikzoH asyAH saMGa-avaSezAyAH ApatteH-
   antarāpatteḥ pūrvāpattipratirūpāyāḥ praticchannāyā mūlaparivāsaḥ / so 'haṃ	antarApatteH pUrva-Apatti-pratirUpAyAH praticCannAyAH mUla-parivAsaH / saH aham
   mūlapārivāsika eva san* saṃghāvaśeṣām āpattim āpannaḥ pratyantarāpattim	mUla-pArivAsikaH eva san* saMGa-a=-aSezAm Apattim ApannaH pratyantara-Apattim
   antarāpattipratirūpāṃ praticchannāṃ / tena mayā udāyinā bhikṣuṇā asyāḥ	antarApatti-pratirUpAm praticCannAm / tena mayA udAyinA BikzuNA asyAH
   saṃghāvaśeṣāyāḥ āpatteḥ pratyantarāpatter antarāpattipratirūpāyāḥ	saMGa-avaSezAyAH ApatteH pratyantara-ApatteH antarApatti-pratirUpAyAH
   praticchannāyāḥ saṃghān mūlāpakarṣo yācitaḥ / dattaḥ saṃghena mamodāyino	praticCannAyAH saMGAn mUla-apakarzaH yAcitaH / dattaH saMGena mama-udAyino
   bhikṣor asyāḥ saṃghāvaśeṣāyāḥ pratyantarāpatteḥ antarāpattipratirūpāyāḥ	BikzoH asyAH saMGa-avaSezAyAH pratyantara-ApatteH antarApatti-pratirUpAyAH
   praticchannāyā mūlāpakarṣaḥ / tena mayā udāyinā bhikṣuṇā asyāḥ	praticCannAyAH mUla-apakarzaH / tena mayA udAyinA BikzuNA asyAH
   saṃghāvaśeṣāyā āpatteḥ saṃcintyaśukravisṛṣṭisamutthitāyā	saMGa-avaSezAyAH ApatteH saMcintya-Sukra-visRzwi-samutTitAyAH-
   ardhamāsapraticchannāyāḥ paryuṣitaparivāsena antarāpatteḥ	arDa-mAsa-praticCannAyAH paryuzita-parivAsena antarApatteH
   pūrvāpattipratirūpāyāḥ praticchannāyā mūlaparivāsaparyuṣitena	pUrva-Apatti-pratirUpAyAH praticCannAyAH mUla-parivAsa-paryuzitena
   pratyantarāpatter antarāpattipratirūpāyāḥ praticchannāyā	pratyantara-ApatteH antarApatti-pratirUpAyAH praticCannAyA
   mūlāpakarṣaparyuṣitena ṣaḍrātraṃ mānāpyaṃ yācitaṃ / dattaṃ saṃghena	mUla-apakarza-paryuzitena zaz-rAtram mAnApyam yAcitam / dattam saMGena
   mamodāyino bhikṣor asyāḥ saṃghāvaśeṣāyā āpatteḥ	mama-udAyinaH BikzoH asyAH saMGa-avaSezAyAH ApatteH
   saṃcintyaśukravisṛṣṭisamutthitāyā ardhamāsapraticchannāyāḥ	saMcintya-Sukra-visRzwi-samutTitAyAH arDa-mAsa-praticCannAyAH
   paryuṣitaparivāsasya antarāpatteḥ pūrvāpattipratirūpāyāḥ praticchannāyā	paryuzita-parivAsasya antarApatteH pUrva-Apatti-pratirUpAyAH praticCannAyA
   mūlaparivāsaparyuṣitasya pratyantarāpatter antarāpattipratirūpāyāḥ	mUla-parivAsa-paryuzitasya pratyantara-ApatteH antarApatti-pratirUpAyAH
   praticchannāyā mūlāpakarṣaparyuṣitasya ṣaḍrātramānāpyaṃ / so 'ham udāyī	praticCannAyAH mUla-apakarza-paryuzitasya zaz-rAtram-AnApyam / saH aham udAyI
   bhikṣur asyāḥ saṃghāvaśeṣāyā āpatteḥ saṃcintyaśukravisṛṣṭisamutthitāyā	BikzuH asyAH saMGa-avaSezAyAH ApatteH saMcintya-Sukra-visRzwi-samutTitAyAH-
   ardhamāsapraticchannāyāḥ paryuṣitaparivāsaḥ antarāpatteḥ	arDa-mAsa-praticCannAyAH paryuzita-parivAsaH antarApatteH
   pūrvāpattipratirūpāyāḥ praticchannāyā mūlaparivāsaparyuṣitaḥ	pUrva-Apatti-pratirUpAyAH praticCannAyAH mUla-parivAsa-paryuzitaH
   pratyantarāpatter antarāpattipratirūpāyāḥ praticchannāyā	pratyantara-ApatteH antarApatti-pratirUpAyAH praticCannAyA
   mūlāpakarṣaparyuṣitaḥ ṣaḍrātraṃ cīrṇamānāpyaṃ saṃghād āvarhaṇaṃ yāce /	mUla-apakarza-paryuzitaH zaz-rAtram cIrNam-AnApyam saMGAt AvarhaNam yAce /
   āvarhatu māṃ bhadantāḥ saṃghaḥ udāyinaṃ bhikṣum asyāḥ saṃghāvaśeṣāyā	Avarhatu mAm BadantAH saMGaH udAyinam Bikzum asyAH saMGa-avaSezAyA
   āpatteḥ saṃcintyaśukravisṛṣṭisamutthitāyā ardhamāsapraticchannāyāḥ	ApatteH saMcintya-Sukra-visRzwi-samutTitAyAH arDa-mAsa-praticCannAyAH
   paryuṣitaparivāsam āntarāpatteḥ pūrvāpattipratirūpāyāḥ praticchannāyā	paryuzita-parivAsam Antara-ApatteH pUrva-Apatti-pratirUpAyAH praticCannAyA
   mūlaparivāsaparyuṣitaṃ pratyantarāpatter antarāpattipratirūpāyāḥ	mUla-parivAsa-paryuzitam pratyantara-ApatteH antarApatti-pratirUpAyAH
   praticchannāyā mūlāpakarṣaparyuṣitaṃ ṣaḍrātraṃ cīrṇamānāpyam anukaṃpakaḥ	praticCannAyAH mUla-apakarza-paryuzitam zaz-rAtram cIrNam-AnApyam anukaMpakaH
   anukaṃpām upādāyeti Ś evaṃ dvir api trir api /	anukaMpAm upAdAya-iti Ś evam dvis api tris api /
   Pāṇḍ-v 7.5.4 tataḥ paścād ekena bhikṣuṇā jñaptiṃ kṛtvā karma kartavyaṃ /	PANx-u 7.5.4 tatas paScAt ekena BikzuNA jQaptim kRtvA karma kartavyam /
   śṛṇotu bhadantāḥ saṃghaḥ / ayam udāyī bhikṣuḥ saṃghāvaśeṣām āpattim	SRNotu BadantAH saMGaH / ayam udAyI BikzuH saMGa-a=-aSezAm Apattim
   āpannaḥ saṃcintyaśukravisṛṣṭisamutthitām ardhamāsapraticchannāṃ / tenānena	ApannaH saMcintya-Sukra-visRzwi-samutTitAm arDa-mAsa-praticCannAm / tena-anena
   udāyinā bhikṣuṇā (301r1 = GBM 914) asyāḥ saṃghāvaśeṣāyā āpatteḥ	udAyinA BikzuNA (301r1  GBm 914) asyAH saMGa-avaSezAyAH ApatteH
   saṃcintyaśukravisṛṣṭisamutthitāyā ardhamāsapraticchannāyāḥ saṃghād	saMcintya-Sukra-visRzwi-samutTitAyAH arDa-mAsa-praticCannAyAH saMGAd
   ardhamāsaparivāso yācitaḥ / datto 'sya saṃghenodāyino bhikṣor asyāḥ	arDa-mAsa-parivAsaH yAcitaH / dattaH asya saMGena-udAyinaH BikzoH asyAH
   saṃghāvaśeṣāyā āpatteḥ saṃcintyaśukravisṛṣṭisamutthitāyā	saMGa-avaSezAyAH ApatteH saMcintya-Sukra-visRzwi-samutTitAyAH-
   ardhamāsapraticchannāyā ardhamāsaṃ parivāsaḥ / so 'yaṃ pārivāsika eva san*	arDa-mAsa-praticCannAyAH arDa-mAsam parivAsaH / saH ayam pArivAsikaH eva san*
   saṃghāvaśeṣām āpattim āpannaḥ antarāpattiṃ pūrvāpattipratirūpāṃ	saMGO=-aSezAm Apattim ApannaH antarApattim pUrva-Apatti-pratirUpAm
   praticchannāṃ / tenānena udāyinā bhikṣuṇā asyāḥ saṃghāvaśeṣāyā āpatter	praticCannAm / tena-anena udAyinA BikzuNA asyAH saMGa-avaSezAyAH ApatteH-
   antarāpatteḥ pūrvāpattipratirūpāyāḥ praticchannāyā mūlaparivāso yācitaḥ /	antarApatteH pUrva-Apatti-pratirUpAyAH praticCannAyAH mUla-parivAsaH yAcitaH /
   datto 'sya saṃghena udāyino bhikṣor asyāḥ saṃghāvaśeṣāyā āpatter	dattaH asya saMGena udAyinaH BikzoH asyAH saMGa-avaSezAyAH ApatteH-
   antarāpatteḥ pūrvāpattipratirūpāyāḥ praticchannāyā mūlaparivāsaḥ / so 'yaṃ	antarApatteH pUrva-Apatti-pratirUpAyAH praticCannAyAH mUla-parivAsaH / saH ayam
   mūlapārivāsika eva san* saṃghāvaśeṣām āpattim āpannaḥ pratyantarāpattim	mUla-pArivAsikaH eva san* saMGa-a=-aSezAm Apattim ApannaH pratyantara-Apattim
   antarāpattipratirūpāṃ praticchannāṃ / tenānena udāyinā bhikṣuṇā asyāḥ	antarApatti-pratirUpAm praticCannAm / tena-anena udAyinA BikzuNA asyAH
   saṃghāvaśeṣāyāḥ pratyantarāpatter antarāpattipratirūpāyāḥ praticchannāyāḥ	saMGa-avaSezAyAH pratyantara-ApatteH antarApatti-pratirUpAyAH praticCannAyAH
   saṃghān mūlāpakarṣo yācitaḥ / datto 'sya saṃghena udāyino bhikṣor asyāḥ	saMGAn mUla-apakarzaH yAcitaH / dattaH asya saMGena udAyinaH BikzoH asyAH
   saṃghāvaśeṣāyāḥ pratyantarāpatter antarāpattipratirūpāyāḥ praticchannāyā	saMGa-avaSezAyAH pratyantara-ApatteH antarApatti-pratirUpAyAH praticCannAyA
   mūlāpakarṣaḥ / tenānena udāyinā bhikṣuṇā asyāḥ saṃghāvaśeṣāyā āpatteḥ	mUla-apakarzaH / tena-anena udAyinA BikzuNA asyAH saMGa-avaSezAyAH ApatteH
   saṃcintyaśukravisṛṣṭisamutthitāyā ardhamāsapraticchannāyāḥ	saMcintya-Sukra-visRzwi-samutTitAyAH arDa-mAsa-praticCannAyAH
   paryuṣitaparivāsenāntarāpatteḥ pūrvāpattipratirūpāyāḥ praticchannāyā	paryuzita-parivAsena-antarApatteH pUrva-Apatti-pratirUpAyAH praticCannAyA
   mūlaparivāsaparyuṣitena pratyantarāpatter antarāpattipratirūpāyāḥ	mUla-parivAsa-paryuzitena pratyantara-ApatteH antarApatti-pratirUpAyAH
   praticchannāyā mūlāpakarṣaparyuṣitena saṃghāt* ṣaḍrātramānāpyaṃ yācitaṃ /	praticCannAyAH mUla-apakarza-paryuzitena saMGAt* zaz-rAtram-AnApyam yAcitam /
   dattam asya saṃghena udāyino bhikṣor asyāḥ saṃghāvaśeṣāyā āpatteḥ	dattam asya saMGena udAyinaH BikzoH asyAH saMGa-avaSezAyAH ApatteH
   saṃcintyaśukravisṛṣṭisamutthitāyā ardhamāsapraticchannāyāḥ	saMcintya-Sukra-visRzwi-samutTitAyAH arDa-mAsa-praticCannAyAH
   paryuṣitaparivāsasyāntarāpatteḥ pūrvāpattipratirūpāyāḥ praticchannāyā	paryuzita-parivAsasya-antarApatteH pUrva-Apatti-pratirUpAyAH praticCannAyA
   mūlaparivāsaparyuṣitasya pratyantarāpatter antarāpattipratirūpāyāḥ	mUla-parivAsa-paryuzitasya pratyantara-ApatteH antarApatti-pratirUpAyAH
   praticchannāyā mūlāpakarṣaparyuṣitasya ṣaḍrātraṃ cīrṇamānāpyaṃ / so 'yam	praticCannAyAH mUla-apakarza-paryuzitasya zaz-rAtram cIrNam-AnApyam / saH ayam
   udāyī bhikṣur asyāḥ saṃghāvaśeṣāyā āpatteḥ	udAyI BikzuH asyAH saMGa-avaSezAyAH ApatteH
   saṃcintyaśukravisṛṣṭisamutthitāyā ardhamāsapraticchannāyāḥ	saMcintya-Sukra-visRzwi-samutTitAyAH arDa-mAsa-praticCannAyAH
   paryuṣitaparivāsaḥ antarāpatteḥ pūrvāpattipratirūpāyāḥ praticchannāyā	paryuzita-parivAsaH antarApatteH pUrva-Apatti-pratirUpAyAH praticCannAyA
   mūlaparivāsaparyuṣitaḥ pratyantarāpatter antarāpattipratirūpāyāḥ	mUla-parivAsa-paryuzitaH pratyantara-ApatteH antarApatti-pratirUpAyAH
   praticchannāyā mūlāpakarṣaparyuṣitaḥ ṣaḍrātraṃ caritamānāpyaṃ saṃghād	praticCannAyAH mUla-apakarza-paryuzitaH zaz-rAtram caritam-AnApyam saMGAd
   āvarhaṇaṃ yācate / sacet saṃghasya prāptakālaṃ kṣametānujānīyāt saṃgho yat	AvarhaNam yAcate / saced saMGasya prApta-kAlam kzameta-anujAnIyAt saMGaH yat-
   saṃghaḥ udāyinaṃ bhikṣum asyāḥ saṃghāvaśeṣāyā āpatteḥ	saMGaH udAyinam Bikzum asyAH saMGa-avaSezAyAH ApatteH
   saṃcintyaśukravisṛṣṭisamutthitāyā ardhamāsapraticchannāyāḥ	saMcintya-Sukra-visRzwi-samutTitAyAH arDa-mAsa-praticCannAyAH
   paryuṣitaparivāsam antarāpatteḥ pūrvāpattipratirūpāyāḥ praticchannāyā	paryuzita-parivAsam antarApatteH pUrva-Apatti-pratirUpAyAH praticCannAyA
   mūlaparivāsaparyuṣitaṃ pratyantarāpatter antarāpattipratirūpāyāḥ	mUla-parivAsa-paryuzitam pratyantara-ApatteH antarApatti-pratirUpAyAH
   praticchannāyā mūlāpakarṣaparyuṣitaṃ ṣaḍrātraṃ caritamānāpyam āvarhed iti	praticCannAyAH mUla-apakarza-paryuzitam zaz-rAtram caritam-AnApyam Avarhet iti
   / eṣā jñaptiḥ //	/ ezA jQaptiH //
   Pāṇḍ-v 7.5.5 tataḥ paścād avasādayitavyaḥ / na (301v1 = GBM 915)	PANx-u 7.5.5 tatas paScAt avasAdayitavyaH / na (301v1  GBm 915)
   sādhūdāyin kṛtaṃ na suṣṭhu kṛtaṃ / katham idānīṃ tvaṃ tasya bhagavatas	sADu-udAyin kRtam na suzWu kRtam / kaTam idAnIm tvam tasya Bagavatas
   tathāgatasyārhataḥ samyaksaṃbuddhasyaivaṃ rāgavirāgāya	taTAgatasya-arhataH samyaksaMbudDasya-evam rAga-virAgAya
   cetovimuktaprajñāvimukte dharme deśyamāne dveṣavirāgāya mohavirāgāya	cetaH-vimukta-prajQA-vimukte Darme deSyamAne dveza-virAgAya moha-virAgAya
   cetovimuktaprajñāvimukte dharme deśyamāne idam evaṃrūpam aprāsādikaṃ kṛtam	cetaH-vimukta-prajQA-vimukte Darme deSyamAne idam evaMrUpam aprAsAdikam kRtam
   akārṣīḥ / varaṃ khalu te mohapuruṣa āśīviṣo ghoraviṣaḥ kṛṣṇasarpas	akArzIH / varam Kalu te moha-puruzaH ASIvizaH Gora-vizaH kRzNasarpas
   tīkṣṇaviṣaḥ ubhābhyāṃ pāṇibhyāṃ pratigṛhīto 'bhaviṣyat* na tv evam idam	tIkzNa-vizaH uBAByAm pANiByAm pratigRhItaH aBavizyat* na tu evam idam
   evaṃrūpam aprāsādikaṃ kṛtaṃ /	evaMrUpam aprAsAdikam kRtam /
   Pāṇḍ-v 7.5.6 dvāv imau dharmolkāṃ nirvāpayataḥ dharmālokaṃ dharmābhāṃ	PANx-u 7.5.6 dvO imO Darma-ulkAm nirvApayataH Darma-Alokam Darma-ABAm
   dharmaprabhāṃ dharmāvabhāsaṃ dharmapradīpaṃ dharmapradyotaṃ / katamau dvau	Darma-praBAm Darma-avaBAsam Darma-pradIpam Darma-pradyotam / katamO dvO
   / yaś cāpattim āpadyate yaś cāpattim āpanno yathādharmaṃ na pratikaroti //	/ yaH ca-Apattim Apadyate yaH ca-Apattim ApannaH yaTADarmam na pratikaroti //
   dvāv aghamūlaṃ na khanataḥ pratisroto na vyāyacchato na saritāṃ latāṃ	dvO aGa-mUlam na KanataH pratisrotas na vyAyacCataH na saritAm latAm
   śoṣayato na māraṃ yodhayato na māradhvajaṃ pātayato na dharmadhvajam	SozayataH na mAram yoDayataH na mAra-Dvajam pAtayataH na Darma-Dvajam
   ucchrāpayato na pāpīyasaḥ śrotaś chedayato na tathāgatasya dharmyaṃ	ucCrApayataH na pApIyasaH SrotaH CedayataH na taTAgatasya Darmyam
   dharmacakraṃ pravartitam anupravartayataḥ / katamau dvau / yaś cāpattim	Darma-cakram pravartitam anupravartayataH / katamO dvO / yaH ca-Apattim
   āpadyate yaś cāpattim āpanno yathādharmaṃ na pratikaroti /	Apadyate yaH ca-Apattim ApannaH yaTADarmam na pratikaroti /
   Pāṇḍ-v 7.5.7 anayā tvam udayinn āpattyā adeśitayā apratideśitayā abhavyo	PANx-u 7.5.7 anayA tvam udayin ApattyE adeSitayA apratideSitayA aBavyaH-
   'nityasaṃjñāyā anitye duḥkhasaṃjñāyā duḥkhe anātmasaṃjñāyā āhāre	anitya-saMjQAyAH anitye duHKa-saMjQAyAH duHKe anAtma-saMjQAyAH AhAre
   pratikūlasaṃjñāyāḥ sarvaloke anabhiratisaṃjñāyā ādīnavasaṃjñāyāḥ	pratikUla-saMjQAyAH sarva-loke anaBirati-saMjQAyAH AdInava-saMjQAyAH
   prahāṇasaṃjñāyā virāgasaṃjñāyā nirodhasaṃjñāyā maraṇasaṃjñāyā	prahANa-saMjQAyAH virAga-saMjQAyAH niroDa-saMjQAyAH maraNa-saMjQAyAH-
   aśubhasaṃjñāyā vinīlakasaṃjñāyā vipūyakasaṃjñāyā vyādhmātakasaṃjñāyā	aSuBa-saMjQAyAH vinIlaka-saMjQAyAH vipUyaka-saMjQAyAH vyADmAtaka-saMjQAyA
   vipaḍumakasaṃjñāyā vikhāditakasaṃjñāyā vilohitakasaṃjñāyā asthisaṃjñāyā	vipaxumaka-saMjQAyAH viKAditaka-saMjQAyAH vilohitaka-saMjQAyAH asTi-saMjQAyAH-
   vikṣiptakasaṃjñāyāḥ śūnyatāpratyavekṣaṇasaṃjñāyāḥ / abhavyaḥ prathamasya	vikziptaka-saMjQAyAH SUnyatA-pratyavekzaNa-saMjQAyAH / aBavyaH praTamasya
   dhyānasya dvitīyasya tṛtīyasya dhyānasya caturthasya maitryāḥ karuṇāyā	DyAnasya dvitIyasya tRtIyasya DyAnasya caturTasya mEtryAH karuNAyAH-
   muditāyā upekṣāyā ākāśānantyāyatanasya vijñānānantyāyatanasya	muditAyAH upekzAyAH AkASAnantya-Ayatanasya vijQAnAnanti-Ayatanasya
   ākiṃcanyāyatanasya naivasaṃjñānāsaṃjñāyatanasya srotaāpattiphalasya	AkiMcanya-Ayatanasya na-eva-saMjQAna-asaMjQA-Ayatanasya srotaApatti-Palasya
   sakṛdāgāmiphalasya anāgāmiphalasya ṛddhiviṣayasya divyasya śrotrasya	sakRdAgAmi-Palasya anAgAmi-Palasya RdDi-vizayasya divyasya Srotrasya
   cetaḥparyāyasya pūrvanivāsasya cyutyupapādasyāsravakṣayasya /	cetaH-paryAyasya pUrva-nivAsasya cyuti-upapAdasya-Asrava-kzayasya /
   Pāṇḍ-v 7.5.8 anayā te udāyinn āpattyā adeśitayā apratideśitayā dvayor	PANx-u 7.5.8 anayA te udAyin ApattyE adeSitayA apratideSitayA dvayoH-
   gatyor anyatarānyatarā gatiḥ pratikāṃkṣitavyā narakā vā tiryaṃco vā //	gatyoH anyatara-anyatarA gatiH pratikAMkzitavyA narakAH vA tiryaMcaH vA //
   uktaṃ bhagavatā dve praticchannakarmāntasya gatī narakā vā tiryaṃco vā /	uktam BagavatA dve praticCanna-karmAntasya gatI narakAH vA tiryaMcaH vA /
   ye me bhāṣitaṃ na śraddhāsyanti te praticchādayitavyaṃ maṃsyante Ś	ye me BAzitam na SradDAsyanti te praticCAdayitavyam maMsyante Ś
