   Kātyāyanasmṛtisāroddhāraḥ	KAtyAyana-smRti-sAra-udDAraH
   ādadītārtham evaṃ tu vyājenācaritena ca /	AdadIta-arTam evam tu vyAjena-Acaritena ca /
   karmaṇā kṣatraviśśūdrān samahīnāṃś ca dāpayet // K_586 //	karmaNA kzatra-viS-SUdrAn sama-hInAn ca dApayet // K_586 //
   rājānaṃ svāminaṃ vipraṃ sāntvenaiva pradāpayet /	rAjAnam svAminam vipram sAntvena-eva pradApayet /
   rikthinaṃ suhṛdaṃ vāpi cchalenaiva prasādhayet // K_587 //	rikTinam suhRdam vA-api cCalena-eva prasADayet // K_587 //
   vaṇijaḥ karṣakāś caiva śilpinaś cābravīd bhṛguḥ /	vaNijaH karzakAH ca-eva SilpinaH ca-abravIt BRguH /
   deśācāreṇa dāpyāḥ syur duṣṭān saṃpīḍya dāpayet // K_588 //	deSa-AcAreNa dApyAH syuH duzwAn saMpIxya dApayet // K_588 //
   pīḍayet tu dhanī yatra ṛṇikaṃ nyāyavādinam /	pIxayet tu DanI yatra RNikam nyAya-vAdinam /
   tasmād arthāt sa hīyeta tatsamaṃ cāpnuyād damam // K_589 //	tasmAt arTAt sa hIyeta tad-samam ca-ApnuyAt damam // K_589 //
   yadi hy ādāv anādiṣṭam aśubhaṃ karma kārayet /	yadi hi AdO anAdizwam aSuBam karma kArayet /
   prāpnuyāt sāhasaṃ pūrvam ṛṇān mucyeta carṇikaḥ // K_590 //	prApnuyAt sAhasam pUrvam RNAt mucyeta ca-RNikaH // K_590 //
   uddhārādikam ādāya svāmine na dadāti yaḥ /	udDAra-Adikam AdAya svAmine na dadAti yaH /
   sa tasya dāso bhṛtyaḥ strī paśur vā jāyate gṛhe // K_591 //	sa tasya dAsaH BRtyaH strI paSuH vA jAyate gRhe // K_591 //
   [upanidhiḥ]	[upaniDiH]
   trayaproṣitanikṣipta- bandhānvāhitayācitam /	traya-prozita-nikzipta banDa-anvAhita-yAcitam /
   vaiśyavṛttyarpitaṃ caiva so 'rthas tūpanidhiḥ smṛtaḥ // K_592 //	vESya-vRtti-arpitam ca-eva saH arTaH tu-upaniDiH smRtaH // K_592 //
   nikṣiptaṃ yasya yat kiṃcit tatprayatnena pālayet /	nikziptam yasya yat kiMcid tat-prayatnena pAlayet /
   daivarājakṛtād anyo vināśas tasya kīrtyate // K_593 //	dEva-rAja-kRtAt anyaH vinASaH tasya kIrtyate // K_593 //
   yasya doṣeṇa yat kiṃcid vināśyeta hriyeta vā /	yasya dozeNa yat kiMcid vinASyeta hriyeta vA /
   tad dravyaṃ sodayaṃ dāpyo daivarājakṛtād vinā // K_594 //	tat dravyam sa-udayam dApyaH dEva-rAja-kRtAt vinA // K_594 //
   yācitānantaraṃ nāśe daivarājakṛte 'pi saḥ /	yAcita-anantaram nASe dEva-rAja-kRte api saH /
   grahītā pratidāpyaḥ syān mūlyamātraṃ na saṃśayaḥ // K_595 //	grahItA pratidApyaH syAt mUlya-mAtram na saMSayaH // K_595 //
   nyāsādikaṃ paradravyaṃ prabhakṣitam upekṣitam /	nyAsa-Adikam para-dravyam praBakzitam upekzitam /
   ajñānanāśitaṃ caiva yena dāpyaḥ sa eva tat // K_596 //	ajQAna-nASitam ca-eva yena dApyaH saH eva tat // K_596 //
   bhakṣitaṃ sodayaṃ dāpyaḥ samaṃ dāpya upekṣitam /	Bakzitam sa-udayam dApyaH samam dApya upekzitam /
   kiṃcin nyūnaṃ pradāpyaḥ syād dravyam ajñānanāśitam // K_597 //	kiMcid nyUnam pradApyaH syAt dravyam ajQAna-nASitam // K_597 //
   arājadaivikenāpi nikṣiptaṃ yatra nāśitam /	arAja-dEvikena-api nikziptam yatra nASitam /
   grahītuḥ saha bhāṇḍena dātur naṣṭaṃ tad ucyate // K_598 //	grahItuH saha BANxena dAtuH nazwam tat ucyate // K_598 //
   jñātvā dravyaviyogaṃ tu dātā yatra vinikṣipet /	jQAtvA dravya-viyogam tu dAtA yatra vinikzipet /
   sarvopāyavināśe 'pi grahītā naiva dāpyate // K_599 //	sarva-upAya-vinASe api grahItA na-eva dApyate // K_599 //
   grāhakasya hi yad doṣān naṣṭaṃ tu grāhakasya tat /	grAhakasya hi yat dozAn nazwam tu grAhakasya tat /
   tasmin naṣṭe hṛte vāpi grahītā mūlyam āharet // K_600 //	tasmin nazwe hRte vA-api grahItA mUlyam Aharet // K_600 //
   grāhyas tūpanidhiḥ kāle kālahīnaṃ tu varjayet /	grAhyaH tu-upaniDiH kAle kAla-hInam tu varjayet /
   kālahīnaṃ dadaddaṇḍaṃ dviguṇaṃ ca pradāpyate // K_601 //	kAla-hInam dadat-daNxam dviguNam ca pradApyate // K_601 //
   sarveṣūpanidhiṣv ete vidhayaḥ parikīrtitāḥ // K_602 //	sarvezu-upaniDizu ete viDayaH parikIrtitAH // K_602 //
   yaiś ca saṃskriyate nyāso divasaiḥ pariniścitaiḥ /	yEH ca saMskriyate nyAsaH divasEH pariniScitEH /
   tadūrdhvaṃ sthāpayec śilpī dāpyo daivahate 'pi tat // K_603 //	tad-UrDvam sTApayet SilpI dApyaH dEva-hate api tat // K_603 //
   nyāsadoṣād vināśaḥ syāc śilpinaṃ tan na dāpayet /	nyAsa-dozAt vinASaH syAt Silpinam tat na dApayet /
   dāpayec śilpidoṣāt tat saṃskārārthaṃ yad arpitam // K_604 //	dApayet Silpi-dozAt tat saMskAra-arTam yat arpitam // K_604 //
   svalpenāpi ca yat karma naṣṭaṃ ced bhṛtakasya tat /	su-alpena-api ca yat karma nazwam ced BRtakasya tat /
   paryāptaṃ ditsatas tasya vinaśyet tad agṛhṇataḥ // K_605 //	paryAptam ditsataH tasya vinaSyet tat agRhNataH // K_605 //
   yadi tat kāryam uddiśya kālaṃ pariniyamya vā /	yadi tat kAryam uddiSya kAlam pariniyamya vA /
   yācito 'rdhakṛte tasminn aprāpte na tu dāpyate // K_606 //	yAcitaH arDa-kRte tasmin aprApte na tu dApyate // K_606 //
   prāptakāle kṛte kārye na dadyād yācito 'pi san /	prApta-kAle kRte kArye na dadyAt yAcitaH api san /
   tasmin naṣṭe vāpi grahītā mūlyam āharet // K_607 //	tasmin nazwe vA-api grahItA mUlyam Aharet // K_607 //
   yācyamāno na dadyād vā dāpyas tat sodayaṃ bhavet // K_608 //	yAcyamAnaH na dadyAt vA dApyaH tat sa-udayam Bavet // K_608 //
   atha kāryavipattis tu tasyaiva svāmino bhavet /	aTa kArya-vipattiH tu tasya-eva svAminaH Bavet /
   aprāpte vai sa kāle tu dāpyas tv ardhakṛte 'pi tat // K_609 //	aprApte vE sa kAle tu dApyaH tu arDa-kRte api tat // K_609 //
   yo yācitakam ādāya na dadyāt pratiyācitaḥ /	yaH yAcitakam AdAya na dadyAt pratiyAcitaH /
   sa nigṛhya balād dāpyo daṇḍyaś ca na dadāti yaḥ // K_610 //	sa nigRhya balAt dApyaH daNxyaH ca na dadAti yaH // K_610 //
   anumārgeṇa kāryeṣu anyasmin vacanān mama /	anumArgeNa kAryezu anyasmin vacanAt mama /
   dadyās tvam iti yo dattaḥ sa ihānvādhir ucyate // K_611 //	dadyAH tvam iti yaH dattaH saH iha-anvADiH ucyate // K_611 //
   [asvāmivikrayaḥ]	[asvAmi-vikrayaH]
   asvāmivikrayaṃ dānam ādhiṃ ca vinivartayet // K_612 //	asvAmi-vikrayam dAnam ADim ca vinivartayet // K_612 //
   abhiyoktā dhanaṃ kuryāt prathamaṃ jñātibhiḥ svakam /	aBiyoktA Danam kuryAt praTamam jQAtiBiH svakam /
   paścād ātmaviśudhyarthaṃ krayaṃ ketā svabandhubhiḥ // K_613 //	paScAt Atma-viSuDi-arTam krayam ketA sva-banDuBiH // K_613 //
   nāṣṭikas tu prakurvīta tad dhanaṃ jñātṛbhiḥ svakam /	nAzwikaH tu prakurvIta tat Danam jQAtRBiH svakam /
   adattatyaktavikrītaṃ kṛtvā svaṃ labhate dhanam // K_614 //	adatta-tyakta-vikrItam kRtvA svam laBate Danam // K_614 //
   prakāśaṃ vā krayaṃ kuryān mūlaṃ vāpi samarpayet /	prakASam vA krayam kuryAt mUlam vA-api samarpayet /
   mūlānayanakālas tu deyo yojanasaṃkhyayā // K_615 //	mUla-Anayana-kAlaH tu deyaH yojana-saMKyayA // K_615 //
   prakāśaṃ ca krayaṃ kuryāt sādhubhir jñātibhiḥ svakaiḥ /	prakASam ca krayam kuryAt sADuBiH jQAtiBiH svakEH /
   na tatrānyā kriyā proktā daivikī na ca mānuṣī // K_616 //	na tatra-anyA kriyA proktA dEvikI na ca mAnuzI // K_616 //
   yadā mūlam upanyasya punar vādī krayaṃ vadet /	yadA mUlam upanyasya punar vAdI krayam vadet /
   āharen mūlam evāsau na krayeṇa prayojanam // K_617 //	Aharet mUlam eva-asO na krayeNa prayojanam // K_617 //
   asamāhāryamūlas tu krayam eva viśodhayet /	asamAhArya-mUlaH tu krayam eva viSoDayet /
   viśodhite kraye rājñā na vaktavyaḥ sa kiṃcana // K_618 //	viSoDite kraye rAjQA na vaktavyaH sa kiMcana // K_618 //
   anupasthāpayan mūlaṃ krayaṃ vāpy aviśodhayan /	anupasTApayan mUlam krayam vA-api aviSoDayan /
   yathābhiyogaṃ dhanine dhanaṃ dāpyo damaṃ ca saḥ // K_619 //	yaTA-aBiyogam Danine Danam dApyaH damam ca saH // K_619 //
   yadi svaṃ naiva kurute jñātibhir nāṣṭiko dhanam /	yadi svam na-eva kurute jQAtiBiH nAzwikaH Danam /
   prasaṅgavinivṛttyarthaṃ coravaddaṇḍam arhati // K_620 //	prasaFga-vinivRtti-arTam cora-vat-daNxam arhati // K_620 //
   vaniṅvīthīparigataṃ vijñātaṃ rājapuruṣaiḥ /	vaniFvITI-parigatam vijQAtam rAja-puruzEH /
   avijñātāśrayāt krītaṃ vikretā yatra vā mṛtaḥ // K_621 //	avijQAta-ASrayAt krItam vikretA yatra vA mRtaH // K_621 //
   svāmī datvārdhamūlyaṃ tu pragṛhṇīta svaka dhanam /	svAmI datvA-arDa-mUlyam tu pragRhNIta svaka Danam /
   ardhaṃ dvayor apahṛtaṃ tatra syād vyavahārataḥ // K_622 //	arDam dvayoH apahRtam tatra syAt vyavahArataH // K_622 //
   avijñātakrayo doṣas tathā cāparipālanam /	avijQAta-krayaH dozaH taTA ca-aparipAlanam /
   etad dvayaṃ samākhyātaṃ dravyahānikaraṃ buddhaiḥ // K_623 //	etat dvayam samAKyAtam dravya-hAni-karam budDEH // K_623 //
   [sambhūyasamutthānam]	[samBUyasamutTAnam-]
   samavetās tu ye kecic śalpino vaṇijo 'pi vā /	samavetAH tu ye kecid SalpinaH vaNijaH api vA /
   avibhajya pṛthagbhūtaiḥ prāptaṃ tatra phalaṃ samam // K_624 //	aviBajya pRTak-BUtEH prAptam tatra Palam samam // K_624 //
   bhāṇḍapiṇḍavyayoddhāra- bhārasārārthavīkṣaṇam /	BANxa-piNxa-vyayodDAra BArasAra-arTa-vIkzaNam /
   kuryus te 'vyabhicāreṇa samayena vyavasthitāḥ // K_625 //	kuryuH te avyaBicAreNa samayena vyavasTitAH // K_625 //
   prayogaṃ kurvate ye tu hemadhānyarasādinā /	prayogam kurvate ye tu hema-DAnya-rasa-AdinA /
   samanyūnādhikair aṃśair lābhas teṣāṃ tathāvidhaḥ // K_626 //	sama-nyUna-aDikEH aMSEH lABaH tezAm taTAviDaH // K_626 //
   bahūnāṃ saṃmato yas tu dadyād eko dhanaṃ naraḥ /	bahUnAm saMmataH yaH tu dadyAt ekaH Danam naraH /
   ṛṇaṃ ca kārayed vāpi sarvair eva kṛtaṃ bhavet // K_627 //	RNam ca kArayet vA-api sarvEH eva kRtam Bavet // K_627 //
   jñātisaṃbandhisuhṛdām ṛṇaṃ deyaṃ sabandhakam /	jQAti-saMbanDi-suhRdAm RNam deyam sa-banDakam /
   anyeṣāṃ lagnakopetaṃ lekhyasākṣiyutaṃ tathā // K_628 //	anyezAm lagnaka-upetam leKya-sAkzi-yutam taTA // K_628 //
   svecchādeyaṃ hiraṇyaṃ tu rasā dhānyaṃ ca sāvidhi /	sva-icCA-deyam hiraNyam tu rasAH DAnyam ca sAviDi /
   deśasthityā pradātavyaṃ grahītavyaṃ tathaiva ca // K_629 //	deSa-sTityA pradAtavyam grahItavyam taTA-eva ca // K_629 //
   samavetais tu yad dattaṃ prārthanīyaṃ tathaiva tat /	samavetEH tu yat dattam prArTanIyam taTA-eva tat /
   na ca yāceta yaḥ kaścil lābhāt sa parihīyate // K_630 //	na ca yAceta yaH kaScid lABAt sa parihIyate // K_630 //
   corataḥ salilād agner dravyaṃ yas tu samāharet /	corataH salilAt agneH dravyam yaH tu samAharet /
   tasyāṃśo daśamo deyaḥ sarvavādeṣv ayaṃ vidhiḥ // K_631 //	tasya-aMSaH daSamaH deyaH sarva-vAdezu ayam viDiH // K_631 //
   śikṣakābhijñakuśalā ācāryaś ceti śilpinaḥ /	Sikzaka-aBijQa-kuSalAH AcAryaH ca-iti SilpinaH /
   ekadvitricaturbhāgān hareyus te yathottaram // K_632 //	eka-dvi-tri-catur-BAgAn hareyuH te yaTottaram // K_632 //
   pararāṣṭrād dhanaṃ yat syāc cauraiḥ svāmyājñayāhṛtam /	para-rAzwrAt Danam yat syAt cOrEH svAmi-AjQayA-AhRtam /
   rājño daśāṃśam uddhṛtya vibhajeran yathāvidhi // K_633 //	rAjQaH daSa-aMSam udDRtya viBajeran yaTAviDi // K_633 //
   corāṇāṃ mukhyabhūtas tu caturo 'ṃśāṃs tato haret /	corANAm muKya-BUtaH tu caturaH aMSAn tatas haret /
   śūro 'ṃśāṃs trīn samartho dvau śoṣās tv ekaikam eva ca // K_634 //	SUraH aMSAn trIn samarTaH dvO SozAH tu ekEkam eva ca // K_634 //
   teṣāṃ cet prasṛtānāṃ yo grahaṇaṃ samavāpnuyāt /	tezAm ced prasRtAnAm yaH grahaNam samavApnuyAt /
   tanmokṣaṇārthaṃ yad dattaṃ vaheyus te yathāṃśataḥ // K_635 //	tad-mokzaNa-arTam yat dattam vaheyuH te yaTA-aMSataH // K_635 //
   nartakānām eṣa eva dharmaḥ sadbhir udāhṛtaḥ /	nartakAnAm ezaH eva DarmaH sadBiH udAhRtaH /
   tālajño labhate hy ardhaṃ gāyanās tu samāṃśinaḥ /	tAla-jQaH laBate hi arDam gAyanAH tu sama-aMSinaH /
   pramukhā dvyaṃśam arhanti so 'yaṃ saṃbhūya kurvatām // K_636 //	pramuKAH dvi-aMSam arhanti saH ayam saMBUya kurvatAm // K_636 //
   vaṇijāṃ karṣakāṇāṃ ca corāṇāṃ śilpināṃ tathā /	vaNijAm karzakANAm ca corANAm SilpinAm taTA /
   aniyamyāṃśakartṝṇāṃ sarveṣām eṣa nirṇayaḥ // K_637 //	aniyamya-aMSa-kartLNAm sarvezAm eza nirNayaH // K_637 //
   [dattānapākarma dattāpradānikaṃ vā]	[dattAn-apAkarma datta-apradAnikam vA]
   vikrayaṃ caiva dānaṃ ca na neyāḥ syur anicchavaḥ /	vikrayam ca-eva dAnam ca na neyAH syuH anicCavaH /
   dārāḥ putrāś ca sarvasvam ātmanaiva tu yojayet // K_638 //	dArAH putrAH ca sarva-svam AtmanA-eva tu yojayet // K_638 //
   āpatkāle tu kartavyaṃ dānaṃ vikraya eva vā /	Apad-kAle tu kartavyam dAnam vikrayaH eva vA /
   anyathā na pravarteta iti śāstraviniścayaḥ // K_639 //	anyaTA na pravarteta iti SAstra-viniScayaH // K_639 //
   sarvasvagṛhavarjaṃ tu kuṭumbabharaṇādhikam /	sarva-sva-gRha-varjam tu kuwumba-BaraNa-aDikam /
   yad dravyaṃ tat svakaṃ deyam adeyaṃ syād ato 'nyathā // K_640 //	yat dravyam tat svakam deyam adeyam syAt atas anyaTA // K_640 //
   ataś ca sutadārāṇāṃ vaśitvaṃ tv anuśāsane /	atas ca suta-dArANAm vaSitvam tu anuSAsane /
   vikraye caiva dāne ca vaśitvaṃ na sute pituḥ // K_641 //	vikraye ca-eva dAne ca vaSitvam na sute pituH // K_641 //
   svecchayā yaḥ pratiśrutya brāhmaṇāya pratigraham /	sva-icCayA yaH pratiSrutya brAhmaNAya pratigraham /
   na dadyād ṛṇava dāpyaḥ prāpnuyāt pūrvasāhasam // K_642 //	na dadyAt RNava dApyaH prApnuyAt pUrva-sAhasam // K_642 //
   pratiśrutasyādānena dattasyācchādanena ca /	pratiSrutasya-AdAnena dattasya-AcCAdanena ca /
   kalpakoṭiśataṃ martyas tiryagyonau ca jāyate // K_643 //	kalpa-kowi-Satam martyaH tiryagyonO ca jAyate // K_643 //
   avijñātopalabdhyarthaṃ dānaṃ yatra nirūpitam /	avijQAta-upalabDi-arTam dAnam yatra nirUpitam /
   upalabdhikriyālabdhaṃ sā bhṛtiḥ parikīrtitā // K_644 //	upalabDi-kriyA-labDam sA BRtiH parikIrtitAH // K_644 //
   bhayatrāṇāya rakṣārthaṃ tathā kāryaprasādhanāt /	Baya-trANAya rakzA-arTam taTA kArya-prasADanAt /
   anena vidhinā labdhaṃ vidyāt pratyupakārataḥ // K_645 //	anena viDinA labDam vidyAt pratyupakArataH // K_645 //
   prāṇasaṃśayam āpannaṃ yo mām uttārayed itaḥ /	prANa-saMSayam Apannam yaH mAm uttArayet itas /
   sarvasvaṃ tasya dāsyāmīty ukte 'pi na tathā bhavet // K_646 //	sarva-svam tasya dAsyAmi-iti ukte api na taTA Bavet // K_646 //
   kāmakrodhāsvatantrārta- klībonmattapramohitaiḥ /	kAma-kroDa-asvatantra-Arta klIba-unmatta-pramohitEH /
   vyatyāsaparihāsāc ca yad dattaṃ tat punar haret // K_647 //	vyatyAsa-parihAsAt ca yat dattam tat punar haret // K_647 //
   yā tu kāryasya siddhyartham utkocā syāt pratiśrutā /	yA tu kAryasya sidDi-arTam utkocA syAt pratiSrutAH /
   tasminn api pasiddhe 'rthe na deyā syāt kathaṃcana // K_648 //	tasmin api pasidDe arTe na deyA syAt kaTaMcana // K_648 //
   atha prāg eva dattā syāt pratidāpyas tathā balāt /	aTa prAk eva dattA syAt pratidApyaH taTA balAt /
   daṇḍaṃ caikādaśaguṇam āhur gārgīyamānavāḥ // K_649 //	daNxam ca-ekAdaSaguNam AhuH gArgIya-mAnavAH // K_649 //
   stenasāhasikodvṛtta- pārajāyikaśaṃsanāt /	stena-sAhasika-udvRtta pArajAyika-SaMsanAt /
   darśanād vṛttanaṣṭasya tathāsatyapravartanāt // K_650 //	darSanAt vRtta-nazwasya taTA-asatya-pravartanAt // K_650 //
   prāptam etais tu yat kiṃcit tad utkocākhyam ucyate /	prAptam etEH tu yat kiMcid tat utkoca-AKyam ucyate /
   na dātā tatra daṇḍyaḥ syān madhyasthaś caiva doṣabhāk // K_651 //	na dAtA tatra daNxyaH syAt maDyasTaH ca-eva doza-BAj // K_651 //
   niyukto yas tu kāryeṣu sa ced utkocam āpnuyāt /	niyuktaH yaH tu kAryezu sa ced utkocam ApnuyAt /
   sa dāpyas taddhanaṃ kṛtsnaṃ damaś caikādaśādhikam // K_652 //	sa dApyaH tad-Danam kRtsnam damaH ca-ekAdaSa-aDikam // K_652 //
   aniyuktas tu kāryārtham utkocaṃ yam avāpnuyāt /	aniyuktaH tu kArya-arTam utkocam yam avApnuyAt /
   kṛtapratyupakārārthas tasya doṣo na vidyate // K_653 //	kRta-pratyupakAra-arTaH tasya dozaH na vidyate // K_653 //
   svasthenārtena vā dattaṃ śrāvritaṃ dharmakāraṇāt /	svasTena-Artena vA dattam SrAvritam Darma-kAraNAt /
   adattvā tu mṛte dāpyas tatsuto nātra saṃśayaḥ // K_654 //	adattvA tu mRte dApyaH tad-sutaH na-atra saMSayaH // K_654 //
   yogādhamanavikrītaṃ yogadānapatigraham /	yoga-ADamana-vikrItam yoga-dAna-pati-graham /
   yasya vāpy upadhiṃ paśyet tat sarvaṃ vinivartayet // K_655 //	yasya vA-api upaDim paSyet tat sarvam vinivartayet // K_655 //
   bhṛtāvaniścitāyāṃ tu daśabhāgam avāpnuyāt /	BRta-avaniScitAyAm tu daSa-BAgam avApnuyAt /
   lābhagovīryasasyānāṃ vaṇiggopakṛṣīvalāḥ // K_656 //	lABa-go-vIrya-sasyAnAm vaNiggopa-kRzIvalAH // K_656 //
   [vetanasyānapākarma]	[vetanasya-anapAkarma]
   karmārambhaṃ tu yaḥ kṛtvā siddhaṃ naiva tu kārayet /	karma-AramBam tu yaH kRtvA sidDam na-eva tu kArayet /
   balāt kārayitavyo 'sau akurvan daṇḍam arhati // K_657 //	balAt kArayitavyaH asO akurvan daNxam arhati // K_657 //
   vighnayan vāhako dāpyaḥ prasthāne dviguṇāṃ bhṛtim // K_658 //	viGnayan vAhakaH dApyaH prasTAne dviguNAm BRtim // K_658 //
   na tu dāpyo hṛtaṃ corair dagdhamūḍhaṃ jalena vā // K_659 //	na tu dApyaH hRtam corEH dagDa-mUXam jalena vA // K_659 //
   tyajet pathi sahāyaṃ yaḥ śrāntaṃ rogārtam eva vā /	tyajet paTi sahAyam yaH SrAntam roga-Artam eva vA /
   prāpnuyāt sāhasaṃ pūrvaṃ grāme tryaham apālayan // K_660 //	prApnuyAt sAhasam pUrvam grAme tri-aham apAlayan // K_660 //
   yadā tu pathi tadbhāṇḍam āsidhyeta hriyeta vā /	yadA tu paTi tat-BANxam AsiDyeta hriyeta vA /
   yāvān adhvā gatas tena prāpnuyāt tāvatīṃ bhṛtim // K_661 //	yAvAn aDvA gataH tena prApnuyAt tAvatIm BRtim // K_661 //
   hastyaśvagokharoṣṭrādīn gṛhītvā bhāṭakena yaḥ /	hasti-aSva-go-Kara-uzwra-AdIn gRhItvA BAwakena yaH /
   nārpayet kṛtakṛtyārthaḥ sa tu dāpyaḥ sabhāṭakam // K_662 //	na-arpayet kRtakRtya-arTaH sa tu dApyaH sa-BAwakam // K_662 //
   gṛhavāryāpaṇādīṇi gṛhītvā bhāṭakena yaḥ /	gRha-vAri-ApaNa-AdINi gRhItvA BAwakena yaH /
   svāmine nārpayed yāvat tāvad dāpyaḥ sabhāṭakam // K_663 //	svAmine na-arpayet yAvat tAvat dApyaH sa-BAwakam // K_663 //
   [svāmipālavivādaḥ]	[sva-Ami-pAla-vivAdaH]
   kṣetrārāmavivīteṣu gṛheṣu paśuvāṭiṣu /	kzetra-ArAma-vivItezu gRhezu paSu-vAwizu /
   grahaṇaṃ tatpraviṣṭānāṃ tāḍanaṃ vā bṛhaspatiḥ // K_664 //	grahaNam tad-pravizwAnAm tAxanam vA bRhaspatiH // K_664 //
   adhamottamamadhyānāṃ paśūnāṃ caiva tāḍane /	aDama-uttama-maDyAnAm paSUnAm ca-eva tAxane /
   svāmī tu vivaded yatra daṇḍaṃ tatra prakalpayet // K_665 //	svAmI tu vivadet yatra daNxam tatra prakalpayet // K_665 //
   ajāteṣv eva sasyeṣu kuryād āvaraṇaṃ mahat /	ajAtezu eva sasyezu kuryAt AvaraNam mahat /
   duḥkheneha nivāryante labdhasvādurasā mṛgāḥ // K_666 //	duHKena-iha nivAryante labDa-svAdu-rasAH mRgAH // K_666 //
   dāpayet paṇapādaṃ gāṃ dvau pādau mahiṣīṃ tathā /	dApayet paNa-pAdam gAm dvO pAdO mahizIm taTA /
   tathājāvikavatsānāṃ pādo daṇḍaḥ prakīrtitaḥ // K_667 //	taTA-aja-Avika-vatsAnAm pAdaH daNxaH prakIrtitaH // K_667 //
   [samayasyānapākarma saṃvidvyatikramo vā]	[samayasya-anapAkarma saMvid-vyatikramaH vA]
   samūhināṃ tu yo dharmas tena dharmeṇa te sadā /	samUhinAm tu yaH DarmaH tena DarmeNa te sadA /
   prakuryuḥ sarvakarmāṇi svadharmeṣu vyavasthitāḥ // K_668 //	prakuryuH sarva-karmANi svaDarmezu vyavasTitAH // K_668 //
   avirodhena dharmasya nirgataṃ rājaśāsanam /	aviroDena Darmasya nirgatam rAja-SAsanam /
   tasyaivācaraṇaṃ pūrvaṃ kartavyaṃ tu nṛpājñayā // K_669 //	tasya-eva-AcaraNam pUrvam kartavyam tu nRpa-AjQayA // K_669 //
   rājapravartitān dharmān yo naro nānupālayet /	rAja-pravartitAn DarmAn yaH naraH na-anupAlayet /
   garhyaḥ sa pāpo daṇḍyaś ca lopayan rājaśāsanam // K_670 //	garhyaH sa pApaH daNxyaH ca lopayan rAja-SAsanam // K_670 //
   yuktiyuktaṃ ca yo hanyād vaktur yo 'navakāśadaḥ /	yukti-yuktam ca yaH hanyAt vaktuH yaH anavakASa-daH /
   ayuktaṃ caiva yo brūte sa dāpyaḥ pūrvasāhasam // K_671 //	ayuktam ca-eva yaH brUte sa dApyaH pUrva-sAhasam // K_671 //
   sāhasī bhedakārī ca gaṇadravyavināśakaḥ /	sAhasI Beda-kArI ca gaNa-dravya-vinASakaH /
   ucchedyāḥ sarva evaite vikhyāpyaivaṃ nṛpe bhṛguḥ // K_672 //	ucCedyAH sarve eva-ete viKyApya-evam nRpe BRguH // K_672 //
   ekapātre ca vā paṅktyāṃ saṃbhoktā yasya yo bhavet /	eka-pAtre ca vA paFktyAm saMBoktA yasya yaH Bavet /
   akurvaṃs tat tathā daṇḍyas tasya doṣam adarśayan // K_673 //	akurvan tat taTA daNxyaH tasya dozam adarSayan // K_673 //
   gaṇam uddiśya yat kiṃcit kṛtvarṇaṃ bhakṣitaṃ bhavet /	gaNam uddiSya yat kiMcid kRtvA-RNam Bakzitam Bavet /
   ātmārthaṃ viniyuktaṃ vā deyaṃ tair eva tad bhavet // K_674 //	Atma-arTam viniyuktam vA deyam tEH eva tat Bavet // K_674 //
   gaṇānāṃ śreṇivargāṇāṃ gatāḥ syur ye tu madhyatām /	gaNAnAm SreNi-vargANAm gatAH syuH ye tu maDya-tAm /
   prāktanasya dhanarṇasya samāṃśāḥ sarva eva te // K_675 //	prAktanasya Dana-RNasya sama-aMSAH sarve eva te // K_675 //
   tathaiva bhojyavaibhājya- dānadharmakriyāsu ca /	taTA-eva Bojya-vEBAjya dAna-Darma-kriyAsu ca /
   samūhastho 'ṃśabhāgī syāt pragatas tv aṃśabhāṅ na tu // K_676 //	samUha-sTaH aMSa-BAgI syAt pragataH tu aMSa-BAj na tu // K_676 //
