   Kṣemendra: Kalāvilāsa	Kzema-indra: Kala-AvilAsa
   anurāgaḥ pratipattirmitrārjanamānṛśaṃsyamastambhaḥ &	anurAgaH pratipattiH-mitra-arjanam-AnRSaMsyam-astamBaH &
   āśritajanavātsalyaṃ saptadaśakalāḥ prabhāvasya // 10.10 //	ASrita-jana-vAtsalyam saptadaSa-kalAH praBAvasya // 10.10 //
   maunamalaulyamayācñā mānasya ca jīvitaṃ kalātritayam &	mOnam-alOlyam-ayAcQA mAnasya ca jIvitam kalA-tritayam &
   etāḥ kalā vidagdhaiḥ svagatāḥ kāryāścatuḥṣaṣṭiḥ // 10.11 //	etAH kalAH vidagDEH sva-gatAH kAryAH-catuHzazwiH // 10.11 //
   śaktavirodhe gamanaṃ tatpraṇatirvā balodaye vairam &	Sakta-viroDe gamanam tad-praNatiH-vA bala-udaye vEram &
   ārtasya dharmacaryāḷduḥkhe dhairyaṃ sukheṣvanutsekaḥ // 10.12 //	Artasya Darma-caryA?-duHKe DEryam suKezu-anutsekaH // 10.12 //
   vibhaveṣu saṃvibhāgaḥ satsu ratirmantrasaṃśaye prajñā &	viBavezu saMviBAgaH satsu ratiH-mantra-saMSaye prajQA &
   nindyeṣu parāṅmukhatā bheṣajametatkalādaśakam // 10.13 //	nindyezu parAFmuKa-tA Bezajam-etat-kalA-daSakam // 10.13 //
   guruvacanaṃ satyānāṃ kāryāṇāṃ godvijātisurapūjā &	guru-vacanam satyAnAm kAryANAm go-dvijAti-sura-pUjA &
   lobhaḥ pāpatamānāṃ krodhaḥ sarvopatāpajanakānām // 10.14 //	loBaH pApatamAnAm kroDaH sarva-upatApa-janakAnAm // 10.14 //
   prājña sarvaguṇānāṃ yaśasvitā vipulavittavibhāvānām &	prAjQa sarva-guNAnAm yaSasvitA vipula-vitta-viBAvAnAm &
   sevā duḥkhatamānāmāśā pṛthukālabhujagapāśānām // 10.15 //	sevA duHKatamAnAm-ASA pRTu-kAla-Bujaga-pASAnAm // 10.15 //
   dānaṃ ratnanidhīnāṃ nirvairatvaṃ sukhapradeśānām &	dAnam ratna-niDInAm nirvEra-tvam suKa-pradeSAnAm &
   yācñā mānaharāṇāṃ dāridryaṃ copatāpasārthānām // 10.16 //	yAcQA mAna-harANAm dAridryam ca-upatApa-sArTAnAm // 10.16 //
   dharmaḥ patheyānāṃ satyaṃ mukhapadmapāvanakarāṇām &	DarmaH paTeyAnAm satyam muKa-padma-pAvana-karANAm &
   vyasanaṃ rogagaṇānām ālasyaṃ gṛhasamṛddhināśānām // 10.17 //	vyasanam roga-gaNAnAm Alasyam gRha-samRdDi-nASAnAm // 10.17 //
   niḥspṛhatā ślāghyānāṃ priyavacanaṃ sarvamadhurāṇām &	niHspRhatA SlAGyAnAm priya-vacanam sarva-maDurANAm &
   darpastimirakarāṇāṃ dambhaḥ sarvopahāsapātrāṇām // 10.18 //	darpaH-timira-karANAm damBaH sarva-upahAsa-pAtrANAm // 10.18 //
   adrohaḥ śaucānām acāpalaṃ vrataviśeṣaniyamānām &	adrohaH SOcAnAm acApalam vrata-viSeza-niyamAnAm &
   paiśunyamapriyāṇāṃ vṛtticchedo nṛśamsacaritānām // 10.19 //	pESunyam-apriyANAm vRtti=-CedaH nRSamsa-caritAnAm // 10.19 //
   kāruṇyaṃ puṇyānāṃ kṛtajñatā puruṣacihnānām &	kAruNyam puNyAnAm kRtajQa-tA puruza-cihnAnAm &
   māyā mohamatīnāṃ kṛtaghnatā narakapātahetūnām // 10.20 //	mAyA moha-matInAm kRtaGna-tA naraka-pAta-hetUnAm // 10.20 //
   madanaścalacaurāṇāṃ strīvacanaṃ jñātibhedānām &	madanaH-cala-cOrANAm strI-vacanam jQAti-BedAnAm &
   krūraścaṇḍālānāṃ māyāvī kaliyugāvatārāṇām // 10.21 //	krUraH-caNxAlAnAm mAyAvI kali-yuga-avatArANAm // 10.21 //
   śāstraṃ maṇidīpānām upadeśaścābhiṣekāṇām &	SAstram maNi-dIpAnAm upadeSaH-ca-aBizekANAm &
   vṛddhatvaṃ kleśānāṃ rogitvaṃ maraṇatulyaduḥkhānām // 10.22 //	vRdDa-tvam kleSAnAm rogi-tvam maraNa-tulya-duHKAnAm // 10.22 //
   sneho viṣamaviṣāṇāṃ veśyārāgo visarpakuṣṭhānām &	snehaH vizama-vizANAm veSyA-rAgaH visarpa-kuzWAnAm &
   bhāryā gṛhasārāṇāṃ putraḥ paralokabandhūnām // 10.23 //	BAryA gRha-sArANAm putraH para-loka-banDUnAm // 10.23 //
   śātruḥ śalyaśatānāṃ duṣputraḥ kulavināśānām &	SAtruH Salya-SatAnAm duzputraH kula-vinASAnAm &
   tāruṇyaṃ ramaṇīnāṃ rūpaṃ ruciropacāraveṣāṇām // 10.24 //	tAruNyam ramaNInAm rUpam rucira-upacAra-vezANAm // 10.24 //
   saṃtoṣo rājyānāṃ satsaṅgaścakravartivibhāvānām &	saMtozaH rAjyAnAm sat-saFgaH-cakravarti-viBAvAnAm &
   cintā śoṣakarāṇāṃ vidveṣaḥ koṭarāgnidāhānām // 10.25 //	cintA Soza-karANAm vidvezaH kowara-agni-dAhAnAm // 10.25 //
   maitrī visrambhānāṃ niryantraṇatā mahārhabhogānām &	mEtrI visramBAnAm niryantraNa-tA mahArha-BogAnAm &
   saṃkoco vyādhīnāṃ kauṭilyaṃ nirjalāndhakūpānām // 10.26 //	saMkocaH vyADInAm kOwilyam nirjala-anDa-kUpAnAm // 10.26 //
   ārjavamamalakarāṇāṃ vinayo vararatnamukuṭānām &	Arjavam-amala-karANAm vinayaH vara-ratna-mukuwAnAm &
   dyūtaṃ durvyasanānāṃ strījitatā marutaṭīpiśācānām // 10.27 //	dyUtam durvyasanAnAm strI-jita-tA marutawI-piSAcAnAm // 10.27 //
   tyāgo maṇivalayānāṃ śrutamujjvalakarṇaratnānām &	tyAgaH maNi-valayAnAm Srutam-ujjvala-karNa-ratnAnAm &
   khalamaitrī capalānāṃ durjanasevā vṛthāprayāsānām // 10.28 //	Kala-mEtrI capalAnAm durjana-sevA vRTA-prayAsAnAm // 10.28 //
   nirvṛtirudyānānāṃ priyadarśanamamṛtavarṣāṇām &	nirvRtiH-udyAnAnAm priya-darSanam-amRta-varzANAm &
   tattvaratirlabhyānāṃ mūrkhasabhā sadvivekanāśānām // 10.29 //	tattva-ratiH-laByAnAm mUrKa-saBA sat-viveka-nASAnAm // 10.29 //
   kulajaḥ saphalatarūṇāṃ saubhāgyaṃ kṛtayugāvatārāṇām &	kula-jaH saPala-tarUNAm sOBAgyam kRta-yuga-avatArANAm &
   rājakulaṃ śaṅkyānāṃ strīhṛdayaṃ prakṛtikuṭilānām // 10.30 //	rAja-kulam SaFkyAnAm strI-hRdayam prakRti-kuwilAnAm // 10.30 //
   aucityaṃ stutyānāṃ guṇarāgaścandanādilepānām &	Ocityam stutyAnAm guNa-rAgaH-candana-Adi-lepAnAm &
   kanyāḷśokakarāṇāṃ buddhivihīno 'nukampyānām // 10.31 //	kanyA?Soka-karANAm budDi-vihInaH anukampyAnAm // 10.31 //
   vibhavaḥ saubhāgyānāṃ janarāgaḥ kīrtikandānām &	viBavaH sOBAgyAnAm jana-rAgaH kIrti-kandAnAm &
   madyaṃ vetālānām mṛgayā gajagahanayakṣāṇām // 10.32 //	madyam vetAlAnAm mRgayA gaja-gahana-yakzANAm // 10.32 //
   praśamaḥ svāsthyakarāṇām ātmaratistīrthasevānām &	praSamaH svAsTya-karANAm Atma-ratiH-tIrTa-sevAnAm &
   lubdhaḥ phalarahitānām ācāravivarjitaḥ śmaśānānām // 10.33 //	lubDaH Pala-rahitAnAm AcAra-vivarjitaH SmaSAnAnAm // 10.33 //
   nītiḥ strīrakṣaṇānām indriyavijayaḥ prabhāvāṇām &	nItiH strI-rakzaNAnAm indriya-vijayaH praBAvANAm &
   īrṣyā yakṣmaśatānām ayaśaḥ kusthamaraṇānām // 10.34 //	IrzyA yakzma-SatAnAm ayaSaH kusTa-maraNAnAm // 10.34 //
   mātā maṅgalyānāṃ janakaḥ sukṛtotsavopadeśānām &	mAtA maFgalyAnAm janakaH sukRta-utsava-upadeSAnAm &
   ghātastīkṣṇatarāṇāṃ chedastīkṣṇāsiśastrāṇām // 10.35 //	GAtaH-tIkzNatarANAm CedaH-tIkzNa-asi-SastrANAm // 10.35 //
   praṇatirmanyuharāṇāṃ sauhārdaṃ kṛcchrayācñānām &	praNatiH-manyu-harANAm sOhArdam kRcCra-yAcQAnAm &
   mānaḥ puṣṭikarāṇāṃ kīrtiḥ saṃsārasārāṇām // 10.36 //	mAnaH puzwi-karANAm kIrtiH saMsAra-sArANAm // 10.36 //
   prabhubhaktirnītānāṃ yudhi nidhanaṃ saukhyavīthīnām &	praBu-BaktiH-nItAnAm yuDi niDanam sOKya-vITInAm &
   vinayaḥ kalyāṇānāmutsāhaḥ sarvasiddhīnām // 10.37 //	vinayaH kalyANAnAm-utsAhaH sarva-sidDInAm // 10.37 //
   puṇyaṃ prāpyatamānāṃ jñānaṃ paramaprakāśānām &	puNyam prApyatamAnAm jQAnam parama-prakASAnAm &
   kīrtiḥ samsāre'smin sāratarā sarvalokānām // 10.38 //	kIrtiH samsAre-asmin sAratarA sarva-lokAnAm // 10.38 //
   jñeyaḥ kalākalāpe kuśalaḥ sarvārthatattvavijñānī &	jQeyaH kalA-kalApe kuSalaH sarva-arTa-tattva-vijQAnI &
   pravarataro loke'smin brāhmaṇa iva sarvavarṇānām // 10.39 //	pravarataraH loke-asmin brAhmaNaH iva sarva-varNAnAm // 10.39 //
   ityuktaṃ śatametad yo vetti śubhāśubhodayakalānām &	iti-uktam Satam-etat yaH vetti SuBa-aSuBa-udaya-kalAnAm &
   tasyaiva vyavahāre dṛṣṭā dṛṣṭaprayojanā lakṣmīḥ // 10.40 //	tasya-eva vyavahAre dRzwA dRzwa-prayojanA lakzmIH // 10.40 //
   uktveti mūladevo visṛjya śiṣyānkṛtocitācāraḥ &	uktvA-iti mUladevaH visRjya SizyAn-kRta-ucita-AcAraH &
   kiraṇakalikāvikāsāṃ nināya nijamandire rajanīm // 10.41 //	kiraNa-kalikA-vikAsAm ninAya nija-mandire rajanIm // 10.41 //
   kelīmayaḥ smitavilāsakalābhirāmaḥ sarvāśrayāntarakalāprakaṭapradīpaḥ &	kelI-mayaH smita-vilAsa-kalA-aBirAmaH sarva-ASraya-antara-kalA-prakawa-pradIpaH &
   lokopadeśaviṣayaḥ sukathāvicitro bhūyātsatāṃ dayita eṣa kalāvilāsaḥ //	loka-upadeSa-vizayaH su-kaTA-vicitraH BUyAt-satAm dayitaH eza kalA-vilAsaH //
   kalāvilāsaḥ kṣemendrapratibhāmbhodhinirgataḥ &	kalA-vilAsaH kzemendra-pratiBA-amBoDi-nirgataH &
   śaśīva mānasānandaṃ karotu satataṃ satām // 10.43 //	SaSI-iva mAnasa-Anandam karotu satatam satAm // 10.43 //
   iti mahākaviśrīkṣemendraviracite kalāvilāse sakalakalānirūpaṇaṃ nāma	iti mahAkavi-SrIkzema-indra-viracite kalAvilAse sakalakalAnirUpaNam nAma
   daśamaḥ	daSamaH
   sargaḥ	sargaH
