   akārayat kārayitavyadakṣā Ks_7.27c	akArayat kArayitavya-dakzA KH-_7.27c
   bālyād anāviṣkṛtalāñchanena Ks_7.35b	bAlyAt anAvizkRta-lAQCanena KH-_7.35b
   bāṣpaśīkaravarṣibhiḥ Ks_2.42d	bAzpa-SIkara-varziBiH KH-_2.42d
   bāhū tadīyāv iti me vitarkaḥ Ks_1.41b	bAhU tadIyO iti me vitarkaH KH-_1.41b
   bibhetu moghīkṛtabāhuvīryaḥ Ks_3.9c	biBetu moGIkRta-bAhu-vIryaH KH-_3.9c
   bibhrati śriyam udīritāgnayaḥ Ks_8.38d	biBrati Sriyam udIrita-agnayaH KH-_8.38d
   bibhrato haimavalkalāḥ Ks_6.6b	biBrataH hEma-valkalAH KH-_6.6b
   bimbalāñchitaviyatsaro 'mbhasā Ks_8.61b	bimba-lAQCita-viyatsaraH amBasA KH-_8.61b
   bimbādharāsannacaraṃ dvirepham Ks_3.56b	bimba-aDara-Asanna-caram dvirePam KH-_3.56b
   bisatantuguṇasya kāritaṃ Ks_4.29c	bisa-tantu-guNasya kAritam Ks_4.29c
   bījāṅkuraḥ prāg udayād ivāmbhaḥ Ks_3.18d	bIja-aFkuraH prAk udayAt iva-amBaH KH-_3.18d
   bṛhanmaṇiśilāsālaṃ Ks_6.38c	bRhat-maNi-SilA-sAlam Ks_6.38c
   bodhayaty asamaye śikhaṇḍinaḥ Ks_8.67d	boDayati asamaye SiKaNxinaH KH-_8.67d
   brahma gūḍham abhisaṃdhyam ādṛtāḥ Ks_8.47c	brahma gUXam aBisaMDyam AdRtAH KH-_8.47c
   brahmāṅgabhūr brahmaṇi yojitātmā Ks_3.15d	brahma-aFga-BUH brahmaNi yojita-AtmA KH-_3.15d
   brūta yenātra vaḥ kāryam Ks_6.63c	brUta yena-atra vaH kAryam KH-_6.63c
   bhaktibhir bahuvidhābhir arpitā Ks_8.69c	BaktiBiH bahuviDABiH arpitA KH-_8.69c
   bhagavān api saṃprāptaḥ Ks_6.35c	BagavAn api saMprAptaH KH-_6.35c
   bhagnaśākha iva drumaḥ Ks_2.22d	Bagna-SAKaH iva drumaH KH-_2.22d
   bhartur iṣṭe pativratāḥ Ks_6.86d	BartuH izwe pativratAH KH-_6.86d
   bhartuḥ prasādaṃ pratinandya mūrdhnā Ks_3.2c	BartuH prasAdam pratinandya mUrDnA KH-_3.2c
   bhartṛvallabhatayā hi mānasīṃ Ks_8.12c	BartR-vallaBa-tayA hi mAnasIm KH-_8.12c
   bhavatā bandhujanaprayojanam Ks_4.32b	BavatA banDu-jana-prayojanam KH-_4.32b
   bhavatā sarvam arpitam Ks_6.73b	BavatA sarvam arpitam KH-_6.73b
   bhavatpraṇītam ācāram Ks_6.31c	Bavat-praNItam AcAram Ks_6.31c
   bhavaty aniṣṭād api nāma duḥsahān Ks_5.42a	Bavati anizwAt api nAma duHsahAn KH-_5.42a
   bhavatsaṃbhāvanotthāya Ks_6.59a	Bavat-saMBAvanA-utTAya KH-_6.59a
   bhavanti yatrauṣadhayo rajanyām Ks_1.10c	Bavanti yatra-OzaDayaH rajanyAm KH-_1.10c
   bhavanti sāmye 'pi niviṣṭacetasāṃ Ks_5.31c	Bavanti sAmye api nivizwa-cetasAm Ks_5.31c
   bhavanty avyabhicāriṇyo Ks_6.86c	Bavanti avyaBicAriNyaH KH-_6.86c
   bhavallabdhavarodīrṇas Ks_2.32a	Bavat-labDa-vara-udIrNaH Ks_2.32a
   bhava viśvaguror guruḥ Ks_6.83d	Bava viSva-guroH guruH KH-_6.83d
   bhavasyeva mumukṣavaḥ Ks_2.51d	Bavasya-iva mumukzavaH KH-_2.51d
   bhavitavyapriyasaṃgamaṃ vapuḥ Ks_4.44b	Bavitavya-priya-saMgamam vapuH KH-_4.44b
   bhaviṣyataḥ patyur umā ca śaṃbhoḥ Ks_3.58a	BavizyataH patyuH umA ca SaMBoH KH-_3.58a
   bhaviṣyati prārthitadurlabhaḥ katham Ks_5.46d	Bavizyati prArTita-durlaBaH kaTam KH-_5.46d
   bhasmāvaśeṣaṃ madanaṃ cakāra Ks_3.72d	Basma-avaSezam madanam cakAra KH-_3.72d
   bhāgaḥ katama eṣa te Ks_6.23d	BAgaH katamaH eza te KH-_6.23d
   bhāgīrathīnirjharasīkarāṇāṃ Ks_1.15a	BAgIraTI-nirJara-sIkarANAm KH-_1.15a
   bhāti kiñcid iva śeṣavat saraḥ Ks_8.37d	BAti kiQcid iva Sezavat saraH KH-_8.37d
   bhāti kesaravateva maṇḍitā Ks_8.40c	BAti kesaravatA-iva maNxitA KH-_8.40c
   bhāti bhūtir iva mattadantinaḥ Ks_8.69d	BAti BUtiH iva matta-dantinaH KH-_8.69d
   bhānum agniparikīrṇatejasaṃ Ks_8.41c	BAnum agni-parikIrNa-tejasam Ks_8.41c
   bhāvasādhvasaparigrahād abhūt Ks_8.1c	BAva-sADvasa-parigrahAt aBUt KH-_8.1c
   bhāvasūcitam adṛṣṭavipriyaṃ Ks_8.15a	BAva-sUcitam adRzwa-vipriyam KH-_8.15a
   bhāvāntaraṃ tasya vibhoḥ prapede Ks_7.31d	BAva-antaram tasya viBoH prapede KH-_7.31d
   bhāsā jvalat kāñcanatoraṇānāṃ Ks_7.3c	BAsA jvalat kAQcana-toraNAnAm KH-_7.3c
   bhāsvatāṃ darśanena vaḥ Ks_6.60b	BAsvatAm darSanena vaH KH-_6.60b
   bhāsvanti ratnāni mahauṣadhīś ca Ks_1.2c	BAsvanti ratnAni mahOzaDIH ca Ks_1.2c
   bhikṣāsi parikalpitā Ks_6.88b	BikzA-asi parikalpitA KH-_6.88b
   bhidyate kumudam ā nibandhanāt Ks_8.70d	Bidyate kumudam A nibanDanAt KH-_8.70d
   bhindanti mandāṃ gatim aśvamukhyaḥ Ks_1.11d	Bindanti mandAm gatim aSva-muKyaH KH-_1.11d
   bhinnamūrteḥ sisṛkṣayā Ks_2.7b	Binna-mUrteH sisRkzayA KH-_2.7b
   bhinnaikasetū payasām ivaughau Ks_7.53d	Binna-eka-setU payasAm iva-oGO KH-_7.53d
   bhujaṃgamonnaddhajaṭākalāpaṃ Ks_3.46a	BujaMgama-unnadDa-jawA-kalApam KH-_3.46a
   bhujaṃgāḥ paryupāsate Ks_2.38d	BujaMgAH paryupAsate KH-_2.38d
   bhuvanālokanaprītiḥ Ks_2.45a	Buvana-Alokana-prItiH KH-_2.45a
   bhuvā sahoṣmāṇam amuñcad ūrdhvagam Ks_5.23d	BuvA saha-UzmANam amuQcat UrDva-gam KH-_5.23d
   bhūtānāṃ pralayodayau Ks_2.8d	BUtAnAm pralaya-udayO KH-_2.8d
   bhūtārthaśobhāhriyamāṇanetrāḥ Ks_7.13c	BUta-arTa-SoBA-hriyamANa-netrAH KH-_7.13c
   bhūmer divam ivārūḍhaṃ Ks_6.55c	BUmeH divam iva-ArUXam KH-_6.55c
   bhūyān dārārtham ādaraḥ Ks_6.13b	BUyAn dAra-arTam AdaraH KH-_6.13b
   bhūyo babhau darpaṇam ādadhānā Ks_7.26d	BUyas baBO darpaNam AdaDAnA KH-_7.26d
   bhūrjatvacaḥ kuñjarabinduśoṇāḥ Ks_1.7b	BUrja-tvacaH kuQjara-bindu-SoNAH KH-_1.7b
   bhūrjatvacaḥ sparśavatīr dadhānāḥ Ks_1.55b	BUrja-tvacaH sparSavatIH daDAnAH KH-_1.55b
   bhojyaṃ bhoktā ca śāśvataḥ Ks_2.15b	Bojyam BoktA ca SASvataH KH-_2.15b
   bhrūkṣepamātrānumatapraveśām Ks_3.60d	BrU-kzepa-mAtra-anumata-praveSAm KH-_3.60d
   bhrūbhaṅgaduṣprekṣyamukhasya tasya Ks_3.71b	BrU-BaFga-duzprekzya-muKasya tasya KH-_3.71b
   bhrūbhedibhiḥ sakampoṣṭhair Ks_6.45a	BrU-BediBiH sa-kampa-uzWEH KH-_6.45a
   bhrūvikriyāyāṃ virataprasaṅgaiḥ Ks_3.47b	BrUvikriyAyAm virata-prasaFgEH KH-_3.47b
   maṅgalālaṅkṛtāṃ sutām Ks_6.87d	maFgala-alaFkRtAm sutAm KH-_6.87d
   maṇḍalāgram iva tiryagujjhitam Ks_8.54d	maNxalAgram iva tiryak-ujJitam KH-_8.54d
   matkārmukasyāsya nideśavartī Ks_3.4d	mad-kArmukasya-asya nideSa-vartI KH-_3.4d
   mattaraktanayanaṃ svabhāvataḥ Ks_8.76b	mattarakta-nayanam svaBAvataH KH-_8.76b
   madanena vinākṛtā ratiḥ Ks_4.21a	madanena vinAkRtA ratiH KH-_4.21a
   madoddhatāḥ pratyanilaṃ vicerur Ks_3.31c	mada-udDatAH pratyanilam viceruH KH-_3.31c
   madhu dvirephaḥ kusumaikapātre Ks_3.36a	maDu dvirePaH kusuma-eka-pAtre KH-_3.36a
   madhunā saha sasmitaṃ kathāṃ Ks_4.23c	maDunA saha sa-smitam kaTAm KH-_4.23c
   madhur ātmānam adarśayat puraḥ Ks_4.25d	maDuH AtmAnam adarSayat puras KH-_4.25d
   madhurālāpanisargapaṇḍitām Ks_4.16d	maDura-AlApa-nisarga-paNxitAm KH-_4.16d
   madhuś ca te manmatha sāhacaryād Ks_3.21a	maDuH ca te manmaTa sAhacaryAt KH-_3.21a
   madhau parabhṛtāmukhī Ks_6.2d	maDO paraBRtA-muKI KH-_6.2d
   madhyapiṇḍitavisūtramekhalam Ks_8.89b	maDya-piNxita-visUtra-meKalam KH-_8.89b
   madhyena sā vedivilagnamadhyā Ks_1.39a	maDyena sA vedi-vilagna-maDyA KH-_1.39a
   madhye yathā śyāmamukhasya tasya Ks_1.40c	maDye yaTA SyAma-muKasya tasya Ks_1.40c
   manasaḥ śikharāṇāṃ ca Ks_6.66c	manasaH SiKarANAm ca Ks_6.66c
   manasā kāryasaṃsiddhi- Ks_2.63c	manasA kArya-saMsidDi KH-_2.63c
   manasā samaraṃhasaḥ Ks_6.36d	manasA sama-raMhasaH KH-_6.36d
   manas tu me saṃśayam eva gāhate Ks_5.46b	manaH tu me saMSayam eva gAhate KH-_5.46b
   manasy āhitakartavyās Ks_2.62c	manasi Ahita-kartavyAH KH-_2.62c
   manasvinīnāṃ pratipattir īdṛśī Ks_5.42b	manasvinInAm pratipattiH IdRSI KH-_5.42b
   manasvinīmānavighātadakṣaṃ Ks_3.32c	manasvinI-mAna-viGAta-dakzam KH-_3.32c
   manaḥśilāvicchuritā niṣeduḥ Ks_1.55c	manaHSilA-vicCuritAH nizeduH Ks_1.55c
   manīṣitāḥ santi gṛhe 'pi devatās Ks_5.4a	manIzitAH santi gRhe api devatAH Ks_5.4a
   manīṣibhiḥ sāptapadīnam ucyate Ks_5.39d	manIziBiH sAptapadInam ucyate KH-_5.39d
   manogataṃ sā na śaśāka śaṃsitum Ks_5.51b	manogatam sA na SaSAka SaMsitum KH-_5.51b
   mano navadvāraniṣiddhavṛtti Ks_3.50a	manaH nava-dvAra-nizidDa-vRtti KH-_3.50a
   manorathajñaṃ pitaraṃ manasvinī Ks_5.6b	manoraTa-jQam pitaram manasvinI KH-_5.6b
   manorathaprārthitam īśvareṇa Ks_7.68b	manoraTa-prArTitam ISvareNa KH-_7.68b
   manorathasyāviṣayaṃ Ks_6.17c	manoraTasya-avizayam Ks_6.17c
   manorathānām agatir na vidyate Ks_5.64d	manoraTAnAm agatiH na vidyate KH-_5.64d
   manoratho yaḥ prathamo babhūva Ks_7.24b	manoraTaH yaH praTamaH baBUva KH-_7.24b
   manoratho 'syāḥ śaśimaulisaṃśrayaḥ Ks_5.60d	manoraTaH asyAH SaSi-mOli-saMSrayaH KH-_5.60d
   manoramaṃ yauvanam udvahantyā Ks_1.19c	manoramam yOvanam udvahantyA KH-_1.19c
   manoviṣayam ātmanaḥ Ks_6.17d	manaH-vizayam AtmanaH KH-_6.17d
   mantrapūrvam anutasthivān vidhim Ks_8.50b	mantra-pUrvam anutasTivAn viDim KH-_8.50b
   mantreṇa hatavīryasya Ks_2.21c	mantreNa hata-vIryasya Ks_2.21c
   mandarasya kaṭakeṣu cāvasat Ks_8.23c	mandarasya kawakezu ca-avasat Ks_8.23c
   mandarāntaritamūrtinā niśā Ks_8.59a	mandara-antarita-mUrtinA niSA KH-_8.59a
   mandākinīpuṣkarabījamālām Ks_3.65d	mandAkinI-puzkara-bIjamAlAm KH-_3.65d
   mandākinīsaikatavedikābhiḥ Ks_1.29a	mandAkinI-sEkata-vedikABiH KH-_1.29a
   mandākinyāḥ payaḥśeṣaṃ Ks_2.44a	mandAkinyAH payaH-Sezam KH-_2.44a
   mandīcakāra maraṇavyavasāyabuddhim Ks_4.45b	mandIcakAra maraNa-vyavasAya-budDim KH-_4.45b
   manye bhavadanugrahāt Ks_6.55d	manye Bavat-anugrahAt KH-_6.55d
   mamatvam uccaiḥśirasāṃ satīva Ks_1.12d	mamatvam uccEs-SirasAm satI-iva KH-_1.12d
   mamātra bhāvaikarasaṃ manaḥ sthitaṃ Ks_5.82c	mama-atra BAva-eka-rasam manaH sTitam Ks_5.82c
   mamāpi pūrvāśramasaṃcitaṃ tapaḥ Ks_5.50b	mama-api pUrva-ASrama-saMcitam tapaH KH-_5.50b
   mayā cāsmai pratiśrutam Ks_2.56b	mayA ca-asmE pratiSrutam KH-_2.56b
   mayi sṛṣṭir hi lokānāṃ Ks_2.28c	mayi sRzwiH hi lokAnAm KH-_2.28c
   mahākośīprapāte 'smin Ks_6.33c	mahAkoSI-prapAte asmin KH-_6.33c
   mahājanaḥ smeramukho bhaviṣyati Ks_5.70d	mahAjanaH smera-muKaH Bavizyati KH-_5.70d
   mahātapaḥsākṣya iva sthitāḥ kṣapāḥ Ks_5.25d	mahA-tapaH-sAkzyaH iva sTitAH kzapAH KH-_5.25d
   mahārhaśayyāparivartanacyutaiḥ Ks_5.12a	mahArha-SayyA-parivartana-cyutEH KH-_5.12a
   mahāvarāhadaṃṣṭrāyāṃ Ks_6.8c	mahAvarAha-daMzwrAyAm KH-_6.8c
   mahimānam udīrayan Ks_2.6b	mahimAnam udIrayan KH-_2.6b
   mahīdharaḥ pāvita eṣa sānvayaḥ Ks_5.37d	mahIDaraH pAvitaH eza sa-anvayaH KH-_5.37d
   mahībhṛtaḥ putravato 'pi dṛṣṭis Ks_1.27a	mahIBRtaH putravataH api dRzwiH KH-_1.27a
   mahauṣadhiṃ naktam ivātmabhāsaḥ Ks_1.30b	mahOzaDim naktam iva-Atma-BAsaH KH-_1.30b
   māṅgalyam ādāya manaḥśilāṃ ca Ks_7.23b	mAFgalyam AdAya manaHSilAm ca KH-_7.23b
   mā cāpalāyeti gaṇān vyanaiṣīt Ks_3.41d	mA cApalAya-iti gaNAn vyanEzIt KH-_3.41d
   mātaraṃ kalpayanty enām Ks_6.80c	mAtaram kalpayanti enAm Ks_6.80c
   mātā tadīyaṃ mukham unnamayya Ks_7.23d	mAtA tadIyam muKam unnamayya KH-_7.23d
   mātur asyati śucaṃ vadhūjanaḥ Ks_8.12d	mAtuH asyati Sucam vaDU-janaH KH-_8.12d
   mādhyasthyam iṣṭe 'py avalambate 'rthe Ks_1.52d	mADyasTyam izwe api avalambate arTe KH-_1.52d
   mānayitvā jagadgurum Ks_6.15b	mAnayitvA jagadgurum KH-_6.15b
   mānyabhaktir athavā sakhījanaḥ Ks_8.77a	mAnya-BaktiH aTavA saKI-janaH KH-_8.77a
   mārute calati caṇḍi kevalaṃ Ks_8.71c	mArute calati caNxi kevalam Ks_8.71c
   mārgācalavyatikarākuliteva sindhuḥ Ks_5.85c	mArga-acala-vyatikara-AkulitA-iva sinDuH KH-_5.85c
   mārge śilībhūtahime 'pi yatra Ks_1.11b	mArge SilIBUta-hime api yatra KH-_1.11b
   mālyena tāṃ nirvacanaṃ jaghāna Ks_7.19d	mAlyena tAm nirvacanam jaGAna KH-_7.19d
   māsamātram avasad vṛṣadhvajaḥ Ks_8.20d	mAsa-mAtram avasat vRzaDvajaH KH-_8.20d
   māhendram ambhaḥ prathamaṃ pṛthivyā Ks_7.84d	mAhendram amBaH praTamam pRTivyA KH-_7.84d
   miṣatām ācchinatti naḥ Ks_2.46d	mizatAm AcCinatti naH KH-_2.46d
   mīnapaṅktipunaruktamekhalā Ks_8.26d	mIna-paFkti-punarukta-meKalA KH-_8.26d
   mīlanāya khalu tāvataś cyutam Ks_8.43d	mIlanAya Kalu tAvataH cyutam KH-_8.43d
   muktaṣaṭpadavirāvam añjasā Ks_8.70c	mukta-zawpada-virAvam aQjasA KH-_8.70c
   muktākalāpasya ca nistalasya Ks_1.42b	muktA-kalApasya ca nistalasya KH-_1.42b
   muktākalāpīkṛtasinduvāraṃ Ks_3.53c	muktA-kalApIkRta-sinduvAram KH-_3.53c
   muktāphalaṃ vā sphuṭavidrumastham Ks_1.44b	muktAPalam vA sPuwa-vidruma-sTam KH-_1.44b
   muktāphalaiḥ kesariṇāṃ kirātāḥ Ks_1.6d	muktAPalEH kesariNAm kirAtAH KH-_1.6d
   muktāyajñopavītāni Ks_6.6a	muktA-yajQopavItAni KH-_6.6a
   mukhaṃ tadīyaṃ kamalaśriyaṃ dadhau Ks_5.21b	muKam tadIyam kamala-Sriyam daDO KH-_5.21b
   mukhārpitaikāṅgulisaṃjñayaiva Ks_3.41c	muKa-arpita-eka-aFguli-saMjQayA-eva Ks_3.41c
   mukhena paryastavilocanena Ks_3.68d	muKena paryasta-vilocanena KH-_3.68d
   mukhena sā padmasugandhinā niśi Ks_5.27a	muKena sA padma-suganDinA niSi KH-_5.27a
   mukhe madhuśrīs tilakaṃ prakāśya Ks_3.30b	muKe maDu-SrIH tilakam prakASya KH-_3.30b
   mukhaiḥ prabhāmaṇḍalareṇugauraiḥ Ks_7.38c	muKEH praBA-maNxala-reNu-gOrEH KH-_7.38c
   muñca kopam animittakopane Ks_8.51a	muQca kopam animitta-kopane KH-_8.51a
   munivratais tvām atimātrakarśitāṃ Ks_5.48a	muni-vratEH tvAm atimAtra-karSitAm KH-_5.48a
   munīṃś cāpaśyad īśvaraḥ Ks_6.12b	munIn ca-apaSyat ISvaraH KH-_6.12b
   muhūrtakarṇotpalatāṃ prapede Ks_7.81d	muhUrta-karNa-utpala-tAm prapede KH-_7.81d
   mūkāṇḍajaṃ śāntamṛgapracāram Ks_3.42b	mUka-aNxa-jam SAnta-mRga-pracAram KH-_3.42b
   mūḍhaṃ buddham ivātmānaṃ Ks_6.55a	mUXam budDam iva-AtmAnam KH-_6.55a
   mūrcchanāparigṛhītakaiśikaiḥ Ks_8.85c	mUrcCanA-parigRhIta-kESikEH KH-_8.85c
   mūrtir jalamayī mama Ks_2.60d	mUrtiH jala-mayI mama KH-_2.60d
   mūrte ca gaṅgāyamune tadānīṃ Ks_7.42a	mUrte ca gaFgA-yamune tadAnIm KH-_7.42a
   mūrdhakampamayam uttaraṃ dadau Ks_8.6d	mUrDa-kampa-mayam uttaram dadO KH-_8.6d
   mūrdhānam āli kṣitidhāraṇoccam Ks_7.68c	mUrDAnam Ali kziti-DAraNa-uccam Ks_7.68c
   mūrdhnā praṇāmaṃ vṛṣabhadhvajāya Ks_3.62d	mUrDnA praNAmam vRzaBaDvajAya KH-_3.62d
   mūrdhni gaṅgāprapātena Ks_6.57c	mUrDni gaFgA-prapAtena Ks_6.57c
   mūlasekasarasaiś ca vṛkṣakaiḥ Ks_8.38b	mUla-seka-sarasEH ca vRkzakEH KH-_8.38b
   mṛgāḥ priyāladrumamañjarīṇāṃ Ks_3.31a	mRgAH priyAla-druma-maQjarINAm KH-_3.31a
   mṛgīm akaṇḍūyata kṛṣṇasāraḥ Ks_3.36d	mRgIm akaNxUyata kRzNasAraH KH-_3.36d
   mṛṇālamṛdubhiḥ phaṇaiḥ Ks_6.68b	mRNAla-mRduBiH PaNEH KH-_6.68b
   mṛṇālasūtrādhikasaukumāryāṃ Ks_3.49c	mRNAla-sUtra-aDika-sOkumAryAm KH-_3.49c
   mṛṇālasūtrāntaram apy alabhyam Ks_1.40d	mRNAla-sUtra-antaram api alaByam KH-_1.40d
   mṛṇālikāpelavam evamādibhir Ks_5.29a	mRNAlikA-pelavam evamAdiBiH KH-_5.29a
   mṛdu prakṛtyā ca sasāram eva ca Ks_5.19d	mRdu prakRtyA ca sasAram eva ca KH-_5.19d
   mekhalātaruṣu nidritān amūn Ks_8.67c	meKalA-taruzu nidritAn amUn Ks_8.67c
   mekhalāpaṇayalolatāṃ gataṃ Ks_8.14c	meKalA-paNaya-lola-tAm gatam Ks_8.14c
   menāmukham udaikṣata Ks_6.85b	menA-muKam udEkzata KH-_6.85b
   menāṃ munīnām api mānanīyām Ks_1.18c	menAm munInAm api mAnanIyAm KH-_1.18c
   mene menāpi tat sarvaṃ Ks_6.86a	mene menA-api tat sarvam KH-_6.86a
   merum etya marudāśugokṣakaḥ Ks_8.22a	merum etya marut-ASu-gokzakaH KH-_8.22a
   meror upānteṣv iva vartamānam Ks_7.79c	meroH upAntezu iva vartamAnam Ks_7.79c
   merau sthite dogdhari dohadakṣe Ks_1.2b	merO sTite dogDari doha-dakze KH-_1.2b
   maitre muhūrte śaśalāñchanena Ks_7.6a	mEtre muhUrte SaSalAQCanena Ks_7.6a
   mainākam ambhonidhibaddhasakhyam Ks_1.20b	mEnAkam amBoniDi-badDa-saKyam KH-_1.20b
   mokṣyate surabandīnāṃ Ks_2.61c	mokzyate sura-bandInAm KH-_2.61c
   moghayatnavidhurā rahasy abhūt Ks_8.7d	moGa-yatna-viDurA rahasi aBUt KH-_8.7d
   mohena saṃstambhayatendriyāṇām Ks_3.73b	mohena saMstamBayata-indriyANAm KH-_3.73b
   maurvīṃ dvitīyām iva kārmukasya Ks_3.55d	mOrvIm dvitIyAm iva kArmukasya KH-_3.55d
   maulicandraśakalena śūlinaḥ Ks_8.18d	mOli-candra-Sakalena SUlinaH KH-_8.18d
   ya utpalākṣi pracalair vilocanais Ks_5.35c	yaH utpala-akzi pracalEH vilocanEH Ks_5.35c
   yakṣāḥ kiṃpuruṣāḥ paurā Ks_6.39c	yakzAH kiMpuruzAH pOrA KH-_6.39c
   yac ca taptaṃ tapas tasya Ks_6.16c	yat ca taptam tapaH tasya Ks_6.16c
   yajamāna ivāraṇim Ks_6.28d	yajamAnaH iva-araNim KH-_6.28d
   yajñabhāgabhujāṃ madhye Ks_6.72a	yajQa-BAga-BujAm maDye KH-_6.72a
   yajñāṅgayonitvam avekṣya yasya Ks_1.17a	yajQa-aFga-yoni-tvam avekzya yasya Ks_1.17a
   yajvabhiḥ saṃbhṛtaṃ havyaṃ Ks_2.46a	yajvaBiH saMBRtam havyam KH-_2.46a
   yataḥ satāṃ saṃnatagātri saṃgataṃ Ks_5.39c	yatas satAm saMnata-gAtri saMgatam Ks_5.39c
   yatātmane rocayituṃ yatasva Ks_3.16b	yata-Atmane rocayitum yatasva KH-_3.16b
   yat tad eva gurudakṣiṇīkṛtam Ks_8.17d	yat tat eva guru-dakziNIkRtam KH-_8.17d
   yatra kalpadrumair eva Ks_6.41a	yatra kalpadrumEH eva KH-_6.41a
   yatra kopaiḥ kṛtāḥ strīṇām Ks_6.45c	yatra kopEH kRtAH strINAm Ks_6.45c
   yatra sphaṭikaharmyeṣu Ks_6.42a	yatra sPawika-harmyezu KH-_6.42a
   yatra srutakṣīratayā prasūtaḥ Ks_1.9c	yatra sruta-kzIra-tayA prasUtaH Ks_1.9c
   yatrāśvā bilayonayaḥ Ks_6.39b	yatra-aSvAH bila-yonayaH KH-_6.39b
   yatrāṃśukākṣepavilajjitānāṃ Ks_1.14a	yatra-aMSuka-Akzepa-vilajjitAnAm KH-_1.14a
   yatrauṣadhiprakāśena Ks_6.43a	yatra-ozaDi-prakASena KH-_6.43a
   yathā tadīyair nayanaiḥ kutūhalāt Ks_5.15c	yaTA tadIyEH nayanEH kutUhalAt Ks_5.15c
   yathā tvadīyaiś caritair anāvilair Ks_5.37c	yaTA tvadIyEH caritEH anAvilEH KH-_5.37c
   yathāpradeśaṃ bhujageśvarāṇāṃ Ks_7.34a	yaTApradeSam Bujaga-ISvarANAm KH-_7.34a
   yathāpradeśaṃ viniveśitena Ks_1.49b	yaTApradeSam viniveSitena KH-_1.49b
   yathā prasiddhair madhuraṃ śiroruhair Ks_5.9a	yaTA prasidDEH maDuram SiroruhEH KH-_5.9a
   yathārthā hṛdayaṃgamāḥ Ks_2.16b	yaTArTAH hRdayaMgamAH KH-_2.16b
   yathāvṛddhapurassarā Ks_6.49b	yaTA-vRdDa-purassarA KH-_6.49b
   yathā śrutaṃ vedavidāṃ vara tvayā Ks_5.64a	yaTA Srutam veda-vidAm vara tvayA KH-_5.64a
   yathaiva ślāghyate gaṅgā Ks_6.70a	yaTA-eva SlAGyate gaFgA KH-_6.70a
   yad agnau vidhinā hutam Ks_6.16b	yat agnO viDinA hutam KH-_6.16b
   yad adhyakṣeṇa jagatāṃ Ks_6.17a	yat aDyakzeNa jagatAm KH-_6.17a
   yad adhyāsitam arhadbhis Ks_6.56c	yat aDyAsitam arhadBiH Ks_6.56c
   yad amogham apām antar Ks_2.5a	yat amoGam apAm antar Ks_2.5a
   yadartham ambhojam ivoṣṇavāraṇaṃ Ks_5.52c	yad-arTam amBojam iva-uzNa-vAraNam KH-_5.52c
   yad avocas tad avaimi kaitavam Ks_4.9b	yat avocaH tat avEmi kEtavam KH-_4.9b
   yadā ca tasyādhigame jagatpater Ks_5.59a	yadA ca tasya-aDigame jagatpateH KH-_5.59a
   yadā phalaṃ pūrvatapaḥsamādhinā Ks_5.18a	yadA Palam pUrva-tapaH-samADinA KH-_5.18a
   yadā budhaiḥ sarvagatas tvam ucyase Ks_5.58a	yadA buDEH sarva-gataH tvam ucyase KH-_5.58a
   yad idaṃ kaṇaśaḥ prakīryate Ks_4.27c	yat idam kaNaSas prakIryate Ks_4.27c
   yad ucyate pārvati pāpavṛttaye Ks_5.36a	yat ucyate pArvati pApa-vRttaye KH-_5.36a
   yad ūḍhayā vāraṇarājahāryayā Ks_5.70b	yat UXayA vAraNa-rAja-hAryayA KH-_5.70b
   yadṛcchayā kiṃpuruṣāṅganānām Ks_1.14b	yadRcCayA kiMpuruza-aFganAnAm KH-_1.14b
   yad eka eva pratigṛhya sevyate Ks_5.38d	yat ekaH eva pratigRhya sevyate KH-_5.38d
   yadaiva pūrve janane śarīraṃ Ks_1.53a	yadA-eva pUrve janane SarIram KH-_1.53a
   yad brahma samyag āmnātaṃ Ks_6.16a	yat brahma samyak AmnAtam Ks_6.16a
   yad rataṃ ca sadayaṃ priyasya tat Ks_8.9c	yat ratam ca sa-dayam priyasya tat Ks_8.9c
   yad vāyur anviṣṭamṛgaiḥ kirātair Ks_1.15c	yat vAyuH anvizwa-mRgEH kirAtEH KH-_1.15c
   yan mukhagrahaṇam akṣatādharaṃ Ks_8.9a	yat muKa-grahaNam akzata-aDaram KH-_8.9a
   yam akṣaraṃ kṣetravido vidus tam Ks_3.50c	yam akzaram kzetra-vidaH viduH tam Ks_3.50c
   yam āmananty ātmabhuvo 'pi kāraṇaṃ Ks_5.81c	yam Amananti AtmaBuvaH api kAraNam Ks_5.81c
   yamo 'pi vilikhan bhūmiṃ Ks_2.23a	yamaH api viliKan BUmim KH-_2.23a
   yayācire pañcaśarasya sevām Ks_7.92d	yayAcire paQcaSarasya sevAm KH-_7.92d
   yayau śalākām aparā vahantī Ks_7.59d	yayO SalAkAm aparA vahantI KH-_7.59d
   yaś cāpsarovibhramamaṇḍanānāṃ Ks_1.4a	yaH ca-apsaraH-viBrama-maNxanAnAm KH-_1.4a
   yasminn adrṣṭvāpi hatadvipānām Ks_1.6b	yasmin adrzwvA-api hata-dvipAnAm KH-_1.6b
   yasya cetasi vartethāḥ Ks_6.18a	yasya cetasi varteTAH KH-_6.18a
