   atha saptaviṃśo 'dhyāyaḥ	aTa saptaviMSaH aDyAyaH
   kūrmavaktraśca bhagavān saṃsthitaḥ śaṅkhacakradhṛk // Paus_36.322 //	kUrma vaktraH ca BagavAn saMsTitaH SaFKa cakra DRk // POH _36.322 //
   nṛhariḥ kṛtaśauce tu ujjayinyām api dvija /	nRhariH kRta SOce tu ujjayinyAm api dvija /
   viśākhamūlasaṃjñe tu sthāne tvevaṃ sthitastridhā // Paus_36.323 //	viSAKa mUla saMjQe tu sTAne tu evam sTitaH triDA // POH _36.323 //
   kokāmukhe varāhastu vārāhe tu nagottame /	kokAmuKe varAhaH tu vArAhe tu naga uttame /
   kandamāle vivai(?ce)taste kulakukṣau himācale // Paus_36.324 //	kanda mAle vivE(?ce)tas te kula kukzO himAcale // POH _36.324 //
   vāmanaṃ kharvamūrtiṃ ca vaiśvarūpyeṇa saṃsthitam ? /	vAmanam Karva mUrtim ca vESvarUpyeNa saMsTitam ? /
   madhyadeśe tu gaṅgāyāḥ kurūkṣetre tu pauṣkara // Paus_36.325 //	maDyadeSe tu gaFgAyAH kuru ukzetre tu pOzkara // POH _36.325 //
   yāmunaṃ kulamāsādya prādurbhāvāntaraṃ mahat /	yAmunam kulam AsAdya prAdurBAva antaram mahat /
   sthitaṃ trivikramākhyaṃ yastrailokyākrāntāvigrahaḥ // Paus_36.326 //	sTitam trivikrama AKyam yaH trElokya AkrAntA vigrahaH // POH _36.326 //
   nagottame mahendrākhye paraśvathakaro dvija /	naga uttame mahA indra AKye paraSvaTa karaH dvija /
   rāmasaṃjñaśca bhagavān saṃsthitaḥ kṣatriyāntakaḥ // Paus_36.327 //	rAma saMjQaH ca BagavAn saMsTitaH kzatriya antakaH // POH _36.327 //
   dharādhare citrakūṭe rakṣaḥkṣayakaro mahān /	DarADare citrakUwe rakzaH kzaya karaH mahAn /
   saṃsthitaścāparo rāmaḥ padmapatrāyatekṣaṇaḥ // Paus_36.328 //	saMsTitaH ca aparaH rAmaH padma patra Ayata IkzaNaH // POH _36.328 //
   rāmo 'nyaḥsīrapāṇir vai yāmunaṃ bhrāmayañjalam /	rAmaH anyaH sIra pANiH vE yAmunam BrAmayan jalam /
   saṃsthito mānuṣīyeṣu bhūbhāgeṣu śubheṣu ca // Paus_36.329 //	saMsTitaH mAnuzIyezu BU BAgezu SuBezu ca // POH _36.329 //
   sāmudre 'pi tato dvīpe dvārakākhye 'marārcite /	sAmudre api tatas dvIpe dvArakA AKye amara arcite /
   vartate bhagavān kṛṣṇaḥ sarvātmā parameśvaraḥ // Paus_36.330 //	vartate BagavAn kRzNaH sarva AtmA parameSvaraH // POH _36.330 //
   kalkī viṣṇuśca bhagavān stūyamāno dvijaiḥ sthitaḥ /	kalkI vizNuH ca BagavAn stUyamAnaH dvijEH sTitaH /
   samāsādya vipāśāṃ ca nadīṃ niyatamānasaḥ // Paus_36.331 //	samAsAdya vipASAm ca nadIm niyata mAnasaH // POH _36.331 //
   dharmamūrtir mahātmā vai dharmāraṇye surārcite /	Darma mUrtiH mahAtmA vE DarmAraNye sura arcite /
   anugrahaparastvāste lokānāṃ lokapūjitaḥ // Paus_36.332 //	anugraha paraH tu Aste lokAnAm loka pUjitaH // POH _36.332 //
   narasaṃjñaṃ jagannāthaṃ siddhaiḥ saṃpūjiteṣu ca /	nara saMjQam jagannATam sidDEH saMpUjitezu ca /
   bhūbhāgeṣu ca ramyeṣu nityasannihitaḥ sthitaḥ // Paus_36.333 //	BU BAgezu ca ramyezu nitya sannihitaH sTitaH // POH _36.333 //
   girau govardhanākhye tu devaḥ sarveśvaro hariḥ /	girO govarDana AKye tu devaH sarva ISvaraH hariH /
   saṃsthitaḥ pūjite sthāne gavāṃ niṣkramaṇeṣu ca // Paus_36.334 //	saMsTitaH pUjite sTAne gavAm nizkramaNezu ca // POH _36.334 //
   sāligrāme ca bhagavān rājendrākhye vane dvija /	sa aligrAme ca BagavAn rAja indra AKye vane dvija /
   tathaiva vasudhāṃśena sthito devavratābhidhe // Paus_36.335 //	taTA eva vasuDA aMSena sTitaH devavrata aBiDe // POH _36.335 //
   kṛṣṇo 'paraścaturmūrtir avatīrya dharātale /	kRzNaH aparaH catur mUrtiH avatIrya DarA tale /
   sthitaḥpiṇḍārake vipra mocayanduṣkṛtājjanān // Paus_36.336 //	sTitaH piNxArake vipra mocayan duzkRtAt janAn // POH _36.336 //
   śvetadvīpe kurūkṣetre himavantācale 'bjaja /	SvetadvIpe kuru ukzetre himavantA acale abja ja /
   vedikāyāmapi nare viśvarūpaḥsthitaḥ prabhuḥ // Paus_36.337 //	vedikAyAm api nare viSva rUpaH sTitaH praBuH // POH _36.337 //
   kṣīrodadhau padmanābhaḥśeṣāhiśayanopari /	kzIrodaDO padmanABaH Seza ahi Sayana upari /
   sthito nābhyabjasaṃbhūto yasmāccaiva pitāmahaḥ // Paus_36.338 //	sTitaH nABi abja saMBUtaH yasmAt ca eva pitAmahaH // POH _36.338 //
   caturdhā rūpamāśritya viśve 'smin saiva vartate ? /	caturDA rUpam ASritya viSve asmin sA eva vartate ? /
   hitāya sarvalokānāṃ yathāvad avadhāraya // Paus_36.339 //	hitAya sarva lokAnAm yaTAvat avaDAraya // POH _36.339 //
   āsādya śayanaṃ brahman pātālatalasaṃsthitaḥ /	AsAdya Sayanam brahman pAtAla tala saMsTitaH /
   [rūpa]mādāya cāgneyaṃ yo 'nte saṃharate jagat // Paus_36.340 //	[rUpa]m AdAya ca Agneyam yaH ante saMharate jagat // POH _36.340 //
   vaṭamūlaṃ samāśritya prayāge surapūjite /	vawa mUlam samASritya prayAge sura pUjite /
   jagadekārṇavaṃ kṛtvā divyam āsādya pādapam // Paus_36.341 //	jagat ekArNavam kRtvA divyam AsAdya pAdapam // POH _36.341 //
   santiṣṭhate sa bhagavāṃstasmiṃstīre kṣitau dvija /	santizWate sa BagavAn= tasmin= tIre kzitO dvija /
   nyagrodhaśāyinaṃ caiva dhyoyeddivyagatipradam // Paus_36.342 //	nyagroDa SAyinam ca eva Dyoyet divya gati pradam // POH _36.342 //
   himācalaikadeśe tu tuṅge vai bhṛgusaṃjñake /	himAcala eka deSe tu tuFge vE BRgu saMjQake /
   madhukaiṭabhamāthī ca saṃsthitaḥ so 'vanītale // Paus_36.343 //	maDu kEwaBamATI ca saMsTitaH saH avanI tale // POH _36.343 //
   kṣīrodakakṣitikṣetre surāsuraniṣevite /	kzIra udaka kziti kzetre sura asura nizevite /
   mandrarādrikaro devo vartate devapūjitaḥ // Paus_36.344 //	mandrarAdri karaH devaH vartate deva pUjitaH // POH _36.344 //
   tatraivāmṛtajiddevaḥ saṃsthitaḥ siddhasevitaḥ /	tatra eva amRta jit devaH saMsTitaH sidDa sevitaH /
   kāntārūpadharaścaiva sudhākalaśadhṛk tathā // Paus_36.345 //	kAntA rUpa DaraH ca eva suDA kala SaDRk taTA // POH _36.345 //
   siddhānāṃ ca munīnāṃ ca devānāṃ mṛtyujit sthitaḥ /	sidDAnAm ca munInAm ca devAnAm mRtyu jit sTitaH /
   dvidhā kartā gaṇopetaṃ devaṃ garūḍavāhanam // Paus_36.346 //	dviDA kartA gaNa upetam devam garUxa vAhanam // POH _36.346 //
   sālavṛkṣabhujoddeśe sāligrāme sthito vibhuḥ /	sAla vRkza Buja uddeSe sa aligrAme sTitaH viBuH /
   trikūṭagiripṛṣṭhe tu gamye gaganacāriṇām // Paus_36.347 //	trikUwa giri pRzWe tu gamye gagana cAriNAm // POH _36.347 //
   gajoddhṛticchalenaiva aprameyākhyayā sthitaḥ /	gaja udDRti= Calena eva aprameya AKyayA sTitaH /
   śvetadvīpapatir deva avatīrya ca saṃsthitaḥ // Paus_36.348 //	SvetadvIpa patiH deva avatIrya ca saMsTitaH // POH _36.348 //
   gaṃgāsamudrasaṃyoge kṣityudeśe manorame /	gaMgA samudra saMyoge kziti u deSe manorame /
   yajñabhug bhagavān devo naimiśe siddhapūjite // Paus_36.349 //	yajQa Buj BagavAn devaH nEmiSe sidDa pUjite // POH _36.349 //
   saindhavāraṇyam āśritya ananto bhagavāṃssthitaḥ /	sEnDava araNyam ASritya anantaH BagavAn= sTitaH /
   śārṅgapāṇistu deveśo daṇḍakāraṇyasaṃjñake // Paus_36.350 //	SArFgapANiH tu deveSaH daNxaka araNya saMjQake // POH _36.350 //
   rakṣogaṇakulaṃ caiva saṃsthitaḥ tajjayaiṣiṇām /	rakzaH gaNa kulam ca eva saMsTitaH tad jaya eziNAm /
   utpalāvartake deśe śaurisaṃjño 'cyutaḥsa ca // Paus_36.351 //	utpalAvartake deSe SOri saMjQaH acyutaHsa ca // POH _36.351 //
   kṣitau samudrasindhvorabdheḥ saṅgame siddhasevite /	kzitO samudra sinDva uH abDeH saFgame sidDa sevite /
   jñānopadeṣṭā bhagavān saṃsthito duḥkhaśāntaye // Paus_36.352 //	jQAna upadezwAH BagavAn saMsTitaH duHKa SAntaye // POH _36.352 //
   āsādya sūkarakṣetraṃ devo garūḍavāhanaḥ /	AsAdya sUkara kzetram devaH garUxavAhanaH /
   saṃsthito garūḍārūḍhaḥ pārijātakarāṅkitaḥ // Paus_36.353 //	saMsTitaH garUxa ArUXaH pArijAta kara aFkitaH // POH _36.353 //
   siddhaiḥ suragaṇaiḥ sārdhaṃ gagane cāpi pauṣkara /	sidDEH sura gaNEH sArDam gagane ca api pOzkara /
   devadeveśanāmnātha hastiparvatamastake // Paus_36.354 //	devadeveSa nAmnA aTa hasti parvata mastake // POH _36.354 //
   ekadeśaṃ samāsādya sarvasya varadaḥ sthitaḥ /	eka deSam samAsAdya sarvasya vara daH sTitaH /
   mālyodapāṇir vaikuṣṭho magadhāyāṃ mahāmate // Paus_36.355 //	mAlya uda pANiH vEkuzWaH magaDAyAm mahAmate // POH _36.355 //
   oḍḍīnye puṇyabhūbhāge saṃsthitaḥ purūṣottamaḥ /	oxxInye puNya BU BAge saMsTitaH purUza uttamaH /
   acintyātmātha bhagavān parvate gandhamādane // Paus_36.356 //	acintya AtmA aTa BagavAn parvate ganDamAdane // POH _36.356 //
   śipiviṣṭākhyayā devaḥ śipiviṣṭavrate sthitaḥ /	Sipi vizwa AKyayA devaH Sipivizwa vrate sTitaH /
   prāksamudrāpayāne tu bhūbhāge śubhalakṣaṇe // Paus_36.357 //	prAc samudrA apayAne tu BU BAge SuBa lakzaNe // POH _36.357 //
   kāpilaṃ mūrtim āsādya vāsudevaḥ sthita prabhuḥ /	kApilam mUrtim AsAdya vAsudevaH sTita praBuH /
   avatīrya svatattvācca brahmasaṃjñaḥ prajāpatiḥ // Paus_36.358 //	avatIrya sva tattvAt ca brahma saMjQaH prajApatiH // POH _36.358 //
   maṇibandhaṃ samāsādya nityaṃ sannihitaḥ sthitaḥ /	maNibanDam samAsAdya nityam sannihitaH sTitaH /
   magadhāmaṇḍale vipra mahābodhadharāśritaḥ // Paus_36.359 //	magaDA maNxale vipra mahA boDaDara ASritaH // POH _36.359 //
   saṃsthito lokanāthātmā devadevo janārdanaḥ /	saMsTitaH lokanATa AtmA devadevaH janArdanaH /
   devadakṣiṇagākṣṇor vai yo 'bhimānatanur dvijaḥ // Paus_36.360 //	deva dakziNa gAkzNoH vE yaH aBimAna tanuH dvijaH // POH _36.360 //
   sūryasaṃjñastu bhagavān hemaśailopari sthitaḥ /	sUrya saMjQaH tu BagavAn hema SEla upari sTitaH /
   acyuto vāmanetre tu yo 'bhimānatanur vibhuḥ // Paus_36.361 //	acyutaH vAma netre tu yaH aBimAna tanuH viBuH // POH _36.361 //
   bhagavān somasaṃjñaḥ tu somatīrthāśrame 'pi ca /	BagavAn soma saMjQaH tu somatIrTa ASrame api ca /
   agnisvarūpamajitaṃ saṃsthitaṃ baḍabānale // Paus_36.362 //	agni svarUpam ajitam saMsTitam baxa bAnale // POH _36.362 //
   vasvātmā gagane vipra bhāsate tvasurāntakṛt /	vasu AtmA gagane vipra BAsate tu asura anta kRt /
   viṣṇunāmnā punar devaḥ tvanekāyudhamaṇḍitaḥ // Paus_36.363 //	vizNu nAmnA punar devaH tu aneka AyuDa maNxitaH // POH _36.363 //
   jayākhyayojjayinyāṃ vai sthitaḥ pāpajaye nṛṇām /	jaya AKyayA ujjayinyAm vE sTitaH pApa jaye nRNAm /
   kāśmīramaṇḍale puṇye kṣetre cakradharābhidhe // Paus_36.364 //	kASmIra maNxale puNye kzetre cakraDara aBiDe // POH _36.364 //
   cakrapāṇistu bhagavān bhaktānāṃ mokṣadaḥ sthitaḥ /	cakrapANiH tu BagavAn BaktAnAm mokza daH sTitaH /
   surottamābhidhānaśca gadāpāṇistu pauṣkara // Paus_36.365 //	surottama aBiDAnaH ca gadA pANiH tu pOzkara // POH _36.365 //
   sadā sannihitaṃ viddhi gaṅgādvāre suraiḥ saha /	sadA sannihitam vidDi gaFgAdvAre surEH saha /
   caturbhujaścaturmūrtiścaturvaktraścaturgatiḥ // Paus_36.366 //	catur BujaH caturmUrtiH caturvaktraH catur gatiH // POH _36.366 //
   sthitaḥ piṇḍārake devo viṣvaksenaḥ sanātanaḥ /	sTitaH piNxArake devaH vizvaksenaH sanAtanaH /
   śubham āsādya bhūbhāgaṃ prāgjyotiṣapure tathā // Paus_36.367 //	SuBam AsAdya BU BAgam prAgjyotiza pure taTA // POH _36.367 //
   devaṃ viśveśvarākhyaṃ ca sthitametya svagocarāt /	devam viSveSvara AKyam ca sTitam etya sva gocarAt /
   sātatranābhidhakṣetre siddhavidyādharānvite // Paus_36.368 //	sAtatra nABiDakzetre sidDa vidyADara anvite // POH _36.368 //
   svāmisaṃjño jagannāthaḥ sthito mandākinītaṭe /	svAmi saMjQaH jagannATaH sTitaH mandAkinI tawe /
   bhallātake mahāyoge dhyāyinām apavargadaḥ // Paus_36.369 //	BallAtake mahA yoge DyAyinAm apavarga daH // POH _36.369 //
   rasātale nṛsiṃhākhye devikāyā stataṭāśrite /	rasAtale nRsiMha AKye devikAyAH statawa ASrite /
   ripukṣayākhyayā vipra devaḥ sarveśvaraḥ sthitaḥ // Paus_36.370 //	ripu kzaya AKyayA vipra devaH sarva ISvaraH sTitaH // POH _36.370 //
   śaṅkarākhye tu bhūbhāge sarvadevaniṣevite /	SaFkara AKye tu BU BAge sarva deva nizevite /
   jñānamūrtir jagannāthaḥ saṃsthitaḥśubhakṛnnṛṇām // Paus_36.371 //	jQAna mUrtiH jagannATaH saMsTitaH SuBa kRt nRNAm // POH _36.371 //
   pṛthivyāṃ tu pitṛkṣetre mocayantānṛṇatrayāt /	pRTivyAm tu pitR kzetre mocayanta anRNa trayAt /
   janārdanākhyayā brahman viśvātmā bhagavān sthitaḥ // Paus_36.372 //	janArdana AKyayA brahman viSvAtmA BagavAn sTitaH // POH _36.372 //
   ete 'vatārāḥ kathitā leśataḥ kamalodbhava /	ete avatArAH kaTitAH leSataH kamalodBavaH /
   ebhiḥ kṣititalaṃ vyāptaṃ paunaḥpunyena ca svayam // Paus_36.373 //	eBiH kziti talam vyAptam pOnaHpunyena ca svayam // POH _36.373 //
   saṃsāriṇāṃ janānāṃ tu anugrahadhiyābjaja /	saMsAriNAm janAnAm tu anugraha DiyA abja ja /
   saṅkīrtanam agamyānāṃ trisandhyaṃ nityam ācaret // Paus_36.374 //	saFkIrtanam agamyAnAm tri sanDyam nityam Acaret // POH _36.374 //
   matiṃ cakre(? kuryācca) gamyānāṃ sevane darśane 'pi ca /	matim cakre(? kuryAt ca) gamyAnAm sevane darSane api ca /
   mlecchānāṃ teṣu deśeṣu kṣitau kṣetrādayo hi ye // Paus_36.375 //	mlecCAnAm tezu deSezu kzitO kzetra AdayaH hi ye // POH _36.375 //
   sāṅkaryaparihāreṇa draṣṭavyāste sadaiva hi /	sAFkarya parihAreNa drazwavyAH te sadA eva hi /
   ṛṣibhiḥ sāmaraiḥ siddhaiḥ svāśrameṣu mahatsu ca // Paus_36.376 //	RziBiH sa amarEH sidDEH sva ASramezu mahatsu ca // POH _36.376 //
   jalāśayeṣu puṇyeṣu pṛthivyāṃ vividheṣu ca /	jalASayezu puNyezu pRTivyAm viviDezu ca /
   sarve bhagavādākārā vibhavavyūhalakṣaṇāḥ // Paus_36.377 //	sarve BagavAt AkArAH viBava vyUha lakzaNAH // POH _36.377 //
   u (?mu) ktā gatāśca ye cānye samutprekṣya dhiyāsvayam /	u (?mu) ktAH gatAH ca ye ca anye samutprekzya DiyAsvayam /
   pratiṣṭhitāśca vidhivat samantrāḥ satyavikramāḥ // Paus_36.378 //	pratizWitAH ca viDivat sa mantrAH satya vikramAH // POH _36.378 //
   sthityā nānāprakārā ye bhūtabhavyādikākhyayā /	sTityA nAnA prakArAH ye BUta Bavya Adika AKyayA /
   saumyāgneyobhayākhyena sanniveśavaśena vai // Paus_36.379 //	sOmya Agneya uBaya AKyena sanniveSa vaSena vE // POH _36.379 //
   līlārūcimayenaiva cittasaukhyapradena ca /	lIlA rUci mayena eva citta sOKya pradena ca /
   bhujādyāyudhasandhānaketubhedena vai saha // Paus_36.380 //	Buja Adi AyuDa sanDAna ketu Bedena vE saha // POH _36.380 //
   alaṃkṛtaśca bhūbhāgo manujaistvevameva hi /	alaMkRtaH ca BU BAgaH manujEH tu evam eva hi /
   bhaktair anugrahītaiśca siddhādyaiśca yathoditam // Paus_36.381 //	BaktEH anugrahItEH ca sidDa AdyEH ca yaTA uditam // POH _36.381 //
   ādidevādayaścaite tattveśāḥ samudīritāḥ /	Adideva AdayaH ca ete tattva ISAH samudIritAH /
   parasmin bhagavattatve tattvabhedena vyavasthitāḥ // Paus_36.382 //	parasmin Bagavat tatve tattva Bedena vyavasTitAH // POH _36.382 //
   sūryasya raśmayo yadvadvahnercirgaṇaṃ yathā /	sUryasya raSmayaH yadvat vahneH ciH gaNam yaTA /
   jaladherūrmayo yadvat tadvadevābjasaṃbhava // Paus_36.383 //	jalaDeH UrmayaH yadvat tadvat eva abja saMBavaH // POH _36.383 //
   citsāmānyāni(nni)tyaśuddhā vyāpakāḥ parameśvarāḥ /	cit sAmAnyAn i(d ni)ti aSudDAH vyApakAH parameSvarAH /
   tattvasattāṃ samāśritya jñānādyaiḥ samalaṃkṛtāḥ // Paus_36.384 //	tattva sattAm samASritya jQAna AdyEH samalaMkRtAH // POH _36.384 //
   aṇimādyaṣṭakopetāḥ saṃsthitāḥ svātmanā tu vai /	aNima Adi azwaka upetAH saMsTitAH sva AtmanA tu vE /
   adhvāvaniṣu sarvāsu nityaṃ kurvanti sannidhim // Paus_36.385 //	aDva avanizu sarvAsu nityam kurvanti sanniDim // POH _36.385 //
   muktaye sarvabhūtānāṃ viśeṣeṇa tu vai bhuvi /	muktaye sarva BUtAnAm viSezeNa tu vE Buvi /
   āviśvaprabhavāt kālādārabhya pralayāvadhi // Paus_36.386 //	AviSva praBavAt kAlAt AraBya pralaya avaDi // POH _36.386 //
   kṣetreṣu tīrthatīreṣu śabdabrahmayātmanā /	kzetrezu tIrTa tIrezu SabdabrahmayA AtmanA /
   sāmānyenāpi mantreṇa tadvivartena bhātmanā // Paus_36.387 //	sAmAnyena api mantreNa tad vivartena BA AtmanA // POH _36.387 //
   tato vyaktetaraṃ rūpam āśrayanti ca pārthivam /	tatas vyakta itaram rUpam ASrayanti ca pArTivam /
   hitārthaṃ sarvalokānām avatīrṇam anaśvaram // Paus_36.388 //	hita arTam sarva lokAnAm avatIrNam anaSvaram // POH _36.388 //
   jagatyāyatanākhyāyām atra sidhyanti yoginaḥ /	jagati Ayatana AKyAyAm atra siDyanti yoginaH /
   kālāntareṇa vyaktīnāṃ majjanaṃ jāyate yadi // Paus_36.389 //	kAla antareNa vyaktInAm majjanam jAyate yadi // POH _36.389 //
   sannidhiṃ śaktibhāvena nityaṃ kurvanti tatra ca /	sanniDim Sakti BAvena nityam kurvanti tatra ca /
   yogeśvarāmarāḥ siddhāḥ smṛtvākāraṃ tadātmakam // Paus_36.390 //	yogeSvara amarAH sidDAH smRtvA AkAram tad Atmakam // POH _36.390 //
   śailamuddārūdhātūtthāṃ vyaktiṃ saṃsthāpayanti ca /	SElam uddArUDAtu utTAm vyaktim saMsTApayanti ca /
   yatrānuvedhaṃ kurūr(?va)te mantraśaktidharā stu ye // Paus_36.391 //	yatra anuveDam kurUr(?va)te mantra Sakti DarA stu ye // POH _36.391 //
   yenācyutīyanāmnā vai yadyatsvānāntaraṃ smṛtam /	yena acyutIya nAmnA vE yat yat svAna antaram smRtam /
   sannidhisthasya vai rūpaṃ śabdamūrtidharasya ca // Paus_36.392 //	sanniDi sTasya vE rUpam Sabda mUrti Darasya ca // POH _36.392 //
   bhinnātmanāṃ svayaṃvyaktirūpeṣvavyaktakeṣu ca /	Binna AtmanAm svayaMvyakti rUpezu avyaktakezu ca /
   sannirūddheṣu mantreṣu icchāvṛttigateṣu ca // Paus_36.393 //	sannirUdDezu mantrezu icCA vRtti gatezu ca // POH _36.393 //
   ākārāḥ saṃnniveśācca pārameśvaram anyathā /	AkArAH saMnniveSAt ca pArameSvaram anyaTA /
   anyathā vai jagatyasmin khyātākhyātaṃ ca śāśvatam // Paus_36.394 //	anyaTA vE jagati asmin KyAta AKyAtam ca SASvatam // POH _36.394 //
   evam āyatanānāṃ ca nityatvaṃ saṃprakāśitam /	evam AyatanAnAm ca nitya tvam saMprakASitam /
   anāditvam asaṃkhyaṃ ca mahattvam api pauṣkara // Paus_36.395 //	anAdi tvam asaMKyam ca mahat tvam api pOzkara // POH _36.395 //
   jātā ye māṃ prasiddhir vai sati vyaktivaśād dvija /	jAtAH ye mAm prasidDiH vE sati vyakti vaSAt dvija /
   vinā vyaktisvarūpeṇa śabdenāpyakṣayātmanā // Paus_36.396 //	vinA vyakti svarUpeNa Sabdena api akzaya AtmanA // POH _36.396 //
   vdyātmanāpi hi cānyatra śabdavyāktimayātmanā /	vdya AtmanA api hi ca anyatra Sabda vyAkti maya AtmanA /
   anye munivarā vipra dṛṣṭvā sthānaṃ manoramam // Paus_36.397 //	anye muni varAH vipra dRzwvA sTAnam manoramam // POH _36.397 //
   nirdeṣaṃ salilaṃ śuddhaṃ pādapauṣadhisaṃkulam /	nirdezam salilam SudDam pAdapa ozaDi saMkulam /
   sthitiṃ kṛtvā sthirāṃ tatra karmaṇā manasā tataḥ // Paus_36.398 //	sTitim kRtvA sTirAm tatra karmaNA manasA tatas // POH _36.398 //
   sulakṣaṇaṃ tu pāṣāṇaṃ dṛṣṭvā cānyatra vāhṛtam /	su lakzaNam tu pAzANam dRzwvA ca anyatra vA AhRtam /
   viśvakarmakulodbhūtaṃ samājñāpya tu śilpinam // Paus_36.399 //	viSvakarma kula udBUtam samAjQApya tu Silpinam // POH _36.399 //
   upale 'smijjagadyonerviṣṇoḥ sarveśvarasya ca /	upale asmij jagat yoneH vizNoH sarva ISvarasya ca /
   pādāravindamudrāṃ ca sampādya ca manoharām // Paus_36.400 //	pAda aravinda mudrAm ca sampAdya ca manoharAm // POH _36.400 //
   evam anye tu munayaḥ svasthāneṣu mahāmate /	evam anye tu munayaH sva sTAnezu mahAmate /
   śaṅkhacakragadāpadmapūrvā ye harilāñchanāḥ // Paus_36.401 //	SaFKa cakra gadA padma pUrvAH ye hari lAQCanAH // POH _36.401 //
   niveśaṃ tatra kṛtvā vai bhaktipūtena karmaṇā /	niveSam tatra kRtvA vE Bakti pUtena karmaNA /
   apare tu dvijaśreṣṭhā bhaktibṛṃhitamānasāḥ // Paus_36.402 //	apare tu dvijaSrezWAH Bakti bRMhita mAnasAH // POH _36.402 //
   kurvanti sanniveśaṃ ca bhaktānāṃ hitakāmyayā /	kurvanti sanniveSam ca BaktAnAm hita kAmyayA /
   pūvokteṣu ca deśeṣu siddhādyai raciteṣu ca // Paus_36.403 //	pUva uktezu ca deSezu sidDa AdyEH racitezu ca // POH _36.403 //
   mudriteṣu sahasrārapūrvamudrāgaṇeṣu ca /	mudritezu sahasrAra pUrva mudrA gaNezu ca /
   pāṣāṇairvā mahābuddherāsṛṣṭeḥ pūjaneṣu ca // Paus_36.404 //	pAzANEH vA mahA budDeH AsRzweH pUjanezu ca // POH _36.404 //
   kṛtvā saṃskārarūpaṃ tu nyāsaṃ yatrocitaṃ hi yat /	kRtvA saMskAra rUpam tu nyAsam yatra ucitam hi yat /
   kurvanti vidhipūrvaṃ tu nityaṃ traikālyam arcanam // Paus_36.405 //	kurvanti viDi pUrvam tu nityam trEkAlyam arcanam // POH _36.405 //
   ṛksāmapūrvaiḥ sanmantrairdviṣaṭkārṇasamanvitaiḥ /	Rc sAma pUrvEH sat mantrEH dvi zawka arNa samanvitEH /
   bhagavatpadasidhyarthaṃ śiṣyādīnāṃ śubhāptaye // Paus_36.406 //	Bagavat pada siDi arTam Sizya AdInAm SuBa Aptaye // POH _36.406 //
   evaṃ puṣkarasaṃbhūta grāmāśca viṣayākhilāḥ /	evam puzkara saMBUta grAmAH ca vizaya aKilAH /
   nagarāḥsapurā rājñāṃ prakhyātā ye kṣitau śubhāḥ // Paus_36.407 //	nagarAH sa purA rAjQAm praKyAtAH ye kzitO SuBAH // POH _36.407 //
