   oṃ namaścidātmaparamārthavapuṣe //	om namaH-cidAtma-parama-arTa-vapuze //
   karma jñāneddhayā dṛṣṭyā na phalopabhogāya paryavasyatītyāha	karma jQAna-idDayA dRzwyA na Pala-upaBogAya paryavasyati-iti-Aha
   jñānaprāptau kṛtamapi na phalāya tato 'sya janma katham /	jQAna-prAptO kRtam-api na PalAya tatas asya janma kaTam /
   gatajanmabandhayogo bhāti śivārkaḥ svadīdhitibhiḥ // 56 //	gata-janma-banDa-yogaH BAti Siva-arkaH sva-dIDitiBiH // 56 //
   ātmamaheśvarapratyavamarśaprarūḍhau kṛtamapi śubhāśubhādikam karma	Atma-maheSvara-pratyavamarSa-prarUXO kRtam-api SuBa-aSuBa-Adikam karma
   kṛtrimapramātṛtābhimānābhāvānnānuguṇaphaladānāya pragalbhata iti	kRtrima-pramAtR-tA-aBimAna-aBAva-at-na-anuguNa-Pala-dAnAya pragalBate iti
   karmaphalābhāvāttadupabhogayogyasya janmanaḥ kena prakāreṇa sattā syānna	karma-Pala-aBAvAt-tad-upaBoga-yogyasya janmanaH kena prakAreNa sattA syAt-na
   bhavedyoginaḥ punarjanmetyarthaḥ / nanu sa piṇḍapātātpunarna jāyate	Bavet-yoginaH punar-janma-iti-arTaH / nanu sa piNxa-pAtAt-punar-na jAyate
   cettarhi kīdṛśaḥ syādityāha gatajanma ityādi / gato janmarūpasya bandhasya	ced-tarhi kIdRSaH syAt-iti-Aha gata-janma ityAdi / gataH janma-rUpasya banDasya
   yogaḥ saṃbandho yasya sa evamiti prakṣīṇamohāvaraṇaḥ svadīdhitibhiḥ	yogaH saMbanDaH yasya saH evam-iti prakzINa-moha-AvaraNaH sva-dIDitiBiH
   cinmarīcinicayaiḥ saḥ śivarūpo 'rko bhāti sphurati na	cit-marIci-nicayEH saH Siva-rUpaH arkaH BAti sPurati na
   punastīrthāntaraparikalpito 'sya mokṣaḥ kutracitprāptiriti kevalaṃ	punar-tIrTa-antara-parikalpitaH asya mokzaH kutracid-prAptiH-iti kevalam
   māyādikañcukakṛtasaṃkocavināśātsvaśaktivikasvaratāmāpadyata iti // 56 //	mAyA-Adi-kaQcuka-kRta-saMkoca-vinASAt-sva-Sakti-vikasvara-tAm-Apadyate iti // 56 //
   atraiva yuktimāha	atra-eva yuktim-Aha
   tuṣakambukakiṃśārukamuktaṃ bījaṃ yathāṅkuraṃ kurute /	tuza-kambuka-kiMSArukam-uktam bIjam yaTA-aFkuram kurute /
   naiva tathāṇavamāyākarmavimukto bhavāṅkuraṃ hyātmā // 57 //	na-eva taTA-aNava-mAyA-karma-vimuktaH Bava-aFkuram hi-AtmA // 57 //
   yathā kiṃśārukatuṣakambukebhyaḥ pṛthakkṛtaṃ śālibījaṃ	yaTA kiMSAruka-tuza-kambukeByaH pRTak-kRtam SAli-bIjam
   bījasvabhāvakiṃśārukādisāmagryabhāvātkṣitijalātapamadhyavartyapi naiva	bIja-svaBAva-kiMSa-aruka-Adi-sAmagrya-BAvAt-kziti-jala-Atapa-maDya-varti-api na-eva
   aṅkurajananalakṣaṇakārye heturbhavati tathaiva kambukasthānīyena āṇavena	aFkura-janana-lakzaNa-kArye hetuH-Bavati taTA-eva kambuka-sTAnIyena ANavena
   malena tuṣasthānīyena māyāmalena kiṃśārukasthānīyena kārmamalena ca muktaḥ	malena tuza-sTAnIyena mAyA-malena kiMSAruka-sTAnIyena kArma-malena ca muktaH
   pṛthagbhūtaḥ ātmā caitanyaṃ malatrayarūpasāmagryabhāvānna punaḥ	pRTak-BUtaH AtmA cEtanyam mala-traya-rUpa-sAmagrya-BAvAt-na punar-
   bhavāṅkuram saṃsāraprarohaṃ vidadhāti kevalaṃ	Bava-aFkuram saMsAra-praroham vidaDAti kevalam
   viśvagatanānāpadārthasārthaprādurbhāvavināśavaicitryaṃ svātmani	viSva-gata-nAnA-padArTa-sArTa-prAdurBAva-vinASa-vEcitryam sva-Atmani
   parāmṛśanmaheśvara eva bhavati // 57 //	parAmRSat-maheSvaraH eva Bavati // 57 //
   evaṃ jñānāgnidagdhakañcukabījasya jñānino na kiñcicchaṅkāsthānaṃ	evam jQAna-agni-dagDa-kaQcuka-bIjasya jQAninaH na kiQcid-SaFkA-sTAnam
   heyopādeyaṃ vetyata āha	heya-upAdeyam vA-iti-atas Aha
   ātmajño na kutaścana bibheti sarvaṃ hi tasya nijarūpam /	Atma-jQaH na kutaScana biBeti sarvam hi tasya nija-rUpam /
   naiva ca śocati yasmātparamārthe nāśitā nāsti // 58 //	na-eva ca Socati yasmAt-parama-arTe nASitA na-asti // 58 //
   yaḥ ātmajñaḥ svātmamaheśvarasvātantryavitsaḥ na kutaścana bibheti na sa	yaH Atma-jQaH sva-Atma-maheSvara-svAtantrya-vid-saH na kutaScana biBeti na sa
   kasmādapi rājñaḥ śatroḥ prāṇibhyo vā bhayamādatte / kuta etadityāha sarvaṃ	kasmAt-api rAjQaH SatroH prANiByaH vA Bayam-Adatte / kutas etat-iti-Aha sarvam
   hi tasya nijarūpam iti yataḥ tasya svātmamaheśvarādvayavedinaḥ sarvam	hi tasya nija-rUpam iti yatas tasya sva-Atma-maheSvarA-dvaya-vedinaH sarvam
   padārthajātamidaṃ viśvam nijasya svātmano mahāprakāśaikavapuṣa eva rūpam	padArTa-jAtam-idam viSvam nijasya sva-AtmanaH mahA-prakASa-eka-vapuzaH eva rUpam
   ākāraḥ sarvatra prakāśānugamāditi prakāśa eva svātantryātsvaparātmanā	AkAraH sarvatra prakASa-anugamAt-iti prakASaH eva svAtantryAt-sva-para-AtmanA
   prakāśate 'ta eva bhayasthānaṃ loke yatkiñcitpratibhāti tattasya tathaiva	prakASate atas eva Baya-sTAnam loke yat-kiQcit-pratiBAti tat-tasya taTA-eva
   svāṅgakalpameva kathaṃ bhayajanakaṃ syādyaduta svātmano vyatiriktaḥ	svAFga-kalpam-eva kaTam Baya-janakam syAt-yat-uta sva-AtmanaH vyatiriktaH
   padārtho bhayaheturbhavetkaḥ punaḥ sarvataḥ paripūrṇasyāvadhibhūto bhinno	padArTaH Baya-hetuH-Bavet-kaH punar sarvatas paripUrNasya-avaDi-BUtaH Binno
   yamādirasti yasmājjñānyapahastitadehātmamānitvo 'pi bibhiyāditi sarvatra	yama-AdiH-asti yasmAt-jQAni-apahastita-deha-Atma-mAni-tvaH api biBiyAt-iti sarvatra
   nijarūpopalabdheḥ saṃsārasthito 'pyekako vigalitasvaparavibhāgatayā	nija-rUpa-upalabDeH saMsAra-sTitaH api-ekakaH vigalita-sva-para-viBAga-tayA
   niḥśaṅkaṃ vicaratyeva / yathoktaṃ parameṣṭhipādaiḥ	niHSaFkam vicarati-eva / yaTA-uktam paramezWi-pAdEH
   yo 'vikalpamidamarthamaṇḍalaṃ paśyatīśa nikhilaṃ bhavadvapuḥ /	yaH avikalpam-idam-arTa-maNxalam paSyati-ISa niKilam Bavat-vapuH /
   svātmamātraparipūrite jagatyasya nityasukhinaḥ kuto bhayam //	sva-Atma-mAtra-paripUrite jagati-asya nitya-suKinaH kutas Bayam //
   iti / granthakāro 'pi	iti / granTakAraH api
   ekako 'hamiti saṃsṛtau janastrāsasāhasarasena khidyate /	ekakaH aham-iti saMsRtO janaH-trAsa-sAhasa-rasena Kidyate /
   ekako 'hamiti ko 'paro 'sti me itthamasmi gatabhīrvyavasthitaḥ //	ekakaH aham-iti kaH aparaH asti me itTam-asmi gata-BIH-vyavasTitaH //
   iti / anyacca naiva ca śocati ityādi / nāpyātmajñaḥ śocati yathā	iti / anyat-ca na-eva ca Socati ityAdi / na-api-Atma-jQaH Socati yaTA
   dhanadārādikaṃ mama naṣṭaṃ rikto 'smi vyādhinākrānto 'haṃ mriye vetyādi	Dana-dAra-Adikam mama nazwam riktaH asmi vyADinA-AkrAntaH aham mriye vA-ityAdi
   yato vyākhyātena krameṇa paramārthe tāttvike vastuni caitanyarūpe	yatas vyAKyAtena krameNa parama-arTe tAttvike vastuni cEtanya-rUpe
   'ntarmukhe pramātṛmātre nāśitā kṣayadharmitvaṃ na vidyate / sarvaṃ	antarmuKe pramAtR-mAtre nASitA kzaya-Darmi-tvam na vidyate / sarvam
   hyabhimānasāraṃ kāryatvena pratibhāsamānamidantāvācchinnamutpadyate	hi-aBimAna-sAram kAryatvena pratiBAsamAnam-idantO=-AcCinnam-utpadyate
   kṣīyate ca na punaḥ saṃvinmayasyātmano 'hantāsārasyākṛtrimasya	kzIyate ca na punar saMvid-mayasya-AtmanaH ahanta-AsArasya-akRtrimasya
   svatantrasya kāryonmukhaprayatnānupalabdheḥ / na caitāvatā	svatantrasya kArya-unmuKa-prayatna-anupalabDeH / na ca-etAvatA
   svarūpavipralopaḥ syāditi vimṛśato yogino dehasthasyāpi taddhetukaḥ	sva-rUpa-vipralopaH syAt-iti vimRSataH yoginaH deha-sTasya-api tad-hetukaH
   śokādyāvirbhāvaḥ svarūpācchādakatvena na bhavediti // 58 //	Soka-Adi-AvirBAvaH svarUpa-AcCAdaka-tvena na Bavet-iti // 58 //
   nāpi svātmamaheśvarasvarūpapariśīlanadārḍhyādasya	na-api sva-Atma-maheSvara-svarUpa-pariSIlana-dArXyAdasya
   jñāninaścetasyapūrṇatvādidoṣaḥ syāditi pratipādayati	jQAninaH-cetasya-pUrNa-tva-Adi-dozaH syAt-iti pratipAdayati
   atigūḍhahṛdayagañjaprarūḍhaparamārtharatnasaṃcayataḥ /	ati-gUXa-hRdaya-gaQja-prarUXa-parama-arTa-ratna-saMcayataH /
   ahameveti maheśvarabhāve kā durgatiḥ kasya // 59 //	aham-eva-iti maheSvara-BAve kA durgatiH kasya // 59 //
   atigūḍham atiśayena guptam hṛdayameva gañjam	atigUXam atiSayena guptam hRdayam-eva gaQjam
   sarvaparamārthasvasvarūpaviśrāntisthānasvabhāvaṃ bhāṇḍāgāraṃ tatra yo	sarva-parama-arTa-sva-sva-rUpa-viSrAnti-sTAna-svaBAvam BANxAgAram tatra yaH-
   'titīvratamasamāśvāsaprarūḍhaḥ paramārthaḥ sadgurūpadiṣṭaḥ	atitIvratama-samASvAsa-prarUXaH parama-arTaH sat-guru-upadizwaH
   svātmajñānasatattvaḥ sa eva sarvavibhūtihetutvādratnasaṃcaya iva	sva-Atma-jQAna-sa-tattvaH saH eva sarva-viBUti-hetu-tvAt-ratna-saMcayaH iva
   ratnasaṃcayaḥ tena hetunā ahameveti sarvamidamasmīti ya āvirbhūtaḥ pūrṇaḥ	ratna-saMcayaH tena hetunA aham-eva-iti sarvam-idam-asmi-iti yaH AvirBUtaH pUrNaH
   parāhantāviśrāntilakṣaṇaḥ maheśvarabhāvaḥ śarīriṇo 'pi	parAhanta-aviSrAnti-lakzaNaH maheSvara-BAvaH SarIriNaH api
   svātmaprakāśasvātantryaṃ tasminsthite sati kā nāma varākī durgatiḥ	sva-Atma-prakASa-svAtantryam tasmin-sTite sati kA nAma varAkI durgatiH
   daridrabhāvastadupalakṣito vā kaścitkṛtrimo vibhūtyādyatiśayaḥ syāt /	daridra-BAvaH-tad-upalakzitaH vA kaScid-kRtrimaH viBUti-Adi-atiSayaH syAt /
   ābhāsasārā hi sarve padārthā yadaivābhāsante tadaiva yoginaḥ svātmakalpāḥ	ABAsa-sArAH hi sarve padArTAH yadA-eva-ABAsante tadA-eva yoginaH sva-Atma-kalpAH
   santaḥ kathamutkarṣāpakarṣādau pragalbhanta iti na kiñciddaurgatyādikaṃ	santaH kaTam-utkarza-apakarza-AdO pragalBante iti na kiQcid-dOrgati-Adikam
   bhavet / kasya veti ko vāsyā durgateḥ samāśrayo dehādyātmābhimānino hyasyā	Bavet / kasya vA-iti kaH vA-asyAH durgateH samASrayaH deha-Adi-Atma-aBimAninaH hi-asyAH-
   durgateḥ samāśrayā bhavantu yataste vyatiriktasyaiṣaṇīyasya	durgateH samASrayAH Bavantu yatas-te vyatiriktasya-ezaNIyasya
   prāptyeśvarāstadapahārādriktā iti / yaḥ	prAptyeSvarAH-tad-apahArAt-riktAH iti / yaH
   punarakṛtrimāhantāpratyavamarśaparamārtho jñānī	punar-akRtrima-AhantA-pratyavamarSa-parama-arTaH jQAnI
   sarvamasmītyavyatiriktenaiṣaṇīyena maheśvaraḥ sa kathaṃ	sarvam-asmi-iti-avyatiriktena-ezaNIyena maheSvaraH sa kaTam
   vyatiriktaprāptyaprāptyabhāvāddaurgatyāderbhājanaṃ syādata eva	vyatirikta-prApti-aprApti-aBAvAt-dOrgati-AdeH-BAjanam syAt-atas eva
   gañjaśabdasya ratnasaṃcayaśabdasyeśvaraśabdasya ca	gaQja-Sabdasya ratna-saMcaya-Sabdasya-ISvara-Sabdasya ca
   hṛdayaprarūḍhaparamārtho mahānityakṛtrimārthavācakāni	hRdaya-prarUXa-parama-arTaH mahA-nityakRtrima-arTa-vAcakAni
   viśeṣaṇānyupapāditāni // 59 //	viSezaNAni-upapAditAni // 59 //
   idānīṃ mokṣasvarūpamāha	idAnIm mokza-svarUpam-Aha
   mokṣasya naiva kiñciddhāmāsti na cāpi gamanamanyatra /	mokzasya na-eva kiQcid-DAmA-asti na ca-api gamanam-anyatra /
   ajñānagranthibhidā svaśaktyabhivyaktatā mokṣaḥ // 60 //	ajQAna-granTi-BidA sva-Sakti-aBivyakta-tA mokzaH // 60 //
   mokṣasya parāhantācamatkārasārasya kaivalyasya dhāma vyatiriktaṃ sthānaṃ	mokzasya parAhanta-AcamatkAra-sArasya kEvalyasya DAma vyatiriktam sTAnam
   na vidyata eva deśakālākārāvacchedābhāvādata eva na cāpyanyatra	na vidyate eva deSa-kAla-AkAra-avacCeda-aBAvAt-atas eva na ca-api-anyatra
   kutracidvyatirikte gamanam layo mokṣo yathā bhedavādināṃ matenotkrāntyā	kutracid-vyatirikte gamanam layaH mokzaH yaTA Beda-vAdinAm matena-utkrAntyA
   cakrādhārādibhedanādūrdhvaṃ dvādaśānte laya eṣaiva muktiriti / yaduktam	cakra-ADAra-Adi-BedanAt-UrDvam dvAdaSAnte layaH ezA-eva muktiH-iti / yat-uktam
   vyāpinyāṃ śivasattāyāmutkrāntyā kiṃ prayojanam /	vyApinyAm Siva-sattAyAm-utkrAntyA kim prayojanam /
   avyāpini pare tattve hyutkrāntyā kiṃ prayojanam //	avyApini pare tattve hi-utkrAntyA kim prayojanam //
   iti / evaṃvidhāpyanye tīrthāntaraparikalpitā bahavo mokṣabhedāḥ santi te	iti / evaMviDA-api-anye tIrTa-antara-parikalpitAH bahavaH mokza-BedAH santi te
   pratanyamānā granthagauravabhayamānayantīti neha pratanyanta iti sarvatra	pratanyamAnAH granTa-gOrava-Bayam-Anayanti-iti na-iha pratanyante iti sarvatra
   dvaitamalasya saṃbhavādamokṣe mokṣalipsā mokṣābhāsa eva / kiṃ	dvEtam-alasya saMBavAt-amokze mokza-lipsA mokza-ABAsaH eva / kim
   punarmokṣalakṣaṇamityāha ajñāna ityādi / ajñānam akhyātijanita	punar-mokza-lakzaNam-iti-Aha ajQAnaH ityAdi / ajQAnam aKyAti-janita
   ātmanyanātmābhimānapūrvo 'nātmani dehādāvātmābhimānalakṣaṇo mohaḥ sa eva	Atmani-anAtma-aBimAna-pUrvaH anAtmani deha-AdO=-Atma-aBimAna-lakzaNaH mohaH saH eva
   pūrṇasvarūpasaṃkocadāyitvādgranthiriva granthiḥ svasvātantryalakṣaṇasya	pUrNa-svarUpa-saMkoca-dAyi-tvAt-granTiH-iva granTiH sva-svAtantrya-lakzaNasya
   nijasya vyāpitvāderdehādyabhimānatayā bandhastasya bhit bhedanaṃ	nijasya vyApi-tvA-AdeH-deha-Adi-aBimAna-tayA banDaH-tasya BiD Bedanam
   nijapūrṇasvātmasvātantryapariśīlanadārḍhyāddehādyabhimānalakṣaṇasya	nija-pUrNa-sva-Atma-svAtantrya-pariSIlana-dArXyAt-deha-Adi-aBimAna-lakzaNasya
   granthervidāraṇaṃ tena hetunā svaśaktibhiḥ	granTeH-vidAraNam tena hetunA sva-SaktiBiH
   svātmasvātantryalakṣaṇairdharmaiḥ abhivyaktatā svātmaśaktivikasvarataiṣa	sva-Atma-svAtantrya-lakzaNEH-DarmEH aBivyakta-tA sva-Atma-Sakti-vikasvara-tA-eza
   eva niratiśayaḥ mokṣaḥ iti / ayamāśayo yathā	eva niratiSayaH mokzaH iti / ayam-ASayaH yaTA
   sahajanityavyāpakatvādidharmayuktamākāśamapi ghaṭādibhittibandhasaṃkucitaṃ	sahaja-nitya-vyApaka-tva-Adi-Darma-yuktam-AkASam-api Gawa-Adi-Bitti-banDa-saMkucitam
   tata eva tadevāvyāpakatvādidharmayuktaṃ ghaṭākāśamityucyata	tatas eva tat-eva-avyApaka-tva-Adi-Darma-yuktam GawAkASam-iti-ucyata
   ākāśādbhinnamiva prathate punarapi ghaṭādibhittikṛtasaṃkocabhaṅgāttadeva	AkASAt-Binnam-iva praTate punar-api Gawa-Adi-Bitti-kRta-saMkoca-BaFgAt-tat-eva
   ghaṭādyākāśaṃ tadaiva vyāpakatvādidharmayuktaṃ syānna punastasya	Gawa-Adi-AkASam tadA-eva vyApaka-tva-Adi-Darma-yuktam syAt-na punar-tasya
   ghaṭādibhaṅgānnūtanaḥ kaściddharmāvirbhāva āyātīti / tathaiva	Gawa-Adi-BaFgAt-nUtanaH kaScid-Darma-AvirBAvaH AyAti-iti / taTA-eva
   dehādyabhimānakṛtasaṃkocasaṃkucitaṃ caitanyaṃ baddhamivetyucyate tadeva	deha-Adi-aBimAna-kRta-saMkoca-saMkucitam cEtanyam badDam-iva-iti-ucyate tat-eva
   punaḥ	punar-
   svasvarūpajñānābhivyakterdehādipramātṛtābandhasaṃkṣayātsvaśaktivivekavikasvaraṃ	sva-svarUpa-jQAna-aBivyakteH-deha-Adi-pramAtR-tA-banDa-saMkzayAt-sva-Sakti-viveka-vikasvaram
   muktamivetyabhimānamātrasārau parimitapramātrapekṣayā bandhamaukṣau na	muktam-iva-iti-aBimAna-mAtra-sArO parimita-pramAtR-apekzayA banDa-mOkzO na
   punaḥ paramārthe saṃvittattva evaṃ kiñcitsaṃbhavatīti / tasmānmuktau	punar parama-arTe saMvid-tattvaH evam kiQcid-saMBavati-iti / tasmAt-muktO
   nūtanaṃ na kiñcitsādhyate nijameva svarūpaṃ prathate / etadeva	nUtanam na kiQcid-sADyate nijam-eva svarUpam praTate / etat-eva
   viṣṇudharmeṣvapyuktam	vizNuDarmezu-api-uktam
   yathodapānakaraṇātkriyate na jalāmbaram /	yaTA-udapAna-karaNAt-kriyate na jala-ambaram /
   sadeva nīyate vyaktimasataḥ saṃbhavaḥ kutaḥ //	sat-eva nIyate vyaktim-asataH saMBavaH kutas //
   bhinne dṛtau yathā vāyurnaivānyaḥ saha vāyunā /	Binne dRtO yaTA vAyuH-na-eva-anyaH saha vAyunA /
   kṣīṇapuṇyāghabandhastu tathātmā brahmaṇā saha //	kzINa-puNya-aGabanDaH-tu taTA-AtmA brahmaNA saha //
   iti // 60 //	iti // 60 //
   evaṃ prakṣīṇājñānabandho jñānī parānugrahārthaṃ śarīramapi dhārayanmukta	evam prakzINa-ajQAna-banDaH jQAnI para-anugraha-arTam SarIram-api DArayat-mukta
   ityāvedayati	iti-Avedayati
   bhinnājñānagranthirgatasaṃdehaḥ parākṛtabhrāntiḥ /	BinnA-jQAna-granTiH-gata-saMdehaH parAkRta-BrAntiH /
   prakṣīṇapuṇyapāpo vigrahayoge 'pyasau muktaḥ // 61 //	prakzINa-puNya-pApaH vigraha-yoge api-asO muktaH // 61 //
   śarīrasaṃbandhe 'pi svātmajñānaviccharīrādyabhimānābhāvājjīvannapi muktaḥ	SarIra-saMbanDe api sva-Atma-jQAna-vid-SarIra-Adi-aBimAna-aBAvAt-jIvan=-api muktaH
   vikasvaraśaktirbhavet / nanu vigrahayoga eva bandhaḥ kathaṃ tatsaṃbandhe	vikasvara-SaktiH-Bavet / nanu vigraha-yogaH eva banDaH kaTam tad-saMbanDe
   'pyasau muktaḥ syādityāha bhinna ityādi / bhinno vidārito 'jñānarūpo	api-asO muktaH syAt-iti-Aha BinnaH ityAdi / BinnaH vidAritaH ajQAna-rUpaH-
   granthirapūrṇatvakhyātisamuttho dehādyabhimānarūpo bandho yena sa evam /	granTiH-apUrNa-tva-KyAti-samutTaH deha-Adi-aBimAna-rUpaH banDaH yena saH evam /
   tathā gatasaṃdehaḥ ityata eva naṣṭasaṃśayaḥ / parākṛtā nyakkṛtā	taTA gata-saMdehaH iti-atas eva nazwa-saMSayaH / parAkRtA nyakkRtA
   paramādvayajñānalābhāt bhrāntiḥ dvayarūpo bhramo yena sa tatheti / evaṃ	parama-advaya-jQAna-lABAt BrAntiH dvaya-rUpaH BramaH yena sa taTA-iti / evam
   pariśīlanena prakṣīṇāni puṇyāpuṇyāni vigalitasaṃskārāṇi	pariSIlanena prakzINAni puNya-apuNyAni vigalita-saMskArANi
   dehātmamānitvābhāvāddharmādharmāṇi yasya sa evaṃvidha iti / anena	deha-Atma-mAni-tva-aBAvAt-Darma-aDarmANi yasya saH evaMviDaH iti / anena
   ajñānameva bandhaḥ iti pratipāditam / tacca vigrahayoge 'pi yasya	ajQAnam-eva banDaH iti pratipAditam / tat-ca vigraha-yoge api yasya
   prakṣīṇaṃ sa tadaiva jīvanneva mukto na punaḥ śarīrayogo bandhastadapagamo	prakzINam sa tadA-eva jIvan=-eva muktaH na punar SarIra-yogaH banDaH-tad-apagamaH-
   muktiriti kiṃ tu dehapātātpūrṇo mokṣa iti // 61 //	muktiH-iti kim tu dehapAtAt-pUrNaH mokzaH iti // 61 //
   jīvanmuktasya karmahetau śarīre sthite 'pi śarīrayātrāmātrārthaṃ	jIvanmuktasya karma-hetO SarIre sTite api SarIra-yAtrA-mAtra-arTam
   jñāneddhaṃ kurvāṇasya karma na phalāya tasya bhavatītyatropapattimāha	jQAna-idDam kurvANasya karma na PalAya tasya Bavati-iti-atra-upapattim-Aha
   agnyabhidagdhaṃ bījaṃ yathā prarohāsamarthatāmeti /	agni-aBidagDam bIjam yaTA praroha-asamarTa-tAm-eti /
   jñānāgnidagdhamevaṃ karma na janmapradaṃ bhavati // 62 //	jQAna-agni-dagDam-evam karma na janma-pradam Bavati // 62 //
   vahninirbhṛṣṭaṃ śālibījaṃ kṣitisalilātapamadhyavartyapi	vahni-nirBRzwam SAlibIjam kzitisalila-Atapa-maDya-varti-api
   sāmagrīvaikalyādyathāṅkurādijanane 'śaktatāṃ yāti tathaiva jñānāgninā	sAmagrI-vEkalyAt-yaTA-aFkura-Adi-janane aSakta-tAm yAti taTA-eva jQAna-agninA
   dagdham paramādvayabodhadīptyā pluṣṭam karma yathāhamevetthaṃ viśvātmanā	dagDam parama-advaya-boDa-dIptyA pluzwam karma yaTA-aham-eva-itTam viSvAtmanA
   sphurāmītyevaṃrūpeṇa dehādyātmamānitvahānerheyopādeyabuddhiparityāgena	sPurAmi-iti-evaMrUpeNa deha-Adi-Atma-mAni-tva-hAneH-heya-upAdeya-budDi-parityAgena
   yatkiñcicchubhāśubhaṃ karma kriyamāṇaṃ taddagdhavīryaṃ na punarjñāninaḥ	yat-kiQcid-SuBa-aSuBam karma kriyamANam tat-dagDa-vIryam na punar-jQAninaH
   piṇḍapātādanantaraṃ janmaphalapradam bhavati dehanirmāṇahetuḥ saṃpadyate	piNxa-pAtAt-anantaram janma-Pala-pradam Bavati deha-nirmANa-hetuH saMpadyate
   dagdhaṃ bījamivāṅkure / tasmānna	dagDam bIjam-iva-aFkure / tasmAt-na
   sarvāhaṃbhāvarūpāyāścitiśakteraphalābhisaṃdhānatayā kṛtaṃ karma bhūyo	sarva-ahaMBAva-rUpAyAH-citi-SakteH-aPala-aBisaMDAna-tayA kRtam karma BUyo
   janma dātuṃ prabhavatīti // 62 //	janma dAtum praBavati-iti // 62 //
   evaṃ punarvikasvarāpi citiśaktiḥ kathaṅkāraṃ dehavatī syādityāha	evam punar-vikasvarA-api citi-SaktiH kaTaFkAram dehavatI syAt-iti-Aha
   parimitabuddhitvena hi karmocitabhāvidehabhāvanayā /	parimita-budDi-tvena hi karma-ucita-BAvi-deha-BAvanayA /
   saṅkucitā citiretaddehadhvaṃse tathā bhāti // 63 //	saFkucitA citiH-etat-deha-DvaMse taTA BAti // 63 //
   yasmāt parimitabuddhitvena akhyātijanitena	yasmAt parimita-budDi-tvena aKyAti-janitena
   dehādyabhimānavāsanāpūrvakakāmanākāluṣyaniścayena yatkṛtam karma	deha-Adi-aBimAna-vAsanA-pUrvaka-kAmanA-kAluzya-niScayena yat-kRtam karma
   yathāhamaśvamedhena yakṣya ihāmutra ca sukhī bhūyāsaṃ mā kadācana	yaTA-aham-aSvameDena yakzyaH iha-amutra ca suKI BUyAsam mA kadAcana
   duḥkhyahaṃ bhūyāsamamunā karmaṇā vaindraṃ padaṃ prāpnuyāmityevaṃ	duHKI-aham BUyAsam-amunA karmaNA vA-Endram padam prApnuyAm-iti-evam
   vāsanāviśiṣṭasya karturevamanuguṇaṃ karma tasya manovāsanālabdhaprarūḍheḥ	vAsanA-viSizwasya kartuH-evam-anuguNam karma tasya manaH-vAsana-alabDa-prarUXeH
   karmaṇaḥ ucitaḥ tadanuguṇaphalabhoktṛtāyogyo 'sau bhāvī dehaḥ	karmaNaH ucitaH tad-anuguNa-Pala-BoktR-tA-yogyaH asO BAvI dehaH
   prārabdhakarmaphalabhoktṛśarīrādhikāraparikṣayādyaduttaratra	prArabDa-karma-Pala-BoktR-SarIra-aDikAra-parikzayAt-yat-uttaratra
   bhaviṣyaccharīraṃ tasya yā bhāvanā amunāśvamedhādikarmaṇā	Bavizyat-SarIram tasya yA BAvanA amunA-aSvameDa-Adi-karmaNA
   sāmrājyādyāpnuyāmityabhimatakarmaphalavāsanādhirūḍhistayā	sAmrAjya-Adi-ApnuyAm-iti-aBimata-karma-Pala-vAsanA-aDirUXiH-tayA
   karmocitabhāvidehabhāvanayeyaṃ sarvataḥ pūrṇāpi	karma-ucita-BAvi-deha-BAvanayA-iyam sarvatas pUrNA-api
   citiśaktirāṇavamāyīyamalamūlena kārmamalenāghrātā saṃkucitā vyāpinyapi	citi-Sakti-rANava-mAyIya-mala-mUlena kArma-malena-AGrAtA saMkucitA vyApinI-api
   ghaṭākāśavatkarmānuguṇaphalabhoktṛśarīravāsanāvacchedavatī saṃpannā satī	Gawa-AkASa-vat-karma-anuguNa-Pala-BoktR-SarIra-vAsanA-avat-CedavatI saMpannA satI
   etaddehadhvaṃse tathā bhavati iti / etasya prārabdhasya karmaphalasya yo	etad-deha-DvaMse taTA Bavati iti / etasya prArabDasya karma-Palasya yaH-
   bhoktā dehaḥ tasya bhogaparikṣayādyaḥ dhvaṃsaḥ mṛtistasmindehadhvaṃse sati	BoktA dehaH tasya Boga-parikzaya-At-yaH DvaMsaH mRtiH-tasmin-deha-DvaMse sati
   sā citiḥ udbhūtakarmavāsanā tathā bhavati yenāśayena	sA citiH udBUta-karma-vAsanA taTA Bavati yena-ASayena
   pūrvakarmaphalamupārjitaṃ tatkarmaphalabhoktā yo dehastadvatī saṃpadyate	pUrva-karma-Palam-upArjitam tad-karma-Pala-BoktA yaH dehaH-tadvatI saMpadyate
   yadvaśāccitirapi svarganarakādibhogabhājanaṃ syāt / tasmāccharīrībhūtvā	yad-vaSAt-citiH-api svarga-naraka-Adi-Boga-BAjanam syAt / tasmAt-SarIrIBUtvA
