   BhP_05.01.001/0 rājovāca	BhP_05.01.001/0 rAjA-uvAca
   puruṣā bhadrāśva-varṣe sākṣād bhagavato vāsudevasya priyāṃ tanuṃ	puruzAH Badra-aSva--varze sAkzAt BagavataH vAsudevasya priyAm tanum
   dharmamayīṃ hayaśīrṣābhidhānāṃ parameṇa samādhinā sannidhāpyedam	Darma-mayIm hayaSIrza-aBiDAnAm parameNa samADinA sanniDApya-idam
   abhigṛṇanta upadhāvanti	aBigRNante upaDAvanti
   BhP_05.18.002/0 bhadraśravasa ūcuḥ	Bhu-_05.18.002/0 BadraSravasaH UcuH
   BhP_05.18.002/1 oṃ namo bhagavate dharmāyātma-viśodhanāya nama iti	Bhu-_05.18.002/1 om namaH Bagavate DarmAya-Atma--viSoDanAya namaH iti
   BhP_05.18.003/1 aho vicitraṃ bhagavad-viceṣṭitaṃ ghnantaṃ jano 'yaṃ hi	Bhu-_05.18.003/1 aho vicitram Bagavat--vicezwitam Gnantam janaH ayam hi
   miṣan na paśyati	mizan na paSyati
   BhP_05.18.003/2 dhyāyann asad yarhi vikarma sevituṃ nirhṛtya putraṃ	Bhu-_05.18.003/2 DyAyan asat yarhi vikarma sevitum nirhRtya putram
   pitaraṃ jijīviṣati	pitaram jijIvizati
   BhP_05.18.004/1 vadanti viśvaṃ kavayaḥ sma naśvaraṃ paśyanti cādhyātmavido	Bhu-_05.18.004/1 vadanti viSvam kavayaH sma naSvaram paSyanti ca-aDyAtma-vidaH-
   vipaścitaḥ	vipaScitaH
   BhP_05.18.004/2 tathāpi muhyanti tavāja māyayā suvismitaṃ kṛtyam ajaṃ nato	Bhu-_05.18.004/2 taTA-api muhyanti tava-Aja mAyayA su-vismitam kRtyam ajam nataH-
   'smi tam	asmi tam
   BhP_05.18.005/1 viśvodbhava-sthāna-nirodha-karma te hy akartur aṅgīkṛtam	Bhu-_05.18.005/1 viSva-udBava--sTAna--niroDa-karma te hi akartuH aFgIkRtam
   apy apāvṛtaḥ	api apAvRtaH
   BhP_05.18.005/2 yuktaṃ na citraṃ tvayi kārya-kāraṇe sarvātmani vyatirikte	Bhu-_05.18.005/2 yuktam na citram tvayi kArya--kAraNe sarva-Atmani vyatirikte
   ca vastutaḥ	ca vastutas-
   BhP_05.18.006/1 vedān yugānte tamasā tiraskṛtān rasātalād yo	Bhu-_05.18.006/1 vedAn yuga-ante tamasA tiraskRtAn rasAtalAt yaH-
   nṛ-turaṅga-vigrahaḥ	nR--turaFga-vigrahaH
   BhP_05.18.006/2 pratyādade vai kavaye 'bhiyācate tasmai namas te	Bhu-_05.18.006/2 pratyAdade vE kavaye aBiyAcate tasmE namaH te
   'vitathehitāya iti	avitaTehitAya iti
   BhP_05.18.007/1 hari-varṣe cāpi bhagavān nara-hari-rūpeṇāste	Bhu-_05.18.007/1 hari-varze ca-api BagavAn nara--hari--rUpeNa-AH-te
   tad-rūpa-grahaṇa-nimittam uttaratrābhidhāsye tad dayitaṃ rūpaṃ	tad--rUpa-grahaNa--nimittam uttaratra-aBiDAsye tat dayitam rUpam
   mahā-puruṣa-guṇa-bhājano mahā-bhāgavato	mahA--puruza--guNa--BAjanaH mahA---BAgavataH-
   daitya-dānava-kula-tīrthīkaraṇa-śīlā-caritaḥ prahlādo	dEtya-dAnava-kula--tIrTIkaraNa--SIlA--caritaH prahlAdaH-
   'vyavadhānānanya-bhakti-yogena saha tad-varṣa-puruṣair upāste idaṃ	avyavaDAna-ananya--Bakti-yogena saha tad--varza--puruzEH upAste idam
   codāharati	ca-udAharati
   BhP_05.18.008/1 oṃ namo bhagavate narasiṃhāya namas tejas-tejase	Bhu-_05.18.008/1 om namaH Bagavate narasiMhAya namaH tejas--tejase
   āvir-āvirbhava vajra-nakha vajra-daṃṣṭra karmāśayān randhaya randhaya tamo	Avir-AvirBava vajra-naKa vajra-daMzwra karma-ASayAn ranDaya ranDaya tamaH-
   grasa grasa oṃ svāhā abhayam abhayam ātmani bhūyiṣṭhā oṃ kṣraum	grasa grasaH om svAhA aBayam aBayam Atmani BUyizWAH om kzrOm
   BhP_05.18.009/1 svasty astu viśvasya khalaḥ prasīdatāṃ dhyāyantu bhūtāni	BhP_05.18.009/1 svasti astu viSvasya KalaH prasIdatAm DyAyantu BUtAni
   śivaṃ mitho dhiyā	Sivam miTas DiyA
   BhP_05.18.009/2 manaś ca bhadraṃ bhajatād adhokṣaje āveśyatāṃ no matir apy	Bhu-_05.18.009/2 manaH ca Badram BajatAt aDokzaje AveSyatAm naH matiH api-
   ahaitukī	ahEtukI
   BhP_05.18.010/1 māgāra-dārātmaja-vitta-bandhuṣu saṅgo yadi syād	Bhu-_05.18.010/1 mA-AgAra--dAra-Atmaja--vitta--banDuzu saFgaH yadi syAt-
   bhagavat-priyeṣu naḥ	Bagavat--priyezu naH
   BhP_05.18.010/2 yaḥ prāṇa-vṛttyā parituṣṭa ātmavān siddhyaty adūrān na	Bhu-_05.18.010/2 yaH prANa-vRttyA parituzwaH AtmavAn sidDyati adUrAt na
   tathendriya-priyaḥ	taTA-indriya-priyaH
   BhP_05.18.011/1 yat-saṅga-labdhaṃ nija-vīrya-vaibhavaṃ tīrthaṃ muhuḥ	Bhu-_05.18.011/1 yat--saFga--labDam nija--vIrya--vEBavam tIrTam muhur-
   saṃspṛśatāṃ hi mānasam	saMspRSatAm hi mAnasam
   BhP_05.18.011/2 haraty ajo 'ntaḥ śrutibhir gato 'ṅgajaṃ ko vai na seveta	Bhu-_05.18.011/2 harati ajaH antar SrutiBiH gataH aFga-jam kaH vE na seveta
   mukunda-vikramam	mukunda--vikramam
   BhP_05.18.012/1 yasyāsti bhaktir bhagavaty akiñcanā sarvair guṇais tatra	Bhu-_05.18.012/1 yasya-asti BaktiH Bagavati akiQcanA sarvEH guNEH tatra
   samāsate surāḥ	samAsate surAH
   BhP_05.18.012/2 harāv abhaktasya kuto mahad-guṇā manorathenāsati dhāvato	Bhu-_05.18.012/2 harO aBaktasya kutas mahat--guNAH manoraTena-asati DAvataH-
   bahiḥ	bahis-
   BhP_05.18.013/1 harir hi sākṣād bhagavān śarīriṇām ātmā jhaṣāṇām iva toyam	Bhu-_05.18.013/1 hariH hi sAkzAt BagavAn SarIriNAm AtmA JazANAm iva toyam
   īpsitam	Ipsitam
   BhP_05.18.013/2 hitvā mahāṃs taṃ yadi sajjate gṛhe tadā mahattvaṃ vayasā	Bhu-_05.18.013/2 hitvA mahAn tam yadi sajjate gRhe tadA mahat-tvam vayasA
   dampatīnām	dampatInAm
   BhP_05.18.014/1 tasmād rajo-rāga-viṣāda-manyu-	Bhu-_05.18.014/1 tasmAt rajo-rAga--vizAda-manyu-
   māna-spṛhā-bhayadainyādhimūlam	mAna--spRhA--Baya-dEnya-aDi-mUlam
   BhP_05.18.014/2 hitvā gṛhaṃ saṃsṛti-cakravālaṃ nṛsiṃha-pādaṃ	Bhu-_05.18.014/2 hitvA gRham saMsRti-cakravAlam nRsiMha--pAdam
   bhajatākutobhayam iti	Bajata-akutoBayam iti
   BhP_05.18.015/1 ketumāle 'pi bhagavān kāmadeva-svarūpeṇa lakṣmyāḥ	Bhu-_05.18.015/1 ketumAle api BagavAn kAmadeva--svarUpeNa lakzmyAH
   priya-cikīrṣayā prajāpater duhit-ṇāṃ putrāṇāṃ tad-varṣa-patīnāṃ	priya-cikIrzayA prajApateH duhit-NAm putrANAm tad--varza--patInAm
   puruṣāyuṣāho-rātra-parisaṅkhyānānāṃ yāsāṃ garbhā	puruza-Ayuza-aho-rAtra--parisaFKyAnAnAm yAsAm garBA
   mahā-puruṣa-mahāstra-tejasodvejita-manasāṃ vidhvastā vyasavaḥ	mahA--puruza--mahA-astra--tejasA-udvejita--manasAm viDvastAH vyasavaH
   saṃvatsarānte vinipatanti	saMvatsara-ante vinipatanti
   BhP_05.18.016/1 atīva	Bhu-_05.18.016/1 atIva
   sulalita-gati-vilāsa-vilasita-rucira-hāsa-leśāvaloka-līlayā	su-lalita--gati-vilAsa--vilasita-rucira--hAsa--leSa-avaloka--lIlayA
   kiñcid-uttambhita-sundara-bhrū-maṇḍala-subhaga-vadanāravinda-śriyā ramāṃ	kiQcid--uttamBita--sundara--BrU--maNxala--suBaga--vadana-aravinda--SriyA ramAm
   ramayann indriyāṇi ramayate	ramayan indriyANi ramayate
   BhP_05.18.017/1 tad bhagavato māyāmayaṃ rūpaṃ parama-samādhi-yogena ramā	Bhu-_05.18.017/1 tat BagavataH mAyA-mayam rUpam parama--samADi--yogena ramA
   devī saṃvatsarasya rātriṣu prajāpater duhitṛbhir upetāhaḥsu ca	devI saMvatsarasya rAtrizu prajApateH duhitRBiH upeta-ahaHsu ca
   tad-bhartṛbhir upāste idaṃ codāharati	tad--BartRBiH upAste idam ca-udAharati
   BhP_05.18.018/1 oṃ hrāṃ hrīṃ hrūṃ oṃ namo bhagavate hṛṣīkeśāya	Bhu-_05.18.018/1 om hrAm hrIm hrUm om namaH Bagavate hRzIkeSAya
   sarva-guṇa-viśeṣair vilakṣitātmane ākūtīnāṃ cittīnāṃ cetasāṃ viśeṣāṇāṃ	sarva--guNa--viSezEH vilakzita-Atmane AkUtInAm cittInAm cetasAm viSezANAm
   cādhipataye ṣoḍaśa-kalāya cchando-mayāyānna-mayāyāmṛta-mayāya sarva-mayāya	ca-aDipataye zoxaSa-kalAya cCando-mayAya-anna-mayAyAm-Rta-mayAya sarva--mayAya
   sahase ojase balāya kāntāya kāmāya namas te ubhayatra bhūyāt	sahase ojase balAya kAntAya kAmAya namaH te uBayatra BUyAt-
   BhP_05.18.019/1 striyo vratais tvā hṛṣīkeśvaraṃ svato hy ārādhya loke	BhP_05.18.019/1 striyaH vratEH tvA hRzIkeSvaram svatas hi ArADya loke
   patim āśāsate 'nyam	patim ASAsate anyam
   BhP_05.18.019/2 tāsāṃ na te vai paripānty apatyaṃ priyaṃ dhanāyūṃṣi yato	Bhu-_05.18.019/2 tAsAm na te vE paripAnti apatyam priyam Dana-AyUMzi yatas-
   'sva-tantrāḥ	asva-tantrAH
   BhP_05.18.020/1 sa vai patiḥ syād akutobhayaḥ svayaṃ samantataḥ pāti	BhP_05.18.020/1 sa vE patiH syAt akutoBayaH svayam samantataH pAti
   bhayāturaṃ janam	Baya-Aturam janam
   BhP_05.18.020/2 sa eka evetarathā mitho bhayaṃ naivātmalābhād adhi manyate	Bhu-_05.18.020/2 saH ekaH eva-itaraTAH miTas Bayam na-eva-Atma-lABAt aDi manyate
   param	param
   BhP_05.18.021/1 yā tasya te pāda-saroruhārhaṇaṃ nikāmayet	Bhu-_05.18.021/1 yA tasya te pAda--saroruha-arhaNam nikAmayet-
   sākhila-kāma-lampaṭā	sa-aKila--kAma--lampawA
   BhP_05.18.021/2 tad eva rāsīpsitam īpsito 'rcito yad-bhagna-yācñā bhagavan	Bhu-_05.18.021/2 tat eva rAsIpsitam IpsitaH arcitaH yat--Bagna--yAcQA Bagavan
   pratapyate	pratapyate
   BhP_05.18.022/1 mat-prāptaye 'jeśa-surāsurādayas tapyanta ugraṃ tapa	Bhu-_05.18.022/1 mat--prAptaye aja-ISa--sura-asura-AdayaH tapyante ugram tapa
   aindriye dhiyaḥ	Endriye DiyaH
   BhP_05.18.022/2 ṛte bhavat-pāda-parāyaṇān na māṃ vindanty ahaṃ	Bhu-_05.18.022/2 Rte Bavat--pAda--parAyaNAt na mAm vindanti aham
   tvad-dhṛdayā yato 'jita	tvad--DRdayA yatas ajita
   BhP_05.18.023/1 sa tvaṃ mamāpy acyuta śīrṣṇi vanditaṃ karāmbujaṃ yat	Bhu-_05.18.023/1 sa tvam mama-api acyuta SIrzNi vanditam kara-ambujam yat-
   tvad-adhāyi sātvatām	tvad--aDAyi sAtvatAm
   BhP_05.18.023/2 bibharṣi māṃ lakṣma vareṇya māyayā ka īśvarasyehitam	Bhu-_05.18.023/2 biBarzi mAm lakzma vareNya mAyayA kaH ISvarasya-Ihitam
   ūhituṃ vibhur iti	Uhitum viBuH iti
   BhP_05.18.024/1 ramyake ca bhagavataḥ priyatamaṃ mātsyam avatāra-rūpaṃ	Bhu-_05.18.024/1 ramyake ca BagavataH priyatamam mAtsyam avatAra--rUpam
   tad-varṣa-puruṣasya manoḥ prāk-pradarśitaṃ sa idānīm api mahatā	tad--varza--puruzasya manoH prAk--pradarSitam saH idAnIm api mahatA
   bhakti-yogenārādhayatīdaṃ codāharati	Bakti-yogena-ArADayati-idam ca-udAharati
   BhP_05.18.025/1 oṃ namo bhagavate mukhyatamāya namaḥ sattvāya prāṇāyaujase	Bhu-_05.18.025/1 om namaH Bagavate muKyatamAya namaH sattvAya prANAya-ojase
   sahase balāya mahā-matsyāya nama iti	sahase balAya mahA--matsyAya namaH iti
   BhP_05.18.026/1 antar bahiś cākhila-loka-pālakair adṛṣṭa-rūpo vicarasy	Bhu-_05.18.026/1 antar bahis ca-aKila-loka--pAlakEH adRzwa--rUpaH vicarasy
   uru-svanaḥ	uru--svanaH
   BhP_05.18.026/2 sa īśvaras tvaṃ ya idaṃ vaśe 'nayan nāmnā yathā dārumayīṃ	Bhu-_05.18.026/2 saH ISvaraH tvam yaH idam vaSe anayat nAmnA yaTA dAru-mayIm
   naraḥ striyam	naraH striyam
   BhP_05.18.027/1 yaṃ loka-pālāḥ kila matsara-jvarā hitvā yatanto 'pi pṛthak	Bhu-_05.18.027/1 yam loka-pAlAH kila matsara--jvarAH hitvA yatantaH api pRTak-
   sametya ca	sametya ca
   BhP_05.18.027/2 pātuṃ na śekur dvi-padaś catuṣ-padaḥ sarīsṛpaṃ sthāṇu yad	Bhu-_05.18.027/2 pAtum na SekuH dvi-padaH catuz--padaH sarIsRpam sTANu yat-
   atra dṛśyate	atra dRSyate
   BhP_05.18.028/1 bhavān yugāntārṇava ūrmi-mālini kṣoṇīm imām	Bhu-_05.18.028/1 BavAn yugAnta-arNavaH Urmi--mAlini kzoNIm imAm
   oṣadhi-vīrudhāṃ nidhim	ozaDi-vIruDAm niDim
   BhP_05.18.028/2 mayā sahoru kramate 'ja ojasā tasmai jagat-prāṇa-gaṇātmane	Bhu-_05.18.028/2 mayA saha-uru kramate ajaH ojasA tasmE jagat--prANa--gaNa-Atmane
   nama iti	namaH iti
   BhP_05.18.029/1 hiraṇmaye 'pi bhagavān nivasati kūrma-tanuṃ bibhrāṇas	Bhu-_05.18.029/1 hiraNmaye api BagavAn nivasati kUrma--tanum biBrANas
   tasya tat priyatamāṃ tanum aryamā saha varṣa-puruṣaiḥ pitṛ-gaṇādhipatir	tasya tat priyatamAm tanum aryamA saha varza--puruzEH pitR-gaNa-aDipatiH-
   upadhāvati mantram imaṃ cānujapati	upaDAvati mantram imam ca-anujapati
   BhP_05.18.030/1 oṃ namo bhagavate akūpārāya	Bhu-_05.18.030/1 om namaH Bagavate akUpArAya
   sarva-sattva-guṇa-viśeṣaṇāyānu-palakṣita-sthānāya namo varṣmaṇe namo	sarva--sattva-guNa--viSezaNAya-anu-palakzita--sTAnAya namaH varzmaNe namaH-
   bhūmne namo namo 'vasthānāya namas te	BUmne namaH namaH avasTAnAya namaH te
   BhP_05.18.031/1 yad-rūpam etan nija-māyayārpitam artha-svarūpaṃ	Bhu-_05.18.031/1 yat--rUpam etat nija--mAyayA-arpitam arTa--svarUpam
   bahu-rūpa-rūpitam	bahu-rUpa-rUpitam
   BhP_05.18.031/2 saṅkhyā na yasyāsty ayathopalambhanāt tasmai namas te	BhP_05.18.031/2 saFKyA na yasya-asti ayaTA-upalamBanAt tasmE namaH te
   'vyapadeśa-rūpiṇe	avyapadeSa--rUpiNe
   BhP_05.18.032/1 jarāyujaṃ svedajam aṇḍajodbhidaṃ carācaraṃ	Bhu-_05.18.032/1 jarAyu-jam sveda-jam aNxaja-udBidam carAcaram
   devarṣi-pitṛ-bhūtam aindriyam	deva-Rzi--pitR-BUtam Endriyam
   BhP_05.18.032/2 dyauḥ khaṃ kṣitiḥ śaila-sarit-samudra- dvīpa-graharkṣety	Bhu-_05.18.032/2 dyOH Kam kzitiH SEla--sarit--samudra dvIpa--graha-Rkza-iti-
   abhidheya ekaḥ	aBiDeyaH ekaH
   BhP_05.18.033/1 yasminn asaṅkhyeya-viśeṣa-nāma- rūpākṛtau kavibhiḥ	Bhu-_05.18.033/1 yasmin asaFKyeya--viSeza--nAma rUpa-AkRtO kaviBiH
   kalpiteyam	kalpitA-iyam
   BhP_05.18.033/2 saṅkhyā yayā tattva-dṛśāpanīyate tasmai namaḥ	BhP_05.18.033/2 saFKyA yayA tattva--dRSA-apanIyate tasmE namaH
   sāṅkhya-nidarśanāya te iti	sAFKya--nidarSanAya te iti
   BhP_05.18.034/1 uttareṣu ca kuruṣu bhagavān yajña-puruṣaḥ kṛta-varāha-rūpa	Bhu-_05.18.034/1 uttarezu ca kuruzu BagavAn yajQa-puruzaH kRta--varAha--rUpa
   āste taṃ tu devī haiṣā bhūḥ saha kurubhir askhalita-bhakti-yogenopadhāvati	Aste tam tu devI ha-ezA BUH saha kuruBiH asKalita-Bakti--yogena-upaDAvati
   imāṃ ca paramām upaniṣadam āvartayati	imAm ca paramAm upanizadam Avartayati
   BhP_05.18.035/1 oṃ namo bhagavate mantra-tattva-liṅgāya yajña-kratave	Bhu-_05.18.035/1 om namaH Bagavate mantra--tattva--liFgAya yajQa-kratave
   mahā-dhvarāvayavāya mahā-puruṣāya namaḥ karma-śuklāya tri-yugāya namas te	mahA-Dvara-avayavAya mahA--puruzAya namaH karma-SuklAya tri--yugAya namaH te
   BhP_05.18.036/1 yasya svarūpaṃ kavayo vipaścito guṇeṣu dāruṣv iva	Bhu-_05.18.036/1 yasya svarUpam kavayaH vipaScitaH guNezu dAruzu iva
   jāta-vedasam	jAta-vedasam
   BhP_05.18.036/2 mathnanti mathnā manasā didṛkṣavo gūḍhaṃ kriyārthair nama	Bhu-_05.18.036/2 maTnanti maTnA manasA didRkzavaH gUXam kriyA-arTEH nama
   īritātmane	Irita-Atmane
   BhP_05.18.037/1 dravya-kriyā-hetv-ayaneśa-kartṛbhir māyā-guṇair	Bhu-_05.18.037/1 dravya--kriyA--hetv-ayana-ISa--kartRBiH mAyA--guNEH-
   vastu-nirīkṣitātmane	vastu--nirIkzita-Atmane
   BhP_05.18.037/2 anvīkṣayāṅgātiśayātma-buddhibhir nirasta-māyākṛtaye namo	Bhu-_05.18.037/2 anvIkzayA-aFga-atiSaya-Atma--budDiBiH nirasta-mAyA-kRtaye namaH-
   namaḥ	namaH
   BhP_05.18.038/1 karoti viśva-sthiti-saṃyamodayaṃ yasyepsitaṃ nepsitam	BhP_05.18.038/1 karoti viSva--sTiti--saMyama-udayam yasya-Ipsitam na-Ipsitam
   īkṣitur guṇaiḥ	IkzituH guNEH
   BhP_05.18.038/2 māyā yathāyo bhramate tad-āśrayaṃ grāvṇo namas te	Bhu-_05.18.038/2 mAyA yaTA-ayaH Bramate tat--ASrayam grAvNaH namaH te
   guṇa-karma-sākṣiṇe	guNa--karma--sAkziNe
   BhP_05.18.039/1 pramathya daityaṃ prativāraṇaṃ mṛdhe yo māṃ rasāyā	Bhu-_05.18.039/1 pramaTya dEtyam prativAraNam mRDe yaH mAm rasAyAH-
   jagad-ādi-sūkaraḥ	jagat--Adi-sUkaraH
   BhP_05.18.039/2 kṛtvāgra-daṃṣṭre niragād udanvataḥ krīḍann ivebhaḥ	Bhu-_05.18.039/2 kRtvA-agra-daMzwre niragAt udanvataH krIxan iva-iBaH
   praṇatāsmi taṃ vibhum iti	praNatA-asmi tam viBum iti
   BhP_05.19.001/0 śrī-śuka uvāca	BhP_05.19.001/0 SrI-SukaH uvAca
   BhP_05.19.001/1 kimpuruṣe varṣe bhagavantam ādi-puruṣaṃ lakṣmaṇāgrajaṃ	Bhu-_05.19.001/1 kimpuruze varze Bagavantam Adi-puruzam lakzmaNa-agrajam
   sītābhirāmaṃ rāmaṃ tac-caraṇa-sannikarṣābhirataḥ parama-bhāgavato hanumān	sItA-aBirAmam rAmam tac-caraNa--sannikarzABiH-atas parama--BAgavataH hanumAn
   saha kimpuruṣair avirata-bhaktir upāste	saha kimpuruzEH avirata-BaktiH upAste
   BhP_05.19.002/1 ārṣṭiṣeṇena saha gandharvair anugīyamānāṃ parama-kalyāṇīṃ	Bhu-_05.19.002/1 ArzwizeNena saha ganDarvEH anugIyamAnAm parama--kalyANIm
   bhartṛ-bhagavat-kathāṃ samupaśṛṇoti svayaṃ cedaṃ gāyati	BartR-Bagavat--kaTAm samupaSRNoti svayam ca-idam gAyati
   BhP_05.19.003/1 oṃ namo bhagavate uttamaślokāya nama	Bhu-_05.19.003/1 om namaH Bagavate uttamaSlokAya nama
   ārya-lakṣaṇa-śīla-vratāya nama upaśikṣitātmana upāsita-lokāya namaḥ	Arya-lakzaNa--SIla-vratAya namaH upaSikzita-AtmanaH upAsita--lokAya namaH
   sādhu-vāda-nikaṣaṇāya namo brahmaṇya-devāya mahā-puruṣāya mahā-rājāya nama	sADu--vAda--nikazaNAya namaH brahmaNya-devAya mahA--puruzAya mahA--rAjAya nama
   iti	iti
   BhP_05.19.004/1 yat tad viśuddhānubhava-mātram ekaṃ sva-tejasā	Bhu-_05.19.004/1 yat tat viSudDa-anuBava--mAtram ekam sva--tejasA
   dhvasta-guṇa-vyavastham	Dvasta--guNa--vyavasTam
   BhP_05.19.004/2 pratyak praśāntaṃ sudhiyopalambhanaṃ hy anāma-rūpaṃ	Bhu-_05.19.004/2 pratyak praSAntam suDiyA-upalamBanam hi anAma--rUpam
   nirahaṃ prapadye	niraham prapadye
   BhP_05.19.005/1 martyāvatāras tv iha martya-śikṣaṇaṃ rakṣo-vadhāyaiva na	Bhu-_05.19.005/1 martya-avatAraH tu iha martya-SikzaNam rakzaH---vaDAya-eva na
   kevalaṃ vibhoḥ	kevalam viBoH
   BhP_05.19.005/2 kuto 'nyathā syād ramataḥ sva ātmanaḥ sītā-kṛtāni	Bhu-_05.19.005/2 kutas anyaTA syAt ramataH sve AtmanaH sItA-kRtAni
   vyasanānīśvarasya	vyasanAn-ISvarasya
   BhP_05.19.006/1 na vai sa ātmātmavatāṃ suhṛttamaḥ saktas tri-lokyāṃ	Bhu-_05.19.006/1 na vE saH Atma-AtmavatAm suhRd-tamaH saktaH tri-lokyAm
   bhagavān vāsudevaḥ	BagavAn vAsudevaH
   BhP_05.19.006/2 na strī-kṛtaṃ kaśmalam aśnuvīta na lakṣmaṇaṃ cāpi vihātum	Bhu-_05.19.006/2 na strI--kRtam kaSmalam aSnuvIta na lakzmaNam ca-api vihAtum
   arhati	arhati
   BhP_05.19.007/1 na janma nūnaṃ mahato na saubhagaṃ na vāṅ na buddhir	Bhu-_05.19.007/1 na janma nUnam mahataH na sOBagam na vAc na budDiH-
   nākṛtis toṣa-hetuḥ	na-AkRtiH toza--hetuH
   BhP_05.19.007/2 tair yad visṛṣṭān api no vanaukasaś cakāra sakhye bata	Bhu-_05.19.007/2 tEH yat visRzwAn api naH vanOkasaH cakAra saKye bata
   lakṣmaṇāgrajaḥ	lakzmaNa-agrajaH
   BhP_05.19.008/1 suro 'suro vāpy atha vānaro naraḥ sarvātmanā yaḥ	Bhu-_05.19.008/1 suraH asuraH vA-api aTa vAnaraH naraH sarva-AtmanA yaH
   sukṛtajñam uttamam	sukRta-jQam uttamam
   BhP_05.19.008/2 bhajeta rāmaṃ manujākṛtiṃ hariṃ ya uttarān anayat kosalān	Bhu-_05.19.008/2 Bajeta rAmam manuja-AkRtim harim yaH uttarAn anayat kosalAn
   divam iti	divam iti
   BhP_05.19.009/1 bhārate 'pi varṣe bhagavān nara-nārāyaṇākhya ākalpāntam	Bhu-_05.19.009/1 BArate api varze BagavAn nara--nArAyaNa-AKyaH Akalpa-antam
   upacita-dharma-jñāna-vairāgyaiśvaryopaśamoparamātmopalambhanam	upacita--Darma--jQAna-vErAgya-ESvarya-upaSama-uparama-Atma-upalamBanam
   anugrahāyātmavatām anukampayā tapo 'vyakta-gatiś carati	anugrahAya-AtmavatAm anukampayA tapaH avyakta--gatiH carati
   BhP_05.19.010/1 taṃ bhagavān nārado varṇāśramavatībhir bhāratībhiḥ	Bhu-_05.19.010/1 tam BagavAn nAradaH varNa-ASramavatIBiH BAratIBiH
   prajābhir bhagavat-proktābhyāṃ sāṅkhya-yogābhyāṃ	prajABiH Bagavat--proktAByAm sAFKya--yogAByAm
   bhagavad-anubhāvopavarṇanaṃ sāvarṇer upadekṣyamāṇaḥ	Bagavat--anuBAva-upavarNanam sAvarNeH upadekzyamANaH
   parama-bhakti-bhāvenopasarati idaṃ cābhigṛṇāti	parama-Bakti--BAvena-upasarati idam ca-aBigRNAti
   BhP_05.19.011/1 oṃ namo bhagavate upaśama-śīlāyoparatānātmyāya namo	Bhu-_05.19.011/1 om namaH Bagavate upaSama--SIlAya-uparata-anAtmyAya namaH-
   'kiñcana-vittāya ṛṣi-ṛṣabhāya nara-nārāyaṇāya paramahaṃsa-parama-gurave	akiQcana--vittAya Rzi--RzaBAya nara-nArAyaNAya paramahaMsa--parama--gurave
   ātmārāmādhipataye namo nama iti	Atma-ArAma-aDipataye namaH namaH iti
   BhP_05.19.012/0 gāyati cedam	Bhu-_05.19.012/0 gAyati ca-idam
   BhP_05.19.012/1 kartāsya sargādiṣu yo na badhyate na hanyate deha-gato 'pi	Bhu-_05.19.012/1 kartA-asya sarga-Adizu yaH na baDyate na hanyate deha--gataH api
   daihikaiḥ	dEhikEH
   BhP_05.19.012/2 draṣṭur na dṛg yasya guṇair vidūṣyate tasmai namo	Bhu-_05.19.012/2 drazwuH na dRS yasya guNEH vidUzyate tasmE namaH-
   'sakta-vivikta-sākṣiṇe	asakta--vivikta--sAkziNe
   BhP_05.19.013/1 idaṃ hi yogeśvara yoga-naipuṇaṃ hiraṇyagarbho bhagavāñ	Bhu-_05.19.013/1 idam hi yogeSvara yoga--nEpuNam hiraNyagarBaH BagavAn-
   jagāda yat	jagAda yat-
   BhP_05.19.013/2 yad anta-kāle tvayi nirguṇe mano bhaktyā	Bhu-_05.19.013/2 yat anta-kAle tvayi nirguNe manaH BaktyA
   dadhītojjhita-duṣkalevaraḥ	daDIta-ujJita--duzkalevaraH
   BhP_05.19.014/1 yathaihikāmuṣmika-kāma-lampaṭaḥ suteṣu dāreṣu dhaneṣu	Bhu-_05.19.014/1 yaTA-EhikAmuzmika-kAm-a-lampawaH sutezu dArezu Danezu
   cintayan	cintayan
   BhP_05.19.014/2 śaṅketa vidvān kukalevarātyayād yas tasya yatnaḥ śrama eva	BhP-_05.19.014/2 SaFketa vidvAn kukalevara-atyayAt yaH tasya yatnaH SramaH eva
   kevalam	kevalam
   BhP_05.19.015/1 tan naḥ prabho tvaṃ kukalevarārpitāṃ	Bhu-_05.19.015/1 tat naH praBo tvam ku-kalevara-arpitAm
   tvan-māyayāhaṃ-mamatām adhokṣaja	tvan-mAyayA-ahaM-mamatAm aDokzaja
   BhP_05.19.015/2 bhindyāma yenāśu vayaṃ sudurbhidāṃ vidhehi yogaṃ tvayi naḥ	Bhu-_05.19.015/2 BindyAma yena-ASu vayam su-durBidAm viDehi yogam tvayi naH
   svabhāvam iti	svaBAvam iti
   BhP_05.19.016/1 bhārate 'py asmin varṣe saric-chailāḥ santi bahavo malayo	Bhu-_05.19.016/1 BArate api asmin varze saric--SElAH santi bahavaH malayaH-
   maṅgala-prastho mainākas trikūṭa ṛṣabhaḥ kūṭakaḥ kollakaḥ sahyo devagirir	maFgala-prasTaH mEnAkaH trikUwaH RzaBaH kUwakaH kollakaH sahyaH devagiriH-
   ṛṣyamūkaḥ śrī-śailo veṅkaṭo mahendro vāridhāro vindhyaḥ śuktimān ṛkṣagiriḥ	RzyamUkaH SrI--SElaH veFkawaH mahA-indraH vAri-DAraH vinDyaH SuktimAn RkzagiriH
