   Bhikṣuṇā avalokitasiṃhena samudbhāvitaḥ	BhikzuNA avalokita siMhena samudBAvitaH
   pratyayaśca yathā labhyastathā tat paridhāvati // Dhs_11.76 //	pratyayaH ca yaTA laByaH taTA tat pariDAvati // DhH _11.76 //
   cittaṃ pradhāvati parivartate ca	cittam praDAvati parivartate ca
   śīghraṃ pradhāvate cittaṃ śīghrañca parivartate /	SIGram praDAvate cittam SIGraQca parivartate /
   śīghraṃ nayati deveśa (bhuvane) dāyabhūmiṣu // Dhs_11.77 //	SIGram nayati deveSa (Buvane) dAya BUmizu // DhH _11.77 //
   cittasya karttṛtvam	cittasya karttR tvam
   karttṛtvaṃ sarvadharmāṇāṃ bharttṛtvaṃ sarvakarmaṇām /	karttR tvam sarva DarmANAm BarttR tvam sarva karmaNAm /
   netṛtvaṃ sarvakarmāṇāṃ cittatvamiti lakṣyate // Dhs_11.78 //	netR tvam sarva karmANAm citta tvam iti lakzyate // DhH _11.78 //
   cittaṃ na viśvaset	cittam na viSvaset 
   na viśvaseddhi cittasya nityaṃ chidraprahāriṇaḥ /	na viSvaset hi cittasya nityam Cidra prahAriNaH /
   durlabhasyāpi vaśyasya capalasya viśeṣataḥ // Dhs_11.79 //	durlaBasya api vaSyasya capalasya viSezataH // DhH _11.79 //
   cittagativarṇanam	citta gati varNanam
   muhūrtena śubhaṃ yāti muhūrtena tathāśubham /	muhUrtena SuBam yAti muhUrtena taTA aSuBam /
   bhavatyavyākṛtaṃ śīghraṃ gatirasya na vidyate // Dhs_11.80 //	Bavati avyAkRtam SIGram gatiH asya na vidyate // DhH _11.80 //
   nāyatirjñāyate tasya gamanaṃ naiva vidyate /	na AyatiH jQAyate tasya gamanam na eva vidyate /
   abhūtaḥ sambhavastasya bhūtvā ca pratigacchati // Dhs_11.81 //	aBUtaH samBavaH tasya BUtvA ca pratigacCati // DhH _11.81 //
   rūparahitaṃ cittam	rUpa rahitam cittam
   nākāro vidyate tasya sañcayo 'pi na vidyate /	na AkAraH vidyate tasya saQcayaH api na vidyate /
   grahaṇaṃ tasya naivāsti niḥśarīrasya sarvataḥ // Dhs_11.82 //	grahaNam tasya na eva asti niHSarIrasya sarvatas // DhH _11.82 //
   pratyayasādhanavarṇanam	pratyaya sADana varNanam
   hetupratyayasāmagrayā prāptaḥ sañjāyate punaḥ /	hetu pratyaya sAmagrayA prAptaH san jAyate punar /
   maṇisomapratyayo (hi) pratyayo jñāyate 'nalaḥ // Dhs_11.83 //	maNi soma pratyayaH (hi) pratyayaH jQAyate analaH // DhH _11.83 //
   cittamindriyarūpādīn prati dhāvati	cittam indriya rUpa AdIn prati DAvati
   tathaivendriyarūpādīn prativijñānasambhavaḥ /	taTA eva indriya rUpa AdIn prativijQAna samBavaH /
   naikasya jñāyate cittaṃ samavāyyanulakṣyate // Dhs_11.84 //	na ekasya jQAyate cittam samavAyi anulakzyate // DhH _11.84 //
   cittaṃ durnivāryam	cittam durnivAryam
   tadevaṃ viṣayaṃ matvā durnivārya ca sarvataḥ /	tat evam vizayam matvA durnivArya ca sarvatas /
   saddharmamatirāstheyā na kāmeṣu kathañcana // Dhs_11.85 //	sadDarma matiH AsTeyAH na kAmezu kaTaQcana // DhH _11.85 //
   cittamati capalam	cittam ati capalam
   caṇḍāticapalaṃ tīvramaviṣahyaṃ mahāvalam /	caNxa ati capalam tIvram avizahyam mahA valam /
   cittaṃ karoti karmāṇi yanna paśyanti bāliśāḥ // Dhs_11.86 //	cittam karoti karmANi yat na paSyanti bAliSAH // DhH _11.86 //
   duḥkhapravartakaṃ cittam	duHKa pravartakam cittam
   sarvasya karmaṇaścittaṃ hetubhūtaṃ bhave bhave /	sarvasya karmaNaH cittam hetu BUtam Bave Bave /
   bhavet pravartakaṃ duḥkhaṃ yena dhāvati bāliśaḥ // Dhs_11.87 //	Bavet pravartakam duHKam yena DAvati bAliSaH // DhH _11.87 //
   cittadoṣo mahādoṣa eva	citta dozaH mahA dozaH eva
   vātādayo na doṣāḥ syurdoṣā rāgādayo matāḥ /	vAta AdayaH na dozAH syuH dozAH rAga AdayaH matAH /
   vātādibhirapāyeṣu mānavo nopapadyate // Dhs_11.88 //	vAta AdiBiH apAyezu mAnavaH na upapadyate // DhH _11.88 //
   cittadoṣo mahādoṣo nityaṃ(pāpa) vidarśakaḥ /	citta dozaH mahA dozaH nityaM(pApa) vidarSakaH /
   tasmātteṣāṃ samāśreyo na vātādigamādiha // Dhs_11.89 //	tasmAt tezAm samASreyaH na vAta Adi gamAt iha // DhH _11.89 //
   rāgānugaṃ cittaṃ duṣṭaṃ bhavati	rAga anugam cittam duzwam Bavati
   vātādayaḥ praṇaśyanti dehanāśāccharīriṇām /	vAta AdayaH praNaSyanti deha nASAt SarIriNAm /
   (rāgādayo) na tasya syurjanmāntaraśatairapi // Dhs_11.90 //	(rAga Adayo) na tasya syuH janma antara SatEH api // DhH _11.90 //
   tasmād rāgasya vaśagaṃ na vidheyaṃ kadācana /	tasmAt rAgasya vaSa gam na viDeyam kadAcana /
   ābhyantikaṃ paraṃ śreyaḥ prāpyate rāgasaṅkramāt // Dhs_11.91 //	AByantikam param SreyaH prApyate rAga saFkramAt // DhH _11.91 //
   mana eva cikitsako bhavati	manaH eva cikitsakaH Bavati
   yaścittavaidyaḥ sa bhiṣag na śarīrabhiṣag bhṛśam /	yaH citta vEdyaH sa Bizaj na SarIra Bizaj BRSam /
   manaścikitsako jñeyo na tathā laukiko mataḥ // Dhs_11.92 //	manaH cikitsakaH jQeyaH na taTA lOkikaH mataH // DhH _11.92 //
   svacittakarmaṇā dagdho narake patati	sva citta karmaNA dagDaH narake patati
   karmacintyaṃ samaṃ cintyaṃ na cittena prapadyate /	karma cintyam samam cintyam na cittena prapadyate /
   svacittakarmaṇā dagdho narakānupadhāvati // Dhs_11.93 //	sva citta karmaNA dagDaH naraka an upaDAvati // DhH _11.93 //
   dhyānādeva cittaṃ śuddhaṃ bhavati	DyAnAt eva cittam SudDam Bavati
   yacchreyaḥ samacittasya na tat (kvāpyupa)padyate /	yat SreyaH sama cittasya na tat (kvApi upa)padyate /
   saṃrakṣyaṃ hṛdayaṃ mūḍhaḥ prayātamanudhāvati // Dhs_11.94 //	saMrakzyam hRdayam mUXaH prayAtam anuDAvati // DhH _11.94 //
   cittavaśago duḥkhamāpnoti	citta vaSagaH duHKam Apnoti
   dhyānād dhyeyena kūṭena yaḥ pumān vanamāśritaḥ /	DyAnAt Dyeyena kUwena yaH pumAn vanam ASritaH /
   taṃ muktvā cittakaḥ so 'yaṃ saṃprahṛṣyati bāliśaḥ // Dhs_11.95 //	tam muktvA cittakaH saH ayam saMprahRzyati bAliSaH // DhH _11.95 //
   ye bālāścittapāśena cittakarmavicāriṇaḥ /	ye bAlAH citta pASena citta karma vicAriNaH /
   nīyante hyavaśā ghoraṃ narakaṃ karmamohitā // Dhs_11.96 //	nIyante hi avaSAH Goram narakam karma mohitAH // DhH _11.96 //
   cittavaividhyanirūpaṇam	citta vEviDya nirUpaNam
   sucittamapi yaccitaṃ na taccittaṃ satāṃ matam /	su cittam api yat citam na tat cittam satAm matam /
   karmacittaṃ mahācittaṃ tridhātugatacitritam // Dhs_11.97 //	karma cittam mahA cittam triDAtu gata citritam // DhH _11.97 //
   sattvā citrairupāyairhi bhramanti gatipañcake /	sattvAH citrEH upAyEH hi Bramanti gati paQcake /
   tat sarva karmasācivyaṃ citrakartṛ vicitritam // Dhs_11.98 //	tat sarva karma sAcivyam citra kartR vicitritam // DhH _11.98 //
   cittavaśago baddho bhavati	citta vaSagaH badDaH Bavati
   cittacitrakareṇedaṃ karmajātaṃ vicitritam /	citta citrakareNa idam karma jAtam vicitritam /
   yena sarvamidaṃ baddhaṃ jagad bhramati mohitam // Dhs_11.99 //	yena sarvam idam badDam jagat Bramati mohitam // DhH _11.99 //
   varṣātaparajodhūmaiścittaṃ naśyati bhūbhujaiḥ /	varza Atapa rajaH DUmEH cittam naSyati BUBujEH /
   kalpakoṭisahastreṇa citraṃ cittaṃ vinaśyati // Dhs_11.100 //	kalpa kowi sahastreNa citram cittam vinaSyati // DhH _11.100 //
   nāśaṃ prayāti basudhā sāgaraścāpi śuṣyati /	nASam prayAti basuDA sAgaraH ca api Suzyati /
   cittenāpi kṛtaṃ citraṃ tasyānubhavane sthite // Dhs_11.101 //	cittena api kRtam citram tasya anuBavane sTite // DhH _11.101 //
   pramatte citte nānāgatirbhavati	pramatte citte nAnA gatiH Bavati
   nānāgatisamāvṛttā nānākarmasamānugāḥ /	nAnA gati samAvRttAH nAnA karma sama anugAH /
   nānācittavaśāḥ sattvā bhramanti gatipañcake // Dhs_11.102 //	nAnA citta vaSAH sattvAH Bramanti gati paQcake // DhH _11.102 //
   bāliśā (nāṃ)nṛṇāṃ cittaṃ viṣayaṃ(prati)dhāvati /	bAliSAH (nAM)nRNAm cittam vizayaM(prati)DAvati /
   na cinotyaśubhaṃ karma yena dhāvati durgatim // Dhs_11.103 //	na cinoti aSuBam karma yena DAvati durgatim // DhH _11.103 //
   cañcalaṃ cittaṃ sadā viṣamaṃ bhavati	caQcalam cittam sadA vizamam Bavati
   tasmāccittaṃ sadā rakṣyaṃ cañcalaṃ viṣamaṃ kharam /	tasmAt cittam sadA rakzyam caQcalam vizamam Karam /
   nityaṃ viṣayasaṃsaktaṃ tṛṣṇāviṣasamāvṛttam // Dhs_11.104 //	nityam vizaya saMsaktam tRzNA viza samAvRttam // DhH _11.104 //
   viṣayānuraktaṃ cittaṃ vyasane pātayati	vizaya anuraktam cittam vyasane pAtayati
   dhāvate viṣayaṃ caitad vyasanaṃ nāvabudhyate /	DAvate vizayam ca etat vyasanam na avabuDyate /
   paścāttu vyasane prāpte phalaṃ vindati karmaṇaḥ // Dhs_11.105 //	paScAt tu vyasane prApte Palam vindati karmaNaH // DhH _11.105 //
   samāhitacittaḥ sukhamaśnute	samAhita cittaH suKam aSnute
   apāyabhīrutā tasya tasya cittaṃ samāhitam /	apAya BIru tA tasya tasya cittam samAhitam /
   samāhitena cittena sukhāt sukhamavāpnute // Dhs_11.106 //	samAhitena cittena suKAt suKam avApnute // DhH _11.106 //
   nirjitacittaḥ sukhamāpnoti	nirjita cittaH suKam Apnoti
   viṣamaṃ capalaṃ tīvramaviṣahyaṃ mahābalam /	vizamam capalam tIvram avizahyam mahA balam /
   yaiścittaṃ nirjitaṃ dhīraiste loke sukhino matāḥ // Dhs_11.107 //	yEH cittam nirjitam DIrEH te loke suKinaH matAH // DhH _11.107 //
   // iti cittavarga ekādaśaḥ //	// iti citta vargaH ekAdaSaH //
   (12) vāgvargaḥ	(12) vAc vargaH
   nirvāṇābhilāṣukaḥ pāruṣyaṃ varjayet	nirvANa aBilAzukaH pAruzyam varjayet 
   pāruṣyaṃ varjayet dhīmān samyagvāg bhīrato bhavet /	pAruzyam varjayet DImAn samyak vAc BIrataH Bavet /
   mādhuryābhirato jarntunirvāṇasyāntike sthitaḥ // Dhs_12.1 //	mADurya aBirataH jarntu nirvANasya antike sTitaH // DhH _12.1 //
   vācaṃ paśyan sadābhāṣenmalināṃ ca vivarjayet /	vAcam paSyan sadABAzet malinAm ca vivarjayet /
   vāṅmanenābhibhūtā ye te yānti narakaṃ narāḥ // Dhs_12.2 //	vAc manena aBiBUtAH ye te yAnti narakam narAH // DhH _12.2 //
   ekadharmavyatītasya mṛṣāvādasya dehinaḥ /	eka Darma vyatItasya mRzAvAdasya dehinaH /
   pratīrṇapratilokasya nākārya pāpamastiha // Dhs_12.3 //	pratIrNa pratilokasya na AkArya pApam astiha // DhH _12.3 //
   mṛṣāvāg na prayoktavyā	mRzA vAc na prayoktavyA
   mṛṣāvācaṃ na bhāṣeta sarvā pratyayakārikām /	mRzA vAcam na BAzeta sarvA pratyaya kArikAm /
   yathā badhyati saṃsāre sugatiṃ naiva paśyati // Dhs_12.4 //	yaTA baDyati saMsAre sugatim na eva paSyati // DhH _12.4 //
   sādhupratyayatenīhā sarvavidveṣakārikā /	sADu pratyayatenIhA sarva vidveza kArikAH /
   kāntāraḥ sarvādharmāṇāṃ mṛṣāvāca pravartate // Dhs_12.5 //	kAntAraH sarva aDarmANAm mRzA a= Aca pravartate // DhH _12.5 //
   jātamātrasya martyasya kaṭhārī jāyate mukhe /	jAta mAtrasya martyasya kaWArI jAyate muKe /
   paścāt chinattyātmānaṃ vācā durbhāṣitaṃ vadan // Dhs_12.6 //	paScAt Cinatti AtmAnam vAcA durBAzitam vadan // DhH _12.6 //
   sarvā kāryapatākā sā sarvapāpaprasūtikā /	sarvA kArya patAkA sA sarva pApa prasUtikAH /
   tamasāṃ yonirekā sā yāṃ vācaṃ bhāṣate mṛṣā // Dhs_12.7 //	tamasAm yoniH ekA sA yAm vAcam BAzate mRzA // DhH _12.7 //
   satyena hīnāḥ puruṣāḥ sarvasādhuvivarjitāḥ /	satyena hInAH puruzAH sarva sADu vivarjitAH /
   tṛṇavad yānti loke 'smin pratyapāyeṣu duḥkhitāḥ // Dhs_12.8 //	tRNa vat yAnti loke asmin pratyapAyezu duHKitAH // DhH _12.8 //
   na vadedanṛtaṃ dhīraḥ kaṣṭā hyanṛtavāditā /	na vadet anRtam DIraH kazwA hi anRta vAdi tA /
   pūtigandhyasukhī cāpi paścāttāpena tapyate // Dhs_12.9 //	pUti ganDya suKI ca api paScAttApena tapyate // DhH _12.9 //
   satyamahimā	satya mahimA
   satyaṃ ca na vivarjeta tasya dharmo na vidyate /	satyam ca na vivarjeta tasya DarmaH na vidyate /
   vinivartitadharmasya sthitaṃ duḥkhamanekajam // Dhs_12.10 //	vinivartita Darmasya sTitam duHKam aneka jam // DhH _12.10 //
   satyaṃ sarvadharmāṇāṃ pradīpabhūtam	satyam sarva DarmANAm pradIpa BUtam
   pradīpaḥ sarvadharmāṇāṃ sādhūnāṃ ratnavat priyam /	pradIpaH sarva DarmANAm sADUnAm ratna vat priyam /
   svargasya ca paraṃ vartma satyamuktaṃ gatajvaraiḥ // Dhs_12.11 //	svargasya ca param vartma satyam uktam gata jvarEH // DhH _12.11 //
   satyaṃ na hi divaṃ yāti mokṣasyāsatyavādinaḥ /	satyam na hi divam yAti mokzasya asatya vAdinaH /
   satyahīnā hi puruṣāḥ paśutulyāḥ prakīrtitāḥ // Dhs_12.12 //	satya hInAH hi puruzAH paSu tulyAH prakIrtitAH // DhH _12.12 //
   jaghanyānāṃ jaghānyāste yeṣāṃ na vidyate /	jaGanyAnAm jaGAnyAH te yezAm na vidyate /
   satyaṃ dharmasya sopānaṃ jyotiṣāmākaro mahān // Dhs_12.13 //	satyam Darmasya sopAnam jyotizAm AkaraH mahAn // DhH _12.13 //
   panthāśca mokṣadharmāṇāṃ dhanānāṃ dhanamuttamam /	panTAH ca mokza DarmANAm DanAnAm Danam uttamam /
   pāpakaiśca (pari)trāṇāṃ satyamuktaṃ manīṣibhiḥ // Dhs_12.14 //	pApakEH ca (pari)trANAm satyam uktam manIziBiH // DhH _12.14 //
   satyabhūṣitaṃ vāg bhūṣaṇasyāpi bhūṣaṇam	satya BUzitam vAc BUzaNasya api BUzaNam
   jyotiṣāṃ paramaṃ jyotiścakṣuścakṣuṣmatāmapi /	jyotizAm paramam jyotiScakzuH cakzuzmatAm api /
   draviṇena vinā satyaṃ bhūṣaṇasyāpi bhūṣaṇam // Dhs_12.15 //	draviNena vinA satyam BUzaNasya api BUzaNam // DhH _12.15 //
   nidhānamatulaṃ satyamahārya (sarvasādhakam) /	niDAnam atulam satya mahArya (sarva sADakam) /
   gacchanti (satyā yiṇaḥ) puruṣāḥ paramāṃ gatim // Dhs_12.16 //	gacCanti (satyAH yiNaH) puruzAH paramAm gatim // DhH _12.16 //
   na tathā bhāsate rājā nānālaṅkārabhūṣitaḥ /	na taTA BAsate rAjA nAnA alaFkAra BUzitaH /
   satyena bhūṣito dhīmān śobhate devavad yathā // Dhs_12.17 //	satyena BUzitaH DImAn SoBate deva vat yaTA // DhH _12.17 //
   na mātā na pitā cātha mitrāṇi na ca bāndhavāḥ /	na mAtA na pitA ca aTa mitrANi na ca bAnDavAH /
   trāṇamevaṃ yathā śrutvā tasmāt satyaparo bhavet // Dhs_12.18 //	trANam evam yaTA SrutvA tasmAt satya paraH Bavet // DhH _12.18 //
   anṛtanindā	anRta nindA
   vahnīnāṃ paramo vahnirviṣāṇāṃ paramaṃ viṣam /	vahnInAm paramaH vahniH vizANAm paramam vizam /
   durgatīnāṃ ca sopānamanṛtaṃ parikīrtitam // Dhs_12.19 //	durgatInAm ca sopAnam anRtam parikIrtitam // DhH _12.19 //
   viṣāgnitulyasaṃsparśa vartayedanṛtaṃ pumān /	viza agni tulya saMsparSa vartayet anRtam pumAn /
   anṛtena hi yo deva dagdhaityabhidhīyate // Dhs_12.20 //	anRtena hi yaH deva dagDA eti aBiDIyate // DhH _12.20 //
   satyāsatyayoḥ parasparavirodhitvam	satya asatyayoH paraspara viroDi tvam
   tasmāt sarvābhisāreṇa (na vadeda) nṛtaṃ pumān /	tasmAt sarva aBisAreNa (na vada ida) nRtam pumAn /
   sarva bhayādikaṃ kaṣṭamanṛtaṃ kīrtitaṃ budhaiḥ // Dhs_12.21 //	sarva Baya Adikam kazwam anRtam kIrtitam buDEH // DhH _12.21 //
   vahnīnāṃ paramo vahnirnirdahedapi sāgaram /	vahnInAm paramaH vahniH nirdahet api sAgaram /
   kiṃ punaryo mṛṣāvādī kāṣṭhaloṣṭhasamākṛtiḥ // Dhs_12.22 //	kim punar yaH mRzAvAdI kAzWa lozWa sama AkRtiH // DhH _12.22 //
   satyaṃ tyaktvā mṛṣāvādaṃ yo naraḥ pratipadyate /	satyam tyaktvA mRzAvAdam yaH naraH pratipadyate /
   ratnaṃ tyaktvā sa pāpātmā pāṣāṇaṃ pratipadyate // Dhs_12.23 //	ratnam tyaktvA sa pApa AtmA pAzANam pratipadyate // DhH _12.23 //
   yasyātmā na bhavet dviṣṭo yasya vā narakaṃ priyam /	yasya AtmA na Bavet dvizwaH yasya vA narakam priyam /
   mṛṣāvādaṃ svadehāgnim abuddhiḥ sa niṣevate // Dhs_12.24 //	mRzAvAdam sva deha agnim abudDiH sa nizevate // DhH _12.24 //
   sadedaṃ satyavacanaṃ bhūṣaṇaṃ sarvadehinām /	sadA idam satya vacanam BUzaNam sarva dehinAm /
   satyaṃ tyaktvā mṛṣāvāde kasmād yānti kubuddhayaḥ // Dhs_12.25 //	satyam tyaktvA mRzA vAde kasmAt yAnti kubudDayaH // DhH _12.25 //
   satyaṃ guṇānāmagryaṃ vai doṣāṇāmanṛtaṃ smṛtam /	satyam guNAnAm agryam vE dozANAm anRtam smRtam /
   guṇāṃstyaktvā kathaṃ mūḍho doṣeṣu paridhāvati // Dhs_12.26 //	guNAn= tyaktvA kaTam mUXaH dozezu pariDAvati // DhH _12.26 //
   bījaṃ sarvasya duḥkhasya mṛṣāvādaḥ prakīrtitaḥ /	bIjam sarvasya duHKasya mRzAvAdaH prakIrtitaH /
   tathā satyaṃ sukhasyaiva tasmānnānṛtako bhavet // Dhs_12.27 //	taTA satyam suKasya eva tasmAt na anRtakaH Bavet // DhH _12.27 //
   satyavādī hi puruṣaḥ priyaḥ sarvasya dehinaḥ /	satya vAdI hi puruzaH priyaH sarvasya dehinaH /
   cakṣurdoṣaimṛṣāvādī tasmānnānṛtako bhavet // Dhs_12.28 //	cakzuH doza emRzAvAdI tasmAt na anRtakaH Bavet // DhH _12.28 //
   devakalpāḥ sadā kṛṣṭāḥ puruṣāḥ satyavādinaḥ /	deva kalpAH sadA kRzwAH puruzAH satya vAdinaH /
   nārakeyāstathā mūḍhā janā hyanṛtacetasaḥ // Dhs_12.29 //	nArakeyAH taTA mUXAH janAH hi anRta cetasaH // DhH _12.29 //
   kalyāṇānāṃ paraṃ satyaṃ doṣāṇāmanṛtaṃ tathā /	kalyANAnAm param satyam dozANAm anRtam taTA /
   doṣavarjī guṇadveṣī puruṣaḥ puruṣottamaḥ // Dhs_12.30 //	doza varjI guNa dvezI puruzaH puruzottamaH // DhH _12.30 //
   sukhodayaṃ sukhodarkaṃ sukhena paripacyate /	suKa udayam suKa udarkam suKena paripacyate /
   sukhena labhate satyaṃ(satyaṃ) nirvāṇagāmikam // Dhs_12.31 //	suKena laBate satyaM(satyaM) nirvANa gAmikam // DhH _12.31 //
   duḥkhodayaṃ kaṭuphalaṃ duḥkhena saha pacyate /	duHKa udayam kawuPalam duHKena saha pacyate /
   anṛtaṃ sarvaduḥkhāntaṃ kaḥ pumān na vivarjayet // Dhs_12.32 //	anRtam sarva duHKa antam kaH pumAn na vivarjayet // DhH _12.32 //
   nānyadeśāgataṃ satyaṃ nānyasmāt prārthyate hi tat /	na anya deSa Agatam satyam na anyasmAt prArTyate hi tat /
   sarvatīrthottamaṃ satyaṃ na tīrthasalilāvṛtam // Dhs_12.33 //	sarva tIrTa uttamam satyam na tIrTa salila AvRtam // DhH _12.33 //
   dīpānāṃ ca paro dīpaḥ satyaṃ buddhena deśitam /	dIpAnAm ca paraH dIpaH satyam budDena deSitam /
   auṣadhānāṃ paraṃ tacca sadā duḥkhaniṣūdanam // Dhs_12.34 //	OzaDAnAm param tat ca sadA duHKa nizUdanam // DhH _12.34 //
   amṛtañca viṣañcaiva jihvāpāśe sthitaṃ nṛṇām /	amRtaQca vizaQca eva jihvA pASe sTitam nRNAm /
   amṛtaṃ satyamityuktaṃ viṣaṃ tūktaṃ mṛṣāvacaḥ // Dhs_12.35 //	amRtam satyam iti uktam vizam tu uktam mRzA vacaH // DhH _12.35 //
   yasyānṛtamabhipretaṃ tasya satyaṃ dhruvaṃ sthitam /	yasya anRtam aBipretam tasya satyam Druvam sTitam /
   viṣantu yasyābhimataṃ tasyeṣṭaṃ syānmṛṣāvacaḥ // Dhs_12.36 //	vizantu yasya aBimatam tasya izwam syAt mRzA vacaH // DhH _12.36 //
   viṣeṇa niścitaṃ nāśo mṛṣāvādena niścitaḥ /	vizeNa niScitam nASaH mRzA vAdena niScitaH /
   mṛtavat sa pumānasti yo mithyātvabhibhāṣate // Dhs_12.37 //	mRta vat sa pumAn asti yaH miTyAtu aBiBAzate // DhH _12.37 //
   nātmano hi hitaṃ pathyaṃ (para)sya na kathañcana /	na AtmanaH hi hitam paTyam (para)sya na kaTaQcana /
   paścāttu paraduḥkhāya tat kathaṃ sevyate nṛbhiḥ // Dhs_12.38 //	paScAt tu para duHKAya tat kaTam sevyate nRBiH // DhH _12.38 //
   deśe deśe mayā dṛṣṭaṃ janmamṛtyusahasrakam /	deSe deSe mayA dRzwam janma mRtyu sahasrakam /
   paraḥ sahastraṃ janayennāśayedanṛtaṃ vacaḥ // Dhs_12.39 //	paraH sahastram janayet nASayet anRtam vacaH // DhH _12.39 //
   abhijātasa niṣkarṣo dvijātīnāṃ ca bhūṣaṇam /	aBijAta sa nizkarzaH dvijAtInAm ca BUzaNam /
   darśanaṃ mokṣamārgasya satyamityabhidhīyate // Dhs_12.40 //	darSanam mokza mArgasya satyam iti aBiDIyate // DhH _12.40 //
   tṛṣṇānadī hayamārāṇāṃ satāṃ satyena karmaṇām /	tRzNA nadI hayamArANAm satAm satyena karmaNAm /
   pūrvavat satyamityuktaṃ paraṃ sugatadeśikam // Dhs_12.41 //	pUrvavat satyam iti uktam param sugata deSikam // DhH _12.41 //
   anādinidhane loke tṛṣṇāpāraṅgatā (narāḥ) /	anAdi niDane loke tRzNA pAraFga tAH (narAH) /
   nāstyatrāṇaṃ yathā satyamiti dharmavido viduḥ // Dhs_12.42 //	na asti atrANam yaTA satyam iti Darma vidaH viduH // DhH _12.42 //
   abhidhyāpāśo na sevanīyaḥ	aBiDyA pASaH na sevanIyaH
   satyavadhyā sadā kleśā vajravadhyā yathā nagāḥ /	satya vaDyA sadA kleSAH vajra vaDyAH yaTA nagAH /
   hatā(ste) puruṣā (jñeyā ye ') bhidhyā parivañcitāḥ // Dhs_12.43 //	hatA(H te) puruzAH (jQeyAH ye a) BiDyA parivaQcitAH // DhH _12.43 //
   paracittasamenedaṃ rūpādyaiḥ parivañcyate /	para citta samena idam rUpa AdyEH parivaQcyate /
   abhidhyāmānasaṃ pāśaṃ sevitaṃ na vicakṣaṇaiḥ // Dhs_12.44 //	aBiDyA mAnasam pASam sevitam na vicakzaNEH // DhH _12.44 //
   dahyate 'vikṛta ātmā tailadīptirivānalaḥ /	dahyate avikRtaH AtmA tEla dIptiH iva analaH /
   abhidhyādagdhamanasaḥ kāraṇaṃ nopalabhyate // Dhs_12.45 //	aBiDyA dagDa manasaH kAraNam na upalaByate // DhH _12.45 //
   vyāpādaḥ sattvān mohayatyeva	vyApAdaH sattvAt mohayati eva
