   Pramāṇavārtikam	PramANa-vArtikam
   pratyakṣāṃ ca dhiyaṃ dṛṣṭvā tasyāśceṣṭābhidhādikam // Pramāṇav_2.476 //	pratyakzAm ca Diyam dRzwvA tasyAH-ca-izwA-aBiDa-Adikam // PramANa=-_2.476 //
   paracittānumānaṃ ca na syādātmanyadarśanāt /	para-citta-anumAnam ca na syAt-Atmani-adarSanAt /
   sambandhasy manobuddhavarthaliṅgāprasiddhitaḥ // Pramāṇav_2.477 //	sambanDasi manaH-budDavarTa-liFgA-prasidDitaH // PramANa=-_2.477 //
   prakāśitā kathaṃ vā syāt buddhirbuddh yantareṇa vaḥ /	prakASitA kaTam vA syAt budDiH-budD yantareNa vaH /
   aprakāśātmanoḥ sāmyād vyaṅgyavyañjakatā kutaḥ // Pramāṇav_2.478 //	aprakASa-AtmanoH sAmyAt vyaFgya-vyaQjaka-tA kutas // PramANa=-_2.478 //
   viṣayasya kathaṃ vyaktiḥ prakāśe rūpasaṃkramāt /	vizayasya kaTam vyaktiH prakASe rUpa-saMkramAt /
   sa ca prakāśastadrūpaḥ svayameva prakāśate // Pramāṇav_2.479 //	sa ca prakASaH-tad-rUpaH svayam-eva prakASate // PramANa=-_2.479 //
   tathābhyupagame buddherbuddhau buddhiḥ svavedikā /	taTA-aByupagame budDeH-budDO budDiH sva-vedikA /
   siddhānyathā tulyadharmā viṣayo 'pi dhiyā saha // Pramāṇav_2.480 //	sidDAnyaTA tulya-DarmAH vizayaH api DiyA saha // PramANa=-_2.480 //
   iti prakāśarūpā naḥ svayaṃ dhīḥ samprakāśate /	iti prakASa-rUpAH naH svayam DIH samprakASate /
   anyo 'syāṃ rūpasaṃkrāntyā prakāśaḥ san prakāśate // Pramāṇav_2.481 //	anyaH asyAm rUpa-saMkrAntyA prakASaH san prakASate // PramANa=-_2.481 //
   sādṛśye 'pi hi dhīranyā prakāśyā na tayā matā /	sAdRSye api hi DIH-anyA prakASyAH na tayA matA /
   svayaṃ prakāśamānārthastadrū peṇa prakāśate // Pramāṇav_2.482 //	svayam prakASamAna-arTaH-tad-rU peNa prakASate // PramANa=-_2.482 //
   yathā pradīpayordīpaghaṭayośca tadāśrayaḥ /	yaTA pradIpayoH-dIpa-GawayoH-ca tad-ASrayaH /
   vyaṅ gyavyañjakabhedena vyavahāraḥ pratanyate // Pramāṇav_2.483 //	vyaF gyavyaQjaka-Bedena vyavahAraH pratanyate // PramANa=-_2.483 //
   viṣayendriyamātreṇa na dṛṣṭamiti niścayaḥ /	vizaya-indriya-mAtreNa na dRzwam-iti niScayaH /
   tasmād yato 'yaṃ tasyāpi vācyamanyasya daśanam // Pramāṇav_2.484 //	tasmAt yatas ayam tasya-api vAcyam-anyasya daSanam // PramANa=-_2.484 //
   smṛterapyātmavit siddhā jñānasyānyena vedane /	smRteH-api-Atma-vid sidDAH jQAnasya-anyena vedane /
   dīrghādigrahaṇaṃ na syād bahumātrānavasthiteḥ // Pramāṇav_2.485 //	dIrGa-Adi-grahaNam na syAt bahu-mAtra-anavasTiteH // PramANa=-_2.485 //
   avasthitāvakramāyāṃ sakṛdābhāsanānmatau /	avasTita-avakramAyAm sakRt-ABAsanAt-matO /
   varṇaḥ syādkramo 'dīrghaḥ kramavānakramāṃ katham // Pramāṇav_2.486 //	varNaH syAt-kramaH adIrGaH kramavAn-akramAm kaTam // PramANa=-_2.486 //
   upakuryādasaṃśliṣyan varṇabhāgaḥ parasparam /	upakuryAt-asaMSlizyan varNa-BAgaH parasparam /
   āntyaṃ pūrvasthitādūrdhva vardhamāno dhvanirbhavet // Pramāṇav_2.487 //	Antyam pUrva-sTitAt-UrDva varDamAnaH DvaniH-Bavet // PramANa=-_2.487 //
   akrameṇa grahādante kramavaddhīśca no bhavet /	akrameNa grahAt-ante krama-vat-hIH-ca naH Bavet /
   dhiyaḥ svayaṃ ca na sthānaṃ tadūrdhvaviṣayāsthiteḥ // Pramāṇav_2.488 //	DiyaH svayam ca na sTAnam tad-UrDva-vizaya-AsTiteH // PramANa=-_2.488 //
   sthāne svayaṃ na naśyet sā paścādapyaviśeṣataḥ /	sTAne svayam na naSyet sA paScAt-api-aviSezatas /
   doṣo 'yaṃ sakṛdutpannākramavarṇasthitāvapi // Pramāṇav_2.489 //	dozaH ayam sakRt-utpanna-Akrama-varNa-sTitO=-api // PramANa=-_2.489 //
   sakṛdyatnodbhavād vyarthaḥ syād yatnaścottarottaraḥ /	sakRt-yatna-udBavAt vyarTaH syAt yatnaH-ca-uttara-uttaraH /
   vyaktāvapyeṣa varṇānāṃ doṣaḥ samanuṣajyate // Pramāṇav_2.490 //	vyaktO=-api-eza varNAnAm dozaH samanuzajyate // PramANa=-_2.490 //
   anekayā tadgrahaṇe yāntyā dhīḥ sānubhūyate /	anekayA tad-grahaNe yAntyA DIH sA-anuBUyate /
   na dīrghagrāhikā sā ca tanna syād dīrghadhīsmṛtiḥ // Pramāṇav_2.491 //	na dIrGagrAhikA sA ca tat-na syAt dIrGa-DI-smRtiH // PramANa=-_2.491 //
   pṛthak pṛthak ca buddhīnāṃ saṃvittau taddhvaniśruteḥ /	pRTak pRTak ca budDInAm saMvittO tad-Dvani-SruteH /
   avicchinnābhatā na syād ghaṭanaṃ ca nirākṛtam // Pramāṇav_2.492 //	avicCinna-ABatA na syAt Gawanam ca nirAkRtam // PramANa=-_2.492 //
   vicchinnaṃ śṛṇvato 'pyasya yadyavicchinnavibhramaḥ /	vicCinnam SRNvataH api-asya yadi-avicCinna-viBramaH /
   hrasvadvayoccāraṇe 'pi syādavicchinnavibhramaḥ // Pramāṇav_2.493 //	hrasva-dvaya-uccAraNe api syAt-avicCinna-viBramaH // PramANa=-_2.493 //
   vicchinne darśane cākṣādavicchinnādhiropaṇam /	vicCinne darSane ca-akzAt-avicCinna-aDiropaNam /
   nākṣāt sarvākṣabuddhīnāṃ vitathatvaprasaṅgataḥ // Pramāṇav_2.494 //	na-akzAt sarva-akza-budDInAm vitaTa-tva-prasaFgataH // PramANa=-_2.494 //
   sarvāntyo 'pi hi varṇātmā nimeṣatulitasthitiḥ /	sarva-antyaH api hi varNa-AtmA nimeza-tulita-sTitiH /
   sa ca kramādanekāṇusambandhena nitiṣṭhati // Pramāṇav_2.495 //	sa ca kramAt-aneka-aNu-sambanDena nitizWati // PramANa=-_2.495 //
   ekāṇvatyayakālaśca kālo 'lpīyān kṣaṇo mataḥ /	ekANu-atyaya-kAlaH-ca kAlaH alpIyAn kzaNaH mataH /
   buddhiśca kṣaṇikā tasmāt kramād varṇān prapadyate // Pramāṇav_2.496 //	budDiH-ca kzaNikA tasmAt kramAt varNAn prapadyate // PramANa=-_2.496 //
   iti varṇe 'pi rupādāvavicchinnāvabhāsinī /	iti varNe api rupAdO=-avicCinna-avaBAsinI /
   vicchinnāpyanyathā buddhiḥ sarvā syād vitathārthikā // Pramāṇav_2.497 //	vicCinnA-api-anyaTA budDiH sarvA syAt vitaTa-arTikAH // PramANa=-_2.497 //
   ghaṭanaṃ yacca bhāvānāmanyatrendriyavibhramāt /	Gawanam yat-ca BAvAnAm-anyatra-indriya-viBramAt /
   bhedālakṣaṇavibhrāntaṃ smaraṇaṃ tad vikalpakam // Pramāṇav_2.498 //	Beda-alakzaNa-viBrAntam smaraNam tat vikalpakam // PramANa=-_2.498 //
   tasya spaṣṭāvabhāsitvaṃ jalpasaṃsargiṇaḥ kutaḥ /	tasya spazwa-avaBAsi-tvam jalpa-saMsargiNaH kutas /
   nākṣagrāhye 'sti śabdānāṃ yojaneti vivecitam // Pramāṇav_2.499 //	na-akza-grAhye asti SabdAnAm yojana-iti vivecitam // PramANa=-_2.499 //
   vicchinnaṃ paśyato 'pyakṣairghaṭayed yadi kalpanā /	vicCinnam paSyataH api-akzEH-Gawayet yadi kalpanA /
   arthasya tatsaṃvitteśca satataṃ bhāsamānayoḥ // Pramāṇav_2.500 //	arTasya tad-saMvitteH-ca satatam BAsamAnayoH // PramANa=-_2.500 //
   bādhake sati sannyāye vicchinna iti tat kutaḥ /	bADake sati sannyAye vicCinnaH iti tat kutas /
   buddhīnāṃ śaktiniyamāditi cet sa kuto bhataḥ // Pramāṇav_2.501 //	budDInAm Sakti-niyamAt-iti ced sa kutas BataH // PramANa=-_2.501 //
   yugapad buddhyadṛṣṭeścet tadevedaṃ vicāryate /	yugapad budDi-adRzweH-ced tat-eva-idam vicAryate /
   tāsāṃ samānajātīye sāmarthyaniyamo bhavet // Pramāṇav_2.502 //	tAsAm samAna-jAtIye sAmarTya-niyamaH Bavet // PramANa=-_2.502 //
   tathā hi samyaglakṣyante vikalpāḥ kramabhāvinaḥ /	taTA hi samyak-lakzyante vikalpAH krama-BAvinaH /
   etena yaḥ samakṣe 'rthe pratyabhiġyānakalpanām // Pramāṇav_2.503 //	etena yaH samakze arTe pratyaBiġyAna-kalpanAm // PramANa=-_2.503 //
   spaṣṭāvabhāsāṃ pratyakṣāṃ kalpayet so 'pi vāritaḥ /	spazwa-avaBAsAm pratyakzAm kalpayet saH api vAritaH /
   keśagolakadīpādāvapi spaṣṭāvabhāsanāt // Pramāṇav_2.504 //	keSa-golaka-dIpa-AdO=-api spazwa-avaBAsanAt // PramANa=-_2.504 //
   pratītabhede 'pyadhyakṣā dhīḥ kathaṃ tādṛśī bhavet /	pratIta-Bede api-aDyakzAH DIH kaTam tAdRSI Bavet /
   tasmānna pratyabhijñānād varṇādyekatvaniścayaḥ // Pramāṇav_2.505 //	tasmAt-na pratyaBijQAnAt varNa-Adi-ekatva-niScayaH // PramANa=-_2.505 //
   pūrvānubhūtasmaraṇāt taddharmāropaṇād vinā /	pUrva-anuBUta-smaraNAt tad-Darma-AropaNAt vinA /
   sa evāyamiti jñānaṃ nāsti tacchakṣaje kutaḥ // Pramāṇav_2.506 //	saH eva-ayam-iti jQAnam na-asti tad-Sakza-je kutas // PramANa=-_2.506 //
   na cārthajñānasaṃvittyoryugapat sambhavo yataḥ /	na ca-arTa-jQAna-saMvittyoH-yugapad samBavaH yatas /
   lakṣyete pratibhāso dau nārthārthajñānayoḥ pṛthak // Pramāṇav_2.507 //	lakzyete pratiBAsaH dO na-arTa-arTa-jQAnayoH pRTak // PramANa=-_2.507 //
   na hyarthābhāsi ca jñānamartho bāhyaśca kevalaḥ /	na hi-arTa-ABAsi ca jQAnam-arTaH bAhyaH-ca kevalaH /
   ekākāramatigrāhye bhedabhāvaprasaṅgataḥ // Pramāṇav_2.508 //	eka-AkAram-atigrAhye Beda-BAva-prasaFgataH // PramANa=-_2.508 //
   sūpalakṣeṇa bhedena yau saṃvittau na lakṣitau /	su-upa-lakzeNa Bedena yO saMvittO na lakzitO /
   arthārthapratyayo paścāt smaryete tau pṛthak katham // Pramāṇav_2.509 //	arTa-arTa-pratyayaH paScAt smaryete tO pRTak kaTam // PramANa=-_2.509 //
   krameṇānubhavotpāde 'pyarthārthamanasorayam /	krameNa-anuBava-utpAde api-arTa-arTa-manasoH-ayam /
   pratibhāsasya nānātvacodyadoṣo duruddharaḥ // Pramāṇav_2.510 //	pratiBAsasya nAnA-tva-codya-dozaH durudDaraH // PramANa=-_2.510 //
   arthasaṃvedanaṃ tāvat tato 'rthābhāsavedanam /	arTa-saMvedanam tAvat tatas arTa-ABAsa-vedanam /
   na hi saṃvedanaṃ śuddhaṃ bhavedarthasya vedanam // Pramāṇav_2.511 //	na hi saMvedanam SudDam Bavet-arTasya vedanam // PramANa=-_2.511 //
   tathā hi nīlādyākāra eka ekaṃ ca vedanam /	taTA hi nIla-Adi-AkAraH ekaH ekam ca vedanam /
   lakṣyate na tu nīlābhe vedane vedanaṃ param // Pramāṇav_2.512 //	lakzyate na tu nIla-ABe vedane vedanam param // PramANa=-_2.512 //
   jñānāntareṇānubhavo bhavet tatrāpi hi smṛtiḥ /	jQAna-antareNa-anuBavaH Bavet tatra-api hi smRtiH /
   dṛṣṭā tadvedanaṃ kena tasyāpyanyena ced imām // Pramāṇav_2.513 //	dRzwA tad-vedanam kena tasya-api-anyena ced imAm // PramANa=-_2.513 //
   mālāṃ jñānavidāṃ ko 'yaṃ janayatyanubandhinīm /	mAlAm jQAna-vidAm kaH ayam janayati-anubanDinIm /
   pūrvā dhīḥ saiva cenna syāt sañcāro viṣayāntare // Pramāṇav_2.514 //	pUrvA DIH sA-eva ced-na syAt saQcAraH vizaya-antare // PramANa=-_2.514 //
   tāṃ grāhyalakṣaṇaprāptāmāsannāṃ janikāṃ dhiyam /	tAm grAhya-lakzaNa-prAptAm-AsannAm janikAm Diyam /
   agṛhītvottaraṃ jñānaṃ gṛhṇīyādaparaṃ katham // Pramāṇav_2.515 //	agRhItvA-uttaram jQAnam gRhNIyAt-aparam kaTam // PramANa=-_2.515 //
   ātmani jñānajanane svabhāve niyatāṃ ca tām /	Atmani jQAna-janane svaBAve niyatAm ca tAm /
   ko nāmānyo vibadhnīyād bahiraṃge 'ntaraṅgikām // Pramāṇav_2.516 //	kaH nAmAnyaH vibaDnIyAt bahis-aMge antaraFgikAm // PramANa=-_2.516 //
   bāhyāḥ sannihito 'pyarthastāṃ vibadhnan hi na prabhuḥ /	bAhyAH sannihitaH api-arTaH-tAm vibaDnan hi na praBuH /
   dhiyaṃ nānubhavet kaścidanyathārthasya sannidhau // Pramāṇav_2.517 //	Diyam na-anuBavet kaScid-anyaTA-arTasya sanniDO // PramANa=-_2.517 //
   na cāsannihitārthāsti daśā kācidato dhiyaḥ /	na ca-asat-nihita-arTa-asti daSA kAcid-atas DiyaH /
   utkhātamūlā smṛtirapyutsannetyujjvalaṃ matam // Pramāṇav_2.518 //	utKAta-mUlA smRtiH-api-utsannA-iti-ujjvalam matam // PramANa=-_2.518 //
   atītādivikalpānāṃ yeṣāṃ nārthasya sannidhiḥ /	atIta-Adi-vikalpAnAm yezAm na-arTasya sanniDiH /
   sañcārakaraṇābhāvād utsīdedathacintanam // Pramāṇav_2.519 //	saQcAra-karaNa-aBAvAt utsIdet-aTa-cintanam // PramANa=-_2.519 //
   ātmavijñānajanane śaktisaṃkṣayataḥ śanaiḥ /	Atma-vijQAna-janane Sakti-saMkzayataH SanEs /
   viṣayāntarasañcāro yadi saivārthadhīḥ kutaḥ // Pramāṇav_2.520 //	vizaya-antara-saQcAraH yadi sA-eva-arTa-DIH kutas // PramANa=-_2.520 //
   śaktikṣaye pūrvādhiyo na hi dhīḥ prāgdhiyā vinā /	Sakti-kzaye pUrva-ADiyaH na hi DIH prAk-DiyA vinA /
   anyārthāsaktiviguṇe jñāne jñānodayāgateḥ // Pramāṇav_2.521 //	anya-arTa-Asakti-viguNe jQAne jQAna-udaya-AgateH // PramANa=-_2.521 //
   sakṛdvijātīyajātāvapyekena paṭīyasā /	sakRt-vijAtIya-jAtO=-api-ekena pawIyasA /
   cittenāhitavaiguṇyādālāyānnānyasambhavaḥ // Pramāṇav_2.522 //	cittena-ahita-vEguNyAt-AlAyAt-na-anya-samBavaH // PramANa=-_2.522 //
   nāpekṣetānyathā sāmyaṃ manovṛttermano 'ntaram /	na-apekzeta-anyaTA sAmyam manaH-vRtteH-manaH antaram /
   manojñānakramotpattirapyapekṣā prasādhanī // Pramāṇav_2.523 //	manaH-jQAna-krama-utpattiH-api-apekzA prasADanI // PramANa=-_2.523 //
   ekatvānmanaso 'nyammin saktasyānyāgateryadi /	eka-tvAt-manasaH anyammin saktasya-anya-AgateH-yadi /
   jñānāntarasyānudayo na kadācit sahodayāt // Pramāṇav_2.524 //	jQAna-antarasya-anudayaH na kadAcid saha-udayAt // PramANa=-_2.524 //
   samavṛttau ca tulyatvāt sarvadānyāgatirbhavet /	sama-vRttO ca tulya-tvAt sarva-dAnya-AgatiH-Bavet /
   janma vātmamanoyogamātrajānāṃ sakṛd bhavet // Pramāṇav_2.525 //	janma vA-Atma-manaH-yoga-mAtra-jAnAm sakRt Bavet // PramANa=-_2.525 //
   ekaiva cet kriyaikaḥ syāt kiṃ dīpo 'nekadarśanaḥ /	ekA-eva ced kriyA-ekaH syAt kim dIpaH aneka-darSanaH /
   krameṇāpi na śaktaṃ syāt paścādapyaviśeṣataḥ // Pramāṇav_2.526 //	krameNa-api na Saktam syAt paScAt-api-aviSezatas // PramANa=-_2.526 //
   anena dehapuruṣābuktau saṃskārato yadi /	anena deha-puruza-abuktO saMskArataH yadi /
   niyamaḥ sa kutaḥ paścāt buddheścedastu sammatam // Pramāṇav_2.527 //	niyamaH sa kutas paScAt budDeH-ca-id-aH-tu sammatam // PramANa=-_2.527 //
   na grāhyatānyā jananājjananaṃ grāhyalakṣaṇam /	na grAhyatA-anyA jananAt-jananam grAhya-lakzaNam /
   agrāhyaṃ na hi tejo 'sti na ca saukṣamyādyanaṃśake // Pramāṇav_2.528 //	agrAhyam na hi tejaH asti na ca sOkzamyAdi-anaMSake // PramANa=-_2.528 //
   grāhyatāśaktihāniī syāt nānyasya jananātmanaḥ /	grAhyatA-Sakti-hAniI syAt na-anyasya janana-AtmanaH /
   grāhyātāyā na khalvanyajjananaṃ grāhyalakṣaṇe // Pramāṇav_2.529 //	grAhyAtAyAH na Kalu-anyat-jananam grAhya-lakzaNe // PramANa=-_2.529 //
   sākṣānna hyanyathā buddhe rūpādirūpakārakaḥ /	sAkzAt-na hi-anyaTA budDe rUpa-Adi-rUpa-kArakaH /
   grāhyātālakṣanādanyastabhāvaniyamo 'sya kaḥ // Pramāṇav_2.530 //	grAhyAtA-la-kzanAda-nyasta-BAva-niyamaH asya kaH // PramANa=-_2.530 //
   buddherapi tadastīti sāpi sattve vyavsthitā /	budDeH-api tat-asti-iti sA-api sattve vyavsTitA /
   grāhyupādānasaṃvittī cetaso grāhyalakṣaṇam // Pramāṇav_2.531 //	grAhI-upAdAna-saMvittI cetasaH grAhya-lakzaNam // PramANa=-_2.531 //
   rūpādeścetasaścaivamviśuddhadhiyaṃ prati /	rUpa-AdeH-cetasaH-ca-evam-viSudDa-Diyam prati /
   grāhyalakṣaṇacinteyamacintyā yogināṃ gatiḥ // Pramāṇav_2.532 //	grAhya-lakzaNa-cintA-iyam-acintyA yoginAm gatiH // PramANa=-_2.532 //
   tatra sūkṣmādibhāvena grāhyamagrāhyatāṃ vrajet /	tatra sUkzma-Adi-BAvena grAhyam-agrAhya-tAm vrajet /
   rūpādi buddheḥ kiṃ jātaṃ paścād yat prāṅ na vidyate // Pramāṇav_2.533 //	rUpa-Adi budDeH kim jAtam paScAt yat prAk na vidyate // PramANa=-_2.533 //
   sati svadhīgrahe tasmād yaivānantarahetutā /	sati svaDI-grahe tasmAt yA-eva-anantara-hetu-tA /
   cetaso grāhyatā saiva tato nārthāntare gatiḥ // Pramāṇav_2.534 //	cetasaH grAhyatA sA-eva tatas na-arTa-antare gatiH // PramANa=-_2.534 //
   nānekaśaktyabhāve 'pi bhāvo nānekakāryakṛt /	na-aneka-Sakti-aBAve api BAvaH na-aneka-kArya-kRt /
   prakṛtyaiveti gaditam nānekasmānna ced bhavet // Pramāṇav_2.535 //	prakRtyA-eva-iti gaditam na-anekasmAt-na ced Bavet // PramANa=-_2.535 //
   na kiñcidekasmāt sāmagrayāḥ sarvasambhavaḥ /	na kiQcid-ekasmAt sAmagrayAH sarva-samBavaH /
   ekaṃ syādapi sāmagryorityuktaṃ tadanekakṛt // Pramāṇav_2.536 //	ekam syAt-api sAmagryoH-iti-uktam tad-aneka-kRt // PramANa=-_2.536 //
   artha pūrvañca vijñānaṃ gṛhṇīyad yadi dhīḥ parā /	arTa pUrvaQca vijQAnam gRhNIyat yadi DIH parA /
   abhilāpadvayaṃ nityaṃ syād dṛṣṭakramamakramam // Pramāṇav_2.537 //	aBilApa-dvayam nityam syAt dRzwa-kramam-akramam // PramANa=-_2.537 //
   pūrvāparārthabhāsitvāccintādāvekacetasi /	pUrva-apara-arTa-BAsi-tvAt-cintA-AdO=-eka-cetasi /
   dvirdvirekaṃ ca bhāseta bhāsanādātmataddhiyoḥ // Pramāṇav_2.538 //	dvis-dvirekam ca BAseta BAsanAt-Atma-tad-DiyoH // PramANa=-_2.538 //
   viṣayāntarasañcāre yadyantyaṃ nānubhūyate /	vizaya-antara-saQcAre yadi-antyam na-anuBUyate /
   parānubhūtavat sarvānanubhūtiḥ prasajyate // Pramāṇav_2.539 //	para-anuBUta-vat sarvAn-anuBUtiH prasajyate // PramANa=-_2.539 //
   ātmānubhūta pratyakṣaṃ nānubhūtaṃ parairyadi /	Atma-anuBUta pratyakzam na-anuBUtam parEH-yadi /
   ātmānubhūtiḥ sā siddhā kuto yenaivamucyate // Pramāṇav_2.540 //	AtmA-anuBUtiH sA sidDA kutas yena-evam-ucyate // PramANa=-_2.540 //
   vyaktihetvaprasiddhiḥ syāt na vyaktervyaktamicchataḥ /	vyakti-hetu-aprasidDiH syAt na vyakteH-vyaktam-icCataH /
   vyaktyasiddhavapi vyaktaṃ yadi vyaktamidaṃ jagat // Pramāṇav_2.541 //	vyakti-asidDa-vapi vyaktam yadi vyaktam-idam jagat // PramANa=-_2.541 //
   tṛtīyaḥ svārthānumānaparicchedaḥ	tRtIyaH sva-arTa-anumAna-paricCedaH
   svopajñavṛttisahitaḥ	sva-upajQa-vRtti-sahitaH
   pakṣadharmastadaṃśena vyāpto hetustridhaiva saḥ /	pakza-DarmaH-tad-aMSena vyAptaH hetuH-triDA-eva saH /
   avinābhāvaniyamāddhetvābhāsāstato 'pare // Pramāṇav_3.1 //	avinA-aBOva-niyamAt-hetvABAsAH-tatas apare // PramANa=-_3.1 //
   kārya svabhāvairyāvadbhiravinābhāvi kāraṇe /	kArya svaBAvEH-yAvadBiH-avinABAvi kAraNe /
   hetuḥ svabhāve bhāvo 'pi bhāvamātrānurodhini // Pramāṇav_3.2 //	hetuH svaBAve BAvaH api BAva-mAtra-anuroDini // PramANav_3.2 //
   apravṛttiḥ pramāṇānām apravṛttiphalāsati /	apravRttiH pramANAnAm apravRtti-PalA-asati /
   asajjñānaphalā kācid hetubhedavyapekṣayā // Pramāṇav_3.3 //	asat-jQAna-PalA kAcid hetu-Beda-vyapekzayA // PramANa=-_3.3 //
   viruddhakāryoḥ siddhirasiddhirhetubhāvayoḥ /	virudDa-kAryoH sidDiH-asidDiH-hetu-BAvayoH /
   dṛśyātmanorabhāvārthānupalabdhiścaturvidhā // Pramāṇav_3.4 //	dRSya-AtmanA-uraBAva-arTa-anupalabDiH-caturviDAH // PramANa=-_3.4 //
   tadviruddhinimittasya yopalabdhiḥ prayujyate /	tad-virudDi-nimittasya yA-upalabDiH prayujyate /
   nimittayorviruddhatvābhāve sā vyabhicāriṇī // Pramāṇav_3.5 //	nimittayoH-virudDa-tva-aBAve sA vyaBicAriNI // PramANa=-_3.5 //
   iṣṭaṃ viruddhakārye 'pi deśakālāadyapekṣaṇam /	izwam virudDa-kArye api deSa-kAlAa-dyapekzaNam /
   anyathā vyabhicāri syāt bhasmevāśītasādhane // Pramāṇav_3.6 //	anyaTA vyaBicAri syAt Basma-iva-aSIta-sADane // PramANa=-_3.6 //
   hetunā yaḥ samagreṇa kāyātpādo 'numīyate /	hetunA yaH samagreNa kAyAt-pAdaH anumIyate /
   arthāntarānapekṣatvāt sa svabhāvo 'nuvarnitaḥ // Pramāṇav_3.7 //	arTa-antara-anapekza-tvAt sa svaBAvaH anuvarnitaH // PramANa=-_3.7 //
   sāmagrīphalaśaktīnāṃ pariṇāmānubandhini /	sAmagrI-Pala-SaktInAm pariNAma-anubanDini /
   anaikāntikatā kārye pratibandhasya sambhavāt // Pramāṇav_3.8 //	anEkAntika-tA kArye pratibanDasya samBavAt // PramANa=-_3.8 //
   ekasāmagryadhīnasya rūpāde rasato gatiḥ /	eka-sAmagrI-aDInasya rUpa-Ade rasataH gatiH /
   hetudharmānumānena dhūmendhanavikāravat // Pramāṇav_3.9 //	hetu-Darma-anumAnena DUma-inDana-vikAra-vat // PramANa=-_3.9 //
   śaktipravṛttyā na vinā rasaḥ saivānyakāraṇam /	Sakti-pravRttyA na vinA rasaH sA-eva-anya-kAraNam /
   ityatītaikakālānāṃ gatistastatkāryaliṅgajā // Pramāṇav_3.10 //	iti-atIta-eka-kAlAnAm gatiH-taH-tad-kArya-liFga-jAH // PramANa=-_3.10 //
   hetunā yo 'samagreṇa kāryotpādo 'numīyate /	hetunA yaH asamagreNa kArya-utpAdaH anumIyate /
   taccheṣavadasāmarthyād dehād rāgānumānavat // Pramāṇav_3.11 //	tat-Seza-vat-asAmarTyAt dehAt rAga-anumAna-vat // PramANa=-_3.11 //
   vipakṣe 'dṛṣṭimātreṇa kāryasāmānyadarśanāt /	vipakze adRzwi-mAtreNa kArya-sAmAnya-darSanAt /
   hetujñānaṃ pramāṇābhaṃ vacanād rāgitādivat // Pramāṇav_3.12 //	hetu-jQAnam pramANa-ABam vacanAt rAgita-Adi-vat // PramANa=-_3.12 //
   na cādarśanamātreṇa vipakṣe 'vyabhicāritā /	na ca-adarSana-mAtreNa vipakze avyaBicAritA /
   sambhāvyavyabhicāritvāt sthālītaṇḍulapākavat // Pramāṇav_3.13 //	samBAvya-vyaBicAri-tvAt sTAlI-taNxula-pAka-vat // PramANa=-_3.13 //
   yasyādarśanamātreṇa vyatirekaḥ pradarśyate /	yasya-adarSana-mAtreNa vyatirekaH pradarSyate /
   tasya saṃśayahetutvāccheṣavat tadudāhṛtam // Pramāṇav_3.14 //	tasya saMSaya-hetu-tvAt-Sezavat tat-udAhRtam // PramANa=-_3.14 //
   hetostriṣvapi rūpeṣu niścayastena varṇitaḥ /	hetoH-trizu-api rUpezu niScayaH-tena varNitaH /
   asiddhaviparītārthavyabhicārivipakṣataḥ // Pramāṇav_3.15 //	asidDa-viparIta-arTa-vyaBicAri-vipakzataH // PramANa=-_3.15 //
   vyabhicārivipakṣeṇa vadharmyavacanaṃ ca yat /	vyaBicAri-vipakzeNa vaDarmya-vacanam ca yat /
   yadyadṛṣṭiphalaṃ tacca tadanukte 'pi gamyate // Pramāṇav_3.16 //	yadi-adRzwi-Palam tat-ca tad-anukte api gamyate // PramANa=-_3.16 //
   na ca nāstīti vacanāt tannāstyeva yathā yadi /	na ca na-asti-iti vacanAt tat-na-asti-eva yaTA yadi /
   nāsti sa khyāpyate nyāyastadā nāstīti gamyate // Pramāṇav_3.17 //	na-asti sa KyApyate nyAyaH-tadA na-asti-iti gamyate // PramANa=-_3.17 //
   yadyadṛṣṭau nivṛttiḥ syāccheṣavad vyabhicāri kim /	yadi-adRzwO nivRttiH syAt-Sezavat vyaBicAri kim /
   vyatirekyapi hetuḥ syānna vācyāasiddhiyojanā // Pramāṇav_3.18 //	vyatireki-api hetuH syAt-na vAcyAa-sidDi-yojanA // PramANa=-_3.18 //
   viśeṣasya vyavacchedahetutā syādadarśanāt /	viSezasya vyavacCeda-hetu-tA syAt-adarSanAt /
   pramāṇāntarabādhā cennedānīṃ nāstitādṛśaḥ // Pramāṇav_3.19 //	pramANa-antara-bADA ced-na-idAnIm nAstitAdRSaH // PramANa=-_3.19 //
   tathānyatrāpi sambhāvyaṃ pramāṇāntarabādhanam /	taTA-anyatra-api samBAvyam pramANa-antara-bADanam /
   dṛṣṭāyuktiradṛṣṭeśca syāt sparśasyavirodhinī // Pramāṇav_3.20 //	dRzwa-ayuktiH-adRzweH-ca syAt sparSasya-viroDinI // PramANav_3.20 //
