   śrī kṛṣṇa sandarbha	SrI kRzNa sandarBa
   vidhātur vyatirekiṇī iti | nityatvam api yathā pādme pātāla khaṇḍe   ṛṣir	viDAtuH vyatirekiNI iti | nitya tvam api yaTA pAdme pAtAla KaNxe  RziH 
   māthura nāmātra tapaḥ kurvati śāśvate iti | atra mathurā maṇḍale śāśvate	mATura  nAma atra tapaH kurvati SASvate iti | atra maTurA  maNxale SASvate
   nitye kurvati karoti |	nitye kurvati karoti |
   alaukika rūpatvaṃ yathā ādivārāhe  	alOkika  rUpa tvam yaTA Adi vArAhe  
   bhūr bhuvaḥ svas talenāpi na pātāla tale'malam |	BUH BuvaH svar talena api na pAtAla tale amalam |
   nordhva loke mayā dṛṣṭaṃ tādṛk kṣetraṃ vasundhare || iti |	na UrDva  loke mayA dRzwam tAdRS kzetram vasunDare || iti |
   śrī bhagavan nityāspadatvaṃ yathā  	SrI  Bagavan nitya Aspada tvam yaTA  
   aho'tidhanyā mathurā yatra sannihito hariḥ || iti |	aho ati DanyA maTurA yatra sannihitaH hariH || iti |
   na ca vaktavyam upāsanā sthānam evedam, yato ādivārāhe  	na ca vaktavyam upAsanA  sTAnam eva idam, yatas Adi vArAhe  
   mathurāyāḥ paraṃ kṣetraṃ trailokye na hi vidyate |	maTurAyAH param kzetram trElokye na hi vidyate |
   tasyāṃ vasāmy ahaṃ devi mathurāyāṃ tu sarvadā || iti |	tasyAm vasAmi aham devi maTurAyAm tu sarvadA || iti |
   tatra vāsasyaiva kaṇṭhoktiḥ | atredṛśaṃ śrī varāha deva vākyam aṃśāṃśinor	tatra vAsasyA eva kaNWa uktiH | atra IdRSam SrI varAha  deva  vAkyam aMSAMSinoH 
   aikya vivakṣayaiva na tu tasyaivāsau nivāsaḥ śrī kṛṣṇa kṣetratvenaiva	Ekya  vivakzayA eva na tu tasya eva asO nivAsaH SrI kRzNa kzetra tvena eva
   prasiddheḥ | tathaiva pātāla khaṇḍe aho madhu purī dhanyā yatra tiṣṭhati	prasidDeH | taTA eva pAtAla KaNxe aho maDu  purI DanyAH yatra tizWati
   kaṃsahā iti |	kaMsa hA iti |
   vāyu purāṇe tu svayaṃ sākṣād evety uktam  	vAyu purANe tu svayam sAkzAt eva iti uktam  
   catvāriṃśad yojanānāṃ tatas tu mathurā smṛtā |	catvAriMSat yojanAnAm tatas tu maTurA smRtA |
   yatra devo hariḥ sākṣāt svayaṃ tiṣṭhati kaṃsahā || iti |	yatra devaH hariH sAkzAt svayam tizWati kaMsa hA || iti |
   atra sākṣāc chabdena sūkṣma rūpatā | svayaṃ śabdena śrīmat pratimā 	atra sAkzAc  Sabdena sUkzma   rUpa tA | svayaM Sabdena SrImat  pratimA 
   rūpatā ca niṣiddhā | tata iti pūrvoktāt puṣkarākhya tīrthāt ity arthaḥ |	rUpa tA ca nizidDAH | tatas iti pUrva uktAt puzkara AKya  tIrTAt iti arTaH |
   mathurāyāḥ paraṃ kṣetram ity anena varāha vacanena pūryām eva tiṣṭhatīti	maTurAyAH param kzetram iti anena varAha  vacanena pUryAm eva tizWati iti
   nirastam |	nirastam |
   [page 54]	[page 54]
   atra śrī gopāla tāpanī śrutiś ca    sa hovāca taṃ hi nārāyaṇo devaḥ	atra SrI  gopAla tApanI  SrutiH ca   sa ha uvAca tam hi nArAyaNaH devaH
   sakāmyā	sa kAmyA
   meroḥ śṛṅge yathā sapta pūryo bhavanti tathā niṣkāmyāḥ sakāmyāś ca	meroH SRFge yaTA sapta pUryaH Bavanti taTA nizkAmyAH sa kAmyAH ca
   bhūgola cakre sapta pūryo bhavanti | tāsāṃ madhye sākṣād brahma gopāla 	BU gola  cakre sapta pUryaH Bavanti | tAsAm maDye sAkzAt brahma gopAla 
   purī hīti || sakāmyā niṣkāmyā devānāṃ sarveṣāṃ bhūtānāṃ bhavati yathā	purI hi iti || sa kAmyAH nizkAmyAH devAnAm sarvezAm BUtAnAm Bavati yaTA
   hi vai sarasi padmaṃ tiṣṭhati tathā bhūmyāṃ tiṣṭhatīti cakreṇa rakṣitā hi	hi vE sarasi padmam tizWati taTA BUmyAm tizWati iti cakreNa rakzitA hi
   mathurā tasmāt gopāla purī bhavati | bṛhad bṛhad vanaṃ madhor madhu 	maTurA tasmAt gopAla  purI Bavati | bRhat bRhad vanam maDoH maDu 
   vanam [GTU 2.26 28] ity ādikā |	vanam [GTU 2.26 28] iti AdikAH |
   punaś ca etair āvṛtā purī bhavati tatra teṣv eva gahaneṣv evam ity ādikā |	punar ca etEH AvRtA purI Bavati tatra tezu eva gahanezu evam iti AdikA |
   tathā    dve vane staḥ kṛṣṇa vanaṃ bhadra vanaṃ tayor antar dvādaśa vanāni	taTA   dve vane staH kRzNa  vanam Badra vanam tayoH antar dvAdaSa vanAni
   puṇyāni puṇyatamāni teṣv eva devās tiṣṭhanti siddhāḥ siddhiṃ prāptāḥ |	puNyAni puNyatamAni tezu eva devAH tizWanti sidDAH sidDim prAptAH |
   tatra hi rāmasya rāma mūrtiḥ [GTU 2.31 32] ity ādikā | tad apy ete ślokā	tatra hi rAmasya rAma mUrtiH [GTU 2.31 32] iti AdikA | tat api ete SlokA
   bhavanti |	Bavanti |
   prāpya mathurāṃ purīṃ ramyāṃ sadā brahmādi sevitam |	prApya maTurAm purIm ramyAm sadA brahma Adi sevitam |
   śaṅkha cakra gadā śārṅga rakṣitāṃ muṣalādibhiḥ ||	SaFKa  cakra  gadA  SArFga rakzitAm muzala AdiBiH ||
   yatrāsau saṃsthitaḥ kṛṣṇas tribhiḥ śaktyā samāhitaḥ |	yatra asO saMsTitaH kRzNaH triBiH SaktyA samAhitaH |
   rāmāniruddha pradyumnai rukmiṇyā sahito vibhuḥ || [GTU 2.35 36] iti |	rAma anirudDa  pradyumnEH rukmiNyA sahitaH viBuH || [GTU 2.35 36] iti |
   kiṃ tasya sthānam iti śrī gāndharvyāḥ praśnasyottaram idam | evam eva śrī 	kim tasya sTAnam iti SrI   gAnDarvyAH praSnasya uttaram idam | evam eva SrI 
   raghunāthasyāpy ayodhyāyāṃ śrūyate, yathā skāndāyodhyā māhātmye	raGunATasya api ayoDyAyAm SrUyate, yaTA skAnda ayoDyA mAhAtmye
   svarga dvāram uddiśya  	svarga dvAram uddiSya  
   caturdhā ca tanuṃ kṛtvā devadevo hariḥ svayam |	caturDA ca tanum kRtvA devadevaH hariH svayam |
   atraiva ramate nityaṃ bhrātṛbhiḥ saha rāghavaḥ || iti |	atra eva ramate nityam BrAtRBiH saha rAGavaH || iti |
   ataeva, yatra yatra hareḥ sthānaṃ vaikuṇṭhaṃ tad vidur budhā ity anusāreṇa	ataeva, yatra yatra hareH sTAnam vEkuNWam tat viduH buDAH iti anusAreNa
   mahā bhagavataḥ sthānatvāt mahā vaikuṇṭha evāsau | yato vaikuṇṭhāt tasya	mahA  BagavataH sTAna tvAt mahA  vEkuNWaH eva asO | yatas vEkuNWAt tasya
   garīyastvaṃ śrūyate | yathā pātāla khaṇḍe  	garIyaH tvam SrUyate | yaTA pAtAla KaNxe  
   evaṃ sapta purīṇāṃ tu sarvotkṛṣṭaṃ ca māthuram |	evam sapta  purINAm tu sarva utkRzwam ca mATuram |
   śrūyatāṃ mahimā devi vaikuṇṭho bhuvanottamaḥ || iti |	SrUyatAm mahimA devi vEkuNWaH Buvana uttamaH || iti |
   ataeva tatraiva  	ataeva tatra eva  
   aho madhupurī dhanyā vaikuṇṭhāc ca garīyasī | iti |	aho maDupurI DanyA vEkuNWAt ca garIyasI | iti |
   [B reads here] ādi vārāhe  	[B readH here] Adi vArAhe  
   mathurāyāṃ ye vasanti viṣṇu rūpā hi te khalu |	maTurAyAm ye vasanti vizNu  rUpAH hi te Kalu |
   ajñānās tān na paśyanti paśyanti jñāna cakṣuṣā || iti | [end Vṛ.]	ajQAnAH tAn na paSyanti paSyanti jQAna cakzuzA || iti | [end VR.]
   atha śrī vṛndāvanasya prapañcātītatvādikaṃ mathurā maṇḍalasyaiva tattvena	aTa SrI  vRndAvanasya prapaQca atIta tva Adikam maTurA  maNxalasya eva tattvena
   siddham | yathā ca śrī govinda vṛndāvanākhya bṛhad gautamīye tantre	sidDam | yaTA ca SrI   govinda  vRndAvana AKya  bRhad gOtamIye tantre
   nārada praśnasyottaraṃ śrī kṛṣṇasyottaram | tatra praśnaḥ  	nArada  praSnasya uttaram SrI  kRzNasya uttaram | tatra praSnaH  
   kim idaṃ dvādaśābhikhyaṃ vṛndāraṇyaṃ viśāmpate |	kim idam dvAdaSa aBiKyam vRndAraNyam viSAmpate |
   śrotum icchāmi bhagavan yadi yogo'smi me vada ||	Srotum icCAmi Bagavan yadi yogaH asmi me vada ||
   athottaram   	aTa uttaram   
   idaṃ vṛndāvanaṃ ramyaṃ mama dhāmaiva kevalam |	idam vRndAvanam ramyam mama DAma eva kevalam |
   atra ye paśavaḥ pakṣi vṛkṣā kīṭā narāmarāḥ |	atra ye paSavaH pakzi vRkzA kIwAH nara amarAH |
   ye vasanti mamādhiṣṇye mṛtā yānti mamālayam ||	ye vasanti mama ADizNye mRtAH yAnti mama Alayam ||
   atra yā gopa kanyāś ca nivasanti mamālaye |	atra yAH gopa kanyAH ca nivasanti mama Alaye |
   yoginyas tā mayā nityaṃ mama sevā parāyaṇāḥ ||	yoginyaH tAH mayA nityam mama sevA  parAyaNAH ||
   pañca yojanam evāsti vanaṃ me deha rūpakam |	paQca  yojanam eva asti vanam me deha rUpakam |
   kālindīyaṃ suṣumnākhyā paramāmṛta vāhinī ||	kAlindIyam suzumnA AKyA parama amRta  vAhinI ||
   atra devāś ca bhūtāni vartante sūkṣma rūpataḥ |	atra devAH ca BUtAni vartante sUkzma  rUpataH |
   sarva deva mayaś cāhaṃ na tyajāmi vanaṃ kvacit ||	sarva  deva mayaH ca aham na tyajAmi vanam kvacid ||
   āvirbhāvas tirobhāvo bhaven me 'tra yuge yuge |	AvirBAvaH tiroBAvaH Bavet me atra yuge yuge |
   tejo mayam idaṃ ramyam adṛśyaṃ carma cakṣuṣā || iti	tejaH  mayam idam ramyam adRSyam carma cakzuzA || iti
   viśeṣatas tādṛg alaukika rūpatva bhagavan nitya dhāmatve tu divya 	viSezataH tAdRS  alOkika   rUpa tva  Bagavan nitya  DAma tve tu divya 
   kadambāśokādi vṛkṣādayo'py adyāpi mahā bhāgavataiḥ sākṣāt kriyante iti	kadamba aSoka Adi  vRkza AdayaH api adya api mahA  BAgavatEH sAkzAt kriyante iti
   prasiddhāvagateḥ | yathā vārāhe kālīya hrada māhātmye  	prasidDa avagateH | yaTA vArAhe kAlIya  hrada mAhAtmye  
   atrāpi mahad āścaryaṃ paśyanti paṇḍitā narāḥ |	atra api mahat AScaryam paSyanti paNxitAH narAH |
   kālīya hrada pūrveṇa kadambo mahito drumaḥ |	kAlIya hrada  pUrveNa kadambaH mahitaH drumaH |
   śata śākhaṃ viśālākṣi puṇyaṃ surabhi gandhi ca |	Sata SAKam viSAla akzi puNyam suraBi ganDi ca |
   sa ca dvādaśa māsāni manojñaḥ śubha śītalaḥ |	sa ca dvAdaSa  mAsAni manojQaH SuBa SItalaH |
   puṣpāyati viśālākṣi prabhāsanto diśo daśa || iti |	puzpAyati viSAla akzi praBAsantaH diSaH daSa || iti |
   śatānāṃ śākhānāṃ samāhāraḥ śata śākhaṃ tad yatra pravartat ity arthaḥ |	SatAnAm SAKAnAm samAhAraH Sata SAKam tat yatra pravartat iti arTaH |
   prabhāsantaḥ prabhāsayann ity arthaḥ | tatraiva tadīya brahma kuṇḍa 	praBAsantaH praBAsayan iti arTaH | tatra eva tadIya brahma kuNxa 
   māhātmye	mAhAtmye
   tatrāścaryaṃ pravakṣyāmi tac chṛṇu tvaṃ vasundhare |	tatra AScaryam pravakzyAmi tat SRNu tvam vasunDare |
   labhante manujāḥ siddhiṃ mama karma parāyaṇāḥ ||	laBante manujAH sidDim mama karma  parAyaNAH ||
   tasya tatrottare pārśve'śoka vṛkṣaḥ sita prabhaḥ |	tasya tatra uttare pArSve aSoka vRkzaH sita praBaH |
   vaiśākhasya tu māsasya śukla pakṣasya dvādaśī ||	vESAKasya tu mAsasya Sukla pakzasya dvAdaSI ||
   sa puṣpati ca madhyāṅge mama bhakta sukhāvahaḥ |	sa puzpati ca maDya aFge mama Bakta  suKa AvahaH |
   na kaścid api jānāti vinā bhāgavataṃ śucim || ity ādi |	na kaScid api jAnAti vinA BAgavatam Sucim || iti Adi |
   dvādaśīti dvādaśyām ity arthaḥ | supāṃ sulug ity ādinaiva pūrva savarṇaḥ |	dvAdaSI iti dvAdaSyAm iti arTaH | supAm su luc iti AdinA eva pUrva  savarNaH |
   śucitvam atra tad ananya vṛttitvam | anena pṛthivyāpi tasya tasya	Suci tvam atra tat  ananya vRtti tvam | anena pRTivyA api tasya tasya
   tādṛśa rūpaṃ	tAdRSa  rUpam
   na jñāyate ity āyātam | ataeva tadīya tīrthāntaram uddiśya yathā	na jQAyate iti AyAtam | ataeva tadIya tIrTa antaram uddiSya yaTA
   cādivārāhe	ca AdivArAhe
   kṛṣṇa krīḍā setu bandhaṃ mahā pātaka nāśanam |	kRzNa  krIxA  setu banDam mahA pAtaka nASanam |
   valabhīṃ tatra krīḍārthaṃ kṛtvā devo gadādharaḥ ||	valaBIm tatra krIxA arTam kRtvA devaH gadADaraH ||
   gopakaiḥ sahitas tatra kṣaṇam ekaṃ dine dine |	gopakEH sahitaH tatra kzaNam ekam dine dine |
   tatraive ramaṇārthaṃ hi nitya kālaṃ sa gacchati || iti |	tatra eve ramaNa arTam hi nitya kAlam sa gacCati || iti |
   evaṃ skānde  	evam skAnde  
   tato vṛndāvanaṃ puṇyaṃ vṛndā devī samāśritam |	tatas vRndAvanam puNyam vRndA devI  samASritam |
   hariṇādhiṣṭhitaṃ tac ca brahma rudrādi sevitam || iti |	hariNa aDizWitam tat ca brahma rudra Adi  sevitam || iti |
   śrutiś ca darśitā  	SrutiH ca darSitAH  
   govindaṃ sac cid ānanda vigrahaṃ vṛndāvana sura bhūruha talāsīnaṃ satataṃ	govindam sac cit  a Ananda vigraham vRndAvana  sura  BUruha  tala AsInam satatam
   sa marud gaṇo'haṃ paritoṣayāmi | [GTU 1.37] iti |	sa marut   gaNaH aham paritozayAmi | [GTU 1.37] iti |
   evaṃ pātāla khaṇḍe yamunā jala kallole sadā krīḍati mādhavaḥ | iti |	evam pAtAla KaNxe yamunA  jala  kallole sadA krIxati mADavaH | iti |
   yamunāyā jala kallolā yatra evaṃbhūte vṛndāvane iti prakaraṇāl labdham |	yamunAyAH jala  kat lolA yatra evaMBUte vRndAvane iti prakaraNAt labDam |
   tatrājahal lakṣaṇayā tīra hradāv eva gṛhyete | tīraṃ ca vṛndāvana lakṣaṇaṃ	tatra ajahal  lakzaNayA tIra hradO eva gRhyete | tIram ca vRndAvana  lakzaNam
   tatra prastutam | ataevāsya śrī vṛndāvanasya vaikuṇṭhatvam eva kaṇṭhoktyā	tatra prastutam | ataA iva asya SrI  vRndAvanasya vEkuNWa tvam eva kaNWa uktyA
   kṛṣṇa tāpanyāṃ śrutau darśitaṃ gokulaṃ vana vaikuṇṭham [Kṛṣṇopaniṣat 7]	kRzNa tApanyAm SrutO darSitam gokulam vana  vEkuNWam [KRzNA upanizad 7]
   iti | tasmān nitya dhāmatva śravaṇāt śrī mathurādīnāṃ tat svarūpa 	iti | tasmAt nitya  DAma tva  SravaNAt SrI  maTurA AdInAm tat  svarUpa 
   vibhūtitvam eva sa bhagavaḥ kasmin pratiṣṭhita iti sve mahimni [ChāU	viBUti tvam eva sa BagavaH kasmin pratizWitaH iti sve mahimni [ShAU
   iti śruteḥ |	iti SruteH |
   ataeva tāpanī śrutiḥ   sākṣād brahma gopāla purī hi [GTU 2.26] iti |	ataA iva tApanI  SrutiH  sAkzAt brahma gopAla  purI hi [GTU 2.26] iti |
   bṛhad 	bRhad 
   gautamīya tantre ca   tejomayam idaṃ ramyam adṛśyaṃ carma cakṣuṣā iti |	gOtamIya tantre ca  tejaH mayam idam ramyam adRSyam carma cakzuzA iti |
   tad īdṛśa rūpatā kāśīm uddiśya brahma vaivarte tv itthaṃ samādhīyate |	tat  IdRSa  rUpa tA kASIm uddiSya brahma  vEvarte tu itTam samADIyate |
   yathā śrī viṣṇuṃ prati munīnāṃ praśnaḥ   	yaTA SrI  vizNum prati munInAm praSnaH   
   chatrākāraṃ tu kiṃ jyotir jalād ūrdhvaṃ prakāśate |	Catra AkAram tu kim jyotiH jalAt UrDvam prakASate |
   nimagnāyāṃ dharāyāṃ tu na vai majjati tat katham ||	nimagnAyAm DarAyAm tu na vE majjati tat kaTam ||
   kim etac chāśvataṃ brahma vedānta śata rūpitam |	kim etat SASvatam brahma vedAnta  Sata rUpitam |
   tāpa trayārti dagdhānāṃ jīvanaṃ chatratāṃ gatam ||	tApa traya Arti dagDAnAm jIvanam Catra tAm gatam ||
   darśanād eva cāsyātha kṛtārthāḥ smo jagad guro |	darSanAt eva ca asya aTa kRtArTAH smaH jagat  guro |
   vāraṃ vāraṃ tavāpy atra dṛṣṭir lagnā janārdana ||	vAram vAram tava api atra dRzwiH lagnAH janArdanaH ||
   paramāścarya rūpo'pi sāścarya iva paśyasi ||	parama AScarya  rUpaH api sa AScaryaH iva paSyasi ||
   atha śrī viṣṇūttaram  	aTa SrI  vizNu uttaram  
   chatrākāraṃ paraṃ jyotir dṛśyate gaganecaram |	Catra AkAram param jyotiH dRSyate gaganecaram |
   tat paraṃ paramaṃ jyotiḥ kāśīti prathitaṃ kṣitau ||	tat  param paramam jyotiH kASI iti praTitam kzitO ||
   ratnaṃ suvarṇe khacitaṃ yathā bhavet	ratnam suvarNe Kacitam yaTA Bavet 
   tathā pṛthivyāṃ khacitā hi kāśikā |	taTA pRTivyAm KacitA hi kASikAH |
   na kāśikā bhūmi mayī kadācit	na kASikA BUmi  mayI kadAcid 
   tato na majjen mama sadgatir yataḥ ||	tatas na majjet mama sat gatiH yatas ||
   jaḍeṣu sarveṣv api majjamāneṣv	jaxezu sarvezu api majjamAnezu 
   iyaṃ cid ānanda mayī na majjet || ity ādi |	iyam cit  A Ananda mayI na majjet || iti Adi |
   [page 56]	[page 56]
   tathāgre ca  	taTA agre ca  
   cetanā jaḍayor aikyaṃ yadvan naikasthayor api |	cetanA   jaxayoH Ekyam yadvat na ekasTayoH api |
   tathā kāśī brahma rūpā jaḍā pṛthvī ca saṅgatā ||	taTA kASI brahma rUpA jaxA pRTvI ca saFgatA ||
   nirmāṇaṃ tu jaḍasyātra kriyate na parātmanaḥ |	nirmANam tu jaxasya atra kriyate na para AtmanaH |
   uddhariṣyāmi ca mahīṃ vārāhaṃ rūpam āsthitaḥ ||	udDarizyAmi ca mahIm vArAham rUpam AsTitaH ||
   tadā punaḥ pṛthivyāṃ hi kāśī sthāsyāmi mat priyā || iti |	tadA punar pRTivyAm hi kASI sTAsyAmi mat  priyA || iti |
   cetanā śabdenātrāntaryāmī upalakṣyate | jaḍa śabdena tu dehaḥ	cetanA  Sabdena atra antaryAmI upalakzyate | jaxa  Sabdena tu dehaH
   paramātmana ity uktatvāt | tataś ca kecit svadehāntar hṛdayāvakāśe	paramAtmanaH iti ukta tvAt | tatas ca kecid sva deha antar  hRdaya avakASe
   prādeśa 	prAdeSa 
   mātraṃ puruṣaṃ vasantam [BhP 2.2.8] ity ādinā caturbhujatvena	mAtram puruzam vasantam [Bhj 2.2.8] iti AdinA catur Buja tvena
   varṇito'ntaryāmī dehe sthito'pi yathā deha vedanādinā na spṛśyate tadvad	varNitaH antaryAmI dehe sTitaH api yaTA deha  vedana AdinA na spRSyate tadvat 
   iti	iti
   jñeyam |	jQeyam |
   tad evaṃ tad dhāmnām upary adhaḥ prakāśa mātratvenobhaya vidhatvaṃ	tat evam tat  DAmnAm upari  aDas prakASa  mAtra tvena uBaya viDa tvam
   prasaktam | vastutas tu śrī bhagavan nityādhiṣṭhānatvena tac chrī 	prasaktam | vastutas tu SrI  Bagavan nitya aDizWAna tvena tac SrI 
   vigrahavad ubhayatra prakāśāvirodhāt samāna guṇa nāma 	vigraha vat uBayatra prakASa aviroDAt samAna  guNa  nAma 
   rūpatvenāmnātatvāl lāghavāc caika vidhatvam eva mantavyam | ekasyaiva	rUpa tvena AmnAtatvAt lAGavAt ca eka viDa tvam eva mantavyam | ekasya eva
   śrī vigrahasya bahutra prakāśaś ca dvitīya sandarbhe darśitaḥ |	SrI  vigrahasya bahutra prakASaH ca dvitIya sandarBe darSitaH |
   citraṃ bataitad ekena vapuṣā yugapat pṛthak	citram bata etat ekena vapuzA yugapad pRTak 
   gṛheṣu dvy aṣṭa sāhasraṃ striya eka udāvahat || [BhP 10.69.1] ity ādinā |	gRhezu dvi  azwa  sAhasram striyaH ekaH udAvahat || [Bhj 10.69.1] iti AdinA |
   evaṃvidhatvaṃ ca tasyācintya śakti svīkāreṇa sambhāvitam eva | svīkṛtaṃ	evaMviDa tvam ca tasya acintya  Sakti  svIkAreNa samBAvitam eva | svIkRtam
   cācintya śaktitvam śrutes tu śabda mūlatvāt [Vs 2.1.27] ity ādau | tad	ca acintya  Sakti tvam SruteH tu Sabda  mUla tvAt [VH 2.1.27] iti AdO | tat 
   evam	evam
   ubhayābhedābhiprāyeṇaiva śrī hari vaṃśe'pi golokam uddiśya sa hi sarva 	uBaya aBeda aBiprAyeNa eva SrI hari vaMSe api golokam uddiSya sa hi sarva 
   gato mahān [HV 2.19.30] ity uktam | bhede tu brahma saṃhitāyām api goloka	gataH mahAn [HV 2.19.30] iti uktam | Bede tu brahma saMhitAyAm api go loke 
   eva nivasaty akhilātma bhūtaḥ [BrahmaS 5.48] ity eva kāro'tra	eva nivasati aKilAtma  BUtaH [BrahmaH 5.48] iti eva kAraH atra
   svakīya nitya 	svakIya  nitya 
   vihāra pratipādaka vārāhādi vacanair virudhyeta | avirodhas tūbhayeṣām	vihAra  pratipAda ka vArAha Adi  vacanEH viruDyeta | aviroDaH tu uBayezAm
   aikyenaiva bhavatīti taṃ nyāya siddham evārthaṃ brahma saṃhitā tu gṛhṇāti	Ekyena eva Bavati iti tam nyAya  sidDam eva arTam brahma saMhitA tu gRhNAti
   ataeva śrī hari vaṃśe'pi śakreṇa  	ataeva SrI  hari vaMSe api SakreNa  
   sa tu lokas tvayā kṛṣṇa sīdamānaḥ kṛtātmanā |	sa tu lokaH tvayA kRzNa sIdamAnaH kRtAtmanA |
   dhṛto dhṛtimatā vīra nighnatopadravān gavām || [HV 2.19.35] iti |	DRtaH DRtimatA vIra niGnata upadravAn gavAm || [HV 2.19.35] iti |
   goloka gokulayor abhedenaivoktam | tasmād abhedena ca bhedena	goloka  gokulayoH aBedena eva uktam | tasmAt aBedena ca Bedena
   copakrāntatvād eka vidhāny eva śrī mathurādīni prakāśa bhedenaiva	ca upakrAnta tvAt eka viDAni eva SrI  maTurA AdIni prakASa  Bedena eva
   tūbhaya vidhatvenāmnātānīti sthitam | darśayiṣyate cāgre | kṣauṇi 	tu uBaya viDa tvena AmnAtAni iti sTitam | darSayizyate ca agre | kzONi 
   prakāśamāna eva śrī vṛndāvane śrī goloka darśanam |	prakASamAnaH eva SrI  vRndAvane SrI  goloka darSanam |
   tato'syaivāparicchinnasya golokākhya vṛndāvanīya prakāśa viśeṣasya	tatas asya eva aparicCinnasya go loka AKya vRndAvanIya  prakASa  viSezasya
   vaikuṇṭhopary api sthitir māhātmyāvalambanena bhajatāṃ sphuratīti	vEkuNWa upari api sTitiH mAhAtmya avalambanena BajatAm sPurati iti
   jñeyam | ayam eva mathurā dvārakā gokula prakāśa viśeṣātmakaḥ śrī 	jQeyam | ayam eva maTurA  dvAra kA  go kula  prakASa  viSeza AtmakaH SrI 
   kṛṣṇa lokas tad virahiṇā śrīmad uddhavenāpi samādhāv anubhūta ity āha  	kRzNa  lokaH tad  virahiNA SrImat  udDavena api samADO anuBUtaH iti Aha  
   śanakair bhagaval lokān nṛ lokaṃ punar āgataḥ |	SanakEs Bagaval  lokAn nR lokam punar AgataH |
   vimṛjya netre viduraṃ prītyāhoddhava utsmayan || [BhP 3.2.6]	vimRjya netre viduram prItyA aha udDavaH utsmayan || [Bhj 3.2.6]
   spaṣṭam || 3.2 || śrī śukaḥ || 106 ||	spazwam || 3.2 || SrI  SukaH || 106 ||
   imam eva lokaṃ dyu śabdenāpy āha  	imam eva lokam dyu  Sabdena api Aha  
   viṣṇor bhagavato bhānuḥ kṛṣṇākhyo 'sau divaṃ gataḥ |	vizNoH BagavataH BAnuH kRzNa AKyaH asO divam gataH |
   tadāviśat kalir lokaṃ pāpe yad ramate janaḥ ||	tat AviSat kaliH lokam pApe yat ramate janaH ||
