   namas+buddhāya	namas+budDAya
   hāraprakāṇḍasaralās+katham+anyathā+amī	hAra prakANxa saralAs+ kaTam +anyaTA +amI
   śvāsās+pravartitadukūladaśās+saranti // VidSrk_23.53 *(804) //	SvAsa as+ pravartita dukUla daSAs+saranti // Vit Srj _23.53 *(804) //
   akṛtapremā+eva varam+na punas+saṃjātavighaṭitapremā /	akRta premA+A iva varam+na punar + saMjAta viGawita premA /
   uddhṛtanayanas+tāmyati yathā hi na tathā+iha jātāndhas+ // VidSrk_23.54	udDRta nayana s+tAmyati yaTA hi na taTA a+iha jAta anDas+ // Vit Srj _23.54
   svapna prasīda bhagavan+punar+ekavāram+saṃdarśaya	svapna prasIda Bagavan+punar +eka vAram+saMdarSaya
   priyatamām+kṣaṇamātram+eva /	priyatamAm+kzaNa mAtram +eva /
   dṛṣṭā satī nibiḍabāhunibandhalagnam+tatra+eva mām+nayati sā yadi vā na	dRzwA satI nibixa bAhu nibanDa lagnam +tatra +eva mAm +nayati sA yadi vA na
   yāti // VidSrk_23.55 *(806) //	yAti // Vit Srj _23.55 *(806) //
   \Colo iti virahivrajyā	\ColaH iti virahi vrajyA
   tatas+asatīvrajyā	tatas+asatIvrajyA
   dṛṣṭim+he prativeśini kṣaṇam+iha+api+asmadgṛhe dāsyasi	dRzwim+he prativeSini kzaNam +iha+api+asmad gRhe dAsyasi
   prāyas+na+eva śiśos+pitā+adya virasās+kaupīs+apas+pāsyati /	prAyas+na+A iva SiSaH s+pitA a+adya virasa as+kOpIs+apas+pAsyati /
   ekākinī+api yāmi tat+varam+itas+śrotas+tamālākulam+	ekAkinI+ api yAmi tat+varam+ita s+Srota s+ta mAla Akulam+
   nīrandhrās+stanam+ālikhantu jaṭharacchedās+nalagranthayas+ // VidSrk_24.1	nIranDra as+stanam +AliKantu jaWara= CedAs+ nala granTayas+ // Vit Srj _24.1
   vidyāyās+	vidyAyAs+
   teṣām+gopavadhūvilāsasuhṛdām+rādhārahaḥsākṣiṇām+	tezAm +go pa vaDU vilAsa suhRdAm +rADAra haH sAkziNAm+
   kṣemam+bhadra kalindarājatanayātīre latāveśmanām /	kzemam +Badra kalinda rAja tanayA tIre latA veSmanAm /
   vicchinne smaratalpakalpanavidhicchedopayoge+adhunā	vicCinne smara talpa kalpana viDi= Ceda upayoge+aDunA
   te jāne jaraṭhībhavanti vigalannīlatviṣas+pallavās+ // VidSrk_24.2 *(808)	te jAne jaraWIBavanti vigalat nIla tviza s+pallavAs+ // Vit Srj _24.2 *(808)
   vidyāyās+	vidyAyAs+
   sikatilatalās+sāndracchāyās+taṭāntavilambinas+	sikatila talAs+sAndra= CAyAs+ tawa anta vilambinas+
   śiśiramarutām+līlāvāsās+kvaṇajjalaraṅkavas+ /	SiSira marutAm+lIlA vAsA s+kvaNat jala raFka vas+ /
   avinyavatīnirvicchedasmaravyayadāyinas+	avinyavatI nirvicCeda smara vyaya dAyinas+
   kathaya murale kena+amī te kṛtās+niculadrumās+ // VidSrk_24.3 *(809) //	kaTaya murale kena+amI te kRta as+ nicula dru mAs+ // Vit Srj _24.3 *(809) //
   pāntha svairagatim+vihāya jhaṭiti prasthānam+ārabhyatām+	pAnTa svEra gatim +vihAya Jawiti prasTAnam +AraBya tAm+
   atyantam+karisūkarāhigavayais+bhīmam+puras+kānanam /	atyanta m+kari sUkarAhi gavaya es+BImam +puras+kAnanam /
   caṇḍāṃśos+api raśmayas+pratidiśam+mlānās+tvam+ekas+yuvā	caNxa aMSos+api raSmayas+pratidiSam +mlAnAs+ tvam +eka s+yuvA
   sthānam+na+asti gṛhe mama+api bhavatas+bālā+aham+ekākinī // VidSrk_24.4	sTAnam+na+asti gRhe mama+api Bavata s+bAla a+aham +ekAkinI // Vit Srj _24.4
   viṭapini śiśiracchāye kṣaṇam+iha viśramya gamyatām+pathikās+ /	viwapini SiSira= CAye kzaNam +iha viSramya gamyatAm +paTikAs+ /
   ataruvāris+atas+param+asamaśilādurgamas+mārgas+ // VidSrk_24.5 *(811) //	ataru vAri s+a tas+param+a sama SilA durgama s+mArgas+ // Vit Srj _24.5 *(811) //
   ambā śete+atra vṛddhā pariṇatavayasām+agraṇīs+atra tātas+	ambA Sete+atra vRdDA pariNata vaya sAm+agraNI s+atra tAtas+
   niḥśeṣāgārakarmaśramaśi"thilatanus+kumbhadāsī tathā+iha /	niHSeza AgAra karma Srama Si"Tila tanu s+kumBa dAsI taTA+iha /
   asmin+pāpā+aham+ekā katipayadivasproṣitaprāṇanāthā	asmin +pApA+aham +ekA katipaya divas prozita prANa nATA
   pānthāya+ittham+yuvatyā kathitam+abhimatam+vyāhṛtivyājapūrvam //	pAnTa aya+ itTam +yuvatyA kaTitam +aBimatam +vyAhRti vyAja pUrvam //
   VidSrk_24.6 *(812) //	Vit Srj _24.6 *(812) //
   smaravivaśayā kiṃcit+mithyāniṣedhamanojñayā	smara vivaSayA kiMcit+ miTyA nizeDa manojQayA
   diśi diśi bhayāt+bhūyas+bhūyas+pravartitanetrayā /	diSi diSi BayAt+BUyas+BUyas+ pravartita netrayA /
   kuvalayadṛśā śūnye daivāt+atarkitalabdhayā	kuvalaya dRSA SUnye dEvAt +a tarkita labDayA
   nibhṛtanibhṛtam+ye cumbyante te+eva vidus+sukham // VidSrk_24.7 *(813) //	niBRta niBRta m+ye cumbyante te+A iva vidus+ suKam // Vit Srj _24.7 *(813) //
   vyapetavyāhāram+gatavividhaśilpavyatikaram+	vyapeta vyAhAram+gata viviDa Silpa vyatikaram+
   karasparśārambhapragalitadukūlāntaśayanam /	kara sparSa AramBa pragalita dukUla anta Sayanam /
   muhus+baddhotkampam+diśi diśi muhus+preṣitadṛśos+	muhur +badDa utkampam +diSi diSi muhur +prezita dRSos+
   ahalyāsutrāmṇos+kṣaṇikam+iva tat+saṃgatam+abhūt // VidSrk_24.8 *(814) //	ahalyA su trAmNaH s+kzaNikam +iva tat+saMgatam +aBUt // Vit Srj _24.8 *(814) //
   yogeśvarasya	yogeSvarasya
   yas+kaumāraharas+sas+eva ca varas+tās+candragarbhās+niśās+	yas+kOmAraharas+sas+A iva ca vara s+tA s+ candra garBAs+ niSAs+
   pronmīlannavamālatīsurabhayas+te ca vindhyānilās+ /	pronmIlan= avamAlatI sura Baya s+te ca vinDya anilAs+ /
   sā ca+eva+asmin tathā+api dhairyasuratavyāpāralīlābhṛtām+	sA ca+eva+ asmin taTA a+api DErya surata vyApAra lIlA BRtAm+
   kim+me rodhasi vetasīvanabhuvām+cetas+samutkaṇṭhate // VidSrk_24.9 *(815)	kim +me roDasi vetasI vana BuvAm+ cetas+ samutkaNWate // Vit Srj _24.9 *(815)
   kva prasthitā+asi karabhoru ghane niśīthe prāṇādhikas+vasati yatra	kva prasTita A+asi karaBa Uru Gane niSITe prANa aDika s+vasati yatra
   janas+priyas+me /	janas+ priya s+me /
   ekākinī vada katham+na bibheṣi bāle nanu+asti	ekAkinI vada kaTam +na biBezi bAle nanu+asti
   puṅkhitaśaras+madanas+sahāyas+ // VidSrk_24.10 *(816) //	puFKita Sara s+madanas+ sahAyas+ // Vit Srj _24.10 *(816) //
   udeti yasyām+na niśākaras+ripus+tithis+nu kā puṇyavatībhis+āpyate /	udeti yasya am+na niSAkara s+ripu H +tiTi s+nu kA puNyavatIBis+Apyate /
   iti+iva duṣṭyā paridevite muhus+kuhūkuhūs+iti+alam+āha kokilas+ //	iti+iva duzwyA paridevite muhur +kuhU kuhU s+iti +alam +Aha kokilas+ //
   VidSrk_24.11 *(817) //	Vit Srj _24.11 *(817) //
   mātar+gehini yadi+ayam+hataśukas+saṃvardhanīyas+mayā	mAtar+gehini yadi+aya m+hata Sukas+ saMvarDanIya s+mayA
   lauham+pañjaram+asya durnayavatas+gāḍham+tadā kāraya /	lOham +paQjaram+asya durnayavata s+gAXam +tadA kAraya /
   adya+enam+badarīnikuñjakuhare līnam+pracaṇḍorage	adya+enam+badarI nikuQja kuhare lInam +pracaNxa urage
   karṣantyā mama tāvat+aṅgalikhanais+eva+apadeṣā+āgatā // VidSrk_24.12	karzantyA mama tAvat+aFga liKa nEs+eva+apadezA+AgatAH // Vit Srj _24.12
   dhvastam+kena vilepanam+kucayuge kena+añjanam+netrayos+	Dvastam+kena vilepanam +kuca yuge kena +aQjana m+netrayos+
   rāgas+kena tava+adhare pramathitas+keśeṣu kena srajas+ /	rAga s+kena tava+aDare pramaTita s+keSezu kena srajas+ /
   tena+aśeṣajanaughakalmaṣamuṣā nīlābjabhāsā sakhi	tena +aSeza jana oGa kalmaza muzA nIla abja BAsA saKi
   kim+kṛṣṇena na yāmunena payasā kṛṣṇānurāgas+tava // VidSrk_24.13 *(819) //	kim +kRzNena na yAmunena payasA kRzNa anurAga s+tavaH // Vit Srj _24.13 *(819) //
   ākṛṣya+ādau+amandagraham+alakacayam+vaktram+āsajya vaktre	AkRzya+AdO+a manda graham+alaka cayam +vaktram +Asajya vaktre
   kaṇṭhe lagnas+sukaṇṭhas+punar+api kucayos+dattagāḍhāṅgasaṅgas+ /	kaNWe lagna s+su kaNWa s+ punar +api kucayos+datta gAXa aFga saFgas+ /
   baddhāsaktis+nitambe patati caraṇayos+yas+sa tādṛk+priyas+me	badDa Asakti s+nitambe patati caraNayos+yas+sa tAdRk+priya s+me
   bāle lajjā praṇaṣṭā na hi na hi kuṭile colakas+kim+trapākṛt //	bAle lajjA praNazwA na hi na hi kuwile ca ulaka s+ki m+tra pAkRt //
   VidSrk_24.14 *(820) //	Vit Srj _24.14 *(820) //
   āmodinā samadhunā paridhūsareṇa savyākulabhramavatā patatā purastāt /	AmodinA samaDunA pariDUsareNa sa vya Akula BramavatA patatA purastAt /
   āyāsitā+asmi sakhi tena divāvasāne mattena kim+praṇayinā na hi kesareṇa //	AyAsitA+ asmi saKi tena divA avasAne mattena kim +praNayinA na hi kesareNa //
   VidSrk_24.15 *(821) //	Vit Srj _24.15 *(821) //
   pānthe padmasaras+antaśādvalabhuvi nyasya+añcalam+śāyini	pAnTe padma saras+anta SAdvala Buvi nyasya +aQcalam +SAyini
   tvam+śrāntā+asi+avaham+ca vartma vasatigrāmas+na velā+api+agāt /	tvam +SrAnta A+asi +avaham+ca vartma vasatigrAma s+na velA+ api +agAt /
   uttānadviguṇāsamañjasamilajjānūdarāstāṃśukastokonmīladasañjitoru	uttAna dviguNA samaQja samilajjA nu udarAH tAMSuka stoka unmIlat a saQjita Uru
   vayam+api+ekākinas+kim+nu+idam // VidSrk_24.16 *(822) //	vayam +api +ekAkinas+kim+nu+idam // Vit Srj _24.16 *(822) //
   vallaṇasya	vallaNasya
   indus+yatra na nindyate na madhuram+dūtīvacas+śrūyate	indus+yatra na nindyate na maDura m+dUtI vacas+SrUyate
   na+ālāpās+nipatanti bāṣpakaluṣās+na+upaiti kārśyam+tanus+ /	na+AlApAs+nipatanti bAzpa kaluza As+na +upEti kArSyam +tanus+ /
   svādhīnām+anukūlinīm+svagṛhiṇīm+āliṅgya yat+supyate	svADInAm +anukUlinIm +sva gRhiNIm +AliFgya yat+supyate
   tat+kim+prema gṛhāśramavratam+idam+kaṣṭam+samācaryate // VidSrk_24.17	tat+kim+prema gRha ASrama vratam +idam +kazwam +samAcaryate // Vit Srj _24.17
   lakṣmīdharasya	lakzmIDarasya
   praṇayaviśadām+vaktre dṛṣṭim+dadāti viśaṅkitā	praNaya viSadAm+vaktre dRzwim+da dAti viSaFkitA
   ghaṭayati ghanam+kaṇṭhāśleṣam+sakampapayodharā /	Gawayati Ganam+kaNWa ASlezam +sa kampa payoDarA /
   vadati bahuśas+gacchāmi+iti prayatnadhṛtā+api+aho	vadati bahuSas +gacCAmi+ iti prayatna DRtA+api +aho
   ramayatitarām+saṃketasthā tathā+api hi kāminī // VidSrk_24.18 *(824) //	rama yati tarAm+ saMketa sTA taTA a+api hi kAminI // Vit Srj _24.18 *(824) //
   śrīharṣasya	SrI harzasya
   durdinaniśīthapavane niḥsaṃcārāsu nagaravīthīṣu /	durdina niSITa pavane niHsaMcArAsu nagara vITIzu /
   patyau videśayāte param+sukham+jaghanacapalāyās+ // VidSrk_24.19 *(825) //	patyO videSa yAte param+ suKam+jaGana capala AyAs+ // Vit Srj _24.19 *(825) //
   mārge paṅkini toyadāndhatamase niḥśabdasaṃcārakam+	mArge paFkini toyada anDatamase niHSabda saMcArakam+
   gantavyā dayitasya me+adya vasatis+mugdhā+iti kṛtvā matim /	gantavyA dayitasya me+adya vasati s+mugDA+ iti kRtvA matim /
   ājānūddhṛtanūpurā karatalena+āchādya netre bhṛśam+	AjAnu udDRta nUpurA kara talena +ACAdya netre BRSam+
   kṛcchrāt+labdhapadasthitis+svabhavane panthānam+abhyasyati // VidSrk_24.20	kRcCrAt+labDa pada sTiti s+sva Bavane panTAnam +aByasyati // Vit Srj _24.20
   bibhrāṇā+ārdranakhakṣatāni jaghane na+anyatra gātre bhayāt+	biBrANA+ Ardra naKa kzatAni jaGane na+anyatra gAtre BayAt +
   netre cumbanapāṭale ca dadhatī nidrālase nivraṇe /	netre cumbana pAwale ca daDatI nidrA alase nivraNe /
   svam+saṃketam+adūram+eva kamitus+bhrūsaṃjñayā śaṃsatī	svam +saMketam+adUram +A iva kamitu s+BrU saMjQayA SaMsatI
   siddhim+yāti viṭaikakalpalatikā raṇḍā na puṇyais+vinā // VidSrk_24.21	sidDim +yAti viwa eka kalpa latikA raNxA na puNyEs+vinA // Vit Srj _24.21
   adya svām+jananīm+akāraṇaruṣā prātas+sudūram+gatām+	adya svAm+jananIm+a kAraNa ruzA prAtas+su dUra m+gatAm+
   pratyānetum+itas+gatas+gṛhapatis+śrutvā+eva madhyaṃdine /	pratyAnetum+ita s+gata s+gRhapati s+Sru tvA+eva maDyaMdine /
   paṅgutvena śarīrajarjaratayā prāyas+sa lakṣyākṛtis+	paFgu tvena SarIra jarjara tayA prAyas+sa lakzya AkRti s+
   dṛṣṭas+asau bhavatā na kim+pathika he sthitvā kṣaṇam+kathyatām //	dRzwa s+asO BavatA na kim+paTika he sTitvA kzaNam +kaTyatAm //
   VidSrk_24.22 *(828) //	Vit Srj _24.22 *(828) //
   vastraprotadurantanūpuramukhās+saṃyamya nīvīmaṇīn+	vastra prota duranta nUpura muKa as+ saMyamya nIvImaNIn+
   udgāḍhāṃśukapallavena nibhṛtam+dattābhisārakramās+ /	udgAXa aMSuka pallavena niBRta m+datta aBisAra kramAs+ /
   etās+kuntalamallikāparimalavyālolabhṛṅgāvalījhaṃkārais+vikalīkṛtās+pathi	etAs+ kuntala mallikA parimala vyAlola BRFga AvalI JaMkAra es+vikalIkRta As+ paTi
   bata vyaktam+kuraṅgīdṛśas+ // VidSrk_24.23 *(829) //	bata vyaktam +kuraFgI dRSas+ // Vit Srj _24.23 *(829) //
   patis+durvañcas+ayam+vidhuramalinas+vartma viṣamam+	pati s+duH vaQca s+ayam+viDura malina s+vartma vizamam+
   janas+chidrānveṣī praṇayivacanam+duḥpariharam /	janas+ CidrA anvezI praNayi vacanam+duH pariharam /
   atas+kācit+tanvī rativihitasaṃketagataye	atas+ka Acit+tanvI rati vihita saMketa gataye
   gṛhāt+vāraṃvāram+nirasarat+atha prāviśat+atha // VidSrk_24.24 *(830) //	gRhAt +vAraMvAram +nirasarat+aTa prAviSat +aTa // Vit Srj _24.24 *(830) //
   udeṣyatpīyūṣadyutirucikaṇārdrās+śaśamaṇisthalīnām+panthānas+ghanacaraṇalākṣālipibhṛtas+	udezyat pIyUza dyuti ruci kaNA ArdrAs+ SaSamaNi sTalI nAm +panTAnas+Gana caraNa lAkzA lipiBRta s+
   cakorais+uḍḍīnais+jhaṭiti kṛtaśaṅkās+pratipadam+	cakorEs+uxxI nEs+Jawiti kRta SaFkAs+ pratipadam+
   parāñcas+saṃcārān+avinayavatīnām+vivṛṇute // VidSrk_24.25 *(831) //	parAQcas+ saMcArAn +avinayavatI nAm+vivRNute // Vit Srj _24.25 *(831) //
   malayajapaṅkaliptatanavas+navahāralatāvibhūṣitās+	malayaja paFka lipta tana vas+navahAra latA viBUzitAs+
   sitataradantapatrakṛtavaktrarucas+rucirāmalāṃśukās+ /	sitatara danta patra kRta vaktra rucas+ rucira amala aMSu kAs+ /
   śaśabhṛti vitatadhāmni dhavalayati dharām+avibhāvyatām+gatās+	SaSaBRti vitata DAmni Davalayati DarAm+a viBAvya tAm+gata As+
   priyavasatim+vrajanti sukham+eva nirastabhiyas+abhisārikās+ //	priya vasatim +vrajanti suKam +eva nirasta Biyas+aBisArikAs+ //
   VidSrk_24.26 *(832) //	Vit Srj _24.26 *(832) //
   bāṇasya	bANasya
   niśāndhakāre vihitābhisārās+sakhīs+śapanti+iha nitāntamugdhā /	niSA anDakAre vihita aBisArAs+ saKI s+Sapanti+ iha nitAnta mugDA /
   pathi skhalantī bata vāridhārām+āliṅgitum+vāñchati vāridānām //	paTi sKalantI bata vAriDa ArAm+a AliFgitum +vAQCati vAridAnAm //
   VidSrk_24.27 *(833) //	Vit Srj _24.27 *(833) //
   puruṣottamasya	puruzottamasya
   kṛtvā nūpuramūkatām+caraṇayos+saṃyamya nīvīmaṇīn+	kRtvA nUpura mUka tAm+caraNa yos+ saMyamya nIvImaNIn+
   uddāmadhvanipiṇḍitān+parijane kiṃcit+ca nidrāyite /	uddAma Dvani piNxita an+parijane kiMcid + ca nidrAyite /
   kasmai kupyasi yāvat+asmi calitā tāvat+vidhipreritas+	kasmE kupyasi yAvat+asmi calitA tAvat+ viDi prerita s+
   kāśmīrīkucakumbhasambhramaharas+śītāṃśus+abhyudyatas+ // VidSrk_24.28	kASmIrI kuca kumBa samBrama haras+ SItAMSu s+aByudyatas+ // Vit Srj _24.28
   urasi nihitas+tāras+hāras+kṛtā jaghane jaghane	urasi nihita s+tAra s+hAra s+kRtAH jaGane jaGane
   kalakalavatī kāñcī pādau raṇanmaṇinūpurau /	kalakalavatI kAQcI pAdO raNat maNi nUpurO /
   priyam+abhisarasi+evam+mugdhe samāhataṇḍiṇḍimā	priyam +aBisarasi+evam +mugDe samAhataNxiNximA
   kim+idam+aparam+trāsotkampā diśas+muhus+īkṣase // VidSrk_24.29 *(835) //	kim +idam+a param+trAsa utkampAH diSas+muhu r +Ikzase // Vit Srj _24.29 *(835) //
   devaguptasya	devaguptasya
   anumatam+iva+ānetum+joṣam+tamītamasām+kulam+diśi diśi	anumatam +iva+An etum +jozam+tamItam asAm+ kulam +diSi diSi
   dṛśas+vinyasyantyas+śriyā+aṅkuritāñjanās+ /	dRSas+vinyasi anti as+ SriyA+ aFkurita aQjanAs+ /
   madanahutabhugdhūmacchāyais+paṭais+asitais+vṛtās+	madana hutaBuj DUma= CAyA es+pawa es+a sitA es+vRtA As+
   prayayus+arasadbhūṣais+aṅgais+priyān+abhisārikās+ // VidSrk_24.30 *(836)	prayayu s+arasat BUzA es+aFga es+priyAn +aBisArikAs+ // Vit Srj _24.30 *(836)
   bhaṭṭaśivasvāminas+	Bawwa Siva svAminas+
   \Colo iti+asatīvrajyā	\ColaH iti+asatI vrajyA
   tatas+dūtikopālambhavrajyā	tatas+dUtika upAlamBa vrajyA
   niḥśeṣacyutacandanam+stanataṭas+niryātarājas+adharas+	niHSeza cyuta candanam +stana tawas+ niryAta rAja s+aDara s+
   netre dūram+anañjane jalalavaprasyandinī te tanus+ /	netre dUram +anaQjane jala lava prasyandinI te tanus+ /
   āśācchedini dūti bāndhavajanasya+ajñātapīḍāgame	ASAcCedini dUti bAnDava janasya+ajQAta pIxA game
   vāpīm+snātum+itas+gatā+asi na punas+tasya+adhamasya+antikam // VidSrk_25.1	vApIm+snAtum+ita s+gatA+asi na puna s+tasya +aDamasya+antikam // Vit Srj _25.1
   kim+tvam+nigūhase dūti stanau vaktram+ca pāṇinā /	kim +tu am+nigUhase dUti stanO vaktram +ca pANinA /
   savraṇās+eva śobhante śūrādharapayodharās+ // VidSrk_25.2 *(838) //	sa vraNAs+A iva SoBante SUra aDara payoDarAs+ // Vit Srj _25.2 *(838) //
   sādhu dūti punas+sādhu kartavyam+kim+atas+param /	sADu dUti punar +sADu kartavyam +kim+a tas+param /
   yat+madarthe vilagnā+asi dantais+api nakhais+api // VidSrk_25.3 *(839) //	yat+mad arTe vilagnA+asi danta es+api naKa es+api // Vit Srj _25.3 *(839) //
   vihāras+kaṇṭhadeśas+te kāṣāye tava locane /	vihAra s+ kaNWa deSa s+te kAzAye tava locane /
   adharau vītarāgau te dūti pravrajitā+asi kim // VidSrk_25.4 *(840) //	aDarO vIta rAgO te dUti pravrajitA+asi kim // Vit Srj _25.4 *(840) //
   dūti kim+tena pāpena śāstrātikramakāriṇā /	dUti kim +tena pApena SAstra atikrama kAriNA /
   pañca pañcanakhās+bhakṣyās+ṣaṣṭhī tvam+yena khāditā // VidSrk_25.5 *(841)	paQca paQcanaKa as+ BakzyAs+zazWI tu am +yena KAditA // Vit Srj _25.5 *(841)
   na+āyātas+sāmadānābhyām+iti bhede+api darśite /	na+a AyAtas+sAma dAnAByAm +iti Bede+ api darSite /
   sādhu yat+durvinītasya tvayā daṇḍas+nipātitas+ // VidSrk_25.6 *(842) //	sADu yat+ durvinItasya tvayA daNxa s+nipAtitas+ // Vit Srj _25.6 *(842) //
   anena vītarāgeṇa buddhena+iva+adhareṇa te /	anena vIta rAgeNa budDena +iva+aDareNa te /
   dūti nirvyājam+ākhyātā sarvavastuṣu śūnyatā // VidSrk_25.7 *(843) //	dUti nirvyAjam+a AKyAtA sarva vastuzu SUnyatA // Vit Srj _25.7 *(843) //
   pārśvābhyām+saprahārābhyām+adhare vraṇakhaṇḍite /	pArSvAByAm +sa prahAra aByAm +aDare vraNa KaNxite /
   dūti saṃgrāmayogyā+asi na yogyā dūtakarmaṇi // VidSrk_25.8 *(844) //	dUti saMgrAma yogyA+asi na yogyA dUta karmaNi // Vit Srj _25.8 *(844) //
   tvayā dūti kṛtam+karma yat+tat+anyena duṣkaram /	tvayA dUti kRtam +karma yat+tat+anyena duzkaram /
   śaraṇāgatavidhvaṃsī chidrānveṣī nipātitas+ // VidSrk_25.9 *(845) //	SaraNa Agata viDvaMsI Cidra anvezI nipAtitas+ // Vit Srj _25.9 *(845) //
   kṣāmā tanus+gatis+khinnā netre vyālokatārake /	kzAmA tanu s+gati s+KinnA netre vyAloka tArake /
   vāk+aspaṣṭā ślatham+vāsas+dūti tvam+jvaritā+asi kim // VidSrk_25.10 *(846)	vAc +a spazwA SlaTam +vAsa s+dUti tvam+jvaritA+asi kim // Vit Srj _25.10 *(846)
   rajanyām+anyasyām+surataparivartāt+anucitam+	rajanyAm+anyasyAm+surata parivartA at+a nucitam+
   madīyam+yat+vāsas+katham+api hṛtam+tena suhṛdā /	madIyam +yat+ vAsas+ kaTam +api hRta m+tena suhRdA /
   tvayā prītyā+ānītam+svanivasanadānāt+punar+idam+	tvayA prItyA a+AnItam+su anivasana dAnAt+ punar +idam+
   kutas+tvādṛk+dūti skhalitaśamanopāyanipuṇā // VidSrk_25.11 *(847) //	kutas+tvAt RS +dUti sKalita Samana upAya nipuNAH // Vit Srj _25.11 *(847) //
   na+āyātas+yadi tādṛśam+sa śapatham+kṛtvā+api dūti priyas+	na+a AyAtas+yadi tAdRSam+sa SapaTam +kRtvA a+api dUti priya s+
   tat+kim+kopanayā tvayā svadaśanais+agrādharas+khaṇḍitas+ /	tat+kim +kopanayA tvayA sva daSa nEs+a grADara s+KaNxitas+ /
   svedāmbhaḥkaṇadāyi vepanam+idam+tyaktvā bhaja svasthatām+	sveda amBaH kaNadAyi vepanam +idam +tyaktvA Baja svasTa tAm+
   kas+lokasya sakhi svabhāvakuṭilasya+antargatam+jñāsyati // VidSrk_25.12	kas+lokasya saKi svaBAva kuwilasya+antargatam +jQAsyati // Vit Srj _25.12
   romāñcam+vahasi śvasiṣi+aviratam+dhyānam+kim+api+āśritā	romAQcam+vahasi Svasizi +aviratam+DyAnam +kim+a pi+a ASritA
   dṛṣṭis+te bhramati prakampacapale vyaktam+ca te śītkṛtam /	dRzwi s+te Bramati prakampa capale vyaktam +ca te SItkRtam /
   tam+labdhvā khalu bandhakī+iva suratavyāpāradakṣam+janam+	tam +labDvA Kalu banDakI+ iva surata vyApAra dakzam +janam+
   kim+dūti jvaritā+asi pāpam+athavā spṛṣṭvā bhavanti+āpadas+ // VidSrk_25.13	kim +dUti jvaritA+asi pApam +aTavA spRzwvA Bavanti+Apadas+ // Vit Srj _25.13
   śvāsas+kim+tvaritā gatis+pulakitā kasmāt+prasādya+āgatā	SvAsa s+kim +tvaritA gati s+pulakitA kasmAt+prasAdI a+a AgatA
   veṇī bhraśyati pādayos+nipatanāt+kṣāmā kim+iti+uktibhis+ /	veNI BraSyati pAdayos+ nipatanAt+kzAmA kim +iti +uktiBis+ /
   svedārdram+mukham+ātapena galitā nīvī gamāt+āgamāt+	sveda Ardra m+muKam+a Atapena galitA nIvI gamAt +AgamAt+
   dūti mlānasaroruhadyutimuṣas+svauṣṭhasya kim+vakṣyasi // VidSrk_25.14	dUti mlAna saroruha dyuti muza s+sva ozWasya kim +vakzyasi // Vit Srj _25.14
   adhareṇa+unnatibhājā bhujaṅgaparipīḍitena te dūti /	aDareNa +unnati BAjAH BujaFga paripIxitena te dUti /
   saṃkṣobhitam+manas+me jalanidhis+iva mandarāgeṇa // VidSrk_25.15 *(851) //	saMkzoBitam+manas+me jalaniDi s+iva manda rAgeNa // Vit Srj _25.15 *(851) //
   sadbhāvopagatā samapraṇayinī dārās+parasya+iti vā	sadBAva upagatA sama praNayinI dArAs+ parasya+ iti vA
   dūte rāgaparābhavas+kriyate+iti+etat+na mīmāṃsitam /	dUte rAga parABava s+kriyate+iti +etat+na mImAMsitam /
   yena+ambhoruhasaṃnibhasya vadanasya+apāṇḍutā te kṛtā	yena +amBoruha saMniBasya vadanasya+a pANxu tA te kRtA
   dūti bhraṣṭaguṇasya tasya nilayam+svapne+api mā gās+punas+ // VidSrk_25.16	dUti Brazwa guNasya tasya nilayam +svapne+ api mA gAs+ punas+ // Vit Srj _25.16
   svakāryabuddhyā+eva sadā madarthe dūti pravṛttim+pratipālayantyā /	sva kArya budDyA+eva sadA mad arTe dUti pravRttim +pratipAlayantyAH /
