   Madhusūdanasarasvatī: Siddhāntabindu	MaDusUdana-sarasvatI: SidDAnta-bindu
   ekatvasaṅkhyāyogi ekam / tad apekṣābuddhijanyadvitvasaṅkhyāyogi dvitīyam /	ekatva-saFKyA-yogi ekam / tat apekzA-budDi-janya-dvi-tva-saFKyA-yogi dvitIyam /
   tata ekābhāve dvitīyaṃ kutaḥ syāt / dvitīyaṃ ca tṛtīyādīnām apy	tatas eka-aBAve dvitIyam kutas syAt / dvitIyam ca tRtIya-AdInAm api-
   upalakṣaṇam / nanu, "ekam evādvitīyam" (ChU VI.2.1.) iti śrutyā ekatvaṃ	upalakzaNam / nanu, "ekam eva-advitIyam" (ShU VI.2.1.) iti SrutyA eka-tvam
   pratipādyate / na, ity āha -- na vā kevalatvam iti / kevalam ekatvaṃ,	pratipAdyate / na, iti Aha - na vA kevala-tvam iti / kevalam eka-tvaM,
   tasyāvidyakatvāt / yady ātmana ekatvaṃ śrutyā na pratipādyate, tarhi	tasya-avidyaka-tvAt / yadi AtmanaH eka-tvam SrutyA na pratipAdyate, tarhi
   pratyakṣādipramāṇavaśād anekatvaṃ syād iti cet, na, ity āha -- na	pratyakza-Adi-pramANa-vaSAt aneka-tvam syAt iti cet, na, iti Aha - na
   cākevalatvam iti / akevalatvam anekatvaṃ, "neha nānāsti kiñcana" (BAU	cA-kevala-tvam iti / akevala-tvam aneka-tvaM, "na-iha nAnA-asti kiQcana" (BAU
   IV.4.19.), "ekam evādvitīyam" (ChU VI.2.1.), "athāta ādeśo neti neti" (BAU	IV.4.19.), "ekam eva-advitIyam" (ShU VI.2.1.), "aTAtas AdeSaH na-iti na-iti" (BAU
   II.3.6.) ityādiśrutibhyaḥ / tarhi sarvapratiṣedhāc chūnyam eva syād iti,	II.3.6.) ityAdi-SrutiByaH / tarhi sarva-pratizeDAt SUnyam eva syAt iti,
   na, ity āha -- na śūnyam iti, "asann eva sa bhavati asad brahmeti veda	na, iti Aha - na SUnyam iti, "asan eva sa Bavati asat brahma-iti veda
   cet, asti brahmeti ced veda santam enaṃ tato vidur iti" (TU II.6.),	cet, asti brahma-iti ced veda santam enam tatas viduH iti" (TU II.6.),
   "satyaṃ jñānam anantaṃ brahma" (TU II.1.) "sad eva somyedam agra āsīt"	"satyam jQAnam anantam brahma" (TU II.1.) "sat eva somya-idam agre AsIt-"
   (ChU VI.2.1.) ity upakramya "aitadātmyam idaṃ sarvaṃ tat satyaṃ sa ātmā	(ShU VI.2.1.) iti upakramya "a-etat-Atmyam idam sarvam tat satyam saH AtmA
   tat tvam asi" (ChU VI.8.7.) ityādiśrutibhiḥ satyatvajñānatvādidharmavad	tat tvam asi" (ChU VI.8.7.) iti-Adi-SrutiBiH satya-tva-jQAna-tva-Adi-Darmavat-
   api syāt, na, ity āha -- na cāśūnyam iti / ekam advitīyam iti padadvayena	api syAt, na, iti Aha - na ca-aSUnyam iti / ekam advitIyam iti pada-dvayena
   sarvabhedapratiṣedhe 'py evakāreṇa	sarva-Beda-pratizeDe api eva-kAreNa
   dharmadharmibhāvādibhedābhedapratiṣedhāt / sarvatra hetum āha --	Darma-Darmi-BAva-Adi-Beda-aBeda-pratizeDAt / sarvatra hetum Aha --
   advaitakatvād iti / dvidhā itaṃ dvītaṃ tasya bhāvo dvaitam / tad uktaṃ	advEtaka-tvAt iti / dviDA itam dvItam tasya BAvaH dvEtam / tat uktam
   vārtike "dvidhetaṃ dvītam ity āhus tadbhāvo dvaitam ucyate" (BAUBhV	vArtike "dviDetam dvItam iti AhuH tad-BAvaH dvEtam ucyate" (BAUBhV
   IV.3.1807.) iti / na vidyate dvaitaṃ dvidhābhāvo yatra tad advaitam ity	IV.3.1807.) iti / na vidyate dvEtam dviDA-BAvaH yatra tat advEtam iti-
   akṣarārthaḥ / "salila eko dṛṣṭādvaitaḥ" (BAU IV.3.32.) itiśruteḥ /	akzara-arTaH / "salilaH ekaH dRzwa-advEtaH" (BAU IV.3.32.) iti-SruteH /
   pratiyogijñānasyaiva lāghavenābhāvabuddhau kāraṇatvāt	pratiyogi-jQAnasya-eva lAGavena-aBAva-budDO kAraNa-tvAt-
   dvaitasyānirvacanīyatvāṅgīkāreṇa pratyakṣādivedyatvān niṣedhopapattir ity	dvEtasya-anirvacanIya-tva-aFgIkAreNa pratyakza-Adi-vedya-tvAt nizeDa-upapattiH iti-
   arthaḥ / tarhy etādṛśa ātmā aṅulinirdeśena pratipādyatām iti, na, ity āha	arTaH / tarhi etAdRSaH AtmA aFulinirdeSena pratipAdyatAm iti, na, iti Aha
   -- kathaṃ bravīmīti / kim ākṣepe? advaitakatvena vāgaviṣayatvāt,	- kaTam bravImi-iti / kim Akzepe? advEtaka-tvena vAc-avizaya-tva-at,
   "avacanenaiva provāca" (NUU VII.), "yato vāco nivartante aprāpya mānasā	"avacanena-eva provAca" (NUU VII.), "yataH vAcaH nivartante aprApya mAnasA
   saha" (TU II.4.), "na vijñāner vijñātāraṃ vijānīyāḥ" (BAU III.4.2.)	saha" (TU II.4.), "na vijQAneH vijQAtAram vijAnIyAH" (BAU III.4.2.)
   ityādiśrutibhyaḥ / vāgaviṣayatve kathaṃ vedāntānāṃ tatra prāmāṇyam iti	ityAdi-SrutiByaH / vAc-avizaya-tve kaTam vedAntAnAm tatra prAmANyam iti
   cet, na, aviṣaye 'py ātmani tadākāravṛttimātreṇa tadavidyānivartakatvād	cet, na, avizaye api Atmani tad-AkAra-vRtti-mAtreNa tad-avidyA-nivartaka-tvAt-
   ity āha -- sarvavedāntasiddham iti / tathā ca śrutiḥ "yasyāmataṃ tasya	iti Aha - sarva-vedAnta-sidDam iti / taTA ca SrutiH "yasyAmatam tasya
   mataṃ mataṃ yasya na veda saḥ / avijñātaṃ vijānatāṃ vijñātam avijānatām"	matam matam yasya na veda saH / avijQAtam vijAnatAm vijQAtam avijAnatAm"
   (KU II.3.), "yan manasā na manute yenāhur mano mataṃ, tad eva brahma tvaṃ	(KU II.3.), "yan manasA na manute yena-AhuH manaH mataM, tat eva brahma tvam
   viddhi nedaṃ yad idam upāsate" (KU I.5.) ityādir aviṣayatvam ātmano	vidDi na-idam yat idam upAsate" (KU I.5.) ityAdiH avizaya-tvam AtmanaH-
   darśayati / tad evaṃ vedāntavākyajanyākhaṇdākāravṛttyā avidyānivṛttau	darSayati / tat evam vedAnta-vAkya-janyA-KaNda-AkAra-vRttyA avidyA-nivRttO
   tatkalpitasakalānarthanivṛttau paramānandarūpaḥ san kṛtakṛtyo bhavatīti	tad-kalpita-sakala-anarTa-nivRttO parama-Ananda-rUpaH san kRtakRtyaH Bavati-iti
   siddham // 10 //	sidDam // 10 //
        na staumi taṃ vyāsam aśeṣam arthaṃ samyaṅ na sūtrair api yo babandha	na stOmi tam vyAsam aSezam arTam samyak na sUtrEH api yaH babanDa
        vināpi taiḥ saṅgrathitākhilārthaṃ taṃ śaṅkaraṃ staumi sureśvaraṃ ca	vinA-api tEH saFgraTita-aKila-arTam tam SaFkaram stOmi sureSvaram ca
        laghur api bahvarthavahaś cintāmaṇir iva nibandho 'yam /	laGuH api bahu-arTa-vahaH cintAmaNiH iva nibanDaH ayam /
        madhusūdanena muninā vihito guṇināṃ vinodāya // 2 //	maDusUdanena muninA vihitaH guNinAm vinodAya // 2 //
        yad atra sauṣṭhavaṃ kiñcit tadguror iva me na hi /	yat atra sOzWavam kiQcid tad-guroH iva me na hi /
        yad atrāsauṣṭhavaṃ kiñcit tan mamaiva guror na hi // 3 //	yat atra-asOzWavam kiQcid tat mama-eva guroH na hi // 3 //
        bahuyācanayā mayāyamalpo balabhadrasya kṛe kṛto nibandhaḥ /	bahu-yAcanayA mayA-ayam-alpaH balaBadrasya kRe kRtaH nibanDaH /
        yad aduṣṭam ihāsti yac ca duṣṭaṃ tadudārāḥ sudhiyo vivecayantu // 4	yat aduzwam iha-asti yat ca duzwam tad-udArAH suDiyaH vivecayantu // 4
   iti	iti
   śrīmatparamahaṃsaparivrājakācāryaśrīviśveśvarasarasvatībhagavatpūjyapādaśiṣyaśrīmadhusūdanasarasvatīviracitaḥ	SrImat-paramahaMsa-parivrAjaka-AcArya-SrI-viSva-ISvara-sarasvatI-Bagavat-pUjya-pAda-Sizya-SrI-maDusUdana-sarasvatI-viracitaH
   siddhāntabindunāmā granthaḥ samāptaḥ /	sidDAnta-bindu-nAmA granTaH samAptaH /
