   akalpabālasthavira- Brh_1,1.148a	akalpa-bAla-sTavira Brh_1,1.148a
   madhyānāṃ dviguṇā smṛtā Brh_1,8.48b	maDyAnAm dviguNA smRtA Br=-_1,8.48b
   madhyottame 'rdhadaṇḍas tu Brh_1,9.12c	maDya-uttame arDa-daNxaH tu Br=-_1,9.12c
   madhvāsvādo viṣaṃ paścād Brh_1,14.3c	maDu-AsvAdaH vizam paScAt Br=-_1,14.3c
   manunā yena pūrvaśaḥ Brh_1,26.77b	manunA yena pUrvaSas Brh_1,26.77b
   manunā samudāhṛtam Brh_1,21.22f	manunA samudAhRtam Brh_1,21.22f
   manunā samudāhṛtā Brh_1,8.28b	manunA samudAhRtA Brh_1,8.28b
   manuṣyamāraṇaṃ cauryaṃ Brh_1,23.2a	manuzya-mAraNam cOryam Brh_1,23.2a
   manuṣyamāraṇe steye Brh_1,2.24a	manuzya-mAraNe steye Br=-_1,2.24a
   manuṣyahāriṇo rājñā Brh_1,22.22a	manuzya-hAriNaH rAjQA Brh_1,22.22a
   manuṣyās tv anṛtaṃ viduḥ Brh_1,1.54b	manuzyAH tu anRtam viduH Br=-_1,1.54b
   manovākkāyasaṃyutā Brh_1,25.8b	manaH-vAc-kAya-saMyutA Brh_1,25.8b
   mantrauṣadhibalāt kiṃcit Brh_1,22.20a	mantra-ozaDi-balAt kiMcid Br=-_1,22.20a
   mandabhāgyanirāśrayaiḥ Brh_1,13.3b	mandaBAgya-nirASrayEH Br=-_1,13.3b
   manvarthaviparītā yā Brh_1,end/c	manu-arTa-viparItAH yA Br=-_1,end/-c
   manvādismṛtivedibhiḥ Brh_1,6.19d	manu-Adi-smRti-vediBiH Br=-_1,6.19d
   mamānena pradātavyaṃ Brh_1,2.12a	mama-anena pradAtavyam Br=-_1,2.12a
   marutāṃ sthānam ucyate Brh_1,8.27b	marutAm sTAnam ucyate Br=-_1,8.27b
   marṇībhāśvāśvatariṇām Brh_1,18.11a	marNIBa-aSva-aSvatariNAm Brh_1,18.11a
   marmaghātī tu yas teṣāṃ Brh_1,23.15a	marma-GAtI tu yaH tezAm Brh_1,23.15a
   marmaprahārado yas tu Brh_1,23.14c	marma-prahAra-daH yaH tu Br=-_1,23.14c
   marmasthānaṃ ca yatnataḥ Brh_1,23.20d	marma-sTAnam ca yatnatas Br=-_1,23.20d
   maryādā kalpitā nadī Brh_1,19.43b	maryAdA kalpitA nadI Brh_1,19.43b
   maryādā lekhitā kāryā Brh_1,1.134a	maryAdA leKitA kAryA Brh_1,1.134a
   malinaṃ svalpakālikam Brh_1,6.32b	malinam su-alpa-kAlikam Br=-_1,6.32b
   malināṅgīm adhaḥ śayyāṃ Brh_1,24.18c	malina-aFgIm aDas SayyAm Br=-_1,24.18c
   mahānadyāthavā rājñā Brh_1,19.41a	mahAnadya-aTavA rAjQA Brh_1,19.41a
   mahāparādhayuktāṃś ca Brh_1,9.11a	mahA-aparADa-yuktAn ca Br=-_1,9.11a
   mahāpātakakāriṇe Brh_1,9.13d	mahApAtaka-kAriNe Br=-_1,9.13d
   mahāpātakadūṣaṇam Brh_1,20.4b	mahApAtaka-dUzaNam Br=-_1,20.4b
   mahāpātakadūṣitāḥ Brh_1,1.173b	mahApAtaka-dUzitAH Br=-_1,1.173b
   mahāpātakayukto 'pi Brh_1,9.10a	mahApAtaka-yuktaH api Brh_1,9.10a
   mahāpātakayukto 'pi Brh_1,9.27c	mahApAtaka-yuktaH api Brh_1,9.27c
   mahāpāpābhiśasto yaḥ Brh_1,3.39a	mahA-pApa-aBiSastaH yaH Br=-_1,3.39a
   mahāpāpābhiśāpeṣu Brh_1,4.16a	mahA-pApa-aBiSApezu Br=-_1,4.16a
   mahāpāpopapāpābhyāṃ Brh_1,3.37a	mahA-pApa-upapApAByAm Brh_1,3.37a
   mahābhiyoge nirdharme Brh_1,8.68a	mahA-aBiyoge nirDarme Brh_1,8.68a
   mahābhiyogeṣv etāni Brh_1,8.81c	mahA-aBiyogezu etAni Br=-_1,8.81c
   mahārājanavirodhakāḥ Brh_1,2.32b	mahA-rAjana-viroDakAH Br=-_1,2.32b
   mahendrasadṛśo bhavet Brh_1,9.32d	mahA-indra-sadRSaH Bavet Br=-_1,9.32d
   māṇḍavyaś coratāṃ gataḥ Brh_1,1.116d	mANxavyaH cora-tAm gataH Br=-_1,1.116d
   mātā dāyam avāpnuyāt Brh_1,26.135b	mAtA dAyam avApnuyAt Br=-_1,26.135b
   mātāpitror ātmanaś Brh_1,6.21a	mAtA-pitroH AtmanaH Brh_1,6.21a
   mātā rikthaharī jñeyā Brh_1,26.135e	mAtA rikTa-harI jQeyA Brh_1,26.135e
   mātur nivṛtte rajasi Brh_1,26.9c	mAtuH nivRtte rajasi Br=-_1,26.9c
   mātulasya sutā dvijaiḥ Brh_1,1.128b	mAtulasya sutA dvijEH Br=-_1,1.128b
   mātuḥ pitā pitṛvyaś ca Brh_1,5.39a	mAtuH pitA pitRvyaH ca Br=-_1,5.39a
   mātuḥ svasā mātulānī Brh_1,26.32a	mAtuH svasA mAtulAnI Brh_1,26.32a
   mātṛtulyāḥ prakīrtitāḥ Brh_1,26.25d	mAtR-tulyAH prakIrtitAH Br=-_1,26.25d
   mātṛtulyāḥ prakīrtitāḥ Brh_1,26.32d	mAtR-tulyAH prakIrtitAH Br=-_1,26.32d
   mātṛbhāgena dharmataḥ Brh_1,26.24d	mAtR-BAgena DarmataH Br=-_1,26.24d
   mātṛmātāmahe dhane Brh_1,26.133d	mAtR-mAtAmahe Dane Br=-_1,26.133d
   mātṛsthānam prakalpayet Brh_1,8.25b	mAtRsTAnam prakalpayet Brh_1,8.25b
   mānuṣaṃ trividhaṃ smṛtam Brh_1,4.7b	mAnuzam triviDam smRtam Br=-_1,4.7b
   mānuṣīi daivikī tathā Brh_1,4.6b	mAnuzIi dEvikI taTA Brh_1,4.6b
   mānuṣī trividhā kriyā Brh_1,4.8b	mAnuzI triviDA kriyA Br=-_1,4.8b
   mā bhaiṣīr brūhi mānava Brh_1,1.145d	mA BEzIH brUhi mAnava Br=-_1,1.145d
   māyāyogavidāṃ caiva Brh_1,1.76c	mAyA-yoga-vidAm ca-eva Br=-_1,1.76c
   māyāvino dhṛtadhanāḥ Brh_1,26.142a	mAyAvinaH DRta-DanAH Brh_1,26.142a
   mārute vāti vai bhṛśam Brh_1,8.62d	mArute vAti vE BRSam Br=-_1,8.62d
   mārgenādharṣitaḥ paraiḥ Brh_1,1.121b	mArgena-ADarzitaH parEH Br=-_1,1.121b
   mālyadhūpāsanopetāṃ Brh_1,1.46c	mAlyaDUpa-Asana-upetAm Br=-_1,1.46c
   māṣo viṃśatibhāgas tu Brh_1,10.29a	mAzaH viMSati-BAgaH tu Br=-_1,10.29a
   māsatryahārdhamāsikam Brh_1,18.6b	mAsa-tri-aha-arDa-mAsikam Br=-_1,18.6b
   māsapakṣādivṛddhimat Brh_1,6.3b	mAsa-pakza-Adi-vRdDimat Br=-_1,6.3b
   māsaṣāṇmāsikādikam Brh_1,26.97d	mAsazANmAsika-Adikam Br=-_1,26.97d
   māsaṣāṇmāsike kare Brh_1,1.133d	mAsazANmAsike kare Br=-_1,1.133d
   māsaṣāṇmāsike śrāddhe Brh_1,26.137c	mAsazANmAsike SrAdDe Brh_1,26.137c
   māsaṃ catus trayaṃ varṣaṃ Brh_1,3.4c	mAsam catuH trayam varzam Br=-_1,3.4c
   māsaṃ sārdham athāpi vā Brh_1,10.76d	mAsam sArDam aTa-api vA Br=-_1,10.76d
   māsād grāhyā ca kālikā Brh_1,10.10b	mAsAt grAhyA ca kAlikA Br=-_1,10.10b
   māsi māsi sabandhake Brh_1,10.4b	mAsi mAsi sa-banDake Brh_1,10.4b
   māṃsabhede tu madhyamaḥ Brh_1,21.11b	mAMsa-Bede tu maDyamaH Br=-_1,21.11b
   māṃsamadyābhiyogaṃ ca Brh_1,25.13c	mAMsa-madya-aBiyogam ca Br=-_1,25.13c
   mitraprāptyarthalābhe vā Brh_1,23.11a	mitra-prApti-arTa-lABe vA Br=-_1,23.11a
   mitrādiṣu prayuñjīta Brh_1,9.14a	mitra-Adizu prayuQjIta Brh_1,9.14a
   mitha eva pradātavyo Brh_1,11.16c	miTas eva pradAtavyaH Br=-_1,11.16c
   mitho dāyaḥ kṛto yena Brh_1,11.16a	miTas dAyaH kRtaH yena Brh_1,11.16a
   mitho 'lpam api saṃvadet Brh_1,3.15b	miTas alpam api saMvadet Br=-_1,3.15b
   mithyā tat tu vijānīyād Brh_1,3.17c	miTyA tat tu vijAnIyAt Br=-_1,3.17c
   mithyā yāvati vādayet Brh_1,10.129b	miTyA yAvati vAdayet Br=-_1,10.129b
   mithyāyāṃ ca catuṣpādaḥ Brh_1,2.3a	miTyAyAm ca catuzpAdaH Br=-_1,2.3a
   mithyāyāṃ cāpi lekhayet Brh_1,3.22b	miTyAyAm ca-api leKayet Br=-_1,3.22b
   mithyāsaṃpratipattiś ca Brh_1,2.2a	miTyA-saMpratipattiH ca Br=-_1,2.2a
   mithyoktau pūrvavādī tu Brh_1,3.13c	miTyA-uktO pUrvavAdI tu Br=-_1,3.13c
   mithyottaraṃ prāṅnyāya- Brh_1,3.6c	miTyA-uttaram prAFnyAya Br=-_1,3.6c
   muktā bhāvyāś ca nṛpatir Brh_1,17.3c	muktAH BAvyAH ca nRpatiH Brh_1,17.3c
   muktā bhāvyāś ca nṛpater Brh_1,1.31c	muktAH BAvyAH ca nRpateH Br=-_1,1.31c
   muktvā kālaṃ susaṃviśet Brh_1,1.61b	muktvA kAlam su-saMviSet Br=-_1,1.61b
   muktvāśaucodakakriyām Brh_1,26.57d	muktvA-SOca-udaka-kriyAm Br=-_1,26.57d
   mukhasaṃdarśanenāpi Brh_1,26.81c	muKa-saMdarSanena-api Brh_1,26.81c
   mukhaṃ cādhikṛtaḥ smṛtaḥ Brh_1,1.84b	muKam ca-aDikRtaH smRtaH Brh_1,1.84b
   mukhyaiḥ saha samūhānāṃ Brh_1,17.20a	muKyEH saha samUhAnAm Brh_1,17.20a
   mudrāṅkitaṃ ca yad dattaṃ Brh_1,11.2c	mudrA-aFkitam ca yat dattam Br=-_1,11.2c
   mudrāṃ dadyād yathā patraṃ Brh_1,1.147a	mudrAm dadyAt yaTA patram Brh_1,1.147a
   mudritā adhyakṣasaṃyuktā Brh_1,1.58c	mudritAH aDyakza-saMyuktAH Br=-_1,1.58c
   mudritā śāsitā tathā Brh_1,1.57b	mudritA SAsitA taTA Brh_1,1.57b
   mumūruṣuhīnaluptārthair Brh_1,6.30a	mumUruzu-hIna-lupta-arTEH Brh_1,6.30a
   mumūrṣur vā yathākramam Brh_1,5.13b	mumUrzuH vA yaTAkramam Br=-_1,5.13b
   mūḍhair vinimayaḥ kṛtaḥ Brh_1,18.19b	mUXEH vinimayaH kRtaH Br=-_1,18.19b
   mūtroccārasamaḥ smṛtaḥ Brh_1,26.37d	mUtra-uccAra-samaH smRtaH Br=-_1,26.37d
   mūrvaṃ mrtā hared agnim Brh_1,26.96a	mUrvam mrtA haret agnim Brh_1,26.96a
   mūlakarma ca kurvanti Brh_1,22.20c	mUla-karma ca kurvanti Br=-_1,22.20c
   mūlakhānakakaivarta- Brh_1,19.27c	mUlaKAnaka-kEvarta Brh_1,19.27c
   mūlapuṣpaphalāni ca Brh_1,23.5b	mUla-puzpa-PalAni ca Br=-_1,23.5b
   mūlahāniḥ prajāyate Brh_1,10.43b	mUla-hAniH prajAyate Brh_1,10.43b
   mūlaṃ sarvavivādānāṃ Brh_1,1.16c	mUlam sarva-vivAdAnAm Br=-_1,1.16c
   mūlaṃ syāt sodayaṃ nṛṇām Brh_1,10.100d	mUlam syAt sa-udayam nRNAm Br=-_1,10.100d
   mūle datte tathaivaiṣā Brh_1,10.13c	mUle datte taTA-eva-ezA Br=-_1,10.13c
   mūlena saha vādas tu Brh_1,12.6c	mUlena saha vAdaH tu Br=-_1,12.6c
   mūle nyasyādhim āpnuyāt Brh_1,10.68b	mUle nyasya-ADim ApnuyAt Br=-_1,10.68b
   mūle samāhṛte kretā Brh_1,12.6a	mUle samAhRte kretA Br=-_1,12.6a
   mūlodayaṃ praviṣṭaṃ cet Brh_1,10.67c	mUla-udayam pravizwam ced Br=-_1,10.67c
   mūlyasyānucitaṃ smṛtam Brh_1,18.16b	mUlyasya-anucitam smRtam Br=-_1,18.16b
   mūlyaṃ dattvādhikaṃ nyūnaṃ Brh_1,18.16a	mUlyam dattvA-aDikam nyUnam Brh_1,18.16a
   mūlyaṃ na labhyate Brh_1,12.15d	mUlyam na laByate Br=-_1,12.15d
   mṛtasya vittād ādadyād Brh_1,29.10c	mRtasya vittAt AdadyAt Br=-_1,29.10c
   mṛtaṃ bhartari taddhanam Brh_1,26.95b	mRtam Bartari tad-Danam Br=-_1,26.95b
   mṛtā yady api sākṣiṇaḥ Brh_1,6.50d	mRtAH yadi api sAkziNaH Br=-_1,6.50d
   mṛte dhanini sākṣiṇaḥ Brh_1,5.41b	mRte Danini sAkziNaH Br=-_1,5.41b
   mṛte pitari pitṛaṃśaṃ Brh_1,10.112c	mRte pitari pitR-aMSam Brh_1,10.112c
   mṛte bhartari bhartṛaṃśaṃ Brh_1,26.101a	mRte Bartari BartR-aMSam Brh_1,26.101a
   mṛte rikthinam āpatet Brh_1,14.14d	mRte rikTinam Apatet Br=-_1,14.14d
   mṛte viprāsuto haret Brh_1,26.121d	mRte viprAsutaH haret Br=-_1,26.121d
   mṛteṣv api hi sākṣiṣu Brh_1,6.45d	mRtezu api hi sAkzizu Br=-_1,6.45d
   mṛto 'napatyo 'bhāryaś ced Brh_1,26.111a	mRtaH anapatyaH aBAryaH ced Br=-_1,26.111a
   mṛtpiṇḍāntaritau tataḥ Brh_1,8.83d	mRd-piNxa-antaritO tatas Br=-_1,8.83d
   mṛdam ādāya mūrdhani Brh_1,19.33d	mRdam AdAya mUrDani Br=-_1,19.33d
   mṛdbhāṇake 'nupahate Brh_1,8.88c	mRd-BANake anupahate Brh_1,8.88c
   mṛṣāyukti kriyāhīnam Brh_1,2.20a	mRzA-yukti kriyA-hInam Brh_1,2.20a
   mekhalābhramaniṣkāsa- Brh_1,19.47a	meKalA-Brama-nizkAsa Br=-_1,19.47a
   moktavyam iti niścayaḥ Brh_1,10.68f	moktavyam iti niScayaH Brh_1,10.68f
   mocyo 'bhijño 'pi sarvasvam Brh_1,27.6c	mocyaH aBijQaH api sarva-svam Br=-_1,27.6c
   mohād vā yadi vā śāṭhyād Brh_1,2.17a	mohAt vA yadi vA SAWyAt Brh_1,2.17a
   mohād vā lobhato 'pi vā Brh_1,1.103b	mohAt vA loBataH api vA Br=-_1,1.103b
   mauṇḍyaṃ kuryān narādhipaḥ Brh_1,9.27f	mONxyam kuryAt narADipaH Brh_1,9.27f
   maunī vā saptabhir dinaiḥ Brh_1,3.35b	mOnI vA saptaBiH dinEH Br=-_1,3.35b
   maunī sākṣiparājitaḥ Brh_1,3.34b	mOnI sAkzi-parAjitaH Br=-_1,3.34b
   maulānāṃ sīmasākṣiṇām Brh_1,19.12b	mOlAnAm sIma-sAkziNAm Br=-_1,19.12b
   maulās te tu samuddiṣṭāḥ Brh_1,7.50c	mOlAH te tu samuddizwAH Br=-_1,7.50c
   maulās te tu samuddiṣṭāḥ Brh_1,19.38c	mOlAH te tu samuddizwAH Br=-_1,19.38c
   mriyetānyataro vāpi Brh_1,26.115c	mriyeta-anyataraH vA-api Brh_1,26.115c
   mrte mriyeta yā patyau Brh_1,25.12c	mrte mriyeta yA patyO Br=-_1,25.12c
   yac cānucitamūlyaṃ syāt Brh_1,18.19c	yat ca-anucita-mUlyam syAt Br=-_1,18.19c
   yac chaktena na yācitam Brh_1,6.51b	yat Saktena na yAcitam Br=-_1,6.51b
   yac chrutaṃ bhūbhṛtā svayam Brh_1,5.16b	yat Srutam BUBRtA svayam Br=-_1,5.16b
   yajate 'harahar yajñaiḥ Brh_1,1.42c	yajate aharahar yajQEH Br=-_1,1.42c
   yaj juhoti yad arcati Brh_1,1.41b	yat juhoti yat arcati Br=-_1,1.41b
   yajñe saṃpūjyate viṣṇur Brh_1,1.118a	yajQe saMpUjyate vizNuH Brh_1,1.118a
   yajñe svāmyāpnuyāt puṇyaṃ Brh_1,1.143c	yajQe svAmi-ApnuyAt puNyam Br=-_1,1.143c
   yajñe svāmy āpnuyāt puṇyaṃ Brh_1,3.30c	yajQe svAmi ApnuyAt puNyam Br=-_1,3.30c
   yataḥ sa puruṣo gataḥ Brh_1,8.59d	yatas sa puruzaH gataH Br=-_1,8.59d
   yato dravyaṃ vinikrīya Brh_1,1.4a	yatas dravyam vinikrIya Br=-_1,1.4a
   yato rañjayate prajāḥ Brh_1,1.66b	yatas raQjayate prajAH Br=-_1,1.66b
   yat kiñ cit kurute naraḥ Brh_1,7.7b	yat kiQ cit kurute naraH Brh_1,7.7b
   yat tad grāhyaṃ tad ucyate Brh_1,3.27d	yat tat grAhyam tat ucyate Br=-_1,3.27d
   yat tena sadasi proktaṃ Brh_1,1.108c	yat tena sadasi proktam Brh_1,1.108c
   yat tv evaṃ likhitaṃ patraṃ Brh_1,17.12c	yat tu evam liKitam patram Br=-_1,17.12c
   yatnās tatsādhane matāḥ Brh_1,7.1b	yatnAH tad-sADane matAH Br=-_1,7.1b
   yatnaiḥ prāptaṃ rakṣitaṃ vā Brh_1,10.32c	yatnEH prAptam rakzitam vA Br=-_1,10.32c
   yatnaiḥ prāptaṃ rakṣitaṃ vā Brh_1,17.25a	yatnEH prAptam rakzitam vA Br=-_1,17.25a
   yat praṇaṣṭaṃ bhṛtaṃ vā syān Brh_1,16.10c	yat praNazwam BRtam vA syAt Br=-_1,16.10c
   yatra kuryāt punar nṛpaḥ Brh_1,1.21b	yatra kuryAt punar nRpaH Brh_1,1.21b
   yatra dharmaḥ sa nirṇayaḥ Brh_1,9.4b	yatra DarmaH sa nirNayaH Brh_1,9.4b
   yatra bhūmir yathāvidhā Brh_1,1.33b	yatra BUmiH yaTAviDA Br=-_1,1.33b
   yatra bhrāntir dvayor bhavet Brh_1,10.98b	yatra BrAntiH dvayoH Bavet Brh_1,10.98b
   yatrarṇī dāpyate 'rthaṃ svaṃ Brh_1,10.94c	yatra-RNI dApyate arTam svam Br=-_1,10.94c
   yatra vādī pramīyate Brh_1,3.31b	yatra vAdI pramIyate Br=-_1,3.31b
   yatra vipratipattiḥ syāt Brh_1,5.49c	yatra vipratipattiH syAt Br=-_1,5.49c
   yatra vipro na vidvān syāt Brh_1,1.79a	yatra vipraH na vidvAn syAt Br=-_1,1.79a
   yatra sabhyo 'nyathāvādī Brh_1,1.103c	yatra saByaH anyaTAvAdI Br=-_1,1.103c
   yatra sākṣī diśaṃ gacchen Brh_1,5.13a	yatra sAkzI diSam gacCet Brh_1,5.13a
   yatra sāṃśāyiko dharmo Brh_1,3.46a	yatra sAMSAyikaH DarmaH Brh_1,3.46a
   yatra striyo 'bhipūjyante Brh_1,25.5a	yatra striyaH aBipUjyante Brh_1,25.5a
   yatra svāmī kathaṃcana Brh_1,13.17b	yatra svAmI kaTaMcana Brh_1,13.17b
   yatrādhikaṃ gṛhakṣetraṃ Brh_1,10.70a	yatra-aDikam gRha-kzetram Brh_1,10.70a
   yatrāsau madhyamaḥ śaraḥ Brh_1,8.58d	yatra-asO maDyamaH SaraH Br=-_1,8.58d
   yatrāhartābhiyuktaḥ syāl Brh_1,7.38a	yatra-AhartA-aBiyuktaH syAt Brh_1,7.38a
   yatrāṃśo yasya yādṛśaḥ Brh_1,13.2b	yatra-aMSaH yasya yAdRSaH Br=-_1,13.2b
   yatraiko viniveśitaḥ Brh_1,6.31b	yatra-ekaH viniveSitaH Brh_1,6.31b
   yatraivaṃ vetti nṛpatiḥ Brh_1,9.34a	yatra-evam vetti nRpatiH Brh_1,9.34a
   yatraivaṃ syuḥ sthitā varṇā Brh_1,6.38c	yatra-evam syuH sTitA varNAH Br=-_1,6.38c
   yatropaviṣṭā viprāgryāḥ Brh_1,1.59e	yatra-upavizwAH vipra-agryAH Brh_1,1.59e
   yat sādhyaṃ parikalpyate Brh_1,5.53d	yat sADyam parikalpyate Br=-_1,5.53d
   yathākālam adarśanam Brh_1,7.66b	yaTAkAlam adarSanam Br=-_1,7.66b
   yathākālaṃ pradarśitam Brh_1,6.49b	yaTAkAlam pradarSitam Brh_1,6.49b
   yathākṣaram aśeṣataḥ Brh_1,4.4b	yaTAkzaram aSezatas Brh_1,4.4b
   yathā jalaṃ kuplavena Brh_1,26.90a	yaTA jalam kuplavena Brh_1,26.90a
   yathā daṇḍo vidhīyate Brh_1,21.2b	yaTA daNxaH viDIyate Br=-_1,21.2b
   yathā dāyas tathā grahaḥ Brh_1,11.16d	yaTA dAyaH taTA grahaH Br=-_1,11.16d
   yathādṛṣṭārthavādinaḥ Brh_1,8.50d	yaTA-adRzwa-arTa-vAdinaH Br=-_1,8.50d
   yathā dhane tathā rṇe ca Brh_1,26.57a	yaTA Dane taTA rNe ca Br=-_1,26.57a
   yathādhir nāśam āpnuyāt Brh_1,10.41b	yaTA-ADiH nASam ApnuyAt Br=-_1,10.41b
   yathā na narakaṃ vrajet Brh_1,10.116d	yaTA na narakam vrajet Br=-_1,10.116d
   yathānnena bhṛto naraḥ Brh_1,15.8d	yaTA-annena BRtaH naraH Br=-_1,15.8d
   yathā pitṛdhane svāmyaṃ Brh_1,26.133a	yaTA pitR-Dane svAmyam Brh_1,26.133a
   yathā yathā vibhāgāptaṃ Brh_1,26.12c	yaTA yaTA viBAga-Aptam Br=-_1,26.12c
   yathā yamaḥ priyadveṣyau Brh_1,1.110a	yaTA yamaH priya-dvezyO Br=-_1,1.110a
   yathārham etān saṃpūjya Brh_1,1.26a	yaTArham etAn saMpUjya Br=-_1,1.26a
   yathālābhopapannais Brh_1,4.19a	yaTA-lABa-upapannEH Br=-_1,4.19a
   yathāvad anupūrvaśaḥ Brh_1,5.5d	yaTAvat anupUrvaSas Br=-_1,5.5d
   yathāvad vidhicoditam Brh_1,8.53b	yaTAvat viDi-coditam Br=-_1,8.53b
   yathāvidhena dravyeṇa Brh_1,7.7a	yaTAviDena dravyeNa Br=-_1,7.7a
   yathā vyādhir upekṣitā Brh_1,25.3d	yaTA vyADiH upekzitAH Br=-_1,25.3d
   yathāsamayaṃ vā syāt . Brh_1,27.4a	yaTAsamayam vA syAt . Br=-_1,27.4a
   yathā saṃbadhyate tena Brh_1,1.55c	yaTA saMbaDyate tena Br=-_1,1.55c
   yathāṃśena gṛhe gṛhe Brh_1,26.2b	yaTA-aMSena gRhe gRhe Br=-_1,26.2b
   yatheṣtaṃ sthāvareṣv api Brh_1,26.31b	yaTeztam sTAvarezu api Br=-_1,26.31b
   yathaivātmā tathā putraḥ Brh_1,26.129a	yaTA-eva-AtmA taTA putraH Brh_1,26.129a
   yathoktavidhinā deyaṃ Brh_1,8.15a	yaTA-ukta-viDinA deyam Brh_1,8.15a
   yathoktaṃ dāpayed damam Brh_1,23.15b	yaToktam dApayet damam Br=-_1,23.15b
   yathoktaṃ dāpayed damam Brh_1,23.22b	yaToktam dApayet damam Br=-_1,23.22b
   [yathoktena nayantas te Brh_1,19.36a	[yaTA-uktena nayantaH te Br=-_1,19.36a
   yad adhīte yad yajate Brh_1,1.41a	yat aDIte yat yajate Br=-_1,1.41a
   yad arthaṃ dāpitās tasmān Brh_1,10.83c	yat arTam dApitAH tasmAt Br=-_1,10.83c
   yadā kaścit samāgacchet tadā Brh_1,13.15a	yadA kaScid samAgacCet tadA Brh_1,13.15a
   yadā kaścid vipadyate Brh_1,13.18b	yadA kaScid vipadyate Br=-_1,13.18b
   yad āgatya vicārayet Brh_1,12.5b	yat Agatya vicArayet Brh_1,12.5b
   yadā tatra vaṇik kaścit Brh_1,13.14a	yadA tatra vaNij kaScid Brh_1,13.14a
   yadā tv evaṃvidhaḥ pakṣaḥ Brh_1,3.1a	yadA tu evaMviDaH pakzaH Br=-_1,3.1a
   yad ādhiṃ prārthayed ṛṇī Brh_1,10.66b	yat ADim prArTayet RNI Br=-_1,10.66b
   yadā vidveṣiṇas te tu Brh_1,27.10a	yadA vidveziNaH te tu Br=-_1,27.10a
   yad āsām auraso na syāt Brh_1,26.33a	yat AsAm OrasaH na syAt Br=-_1,26.33a
   yadā svagṛham ānīya Brh_1,10.91a	yadA sva-gRham AnIya Br=-_1,10.91a
   yadi kuryāt tu nihnavam Brh_1,3.17b	yadi kuryAt tu nihnavam Br=-_1,3.17b
   yadi tat pratipadyate Brh_1,3.18b	yadi tat pratipadyate Br=-_1,3.18b
   yadi tan nāśam āpnuyāt Brh_1,11.11b	yadi tat nASam ApnuyAt Br=-_1,11.11b
   yadi tasmān na saṃharet Brh_1,11.17b	yadi tasmAt na saMharet Br=-_1,11.17b
   yadi notsahate yatra Brh_1,2.35a	yadi na-utsahate yatra Brh_1,2.35a
   yadi pāpavimukto 'haṃ Brh_1,8.90c	yadi pApa-vimuktaH aham Br=-_1,8.90c
   yadi prakarṣitaṃ tat syāt Brh_1,10.72a	yadi prakarzitam tat syAt Br=-_1,10.72a
   yadi prakarṣitaṃ tat syāt Brh_1,10.126a	yadi prakarzitam tat syAt Br=-_1,10.126a
   yadi labdhaṃ bhavet kiñ cit Brh_1,6.50a	yadi labDam Bavet kiQ cit Br=-_1,6.50a
   yadi vādī nirākāṅkṣaḥ Brh_1,5.27c	yadi vAdI nirAkAFkzaH Br=-_1,5.27c
   yadi saṃjāyate kvacit Brh_1,18.7b	yadi saMjAyate kvacid Br=-_1,18.7b
   yadi saṃśaya eva syāl Brh_1,19.10a	yadi saMSayaH eva syAt Brh_1,19.10a
   yadi sopadravaḥ sutaḥ Brh_1,10.120b	yadi sa-upadravaH sutaH Brh_1,10.120b
   yad ujvalaṃ cirakṛtaṃ Brh_1,6.32a	yat ujvalam cira-kRtam Brh_1,6.32a
   yadṛcchaś cottaraś caiva Brh_1,5.4c	yadRcCaH ca-uttaraH ca-eva Br=-_1,5.4c
   yadṛccha smāritāḥ kulyās Brh_1,5.19c	yadRcCa smAritAH kulyAH Br=-_1,5.19c
   yad gṛhītaṃ kuṭumbārthe Brh_1,10.121c	yat gRhItam kuwumba-arTe Br=-_1,10.121c
   yad dattaṃ śvaśureṇa tu Brh_1,26.104b	yat dattam SvaSureNa tu Br=-_1,26.104b
   yad dravyaṃ tat svakaṃ deyam Brh_1,14.7c	yat dravyam tat svakam deyam Br=-_1,14.7c
   yad bravīti vivakṣitam Brh_1,1.175b	yat bravIti vivakzitam Br=-_1,1.175b
   yad bhaktaḥ so 'bhiyuktaḥ syāt Brh_1,8.66a	yat BaktaH saH aBiyuktaH syAt Br=-_1,8.66a
   yad yat kṣetraṃ pracīyate Brh_1,14.4b	yat yat kzetram pracIyate Brh_1,14.4b
   yad yad gurutaraṃ kāryaṃ Brh_1,3.38c	yat yat gurutaram kAryam Br=-_1,3.38c
   yady anūḍhā bhavet tadā Brh_1,26.128b	yadi anUXA Bavet tadA Br=-_1,26.128b
   yady api svayam ārhitam Brh_1,26.38b	yadi api svayam Arhitam Br=-_1,26.38b
   yady apy eṣām pitā dadyān Brh_1,26.121c	yadi api ezAm pitA dadyAn Brh_1,26.121c
   yady ekajātā bahavaḥ Brh_1,26.24a	yadi eka-jAtAH bahavaH Brh_1,26.24a
   yady ekajātā bahavo Brh_1,26.79a	yadi eka-jAtAH bahavaH Brh_1,26.79a
   yady ekaśāsane grāma- Brh_1,7.32c	yadi ekaSAsane grAma Br=-_1,7.32c
   yad vibhakte dhane kiṃcid Brh_1,26.99a	yat viBakte Dane kiMcid Br=-_1,26.99a
   yad vṛttaṃ vyavahāre tu Brh_1,6.27a	yat vRttam vyavahAre tu Br=-_1,6.27a
