   {MV S_1}	{MV H _1}
   putrānśraiṣṭyaṃ sasaubhāgyaṃ samṛddhiṃ mukhyatāṃ sutān //	putrAn SrEzwyam sa sOBAgyam samRdDim muKya tAm sutAn //
   pravṛttacakratāṃ caiva vāṇijyaprabhṛtīṃstathā /	pravRtta cakra tAm ca eva vANijya praBRtIn= taTA /
   arogitvaṃ yaśo vītaśokatāṃ paramāṃ gatim //	arogi tvam yaSaH vIta Soka tAm paramAm gatim //
   vidyāṃ dhanaṃ bhiṣaksiddhiṃ kupyaṃ gā apyajāvikam /	vidyAm Danam Bizaj sidDim kupyam gAH api ajAvikam /
   aśvānāyuśca vidhivadyaḥ śrāddhaṃ sampradāsyati //	aSvAn AyuH ca viDivat yaH SrAdDam sampradAsyati //
   kṛttikādibharaṇyantaṃ sa kāmānāpnuyādimān /	kRttikA Adi BaraNI antam sa kAmAn ApnuyAt imAn /
   āstikaḥ śraddadhānaśca vyapetamadamatsaraḥ //	AstikaH SraddaDAnaH ca vyapeta mada matsaraH //
   pravṛttacakratā = sarvatrāpratihatājñāśālitā /	pravRtta cakra tA  sarvatra apratihata AjQA SAlitAH /
   viṣṇuḥ  satatamādityāhni śrāddhaṃ kurvannārogyamāpnoti, saubhāgyaṃ cāndre,	vizNuH  satatam Aditya ahni SrAdDam kurvan= Arogyam Apnoti, sOBAgyam cAndre,
   samaravijayaṃ kauje:	samara vijayam kOje:
   sarvānkāmānbaudhe, vidyāmabhīṣṭāṃ jaive, dhanaṃ śaukre, jīvitaṃ śanaiścare	sarvAn kAmAn bODe, vidyAm aBIzwAm jEve, Danam SOkre, jIvitam SanEScare
   iti kāmyaśrāddhakālāḥ /	iti kAmya SrAdDa kAlAH /
   {MV S_179}	{MV H _179}
   atha yugādathaḥ /	aTa yugAt aTaH /
   viṣṇupurāṇe  	vizNupurANe  
   vaiśākhamāsasya sitatṛtīyā navamyasau kārttikaśuklapakṣe /	vESAKa mAsasya sita tRtIyA navamI asO kArttika Sukla pakze /
   nabhasyamāsasya tamisrapakṣe trayodaśī pañcadaśī ca māghe //	naBasyamAsasya tamisra pakze trayodaSI paQcadaSI ca mAGe //
   etā yugādyāḥ kathitāḥ purāṇairanantapuṇyāstithayaścatasraḥ /	etAH yuga AdyAH kaTitAH purANEH ananta puNyAH tiTayaH catasraH /
   pānīyamapyatra tilairvimiśraṃ dadyāt pitṛbhyaḥ prayato manuṣyaḥ //	pAnIyam api atra tilEH vimiSram dadyAt pitRByaH prayataH manuzyaH //
   śrāddhaṃ kṛtaṃ tena samāḥ sahasraṃ rahasyametanmunayo vadanti /	SrAdDam kRtam tena samAH sahasram rahasyam etat munayaH vadanti /
   nāgarakhaṇḍe  	nAgara KaNxe  
   adhunā śṛṇu rājendra!yugādyāḥ pitṛvallabhāḥ /	aDunA SRNu rAja indra! yuga AdyAH pitR vallaBAH /
   yāsāṃ saṅkīrttanenaiva kṣīyate pāpasañcayaḥ //	yAsAm saFkIrttanena eva kzIyate pApa saQcayaH //
   navamī kārttike śuklā tṛtīyā mādhave sitā /	navamI kArttike SuklA tRtIyA mADave sitA /
   amāvāsyā tapasye ca nabhasye ca trayodaśī //	amAvAsyA tapasye ca naBasye ca trayodaSI //
   tretākṛtakalīnāṃ tu dvāparasyādayaḥ smṛtāḥ /	tretA kRta kalInAm tu dvAparasya AdayaH smRtAH /
   snāne dāne jape home viśeṣātpitṛtarpaṇe //	snAne dAne jape home viSezAt pitR tarpaNe //
   kṛtasyākṣayakāriṇyaḥ sukṛtasya mahāphalāḥ /	kRtasya akzaya kAriNyaH sukRtasya mahA PalAH /
   iti /	iti /
   tapasye = māgha ityarthaḥ /	tapasye  mAGaH iti arTaH /
   matsyapurāṇe  	matsyapurANe  
   vaiśākhasya tṛtīyā yā navamī kārttikasya tu /	vESAKasya tRtIyA yA navamI kArttikasya tu /
   pañcadaśyapi māghasya nabhasye tu trayodaśī //	paQcadaSI api mAGasya naBasye tu trayodaSI //
   yugādayaḥ smṛtā hyetā dattasyākṣayakārakāḥ /	yuga AdayaH smRtAH hi etAH dattasya akzaya kArakAH /
   iti /	iti /
   atra nakṣatraviśeṣātprāśastyaviśeṣamāha  	atra nakzatra viSezAt prASasti aviSezam Aha  
   devalaḥ:	devalaH:
   tṛtīyā rohiṇīyuktā vaiśākhasya sitā śubhā /	tRtIyA rohiNI yuktA vESAKasya sitA SuBA /
   maghābhiḥ sahitā yā tu nabhasye tu trayodaśī //	maGABiH sahitA yA tu naBasye tu trayodaSI //
   yugādayaḥ smṛtā hyetā dattasyākṣayakārakāḥ /	yuga AdayaH smRtAH hi etAH dattasya akzaya kArakAH /
   iti /	iti /
   brahmapurāṇe  	brahmapurANe  
   vaiśākhaśuklapakṣasya tṛtīyāyāṃ kṛtaṃ yugam /	vESAKa Sukla pakzasya tRtIyAyAm kRtam yugam /
   ityādyupakramya  	ityAdi upakramya  
   etāścatasrastithayo yugādyā dattaṃ kulaṃ cākṣayamāsu vindyāt /	etAH catasraH tiTayaH yuga AdyAH dattam kulam ca akzayamAsu vindyAt /
   yuge yuge varṣaśatena yacca yugādikāle divasena tadbhavet //	yuge yuge varza Satena yat ca yuga Adi kAle divasena tat Bavet //
   iti /	iti /
   bhaviṣye  	Bavizye  
   vaiśākhasya tṛtīyā yā samā kṛtayugena tu /	vESAKasya tRtIyA yA samA kRta yugena tu /
   navamī kārttike yā tu tretāyugasamā tu sā //	navamI kArttike yA tu tretA yuga samA tu sA //
   māghe pañcadaśī rājan! kalikālasamā tu sā /	mAGe paQcadaSI rAjan! kali kAla samA tu sA /
   etāścatasro rājendra! yugānāṃ prabhavāḥ śubhāḥ //	etAH catasraH rAja indra! yugAnAm praBavAH SuBAH //
   {MV S_180}	{MV H _180}
   yugādayastu kathyante tenaitāḥ pūrvasūribhiḥ /	yuga AdayaH tu kaTyante tena etAH pUrva sUriBiH /
   upavāsastato dānaṃ śrāddhaṃ homo japastathā //	upavAsaH tatas dAnam SrAdDam homaH japaH taTA //
   tadā tu kriyate kiñcitsarvaṃ koṭiguṇaṃ bhavet /	tadA tu kriyate kiQcid sarvam kowi guNam Bavet /
   iti /	iti /
   kṛtayugena sameti sampūrṇakṛtayugadharmaprāptirasyāmekasyāṃ tithau	kRta yugena sameti sampUrNa kRta yuga Darma prAptiH asyAm ekasyAm tiTO
   bhavatītyāha hemādriḥ /	Bavati iti Aha hemAdriH /
   arthavādamātramityanye /	arTavAda mAtram iti anye /
   prabhāsakhaṇḍe  	praBAsa KaNxe  
   yadā candraśca sūryaśca yadā tiṣyabṛhaspatī /	yadA candraH ca sUryaH ca yadA tizya bRhaspatI /
   ekārāśau sameṣyanti pravekṣyati tadā kṛtam //	ekArASO samezyanti pravekzyati tadA kRtam //
   iti /	iti /
   atra ca paurṇamāsī tu māghasyeti bhaviṣyavacanāt,	atra ca pOrNamAsI tu mAGasya iti Bavizya vacanAt ,
   māghe ca paurṇamāsyāṃ tu ghoraṃ kaliyugaṃ tathā /	mAGe ca pOrNamAsyAm tu Goram kali yugam taTA /
   iti brahmavaivarttāt"amāvāsyā ca tapasa"iti nāgarakhaṇḍāt"māghe	iti brahmavEvarttAt"a mAvAsyA ca tapasa"iti nAgara KaNxa at"mAGe
   candrakṣaye 'hani" "darśe tu māghamāsasya"itibrahmapurāṇādivacanāt	candra kzaye ahani" "darSe tu mAGa mAsasya "iti brahma purANa Adi vacanAt 
   māghāmāvāsyāpaurṇamāsyoryugabhedena vyavastheti jñeyam /	mAGa amAvAsyA pOrNamAsyoH yuga Bedena vyavasTA iti jQeyam /
   atra ca  	atra ca  
   śrāddhaṃ kṛtaṃ tena samāḥ sahasraṃ rahasyametanmunayo vadanti /	SrAdDam kRtam tena samAH sahasram rahasyam etat munayaH vadanti /
   iti viṣṇupurāṇāt pitṛkarmaprādhānyāt	iti vizNupurANAt pitR karma prADAnyAt 
   ābdike pitṛkārye ca māsaścandramasaḥ smṛtaḥ /	Abdike pitR kArye ca mAsaH candramasaH smRtaH /
   iti smṛtestasya ca śuklakṛṣṇādibhedena ubhayathopapatteḥ /	iti smRteH tasya ca Sukla kRzNa Adi Bedena uBayaTA upapatteH /
   māghāsite pañcadaśī kadācidupaiti yogaṃ yadi vāruṇena /	mAGa asite paQcadaSI kadAcid upEti yogam yadi vAruNena /
   ṛkṣeṇa kālaḥ sa paraḥ pitṝṇāṃ na hyalpapuṇyairnṛpa! labhyate 'sau //	RkzeNa kAlaH sa paraH pitLNAm na hi alpa puNyEH nRpa! laByate asO //
   itimakarāditye tadasambhavāt kumbhāditye ca sambhavāt asminpakṣe ca	iti makara Aditye tad asamBavAt kumBa Aditye ca samBavAt asmin pakze ca
   pūrṇimāmāvāsyayorapi yugāditvasambhavāt cāndramāsayugādayo grāhyā iti	pUrNimA am AvAsyayoH api yuga Adi tva samBavAt cAndra mAsa yuga AdayaH grAhyAH iti
   pūrvapakṣamupanyasya 	pUrva pakzam upanyasya 
   daśaharāsu notkarṣaḥ caturṣvapi yugādiṣu /	daSa harAsu na utkarzaH caturzu api yuga Adizu /
   upākarma mahāṣaṣṭhyāṃ hyetaduktaṃ vṛṣāditaḥ //	upAkarma mahA zazWyAm hi etat uktam vRzAditaH //
   iti ṛṣyaśṛṅgavacanātsauramāsagatā eva grāhyā iti hemādriḥ /	iti RzyaSRFga vacanAt sOra mAsa gatAH eva grAhyAH iti hemAdriH /
   etāstu pitṛkarmasu aparāhṇavyāpinyo grāhyā daivike pūrvāhnavyāpinyaḥ /	etAH tu pitR karmasu aparAhNa vyApinyaH grAhyA dEvike pUrvAhna vyApinyaH /
   kṛṣṇapakṣe tithirgrāhyā yasyāmastaṃ gato raviḥ /	kRzNa pakze tiTiH grAhyA yasyAmastam gataH raviH /
   śuklapakṣe tithirgrāhyā yasyāmabhyudito raviḥ //	Sukla pakze tiTiH grAhyA yasyAm aByuditaH raviH //
   itismṛteḥ /	iti smRteH /
   śuklakṛṣṇabhedena vyavasthetyanye /	Sukla kRzNa Bedena vyavasTA iti anye /
   ata eva  	atas eva  
   nāradīyabhaviṣyottarayoḥ:	nAradIya Bavizya uttarayoH:
   dve śukle dve tathā kṛṣṇe yugādyāḥ kavayo viduḥ /	dve Sukle dve taTA kRzNe yuga AdyAH kavayaH viduH /
   śukle pūrvāhnike grāhye kṛṣṇe caivāparāhṇike //	Sukle pUrvAhnike grAhye kRzNe ca eva aparAhNike //
   iti /	iti /
   iti yugādayaḥ /	iti yuga AdayaH /
   {MV S_181}	{MV H _181}
   atha yugāntāḥ /	aTa yugAntAH /
   ādityapurāṇe  	AdityapurANe  
   dinarkṣaṃ revatī yatra gamanaṃ caiva rāśiṣu /	dina Rkzam revatI yatra gamanam ca eva rASizu /
   yugāntadivasaṃ tatra tatra dānamanantakam //	yuga anta divasam tatra tatra dAnam anantakam //
   rāśiṣu gamanaṃ saṅkrāntirityarthaḥ /	rASizu gamanam saFkrAntiH iti arTaH /
   grahaṇaṃ viṣuve caiva saumye vā mihiro yadi /	grahaNam vizuve ca eva sOmye vA mihiraH yadi /
   saptamī śuklakṛṣṇā vā yugāntadivasaṃ viduḥ //	saptamI Sukla kRzNA vA yuga anta divasam viduH //
   iti /	iti /
   saumya udagayane yadi śuklā kṛṣṇā vā saptamī grahaṇaviṣuvottarāyaṇopetā	sOmyaH udagayane yadi SuklA kRzNA vA saptamI grahaNa vizuva uttarAyaNa upetA
   sūryavāropetā tadā yugāntadivasa ityarthaḥ /	sUryavAra upetA tadA yugAnta divasaH iti arTaH /
   brahmapurāṇe viśeṣaḥ  	brahmapurANe viSezaH  
   sūryasya siṃhasaṅkrāntyāmantaḥ kṛtayugasya tu /	sUryasya siMha saFkrAntyAm antar kRta yugasya tu /
   atha vṛścikasaṅkrāntyāmantastretāyugasya tu //	aTa vRScika saFkrAntyAm antar tretA yugasya tu //
   jñeyastu vṛṣasaṅkrāntyāṃ dvāparāntastu saṅkhyayā /	jQeyaH tu vRza saFkrAntyAm dvApara antaH tu saFKyayA /
   tathāca kumbhasaṅkrāntyāmantaḥ kaliyusya tu //	taTA ca kumBa saFkrAntyAm antar kaliyusya tu //
   padmapurāṇe  	padmapurANe  
   yugādiṣu yugānteṣu snānadānajapādikam /	yuga Adizu yuga antezu snAna dAna japa Adikam /
   yatkiñcit kriyate tasya yugāntaphalamucyate //	yad kiQcid kriyate tasya yugAnta Palam ucyate //
   brahmapurāṇe 'pi  	brahmapurANe api  
   yugādiṣu yāgānteṣu śrāddhamakṣayamucyate /	yuga Adizu yAga antezu SrAdDam akzayam ucyate /
   iti /	iti /
   iti yugāntāḥ /	iti yugAntAH /
   atha manvantarādayaḥ /	aTa manvantara AdayaH /
   mātsye  	mAtsye  
   aśvayukśuklanavamī dvādaśī kārttike tathā /	aSvayuj Sukla navamI dvAdaSI kArttike taTA /
   tṛtīyā caiva māghasya tathā bhādrapadasya ca //	tRtIyA ca eva mAGasya taTA BAdrapadasya ca //
   phalgunasyāpyamāvāsyā pauṣasyaikādaśī tathā /	Palgunasya api amAvAsyA pOzasya ekAdaSI taTA /
   āṣāḍhasyāpi daśamī tathā māghasya saptamī //	AzAXasya api daSamI taTA mAGasya saptamI //
   śrāvaṇe cāṣṭamī kṛṣṇā tathāṣāḍhe ca pūrṇimā /	SrAvaNe ca azwamI kRzNA taTA AzAXe ca pUrNimA /
   kārttikī phālganī caitrī jyeṣṭhā pañcadaśīṃ sitā //	kArttikI PAlganI cEtrI jyezWA paQcadaSIm sitA //
   manvantarādayastvetā dattasyākṣayakārakāḥ /	manvantara AdayaH tu etAH dattasya akzaya kArakAH /
   āsu toyamapi snātvā tiladarbhavimiśritam //	Asu toyam api snAtvA tila darBa vimiSritam //
   pitṝnuddisya yo dadyātsa gatiṃ paramāṃ labhet /	pitLn uddisya yaH dadyAt sa gatim paramAm laBet /
   snānaṃ dānaṃ japo homaḥ svādhyāyaḥ pitṛtarpaṇam //	snAnam dAnam japaH homaH svADyAyaH pitR tarpaNam //
   sarvamevākṣayaṃ vidyāt kṛtaṃ manvantarādiṣu /	sarvam eva akzayam vidyAt kRtam manvantara Adizu /
   {MV S_182}	{MV H _182}
   amāvāsyātiriktāḥ sarvāḥ śuklā grāhyāḥ /	amAvAsyA atiriktAH sarvAH SuklAH grAhyAH /
   āsāṃ ca toyamapi ityapiśabdānnityatvam /	AsAm ca toyam api iti apiSabdAt nitya tvam /
   śūlapāṇistvetasya nirmūlatvātkāmyatvamevetyāha /	SUlapANiH tu etasya nirmUla tvAt kAmya tvam eva iti Aha /
   hemādrau purāṇāntare  	hema adrO purANa antare  
   āśvine daśamī śuklā śrāvaṇī kārttikī tathā /	ASvine daSamI SuklA SrAvaNI kArttikI taTA /
   manvantarādayo hyetā dattasyākṣayakārakāḥ //	manvantara AdayaH hi etAH dattasya akzaya kArakAH //
   iti /	iti /
   iti manvantarādayaḥ /	iti manvantara AdayaH /
   atha kalpādayaḥ /	aTa kalpa AdayaH /
   nāgarakhaṇḍe  	nAgara KaNxe  
   atha kalpādayo rājan! kathyante tithayaḥ śumāḥ /	aTa kalpa AdayaH rAjan! kaTyante tiTayaH SumAH /
   yāsu śrāddhe kṛte tṛptiḥ pitṝṇāmakṣayā bhavet //	yAsu SrAdDe kRte tRptiH pitLNAm akzayA Bavet //
   caitraśuklapratipadi śvetakalpaḥ purābhavat /	cEtra Sukla pratipadi SvetakalpaH purA Bavat /
   tasya śuklatrayodaśyāmudānaḥ samajāyata /	tasya Sukla trayodaSyAm udAnaH samajAyata /
   kalpastu nārasiṃhākhyaḥ kṛṣṇāyāṃ pratipadyabhūt //	kalpaH tu nArasiMha AKyaH kRzNAyAm pratipadi aBUt //
   atha kṛṣṇatrayodaśyāṃ gaurīkalpo 'pyakalpata /	aTa kRzNa trayodaSyAm gOrI kalpaH api akalpataH /
   vaiśākhasya tṛtīyāyāṃ śuklāyāṃ nīlalohitaḥ //	vESAKasya tRtIyAyAm SuklAyAm nIlalohitaH //
   caturdaśyāṃ tu śuklāyāṃ pravṛtto garuḍābhidhaḥ /	caturdaSyAm tu SuklAyAm pravRttaH garuxa aBiDaH /
   samānastu dvitīyāyāṃ kṛṣṇāyāmudapadyata //	samAnaH tu dvitIyAyAm kRzNAyAm udapadyate //
   māheśvaraṃ caturdaśyāṃ kṛṣṇapakṣe samāgamat /	mAheSvaram caturdaSyAm kRzNa pakze samAgamat /
   jyeṣṭhaśuklatṛtīyāyāṃ vāmadevasya sambhavaḥ //	jyezWa Sukla tRtIyAyAm vAmadevasya samBavaH //
   paurṇamāsyāṃ tu tasyaiva kaurmaḥ pravavṛte nṛpa! /	pOrNamAsyAm tu tasya eva kOrmaH pravavRte nRpa! /
   kṛṣṇapakṣe tṛtīyāyāmāgneyaḥ samajāyata //	kRzNa pakze tRtIyAyAm AgneyaH samajAyata //
   pitṛkalpastvamāvāsyāṃ tasyaivāśritya paprathe /	pitR kalpaH tu amAvAsyAm tasya eva ASritya papraTe /
   śucau śuklacaturthyāṃ tu kalpo rāthantaro 'bhavat //	SucO Sukla caturTyAm tu kalpaH rATantaraH aBavat //
   tasyāṃ tasyaiva kṛṣṇāyāṃ somakalpaḥ samāpatat /	tasyAm tasya eva kRzNAyAm soma kalpaH samApatat /
   śrāvaṇe śuklapañcamyāṃ rauravaḥ samavartata //	SrAvaNe Sukla paQcamyAm rOravaH samavartata //
   tasyaiva kṛṣṇapañcamyāṃ mānavaḥ samapadyata /	tasya eva kRzNa paQcamyAm mAnavaH samapadyata /
   ṣaṣṭhīṃ prauṣṭhapade śukle prāpya prāṇābhidho 'bhavat //	zazWIm prOzWapade Sukle prApya prANa aBiDaH aBavat //
   sitetarāyāṃ ṣaṣṭhyāṃ tu tasyāsītpuṣkarāhvayaḥ /	sitetarAyAm zazWyAm tu tasya AsIt puzkara AhvayaH /
   bṛhatkalpastu saptamyāṃ nabhasaḥ pratyapadyata //	bRhat kalpaH tu saptamyAm naBasaH pratyapadyata //
   ṣaṣṭhyāṃ prauṣṭhapade 'ṣṭamyāṃ śuklāyāmāśvinasya tu /	zazWyAm prOzWapade azwamyAm SuklAyAm ASvinasya tu /
   kṛṣṇāyāmapi vaikuṇṭhaḥ praviveśa viśāṃpate! //	kRzNAyAm api vEkuNWaH praviveSa viSAMpate! //
   kārttikasya sitāṣṭasyāṃ kalpaḥ kandarpasaṃjñakaḥ /	kArttikasya sita azwasyAm kalpaH kandarpa saMjQakaH /
   asitāyāṃ punaryajñe lakṣmīkalpasya kalpanā //	asitAyAm punar yajQe lakzmI kalpasya kalpanA //
   {MV S_183}	{MV H _183}
   mārgaśuklanavamyāṃ ca kalpaḥ sadyo 'nvapadyata /	mArga Sukla navamyAm ca kalpaH sadyas anvapadyata /
   asitāyāṃ ca sāvitrīkalpaḥ prārambhamabhyagāt //	asitAyAm ca sAvitrI kalpaH prAramBam aByagAt //
   puṣye daśamyāṃ śuklāyāmīśānaḥ prādurāsa ha /	puzye daSamyAm SuklAyAm ISAnaH prAdurAsa ha /
   asitāyāmaghorasya kalpasyopakramo 'bhavat //	asitAyAm aGorasya kalpasya upakramaH aBavat //
   ekādaśyāṃ tu śuklāyāṃ māghe vyānaḥ prajagmivān /	ekAdaSyAm tu SuklAyAm mAGe vyAnaH prajagmivAn /
   tasyāmeva tamisrāyāṃ varāhaḥ prāpa bhūpate! //	tasyAm eva tamisrAyAm varAhaH prApa BUpate! //
   sārasvatastu dvādaśyāṃ śuklāyāṃ phālgunasya tu /	sArasvataH tu dvAdaSyAm SuklAyAm PAlgunasya tu /
   kṛṣṇāyāmapi vairājo virarāja mahāmate! //	kRzNAyAm api vErAjaH virarAja mahAmate! //
   iti triṃśadamī kalpāstithayaḥ parameṣṭhinaḥ /	iti triMSat amI kalpAH tiTayaH paramezWinaH /
   ārambhatithayasteṣāmuktāḥ puṇyatamā mayā //	AramBa tiTayaH tezAm uktAH puNyatamA mayA //
   tāsu śrāddhe kṛte puṇyamākalpasthāyi kalpate /	tAsu SrAdDe kRte puNyam Akalpa sTAyi kalpate /
   matsyapurāṇe tu anyāstithayaḥ kalpāditvenoktāḥ /	matsyapurANe tu anyAH tiTayaH kalpa Adi tvena uktAH /
   yathā:	yaTA:
   brahmaṇo hi dinādiryaḥ kalpasyādiḥ prakīrttitaḥ /	brahmaNaH hi dina AdiryaH kalpasya AdiH prakIrttitaH /
   vaiśākhasya tṛtīyāyāṃ kṛṣṇāyāṃ phālgunasya ca //	vESAKasya tRtIyAyAm kRzNAyAm PAlgunasya ca //
   pañcamī caitramāsasya tasyaivāntyā tathāparā /	paQcamI cEtra mAsasya tasya eva antyA taTA aparAH /
   śuklā trayodaśī māghe kārttikasya tu saptamau //	SuklA trayodaSI mAGe kArttikasya tu saptamO //
   navamī mārgaśīrṣasya spataivaitāḥ smarāmyaham /	navamI mArgaSIrzasya spata eva etAH smarAmi aham /
   kalpānāmādayo hyetā dattasyākṣayakārakāḥ //	kalpAnAm AdayaH hi etAH dattasya akzaya kArakAH //
   tasyaivāntyeti /	tasya eva antyA iti /
   tasya caitrasya antyā amāvāsyetyarthaḥ /	tasya cEtrasya antyAH amAvAsyA iti arTaH /
   vaiśākhaphālgunayoḥ kṛṣṇatṛtīyā caitrapañcamī tadamāvāsyeti catasraḥ	vESAKa PAlgunayoH kRzNa tRtIyA cEtrapaQcamI tat amAvAsyA iti catasraH
   kṛṣṇāḥ /	kRzNAH /
   māghatrayodaśīkārttikadaśamīmārgaśīrṣanavamīti tisraḥ śuklāḥ /	mAGa trayodaSIkArttika daSamI mArgaSIrza navami iti tisraH SuklAH /
   evaṃ sapta /	evam sapta /
   saptaiva smarāmītyukternānyasmṛtakalpādiparisaṅkhayā /	sapta eva smarAmi iti ukteH na anya smRta kalpa Adi parisaFKayA /
   prāśastyadyotanārtho vā evaśabdaḥ /	prASastyadyotana arTaH vE eva SabdaH /
   iti kalpādayaḥ /	iti kalpa AdayaH /
   atha vyatīpātaḥ /	aTa vyatIpAtaH /
   vārāhapurāṇe  	vArAhapurANe  
   darśe śataguṇaṃ dānaṃ tacchataghnaṃ dinakṣaye /	darSe SataguNam dAnam tat SataGnam dinakzaye /
   śataghnaṃ tattu saṅkāntyāṃ śataghnaṃ viṣuve tataḥ //	SataGnam tat tu saFkAntyAm SataGnam vizuve tatas //
   yugādau tacchataguṇamayane tacchatāhatam /	yuga AdO tat SataguNa m ayane tat SatAhatam /
   somagrahe tacchataghnaṃ tacchatagnaṃ ravigrahe //	soma grahe tat Sata Gnam tat Satagnam ravi grahe //
   asaṅkhyeyaṃ vyatīpāte dānaṃ vedavido viduḥ /	asaFKyA iyam vyatIpAte dAnam veda vidaH viduH /
   {MV S_184}	{MV H _184}
   ghnaṃ = guṇitam /	Gnam  guNitam /
   viṣkumbhādiyogeṣu saptadaśo yogo vyatīpāta iti /	vizkumBa Adi yogezu saptadaSaH yogaH vyatIpAtaH iti /
   asya ghaṭikāsu viśeṣo jyotiḥśāstre  	asya GawikAsu viSezaH jyotiHSAstre  
   viṃśatirdviyutotpattau bhramaṇe caikaviṃśatiḥ /	viMSatiH dvi yuta utpattO BramaNe ca ekaviMSatiH /
   tapane daśanāḍyastu patane saptanāḍikāḥ //	tapane daSa nAxyaH tu patane sapta nAxikAH //
   utpattyādayo bhāgāḥ /	utpatti AdayaH BAgAH /
   dviyutā viṃśatiḥ dvāviṃśatirityarthaḥ /	dvi yutA viMSatiH dvAviMSatiH iti arTaH /
   tatra phalaṃ narasiṃhapurāṇe  	tatra Palam narasiMhapurANe  
   phalaṃ lakṣaghnamutpattau bhramaṇe koṭirucyate /	Palam lakza Gnam utpattO BramaNe kowiH ucyate /
   tapane daśakoṭyastu patane dattamakṣayam //	tapane daSa kowyaH tu patane dattam akzayam //
   hemādrī yājñavavalkyaḥ  	hemAdrI yAjQavavalkyaH  
   utpattau lakṣaguṇaṃ koṭiguṇaṃ bhramaṇanāḍikāyāṃ tu /	utpattO lakza guNam kowi guNam BramaNa nAxikAyAm tu /
   arvudaguṇitaṃ patane japadānādyakṣayaṃ patite //	aru uda guNitam patane japa dAna Adi a kzayam patite //
   vṛddhamanunā anyathoktam  	vRdDa manunA anyaTA uktam  
   śravaṇāsvidhaniṣṭhārdrā nāgadaivatamastake /	SravaNa asviDanizWA ArdrA nAga dEvata mastake /
   yadyamā ravivāreṇa vyatīpātaḥ sa ucyate //	yat yamA ravi vAreNa vyatIpAtaH saH ucyate //
   nāgadaivatam = aśleṣā /	nAga dEvatam  aSlezA /
   mastakam = ādicaraṇaḥ /	mastakam  Adi caraNaH /
   etannakṣatrānyatamanakṣatraprathamacaraṇayuktā amāvāsyā ravivāravatī	etat nakzatra anyatama nakzatra praTama caraNa yuktA amAvAsyA ravi vAravatI
   vyatīpāta iti /	vyatIpAtaH iti /
   kecittu mastakaṃ mṛgaśira ityāhuḥ /	kecid tu mastakam mRgaSiraH iti AhuH /
   sūryācandramasoḥ krāntisāmyaṃ jyotiḥśāstragamyaṃ vyatīpāta iti kalpataruḥ	sUryAcandramasoH krAnti sAmyam jyotiHSAstra gamyam vyatIpAtaH iti kalpataruH
   bhṛguḥ  	BRguH  
   krāntisāmyasamayaḥ samīritaḥ sūryaparvasadṛśo munīśvaraiḥ /	krAnti sAmya samayaH samIritaH sUrya parva sadRSaH muni ISvarEH /
   tatra dattahutajāpapūjanaṃ koṭikoṭiguṇamāha bhārgavaḥ //	tatra datta hutaja apa pUjanam kowi kowi guNam Aha BArgavaH //
   iti /	iti /
   hemādrau smatyantare  	hema adrO smati antare  
   pañcānanasthau gurubhūmiputrau meṣe raviḥ syādyadi śuklapakṣe /	paQcAnana sTO guru BUmiputrO meze raviH syAt yadi Sukla pakze /
   pāśābhidhānā karabheṇa yuktā tithirvyatīpāta itīha yogaḥ //	pASa aBiDAnA kara BeNa yuktA tiTiH vyatIpAtaH iti iha yogaH //
   asmin hi gobhūmihiraṇyavāsasāṃ dānena sarvaṃ ca vihāya pāpam /	asmin hi go BUmi hiraNya vAsasAm dAnena sarvam ca vihAya pApam /
   suratvamindratvamanāmayatvaṃ martyādhipatvaṃ labhate manuṣyaḥ //	sura tvam indra tvam anAmaya tvam martya aDipa tvam laBate manuzyaH //
   pañcānanasthau = siṃhasthau /	paQcAnana sTO  siMha sTO /
