   bhikṣuṇī vinaya	BikzuNI  vinaya
   eṣā evārthotpattiḥ | bhagavāṃ cchrāvastīyam viharati | tā dāni bhikṣuṇīyo	ezA eva arTa utpattiH | BagavAm cCrAvasti iyam viharati | tAH dAni BikzuNIyaH 
   śākiyakanyāyo ca kolitakanyāyo ca piṇḍāya carantīyo | paryupāsitaṃ	SAkiyaka nyAyaH ca kolitaka nyAyaH ca piNxAya carantIyaH | paryupAsitam
   bhojanaṃ labhanti | paryupāsitaṃ odanam | paryupāsitaṃ sūpaṃ |	Bojanam laBanti | paryupAsitam odanam | paryupAsitam sUpam |
   paryupāsitaṃ śākaṃ | paryupāsitaṃ kulmāṣaṃ | tāyo bhuktvā bhuktvā vamanti	paryupAsitam SAkam | paryupAsitam kulmAzam | tAyaH BuktvA BuktvA vamanti
   | etaṃ prakaraṇaṃ bhikṣuṇīyo mahāprajāpatīye gautamīye ārocayeṃsuḥ |	| etam prakaraNam BikzuNIyaH mahA prajApatIye gOtamIye ArocayeMsuH |
   peyālaṃ | yāvat labhyaṃ bhagavan bhikṣuṇīya tūṣṇīṃ kṛtvā bhoktuṃ |	peyAlam | yAvat laByam Bagavan BikzuNIya tUzNIm kRtvA Boktum |
   bhagavān āha labhyaṃ | atha khalu bhagavān mahāprajāpatīṃ gautamīm	BagavAn Aha laByam | aTa Kalu BagavAn mahA prajApatIm gOtamIm
   āmantrayati | yāvat paryavadātāni bhaviṣyanti |	Amantrayati | yAvat paryavadAtAni Bavizyanti |
   yā puna bhikṣuṇī parāhṛtaṃ khādanīyaṃ vā bhojanīyam vā puno puno pacitvā	yA puna BikzuNI parAhRtam KAdanIyam vA BojanIyam vA punas puno pacitvA
   vā pacāpetvā vā bhṛjjitvā vā bhṛjjāpetvā vā kaṭhitvā vā kaṭhāpetvā vā	vA pacA petvA vA BRjjitvA vA BRt jA petvA vA kaWitvA vA kaWA petvA vA
   agilānā khādaye vā bhuñjeya vā pācattikaṃ ||	agilAnA Ka Adaye vA BuQjeya vA pAcattikam ||
   yā puna bhikṣuṇīti | peyālaṃ | parāhṛtan ti grāmato vā ānītaṃ nagarato vā	yA puna BikzuNI iti | peyAlam | parAhRtan ti grAmataH vA AnItam nagarataH vA
   ānītaṃ | khādanīyan ti khādanīyaṃ bhojanīyan ti bhojanīyaṃ | pacitvā ti	AnItam | KAdanIyan ti KAdanIyam BojanIyan ti BojanIyam | pacitvA ti
   svayaṃ | pacāpayitvā ti parehi | bhṛjjitvā ti svayaṃ | bhṛjjāpayitvā ti	svayam | pacApayitvA ti parehi | BRjjitvA ti svayam | BRt jApayitvA ti
   parehi | kaṭhitvā ti svayaṃ | kaṭhāpayitvā ti parehi | agilānā ti	parehi | kaWitvA ti svayam | kaWApayitvA ti parehi | agilAnA ti
   pratyuddhṛtaṃ bhagavatā padaṃ anāpattir gilānāye | kin dāni atra gailānyam	pratyudDRtam BagavatA padam anApattiH gilAnAye | kin dAni atra gElA anyam
   abhipretaṃ | jarādurbalā vā bhoti vyādhidurbalā vā bhuktvā vā vamati |	aBipretam | jarA durbalAH vA Boti vyADi durbalAH vA BuktvA vA vamati |
   aphāsuṃ vā bhoti idam atra gailānyam abhipretaṃ | sā eṣā bhikṣuṇī	aPAsum vA Boti idam atra gElAnyam aBipretam | sA ezA BikzuNI
   rasagṛdhyā parāhṛtaṃ piṇḍapātaṃ puno puno paceya vā pacāpeya vā pācāttikam	rasa gRDyA parAhRtam piNxapAtam punas punas paceya vA pacApeya vA pAcAttikam
   āsādayati | atha dāni śītalam bhavati labhyā uṣṇīkartuṃ | na dāni	AsAdayati | aTa dAni SItalam Bavati laByAH uzNIkartum | na dAni
   thālikāya vā piṭharikāya vā | atha khalu tāmrapātreṇa vā kupātreṇa vā	TAlikAya vA piWarikAya vA | aTa Kalu tAmra pAtreNa vA ku pAtreNa vA
   kāṃsikāya vā uṣṇīkartavyaṃ | bhikṣur api svayaṃ pacati vinayātikramam	kAMsikAya vA uzNIkartavyam | BikzuH api svayam pacati vinaya atikramam
   āsādayati | atha dāni kalpiyakāreṇa pacāpeti anāpattiḥ | atha dāni śītalo	AsAdayati | aTa dAni kalpiyakAreNa pacA apa iti anApattiH | aTa dAni SItalaH 
   bhavati piṇḍapāto uṣṇīkaroti anāpattiḥ | tena bhagavān āha |	Bavati piNxapAtaH uzNIkaroti anApattiH | tena BagavAn Aha |
   yā puna bhikṣuṇī parāhṛtaṃ khādanīyam vā bhojanīyam va puno pacitvā vā	yA puna BikzuNI parAhRtam KAdanIyam vA BojanIyam va punas pacitvA vA
   pacāpetva vā bhṛjjitvā vā bhṛjjāpayitvā vā kaṭhitvā vā kaṭhāpayitvā vā	pacApetva vA BRjjitvA vA BRt jApayitvA vA kaWitvA vA kaWApayitvA vA
   agilānā khādeya vā bhuñjeya vā pācattikaṃ | hrā ||	agilAnA KAdeya vA BuQjeya vA pAcattikam | hrA ||
   pācattikadharma 79	pAcattika DarmaH 79
   dakavijanena	daka vijanena
   193. bhagavān śrāvastīyam viharati | gartodaro ca gartodaramātā ca	193. BagavAn SrAvastIyam viharati | gartodaraH ca garta udara mAtA ca
   gartodarapitā ca agārasyānagāriyaṃ pravrajitāḥ | gartodarapitā ca	garta udara pitA ca agArasya anagAriyam pravrajitAH | garta udara pitA ca
   gartodaramātā ca śākyehi pravrajitā gartodara tirthakeṣu | gatodarapitā	garta udara mAtA ca SAkya ihi pravrajitA garta udara tirTakezu | gata udara pitA
   bhuñjati gartodaramātā vījayantī agrato tiṣṭhati pānīyamallakaṃ dhāreti |	BuQjati garta udara mAtA vIjayantI agratas tizWati pAnIyamallakam DArA iti |
   so dāni tāye kānicit kānicit pūrvacaritāni jalpati | yāni tāye amanaāpāni	saH dAni tAye kAnicid kAnicid pUrva caritAni jalpati | yAni tAye amanaApAni
   | tāya tasya pānīyamallakaṃ mastake āpiṭṭitaṃ | vījanadaṇḍena ca mastake	| tAya tasya pAnIya mallakam mastake Apiwwitam | vIjana daNxena ca mastake
   āhato | akhallamahallaakuśalaaprakṛtijñaḥ | adyāpi tvaṃ ajalpitavyāni	AhataH | aKalla mahallaa kuSalaa prakRti jQaH | adya api tvam ajalpitavyAni
   jalpasi | sā bhikṣuṇīhi dṛṣṭā | tā dān āhaṃsuḥ | mā ārye evaṃ karohi |	jalpasi | sA BikzuNIhi dRzwAH | tAH dAn AhaMsuH | mA Arye evam karohi |
   agrapariṣā eṣā na labhyā evaṃ kartuṃ | sā dān āha | ayaṃ khalu akhalla	agra parizAH ezA na laByAH evam kartum | sA dAn Aha | ayam Kalu aKalla
   akuśalo aprakṛtijño adyāpi yāni tāni ajalpitavyāni jalpati | etaṃ	akuSalaH aprakRti jQaH adya api yAni tAni ajalpitavyAni jalpati | etam
   prakaraṇaṃ bhikṣuṇīyo mahāprajāpatīye gautamīye ārocayeṃsuḥ | yāvad	prakaraNam BikzuNIyaH mahA prajApatIye gOtamIye ArocayeMsuH | yAvat 
   bhagavān āha | duṣkṛtaṃ te gartodaramāte | naiṣa dharmo naiṣa vinayo |	BagavAn Aha | duzkRtam te garta udara mAte | na eza DarmaH na eza vinayaH |
   evaṃ ca dāni bhikṣuṃ bhuñjantaṃ dakavījanena upasthihasi | tena hi na	evam ca dAni Bikzum BuQjantam daka vIjanena upasTihasi | tena hi na
   kṣamati dakavījanena upasthihituṃ | yāvad bhagavān āha |	kzamati daka vIjanena upasTihitum | yAvat BagavAn Aha |
   yā puna bhikṣuṇī bhikṣuṃ bhuñjantaṃ dakavījanena upasthiheya pācattikaṃ |	yA puna BikzuNI Bikzum BuQjantam daka vIjanena upasTiheya pAcattikam |
   yā puna bhikṣuṇīti upasampannā | peyālaṃ | bhikṣun ti upasampannaṃ | pe |	yA puna BikzuNI iti upasampannA | peyAlam | Bikzun ti upasampannam | pe |
   bhuñjantaṃ ti pañcajātakam vā pañcajātakasaṃsṛṣtam vā yad vā kiñcit	BuQjantam ti paQcajAtakam vA paQca jAtaka saMsRztam vA yat vA kiQcid 
   khādyaṃ bhojyaṃ | dakavījanena upasthiheyā ti pānīyamallakaṃ dhārayet |	KAdyam Bojyam | dakavIjanena upasTiheyA ti pAnIyamallakam DArayet |
   vījanavātam vā dadyāt pācattikaṃ | yāvatprajñaptiḥ | sā eṣā bhikṣuṇī	vIjana vAtam vA dadyAt pAcattikam | yAvat prajQaptiH | sA ezA BikzuNI
   udakamallakan dhārayati nīvījanaṃ vinayātikramam āsādayati | vījayati na	udaka mallakan DArayati nIvI janam vinaya atikramam AsAdayati | vIjayati na
   udakamallakan dhāreti vinayātikramam āsādayati | ubhayaṃ karoti pācattikaṃ	udaka mallakan DArA iti vinaya atikramam AsAdayati | uBayam karoti pAcattikam
   | nobhayaṃ anāpattiḥ | sā eṣā āpattiḥ ekasya bhikṣusya ekabhikṣuṇīye |	| na uBayam anApattiH | sA ezA ApattiH ekasya Bikzusya eka BikzuNIye |
   atha dāni saṃbahulā bhikṣū bhavanti anāpattiḥ | atha dāni bhikṣuṇīye pitā	aTa dAni saMbahulAH BikzU Bavanti anApattiH | aTa dAni BikzuNIye pitA
   vā bhrātā vā bhikṣur bhavati kiñcāpi vījayaty anāpattiḥ | tena bhagavān	vA BrAtA vA BikzuH Bavati kiQca api vIjayati anApattiH | tena BagavAn
   āha |	Aha |
   yā puna bhikṣuṇī bhikṣuṃ bhuñjantaṃ dakavījanena upasthiheya pācattikaṃ ||	yA puna BikzuNI Bikzum BuQjantam daka vIjanena upasTiheya pAcattikam ||
   pācattikadharma 80	pAcattika DarmaH 80
   laśunañ ca khādati	laSunan ca KAdati
   194. bhagavān rājagṛhe viharati | meghīyo nāma laśunavāṇijako | tena	194. BagavAn rAjagRhe viharati | meGIyaH nAma laSuna vANijakaH | tena
   bhikṣuṇīsaṃgho laśunena upanimantrito | tā dāni ṣaḍvargiṇīyo khādanti pi	BikzuNI saMGaH laSunena upanimantritaH | tAH dAni zaxvargiNIyaH KAdanti pi
   mardenti pi ujjhenti pi viśrāṇenti pi ādāya pi gacchanti | so dāni kadācit	mardenti pi ujJenti pi viSrANenti pi AdAya pi gacCanti | saH dAni kadAcid 
   vāṭaṃ pratyavekṣituṅ gataḥ | tena dāni so dṛṣṭo vāṭo vidhvasto | so dān	vAwam pratyavekzi tuF gataH | tena dAni saH dRzwaH vAwaH viDvastaH | saH dAn
   āha | kenāyaṃ vāṭo vidhvasto | āha tvayā āryamiśrikā upanimantritāḥ |	Aha | kena ayam vAwaH viDvastaH | Aha tvayA Arya miSrikAH upanimantritAH |
   laśunena tāyo dāni khādanti mardenti pi ujjhenti pi viśrāṇenti pi ādāya pi	laSunena tAyaH dAni KAdanti mardenti pi ujJenti pi viSrANenti pi AdAya pi
   gacchanti | tasya dāni aprasādo jāto | āha | yadi khādanti kim mardenti |	gacCanti | tasya dAni aprasAdaH jAtaH | Aha | yadi KAdanti kim mardenti |
   peyālaṃ | etaṃ prakaraṇaṃ bhikṣuṇīyo mahāprajāpatīye gautamīye ārocayeṃsuḥ	peyAlam | etam prakaraNam BikzuNIyaH mahA prajApatIye gOtamIye ArocayeMsuH
   | yāvad bhagavān āha |	| yAvat BagavAn Aha |
   yā puna bhikṣuṇī laśunaṃ khādeya pācattikaṃ || laśunan ti laśunaṃ nāma	yA puna BikzuNI laSunam KAdeya pAcattikam || laSunan ti laSunam nAma
   jātimaṃ sevimaṃ nāgaraṃ kaccharuhaṃ pārvateyaṃ brahmadeyaṃ āvarantakaṃ	jAtimam sevimam nAgaram kacCaruham pArvatA iyam brahma deyam Avarantakam
   māgadhakaṃ kosalakaṃ | yaṃ cā punar anya pi kiñcil laśunaṃ sarvaṃ laśunaṃ	mAgaDakam kosalakam | yam cA punar anye pi kiQcid laSunam sarvam laSunam
   na kṣamati | āman na kṣamati pakvan na kṣamati | yakṛn na kṣamati | kāpi	na kzamati | Aman na kzamati pakvan na kzamati | yakRt na kzamati | kA api
   kāpi na kṣamati abhyantaraparibhogāya |	kA api na kzamati aByantara pariBogAya |
   atha dāni bhikṣuṇīya gaṇḍam vā piṭakam vā kṣatam vā upahatam vā bhavati	aTa dAni BikzuNIya gaNxam vA piwakam vA kzatam vA upahatam vA Bavati
   labhyan taṃ mrakṣituṃ | mrakṣayitvā na kṣamati abhyāgame pradeśe sthātuṃ |	laByan tam mrakzitum | mrakzayitvA na kzamati aByAgame pradeSe sTAtum |
   atha khu pratigupte pradeśe sthātavyaṃ yāvad varttā bhavati | +++++	aTa Ku pratigupte pradeSe sTAtavyam yAvat varttA Bavati | +++++
   dhoviya niṣkramitavyaṃ | tena bhagavān āha |	Doviya nizkramitavyam | tena BagavAn Aha |
   yā puna bhikṣuṇī laśunaṃ khādeya pācattikaṃ || 1 ||	yA puna BikzuNI laSunam KAdeya pAcattikam || 1 ||
   uddānaṃ |	uddAnam |
   saṃkramaṇaṃ [71] śramaṇacīvaram [72] |	saMkramaNam [71] SramaNa cIvaram [72] |
   antarvāsaṃ [73] | saṃkakṣikā [74] |	antar vAsam [73] | saMkakzikAH [74] |
   dakaśāṭikā [75] kaṭhina [76] |	daka SAwikAH [75] kaWinaH [76] |
   cīvarapārihārikaṃ [77] |	cIvara pArihArikam [77] |
   pacati [78] | dakavījanena [79] |	pacati [78] | daka vIjanena [79] |
   laśunañ ca khādati [80] |	laSunan ca KAdati [80] |
   aṣṭamo vargaḥ ||	azwamaH vargaH ||
   pācattikadharma 81	pAcattika DarmaH 81
   deti	deti
   195. bhagavān śrāvastīyaṃ viharati | rāṣṭrapālāya bhikṣuṇīya bhaginī	195. BagavAn SrAvastI iyam viharati | rAzwrapAlAya BikzuNIya BaginI
   kālagatā | sā dāni tāsāṃ bhāgineyakānāṃ nānāprakāraṃ khajjaṃ bhojjaṃ	kAlagatA | sA dAni tAsAm BAgineyakAnAm nAnA prakAram Kajjam Bojjam
   bhakṣayitvā deti | jano dāni ojjhāyati | paśyatha bhaṇe śramaṇikā	BakzayitvA deti | janaH dAni ojJAyati | paSyaTa BaNe SramaNikA
   śraddhādeyaṃ gṛhiṇān dadāti | etam prakaraṇaṃ bhikṣuṇīyo mahāprajāpatīye	SradDA deyam gRhiNAn dadAti | etam prakaraNam BikzuNIyaH mahA prajApatIye
   gautamīye ārocayeṃsuḥ | yāvac chabdāpayatha rāṣtrapālāṃ | sā dāni	gOtamIye ArocayeMsuH | yAvat Sabda apayaTa rAztrapAlAm | sA dAni
   śabdāpitā | tad eva sarvaṃ bhagavān vistareṇa pṛcchati | āha | ām bhagavan	SabdApitA | tat eva sarvam BagavAn vistareNa pRcCati | Aha | Am Bagavan
   | bhagavān āha | tena hi na kṣamati āgārikasya svahastaṃ khādanīyaṃ	| BagavAn Aha | tena hi na kzamati AgArikasya sva hastam KAdanIyam
   bhojanīyaṃ dātuṃ |	BojanIyam dAtum |
   eṣā evārthotpattiḥ | gartodaro ca gartodarapitā ca gartodaramātā ca	ezA eva arTa utpattiH | gartodaraH ca garta udara pitA ca garta udara mAtA ca
   agārasyānagāriyaṃ pravrajitā | gartodarapitā gartodaramātā ca śākyehi	agArasya anagAriyam pravrajitA | garta udara pitA garta udara mAtA ca SAkya ihi
   pravrajitāḥ | gartodara tīrthikehi pravrajitaḥ | yāvat sa gartodaramātuḥ	pravrajitAH | garta udara tIrTikehi pravrajitaH | yAvat sa garta udara mAtuH
   sakāśam upasaṃkrānto tāya gartodaramātāya tasya nānāprakārasya khajjakasya	sakASam upasaMkrAntaH tAya garta udara mAtAya tasya nAnA prakArasya Kajjakasya
   pūraṃ pātraṃ dinnaṃ | so dāni taṃ gṛhya pānāgāraṃ gatvā ātmanā ca khādati	pUram pAtram dinnam | saH dAni tam gRhya pAna AgAram gatvA AtmanA ca KAdati
   pārāṃś ca chandeti | te dān āhaṃsuḥ | kahiṃ tvayā imaṃ labdhaṃ | so dān	pArAn ca Canda iti | te dAn AhaMsuH | kahim tvayA imam labDam | saH dAn
   āha | mā śabdaṃ | śākiyāyinānāṃ śramaṇīyo dakṣiṇīyāyo | tāsāṃ pi vayaṃ	Aha | mA Sabdam | SAki yAyinAnAm SramaNIyaH dakziNIyAyaH | tAsAm pi vayam
   dakṣiṇīyāyo | tāsāṃ pi vayaṃ dakṣiṇīyāḥ | jano dāni ojjhāyati | bhikṣuṇīhi	dakziNIyAyaH | tAsAm pi vayam dakziNIyAH | janaH dAni ojJAyati | BikzuNIhi
   śrutaṃ | etaṃ prakaraṇaṃ | peyālaṃ | yāvad bhagavān āha | duṣkṛtan te	Srutam | etam prakaraNam | peyAlam | yAvat BagavAn Aha | duzkRtan te
   gartodaramāte | tena hi na kṣamati āgārikasya vā parivrājakasya vā	garta udara mAte | tena hi na kzamati AgArikasya vA parivrAjakasya vA
   khādanīyam vā bhojanīyam vā dātuṃ | atha khalu bhagavān | peyālaṃ | yāvat	KAdanIyam vA BojanIyam vA dAtum | aTa Kalu BagavAn | peyAlam | yAvat 
   yā puna bhikṣuṇī āgārikasya vā parivrājakasya vā svahastaṃ khādanīyam vā	yA puna BikzuNI AgArikasya vA parivrAjakasya vA sva hastam KAdanIyam vA
   bhojanīyam vā dadyāt pācattikaṃ | yā puna bhikṣuṇīti upasampannā |	BojanIyam vA dadyAt pAcattikam | yA puna BikzuNI iti upasampannA |
   āgārikasyeti gṛhiṇaḥ | parivrājakasyeti gautamajaṭilakaparyantasya |	AgArikasya iti gRhiNaH | parivrAjakasya iti gOtama jawilaka paryantasya |
   svahastan ti hastena hastaṃ | bhājanena vā bhājanaṃ | khādanīyan ti yaṃ	sva hastan ti hastena hastam | BAjanena vA BAjanam | KAdanIyan ti yam
   khādanīyaṃ | bhojanīyan ti yaṃ bhojanīyaṃ | dadyāt pācattikaṃ | eṣa dāni	KAdanIyam | BojanIyan ti yam BojanIyam | dadyAt pAcattikam | eza dAni
   bhikṣuṇīya kocid āgacchati | sālohito vā bhrātā vā | yadi tāvad asya	BikzuNIya kocid AgacCati | sAlohitaH vA BrAtA vA | yadi tAvat asya
   kiñcid dātuṃ bhavati na kṣamati svahastaṃ dātuṃ | kalpiyakārikāya dātavyaṃ	kiQcid dAtum Bavati na kzamati sva hastam dAtum | kalpiya kArikAya dAtavyam
   | atha dāni kalpiyakārī na bhavati vaktavyaṃ | ato svayaṃ gṛhṇīya khādatha	| aTa dAni kalpiya kArI na Bavati vaktavyam | atas svayam gRhNIya KAt aTa
   | atha dāni paśyati | rasagṛddhī ya eṣo sarvaṃ khādatīti | yattakaṃ	| aTa dAni paSyati | rasa gRdDI yaH ezaH sarvam KAdati iti | yattakam
   parityaktaṃ tattakaṃ pratigrāhayitvā śeṣaṃ | vaktavyo | gopehīti | tato	parityaktam tat takam pratigrAhayitvA Sezam | vaktavyaH | gopehi iti | tatas 
   bhūmīyan nikṣipiya vaktavyo | gṛhṇīya khādatha | atha dāni pravrajitako	BUmIyan nikzipiya vaktavyaH | gRhNIya KAt aTa | aTa dAni pravrajitakaH 
   āgacchati na kṣamati svahastaṃ khādanīyam vā bhojanīyam vā dātuṃ |	AgacCati na kzamati sva hastam KAdanIyam vA BojanIyam vA dAtum |
   kalpiyakārīya dātavyaṃ | atha dāni kalpiyakārī na bhavati ato yeva gṛhṇīya	kalpiya kArIya dAtavyam | aTa dAni kalpiya kArI na Bavati atas yeva gRhNIya
   khādāhīti | atha dān āha | sālohite kim asmākaṃ caṇḍālehi viya pravartasi	KAdAhi iti | aTa dAn Aha | sAlohite kim asmAkam caNxAla ihi viya pravartasi
   | vaktavyaṃ | tathā yūyaṃ durākhyāte pravacane pravrajitāḥ | atha dāni	| vaktavyam | taTA yUyam durAKyAte pravacane pravrajitAH | aTa dAni
   grāmāntaraṃ gacchati labhyan tena kalpiyakṛtyaṃ kārāpayituṃ | ato ātmā ca	grAma antaram gacCati laByan tena kalpiya kRtyam kArApayitum | atas AtmA ca
   khādatha asmākañ ca pratigrāhatha | atha dāni jānāti | rasagṛdhrā iti	KAt aTa asmAkan ca pratigrAhaTa | aTa dAni jAnAti | rasa gRDrAH iti
   śeṣaṃ pūrvavat | tena bhagavān āha |	Sezam pUrvavat | tena BagavAn Aha |
   yā puna bhikṣuṇī āgārikasya vā parivrājakasya vā svahastaṃ khādanīyam vā	yA puna BikzuNI AgArikasya vA parivrAjakasya vA sva hastam KAdanIyam vA
   bhojanīyam vā dadyāt pācattikaṃ ||	BojanIyam vA dadyAt pAcattikam ||
   pācattikadharma82, 83	pAcattika Darma 82, 83
   cikitasati	cikita sati
   196. bhagavān kauśāmbīyaṃ viharati | chandakamātā bhikṣuṇī rājño	196. BagavAn kOSAmbIyam viharati | Candaka mAtA BikzuNI rAjQaH 
   'nataḥpuraṃ praviśati | kuśalā mūlabhaiṣajyānāṃ patrabhaiṣajyānāṃ	anataHpuram praviSati | kuSalAH mUlaBEzajyAnAm patra BEzajyAnAm
   phalabhaiṣajyānāṃ | sā dāni rājakulehi amātyakulehi āpaṇikakulehi	Pala BEzajyAnAm | sA dAni rAja kulehi amAtya kulehi ApaNika kula ihi
   śreṣṭhikulehi strīṇāṃ bastiṃ sthapeti | mūḍhagrabhāṃ cikitsati | añjanaṃ	SrezWi kulehi strINAm bastim sTapA iti | mUXa graBAm cikitsati | aQjanam
   pratyañjanaṃ vamanaṃ virecanaṃ svedakarma nastakarma śastrakarma	pratyaQjanam vamanam virecanam sveda karma nasta karma Sastra karma
   bhaiṣajyām anuprayacchati | sā upasarpaṇaṃ bhavati khajjaṃ bhojjaṃ labhati	BEzajyAm anuprayacCati | sA upasarpaNam Bavati Kajjam Bojjam laBati
   | tā dāni bhikṣuṇīyo ojjhāyanti | neyaṃ pravrajyā vaidyikā iyaṃ | etaṃ	| tAH dAni BikzuNIyaH ojJAyanti | na iyam pravrajyA vEdyikAH iyam | etam
   prakaraṇaṃ bhikṣuṇīyo mahāprajāpatīye gautamīye ārocayeṃsuḥ | yāvad	prakaraNam BikzuNIyaH mahA prajApatIye gOtamIye ArocayeMsuH | yAvat 
   bhagavān āha | śabdāpayatha chandakamātāṃ | sā dāni śadbāpitā | bhagavān	BagavAn Aha | Sabda apayaTa Candaka mAtAm | sA dAni Sat bApitAH | BagavAn
   āha | satyaṃ chandakamāte cikitsitavidyayā jīvikāṃ kalpayasi | ām bhagavan	Aha | satyam Candaka mAte cikitsita vidyayA jIvikAm kalpayasi | Am Bagavan
   | bhagavān āha | duṣkṛtaṃ chandakamāte | tena hi na kṣamati	| BagavAn Aha | duzkRtam Candaka mAte | tena hi na kzamati
   cikitsitavidyayā jīvikāṃ kalpayituṃ | atha khalu bhagavān | peyālaṃ |	cikitsita vidyayA jIvikAm kalpayitum | aTa Kalu BagavAn | peyAlam |
   yāvat |	yAvat |
   yā puna bhikṣuṇī cikitsitavidyayā jīvikāṃ kalpayet pācattikaṃ |	yA puna BikzuNI cikitsita vidyayA jIvikAm kalpayet pAcattikam |
   cikitsitavidyā nāma ahividyā viṣavidyā yāvad grahacaritaṃ | tena jīvikāṃ	cikitsita vidyA nAma ahi vidyA viza vidyA yAvat graha caritam | tena jIvikAm
   kalpayati pācattikaṃ | yāvat prajñaptiḥ | na kṣamati bhikṣuṇīya cikitsituṃ	kalpayati pAcattikam | yAvat prajQaptiH | na kzamati BikzuNIya cikitsitum
   | labhyam upadiśituṃ | bhikṣur api cikitsitavidyayā jīvikāṃ kalpayati	| laByam upadiSitum | BikzuH api cikitsita vidyayA jIvikAm kalpayati
   vinayātikramam āsādayati | tena bhagavān āha |	vinaya atikramam AsAdayati | tena BagavAn Aha |
   yā puna bhikṣuṇī cikitsitavidyayā jīvikāṃ kalpayet pācattikaṃ ||	yA puna BikzuNI cikitsita vidyayA jIvikAm kalpayet pAcattikam ||
   pācattikadharma 83	pAcattika DarmaH 83
   vācayati	vAcayati
   197. bhagavān kauśāmbīyaṃ viharati | bhagavatā śikṣāpadaṃ prajñaptaṃ | na	197. BagavAn kOSAmbIyam viharati | BagavatA SikzA padam prajQaptam | na
   kṣamati cikitsitun ti | chandakamātā na bhūyo cikitsati | jano dāni	kzamati cikitsitun ti | Candaka mAtA na BUyas cikitsati | janaH dAni
   āgacchati | sādhv ārye cikitsāhi | sā dān āha | na kṣamati cikitsituṃ	AgacCati | sADu Arye cikitsA hi | sA dAn Aha | na kzamati cikitsitum
   bhagavatā śikṣāpadaṃ prajñaptaṃ | api tu eṣa detha mama kiñcid vāciṣyaṃ |	BagavatA SikzA padam prajQaptam | api tu eza deTa mama kiQcid vAcizyam |
