   akarot pṛthivīruhān api Ragh_8.70c	akarot pRTivIruhAn api RaG_8.70c
   bhittvā hṛdayam āśugaḥ Ragh_12.91b	BittvA hRdayam ASu gaH RaG_12.91b
   bhinnapallavapuṭo vanānilaḥ Ragh_9.68d	Binna pallava puwaH vana anilaH RaG_9.68d
   bhinnapravāhā yamunātaraṅgaiḥ Ragh_13.57d	Binna pravAhAH yamunA taraFgEH Rau _13.57d
   bhinnādrigairikataṭā iva dantakoṣāḥ Ragh_5.72d	Binna adri gErika tawAH iva dantakozAH Rau _5.72d
   bhinnān dvidhā paśya samudraphenān Ragh_13.11b	BinnAn dviDA paSya samudraPenAn RaG_13.11b
   bhinno 'ṣṭhadā viprasasāra vaṃśaḥ Ragh_16.3d	BinnaH azWa dAH viprasasAra vaMSaH RaG_16.3d
   bhiṣagbhir āptair atha garbhabharmaṇi Ragh_3.12b	BizagBiH AptEH aTa garBa BarmaNi RaG_3.12b
   bhīgtenevopapāditaḥ Ragh_15.18d	BIgtena iva upapAditaH Rau _15.18d
   bhītāṃ priyām etya vaco babhāṣe Ragh_7.66d	BItAm priyAm etya vacaH baBAze Rau _7.66d
   bhīto durvāsasaḥ śāpād Ragh_15.94c	BItaH durvAsasaH SApAt RaG_15.94c
   bhīmakāntair nṛpaguṇaiḥ Ragh_1.16a	BIma kAntEH nRpa guNEH RaG_1.16a
   bhīmaḥ plavagarakṣasām Ragh_12.72b	BImaH plavaga rakzasAm RaG_12.72b
   bhīṣaṇāṃ tām ayojayat Ragh_12.40d	BIzaNAm tAm ayojayat RaG_12.40d
   bhuktā yady api rājabhiḥ Ragh_4.7b	BuktA yadi api rAjaBiH RaG_4.7b
   bhujamūrdhorubāhulyād Ragh_12.88a	Buja mUrDa Uru bAhulyAt RaG_12.88a
   bhujalatāṃ jaḍatām abalājanaḥ Ragh_9.46d	Buja latAm jaxa tAm abalA janaH Rau _9.46d
   bhujavijitavimānaratnādhirūḍhaḥ pratasthe purīm Ragh_12.104d	Buja vijita vimAna ratna aDirUXaH pratasTe purIm Rau _12.104d
   bhujasamāhṛtadigvasunā kṛtāḥ Ragh_9.16b	Buja samAhRta diS vasunA kRtAH RaG_9.16b
   bhujaṃganāśāya samādade 'stram Ragh_16.77d	BujaMga nASAya samAdade astram Rau _16.77d
   bhujaṃgapihitadvāraṃ Ragh_1.80c	BujaMga pihita dvAram RaG_1.80c
   bhujaṃgamānāṃ vasatiṃ praviṣṭam Ragh_6.77b	BujaMgamAnAm vasatim pravizwam RaG_6.77b
   bhujārjitānāṃ ca digantasaṃpadām Ragh_3.10b	Buja arjitAnAm ca diS anta saMpadAm RaG_3.10b
   bhujena rakṣāparigheṇa bhūmer Ragh_16.84c	Bujena rakzA pariGeNa BUmeH RaG_16.84c
   bhuje bhuaṃgendrasamānasāre Ragh_2.74c	Buje BuaMga indra samAna sAre RaG_2.74c
   bhuje śacīpattraviśeṣakāṅkite Ragh_3.55c	Buje SacI pattra viSeza ka aFkite RaG_3.55c
   bhuvam aṃśāv iva dharmayor gatau Ragh_8.16d	Buvam aMSO iva DarmayoH gatO RaG_8.16d
   bhuvas talam iva vyoma Ragh_4.29c	BuvaH talam iva vyomaH RaG_4.29c
   bhuvaṃ koṣṇena kuṇśodhnī Ragh_1.84a	Buvam kozNena kuNSoDnI RaG_1.84a
   bhuvaḥ prayuktodvahanakriyāyāḥ Ragh_13.8b	BuvaH prayukta udvahana kriyAyAH RaG_13.8b
   bhuvi dharmas tripād iva Ragh_15.96d	Buvi DarmaH tripAd iva RaG_15.96d
   bhūtānāṃ mahatām ṣaṣṭham Ragh_17.78c	BUtAnAm mahatAm zazWam RaG_17.78c
   bhūtānukampā tava ced iyaṃ gaur Ragh_2.48a	BUta anukampA tava ced iyam gOH RaG_2.48a
   bhūtārthavyāhṛtiḥ sā hi Ragh_10.34c	BUta arTa vyAhRtiH sA hi RaG_10.34c
   bhūtiḥ smarārer iva kaṇṭhabhāsā Ragh_13.57Ad	BUtiH smara areH iva kaNWa BAsA Rau _13.57Ad
   bhūtvā śaraṇyā śaraṇārtham anyāṃ Ragh_14.64c	BUtvA SaraNyA SaraNa arTam anyAm RaG_14.64c
   bhūpatī varuṇavāsavopamau Ragh_11.53b	BUpatI varuNa vAsava upamO RaG_11.53b
   bhūpater api tayoḥ pravatsyator Ragh_11.4c	BUpateH api tayoH pravatsyatoH RaG_11.4c
   bhūyas tato raghupatir vilasatpatākam Ragh_13.76a	BUyas tatas raGupatiH vilasat patAkam RaG_13.76a
   bhūyas tapovyayo mā bhūd Ragh_15.37a	BUyas tapaH vyayaH mA BUt RaG_15.37a
   bhūyaḥ sa bhūteśvarapārśvavartī Ragh_2.46c	BUyas sa BUteSvara pArSva vartI RaG_2.46c
   bhūyaḥ sa bhūmer dhuram āsasañja Ragh_2.74d	BUyas sa BUmeH Duram AsasaQje Rau _2.74d
   bhūyiṣṭham āsīd upameyakāntir Ragh_6.4c	BUyizWam AsIt upameya kAntiH RaG_6.4c
   bhūyiṣṭhasaṃbhāvyaphaleṣv amīṣu Ragh_13.46b	BUyizWa saMBAvya Palezu amIzu RaG_13.46b
   bhūrjeṣu marmarībhūtāḥ Ragh_4.73a	BUrjezu marmarIBUtAH RaG_4.73a
   bhṛgvādīn anugṛhṇantaṃ Ragh_10.14c	BRgu AdIn anugRhNantam RaG_10.14c
   bhṛtyabhāvi duhituḥ parigrahād Ragh_11.49c	BRtya BAvi duhituH parigrahAt RaG_11.49c
   bhṛtyān vijñāpanāphalaiḥ Ragh_17.40d	BRtyAn vijQApanA PalEH Rau _17.40d
   bhejire navadivākarātapa Ragh_19.8c	Bejire nava divAkara AtapaH RaG_19.8c
   bheje dharmam anāturaḥ Ragh_1.21b	Beje Darmam anAturaH RaG_1.21b
   bheje nīrājanāvidhīn Ragh_17.12d	Beje nIrAjanA viDIn RaG_17.12d
   bheje paitṛkam āsanam Ragh_17.28b	Beje pEtRkam Asanam RaG_17.28b
   bheje bhinnakaṭair nāgair Ragh_4.83c	Beje Binna kawEH nAgEH RaG_4.83c
   bheje 'bhisārikāvṛttiṃ Ragh_17.69c	Beje aBisArikA vRttim RaG_17.69c
   bheje bhujocchinnaripur niṣaṇṇām Ragh_2.23d	Beje Buja ucCinna ripuH nizaNNAm RaG_2.23d
   bheje rathān daśarathaprabhavānuśiṣṭaḥ Ragh_13.75b	Beje raTAn daSaraTa praBava anuSizwaH RaG_13.75b
   bheje sāmrājyadīkṣitam Ragh_4.5d	Beje sAmrAjya dIkzitam RaG_4.5d
   bhetsyaty ajaḥ kumbham ayomukhena Ragh_5.55b	Betsyati ajaH kumBam ayaH muKena RaG_5.55b
   bhoktāram ūrjasvalam ātmadeham Ragh_2.50b	BoktAram Urjasvalam Atma deham RaG_2.50b
   bhoktum eva bhujanirjitadviṣā Ragh_19.3c	Boktum eva Buja nirjita dvizAH RaG_19.3c
   bhogaveṣṭita iva cyuto maṇiḥ Ragh_11.59d	Boga vezwitaH iva cyutaH maNiH Rau _11.59d
   bhogibhogādanāsīnaṃ Ragh_10.7a	Bogi BogAt anAsInam RaG_10.7a
   bhogiveṣṭanamārgeṣu Ragh_4.48a	Bogi vezwana mArgezu RaG_4.48a
   bhogīva mantrauṣadhiruddhavīryaḥ Ragh_2.32d	BogI iva mantra ozaDi rudDa vIryaH Rau _2.32d
   bhogeṣu saubhāgyaviśeṣabhogyam Ragh_18.19b	Bogezu sOBAgya viSeza Bogyam RaG_18.19b
   bhojena dūto raghave visṛṣṭaḥ Ragh_5.39d	Bojena dUtaH raGave visRzwaH Rau _5.39d
   bhojopanītaṃ ca dukūlayugmaṃ Ragh_7.18c	Boja upanItam ca dukUla yugmam RaG_7.18c
   bhojyāṃ prati vyarthamanorathatvād Ragh_7.2c	BojyAm prati vyarTa manoraTa tvAt RaG_7.2c
   bhaumo muneḥ sthānaparigraho 'yam Ragh_13.36d	BOmaH muneH sTAna parigrahaH ayam Rau _13.36d
   bhramarasaṃkramitekṣaṇavṛttayaḥ Ragh_9.52b	Bramara saMkramita IkzaNa vRttayaH RaG_9.52b
   bhramarī vāraṇasyeva Ragh_10.58c	BramarI vAraNasya iva RaG_10.58c
   bhramaraiḥ kusumānusāribhiḥ Ragh_8.35a	BramarEH kusuma anusAriBiH RaG_8.35a
   bhraṣṭaṃ mayā nūpuram ekam urvyām Ragh_13.23b	Brazwam mayA nUpuram ekam urvyAm RaG_13.23b
   bhrājiṣṇunā sātiśayaṃ virejuḥ Ragh_16.69b	BrAjizNunA sa atiSayam virejuH RaG_16.69b
   bhrātarāv abhṛthāpluto muniḥ Ragh_11.31b	BrAtarO aBRTa AplutaH muniH RaG_11.31b
   bhrātuḥ sodaryam ātmānam Ragh_15.26c	BrAtuH sodaryam AtmAnam RaG_15.26c
   bhrātrā naivāviśat purīm Ragh_12.18b	BrAtrA na eva aviSat purIm RaG_12.18b
   bhrātrā yad itthaṃ paravān asi tvam Ragh_14.59d	BrAtrA yat itTam paravAn asi tvam RaG_14.59d
   bhrūbheda mātreṇa padān maghonaḥ Ragh_13.36a	BrU Beda mAtreNa padAn maGonaH RaG_13.36a
   bhrūvibhaṅgakuṭilaṃ ca vīkṣitam Ragh_19.17b	BrU viBaFga kuwilam ca vIkzitam RaG_19.17b
   makhāṃśabhājāṃ prathamo manīṣibhis Ragh_3.44a	maKa aMSa BAjAm praTamaH manIziBiH RaG_3.44a
   magadhakosalakekayaśasināṃ Ragh_9.22c	magaDa kosala keka yaSasinAm RaG_9.22c
   magnaṃ payasy ābharaṇottamaṃ te Ragh_16.76b	magnam payasi ABaraNa uttamam te RaG_16.76b
   maghavataḥ pratipadya mahārathaḥ Ragh_9.20b	maGavataH pratipadya mahA raTaH RaG_9.20b
   maṅgalāyatanaṃ mahat Ragh_17.29b	maFgala Ayatanam mahat RaG_17.29b
   mañjary udārāśuśubhe 'rjunasya Ragh_16.51b	maQjarI udAra ASu SuBe arjunasya RaG_16.51b
   maṇidyotitavigraham Ragh_10.7d	maNi dyotita vigraham Rau _10.7d
   maṇiparśanimīlitaḥ Ragh_12.65b	maNi parSa nimIlitaH RaG_12.65b
   maṇivyājena paryastāḥ Ragh_10.76c	maNi vyAjena paryastAH Rau _10.76c
   maṇiṃ visṛṣṭaṃ yamunaukasā yaḥ Ragh_6.49b	maNim visRzwam yamunA okasA yaH RaG_6.49b
   maṇau mahānīla iti prabhāvād Ragh_18.42a	maNO mahAnIlaH iti praBAvAt RaG_18.42a
   maṇau vajrasamutkīrṇe Ragh_1.4c	maNO vajra samutkIrNe RaG_1.4c
   mataṅgaśāpād avalepamūlād Ragh_5.53a	mataFga SApAt avalepa mUlAt RaG_5.53a
   matkukṣer adya bhojanam Ragh_15.18b	mad kukzeH adya Bojanam RaG_15.18b
   mattavāraṇayor iva Ragh_12.93d	matta vAraNayoH iva RaG_12.93d
   mattaḥ sadācāraśuceḥ kalaṅkaḥ Ragh_14.37c	mattaH sat AcAra SuceH kalaFkaH RaG_14.37c
   mattebharadanotkīrṇa Ragh_4.59a	matta iBa radana utkIrNaH RaG_4.59a
   matparaṃ durlabham matvā Ragh_1.67a	mad param durlaBam matvA RaG_1.67a
   matprasūtim anārādhya Ragh_1.77c	mad prasUtim anArADya RaG_1.77c
   matvā bahvantaṃ prabhuśabdaśeṣam Ragh_5.22b	matvA bahu antam praBu Sabda Sezam RaG_5.22b
   matvā samārabdhanavoṭajāni Ragh_13.22b	matvA samArabDa nava uwa jAni RaG_13.22b
   matsetunā phenilam amburāśim Ragh_13.2b	mad setunA Penilam amburASim RaG_13.2b
   matsyadhvajā vāyuvaśād vidīrṇair Ragh_7.40a	matsya DvajAH vAyu vaSAt vidIrNEH RaG_7.40a
   mathurāvidiśe sūnvor Ragh_15.36c	maTurA vidiSe sUnvoH Rau _15.36c
   mathurāṃ madhurākṛtiḥ Ragh_15.28d	maTurAm maDura AkRtiH Rau _15.28d
   madakalodakalolavihaṃgamāḥ Ragh_9.37d	mada kalodaka lola vihaMgamAH Rau _9.37d
   madagandhibhir āhatāḥ Ragh_4.23b	mada ganDiBiH AhatAH RaG_4.23b
   madanisyandalekhayoḥ Ragh_10.58d	mada nisyanda leKayoH Rau _10.58d
   madapaṭu ninadadbhir bodhito rājahaṃsaiḥ Ragh_5.75c	mada pawu ninadadBiH boDitaH rAjahaMsEH RaG_5.75c
   madayitā dayitāśravaṇārpitaḥ Ragh_9.31d	madayitA dayitA SravaNa arpitaH RaG_9.31d
   madarāgavilopibhiḥ Ragh_10.12b	mada rAga vilopiBiH RaG_10.12b
   madirākṣi madānanārpitaṃ Ragh_8.68a	madirA akzi mad a Anana arpitam RaG_8.68a
   madotkaṭe recitapuṣpavṛkṣā Ragh_6.7c	mada utkawe recita puzpa vRkzAH RaG_6.7c
   madodagrāḥ kakudmantaḥ Ragh_4.22a	mada udagrAH kakudmantaH RaG_4.22a
   madodgārtasugandhiṣu Ragh_4.57b	mada udga Arta suganDizu RaG_4.57b
   madhukarair akaron madhulolupair Ragh_9.33c	maDukarEH akarot maDu lolupEH RaG_9.33c
   madhugandhātiśayena vīrudhām Ragh_8.36b	maDu ganDa atiSayena vIruDAm RaG_8.36b
   madhu pītvā rasavat kathaṃ nu me Ragh_8.68b	maDu pItvA rasavat kaTam nu me RaG_8.68b
   madhubhir vijayaśramam Ragh_4.65b	maDuBiH vijaya Sramam RaG_4.65b
   madhulihāṃ madhudānaviśāradāḥ Ragh_9.32c	maDu lihAm maDu dAna viSAradAH RaG_9.32c
   madhye lalāṭaṃtapasaptasaptiḥ Ragh_13.41b	maDye lalA waMtapa sapta saptiH RaG_13.41b
   madhye sphurantaṃ pratimāśaśāṅkam Ragh_7.64d	maDye sPurantam pratimASa SAFkam Rau _7.64d
   manasas tad upasthite jvare Ragh_8.84c	manasaH tat upasTite jvare RaG_8.84c
   manasāpi na vipriyaṃ mayā Ragh_8.52a	manasA api na vipriyam mayA RaG_8.52a
   manasā hṛdayāśrayam Ragh_10.24b	manasA hRdaya ASrayam RaG_10.24b
   manasijatarupuṣpam rāgabandhapravālam Ragh_18.52b	manasija taru puzpam rAga banDa pravAlam RaG_18.52b
   manaḥ parastrīvimukhapravṛtti Ragh_16.8d	manaH para strI vimuKa pravRtti Rau _16.8d
   manīṣiṇe jaiminaye 'rpitātmā Ragh_18.33b	manIziNe jEminaye arpita AtmA RaG_18.33b
   manīṣitaṃ dyaur api yena dugdhā Ragh_5.33d	manIzitam dyOH api yena dugDA Rau _5.33d
   manuprabhṛtibhir mānyair Ragh_4.7a	manu praBRtiBiH mAnyEH RaG_4.7a
   manuṣyadevaḥ punar apy uvāca Ragh_2.52b	manuzya devaH punar api uvAca RaG_2.52b
   manuṣyavācā manuvaṃśaketum Ragh_2.33b	manuzya vAcA manu vaMSa ketum RaG_2.33b
   manuṣyavāhyaṃ caturaśrayānam Ragh_6.10a	manuzya vAhyam caturaSrayAnam RaG_6.10a
   manogataṃ guruṃ ṛṣiśāpam udvahan Ragh_9.82Bc	manogatam gurum Rzi SApam udvahan RaG_9.82Bc
   mano jahrur nidāghānte Ragh_10.84c	manaH jahruH nidAGa ante RaG_10.84c
   manojña eva pramadāmukhānām Ragh_16.67c	manojQaH eva pramadA muKAnAm Rau _16.67c
   manojñagandhaṃ sahakārabhaṅgaṃ Ragh_16.52a	manojQa ganDam sahakAra BaFgam RaG_16.52a
   mano nātiviśaśvāsa Ragh_12.101c	manaH na ati viSaSvAsaH RaG_12.101c
   mano niyogakriyayotsukaṃ me Ragh_5.11b	manaH niyoga kriyayA utsukam me RaG_5.11b
   mano babandhānyarasān vilaṅghya sā Ragh_3.4d	manaH babanDa ani arasAn vilaFGya sA Rau _3.4d
   mano babhūvendumatīnirāśam Ragh_6.2d	manaH baBUva indu matI nirASam Rau _6.2d
   mano'bhirāmāḥ śṛṇvantau Ragh_1.39a	manaH aBirAmAH SRNvantO RaG_1.39a
   manorathaṃ kiṃcid ivodayonmukham Ragh_3.2Ab	manoraTam kiMcid iva udaya unmuKam RaG_3.2Ab
   manor vaṃśaś ciraṃ tasminn Ragh_10.2*a	manoH vaMSaH ciram tasmin RaG_10.2*a
   mano hi janmāntarasaṃgatijñam Ragh_7.15d	manaH hi janma antara saMgati jQam Rau _7.15d
   mantraḥ pratidinaṃ tasya Ragh_17.50a	mantraH pratidinam tasya RaG_17.50a
   mantrivṛddāḥ samādadhuḥ Ragh_17.8b	mantri vRt dAH samAdaDuH RaG_17.8b
   mandaṃ vivāti himasaṃbhṛtaśītabhāvaḥ Ragh_5.69*a	mandam vivAti hima saMBRta SIta BAvaH RaG_5.69*a
   mandaḥ kaviyaśaḥ prārthī Ragh_1.3a	mandaH kavi yaSaH prArTI RaG_1.3a
   mandākinī bhāti nagopakaṇṭhe Ragh_13.48c	mandAkinI BAti naga upakaNWe RaG_13.48c
   mandāraśūnyān alakāṃś cakāra Ragh_6.23d	mandAra SUnyAn alakAn cakAraH RaG_6.23d
   mandotkaṇṭaḥ kṛtās tena Ragh_4.9a	manda utkaNwaH kRtAH tena RaG_4.9a
   mandradhvanityājitayāmatūryaḥ Ragh_6.56b	mandra Dvani tyAjitayAma tUryaH RaG_6.56b
   manmathendhanam abhūd vadhūratam Ragh_19.27d	manmaTa inDanam aBUt vaDU ratam Rau _19.27d
   manyate sma pibatāṃ vilocanaiḥ Ragh_11.36c	manyate sma pibatAm vilocanEH RaG_11.36c
   mama sarve viṣayās tadāśrayāḥ Ragh_8.69d	mama sarve vizayAH tad ASrayAH Rau _8.69d
   mamaiva janmāntarapātakānāṃ Ragh_14.62c	mama eva janma antara pAtakAnAm RaG_14.62c
   mamaiva yeneha turaṃgam īkṣase Ragh_3.40b	mama eva yena iha turaMgam Ikzase RaG_3.40b
   mamaiva yeneha turaṃgam īkṣase Ragh_3.40*b	mama eva yena iha turaMgam Ikzase RaG_3.40*b
   mamlatur na maṇikuṭṭimocitau Ragh_11.9c	mamlatuH na maNi kuwwimA ucitO RaG_11.9c
   mayā kathaṃcid ghanagarjitāni Ragh_13.28d	mayA kaTaMcid Gana garjitAni RaG_13.28d
   mayā tasya durātmanaḥ Ragh_10.43b	mayA tasya durAtmanaH RaG_10.43b
   mayā priye saspṛham īkṣitāni Ragh_13.31d	mayA priye sa spRham IkzitAni RaG_13.31d
   mayā maharṣir mṛdutām agacchat Ragh_5.54b	mayA mahA RziH mRdu tAm agacCat RaG_5.54b
   mayi tasya suvṛtta vartate Ragh_8.77a	mayi tasya su vRtta vartate RaG_8.77a
   mayi tvayā na pratiśedharaukṣyam Ragh_5.58d	mayi tvayA na pratiSeDa rOkzyam Rau _5.58d
   mayūrakekābhir ivābhravṛndam Ragh_7.69d	mayUra kekABiH iva aBra vRndam Rau _7.69d
   mayūrapṛṣṭhāśrayiṇā guhena Ragh_6.4d	mayUra pRzWa ASrayiNA guhena Rau _6.4d
   maraṇaṃ prakṛtiḥ śarīriṇāṃ Ragh_8.87a	maraNam prakRtiH SarIriNAm RaG_8.87a
   maricodbhrāntahārītā Ragh_4.46c	marica udBrAnta hArItAH RaG_4.46c
   marutas taṃ siṣevire Ragh_4.73d	marutaH tam sizevire Rau _4.73d
   marutaḥ pañca śarīragocarān Ragh_8.19d	marutaH paQca SarIra gocarAn RaG_8.19d
   marutāṃ paśyatāṃ tasya Ragh_12.101a	marutAm paSyatAm tasya RaG_12.101a
   marutāṃ pālayiteva nandane Ragh_8.32d	marutAm pAlayitA iva nandane Rau _8.32d
   marutprayuktāś ca marutsakhābhaṃ Ragh_2.10a	marut prayuktAH ca marut saKa ABam RaG_2.10a
   marutsakhasyeva balāhakasya Ragh_5.27c	marut saKasya iva balAhakasya RaG_5.27c
   marudbhir ānartitanaktamāle Ragh_5.42b	marudBiH Anartita nakta mAle RaG_5.42b
   marupṛṣṭhāny udambhāṃsi Ragh_4.31a	maru pRzWAni udamBAMsi RaG_4.31a
   martyeṣv āsthāparāṅmukhaḥ Ragh_10.44d	martyezu AsTA parAFmuKaH RaG_10.44d
   marmarair agurudhūpagandhibhir Ragh_19.41a	marmarEH aguru DUpa ganDiBiH RaG_19.41a
   malayamārutakampitapallavā Ragh_9.29b	malaya mAruta kampita pallavAH RaG_9.29b
   malayādrer upatyakāḥ Ragh_4.46d	malaya adreH upatyakAH Rau _4.46d
   malīmasām ādadate na paddhatim Ragh_3.46d	malImasAm Adadate na padDatim RaG_3.46d
   maharṣer mahiṣīsakhaḥ Ragh_1.47d	mahA RzeH mahizI saKaH Rau _1.47d
   maharṣer mahiṣīsakhaḥ Ragh_1.48d	mahA RzeH mahizI saKaH Rau _1.48d
   mahākulīnena mahīva gurvī Ragh_6.63b	mahA kulInena mahI iva gurvI RaG_6.63b
   mahākratūnāṃ mahanīyaśāsanaḥ Ragh_3.69b	mahA kratUnAm mahanIya SAsanaH RaG_3.69b
   mahākrator viśvajitaḥ prayoktā Ragh_6.76b	mahA kratoH viSvajitaH prayoktA RaG_6.76b
   mahān hi yatnas tava devadārau Ragh_2.56b	mahAn hi yatnaH tava devadArO RaG_2.56b
   mahābhūtasamādhinā Ragh_1.29b	mahABUta samADinA RaG_1.29b
   mahārṇavaparikṣepaṃ Ragh_12.66c	mahA arNava parikzepam RaG_12.66c
   mahārṇavam ivaurāgniḥ Ragh_4.66*c	mahA arNavam iva Ora agniH RaG_4.66*c
   mahārhasiṃhāsanasaṃsthito 'sau Ragh_7.18a	mahArha siMhAsana saMsTitaH asO RaG_7.18a
   mahimānaṃ yad utkīrtya Ragh_10.33a	mahimAnam yat utkIrtya RaG_10.33a
   mahītalasparśanamātrabhinnam Ragh_2.50c	mahI tala sparSana mAtra Binnam RaG_2.50c
   mahīdharaṃ mārgavaśād upetaṃ Ragh_6.52c	mahIDaram mArga vaSAt upetam RaG_6.52c
   mahīdhrapakṣavyaparopaṇocitaṃ Ragh_3.60c	mahIDra pakza vyapara upaNa ucitam RaG_3.60c
   mahīpatīnāṃ pṛthagarhaṇārthaṃ Ragh_7.29c	mahIpatInAm pRTak arhaNa arTam RaG_7.29c
   mahīpatīnāṃ praṇayāgradūtyaḥ Ragh_6.12b	mahIpatInAm praNaya agra dUtyaH RaG_6.12b
   mahīpateḥ śāsanam ujjagāra Ragh_14.53d	mahIpateH SAsanam ujjagAraH Rau _14.53d
   mahīṃ mahecchaḥ parikīrya sūnau Ragh_18.33a	mahIm mahA icCaH parikIrya sUnO RaG_18.33a
   mahendram āsthāya mahokṣarūpaṃ Ragh_6.72a	mahA indram AsTAya mahA ukza rUpam RaG_6.72a
   maheśvaras tryambaka eva nāparaḥ Ragh_3.49b	maheSvaraH tryambakaH eva na aparaH RaG_3.49b
   mahokṣatāṃ vatsataraḥ spṛśann iva Ragh_3.32a	mahA ukzatAm vatsataraH spRSan iva RaG_3.32a
   mahodadheḥ pūra ivendudarśanād Ragh_3.17c	mahodaDeH pUraH iva indu darSanAt RaG_3.17c
   mahormivisphūrjathunirviśeṣāḥ Ragh_13.12b	mahA Urmi visPUrjaTu niH viSezAH RaG_13.12b
   mahaujasā saṃyuyuje Ragh_15.54c	mahA ojasA saMyuyuje Rau _15.54c
   mahauṣadhihatavyathaḥ Ragh_12.78b	mahOzaDi hata vyaTaH RaG_12.78b
   mahyādir mahimā tava Ragh_10.29b	mahyAdiH mahimA tava RaG_10.29b
   māṅgalyorṇāvalayini puraḥ pāvakasyocchikhasya Ragh_16.87b	mAFgalya UrNA valayini puras pAvakasya ucCiKasya RaG_16.87b
   mātaṅganakraiḥ sahasotpatadbhir Ragh_13.11a	mAtaFga nakrEH sahasA utpatadBiH RaG_13.11a
   mātalis tasya māhendram Ragh_12.86a	mAtaliH tasya mAhendram RaG_12.86a
   mātā śātodarī babhau Ragh_10.70b	mAtA SAtodarI baBO RaG_10.70b
   mātur na kevalaṃ svasyāḥ Ragh_12.13c	mAtuH na kevalam svasyAH Rau _12.13c
   mātuḥ pāpasya śuddhyarthaṃ Ragh_12.19c	mAtuH pApasya SudDi arTam RaG_12.19c
   mātṛkaṃ ca dhanur ūrjitaṃ dadhat Ragh_11.64b	mAtRkam ca DanuH Urjitam daDat RaG_11.64b
   mātṛpārśvaparivartināv iva Ragh_11.9d	mAtR pArSva parivartinO iva RaG_11.9d
   mātṛbandhunivāsinam Ragh_12.12b	mAtR banDu nivAsinam RaG_12.12b
   mātṛvargacaraṇaspṛṣau munes Ragh_11.7a	mAtR varga caraNa spRzO muneH RaG_11.7a
   mātṛvaṃśa iva sthitaḥ Ragh_12.88d	mAtR vaMSaH iva sTitaH Rau _12.88d
   mādhuryam īṣṭe hariṇān grahītum Ragh_18.13d	mADuryam Izwe hariNAn grahItum Rau _18.13d
   mādhuryam īṣṭe hariṇān grahītum Ragh_18.14d	mADuryam Izwe hariNAn grahItum Rau _18.14d
   mānanīyo manīṣiṇām Ragh_1.11b	mAnanIyaH manIziNAm RaG_1.11b
   mānonantenāpy abhivandya mūrdhnā Ragh_16.81c	mAnonantena api aBivandya mUrDnA Rau _16.81c
   mānyaḥ sa me sthāvarajaṅgamānāṃ Ragh_2.44a	mAnyaH sa me sTAvara jaFgamAnAm RaG_2.44a
   mānyena rājñā sarayūr viyuktā Ragh_13.63b	mAnyena rAjQA sarayUH viyuktA RaG_13.63b
   mā pattraparvāt svarabhedam āptaḥ Ragh_2.42*b	mA pattra parvAt svaraBedam AptaH RaG_2.42*b
   mā bhūt parīvādanavāvatāraḥ Ragh_5.24d	mA BUt parIvAdanavAvatAraH Rau _5.24d
   mā bhūd āśramapīḍeti Ragh_1.37a	mA BUt ASrama pIxA iti RaG_1.37a
   mā bhūd dharmaviparyayaḥ Ragh_15.94*b	mA BUt Darma viparyayaH RaG_15.94*b
   mām akṣamaṃ maṇḍanakālahāner Ragh_13.16c	mAm akzamam maNxana kAla hAneH RaG_13.16c
   mām akṣiṇod yatra vibhinnakośaiḥ Ragh_13.29b	mAm akziNot yatra viBinna koSEH RaG_13.29b
   mām antardhātum arhasi Ragh_15.81d	mAm antarDAtum arhasi Rau _15.81d
   mām abhyupaituṃ kularājadhānīm Ragh_16.22b	mAm aByupEtum kula rAjaDAnIm RaG_16.22b
   mām arghyapāṇir bharato 'bhyupaiti Ragh_13.66d	mAm arGya pANiH BarataH aByupEti Rau _13.66d
   mā meti vyāharaty eva Ragh_15.84c	mA mA iti vyAharati eva RaG_15.84c
   māyāvikalparacitair api ye tadīyair Ragh_13.75c	mAyA vikalpa racitEH api ye tadIyEH RaG_13.75c
   māyāvibhir anālīḍham Ragh_10.46c	mAyAviBiH anAlIXam Rau _10.46c
   māyāṃ mayodhbhāvya parīkṣito 'si Ragh_2.62b	mAyAm mayoDBAvya parIkzitaH asi RaG_2.62b
   mārutiḥ sāgaraṃ tīrṇaḥ Ragh_12.60c	mArutiH sAgaram tIrNaH Rau _12.60c
   mārgasaṃdarśitātmanā Ragh_15.54b	mArga saMdarSita AtmanA RaG_15.54b
   mārgaṃ manuṣyeśvaradharmapatnī Ragh_2.2c	mArgam manuzya ISvara Darma patnI RaG_2.2c
   mārgāv uttaradakṣiṇau Ragh_17.2d	mArgO uttara dakziNO RaG_17.2d
   mārgeṇa bhaṅgiracitasphaṭikena rāmaḥ Ragh_13.69d	mArgeNa BaFgi ra cita sPawikena rAmaH Rau _13.69d
   mārge nivāsā manujendrasūnor Ragh_5.41c	mArge nivAsAH manuja indra sUnoH RaG_5.41c
   mārge mṛgaprekṣiṇi dṛṣtipātam Ragh_13.18b	mArge mRga prekziNi dRztipAtam RaG_13.18b
   mārgaiṣiṇī sā kaṭakāntareṣu Ragh_16.31a	mArga eziNI sA kawaka antarezu RaG_16.31a
   māhiṣmatīvapranitambakāñcīm Ragh_6.43b	mAhizmatIva pranitamba kAQcIm RaG_6.43b
