   // śrīḥ //	// SrIH //
   śukasaptatiḥ //	SukasaptatiH //
   [poppalīviṭapaghanakamraruddhāmbaram] // Suk_41.9* (=202*) //	[poppalI-viwapa-Gana-kamra-rudDa-ambaram] // Suc-_41.9* (=202*) //
   kiñca-	kiQca-
   rattakaṇavīre kaṇavīriaṃ phaliaṃ /	rattakaNa-vIre kaNavIriam Paliam /
   aṇṇavacchammi sevattiā phulliā // Suk_41.10 (=203) //	aNNavat-Sammi sevattiA PulliA // Suc-_41.10 (=203) //
   [raktakarṇavīre karṇavīrakaṃ phalitam /	[rakta-karNa-vIre karNa-vIrakam Palitam /
   anyavṛkṣake sevantikā phullitā] // Suk_41.10* (=203*) //	anya-vRkzake sevantikA PullitA] // Suc-_41.10* (=203*) //
   aṇṇavacchammi kāranda āvacchaaṃ /	aNNavat-Sammi kArandaH AvacCaam /
   aṇṇavacchammi sindūraaṃ phulliaṃ // Suk_41.11 (=204) //	aNNavat-Sammi sindUraam Pulliam // Suc-_41.11 (=204) //
   [anyavṛkṣake kāraṇḍamācchāditam /	[anya-vRkzake kAraNxam-AcCAditam /
   anyavṛkṣake sindūrakaṃ phullitam] // Suk_41.11* (=204*) //	anya-vRkzake sindUrakam Pullitam] // Suc-_41.11* (=204*) //
   aṇṇavaccammi phullastamandāraaṃ /	aNNavat-cammi PullaH-tamandAraam /
   sirisauttuṅgagandhohavaramāruaṃ // Suk_41.12 (=205) //	siri-sOttuFga-ganDa-Uha-varam-Aruam // Suc-_41.12 (=205) //
   [anyavṛkṣake phullamandārakam /	[anya-vRkzake Pulla-mandArakam /
   śirīṣottuṅgagandhaharamārutam] // Suk_41.12* (=205*) //	SirIza-uttuFga-ganDa-hara-mArutam] // Suc-_41.12* (=205*) //
   aṇṇavacchammi siriātoraṇaṃ /	aNNavat-Sammi siriA-toraNam /
   phulliaṃ maṇoharaṃ jaṇiaparisohiaṃ // Suk_41.13 (=206) //	Pulliam maNaH-haram jaNia-parisohiam // Suc-_41.13 (=206) //
   [anyavṛkṣake sindūrikātoraṇam /	[anya-vRkzake sindUrikA-toraNam /
   phullitaṃ manoharaṃ janitapariśobhitam] // Suk_41.13* (=206*) //	Pullitam manoharam janita-pariSoBitam] // Suc-_41.13* (=206*) //
   aṇṇavacchammi juttaddaaṃ kundaaṃ /	aNNavat-Sammi juttat-daam kundaam /
   malliṇomāliākusumā ghaṇapupphiā // Suk_41.14 (=207) //	malliNaH-mAliA-kusumAH GaNa-pupPiA // Suc-_41.14 (=207) //
   [anyavṛkṣake yuktadalaṃ kundakam /	[anya-vRkzake yukta-dalam kundakam /
   mallīnavamālikākusumāni ghanapuṣpitāni] // Suk_41.14* (=207*) //	mallI-nava-mAlikA-kusumAni Gana-puzpita-ani] // Suc-_41.14* (=207*) //
   ityevaṃ bāhmaṇasya vadato rājaputryā hasitam /	iti-evam bAhmaNasya vadataH rAja-putryA hasitam /
   hāsyatirekeṇa galagrandhirdvidhā babhūva /	hAsi-atirekeNa galagranDiH-dviDA baBUva /
   dvidhā jāte ca tasmin rājasutāyāḥ sukhamutpannam /	dviDA jAte ca tasmin rAja-sutAyAH suKam-utpannam /
   nṛpeṇa ca kṛtārthīkṛto vipraḥ svasadana gataḥ /	nRpeNa ca kRtArTIkRtaH vipraH sva-sadana gataH /
   iti kathāṃ śrutvo prabhāvatī suptā /	iti kaTAm Srutvo praBAvatI suptA /
   iti śukasaptatau ekacatvāriṃśattamo kathā //	iti Suka-saptatO ekacatvAriMSattamaH kaTA //
   START Suk 42:	START Suc 42:
   arepadyuḥ prabhāvatī "gacchāmī"ti śukaṃ pratyāha /	arepadyuH praBAvatI "gacCAmI"ti Sukam pratyAha /
   śukaḥ-	SukaH-
   sukhopabhogaḥ saṃsāre sāraṃ sarvāṅgasundari /	suKa-upaBogaH saMsAre sAram sarva-aFga-sundari /
   vraja cedvyāghramārīva vetsi vaktuṃ tvamuttaram // Suk_42.1 (=208) //	vraja ced-vyAGram-ArI-iva vetsi vaktum tvam-uttaram // Suc-_42.1 (=208) //
   tacchrutvā prabhāvatyāha-"sukhopabhogaḥ saṃsāre kora! kathāṃ kathaya" /	tat-SrutvA praBAvati-Aha-"-suKa-upaBogaH saMsAre kora! kaTAm kaTaya" /
   śukaḥ kathāṃ prāha- asti deulākhyo grāmaḥ /	SukaH kaTAm prAha asti deula-AKyaH grAmaH /
   tatra rājasiṃho nāma rājaputraḥ tadbhāryā kalahapriyeti viśrutā /	tatra rAjasiMhaH nAma rAja-putraH tad-BAryA kalaha-priyA-iti viSrutA /
   sānyadā bhartrā sārdhaṃ kalahaṃ vidhāya putradvayopetā piturgṛhaṃ prati	sa-anyadA BartrA sArDam kalaham viDAya putra-dvaya-upetA pituH-gRham prati
   calitā /	calitAH /
   sā ca kopavaśātpattanāni bahūni vanāni ca bahūnyatikramya gatā	sA ca kopa-vaSAt-pattanAni bahUni vanAni ca bahUni-atikramya gatA
   malayapāśvasthaṃ mahākānanam /	malayapa-aSva-sTam mahA-kAnanam /
   tacca kathaṃ bhūtam /	tat-ca kaTam BUtam /
   candaṇasattacchaāsaṇṇaaṃ saralavaratuṅgatarusāhasaṃchaṇṇaaṃ /	candaNa-sat-tad-CaAsaNNaam sarala-vara-tuFga-taru-sAha-saMCaNNaam /
   kahiṃ pi sahaārakhajjūriaṃ phaṇasaa mattālivihaṅgabhāriaṃ // Suk_42.2	kahim pi sahaA-raKajjUriam PaNasaa mattAli-vihaFga-BAriam // Suc-_42.2
   [candanasaptacchadasannaddhaṃ saralavaratuṅgataruśākhāsaṃcchannam /	[candana-saptacCada-sannadDam sarala-vara-tuFga-taru-SAKA-saMcCannam /
   kvāpi sahakārakharjūrikaṃ panase mattālivihaṅgabharitam] // Suk_42.2*	kvApi sahakAra-KarjUrikam panase mattAli-vihaFga-Baritam] // Suc-_42.2*
   kahiṃ pi selupīluphapūriantaaṃ sarasavorabahutintaḍīchaṇṇaaṃ	kahim pi selu-pIluPa-pUriantaam sarasavora-bahu-tintaxI-CaNNaam
   dāḍimīphalabillaphalasugandhivāaaṃ // Suk_42.3 (=210) //	dAximI-Pala-billa-Pala-suganDivAaam // Suc-_42.3 (=210) //
   [kvāpi selupīlūprapūritāntaraṃ sarasabadarabahutintiḍīcchannam	[kvApi selu-pIlU-prapUrita-antaram sarasa-badara-bahu-tintixI-i=-Cannam
   dāḍimīphalabilvaphalasugandhivātakam] // Suk_42.3* (=210*) //	dAximI-Pala-bilva-Pala-suganDi-vAta-kam] // Suc-_42.3* (=210*) //
   evaṃvidhe gahane gatā sā kalahapriyā vyāghraṃ dadarśa /	evaMviDe gahane gatA sA kalaha-priyA vyAGram dadarSa /
   sa ca vyāghrastava saputrāṃ dṛṣṭvā pucchena bhūmimāhatya dhāvitaḥ /	sa ca vyAGraH-tava sa-putrAm dRzwvA pucCena BUmim-Ahatya DAvitaH /
   tataḥ sā kathaṃ bhavatu? iti praśnaḥ /	tatas sA kaTam Bavatu? iti praSnaH /
   uttaraṃ śukaḥ prāha-sā vyāghramāgacchamānaṃ dṛṣṭvā ghārṣṭyāt putrau	uttaram SukaH prAha-sA vyAGram-AgacCamAnam dRzwvA GArzwyAt putrO
   capeṭayā hatvā iti jagāda- kathamekaikaśo vyāghrabhakṣaṇāya kalahaṃ	capewayA hatvA iti jagAda kaTam-ekEkaSas vyAGra-BakzaNAya kalaham
   kuruthaḥ /	kuruTaH /
   ayamekastāvadvibhajya bhujyatām /	ayam-ekaH-tAvat-viBajya BujyatAm /
   paścādanyo dvitīyaḥ kaścillakṣyate /	paScAt-anyaH dvitIyaH kaScid-lakzyate /
   iti śrutvā vyāghramārī kācidiyamiti matvā vyāghro bhayākulacitto naṣṭaḥ /	iti SrutvA vyAGramArI kAcid-iyam-iti matvA vyAGraH Baya-Akula-cittaH nazwaH /
   nijabuddhyā vimuktā sā bhayādvyāghrasya bhāmini /	nija-budDyA vimuktA sA BayAt-vyAGrasya BAmini /
   anyo 'pi buddhimāṃlloke mucyate mahato bhayāt // Suk_42.4 (=211) //	anyaH api budDimAn=-loke mucyate mahataH BayAt // Suc-_42.4 (=211) //
   iti kathāṃ śrutvā prabhāvatī suptā /	iti kaTAm SrutvA praBAvatI suptA /
   iti śukasaptatau dvicatvāriṃśattamo kathā //	iti Suka-saptatO dvicatvAriMSattamaH kaTA //
   START Suk 43:	START Suc 43:
   anyedyuḥ śukamāpṛcchati sma kāminī /	anyedyus Sukam-ApRcCati sma kAminI /
   śukaḥ prāha-	SukaH prAha-
   vraja devi na te 'yuktaṃ vrajanaṃ gajagāmini /	vraja devi na te ayuktam vrajanam gaja-gAmini /
   vyāghramārīva buddhiste dvitīyāpi yadi sthirā // Suk_43.1 (=212) //	vyAGram-ArI-iva budDiH-te dvitIyA-api yadi sTirA // Suc-_43.1 (=212) //
   prabhāvatī pṛcchati, kathametat?	praBAvatI pRcCati, kaTam-etat-?
   vyāghramāryāḥ kṛtāṃ buddhiṃ dvitīyāṃ vivadādhunā /	vyAGram-AryAH kRtAm budDim dvitIyAm vivada-aDunA /
   mahatkautukamatrārthe vidyate me priyaṃvada! // Suk_43.2 (=213) //	mahat-kOtukam-atra-arTe vidyate me priyaMvada! // Suc-_43.2 (=213) //
   śukaḥ-	SukaH-
   taṃ dṛṣṭvā kānane vyāghraṃ naṣṭaṃ jātaṃ bhayākulam /	tam dRzwvA kAnane vyAGram nazwam jAtam Baya-Akulam /
   mṛgadhūrto hasannāha vyāghro naṣṭaḥ kuto bhayāt // Suk_43.3 (=214) //	mRga-DUrtaH hasan=-Aha vyAGraH nazwaH kutas BayAt // Suc-_43.3 (=214) //
   vyāghraḥ-gaccha gaccha jambuka tvamapi kiṃñcidgūgpradeśam /	vyAGraH--gacCa gacCa jambuka tvam-api kiMQcid-gUgpradeSam /
   yato vyāghramārīti yā śāstre śrūyate tayāhaṃ hantumārabdhaḥ paraṃ	yatas vyAGram-ArI-iti yA SAstre SrUyate tayA-aham hantum-ArabDaH param
   gṛhītakarajīvito naṣṭaḥ śīghraṃ tadagrataḥ /	gRhIta-kara-jIvitaH nazwaH SIGram tat-agratas /
   mṛgadhūrtaḥ-vyāghra! tvayā mahatkautukamāveditaṃ yanmāṃsapiṇḍād mānuṣādapi	mRga-DUrtaH--vyAGra! tvayA mahat-kOtukam-Aveditam yat-mAMsa-piNxAt mAnuzAt-api
   bibheṣi /	biBezi /
   vyāghraḥ-pratyakṣameva mayā sātmaputrāvekaikaśo māmattuṃ kalahāyamānau	vyAGraH--pratyakzam-eva mayA sA-Atma-putrO=-ekEkaSas mAmattum kalahAyamAnO
   capeṭayā ghnannī dṛṣṭā /	capewayA GnannI dRzwA /
   jambukaḥ-svāmin! yatrāste sā dhūrtā tatra gamyatām /	jambukaH--svAmin! yatra-Aste sA DUrtA tatra gamyatAm /
   yadi vyāghra! tava tatra gatasya sā sammukhamapīkṣate tadā mama tvadīyā	yadi vyAGra! tava tatra gatasya sA sammuKam-api-Ikzate tadA mama tvadIyA
   velā smaraṇīyā /	velA smaraNIyAH /
   vyāghraḥ-śṛgāla! yadi tvaṃ māṃ muktvā yāsi tadā velāpyavelā syāt /	vyAGraH--SRgAla! yadi tvam mAm muktvA yAsi tadA velA-apyavelA syAt /
   jambukaḥ-yadyevaṃ tahi māṃ nijagale baddhvā cala śīghram /	jambukaH-yadi-evam tahi mAm nijagale badDvA cala SIGram /
   sa vyāghrastathā kṛtvā kānana yayau /	sa vyAGraH-taTA kRtvA kAnana yayO /
   vyāghramāryapi prāptā putrasahitā tena jambukakṛtotsāhād vyāghrātsā kathaṃ	vyAGra-mArI-api prAptA putra-sahitA tena jambuka-kRta-utsAhAt vyAGrAt-sA kaTam
   mucyatām /	mucyatAm /
   iti praśnaḥ /	iti praSnaH /
   śukaḥ-tayā vyāghramāryā tadā cintitaṃ yadayaṃ	SukaH-tayA vyAGram-AryA tadA cintitam yat-ayam
   mṛgadhūrtenānītastasmādamumeva jambukamākṣipantyaṅgulyā tarjayantyuvāca-	mRga-DUrtena-AnItaH-tasmAt-amum-eva jambukam-Akzipanti-aFgulyA tarjayanti-uvAca-
   re re dhūrta tvayā dattaṃ mahyaṃ vyāghratrayaṃ purā /	re re DUrta tvayA dattam mahyam vyAGra-trayam purA /
   viśvasyādyaikamānīya kathaṃ yāsi vadādhunā // Suk_43.4 (=215) //	viSvasya-Adya-ekam-AnIya kaTam yAsi vada-aDunA // Suc-_43.4 (=215) //
   ityuktvā dhāvitā tūrṇaṃ vyāghramārī bhayaṅkarā /	iti-uktvA DAvitA tUrNam vyAGramArI BayaFkarAH /
   vyāghro 'pi sahasā naṣṭo galabaddhaśṛgālakaḥ // Suk_43.5 (=216) //	vyAGraH api sahasA nazwaH gala-badDa-SRgAlakaH // Suc-_43.5 (=216) //
   nijabuddhyā punarmuktā vyāghrajād devi sā bhayāt /	nija-budDyA punar-muktAH vyAGrajAt devi sA BayAt /
   buddhirvalavatī tanvi sarvakāryeṣu sarvadā // Suk_43.6 (=217) //	budDiH-valavatI tanvi sarva-kAryezu sarvadA // Suc-_43.6 (=217) //
   iti kathāṃ śratvā prabhāvatī suptā /	iti kaTAm SratvA praBAvatI suptA /
   iti śukasaptatau tricatvāriṃśattamī kathā //	iti Suka-saptatO tricatvAriMSattamI kaTA //
   START Suk 44:	START Suc 44:
   athānyedyardināvasāne prabhāvatī śukaṃ pṛcchati /	aTa-anyedyardinA-avasAne praBAvatI Sukam pRcCati /
   śukaḥ-	SukaH-
   ātmānaṃ saṅkaṭād devi yāhi cedvetsi rakṣitum /	AtmAnam saFkawAt devi yAhi ced-vetsi rakzitum /
   yathātmā saṅkaṭāttena jambukenāpi rakṣitaḥ // Suk_44.1 (=218) //	yaTA-AtmA saFkawAt-tena jambukena-api rakzitaH // Suc-_44.1 (=218) //
   sa ca jambuko galabaddho nighṛṣṭapṛṣṭhacaraṇo galadrudhirapravāho	sa ca jambukaH gala-badDaH niGRzwa-pRzWa-caraNaH galadruDira-pravAhaH-
   mūmūrṣuriva deśāntaraṃ gantumicchatā vyāghramārībhayādvyāghreṇa noyate /	mUmUrzuH-iva deSa-antaram gantum-icCatA vyAGra-mArI-BayAt-vyAGreNa noyate /
   tato mahato 'pāyāt śṛgālaḥ kathaṃ mucyate-iti praśnaḥ /	tatas mahataH apAyAt SRgAlaH kaTam mucyate-iti praSnaH /
   uttaraṃ prāha śukaḥ-tatastaṃ vyāghraṃ	uttaram prAha SukaH-tatas-tam vyAGram
   bahunadīkānanaviṣamasamapredeśaparvatānullaṅghayantaṃ satvaraṃ dṛṣṭvā	bahu-nadI-ka-Anana-vizama-sama-predeSa-parvatAn-ullaFGayantam sa-tvaram dRzwvA
   ātmānaṃ mocayitukāmaḥ śṛgālo bhṛśaṃ jahāsa pīḍito 'pi san /	AtmAnam mocayitu-kAmaH SRgAlaH BRSam jahAsa pIxitaH api san /
   vyāgreṇoktam-kathaṃ hasitam /	vyAgreNa-uktam--kaTam hasitam /
   sa āha-deva! sā mayā vyāghramārīti dhūrtikā jñātā /	saH Aha-deva! sA mayA vyAGramArI-iti DUrtikA jQAtA /
   tvatprasādācca dūradeśamāgato 'haṃ jīvitaḥ /	tvad-prasAdAt-ca dUra-deSam-AgataH aham jIvitaH /
   paraṃ yadi sāsmadraktasrāvasaṃlagnā pāpinī pṛṣṭhataḥ sameti tadā kathaṃ	param yadi sA-asmat-rakta-srAva-saMlagnA pApinI pRzWatas sameti tadA kaTam
   jīvitavyam /	jIvitavyam /
   ato 'ha hasitaḥ /	atas aha hasitaH /
   vyāghrasvāmin! sthirībhūya vicāraya /	vyAGra-svAmin! sTirIBUya vicAraya /
   atha tuṣṭo vyāghrastena vākyena "tathe'tyuktvā jambukaṃ muktvā sahasā	aTa tuzwaH vyAGraH-tena vAkyena "taTe-ati-uktvA jambukam muktvA sahasA
   naṣṭaḥ /	nazwaH /
   śṛgālo 'pi sukhaṃ tasthau /	SRgAlaH api suKam tasTO /
   buddhirvaraṃ varāroha dhanamānasukhaiṣiṇām /	budDiH-varam varAroha Dana-mAna-suKa-eziNAm /
   buddhihīnāḥ paraṃ kleśaṃ prāpnuvanti kṛśodari // Suk_44.2 (=219) //	budDi-hInAH param kleSam prApnuvanti kRSa-udari // Suc-_44.2 (=219) //
   balaṃ prajñāvihīnasya parakāryāya kevalam /	balam prajQA-vihInasya para-kAryAya kevalam /
   girikūṭopamāṅgasya kuñjarasyeva dṛśyate // Suk_44.3 (=220) //	giri-kUwa-upama-aFgasya kuQjarasya-iva dRSyate // Suc-_44.3 (=220) //
   iti kathāṃ śrutvā prabhāvatī śukavākyavismitā suptā /	iti kaTAm SrutvA praBAvatI Suka-vAkya-vismitA suptA /
   iti śukasaptatau catuścatvāriṃśattamī kathā //	iti Suka-saptatO catuScatvAriMSattamI kaTA //
   START Suk 45:	START Suc 45:
   anyedyuḥ sā kāminī sandhyāyāṃ śukaṃ papraccha-"gamiṣyāmī'ti /	anyedyus sA kAminI sanDyAyAm Sukam papracCa-"gamizyAmI-ati /
   śukaḥ prāha--	SukaH prAha--
   samayojyaṃ priyaṃ bhoktuṃ tava bhāmini samprati /	samayojyam priyam Boktum tava BAmini samprati /
   vañcitā vetsi cetkartuṃ kiñcidviṣṇuḥ purā yathā // Suk_45.1 (=221) //	vaQcitAH vetsi ced-kartum kiQcid-vizNuH purA yaTA // Suc-_45.1 (=221) //
   prabhāvatyāha--"kathametat' /	praBAvati-Aha---"-kaTam-etat-a /
   śukaḥ prāha-asti vilāsapuraṃ nāma nagaram /	SukaH prAha-asti vilAsa-puram nAma nagaram /
   tatra arindamo nāma rājā /	tatra arindamaH nAma rAjA /
   tatra ca viṣṇunāmā brāhmaṇo ratilolupaḥ kuṭumbavarjito ratikarmaṇi	tatra ca vizNu-nAmA brAhmaNaH rati-lolupaH kuwumba-varjitaH rati-karmaNi
   sarvanārīduḥsaha iti nagare prasiddho babhūva /	sarva-nArI-duHsahaH iti nagare prasidDaH baBUva /
   veśyābhirapi na śakyate jetuṃ kimpunaḥ kulāṅganābhiḥ /	veSyABiH-api na Sakyate jetum kimpunaH kula-aFganABiH /
   tatra ratipriyā nāma gaṇikā /	tatra ratipriyA nAma gaNikA /
   atha sā ṣoḍaśa drammān gṛhītvā tamājuhāva /	aTa sA zoxaSa drammAn gRhItvA tam-AjuhAva /
   tamāyāntaṃ dṛṣṭvā sā cāṭūktibhiḥ paricaryāṃ cakāra /	tam-AyAntam dRzwvA sA cAwu-uktiBiH paricaryAm cakAra /
   so 'pi cānyakāryanivṛttastasminneva ratikarmaṇi dattamanāstāṃ rantu	saH api ca-anya-kArya-nivRttaH-tasmin=-eva rati-karmaNi datta-m-anAH-tAm rantu
   jetumārebhe /	jetum-AreBe /
   tayā ca sa ratilolupaḥ dravyārthaṃ vā parājayārthaṃ vā praharadvayaṃ	tayA ca sa rati-lolupaH dravya-arTam vA parAjaya-arTam vA prahara-dvayam
   yāvatsoḍhaḥ /	yAvat-soXaH /
   niśīthe cādhobhūmikāmāgatya kuṭṭinyagrato niveditaṃ "yadduḥsaho 'yaṃ	niSITe ca-aDas-BUmikAm-Agatya kuwwinI-agratas niveditam "yat-duHsahaH ayam
   dvijaḥ /	dvijaH /
   paṇabandhaṃ samarpayitvā tamutkālaya /	paNa-banDam samarpayitvA tam-utkAlaya /
   mayi jīvantyāṃ prāgeva bāhulyaṃ bhaviṣyati' /	mayi jIvantyAm prAk-eva bAhulyam Bavizyati-a /
   kuṭṭinyāha-"asmadgṛhe na ko 'pi kāmuko gaṇikāṃ jitvā paṇabandhaṃ jagrāha /	kuwwinyAha-"asmad-gRhe na kaH api kAmukaH gaNikAm jitvA paNa-banDam jagrAha /
   tato 'hamenaṃ yāvatprapañcena niḥsārayāmi tāvatsoḍhavya iti /	tatas aham-enam yAvat-prapaQcena niHsArayAmi tAvat-soXavyaH iti /
   yadā cāhaṃ pippalamāruhya sūrpadvayena pakṣaśabdaṃ kukkuṭadhvaniṃ	yadA ca-aham pippalam-Aruhya sUrpa-dvayena pakza-Sabdam kukkuwa-Dvanim
   vidadhāni tadā vibhātamiti kṛtvā niḥsāraṇayaḥ'-ityuktvā preṣitoparibhūmau	vidaDAni tadA viBAtam-iti kRtvA niHsAraNayaH-a-iti-uktvA prezita-upari-BUmO
   gaṇikā /	gaNikA /
   yathoktaṃ ca kuṭṭinyā tāvatkṛtam /	yaTA-uktam ca kuwwinyA tAvat-kRtam /
   tasminkṛte vibhātamiti kṛtvā niḥsārito dvijaḥ /	tasmin-kRte viBAtam-iti kRtvA niHsAritaH dvijaH /
   yāvad gṛhadvarastho vyomamālokayate tadopari niśīthovartate /	yAvat gRha-t-vara-sTaH vyomam-Alokayate tadA-upari niSITovartate /
   tadā sa vipraḥ kuṭṭinīparājito janamadhye parājayaṃ kathaṃ vahatu-iti	tadA sa vipraH kuwwinIpa-rAjitaH jana-maDye parAjayam kaTam vahatu--iti
   praśnaḥ /	praSnaH /
   śukaḥ-yadā vipraḥ kukkuṭadhvanisthānamavalokayati tāvatsūrpadvayayutāṃ	SukaH-yadA vipraH kukkuwa-Dvani-sTAnam-avalokayati tAvat-sUrpa-dvaya-yutAm
   kuṭṭinīṃ dadarśa /	kuwwinIm dadarSa /
   tena ca sā loṣṭenāhatya bhūmau pātitā pramādajanaiśca dhikkṛtā /	tena ca sA lozwena-Ahatya BUmO pAtitA pramAda-janEH-ca DikkRtA /
   sa ca brāhmaṇo grahaṇakaṃ dviguṇaṃ gṛhītvā puramadhye gaṇikāṃ vinindya /	sa ca brAhmaNaH grahaNakam dviguNam gRhItvA pura-maDye gaNikAm vinindya /
   svagṛhaṃ yayau /	sva-gRham yayO /
   iti śukasaptatau pañcacatvāriṃśattamī kathā //	iti Suka-saptatO paQcacatvAriMSattamI kaTA //
   START Suk 46:	START Suc 46:
   athānyedyuḥ prabhāvatī śukaṃ pṛcchati /	aTa-anyedyus praBAvatI Sukam pRcCati /
   śukaḥ-	SukaH-
   yāhi devi gṛhaṃ muktvā yadi vetsi tvamuttaram /	yAhi devi gRham muktvA yadi vetsi tvam-uttaram /
   yathā karagarānāthaḥ kṛtavānbhūtanigrahe // Suk_46.1 (=222) //	yaTA karagara-anATaH kRtavAn-BUta-nigrahe // Suc-_46.1 (=222) //
   asti devi vatsomaṃ nāma nagaram /	asti devi vatsomam nAma nagaram /
   tatra vidvāndaridro brāhmaṇaḥ /	tatra vidvAn-daridraH brAhmaNaH /
   tasya priyā ca karagarābhidhānā yathārthanāmno sarvajantūdvegakāriṇī,	tasya priyA ca karagara-aBiDAnAH yaTArTa-nAmnaH sarva-jantu-udvega-kAriNI,
   yattaddvāradeśavṛkṣasthito bhūtastasyāḥ karagarāyā bhayātpalāyyāṭavyāṃ	yat-tad-dvAra-deSa-vRkza-sTitaH BUtaH-tasyAH karagarAyAH BayAt-palAyya-awavyAm
   gataḥ /	gataH /
   brāhmaṇo 'pi tasyā udvegāddeśāntarābhimukho 'bhūt /	brAhmaNaH api tasyAH udvegAt-deSa-antara-aBimuKaH aBUt /
   so 'pi ca tena bhūtena dṛṣṭo jalpitaśca mārgaśrāntastvam /	saH api ca tena BUtena dRzwaH jalpitaH-ca mArga-SrAntaH-tvam /
   tena tvayādya mamātithinā bhāvyam /	tena tvayA-adya mama-atiTinA BAvyam /
   vipreṇa bhīruṇoktam-yadātithyaṃ karoṣi tadvidhehi śīghram /	vipreNa BIruNA-uktam--yada-AtiTyam karozi tat-viDehi SIGram /
   bhūtenoktam-na tvayā bhetavyam /	BUtena-ukta-m-na tvayA Betavyam /
   tvaṃ mama svāmī yato 'haṃ tvadgṛhadvāravṛkṣastho bhūtaḥ	tvam mama svAmI yatas aham tvad-gRha-dvAra-vRkza-sTaH BUtaH
   karagarābhayenehāgataḥ /	karagara-aBayena-iha-AgataH /
   tatastava nijasvāminī guṇavadupakartavyameva /	tatas-tava nija-svAminI guNavat-upakartavyam-eva /
   tasmāttvaṃ dvija mṛgāvatīṃ rājadhānīṃ madanabhūpatisanāthāṃ gaccha /	tasmAt-tvam dvija mRgAvatIm rAjaDAnIm madana-BUpati-sanATAm gacCa /
   tatra cāhaṃ tatputrīṃ mṛgalocanāṃ grahīṣye /	tatra ca-aham tad-putrIm mRga-locanAm grahIzye /
   sā cānyairmantrikairnorujā na bhaviṣyati /	sA ca-anyEH-mantrikEH-na-UrujA na Bavizyati /
   tattvayi samāgate tava darśanādevāhaṃ tyakṣyāmi /	tat-tvayi samAgate tava darSanAt-eva-aham tyakzyAmi /
   tataḥ paraṃ tu mantravādo na vidheyaḥ /	tatas param tu mantra-vAdaH na viDeyaH /
   iti bhaṇitvā so 'pi bhūto gatvā tāṃ rājaputrīṃ jagrāha /	iti BaNitvA saH api BUtaH gatvA tAm rAja-putrIm jagrAha /
   vipro 'pi tatra yayau /	vipraH api tatra yayO /
   tena ca ḍiṇḍimaḥ spṛṣṭaḥ /	tena ca xiNximaH spRzwaH /
   tato rājakulaṃ gato vipra ācāryavistaraṃ vidadhe /	tatas rAja-kulam gataH vipraH AcArya-vistaram vidaDe /
   bhūta ācāryavistaraṃ yāvannamuñcati tāvatkiṃ karotviti praśnaḥ /	BUtaH AcArya-vistaram yAvat-namuQcati tAvat-kim karotu-iti praSnaH /
   śuka-bhūtagrahe 'nivartite vipreṇoktam-	Suka--BUta-grahe anivartite vipreNa-uktam-
   karagaraṇāhau āiau bhūa eu vīsasiu ṭhiu dhutta /	kara-garaNAhO AiO BUe eu vIsasiu Wiu DuttaH /
   āpiṇi boliu saṃbhari re kūḍauṃ kiṃ maiṃ deva jutta // Suk_46.2 (=223) //	ApiNi boliu saMBari re kUxOm kim mEm deva juttaH // Suc-_46.2 (=223) //
   [karagarānātho 'hamāgatya bhūta iha viśvasya sthito dhūrta /	[kara-gara-anATaH aham-Agatya BUtaH iha viSvasya sTitaH DUrtaH /
   ātmano vacanaṃ saṃbhṛhi re kūṭakaṃ kiṃ mayi deva yuktam] // Suk_46.2*	AtmanaH vacanam saMBRhi re kUwakam kim mayi deva yuktam] // Suc-_46.2*
   uktañca-	uktaQca-
   manuṣyāḥ sukulotpannā api ca brahmacārimaḥ /	manuzyAH su-kula-utpannAH api ca brahmacArimaH /
   na bhavanti mṛṣāvācaḥ kiṃ punardevayonayaḥ // Suk_46.3 (=224) //	na Bavanti mRzA-vAcaH kim punar-deva-yonayaH // Suc-_46.3 (=224) //
   tato bhūtaḥ tyaktvā jagāma /	tatas BUtaH tyaktvA jagAma /
   iyaṃ muktetyuktvā brāhmaṇāya rājñā sutāḥ rājyārdhañca pradattam /	iyam muktA-iti-uktvA brAhmaNAya rAjQA sutAH rAjya-arDaQca pradattam /
   vipro 'pi pūrṇamanoratho jagāma /	vipraH api pUrNa-manoraTaH jagAma /
   iti kathāṃ śrutvā prabhāvatī suptā /	iti kaTAm SrutvA praBAvatI suptA /
   iti śukasaptatau ṣaṭcatvāriṃśattamī kathā //	iti Suka-saptatO zawcatvAriMSattamI kaTA //
   START Suk 47:	START Suc 47:
   dinamativāhya prabhāvatī śukaṃ pṛcchati /	dinam-ativAhya praBAvatI Sukam pRcCati /
   śukaḥ-	SukaH-
   gaccha devi gatā vetsi yadi kartuṃ tvamuttaram /	gacCa devi gatAH vetsi yadi kartum tvam-uttaram /
   yathā karagarānāthaḥ kṛtavānbhūtasaṅkaṭe // Suk_47.1 (=225) //	yaTA karagara-anATaH kRtavAn-BUta-saFkawe // Suc-_47.1 (=225) //
   sa karagarāpatiḥ rājakanyayā saha rājalakṣmīṃ bhuṅkte /	sa karagarA-patiH rAja-kanyayA saha rAja-lakzmIm BuFkte /
