   ******************** ADHYAYA 1 ********************	******************** ADHYAYAH 1 ********************
   matta eva pravartate itīdaṃ mama svābhāvikaṃ niraṃkuśāiśvaryaṃ,	mattaH eva pravartate iti idam mama svABAvikam niraMkuSAiSvaryaM,
   sauśīlyasaundaryavātsalyādikalyāṇaguṇagaṇayogaṃ ca matvā budhā jñāninaḥ	sOSIlya sOndarya vAtsalyAdi kalyANa guNa gaNa yogam ca matvA buDAH jQAninaH
   bhāvasamanvitāḥ māṃ sarvakalyāṇaguṇānvitaṃ bhajante / bhāvaḥ	BAva samanvitAH mAm sarva kalyANa guNa anvitam Bajante / BAvaH
   manovṛttiviśeṣaḥ / mayi spṛhayālavo māṃ bhajanta ityarthaḥ // BhGR_1.108	manaH vRtti viSezaH / mayi spRhayA alavaH mAm Bajante iti arTaH // BhGR_1.108
   katham?	kaTam?
   maccittā madgataprāṇā bodhayantaḥ parasparam |	mad cittAH mad gata prANAH boDayantaH parasparam |
   kathayantaś ca māṃ nityaṃ tuṣyanti ca ramanti ca || BhG_1.109 ||	kaTayantaH ca mAm nityam tuzyanti ca ramanti ca || Bhu _1.109 ||
   maccittāḥ mayi niviṣṭamanasaḥ, madgataprāṇāḥ madgatajīvitāḥ, mayā	mad cittAH mayi nivizwa manasaH, mad gata prANAH mad gata jIvitAH, mayA
   vinātmadhāraṇam alabhamānā ityarthaḥ; svaiḥ svair anubhūtān madīyān guṇān	vinA Atma DAraNam alaBamAnAH iti arTaH; svEH svEH anuBUtAn madIyAn guNAn
   parasparaṃ bodhayantaḥ, madīyāni divyāni ramaṇīyāni karmāṇi ca kathayantaḥ	parasparam boDayantaH, madIyAni divyAni ramaNIyAni karmANi ca kaTayantaH
   tuṣyanti ca ramanti ca vaktāras tadvacanenānanyaprayojanena tuṣyanti;	tuzyanti ca ramanti ca vaktAraH tad vacanena ananya prayojanena tuzyanti;
   śrotāraś ca tacchravaṇenānavadhikātiśayapriyeṇa ramante // BhGR_1.109 //	SrotAraH ca tad SravaNena anavaDika atiSaya priyeNa ramante // BhGR_1.109 //
   teṣāṃ satatayuktānāṃ bhajatāṃ prītipūrvakam |	tezAm satata yuktAnAm BajatAm prIti pUrvakam |
   dadāmi buddhiyogaṃ taṃ yena mām upayānti te || BhG_1.1010 ||	dadAmi budDi yogam tam yena mAm upayAnti te || Bhu _1.1010 ||
   teṣāṃ satatayuktānām mayi satatayogam āśaṃsamānānāṃ māṃ bhajamānānām ahaṃ	tezAm satata yuktAnAm mayi satata yogam ASaMsamAnAnAm mAm BajamAnAnAm aham
   tam eva buddhiyogaṃ vipākadaśāpannaṃ prītipūrvakaṃ dadāmi; yena te mām	tam eva budDi yogam vipAka daSa Apannam prIti pUrvakam dadAmi; yena te mAm
   upayānti // BhGR_1.1010 //	upayAnti // BhGR_1.1010 //
   kiñ ca,	kiQ ca,
   teṣām evānukampārtham aham ajñānajaṃ tamaḥ |	tezAm eva anukampa arTam aham ajQAna jam tamaH |
   naśyāmy ātmabhāvastho jñānadīpena bhāsvatā || BhG_1.1011 ||	naSyAmi Atma BAva sTaH jQAna dIpena BAsvatA || Bhu _1.1011 ||
   teṣām evānugrahārtham aham, ātmabhāvasthaḥ teṣāṃ manovṛttau	tezAm eva anugraha arTam aham, Atma BAva sTaH tezAm manaH vRttO
   viṣayatayāvasthitaḥ madīyān kalyāṇaguṇagaṇāṃś cāviṣkurvan	vizaya tayA avasTitaH madIyAn kalyANa guNa gaNAn ca Avizkurvan
   madviṣayajñānākhyena bhāsvatā dīpena jñānavirodhiprācīnakarmarūpājñānajaṃ	mad vizaya jQAna AKyena BAsvatA dIpena jQAna viroDi prAcIna karma rUpa ajQAna jam
   madvyatiriktapūrvābhyastaviṣayaprāvaṇyarūpaṃ tamo nāśayāmi // BhGR_1.1011	mad vyatirikta pUrva aByasta vizaya prAvaNya rUpam tamaH nASayAmi // BhGR_1.1011
   arjuna uvāca	arjunaH uvAca
   evaṃ sakaletaravisajātīyaṃ bhagavadasādhāraṇaṃ śṛṇvatāṃ	evam sakala itara visajAtIyam Bagavat asADAraNam SRNvatAm
   niratiśayānandajanakaṃ kalyāṇaguṇagaṇayogaṃ tadaiśvaryavitatiṃ ca śrutvā	niratiSaya Ananda janakam kalyANa guNa gaNa yogam tat ESvarya vitatim ca SrutvA
   tadvistāraṃ śrotukāmo 'rjuna uvāca	tad vistAram Srotu kAmaH arjunaH uvAca
   paraṃ brahma paraṃ dhāma pavitraṃ paramaṃ bhavān |	param brahma param DAma pavitram paramam BavAn |
   paraṃ brahma paraṃ dhāma paramaṃ pavitraṃ iti yaṃ śrutayo vadanti, sa hi	param brahma param DAma paramam pavitram iti yam SrutayaH vadanti, sa hi
   bhavān / "yato vā imāni bhūtāni jāyante, yena jātāni jīvanti, yat prayanty	BavAn / "yataH vA imAni BUtAni jAyante, yena jAtAni jIvanti, yat prayanti 
   abhisaṃviśanti, tad vijijñāsasva tad brahmeti", "brahmavid āpnoti param",	aBisaMviSanti, tat vijijQAsasva tat brahma iti", "brahma vid Apnoti param",
   "sa yo ha vai tat paramaṃ brahma veda brahmaiva bhavati" iti / tathā paraṃ	"sa yaH ha vE tat paramam brahma veda brahmA eva Bavati" iti / taTA param
   dhāma; dhāmaśabdo jyotirvacanaḥ; paraṃ jyotiḥ "atha yad ataḥ paro divo	DAma; DAma SabdaH jyotiH vacanaH; param jyotiH "aTa yat atas paraH divaH 
   jyotir dīpyate", "paraṃ jyotir upasaṃpadya svena rūpeṇābhiniṣpadyate",	jyotiH dIpyate", "param jyotiH upasaMpadya svena rUpeNa aBinizpadyate",
   "taṃ devā jyotiṣāṃ jyotiḥ" iti / tathā ca paramaṃ pavitram paramaṃ	"tam devAH jyotizAm jyotiH" iti / taTA ca paramam pavitram paramam
   pāvanam; smartur aśeṣakalmaṣāśleṣakaram, vināśakaraṃ ca / "yathā	pAvanam; smartuH aSeza kalmaza ASleza karam, vinASa karam ca / "yaTA
   puṣkarapalāśa āpo na śliṣyante evam evaṃvidi pāpaṃ karma na śliṣyate",	puzkara palASaH ApaH na Slizyante evam evaMvidi pApam karma na Slizyate",
   "tad yatheṣīkātūlam agnau protaṃ pradūyetaivaṃ hāsya sarve pāpmānaḥ	"tat yaTA izIkA tUlam agnO protam pradUyeta evam ha asya sarve pApmAnaH
   pradūyante", "nārāyaṇa paraṃ brahma tattvaṃ nagarāyaṇaḥ paraḥ / nārāyaṇa	pradUyante", "nArAyaNa param brahma tattvam nagarAyaNaH paraH / nArAyaNa
   paro jyotir ātmā nārāyaṇaḥ paraḥ" iti hi śrutayo vadanti || BhG_1.1012ab	paraH jyotiH AtmA nArAyaNaH paraH" iti hi SrutayaH vadanti || Bhu _1.1012ab
   puruṣaṃ śāśvataṃ divyam ādidevam ajaṃ vibhum // BhGR_1.1012 //	puruzam SASvatam divyam Adidevam ajam viBum // BhGR_1.1012 //
   āhus tvām ṛṣayaḥ sarve devarṣir nāradas tathā |	AhuH tvAm RzayaH sarve devaRziH nAradaH taTA |
   asito devalo vyāsaḥ svayaṃ caiva bravīṣi me || BhG_1.1013 ||	asitaH devalaH vyAsaH svayam ca eva bravIzi me || Bhu _1.1013 ||
   ṛṣayaś ca sarve parāvaratattvayāthātmyavidas tvām eva śāśvataṃ divyaṃ	RzayaH ca sarve parAvara tattva yATAtmya vidaH tvAm eva SASvatam divyam
   puruṣam ādidevam ajaṃ vibhum āhuḥ; tathaiva devarṣir nāradaḥ asitaḥ	puruzam Adidevam ajam viBum AhuH; taTA eva devarziH nAradaH asitaH
   devalaḥ vyāsaś ca / "ye ca devavido vipro ye cādhyātmavido janāḥ / te	devalaH vyAsaH ca / "ye ca deva vidaH vipraH ye ca aDyAtma vidaH janAH / te
   vadanti mahātmānaṃ kṛṣṇaṃ dharmaṃ sanātanam // pavitāṇāṃ hi govindaḥ	vadanti mahAtmAnam kRzNam Darmam sanAtanam // pavitANAm hi govindaH
   pavitraṃ param ucyate / puṇyānām api puṇyo 'sau maṅgalānāṃ ca maṅgalam /	pavitram param ucyate / puNyAnAm api puNyaH asO maFgalAnAm ca maFgalam /
   trailokyaṃ puṇḍarīkākṣo devadevaḥ sanātanaḥ / āste harir acintyātmā	trElokyam puNxarIkAkzaH devadevaH sanAtanaH / Aste hariH acintya AtmA
   tatraiva madhusūdanaḥ // BhGR_1.", "eṣa nārāyaṇaḥ śrīmān	tatra eva maDusUdanaH // BhGR_1.", "eza nArAyaNaH SrImAn
   kṣīrārṇavaniketanaḥ / nāgaparyaṅkam utsṛjya hy āgato madhurāṃ purīm //	kzIra arNava niketanaH / nAga paryaFkam utsRjya hi AgataH maDurAm purIm //
   BhGR_1.", "puṇyā dvāravatī tatra yatrāste madhusūdahaḥ / sākṣād devaḥ	BhGR_1.", "puNyA dvAravatI tatra yatra Aste maDusUdahaH / sAkzAt devaH
   purāṇo 'sau sa hi dharmas sanātanaḥ" / tathā, "yatra nārāyaṇo devaḥ	purANaH asO sa hi DarmaH sanAtanaH" / taTA, "yatra nArAyaNaH devaH
   paramātmā sanātanaḥ / tatra kṛtsnaṃ jagat pārtha tīrthāny āyatanāni ca //	paramAtmA sanAtanaH / tatra kRtsnam jagat pArTa tIrTAni AyatanAni ca //
   tat puṇyaṃ tat paraṃ brahma tat tīrthaṃ tat tapovanam / tatra devarṣayas	tat puNyam tat param brahma tat tIrTam tat tapaH vanam / tatra deva rzayas
   siddhāḥ sarve caiva tapodhanāḥ // ādidevo mahāyogī yatrāste madhusūdanaḥ /	sidDAH sarve ca eva tapoDanAH // AdidevaH mahA yogI yatra Aste maDusUdanaH /
   puṇyānām api tat puṇyaṃ mā bhūt te saṃśayo 'tra vai // BhGR_1.", "kṛṣṇa	puNyAnAm api tat puNyam mA BUt te saMSayaH atra vE // BhGR_1.", "kRzNa
   eva hi lokānām utpattir api cāpyayaḥ / kṛṣṇasya hi kṛte bhūtam idaṃ viśvaṃ	eva hi lokAnAm utpattiH api ca api ayaH / kRzNasya hi kRte BUtam idam viSvam
   carācaram // BhGR_1." iti / tathā svayam eva bravīṣi ca, "bhūmir apo 'nalo	carAcaram // BhGR_1." iti / taTA svayam eva bravIzi ca, "BUmiH apaH analaH 
   vāyuḥ khaṃ mano budhir eva ca / ahaṃkāra itīyaṃ me bhinnā prakṛtir aṣṭadhā	vAyuH Kam manaH buDiH eva ca / ahaMkAraH iti iyam me BinnA prakRtiH azwaDA
   // BhGR_1." ityādinā, "ahaṃ sarvasya prabhavo mattas sarvaṃ pravartate"	// BhGR_1." ityAdinA, "aham sarvasya praBavaH mattaH sarvam pravartate"
   ityantena //1012,13//	iti antena //1012,13//
   sarvam etad ṛtaṃ manye yan māṃ vadasi keśava |	sarvam etat Rtam manye yat mAm vadasi keSavaH |
   na hi te bhagavan vyaktiṃ vidur devā na dānavāḥ || BhG_1.1014 ||	na hi te Bagavan vyaktim viduH devAH na dAnavAH || Bhu _1.1014 ||
   ataḥ sarvam etad yathāvasthitavastukathanaṃ manye, na	atas sarvam etat yaTA avasTita vastu kaTanam manye, na
   praśaṃsādyabhiprāyam; yan māṃ prati ananyasādhāraṇam anavadhikātiśayaṃ	praSaMsA Adi aBiprAyam; yat mAm prati ananya sADAraNam anavaDika atiSayam
   svābhāvikaṃ tavāiśvaryaṃ kalyāṇaguṇānantyaṃ ca vadasi / ato bhagavan	svABAvikam tava aiSvaryam kalyANa guNa Anantyam ca vadasi / atas Bagavan
   niratiśayajñānaśaktibalāiśvaryavīryatejasāṃ nidhe, te vyaktiṃ	niratiSaya jQAna Sakti balAi Svarya vIrya tejasAm niDe, te vyaktim
   vyañjanaprakāraṃ na hi parimitajñānā devā dānavāś ca viduḥ // BhGR_1.1014	vyaQjana prakAram na hi parimita jQAnAH devAH dAnavAH ca viduH // BhGR_1.1014
   svayam evātmanātmānaṃ vettha tvaṃ puruṣottama |	svayam eva AtmanA AtmAnam vetTa tvam puruzottamaH |
   bhūtabhāvana bhūteśa devadeva jagatpate || BhG_1.1015 ||	BUta BAvana BUteSa devadeva jagatpate || Bhu _1.1015 ||
   he puruṣottama, ātmanā, ātmānam tvāṃ svayam eva svena jñānenaiva vettha /	he puruzottama, AtmanA, AtmAnam tvAm svayam eva svena jQAnena eva vetTa /
   bhūtabhāvana; sarveṣāṃ bhūtānām utpādayitaḥ, bhūteśa sarveṣāṃ niyantaḥ,	BUta BAvana; sarvezAm BUtAnAm utpAdayitaH, BUteSa sarvezAm niyantaH,
   devadeva daivatānām api paramadaivata, yathā manuṣyamṛgapakṣisarīsṛpādīn	devadeva dEvatAnAm api parama dEvata, yaTA manuzya mRga pakzi sarIsRpa AdIn
   saundaryasauśīlyādikalyāṇaguṇagaṇair daivatāni atītya vartante, tathā tāni	sOndarya sOSIlya Adi kalyANa guNa gaNEH dEvatAni atItya vartante, taTA tAni
   sarvāṇi daivatāny api tais tair guṇais atītya vartamāna, jagatpate	sarvANi dEvatAni api tEH tEH guNEH atItya vartamAna, jagatpate
   jagatsvāmin // BhGR_1.1015 //	jagatsvAmin // BhGR_1.1015 //
   vaktum arhasy aśeṣeṇa divyā hy ātmavibhūtayaḥ |	vaktum arhasi aSezeNa divyAH hi Atma viBUtayaH |
   yābhir vibhūtibhir lokān imāṃs tvaṃ vyāpya tiṣṭhasi || BhG_1.1016 ||	yABiH viBUtiBiH lokAn imAn tvam vyApya tizWasi || Bhu _1.1016 ||
   divyāḥ tvadasādhāraṇyo vibhūtayo yāḥ, tās tvam evāśeṣeṇa vaktum arhasi /	divyAH tvad asADAraNyaH viBUtayaH yAH, tAH tvam eva aSezeNa vaktum arhasi /
   tvam eva vyañjayetyarthaḥ / yābhir anantābhir vibhūtibhiḥ yair	tvam eva vyaQjaya iti arTaH / yABiH anantABiH viBUtiBiH yEH 
   niyamanaviśeṣair yuktaḥ imān lokān tvaṃ niyantṛtvena vyāpya tiṣṭhasi //	niyamana viSezEH yuktaH imAn lokAn tvam niyantR tvena vyApya tizWasi //
   BhGR_1.1016 //	BhGR_1.1016 //
   kathaṃ vidyām ahaṃ yogī tvāṃ sadā paricintayan |	kaTam vidyAm aham yogI tvAm sadA paricintayan |
   keṣu keṣu ca bhāveṣu cintyo 'si bhagavan mayā || BhG_1.1017 ||	kezu kezu ca BAvezu cintyaH asi Bagavat mayA || Bhu _1.1017 ||
   ahaṃ yogī bhaktiyoganiṣṭhas san bhaktyā tvāṃ sadā paricintayan cintayituṃ	aham yogI Bakti yoga nizWaH san BaktyA tvAm sadA paricintayan cintayitum
   pravṛttaḥ cintanīyaṃ tvāṃ paripūrṇāiśvaryādikalyāṇaguṇagaṇaṃ kathaṃ	pravRttaH cintanIyam tvAm paripUrNa aiSvaryA Adi kalyANa guNa gaNam kaTam
   vidyām? pūrvoktabuddhijñānādibhāvavyatirikteṣu keṣu keṣu ca bhāveṣu mayā	vidyAm? pUrva ukta budDi jQAna Adi BAva vyatiriktezu kezu kezu ca BAvezu mayA
   niyantṛtvena cintyo 'si? // BhGR_1.1017 //	niyantR tvena cintyaH asi? // BhGR_1.1017 //
   vistareṇātmano yogaṃ vibhūtiṃ ca janārdana |	vistareNa AtmanaH yogam viBUtim ca janArdana |
   bhūyaḥ kathaya tṛptir hi śṛṇvato nāsti me 'mṛtam || BhG_1.1018 ||	BUyas kaTaya tRptiH hi SRNvataH na asti me amRtam || Bhu _1.1018 ||
   "ahaṃ sarvasya prabhavo mattas sarvaṃ pravartate" iti saṃkṣepeṇoktaṃ tava	"aham sarvasya praBavaH mattaH sarvam pravartate" iti saMkzepeNa uktam tava
   sraṣṭṛtvādiyogaṃ vibhūtiṃ niyamanaṃ ca bhūyo vistareṇa kathaya /	srazwR tva Adi yogam viBUtim niyamanam ca BUyas vistareNa kaTaya /
   tvayocyamānaṃ tvanmāhātmyāmṛtaṃ śṛṇvato me tṛptir nāsti; hi mamātṛptis	tvayA ucyamAnam tvad mAhAtmya amRtam SRNvataH me tRptiH nAsti; hi mama atRptiH 
   tvayaiva viditetyabhiprāyaḥ // BhGR_1.1018 //	tvayA eva viditA iti aBiprAyaH // BhGR_1.1018 //
   śrībhagavān uvāca	SrI BagavAn uvAca
   hanta te kathayiṣyāmi vibhūtīr ātmanaś śubhāḥ |	hanta te kaTayizyAmi viBUtIH AtmanaH SuBAH |
   prādhānyataḥ kuruśreṣṭha nāsty anto vistarasya me || BhG_1.1019 ||	prADAnyataH kuru SrezWa na asti antaH vistarasya me || Bhu _1.1019 ||
   he kuruśreṣṭha! madīyāḥ kalyāṇīr vibhūtīḥ prādhānyatas te kathayiṣyāmi /	he kuru SrezWa! madIyAH kalyANIH viBUtIH prADAnyataH te kaTayizyAmi /
   prādhanyaśabdena utkarṣo vivakṣitaḥ; "purodhasāṃ ca mukhyaṃ mām" iti hi	prADanya Sabdena utkarzaH vivakzitaH; "puroDasAm ca muKyam mAm" iti hi
   vakṣyate / jagaty utkṛṣṭāḥ kāścana vibhūtīr vakṣyāmi, vistareṇa vaktuṃ	vakzyate / jagati utkRzwAH kAScana viBUtIH vakzyAmi, vistareNa vaktum
   śrotuṃ ca na śakyate, tāsām ānantyāt / vibhūtitvaṃ nāma niyāmyatvam;	Srotum ca na Sakyate, tAsAm AnantyAt / viBUti tvam nAma niyAmya tvam;
   sarveṣāṃ bhūtānāṃ buddhyādayaḥ pṛthagvidhā bhāvā matta eva bhavantīty	sarvezAm BUtAnAm budDi AdayaH pRTagviDAH BAvAH mattaH eva Bavanti iti 
   uktvā, "etāṃ vibhūtiṃ yogaṃ ca mama yo vetti tattvataḥ" iti pratipādanāt /	uktvA, "etAm viBUtim yogam ca mama yaH vetti tattvataH" iti pratipAdanAt /
   tathā tatra yogaśabdanirdiṣṭaṃ sraṣṭṛtvādikaṃ vibhutiśabdanirdiṣṭaṃ	taTA tatra yoga Sabda nirdizwam srazwR tva Adikam viButi Sabda nirdizwam
   tatpravartyatvam iti hy uktaṃ punaś ca, "ahaṃ sarvasya prabhavo mattas	tat pravartya tvam iti hi uktam punar ca, "aham sarvasya praBavaH matta s
   sarvaṃ pravartate / iti matvā bhajante māṃ budhā bhāvasamanvitāḥ" iti //	sarvam pravartate / iti matvA Bajante mAm buDAH BAva samanvitAH" iti //
   BhGR_1.1019 //	BhGR_1.1019 //
   tatra sarvabhūtānāṃ pravartanarūpaṃ niyamanam ātmatayāvasthāyetīmam	tatra sarva BUtAnAm pravartana rUpam niyamanam Atma tayA avasTAya iti imam
   artham, yogaśabdanirdiṣṭaṃ sarvasya sraṣṭṛtvaṃ pālayitṛtvaṃ saṃhartṛtvaṃ	arTam, yoga Sabda nirdizwam sarvasya srazwR tvam pAlayitR tvam saMhartR tvam
   ceti suspaṣṭam āha	ca iti su spazwam Aha
   aham ātmā guḍākeśa sarvabhūtāśayasthitaḥ |	aham AtmA guxAkeSa sarva BUta ASaya sTitaH |
   aham ādiś ca madhyaṃ ca bhūtānām anta eva ca || BhG_1.1020 ||	aham AdiH ca maDyam ca BUtAnAm antaH eva ca || Bhu _1.1020 ||
   sarveṣāṃ bhūtānāṃ mama śarīrabhūtānām āśaye hṛdaye aham ātmatayāvasthitaḥ	sarvezAm BUtAnAm mama SarIra BUtAnAm ASaye hRdaye aham Atma tayA avasTitaH
   / ātmā hi nāma śarīrasya sarvātmanā ādhāraḥ, niyantā, śeṣī ca / tathā	/ AtmA hi nAma SarIrasya sarva AtmanA ADAraH, niyantA, SezI ca / taTA
   vakṣyate, "sarvasya cāhaṃ hṛdi sanniviṣṭo mattas smṛtir jñānam apohanaṃ	vakzyate, "sarvasya ca aham hRdi sannivizwaH mattaH smRtiH jQAnam apohanam
   ca", "īśvaras sarvabhūtānāṃ hṛddeśe 'rjuna tiṣṭhati / bhrāmayan	ca", "ISvaraH sarva BUtAnAm hRd deSe arjuna tizWati / BrAmayan
   sarvabhūtāni yantrārūḍhāni māyayā // BhGR_1." iti / śrūyate ca, "yaḥ	sarva BUtAni yantra ArUXAni mAyayA // BhGR_1." iti / SrUyate ca, "yaH
   sarveṣu bhūteṣu tiṣṭhan sarvebhyo bhūtebhyo 'ntaro yaṃ sarvāṇi bhūtāni na	sarvezu BUtezu tizWan sarveByaH BUteByaH antaraH yam sarvANi BUtAni na
   viduḥ, yasya sarvāṇi bhūtāni śarīraṃ yas sarvāṇi bhūtāny antaro yamayati,	viduH, yasya sarvANi BUtAni SarIram yaH sarvANi BUtAni antaraH yamayati,
   eṣa ta ātmāntaryāmy amṛtaḥ" iti, "ya ātmani tiṣṭhan ātmano 'ntaro yam ātmā	eza te AtmA antaryAmI amRtaH" iti, "yaH Atmani tizWan AtmanaH antaraH yam AtmA
   na veda yasyātmā śarīraṃ ya ātmānam antaro yamayati, sa ta ātmāntaryāmy	na veda yasya AtmA SarIram yaH AtmAnam antaraH yamayati, sa te AtmA antaryAmy
   amṛtaḥ" iti ca / evaṃ sarvabhūtānām ātmatayāvasthito 'haṃ teṣām ādir	amRtaH" iti ca / evam sarva BUtAnAm Atma tayA avasTitaH aham tezAm AdiH 
   madhyaṃ cāntaś ca teṣām utpattisthitipralayahetur ityarthaḥ // BhGR_1.1020	maDyam ca antar ca tezAm utpatti sTiti pralaya hetuH iti arTaH // BhGR_1.1020
   evaṃ bhagavataḥ svavibhūtibhūteṣu sarveṣv ātmatayāvasthānaṃ	evam BagavataH sva viBUti BUtezu sarvezu Atma tayA avasTAnam
   tattacchabdasāmānādhikaraṇyanirdeśahetuṃ pratipādya vibhūtiviśeṣān	tad tad Sabda sAmAnADikaraNya nirdeSa hetum pratipAdya viBUti viSezAn
   sāmānādhikaraṇyena vyapadiśati / bhagavaty ātmatayāvasthite hi sarve	sAmAnADikaraNyena vyapadiSati / Bagavati Atma tayA avasTite hi sarve
   śabdās tasminn eva paryavasyanti; yathā devo manuṣyaḥ pakṣī vṛkṣaḥ	SabdAH tasmin eva paryavasyanti; yaTA devaH manuzyaH pakzI vRkzaH
   ityādayaḥ śabdāḥ śarīrāṇi pratipādayantas tattadātmani paryavasyanti /	ityAdayaH SabdAH SarIrANi pratipAdayantaH tat tad Atmani paryavasyanti /
   bhagavatas tattadātmatayāvasthānam eva	BagavataH tad tad Atma tayA avasTAnam eva
   tattacchabdasāmānādhikaraṇyanibandhanam iti vibhūtyupasaṃhāre vakṣyati;	tad tad Sabda sAmAnADikaraNya nibanDanam iti viBUti upasaMhAre vakzyati;
   "na tad asti vinā yat syān mayā bhūtaṃ carācaram" iti sarveṣāṃ	"na tat asti vinA yat syAt mayA BUtam carAcaram" iti sarvezAm
   svenāvinābhāvavacanāt / avinābhāvaś ca niyāmyatayeti; "mattas sarvaṃ	svena avina aBAva vacanAt / avinA aBAvaH ca niyAmyatayA iti; "mattaH sarvam
   pravartate" ity upakramoditam /	pravartate" iti upakrama uditam /
   ādityānām ahaṃ viṣṇur jyotiṣāṃ ravir aṃśumān |	AdityAnAm aham vizNuH jyotizAm raviH aMSumAn |
   marīcir marutām asmi nakṣatrāṇām ahaṃ śaśī || BhG_1.1021 ||	marIciH marutAm asmi nakzatrANAm aham SaSI || Bhu _1.1021 ||
   dvādaśasaṃkhyāsaṃkhyātānām ādityānāṃ dvādaśo ya utkṛṣṭo viṣṇur nāmādityaḥ,	dvAdaSa saMKyA saMKyAtAnAm AdityAnAm dvAdaSaH yaH utkRzwaH vizNuH nAma AdityaH,
   so 'ham / jyotiṣāṃ jagati prakāśakānāṃ yaḥ aṃśumān raviḥ ādityagaṇaḥ, so	saH aham / jyotizAm jagati prakASakAnAm yaH aMSumAn raviH Aditya gaNaH, saH 
   'ham / marutām utkṛṣṭo marīcir yaḥ, so 'ham asmi / nakṣatrāṇām ahaṃ śaśī /	aham / marutAm utkRzwaH marIciH yaH, saH aham asmi / nakzatrANAm aham SaSI /
   neyaṃ nirdhāraṇe ṣaṣṭhī, "bhūtānām asmi cetanā" itivat / nakṣatrāṇāṃ patir	na iyam nirDAraNe zazWI, "BUtAnAm asmi cetanA" iti vat / nakzatrANAm patiH 
   yaś candraḥ, so 'ham asmi // BhGR_1.1021 //	yaH candraH, saH aham asmi // BhGR_1.1021 //
   vedānāṃ sāmavedo 'smi devānām asmi vāsavaḥ |	vedAnAm sAmavedaH asmi devAnAm asmi vAsavaH |
   indriyāṇāṃ manaś cāsmi bhūtānām asmi cetanā || BhG_1.1022 ||	indriyANAm manaH ca asmi BUtAnAm asmi cetanA || Bhu _1.1022 ||
   vedānām ṛgyajussāmātharvaṇāṃ ya utkṛṣṭaḥ sāmavedaḥ, so 'ham / devānām	vedAnAm Rc yajussAma aTarvaNAm yaH utkRzwaH sAmavedaH, saH aham / devAnAm
   indro 'ham asmi / ekādaśānām indriyāṇāṃ yad utkṛṣṭaṃ mana indriyam, tad	indraH aham asmi / ekAdaSAnAm indriyANAm yat utkRzwam manaH indriyam, tat 
   aham asmi / iyam api na nirdhāraṇe / bhūtānāṃ cetanāvatāṃ yā cetanā, so	aham asmi / iyam api na nirDAraNe / BUtAnAm cetanAvatAm yA cetanA, saH 
   'ham asmi // BhGR_1.1022 //	aham asmi // BhGR_1.1022 //
   rudrāṇāṃ śaṅkaraś cāsmi vitteśo yakṣarakṣasām |	rudrANAm SaFkaraH ca asmi vitteSaH yakza rakzasAm |
   vasūnāṃ pāvakaś cāsmi meruḥ śikhariṇām aham || BhG_1.1023 ||	vasUnAm pAvakaH ca asmi meruH SiKariNAm aham || Bhu _1.1023 ||
   rudrāṇām ekādaśānāṃ śaṅkaro 'ham asmi / yakṣarakṣasāṃ vaiśravaṇo 'ham /	rudrANAm ekAdaSAnAm SaFkaraH aham asmi / yakza rakzasAm vESravaNaH aham /
