   Devīgītā	DevI-gItA
   saṃvidrūpātiriktaṃ tu mithyā māyāmayaṃ jagat // Dg_9.45 = DbhP_7,39.45 //	saMvid-rUpa-atiriktam tu miTyA mAyA-mayam jagat // Dk-_9.45  DBP_7,39.45 //
   ataḥ saṃsāranāśāya sākṣiṇīmātmarūpiṇīm /	atas saMsAra-nASAya sAkziNIm-Atma-rUpiNIm /
   bhāvayennirmanaskena yogayuktena cetasā // Dg_9.46 = DbhP_7,39.46 //	BAvayet-nirmanaskena yoga-yuktena cetasA // Dk-_9.46  DBP_7,39.46 //
   ataḥ paraṃ bāhyapūjāvistāraḥ kathyate mayā /	atas param bAhya-pUjA-vistAraH kaTyate mayA /
   sāvadhānena manasā śṛṇu parvatasattama // Dg_9.47 = DbhP_7,39.47 //	sa-avaDAnena manasA SRNu parvata-sattamaH // Dk-_9.47  DBP_7,39.47 //
   iti devīgītāyāṃ navamo 'dhyāyaḥ -	iti devI-gItAyAm navamaH aDyAyaH -
   iti śrīdevībhāgavate mahāpurāṇe saptamaskandhe devīgītāyāmekonacatvāriṃśo	iti SrI-devI-BAgavate mahApurANe saptama-skanDe devI-gItAyAm-ekonacatvAriMSaH-
   'dhyāyaḥ	aDyAyaH
   daśamo 'dhyāyaḥ	daSamaH aDyAyaH
   saptamaḥ skandhaḥ	saptamaH skanDaH
   atha catvāriṃśo 'dhyāyaḥ	aTa catvAriMSaH aDyAyaH
   śrī devyuvāca	SrI devI-uvAca
   prātarutthāya śirasi saṃsmaretpadmamujjvalam /	prAtar-utTAya Sirasi saMsmaret-padmam-ujjvalam /
   karpūrābhaṃ smarettatra śrīguruṃ nijarūpiṇam // Dg_10.1 = DbhP_7,40.1 //	karpUra-ABam smaret-tatra SrI-gurum nija-rUpiNam // Dk-_10.1  DBP_7,40.1 //
   suprasann aṃ lasadbhūṣābhūṣitaṃ śaktisaṃyutam /	suprasan am lasat-BUzA-BUzitam Sakti-saMyutam /
   namaskṛtya tato devīṃ kuṇḍalīṃ saṃsmaredbudhaḥ // Dg_10.2 = DbhP_7,40.2 //	namaskRtya tatas devIm kuNxalIm saMsmaret-buDaH // Dk-_10.2  DBP_7,40.2 //
   prakāśamānāṃ prathame prayāṇe pratiprayāṇe 'pyamṛtāyamānām /	prakASamAnAm praTame prayANe pratiprayANe api-amRtAyamAnAm /
   antaḥ padavyāmanusañcarantīmānandarūpāmabalāṃ prapadye // Dg_10.3 =	antar padavyAm-anusaQcarantIm-Ananda-rUpAm-abalAm prapadye // Dk-_10.3 =
   DbhP_7,40.3 //	DBu-_7,40.3 //
   dhyātvaivaṃ tacchikhāmadhye saccidānandarūpiṇīm /	DyAtvA-evam tad-SiKA-maDye saccidAnanda-rUpiNIm /
   māṃ dhyāyedatha śaucāditriyāḥ sarvāḥ samāpayet // Dg_10.4 = DbhP_7,40.4 //	mAm DyAyet-aTa SOca-AditriyAH sarvAH samApayet // Dk-_10.4  DBP_7,40.4 //
   agnihotraṃ tato hūtvā matprītyarthaṃ dvijottamaḥ /	agnihotram tatas hUtvA mad-prIti-arTam dvijottamaH /
   homānte svāsane sthitvā pūjāsaṅkalpamācaret // Dg_10.5 = DbhP_7,40.5 //	homa-ante svAsane sTitvA pUjA-saFkalpam-Acaret // Dk-_10.5  DBP_7,40.5 //
   bhūtaśuddhiṃ purā kṛtvā mātṛkānyāsameva ca /	BUtaSudDim purA kRtvA mAtRkA-nyAsam-eva ca /
   hṛllekhāmātṛkānyāsaṃ nityameva samācaret // Dg_10.6 = DbhP_7,40.6 //	hRd-leKA-mAtRkA-nyAsam nityam-eva samAcaret // Dk-_10.6  DBP_7,40.6 //
   mūlādhāre hakāraṃ ca hṛdaye ca rakārakam /	mUlADAre hakAram ca hRdaye ca rakArakam /
   bhrūmadhye tadvadīkāraṃ hrīṅkāraṃ mastake nyaset // Dg_10.7 = DbhP_7,40.7	BrU-maDye tadvat-IkAram hrIFkAram mastake nyaset // Dk-_10.7  DBP_7,40.7
   tattanmantroditānanyānnyāsānsarvānsamācaret /	tad-tad-mantra-uditAn-anyAn-nyAsAn-sarvAn-samAcaret /
   kalpayetsvātmano dehe pīṭhaṃ dharmādibhiḥ punaḥ // Dg_10.8 = DbhP_7,40.8	kalpayet-sva-AtmanaH dehe pIWam Darma-AdiBiH punar // Dk-_10.8  DBP_7,40.8
   tato dhyāyenmahādevīṃ prāṇāyāmairvijṛmbhite /	tatas DyAyet-mahAdevIm prANAyAmEH-vijRmBite /
   hṛdambhoje mama sthāne pañcapretāsane budhaḥ // Dg_10.9 = DbhP_7,40.9 //	hRd-amBoje mama sTAne paQca-preta-Asane buDaH // Dk-_10.9  DBP_7,40.9 //
   brahmā viṣṇuśca rudraśca īśvaraśca sadāśivaḥ /	brahmA vizNuH-ca rudraH-ca ISvaraH-ca sadASivaH /
   ete pañca mahāpretāḥ pādamūle mama sthitāḥ // Dg_10.10 = DbhP_7,40.10 //	ete paQca mahA-pretAH pAda-mUle mama sTitAH // Dk-_10.10  DBP_7,40.10 //
   pañcabhūtātmakā hyete pañcāvasthātmakā api /	paQcaBUta-AtmakAH hi-ete paQca-avasTa-AtmakAH api /
   ahaṃ tvavyaktacidrūpā tadatītāsti sarvathā // Dg_10.11 = DbhP_7,40.11 //	aham tu-avyakta-cit-rUpA tad-atIta-asti sarvaTA // Dk-_10.11  DBP_7,40.11 //
   tato viṣṭaratāṃ yātāḥ śaktitantreṣu sarvadā /	tatas vizwara-tAm yAtAH Sakti-tantrezu sarvadA /
   dhyātvaivaṃ mānasairbhogaiḥ pūjayenmāṃ japedapi // Dg_10.12 = DbhP_7,40.12	DyAtvA-evam mAnasEH-BogEH pUjayet-mAm japet-api // Dk-_10.12  DBP_7,40.12
   japaṃ samarpya śrīdevyai tato 'rghyasthāpanaṃ caret /	japam samarpya SrI-devyE tatas arGya-sTApanam caret /
   pātrāsādanakaṃ kṛtvā pūjādravyāṇi śodhayet // Dg_10.13 = DbhP_7,40.13 //	pAtra-AsAdanakam kRtvA pUjA-dravyANi SoDayet // Dk-_10.13  DBP_7,40.13 //
   jalena tena manunā cāstramantreṇa deśikaḥ /	jalena tena manunA ca-astra-mantreNa deSikaH /
   digbandhaṃ ca purā kṛtvā gurūn natvā tataḥ param // Dg_10.14 =	digbanDam ca purA kRtvA gurUn natvA tatas param // Dk-_10.14 =
   DbhP_7,40.14 //	DBu-_7,40.14 //
   tadanujñāṃ samādāya bāhyapīṭhe tataḥ param /	tad-anujQAm samAdAya bAhya-pIWe tatas param /
   hṛdisthāṃ bhavitāṃ mūrtiṃ mama divyāṃ manoharām // Dg_10.15 = DbhP_7,40.15	hRdisTAm BavitAm mUrtim mama divyAm manoharAm // Dk-_10.15  DBP_7,40.15
   āvāhayettataḥ pīṭhe prāṇasthāpanavidyayā /	AvAhayet-tatas pIWe prANa-sTApana-vidyayA /
   asanāvāhane cārghyaṃ pādyādyācamanaṃ tathā // Dg_10.16 = DbhP_7,40.16 //	asanA-vAhane ca-arGyam pAdya-Adi-Acamanam taTA // Dk-_10.16  DBP_7,40.16 //
   snānaṃ vāsodvayaṃ caiva bhūṣaṇāni ca sarvaśaḥ /	snAnam vAsaH-dvayam ca-eva BUzaNAni ca sarvaSas /
   gandhapuṣpaṃ yathāyogyaṃ dattvā devyai svabhaktitaḥ // Dg_10.17 =	ganDa-puzpam yaTAyogyam dattvA devyE sva-BaktitaH // Dk-_10.17 =
   DbhP_7,40.17 //	DBu-_7,40.17 //
   yantrasthānāmāvṛtīnīṃ pūjanaṃ samyagācaret /	yantra-sTAnAm-AvRtInIm pUjanam samyak-Acaret /
   prativāramaśaktānāṃ śukravāro niyamyate // Dg_10.18 = DbhP_7,40.18 //	prativAram-aSaktAnAm Sukra-vAraH niyamyate // Dk-_10.18  DBP_7,40.18 //
   mūladevīprabhārūpāḥ smartavyā aṅgadevatāḥ /	mUladevI-praBA-rUpAH smartavyAH aFga-devatAH /
   tatprabhāpaṭalavyāptaṃ trailokyaṃ ca vicintayet // Dg_10.19 = DbhP_7,40.19	tad-praBA-pawala-vyAptam trElokyam ca vicintayet // Dk-_10.19  DBP_7,40.19
   punarāvṛttisahitāṃ mūladevīṃ ca pūjayet /	punarAvRtti-sahitAm mUladevIm ca pUjayet /
   gandhādibhiḥ sugandhaistu tathā puṣpaiḥ suvāsitaiḥ // Dg_10.20 =	ganDa-AdiBiH suganDEH-tu taTA puzpEH su-vAsitEH // Dk-_10.20 =
   DbhP_7,40.20 //	DBu-_7,40.20 //
   naivedyaistarpaṇaiścaiva tāmbūlairdakṣiṇādibhiḥ /	nEvedyEH-tarpaNEH-ca-eva tAmbUlEH-dakziNa-AdiBiH /
   toṣayenmāṃ tvatkṛtena nāmnāṃ sāhasrakeṇa ca // Dg_10.21 = DbhP_7,40.21 //	tozayet-mAm tvad-kRtena nAmnAm sAhasrakeNa ca // Dk-_10.21  DBP_7,40.21 //
   kavacena ca sūktenāhaṃ rudrebhiriti prabho /	kavacena ca sUktena-aham rudreBiH-iti praBo /
   devyatharvaśiromantrairhṛllekhopaniṣadbhavaiḥ // Dg_10.22 = DbhP_7,40.22	devI-aTarva-SiraH-mantrEH-hRt-leKA-upanizad-BavEH // Dk-_10.22  DBP_7,40.22
   mahāvidyāmahāmantraistoṣayenmāṃ muhurmuhuḥ /	mahAvidyA-mahA-mantrEH-tozayet-mAm muhur-muhur /
   kṣamāpayejjagaddhātrīṃ premārdrahṛdayo naraḥ // Dg_10.23 = DbhP_7,40.23 //	kzamApayet-jagadDAtrIm prema-Ardra-hRdayaH naraH // Dk-_10.23  DBP_7,40.23 //
   pulakāṅkitasarvāṅgairbāṣparuddhākṣiniḥsvanaḥ /	pulaka-aFkita-sarva-aFgEH-bAzpa-rudDa-akzi-niHsvanaH /
   nṛtyagītādighoṣeṇa toṣayenmāṃ muhurmuhuḥ // Dg_10.24 = DbhP_7,40.24 //	nRtya-gIta-Adi-GozeNa tozayet-mAm muhur-muhur // Dk-_10.24  DBP_7,40.24 //
   vedapārāyanaiścaiva purāṇaiḥ sakalairapi /	veda-pArAyanEH-ca-eva purANEH sakalEH-api /
   pratipādyā yato 'haṃ vai tasmāttaistoṣayettu mām // Dg_10.25 =	pratipAdyAH yatas aham vE tasmAt-tEH-tozayet-tu mAm // Dk-_10.25 =
   DbhP_7,40.25 //	DBu-_7,40.25 //
   nijaṃ sarvasvamapi me sadehaṃ nityaśo 'rpayet /	nijam sarva-svam-api me sa-deham nityaSas arpayet /
   nityahomaṃ tataḥ kuryādbrāhmaṇāṃśca suvāsinīḥ // Dg_10.26 = DbhP_7,40.26	nitya-homam tatas kuryAt-brAhmaNAn=-ca suvAsinIH // Dk-_10.26  DBP_7,40.26
   baṭukānpāmarānanyāndevībuddhyā tu bhojayet /	bawukAn-pAmarAn-anyAn-devI-budDyA tu Bojayet /
   natvā punaḥ svahṛdaye vyutkrameṇa visarjayet // Dg_10.27 = DbhP_7,40.27 //	natvA punar sva-hRdaye vyutkrameNa visarjayet // Dk-_10.27  DBP_7,40.27 //
   sarvaṃ hṛllekhayā kuryāt pūjanaṃ mama subrata /	sarvam hRlleKayA kuryAt pUjanam mama subrata /
   hṛllekhā sarvamantrāṇāṃ nāyikā paramā smṛtā // Dg_10.28 = DbhP_7,40.28 //	hRlleKA sarva-mantrANAm nAyikA paramA smRtAH // Dk-_10.28  DBP_7,40.28 //
   hṛllekhādarpaṇe nityamahaṃ tatpratibimbitā /	hRd-leKA-darpaNe nityam-aham tad-pratibimbitA /
   tasmād hṛllekhayā dattaṃ sarvamantraiḥ samarpitam // Dg_10.29 =	tasmAt hRd-leKayA dattam sarva-mantrEH samarpitam // Dk-_10.29 =
   DbhP_7,40.29 //	DBu-_7,40.29 //
   guruṃ sampūjya bhūṣādyaiḥ kṛtakṛtyatvamāvahet /	gurum sampUjya BUzA-AdyEH kRtakRtya-tvam-Avahet /
   ya evaṃ pūjayeddevīṃ śrīmadbhuvanasundarīm // Dg_10.30 = DbhP_7,40.30 //	yaH evam pUjayet-devIm SrImat-Buvana-sundarIm // Dk-_10.30  DBP_7,40.30 //
   na tasya durlabhaṃ kiñcit kadācit kvacidasti hi /	na tasya durlaBam kiQcid kadAcid kvacid-asti hi /
   dehānte tu maṇidvīpaṃ mama yātyeva sarvathā // Dg_10.31 = DbhP_7,40.31 //	dehAnte tu maNidvIpam mama yAti-eva sarvaTA // Dk-_10.31  DBP_7,40.31 //
   jñeyo devīsvarūpo 'sau devā nityaṃ namanti tam /	jQeyaH devI-svarUpaH asO devAH nityam namanti tam /
   iti te kathitaṃ rājan mahādevyāḥ prapūjanam // Dg_10.32 = DbhP_7,40.32 //	iti te kaTitam rAjan mahAdevyAH prapUjanam // Dk-_10.32  DBP_7,40.32 //
   vimṛśyaitadaśeṣeṇāpyadhikārānurūpataḥ /	vimRSya-etat-aSezeNa-api-aDikAra-anurUpatas /
   kuru me pūjanaṃ tena kṛtārthastvaṃ baviṣyasi // Dg_10.33 = DbhP_7,40.33 //	kuru me pUjanam tena kRtArTaH-tvam bavizyasi // Dk-_10.33  DBP_7,40.33 //
   idaṃ tu gītāśāstraṃ me nāśiṣyāya vadet kvacit /	idam tu gIta-aSAstram me na-aSizyAya vadet kvacid /
   nābhaktāya pradātavyaṃ na dhūrtāya ca durhṛde // Dg_10.34 = DbhP_7,40.34	na-aBaktAya pradAtavyam na DUrtAya ca durhRde // Dk-_10.34  DBP_7,40.34
   etatprakāśanaṃ māturuddhāṭanamurojayoḥ /	etat-prakASanam mAtuH-udDAwana-murojayoH /
   tasmādavaśyaṃ yatnena gopanīyamidaṃ sadā // Dg_10.35 = DbhP_7,40.35 //	tasmAt-avaSyam yatnena gopanIyam-idam sadA // Dk-_10.35  DBP_7,40.35 //
   deyaṃ bhaktāya śiṣyāya jyeṣṭhaputrāya caiva hi /	deyam BaktAya SizyAya jyezWa-putrAya ca-eva hi /
   suśīlāya suveṣāya devībhaktiyutāya ca // Dg_10.36 = DbhP_7,40.36 //	su-SIlAya su-vezAya devI-Bakti-yutAya ca // Dk-_10.36  DBP_7,40.36 //
   śrāddhakāle paṭhedetad brāhmaṇānām samīpataḥ /	SrAdDa-kAle paWet-etat brAhmaNAnAm samIpatas /
   tṛptāstatpitaraḥ sarve prayānti paramaṃ padam // Dg_10.37 = DbhP_7,40.37	tRptAH-tad-pitaraH sarve prayAnti paramam padam // Dk-_10.37  DBP_7,40.37
   vyāsa uvāca	vyAsaH uvAca
   ityuktvā sā bhagavatī tatraivāntaradhīyata /	iti-uktvA sA BagavatI tatra-eva-antaraDIyata /
   devāśca muditāḥ sarve devīdarśanato 'bhavan // Dg_10.38 = DbhP_7,40.38 //	devAH-ca muditAH sarve devI-darSanataH aBavan // Dk-_10.38  DBP_7,40.38 //
   tato himālaye jajñe devī haimavatī tu sā /	tatas himAlaye jajQe devI hEmavatI tu sA /
   yā gaurīti prasiddhāsīddattā sā śaṅkarāya ca // Dg_10.39 = DbhP_7,40.39 //	yA gOrI-iti prasidDA-AsIt-dattA sA SaFkarAya ca // Dk-_10.39  DBP_7,40.39 //
   tataḥ skandaḥ samudbhūtastārakastena pātitaḥ /	tatas skandaH samudBUtaH-tArakaH-tena pAtitaH /
   samudramanthane pūrvaṃ ratnānyāsurnarādhipa // Dg_10.40 = DbhP_7,40.40 //	samudra-manTane pUrvam ratnAni-AsuH-nara-aDipa // Dk-_10.40  DBP_7,40.40 //
   tatra devaiḥ stutā devī lakṣmīprāptyarthamādarāt /	tatra devEH stutA devI lakzmI-prApti-arTam-AdarAt /
   teṣāmanugrahārthāya nirgatā tu ramā tataḥ // Dg_10.41 = DbhP_7,40.41 //	tezAm-anugraha-arTAya nirgatA tu ramA tatas // Dk-_10.41  DBP_7,40.41 //
   vaikuṇṭhāya surairdattā tena tasya śamo 'bhavat /	vEkuNWAya surEH-dattA tena tasya SamaH aBavat /
   iti te kathitaṃ rājan devīmāhātmyamuttamam // Dg_10.42 = DbhP_7,40.42 //	iti te kaTitam rAjan devI-mAhAtmyam-uttamam // Dk-_10.42  DBP_7,40.42 //
   gaurīlakṣmyoḥ samudbhūtiviṣayaṃ sarvakāmadam /	gOrI-lakzmyoH samudBUti-vizayam sarva-kAma-dam /
   na vācyaṃ tvetadanyasmai rahasyaṃ kathitaṃ yataḥ // Dg_10.43 =	na vAcyam tu-etat-anyasmE rahasyam kaTitam yatas // Dk-_10.43 =
   DbhP_7,40.43 //	DBu-_7,40.43 //
   gītā rahasyabhūteyaṃ gopanīyā prayatnataḥ /	gItAH rahasya-BUtA-iyam gopanIyA prayatnataH /
   sarvamuktaṃ smasena yatpṛṣṭaṃ tattvayānagha // Dg_10.44 = DbhP_7,40.44 //	sarvam-uktam smasena yat-pRzwam tattvayA-anaGaH // Dk-_10.44  DBP_7,40.44 //
   pavitraṃ pāvanaṃ divyaṃ kiṃ bhūyaḥ śrotumicchasi // Dg_10.45 =	pavitram pAvanam divyam kim BUyas Srotum-icCasi // Dk-_10.45 =
   DbhP_7,40.45 //	DBu-_7,40.45 //
   iti devīgītāyāṃ daśamo 'dhyāyaḥ devīgītā samāptā -	iti devI-gItAyAm daSamaH aDyAyaH devI-gItA samAptAH -
   iti śrīdevībhāgavate mahāpurāṇe saptamaskandhe devīgītāyāṃ catvāriṃśo	iti SrI-devI-BAgavate mahApurANe saptama-skanDe devI-gItAyAm catvAriMSaH-
   'dhyāyaḥ	aDyAyaH
