   ṣaṣṭhaḥ paricchedaḥ	zazWaH paricCedaH
   veśena bodhyam /	veSena boDyam /
        kvacit nāyikāyāśca palāyamānādiceṣṭayā āpi tadvodhyam /	kvacid nAyikAyAH ca palAyamAna Adi cezwayA Api tad voDyam /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   narmasphūrjaḥ sukhārambho bhayānto navasaṃgamaḥ /	narma sPUrjaH suKa AramBaH Baya antaH nava saMgamaH /
   yathā mālavikāyām  saṅketanāyakamabhisṛtāyāṃ "nāyakaḥ  	yaTA mAlavikAyAm  saFketanAyakam aBisRtAyAm "nAyakaH  
   visṛja sundari ! saṅgamasādhvasaṃ nanu cirātprabhṛti praṇayonmukhe /	visRja sundari ! saFgam asADvasam nanu cirAt praBRti praNaya unmuKe /
   parigṛhaṇa gate sahakāratāṃ tvamatimuktalatācaritaṃ mayi" //	parigRhaNa gate sahakAra tAm tvam atimukta latA caritam mayi" //
   mālavikā  "bhaṭṭā, devīe bhaeṇa appaṇo vi pia kauṃ ṇa pāremi" ityādi /	mAla vikA  "BawwA, devIe BaeNa appaNaH vi pia kOm Na pAremi" ityAdi /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, cha) narmasphūrjamāha   narmasphurja iti /	(vi, Ca) narma sPUrjam Aha    narma sPurjaH iti /
        mālavikāyāmiti /	mAlavikAyAm iti /
        mālavikānāmanāṭikāyāmityarthaḥ /	mAlavikAnAm anAwikAyAm iti arTaH /
        saṅketanāyakaṃ nāyakam, niyikāyāṃ mālavikāyām /	saFketanAyakam nAyakam, niyikAyAm mAlavikAyAm /
        visṛjeti /	visRja iti /
        sundari ! saṅgame sādhvasaṃ bhayaṃ visṛja /	sundari ! saFgame sADvasam Bayam visRja /
        nanu bhościrāt praṇayonmukhe mayi atimuktalatāyāḥ	nanu BoH cirAt praNaya unmuKe mayi atimukta latAyAH
   mādhavīlatāyāścaritaṃ gṛhāṇa /	mADavI latAyAH caritam gRhANa /
        mayi kīdṛśe ? sahakāratāṃ cūtavṛkṣatāṃ gate, mādhavikayā	mayi kIdRSe ? sahakAra tAm cUtavRkza tAm gate, mADavikayA
   cūtāliṅganāt, tadvat māmāliṅgetyarthaḥ /	cUta AliFganAt, tadvat mAm AliFga iti arTaH /
        bhaṭṭā iti /	BawwAH iti /
        he bharttaḥ ! devyāḥ bhayena ātmano 'pi priyaṃ karttuṃ na pārayāmi	he BarttaH ! devyAH Bayena AtmanaH api priyam karttum na pArayAmi
   (saṃskṛtam) /	(saMskRtam) /
        ātmanaḥ priyamapīkatyanvayaḥ /	AtmanaH priyam apIkati anvayaH /
        atra sukhena saṅgamarūpanarmārambho bhayāntaḥ /	atra suKena saFgama rUpa narma AramBaH Baya antar /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   atha narmasphoṭaḥ   	aTa narma sPowaH   
   narmasphoṭo bhāvaleśaiḥ sūcitālparasā mataḥ // VisSd_6.127 //	narma sPowaH BAva leSEH sUcita alpa rasAH mataH // VisSd _6.127 //
   yathā mālatīmādhave   	yaTA mAlatI mADave   
   gamanamalasaṃ śūnyā dṛṣṭiḥ śarīramasauṣṭhavaṃ śvasitamadhikaṃ kintvetat	gamanam alasam SUnyA dRzwiH SarIram asOzWavam Svasitam aDikam kintu etat 
   syāt kimadanyadito 'thavā /	syAt kim adan yaditaH aTavA /
   bhramati bhuvane kandarpājñā vikāri ca yauvanaṃ lalitamadhurāste te bhāvāḥ	Bramati Buvane kandarpa AjQA vikAri ca yOvanam lalita maDurAH te te BAvAH
   kṣipanti ca dhīratām //	kzipanti ca DIra tAm //
   alasagamanādibhirbhāvaleśairmādhavasya mālatyāmanurāgaḥ stokaḥ prakāśitaḥ	alasa gamana AdiBiH BAva leSEH mADavasya mAlatyAm anurAgaH stokaH prakASitaH
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ja) narmasphoṭamāha   narmasphoṭa iti /	(vi, ja) narma sPowam Aha   narma sPowaH iti /
        gamanamalasamityādi /	gamanam alasamityAdi /
        māghavasya mālatyāṃ bhavasūcikeyamuktiḥ /	mAGavasya mAlatyAm BavasUcikeya muktiH /
        alasagamanādikam etat kinnu tasyāḥ, nanu bhoḥ kiṃ syāt ito 'nyat,	alasa gamana Adikam etat kinnu tasyAH, nanu BoH kim syAt itas anyat,
   atha vā kiyatsyādityarthaḥ /	aTa vA kiyatsyAt iti arTaH /
        adhikādhikasyāpi sambhāvanīyatvāditi bhāvaḥ /	aDika aDikasya api samBAvanIya tvAt iti BAvaH /
        adhikādhikasya sambhāvanīyaṃ hetumāha   bhramati bhuvana iti /	aDika aDikasya samBAvanIyam hetum Aha   Bramati BuvanaH iti /
        te te bhāvā vasantaravendvādayaḥ /	te te BAvAH vasantarava indu AdayaH /
        atrottarottarādhikādhikasambhāvanāyāṃ pūrvoktaiḥ sūcitasya bhāvasya	atra uttara uttara aDika aDika samBAvanAyAm pUrva uktEH sUcitasya BAvasya
   leśa evetyāha   alasetyādi /	leSaH eva iti Aha    alasA ityAdi /
        alasagamanādibhirityatra alasagamanādibhaiḥ sūcitairityarthaḥ /	alasa gamana AdiBiH iti atra alasa gamana Adi BEH sUcitEH iti arTaH /
        anurāgo nipralambharasaḥ /	anurAgaH nipralamBa rasaH /
        sambhogarūpanarmecchāvattvāt atra narma /	samBoga rUpa narma icCAvat tvAt atra narma /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   narmagarbho vyavahatirnetuḥ pracchannavartinaḥ /	narma garBaH vyavahatiH netuH pracCanna vartinaH /
   yathā  tatraiva sakhīrūpadhāriṇā mādhavena mālatyā maraṇavyavasāyavāraṇam	yaTA  tatra eva saKI rUpa DAriNA mADavena mAlatyAH maraNa vyavasAya vAraNam
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, jha) narmagarbhamāha   narmagarbha iti /	(vi, Ja) narma garBam Aha    narma garBaH iti /
        pracchannavarttinaḥ pracchannībhūya tiṣṭhataḥ neturnāyakasya	pracCanna varttinaH pracCannIBUya tizWataH netuH nAyakasya
   ityarthaḥ /	iti arTaH /
        vyavahṛtirvyavasāyaḥ /	vyavahRtiH vyavasAyaH /
        sakhīrūpeti /	saKI rUpA iti /
        mālatyāḥ sakhī lavaṅgikā /	mAlatyAH saKI lavaFgikA /
        pitrā rājājñayā jarate nandanāya dātuṃ kṛtaniścayā mālatīti	pitrA rAja AjQayA jarate nandanAya dAtum kRta niScayA mAlati iti
   devatagṛhe svamaraṇaṃ prārthayantī lavaṅgikāyāḥ pāde patitā mālatī /	devata gRhe sva maraNam prArTayantI lavaFgikAyAH pAde patitA mAlatI /
        stambhantaritasthito mādhavaśca lavaṅgikāveśena āgatya lavaṅgikām	stamBantarita sTitaH mADavaH ca lavaFgika AveSenaH Agatya lavaFgikAm
   apasārya tatsthāne svapādaṃ dattvā sthitaḥ /	apasArya tad sTAne sva pAdam dattvA sTitaH /
        tato mālatī utthāyā lavaṅgikābuddhyā tamāliṅgya paścād dṛṣṭvā	tatas mAlatI utTAyAH lavaFgikA budDyA tam AliFgya paScAt dRzwvA
   paricīyamānā vyavasāyat nivavṛte ityarthaḥ /	paricIyamAnA vyavasAyat nivavRte iti arTaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   atha sāttvatī   	aTa sAttvatI   
   sāttvatī bahulā sattva  śauryatyāgadayārjavaiḥ // VisSd_6.128 //	sAttvatI bahulA sattva    SOrya tyAga dayA ArjavEH // VisSd _6.128 //
   saharṣā kṣudraśṛṅgārā viśokā sādbhutā tathā /	saharzA kzudraSRFgArA viSokA sa adButA taTA /
   utthāpako 'tha sāṃghātyaḥ saṃlāpaḥ parivarttakaḥ // VisSd_6.129 //	utTApakaH aTa sAMGAtyaH saMlApaH parivarttakaH // VisSd _6.129 //
   viśeṣā iti cattvāraḥ sāttvatyāḥ parikīrttiḥ /	viSezAH iti cattvAraH sAttvatyAH parikIrttiH /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ña) sāttvatīṃ vṛttimāha   atheti /	(vi, Qa) sAttvatIm vRttim Aha   aTa iti /
        sattvādibhiḥ samastavyastālpatarair bahulā tadvaiśiṣṭyāt bāhulyavatī	sattva AdiBiH samastavyasta alpatarEH bahulA tad vESizwyAt bAhulyavatI
   harṣādyanyatarayuktā vṛttiśca sāttvatītyarthaḥ /	harza Adi anyatara yuktA vRttiH ca sAttvati iti arTaH /
        viśoka vigataśokā /	viSoka vigata SokAH /
        vīre rase śṛṅgārasyānuṣaṅgikatvena kṣudratvam /	vIre rase SRFgArasya anuzaFgika tvena kzudra tvam /
        atra kṣudraśṛṅgāratvena strīsaṃkulatvakāmopabogarāhityena	atra kzudra SRFgAra tvena strI saMkula tva kAma upabogarAhityena
   vīrarasatvena kauśikīto viśeṣaḥ /	vIra rasa tvena kOSikItaH viSezaH /
        asyāḥ prabhedacatuṣṭayamāha   utthāpaka ityādi /	asyAH praBeda catuzwayamAha   utTApakaH ityAdi /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   uttejanakarī śatrorvāgudhyāpaka ucyate // VisSd_6.130 //	uttejana karI SatroH vAguDyApakaH ucyate // VisSd _6.130 //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ṭa) uttejaneti   śatruṃ jetuṃ mitrasya uttejanam /	(vi, wa) uttejana iti     Satrum jetum mitrasya uttejanam /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   yathā mahāvīracarite   	yaTA mahAvIra carite   
   ānandāya ca vismayāya ca mayā dṛṣṭo 'si duḥkhāya vā vaitṛṣṇyantu mamāpi	AnandAya ca vismayAya ca mayA dRzwaH asi duHKAya vA vEtRzNyantu mama api
   samprati kutastvaddarśane cakṣuṣaḥ /	samprati kutas tvad darSane cakzuzaH /
   tvatsāṅgatyasukhasya nāsmi viṣayastat kiṃ vṛthā vyāhṛtaiḥ ? asmin	tvad sAFgatya suKasya na asmi vizayaH tat kim vRTA vyAhRtEH ? asmin
   viśrutajāmadagnyadamane pāṇau dhanurjṛnbhatām //	viSruta jAmadagnya damane pANO DanuH jRnBatAm //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ṭha) ānandāya ceti   paraśurāmāgame rāmaṃ prati janakasya	(vi, Wa) AnandAya ca iti   paraSurAma Agame rAmam prati janakasya
   vākyamidam /	vAkyam idam /
        dhanurbhaṅgena pratījñātārthasiddhyā yogyavaraprāptyā cānandaḥ /	DanuH BaFgena pratIjQAta arTa sidDyA yogya vara prAptyA ca AnandaH /
        vīryyātiśayadarśanād vismayaḥ /	vIryya atiSaya darSanAt vismayaH /
        rāmaṃ hantuṃ paraśurāmāgamanāt duḥ kham /	rAmam hantum paraSurAma AgamanAt duH Kam /
        ato 'dya tvaddarśane samprati etat kṣaṇe cakṣuṣaḥ kuto vaitṛṣṇayam /	atas adya tvad darSane samprati etat kzaNe cakzuzaH kutas vEtRzNayam /
        utkaṇṭhābāhulyāt kṣaṇāntare 'niṣṭanivṛttau tu utkaṇṭhānivṛttyā	utkaNWA bAhulyAt kzaNa antare anizwa nivRttO tu utkaNWA nivRttyA
   vaitṛṣṇyaṃ syāditi samprati padabhāvārthaḥ /	vEtRzNyam syAt iti samprati pada BAva arTaH /
        bahuvyāhṛtairvā kiṃ, yato vaivāhikamāṅgalyasukhasya na viṣayo 'smi /	bahu vyAhRtEH vA kiM, yatas vEvAhika mAFgalya suKasya na vizayaH asmi /
        ato 'smin viṃsmṛtasya jāmadagnyasya vijayanimittaṃ tava bāhau	atas asmin viMsmRtasya jAmadagnyasya vijaya nimittam tava bAhO
   dhanurjṛmbhatāmityarthaḥ /	DanuH jRmBatAm iti arTaH /
        atra paraśurāmaṃ jetumuttejanam /	atra paraSurAmam jetum uttejanam /
        atra vismayavaśād rāmaśauryyeṇānandādinā ca vaiśiṣṭyaṃ vīro rasaḥ /	atra vismaya vaSAt rAma SOryyeNa Ananda AdinA ca vESizwyam vIraH rasaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   mantrārthadaivaśaktyādeḥ sāghātyaḥ saṅghabhedanam /	mantra arTa dEva Sakti AdeH sa aGAtyaH saFGa Bedanam /
   mantraśaktyā yathā   mudrārākṣase rākṣasasāyānāṃ cāṇakyena svabuddhyā	mantra SaktyA yaTA   mudrA rAkzase rAkzasa sAyAnAm cANakyena sva budDyA
   bhedanam /	Bedanam /
   arthaśaktyāpi tatraiva /	arTa SaktyA api tatra eva /
   daivaśaktyā yathā   rāmāyaṇo rāvaṇādvibhīṣaṇasya bhedaḥ /	dEva SaktyA yaTA   rAmAyaNaH rAvaNAt viBIzaNasya BedaH /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ḍa) saṃhātyamāha  mantrārtheti /	(vi, xa) saMhAtyam Aha   mantra arTa iti /
        mantrasya mantraṇārthasya dhanasya daivasyādṛṣṭasya vā śakteḥ	mantrasya mantraNa arTasya Danasya dEvasya adRzwasya vA SakteH
   śaktihetoḥ saṃghasya sainyasamūhasya bhedanamityarthaḥ /	Sakti hetoH saMGasya sEnya samUhasya Bedanam iti arTaH /
        rākṣasaḥ śatrumantrī; cāṇakyo rājamantrī; svabuddhyā svamantraṇayā /	rAkzasaH Satru mantrI; cANakyaH rAja mantrI; sva budDyA sva mantraNayA /
        atra cāṇakyasya sattvadānānekasattvaṃ saṃghabhedanavaśād vīro rasaḥ /	atra cANakyasya sattva dAna aneka sattvam saMGa Bedana vaSAt vIraH rasaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   saṃlāpaḥ syādrabhīrāktirnānābhāvasamāśrayaḥ // VisSd_6.131 //	saMlApaH syAt raBIra aktiH nAnA BAva samASrayaH // VisSd _6.131 //
   yathā vīracarite   "rāmaḥ  ayaṃ saḥ, yaḥ kila	yaTA vIra carite   "rAmaH   ayam saH, yaH kila
   saparivārakārttikeyavijayāvajītena bhagavatā nīlalohite	sa parivAra kArttikeya vijayA avajItena BagavatA nIlalohite
   parivatsarasahastrāntevāsine tubhyaṃ prasādīkṛtaḥ paraśuḥ /	parivatsa rasa hastra antevAsine tuByam prasAdIkRtaH paraSuH /
   paraśurāmaḥ  rāma dāśarathe ! sa evāyamāryapādānāṃ priyaḥ paraśuḥ /	paraSurAmaH  rAma dASaraTe ! saH eva ayam Arya pAdAnAm priyaH paraSuH /
   "ityādi /	"ityAdi /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ḍha) saṃlāpamāha  saṃlāpa iti /	(vi, Xa) saMlApa mAha   saMlApaH iti /
        kārttikeyavijayāvarjiteneti /	kArttikeya vijayA varjitena iti /
        tad vijaye namrībhūtenetyarthaḥ /	tat vijaye namrIBUtena iti arTaH /
        atra kautukeneva vijayo na tu vāstava iti tatpitṛprasādagamyam /	atra kOtukena iva vijayaH na tu vAstavaH iti tad pitR prasAda gamyam /
        tathāparaprasādalabdhena paraśunā ko 'yaṃ garva iti rāmasya	taTA apara prasAda labDena paraSunA kaH ayam garvaH iti rAmasya
   gabhīrātmikā uktiḥ /	gaBIra AtmikA uktiH /
        paraśurāmoktau tatpriyavastvapi mahyaṃ dattamiti	paraSurAma uktO tat priya vastu api mahyam dattam iti
   svamahattvakhyāpanameva gabhīratā /	sva mahat tva KyApanam eva gaBIra tA /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   prārabdhādanyakāryāṇāṃ kāraṇaṃ parivartakaḥ /	prArabDAt anya kAryANAm kAraNam parivartakaH /
   yathā veṇyām   "bhāmaḥ   sahadeva ! gaccha tvaṃ gurumanuvartasva /	yaTA veNI Am   "BAmaH   sahadeva ! gacCa tvam gurum anuvartasva /
   ahamapyastrāgāraṃ praviśyāyudhasahāyo bhavāmīti yāvat /	aham api astra AgAram praviSya AyuDa sahAyaH BavAmi iti yAvat /
   athavā āmantrayitavyaiva mayā pāñcālī" /	aTavA AmantrayitavyA eva mayA pAQcAlI" /
   iti /	iti /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ṇa) parivarttakamāha  prārabdhāditi /	(vi, Na) parivarttakam Aha   prArabDAt iti /
        sahadeveti  atra prārabdhaṃ kāryyaṃ yuddham /	sahadeva iti  atra prArabDam kAryyam yudDam /
        tato 'nyat pāñcālyāmantraṇam /	tatas anyat pAQcAlyAmantraNam /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   athārabhaṭī   	aTa AraBawI   
   māyendrajālasaṃgrāmakrodhodbhrāntādiceṣṭitaiḥ // VisSd_6.132 //	mAyA indra jAla saMgrAma kroDa udBrAnta Adi cezwitEH // VisSd _6.132 //
   saṃyuktā vadhabandhādyairuddhatārabhaṭī matā /	saMyuktA vaDa banDa AdyEH udDa tAraBawI matA /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ta) athārabhaṭīti /	(vi, ta) aTa AraBawI iti /
        māyeti /	mAyA iti /
        māyā vidyāviśeṣastayā indrajālaṃ	mAyA vidyA viSezaH tayA indrajAlam
   parasparaviruddhanānāvastupradarśanam, saṃgramo yuddham, krodhena	paraspara virudDa nAnA vastu pradarSanam, saMgramaH yudDam, kroDena
   udbhrāntaceṣṭitam   svaparaṃjñānarāhityena ceṣṭā /	udBrAnta cezwitam    su aparaMjQA na rAhityena cezwA /
        etairyuktā ityarthaḥ /	etEH yuktAH iti arTaH /
        asyāḥ prabhedacatuṣṭayamāha   	asyAH praBeda catuzwayam Aha   
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   vastūtthāpanasaṃphaiṭau saṃkṣiptiravapātanam // VisSd_6.133 //	vastu utTApana saMPEwO saMkziptiH avapAtanam // VisSd _6.133 //
   iti bhedāstu catvāra ārabhaṭyāḥ prakīrtitāḥ /	iti BedAH tu catvAraH AraBawyAH prakIrtitAH /
   māyādyutthāpitaṃ vastu vastutthāpanamucyate // VisSd_6.134 //	mAyA Adi utTApitam vastu vastutTApanam ucyate // VisSd _6.134 //
   yathodāttarāghave   	yaTA udAtta rAGave   
   jīyante jayino 'pi sāndratimiravrātairviyadvyāpibhir  bhāsvantaḥ sakalā	jIyante jayinaH api sAndra timira vrAtEH viyat vyApiBiH  BAsvantaH sakalA
   raverapi karāḥ kasmādakasmādamī /	raveH api karAH kasmAt akasmAt amI /
   ete cograkabandhakaṇṭharudhirairādhmāyamānodarā	ete ca ugraka banDa kaNWa ruDirEH ADmAyamAna udarA
   muñcantyānanakaṃdarānalamucastīvrān ravān pheravāḥ //	muQcanti Anana kaMdara anala mucaH tIvrAn ravAn PeravAH //
   ityādi /	ityAdi /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, tha) vastṛtthāpanalakṣaṇamāha  māyeti /	(vi, Ta) vastRtTApana lakzaNam Aha  mAyA iti /
        jīyanta ityādi /	jIyante ityAdi /
        jayino 'pi vīrā viyadvyāpibhirniśīthatimiraiḥ samūhairjoyante	jayinaH api vIrAH viyat vyApiBiH niSITa timirEH samUhEH joyante
   ācchādyante /	AcCAdyante /
        raverapi amī bhāsvantaḥ sakalāḥ karāḥ akasmādakāle kasmādacchādyante	raveH api amI BAsvantaH sakalAH karAH akasmAt akAle kasmAt acCAdyante
        ugrakabandhakaṇṭharudhirairādhmāyamānam utphullamānamudaraṃ yeṣāṃ	ugraka banDa kaNWa ruDirEH ADmAyamAnam utPulla mAnam udaram yezAm
   tādṛśāḥ /	tAdRSAH /
        ānanarūpābhyaḥ kandarābhyo 'nalamuca ete pheravāḥ śṛgālāśca tīvrān	Anana rUpAByaH kandarAByaH anala muce ete PeravAH SRgAlAH ca tIvrAn
   ravān muñcantītyarthaḥ /	ravAn muQcanti iti arTaH /
        atra	atra
   parasparaviruddhālīkatimiraraviraśmyādipradarśanarūpamindrajālarūpavastu	paraspara virudDa alIka timira ravi raSmi Adi pradarSana rUpam indrajAla rUpa vastu
   māyayotthāpitam /	mAyayA utTApitam /
        raudro rasaḥ /	rOdraH rasaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   saṃpheṭastu samāghātaḥ kruddhasatvarayordūyoḥ /	saMPewaH tu samAGAtaH krudDa satvarayoH dUyoH /
   yathā mālatyāṃ mādhavāghoraghaṇṭayoḥ /	yaTA mAlatyAm mADava aGora GaNwayoH /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, da) sampheṭalakṣaṇamāha   sampheṭastviti /	(vi, da) samPewa lakzaNam Aha    samPewaH tu iti /
        samāghātaḥ prahāroktiḥ /	samAGAtaH prahAra uktiH /
        kruddheti /	krudDA iti /
        kruddhau ca tau satvarau ceti karmadhārayaḥ /	krudDO ca tO satvarO ca iti karmaDArayaH /
        mādhavāghoreti /	mADava aGora iti /
        tatra dvayoḥ kruddhatā /	tatra dvayoH krudDa tA /
        satvaratā parasparaprahāroktiśca /	satvaratA paraspara prahAra uktiH ca /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   saṃkṣiptā vasturacanā śilpairitarathāpi vā // VisSd_6.135 //	saMkziptA vastu racanA SilpEH itaraTA api vA // VisSd _6.135 //
