   Siddhārthacaritraṃ Kāvyam	SidDArTa-caritram KAvyam
   aśeṣasāṃsārikaśemuṣīmuṣo vavarṣa cūtāṃkuraśātasāyakān // 6.33 //	aSeza-sAMsArika-Semuzi-imuzaH vavarza cUta-aMkura-SAta-sAyakAn // 6.33 //
   iti pravṛtte madhumāsavaibhave vidhātumudyānavihāramutsukaḥ /	iti pravRtte maDu-mAsa-vEBave viDAtum-udyAna-vihAram-utsukaH /
   rathaṃ samāruhya narendranandanaḥ sahāvarodhena vinirjagāma saḥ // 6.34 //	raTam samAruhya narendra-nandanaH saha-avaroDena vinirjagAma saH // 6.34 //
   tataḥ kumārasya purandaraśriyaḥ prabodhakālo 'yamiti prabodhitum /	tatas kumArasya purandara-SriyaH praboDa-kAlaH ayam-iti praboDitum /
   krameṇa vṛddhāturaluptajīvitān pradarśayāmāsuramuṣya devatāḥ // 6.35 //	krameNa vRdDa-Atura-lupta-jIvitAn pradarSayAmAsuH-amuzya devatAH // 6.35 //
   krameṇa paśyan purataḥ sthitānamūn nitāntamudvignamanāḥ nṛpātmajaḥ /	krameNa paSyan puratas sTitAn-amUn nitAntam-udvigna-manAH nRpa-AtmajaH /
   kimetadityāahitavibhramaḥ svayaṃ purogatān paryanuyuṃkta sārathīn // 6.36	kim-etat-iti-Aahita-viBramaH svayam purogatAn paryanuyuMkta sAraTIn // 6.36
   savistaraṃ te 'pi surairadhiṣṭhitā narendraputrasya viraktikāraṇam /	sa-vistaram te api surEH-aDizWitAH narendra-putrasya virakti-kAraNam /
   krameṇa teṣāmatimātraduḥsahaṃ jarāvikārādikamācacakṣire // 6.37 //	krameNa tezAm-atimAtra-duHsaham jarA-vikAra-Adikam-Acacakzire // 6.37 //
   niśamya teṣāṃ vacanaṃ nṛpātmajo nikāmanirvedavibhāvitāśayaḥ /	niSamya tezAm vacanam nRpa-AtmajaH nikAma-nirveda-viBAvita-ASayaH /
   niyantritodyānavihārakautuko nivartayāśvāniti sūtamabravīt // 6.38 //	niyantrita-udyAna-vihAra-kOtukaH nivartaya-aSvAn-iti sUtam-abravIt // 6.38 //
   anantaraṃ tasya puraḥ surādhipairadarśi śāntānuśayastapodhanaḥ /	anantaram tasya puras surADipEH-adarSi SAnta-anuSayaH-tapoDanaH /
   vivṛddhakāruṇyasamudravīcikāviṭaṅkaviśrāntaviśālalocanaḥ // 6.39 //	vivRdDa-kAruNya-samudra-vIcikA-viwaFka-viSrAnta-viSAla-locanaH // 6.39 //
   prataptacāmīkaragauravigrahaḥ pravālabhaṅgāruṇacārucīvaraḥ /	pratapta-cAmIkara-gOra-vigrahaH pravAla-BaFga-aruNa-cAru-cIvaraH /
   prasannapūrṇendunibhānanadyutiḥ prabhūtamaitrīparivāhitāśayaḥ // 6.40 //	prasanna-pUrNa-indu-niBa-Anana-dyutiH praBUta-mEtrI-parivAhita-ASayaH // 6.40 //
   tamenamālokya ca śākyanandanastapasvināmagrasaraṃ savismayaḥ /	tam-enam-Alokya ca SAkya-nandanaH-tapasvinAm-agrasaram sa-vismayaH /
   ka eṣa kā vāsya caritracāturītyapṛcchadabhyāśajuṣaḥ svasārathon // 6.41 //	kaH eza kA vA-asya caritra-cAturIti-apRcCat-aByASa-juzaH svasAraTon // 6.41 //
   ayaṃ mahābhāga! viśuddhamānasaḥ pavitraśīlaḥ paramārthadeśikaḥ /	ayam mahABAga! viSudDa-mAnasaH pavitra-SIlaH parama-arTa-deSikaH /
   savāsanonmūlitasarvakilviṣastapodhanaḥ kaścidapaścimaḥ satām // 6.42 //	sa-vAsana-unmUlita-sarva-kilvizaH-tapoDanaH kaScid-apaScimaH satAm // 6.42 //
   amuṣya yaḥ śāsanamāśrito jano jarāvikārāditaraṅgabhaṅguram /	amuzya yaH SAsanam-ASritaH janaH jarA-vikAra-Adi-taraFga-BaFguram /
   krameṇa nistīrya sa janmasāgaraṃ prayāti nirvāṇapadaṃ niruttaram // 6.43	krameNa nistIrya sa janma-sAgaram prayAti nirvANa-padam niruttaram // 6.43
   iti pravīrāḥ kṣitipālanandanaprabodhanārthaṃ vibudhānubhāvataḥ /	iti pravIrAH kzitipAla-nandana-praboDana-arTam vibuDa-anuBAvataH /
   vitenire vāṅmanasātigocaraṃ taponidhestasya caritravarṇanam // 6.44 //	vitenire vAc-manasA-ati-gocaram tapaH-niDeH-tasya caritra-varNanam // 6.44 //
   itthaṃ śrutvā sārathīnāṃ vacastallabdhopāyaḥ saṃsṛterniṣkramāya /	itTam SrutvA sAraTInAm vacaH-tad-labDa-upAyaH saMsRteH-nizkramAya /
   santuṣṭāntarmānaso rājasūnurbhūyo 'pyaicchat kartumudyānalīlām // 6.45 //	santuzwa-antar-mAnasaH rAja-sUnuH-BUyaH api-EcCat kartum-udyAna-lIlAm // 6.45 //
   iti buddhaghoṣaviracite padyacūḍāmaṇināmni mahākāvye ṣaṣṭhaḥ sargaḥ //	iti budDa-Goza-viracite padya-cUxAmaNi-nAmni mahAkAvye zazWaH sargaH //
   saptamaḥ sargaḥ	saptamaH sargaH
   siddhārthasyodyānapraveśaḥ	sidDArTasya-udyAna-praveSaH
   pracoditāśvaḥ punareva sūtaiḥ pratodahastairnaralokavīraḥ /	pracodita-aSvaH punar-eva sUtEH pratoda-hastEH-nara-loka-vIraH /
   ākhaṇḍalodayānamano 'bhirāmamārāmamatyadbhutamāviveśa // 7.1 //	AKaNxala-udayA-namanaH aBirAmam-ArAmam-ati-adButam-AviveSa // 7.1 //
   vidyāgṛhaṃ pañcamapāṭhakānāṃ vikalpatūṇīramananyayoneḥ /	vidyA-gRham paQcama-pAWakAnAm vikalpa-tUNIram-ananya-yoneH /
   gañjāgṛhaṃ ṣaṭpadakāminīnāṃ krīḍāgṛhaṃ kiñca vasantalakṣmyāḥ // 7.2 //	gaQjA-gRham zawpada-kAminInAm krIxA-gRham kiQca vasanta-lakzmyAH // 7.2 //
   carācarāṇamabhivandanīyamāgantumudyānāmahīruhastam /	carAcarANam-aBivandanIyam-Agantum-udyAnAm-ahIruhaH-tam /
   marudvaśādānamitaiḥ śirobhirbaddhaprabālāñjalayaḥ praṇemuḥ // 7.3 //	marut-vaSa-AdAna-mitEH SiroBiH-badDa-prabAla-aQjalayaH praNemuH // 7.3 //
   parāgasampatsikatāvakīrṇe paryukṣite puṣparasaiḥ patadbhiḥ /	parAga-sampad-sika-tA-avakIrNe paryukzite puzpa-rasEH patadBiH /
   kṛtopahāre galitaiḥ prasūnairudyānamadhye vijahāra vīraḥ // 7.4 //	kRta-upahAre galitEH prasUnEH-udyAna-maDye vijahAra vIraH // 7.4 //
   latāṅgahārairlalitāligītairvanapriyāmañjuravaiśca vādyaiḥ /	latA-aFga-hArEH-lalita-ali-gItEH-vanapriyA-maQju-ravEH-ca vAdyEH /
   ārāmabhūmiṃ sa vilokya mene saṅgītaśālāmiva śambarāreḥ // 7.5 //	ArAma-BUmim sa vilokya mene saFgIta-SAlAm-iva Sambara-areH // 7.5 //
   taruprasūnānyapacetukāmā vāmālakā mandapadaṃ carantyaḥ /	taru-prasUnAni-apacetu-kAmAH vAmAlakAH manda-padam carantyaH /
   kumārasevārthamupasthitānāṃ śaṅkāṃ vitenustarudevatānām // 7.6 //	kumAra-sevA-arTam-upasTitAnAm SaFkAm vitenuH-taru-devatAnAm // 7.6 //
   ālāpamārāmavihāriṇīnāmākarṇayanto hariṇekṣaṇānām /	AlApam-ArAma-vihAriNInAm-AkarNayantaH hariNa-IkzaNAnAm /
   vilajjamānā iva baddhamaunāstasthuḥ kṣaṇaṃ tatra vasantaghoṣāḥ // 7.7 //	vilajjamAnAH iva badDa-mOnAH-tasTuH kzaNam tatra vasanta-GozAH // 7.7 //
   mañjīranādacchalato mamārtiṃ na subhru! kuryā iti nāthateva /	maQjIra-nAda=-CalataH mama-Artim na suBru! kuryAH iti nATatA-iva /
   padena paṅkeruhakomalena pasparśa kācicchanakairaśokam // 7.8 //	padena paFkeruha-komalena pasparSa kAcid-SanakEs-aSokam // 7.8 //
   aśokayaṣṭistaruṇījanasya pādāmbujasparśamivāsahiṣṇuḥ /	aSoka-yazwiH-taruNI-janasya pAda-ambuja-sparSam-iva-asahizNuH /
   navapravālaprasavāpadeśāt kopānalajvālamivotsasarja // 7.9 //	nava-pravAla-prasava-apadeSAt kopa-anala-jvAlam-iva-utsasarja // 7.9 //
   sudhāmarīcidyutiśītalena karāmbujasparśasukhena kācit /	suDA-marIci-d-yuti-SItalena kara-ambuja-sparSa-suKena kAcid /
   udbhidyamānāṃkuraromaharṣaṃ putrāgatāṃ prāpayati sma cūtam // 7.10 //	udBidyamAna-aMkura-roma-harzam putra-AgatAm prApayati sma cUtam // 7.10 //
   asūta sadyaḥ sahakāraśākhī navāṃkuran puṅkhitacārupatrān /	asUta sadyas sahakAra-SAKI nava-aMkuran puFKita-cAru-patrAn /
   ananyayonerabhimānahetū naruntudān pānthabadhūjanānām // 7.11 //	ananya-yoneH-aBimAna-hetU naruntudAn pAnTa-baDU-janAnAm // 7.11 //
   saugandhikendīvaravāsitena salīlamantarmukhasambhṛtena /	sOganDika-indIvara-vAsitena sa-lIlam-antarmuKa-samBRtena /
   purāṇamādhvīkarasena kācidaśokatāṃ kesaramānināya // 7.12 //	purANa-mADvIka-rasena kAcid-aSoka-tAm kesaram-AninAya // 7.12 //
   manojñagandhairvakuladrumāṇāṃ svayaṃ vikīrṇaiḥ sumanonikāyaiḥ /	manojQa-ganDEH-vakula-drumANAm svayam vikIrNEH sumanaH-nikAyEH /
   latāpratānena vicitramekā saṅkalpayāmāsa vikalpakāñcīm // 7.13 //	latA-pratAnena vicitram-ekA saFkalpayAmAsa vikalpa-kAQcIm // 7.13 //
   upāhṛtaiḥ kāñcanapuṣpajālairudāragandhairnavamallikāyāḥ /	upAhRtEH kAQcana-puzpa-jAlEH-udAra-ganDEH-navamallikAyAH /
   āpūrayantī nijakeśapāśamanaṅgatūṇīramivābabandha // 7.14 //	ApUrayantI nija-keSa-pASam-anaFga-tUNIram-iva-AbabanDa // 7.14 //
   āvarjyaśākhāṃ karapallavena prasahya puṣpāpacayonmukhāyāḥ /	Avarjya-SAKAm karapallavena prasahya puzpa-apacaya-unmuKAyAH /
   ruṣeva kasyāścidaśokayaṣṭistiraskaroti sma dṛśaṃ parāgaiḥ // 7.15 //	ruzA-iva kasyAScid-aSokayazwiH-tiraskaroti sma dRSam parAgEH // 7.15 //
   kareṇa sākaṃ mama komalena spardhāmidaṃ kiṃ paruṣaṃ bhajeta /	kareNa sAkam mama komalena sparDAm-idam kim paruzam Bajeta /
   ityāttaroṣeva salīlamekā cūtapravālasya cakāra bhaṅgam // 7.16 //	iti-At-tarozA-iva sa-lIlam-ekA cUta-pravAlasya cakAra BaFgam // 7.16 //
   sindūrasaundaryasahodareṇa śephālikāpuṣparajaḥkaṇena /	sindUra-sOndarya-sahodareNa SePAlikA-puzpa-rajaH-kaNena /
   cakāra sakhyāḥ savilāsamekā phālasthale cārutamālapatram // 7.17 //	cakAra saKyAH sa-vilAsam-ekA PAla-sTale cAru-tamAla-patram // 7.17 //
   ākṛṣya śākhāḥ sadayaṃ latānāmālūya hastena navapravālam /	AkRzya SAKAH sa-dayam latAnAm-AlUya hastena nava-pravAlam /
   māṇikyabhūṣāmapasārya kaṇṭhe niveśayāmāsa patiḥ parasyāḥ // 7.18 //	mANikya-BUzAm-apasArya kaNWe niveSayAmAsa patiH parasyAH // 7.18 //
   kācit pragalbhā ramaṇasya karṇe niveśayantī kila karṇapūram /	kAcid pragalBA ramaNasya karNe niveSayantI kila karNapUram /
   āveṣṭya kaṇṭhaṃ bhujabandhanena kapolakāntiṃ paricumbati sma // 7.19 //	Avezwya kaNWam Buja-banDanena kapola-kAntim paricumbati sma // 7.19 //
   navaprasūnaiḥ sakalāṅganaddhairmanoharāḥ kāścana vārijākṣyaḥ /	nava-prasUnEH sakala-aFga-nadDEH-manoharAH kAScana vArija-akzyaH /
   ayugmabāṇāyudhadevatānāmāviṣkṛtānāmavahannabhivayām // 7.20 //	ayugma-bANa-AyuDa-devatA-nAm-AvizkRtAnAm-avahan=-aBivayAm // 7.20 //
   stanābhirāmastabakojjvalānāṃ dantacchadāpāṭalapallavānām /	stana-aBirAma-stabaka-ujjvalAnAm danta=-Cada-apAwala-pallavAnAm /
   madhye latānāaṃ nibhṛtaṃ vasantīṃ sakhīṃ vivektuṃ na śaśāka kācit // 7.21	maDye latAnAam niBRtam vasantIm saKIm vivektum na SaSAka kAcid // 7.21
   itthaṃ kumārasya sahāvarādhaiḥ salīlamārāmavihārabhājaḥ /	itTam kumArasya saha-avarADEH sa-lIlam-ArAma-vihAra-BAjaH /
   ālokanāyeva sahasrabhānurākāśamadhyaṃ paramadhyarukṣat // 7.22 //	AlokanAya-iva sahasraBAnuH-AkASa-maDyam parama-Dya-rukzat // 7.22 //
   caṇḍātapasparśavivardhamānamarīcikāvāpivihāradakṣaḥ /	caNxa-Atapa-sparSa-vivarDamAna-marIci-kAvApi-vihAra-dakzaH /
   sandhukṣayaṃstāpamatīva tāsāṃ madhyāhnaśaṃsī marudājagāma // 7.23 //	sanDu-kzayan=-tApam-atIva tAsAm maDyAhna-SaMsI marut-AjagAma // 7.23 //
   chāyāstarūṇāmabhitaḥ pravṛttāścaṇḍātape kṣantumivāsamarthāḥ /	CAyA-astarUNAm-aBitas pravRttAH-caNxa-Atape kzantum-iva-asamarTAH /
   mūlālavālaṃ muhurambusekasañjātaśaityaṃ śanakairupeyuḥ // 7.24 //	mUla-AlavAlam muhur-ambu-seka-saQjAta-SEtyam SanakEs-upeyuH // 7.24 //
   vihārasañjātapariśramāṇāṃ vilāsinīnāmalikasthalīṣu /	vihAra-saQjAta-pariSramANAm vilAsinIna-Amalika-sTalIzu /
   pradurbabhūvuḥ śramavārileśāḥ pradyumnakīrtyaṅkaranirviśeṣāḥ // 7.25 //	pradurbaBUvuH Srama-vAri-leSAH pradyumna-kIrti-aFkara-nirviSezAH // 7.25 //
   dharmodabinduprakarā virejuḥ kapolapālīṣu nitambinīnām /	Darma-uda-bindu-prakarAH virejuH kapola-pAlIzu nitambinInAm /
   snānārthamānetumamūḥ purastāt taḍākadūtā iva samprayātāḥ // 7.26 //	snAna-arTam-Anetum-amUH purastAt taxAka-dUtAH iva samprayAtAH // 7.26 //
   ārāmabhūmāvativāhya tāpaṃ mādhyāhnikaṃ madhyamalokapālaḥ /	ArAma-BUmO=-ativAhya tApam mA-aDyAhnikam maDyama-lokapAlaH /
   āsevyamāno varavarṇinībhirambhovihārārthamavāpa vāpīm // 7.27 //	AsevyamAnaH varavarNinIBiH-amBaH-vihAra-arTam-avApa vApIm // 7.27 //
   mandānilāndolitavīcimālāḍolāyamānonmadarājahaṃsīm /	manda-anila-Andolita-vIci-mAlA-xolAyamAna-unmada-rAjahaMsIm /
   samphullakalhāravijṛmbhamāṇasaurabhyapūraplavamānabhṛṅgīm // 7.28 //	samPulla-kalhAra-vijRmBamANa-sOraBya-pUra-plavamAna-BRFgIm // 7.28 //
   kumudvatīkośapuṭāvatīrṇamādhvīkadhārāmadhurapravāhām /	kumudvatI-koSa-puwa-avatIrNa-mADvIka-DArA-maDura-pravAhAm /
   uttuṅgakallolavitānaratnaraṅgasthalīcaṃkramamāṇamatsyām // 7.29 //	uttuFga-kallola-vitAna-ratna-raFga-sTalI-caMkramamANa-matsyAm // 7.29 //
   ekatra phullairnavapuṇḍarīkairgaṅgānuṣaktāmiva dṛśyamānām /	ekatra PullEH-nava-puNxarIkEH-gaFgA-anuzaktAm-iva dRSyamAnAm /
   raktāravindairitaratra bhinnaiḥ śoṇopagūḍhāmiva śobhamānām // 7.30 //	rakta-aravindEH-itaratra BinnEH SoNa-upagUXAm-iva SoBamAnAm // 7.30 //
   patatripakṣapravikīrṇapadmaparāgasindūritadigvibhāgām /	patatri-pakza-pravikIrNa-padma-parAga-sindUrita-diS-viBAgAm /
   sa śīkarāsūtritadurdinābhālokya vāpīmadhikaṃ nananda // 7.31 //	sa SIkarA-sUtrita-durdina-ABa-Alokya vApIm-aDikam nananda // 7.31 //
   duḍhāvabaddhāyatakeśapāśaiḥ śṛṅgānuṣaṅgojjvalapāṇipadmaiḥ /	duXAvabadDa-Ayata-keSa-pASEH SRFga-anuzaFga-ujjvala-pANi-padmEH /
   sahāvarodhaiḥ sa vihāra vāpīmavātarat pāśadharaprabhāvaḥ // 7.32 //	saha-avaroDEH sa vihAra vApIm-avAtarat pASaDara-praBAvaH // 7.32 //
   tatpūrvamabhyāgatamādareṇa tamūrmihastaiḥ paritabhya vāpī /	tat-pUrvam-aByAgatam-AdareNa tam-Urmi-hastEH paritaBya vApI /
   karṇābhirāmaiḥ kalahaṃsanādairvārttānuyogaṃ madhuraṃ cakāra // 7.33 //	karNa-aBirAmEH kalahaMsa-nAdEH-vArtta-anuyogam maDuram cakAra // 7.33 //
   antarvigāḍhe sati sundarībhirudvelatāṃ prāpa mahātaḍāgaḥ /	antar-vigAXe sati sundarIBiH-udvelatAm prApa mahA-taxAgaH /
   jalāśayāḥ strīṣu kṛtānuṣaṅgāḥ kathaṃ nu velāṃ na vilaṅghyanti // 7.34 //	jalASayAH strIzu kRta-anuzaFgAH kaTam nu velAm na vilaFGyanti // 7.34 //
   kaṭhorakāntākucamaṇḍalānāmāghātabhītā iva vepamānāḥ /	kaWora-kAnta-akuca-maNxalAnAm-AGAta-BItAH iva vepamAnAH /
   kallolamālāḥ kaṇikāpadeśānmuktopahārānupaninyurāsām // 7.35 //	kallola-mAlAH kaNikA-apadeSAt-muktA-upahArAnupaninyuH-AsAm // 7.35 //
   padmākare paṅkajalocanābhirnarendrasūnurvijahāra sārdham /	padma-Akare paFkaja-locanABiH-narendra-sUnuH-vijahAra sArDam /
   salīlamantaḥpurikāṅganābhiḥ sākaṃ pracetā iva vārirāśau // 7.36 //	sa-lIlam-antaHpurika-aFganABiH sAkam pracetAH iva vAri-rASO // 7.36 //
   kāntākarodañcitavāridhārāḥ kāntasya vāhvorupari prakīrṇāḥ /	kAntA-kara-udaQcita-vAri-DArAH kAntasya vAhvoH-upari prakIrNAH /
   ayatnabālavyajanopacāracāturyadhuryāḥ kṣaṇamātramāsan // 7.37 //	ayatna-bAla-vyajana-upacAra-cAturya-DuryAH kzaNa-mAtram-Asan // 7.37 //
   parisphuracchīkaradanturāṅgaṃ paryāyavalgatkucakumbhahāram /	parisPurat-SIkara-dantura-aFgam paryAya-valgat-kuca-kumBa-hAram /
   kāścit karaiḥ kāntamivāparāddhamāsphālayāmāsuramandamambhaḥ // 7.38 //	kAScid karEH kAntam-iva-aparAdDama-AsPAlayAmAsura-mandam-amBaH // 7.38 //
   taraṅgaraṅge saha bhṛṅgagānaiḥ saroruhe tāṇḍavamādadhāne /	taraFga-raFge saha BRFga-gAnEH saroruhe tANxavam-AdaDAne /
   hastāmbujairāttamṛṇāladaṇḍairavādayan vārimṛdaṅgamanyāḥ // 7.39 //	hasta-ambujEH-Atta-mRNAla-daNxEH-avAdayan vAri-mRdaFgam-anyAH // 7.39 //
   nimajjanonmajjanarāgiṇībhirnitambinībhirniviḍastaḍāgaḥ /	nimajjana-unmajjana-rAgiNIBiH-nitambinIBiH-nivixaH-taxAgaH /
   aśumbhadambhonidhirantarāntarāvirbhavantībhirivāpsarobhiḥ // 7.40 //	aSumBa-damBoniDiH-antara-antara-AvirBavantIBiH-iva-apsaroBiH // 7.40 //
   krīḍātaḍākaṃ kṣitipālasūnuḥ keyūrabhogīndravṛtena doṣṇā /	krIxA-taxAkam kzitipAla-sUnuH keyUra-Bogi-indra-vRtena dozNA /
   mamantha bhūbhāradhurandhareṇa manthādriṇā sindhumivābjanābhaḥ // 7.41 //	mamanTa BU-BAra-DuranDareNa manTa-adriNA sinDum-iva-abjanABaH // 7.41 //
   kṣoṇībhujā kuṃkumavāridhārā yantraprayuktā ramaṇīmukheṣu /	kzoNIBujA kuMkuma-vAri-DArAH yantra-prayuktAH ramaNI-muKezu /
   papāta paṃkeruhakānaneṣu prabheva bhānoḥ prathamāvatārā // 7.42 //	papAta paMkeruha-kAnanezu praBA-iva BAnoH praTama-avatArAH // 7.42 //
   vāmabhruvastaṃ maṇiśṛṅgamuktairavākiran kuṃkumavāripūraiḥ /	vAma-BruvaH-tam maNi-SRFga-muktEH-avAkiran kuMkuma-vAri-pUrEH /
   tathāgataḥ so 'yamatīva reje sapallavaśrīriva pārijātaḥ // 7.43 //	taTAgataH saH ayam-atIva reje sa-pallava-SrIH-iva pArijAtaH // 7.43 //
   kasyāścidāviṣkṛtacandrikāyāḥ karābjayantraprahitāmbudhārā /	kasyAScid-AvizkRta-candrikAyAH kara-abja-yantra-prahita-ambu-DArAH /
   papāta patyurmaṇimaulibandhe gaṅgeva devasya jaṭākalāpe // 7.44 //	papAta patyuH-maNi-mOlibanDe gaFgA-iva devasya jawA-kalApe // 7.44 //
   svahastayantraprahitābhiradbhiḥ pidhāya kasyāścana netrayugmam /	sva-hasta-yantra-prahitABiH-adBiH piDAya kasyAScana netra-yugmam /
   viṭaḥ parasyā vinimīlitākṣyāścucumba bimbādharamādareṇa //	viwaH parasyAH vinimIlita-akzyAH-cucumba bimba-aDaram-AdareNa //
   kayācidabhyarṇajuṣaḥ salīlaṃ kāntasya kaṇṭhe prahitāmbudhārā /	kayAcid-aByarNa-juzaH sa-lIlam kAntasya kaNWe prahita-ambu-DArAH /
   cetobhuvā cittamṛgaṃ grahītuṃ vyāpāritā vāguriteva reje // 7.46 //	cetaH-BuvA citta-mRgam grahItum vyApAritAH vAguritA-iva reje // 7.46 //
   vaktre manojñasmitacandrikābhūd vakṣoruhe nirjharakāntirāsīt /	vaktre manojQa-smita-candrikA-aBUt vakzoruhe nirJara-kAntiH-AsIt /
   madhye babhūvābhrasaridvilāso vāmabhruvāṃ majjanavāridhārā // 7.47 //	maDye baBUva-aBra-sarit-vilAsaH vAma-BruvAm majjana-vAri-DArAH // 7.47 //
   āplāvayāmāsa karodakena vaktraṃ sa kasyāścana mānavatyāḥ /	AplAvayAmAsa kara-udakena vaktram sa kasyAScana mAnavatyAH /
   tadeva tanmānaparigrahasya jalāñjaliprakramamālalambe // 7.48 //	tat-eva tad-mAna-parigrahasya jala-aQjali-prakramam-Alalambe // 7.48 //
   nimajya kāsāñcidudañcitānāṃ vakṣoruhāḥ prakṣaradambudhārāḥ /	nimajya kAsAQcit-udaQcitAnAm vakzoruhAH prakzarat-ambu-DArAH /
   cakāśire cañcupuṭāpakṛṣṭamṛṇālanālā iva cakravākāḥ // 7.49 //	cakASire caQcu-puwa-apakRzwa-mRNAla-nAlAH iva cakravAkAH // 7.49 //
   nirākṛte kāpi taraṅgavātaiḥ stanottarīye sati lajjamānā /	nirAkRte kA-api taraFga-vAtEH stana-uttarIye sati lajjamAnA /
   kucasthalaṃ navyanakhavraṇāṅkaṃ ḍiṇḍīrapiṇḍena tiraścakāra // 7.50 //	kuca-sTalam navya-naKa-vraNa-aFkam xiNxIra-piNxena tiras-cakAraH // 7.50 //
   kasyāścidantaḥsalile nimajya samuccalantyāḥ sarasaṃ mukhābjam /	kasyAScid-antar-salile nimajya samuccalantyAH sarasam muKa-abjam /
   samujjihānasya samudramadhyāt tārāpaterbimbamivābabhāse // 7.51 //	samujjihAnasya samudra-maDyAt tArApateH-bimbam-iva-AbaBAse // 7.51 //
   ambhovihārākulitaiḥ payobhirapākṛteṣvañjanamaṇḍaneṣu /	amBaH-vihAra-AkulitEH payoBiH-apAkRtezu-aQjana-maNxanezu /
   roṣādivāntaḥpuramundarīṇāṃ netrāravindānyaruhaṇībabhūvuḥ // 7.52 //	rozAt-iva-antaHpura-mundarINAm netra-aravindAni-aruhaNI-baBUvuH // 7.52 //
   payodharāḥ paṅkajalocanānāṃ pāthovihāre patadambudhārāḥ /	payoDarAH paFkaja-locanAnAm pATaH-vihAre patat-ambu-DArAH /
   nāgendrakumbhā iva naddhahārāḥ sanirjharaughā iva śailaśṛṅgāḥ // 7.53 //	nAga-indra-kumBAH iva nadDa-hArAH sa-nirJara-oGAH iva SEla-SRFgAH // 7.53 //
   anaṅgasāmrājyamahābhiṣekakumbhāvivāmbhoruhalocanāyāḥ /	anaFga-sAmrAjya-mahA-aBizeka-kumBO=-iva-amBoruha-locanAyAH /
   vakṣoruhau maṅgalaśṛṅgasaṃsthairavākiran vāribharaiḥ parasyāḥ // 7.54 //	vakzoruhO maFgala-SRFga-saMsTEH-avAkiran vAri-BarEH parasyAH // 7.54 //
   bibhūṣaṇairvidrumapuṣyarāgavaiḍūryagārutmatapadmarāgaiḥ /	biBUzaNEH-vidruma-puzya-rAga-vExUrya-gArutmata-padmarAgEH /
   aṅgacyutairambujalocanānāṃ ratnākaro 'bhūt kamalākaro 'pi // 7.55 //	aFga-cyutEH-ambuja-locanAnAm ratna-AkaraH aBUt kamala-AkaraH api // 7.55 //
   evaṃ sa kṛtvā sarasīvihāraṃ sahāvarodhaiḥ sarasīruhākṣaḥ /	evam sa kRtvA sarasI-vihAram saha-avaroDEH sarasIruha-akzaH /
   uttīrya tasyāstaṭasanniviṣṭaṃ baddhopacāraṃ sadanaṃ viveśa // 7.56 //	uttIrya tasyAH-tawa-sannivizwam badDa-upacAram sadanam viveSa // 7.56 //
   tatrānuraktaiḥ saha mitravargaiḥ saṅkalpitākalpavikalpaveṣaḥ /	tatra-anuraktEH saha mitra-vargEH saFkalpita-Akalpa-vikalpa-vezaH /
   rasottaravyañjanapākahṛdyamāhāramāryaḥ paramabhyanandat // 7.57 //	rasa-uttara-vyaQjana-pAka-hRdyam-AhAram-AryaH param-aByanandat // 7.57 //
   vicitrapaṭṭāstaraṇopapannaṃ vikīrṇapuṣpaprakaraṃ kumāraḥ /	vicitra-pawwa-AstaraNa-upapannam vikIrNa-puzpa-prakaram kumAraH /
   abhyantarasthāpitabhadrapīṭhamāsthānikaṃ maṇḍapamadhyavātsīt // 7.58 //	aByantara-sTApita-Badra-pIWam-AsTAnikam maNxapa-maDyavAtsIt // 7.58 //
   tatra kṣoṇīramaṇatanayo maṇḍape vāṇinīnāṃ	tatra kzoNI-ramaNa-tanayaH maNxape vANinInAm
   nṛttārambhairnirupamarasairvādyaghoṣairmanojñaiḥ /	nRtta-AramBEH-nirupama-rasEH-vAdya-GozEH-manojQEH /
   vīṇānādaiḥ śravaṇasubhagairveṇunādaiśca hṛdyaiḥ	vINA-nAdEH SravaNa-suBagEH-veNu-nAdEH-ca hRdyEH
   śrīmānahnastribhuvanaguruḥ śeṣameṣa vyanaiṣīt // 7.59 //	SrImAn-ahnaH-triBuvana-guruH Sezam-eza vyanEzIt // 7.59 //
   iti buddhaghoṣacarite padyacuḍāmaṇināmni mahākāvye saptamaḥ sargaḥ //	iti budDa-Goza-carite padya-cuxAmaNi-nAmni mahAkAvye saptamaH sargaH //
   aṣṭamaḥ sargaḥ	azwamaH sargaH
   sūryāstakālavarṇanam	sUrya-astakAla-varNanam
   tatrāntare bimbamamandarāgaṃ papāta bhānodiśi paścimāyām /	tatra-antare bimbam-amanda-rAgam papAta BAnodiSi paScimAyAm /
   ākāśakośād galitasya nīlād ākṛṣṭalīlaṃ maṇidarpaṇasya // 8.1 //	AkASa-koSAt galitasya nIlAt AkRzwa-lIlam maNi-darpaNasya // 8.1 //
