   Abhidharmasamuccayabhāṣyam	ABiDarma samuccaya BAzyam
   śamathaḥ navakāracittasthitiḥ / tatra bāhyālaṃbanebhyaḥ pratisaṃhṛtyā	SamaTaH navakAra citta sTitiH / tatra bAhya AlaMbaneByaH pratisaMhRtyA
   dhyātmamavikṣepāpāditaścittasyopanibandhaḥ sthāpanā / tasya	DyA Atmam avikzepa ApAditaH cittasya upanibanDaH sTApanA / tasya
   cittasyaivamādita upanibaddhasya calasyaudārikasya tasminnevālaṃbane	cittasya evam Aditas upanibadDasya calasya OdArikasya tasmin= eva AlaMbane
   saṃtatiyogena sūkṣmīkaraṇena cābhisaṃkṣepaḥ saṃsthāpanā / tasya	saMtati yogena sUkzmIkaraNena ca aBisaMkzepaH saMsTApanAH / tasya
   smṛtisaṃpramoṣādvahirdhā vikṣiptasya punaḥ pratisaṃharaṇamavasthāpanā /	smRti saMpramozAt vahirDA vikziptasya punar pratisaMharaNam avasTApanAH /
   ādita eva tasya cittasya bahiravisārāyopasthitasmṛtitopasthāpanā /	Aditas eva tasya cittasya bahis avisArAya upasTita smRtita upasTApanA /
   pūrvameva vikṣepanimitteṣu rūpādiṣvādīnavasaṃjñāmadhipati kṛtvā cittasya	pUrvam eva vikzepa nimittezu rUpa Adizu AdIn avasaMjQAm aDipati kRtvA cittasya
   prasarādānaṃ damanam / cetaḥsaṃkṣobhakareṣu	prasara AdAnam damanam / cetaH saMkzoBa karezu
   vitarkopakleśeṣvādīnavadarśanena prasarādānaṃ śamanam /	vitarka upakleSezu AdIn avadarSanena prasara AdAnam Samanam /
   smṛtisaṃpramoṣādvitarkādisamudācāre sati tadanadhivāsanā vyupaśamanam /	smRti saMpramozAt vitarka Adi samudAcAre sati tad anaDivAsanA vyupaSamanam /
   abhisaṃskāreṇa niśchidranirantarasamādhipravāhāvasthāpanā ekotīkaraṇam /	aBisaMskAreNa niSCidra nirantara samADi pravAha avasTApanAH ekotIkaraNam /
   svabhyastatvādanabhisaṃskāreṇānābhogena cittasamādhipravāhasyāvikṣepeṇa	su aByasta tvAt anaBisaMskAreNa anABogena citta samADi pravAhasya avikzepeNa
   pravṛttiḥ samādhānamiti //	pravRttiH samADAnam iti //
   vipaśyanā yathāpi taddharmānvicinotītyevamādiḥ / tatra	vipaSyanA yaTA api tad DarmAn vicinoti iti evamAdiH / tatra
   caritaviśodhanamālaṃbanaṃ kauśalyālaṃbanaṃ vā kleśaviśodhanaṃ vā	carita viSoDanam AlaMbanam kOSalya AlaMbanam vA kleSa viSoDanam vA
   yāvadbhāvikatayā (Abhidh s bh 91) vicinoti, yathāvadbhāvikatayā	yAvat BAvika tayA (a aBiD s B 91) vicinoti, yaTAvat BAvika tayA
   pravicinoti, savikalpenamanaskāreṇa prajñāsahagatena nimittīkurvan	pravicinoti, sa vikalpenamanaskAreNa prajQA saha gatena nimittIkurvan
   parivitarkayati, saṃntīrayan parimīmāṃsāmāpadyata iti //	parivitarkayati, saMntIrayan parimImAMsAm Apadyate iti //
   api khalu [śamatha]vipaśyanāmāgamya catvāro mārgā iti catvāro	api Kalu [Sam aTa] vipaSyanAm Agamya catvAraH mArgAH iti catvAraH 
   mārgopadeśanāmadhikṛtya / tatra prathamaḥ śamathasya	mArga upadeSanAm aDikRtya / tatra praTamaH SamaTasya
   lābhitvādabhiniṣīdanneva cittaṃ sthāpayati yāvatsamādhatte, vipaśyānāyā	lABi tvAt aBinizIdan= eva cittam sTApayati yAvat samADatte, vipaSyAnAyA
   alābhitvāttu samādhiṃ niśritya paścāttathāniṣaṇṇastān dharmānvicinoti	alABi tvAt tu samADim niSritya paScAt taTA AnizaNNaH tAn DarmAn vicinoti
   yāvatparimīmāṃsāmāpadyate / dvitīyo viparyayeṇa veditavyaḥ / tṛtīyā	yAvat parimImAMsAm Apadyate / dvitIyaH viparyayeNa veditavyaH / tRtIyA
   ubhayasyālābhyubhayatra yogaṃ karoti / kathaṃ kṛtvā, śrutodgrahaṇamukhena	uBayasya alAByuBayatra yogam karoti / kaTam kRtvA, Sruta udgrahaNa muKena
   vivaśyanāyāṃ yogaṃ karoti tatpūrvakaṃ ca śamathe / caturtha ubhayasya	vivaSyanAyAm yogam karoti tad pUrvakam ca SamaTe / caturTaH uBayasya
   lābhāt //	lABAt //
   ajñātamājñāsyāmīndriyaṃ prayogamārge nirvedhabhāgīyasaṃgṛhīte pañcadaśasu	ajQAtam AjQA asyAmi indriyam prayoga mArge nirveDa BAgIya saMgRhIte paQcadaSasu
   ca darśanamārgacittakṣaṇeṣu yadindriyam, tadyathā manaindriyam, pañca	ca darSana mArga citta kzaNezu yat indriyam, tat yaTA manEndriyam, paQca
   śraddhādīni, anāgamyādiniśrayabhedena yathāsaṃbhavaṃ sukhasaumanasya	SradDA AdIni, anAgamya Adi niSraya Bedena yaTAsaMBavam suKa sOmanasya
   daurmanasyopekṣendriyāṇāṃ cānyatamam / daurmanasyendriyaṃ punaḥ	dOrmanasya upekza indriyANAm ca anyatamam / dOrmanasya indriyam punar 
   prayogakāle nirvedhabhāgīyapṛṣṭhenottaravimokṣaspṛhāsaṃgṛhītaṃ veditavyam	prayoga kAle nirveDa BAgIya pRzWena uttara vimokza spRhA saMgRhItam veditavyam
   / tadetatsaṃbhavato daśavidhamindriyamanājñātapūrvasya tattvasyājñāyai	/ tat etat saMBavataH daSaviDam indriya manAjQAta pUrvasya tattvasya AjQAyE
   pravṛttatvādanājñātamājñāsyāmīndriyamityucyate / etadeva	pravRtta tvAt anAjQAtam AjQA asyAmi indriyam iti ucyate / etat eva
   daśavidhamindriyaṃ ṣoḍaśāddarśanamārgacittakṣaṇādyāvadvajropamaḥ	daSaviDam indriyam zoxaSAt darSana mArga citta kzaNAt yAvat vajra upamaH
   samādhirityetasminśaikṣamārge ājñendriyamityucyate, apūrvajñeyābhāvāt /	samADiH iti etasmin SEkza mArge AjQa indriyam iti ucyate, apUrva jQeya aBAvAt /
   etadeva punarnavavidhamindriyaṃ daurmanasyendriyavarjamaśaikṣamārge	etat eva punarnavaviDam indriyam dOrmanasya indriya varjama SEkza mArge
   ājñātāvīndriyamityucyate, ājñātāvino 'rhat indriyamiti kṛtvā //	AjQAta avi indriyam iti ucyate, AjQAtAvinaH arhat indriyam iti kRtvA //
   bhāvanā mārgādhikāreṇedamapi vakṣyate / ūrdhvabhūmike mārge	BAvanA mArga aDikAreNa idam api vakzyate / UrDva BUmike mArge
   saṃmukhībhāvena bhāvyamāne 'saṃmukhībhūtānyapyadhobhūmikāni kuśalamūlakāni	saMmuKIBAvena BAvyamAne asaMmuKIBUtAni api aDoBUmikAni kuSala mUlakAni
   (Abhidh s bh 92) bhāvanāṃ gacchanti, teṣu vibhutvalābhāt / vibhutvaṃ	(a aBiD s B 92) BAvanAm gacCanti, tezu viBu tva lABAt / viBu tvam
   punaruttaptasaṃmukhībhāvena taśitā veditavyā //	punaruttapta saMmuKIBAvena taSitA veditavyA //
   niṣṭhāmārgaḥ sarvadauṣṭhulyānāṃ pratiprasrabdheriti vistaraḥ //	nizWA mArgaH sarva dOzWulyAnAm pratiprasrabDeH iti vistaraH //
   tatra sarvadauṣṭhulyāni caturvitirbhavanti / tadyathā	tatra sarva dOzWulyAni catur vitiH Bavanti / tat yaTA
   sarvatragamabhilāpadauṣṭhulyaṃ yā	sarvatragam aBilApa dOzWulyam yA
   cakṣurādisarvadharmanāmābhiniveśavāsanālayavijñāne	cakzuH Adi sarva Darma nAma aBiniveSa vAsanA Alaya vijQAne
   saṃniviṣṭānādikālānusṛtā, yāsāvucyate prapañcavāsaneti, yataścakṣurādayo	saMnivizwa anAdi kAla anusRtA, yAsO= ucyate prapaQca vAsanA iti, yatas cakzurAdayaH 
   dharmāḥ sanāmābhiniveśāḥ punaḥ punaḥ pravartanta iti / veditadauṣṭhulyaṃ	DarmAH sa nAma aBiniveSAH punar punar pravartante iti / vedita dOzWulyam
   sāsravāṇāṃ vedanānāṃ vāsanā / kleśadauṣṭhulyaṃ kleśānāmanuśayaḥ /	sa AsravANAm vedanAnAm vAsanA / kleSa dOzWulyam kleSAnAm anuSayaH /
   karmadauṣṭhulyaṃ sāsravāṇāṃ karmaṇāṃ vāsanā / vipākadauṣṭhulyaṃ vipākasyā	karma dOzWulyam sa AsravANAm karmaNAm vAsanA / vipAka dOzWulyam vipAkasya a
   karmaṇyatā / kleśāvaraṇadauṣṭhulyaṃ tīvrāyatakleśatā /	karmaNya tA / kleSa AvaraNa dOzWulyam tIvra Ayata kleSa tA /
   karmāvaraṇadauṣṭhalyaṃ mārgāntarāyikānantaryādikakarmāvṛtatā /	karma AvaraNa dOzWalyam mArga antarAyika anantarI Adika karma AvRta tA /
   vipākāvaraṇadauṣṭhulyaṃ satyābhisamayavidhuranārakādyātma	vipAka AvaraNa dOzWulyam satya aBisamaya viDura nAraka Adi Atma
   bhāvapratilambhaḥ / nivaraṇadauṣṭhulyaṃ	BAva pratilamBaH / nivaraNa dOzWulyam
   kuśalapakṣaprayogāntarāyikakāmachandādyabhibhūtatā / vitarkadauṣṭhulyaṃ	kuSala pakza prayoga antarAyika kAma Canda Adi aBiBUta tA / vitarka dOzWulyam
   pravrajyābhirati vibandhakāmavitarkādyabhibhūtatā /	pravrajyA aBirati vibanDa kAma vitarka Adi aBiBUta tA /
   āhāradauṣṭhulyamatyalpabahubhojananena prayogāyogyatā /	AhAra dOzWulyam ati alpa bahu Bojananena prayoga ayogya tA /
   maithunadauṣṭhulyaṃ dvayadvayasamāpattikṛtā kāyacittavyathā /	mETuna dOzWulyam dvaya dvaya samApatti kRtA kAya citta vyaTA /
   svapnadauṣṭhulyaṃ middhakṛtamāśrayajāḍyam / vyādhidauṣṭhulyaṃ	svapna dOzWulyam midDa kRtam ASraya jAxyam / vyADi dOzWulyam
   dhātuvaiṣamyakṛtāsvasthatā / jarādauṣṭhulyaṃ bhūtavipariṇāmakṛtāvidheyatā	DAtu vEzamya kRtA svasTa tA / jarA dOzWulyam BUta vipariNAma kRta aviDeya tA
   / maraṇadauṣṭhulyaṃ mriyamāṇasya sarvendriyākulatā /	/ maraNa dOzWulyam mriyamANasya sarva indriya Akula tA /
   pariśramadauṣṭhulyamatigamanādikṛto 'ṅgamardaḥ / dṛḍhadauṣṭhulyaṃ	pariSrama dOzWulyam atigamana Adi kRtaH aFgamardaH / dRXa dOzWulyam
   yathāsaṃbhavameta devābhilāpadauṣṭhulyādikamaparinirvāṇavatām /	yaTAsaMBavam eta deva aBilApa dOzWulya Adikam aparinirvANavatAm /
   audārikamadhyasūkṣmadauṣṭhulyāni (Abhidh s bh 93) yathākramaṃ	OdArika maDya sUkzma dOzWulyAni (a aBiD s B 93) yaTAkramam
   kāmarūpārūpyāvacarāṇi veditavyāni / kleśāvaraṇadauṣṭhulyaṃ	kAmarUpa ArUpya avacarANi veditavyAni / kleSa AvaraNa dOzWulyam
   śrāvakapratyekabuddhabodhi[vi]pakṣaḥ / samāpattyāvaraṇadauṣṭhulyaṃ	SrAvaka pratyekabudDa boDi[vi]pakzaH / samApatti AvaraNa dOzWulyam
   navā[nu]pūrvasamāpattyabhinirhāra[vi]pakṣaḥ / jñeyāvaraṇadauṣṭhulyaṃ	navA[nu] pUrva samApatti aBinirhAra[vi]pakzaH / jQeya AvaraNa dOzWulyam
   sarvajñatāvipakṣaḥ / ityevameṣāṃ yathāyogaṃ sarvadauṣṭhulyānāṃ	sarvajQa tA vipakzaH / iti evam ezAm yaTAyogam sarva dOzWulyAnAm
   pratiprasravdheniṣṭhāmārgaḥ / yathoktaṃ   "tasya cetovimukteḥ pāripūryā	pratiprasravDenizWA mArgaH / yaToktam  "tasya cetaH vimukteH pAripUryA
   prajñāvimukteḥ pāripūryā kāyadauṣṭhulyānāṃ pratiprasrabdheḥ / smṛtyā	prajQA vimukteH pAripUryA kAya dOzWulyAnAm pratiprasrabDeH / smRtyA
   samanvāgamahetorevamasya prathamaṃ dvāraṃ sudāntaṃ bhavati suguptaṃ	samanvAgama hetoH evam asya praTamam dvAram su dAntam Bavati su guptam
   surakṣitaṃ susaṃvṛtaṃ subhāṣitam, yaduta cakṣurvijñeyeṣu rūpeṣvevaṃ	su rakzitam su saMvRtam su BAzitam, yat uta cakzuH vijQeyezu rUpezu evam
   yāvanmano vijñeyeṣu dharmeṣvi"ti //	yAvat manaH vijQeyezu Darmezu i"ti //
   vajropamaḥ samādhirbhāvanāmārgasyāntyā prahāṇamārgāvasthā veditavyā / sa	vajra upamaH samADiH BAvanA mArgasya antyA prahANa mArga avasTA veditavyA / sa
   ca samādhirnirantarastatpravāharaya laukikena mārge ṇāntarākhaṇḍanāt /	ca samADiH nirantaraH tat pravAharaya lOkikena mArge Na antarAKaNxanAt /
   dṛḍhaḥ sarvāvaraṇairacchidraṇāt sarvāvaraṇabheditayā ca sāratvāt / ekarasa	dRXaH sarva AvaraNEH acCidraNAt sarva AvaraNa BeditayA ca sAra tvAt / ekarasa
   iti nirvikalpaikarasatvāt / vyāpī sarvajñeyasāmānyatathatālaṃbanatvāt /	iti nirvikalpa eka rasa tvAt / vyApI sarva jQeya sAmAnya taTatA laMbana tvAt /
   etadarthapratibimbanārtha bhagavatoktam   tadyathā mahāśailaḥ parvato	etad arTa pratibimbana arTa BagavatA uktam  tat yaTA mahA SElaH parvataH 
   'khaṇḍo 'cchidro 'śuṣira ekadhanaḥ susaṃvṛta iti //	aKaNxaH acCidraH aSuziraH eka DanaH su saMvRtaH iti //
   nirantarāśrayaparivṛttividhārśakṣamārgalābhinaḥ /	nirantara ASraya parivRttiviDa arSakza mArga lABinaH /
   cittāśrayaparivṛttirdharmatā, cittasya	citta ASraya parivRttiH Darma tA, cittasya
   prakṛtiprabhāsvarasyāśeṣāgantukopakleśāpagamādyā parivṛttiḥ,	prakRti praBAsvarasya aSeza Agantukopa kleSa apagama AdyA parivRttiH,
   tathatāparivṛttirityarthaḥ / mārgāśrayaparivṛtiḥ pūrvaṃ laukiko mārgo	taTatA aparivRttiH iti arTaH / mArga ASraya parivRtiH pUrvam lOkikaH mArgaH 
   'bhisamayakāle lokottaratvena parivṛtaḥ śaikṣaścocyate	aBisamaya kAle loka uttara tvena parivRtaH SEkzaH ca ucyate
   sāvaśeṣakaraṇīyatvāt / yadā tu nirhatāśeṣavipakṣo bhavati	sa avaSeza karaNIya tvAt / yadA tu nirhata aSeza vipakzaH Bavati
   traidhātukavairāgyāttadāsya mārgasvabhāvasyāśrayasya paripūrṇā	trEDAtuka vErAgyAt tadA asya mArga svaBAvasya ASrayasya paripUrNA
   parivṛttirvyavasthāpyate / dauṣṭhulyāśrayaparivṛttirālayavijñānasya	parivRttiH vyavasTApyate / dOzWulya ASraya parivRttiH Alaya vijQAnasya
   sarvakleśānuśayāpagamena parivṛttirveditavyā //	sarva kleSa anuSaya apagamena parivRttiH veditavyAH //
   kṣaye sati, viṣaye vā tasmin yajjñānaṃ kṣayajñānametaduktaṃ bhavati /	kzaye sati, vizaye vA tasmin yat jQAnam kzaya jQAnam etat uktam Bavati /
   niravaśeṣaṃ prakṣīṇe samudaye yajjñānaṃ tadavasthasya hetunirodhālaṃbanaṃ	niravaSezam prakzINe samudaye yat jQAnam tad avasTasya hetu niroDa AlaMbanam
   vā kṣayajñānamiti //	vA kzaya jQAnam iti //
   tathānutpāde sati viṣaye vā tasmin yajjñānamanutpādajñānam āyatyāṃ	taTA anutpAde sati vizaye vA tasmin yat jQAnam anutpAda jQAnam AyatyAm
   sarvasya duḥkhasyātyantamanutpattidharmatāyāṃ satyāṃ	sarvasya duHKasya atyantam anutpatti Darma tAyAm satyAm
   yajjñānamanyasatyālaṃbanamiti / yadvā duḥkhasatyānutpādālaṃbanaṃ	yat jQAnam anyasatya AlaMbanam iti / yat vA duHKa satya anutpAda AlaMbanam
   tadanutpādajñānamityarthaḥ //	tad anutpAda jQAnam iti arTaH //
   daśāśaikṣā dharmā aśaikṣāñchīlādīn pañca skandhānadhikṛtya / tatra aśaikṣā	daSA SEkzAH DarmAH aSEkzAn SIla AdIn paQca skanDAn aDikRtya / tatra aSEkzA
   samyagvākkarmāntājīvā aśaikṣaśīlaskandhaḥ / (Abhidh s bh 94)	samyak vAc karma antAjIvAH aSEkza SIla skanDaH / (a aBiD s B 94)
   samyaksmṛtisamādhiḥ samādhiskandhaḥ / samyagdṛṣṭisaṃkalpavyāyāmāḥ	samyak smRti samADiH samADi skanDaH / samyak dRzwi saMkalpa vyAyAmAH
   prajñāskandhaḥ / samyagvimuktirvimuktiskandhaḥ / samyagjñānaṃ	prajQA skanDaH / samyak vimuktiH vimukti skanDaH / samyak jQAnam
   vimuktirjñānadarśanaskandha iti //	vimuktiH jQAna darSana skanDaH iti //
   punarmārgasatyasya catvāra ākārāścatvāri lakṣaṇāni / tatra tattvārtha	punar mArga satyasya catvAraH AkArAH catvAri lakzaNAni / tatra tattva arTa
   mārgayatyaneti mārgaḥ / aya[thā]bhūtānāṃ kleśānāṃ pratipakṣatvāt nyāyaḥ /	mArgayati aneti mArgaH / aya[TA] BUtAnAm kleSAnAm pratipakza tvAt nyAyaH /
   tattvānavabodhadoṣeṇānityādiviparyāsairviparyastasya cittasyāviparyāse	tattva anavaboDa dozeNa anityAdi viparyAsEH viparyastasya cittasya aviparyAse
   tattvāvabodhe pratipādanātpratipat / nitya ātyantike niḥsaraṇapade	tattva avaboDe pratipAdanAt pratipad / nityaH Atyantike niHsaraNa pade
   yānānnairyāṇika iti //	yAnAt nEryANikaH iti //
   duḥkhādisatyeṣvanityādayaḥ ṣoḍaśākārā laukikā lokottarāśca santi / tatra	duHKa Adi satyezu anitya AdayaH zoxaSa AkArAH lOkikAH lokottarAH ca santi / tatra
   laukikā jñeye 'praviṣṭāḥ sāvaraṇāḥ savikalpāśca, tathatāyā aprativedhāt	lOkikAH jQeye apravizwAH sa AvaraNAH sa vikalpAH ca, taTatAyAH aprativeDAt 
   kleśānuśayitvādabhilāpamukhena prapañcanācca yathākramam / viparyayeṇa	kleSa anuSayi tvAt aBilApa muKena prapaQcanAt ca yaTAkramam / viparyayeNa
   lokottarāḥ supraviṣṭā nirāvaraṇāśca santo nirvikalpatayā laukikebhyo	loka uttarAH su pravizwAH nirAvaraNAH ca santaH nirvikalpa tayA lOkikeByaH 
   viśiṣyante / kathaṃ punarete 'vikalpayanto jñeyeṣu praviṣṭā bhavanti /	viSizyante / kaTam punar ete avikalpayantaH jQeyezu pravizwAH Bavanti /
   yasmādeteṣu vartamāno 'nityārtha paśyati sākṣādanubhavati, na tvanityamiti	yasmAt etezu vartamAnaH anitya arTa paSyati sAkzAt anuBavati, na tu anityam iti
   paśyatyabhilāpaprapañcamukheneti / evaṃ duḥkhādiṣvākāreṣu yojayitavyam //	paSyati aBilApa prapaQca muKena iti / evam duHKa Adizu AkArezu yojayitavyam //
   (Abhidh s bh 95)	(a aBiD s B 95)
   (dharmaviniścayo nāma tṛtīyaḥ samuccayaḥ)	(Darma viniScayaH nAma tRtIyaH samuccayaH)
   dharmaviniścaye dharmo dvādaśāṅgaṃ vacogatam //	Darma viniScaye DarmaH dvAdaSa aFgam vacaH gatam //
   tatra sūtraṃ yadabhipretārthasūcanākāreṇa gadyabhāṣitam / kiṃ punaḥ	tatra sUtram yat aBipreta arTa sUcana AkAreNa gadya BAzitam / kim punar 
   kāraṇaṃ tathāgatastamabhipretamartha vivṛtyaiva na deśayatītyāha	kAraNam taTAgataH tam aBipretam arTa vivRtya eva na deSayati iti Aha
   daśānuśaṃsān saṃpaśyaṃstathāgataḥ sūcanākāreṇa dharmaṃ deśayati / sukhaṃ	daSa anuSaMsAn saMpaSyan= taTAgataH sUcana AkAreNa Darmam deSayati / suKam
   vyavasthāpayati, daiśikairhi, bahudhā vyavasthāpya prāpaṇīyasyārthasya,	vyavasTApayati, dESikEH hi, bahuDA vyavasTApya prApaNIyasya arTasya,
   saṃkṣipyākṛcchreṇa vyavasthāpanāt / sukhaṃ deśayati, alpena mahato	saMkzipya akRcCreNa vyavasTApanAt / suKam deSayati, alpena mahataH 
   'rthavistarasya pratyāyanāt, tadyathā sthāpayati saṃsthāpayatītyevamādi /	arTa vistarasya pratyAyanAt, tat yaTA sTApayati saMsTApayati iti evamAdi /
   śrotāpi sukhamudgṛhṇāti / dharmagauravatayā kṣipraṃ saṃbhārān	SrotA api suKam udgRhNAti / Darma gOrava tayA kzipram saMBArAn
   paripūrayati, bhāvagamyo 'yaṃ dharma ityavagamya jātāsthasya tasmin dharme	paripUrayati, BAva gamyaH ayam DarmaH iti avagamya jAta AsTasya tasmin Darme
   ādaramukhena śraddhādisaṃbhāraparipūraṇāt / āśu dharmatāṃ pratividhyati,	Adara muKena SradDA Adi saMBAra paripUraNAt / ASu Darma tAm prativiDyati,
   tathādaraprayogiṇaḥ prajñāyāḥ taikṣṇībhāvāt / ratneṣvavetya prasādaṃ	taTA Adara prayogiNaH prajQAyAH tEkzNIBAvAt / ratnezu avetya prasAdam
   pratilabhate, deśanāyāḥ suvyavasthitabhāvagamena	pratilaBate, deSanAyAH su vyavasTita BAva gamena
   daiśikādiṣvabhiprasādotpādāt / paramadṛṣṭadharmasukhavihāraṃ spṛśati,	dESika Adizu aBiprasAda utpAdAt / parama dRzwa Darma suKa vihAram spRSati,
   abhiprāyārtha tīvreṇa yogena cintayitvā labdhavataḥ prāmodyaviśeṣādhigamāt	aBiprAya arTa tIvreNa yogena cintayitvA labDavataH prAmodya viSeza aDigamAt
   / sāṃkathyaviniścayena satāṃ cittamārādhayati, gūḍhārthavivaraṇāt, ata eva	/ sAMkaTya viniScayena satAm cittam ArADayati, gUXa arTa vivaraNa at, atas eva
   paṇḍitaḥ paṇḍita iti saṃkhyāṃ gacchati, yaśo 'sya	paNxitaH paNxitaH iti saMKyAm gacCati, yaSaH asya
   samantānniścaratītyarthaḥ / ubhayaṃ caitatpaścimasabhisamayaiko 'nuśaṃso	samantAt niScarati iti arTaH / uBayam ca etad paScima saBisamaya ekaH anuSaMso
   draṣṭavyaḥ //	drazwavyaH //
   nītārtha sūtraṃ vyākaraṇam tena vivṛtyābhisaṃdhivyākaraṇāt //	nIta arTa sUtram vyAkaraNam tena vivRtya aBisaMDi vyAkaraNAt //
   udānaṃ yadāttamanaskenodāhṛtam tadyathā yadā ime prādurbhavanti dharmā	udAnam yat Atta manaskena udAhRtam tat yaTA yadA ime prAdurBavanti DarmA
   ityevamādi //	iti evamAdi //
   nidānaṃ yatkiṃcideva pudgalamuddiśya bhāṣitaṃ sotpattikaśikṣā	nidAnam yat kiMcid eva pudgalam uddiSya BAzitam sa utpattika SikzA
   prajñaptikabhāṣitaṃ vā, tadyathāsminnidāne 'smin prakaraṇa iti vistaraḥ //	prajQaptika BAzitam vA, tat yaTA asmin nidAne asmin prakaraNaH iti vistaraH //
   (Abhidh s bh 96)	(a aBiD s B 96)
   avadānaṃ sadṛṣṭāntakaṃ bhāṣitam, tenārthavyavadānādabhivyañjanādityarthaḥ	avadAnam sa dRzwa antakam BAzitam, tena arTa vyavadAnAt aBivyaQjanAt iti arTaH
   vaipulyaṃ vaidalyaṃ vaitulyamityete mahāyānasya paryāyāḥ,	vEpulyam vEdalyam vEtulyam iti ete mahAyAnasya paryAyAH,
   tadetatsaptavidhamahattvayogānmahattvayānamityucyate / saptavidhaṃ	tat etat saptaviDa mahat tva yogAt mahattva yAnam iti ucyate / saptaviDam
   mahatvam   ālaṃbanamahattvaṃ śatasāhasrikādisūtrāparimitadeśanādharmā	mahatvam  AlaMbana mahat tvam Sata sAhasrikA Adi sUtra aparimita deSanA DarmA
   laṃbanādbodhisattvamārgasya / pratipattimahattvaṃ	laMbanAt boDisattva mArgasya / pratipatti mahat tvam
   sakalasvaparārthapratipatteḥ / jñānamahatvaṃ pudgaladharmanairātmyajñānāt	sakala sva para arTa pratipatteH / jQAna mahatvam pudgala Darma nErAtmya jQAnAt
   / vīryamahattvaṃ triṣu mahākalpāsaṃkhyeyeṣvanekaduṣkaraśatasahasraprayogāt	/ vIrya mahat tvam trizu mahA kalpa asaMKyeyezu aneka duzkara Sata sahasra prayogAt 
   / upāyakauśalyamahattvaṃ saṃsāranirvāṇāpratiṣṭhānāt / prāptimahattvaṃ	/ upAya kOSalya mahat tvam saMsAra nirvANa apratizWAnAt / prApti mahat tvam
   valavaiśāradyāveṇikabuddhadharmādyaprameyāsaṃkhyeyaguṇādhigamāt /	vala vESAradyA veNika budDa Darma Adi aprameya asaMKyeya guNa aDigamAt /
   karmamahattvaṃ yāvatsaṃsārabodhyādisandarśanena buddhakāryānuṣṭhānāditi //	karma mahat tvam yAvat saMsAra boDyAdi sandarSanena budDa kArya anuzWAnAt iti //
   upadeśo yatrāviparītena dharmalakṣaṇena sūtrādīnāmarthanirdeśaḥ /	upadeSaH yatra aviparItena Darma lakzaNena sUtra AdInAm arTa nirdeSaH /
   nidānaṃ sotpattikaśikṣāprajñaptibhāṣitasaṃgṛhītaṃ vinayapiṭakam,	nidAnam sa utpattika SikzA prajQapti BAzita saMgRhItam vinaya piwakam,
