   abhidharmadīpaḥ	aBiDarma dIpaH
   kenacidaśūnyāḥ, yaduta  svalakṣaṇasāmānyalakṣaṇābhyāmiti | yathā kātyāyana	kenacid aSUnyAH, yat uta sva lakzaNa sAmAnya lakzaNAByAm iti | yaTA kAtyAyana
   sūtre  "lokasamudayaṃ jñātvā yā loke nāsti tā sā na bhavati | lokanirodhaṃ	sUtre "loka samudayam jQAtvA yA loke na asti tA sA na Bavati | loka niroDam
   jñātvā yā loke 'sti tā sā na bhavati itīmau dvāvantau parityajya	jQAtvA yA loke asti tA sA na Bavati iti imO dvO= antO parityajya
   madhyamayā pratipadā tathāgato dharmaṃ deśayati |" na caitad dva	maDyamayA pratipadA taTAgataH Darmam deSayati |" na ca etat dva
   yamastināstitvākhyamekādhikaraṇaṃ virodhādupapadyate na ca niradhiṣṭhānam	yamastinAstitva AKyam eka aDikaraNam viroDAt upapadyate na ca niraDizWAnam
   | nāpi khapuṣpaśūnyādhiṣṭhitam |	| na api Ka puzpa SUnya aDizWitam |
   (Jaini_271)	(JEni_271)
   yuktirapi | jñānajñeyābhidhānābhidheyasaṃbandhasyākṛtakatvāt |	yuktiH api | jQAna jQeya aBiDAna aBiDeya saMbanDasya akRtaka tvAt |
   nāstiśaśaviṣāṇamityasya jñānasyābhidhānasya cāsadviṣayatvamiti cet | tatra	na asti SaSa vizANam iti asya jQAnasya aBiDAnasya ca asat vizaya tvam iti ced | tatra
   brūmaḥ 	brUmaH 
   anyāpekṣye 'tha saṃbandhaprtiṣedho 'śvaśṛṅgayoḥ // Abhidh d_306 //	anya apekzye aTa saMbanDa prtizeDaH aSva SRFgayoH // ABiD t _306 //
   yo 'yaṃ nāsti śaśaviṣāṇādipratiṣedho 'sya tarhi kiṃ pratiṣedhyam ?	yaH ayam na asti SaSa vizANa Adi pratizeDaH asya tarhi kim pratizeDyam ?
   yadyasadālambanā buddhirnāstyabhidhānaṃ vā nirabhedheyamiti ?	yadi asat AlambanA budDiH na asti aBiDAnam vA niraBeDa iyam iti ?
   atrāpadiśyate | 'anyāpekṣye 'tha saṃbandhapratiṣedhaḥ |';	atra apadiSyate | aanya apekzye aTa saMbanDa pratizeDaH | a;
   kāryakāraṇādistrividhaḥ saṃbandho 'tra goviṣāṇādiṣu pūrvadṛṣṭaḥ	kArya kAraNa AdiH triviDaH saMbanDaH atra go vizANa Adizu pUrva dRzwaH
   śaśaviṣāṇādiṣu pratiṣiddhyate |	SaSa vizANa Adizu pratizidDyate |
   śaśaśiromātrakākāśadhātusaṃbandhadarśanādyadi śaśaśirasyapi viṣāṇama	SaSa SiraH mAtraka AkASa DAtu saMbanDa darSanAt yadi SaSaSirasi api vizANam a
   viṣyattadvadevopalapsyata | na copalabhyate | tasmātsaṃbandhāntarāpekṣaṃ	vizyat tadvat eva upalapsyata | na ca upalaByate | tasmAt saMbanDa antara apekzam
   śaśaviṣāṇaśabdagaḍumātraṃ nañā	SaSa vizANa Sabda gaxu mAtram naQA
   saṃbandhyantarasaṃbandhabuddhyapekṣeṇāvadyotyate, na tu	saMbanDi antara saMbanDa budDi apekzeNa avadyotyate, na tu
   kiñcidabhidhānamabhidheyaṃ vā pratiṣedhyātmanā śrīyata iti siddhaṃ sarvā	kiQcid aBiDAnam aBiDeyam vA pratizeDya AtmanA SrIyate iti sidDam sarvA
   buddhiḥ sadviṣayeti |	budDiH sat vizaya iti |
   etenājātaṃ dhvastaṃ ca goviṣāṇaṃ pratyuktam |	etena ajAtam Dvastam ca go vizANam pratyuktam |
   gośiromātramākāśadhātuveṣṭitaṃ dṛṣṭvā janiṣyate dhvastaṃ vā goviṣāṇamiti	go SiraH mAtram AkASa DAtu vezwitam dRzwvA janizyate Dvastam vA govizANam iti
   draṣṭavyam |	drazwavyam |
   trayodaśāyatanapratiṣedhabuddhiviṣayād astitvādasadālambanā buddhirastīti	trayodaSa Ayatana pratizeDa budDi vizayAt astitvAt asat AlambanA budDiH asti iti
   cet | na | bhagavataiva vāgvastumātrametaditi nirṇītatvāt | uktaṃ hi	ced | na | BagavatA eva vAc vastu mAtram etat iti nirNIta tvAt | uktam hi
   bhagavatā hastatālopame sūtre  "etāvatsarvaṃ yaduta cakṣū rūpaṃ ca	BagavatA hasta tAla upame sUtre "etAvat sarvam yat uta cakzuH rUpam ca
   yāvanmano dharmāṃśca | yaḥ kaścidetad dvaya pratyākhyāyānyad dvayaṃ	yAvat manaH DarmAn= ca | yaH kaScid etat dvaya pratyAKyAya anyat dvayam
   jñeyamabhidheyaṃ vā (Jaini_272) kalpayet vāgvastumātramevāsya syāt | pṛṣṭo	jQeyam aBiDeyam vA (JEni_272) kalpayet vAc vastu mAtram eva asya syAt | pRzwaH 
   vā na saṃprajānīyāduttare vā saṃmohamāpadyeta | yathāpi tadaviṣayatvāt |"	vA na saMprajAnIyAt uttare vA saMmoham Apadyeta | yaTA api tad avizaya tvAt |"
   iti |	iti |
   kiñca, astiśaśaviṣāṇābhidhānābhidheyavannāstyuktirapi vāgvastumātraṃ	kiQca, asti SaSa vizANa aBiDAna aBiDeya vannAH tyuktiH api vAc vastu mAtram
   viṣāṇākhyābhidheyārthasaṃbandhavihīnam | etena ṣaṣṭhaḥ skandhaḥ pratyuktaḥ	vizANa AKya aBiDeya arTa saMbanDa vihInam | etena zazWaH skanDaH pratyuktaH
   | kiñca, pañcaskandhaviṣayaviparītajñānapratiṣedhāt |	| kiQca, paQca skanDa vizaya viparIta jQAna pratizeDAt |
   alātacakrabuddhipratiṣedhavat, dvicandrabuddhipratiṣedhavacca | uktaṃ hi	alAta cakra budDi pratizeDavat, dvi candra budDi pratizeDa vat ca | uktam hi
   bhagavatā  "ye kecidātmeti samanupaśyantaḥ samanupaśyanti sarve ta imāneva	BagavatA "ye kecid AtmA iti samanupaSyantaH samanupaSyanti sarve te imAn eva
   pañcopādānaskandhānsamanupaśyantaḥ samanupaśyanti" iti skandhaviṣaye caiṣā	paQca upAdAna skanDAn samanupaSyantaH samanupaSyanti" iti skanDa vizaye ca ezA
   nityātmadravyabhrāntirityavadyotyate |	nitya Atma dravya BrAntiH iti avadyotyate |
   kiñca, nañaḥ sadasatpratiṣedhyaviṣayatvānupapatteśca | santaṃ tāvadarthaṃ	kiQca, naQaH sat asat pratizeDya vizaya tva anupapatteH ca | santam tAvat arTam
   na pratiṣeddhum samarthaḥ | yadi hi santamarthaṃ śaknuyātpratiṣeddhuṃ na	na pratizedDum samarTaH | yadi hi santam arTam SaknuyAt pratizedDum na
   rājāno hastyaśvaṃ bibhṛyurna santi dasyava ityevaṃ brūyuḥ | ityukte	rAjAnaH hasti aSvam biBRyuH na santi dasyavaH iti evam brUyuH | iti ukte
   dasyūnāmabhāvaḥ syāt | na caitadasti | athāsantaṃ pratiṣedhayati,	dasyUnAm aBAvaH syAt | na ca etat asti | aTa asantam pratizeDayati,
   tenābhāvapratiṣedhādbhāva eva syāditi | tasmānnaño na goviṣāṇādiḥ nāpi	tena aBAva pratizeDAt BAvaH eva syAt iti | tasmAt naQaH na go vizANa AdiH na api
   śaśaviṣāṇādiḥ pratiṣidhyate | kiṃ tarhi |	SaSa vizANa AdiH pratiziDyate | kim tarhi |
   śaśākāśadhātusaṃbandhabuddhyapekṣeṇa goviṣāṇādidravyāsaṃbandhabuddhayo	SaSa AkASa DAtu saMbanDa budDi apekzeNa go vizANa Adi dravya asaMbanDa budDayo
   'vadyotyante | siddhā sadālambanaiva buddhiḥ | evamanyatrāpi |	avadyotyante | sidDA sat AlambanA eva budDiH | evam anyatra api |
   rūpādau vastuni kṣīṇe satyevotpadyate matiḥ /	rUpa AdO vastuni kzINe sati eva utpadyate matiH /
   sā jñānasyāsanākārā śāstustathānyacittavat // Abhidh d_307 //	sA jQAnasya Asana AkArA SAstuH taTA anya citta vat // ABiD t _307 //
   rūpādau khalvapivastunyabhyatīte satyeva buddhirutpadyate | na	rUpa AdO Kalu api vastuni aByatIte sati eva budDiH utpadyate | na
   hyasadālambanā buddhirutpadyate | sadālambanā buddhirastītyupapāditam | na	hi asat AlambanA budDiH utpadyate | sat AlambanA budDiH asti iti upapAditam | na
   ca no dravyaṃ vinaśyatītyuktam | yadetada rūpādidravyaṃ pūrvānubhūtaṃ	ca naH dravyam vinaSyati iti uktam | yat etada rUpa Adi dravyam pUrva anuBUtam
   tadeva tatsmṛtyā gṛhyata ityupariṣṭādapi sādhayiṣyāmaḥ |	tat eva tad smRtyA gRhyate iti uparizwAt api sADayizyAmaH |
   yā tarhi niruddhadevadattānusmṛtirdhaṭānusmṛtirvā sā kathaṃ jāyate ?	yA tarhi nirudDa devadatta anusmRtiH DawA anusmRtiH vA sA kaTam jAyate ?
   atītānāga tayordevadattaghaṭaprajñaptyupādānayoriti | atra brūmaḥ | sāpi	atIta anAga tayoH deva datta Gawa prajQapti upAdAnayoH iti | atra brUmaH | sA api
   khalu sāvidyāsyāsadākārotpadyate sthāṇvādau puruṣādibuddhivat |	Kalu sA avidyAsya asat AkAra utpadyate sTANu AdO puruza Adi budDi vat |
   niravidyasya tu śāstustattvākārā bhavati rūpādidharmamātrabuddhireva |	niravidyasya tu SAstuH tattva AkArA Bavati rUpa Adi Darma mAtra budDiH eva |
   (Jaini_273) tadyathā paracittavidaḥ svalakṣaṇākārā buddhirutpadyate |	(JEni_273) tat yaTA para citta vidaH sva lakzaNa AkArA budDiH utpadyate |
   tatsāmarthyopādhivaśenānyathāpi jānīte | tadvattatsāmarthyeṇa bhāvinīṃ	tad sAmarTya upADi vaSena ani aTA api jAnIte | tadvat tad sAmarTyeNa BAvinIm
   bhūtāṃ ca saṃjñāṃ rūpādiṣu devadattaghaṭalakṣaṇāṃ pratipadyata iti ||	BUtAm ca saMjQAm rUpa Adizu deva datta Gawa lakzaNAm pratipadyate iti ||
   itaśca sadatītānāgatam 	itas ca sat atIta anAgatam 
   harṣotpādabhayodvegasmṛtyutpattyaṅgabhāvataḥ /	harza utpAda Baya udvega smRti utpatti aFga BAvataH /
   atītānāgataṃ hi mitramamitraṃ vā manasi kṛtvā harṣotpādabhayādayo	atIta anAgatam hi mitram amitram vA manasi kRtvA harza utpAda BayAt ayaH 
   'bhyupajāyante | te cānimittā na bhavitumarhanti | katham ? vartamānavat |	aByupajAyante | te ca animittAH na Bavitum arhanti | kaTam ? vartamAna vat |
   | tadyathā sati vartamāne mitre 'mitre vā harṣabhayādayo bhavanti nāsatīti	| tat yaTA sati vartamAne mitre amitre vA harza Baya AdayaH Bavanti na asati iti
   tadvat |	tadvat |
   kiñca,	kiQca,
   sāṅgasya śaktyabhivyakteḥ sadīpaghaṭarūpavat // Abhidh d_308 //	sAFgasya Sakti aBivyakteH sa dIpa Gawa rUpa vat // ABiD t _308 //
   vidyamānasya khalvanāgatasya vastuno	vidyamAnasya Kalu anAgatasya vastunaH 
   'tītapratyutpannasahakārikāraṇasāmagrīgṛhītasya śaktimātramāvirbhavati |	atIta pratyutpanna sahakAri kAraNa sAmagrI gRhItasya Sakti mAtram AvirBavati |
   katham ? 'sadīpaghaṭarūpavat |'; tadyathā tamasi vidyamānasya ghaṭarūpasya	kaTam ? asadIpa Gawa rUpa vat | a; tat yaTA tamasi vidyamAnasya Gawa rUpasya
   svātmodbhāvanaśaktiḥ pradīpādikāraṇasāmagrīsannidhāne sati bhavati	sva Atma udBAvana SaktiH pradIpa Adi kAraNa sAmagrI sanniDAne sati Bavati
   tadvaditi | itaścāstyanāgatam ||	tadvat iti | itas ca asti anAgatam ||
   janīhākartṛ sādhyatvātpañcabhāvavikāravat /	janIha AkartR sADya tvAt paQca BAva vikAra vat /
   tadyathā asti vipariṇamate vardhate kṣīyate vinaśyatīti sati	tat yaTA asti vipariNamate varDate kzIyate vinaSyati iti sati
   mukhyasattāviṣṭe kartari ete pañca bhāvavikārā bhavanti | tadvajjāyata	muKya satta Avizwe kartari ete paQca BAva vikArAH Bavanti | tadvat jAyata
   ityayamapi ṣaṣṭhaḥ bhāvavikāraḥ sati mukhyāviṣṭe kartari bhavitumarhatīti	iti ayam api zazWaH BAva vikAraH sati muKya Avizwe kartari Bavitum arhati iti
   | kiñca jāyamānatā sattā naśyatā nāsāmānādhikaraṇye	| kiQca jAyamAna tA sattA naSyatA nAsA mAnADikaraNye
   satyananyatāpattisaṅkaradoṣaprasaṅgāt | vaiyadhikaraṇyābhyupagame	sati ananyatA patti saFkara doza prasaFgAt | vEyaDikaraNya aByupagame
   saṃbandhābhāvādekatra tadvyapadeśānupapattiḥ | kiñca,	saMbanDa aBAvAt ekatra tad vyapadeSa anupapattiH | kiQca,
   jāyamānatādikriyābhāve 'stitvāyogāt | katham ? śaśaviṣāṇavaditi |	jAyamAna tA Adi kriyA BAve astitva ayogAt | kaTam ? SaSa vizANa vat iti |
   upacārasatteti cet | na | mukhyasattāyāṃ satyāmupacārasadbhāvāt,	upacAra sattA iti ced | na | muKya sattAyAm satyAm upacAra sadBAvAt,
   vakṣyamāṇadoṣācca |	vakzyamANa dozAt ca |
   itaścāsti 	itas ca asti 
   sataḥ kriyāṅgatādṛṣṭervikāryaprāpyakarmavat // Abhidh d_309 //	sataH kriyA aFga tA dRzweH vikArya prApya karma vat // ABiD t _309 //
   tadyathā vikārye karmaṇi sati karaṇaṃ dṛṣṭaṃ kāśātkaṭī karoti | prāpye ca	tat yaTA vikArye karmaNi sati karaNam dRzwam kASAt kawI karoti | prApye ca
   karmaṇi sati grāmaṃ gacchati devadattaḥ sūryaṃ ca paśyatīti	karmaNi sati grAmam gacCati devadattaH sUryam ca paSyati iti
   gamanadṛśikriye sati karmaṇi bhavataḥ | tadvannirvartye 'pi karmaṇi	gamana dRSi kriye sati karmaNi BavataH | tadvat nirvartye api karmaNi
   mukhyadravyāstitve sati devadattakartṛkā ghaṭakriyopapadyata iti ||	muKya dravya astitve sati devadatta kartRkA Gawa kriyA upapadyate iti ||
   sāṃkhyaḥ paśyati  vidyamānameva jāyate | tadyathā kṣīre vidyamānaṃ dadhi,	sAMKyaH paSyati vidyamAnam eva jAyate | tat yaTA kzIre vidyamAnam daDi,
   kāryakāraṇayorekatvāt | taṃ pratyapadiśyate 	kArya kAraNayoH eka tvAt | tam pratyapadiSyate 
   (Jaini_274)	(JEni_274)
   dvitīyaṃ janma jātasya vastuno nopapadyate /	dvitIyam janma jAtasya vastunaH na upapadyate /
   yadi khalu kṣīre dadhyādayo vikārāḥ santi bīje cāṅkurādayaḥ śukraśoṇite ca	yadi Kalu kzIre daDi AdayaH vikArAH santi bIje ca aFkura AdayaH Sukra SoNite ca
   kalalādayaḥ, teṣāṃ jātānāṃ kṣīrādivajjanma punarna yujyate | yathā ca na	kalala AdayaH, tezAm jAtAnAm kzIra Adi vat janma punar na yujyate | yaTA ca na
   yujyate tathā pūrvamevāviṣkṛtam |	yujyate taTA pUrvam eva AvizkRtam |
   vaiśeṣiko manyate  kapāleṣvavidyamānaṃ ghaṭadravyaṃ tantuṣu cāvidyamānaṃ	vESezikaH manyate kapAlezu avidyamAnam Gawa dravyam tantuzu ca avidyamAnam
   paṭadravyaṃ kapālatantusaṃyogādutpadyate | gauṇyā ca kalpanayā	pawa dravyam kapAla tantu saMyogAt utpadyate | gONyA ca kalpanayA
   viprakṛtā(ṣṭā ?)vasthāviṣayā janikartṛ sattā vyapadiśyata iti |	viprakRta a(zwAH ?)vasTA vizayA jani kartR sattA vyapadiSyate iti |
   asyāpyavayavidravyaṃ sahāvayavaiḥ pūrvameva vihitottaram |	asya api avayavi dravyam saha avayavEH pUrvam eva vihita uttaram |
   yatpunaruktamupacārasattayā janikartopadiśyata ityatra brūmaḥ 	yat punaruktam upacAra sattayA janikartA upadiSyate iti atra brUmaH 
   mukhyasattā guṇābhāvādgauṇī sattā na vidyate // Abhidh d_310 //	muKya sattA guNa aBAvAt gONI sattA na vidyate // ABiD t _310 //
   na hi mukhyasattāyāṃ guṇābhāve 'vayavābhāve vā kāraṇeṣu prāgutpattyabhāve	na hi muKya sattAyAm guNa aBAve avayava aBAve vA kAraNezu prAk utpatti aBAve
   vā kāryasattopacāro yujyate ||	vA kArya sattA upacAraH yujyate ||
   kasmāt ?	kasmAt ?
   sādharmye sati tadvṛttervyāhāraṃ madhuroktivat /	sADarmye sati tad vRtteH vyAhAram maDura ukti vat /
   tadyathā madhuravāgdevadatta iti vāci mādhuryaguṇayuktasya guḍadravyasya	tat yaTA maDura vAc devadattaH iti vAci mADurya guNa yuktasya guxa dravyasya
   madhuno vā sādharmyamabhilaṣaṇīyatā vidyate ityato vāci mādhuryaśabdaḥ	maDunaH vA sADarmyam aBilazaNIya tA vidyate iti atas vAci mADurya SabdaH
   prayujyate | kanyāmukhe ca candrakāntisādṛśyaṃ dṛṣṭvā candraśabdaḥ	prayujyate | kanyA muKe ca candrakAnti sAdRSyam dRzwvA candra SabdaH
   prayujyate | vāhīke ca jāḍyasādharmyādgośabdaḥ prayujyate  gaurayaṃ vāhīka	prayujyate | vAhIke ca jAxya sADarmyAt go SabdaH prayujyate gOH ayam vAhIka
   ityevamādi | na ca tathā kaścidaguṇāvayavagandho 'pi tantuṣu tatsaṃyoge vā	iti evamAdi | na ca taTA kaScid aguNa avayava ganDaH api tantuzu tad saMyoge vA
   prāgutpattyabhāve nirātmanaḥ kāryasyāstīti | na ca kāryaṃ	prAk utpatti aBAve nirAtmanaH kAryasya asti iti | na ca kAryam
   kiñcidīṣatkṛtamupapadyate | niṣṭhāsattaikakālābhyupagamāt |	kiQcid Izat kRtam upapadyate | nizWA satta eka kAla aByupagamAt |
   prāgavyapadeśyaṃ vastumātraṃ viprakṛtaṃ jāyata iti cet | na |	prAc avyapadeSyam vastu mAtram viprakRtam jAyate iti ced | na |
   uktottaratvāt | mama tu candrakoṭīprakāśalakṣaṇo dṛṣṭānto vidyate |	ukta uttara tvAt | mama tu candra kowI prakASa lakzaNaH dRzwAntaH vidyate |
   āviṣṭaliṅgamukhyasya janmeṣṭaṃ dārakādivat // Abhidh d_311 //	Avizwa liFga muKyasya janma izwam dAraka Adi vat // ABiD t _311 //
   ayaṃ hi janirabhiniṣkramaṇādivacano nāsatprādurbhāvavacanaḥ | katham ?	ayam hi janiH aBinizkramaNa Adi vacanaH na asat prAdurBAva vacanaH | kaTam ?
   'dārakādivat'; | tadyathā dārako mukhyasattāviṣṭo mātṛkukṣerniṣkramaṇe	adAraka Adi vat a; | tat yaTA dArakaH muKya sattA AvizwaH mAtR kukzeH nizkramaNe
   jāyata ityucyate | tadvadatrāpīti |	jAyate iti ucyate | tadvat atra api iti |
   dārṣṭāntikaḥ khalu brūte  kāraṇaśaktiṣu nirātmakajanikartrupacāraḥ	dArzwa antikaH Kalu brUte kAraNa Saktizu nirAtmaka janika rtR upacAraH
   pravartate | taṃ prati brūmaḥ 	pravartate | tam prati brUmaH 
   syātkhapuṣpaiḥ khamutphullaṃ syāñjaṭālaśca darduraḥ /	syAt KapuzpEH Kam utPullam syAn jawAlaH ca darduraH /
   svabhāvo yadi bhāvanāṃ prāgabhūtvā samudbhavet // Abhidh d_312 //	svaBAvaH yadi BAvanAm prAc aBUtvA samudBavet // ABiD t _312 //
   na hyasataḥ kasyacicchaśaviṣāṇāderutpādo bhavati	na hi asataH kasyacid SaSa vizANa AdeH utpAdaH Bavati
   nairātmyāviśeṣasarvāsadutpattiprasaṅgāt | (Jaini_275) taddhetukānāṃ ca	nErAtmya aviSeza sarva asat utpatti prasaFgAt | (JEni_275) tad hetukAnAm ca
   jāyamānajātanaśyatkāleṣvātmāstitvasthitaśaktīnāmanupapatteḥ | kāraṇānāṃ ca	jAyamAna jAta naSyat kAlezu AtmA astitva sTita SaktInAm anupapatteH | kAraNAnAm ca
   kāryātmakatvāt prāgutpatterasattvam, asattvādanupapattidoṣāpattiḥ |	kArya Atmaka tvAt prAk utpatteH asattvam, asattvAt anupapatti doza ApattiH |
   kutaśca nābhāvo bhāvībhavati ? sthitiśaktikriyāyogāt ||	kutas ca na aBAvaH BAvIBavati ? sTiti Sakti kriyA yogAt ||
   kathamayoga iti cet | tadāviṣkriyate 	kaTam ayogaH iti ced | tadA Avizkriyate 
   sthitiśaktiparityaktāndharmānnāśānvitodayān /	sTiti Sakti parityaktAn DarmAn nASa anvitodayAn /
   vada somya kathaṃ yāti pratītyā vastu vastutām // Abhidh d_313 //	vada somya kaTam yAti pratItyA vastu vastu tAm // ABiD t _313 //
   iha khalu bhavatāmahetuko vināśaḥ sarvotpattimatāṃ nityasaṃnihitaḥ |	iha Kalu BavatAm ahetukaH vinASaH sarva utpattimatAm nitya saMnihitaH |
   tasmiṃśca sati janmasthitiśaktikriyā na vidyante, virodhāt | tāsvasatīṣu	tasmin= ca sati janma sTiti Sakti kriyA na vidyante, viroDAt | tAsu asatIzu
   kāraṇamapi caiva vinaṣṭam | tadasminnasati kiṃ pratītya asannirātmakaṃ	kAraNam api ca eva vinazwam | tat asmin= asati kim pratItya asat nirAtmakam
   vastu vastutāṃ yātītyācakṣva | kathaṃ te kāryaṃ kāraṇaṃ vopapadyate ?	vastu vastu tAm yAti iti Acakzva | kaTam te kAryam kAraNam vA upapadyate ?
   satāṃ hi	satAm hi
   saṃjñāsaṃjñijñānajñeyakriyākāraṇahetuphalādīnāmanyonyāpekṣaprajñapteḥ |	saMjQA saMjQi jQAna jQeya kriyA kAraNa hetu Pala AdInAm anyonya apekza prajQapteH |
   atha tavābhāvo na kaścidasti bhāvavirodhī, kathaṃ tarhi sa bhāvo naṣṭa	aTa tava aBAvaH na kaScid asti BAva viroDI, kaTam tarhi sa BAvaH nazwa
   ityucyate ? tasmādbhavato vāṅmātrametat, mama tu	iti ucyate ? tasmAt BavataH vAc mAtram etat, mama tu
   vidyamānayorevopakāryupakārakabhāvo yuktaḥ |	vidyamAnayoH eva upakArI upakAraka BAvaH yuktaH |
   yasmāt 	yasmAt  
   (Jaini_276)	(JEni_276)
   loke dṛṣṭaḥ satoreva parasparamanugrahaḥ /	loke dRzwaH satoH eva parasparam anugrahaH /
   tadvadevopaghāto 'pi nāśvaśṛṅgāhipādayoḥ // Abhidh d_314 //	tadvat eva upaGAtaH api na aSva SRFga ahi pAdayoH // ABiD t _314 //
   anugrahopaghātayośca kāryakāraṇasaṃbandhopacāraśca satoreva	anugraha upaGAtayoH ca kArya kAraNa saMbanDa upacAraH ca satoH eva
   bhavatītyāstanandhayebhyaḥ prasiddhametat, nāsatoḥ na ca sadasatoriti ||	Bavati iti AH tananDayeByaH prasidDam etat, na asatoH na ca sat asatoH iti ||
   vaitulikaḥ kalpayati 	vEtulikaH kalpayati 
   yatpratītyasamutpannaṃ tatsvabhāvānna vidyate /	yat pratItyasamutpannam tad svaBAvAt na vidyate /
   yatkhalu nisvabhāvaṃ nirātmakaṃ hetūnpratītya jāyate tasya khalu svabhāvo	yat Kalu nisvaBAvam nirAtmakam hetUn pratItya jAyate tasya Kalu svaBAvaH 
   nāsti | na hi tatkāraṇeṣu pratyekamavasthitaṃ nāpi bhāgaśo nāpyanyatra	na asti | na hi tad kAraNezu pratyekam avasTitam na api BAgaSas na api anyatra
   kvacit | nāpi hetusamudāye tadrūpābhāvāt | yacca na kvacidasti tatkatamena	kvacid | na api hetu samudAye tad rUpa aBAvAt | yat ca na kvacid asti tat katamena
   svabhāvenotpatsyata iti nāsti svabhāvaḥ | yasya ca nāsti svabhāvaḥ	svaBAvena utpatsyate iti na asti svaBAvaH | yasya ca na asti svaBAvaH
   tatkathamastītyucyate ? tasmādalātacakravannisvabhāvatvāt sarvadharmā	tat kaTam asti iti ucyate ? tasmAt alAta cakra vat nisvaBAva tvAt sarva DarmA
   nirātmāna iti |	nirAtmAnaH iti |
   taṃ pratyapadiśyate 	tam pratyapadiSyate 
   (Jaini_277)	(JEni_277)
   na vidyate svabhāvādyadvidyate tattato 'nyathā // Abhidh d_315 //	na vidyate svaBAvAt yat vidyate tat tatas anyaTA // ABiD t _315 //
   brahmodyametat  yatpratītyasamutpannaṃ tatsaṃvṛtyātmanā vidyate	brahma udyam etat yat pratItyasamutpannam tad saMvRtya AtmanA vidyate
   vanasaṃghādivat | yatparamārthato vidyate taraya	vana saMGa Adi vat | yat paramArTataH vidyate taraya
   pratītyāvasthāśaktimūrtikriyādimātramutpadyata iti ||	pratItya avasTA Sakti mUrti kriyA Adi mAtram utpadyate iti ||
   tasya tarhi hetavo vidyamānasya kamupakāraṃ kurvantīti ? atrābhidhīyate |	tasya tarhi hetavaH vidyamAnasya kam upakAram kurvanti iti ? atra aBiDIyate |
   na khalu dravyasvabhāvāstitvaṃ prati kañcidupakāraṃ kurvanti | na ca	na Kalu dravya svaBAva astitvam prati kaQcid upakAram kurvanti | na ca
