   Śaṃkara: Upadeśasāhasrī	ŚaMkara: Upa-deSa-sAhasrI
   tvaṃpadārthavivekāya saṃnyāsaḥ sarvakarmaṇām /	tvaMpadArTa-vivekAya saMnyAsaH sarva-karmaNAm /
   sādhanatvaṃ vrajaty eva śānto dāntādiśāsanāt // SamUpad_I,18.219 //	sADana-tvam vrajati eva SAntaH dAnta-Adi-SAsanAt // SamUpat-_I,18.219 //
   tvamarthaṃ pratyagātmānaṃ paśyed ātmānam ātmani /	tvam-arTam pratyagAtmAnam paSyet AtmAnam Atmani /
   vākyārthaṃ tata ātmānaṃ sarvaṃ paśyati kevalam // SamUpad_I,18.220 //	vAkya-arTam tatas AtmAnam sarvam paSyati kevalam // SamUpat-_I,18.220 //
   sarvam ātmeti vākyārthe vijñāte 'sya pramāṇataḥ /	sarvam AtmA-iti vAkya-arTe vijQAte asya pramANataH /
   asattve hy anyamānasya vidhis taṃ yojayet katham // SamUpad_I,18.221 //	asattve hi anyamAnasya viDiH tam yojayet kaTam // SamUpat-_I,18.221 //
   tasmād vākyārthavijñānān nordhvaṃ karmavidhir bhavet /	tasmAt vAkya-arTa-vijQAnAt na-UrDvam karma-viDiH Bavet /
   na hi brahmāsmi karteti viruddhe bhavato dhiyau // SamUpad_I,18.222 //	na hi brahmA-asmi kartA-iti virudDe BavataH DiyO // SamUpat-_I,18.222 //
   brahmāsmīti hi vidyeyaṃ naiva karteti bādhyate /	brahma-asmi-iti hi vidyA-iyam na-eva kartA-iti bADyate /
   sakāmo baddha ity evaṃ pramāṇābhāsajātayā // SamUpad_I,18.223 //	sa-kAmaH badDaH iti evam pramANa-ABAsa-jAtayA // SamUpat-_I,18.223 //
   śāstrād brahmāsmi nānyo 'ham iti buddhir bhaved dṛḍhā /	SAstrAt brahmA-asmi na-anyaH aham iti budDiH Bavet dRXA /
   yadāyuktā tadaivaṃ dhīr yathā dehātmadhīr iti // SamUpad_I,18.224 //	yadA-yuktA tadA-evam DIH yaTA deha-AtmaDIH iti // SamUpat-_I,18.224 //
   sabhayād abhayaṃ prāptas tadarthaṃ yatate ca yaḥ /	sa-BayAt aBayam prAptaH tad-arTam yatate ca yaH /
   sa punaḥ sabhayaṃ gantuṃ svatantraś cen na hīcchati // SamUpad_I,18.225 //	sa punar sa-Bayam gantum svatantraH ced na hi-icCati // SamUpat-_I,18.225 //
   yatheṣṭācaraṇaprāptiḥ saṃnyāsādividhau kutaḥ /	yaTA-izwa-AcaraNa-prAptiH saMnyAsa-Adi-viDO kutas /
   padārthājñānabuddhasya vākyārthānubhavārthinaḥ // SamUpad_I,18.226 //	padArTa-ajQAna-budDasya vAkya-arTa-anuBava-arTinaH // SamUpat-_I,18.226 //
   ataḥ sarvam idaṃ siddhaṃ yat prāg asmābhir īritam // SamUpad_I,18.227 //	atas sarvam idam sidDam yat prAk asmABiH Iritam // SamUpat-_I,18.227 //
   yo hi yasmād viraktaḥ syān nāsau tasmai pravartate /	yaH hi yasmAt viraktaH syAt na-asO tasmE pravartate /
   lokatrayād viraktatvān mumukṣuḥ kim itīhate // SamUpad_I,18.228 //	lokatrayAt virakta-tvAt mumukzuH kim iti-Ihate // SamUpat-_I,18.228 //
   kṣudhayā pīḍyamāno 'pi na viṣaṃ hy attum icchati /	kzuDayA pIxyamAnaH api na vizam hi attum icCati /
   miṣṭānnadhvastatṛḍ jānan nāmūḍhas taj jighatsati // SamUpad_I,18.229 //	mizwAnna-Dvasta-tRz jAnan na-amUXaH tat jiGatsati // SamUpat-_I,18.229 //
   vedāntavākyapuṣpebhyo jñānāmṛtamadhūttamam /	vedAnta-vAkya-puzpeByaH jQAna-amRta-maDUttamam /
   ujjahārālivad yo nas tasmai sadgurave namaḥ // SamUpad_I,18.230 //	ujjahAra-ali-vat yaH naH tasmE sat-gurave namaH // SamUpat-_I,18.230 //
   iti tattvamasiprakaraṇam // SamUpad_I,18 //	iti tattvam-asi-prakaraNam // SamUpat-_I,18 //
   prayujya tṛṣṇājvaranāśakāraṇaṃ cikitsitaṃ jñānavirāgabheṣajam /	prayujya tRzNA-jvara-nASa-kAraNam cikitsitam jQAna-virAga-Bezajam /
   na yāti kāmajvarasannipātajāṃ śarīramālāśatayogaduḥkhitām //	na yAti kAma-jvara-sannipAta-jAm SarIra-mAlA-Sata-yoga-duHKitAm //
   SamUpad_I,19.1 //	SamUpat-_I,19.1 //
   ahaṃ mameti tvam anartham īhase parārtham icchanti tavānya īhitam /	aham mama-iti tvam anarTam Ihase para-arTam icCanti tava-anyaH Ihitam /
   na te 'rthabodho na hi me 'sti cārthitā tataś ca yuktaḥ śama eva te manaḥ	na te arTa-boDaH na hi me asti ca-arTitA tatas ca yuktaH SamaH eva te manaH
   // SamUpad_I,19.2 //	// SamUpat-_I,19.2 //
   yato na cānyaḥ paramāt sanātanāt sadaiva tṛpto 'ham ato na me 'rthitā /	yatas na ca-anyaH paramAt sanAtanAt sadA-eva tRptaH aham atas na me arTitA /
   sadaiva muktaś ca na kāmaye hitaṃ yatasva cetaḥ praśamāya te 'dhikam //	sadA-eva muktaH ca na kAmaye hitam yatasva cetaH praSamAya te aDikam //
   SamUpad_I,19.3 //	SamUpat-_I,19.3 //
   ṣaḍūrmimālābhyativṛtta eva yaḥ sa eva cātmā jagataś ca naḥ śruteḥ /	zaz-Urmi-mAlA-aByativRttaH eva yaH saH eva ca-AtmA jagataH ca naH SruteH /
   pramāṇataś cāpi mayā pravedyate mudhaiva tasmāc ca manas tavehitam //	pramANataH ca-api mayA pravedyate muDA-eva tasmAt ca manaH tava-Ihitam //
   SamUpad_I,19.4 //	SamUpat-_I,19.4 //
   tvayi praśānte na hi sāsti bhedadhīr yato jagan moham upaiti māyayā /	tvayi praSAnte na hi sA-asti Beda-DIH yatas jagat moham upEti mAyayA /
   graho hi māyāprabhavasya kāraṇaṃ grahād vimoke na hi sāsti kasyacit //	grahaH hi mAyA-praBavasya kAraNam grahAt vimoke na hi sA-asti kasyacid //
   SamUpad_I,19.5 //	SamUpat-_I,19.5 //
   na me 'sti mohas tava ceṣṭitena hi prabuddhatattvas tv asito hy avikriyaḥ	na me asti mohaH tava cezwitena hi prabudDa-tattvaH tu asitaH hi avikriyaH
   na pūrvatattvottarabhedatā hi no vṛthaiva tasmāc ca manas tavehitam //	na pUrva-tattva-uttara-BedatA hi naH vRTA-eva tasmAt ca manaH tava-Ihitam //
   SamUpad_I,19.6 //	SamUpat-_I,19.6 //
   yataś ca nityo 'ham ato na cānyathā vikārayoge hi bhaved anityatā /	yatas ca nityaH aham atas na ca-anyaTA vikAra-yoge hi Bavet anitya-tA /
   sadā prabhāto 'ham ato hi cādvayo vikalpitaṃ cāpy asad ity avasthitam //	sadA praBAtaH aham atas hi ca-advayaH vikalpitam ca-api asat iti avasTitam //
   SamUpad_I,19.7 //	SamUpat-_I,19.7 //
   abhāvarūpaṃ tvam asīha he mano nirīkṣyamāṇe na hi yuktito 'stitā /	aBAva-rUpam tvam asi-iha he manaH nirIkzyamANe na hi yuktitaH astitAH /
   sato hy anāśād asato 'py ajanmato dvayaṃ ca te 'tas tava nāstiteṣyate //	sataH hi anASAt asataH api ajanmataH dvayam ca te atas tava na-astitezyate //
   SamUpad_I,19.8 //	SamUpat-_I,19.8 //
   draṣṭā ca dṛśyaṃ ca tathā ca darśanaṃ bhramaḥ sa sarvas tava kalpito hi	drazwA ca dRSyam ca taTA ca darSanam BramaH sa sarvaH tava kalpitaH hi
   saḥ /	saH /
   dṛśeś ca bhinnaṃ na hi dṛśyam īkṣyate svapan vibodhe ca tathā na bhidyate	dRSeH ca Binnam na hi dRSyam Ikzyate svapan viboDe ca taTA na Bidyate
   // SamUpad_I,19.9 //	// SamUpat-_I,19.9 //
   vikalpanā cāpi tathādvayā bhaved avastuyogāt tad alātacakravat /	vikalpanA ca-api taTA-dvayA Bavet avastu-yogAt tat alAta-cakra-vat /
   na śaktibhedo 'sti yato na cātmanāṃ tato 'dvayatvaṃ śrutito 'vasīyate //	na Sakti-BedaH asti yatas na ca-AtmanAm tatas advaya-tvam SrutitaH avasIyate //
   SamUpad_I,19.10 //	SamUpat-_I,19.10 //
   mithaś ca bhinnā yadi te hi cetanāḥ kṣayas tu teṣāṃ parimāṇayogataḥ /	miTas ca BinnAH yadi te hi cetanAH kzayaH tu tezAm parimANa-yogataH /
   dhruvo bhaved bhedavatāṃ hi dṛṣṭato jagatkṣayaś cāpi samastamokṣataḥ //	DruvaH Bavet BedavatAm hi dRzwataH jagat-kzayaH ca-api samasta-mokzataH //
   SamUpad_I,19.11 //	SamUpat-_I,19.11 //
   na me 'sti kaścin na ca so 'smi kasyacid yato 'dvayo 'haṃ na hi cāsti	na me asti kaScid na ca saH asmi kasyacid yatas advayaH aham na hi ca-asti
   kalpitam /	kalpitam /
   akalpitaś cāsmi purā prasiddhito vikalpanāyā dvayam eva kalpitam //	akalpitaH ca-asmi purA prasidDitaH vikalpanAyAH dvayam eva kalpitam //
   SamUpad_I,19.12 //	SamUpat-_I,19.12 //
   vikalpanā cāpy abhave na vidyate sad anyad ity evam ato na nāstitā /	vikalpanA ca-api aBave na vidyate sat anyat iti evam atas na na-astitAH /
   yataḥ pravṛttā tava cāpi kalpanā purā prasiddher na ca tad vikalpitam //	yatas pravRttA tava ca-api kalpanA purA prasidDeH na ca tat vikalpitam //
   SamUpad_I,19.13 //	SamUpat-_I,19.13 //
   asad dvayaṃ te 'pi hi yad yad īkṣyate na dṛṣṭam ity eva na caiva nāstitā /	asat dvayam te api hi yat yat Ikzyate na dRzwam iti eva na ca-eva na-astitAH /
   yataḥ pravṛttā sadasadvikalpanā vicāravac cāpi tathādvayaṃ ca sat //	yatas pravRttA sat-asat-vikalpanA vicAra-vat ca-api taTA-advayam ca sat //
   SamUpad_I,19.14 //	SamUpat-_I,19.14 //
   sad abhyupetaṃ bhavatopakalpitaṃ vicārahetor yadi tasya nāstitā /	sat aByupetam BavatA-upakalpitam vicAra-hetoH yadi tasya na-astitAH /
   vicārahānāc ca tathaiva saṃsthitaṃ na cet tad iṣṭaṃ nitarāṃ sad iṣyate //	vicAra-hAnAt ca taTA-eva saMsTitam na ced tat izwam nitarAm sat izyate //
   SamUpad_I,19.15 //	SamUpat-_I,19.15 //
   asatsamaṃ caiva sad ity apīti ced anarthavattvāt kharaśṛṅgatulyataḥ /	asat-samam ca-eva sat iti api-iti ced anarTavat-tvAt KaraSRFga-tulyataH /
   anarthavattvaṃ tv asati hy akāraṇaṃ na caiva tasmān na viparyaye 'nyathā	anarTavat-tvam tu asati hi akAraNam na ca-eva tasmAt na viparyaye anyaTA
   // SamUpad_I,19.16 //	// SamUpat-_I,19.16 //
   asiddhataś cāpi vicārakāraṇād dvayaṃ ca tasmāt prasṛtaṃ hi māyayā /	asidDataH ca-api vicAra-kAraNAt dvayam ca tasmAt prasRtam hi mAyayA /
   śruteḥ smṛteś cāpi tathā hi yuktitaḥ prasiddhyatītthaṃ na tu yujyate	SruteH smRteH ca-api taTA hi yuktitaH prasidDi-ati-itTam na tu yujyate
   'nyathā // SamUpad_I,19.17 //	anyaTA // SamUpat-_I,19.17 //
   vikalpanāc cāpi vidharmakaṃ śruteḥ purā prasiddheś ca vikalpato 'dvayam /	vikalpanAt ca-api viDarmakam SruteH purA prasidDeH ca vikalpataH advayam /
   na ceti netīti tathā vikalpitaṃ niṣidhyate 'trāpy avaśeṣasiddhaye //	na ca-iti na-iti-iti taTA vikalpitam niziDyate atra-api avaSeza-sidDaye //
   SamUpad_I,19.18 //	SamUpat-_I,19.18 //
   akalpite 'py evam ajādvayākṣare vikalpayantaḥ sad asac ca janmabhiḥ /	akalpite api evam ajA-dvaya-akzare vikalpayantaH sat asat ca janmaBiH /
   svacittamāyāprabhavaṃ ca te bhavaṃ jarāṃ ca mṛtyuṃ ca niyānti saṃtatam //	sva-citta-mAyA-praBavam ca te Bavam jarAm ca mRtyum ca niyAnti saMtatam //
   SamUpad_I,19.19 //	SamUpat-_I,19.19 //
   bhavābhavatvaṃ tu na ced avasthitir na tasya cānyas tv iti janma nānyathā	Bava-aBava-tvam tu na ced avasTitiH na tasya ca-anyaH tu iti janma na-anyaTA
   sato hy asattvād asataś ca sattvato na ca kriyā kārakam ity ato 'py ajam	sataH hi asattvAt asataH ca sattvataH na ca kriyA kArakam iti atas api ajam
   // SamUpad_I,19.20 //	// SamUpat-_I,19.20 //
   akurvad iṣṭaṃ yadi vāsya kārakaṃ na kiṃcid anyan nanu nāsty akārakam /	akurvat izwam yadi vA-asya kArakam na kiMcid anyat nanu na-asti akArakam /
   sato 'viśeṣād asataś ca saccyutau tulāntayor yadvad aniścayān na hi //	sataH aviSezAt asataH ca sat-cyutO tulA-antayoH yadvat aniScayAt na hi //
   SamUpad_I,19.21 //	SamUpat-_I,19.21 //
   na cet sa iṣṭaḥ sadasadviparyayaḥ kathaṃ bhavaḥ syāt sadasadvyavasthitau /	na ced saH izwaH sat-asat-viparyayaH kaTam BavaH syAt sat-asat-vyavasTitO /
   vibhaktam etad dvayam apy avasthitaṃ na janma tasmāc ca mano hi kasyacit	viBaktam etat dvayam api avasTitam na janma tasmAt ca manaH hi kasyacid-
   // SamUpad_I,19.22 //	// SamUpat-_I,19.22 //
   athābhyupetyāpi bhavaṃ tavecchato bravīmi nārthas tava ceṣṭitena me /	aTa-aByupetya-api Bavam tava-icCataH bravImi na-arTaH tava cezwitena me /
   na hānavṛddhī na yataḥ svato 'sato bhavo 'nyato vā yadi vāstitā tayoḥ //	na hAna-vRdDI na yatas svatas asataH BavaH anyatas vA yadi vA-astitA tayoH //
   SamUpad_I,19.23 //	SamUpat-_I,19.23 //
   dhruvā hy anityāś ca na cānyayogino mithaś ca kāryaṃ na ca teṣu yujyate /	DruvAH hi anityAH ca na ca-anya-yoginaH miTas ca kAryam na ca tezu yujyate /
   ato na kasyāpi hi kiṃcid iṣyate svayaṃ hi tattvaṃ na niruktigocaram //	atas na kasya-api hi kiMcid izyate svayam hi tattvam na nirukti-gocaram //
   SamUpad_I,19.24 //	SamUpat-_I,19.24 //
   samaṃ tu tasmāt satataṃ vibhātavad dvayād vimuktaṃ sadasadvikalpitāt /	samam tu tasmAt satatam viBAta-vat dvayAt vimuktam sat-asat-vikalpitAt /
   nirīkṣya yuktyā śrutitaś ca buddhimān aśeṣanirvāṇam upaiti dīpavat //	nirIkzya yuktyA SrutitaH ca budDimAn aSeza-nirvANam upEti dIpa-vat //
   SamUpad_I,19.25 //	SamUpat-_I,19.25 //
   avedyam ekaṃ yad ananyavedināṃ kutārkikāṇāṃ ca suvedyam anyathā /	avedyam ekam yat ananya-vedinAm kutArkikANAm ca suvedyam anyaTA /
   nirīkṣya cetthaṃ tv aguṇagraho 'guṇaṃ na yāti mohaṃ grahadoṣamuktitaḥ //	nirIkzya ca-itTam tu aguNa-grahaH aguNam na yAti moham graha-doza-muktitaH //
   SamUpad_I,19.26 //	SamUpat-_I,19.26 //
   ato 'nyathā na grahanāśa iṣyate vimohabuddher graha eva kāraṇam /	atas anyaTA na graha-nASaH izyate vimoha-budDeH grahaH eva kAraNam /
   graho 'py ahetur hy analas tv anindhano yathā praśāntiṃ paramāṃ tathā	grahaH api ahetuH hi analaH tu aninDanaH yaTA praSAntim paramAm taTA
   vrajet // SamUpad_I,19.27 //	vrajet // SamUpat-_I,19.27 //
   vimathya vedodadhitaḥ samuddhṛtaṃ surair mahābdhes tu yathā mahātmabhiḥ /	vimaTya veda-udaDitaH samudDRtam surEH mahA-abDeH tu yaTA mahAtmaBiH /
   tathāmṛtaṃ jñānam idaṃ hi yaiḥ purā namo gurubhyaḥ param īkṣitaṃ ca yaiḥ	taTA-amRtam jQAnam idam hi yEH purA namaH guruByaH param Ikzitam ca yEH
   // SamUpad_I,19.28 //	// SamUpat-_I,19.28 //
   iti jvaranāśaprakaraṇam // SamUpad_I,19 //	iti jvara-nASa-prakaraNam // SamUpat-_I,19 //
   II. GADYABANDHA	II. GADYa-ABANDHA
   atha mokṣasādhanopadeśavidhiṃ vyākhyāsyāmo mumukṣūṇāṃ śraddadhānānām	aTa mokza-sADana-upadeSa-viDim vyAKyAsyAmaH mumukzUNAm SraddaDAnAnAm
   arthinām arthāya // SamUpad_II,1.1 //	arTinAm arTAya // SamUpad-_II,1.1 //
   tad idaṃ mokṣasādhanaṃ jñānaṃ sādhanasādhyād anityāt sarvasmād viraktāya	tat idam mokza-sADanam jQAnam sADana-sADyAt anityAt sarvasmAt viraktAya
   tyaktaputravittalokaiṣaṇāya pratipannaparamahaṃsapārivrājyāya	tyakta-putra-vitta-loka-ezaNAya pratipanna-paramahaMsa-pArivrAjyAya
   śamadamadayādiyuktāya śāstraprasiddhaśiṣyaguṇasampannāya śucaye brāhmaṇāya	Sama-dama-daya-Adi-yuktAya SAstra-prasidDa-Sizya-guNa-sampannAya Sucaye brAhmaNAya
   vidhivad upasannāya śiṣyāya jātikarmavṛttavidyābhijanaiḥ parīkṣitāya	viDivat upasannAya SizyAya jAti-karma-vRtta-vidyA-aBijanEH parIkzitAya
   brūyat punaḥ punar yāvad grahaṇaṃ dṛḍhībhavati // SamUpad_II,1.2 //	brUyat punar punar yAvat grahaNam dRXIBavati // SamUpad-_II,1.2 //
   śrutiś ca -- "parīkṣya ... tattvato brahmavidyām" iti / dṛḍhagṛhītā hi	SrutiH ca - "parIkzya ... tattvataH brahma-vidyAm" iti / dRXa-gRhItA hi
   vidyātmanaḥ śreyase santatyai ca bhavati / vidyāsantatiś ca	vidyA-AtmanaH Sreyase santatyE ca Bavati / vidyA-santatiH ca
   prāṇyanugrahāya bhavati naur iva nadīṃ titīrṣoḥ / śāstraṃ ca -- "yady apy	prANi-anugrahAya Bavati nOH iva nadIm titIrzoH / SAstram ca - "yadi api-
   asmā imām adbhiḥ parigṛhītāṃ dhanasya pūrṇāṃ dadyād etad eva tato bhūyaḥ"	asmE imAm adBiH parigRhItAm Danasya pUrNAm dadyAt etat eva tatas BUyas-"
   iti / anyathā ca jñānaprāptyabhāvāt -- "ācāryavān puruṣo veda", "ācāryād	iti / anyaTA ca jQAna-prApti-aBAvAt - "a-AcAryavAn puruzaH veda", "a-AcAryAt-
   dhaiva vidyā viditā [sādhiṣṭhaṃ prāpat]", "ācāryaḥ plāvayitā tasya	DA-eva vidyA viditAH [sADizWam prApat]", "a-AcAryaH plAvayitA tasya
   [samyag]jñānaṃ plava ihocyate" ityādiśrutibhyaḥ smṛtibhyaś ca //	[samyak-]jQAnam plavaH iha-ucyate" ityAdi-SrutiByaH smRtiByaH ca //
   SamUpad_II,1.3 //	SamUpad-_II,1.3 //
   śiṣyasya jñānāgrahaṇaṃ ca liṅgair buddhvā tadagrahaṇahetūn	Sizyasya jQAna-agrahaNam ca liFgEH budDvA tad-agrahaNa-hetUn
   adharmalaukikapramādanityānitya[vastu]vivekaviṣayāsaṃjātadṛḍhapūrvaśrutatvalokacintāvekṣaṇajātyādyabhimānādīṃs	aDarma-lOkika-pramAda-nitya-aniti-a[-vastu]-viveka-vizaya-asaMjAta-dRXa-pUrva-Sruta-tva-loka-cintA-avekzaNa-jAti-Adi-aBimAna-AdIn=-
   tatpratipakṣaiḥ śrutismṛtivihitair apanayed akrodhādibhir ahiṃsādibhiś ca	tad-pratipakzEH Sruti-smRti-vihitEH apanayet akroDa-AdiBiH ahiMsA-AdiBiH ca
   yamair jñānāviruddhaiś ca niyamaiḥ // SamUpad_II,1.4 //	yamEH jQAna-avirudDEH ca niyamEH // SamUpad-_II,1.4 //
   amānitvādiguṇaṃ ca jñānopāyaṃ samyag grāhayet // SamUpad_II,1.5 //	amAni-tva-Adi-guNam ca jQAna-upAyam samyak grAhayet // SamUpad-_II,1.5 //
   ācāryaś cohāpohagrahaṇadhāraṇaśamadamadayānugrahādisampanno labdhāgamo	AcAryaH ca-Uha-apoha-grahaNa-DAraNa-Sama-dama-dayA-anugraha-Adi-sampannaH labDa-AgamaH-
   dṛṣṭādṛṣṭabhogeṣv anāsaktas tyaktasarvakarmasādhano brahmavid brahmaṇi	dRzwa-adRzwa-Bogezu anAsaktaH tyakta-sarva-karma-sADanaH brahma-vid brahmaNi
   sthito 'bhinnavṛtto	sTitaH aBinna-vRttaH-
   dambhadarpakuhakaśāṭhyamāyāmātsaryānṛtāhaṃkāramamatvādidoṣavarjitaḥ	damBa-darpa-kuhaka-SAWya-mAyA-mAtsarya-anRta-ahaMkAra-m-ama-tva-Adi-doza-varjitaH
   kevalaparānugrahaprayojano vidyopayogārthī pūrvam upadiśet -- "sad eva	kevala-para-anugraha-prayojanaH vidyA-upayoga-arTI pUrvam upadiSet - "sat eva
   somyedam agra āsīd ekam evādvitīyam", "yatra nānyat paśyati", "ātmaivedaṃ	somya-idam agre AsIt ekam eva-advitIyam-", "yatra na-anyat paSyati", "AtmA-eva-idam
   sarvam", brahmaivedaṃ sarvam", "ātmā vā idam eka evāgra āsīt", "sarvaṃ	sarvam", brahma-eva-idam sarvam", "a-AtmA vA idam ekaH eva-agre AsIt-", "sarvam
   khalv idaṃ brahma" ity[ādyāḥ] ātmaikatvapratipādanaparāḥ śrutiḥ //	Kalu idam brahma" iti-[AdyAH] AtmA-ekatva-pratipAdana-parAH SrutiH //
   SamUpad_II,1.6 //	SamUpad-_II,1.6 //
   upadiśya ca grāhayed brahmaṇo lakṣaṇam -- "ya ātmāpahatapāpmā", "yat	upadiSya ca grAhayet brahmaNaH lakzaNam - "yaH Atma-apahata-pApmA", "yat-
   sākṣād aparokṣād brahma", "yo 'śanāyāpipāse", "neti neti", "asthūlam	sAkzAt aparokzAt brahma", "yaH aSanAya-apipAse", "na-iti na-iti", "a-sTUlam
   anaṇu", "sa eṣa neti neti", "adṛṣṭaṃ draṣṭṛ", "vijñānam ānandam", "satyaṃ	anaNu", "saH eza na-iti na-iti", "adRzwam drazwR", "vijQAnam Anandam", "satyam
   jñānam anantam", "adṛśye 'nātmye", "sa vā eṣaḥ", "aprāṇo hy amanāḥ",	jQAnam anantam", "adRSye anAtmye", "sa vE ezaH", "a-prANaH hi amanAH",
   "sabāhyābhyantaro hy ajaḥ", "vijñānaghana eva", "anantaram abāhyam",	"sa-bAhya-aByantaraH hi ajaH", "vijQAna-GanaH eva", "anantaram abAhyam",
   "anyad eva tad viditād atho aviditāt", "ākāśo vai nāma" ityādiśrutibhiḥ //	"anyat eva tat viditAt aTo avidita-at", "a-AkASaH vE nAma" ityAdi-SrutiBiH //
   SamUpad_II,1.7 //	SamUpad-_II,1.7 //
   smṛtibhiś ca -- "na jāyate mriyate vā", "nādatte kasyacit pāpam",	smRtiBiH ca - "na jAyate mriyate vA", "nAdatte kasyacid pApam",
   "yathākāśasthito nityam", "kṣetrajñāṃ cāpi māṃ viddhi", "na sat tan nāsad	"yaTA-AkASa-sTitaH nityam-", "kzetra-jQAm ca-api mAm vidDi", "na sat tat na-asat-
   ucyate", "anāditvān nirguṇatvat", "samaṃ sarveṣu bhūteṣu", "uttamaḥ	ucyate", "anAdi-tvAt nirguNa-tvat", "samam sarvezu BUtezu", "uttamaH
   puruṣaḥ" ityādibhiḥ śrutyuktalakṣaṇāviruddhābhiḥ	puruzaH" ityAdiBiH Sruti-ukta-lakzaNa-avirudDABiH
   paramātmāsaṃsāritvapratipādanaparābhis tasya	paramAtmA-saMsAri-tva-pratipAdana-parABiH tasya
   sarveṇānanyatvapratipādanaparābhiś ca // SamUpad_II,1.8 //	sarveNa-ananya-tva-pratipAdana-parABiH ca // SamUpad-_II,1.8 //
   evaṃ śrutismṛtibhir gṛhītaparamātmalakṣaṇaṃ śiṣyaṃ saṃsārasāgarād	evam Sruti-smRtiBiH gRhIta-paramAtma-lakzaNam Sizyam saMsAra-sAgarAt-
   uttitīrṣuṃ pṛcchet -- kas tvam asi somyeti // SamUpad_II,1.9 //	uttitIrzum pRcCet - kaH tvam asi somya-iti // SamUpad-_II,1.9 //
   sa yadi brūyāt -- brāhmaṇaputro 'donvayo brahmacāry āsaṃ gṛhastho vedānīm	sa yadi brUyAt - brAhmaNa-putraH adonvayaH brahmacArI Asam gRhasTaH vedAnIm
   asmi paramahaṃsaparivrāṭ saṃsārasāgarāj janmamṛtyumahāgrāhād uttitīrṣur	asmi paramahaMsa-parivrAj saMsAra-sAgarAt janma-mRtyu-mahA-grAhAt uttitIrzuH-
   iti // SamUpad_II,1.10 //	iti // SamUpad-_II,1.10 //
   ācāryo brūyad -- ihaiva te somya mṛtasya śarīraṃ vayobhir adyate mṛdbhāvaṃ	AcAryaH brUyat - iha-eva te somya mRtasya SarIram vayoBiH adyate mRd-BAvam
   vāpadyate, tatra kathaṃ saṃsārasāgarād uttartum icchasīti / nahi nadyā	vA-Apadyate, tatra kaTam saMsAra-sAgarAt uttartum icCasi-iti / na-hi nadyA
   avare kūle bhasmībhūto nadyāḥ pāraṃ tariṣyasīti // SamUpad_II,1.11 //	avare kUle BasmIBUtaH nadyAH pAram tarizyasi-iti // SamUpad-_II,1.11 //
   sa yadi brūyāt -- anyo 'haṃ śarīrāt / śarīraṃ tu jāyate mriyate, vayobhir	sa yadi brUyAt - anyaH aham SarIrAt / SarIram tu jAyate mriyate, vayoBiH-
   adyate mṛdbhāvam āpadyate, śastrāgnyādibhiś ca vināśyate, vyādhyādibhiś ca	adyate mRd-BAvam Apadyate, Sastra-agni-AdiBiH ca vinASyate, vyADi-AdiBiH ca
   yujyate / tasminn ahaṃ svakṛtadharmādharmavaśāt pakṣī nīḍam iva praviṣṭaḥ	yujyate / tasmin aham sva-kRta-Darma-aDarma-vaSAt pakzI nIxam iva pravizwaH
   punaḥ punaḥ śarīravināśe dharmādharmavaśāc charīrāntaraṃ yāsyāmi,	punar punar SarIra-vinASe Darma-aDarma-vaSAt SarIra-antaram yAsyAmi,
   pūrvanīḍavināśe pakṣīva nīḍāntaram / evam evāham anādau saṃsāre	pUrva-nIxa-vinASe pakzI-iva nIxa-antaram / evam eva-aham anAdO saMsAre
   devatiryaṅmanuṣyanirayasthāneṣu svakarmavaśād upāttam upāttaṃ śarīraṃ	deva-tiryak-manuzya-niraya-sTAnezu sva-karma-vaSAt upAttam upAttam SarIram
   tyajan, navaṃ navaṃ cānyad upādadāno, janmamaraṇaprabandhacakre	tyajan, navam navam ca-anyat upAdadAno, janma-maraNa-prabanDa-cakre
   ghaṭīyantravat svakarmaṇā bhrāmyamāṇaḥ krameṇedaṃ śarīram āsādya	GawIyantra-vat sva-karmaNA BrAmyamANaH krameNa-idam SarIram AsAdya
   saṃsāracakrabhramaṇād asmān nirviṇṇo bhagavantam upasanno 'smi	saMsAra-cakra-BramaNAt asmAn nirviNNaH Bagavantam upasannaH asmi
   saṃsāracakrabhramaṇapraśamāyeti / tasmān nitya evāhaṃ śarīrād anyaḥ /	saMsAra-cakra-BramaNa-praSamAya-iti / tasmAt nityaH eva-aham SarIrAt anyaH /
