   akatra prativāsinaḥ (?) K_892b	akatra prativAsinaH (?) K_892b
   pitṛbhyāṃ caiva yad dattaṃ K_919a	pitRByAm ca-eva yat dattam K_919a
   pitṛmātṛpatibhrātṛ- K_902a	pitR-mAtR-pati-BrAtR K_902a
   pitṛvyāt tasya vā sutāt K_856b	pitRvyAt tasya vA sutAt K_856b
   pitṝṇāṃ sūnubhir jātair K_551a	pitLNAm sUnuBiH jAtEH K_551a
   pittaśleṣmavatāṃ nityaṃ K_425c	pitta-SlezmavatAm nityam K_425c
   pitrarṇe vidyamāne tu K_559a	pitrA-RNe vidyamAne tu K_559a
   pitraṃśaṃ tu mṛte sutaḥ K_538d	pitR-aMSam tu mRte sutaH K_538d
   pitrā dṛṣṭam ṛṇaṃ yat tu K_555a	pitrA dRzwam RNam yat tu K_555a
   pitrā bhartrā sutena vā K_930b	pitrA BartrA sutena vA K_930b
   pitrā bhuktaṃ tu yad dravyaṃ K_326a	pitrA Buktam tu yat dravyam K_326a
   pitrā bhrātrātha vā patyā K_903c	pitrA BrAtrA-aTa vA patyA K_903c
   pitryarṇaṃ śodhayen manuḥ K_573d	pitrya-RNam SoDayet manuH K_573d
   pitryaṃ pitryarṇasaṃśuddham K_849a	pitryam pitrya-RNa-saMSudDam K_849a
   piśunaś caiva rājani K_802d	piSunaH ca-eva rAjani K_802d
   piṣṭaṃ triṃśadguṇena tu K_450d	pizwam triMSat-guNena tu K_450d
   pīḍanenoparodhena K_585a	pIxanena-uparoDena K_585a
   pīḍayan daṇḍabhāg bhavet K_752d	pIxayan daNxa-BAj Bavet K_752d
   pīḍayet tu dhanī yatra K_589a	pIxayet tu DanI yatra K_589a
   pīḍayed bhatsayec caiva K_526c	pIxayet Batsayet ca-eva K_526c
   pīḍāṃ cāhartṛdāyakau K_126b	pIxAm ca-AhartR-dAyakO K_126b
   pīḍitaḥ pratibhāvitaḥ K_539b	pIxitaH pratiBAvitaH K_539b
   puṇyāni pāvanīyāni K_759c	puNyAni pAvanIyAni K_759c
   putratulyāṃśabhāginī K_851d	putra-tulya-aMSa-BAginI K_851d
   putravittārjanāt pitā K_851b	putra-vitta-arjanAt pitA K_851b
   putras tasmād anantaram K_577b	putraH tasmAt anantaram K_577b
   putrāṇāṃ tu trayo bhāgāḥ K_858c	putrANAm tu trayaH BAgAH K_858c
   putrābhāve tu dātavyam K_560a	putra-aBAve tu dAtavyam K_560a
   putrābhāve pitā haret K_928b	putra-aBAve pitA haret K_928b
   putreṇāpi samaṃ deyam K_561c	putreNa-api samam deyam K_561c
   putreṇaivāpahāryaṃ tad- K_571c	putreNa-eva-apahAryam tad K_571c
   putre rājyaṃ samāsajya K_972c	putre rAjyam samAsajya K_972c
   putraiś ca tadabhāve 'nyai K_562c	putrEH ca tad-aBAve anyEH K_562c
   putro vātyantanirdhanaḥ K_577d	putraH vA-atyanta-nirDanaH K_577d
   punar āsādya tat samam K_885b	punar AsAdya tat samam K_885b
   punar uktakriyāsthitam K_945b	punar ukta-kriyA-sTitam K_945b
   punar eva vinirṇayet K_295b	punar eva vinirNayet K_295b
   punar deyāni tāni vai K_438f	punar deyAni tAni vE K_438f
   punar lekhayate yadi K_171b	punar leKayate yadi K_171b
   punar vādī krayaṃ vadet K_617b	punar vAdI krayam vadet K_617b
   punarvādo na vidyate K_206b	punar-vAdaH na vidyate K_206b
   punar vṛddhiṃ prakalpayet K_509d	punar vRdDim prakalpayet K_509d
   punas tatra nimajjet sa K_445c	punar tatra nimajjet sa K_445c
   punas tāṃ nāpnuyāt kriyām K_221d	punar tAm na-ApnuyAt kriyAm K_221d
   punaḥ kāryasya gauravāt K_158d	punar kAryasya gOravAt K_158d
   punaḥ sīmāṃ vicārayet K_741d	punar sImAm vicArayet K_741d
   pumān anyo jale viśet K_443d	pumAn anyaH jale viSet K_443d
   pumāṃs tatrāparādhyati K_488b	pumAn tatra-aparADyati K_488b
   puragrāmeṣu vāsinām K_047b	pura-grAmezu vAsinAm K_047b
   purā gṛhītaṃ yad dravyam K_179c	purA gRhItam yat dravyam K_179c
   purāt śīghraṃ pravāsayet K_965d	purAt SIGram pravAsayet K_965d
   purā mayāyam iti yat K_178c	purA mayA-ayam iti yat K_178c
   puruṣaṃ vā samādiśet K_088d	puruzam vA samAdiSet K_088d
   puruṣair bhū yathāvidhi K_327b	puruzEH BU yaTAviDi K_327b
   puṃsāṃ ca ṣoḍaśe varṣe K_844c	puMsAm ca zoxaSe varze K_844c
   puṃsāṃ tad dviguṇaṃ striyāḥ K_694b	puMsAm tat dviguNam striyAH K_694b
   puṃso yo 'rthadamaḥ smṛtaḥ K_487b	puMsaH yaH arTa-damaH smRtaH K_487b
   pūgaśreṇigaṇādīnāṃ K_225a	pUga-SreNi-gaNa-AdInAm K_225a
   pūgaḥ saṃparikīrtitaḥ K_679b	pUgaH saMparikIrtitaH K_679b
   pūrvanyāyavidhiś caivam K_165c	pUrva-nyAya-viDiH ca-evam K_165c
   pūrvapakṣaprasādhinī K_211d	pUrva-pakza-prasADinI K_211d
   pūrvapakṣaś cottaraṃ ca K_031a	pUrva-pakzaH ca-uttaram ca K_031a
   pūrvapakṣaśrutārthas tu K_159a	pUrva-pakza-Sruta-arTaH tu K_159a
   pūrvapakṣasya sādhakau K_373d	pUrva-pakzasya sADakO K_373d
   pūrvapakṣaṃ svabhāvoktaṃ K_131a	pUrva-pakzam svaBAva-uktam K_131a
   pūrvapakṣārthasaṃbandhaṃ K_159c	pUrva-pakza-arTa-saMbanDam K_159c
   pūrvapakṣo na siddhyati K_136d	pUrva-pakzaH na sidDyati K_136d
   pūrvapakṣo bhavet tasya K_122c	pUrva-pakzaH Bavet tasya K_122c
   pūrvarājānukīrtanam K_128b	pUrva-rAja-anukIrtanam K_128b
   pūrvavādī kriyāṃ yāvat K_183a	pUrvavAdI kriyAm yAvat K_183a
   pūrvavāde 'pi likhite K_215a	pUrvavAde api liKite K_215a
   pūrvasvāmī labheta tam K_730d	pUrva-svAmI laBeta tam K_730d
   pūrvaṃ cāpīḍito vātha K_780c	pUrvam ca-apIxitaH vA-aTa K_780c
   pūrvaṃ dadyād dhanagrāhaḥ K_577a	pUrvam dadyAt Dana-grAhaH K_577a
   pūrvābhāve pareṇaiva K_243a	pUrva-aBAve pareNa-eva K_243a
   pūrvāhṇe vai śuciḥ śucīn K_344d	pUrvAhNe vE SuciH SucIn K_344d
   pūrvāhṇe śītale deśe K_450a	pUrvAhNe SItale deSe K_450a
   pūrvāḥ syuḥ kūṭasākṣiṇaḥ K_408f	pUrvAH syuH kUwa-sAkziNaH K_408f
   pūrvoktād uktaśeṣaṃ ca K_946c	pUrva-uktAt ukta-Sezam ca K_946c
   pūrvoktād uktaśeṣaṃ syād K_944a	pUrva-uktAt ukta-Sezam syAt K_944a
   pūrvottaraviruddhatā K_247b	pUrva-uttara-virudDa-tA K_247b
   pṛcchati prāṅ iti sthitiḥ K_069b	pRcCati prAF iti sTitiH K_069b
   pṛcchet pāpasya kāraṇam K_958b	pRcCet pApasya kAraNam K_958b
   pṛcched evaṃ sabhāgataḥ K_087b	pRcCet evam saBA-gataH K_087b
   pṛthaksthānāṃ pṛthaksthitāḥ K_932b	pRTak-sTAnAm pRTak-sTitAH K_932b
   pṛthagdharmāḥ pṛthakkriyāḥ K_893b	pRTak-DarmAH pRTakkriyAH K_893b
   pṛṣṭasyākathane tathā K_402b	pRzwasya-akaTane taTA K_402b
   pṛṣṭhato vānugantavyo K_581c	pRzWatas vA-anugantavyaH K_581c
   paitāmahaṃ ca pitryaṃ ca K_840a	pEtAmaham ca pitryam ca K_840a
   paitāmahaṃ tu yat putrair K_556a	pEtAmaham tu yat putrEH K_556a
   paitāmahaṃ samānaṃ syāt K_839a	pEtAmaham samAnam syAt K_839a
   paitṛkī cāpi saṃmatā K_318b	pEtRkI ca-api saMmatA K_318b
   paugaṇḍāḥ paratas taṃ tu K_845:2e	pOgaNxAH paratas tam tu K_845:2e
   prakāśaṃ ca krayaṃ kuryāt K_616a	prakASam ca krayam kuryAt K_616a
   prakāśaṃ janasaṃsadi K_580b	prakASam jana-saMsadi K_580b
   prakāśaṃ devanaṃ kuryād K_939c	prakASam devanam kuryAt K_939c
   prakāśaṃ vā krayaṃ kuryān K_615a	prakASam vA krayam kuryAt K_615a
   prakāśaṃ vikrayād yat tu K_724c	prakASam vikrayAt yat tu K_724c
   prakuryuḥ sarvakarmāṇi K_668c	prakuryuH sarva-karmANi K_668c
   prakurvīta dvijottamaḥ K_719d	prakurvIta dvijottamaH K_719d
   prakurvīta viśuddhaye K_442b	prakurvIta viSudDaye K_442b
   prakṛtīnāṃ prakopaś ca K_951c	prakRtInAm prakopaH ca K_951c
   prakrānte sāhase vāde K_229a	prakrAnte sAhase vAde K_229a
   prakhyātakulaśīlāś ca K_347a	praKyAta-kula-SIlAH ca K_347a
   pragatas tv aṃśabhāṅ na tu K_676d	pragataH tu aMSa-BAj na tu K_676d
   pragalbhaḥ sannatodagraḥ K_002c	pragalBaH sannata-udagraH K_002c
   pragṛhṇīta svaka dhanam K_622b	pragRhNIta svaka Danam K_622b
   pragṛhyāc chinnam āvedya K_824c	pragRhyAt Cinnam Avedya K_824c
   pracchannaṃ vā prakāśaṃ vā K_810a	pracCannam vA prakASam vA K_810a
   pracchāditaṃ yadi dhanaṃ K_885a	pracCAditam yadi Danam K_885a
   prajānāṃ rakṣaṇaṃ nityaṃ K_015a	prajAnAm rakzaNam nityam K_015a
   prajānāṃ hitakāmyayā K_233d	prajAnAm hita-kAmyayA K_233d
   prajāyāṃ saṃpravartate K_952b	prajAyAm saMpravartate K_952b
   prajñaptir vā kṛtā bhavet K_304b	prajQaptiH vA kRtA Bavet K_304b
   praṇataṃ purataḥ sthitam K_086b	praNatam puratas sTitam K_086b
   praṇālīṃ gṛhavāstuṃ ca K_752c	praNAlIm gRha-vAstum ca K_752c
   pratikālaṃ dadāty eva K_499c	pratikAlam dadAti eva K_499c
   pratigrāhiṇa eva ca K_827d	pratigrAhiNaH eva ca K_827d
   pratijñādoṣanirmuktaṃ K_141a	pratijQA-doza-nirmuktam K_141a
   pratijñāya prayātaś ca K_109c	pratijQAya prayAtaH ca K_109c
   pratijñā sākṣivāk tathā K_259b	pratijQA sAkzi-vAc taTA K_259b
   pratidattaṃ tadardhaṃ yat K_182c	pratidattam tad-arDam yat K_182c
   pratidattaṃ mayā na hi K_177b	pratidattam mayA na hi K_177b
   pratidattaṃ mayā bālye K_177a	pratidattam mayA bAlye K_177a
   pratidāpyas tathā balāt K_649b	pratidApyaH taTA balAt K_649b
   pratidāpyaḥ sa tadbalāt K_908d	pratidApyaH sa tad-balAt K_908d
   pratipakṣaṃ na laṅghayet K_187d	pratipakzam na laFGayet K_187d
   pratipakṣaṃ nivedayet K_159d	pratipakzam nivedayet K_159d
   pratipattir udāhṛtā K_168b	pratipattiH udAhRtA K_168b
   pratipattau tu sākṣitvam K_383a	pratipattO tu sAkzi-tvam K_383a
   pratipannaś ca yaḥ svayam K_089d	pratipannaH ca yaH svayam K_089d
   pratibhūtvakriyāṃ prati K_116f	pratiBU-tva-kriyAm prati K_116f
   pratibhūs tat samāpnuyāt K_540d	pratiBUH tat samApnuyAt K_540d
   pratirūpakalakṣitaiḥ K_812b	pratirUpaka-lakzitEH K_812b
   pratirūpasya kartāraḥ K_956a	pratirUpasya kartAraH K_956a
   pratirodhikṛto mataḥ K_090d	pratiroDi-kRtaH mataH K_090d
   pratilomaprasūtānāṃ K_783c	pratiloma-prasUtAnAm K_783c
   pratilomaprasūtā yā K_864a	pratiloma-prasUtA yA K_864a
   pratilomaprasūteṣu K_040a	pratiloma-prasUtezu K_040a
   prativākyagataṃ brūyāt K_191c	prativAkya-gatam brUyAt K_191c
   prativādī tadottaram K_143d	prativAdI tadA-uttaram K_143d
   prativādī na dātavyaḥ K_095c	prativAdI na dAtavyaH K_095c
   prativādī na dīyate K_093d	prativAdI na dIyate K_093d
   prativādī bhaved dhīnaḥ K_385c	prativAdI Bavet DInaH K_385c
   prativādī yadā tatra K_408c	prativAdI yadA tatra K_408c
   prativādī sa vijñeyaḥ K_089c	prativAdI sa vijQeyaH K_089c
   pratiśrutasyādānena K_643a	pratiSrutasya-AdAnena K_643a
   pratiṣiddhāni yatnataḥ K_432b	pratizidDAni yatnatas K_432b
   pratiṣṭhā vyavahārāṇāṃ K_082c	pratizWA vyavahArANAm K_082c
   pratihanyān na tadvacaḥ K_235b	pratihanyAt na tad-vacaH K_235b
   pratyakṣam anumānena K_288a	pratyakzam anumAnena K_288a
   pratyakṣaṃ deśayet sakṣyaṃ K_388c	pratyakzam deSayet sakzyam K_388c
   pratyayas tatra kīrtitaḥ K_841d	pratyayaH tatra kIrtitaH K_841d
   pratyayaḥ sarvavastuṣu K_734d	pratyayaH sarva-vastuzu K_734d
   pratyaye svāminā kṛte K_819d	pratyaye svAminA kRte K_819d
   pratyarthinārthinā vāpi K_381a	pratyarTinA-arTinA vA-api K_381a
   pratyarthino 'rthino vāpi K_212c	pratyarTinaH arTinaH vA-api K_212c
   pratyarthiprahito 'pi vā K_091b	pratyarTi-prahitaH api vA K_091b
   pratyarthivacanaṃ sphuṭam K_374b	pratyarTi-vacanam sPuwam K_374b
   pratyarthī kāraṇād yadi K_145b	pratyarTI kAraNAt yadi K_145b
   pratyarthī ca mṛto yatra K_377c	pratyarTI ca mRtaH yatra K_377c
   pratyarthī tadanantaram K_159b	pratyarTI tad-anantaram K_159b
   pratyarthī yadi taṃ tathā K_170b	pratyarTI yadi tam taTA K_170b
   pratyarthī sākṣiṇaḥ sphuṭam K_384b	pratyarTI sAkziNaH sPuwam K_384b
   pratyavaskandanaṃ tathā K_165b	pratyavaskandanam taTA K_165b
   pratyavaskandane tathā K_245b	pratyavaskandane taTA K_245b
   pratyākalitam eva ca K_031b	pratyAkalitam eva ca K_031b
   pratyekaikaṃ samūhānāṃ K_350c	pratyeka-ekam samUhAnAm K_350c
   prathamaṃ jñātibhiḥ svakam K_613b	praTamam jQAtiBiH svakam K_613b
   prathitaṃ dharmasādhakaiḥ K_036b	praTitam Darma-sADakEH K_036b
   pradātavyo na saṃśayaḥ K_889d	pradAtavyaH na saMSayaH K_889d
   pradhanā yānyam āśrayet K_571b	praDanAH yA-anyam ASrayet K_571b
   pranaṣṭāgamalekhyena K_320a	pranazwa-Agama-leKyena K_320a
   prapadya kāraṇaṃ pūrvam K_191a	prapadya kAraNam pUrvam K_191a
   prapadya kāraṇaṃ brūyād K_170c	prapadya kAraNam brUyAt K_170c
   prabhakṣitam upekṣitam K_596b	praBakzitam upekzitam K_596b
   prabhuṇā śāsanīyās tā K_488c	praBuNA SAsanIyAH tA K_488c
   prabhutvāc ca viśeṣataḥ K_004b	praBu-tvAt ca viSezataH K_004b
   pramāṇatrayam iṣyate K_313b	pramANa-trayam izyate K_313b
   pramāṇadeśadṛṣṭaṃ tu K_050c	pramANa-deSa-dRzwam tu K_050c
   pramāṇam eva likhitaṃ K_304c	pramANam eva liKitam K_304c
   pramāṇasya hi ye doṣā K_275a	pramANasya hi ye dozAH K_275a
   pramāṇaṃ kṣetranāma ca K_127d	pramANam kzetra-nAma ca K_127d
   pramāṇaṃ tatra kalpayet K_416b	pramANam tatra kalpayet K_416b
   pramāṇaṃ tatsmṛtaṃ budhaiḥ K_250d	pramANam tat-smRtam buDEH K_250d
   pramāṇaṃ tadviparyaye K_358d	pramANam tad-viparyaye K_358d
   pramāṇaṃ trividhaṃ viduḥ K_214b	pramANam triviDam viduH K_214b
   pramāṇaṃ trividhaṃ smṛtam K_242b	pramANam triviDam smRtam K_242b
   pramāṇaṃ naiva tad bhavet K_464d	pramANam na-eva tat Bavet K_464d
   pramāṇaṃ mṛtasākṣikam K_303d	pramANam mRta-sAkzikam K_303d
   pramāṇaṃ likhitaṃ tadā K_294d	pramANam liKitam tadA K_294d
   pramāṇaṃ sabhikas tatra K_942c	pramANam saBikaH tatra K_942c
   pramāṇaṃ sarva evaite K_468a	pramANam sarve eva-ete K_468a
   pramāṇena tu kūṭena K_954a	pramANena tu kUwena K_954a
   pramāṇenaiva vādinā K_264d	pramANena-eva vAdinA K_264d
   pramāṇeṣu smṛtā bhukteḥ K_313c	pramANezu smRtA BukteH K_313c
   pramāṇeṣv iti niścayaḥ K_314d	pramANezu iti niScayaH K_314d
   pramāṇair vādinirdiṣṭair K_243c	pramANEH vAdi-nirdizwEH K_243c
   pramāṇair hetunā vāpi K_241a	pramANEH hetunA vA-api K_241a
   pramāpaṇe prāṇabhṛtāṃ K_792a	pramApaNe prANaBRtAm K_792a
   pramukhā dvyaṃśam arhanti K_636e	pramuKAH dvi-aMSam arhanti K_636e
   prayacchet kvacid uddhṛtam K_497b	prayacCet kvacid udDRtam K_497b
   prayacchet svadhanād ṛṇam K_535d	prayacCet sva-DanAt RNam K_535d
   prayatnasādhye vicchinne K_025a	prayatna-sADye vicCinne K_025a
   prayatnena vicārayet K_778b	prayatnena vicArayet K_778b
   prayānti sa catuṣpathaḥ K_755b	prayAnti sa catuzpaTaH K_755b
   prayuktaṃ dhanināṃ sadā K_509b	prayuktam DaninAm sadA K_509b
   prayukte śāntalābhe tu K_293a	prayukte SAnta-lABe tu K_293a
   prayogaṃ kurvate ye tu K_626a	prayogam kurvate ye tu K_626a
   prayogo yatra caivaṃ syād K_501c	prayogaH yatra ca-evam syAt K_501c
   prayojanārtham ānītaḥ K_373a	prayojana-arTam AnItaH K_373a
   prayojyaṃ na vibhajyeta K_884:1c	prayojyam na viBajyeta K_884:1c
   prarṇasaṅkaralopanam K_949d	prarNa-saFkara-lopanam K_949d
   pravaktā cānavasthitaḥ K_828b	pravaktA ca-anavasTitaH K_828b
   pravivedaṃ dvādaśābdaḥ K_333a	pravivedam dvAdaSa-abdaH K_333a
   pravṛttaḥ sārvakālikaḥ K_046b	pravRttaH sArvakAlikaH K_046b
   pravṛttau madhyamaḥ smṛtaḥ K_960d	pravRttO maDyamaH smRtaH K_960d
   praveśyo brāhmaṇād ṛte K_479d	praveSyaH brAhmaNAt Rte K_479d
   pravrajyāvasitaś caiva K_862c	pravrajyA-vasitaH ca-eva K_862c
   pravrajyāvasitaṃ śūdraṃ K_486a	pravrajyA-vasitam SUdram K_486a
   pravrajyāvasitaṃ śūdraṃ K_957a	pravrajyA-vasitam SUdram K_957a
   pravrajyāvasitā yatra K_721a	pravrajyA-vasitAH yatra K_721a
   pravrajyāvasitā ye tu K_679c	pravrajyA-vasitAH ye tu K_679c
   pravrajyāvasito dāso K_731a	pravrajyA-vasitaH dAsaH K_731a
   praśamaṃ yānti ye mithaḥ K_210b	praSamam yAnti ye miTas K_210b
   prasaṅgavinivṛttyarthaṃ K_620c	prasaFga-vinivRtti-arTam K_620c
   prasaṅgād āgataś ca yaḥ K_373b	prasaFgAt AgataH ca yaH K_373b
   prasabhaṃ karma kurvate K_876b	prasaBam karma kurvate K_876b
   prasahya dāpayed deyaṃ K_940a	prasahya dApayet deyam K_940a
   prasahya puruṣo yadā K_830b	prasahya puruzaH yadA K_830b
   prasahya haraṇaṃ ca yat K_796b	prasahya haraNam ca yat K_796b
   prasādaḥ svāminā kṛtaḥ K_876d	prasAdaH svAminA kRtaH K_876d
   prasūtā ca bhavet tataḥ K_723b	prasUtA ca Bavet tatas K_723b
   praskhalaty abhiyuktaś cet K_441a	prasKalati aBiyuktaH ced K_441a
   prastutād alpam avyaktaṃ K_187a	prastutAt alpam avyaktam K_187a
   prastutārthopayogitvād K_381c	prastuta-arTa-upayogi-tvAt K_381c
   prasthāne dviguṇāṃ bhṛtim K_658b	prasTAne dviguNAm BRtim K_658b
   prahared yas tu mānavaḥ K_780b	praharet yaH tu mAnavaH K_780b
   prākāraṃ bhedayed yas tu K_809a	prAkAram Bedayet yaH tu K_809a
   prāktanasya dhanarṇasya K_675c	prAktanasya Dana-RNasya K_675c
   prāk paścān nāmacihnitam K_521b	prAk paScAt nAma-cihnitam K_521b
   prāg uktaṃ ca punar bhajet K_887d	prAk uktam ca punar Bajet K_887d
   prāṅnyāyas tu sa ucyate K_171d	prAFnyAyaH tu saH ucyate K_171d
   prāṅnyāyastriprakārakaḥ K_172d	prAFnyAyaH-tri-prakArakaH K_172d
   prāṅnyāye sa ca vijñeyo K_245c	prAc-nyAye sa ca vijQeyaH K_245c
   prāṅvivāko niyuñjīta K_342c	prAFvivAkaH niyuQjIta K_342c
   prājñair maulair dvijottamaiḥ K_057b	prAjQEH mOlEH dvijottamEH K_057b
   prāḍvivākas tataḥ param K_121d	prAxvivAkaH tatas param K_121d
   prāḍvivākas tataḥ smṛtaḥ K_069d	prAxvivAkaH tatas smRtaH K_069d
   prāḍvivāko 'tha daṇḍyaḥ syāt K_070c	prAxvivAkaH aTa daNxyaH syAt K_070c
   prāḍvivāko 'bhilekhayet K_131b	prAxvivAkaH aBileKayet K_131b
   prāṇadravyāpahāre ca K_804e	prANa-dravya-apahAre ca K_804e
   prāṇasaṃśayam āpannaṃ K_646a	prANa-saMSayam Apannam K_646a
   prāṇātyaye tu yatra syād K_482a	prANa-atyaye tu yatra syAt K_482a
   prāṇāntikavivādeṣu K_232c	prANAntika-vivAdezu K_232c
   prāṇyucchedad vigarhitam K_823d	prANi-ucCedat vigarhitam K_823d
   prātar utthāya nṛpatiḥ K_053a	prAtar utTAya nRpatiH K_053a
   prātibhāvyaṃ tu yo dadyāt K_539a	prAtiBAvyam tu yaH dadyAt K_539a
   prātibhāvyāgataṃ pautrair K_561a	prAtiBAvya-Agatam pOtrEH K_561a
   prātibhāvyāgateṣu ca K_508d	prAtiBAvya-Agatezu ca K_508d
   prātilomyapasūtānāṃ K_433c	prAtilomyapasUtAnAm K_433c
   prātilomyaprasūtānāṃ K_435a	prAtilomya-prasUtAnAm K_435a
   prātilomyānulomataḥ K_786b	prAtilomya-anulomataH K_786b
   prāpitā yady api grahe K_489b	prApitA yadi api grahe K_489b
   prāptakāle kṛte kārye K_607a	prApta-kAle kRte kArye K_607a
   prāptam anviṣya pārthivaḥ K_815d	prAptam anvizya pArTivaH K_815d
   prāptam etais tu yat kiṃcit K_651a	prAptam etEH tu yat kiMcid K_651a
   prāptaṃ tatra phalaṃ samam K_624d	prAptam tatra Palam samam K_624d
   prāptaṃ divyaiḥ parīkṣaṇam K_230b	prAptam divyEH parIkzaNam K_230b
   prāptaṃ vānena cet kiñcid K_303a	prAptam vA-anena ced kiQcid K_303a
   prāptaṃ śilpais tu yad vittaṃ K_904a	prAptam SilpEH tu yat vittam K_904a
   prāpte bhartṛkule vaset K_910b	prApte BartR-kule vaset K_910b
   prāpnuyāt tāvatīṃ bhṛtim K_661d	prApnuyAt tAvatIm BRtim K_661d
   prāpnuyāt pūrvasāhasam K_379d	prApnuyAt pUrva-sAhasam K_379d
   prāpnuyāt pūrvasāhasam K_526d	prApnuyAt pUrva-sAhasam K_526d
   prāpnuyāt pūrvasāhasam K_642d	prApnuyAt pUrva-sAhasam K_642d
   prāpnuyāt pūrvasāhasam K_728d	prApnuyAt pUrva-sAhasam K_728d
   prāpnuyāt pūrvasāhasam K_759d	prApnuyAt pUrva-sAhasam K_759d
   prāpnuyāt pūrvasāhasam K_789d	prApnuyAt pUrva-sAhasam K_789d
   prāpnuyāt pūrvasāhasam K_808d	prApnuyAt pUrva-sAhasam K_808d
   prāpnuyāt pūrvasāhasam K_809d	prApnuyAt pUrva-sAhasam K_809d
   prāpnuyāt pūrvasāhasam K_812d	prApnuyAt pUrva-sAhasam K_812d
   prāpnuyāt sāhasaṃ pūrvam K_527c	prApnuyAt sAhasam pUrvam K_527c
   prāpnuyāt sāhasaṃ pūrvam K_590c	prApnuyAt sAhasam pUrvam K_590c
   prāpnuyāt sāhasaṃ pūrvaṃ K_660c	prApnuyAt sAhasam pUrvam K_660c
   prāpnuyāt sāhasaṃ pūrvaṃ K_713c	prApnuyAt sAhasam pUrvam K_713c
   prāpnuyāt sāhasaṃ pūrvaṃ K_807c	prApnuyAt sAhasam pUrvam K_807c
   prāpnuyād uttamaṃ vadhaḥ K_791d	prApnuyAt uttamam vaDaH K_791d
   prāpnuyād dviśataṃ damam K_729d	prApnuyAt dvi-Satam damam K_729d
   prāpnuyān nānyathaiva tu K_016d	prApnuyAt na-anyaTA-eva tu K_016d
   prāpnuyur nānuvarṇitāḥ K_467d	prApnuyuH na-anuvarNitAH K_467d
   prāpnuyur vividhaṃ vadham K_956d	prApnuyuH viviDam vaDam K_956d
   prāpnoty āmaraṇāntikam K_922d	prApnoti AmaraNa-antikam K_922d
   prāyaścittam akurvatām K_484b	prAyaScittam akurvatAm K_484b
   prāyaścittaṃ ca daṇḍaṃ ca K_472c	prAyaScittam ca daNxam ca K_472c
   prāyaścitte kṛte janaiḥ K_255b	prAyaScitte kRte janEH K_255b
   prāyo dāsīsutāḥ kuryur K_720c	prAyas dAsI-sutAH kuryuH K_720c
   prārabdhe kāryaniścaye K_206d	prArabDe kArya-niScaye K_206d
   prārthanīyaṃ tathaiva tat K_630b	prArTanIyam taTA-eva tat K_630b
   prītidattaṃ tad ucyate K_897d	prIti-dattam tat ucyate K_897d
   prītidattaṃ na vardheta K_505a	prIti-dattam na varDeta K_505a
   prītyā caiva yad anyataḥ K_904b	prItyA ca-eva yat anyatas K_904b
   prītyā coktaṃ mayeti yat K_775b	prItyA ca-uktam mayA-iti yat K_775b
   prītyā dattaṃ tu yat kiṃcit K_897a	prItyA dattam tu yat kiMcid K_897a
   prītyā nisṛṣṭam api cet K_908c	prItyA nisRzwam api ced K_908c
   prekṣakāḥ prakarāś ca ye K_956b	prekzakAH prakarAH ca ye K_956b
   pretakārye ca yatkṛtam K_543b	pretakArye ca yat-kRtam K_543b
   prete caivaṃ vidhīyate K_533d	prete ca-evam viDIyate K_533d
   preṣyān vārdhuṣikāṃś caiva K_423c	prezyAn vArDuzikAn ca-eva K_423c
   proktā deyam ṛṇaṃ tvayā K_547b	proktA deyam RNam tvayA K_547b
   prokte sādhyaṃ na sidhyati K_396d	prokte sADyam na siDyati K_396d
   proṣitasya tu yo bhāgo K_845:2a	prozitasya tu yaH BAgaH K_845:2a
   proṣitasyāmatenāpi K_545a	prozitasya-Amatena-api K_545a
