   Āryabhaṭakṛtam	Ārya Bawa kRtam
   | athavā cakāraḥ atra prayuktaḥ, na tena atra kaścit arthaḥ sādhyate, atha	| aTavA cakAraH atra prayuktaH, na tena atra kaScid arTaH sADyate, aTa
   ca prayuktena manyāmahe nākṣatrasya anekam lakṣaṇam iti | tat ca anekam	ca prayuktena manyAmahe nAkzatrasya anekam lakzaNam iti | tat ca anekam
   lakṣaṇam yathā vyavasthitam tathā vyākhyātam iti ataḥ lakṣaṇadvayam api	lakzaNam yaTA vyavasTitam taTA vyAKyAtam iti atas lakzaNa dvayam api
   svasiddhāntasiddham |	sva sidDAnta sidDam |
   atha nākṣatrasya mānasya kāni prayojanāni?	aTa nAkzatrasya mAnasya kAni prayojanAni?
   saṃvatsarāṇām māsānām ṛtūnām parvaṇām tathā |	saMvatsarANAm mAsAnAm RtUnAm parvaNAm taTA |
   ayanānām ca sarveṣām samāptipratipattayaḥ ||	ayanAnAm ca sarvezAm samApti pratipattayaH ||
   śubhāśubham ca lokānām mānam unmānam eva vā |	SuBa aSuBam ca lokAnAm mAnam unmAnam eva vA |
   iti evamādīni prayojanāni |	iti evamAdIni prayojanAni |
   atha iyam uktiḥ vāgvāgurā kṣudravidrāvaṇaparā	aTa iyam uktiH vAc vAgurA kzudra vidrAvaNa parA
   nākṣatramānapradarśitaprayojanaiḥ lakṣyate "saṃvatsarāṇām māsānām ṛtūnām"	na akzatra mAna pradarSita prayojanEH lakzyate "saMvatsarANAm mAsAnAm RtUnAm"
   iti | saṃvatsarāṇām tāvat pratipacchedanimittam nākṣatram [na] bhavati,	iti | saMvatsarANAm tAvat pratipacCeda nimittam nAkzatram [na] Bavati,
   yataḥ saṃvatsaraḥ śāstre caitraśuklādeḥ pravartate | sa ca caitraśuklādiḥ	yatas saMvatsaraH SAstre cEtra Sukla AdeH pravartate | sa ca cEtra Sukla AdiH
   cāndreṇa upalakṣyate | saṃhitākārāṇām ca bṛhaspaticāre yaḥ saṃvatsaraḥ	cAndreNa upalakzyate | saMhitA AkArANAm ca bRhaspati cAre yaH saMvatsaraH
   bṛhaspateḥ nakṣatrodayāt pravartate ã	bRhaspateH nakzatra udayAt pravartate ã
   yasmin udeti nakṣatre pravāsopagataḥ aṅgirāḥ |	yasmin udeti nakzatre pravAsa upagataH aFgirAH |
   iti | māsānām api na bhavati | yasmin kṛttikābhiḥ yutaḥ candramāḥ, asmin	iti | mAsAnAm api na Bavati | yasmin kRttikABiH yutaH candramAH, asmin
   māse ardhamāse ca iti kārtikaḥ māsaḥ | sa candranakṣatrayogaviśeṣaḥ	mAse arDa mAse ca iti kArtikaH mAsaH | sa candra nakzatra yoga viSezaH
   cāndraḥ mānaviśeṣaḥ | ṛtūnām ayanānām [ca jñānam] sauryeṇa mānena iti	cAndraH mAna viSezaH | RtUnAm ayanAnAm [ca jQAnam] sOryeNa mAnena iti
   pradarsitam eva asmābhiḥ | tasmāt etat na nākṣatramānam | yaiḥ "nākṣatram	pradarsitam eva asmABiH | tasmAt etat na na akzatra mAnam | yEH "nAkzatram
   ca indumaṇḍalakam" iti asya anuvartanāt "bhāvartāḥ ca nākṣatrāḥ" iti asya	ca indu maNxala kam" iti asya anuvartanAt "BAvartAH ca nAkzatrAH" iti asya
   śabdārthavyākhyāne naikaśeṣabahuvacananirdeśaḥ [kṛtaḥ] "ca" śabdāt iti	Sabda arTa vyAKyAne na eka Seza bahuvacana nirdeSaH [kRtaH] "ca"  SabdAt iti
   budhaiḥ eva viditaparamārthaiḥ	buDEH eva vidita parama arTEH
   mukham āyāsitam | tasmāt asmākam ācāryeṇa atīndriyārthadarśinā abhihitam	muKam AyAsitam | tasmAt asmAkam AcAryeNa atIndriya arTa darSinA aBihitam
   ācāryāryabhaṭena tat eva nākṣatramānam | tasmāt "iyam uktiḥ vagvāgurā	AcArya Arya Bawena tat eva na akzatra mAnam | tasmAt "iyam uktiH vagvAgurA
   kṣudravidrāvaṇaparā nākṣatramānapradarśitaprayojanaiḥ lakṣyate" iti suṣṭhu	kzudra vidrAvaNa parAH na akzatra mAna pradarSita prayojanEH lakzyate" iti suzWu
   uktam |	uktam |
   atha etāni saurya sāvana cāndra nākṣatrāṇi mānāni madhyamagatyā	aTa etAni sOrya sAvana cAndra nAkzatrANi mAnAni maDyama gatyA
   pratipāditāni | tatprayojanārtham sphuṭagatyā pratipattavyāni iti	pratipAditAni | tad prayojana arTam sPuwa gatyA pratipattavyAni iti
   pradiṣṭam | ācāryalāṭadevena tu sphuṭagatyā eva pratipāditāni ã	pradizwam | AcArya lAwa devena tu sPuwa gatyAH eva pratipAditAni ã
   darśāt darśaḥ cāndraḥ triṃśat divasāḥ tu sāvanaḥ māsaḥ |	darSAt darSaH cAndraH triMSat divasAH tu sAvanaH mAsaH |
   iti ādigranthena iti |	iti Adi granTena iti |
   atra ca ayam praśnaḥ ã "avamādhimāsakaiḥ vinā dyugaṇam" iti | yātavarṣāṇi	atra ca ayam praSnaH ã "avama aDimAsakEH vinA dyugaNam" iti | yAta varzANi
   māsīkṛtya vartamānamāsaiḥ saṃyojya trairāśikam ã yadi yugaravimāsaiḥ	mAsIkRtya vartamAna mAsEH saMyojya trErASikam ã yadi yugaravi mAsEH
   yugacāndramāsāḥ labhyante, [tadā] etaiḥ [raviḥ] māsaiḥ kiyantaḥ	yuga cAndra mAsAH laByante, [tadA] etEH [raviH] mAsEH kiyantaH
   cāndramāsāḥ iti, labdham cāndramāsāḥ | te triṃśadguṇāḥ	cAndramAsAH iti, labDam cAndramAsAH | te triMSat guNAH
   vartamānatithiyuktāḥ kāryāḥ | tataḥ trairāśikam ã yadi yugacāndradivasaiḥ	vartamAna tiTi yuktAH kAryAH | tatas trErASikam ã yadi yuga cAndra divasEH
   yugāhargaṇaḥ labhyate [tadā] etaiḥ cāndradivasaiḥ kim iti, ahargaṇaḥ	yuga ahargaNaH laByate [tadA] etEH cAndra divasEH kim iti, ahar gaNaH
   labhyate | tatra ekaḥ prakṣepaḥ | atha kaḥ	laByate | tatra ekaH prakzepaH | aTa kaH
   ca asau ekaḥ prakṣepaḥ? ucyate ã yaḥ asau labhyate ahargaṇaḥ sa atītaḥ |	ca asO ekaH prakzepaH? ucyate ã yaH asO laByate ahar gaNaH sa atItaH |
   śeṣaḥ vartamānaḥ | vartamānena ahargaṇaḥ bhavati iti ekaḥ prakṣepaḥ |	SezaH vartamAnaH | vartamAnena ahar gaNaH Bavati iti ekaH prakzepaH |
   "tena divākaroḍupau" iti etat uttaratra vakṣyate | tābhyām	"tena divAkara uxupO" iti etat uttaratra vakzyate | tAByAm
   sphuṭaparvadarśanam iti |	sPuwa parva darSanam iti |
   candrādityābhyām vinā sphuṭatithyānayanam | tat yathā ã "[yadi]	candra AdityAByAm vinA sPuwa tiTi Anayanam | tat yaTA ã "[yadi]
   yugāhargaṇena candravarṣāṇi vasumunigiriyamaviṣayakṛtaveda [4452778]	yuga ahargaNena candra varzANi vasu muni giri yama vizaya kRtavedaH [4452778]
   tulyāni labhyante, tadā anena iṣṭāhargaṇena kiyanti iti varṣāṇi labhyante	tulyAni laByante, tadA anena izwa ahar gaNena kiyanti iti varzANi laByante
   | śeṣe dvādaśā[di]guṇite māsa divasa ghaṭikā vighaṭikāḥ ca labhyante |	| Seze dvAdaSA[di]guNite mAsa divasa  GawikA  viGawikAH ca laByante |
   evam madhyamā tithiḥ bhavati | atha śaśyuccanīcaparivartaiḥ trairāśikam ã	evam maDyamA tiTiH Bavati | aTa SaSyucca nIca parivartEH trErASikam ã
   yadi yugāhargaṇena śaśyuccanīcaparivartāḥ labhyante, [tadā] anena	yadi yuga ahargaNena SaSyucca nIca parivartAH laByante, [tadA] anena
   iṣṭāhargaṇena kiyantaḥ iti, atītāḥ	izwa ahar gaNena kiyantaH iti, atItAH
   parivartāḥ labhyante | śeṣe dvādaśādiguṇite rāśyādayaḥ labhyante |	parivartAH laByante | Seze dvAdaSa Adi guNite rASi AdayaH laByante |
   trirāśirahitam śaśikendram | tataḥ phalam śaśibhuktiḥ ca ānīyate |	tri rASi rahitam SaSika indram | tatas Palam SaSi BuktiH ca AnIyate |
   phalasya dvādaśabhiḥ bhāge nāḍyaḥ vināḍyaḥ ca labhyante | tāvat	Palasya dvAdaSaBiH BAge nAxyaH vinAxyaH ca laByante | tAvat 
   madhyamatithau yathānyāyena ṛṇam dhanam vā kartavyam | sūryānayanārtham	maDyam atiTO yaTAnyAyena RNam Danam vA kartavyam | sUrya Anayana arTam
   trairāśikam ã yadi yugāhargaṇena vasumunigiriyamadahanendu[132778]tulyāni	trErASikam ã yadi yuga ahargaNena vasu muni giri yama dahana indu [132778] tulyAni
   adhikavarṣāṇi labhyante, tadā kaliyātāhargaṇena kiyantaḥ iti,	aDika varzANi laByante, tadA kali yAta ahar gaNena kiyantaH iti,
   varṣa māsa divasa ghaṭikāḥ labhyante |	varza  mAsa  divasa  GawikAH laByante |
   pratirāśitamadhyamatithivarṣādibhyaḥ te śodhyāḥ śeṣam ravivarṣādayaḥ |	pratirASita maDyam atiTi varza AdiByaH te SoDyAH Sezam ravi varza AdayaH |
   tebhyaḥ māsadvayam [2] ca aṣṭādaśa [18] ca divasān apanīya ravikendram	teByaH mAsa dvayam [2] ca azwAdaSa [18] ca divasAn apanIya ravika indram
   bhavati | tena phalānayanam bhaktyānayanam ca | phalasya dvādaśabhiḥ bhāge	Bavati | tena Pala Anayanam BaktyA Anayanam ca | Palasya dvAdaSaBiH BAge
   labdhāḥ nāḍyaḥ vināḍyaḥ ca | tithau eva ṛṇadhanavyatyāsam kuryāt | atha	labDAH nAxyaH vinAxyaH ca | tiTO eva RNa Dana vyatyAsam kuryAt | aTa
   kim iti ṛṇadhanavyatyāsaḥ kriyate? ucyate ã sūryasya yat ṛṇam tat titheḥ	kim iti RNa Dana vyatyAsaH kriyate? ucyate ã sUryasya yat RNam tat tiTeH
   upacayaḥ, dhanam yat tat apacayaḥ iti | evam tithiḥ niṣpannā bhavati |	upacayaH, Danam yat tat apacayaH iti | evam tiTiH nizpannA Bavati |
   tataḥ idam kriyate ã yadi	tatas idam kriyate ã yadi
   madhyamabhuktyantareṇa ṣaṣṭiḥ nāḍyaḥ labhyante, [tadā] sphuṭagatyantareṇa	maDyama Bukti antareNa zazwiH nAxyaH laByante, [tadA] sPuwa gati antareNa
   kiyatya iti, gatyantaranāḍyaḥ upalabhyante | tābhiḥ trairāśikam ã yadi	kiyatyaH iti, gati antara nAxyaH upalaByante | tABiH trErASikam ã yadi
   etābhiḥ gatyantaranāḍikābhiḥ ṣaṣṭiḥ nāḍyaḥ labhyante, [tadā] anena	etABiH gati antara nAxikABiH zazwiH nAxyaH laByante, [tadA] anena
   tithiśeṣeṇa kiyatya iti tithināḍyaḥ vināḍyaḥ ca labhyante | athavā	tiTi SezeNa kiyatyaH iti tiTinAxyaH vinAxyaH ca laByante | aTavA
   trairāśikadvayam bhaṅktvā idam karma kriyate | madhyamabhuktyantareṇa	trErASika dvayam BaFktvA idam karma kriyate | maDyama Bukti antareNa
   tithiśeṣam guṇayitvā sphuṭabhuktyantareṇa bhāgasiddham ghaṭikāvighaṭikāḥ	tiTi Sezam guNayitvA sPuwa Bukti antareNa BAga sidDam GawikA viGawikAH
   ca | katham punar trairāśikadvayam	ca | kaTam punar trErASika dvayam
   bhinnam? ucyate ã yadi madhyamabhuktyantareṇa ṣaṣṭiḥ nāḍyaḥ labhyante	Binnam? ucyate ã yadi maDyama Bukti antareNa zazwiH nAxyaH laByante
   [tadā] sphuṭabhuktyantareṇa kiyatya iti ekam trairāśikam | punar ã	[tadA] sPuwa Bukti antareNa kiyatyaH iti ekam trErASikam | punar ã
   labdhena phalena yadi ṣaṣṭiḥ nāḍyaḥ, [tadā] anena tithiśeṣeṇa kiyatya iti	labDena Palena yadi zazwiH nAxyaH, [tadA] anena tiTi SezeNa kiyatyaH iti
   | yaḥ pūrvatrairāśike guṇakāraḥ sa iha arthāt bhāgahāraḥ iti | atha	| yaH pUrvatrErASike guNakAraH saH iha arTAt BAga hAraH iti | aTa
   deśāntaraviśeṣeṇa ca akṣaviśeṣeṇa ca yat phalam upajāyate tat api yuktyā	deSa antara viSezeNa ca akza viSezeNa ca yat Palam upajAyate tat api yuktyA
   yojayitavyam iti || 5 ||	yojayitavyam iti || 5 ||
   [ adhimāsāvamadināni]	[ aDimAsa avamadinAni]
   adhimāsāvamaparijñānāya āha ã	aDimAsa avamaparijQAnAya Aha ã
   adhimāsakāḥ yuge te ravimāsebhyaḥ adhikāḥ tu ye cāndrāḥ |	aDimAsakAH yuge te ravi mAseByaH aDikAH tu ye cAndrAH |
   śaśidivasāḥ vijñeyāḥ bhūdivasonāḥ tithipralayāḥ || 6 ||	SaSi divasAH vijQeyAH BUdivasonAH tiTi pralayAH || 6 ||
   ye ravimāsebhyaḥ adhikāḥ cāndramāsāḥ te yuge yuge adhimāsāḥ bhavanti, ye	ye ravi mAseByaH aDikAH cAndramAsAH te yuge yuge aDimAsAH Bavanti, ye
   ca bhūdivasonāḥ śaśidivasāḥ te yuge tithipralayāḥ | pralayaḥ vināśaḥ |	ca BU divasonAH SaSi divasAH te yuge tiTi pralayAH | pralayaH vinASaH |
   tithīnām pralayāḥ tithipralayāḥ | avamarātrāṇi iti arthaḥ | evam bruvatā	tiTInAm pralayAH tiTi pralayAH | avama rAtrANi iti arTaH | evam bruvatA
   etat pradarśitam bhavati ã sauryacāndrāntaram adhimāsabhogaḥ, sāvamam	etat pradarSitam Bavati ã sOrya cAndra antaram aDimAsa BogaH, sa avamam
   sāvanam cāndram mānam iti | adhikāvamayoḥ madhyamagatyā upacayaḥ iti uktam	sAvanam cAndram mAnam iti | aDika avamayoH maDyama gatyAH upacayaH iti uktam
   | yadi sphuṭagatyā syāt tadā dvitīyāyām pravṛttāyām pratipat tṛtīyā	| yadi sPuwa gatyA syAt tadA dvitIyAyAm pravRttAyAm pratipad tRtIyA
   [ni]vṛttipravṛttī	[ni]vRtti pravRttI
   na staḥ | adhimāsāvamaiḥ kim nirvartyate? ahargaṇaḥ iti āha | na etat	na staH | aDimAsa avamEH kim nirvartyate? ahar gaNaH iti Aha | naH etat 
   asti, vinā api adhimāsāvamaiḥ ahargaṇasya nirvartitatvāt | na eṣaḥ doṣaḥ,	asti, vinA api aDimAsa a= amEH ahar gaNasya nirvartita tvAt | naH ezaH dozaH,
   upāyāntaratvāt | adhimāsāvamaiḥ vinā ahargaṇasya sādhanam pradarśitam |	upAya antara tvAt | aDimAsa avamEH vinA ahar gaNasya sADanam pradarSitam |
   yena ca adhimāsāvamaiḥ ahargaṇaḥ labhyate sa upāyaḥ pradarśayitavyaḥ | na	yena ca aDimAsa avamEH ahar gaNaH laByate saH upAyaH pradarSayitavyaH | na
   etat asti, ekopāyatvāt | sa ca ayam ca ekaḥ upāyaḥ | katham ekopāyatā? ye	etat asti, ekopAya tvAt | sa ca ayam ca ekaH upAyaH | kaTam eka upAyatA? ye
   cāndramāsāḥ te sādhikāḥ teṣām sādhikatvāt sādhikaḥ eva māsarāśiḥ labhyate	cAndramAsAH te sADikAH tezAm sADika tvAt sADikaH eva mAsa rASiH laByate
   | punar api ca bhūdivasānām	| punar api ca BUdivasAnAm
   rahitāvamatvāt trairāśikena rahitāvamaḥ ahargaṇaḥ labhyate | atha kaścit	rahita avama tvAt trErASikena rahita avamaH ahar gaNaH laByate | aTa kaScid 
   laghūkaraṇārthī guṇakārāt bhāgahāram apanayet tasya śeṣaguṇite labdham	laGUkaraNa arTI guNakArAt BAga hAram apanayet tasya Seza guNite labDam
   pratirāśitaguṇye [kṣipet] | yadi bhāgahārāt avaśiṣyate tatra śeṣaguṇite	pratirASita guNye [kzipet] | yadi BAga hArAt avaSizyate tatra Seza guNite
   labdham guṇyāt pratirāśitāt apanīyam iti eṣaḥ gaṇitanyāyaḥ | atha atra	labDam guNyAt pratirASitAt apanIyam iti ezaH gaNita nyAyaH | aTa atra
   guṇakārādhikatvāt māsāḥ kṣipyante bhāgahārādhikatvāt divasāḥ apacīyante	guNa kAra aDika tvAt mAsAH kzipyante BAga hAra aDika tvAt divasAH apacIyante
   iti ekopāyatā | tasmāt na arthaḥ anayā kārikayā, tathāpi	iti eka upAyatA | tasmAt na arTaH anayA kArikayA, taTA api
   lokavyavahārārtham adhimāsāvamānām	loka vyavahAra arTam aDimAsa avamAnAm
   upadeśaḥ kartavyaḥ | lokaḥ ca adhimāsāvamaiḥ vyavaharati | uktam ca ã	upadeSaH kartavyaH | lokaH ca aDimAsa avamEH vyavaharati | uktam ca ã
   "karaṇādhiṣṭhitam adhimāsakam kuryāt", "triśatam sacatuṣpañcāśa[tam	"karaNa aDizWitam aDimAsakam kuryAt ", "tri Satam sa catuzpaQcASa[tam
   a]horātrāṇām karma sāṃvatsaraḥ" iti | adhimāsārtham trairāśikam ã yadi	a]horAtrANAm karma sAMvatsaraH" iti | aDimAsa arTam trErASikam ã yadi
   yugavarṣaiḥ māsaiḥ vā yugādhimāsakāḥ labhyante, tataḥ yātavarṣādibhiḥ	yuga varzEH mAsEH vA yuga aDimAsakAH laByante, tatas yAta varza AdiBiH
   kiyantaḥ iti adhimāsakalabdhiḥ | evam eva avamānām cāndradivasaiḥ iti |	kiyantaH iti aDimAsaka labDiH | evam eva avamAnAm cAndra divasEH iti |
   atra ca ayam praśnaḥ ã "tena divākaroḍupau" iti ahargaṇena vinā	atra ca ayam praSnaH ã "tena divAkara uxupO" iti ahar gaNena vinA
   candrādityānayanam | tat yathā ã yātavarṣeṣu dvādaśaguṇiteṣu gatamāsān	candra Aditya Anayanam | tat yaTA ã yAta varzezu dvAdaSa guNitezu gata mAsAn
   kṣipet | tataḥ triṃśadguṇiteṣu divasān prakṣipya trairāśikam ã yadi	kzipet | tatas triMSat guNitezu divasAn prakzipya trErASikam ã yadi
   pūrṇaviyadambarajaladharapayodharayamaśaraviṣayeṣucandraiḥ [1555200000]	pUrNa viyat ambara jalaDara payoDara yama Sara vizaya izu candrEH [1555200000]
   yugasauradivasaiḥ yugādhimāsakāḥ labhyante, tataḥ etaiḥ divasaiḥ kiyantaḥ	yuga sOra divasEH yuga aDimAsakAH laByante, tatas etEH divasEH kiyantaH
   iti, labhdam adhimāsakāḥ | śeṣe kṣepaḥ ucyate ã yadi bhūdivasatulyena	iti, laBdam aDimAsakAH | Seze kzepaH ucyate ã yadi BUdivasa tulyena
   avamaśeṣeṇa yugādhimāsatulyaḥ	avamaSezeNa yuga aDimAsa tulyaH
   upacayaḥ adhimāsakaśeṣasya labhyate, tadā anena avamaśeṣeṇa kiyān iti |	upacayaH aDimAsaka Sezasya laByate, tadA anena avamaSezeNa kiyAn iti |
   yat labdham tat adhimāsakaśeṣe prakṣipya yugacāndramāsaiḥ	yat labDam tat aDimAsaka Seze prakzipya yuga cAndra mAsEH
   rasarāmāgnigutāśanatrikṛtatriviṣayaiḥ [5343336] bhāgalabdham bhāgāḥ,	rasa rAma agni guta aSana tri kRta trivizayEH [5343336] BAga labDam BAgAH,
   ṣaṣṭiguṇite liptāḥ | triṃśaguṇādhikayutam divasarāśim kṛtvā trairāśikam ã	zazwi guNite liptAH | triMSa guNa aDika yutam divasa rASim kRtvA trErASikam ã
   yadi yugacāndradinaiḥ yugāvamadināni labhyante, tataḥ etaiḥ kim iti	yadi yuga cAndra dinEH yuga avamadinAni laByante, tatas etEH kim iti
   labhdam avamaḥ | śeṣam ṣaṣṭyā saṃguṇya bhūdivasaiḥ	laBdam avamaH | Sezam zazwyA saMguNya BUdivasEH
   pūrṇāmbaraśaranagaśaśirandhramunigiriviṣayarūpaiḥ [1577917500]	pUrNa ambara Sara naga Sa SiranDra muni giri vizaya rUpEH [1577917500]
   vibhajet, labdham ghaṭikāḥ |	viBajet, labDam GawikAH |
   atha kim artham adhikāvamaśeṣayoḥ śaśimāsabhūdivasaiḥ bhāgaḥ hriyate?	aTa kim arTam aDika avam a SezayoH SaSi mAsaBU divasEH BAgaH hriyate?
   ucyate ã yaḥ asau adhimāsaśeṣaḥ sa cāndramāsāvayavaḥ | ataḥ tena	ucyate ã yaH asO aDimAsa SezaH sa cAndramAsa avayavaH | atas tena
   sacchedena trairāśikam ã yadi yugaśaśimāsaiḥ sūryabhagaṇāḥ labhyante,	sa= Cedena trErASikam ã yadi yuga SaSi mAsEH sUrya BagaNAH laByante,
   tataḥ anena śaśimāsāvayavena kiyantaḥ iti | tatra śaśimāsāvayavacchedena	tatas anena SaSi mAsa avayavena kiyantaH iti | tatra SaSi mA sa avayava= Cedena
   saha ravibhagaṇena apavartanam ã ravibhagaṇānām ravibhagaṇabhāgena ekaḥ	saha ravi BagaNena apavartanam ã ravi BagaNAnAm ravi BagaNa BAgena ekaH
   guṇakāraḥ, chedasya tāvat bhāgena ṣaṣṭiśatatrayam | tatra bhagaṇeṣu bhāgam	guNakAraH, Cedasya tAvat BAgena zazwi Sata trayam | tatra BagaNezu BAgam
   na prayacchati	na prayacCati
   iti dvādaśa triṃśat ca guṇakāraḥ | tatra ṣaṣṭiśatatrayabhāgena rūpam,	iti dvAdaSa triMSat ca guNakAraH | tatra zazwi Sata traya BAgena rUpam,
   tāvat bhāgena eva chedasya api rūpam eva | śaśimāsāḥ eva kevalāḥ	tAvat BAgena eva Cedasya api rUpam eva | SaSi mAsAH eva kevalAH
   bhāgahārāḥ iti | avamaśeṣaḥ api bhūdināvayavaḥ iti trairāśikam ã yadi	BAga hArAH iti | avama SezaH api BU dina avayavaH iti trErASikam ã yadi
   bhūdinaiḥ cāndradivasāḥ labhyante, tataḥ anena bhūdivasāvayavena	BU dinEH cAndra divasAH laByante, tatas anena BU divasa avayavena
   cāndradivasacchedena kim iti | tatra guṇakārabhāgahārayoḥ tulyatvāt nāśaḥ	cAndra divasa= Cedena kim iti | tatra guNa kAra BAga hArayoH tulya tvAt nASaH
   | śeṣe ṣaṣṭiguṇe bhūdivasabhakte ghaṭikāḥ iti | atha yātavarṣāṇi bhagaṇāḥ,	| Seze zazwi guNe BUdivasa Bakte GawikAH iti | aTa yAta varzANi BagaNAH,
   māsāḥ rāśayaḥ, dināni bhāgāḥ iti parikalpya	mAsAH rASayaH, dinAni BAgAH iti parikalpya
   avamaśeṣalabdhaghaṭikāḥ ca liptāḥ | ebhyaḥ adhikaśeṣalabdham viśodhayet |	avamaSeza labDa GawikAH ca liptAH | eByaH aDika Seza labDam viSoDayet |
   śeṣam madhyamasūryaḥ | tebhyaḥ eva trayodaśaguṇitebhyaḥ adhikaśeṣaphalam	Sezam maDyama sUryaH | teByaH eva trayodaSa guNiteByaH aDika Seza Palam
   viśodhayet | śeṣam madhyamacandraḥ |	viSoDayet | Sezam maDyama candraH |
   adhimāsakaiḥ api avamāḥ ānīyante | tat yathā ã abhīṣṭavarṣāṇi dinīkṛtya	aDimAsakEH api avamAH AnIyante | tat yaTA ã aBIzwa varzANi dinIkRtya
   trairāśikam ã [yadi] yugasūryadivasaiḥ yugādhimāsakāḥ labhyante, tataḥ	trErASikam ã [yadi] yuga sUrya divasEH yuga aDimAsakAH laByante, tatas 
   etaiḥ abhīṣṭasūryadivasaiḥ kiyantaḥ iti, adhimāsakāḥ samatikrāntāḥ	etEH aBIzwa sUrya divasEH kiyantaH iti, aDimAsakAH samatikrAntAH
   labhyante, vartamānasya ca śeṣaḥ | tat etat trairāśikam ã yadi	laByante, vartamAnasya ca SezaH | tat etat trErASikam ã yadi
   yugādhimāsaiḥ yugāvamarātrā[ṇi] labhyante tataḥ etaiḥ adhimāsakaiḥ	yuga aDimAsEH yuga avamarAtra a[Ni] laByante tatas etEH aDimAsakEH
   abhīṣṭaiḥ kiyantaḥ iti gaṇitanyāyena savarṇīkṛtya yugāvamaiḥ guṇayet |	aBIzwEH kiyantaH iti gaNita nyAyena savarNIkRtya yuga avamEH guNayet |
   athavā abhīṣṭādhimāsarāśim aṃśarāśim	aTavA aBIzwa aDimAsa rASim aMSa rASim
   ca pṛthak pṛthak yugāvamaiḥ saṃguṇayya aṃśarāśim yugasūryadivasaiḥ	ca pRTak pRTak yuga avamEH saMguNayya aMSa rASim yuga sUrya divasEH
   vibhajya labhdam upari kṣiptvā yugādhimāsakaiḥ bhāgalabdham	viBajya laBdam upari kziptvA yuga aDimAsakEH BAga labDam
   abhīṣṭakālāvamāḥ | athavā trairāśikadvayam bhaṅktvā api ānīyante ã yadi	aBIzwa kAla avamAH | aTavA trErASika dvayam BaFktvA api AnIyante ã yadi
   yugasūryadivasaiḥ adhimāsakāḥ labhyante, tataḥ abhīṣṭadivasaiḥ kiyantaḥ	yuga sUrya divasEH aDimAsakAH laByante, tatas aBIzwa divasEH kiyantaH
   iti ekam trairāśikam | tataḥ punar api ã yadi yugādhimāsakaiḥ yugāvamāḥ	iti ekam trErASikam | tatas punar api ã yadi yuga aDimAsakEH yuga avamAH
   labhyante, tataḥ trairāsikanyāyaviracitarāśyutpannādhimāsakaiḥ kiyantaḥ	laByante, tatas trErAsika nyAya viracita rASi utpanna aDimAsakEH kiyantaH
