   Skandapurāṇa: Revākhaṇḍa (RKS)	SkandapurANa: RevAKaNxa (RKS)
   prāpto 'si paramaṃ lokaṃ pitṛbhir mātṛbhiḥ saha // RKS_63.25 //	prAptaH asi paramam lokam pitRBiH mAtRBiH saha // RKH _63.25 //
   rantidevo 'bravīd vākyaṃ yūyaṃ me varadā yadi /	rantidevaH abravIt vAkyam yUyam me vara dA yadi /
   kalaśaḥ sthāpito yatra brāhmaṇair vedapāragaiḥ // RKS_63.26 //	kalaSaH sTApitaH yatra brAhmaNEH vedapAragEH // RKH _63.26 //
   caturvedadharairbhaktaiḥ pañcabrahmatanuḥ svayam /	catur veda DarEH BaktEH paQca brahma tanuH svayam /
   śivaliṅgaṃ bhavet tatra jvālāmālāsamaprabham // RKS_63.27 //	Siva liFgam Bavet tatra jvAlA mAlA sama praBam // RKH _63.27 //
   yajñaparvatam āsādya pravāho yajñanirgataḥ /	yajQa parvatam AsAdya pravAhaH yajQa nirgataH /
   snāne vinirgatā kubjā caruke carukā tathā // RKS_63.28 //	snAne vinirgatA kubjA caruke carukA taTA // RKH _63.28 //
   carmilā cāṅghrimūle tu śilpe śilpā vinirgatā /	carmilA ca aFGri mUle tu Silpe SilpA vinirgatAH /
   dhanado devatāś cānyāḥ sampūjya praṇipatya ca // RKS_63.29 //	DanadaH devatAH ca anyAH sampUjya praNipatya ca // RKH _63.29 //
   kalpagāṃ ca namaskṛtya kāmikaṃ yānam āśritāḥ /	kalpa gAm ca namaskRtya kAmikam yAnam ASritAH /
   stotraṃ cakre mahābhāga liṅgarūpasya śūlinaḥ // RKS_63.30 //	stotram cakre mahABAga liFga rUpasya SUlinaH // RKH _63.30 //
   lokanātho jagatsraṣṭā praṇipatya yathāvidhi /	lokanATaH jagatsrazwA praNipatya yaTAviDi /
   brahmo vāca:	brahmaH vAca:
   nāsti rudrasamo devo nāsti rudrasamo guruḥ // RKS_63.31 //	na asti rudra samaH devaH na asti rudra samaH guruH // RKH _63.31 //
   nityadāmalakāyāya svaprabhāmalamūrtaye /	nityadAmalakAyAya sva praBA mala mUrtaye /
   śivabhasmāṅgarāgāya deveśāya namo 'stu te // RKS_63.32 //	Siva Basma aFgarAgAya deveSAya namaH astu te // RKH _63.32 //
   nīlakaṇṭhāya devāya sarvāyāmitamūrtaye /	nIlakaNWAya devAya sarva AyAmita mUrtaye /
   bahurūpāya kāntāya śāśvatāya namo 'stu te // RKS_63.33 //	bahu rUpAya kAntAya SASvatAya namaH astu te // RKH _63.33 //
   parāya parameśāya sarvajñāya namo 'stu te /	parAya parameSAya sarvajQAya namaH astu te /
   sarvapraṇatadehāya svayam apraṇatāya ca // RKS_63.34 //	sarva praNata dehAya svayam apraNatAya ca // RKH _63.34 //
   pūjyānām api pūjyāya namastryakṣāya śūline /	pUjyAnAm api pUjyAya namaH tryakzAya SUline /
   brahmendraviṣṇuvedyāya utpattisthitihetave // RKS_63.35 //	brahma indra vizNu vedyAya utpatti sTiti hetave // RKH _63.35 //
   devastuta namaste 'stu bhuktimuktipradāya ca /	devaH tuta namaH te astu Bukti mukti pradAya ca /
   vāmāya vāmarūpāya vāmomāropabhāsine // RKS_63.36 //	vAmAya vAma rUpAya vAma umAra upaBAsine // RKH _63.36 //
   vāmakāntārdhavehāya īśānāya namo 'stu te /	vAma kAnta arDa vehAya ISAnAya namaH astu te /
   śrutvā stotram idaṃ devo brahmaṇaḥ so 'mitadyutiḥ // RKS_63.37 //	SrutvA stotram idam devaH brahmaNaH saH amita dyutiH // RKH _63.37 //
   vṛṇīṣva vāñchitaṃ yajñe varam ity āha śaṅkaraḥ /	vRNIzva vAQCitam yajQe varam iti Aha SaFkaraH /
   dadāmi te na sandeho yas tvayā vara īpsitaḥ // RKS_63.38 //	dadAmi te na sandehaH yaH tvayA varaH IpsitaH // RKH _63.38 //
   uvāca vacanaṃ brahmā śaṅkaraṃ sarvagaṃ prabhum /	uvAca vacanam brahmA SaFkaram sarvagam praBum /
   pañcavaktraṃ pañcaliṅgaṃ brahmapūjyaṃ prakīrtitam // RKS_63.39 //	paQcavaktram paQcaliFgam brahma pUjyam prakIrtitam // RKH _63.39 //
   bilvā niveditā yasminn āmrāś ca viniveditāḥ /	bilvAH niveditAH yasmin AmrAH ca viniveditAH /
   bilvāmrakannāma liṅgaṃ saṃsārārṇavatāraṇam // RKS_63.40 //	bilva Amrakat nAma liFgam saMsAra arNava tAraNam // RKH _63.40 //
   prasiddhiṃ paramāṃ yātu bhagavaṃs tvatprasādataḥ /	prasidDim paramAm yAtu Bagavan tvad prasAdataH /
   vāmanā mekalā yatra yatredaṃ liṅgam uttamam // RKS_63.41 //	vAmanAH mekalA yatra yatra idam liFgam uttamam // RKH _63.41 //
   tatra snātvā naravyāghra śivalokam avāpyate /	tatra snAtvA nara vyAGra Siva lokam avApyate /
   idaṃ varam ahaṃ manye lokānugrahakārakam // RKS_63.42 //	idam varam aham manye loka anugraha kArakam // RKH _63.42 //
   śaṅkaras tu tathety evaṃ prāha brahmāṇam avyayam /	SaFkaraH tu taTA iti evam prAha brahmANam avyayam /
   evam uktvā maheśāno gaṇakoṭisamāvṛtaḥ // RKS_63.43 //	evam uktvA maheSAnaH gaNa kowi samAvRtaH // RKH _63.43 //
   stūyamānaḥ suraiḥ sarvaiḥ jagāma bhavanaṃ svakam /	stUyamAnaH surEH sarvEH jagAma Bavanam svakam /
   brahmādyā devatāś caiva gatāḥ svaṃ svaṃ niveśanam // RKS_63.44 //	brahma AdyAH devatAH ca eva gatAH svam svam niveSanam // RKH _63.44 //
   rantidevaḥ pratuṣṭāva liṅgarūpadharaṃ śivam /	rantidevaH pratuzwAva liFga rUpa Daram Sivam /
   niśamya rantidevasya stotraṃ prāha maheśvaraḥ // RKS_63.45 //	niSamya rantidevasya stotram prAha maheSvaraH // RKH _63.45 //
   varaṃ vṛṇīṣva bhadraṃ te stotreṇānena suvrataṃ /	varam vRNIzva Badram te stotreNa anena suvratam /
   rantidevo 'bravīd vākyaṃ yadi me varadaḥ śivaḥ // RKS_63.46 //	rantidevaH abravIt vAkyam yadi me vara daH SivaH // RKH _63.46 //
   idaṃ tīrthaṃ na moktavyaṃ mahādeva sadā tvayā /	idam tIrTam na moktavyam mahAdeva sadA tvayA /
   aghaughasamaplutā ye tu tiryagyonigatā narāḥ // RKS_63.47 //	aGa oGa sama plutAH ye tu tiryagyoni gatAH narAH // RKH _63.47 //
   asya tīrthasya māhātmyāt te yāntu paramāṃ gatim /	asya tIrTasya mAhAtmyAt te yAntu paramAm gatim /
   atra yad dīyate dānaṃ sarvaṃ bhavati cākṣayam // RKS_63.48 //	atra yat dIyate dAnam sarvam Bavati ca akzayam // RKH _63.48 //
   idaṃ varam ahaṃ manye yadi tuṣṭo 'si śaṅkara /	idam varam aham manye yadi tuzwaH asi SaFkara /
   śaṅkara uvāca:	SaFkaraH uvAca:
   amāsomasamāyoge kārttikyāṃ caiva parvaṇi // RKS_63.49 //	amA soma samAyoge kArttikyAm ca eva parvaNi // RKH _63.49 //
   atra yad dīyate dānaṃ tad anantaṃ samaśnute /	atra yat dIyate dAnam tat anantam samaSnute /
   etat te kathitaṃ rājaṃs tīrthaṃ pāpapraṇāśanam // RKS_63.50 //	etat te kaTitam rAjan tIrTam pApa praNASanam // RKH _63.50 //
   viśvedevāḥ parāṃ siddhim asmiṃs tīrthe samāgatāḥ /	viSvedevAH parAm sidDim asmin tIrTe samAgatAH /
   agastyaśaunakaś caiva parāśaro 'ghamarṣaṇaḥ // RKS_63.51 //	agastya SOnakaH ca eva parASaraH aGamarzaNaH // RKH _63.51 //
   saṃsiddhiṃ paramāṃ prāptā nānā munigaṇās tathā /	saMsidDim paramAm prAptAH nAnA muni gaNAH taTA /
   atrāyutaṃ munīnāṃ ca tapasā divamāruhat // RKS_63.52 //	atra ayutam munInAm ca tapasA divam Aruhat // RKH _63.52 //
   saṃkrame ca vyatīpāte grahaṇe candrasūryayoḥ /	saMkrame ca vyatIpAte grahaNe candra sUryayoH /
   amāsomasamāyoge ṣaḍaśītimukhe tathā // RKS_63.53 //	amA soma samAyoge zaz aSIti muKe taTA // RKH _63.53 //
   puṇyaṃ daśaguṇaṃ vṛddhiṃ satyam etac chivoditam /	puNyam daSaguNam vRdDim satyam etat Siva uditam /
   sapādakoṭis tīrthānāṃ kubjārevāsamāgame // RKS_63.54 //	sa pAda kowiH tIrTAnAm kubja ArevA samAgame // RKH _63.54 //
   dakṣiṇottarabhāge tu krośamātraṃ pratiṣṭhitam /	dakziNa uttara BAge tu kroSa mAtram pratizWitam /
   avaśaḥ svavaśo vā 'pi prāṇān yas tu parityajet // RKS_63.55 //	avaSaH svavaSaH vA api prANAn yaH tu parityajet // RKH _63.55 //
   rājā varṣasahasrāṇi vidyādharapure bhavet /	rAjA varza sahasrANi vidyADara pure Bavet /
   kṛmikīṭapataṅgādyās tīrthe 'smin prāṇamokṣaṇe // RKS_63.56 //	kRmi kIwa pataFga AdyAH tIrTe asmin prANa mokzaNe // RKH _63.56 //
   divyaṃ varṣasahasraṃ tu rājā vidyādhare pure /	divyam varza sahasram tu rAjA vidyADare pure /
   bilvāmrakaṃ siddhaliṅgaṃ kāmabhogaphalapradam // RKS_63.57 //	bilva Amrakam sidDa liFgam kAma Boga Pala pradam // RKH _63.57 //
   kubjeśvaraṃ mahac cānyad brahmahatyāṃ vyapohati /	kubjeSvaram mahat ca anyat brahma hatyAm vyapohati /
   atrāntare mahārāja śivakṣetraṃ vidurbudhāḥ // RKS_63.58 //	atra antare mahA rAja Siva kzetram viduH buDAH // RKH _63.58 //
   revākubjāsamāyoge yavānāṃ saptatistathā /	revA kubjA samAyoge yavAnAm saptatiH taTA /
   amāsomasamāyoge snānāc chāntiḥ prakīrtitā // RKS_63.59 //	amA soma samAyoge snAnAt SAntiH prakIrtitAH // RKH _63.59 //
   vārāṇasī kurukṣetraṃ prayāgo naimiṣaṃ tathā /	vArANasI kurukzetram prayAgaH nEmizam taTA /
   puṣkaraṃ ca gayā caiva kedāraṃ tīrtham uttamam // RKS_63.60 //	puzkaram ca gayA ca eva kedAram tIrTam uttamam // RKH _63.60 //
   phalam eteṣu sāmānyam amāsomasamāgame /	Palam etezu sAmAnyam amA soma samAgame /
   akṣayaṃ ca phalaṃ proktaṃ kubjārevāsamāgame // RKS_63.61 //	akzayam ca Palam proktam kubja ArevA samAgame // RKH _63.61 //
   tilodakapradānena mātṛkaṃ paitṛkaṃ sutaḥ /	tila udaka pradAnena mAtRkam pEtRkam sutaH /
   narakād uddharet sarvān pūrvān api parān api // RKS_63.62 //	narakAt udDaret sarvAn pUrvAn api parAn api // RKH _63.62 //
   so 'pi rājā gṛhaṃ prāptaḥ sarvān uddhṛtya pūrvajān /	saH api rAjA gRham prAptaH sarvAn udDRtya pUrvajAn /
   ayaṃ te kathito rājan kubjārevāsamāgamaḥ // RKS_63.63 //	ayam te kaTitaH rAjan kubja arevA samAgamaH // RKH _63.63 //
   rantidevo hariścandraḥ puruhūtaḥ purūravāḥ /	rantidevaH hariScandraH puruhUtaH purUravAH /
   atreṣṭvā vividhair yajñair divyanti divi devavat // RKS_63.64 //	atra izwvA viviDEH yajQEH divyanti divi deva vat // RKH _63.64 //
   śravaṇāt kīrtanād asya tīrthasya narasattama /	SravaNAt kIrtanAt asya tIrTasya nara sattamaH /
   sarvapāpaviśuddhātmā śivaloke mahīyate // RKS_63.65 //	sarva pApa viSudDa AtmA Siva loke mahIyate // RKH _63.65 //
   iti śrīskandapurāṇe revākhaṇḍe kubjāmāhātmye triṣaṣṭitamo 'dhyāyaḥ ||	iti SrI skandapurANe revAKaNxe kubjAmAhAtmye trizazwitamaH aDyAyaH ||
   RKS adhyāya 64	RKH aDyAyaH 64
   mārkaṇḍeya uvāca:	mArkaNxeyaH uvAca:
   athānyat kathayiṣyāmi tīrthaṃ tīrthavaraṃ śubham /	aTa anyat kaTayizyAmi tIrTam tIrTa varam SuBam /
   yāmyapradeśe revāyā āśramaḥ surapūjitaḥ // RKS_64.1 //	yAmya pradeSe revAyAH ASramaH sura pUjitaH // RKH _64.1 //
   suvarṇadvīpapavikhyāto devadroṇīsamāvṛtaḥ /	suvarNa dvIpa pa viKyAtaH deva droNI samAvRtaH /
   hārīto gautamo viṣṇuḥ sāvarṇiḥ kauśikas tathā // RKS_64.2 //	hArItaH gOtamaH vizNuH sAvarNiH kOSikaH taTA // RKH _64.2 //
   ete cānye ca bahavo munayaḥ śaṃsitavratāḥ /	ete ca anye ca bahavaH munayaH SaMsita vratAH /
   māsopavāsinaḥ kecid anye pakṣopavāsinaḥ // RKS_64.3 //	mAsa upavAsinaH kecid anye pakza upavAsinaH // RKH _64.3 //
   cāndrāyaṇaparāś cānye tathānye kṛcchracāriṇaḥ /	cAndrAyaNa parAH ca anye taTA anye kRcCra cAriNaH /
   phalamūlāśinaḥ kecit tathānye vāyubhakṣakāḥ // RKS_64.4 //	Pala mUla ASinaH kecid taTA anye vAyuBakzakAH // RKH _64.4 //
   kaṇadhūmaṃ pibanty anye jalāhārās tathā pare /	kaNaDUmam pibanti anye jala AhArAH taTA pare /
   ekapādāḥ sthitāḥ kecid anye cārdhapadāḥ sthitāḥ // RKS_64.5 //	eka pAdAH sTitAH kecid anye ca arDa padAH sTitAH // RKH _64.5 //
   dantolūkhalinaḥ kecidanye sūryāvalokinaḥ /	dantolUKalinaH kecid anye sUrya avalokinaH /
   brāhmaṇāś ca brahmavidaḥ śrutismṛtiviśāradāḥ // RKS_64.6 //	brAhmaNAH ca brahma vidaH Sruti smRti viSAradAH // RKH _64.6 //
   itihāsapurāṇāni mokṣopāyavicintakāḥ /	itihAsa purANAni mokza upAya vicintakAH /
   agnihotraparā nityaṃ japayajñakriyāparāḥ // RKS_64.7 //	agnihotra parAH nityam japa yajQa kriyA parAH // RKH _64.7 //
   vedadhvanitanirghoṣais tārayanti jagattrayam /	veda Dvanita nirGozEH tArayanti jagattrayam /
   na tasmin saṃcaret pāpaṃ tamaḥ sūryodaye yathā // RKS_64.8 //	na tasmin saMcaret pApam tamaH sUrya udaye yaTA // RKH _64.8 //
   mekalādakṣiṇe tīre brahmaloka iva sthitaḥ /	mekalA dakziNe tIre brahma lokaH iva sTitaH /
   āmrajambūkadambaiś ca kapitthair bilvadāḍimaiḥ // RKS_64.9 //	Amra jambU kadambEH ca kapitTEH bilva dAximEH // RKH _64.9 //
   kadalībījapūrādyair jambīraiḥ panasais tathā /	kadalI bIjapUra AdyEH jambIrEH panasEH taTA /
   nyagrodhabadarair mukhyair bahuvṛkṣavibhūṣitam // RKS_64.10 //	nyagroDa badarEH muKyEH bahu vRkza viBUzitam // RKH _64.10 //
   punnāgair nāgabakulair aśokais tilakais tathā /	punnAgEH nAga bakulEH aSokEH tilakEH taTA /
   mandāraiś campakaiś cāmrātakair nīlotpalotpalaiḥ // RKS_64.11 //	mandArEH campakEH ca AmrAtakEH nIlotpala utpalEH // RKH _64.11 //
   patrapuṣpaphalopetair vṛkṣaiḥ sarvair alaṃkṛtam /	patra puzpa Pala upetEH vRkzEH sarvEH alaMkRtam /
   nānāpakṣigaṇopetaṃ siddhagandharvasevitam // RKS_64.12 //	nAnA pakzi gaNa upetam sidDa ganDarva sevitam // RKH _64.12 //
   vyāharatyaṇḍajāḥ sarve mānuṣāṇāṃ girā nṛpa /	vyAharati aNxa jAH sarve mAnuzANAm girA nRpa /
   etad guṇasamāyuktaṃ suvarṇadvīpam uttamam // RKS_64.13 //	etat guNa samAyuktam suvarNa dvIpam uttamam // RKH _64.13 //
   svāyambhuve 'ntare rājann ādikalpe kṛte yuge /	svAyamBuve antare rAjan Adi kalpe kRte yuge /
   arcanād devadevasya suvarṇadvīpavāsinaḥ // RKS_64.14 //	arcanAt devadevasya suvarNa dvIpa vAsinaH // RKH _64.14 //
   apahāya tamaḥ kṛtsnaṃ loke krīḍanti śāṅkare /	apahAya tamaH kRtsnam loke krIxanti SAFkare /
   pitṝṇām annadānena tilatoyapradānataḥ // RKS_64.15 //	pitLNAm anna dAnena tila toya pradAnataH // RKH _64.15 //
   malāpakarṣaṇaṃ kṛtvā vasanti brahmaṇaḥ pure /	mala apakarzaNam kRtvA vasanti brahmaNaH pure /
   puṇyāyāṃ bhūpakārtikyāṃ sarvatīrthaphalapradaḥ // RKS_64.16 //	puNyAyAm BUpa kArtikyAm sarva tIrTa Pala pradaH // RKH _64.16 //
   naitat paśyanti manujāḥ kalau māyāvimohitāḥ /	na etat paSyanti manujAH kalO mAyA vimohitAH /
   kalpagā yāmyabhāge tu tīrthakoṭiranekadhā // RKS_64.17 //	kalpa gA yAmya BAge tu tIrTa kowiH anekaDA // RKH _64.17 //
   prasiddhaṃ siddhamunibhir jñāyate kevalaṃ hi tat /	prasidDam sidDa muniBiH jQAyate kevalam hi tat /
   nāstikair bhinnamaryādaiḥ purāṇasmṛtinindakaiḥ // RKS_64.18 //	nAstikEH Binna maryAdEH purANa smRti nindakEH // RKH _64.18 //
   tailābhyaktair na vedoktakarai revātaṭe tathā /	tEla aByaktEH na veda ukta karEH revA tawe taTA /
   kalimāyāvimūḍhaiś ca sthānaṃ tanna pradṛśyate // RKS_64.19 //	kali mAyA vimUXEH ca sTAnam tat na pradRSyate // RKH _64.19 //
   hiraṇyagarbhāsthāne tu yasmin vahati kalpagā /	hiraNyagarBA sTAne tu yasmin vahati kalpa gA /
   yajñagarbheśvaraṃ nāma śivaliṅgaṃ prakīrtitam // RKS_64.20 //	yajQagarBeSvaram nAma Siva liFgam prakIrtitam // RKH _64.20 //
   pūjyate siddhagandharvaiḥ surāsuramahoragaiḥ /	pUjyate sidDa ganDarvEH sura asura mahA uragEH /
   yatra vaivasvato rājā sūryaputro mahāyaśāḥ // RKS_64.21 //	yatra vEvasvataH rAjA sUryaputraH mahA yaSAH // RKH _64.21 //
   tasya tīrthasya māhātmyāc candrabimbānano 'bhavat /	tasya tIrTasya mAhAtmyAt candra bimba AnanaH aBavat /
   caitrasyaiva tu māsasya śuklapakṣe narādhipa // RKS_64.22 //	cEtrasya eva tu mAsasya Sukla pakze narADipa // RKH _64.22 //
   caturdaśyāṃ paurṇamāsyāṃ yatra sannihito haraḥ /	caturdaSyAm pOrNamAsyAm yatra sannihitaH haraH /
   tilodakapradānena piṇḍadānena bhārata // RKS_64.23 //	tila udaka pradAnena piNxa dAnena BArata // RKH _64.23 //
   pitṝn samuddharet tatra narakād bhūridakṣiṇaḥ /	pitLn samudDaret tatra narakAt BUri dakziNaH /
   nivased vaiṣṇave loke yāvac candrārkadarśanam // RKS_64.24 //	nivaset vEzNave loke yAvat candra arka darSanam // RKH _64.24 //
   tatra yaddīyate dānaṃ kurukṣetrasamaṃ hi tat /	tatra yat dIyate dAnam kurukzetra samam hi tat /
   prāṇatyāge kṛte tatra na paśyanti yamālayam // RKS_64.25 //	prANatyAge kRte tatra na paSyanti yama Alayam // RKH _64.25 //
   revāyā uttare kūle paryaṅko nāma parvataḥ /	revAyAH uttare kUle paryaFkaH nAma parvataH /
   sa ca vindhyasutaḥ śrīmān sarvadevamayaḥ śubhaḥ // RKS_64.26 //	sa ca vinDya sutaH SrImAn sarva deva mayaH SuBaH // RKH _64.26 //
   tatra pāpaharo viṣṇuḥ svayaṃ tiṣṭhati keśavaḥ /	tatra pApa haraH vizNuH svayam tizWati keSavaH /
   narapāpaharo yas tu narmadātaṭam āśritaḥ // RKS_64.27 //	nara pApa haraH yaH tu narmadA tawam ASritaH // RKH _64.27 //
   tatra snātvā mahārāja gosahasraphalaṃ labhet /	tatra snAtvA mahA rAja go sahasra Palam laBet /
   tarpitāḥ pitaras tasya tṛptā yānti hareḥ puram // RKS_64.28 //	tarpitAH pitaraH tasya tRptAH yAnti hareH puram // RKH _64.28 //
   ekādaśīṃ dvādaśīṃ vā tatra yaḥ kurute naraḥ /	ekAdaSIm dvAdaSIm vA tatra yaH kurute naraH /
   na tasya punarāvṛttir martyaloke durāsade // RKS_64.29 //	na tasya punarAvRttiH martya loke durAsade // RKH _64.29 //
   krośamātrapramāṇaṃ ca harikṣetraṃ prakīrtitam /	kroSa mAtra pramANam ca hari kzetram prakIrtitam /
   apamṛtyumṛtā ye ca te yānti paramāṃ gatim // RKS_64.30 //	apamRtyu mRtAH ye ca te yAnti paramAm gatim // RKH _64.30 //
   iti śrīskandapurāṇe revākhaṇḍe viṣṇukīrtanaṃ nāma catuḥṣaṣṭitamo 'dhyāyaḥ	iti SrI skandapurANe revAKaNxe vizNukIrtanam nAma catuHzazwitamaH aDyAyaH
   RKS adhyāya 65	RKH aDyAyaH 65
   mārkaṇḍeya uvāca:	mArkaNxeyaH uvAca:
   narmadāyāmyabhāge tu tīrthaṃ pāpapraṇāśanam /	narmadAyAmya BAge tu tIrTam pApa praNASanam /
   māṇḍavyasyāśramaṃ puṇyaṃ siddhagandharvasevitam // RKS_65.1 //	mANxavyasya ASramam puNyam sidDa ganDarva sevitam // RKH _65.1 //
   vibhāṇḍakaś ca gārgyaś ca ṛṣyaśṛṅgādayas tathā /	viBANxakaH ca gArgyaH ca RzyaSRFga AdayaH taTA /
   tasmin sahasrasaṃkhyātā munayaḥ śaṃsitavratāḥ // RKS_65.2 //	tasmin sahasra saMKyAtAH munayaH SaMsita vratAH // RKH _65.2 //
   aśokavanikāṃ rājan chṛṇu sāmpratamuttamam /	aSoka vanikAm rAjan SRNu sAmpratam uttamam /
   tatra sannihito deva umayā sahito haraḥ // RKS_65.3 //	tatra sannihitaH devaH umayA sahitaH haraH // RKH _65.3 //
   āviṣṭaś cāśrame tatra viśoko vimalaḥ śivaḥ /	AvizwaH ca ASrame tatra viSokaH vimalaH SivaH /
   viśokayā saricchreṣṭhā narmadā yatra saṅgatā // RKS_65.4 //	viSokayA sarit SrezWAH narmadA yatra saFgatA // RKH _65.4 //
   tatra snātā divaṃ yānti ye mṛtā na punarbhavāḥ /	tatra snAtAH divam yAnti ye mRtAH na punarBavAH /
   aśokeśvaraliṅgam ca pratyakṣaṃ siddhiśaṅkaram // RKS_65.5 //	aSoka ISvara liFgam ca pratyakzam sidDi SaFkaram // RKH _65.5 //
   śāpabhraṣṭā dvijās tatra nāradena vimocitāḥ /	SApa BrazwAH dvijAH tatra nAradena vimocitAH /
   tasya tīrthasya māhātmyāt modante divi devatāḥ // RKS_65.6 //	tasya tIrTasya mAhAtmyAt modante divi devatAH // RKH _65.6 //
   nānāvṛkṣaphalaiḥ puṣpaiḥ sarvakāmasamanvitaiḥ /	nAnA vRkza PalEH puzpEH sarva kAma samanvitEH /
   nānā pakṣigaṇairjuṣṭaṃ nānāvṛkṣaniṣevitam // RKS_65.7 //	nAnA pakzi gaNEH juzwam nAnA vRkza nizevitam // RKH _65.7 //
   siddhavidyādharair yakṣair gandharvaiḥ kinnarais tathā /	sidDa vidyADarEH yakzEH ganDarvEH kinnarEH taTA /
   veṇuvīṇāninādena śaṅkhavāditraniḥsvanaiḥ // RKS_65.8 //	veNu vINA ninAdena SaFKa vAditra niHsvanEH // RKH _65.8 //
   śobhate sarvadā rājan narmadā vindhyasaṅgamaḥ /	SoBate sarvadA rAjan narmadA vinDya saFgamaH /
   aśokā devatā yatra brahmaśakrapurogamāḥ // RKS_65.9 //	aSokAH devatAH yatra brahma Sakra purogamAH // RKH _65.9 //
   viśvedevāśramaṃ taddhi sarvadevanamaskṛtam /	viSvedeva ASramam tat hi sarva deva namaskRtam /
   viśvāyāś ca tathā putrā viśvedevāḥ prakīrtitāḥ // RKS_65.10 //	viSvAyAH ca taTA putrAH viSvedevAH prakIrtitAH // RKH _65.10 //
   aśokavanikāyāṃ ca janayāmāsa kaśyapaḥ /	aSoka vanikAyAm ca janayAmAsa kaSyapaH /
   vaivasvate 'ntare prāpte tretāyāṃ narasattama // RKS_65.11 //	vEvasvate antare prApte tretAyAm nara sattamaH // RKH _65.11 //
   pañcāyutāni tāni tīrthāni nivasanti śubhāni ca /	paQca ayutAni tAni tIrTAni nivasanti SuBAni ca /
   tatra siddhā ca sāvitrī devamātāditis tathā // RKS_65.12 //	tatra sidDA ca sAvitrI devamAtA aditiH taTA // RKH _65.12 //
   devayānī tathendrāṇī rohiṇī saṃbharāyaṇī /	devayAnI taTA indrANI rohiNI saMBarAyaNI /
   dākṣāyaṇī lokavandyā lopāmudrā mahāyaśā // RKS_65.13 //	dAkzAyaNI loka vandyAH lopAmudrA mahA yaSAH // RKH _65.13 //
   ratnāvalī sūryabhāryā dhruvā tārā gaṇeśvarī /	ratnAvalI sUrya BAryA DruvA tArA gaNeSvarI /
   aśokās tena vihitās tatrasthāḥ śatasaṃkhyakāḥ // RKS_65.14 //	aSokAH tena vihitAH tatrasTAH Sata saMKyakAH // RKH _65.14 //
   asya tīrthasya māhātmyān mucyate kilbiṣān naraḥ /	asya tIrTasya mAhAtmyAt mucyate kilbizAt naraH /
   śuklapakṣe caturdaśyām āśvine māsi bhārata // RKS_65.15 //	Sukla pakze caturdaSyAm ASvine mAsi BArata // RKH _65.15 //
   aputriṇī tathā bandhyā durbhagā bhartṛvarjitā /	aputriNI taTA banDyA durBagA BartR varjitAH /
   pañcaratnaphalaiḥ snātā divyakumbhaiḥ samarcayet // RKS_65.16 //	paQcaratna PalEH snAtAH divya kumBEH samarcayet // RKH _65.16 //
   sahasrajanma sā bhūyaḥ putriṇī subhagā bhavet /	sahasra janma sA BUyas putriNI suBagA Bavet /
