   ācāryakamalaśīlapraṇīto	AcArya kamala SIla praNItaH 
   bhogaṃ na kurvīta / yadā ca vipaśyanāṃ bhāveyat prajñātiriktatarā bhavet,	Bogam na kurvIta / yadA ca vipaSyanAm BAveyat prajQA atiriktatarA Bavet ,
   tadā śamathasyālpatvāt pravātasthita pradīpavat pracalatvāccittasya na	tadA SamaTasya alpa tvAt pravAta sTita  pradIpa vat pracala tvAt cittasya na
   sphuṭaraṃ tattvadarśanaṃ bhavet / atastadā śamathau bhāvayitavyaḥ /	sPuwaram tattva darSanam Bavet / atas tadA SamaTO BAvayitavyaH /
   śamathasyābhyadhikye 'pi prajñā bhāvayitavyā /	SamaTasya aByaDikye api prajQA BAvayitavyA /
   yadā ubhayaṃ samapravṛttaṃ tadā anabhisaṃskāreṇaiva tāvat sthātavyaṃ yāvat	yadA uBayam sama pravRttam tadA anaBisaMskAreNa eva tAvat sTAtavyam yAvat 
   kāyacittapīḍā na bhavet / satyāṃ kāyādipīḍāyāṃ tadantarā sakalameva lokaṃ	kAya citta pIxA na Bavet / satyAm kAya Adi pIxAyAm tad antarA sakalam eva lokam
   māyāmarīcisvapnajalacandropamapratibhāsavad dṛṣṭvā īdṛśaṃ cintanīyam / amī	mAyA marIci svapna jala candra upama pratiBAsa vat dRzwvA IdRSam cintanIyam / amI
   sattvāstu evaṃ vidhadharmagāmbhiryānavabodhatayā saṃsāre saṃkliṣṭāḥ / tato	sattvAH tu evam viDa Darma gAmBiH yAn avaboDa tayA saMsAre saMklizwAH / tatas 
   'haṃ kariṣyāmi tāṃstāṃ dharmatām avabodhayeyuḥ, tathā kariṣyāmi' iti	aham karizyAmi tAn= tAm Darma tAm avaboDayeyuH, taTA karizyAmi a iti
   cintayan mahākaruṇāṃ bodhicittābhimukhīṃ kurvita / tato viśramya punarapi	cintayan mahA karuNAm boDi citta aBimuKIm kurvita / tatas viSramya punar api
   tathaiva sarvadharmanirābhāsaṃ samādhimavataret / citte 'tikhede sati,	taTA eva sarva Darma nirABAsam samADim avataret / citte ati Kede sati,
   tathaiva viśramet / ayaṃ tu śamathavipaśyanāyuganaddhapravṛttimārgaḥ	taTA eva viSramet / ayam tu SamaTa vipaSyanA yuga nadDa pravRtti mArgaH
   savikalpanirvikalpapratibimbam ālambate /	sa vikalpa nirvikalpa pratibimbam Alambate /
   evaṃ yogī anena krameṇa ghaṭikām ardhapraharam ekapraharaṃ vā	evam yogI anena krameNa GawikAm arDa praharam eka praharam vA
   yāvatkālecchāparyantaṃ tattvaṃ bhāvayan tiṣṭhet / idaṃ	yAvat kAla icCA paryantam tattvam BAvayan tizWet / idam
   tvarthapravicayadhyānam āryalaṅkāvatāre (Bhk 215) nirdiṣṭam / tata icchayā	tu arTa pravicaya DyAnam Arya laFka avatAre (Bhj 215) nirdizwam / tatas icCayA
   samādherutthātuṃ paryaṅkam abhittvaivam anuvicintayet, amī dharmāḥ sarve	samADeH utTAtum paryaFkam aBittva evam anuvicintayet, amI DarmAH sarve
   paramārthataḥ niḥsvabhāvāḥ santo 'pi saṃvṛtau vyavasthitā eva / tathāsati	paramArTataH niHsvaBAvAH santaH api saMvRtO vyavasTitAH eva / taTA asati
   karmaphalasambandhādayaḥ kathaṃ vyavasthitāḥ syuḥ? bhagavatā coktam 	karma Pala sambanDa AdayaH kaTam vyavasTitAH syuH? BagavatA ca uktam 
   "bhāvā vidyanti saṃvṛtyā paramārthe na bhāvakāḥ /" ityuktam /	"BAvAH vidyanti saMvRtyA parama arTe na BAvakAH /" iti uktam /
   amī bālabuddhayo niḥsvabhāvavastuṣu bhāvādisamāropeṇa viparyastabuddhayo	amI bAla budDayaH niHsvaBAva vastuzu BAva Adi samAropeNa viparyasta budDayo
   bhavanti / cirakālaṃ saṃsāracakre paribhramanti, tato 'haṃ kariṣyāmi	Bavanti / cira kAlam saMsAra cakre pariBramanti, tatas aham karizyAmi
   anuttarapuṇyajñānasambhāraṃ paripūrya, tataḥ sarvajñapadaṃ prāpya tān	anuttara puNya jQAna samBAram paripUrya, tatas sarvajQa padam prApya tAn
   dharmatām avabodhayeyam / evaṃ vicintayet / atha śanaiḥ paryaṅkaṃ bhittvā	DarmatAm avaboDayeyam / evam vicintayet / aTa SanEs paryaFkam BittvA
   daśadigvyavasthitān sarvabuddhobodhisattvān praṇipatya tebhyaśca	daSa diS vyavasTitAn sarva budDaH boDisattvAn praNipatya teByaH ca
   pūjāstotropahāraṃ kṛtvāryabhadracaryādimahāpraṇidhānaṃ praṇidadhīta /	pUjA stotra upahAram kRtvA AryaBadra caryA Adi mahA praNiDAnam praNidaDIta /
   tataḥ śūnyatākaruṇāgarbhasakaladānādipuṇyasaṃbhāropārjane 'bhiyogaḥ	tatas SUnyatA karuNA garBa sakala dAna Adi puNya saMBAra upArjane aBiyogaH
   karaṇīyaḥ /	karaNIyaH /
   tathā ca sati taddhyānasarvākāravaropetaśunyatābhinirhāraḥ syāt /	taTA ca sati tad DyAna sarva AkAra vara upeta SunyatA aBinirhAraH syAt /
   āryaratnacūḍe yathoktam  "sa maitrīvarmasaṃnaddho mahākaruṇāsthāne sthitvā	Arya ratna cUxe yaTA uktam "sa mEtrI varma saMnadDaH mahA karuNA sTAne sTitvA
   sarvākāravaropetaśūnyatābhinirhāradhyānaṃ karoti / tatra	sarva AkAra vara upeta SUnyatA aBinirhAra DyAnam karoti / tatra
   sarvākāravaropetaśūnyatā katamā? yā	sarva AkAra vara upeta SUnyatA katamA? yA
   dānapagati śīlānapagati kṣāntyanapagati vīryānapagati dhyānānapagati prajñanāpagati upāyānapagatītyādivistaroktiriti	dAnapa gati  SIla anapagati  kzAnti anapagati vIrya anapagati DyAna anapagati  prajQanApagati  upAyAn apagati ityAdi vistara uktiH iti
   /" bodhisattvastu sarvasattvaparipākaṃ kurvīta /	/" boDisattvaH tu sarva sattva paripAkam kurvIta /
   kṣetrakāyabahuparivārādisaṃpattiprādurbhāvopāyadānādikuśalaṃ cāvaśyaṃ	kzetra kAya bahu parivAra Adi saMpatti prAdurBAva upAya dAna Adi kuSalam ca avaSyam
   seveta /	seveta /
   asati ca tathā buddhānām kṣetrādisaṃpattiryoktā sā kasya phalaṃ syāt /	asati ca taTA budDAnAm kzetra Adi saMpattiH yA uktA sA kasya Palam syAt /
   tasmāt sarvākāravaropetaṃ tatsarvajñajñānaṃ tu dānādyupāyena	tasmAt sarva AkAra vara upetam tat sarvajQa jQAnam tu dAna Adi upAyena
   paripūryamāṇatvād bhagavān tat sarvajñajñānam upāyena paryantagatam	paripUryamANa tvAt BagavAn tat sarvajQa jQAnam upAyena paryanta gatam
   ityavocat / tasmād bodhisattvena dānādyupāyo 'pi sevitavyo na tu śūnyatā	iti avocat / tasmAt boDisattvena dAna Adi upAyaH api sevitavyaH na tu SUnyatA
   eva / āryasarvadharmavaipulye (Bhk 216) "yo 'yaṃ maitreya!	eva / Arya sarva Darma vEpulye (Bhj 216) "yaH ayam mEtreya!
   ṣaṭpāramitāsamudāgamo bidhisattvānāṃ sambodhāya taṃ te mohapuruṣā evaṃ	zaz pAra mitA samudAgamaH biDisattvAnAm samboDAya tam te moha puruzAH evam
   vakṣyanti, prajñāpāramitāyām evaṃ bodhisattvena śikṣitavyam, kiṃ śeṣābhiḥ	vakzyanti, prajQApAramitAyAm evam boDisattvena Sikzitavyam, kim SezABiH
   pāramitābhiriti ucyante / te 'nyāḥ pāramitā dūṣayitavyā maṃsyante / tat	pAramitABiH iti ucyante / te anyAH pAramitAH dUzayitavyAH maMsyante / tat 
   kiṃ manyase ajita! duṣprajñaḥ sa kāśirājo 'bhūd yena kapotārthena śyenāya	kim manyase ajita! duzprajQaH sa kASi rAjaH aBUt yena kapota arTena SyenAya
   svamāṃsāni dattāni? maitreya āha, no hīdaṃ bhagavan / bhagavān āha  yāni	sva mAMsAni dattAni? mEtreyaH Aha, no hi idam Bagavan / BagavAn Aha yAni
   mayā maitreya! bodhisattvacaryāṃ caratā ṣaṭpāramitā pratisaṃyuktāni	mayA mEtreya! boDisattva caryAm caratA zaz pAramitA  pratisaMyuktAni
   kuśalamūlānyupacitāni, apakṛtaṃ nu taiḥ kuśalamūlaiḥ? maitreya āha no	kuSala mUlAni upacita ani, apakRtam nu tEH kuSala mUlEH? mEtreyaH Aha no
   hīdaṃ bhagavan / bhagavān āha  tvaṃ tāvad ajita! ṣaṣṭikalpāna	hi idam Bagavan / BagavAn Aha tvam tAvat ajita! zazwi kalpAna
   dānāpāramitāyāṃ samudāgataḥ, ṣaṣṭikalpān śīlapāramitāyaṃ ṣaṣṭikalpān	dAna apAramitAyAm samudAgataH, zazwi kalpAn SIla pAramitA ayam zazwi kalpAn
   kṣāntipāramitāyāṃ ṣaṣṭikalpān viryapāramitāyāṃ ṣaṣṭikalpān	kzAnti pAramitAyAm zazwi kalpAn viryapAramitAyAm zazwi kalpAn
   dhyānapāramitāyāṃ ṣaṣṭikalpān prajñāpāramitāyāṃ samudāgataḥ / tat te	DyAna pAramitAyAm zazwi kalpAn prajQApAramitAyAm samudAgataH / tat te
   mohapuruṣā evaṃ vakṣyanti / ekanayenaiva bodhiryaduta śūnyatānayeneti te	moha puruzAH evam vakzyanti / ekanayena eva boDiH yat uta SUnyatA anayena iti te
   caryāpariśuddhā bhavantītyādi / "	caryA pariSudDAH Bavanti ityAdi / "
   upāyarahite sati bodhisattvaḥ prajñayā eva tu śrāvakavat buddhakāryāṇi	upAya rahite sati boDisattvaH prajQayA eva tu SrAvaka vat budDa kAryANi
   kartuṃ na śaknoti / upāyasanāthaśca samartho bhavati / āryaratnakūṭe	kartum na Saknoti / upAya sanATaH ca samarTaH Bavati / Arya ratna kUwe
   yathoktam  "tadyathā kāśyapa! amātyasaṃgṛhītā rājānaḥ sarvakāryāṇi	yaTA uktam "tat yaTA kASyapa! amAtya saMgRhItAH rAjAnaH sarva kAryANi
   kurvanti, evameva upāyakauśalyasaṃgṛhītā bodhisattvasya prajñā	kurvanti, evam eva upAya kOSalya saMgRhItAH boDisattvasya prajQA
   sarvabuddhakāryāṇi karoti /" iti / bodhisattvānāṃ mārgadṛṣṭerapyanyā	sarva budDa kAryANi karoti /" iti / boDisattvAnAm mArga dRzweH api anyA
   tīrthikānāṃ śrāvakāṇāṃ ca mārgadṛṣṭirapyanyā / evaṃ tīrthikamārgadṛṣṭistu	tIrTikAnAm SrAvakANAm ca mArga dRzwiH api anyA / evam tIrTika mArga dRzwiH tu
   ātmādau viparyāsayuktatvāt sarveṇa sarvaḥ prajñārahito mārgaḥ / tasmāt te	Atma AdO viparyAsa yukta tvAt sarveNa sarvaH prajQA rahitaH mArgaH / tasmAt te
   muktiṃ na prāpnuvanti /	muktim na prApnuvanti /
   śrāvakāṇāṃ tu mahākaruṇārahitatvād upāyāyukatā / tasmāt te	SrAvakANAm tu mahA karuNA rahita tvAt upAya Ayuka tA / tasmAt te
   ekāntanirvāṇaparāyaṇāḥ bhavanti / bodhisattvamārgastu prajñopāyayukto	ekAnta nirvANa parAyaNAH Bavanti / boDisattva mArgaH tu prajQA upAya yuktaH 
   manyate / tasmāt te apratiṣṭhitanirvāṇaparāyaṇā bhavanti / bodhisattvānāṃ	manyate / tasmAt te apratizWita nirvANa parAyaNAH Bavanti / boDisattvAnAm
   mārgastu prajñopāyayukto manyate / tasmāt te apratisṭhitanirvāṇaṃ	mArgaH tu prajQA upAya yuktaH manyate / tasmAt te apratisWita nirvANam
   prāpnuvanti / prajñābalena tu saṃsāre na patati, upāyabalena ca nirvāṇe na	prApnuvanti / prajQA balena tu saMsAre na patati, upAya balena ca nirvANe na
   patati /	patati /
   tasmād āryagayāśīrṣe  "dvāvimau bodhisattvānāṃ saṃkṣiptau mārgau / katamau	tasmAt Arya gayASIrze "dvO= imO boDisattvAnAm saMkziptO mArgO / katamO
   dvau  yaduta prajñā copāyaśca /" ityākhyātam / āryaśrīparamādye 'pi uktam 	dvO yat uta prajQA ca upAyaH ca /" iti AKyAtam / Arya SrI parama Adye api uktam 
   (Bhk 217) "prajñāpāramitā tu 'mātā' asti, upāyakauśalyaṃ ca 'pitā' asti /	(Bhj 217) "prajQApAramitA tu amAtA a asti, upAya kOSalyam ca apitAa asti /
   "āryavimalakīrtinirdeśasūtre 'pi  "bodhisattvānāṃ kiṃ bandhanam? kā ca	"Arya vimala kIrti nirdeSa sUtre api "boDisattvAnAm kim banDanam? kA ca
   muktiḥ? anupāyena bhavagatiparigraho hi bodhisattvasya bandhanam / upāyena	muktiH? anupAyena Bava gati parigrahaH hi boDisattvasya banDanam / upAyena
   bhavagatigamanaṃ muktiḥ / prajñārahitabhāvagatiparigraho bodhisattvasya	Bava gati gamanam muktiH / prajQA rahita BAva gati parigrahaH boDisattvasya
   bandhanam / prajñayā bhavagatigamanaṃ tu muktiḥ / upāyena aparigṛhītā	banDanam / prajQayA Bava gati gamanam tu muktiH / upAyena aparigRhItA
   prajñā hi bandhanam / upāyena parigṛhitā prajñā muktiḥ /	prajQA hi banDanam / upAyena parigRhitA prajQA muktiH /
   prajñayāparigṛhītopāyo bandhanam / prajñayā gṛhītopāyaḥ muktiḥ iti"	prajQayA parigRhIta upAyaH banDanam / prajQayA gRhIta upAyaH muktiH iti"
   vistarena uktam /	vistarena uktam /
   bodhisattvasya prajñāmātrasevanaṃ tu śrāvakeṣṭanirvāṇapatitatvād	boDisattvasya prajQAmAtra sevanam tu SrAvaka izwa nirvANa patita tvAt 
   bandhanavad bhaviṣyati / apratiṣṭhitanirvāṇena muktirna bhaviṣyati /	banDana vat Bavizyati / apratizWita nirvANena muktiH na Bavizyati /
   tasmādupāyarahitā prajñā tu bodhisattvānāṃ bandhanamityucyate / tasmād	tasmAt upAya rahitA prajQA tu boDisattvAnAm banDanam iti ucyate / tasmAt 
   vāyupīḍitena agnisevanavad bodhisattvena viparyāsavāyumātraprahāṇatvāt	vAyu pIxitena agni sevana vat boDisattvena viparyAsa vAyu mAtra prahANa tvAt
   sopyāprajñayā śūnyatā sevitavyā, na tu śrāvakavat sākṣātkaraṇīyā / yathā	sopya aprajQayA SUnyatA sevitavyA, na tu SrAvaka vat sAkzAt karaNIyA / yaTA
   āryadaśadharmasūtre coktam  "kulaputra! tadyathā yathā kaścinmanuṣyaḥ	Arya daSa DarmasUtre ca uktam "kula putra! tat yaTA yaTA kaScid manuzyaH
   agniparicaryāṃ karoti, sa tadagnisatkāraṃ karoti, guruṃ karoti, kintu so	agni paricaryAm karoti, sa tad agni satkAram karoti, gurum karoti, kintu saH 
   'yamiti mayā so 'gniḥ satkṛtya, gurūkṛtya mānitaśca iti kṛte 'pi eṣa	ayam iti mayA saH agniH satkRtya, gurUkRtya mAnitaH ca iti kRte api eza
   dvābhyāṃ hastābhyāṃ parigṛhītavya iti na cintayati / tat kasmāditi cet	dvAByAm hastAByAm parigRhItavyaH iti na cintayati / tat kasmAt iti ced 
   tannidhānne mayi kāyikaduḥkhaṃ cittadaurmanasyaṃ vā sambhāvyate iti	tat niDa anne mayi kAyika duHKam citta dOrmanasyam vA samBAvyate iti
   cintanāt / tathaiva ca bodhisattve 'pi nirvāṇāśayo 'pyasti,	cintanAt / taTA eva ca boDisattve api nirvANa ASayaH api asti,
   nirvāṇa pratyakṣaṃ na karoti / tat kasya hetoriti cet? tannidhānād ahaṃ	nirvANa  pratyakzam na karoti / tat kasya hetoH iti cet? tad niDAnAt aham
   bodhiṃ nirvarteyam iti cintanād" iti /	boDim nirvarteyam iti cintanAd" iti /
   kevalam upāyamātrasevane 'pi bodhisattvaḥ pṛthagjanabhūmeranuttīrṇatvād	kevalam upAya mAtra sevane api boDisattvaH pRTagjana BUmeH anuttIrNa tvAt 
   atyavabaddha eva bhaviṣyati / tasmāt prajñāsahitamupāyaṃ seveta / evaṃ	atyavabadDaH eva Bavizyati / tasmAt prajQA sahitam upAyam seveta / evam
   mantraparigṛhītaviṣavad bodhisattvakleśe 'pi prajñāparigrahabalena bhāvite	mantra parigRhIta viza vat boDisattva kleSe api prajQA parigraha balena BAvite
   sati amṛtikatā / punaḥ svabhāvena abhyudayaphalaṃ dānādi yadasti tatra	sati amRtikatA / punar svaBAvena aByudaya Palam dAna Adi yat asti tatra
   kimuta (Bhk 218) vaktavyam / āryaratnakuṭe coktaṃ yathā  "tadyathāpi nāma	kim uta (Bhj 218) vaktavyam / Arya ratna kuwe ca uktam yaTA "tat yaTA api nAma
   kāśyapa! mantrauṣadhaparigṛhītaṃ viṣaṃ na vinipātayati evameva	kASyapa! mantra OzaDa parigRhItam vizam na vinipAtayati evam eva
   bodhisattvānām kleśaḥ prajñāparigṛhitatvād api na śaknoti vinipātayitum	boDisattvAnAm kleSaH prajQA parigRhita tvAt api na Saknoti vinipAtayitum
   iti / "	iti / "
   tasmād yena kāraṇena bodhisattva upāyabalena saṃsāramanutsṛjati tasmād	tasmAt yena kAraNena boDisattvaH upAya balena saMsAram anutsRjati tasmAt 
   nirvāṇe na patati / yasmāt prajñābalena sakalālambanaṃ prahīyate tasmāt	nirvANe na patati / yasmAt prajQA balena sakala Alambanam prahIyate tasmAt 
   saṃsāre na patati, tasmād apratiṣṭhitanirvāṇabuddhatvaṃ prāpyate / tasmād	saMsAre na patati, tasmAt apratizWita nirvANa budDa tvam prApyate / tasmAt 
   āryagaganagañje 'pi uktam  "tatprajñānena hi sarvakleśāḥ parivarjyante /	Arya gagana gaQje api uktam "tad prajQAnena hi sarva kleSAH parivarjyante /
   upāyajñānena hi sarvasattvā na parityajyante /" iti / āryasaṃdhinirmocane	upAya jQAnena hi sarva sattvAH na parityajyante /" iti / Arya saMDi nirmocane
   'pi  "ekāntasattvārthavimukhasya ekāntasaṃskārābhisaṃskāravimukhasya	api "ekAnta sattva arTa vimuKasya ekAnta saMskAra aBisaMskAra vimuKasya
   nānuttarā samyaksaṃbodhiruktā mayeti /" tasmād buddhatvaprātukāmena	na anuttarA samyaksaMboDiH uktA mayA iti /" tasmAt budDa tva prAtu kAmena
   prajñopāyau ubhau sevitavyau /	prajQA upAyO uBO sevitavyO /
   tatra lokottaraprajñābhāvanāvasare, atisamāhitāvasare vā	tatra lokottara prajQA BAvanA avasare, ati samAhita avasare vA
   dānādyupāyasevanāsambhāvanāyāmapi tatra prayogatatpṛṣṭhalabdhaprajñayoḥ yo	dAna Adi upAya sevanA samBAvanAyAm api tatra prayoga tad pRzWa labDa prajQayoH yaH 
   'pi bhavati, tadā upāyasevanaṃ bhavatyeva / tasmāt prajñāpāyau yugapat	api Bavati, tadA upAya sevanam Bavati eva / tasmAt prajQA pAyO yugapad 
   pravartete / punaraparaṃ bodhisattvānām ayaṃ hi prajñopāyayuganaddhavāhi	pravartete / punar aparam boDisattvAnAm ayam hi prajQA upAya yuga nadDa vAhi
   mārgaḥ sarvasattvāvalokitamahākaruṇayā parigṛhītatvāt lokottaramārgaḥ	mArgaH sarva sattva avalokita mahA karuNayA parigRhIta tvAt loka uttara mArgaH
   sevyate, utthānopāyakāle 'pi māyākāravad aviparyastameva dānādi sevyate /	sevyate, utTAna upAya kAle api mAyA kAra vat aviparyastam eva dAna Adi sevyate /
   āryākṣayamatinirdeśe 'pi yathoktam  "tatra ko hi bodhisattvopāyaḥ? kaśca	Arya akzayam ati nirdeSe api yaTA uktam "tatra kaH hi boDisattva upAyaH? kaH ca
   prajñābhinirhāra iti? yataḥ samādhāne sattvāvalokitamahākaruṇāvalambane	prajQA aBinirhAraH iti? yatas samADAne sattva avalokita mahA karuNa avalambane
   cittopasthāpanā sa eva upāyaḥ / yataḥ śāntipraśāntisamāpattiḥ sā tu	citta upasTApanA saH eva upAyaH / yatas SAnti praSAnti samApattiH sA tu
   tatprajñā"iti vistaraḥ / māradamanaparicchede 'pi uktam  "punaraparaṃ	tad prajQA" iti vistaraH / mAradam anaparicCede api uktam "punar aparam
   bodhisattvānāṃ samutkarṣikaprayogastu prajñājñānena abhiyogaṃ karoti /	boDisattvAnAm samutkarzika prayogaH tu prajQA jQAnena aBiyogam karoti /
   upayajñānena sarvakuśaladharmasaṃgraho (Bhk 219) 'pi prayujyate /	upayajQAnena sarva kuSala Darma saMgrahaH (Bhj 219) api prayujyate /
   prajñājñānena nairātmya asattva ajīva apoṣa apudgaleṣu ca prayujyate /	prajQA jQAnena nErAtmya asattva  ajIva  apoza a pudgalezu ca prayujyate /
   upāyajñānena yaḥ sarvasattvaparipāko 'pi prayojyaḥ" iti vistaraḥ /	upAya jQAnena yaH sarva sattva paripAkaH api prayojyaH" iti vistaraH /
   āryadharmasaṃgītisūtre 'pi 	Arya Darma saMgIti sUtre api 
   māyākāro yathā kaścinnirmitaṃ mokṣamudyataḥ /	mAyA kAraH yaTA kaScid nirmitam mokzam udyataH /
   na cāsya nirmite saṅgo jñātapūrvo yato 'sya saḥ //	na ca asya nirmite saFgaH jQAta pUrvaH yatas asya saH //
   tribhavaṃ nirmitaprakhyaṃ jñātvā sambodhipāragaḥ /	tri Bavam nirmita praKyam jQAtvA samboDi pAragaH /
   saṃnahyate jagaddhetorjñātapūrva jagat tathā // iti /	saMnahyate jagat hetoH jQAta pUrva jagat taTA // iti /
   bodhisattvanām prajñopāyavidhireva sādhyamadhikṛtya tatprayogasaṃsāre	boDisattvanAm prajQA upAya viDiH eva sADyam aDikRtya tad prayoga saMsAre
   sthito 'pi asti, āśayanirvāṇe sthito 'pi syād ityuktam /	sTitaH api asti, ASaya nirvANe sTitaH api syAt iti uktam /
   tādṛśyāṃ śūnyatāmahākaruṇāgarbhānuttarasamyaksaṃbuddhau	tAdRSyAm SUnyatA mahA karuNA garBa anuttara samyaksaMbudDO
   pariṇatadānādyupāyabhāvanāṃ kṛtvā, paramārthabodhicittotpādārtha pūrvavat	pariNata dAna Adi upAya BAvanAm kRtvA, parama arTa boDi citta utpAda arTa pUrvavat 
   nityaṃ kāle kāle śamathavipaśyanāprayogo yathāśakti bhāvanīyaḥ /	nityam kAle kAle SamaTa vipaSyanA prayogaH yaTASakti BAvanIyaH /
   āryagocarapariśuddhisūtre  sarvāvasthāsu	Arya gocara pariSudDi sUtre sarva avasTAsu
   sattvārthakāribodhisattvānāmanuśaṃsā yathā nirdiṣṭā tathā saṃnihitasmṛtyā	sattva arTa kAri boDisattvAnAm anuSaMsA yaTA nirdizwA taTA saMnihita smRtyA
   sarvadā upāayakauśalaṃ bhāvitavyam /	sarvadA upAaya kOSalam BAvitavyam /
   tādṛkkaruṇopāyabodhicittabhāvakaḥ sa iha janmani avaśyaṃ viśiṣṭo bhavati /	tAdRkkaruNa upAya boDi citta BAvakaH saH iha janmani avaSyam viSizwaH Bavati /
   tasmāt svapne nityaṃ buddhabodhisattvadarśanaṃ bhaviṣyati /	tasmAt svapne nityam budDa boDisattva darSanam Bavizyati /
   susvapnāntarāṇyapi dṛśyante / devā api anumodanād rakṣāṃ kariṣyanti /	su svapna antarANi api dRSyante / devAH api anumodanAt rakzAm karizyanti /
   pratikṣaṇamapi vipulapuṇyajñānasambhārasaṃcayo bhaviṣyati /	pratikzaNam api vipula puNya jQAna samBAra saMcayaH Bavizyati /
   kleśāvaraṇadauṣṭhulyamapi kṣīṇaṃ bhaviṣyati / sarvadaiva	kleSa AvaraNa dOzWulyam api kzINam Bavizyati / sarva dEva
   sukhasaumanasyamadhikaṃ bhaviṣyati / bahujanapriyo bhaviṣyati / śarīre 'pi	suKa sOmanasyam aDikam Bavizyati / bahu jana priyaH Bavizyati / SarIre api
   rogagrasto na bhaviṣyati / paramacittakarmaṇyatāpi prāptā bhaviṣyati /	roga grastaH na Bavizyati / parama citta karmaNyatA api prAptA Bavizyati /
