   // tarkatāṇḍavam //	// tarka tANxavam //
   tatkṛtatvasya ca kalpanīyatve kalpanāgauravaṃ syāt //	tad kRta tvasya ca kalpanIya tve kalpanA gOravam syAt //
   na ca sārvajñye 1 naivāvipralambhādisiddhiḥ / sarvajñeśvarāvatāreṣvapi	na ca sArvajQye 1 na eva avipralamBa Adi sidDiH / sarvajQa ISvara avatArezu api
   vipralambhādidarśanāt /	vipralamBa Adi darSanAt /
   evaṃ svapakṣe lāghavopapādanena poruṣeyaśabdāpramāṇakatvādirūpaṃ	evam sva pakze lAGava upapAdanena poruzeya Sabda apramANaka tva Adi rUpam
   apauruṣeyetarāvṛttitvarūpaṃ viśeṣaṇaṃ ca samarthya parapakṣe	apOruzeya itara AvRtti tva rUpam viSezaNam ca samarTya para pakze
   vakṣyamāṇānuvyākhyānoktagauravopapādanena ca samarthayate    kiñceti //	vakzyamANa anuvyAKyAna ukta gOrava upapAdanena ca samarTayate   kiQca iti //
   yadvā na kiñcitkalpyamityayuktaṃ apauruṣeyatvasya kalpyatvādityatostu	yat vA na kiQcid kalpyam iti ayuktam apOruzeya tvasya kalpya tvAt iti atoH tu
   tāvadetāvat tathāpi na tavena bahviti bhāvenāha    kiñceti //	tAvat etAvat taTA api na tavena bahu iti BAvena Aha   kiQca iti //
   nanu sārvajñyādikaṃ nāprāmāṇikaṃ karyatvādyanumānena siddheḥ /	nanu sArvajQi Adikam na aprAmANikam karya tva Adi anumAnena sidDeH /
   sārvajñyenaiva ca	sArvajQyena eva ca
   sarvadoṣahīnatā sidhyati / tathāhi / dharmādisākṣātkāravato na rāgādidoṣāḥ	sarva doza hIna tA siDyati / taTA hi / Darma Adi sAkzAt kAravataH na rAga Adi dozAH
   sambhavanti /"avidyākṣetratvamuttareṣām"iti patañjalyuktyā	samBavanti /"avidyA kzetra tvam uttarezAm "iti pataQjalI uktyA
   teṣāmajñānamūlatvāt / sarvajñe 'jñānāyogāt / rāgādirahitasya ca	tezAm ajQAna mUla tvAt / sarvajQe ajQAna ayogAt / rAga Adi rahitasya ca
   tatkāryavipralambhāyogāt / evaṃbhātamahānubhāvasya	tad kArya vipralamBA yogAt / evaMBAta mahA anuBAvasya
   karaṇāpāṭavāderanāśaṅkyatvāt / jñānī sannajñalokāya kuto nopadiśet /	karaNa apAwa vAdeH anASaFkya tvAt / jQAnI sannajQa lokAya kutas na upadiSet /
   prasiddhavede tadupadeśakalpanasya laghutvāccetyāśaṅkya pratyāha    na	prasidDa vede tad upadeSa kalpanasya laGu tvAt ca iti ASaFkya pratyAha   na
   cetyādinā nirasiṣyata ityantena // ādipadena apramādādikaṃ upadeṣṭṛtvaṃ	ca ityAdinA nirasizyate iti antena // Adipadena apramAda Adikam upadezwR tvam
   vede tatkṛtatvaṃ ca gṛhyate    śarīrepīti //	vede tad kRta tvam ca gRhyate   SarIrepi iti //
   1.jñyādi ca. 2'ādika' iti nāsti  a.	1.jQyAdi  ca. 2 aAdika a iti na asti  a.
   vedāpauruṣetve nuni) vedāpauruṣeyatvavādaḥ pu   241.	veda apOruzetve nuni) veda apOruzeya tva vAdaH pu  241.
   sarvajñasya śarīrepi śarīratvakṛtakaraṇāpāṭavāderavarjanīyatvāt /	sarvajQasya SarIrepi SarIra tva kRta karaNa apAwavAdera varjanIya tvAt /
   jñānināmapyupadeśavaimukhyadarśanāt / vede tatkṛtatvaprasiddhyabhāvena	jQAninAm api upadeSa vEmuKya darSanAt / vede tad kRta tva prasidDi aBAvena
   tasyāpi kalpyatvāt //	tasya api kalpya tvAt //
   kāryatvādyanumāneneśvara 1 sya sārvajñyasiddhistu nirasiṣyate //	kArya tva Adi anumAnena ISvaraH 1 sya sArvajQya sidDiH tu nirasizyate //
   na ca vedādeva tasya sārvajñyādisiddhiḥ /	na ca vedAt eva tasya sArvajQi Adi sidDiH /
   vedaprāmāṇyasyeśvarasārvajñyādisiddhyadhīnatvenānyonyāśrayāt / anyathā	veda prAmANyasya ISvara sArvajQi Adi sidDi aDIna tvena anyonya ASrayAt / anyaTA
   buddhādyāgamāttasyāpi sārvajñyādikaṃ siddhyet / taduktaṃ bhagavatpādaiḥ //	budDa Adi AgamAt tasya api sArvajQi Adikam sidDyet / tat uktam Bagavat pAdEH //
   "avipralambhastvajjñānaṃ tatkṛtatvādayopi ca / kalpyā gauravadoṣeṇa	"a vipralamBaH tvad jQAnam tad kRta tvAt ayopi ca / kalpyAH gOrava dozeNa
   puṃvākyaṃ jñāpakaṃ na tat // iti //	puMvAkyam jQApakam na tat // iti //
   tasmānna viśeṣaṇā 2 siddhiḥ //	tasmAt na viSezaNA 2 sidDiH //
   vede tatkṛtatvaṃ ca gṛhyate    śarīrepīti // tvanmate sarvajñasyeśvarasya	vede tad kRta tvam ca gRhyate   SarIrepi iti // tvad mate sarvajQasya ISvarasya
   nāsti śarīraṃ upadeśaupayikatayā śarīre 'ṅgīkṛtepītyarthaḥ /jñānināmapīti	na asti SarIram upadeSa OpayikatayA SarIre aFgIkRtA ipi iti arTaH /jQAninAm api iti
   // siddhānāmityarthaḥ / 3 vyaktametatsarvaṃ tatvanirṇayaṭīkāyām   	// sidDAnAm iti arTaH / 3 vyaktam etat sarvam tatva nirNaya wIkAyAm   
   anyonyeti // siddhe sārvajñye tatpraṇītatvena vedaprāmāṇyasiddhiḥ	anyonya iti // sidDe sArvajQye tad praNIta tvena veda prAmANya sidDiH
   tatsiddho ca tena sārvajñyasiddharityarthaḥ//	tad sidDaH ca tena sArvajQya sidDariti arTaH//
   taduktamiti // jijñāsādhikaraṇānuvyākhyāna ityarthaḥ 3 / tajjñānaṃ	tat uktam iti // jijQAsA aDikaraNa anuvyAKyAnaH iti arTaH 3 / tat jQAnam
   dharmādipramitiḥ / tatkṛtatvaṃ tena puruṣeṇa kṛtatvam /	Darma Adi pramitiH / tad kRta tvam tena puruzeNa kRta tvam /
   ādipadātkaraṇapāṭavādigrahaḥ / jñāpakaṃ	Adi padAt karaNa pAwava Adi grahaH / jQApakam
   niścāyakaṃ dharmāderityarthaḥ / co yata ityarthe / 4 tat tasmādityarthaḥ /	niScAyakam Darma AdeH iti arTaH / caH yatas iti arTe / 4 tat tasmAt iti arTaH /
   1.rasā mu ca. 2.ṇasi kuṃ. 3.ayaṃ granthaḥ nāsti  a. 4.idaṃ nāsti a.	1.rasA mu ca. 2.Nasi kuM. 3.ayam granTaH na asti  a. 4.idam nAsti a.
   nyāyadīpayutatarkatāṇḍavam (pra.paricchedaḥ pu   242.	nyAya dIpa yuta tarka tANxavam (pra.paricCedaH pu  242.
   yadvā īśvarajñānaṃ na prameti mate vedaḥ kālabhedenāniyatānupūrvīko na	yat vA ISvara jQAnam na pramA iti mate vedaH kAla Bedena aniyata AnupUrvIkaH na
   doṣāmūlakatve sati pramāmūlakatvarahitatvāt gaganavat / prameti mate	dozAmUlaka tve sati pramA mUlaka tva rahita tvAt gagana vat / pramA iti mate
   doṣāmūlakatve sati pramākaraṇāmūlakatvaṃ hetuḥ //	dozAmUlaka tve sati pramAkaraNA mUlaka tvam hetuH //
   niyataikaprakāratvamapauruṣeyatvamiti sudhoktimanurudhyāha    yadveti //	niyata eka prakAra tvam apOruzeya tvam iti suDA uktim anuruDya Aha   yat vA iti //
   hetorasiddhinirāsāyoktam    na prameti // mata iti // guṇajanyasyaiva	hetoH asidDi nirAsAya uktam   na pramA iti // mataH iti // guNa janyasya eva
   pramātveneśvarajñānasya tadajanyatvānna prameti mata ityarthaḥ /	pramAtvena ISvara jQAnasya tad ajanya tvAt na pramA iti mataH iti arTaH /
   siddhasādhanatānirāsāya sādhye kālabhedenetyuktiḥ /	sidDa sADana tA nirAsAya sADye kAla Bedena iti uktiH /
   pūrvottarakalpabhedenetyarthaḥ / niyatānupūrvīka	pUrva uttara kalpa Bedena iti arTaH / niyata anupUrvIka
   ityuktāvekaprakārānupūrvīkatvasya sādhyatvaprāptau dṛṣṭānte	iti uktO= eka prakAra anupUrvIka tvasya sADya tva prAptO dRzwAnte
   sādhyavaikalyena parasyāprasiddheḥ paroktasādhyanirāsalābhāya ca nañdvayam	sADya vEkalyena parasya aprasidDeH para ukta sADya nirAsa lABAya ca nan dvayam
   "pratyakṣādipramāṇaṃ vā vipralambhādikaṃ vāsya mūlaṃ nopalabhyata iti	"pratyakza Adi pramANam vA vipralamBa Adikam vA asya mUlam na upalaByate iti
   prasiddhiviṣayatvaṃ vedatvam"iti tatvanirṇayaṭīkāyāṃ pramāṇapadaṃ	prasidDi vizaya tvam veda tvam "iti tatva nirNaya wIkAyAm pramANa padam
   pramityarthakamupetya tadarthameva niṣkṛṣya hetumāha    doṣeti //	pramiti arTakam upetya tad arTam eva nizkRzya hetum Aha   dozA iti //
   vipralambhādidoṣetyarthaḥ / bhrāntimūlakavākye pramitimūlakapuṃvākye ca	vipralamBa Adi doza iti arTaH / BrAnti mUlaka vAkye pramiti mUlaka puMvAkye ca
   vyabhicāravāraṇāya krameṇa viśeṣaṇaviśeṣyayoruktiḥ    prametīti //	vyaBicAra vAraNAya krameNa viSezaNa viSezyayoH uktiH   pramA iti iti //
   guṇājanyatvepi doṣājanyajñānatvāttadvati tatprakārakatvācca / jñānatvasya	guNa ajanya tvepi doza ajanya jQAna tvAt tadvati tad prakAraka tvAt ca / jQAna tvasya
   pramātvabhramatvānyataravyāpyatayā bhramatvahīnasya pramātvābhāve	pramAtva Bramatva anyatara vyApya tayA Bramatva hInasya pramAtvA aBAve
   jñānatvabhāvaprasaṅgācca prameti mata ityarthaḥ //	jQAna tva BAva prasaFgAt ca pramA iti mataH iti arTaH //
   idānīṃ pramāṇapadaṃ pramitikaraṇārthamupetyāha   pramākaraṇeti // paramate	idAnIm pramANa padam pramiti karaNa arTam upetya aha  pramAkaraNa iti // para mate
   vedasyeśvarajñānamūlakatvepi tasyājanyatayā	vedasya ISvara jQAna mUlaka tvepi tasya ajanya tayA
   karaṇābhāvatsvayamakaraṇatvācca nāsiddhiriti bhāvaḥ //	karaNa aBAvat su ayamakaraNa tvAt ca na asidDiH iti BAvaH //
   vedāpautve nuni) vedāpauruṣeyatvavādaḥ pu   243.	veda apOtve nuni) veda apOruzeya tva vAdaH pu  243.
   yadyapyānupūrvyagarbhitasvarūpe gagane śaśvadekaprakārānupūrvikatva 1	yadi api AnupUrvya garBita svarUpe gagane SaSvat eka prakAra AnupUrvika tva 1
   mapauruṣeyatvaṃ nāsti / tathāpyaniyatānupūrvīrāhitya 2 rūpaṃ tadastyeva //	mapOruzeya tvam na asti / taTA api aniyata AnupUrvIra Ahitya 2 rUpam tat asti eva //
   yadyapīdamanityādghaṭāderna vyāvṛttam / tathāpi	yadi api idam anityAt Gawa AdeH na vyAvRttam / taTA api
   pauruṣevākyāvavdyāvṛttatvāt yadbuddhipūrvakābu 3	pOruzeva AkyO= avdyA vRtta tvAt yat budDi pUrvakAbu 3
   ddhipūrvakavākyasādhāraṇaṃ pauruṣeyatvaṃ tadabhāvarūpatvācca na	dDi pUrvaka vAkya sADAraNam pOruzeya tvam tad aBAva rUpa tvAt ca na
   tavdyitirekasādhaner'thāntaram //	tavdyitiH eka sADaner aTa antaram //
   yadyapyetanmatepi pūrvoktadiśā	yadi api etat mata Ipi pUrva ukta diSA
   bhramasādhāraṇopādānādigocarajñānatvenaiveśvarajñānasya sarvatra hetutayā	Brama sADAraNa upAdAna Adi gocara jQAna tvena eva ISvara jQAnasya sarvatra hetu tayA
   4 pramātvenāhetutvātprācīnahetūktāvapi nāsiddhiḥ / tathāpyabhyupetyavādena	4 pramAtvena ahetu tvAt prAcIna hetu uktO= api na asidDiH / taTA api aByupetya vAdena
   vā pramātvena pramāmūlakatvavivikṣāyāḥ prāganuktervā hetvantaroktiḥ //	vA pramAtvena pramA mUlaka tva vivikzAyAH prAc anukteH vA hetu antaroktiH //
   paryavasitasādhye sādhyavaikalyāmāśaṅkya nirāha    yadyapīti //	paryavasita sADye sADya vEkalyAm ASaFkya nirAha   yadi api iti //
   nanūktarūpahetudvayasya ghaṭādāvapi satastatrānityatvene 5 va	nanu ukta rUpa hetu dvayasya Gawa AdO= api sataH tatra anitya tvene 5 va
   pakṣepyanityatvenaiva 6 paryavasānasambhavānna	pakzepya nitya tvena eva 6 paryavasAna samBavAn na
   śaśvadekapramakārānupūrvīkatvarūpasādhyasiddhiḥ syāt / viśeṣyābhāvamātreṇa	SaSvat eka pramakAra anupUrvIka tva rUpa sADya sidDiH syAt / viSezya aBAva mAtreNa
   viśiṣṭābhāvopapatteriti bhāvenāśaṅkya nirāha    yadyapīti // pauruṣeyeti	viSizwa aBAva upapatteH iti BAvena ASaFkya nirAha   yadi api iti // pOruzeya iti
   // tathāca	// taTA ca
   puṃvākyavyāvṛttatvasyānupūrvīgatānaiyatyābhāvanimittatvasyaiva vācyatvāt /	puMvAkya vyAvRtta tvasya AnupUrvI gatA nEyatya aBAva nimitta tvasya eva vAcya tvAt /
   prakṛtepi pakṣe hetusatvasyānupūrvīyukte tadabhāvena paryavasāne bādhāt /	prakRtepi pakze hetu satvasya AnupUrvI yukte tad aBAvena paryavasAne bADAt /
   tadgatānaiyatyābhāvenaiva paryavasānamiti bhāvaḥ    paroktamiti //	tad gata AnEyatya aBAvena eva paryavasAnam iti BAvaH   paroktam iti //
   sajātīyoccāraṇānapekṣoccaritajātīyatvaṃ pauruṣeyatvamiti	sajAtIya uccAraNa anapekza uccarita jAtIya tvam pOruzeya tvam iti
   maṇyuktamitityarthaḥ    buddhīti // caitrādivākyaṃ buddhupūrvakaṃ	maNI uktam ititi arTaH   budDi iti // cEtra Adi vAkyam budDu pUrvakam
   śukabālādivākyaṃ cābuddhipūrvakam / tadubhayasādharaṇaṃ	Suka bAla Adi vAkyam ca abudDi pUrvakam / tad uBaya sADaraNam
   yanniyatānupūrvīkatvābhāvarūpaṃ tatparoktamityarthaḥ //	yat niyata anupUrvIka tva aBAva rUpam tat para uktam iti arTaH //
   1.rūpa ca cha ka kha. 2.lakṣaṇaṃ  mu ca. 3.abuddhipūrvaketi nāsti mu ca.	1.rUpa  ca  Ca ka Ka. 2. lakzaNam  mu ca. 3.abudDi pUrvakA iti na asti mu ca.
   4.tatpra mu. 5.nai kuṃ a. 6.pakṣepyanityatvenaina' iti nāsti   kuṃ.	4. tad pra mu. 5.nE kuM a. 6.pakzepya nitya tvena ena a iti na asti  kuM.
   nyāyadīpayutatarkatāṇḍavam ( pra.paricchedaḥ pu   244.	nyAya dIpa yuta tarka tANxavam ( pra.paricCedaH pu  244.
   yadvā	yat vA
   svapratipādyagocarajñānatvāvacchinnakāraṇatāpratiyogikakāryatānāśraya iti	sva pratipAdya gocara jQAna tva avacCinna kAraNa tA pratiyogika kArya tAn ASrayaH iti
   sādhyam / tatra bhramamūlakatve sati pramākāraṇāmūlaktavaṃ hetuḥ /	sADyam / tatra Brama mUlaka tve sati pramA kAraNA mUlaktavam hetuH /
   apauruṣeyatvapakṣepi vedasya padavalī 1	apOruzeya tva pakzepi vedasya padavalI 1
   gocarajñānatvāvacchinnakāraṇatāpratiyogikakāryatāśrayatvāttadabhāvasādhane	gocara jQAna tva avacCinna kAraNa tA pratiyogika kArya tA ASraya tvAt tad aBAva sADane
   bādhaḥ / tannivṛttityarthaṃ svapratipādyetyuktam / svapratipādyajñānajanya	bADaH / tad nivRttiti arTam sva pratipAdya iti uktam / sva pratipAdya jQAna janya
   ityevoktaṃ padāvalīdocarameveśvaraniṣṭhaṃ jñānaṃ vedapratipādyagocaramapi	iti eva uktam pada AvalI docaram eva ISvara nizWam jQAnam veda pratipAdya gocaram api
   bhavatīti punarapi bādhaḥ / tannivṛtyarthaṃ jñānatvāvacchinnetyādyuktam //	Bavati iti punar api bADaH / tad nivRti arTam jQAna tva avacCinnA ityAdi uktam //
   vākyārthagocarajñānajanyatvaṃ pauruṣeyatvam iti mate	vAkya arTa gocara jQAna janya tvam pOruzeya tvam iti mate
   tadabhāvasādhakamanumānamāha    yadvā sveti // īśvarajñānaṃ prameti mata	tad aBAva sADakam anumAnam Aha   yat vA sva iti // ISvara jQAnam pramA iti mata
   iti jñeyam / veda ityanukarṣaḥ / svena vedena pratipādyo yortho dharmādiḥ	iti jQeyam / vedaH iti anukarzaH / svena vedena pratipAdyaH yorTaH Darma AdiH
   tadgocaraṃ yajjñānaṃ tatvāvacchinnakāraṇatānirūpitā yā kāryatā tadanāśraya	tad gocaram yat jQAnam tatvA avacCinna kAraNa tA ni rUpitA yA kArya tA tad anASraya
   ityarthaḥ / gaganameva dṛṣṭānta iti bhāvaḥ //	iti arTaH / gaganam eva dRzwAntaH iti BAvaH //
   sādhyagataviśeṣaṇayoḥ kṛtyaṃ vyanakti    aporuṣeyatveti // vedasyeti //	sADya gata viSezaNayoH kRtyam vyanakti   aporuzeya tva iti // vedasya iti //
   kramaviśeṣaviśiṣṭavarṇānāṃ vedatvātkramasya ca kṛtakatvāt	krama viSeza viSizwa varNAnAm veda tvAt kramasya ca kRtaka tvAt 
   kāryatāśrayatvastīti bhāvaḥ    ityuktamiti // pratipādyetyuktāvapi	kAryatA ASrayatu asti iti BAvaH   iti uktam iti // pratipAdya iti uktO= api
   padavalītyādiśabdapratipādyatvaṃ padavalya apyastītyuktadoṣanirīsāyaiva	padavalI ityAdi Sabda pratipAdya tvam padavalya api asti iti ukta doza nirIsAya eva
   svetyapyuktiriti bhāvaḥ //	sva iti api uktiH iti BAvaH //
   nanvatrāpyuktasādhyavato gaganaghaṭādito 'vyāvṛttoyaṃ hetusta 2	nanu atra api ukta sADyavataH gagana Gawa AditaH avyAvRt toyam hetuH te 2
   traivoktarūpajñānājanyatvenaivopapannaḥ san	trEvokta rUpa jQAna ajanya tvena eva upapannaH san
   śaśvadekaprakārānupūrvīkatvarūpavivakṣitāpauruṣeyatvaṃ      	SaSvat eka prakAra anupUrvIka tva rUpa vivakzita apOruzeya tvam      
   1.gocareti nāsti  cha. 2.trayo   a.	1.gocara iti na asti  Ca. 2.trayaH  a.
   vedāpautve nuni) vedāpauruṣeyatvavādaḥ pu   245.	veda apOtve nuni) veda apOruzeya tva vAdaH pu  245.
   idamapi sādhyaṃ paroktasya pramāpramā 1 mūlakavākyasādhāraṇasya	idam api sADyam para uktasya pramA pramAH 1 mUlaka vAkya sADAraNasya
   pauruṣeyatvasyābhāvarūpam //	pOruzeya tvasya aBAva rUpam //
   na ca śukabālādivākye pararītyā vyabhicāraḥ / tasyāpi pakṣatulyatvāt //	na ca Suka bAla Adi vAkye para rItyA vyaBicAraH / tasya api pakza tulya tvAt //
   yadvā	yat vA
   svapratipādyagocarayathārthajñānatvāvacchinnakāraṇatāpratiyogikakāryatānāśraya	sva pratipAdya gocara yaTa arTa jQAna tva avacCinna kAraNa tA pratiyogika kArya tAn ASraya
   iti sādhyam / tatra ca pramākaraṇāmūlakatva 2 mātraṃ hetuḥ //	iti sADyam / tatra ca pramAkaraNA mUlaka tva 2 mAtram hetuH //
   3 sādhayatītyarthāntaramityata āha    idamapīti // paroktasyeti //	3 sADayati iti arTa antaram iti atas Aha   idam api iti // paroktasya iti //
   cirantanoktasyetyarthaḥ    pauruṣeyatvasyeti // tathāca	cirantana uktasya iti arTaH   pOruzeya tvasya iti // taTA ca
   pauruṣeyavākyāduktarūpasādhyahīnāvdyāvṛttoyaṃ	pOruzeya vAkyAt ukta rUpa sADya hIna avdyAvRttoyam
   hetustādṛśajñānājanyatvarūpasādhyamādāya paryavasyannapi	hetuH tAdRSa jQAna ajanya tva rUpa sADyam AdAya paryavasyan= api
   parābhimatapauruṣeyatvābhāvarūpatvāttasya nārthāntaram /	para aBimata pOruzeya tva aBAva rUpa tvAt tasya na arTa antaram /
   śaśvadekaprakārānupūrvīkatvamivedamapi pāribhāṣikaṃ kiñcitapauruṣetvamiti	SaSvat eka prakAra anupUrvIka tvam iva idam api pAriBAzikam kiQcita pOruzetvam iti
   bhāvaḥ / evamagrepi //	BAvaH / evam agrepi //
   pararītyeti // tanmate	para rItyA iti // tad mate
   vākyamātrasyeśvarajñānajanyatayoktarūpasādhyābhāvepi tatra hetusatvāditi	vAkya mAtrasya ISvara jQAna janya tayA ukta rUpa sADya aBAvepi tatra hetu satvAt iti
   bhāvaḥ    pakṣeti // tasyeśajñānajanyatvepi	BAvaH   pakza iti // tasya ISa jQAna janya tvepi
   ghaṭādisādhāraṇopādānādigocarajñānatvenaiva tajjanyatayā	Gawa Adi sADAraNa upAdAna Adi gocara jQAna tvena eva tad janya tayA
   svapratipādyagocarajñānatvāvacchinnetyādirūpasādhyasyāpi satvena	sva pratipAdya gocara jQAna tva avacCinnA ityAdi rUpa sADyasya api satvena
   tadabhāvasaṃmateriti bhāvaḥ //	tad aBAva saMmateH iti BAvaH //
   "vedāḥ śabda 4 janyavākyārthagocarāyathārthajñānajanyāḥ	"vedAH SabdaH 4 janya vAkya arTa gocara ayaTa arTa jQAna janyAH
   pramāṇaśabdatvāt"iti maṇyuktasādhyasyābhāvasādhakamāha    yadvāsveti //	pramANa Sabda tvAt"iti maNi ukta sADyasya aBAva sADakam Aha   yat vAsva iti //
   veda ityanukarṣotrāpi dhyeyaḥ / prāguktameva sādhyapadakṛtyaṃ dhyeyam //	vedaH iti anukarzotrA api DyeyaH / prAk uktam eva sADya pada kRtyam Dyeyam //
   bhrāntavākye uktarūpasādhyasyāpi satvena	BrAnta vAkye ukta rUpa sADyasya api satvena
   viśeṣyamātrasyāvyabhicārāddoṣamūlakatvaviśeṣaṇasya vyarthatvamupetyāha   	viSezya mAtrasya avyaBicArAt doza mUlaka tva viSezaNasya vyarTa tvam upetya Aha   
   tatra 5 ceti // 6 niruktasādhya ityarthaḥ /	tatra 5 ca iti // 6 nirukta sADyaH iti arTaH /
   1.bhrama cha. 2.mātrapadaṃ nāsti  mu ca. 3.nasā mu. 4.śabdājanya  mu.	1.Brama  Ca. 2.mAtra padam na asti  mu ca. 3.nasA a mu. 4. Sabda AjanyaH  mu.
   5.tre kuṃ. ukta   kuṃ.	5.tre  kuM. uktaH  kuM.
   nyādīpayutatarkatāṇḍavam (pra.paricchedaḥ pu   246.	nyAdIpa yuta tarka tANxavam (pra.paricCedaH pu  246.
   idamapi sādhyaṃ paroktasya pramāṇavākyamātrāsādhāraṇa 1	idam api sADyam para uktasya pramANa vAkya mAtrA sADAraNa 1
   pauruṣeyatvasyābhāvarūpam / vipakṣe	pOruzeya tvasya aBAva rUpam / vipakze
   sarvasamayābhimatadharmādyasiddheruktatvādanukūlatarkāṇāṃ ca vakṣyamāṇatvā	sarva samaya aBimata Darma Adi asidDeH ukta tvAt anukUla tarkANAm ca vakzyamANa tvA
   nnaprayojakatā //	nna prayojaka tA //
   etena vedasyānāditvarūpamapauruṣeyatvaṃ bādhitaṃ siddhāntavirūddhañca /	etena vedasya anAdi tva rUpam apOruzeya tvam bADitam sidDAnta virUt DaQcaH /
   kramaviśeṣaviśiṣṭānāṃ 3 varṇānāṃ vedatvānnityānāṃ sarvagatānāṃ ca teṣāṃ	krama viSeza viSizwAnAm 3 varNAnAm veda tvAt nityAnAm sarva gatAnAm ca tezAm
   svataḥ kramasyāyogenābhivyaktigatasyeva tasya vaktavyatvādabhivyakteśca	svatas kramasya ayogena aBivyakti gatasya iva tasya vaktavya tvAt aBivyakteH ca
   janyatvena tadgatasya 4 kramasyāpi janyatvāt ṭīkāyāṃ"kramasya	janya tvena tad gatasya 4 kramasya api janya tvAt wIkAyAM"kramasya
   kṛkatvepi"ityukteśceti nirastam /	kRka tvepi" iti ukteH ca iti nirastam /
   kramasya kṛtakatvepyādhunikādhyāpakena	kramasya kRtaka tvepya aDunikA aDyApakena
   svabuddhisthapūrvapūrvādivasīyakramānusāreṇaivottaradivaseṣviveśvareṇāpi	sva budDi sTa pUrva pUrva Adi vasIya krama anusAreNa eva uttara divasezu iva ISvareNa api
   svabuddhisthapravāhānādipūrvapūrvakalpīye	sva budDi sTa pravAha an Adi pUrva pUrva kalpIye
   kramānusāreṇaivottarottaraklapeṣvapi vedasyoccaritatve 5 na	krama anusAreNa eva uttarottara klapezu api vedasya uccarita tve 5 na
   svātantryābhāvenā 6 niyatānupūrvī 7 rahitatvādirūpoktatrividhāpauruṣeyatve	svAtantrya aBAvenA 6 niyata AnupUrvI 7 rahita tva Adi rUpa ukta triviDA pOruzeya tve
   vādhādyabhāvāt //	vADa Adya BAvAt //
   pūrvavadarthāntaratāvyudāsāyāha    idamapīti // uktahetūnāmapauruṣeyatvena	pUrvavat arTa antara tA vyudAsAya Aha   idam api iti // ukta hetUnAm apOruzeya tvena
   vināpyupapattimāśaṅkyāha    vipakṣa iti // eteneti //	vinA api upapattim ASaFkyAha   vipakzaH iti // etena iti //
   yadveśvarajñānamityādinoktapakṣatrayeṇetyarthaḥ //	yadveSvara jQAnam ityAdinA ukta pakza trayeNa iti arTaH //
