   udayananirākaraṇam	udayana-nirAkaraNam
   skuraṇamapi tvagnirastī-(4) ti | yadyapi nivṛttimahaṃ pratyaimītyādi |	skuraNam-api tu-agniH-astI-(4) ti | yadi-api nivRttim-aham pratyEmi-ityAdi |
   yasmādiha dharādharaviśmbharāyāṃ vibhāvasurastīti	yasmAt-iha DarADara-viSmBarAyAm viBAvasuH-asti-iti
   dhanañjayākāradhāritvādvodhasya tena bodhena dhanañjaya evāvabuddhaḥ | (5)	DanaQjaya-AkAra-DAri-tvAt-voDasya tena boDena DanaQjaya eva-avabudDaH | (5)
   tena vidhereva smaraṇāditi sammatamevāsmākam | alīkamiti tu loke	tena viDeH-eva smaraNAt-iti sammatam-eva-asmAkam | alIkam-iti tu loke
   'prakāśabhṛdbādhyamalīkamāhuriti vacanāt | prakāśyamānaṃ bādhitamucyate |	aprakASa-BRt-bADyam-alIkam-AhuH-iti vacanAt | prakASyamAnam bADitam-ucyate |
   tatkimucyate na (6) tāvattenaivānubhave netyādi bhāṣāmapi tāvadabhyasya	tat-kim-ucyate na (6) tAvat-tena-eva-anuBave na-ityAdi BAzAm-api tAvat-aByasya
   nirākāravādinā hi dravyavadekānekavicāracakranikṛttatayā nīlādyākārameva	nirAkAra-vAdinA hi dravya-vat-eka-aneka-vicAra-cakra-nikRtta-tayA nIla-Adi-AkAram-eva
   cetaścakramalīkamabhilapyate tadapi na svānubhavaprabhāvādapi tu	cetaH-cakram-alIkam-aBilapyate tat-api na sva-anuBava-praBAvAt-api tu
   bādhakabodhādhīnaṃtat | tathā nīla jalajākārākrāntameva	bADaka-boDa-aDInaMtat | taTA nIla jalaja-AkAra-AkrAntam-eva
   svāntamanīlavyāvṛttirityucyate | vyatiriktāyāṃ nīlavyākṛttau tato vyā-(8)	sva-antam-anIla-vyAvRttiH-iti-ucyate | vyatiriktAyAm nIla-vyAkRttO tatas vyA-(8)
   vartamānaṃ nīlamanīlameva miledanīlavatā apitu tasmāt-	vartamAnam nIlam-anIlam-eva mileda-nIlavatA apitu tasmAt--
   tatrāpi cānyavyāvṛttiranyavyāvṛtta ityapi |	tatra-api ca-anya-vyAvRttiH-anya-vyAvRttaH iti-api |
   śabdāśca niścalāścaiva nimittamanurundhate ||	SabdAH-ca niScalAH-ca-eva nimittam-anurunDate ||
   bhedāntarapratikṣepā prartikṣepau tayordvayoḥ |	Beda-antara-pratikzepA prarti-kzepO tayoH-dvayoH |
   padaṃ saṃketabhedasya jñātṛvāṃcchānurodhataḥ ||	padam saMketa-Bedasya jQAtRvAMcCa-anuroDataH ||
   tatrāpyanyāpohe śabdārthena vyāvṛttiranyānya eva vyāvṛttestu	tatra-api-anya-apohe Sabda-arTena vyAvRttiH-anyA-anyaH eva vyAvRtteH-tu
   vyāvṛttairnivartamānasya tadabhāvaprasaṅgāt | tathā ca (2) pravṛttera	vyAvRttEH-nivartamAnasya tad-aBAva-prasaFgAt | taTA ca (2) pravRttera
   pyabhāvaḥ tasmādya eva vyāvṛtta sa eva vyāvṛttaśabdapravṛttibhedaśca	pyaBAvaH tasmAt-yaH eva vyAvRtta saH eva vyAvRtta-Sabda-pravRtti-BedaH-ca
   rsaketabhedānuvācyabhedo 'sti |	rsaketa-BedAnuvAcyaBedaH asti |
   nanu ca vācyaviśeṣābhāvāt saṃketabhedo 'pyayuktaḥ dvayorekā (3) calanāt,	nanu ca vAcya-viSeza-aBAvAt saMketa-BedaH api-ayuktaH dvayoH-ekAH (3) calanAt,
   tathā ca vyatirekiṇyā vibhakteraprayogaḥ tasyābhedāśrayatvāt |	taTA ca vyatirekiNyA viBakteH-aprayogaH tasya-aBeda-ASraya-tvAt |
   dvayorekābhidhāne 'pi vibhaktirvyatirekiṇī |	dvayoH-eka-aBiDAne api viBaktiH-vyatirekiNI |
   bhinnamarthamivānveti vācyaleśaviśeṣataḥ ||	Binnam-arTam-iva-anveti vAcya-leSa-viSezataH ||
   na vai śabdārtha kācidviṣayasvabhāvāyattā vuttirityato	na vE Sabda-arTa kAcid-vizaya-svaBAva-AyattA vuttiH-iti-atas-
   vṛttyabhāvaprasaṃgāt yathā vyatirikte 'vyatirikte vā prayoktumiṣyante	vRtti-aBAva-prasaMgAt yaTA vyatirikte avyatirikte vA prayoktum-izyante
   tathā nirmuktāstamarthamapratibandhena prakāśayanti | tena gau rgau	taTA nirmuktAH-tam-arTam-apratibanDena prakASayanti | tena gO rgO
   (5)tvamityekārthābhidhāne 'pi kasyacidviśeṣasya pratyayena virudhyate	(5)tvam-iti-eka-arTa-aBiDAne api kasyacid-viSezasya pratyayena viruDyate
   saṃketabhede vyatiriktārthā vibhaktirarthāntaramivādarśayantī	saMketa-Bede vyatirikta-arTA viBaktiH-arTa-antaram-iva-AdarSayantI
   pratibhātyanarthāntare 'pi tathā prayoga (6) darśanābhyāsāt | na tāvat	pratiBAti-anarTa-antare api taTA prayogaH (6) darSana-aByAsAt | na tAvat-
   sarvatra bhedaḥ anyatrāpi puruṣa iva tasya pratibandhābhāvāt | yathaikaṃ	sarvatra BedaH anyatra-api puruzaH iva tasya pratibanDa-aBAvAt | yaTA-ekam
   kvacidekatra cānena khyāpyate tadaviśeṣe 'pi gauravādi khyā- (7)-panārthaṃ	kvacid-ekatra ca-anena KyApyate tad-aviSeze api gOrava-Adi KyA (7)-pana-arTam
   bahuvacanena prayogābhāvāttu saṃketabhedo na syāt anyasyaiva, tathāhi	bahuvacanena prayoga-aBAvAt-tu saMketa-BedaH na syAt anyasya-eva, taTA-hi
   bhedāntareṇa yadi bhaṇitasyārthaḥ yadāyaṃ pratipattā	Beda-antareNa yadi BaNitasya-arTaH yadA-ayam pratipattA
   tadanyavyavacchedabhāvānapekṣaḥ (8) piṇḍaviśeṣe 'śvavyavacchedamātraṃ	tad-anya-vyavacCeda-BAva-anapekzaH (8) piNxa-viSeze aSva-vyavacCeda-mAtram
   jijñāsate tathābhūtajñāpanāt tathā ca bhedasaṅketena śabdena bodhyate	jijQAsate taTABUta-jQApanAt taTA ca Beda-saFketena Sabdena boDyate
   'naśvatvamasyāstīti yadā	anaSva-tvam-asya-asti-iti yadA
   punarvyavacchedāntaranirāṅkṣyastaṃjñā-(9)-tumicchati tadāparityakta	punar-vyavacCeda-antara-nirAFkzyastaMjQA-(9)-tum-icCati tadA-aparityakta
   vyavacchedāntaraṃ tamevāśvaparicchedāntaraṃ tamevāśvaparicchedaṃ tathā	vyavacCeda-antaram tam-eva-aSva-paricCeda-antaram tam-eva-aSva-paricCedam taTA
   prakāśanāya pramucyate anaśvāyamiti | ata eva pūrvatra	prakASanAya pramucyate anaSvAyam-iti | atas eva pUrvatra
   pratiṣṭhitapadāntaratvācchabdapravṛtterna samānādhikaraṇyaṃ viśeṣyabhāvo	pratizWita-pada-antara-tvAt-Sabda-pravRtteH-na samAna-ADikaraNyam viSezya-BAvaH-
   vā gotvamasya śuklamiti tanmātraviśeṣeṇa vuddhe stadāśrayabhūtāyā	vA go-tvam-asya Suklam-iti tanmAtra-viSezeNa vudDe stad-ASraya-BUtAyA
   ekatvenāpratibhāsanāt | nirākāṃkṣatvācca dvitīye tu na bhavati | tathā	eka-tvena-apratiBAsanAt | nirAka-aMkza-tvAt-ca dvitIye tu na Bavati | taTA
   saṃketavyavahāreṇa saṃketasakalavyacchedadharme vibhāgavat ekasya	saMketa-vyavahAreNa saMketasakala-vyacCeda-Darme viBAga-vat ekasya
   bahujanena pratibhāsanāt vyavacchedāntarasākāṃkṣatvācca |	bahu-janena pratiBAsanAt vyavacCeda-antarasA-aka-aMkza-tvAt-ca |
   bhedo 'yameva sarvatra dravyabhāvābhidhāyinoḥ |	BedaH ayam-eva sarvatra dravya-BAva-aBiDAyinoH |
   śabdayo rna tayo rvvācyeviśeṣastena kaścana ||	SabdayaH rna tayoH rvvAcI-eviSezaH-tena kaScana ||
   tasmānna sarvatra dharmadharmivācinoḥ śabdayorvācye 'rthe	tasmAt-na sarvatra Darma-Darmi-vAcinoH SabdayoH-vAcye arTe
   niścayapratyayavirodhatvena kaścidviśeṣaḥ ekastameva	niScaya-pratyaya-viroDa-tvena kaScid-viSezaH ekaH-tam-eva
   pratyāyanapratikṣiptabhedāntaraḥ pratyāyati (3) anyau'pratikṣepeṇaityayaṃ	pratyAyana-pratikzipta-Beda-antaraH pratyAyati (3) anyO-apratikzepeNa-etyayam
   viśeṣaḥ |	viSezaH |
   jijñāpayiṣurartha taṃ taddhitena kṛtāpi vā |	jijQApayizuH-arTa tam tat-hitena kRtA-api vA |
   anyena vā yadi brūyāt bhedo nāsti tato 'paraḥ ||	anyena vA yadi brUyAt BedaH na-asti tatas aparaH ||
   etāvantameva ca bhedaṃ darśanaṃ śuddhistena....vāde jā-(4)-yeta	etAvantam-eva ca Bedam darSanam SudDiH-tena-....vAde jA-(4)-yeta
   pācakatvamiti kadā vā pāa iti anyena vā tathābhūtajñāpanāya svayaṃkṛtena	pAcaka-tvam-iti kadA vA pAaH iti anyena vA taTABUta-jQApanAya svayaMkRtena
   samayena na punastathā mūtābhidhānamātreṇārthāntaramevaitadbhavati	samayena na punar-taTA mUta-aBiDAna-mAtreNa-arTa-antaram-eva-etat-Bavati
   tathābhūtasyaiva jñā-(5)-panāya śabdasya kṛtasaṃketatvāt | na ca	taTABUtasya-eva jQA-(5)-panAya Sabdasya kRta-saMketa-tvAt | na ca
   pācakatvamiti tathā ucyate, na pācaka eva atra pākena anya eva	pAcaka-tvam-iti taTA ucyate, na pAcakaH eva atra pAkena anyaH eva
   kaścitpācako nāmābhidhīyate pāka vicintyate | yat pu-(6)-narasyāmidheyaṃ	kaScid-pAcakaH nAma-aBiDIyate pAka vicintyate | yat pu-(6)-narasya-amiDeyam
   tat kaścittaṃ taveva pācakatvenāpītyayam |	tat kaScid-tam tava-iva pAcaka-tvena-api-iti-ayam |
   nāstyekasamudāyo 'smādanekatve 'pi pūrvavat |	na-asti-eka-samudAyaH asmAt-aneka-tve api pUrvavat |
   aviśeṣādaṇuttbācca na gati (7) ścenna siddhayati |	aviSezAt-aNuttbAt-ca na gati (7) Sced-na sidDayati |
   aviśeṣaḥ viśiṣṭānāmaindriyatvamato 'naṇuḥ |	aviSezaH viSizwAnAm-Endriya-tvam-atas anaNuH |
   etenāvaraṇādīnāmabhāvaśca nirākṛtaḥ ||	etena-AvaraNa-AdInAm-aBAvaH-ca nirAkRtaH ||
   saṃkhyāsaṃyogakarmāderapi tadvat svarūpataḥ |	saMKyA-saMyoga-karma-AdeH-api tadvat svarUpataH |
   abhilāpācca (8) bhedena rūpaṃ vuddhau na bhāsate |	aBilApAt-ca (8) Bedena rUpam vudDO na BAsate |
   āvaraṇaṃ hi paramāṇūnāṃ upalabdhaṃ, asaṃsargātkathamiti na yuktam | na hi	AvaraNam hi paramANUnAm upalabDaM, asaMsargAt-kaTam-iti na yuktam | na hi
   avayavī pratiṣedhasādhāraṇaṃ kvāpi upalabdhaṃ yena tattvābhāve paramāṇuṣu	avayavI pratizeDa-sADAraNam kvApi upalabDam yena tattva-aBAve paramANuzu
   na syāttathā pratighātādayaḥ | atha	na syAt-taTA pratiGAta-AdayaH | aTa
   citratvātparamāṇūnāṃ saṃhateḥ syātpaṭādikam |	citra-tvAt-paramANUnAm saMhateH syAt-pawa-Adikam |
   kathamāvaraṇaṃ vā tasyātapasya jalasya vā ||	kaTam-AvaraNam vA tasya-Atapasya jalasya vA ||
   avayavaiḥ santyāgamantareṇa parimāṇuṣu ca (10) kevalā	avayavEH santi-AgamantareNa parimANuzu ca (10) kevalA
   avyāhataparasparāntarānupradeśāḥ kathamāvaraṇatvāt jātasya vātra ucyate |	avyAhata-paraspara-antara-anupradeSAH kaTam-AvaraNa-tvAt jAtasya vA-atraH ucyate |
   asaṃsṛṣṭāḥ kathamavayavinaṃ jāyante saṃsargaśca naikadā tadabhāvāt na	asaMsRzwAH kaTam-avayavinam jAyante saMsargaH-ca na-ekadA tad-aBAvAt na
   sarvātmanāṇumātrapiṇḍaprasaṅgāt saṃyogasya padārthāntarasya jananena cet	sarva-AtmanA-aNu-mAtra-piNxa-prasaFgAt saMyogasya padArTa-antarasya jananena ced-
   tameva saṃyogaṃ sāntarāḥ kathaṃjayantīti samānaḥ prasaṅgaḥ | saṃsargaścet	tam-eva saMyogam sAntarAH kaTaMjayanti-iti samAnaH prasaFgaH | saMsargaH-ced-
   kiṃ saṃyogenāpare-(2)-ṇa tathā vāpi nā | atha sāntarā eva	kim saMyogena-apare-(2)-Na taTA vA-api nA | aTa sAntarAH eva
   saṃyogamavayavinañca janayanti tathā satyavaraṇādikāryamapi kiṃna	saMyogam-avayavinaQca janayanti taTA satya-varaNa-Adi-kAryam-api kiMna
   janayanti |	janayanti |
   vināpi paramāṇūnāṃ saṃsargāt saṃhatiḥ parā |	vinA-api paramANUnAm saMsargAt saMhatiH parA |
   āghāte 'pi pṛthagbhāvau (3)yasyāṃ naiva samasti saḥ ||	AGAte api pRTak-BAvO (3)yasyAm na-eva samasti saH ||
   na khalu saṃyogaḥ pratibhāsate saṃyoge vyatiriktaḥ, kevalamasaṃyuktayoḥ	na Kalu saMyogaH pratiBAsate saMyoge vyatiriktaH, kevalam-asaMyuktayoH
   sāvasthānopalabhyate tau punarupalabhyete tato 'nvayavyatirekābhyāṃ	sa-avasTAna-upalaByate tO punar-upalaByete tatas anvaya-vyatirekAByAm
   kalpa-(4)-nāmātrametaditi nirṇayaḥ | apratyakṣeṇa te tathābhūtaṃ	kalpa-(4)-nA-mAtram-etat-iti nirNayaH | apratyakzeNa te taTABUtam
   sacaivaṃbhūtaṃ jātamiti pratītiḥ | tataḥ saivāvasthā pṛthagbhāvena	sa-ca-evaMBUtam jAtam-iti pratItiH | tatas sA-eva-avasTA pRTak-BAvena
   jñāpyate saṃyoga iti | ataeva |	jQApyate saMyogaH iti | ataeva |
   śabdajñāne vikalpena vastubhedānusāriṇā |	Sabda-jQAne vikalpena vastu-Beda-anusAriNA |
   guṇādiṣviva kalpyārthe naṣṭājāteṣu vā tathā ||	guNa-Adizu-iva kalpya-arTe nazwa-ajAtezu vA taTA ||
   na śabdajñānena vailakṣyamātrādeva padārthabhedo 'pitu	na Sabda-jQAnena vElakzya-mAtrAt-eva padArTa-BedaH api-tu
   pratyakṣalakṣaṇajñānabhedāt vikalpi-(6)-kāhi	pratyakza-lakzaNa-jQAna-BedAt vikalpi-(6)-kA-hi
   buddhiranādivāsanāsāmarthyādupajāyamānā tathā tathā plavate tato	budDiH-anAdi-vAsanA-sAmarTyAt-upajAyamAnA taTA taTA plavate tatas-
   nārthatattvaṃ pratiṣṭhāṃ labhate | tathānvayavyatirekeṇa parikalpitaṃ	na-arTa-tattvam pratizWAm laBate | taTA-anvaya-vyatirekeNa parikalpitam
   bhedamāśritya saṃyogādibūddhayaḥ tataḥ parikalpitasyaiva	Bedam-ASritya saMyoga-Adi-bUdDayaH tatas parikalpitasya-eva
   cotpādanārthatatvasya kalpitārthabhedastu tīrthyāntaradarśanādapyupajāyate	ca-utpAdana-arTatatvasya kalpita-arTa-BedaH-tu tIrTya-antara-darSanAt-api-upajAyate
   | tato 'pyarthatattvavyaksthāyāmanavasthā (8) tathā (8)	| tatas api-arTa-tattva-vyaksTAyAm-anavasTA (8) taTA (8)
   tathābhyupagamanena parasparāpavādaḥ syāt | tato bhinnaśabdaḥ jñānañca	taTA-aByupagamanena paraspara-apavAdaH syAt | tatas Binna-SabdaH jQAnaQca
   vikalpite vastuni vāsanāyā anvayavyatirekābhyāṃ pravartate kiṃ bhūto 'sau	vikalpite vastuni vAsanAyAH anvaya-vyatirekAByAm pravartate kim BUtaH asO
   vikalpo vastu-(9)-bhedānusārī vastūnāṃ bhedo vyāvṛttiratathābhūtāt | na	vikalpaH vastu-(9)-Beda-anusArI vastUnAm BedaH vyAvRttiH-ataTABUtAt | na
   vyāvṛttādanyā vyāvṛttiḥ tataḥ sa eva santānāpekṣayārthāntarabhedo bhedena	vyAvRttAt-anyA vyAvRttiH tatas saH eva santAna-apekzayA-arTa-antara-BedaH Bedena
   pratibhāti vastubhedama-(10)-ntareṇa ca kalpanā bhedānugā gamyante, yathā	pratiBAti vastu-Bedam-a-(10)-ntareNa ca kalpanAH Beda-anugAH gamyante, yaTA
   eko guṇaḥ ekaḥ samavāyaścaturviśatiḥ guṇāḥ |	ekaH guNaH ekaH samavAyaH-catur-viSatiH guNAH |
   mato yadyupacāro 'tra sa iṣṭo yannibaṃdhanaḥ |	mataH yadi-upacAraH atra saH izwaH yat-nibaMDanaH |
   sa eva sarvabhāveṣu hetuḥ kinneṣyate tayoḥ ||	saH eva sarva-BAvezu hetuH kinnezyate tayoH ||
   ājātāḥ putrā sthaviraṃ tāpayantītivat,	AjAtAH putrAH sTaviram tApayanti-itivat,
   atītājātayoryannibandhanamupacārasya niru-(2)-paṇānusmaraṇagṛhītatvena	atIta-ajAtayoH-yat-nibanDanam-upacArasya niru-(2)-paNa-anusmaraNa-gRhIta-tvena
   kṣaṇaṃ tadeva nimittamastu vartamānepi saṃyukto ghaṭa ityādāvapi ||	kzaNam tat-eva nimittam-astu vartamAnepi saMyuktaH GawaH iti-AdO=-api ||
   upacāro na sarvatra yadi bhinnaviśeṣaṇam |	upacAraH na sarvatra yadi Binna-viSezaNam |
   mukhyamityeva ca kuto 'bhinne bhinnārtha (3)teti cet ||	muKyam-iti-eva ca kutas aBinne Binna-arTa (3)ta-iti ced ||
   anarthāntarahetutve 'pyaparyāyaḥ sitādiṣu |	anarTa-antara-hetu-tve api-aparyAyaH sita-Adizu |
   saṃkhyādiyoginaḥ śabdāstatrāpyarthāntaraṃ yadi ||	saMKyA-Adi-yoginaH SabdAH-tatra-api-arTa-antaram yadi ||
   guṇadravyāviśeṣaḥ syāt bhinno vyāvṛttibhedataḥ |	guNa-dravya-aviSezaH syAt BinnaH vyAvRtti-BedataH |
   syādanarthānta(4) ratve 'pyakarmādravyaśabdavat ||	syAt-anarTa-anta(4) ratve api-akarma-adravya-Sabda-vat ||
   nanūpacāro hi nāma mukhyanibandhanaḥ sa kathamasati mukhye bhavet |	nanu-upacAraH hi nAma muKya-nibanDanaH sa kaTam-asati muKye Bavet |
   mukhyañca bhinnaviśeṣaṇaṃ daṇḍyādivat | abhinnaviśeṣa-(5)ṇatve maulī	muKyaQca Binna-viSezaNam daNxya-Adi-vat | aBinna-viSeza-(5)Na-tve mOlI
   vyavasthitiḥ bhavatastu	vyavasTitiH BavataH-tu
   pūrvapūrvakalpanākṛtaviśeṣaṇayogādabhinnaviśeṣaṇatvenamukhyatvaṃ kvaciditi	pUrva-pUrva-kalpanA-kRta-viSezaNa-yogAt-aBinna-viSezaNa-tvena-muKya-tvam kvacid-iti
   nopacārasaṃbhavaḥ | bhinnaviśe (5) ṣaṇaṃ mukhyamityeva kṛtaḥ |	na-upacAra-saMBavaH | Binna-viSe (5) zaNam muKyam-iti-eva kRtaH |
   abhinnaviśeṣaṇamapi kalpanākṛtabhinnaviśeṣaṇamatyantābhyāsāt	aBinna-viSezaNam-api kalpanA-kRta-Binna-viSezaNam-atyanta-aByAsAt
   rūḍhimupagataṃ mukhyameva |	rUXim-upagatam muKyam-eva |
   buddhehaskhalitā vtti rmukhyāropita (7) yoḥ sadā	budDa-iha-sKalitAH vtti rmuKi-Aropita (7) yoH sadA
   siṃhe māṇavake tadvadghoṣaṇāpyasti laukikīṃ ||	siMhe mANavake tadvat-GozaNA-api-asti lOkikIm ||
   iti vacanāt | askhalan gatipratyayaviṣayo hi mukhyaḥ tadaparastu gauṇa iti	iti vacanAt | asKalan gati-pratyaya-vizayaH hi muKyaH tad-aparaH-tu gONaH iti
   kinna paryāpyam | yadi viśeṣa-(8)-ṇamaparaṃ nāsti viśeṣyameva tarhi	kin-na paryApyam | yadi viSeza-(8)-Nam-aparam na-asti viSezyam-eva tarhi
   sarvatra vācyam | ityabhinnārthatā paryāyatā rūpābhedena sāmānādhikaraṇyaṃ	sarvatra vAcyam | iti-aBinna-arTa-tA paryAyatA rUpa-aBedena sAmAnADikaraNyam
   bhinnaviṣayatve hi tadbhavati na buddhaya evahi sva	Binna-vizaya-tve hi tat-Bavati na budDayaH eva-hi sva-
   vāsa-(9)-nānurodhādupajāyamānā	vAsa-(9)-na-anuroDAt-upajAyamAnA
   bhedābhedasāmānādhikaraṇyādivyavahāramuparacayanti na paryāyatādiprasaṅgaḥ	Beda-aBeda-sAmAnADikaraNyAdi-vyavahAram-uparacayanti na paryAyata-Adi-prasaFgaH
   anarthāntaratve 'pi dṛśyante aparyāyā akarmmadravyam, adravyaṃ karmmeti	anarTa-antara-tve api dRSyante aparyAyAH akarmma-dravyam, adravyam karmma-iti
   prabhṛtayo vyapadeśāḥ | tatra kiṃ vyāvṛttibheda eva nibandhanaṃ nāparaḥ	praBRtayaH vyapadeSAH | tatra kim vyAvRtti-BedaH eva nibanDanam na-aparaH
   pravṛttinimittabhedaḥ gauḥ śuklo gauḥ śabdatvamiti | punaḥ	pravRtti-nimitta-BedaH gOH SuklaH gOH Sabda-tvam-iti | punar-
   vyatirekīva yaccāpi sūcyate bhāvavācibhiḥ |	vyatirekI-iva yat-ca-api sUcyate BAva-vAciBiH |
   saṃkhyāditadvataḥ śabdaistaddharmāntarabhedakam ||	saMKyA-Adi-tadvataH SabdEH-tad-Darma-antara-Bedakam ||
   śrutistanmātrajijñāsoranākṣiptākhilāparā |	SrutiH-tanmAtra-jijQA-soranAkzipta-aKila-aparAH |
   bhinnadharmamivācaṣṭe vogo 'ṅgulyā iva kvacit ||	Binna-Darmam-iva-Acazwe vogaH aFgulyAH iva kvacid ||
   yuktāṅguloti sarveṣāmakṣipāt dharmivācinī |	yukta-aFguloti sarvezAm-akzipAt Darmi-vAcinI |
   khyātaikārthābhidhāne 'pi tathāvihitasaṃsthitiḥ ||	KyAta-eka-arTa-aBiDAne api taTA-vihita-saMsTitiH ||
   gauriti tadekākāraparāmarśayogī sakala eva padārtha ucyate | śukla iti	gOH-iti tad-eka-AkAra-parAmarSa-yogI sakalaH eva padArTaH ucyate | SuklaH iti
   tadekadeśaḥ parāmarśāntarayoginī ca vartamānā vyatirekaśca	tat-eka-deSaH parAmarSa-antara-yoginI ca vartamAnAH vyatirekaH-ca
   anvayavyatire-(4)kābhyāṃ apovṛtaḥ | tatastasya gauḥ śuklo guṇa iti	anvaya-vyatire-(4)kAByAm apovRtaH | tatas-tasya gOH SuklaH guNaH iti
   vyatirekavibhaktistadyathā ḥśilāputrakasya śarīraṃ rāhoḥ śiraḥḥ | yadā ca	vyatireka-viBaktiH-tat-yaTA HSilA-putrakasya SarIram rAhoH SiraHH | yadA ca
   gavākārāvagrahau nāsti śuklatvameva kevalamupalabhya-(5)-te	gavA-AkAra-avagrahO na-asti Sukla-tvam-eva kevalam-upalaBya-(5)-te
   sambandhiviśeṣarahitam | tadā praśnayati kasyedaṃ śuklatvamiti	sambanDi-viSeza-rahitam | tadA praSnayati kasya-idam Sukla-tvam-iti
   tadāpūrvadarśanāt avadhṛtagosvabhāvo nirdiśati gauriti tādātmyasambandha	tadA-apUrva-darSanAt avaDRta-go-svaBAvaH nirdiSati gOH-iti tAdAtmya-sambanDa
   evāsya vivakṣito-(6)-vyatirekastu kalpakapravalasya prathamaṃ niścayāt |	eva-asya vivakzitaH--(6)-vyatirekaH-tu kalpaka-pravalasya praTamam niScayAt |
   yadā tu kevalenānena bhavitavyaṃ yadi nāma viśeṣopalakṣaṇamandatā	yadA tu kevalena-anena Bavitavyam yadi nAma viSeza-upalakzaNa-manda-tA
   mandalocanānāṃ tathāpi śuklenānena gavānyena bha-(7) vitavyamiti	manda-locanAnAm taTA-api Suklena-anena gavAn-yena Ba-(7) vitavyam-iti
   praśnayati | kī'yaṃ śuklo gauranyo veti tadā prativacanaṃ gauriti |	praSnayati | kI-ayam SuklaH gOH-anyaH vA-iti tadA prativacanam gOH-iti |
   samānādhikaraṇatayā tadantarbhāvenaiva praśnabhāvāt | tadanurūpameva	samAna-aDikaraNa-tayA tad-antarBAvena-eva praSna-BAvAt | tad-anurUpam-eva
   prativacanaṃ mūkaṃ ayañca tattvārthaḥ |	prativacanam mUkam ayaQca tattva-arTaH |
   anvayavyatirekābhyāṃ vyatirekaviniścaye |	anvaya-vyatirekAByAm vyatireka-viniScaye |
   viśeṣalakṣaṇābhāve kutaścit kāraṇādapi ||	viSeza-lakzaNa-aBAve kutaScid kAraNAt-api ||
   ayaṃ śaklo ṇuṇo 'śvasya prativākyaṃ vipaścitāt |	ayam SaklaH NuNaH aSvasya prativAkyam vipaScitAt |
   praśnasya vyatirekitvāt [9] tathaivetyatra niścayaḥ (nirṇayaḥ)	praSnasya vyatireki-tvAt [9] taTA-eva-iti-atra niScayaH (nirNayaH)
   yadā tvavyatirekeṇa viśeṣāntargame sati |	yadA tu-avyatirekeNa viSeza-antargame sati |
   pramāṇavṛttamālocya praśnaḥ praśnayiturbhavet ||	pramANa-vRttam-Alocya praSnaH praSnayituH-Bavet ||
   tadāviditatadbhāva uttaraṃ tādṛśeva saḥ |	tadA-avidita-tad-BAvaH uttaram tAdRSA-iva saH |
   dātānyaprakra-[10]-masyātra naivāvasarasambhavaḥ |	dAtA-anya-prakra-[10]-masya-atra na-eva-avasara-samBavaH |
   pratyakṣabhedamālocya na bhedasya viniścayaḥ ||	pratyakza-Bedam-Alocya na Bedasya viniScayaH ||
   na mūlamanumānasyābhedasyāsambhavo mataḥ |	na mUlam-anumAnasya-aBedasya-asamBavaH mataH |
   anvayavyatirekau tu yadānādī vyavasthitau |	anvaya-vyatirekO tu yadA-anAdI vyavasTitO |
   tadā bhedasya sadbhāvāt vyavahārastathaiva saḥ |	tadA Bedasya sadBAvAt vyavahAraH-taTA-eva saH |
   anādivyavahāro 'yaṃ evameva jarāṅgataḥ |	anAdi-vyavahAraH ayam evam-eva jarA-aFgataH |
   vastucintā tu lokasya neti bhedo na bādhyate |	vastu-cintA tu lokasya na-iti BedaH na bADyate |
   evamapi dravyābhāve ghaṭasya (2) rūpaṃ rūpasya rūpamiti vat syāt	evam-api dravya-aBAve Gawasya (2) rUpam rUpasya rUpam-iti vat syAt-
   tadvyatiriktasyābhāvāt na |	tad-vyatiriktasya-aBAvAt na |
   rūpādi śaktibhedānāṃ anākṣepeṇa vataite |	rUpa-Adi Sakti-BedAnAm anAkzepeNa vatA-ete |
   tatsamānaphalāhetuvyavacchedaghaṭaśrutiḥ ||	tad-samAna-PalA-hetu-vyavacCeda-Gawa-SrutiH ||
   ato na rūpaṃ ghaṭa ityekādhikaraṇā śrutiḥ |	atas na rUpam GawaH iti-eka-aDikaraNA SrutiH |
   bhedo 'yamīdṛśo jāti samudāyābhidhāyinoḥ ||	BedaH ayam-IdRSaH jAti samudAya-aBiDAyinoH ||
   rūpādayo ghaṭasyeti tatsāmānyopasarjanāt |	rUpa-AdayaH Gawasya-iti tad-sAmAnya-upasarjanAt |
   tacchakti bhedāḥ khyāpyante vācyo 'pyanyo diśānayā ||	tat-Sakti BedAH KyApyante vAcyaH api-anyaH diSA-anayA ||
   nanu samāsakṛttaddhiteṣu samvandhā-(4)-bhidhānamanyatra rūḍhi abhinnarūpā	nanu sama-asakRt-tad-hitezu samvanDa-a-(4)-BiDAnam-anyatra rUXi aBinna-rUpA
   'vyabhicarita sambandhebhyaḥ | yathā rājapuruṣatvaṃ	avyaBicarita sambanDeByaH | yaTA rAja-puruza-tvam
   kārakatvamaupagavatvamiti svasvāmisvakriyākārakāpatyāpatyavatsambandhāḥ |	kAraka-tvam-Opagava-tvam-iti sva-svAmi-sva-kriyA-kAraka-apatya-apatya-vat-sambanDAH |
