   āmnāyasya //	AmnAyasya //
   tadabhāvāt sannidhānamātrasyaiva taddhetutvenoktiḥ //	tad-aBAvAt sanniDAna-mAtrasya-eva tad-hetu-tvena-uktiH //
   (sannidhānāvagateṣṭasādhanatayaiva	(sanniDAna-avagata-izwa-sADana-tayA-eva
   pravṛttisiddhervidhivaiyarthyapūrvapakṣādirūpaprācīnaitadadhikaraṇaśarīram)	pravRtti-sidDeH-viDi-vEyarTya-pUrva-pakza-Adi-rUpa-prAcIna-etat-aDikaraNa-SarIram)
   atra prācīnaiḥ sannidhānādevaudumbaratvasya sādhanatāvagatau	atra prAcInEH sanniDAnAt-eva-Odumbara-tvasya sADana-tA-avagatO
   tenaiveṣṭasādhanatājñānamātreṇa pravṛttisiddheḥ nārtho	tena-eva-izwa-sADana-tA-jQAna-mAtreNa pravRtti-sidDeH na-arTaH-
   vidhinetyetatparyantamapi pūrvapakṣaṃ kṛtvā vidhyabhāve	viDinA-iti-etat-paryantam-api pUrva-pakzam kRtvA viDi-aBAve
   audumbarasādhanatākṣiptāyā bhāvanāyāḥ saiva bhāvyā syāt, na phalam;	Odumbara-sADana-tA-AkziptAyAH BAvanAyAH sA-eva BAvyA syAt, na Palam;
   viprakṛṣṭatvāt, vidhau ca sati puruṣapravartanātmakatvāt, apuruṣārthe ca	viprakRzwa-tvAt, viDO ca sati puruza-pravartana-Atmaka-tvAt, apuruza-arTe ca
   puṃsaḥ pravartanāyogādyāgatasyevaudumbaratāyā bhāvyatāṃ parityajya	puMsaH pravartana-ayoga-AdyAgatasya-iva-Odumbara-tAyAH BAvyatAm parityajya
   phalasyaiva puruṣārthabhūtasya bhāvyatvamupapadyate /	Palasya-eva puruza-arTa-BUtasya BAvya-tvam-upapadyate /
   ato 'vaśyamapekṣitaṃ vidhitvamarthavādato vidheyasyaiva	atas avaSyam-apekzitam viDi-tvam-arTa-vAdataH viDeyasya-eva
   stutyarthatvaniyamāt tadanupapattyā leṭtvakalpanayonneyam /	stuti-arTa-tva-niyamAt tad-anupapattyA lewtva-kalpanayA-unneyam /
   naca phalaparatve arthavādatā saṃbhavati /	na-ca Pala-paratve arTa-vAda-tA saMBavati /
   nahi stutitvena vidhiśaktimupajanayya punastenaiva phalakalpanā	na-hi stuti-tvena viDi-Saktim-upajanayya punar-tena-eva Pala-kalpanA
   saṃbhavati; vākyāvṛttirūpavākyabhedāpatteḥ /	saMBavati; vAkya-AvRtti-rUpa-vAkya-Beda-ApatteH /
   ator'thavādatvameveti siddhāntitam //	ator-aTavAda-tvam-eva-iti sidDAntitam //
   (prācīnamatakhaṇḍanena vidhitvāṅgīkāreṇa pūrvapakṣanirāsaḥ) tadayuktam;	(prAcIna-mata-KaNxanena viDi-tvA-aFgIkAreNa pUrva-pakza-nirAsaH) tat-ayuktam-;
   vidhyekavākyatāṃ vinār'thavādatvāniścayena tasya	viDi-eka-vAkyatAm vinAr-aTavAda-tva-aniScayena tasya
   vidhiniścayakatvāyogādvasantāya kapiñjalānityarthavādābhāve	viDi-niScayaka-tva-ayogAt-vasantAya kapiQjalAn-iti-arTa-vAda-aBAve
   'pyaprāptārthatayā leṭtvaniścayasyevehāpi tadupapatterarthavādata eva	api-aprApta-arTa-tayA lewtu-aniScayasya-iva-iha-api tad-upapatteH-arTavAdataH eva
   niścayagrahe 'pi "ūrgvā udumbara ūrjaivāsmā ūrjaṃ" ityantasyapūrvapakṣe	niScaya-grahe api "UrgvAH udumbaraH UrjA-eva-asmE Urjan" iti-antasya-pUrva-pakze
   'pi stāvakatāṅgīkārāt tenāpi tadupapatteḥ vidhyutkhātaparyantapakṣasya	api stAvakatA-aFgIkArAt tena-api tad-upapatteH viDi-utKAta-paryanta-pakzasya
   tannirākaraṇasiddhāntasya ca karaṇe prayojanābhāvādityabhipretya	tad-nirAkaraNa-sidDAntasya ca karaNe prayojana-aBAvAt-iti-aBipretya
   vidhitvamaṅgīkṛtyaiva pūrvapakṣe vākyārthamāha -- bhavatītyākhyāteneti //	viDi-tvam-aFgIkRtya-eva pUrva-pakze vAkya-arTam-Aha - Bavati-iti-AKyAtena-iti //
   (matabhedena bhavatītyākhyātena lakṣaṇayā śaktyaiva vā bhāvanābhidhānam)	(mata-Bedena Bavati-iti-AKyAtena lakzaNayA SaktyA-eva vA BAvanA-aBiDAnam)
   sādhyasādhanasaṃbandhasya kriyāgarbhatvāddaṇḍena ghaṭo bhavatītivacca	sADya-sADana-saMbanDasya kriyA-garBa-tvAt-daNxena GawaH Bavati-iti-vat-ca
   kriyāmātrasaṃbandhe puruṣapravartanāviṣayatvena	kriyA-mAtra-saMbanDe puruza-pravartana-avizaya-tvena
   vidhivaiyarthyāpatteravaśyaṃ puruṣaniṣṭho yaḥ kaścana pravartanāsādhyo	viDi-vEyarTya-ApatteH-avaSyam puruza-nizWaH yaH kaScana pravartana-asADyaH-
   vyāpāro vācyaḥ /	vyApAraH vAcyaH /
   tasyaca prayojyavyāpārārthakadhātuṣu yadyapyākṣepeṇa bodhaḥ saṃbhavati;	tasya-ca prayojya-vyApAra-arTaka-DAtuzu yadi-api-AkzepeNa boDaH saMBavati;
   tathāpitasya vidhyanvayāya śābdatve vaktavye yeṣāṃ mate karotivivriyamāṇaṃ	taTA-apitasya viDi-anvayAya SAbda-tve vaktavye yezAm mate karoti-vivriyamANam
   tiptvādikaṃ śaktatāvacchedakaṃ teṣāṃ mate iha śaktyākhyātādapratīteḥ	tiptvA-Adikam Sakta-tAvacCedakam tezAm mate iha Sakti-AKyAtAt-apratIteH
   lakṣaṇayā bhānam /	lakzaNayA BAnam /
   yeṣāṃ tu mate kevalaṃ tiptvādikameva tat, teṣāṃ matetu śaktyaiva	yezAm tu mate kevalam tiptvA-Adikam-eva tat, tezAm matetu SaktyA-eva
   tadabhidhānamiti vivekaḥ //	tad-aBiDAnam-iti vivekaH //
   tathāca udumbaratvena bhāvayet, kim ityapekṣāyāṃ ārthavādikaṃ	taTA-ca udumbara-tvena BAvayet, kim iti-apekzAyAm ArTavAdikam
   paśurūpaphalamanveti /	paSu-rUpa-Palam-anveti /
   ataḥ paśukarmakodumbarakaraṇako vyāpāraḥ pravartanāsādhyatayāvagamyate iti	atas paSukarmaka-udumbara-karaNakaH vyApAraH pravartana-asADya-tayA-avagamyate iti
   bhāvaḥ //	BAvaH //
   uktasyāpi prayojakavyāpārasya pravartanāsādhyatvānavagatau	uktasya-api prayojaka-vyApArasya pravartana-asADya-tva-anavagatO
   iṣṭabhāvyakatvāniścayānneṣṭasādhanatājñānamityarthaḥ //	izwa-BAvyaka-tva-aniScayAt-na-izwa-sADana-tA-jQAnam-iti-arTaH //
   (kāmapadādyabhāvena rātrisatranyāyāpravṛttyā ca paśūnāpnotītyasya	(kAma-pada-Adi-aBAvena rAtri-satra-nyAya-apravRttyA ca paSUn-Apnoti-iti-asya
   phalasamarpakatvanirāsaḥ) tathānupasthiteriti //	Pala-samarpaka-tva-nirAsaH) taTA-anupasTiteH-iti //
   dvitīyāyā janyatvamātrābhidhāyakatvenepsitatvasamānādhikaraṇabhāvyatvasya	dvitIyAyAH janya-tva-mAtra-aBiDAyaka-tvena-Ipsita-tva-samAna-aDikaraNa-BAvya-tvasya
   kāmaśabdenevānupasthiteḥ /	kAma-Sabdena-iva-anupasTiteH /
   yadyapivā kathañcidupapadyeta; tathāpi paśūnāpnotīti vartamānanirdeśāt	yadi-apivA kaTaQcid-upapadyeta; taTA-api paSUn-Apnoti-iti vartamAna-nirdeSAt-
   vartamānaphalasyānupalabdhyā bādhāt bhaviṣyatkālalakṣaṇāpattirityarthaḥ /	vartamAna-Palasya-anupalabDyA bADAt Bavizyat-kAla-lakzaNa-ApattiH-iti-arTaH /
   ata eva -- apūrvasādhanatayepsitārthatayeva nairākāṅkṣyāt na	atas eva - apUrva-sADana-tayA-Ipsita-arTa-tayA-iva nErAkAFkzyAt na
   rātrisatranyāyo 'pi iti --- parṇamayyadhikaraṇe vakṣyate //	rAtri-satra-nyAyaH api iti -- parNa-mayI-aDikaraNe vakzyate //
   (etadadhikaraṇena parṇamayyadhikaraṇapaunaruktyaparihāraḥ) evaṃ cātra	(etad-aDikaraNena parNa-mayI-aDikaraNa-pOnaruktya-parihAraH) evam ca-atra
   phalamātraparatānirākaraṇena stutiparatve sthirīkṛte tatra	Pala-mAtra-paratA-nirAkaraNena stuti-paratve sTirIkRte tatra
   rātrisatravadarthavādasyaiva sataḥ phalaparatvaṃ avaśyaṃ nirākariṣyate	rAtri-satra-vat-arTa-vAdasya-eva sataH Pala-paratvam avaSyam nirAkarizyate
   ityapaunaruktya1mapi /	iti-apOnaruktya1m-api /
   caturthyāḥ phalaparatve 'pi svavākyopāttayūpārthatayaiva nairākāṅkṣyāt na	caturTyAH Pala-paratve api sva-vAkya-upAttayUpa-arTa-tayA-eva nErAkAFkzyAt na
   tadupāttaphalaparatvam /	tad-upAtta-Pala-para-tvam /
   balavato 'pyākāṅkṣābhāve 'nvayaprayojakatvāsaṃbhavāt ityāśayaḥ //	balavataH api-AkAFkza-aBAve anvaya-prayojaka-tva-asaMBavAt iti-ASayaH //
   dūṣaṇāntaramāha --- kiñceti //	dUzaNa-antaram-Aha -- kiQca-iti //
   spaṣṭārthametat //	spazwa-arTam-etat //
   udumbaratvasyeti //	udumbara-tvasya-iti //
   yat pradhānaphalaṃ paśurūpaṃ tadupakārakatayorgvā udumbara ityādinocitaṃ	yat praDAna-Palam paSu-rUpam tad-upakAraka-tayoH-gvAH udumbaraH ityAdinA-ucitam
   udumbaratvaṃ praśastamiti stutisaṃpādakatayārthavādatvamityarthaḥ //	udumbara-tvam praSastam-iti stuti-saMpAdaka-tayA-arTa-vAda-tvam-iti-arTaH //
   iti dvitīyaṃ vidhivannigadādhikaraṇam //	iti dvitIyam viDivat-nigada-aDikaraNam //
   <B1> smād "ūrga vā udumbara" ityādirarthavāda evaudumbaratvasyeti siddham	<B1> smAt "Urga vA udumbara" iti-AdiH-arTa-vAdaH eva-Odumbara-tvasya-iti sidDam
   prayojanaṃ yāgaphalāt phalāntarakāmanāyāmaudumbaro yūpa itarathā khādiraḥ	prayojanam yAga-PalAt Pala-antara-kAmanAyAm-OdumbaraH yUpaH itaraTA KAdiraH
   pūrvapakṣe, siddhānte tu audumbara eveti // 2 //	pUrva-pakze, sidDAnte tu OdumbaraH eva-iti // 2 //
   iti dvitīyaṃ vidhivannigadādhikaraṇam //	iti dvitIyam viDivat-nigada-aDikaraNam //
   (3 adhikaraṇam /) heturvā //	(3 aDikaraNam /) hetuH-vA //
   cāturmāsyeṣu "śūrpeṇa juhotī" ti śūrpakaraṇakaṃ homaṃ vidhāya śrutena	cAturmAsyezu "SUrpeNa juhotI" ti SUrpa-karaNakam homam viDAya Srutena
   "tena hyannaṃ kriyate" ityarthavādena na stutilakṣaṇā, apitu	"tena hi-annam kriyate" iti-arTa-vAdena na stuti-lakzaNA, apitu
   homasādhanatve sādhye annakaraṇahetutvaṃ vidhīyate /	homa-sADana-tve sADye anna-karaNa-hetu-tvam viDIyate /
   nahyatra pūrvatra bhāvyatva iva kiñcit kalpanīyamasti /	na-hi-atra pUrvatra BAvya-tvaH iva kiQcid kalpanIyam-asti /
   hiśabdaśrutyaiva hetutvābhidhānāt /	hi-Sabda-SrutyA-eva hetu-tva-aBiDAnAt /
   hetuśca vyāptimantareṇānupapanno yadyadannakaraṇaṃ tena tena hotavyamiti	hetuH-ca vyAptim-antareNa-anupapannaH yat-yat-anna-karaNam tena tena hotavyam-iti
   vyāptivacanaṃ <B2> heturvā //	vyApti-vacanam <B2> hetuH-vA //
   cāturmāsye iti /	cAturmAsye iti /
   tadantargatavaruṇapraghāse ityarthaḥ //	tad-antargata-varuNa-praGAse iti-arTaH //
   homaṃ vidhāyeti //	homam viDAya-iti //
   taittirīye "karambhapātrāṇi juhotītyaneneti bhāvaḥ /	tEttirIye "karamBa-pAtrANi juhoti-iti-anena-iti BAvaH /
   karambhapātrāṇi juhotī" ti vacane bhāṣyālikhite 'pi kaustubhe likhitatvāt	karamBa-pAtrANi juhotI" ti vacane BAzya-aliKite api kOstuBe liKita-tvAt-
   prāmāṇyāśvāsaḥ /	prAmANya-ASvAsaH /
   tadatra śūrpakaraṇakamityarthasiddham /	tat-atra SUrpa-karaNakam-iti-arTa-sidDam /
   tena phalataḥ śūrpakaraṇatvaṃ vidhāyetyarthaḥ /	tena Palatas SUrpa-karaNa-tvam viDAya-iti-arTaH /
   etaccāprāptārthatvena vidhitvaniścayārthamuktam /	etat-ca-aprApta-arTa-tvena viDi-tva-niScaya-arTam-uktam /
   etena -- "tenahyanna" mityasyārthavādatvābhāve vidhitvasyāniścayāt	etena - "tena-hi-anna" miti-asya-arTa-vAda-tva-aBAve viDi-tvasya-aniScayAt-
   nirviṣayo hetuḥ iti --- nirastam /	nirvizayaH hetuH iti -- nirastam /
   ata eva -- teneti stāvakatvenābhimatasyaiva ihodāharaṇatvam /	atas eva - tena-iti stAvaka-tvena-aBimatasya-eva iha-udAharaNa-tvam /
   idantu pūrvapakṣe sādhyapradarśanārthaṃ siddhānte stutyapradarśanārtham	idantu pUrva-pakze sADya-pradarSana-arTam sidDAnte stutya-pradarSana-arTam
   ityapi dhyeyam //	iti-api Dyeyam //
   vidhīyate iti //	viDIyate iti //
   (hiśabdāvagatahetutvānyathānupapattyā vyāptikalpanānirūpaṇam) ajñātaṃ	(hi-Sabda-avagata-hetutvA-ani-aTA-anupapattyA vyApti-kalpanAni-rUpaNam) ajQAtam
   jñāpyate nahyatrānūyājā ityatrevetyarthaḥ //	jQApyate na-hi-atra-anUyA-jAH iti-atra-iva-iti-arTaH //
   nanu loke pūrvaṃ vyāptyavagamenaiva hetutvāvagamasya dṛṣṭatvāt iha	nanu loke pUrvam vyApti-avagamena-eva hetu-tva-avagamasya dRzwa-tvAt iha
   tadabhāve kathaṃ tadavagama ityata āha ---- hetuśceti //	tad-aBAve kaTam tad-avagamaH iti-atas Aha --- hetuH-ca-iti //
   yathaiva dhūmo vahnijñānajanakaḥ ityāptopadeśādeva vyāptyanumānamevamihāpi	yaTA-eva DUmaH vahni-jQAna-janakaH iti-Apta-upadeSAt-eva vyApti-anumAnam-evam-iha-api
   vedāvagatahetutvānyathānupapattyā "arthādvā kalpanaikadeśatvā" diti	veda-avagata-hetu-tvAni-aTA-anupapattyA "arTAt-vA kalpana-eka-deSa-tvA" diti
   nyāyena śrutaśabdaikadeśabhūtaṃ śūrpasya homasādhanatvaṃ annakaraṇatvāt	nyAyena Sruta-Sabda-eka-deSa-BUtam SUrpasya homa-sADana-tvam anna-karaNa-tvAt-
   hetorato yadannakaraṇaṃ śūrpamanyadvā tenāpi hotavyamiti śrutānumitābhyāṃ	hetoH-atas yat-anna-karaNam SUrpam-anyat-vA tena-api hotavyam-iti Sruta-anumitAByAm
   ekadeśāvayavābhyāṃ niṣpannaṃ vidhivākyaṃ kalpyata ityarthaḥ //	eka-deSa-avayavAByAm nizpannam viDi-vAkyam kalpyate iti-arTaH //
   va0 vyāptivacanamiti //	va0 vyApti-vacanam-iti //
   vyāptipūrvakavacanamityarthaḥ //	vyApti-pUrvaka-vacanam-iti-arTaH //
   nanu hetvanapekṣavidhita eva śūrpahomasaṃbandhavidhānopapatterarthavādatve	nanu hetu-anapekza-viDitaH eva SUrpa-homa-saMbanDa-viDAna-upapatteH-arTa-vAda-tve
   iva vaiyarthyaṃ hetutvabodhane 'pītyata āha ---- tataśceti //	iva vEyarTyam hetu-tva-boDane api-iti-atas Aha --- tatas-ca-iti //
   piṭharaṃ mṛdbhāṇḍaṃ /	piWaram mRd-BANxam /
   tataśca yadyadannakaraṇaṃ tena tena hotavyamiti kalpitavidhināsarveṣāṃ	tatas-ca yat-yat-anna-karaNam tena tena hotavyam-iti kalpita-viDinA-sarvezAm
   homasādhanatālābhastatprayojanamityarthaḥ //	homa-sADana-tAlABaH-tad-prayojanam-iti-arTaH //
   (āpekṣikasya darvīpiṭharādisādhāraṇasya sādhakatamatvasya nirūpaṇam) naca	(a-Apekzikasya darvI-piWara-Adi-sADAraNasya sADakatama-tvasya nirUpaNam) na-ca
   --- pākasyaiva sādhakatamatvenānnakaraṇatvaṃ na darvyādīnāmiti --- yuktam;	-- pAkasya-eva sADakatama-tvena-anna-karaNa-tvam na darvI-AdInAm-iti -- yuktam;
   kṛṣṭalāṅgalādyapekṣayā sādhakatamatvopapatteḥ, itarathā śūrpe 'pi	kRzwa-lAFgala-Adi-apekzayA sADakatama-tva-upapatteH, itaraTA SUrpe api
   tadabhāvena tatstutyālambanatvenocyamānasyāpi tasyānupapatteḥ iti //	tad-aBAvena tad-stuti-Alambana-tvena-ucyamAnasya-api tasya-anupapatteH iti //
   nanu. sarveṣāṃ homasādhanatve śūrpasyaiveha vidhānaṃ vyarthaṃ	nanu. sarvezAm homa-sADana-tve SUrpasya-eva-iha viDAnam vyarTam
   tatparihārāya ca tasyaiva mukhyatayāśrayatākalpane pratyakṣaśrutenaiva	tad-parihArAya ca tasya-eva muKya-tayA-Sraya-tA-kalpane pratyakza-Srutena-eva
   nairākāṅkṣyeṇa ānumānikatatsādhanatvakalpanānavasara ityata āha ---	nErAkAFkzyeNa AnumAnika-tad-sADana-tva-kalpanA-anavasaraH iti-atas Aha ---
   śūrpapadamiti //	SUrpa-padam-iti //
   arthavādapratītānnakaraṇamātravṛttihoma- sādhanatvānurodhena śūrpapadaṃ	arTavAda-pratIta-anna-karaNa-mAtra-vRtti-homa sADana-tva-anuroDena SUrpa-padam
   lākṣaṇikam /	lAkzaNikam /
   juhotītipadaṃ tu sādhyanirdeśapradarśanadvārā hotavyamiti	juhoti-iti-padam tu sADya-nirdeSa-pradarSana-dvArA hotavyam-iti
   vidhikalpakatvānna vyartham /	viDi-kalpaka-tvAt-na vyarTam /
   athavā-- yadyadannakaraṇaṃ tena tena juhotītyevaṃ vidhayaikavākyatāpannaṃ	aTavA- yat-yat-anna-karaNam tena tena juhoti-iti-evam viDaya-eka-vAkya-tA-Apannam
   sat vidhāyakamevetyarthaḥ //	sat viDAyakam-eva-iti-arTaH //
   avayutyānuvādo veti //	avayutyA-anuvAdaH vA-iti //
   anekaprāptāvekaṃ pṛthakkṛtya "ekaṃ vṛṇīte" ityādivadanuvāda ityarthaḥ /	aneka-prAptO=-ekam pRTakkRtya "ekam vRNIte" ityAdi-vat-anuvAdaH iti-arTaH /
   etaddoṣadvayāpatteḥ prakārāntareṇa pūrvapakṣamāha --- yadveti //	etad-doza-dvaya-ApatteH prakAra-antareNa pUrva-pakzam-Aha -- yat-vA-iti //
   <B3> (1) F.N. parṇamayyadhikaraṇanyāyenāsyādhikaraṇasya paunaruktyāśaṅkā	<B3> (1) F.N. parNa-mayI-aDikaraNa-nyAyena-asya-aDikaraNasya pOnarukti-ASaFkA
   hi vārtikakārairevaṃ bahubhiḥ prakāraiḥ nirasitā (1) yathā anena	hi vArtikakArEH-evam bahuBiH prakArEH nirasitAH (1) yaTA anena
   gatārthatvāt tadeva punaruktamiti śaṅkā syānnatu punaridaṃ punaruktamiti,	gata-arTa-tvAt tat-eva punar-uktam-iti SaFkA syAt-na-tu punar-idam punar-uktam-iti,
   (2) ihārthavādatābodhanam, tatra phalavidhitvanirākaraṇamātram, (3)	(2) iha-arTa-vAdatA-boDanam, tatra Pala-viDi-tva-nirAkaraNa-mAtram, (3)
   ihāviśeṣeṇadravyaguṇakriyādividhisarūpaviṣayatvaṃ tatra	iha-aviSezeNa-dravya-guNa-kriyA-Adi-viDi-sarUpa-vizaya-tvam tatra
   phalavidhisarūpāṇāmiti, (4) sarvavidhisarūpāṇāṃ kevalaṃ	Pala-viDi-sarUpANAm-iti, (4) sarva-viDi-sarUpANAm kevalam
   vidhitvanirākaraṇenārthavādatvamatra, tatra tu arthavādasyaiva sataḥ	viDi-tva-nirAkaraNena-arTavAda-tvam-atra, tatra tu arTa-vAdasya-eva sataH
   phalaviśeṣasaṃbandho 'pītyadhikāśaṅketi, (5) phalavidhāveva yatra bhedena	Pala-viSeza-saMbanDaH api-iti-aDika-aSaFkA-iti, (5) Pala-viDO=-eva yatra Bedena
   stutiphalapadāni santi tadatra viṣayaḥ, yatra punastāvanmātreṇaiva phalaṃ	stuti-Pala-padAni santi tat-atra vizayaH, yatra punar-tAvat-mAtreNa-eva Palam
   stutirvā vaktavyā teṣāṃ caturthe viṣayatvam, (6) vijñātapārārthyānāṃ	stutiH-vA vaktavyA tezAm caturTe vizaya-tvam, (6) vijQAta-pArArTyAnAm
   tatrātrātādṛśānāṃ viṣayatvamiti vā /	tatra-atra-AtAdRSAnAm vizaya-tvam-iti vA /
   (7) sādhanāṃśayogyavicāramanādṛtyābhyupetya vā	(7) sADana-aMSa-yogya-vicAram-anAdRtya-aByupetya vA
   kevalasādhyāṃśavicārastatrātra punaḥ sādhyāṃśavicāramanādṛtyābhyupetya vā	kevala-sADya-aMSa-vicAraH-tatra-atra punar sADya-aMSa-vicAram-anAdRtya-aByupetya vA
   kevalasādhanāṃśavicāraḥ iti vā ---iti. kaustubhakārāstu	kevala-sADana-aMSa-vicAraH iti vA ---iti. kOstuBakArAH-tu
   ----śiṣyabuddhivaiśadyārthamadhikaraṇāntarārambha iti vadanti.	----Sizya-budDi-vESadya-arTam-aDikaraNa-antara-AramBaH iti vadanti.
   seśvaramīmāṃsākṛtastu ---- "ūrgvā udumbara" ityādīnāṃ	sa-ISvara-mImAMsA-kRtaH-tu --- "UrgvAH udumbara" ityAdInAm
   pratīyamānārthavidhāyakatvanirāsena stāvakatvamatropapādyate, tatratu	pratIyamAna-arTa-viDAyaka-tva-nirAsena stAvaka-tvam-atra-upapAdyate, tatratu
   arthavādasyeva sataḥ phalasamarpakatvamātraṃ niṣidhyate iti na	arTavAdasya-iva sataH Pala-samarpaka-tva-mAtram niziDyate iti na
   paunaruktyaśaṅkāpīti varṇayanti /	pOnarukti-aSaFkA-api-iti varNayanti /
   tadetadarthavādādhikaraṇenaiva gatārthatvāttadīyamadhikaraṇaśarīraṃ na	tat-etad-arTa-vAda-aDikaraNena-eva gata-arTa-tvAt-tadIyam-aDikaraNa-SarIram na
   yuktamiti tu bahavo manyante /	yuktam-iti tu bahavaH manyante /
   sarvathā ca na punaruktamidamadhikaraṇamiti mantavyam. <B1> kathayati /	sarvaTA ca na punaruktam-idam-aDikaraNam-iti mantavyam. <B1> kaTayati /
   tataśca śūrpādanyasyāpi darvīpiṭharāderhemasādhanatvapratītervidhau	tatas-ca SUrpAt-anyasya-api darvI-piWara-AdeH-hema-sADana-tva-pratIteH-viDO
   śūrpapadamupalakṣaṇamavayutyānuvādo vā /	SUrpa-padam-upalakzaNam-avayutya-anuvAdaH vA /
   yadvā tacchabdena śūrpasyaiva parāmarśāttadgatamevānnakaraṇatvaṃ hetuḥ /	yat-vA tad-Sabdena SUrpasya-eva parAmarSAt-tad-gatam-eva-anna-karaNa-tvam hetuH /
   tena1 viśiṣyaiva vyāptikalpanādannakaraṇāsamarthaśūrpavyāvṛttā vapi na	tena1 viSizya-eva vyApti-kalpanAdanna-karaNa-asamarTa-SUrpa-vyAvRttAH vapi na
   vidhisthaṃ śūrpapadaṃ anyathā neyamiti pūrvaḥ pakṣaḥ /	viDi-sTam SUrpa-padam anyaTA na-iyam-iti pUrvaH pakzaH /
   siddhāntastu kriyata iti laḍantanirdeśādvartamānānnakaraṇatvasya hetutvaṃ	sidDAntaH-tu kriyate iti laxanta-nirdeSAt-vartamAna-anna-karaNa-tvasya hetu-tvam
   vācyam /	vAcyam /
   naca homakāle annakaraṇatvaṃ saṃbhavati /	na-ca homa-kAle anna-karaNa-tvam saMBavati /
   ato laṭā bhūtabhaviṣyatkālāntaralakṣaṇā vidhau tāvadyavaśyakī /	atas lawA BUta-Bavizyat-kAla-antara-lakzaNA viDO tAvat-yavaSyakI /
   yadyapi ceyaṃ prāśastyalakṣaṇopayogiguṇaghaṭakatayā mamāpyāvaśyakī;	yadi-api ca-iyam prASastyalakzaNa-upayogi-guNa-Gawaka-tayA mama-api-AvaSyakI;
   tathāpi anuvādasthatvāt prāśastyapoṣakatvācca sā na doṣaḥ,	taTA-api anuvAda-sTa-tvAt prASastyapozaka-tvAt-ca sA na dozaH,
   vartamānanirdeśaṃ vinā tadapratīteḥ /	vartamAna-nirdeSam vinA tad-apratIteH /
   kiñcāpekṣitaprāśastyaparatve saṃbhavati nānapekṣitahetuparatvāṅgīkāro	kiQca-apekzita-prASastya-paratve saMBavati na-anapekzita-hetu-paratva-aFgIkAraH-
   yuktaḥ /	yuktaH /
   ataḥ siddhaṃ sarveṣāmarthavādānāṃ stāvakatvena prāmāṇyam // 3 //	atas sidDam sarvezAm-arTa-vAdAnAm stAvaka-tvena prAmANyam // 3 //
   iti tṛtīyaṃ hetuvannigadādhikaraṇam /	iti tRtIyam hetu-vat-nigada-aDikaraNam /
   <B2> (annakaraṇasamarthaśūrpamātragatakaraṇatvavivakṣayāpi	<B2> (anna-karaNa-samarTa-SUrpa-mAtra-gata-karaNa-tva-vivakzayA-api
   nyāyasudhāmatakhaṇḍanena pūrvapakṣanirūpaṇam) yattu --- atra	nyAya-suDA-mata-KaNxanena pUrva-pakza-nirUpaNam) yat-tu -- atra
   hiśabdopāttahetutvavidhau tṛtīyopāttakaraṇatvasyoddeśyatvāttasya ca	hi-Sabda-upAtta-hetutva-viDO tRtIya-upAtta-karaNa-tvasya-uddeSya-tvAt-tasya ca
   pratipādakopāttena śūrpeṇa viśeṣṭumaśakyatvānnatadgatānnakaraṇatvasya	pratipAdaka-upAt-tena SUrpeNa viSezwum-aSakyatva-anna-tadgata-anna-karaNa-tvasya
   hetutvamiti nyāyasudhāyāṃ viśiṣṭoddeśe vākyabhedāpādanasūcanaṃ,	hetu-tvam-iti nyAya-suDAyAm viSizwa-uddeSe vAkya-Beda-ApAdana-sUcanaM,
   tattacchabdārthasya śūrpasya prakṛtyarthatvena tṛtīyopātte karaṇatve	tad-tad-Sabda-arTasya SUrpasya prakRti-arTa-tvena tRtIya-upAtte karaNa-tve
   'nvayavyutpatterviśiṣṭānvayaprayuktavākyabhedāprasakterayuktamiti	anvaya-vyutpatteH-viSizwa-anvaya-prayukta-vAkya-Beda-aprasakteH-ayuktam-iti
   yadyadannakaraṇaṃ śūrpaṃ tena tena hotavyamiti viśiṣyaiva vyāptikalpanāt	yat-yat-anna-karaNam SUrpam tena tena hotavyam-iti viSizya-eva vyApti-kalpanAt-
   yukto 'yaṃ pūrvapakṣaḥ iti //	yuktaH ayam pUrva-pakzaH iti //
   (tenahītyatra stutipratītau svārasyanirūpaṇam) tadapratīteriti // .//	(tena-hi-iti-atra stuti-pratItO svArasya-nirUpaNam) tat-apratIteH-iti // .//
   arthavādatvapakṣe 'vartamānāpyannakriyāvartamāneva lakṣaṇayā	arTavAda-tva-pakze avartamAnA-api-anna-kriyA-AvartamAnA-iva lakzaNayA
   rucyarthamucyate /	ruci-arTam-ucyate /
   nahi bhūte bhāvini vā tādṛśī prītiryādṛśī vartamāne, navā vartamāne	na-hi BUte BAvini vA tAdRSI prItiH-yAdRSI vartamAne, navAH vartamAne
   śaktistādṛśī yādṛśī phalopahite ato vartamānasaktikaṃ stotuṃ kṛtaṃ	SaktiH-tAdRSI yAdRSI Pala-upahite atas vartamAna-saktikam stotum kRtam
   kariṣyamāṇaṃ vā stotumasmatpakṣe kriyata iti nirdeśopapattiḥ /	karizyamANam vA stotum-asmat-pakze kriyate iti nirdeSa-upapattiH /
   hetuvidhipakṣetu pramāṇāntarasiddhārthānuvādakatvābhāvādyathā-	hetu-viDi-pakzetu pramANa-antara-sidDArTa-anuvAdaka-tva-aBAvAt-yaTA-
