   Mṛgendratantra, Vidyāpāda, 1	MRgendra-tantra, VidyA-pAda, 1
   * iti // MrgTV_1,3.1:29	* iti // MrgTV_1,3.1:29
   * syād eṣa sarvadoṣāvakāśo yady asmābhir asarvaviṣayam īśvarādhiṣṭhānam	* syAt eza sarva-doza-avakASaH yadi asmABiH asarva-vizayam ISvara-aDizWAnam
   upagamyate yāvatā ye 'pi tu kumbhādīnāṃ kartāraḥ kulālādayas te 'pi	upagamyate yAvatA ye api tu kumBa-AdInAm kartAraH kulAla-AdayaH te api
   tatpratyavekṣaṇānugṛhītaśaktayas tattatkāryanirvartanasamarthā bhavantīti	tad-pratyavekzaNa-anugRhIta-SaktayaH tad-tad-kArya-nirvartana-samarTAH Bavanti-iti
   brūmaḥ // MrgTV_1,3.1:30	brUmaH // MrgTV_1,3.1:30
   * nanu kutraitat dṛṣṭaṃ yat kulālatantuvāyādisadbhāve bhāvāt tadabhāve	* nanu kutra-etat dRzwam yat kulAla-tantu-vAya-Adi-sadBAve BAvAt tad-aBAve
   cābhāvād api ghaṭādi kāryajātam īśvarādhiṣṭhitamiti // MrgTV_1,3.1:31	ca-aBAvAt api Gawa-Adi kArya-jAtam ISvara-aDizWitam-iti // MrgTV_1,3.1:31
   * kutra vā na dṛṣṭaṃ kiṃ na śrutaṃ bhagavatā svayam ādiṣṭaṃ	* kutra vA na dRzwam kim na Srutam BagavatA svayam Adizwam
   sarvajanaprasiddheṣvapi śāstreṣūddhuṣyamāṇaṃ bhavadbhiḥ // MrgTV_1,3.1:32	sarva-jana-prasidDezu-api SAstrezu-udDuzyamANam BavadBiH // MrgTV_1,3.1:32
   * gāmāviśya ca bhūtāni dhārayāmy aham ojasā /	* gAm-AviSya ca BUtAni DArayAmi aham ojasA /
   * puṣṇāmi cauṣadhīḥ sarvāḥ somo bhūtvā rasātmakaḥ // MrgTV_1,3.1:33	* puzNAmi ca-ozaDIH sarvAH somaH BUtvA rasa-AtmakaH // MrgTV_1,3.1:33
   * iti // MrgTV_1,3.1:34	* iti // MrgTV_1,3.1:34
   * na tadasti vinā yatsyānmayā bhūtaṃ carācaram // MrgTV_1,3.1:35	* na tat-asti vinA yat-syAt-mayA BUtam carAcaram // MrgTV_1,3.1:35
   * iti śrutāv api // MrgTV_1,3.1:36	* iti SrutO api // MrgTV_1,3.1:36
   * yo rudro 'gnau yo 'psu ya oṣadhīṣu yo rudro viśvā bhuvanāviveśa /	* yaH rudraH agnO yaH apsu yaH ozaDIzu yaH rudraH viSvA Buvana-AviveSa /
   * iti // MrgTV_1,3.1:37	* iti // MrgTV_1,3.1:37
   * ata eva bhavadudbhāvitaḥ pratītivirodho'pi nirastaḥ ajño	* atas eva Bavat-udBAvitaH pratIti-viroDaH-api nirastaH ajQo
   janturanīśo'yamātmanaḥ sukhaduḥkhayoḥ // MrgTV_1,3.1:38	jantuH-anISaH-ayam-AtmanaH suKa-duHKayoH // MrgTV_1,3.1:38
   * īśvaraprerito gacchetsvargaṃ vā śvabhrameva vā // MrgTV_1,3.1:39	* ISvara-preritaH gacCet-svargam vA SvaBram-eva vA // MrgTV_1,3.1:39
   * ityevaṃvidhāyāḥ pratyuta pratīteḥ siddhatvāt // MrgTV_1,3.1:40	* iti-evaMviDAyAH pratyuta pratIteH sidDa-tvAt // MrgTV_1,3.1:40
   * na cāyaṃ viruddho hetur viparyayavyāptyabhāvāt dṛṣṭāntadharmiṇi ghaṭādau	* na ca-ayam virudDaH hetuH viparyaya-vyApti-aBAvAt dRzwAnta-DarmiNi Gawa-AdO
   svasādhyena buddhimatkartṛpūrvakatvena vyāpteḥ siddhatvāt	sva-sADyena budDimat-kartR-pUrvakatvena vyApteH sidDa-tvAt-
   buddhimatkartṛpūrvakatvavirahiṇo vipakṣād ātmāder vyāvṛttatvāt //	budDimat-kartR-pUrvakatva-virahiNaH vipakzAt Atma-AdeH vyAvRtta-tvAt //
   MrgTV_1,3.1:41	MrgTV_1,3.1:41
   * sa viruddha ucyate yaḥ sapakṣanivṛtto'pi vipakṣameva vyāpnoti yathā	* sa virudDaH ucyate yaH sa-pakza-nivRttaH-api vipakzam-eva vyApnoti yaTA
   nityaḥ śabdaḥ kṛtakatvāditi // MrgTV_1,3.1:42	nityaH SabdaH kRtaka-tvAt-iti // MrgTV_1,3.1:42
   * buddhimatkartṛpūrvakatvaṃ ca ghaṭasya kumbhakārakāryatvāt siddhamiti kā	* budDimat-kartR-pUrvaka-tvam ca Gawasya kumBakAra-kArya-tvAt sidDam-iti kA
   sādhyabhraṣṭatā // MrgTV_1,3.1:43	sADya-BrazwatA // MrgTV_1,3.1:43
   * na ca sarva eva dṛṣṭāntadharmāḥ sādhyadharmiṇi kvāpyanumāne bhavanti	* na ca sarve eva dRzwAnta-DarmAH sADya-DarmiNi kvApi-anumAne Bavanti
   yenānīśvaravināśyādikartṛkatvaprasaṅgaḥ syāt // MrgTV_1,3.1:44	yena-anISvara-vinASi-Adi-kartRka-tva-prasaFgaH syAt // MrgTV_1,3.1:44
   * tathā hi nityaḥ śabdaḥ kṛtakatvāt ghaṭādivad ityatrāpi śabdasya	* taTA hi nityaH SabdaH kRtaka-tvAt Gawa-Adi-vat iti-atra-api Sabdasya
   kumbhakārakāryatvarauhityapārivartulyādayo ghaṭadharmāḥ kimiti na	kumBakAra-kAryatva-rOhitya-pArivartulya-AdayaH Gawa-DarmAH kim-iti na
   bhavantīti bhavadbhirvaktavyamiti na kiṃcidetat // MrgTV_1,3.1:45	Bavanti-iti BavadBiH-vaktavyam-iti na kiMcid-etat // MrgTV_1,3.1:45
   * nanvete kāryatvasaṃniveśādimattvādayo hetavaḥ kāryasyānekakartṛtāmapi	* nanu-ete kAryatva-saMniveSa-Adimattva-AdayaH hetavaH kAryasya-aneka-kartRtAm-api
   sādhayantīti dharmisvarūpaviparītasādhanatvād viruddhāḥ // MrgTV_1,3.1:46	sADayanti-iti Darmi-svarUpa-viparIta-sADana-tvAt virudDAH // MrgTV_1,3.1:46
   * tathā ca maṇḍanaḥ /	* taTA ca maNxanaH /
   * saṃniveśādimat sarvaṃ buddhimaddhetumadyadi /	* saMniveSa-Adimat sarvam budDimat-hetumat-ya-di /
   * prasiddhasaṃniveśāder ekakāraṇatā kutaḥ // MrgTV_1,3.1:47	* prasidDa-saMniveSa-AdeH eka-kAraNa-tA kutas // MrgTV_1,3.1:47
   * rathādyavayavā nānātakṣanirmāpitā api /	* raTa-Adi-avayavAH nAnA-takza-nirmApitAH api /
   * dṛśyante jagati prāya upakāryopakārakāḥ // MrgTV_1,3.1:48	* dRSyante jagati prAyas upakArya-upakArakAH // MrgTV_1,3.1:48
   * iti // MrgTV_1,3.1:49	* iti // MrgTV_1,3.1:49
   * tad apyayuktaṃ rathādīnāṃ kāryāṇām anekatakṣaviracitānāmapi	* tat api-ayuktam raTa-AdInAm kAryANAm aneka-takza-viracitAnAm-api
   ekasthapatīcchānuvartanaṃ vinā niṣpattyadarśanāt // MrgTV_1,3.1:50	ekasTapati-icCA-anuvartanam vinA nizpatti-adarSanAt // MrgTV_1,3.1:50
   * tadevaṃ kāryatvahetunā jagato buddhimatkartṛpūrvakatvasiddhau yo 'sau	* tat-evam kAryatva-hetunA jagataH budDimat-kartR-pUrvakatva-sidDO yaH asO
   tattadvaicitryasaṃpādikecchājñānakriyāśaktiyuktaḥ kartā sa ity	tad-tad-vEcitrya-saMpAdika-icCA-jQAna-kriyA-Sakti-yuktaH kartA saH iti-
   asmadādikāryavilakṣaṇakṣityādikāryaviśeṣajanakakāraṇaviśeṣāvagamo yuktaḥ	asmad-Adi-kArya-vilakzaNa-kziti-Adi-kArya-viSeza-janaka-kAraNa-viSeza-avagamaH yuktaH
   // MrgTV_1,3.1:51	// MrgTV_1,3.1:51
   * na caitad aprasiddhaṃ yasmādvaiśiṣṭyaṃ kāryavaiśiṣṭyād dṛṣṭaṃ	* na ca-etat aprasidDam yasmAt-vESizwyam kArya-vESizwyAt dRzwam
   lokasthitāv api lokavyavahāre'pi viśiṣṭaṃ kāryaṃ dṛṣṭvā viśiṣṭameva	loka-sTitO api loka-vyavahAre-api viSizwam kAryam dRzwvA viSizwam-eva
   kāraṇam anumīyate yayā	kAraNam anumIyate yayA
   vicitrabhāvanādivastucitralepādikalākalāpasyāmukhyatāṃ madhyatvam	vicitra-BAvanA-Adi-vastu-citra-lepa-Adi-kalA-kalApasya-amuKya-tAm maDya-tvam
   anupamasaundaryasampadaṃ ca dṛṣṭvā tattatkarturapi tadgatavailakṣaṇyād	anupama-sOndarya-sampadam ca dRzwvA tat-tad-kartuH-api tad-gata-vElakzaNyAt-
   vaiśiṣṭyamavasīyate // MrgTV_1,3.1:52	vESizwyam-avasIyate // MrgTV_1,3.1:52
   * ataśca // MrgTV_1,3.1:53	* atas-ca // MrgTV_1,3.1:53
   yadyathā yādṛśaṃ yāvatkāryaṃ tatkāraṇaṃ tathā /	yat-yaTA yAdRSam yAvat-kAryam tad-kAraNam taTA /
   * yat kāryaṃ dhūmādi yatheti yena prakāreṇa giriguhāgatatvena	* yat kAryam DUma-Adi yaTA-iti yena prakAreNa giri-guhA-gata-tvena
   tadutsaṅgavartitayā tadaparapārśvavartitvena copalabdhaṃ yādṛśaṃ ca	tad-utsaFga-varti-tayA tad-apara-pArSva-varti-tvena ca-upalabDam yAdRSam ca
   tārṇapārṇādinā svarūpeṇa viśiṣṭaṃ yāvatparimāṇaṃ tanutararekhākāram	tArNa-pArNa-AdinA sva-rUpeNa viSizwam yAvat-parimANam tanutara-reKA-AkAram
   ambudanivahabahalaṃ vā tatkāraṇaṃ vahnilakṣaṇaṃ tatheti parvatotsaṅgasthaṃ	ambuda-nivaha-bahalam vA tad-kAraNam vahni-lakzaNam taTA-iti parvata-utsaFga-sTam
   vā tacchikharaniviṣṭaṃ vā tatpaścādbhāgagataṃ vā tādṛśaṃ ca tāvat	vA tad-SiKara-nivizwam vA tad-paScAt-BAga-gatam vA tAdRSam ca tAvat-
   pramāṇakaṃ vālpatvabahutvena yathānumīyate // MrgTV_1,3.2ab:1	pramANakam vA-alpa-tva-bahu-tvena yaTA-anumIyate // MrgTV_1,3.2ab:1
   * evaṃ jagallakṣaṇakāryasya tattatprakārākāravaicitryam upalabhya	* evam jagat-lakzaNa-kAryasya tad-tad-prakAra-AkAra-vEcitryam upalaBya
   tattadviśeṣaviṣayaniratiśayajñānakriyāśaktiyuktaṃ kāraṇamanumīyate //	tad-tad-viSeza-vizaya-niratiSaya-jQAna-kriyA-Sakti-yuktam kAraNam-anumIyate //
   MrgTV_1,3.2ab:2	MrgTV_1,3.2ab:2
   * tac ca // MrgTV_1,3.2ab:3	* tat ca // MrgTV_1,3.2ab:3
   nityaṃ kālānavacchedād vaitatyān na pradeśagam || MrgT_1,3.2 ||	nityam kAla-anavacCedAt vEtatyAt na pradeSa-gam || MrgT_1,3.2 ||
   kramākramasamutpatteḥ kramādyutpattiśaktimat /	kramAkrama-samutpatteH krama-Adi-utpatti-Saktimat /
   * yasyābhūtvā bhavanaṃ bhūtvā cābhavanaṃ tasya kālenāvacchedād anityatvam	* yasya-aBUtvA Bavanam BUtvA ca-aBavanam tasya kAlena-avacCedAt anitya-tvam
   // MrgTV_1,3.3ab:1	// MrgTV_1,3.3ab:1
   * yattu pūrvāparakoṭidvayavirahāt kālānavacchinnaṃ tan nityam //	* yat-tu pUrva-apara-kowi-dvaya-virahAt kAlAn-avacCinnam tat nityam //
   MrgTV_1,3.3ab:2	MrgTV_1,3.3ab:2
   * kiṃ ca na tat kvacid avasthitam api tu vaitatyān mahattvād	* kim ca na tat kvacid avasTitam api tu vEtatyAt mahat-tvAt-
   digdeśānavacchinnatvāt sarvagaṃ sarvatra tatkāryopalabdheśca vibhu tathā	diS-deSAn-avacCinna-tvAt sarvagam sarvatra tad-kArya-upalabDeH-ca viBu taTA
   kramayaugapadyābhyāṃ tanukaraṇādikāryasyotpādanāt krameṇa yugapac	krama-yOgapadyAByAm tanu-karaNa-Adi-kAryasya-utpAdanAt krameNa yugapad-
   cotpādikayā śaktyā yuktam // MrgTV_1,3.3ab:3	ca-utpAdikayA SaktyA yuktam // MrgTV_1,3.3ab:3
   * nanu jagatsṛṣṭisthityādikā tatkriyā nākaraṇikā kriyātvāt chidikriyāvat	* nanu jagat-sRzwi-sTiti-AdikA tad-kriyA na-akaraNikA kriyA-tvAt Cidi-kriyAvat-
   atastasyāpi karaṇena bhavitavyamityāha // MrgTV_1,3.3ab:4	atas-tasya-api karaNena Bavitavyam-iti-Aha // MrgTV_1,3.3ab:4
   tasyāsti karaṇaṃ yena dṛṣṭā nākaraṇā kṛtiḥ || MrgT_1,3.3 ||	tasya-asti karaNam yena dRzwA na-akaraNA kRtiH || MrgT_1,3.3 ||
   anāgāmi ca taj jñeyaṃ kāryasyānādisaṃsthiteḥ /	anAgAmi ca tat jQeyam kAryasya-anAdi-saMsTiteH /
   * yasmādakaraṇikā kriyā na sambhavati atastasya bhagavataḥ kimapyavaśyaṃ	* yasmAt-akaraNikA kriyA na samBavati atas-tasya BagavataH kim-api-avaSyam
   karaṇamasti // MrgTV_1,3.4ab:1	karaNam-asti // MrgTV_1,3.4ab:1
   * tac ca kṛtyasya sargāder anāditvenāvasthānād anāgāmi anāgantukam //	* tat ca kRtyasya sarga-AdeH anAdi-tvena-avasTAnAt anAgAmi anAgantukam //
   MrgTV_1,3.4ab:2	MrgTV_1,3.4ab:2
   * atha kiṃ tatkaraṇamityucyate // MrgTV_1,3.4ab:3	* aTa kim tat-karaNam-iti-ucyate // MrgTV_1,3.4ab:3
   karaṇaṃ ca na śaktyanyac chaktirnācetanā citaḥ || MrgT_1,3.4 ||	karaNam ca na Sakti-anyat SaktiH-na-acetanA citaH || MrgT_1,3.4 ||
   * śaktirevāsya viśveśituḥ karaṇaṃ tayaitatkriyāniṣpādanāt sā cec	* SaktiH-eva-asya viSva-ISituH karaNam tayA-etad-kriyA-nizpAdanAt sA ced-
   chādirūpeti vakṣyāmaḥ // MrgTV_1,3.4cd:1	CAdi-rUpA-iti vakzyAmaH // MrgTV_1,3.4cd:1
   * uktaṃ ca śrīmatkiraṇe // MrgTV_1,3.4cd:2	* uktam ca SrImat-kiraNe // MrgTV_1,3.4cd:2
   * icchaiva karaṇaṃ tasya yathā sadyogino matā /	* icCA-eva karaNam tasya yaTA sat-yoginaH matA /
   * iti // MrgTV_1,3.4cd:3	* iti // MrgTV_1,3.4cd:3
   * śaktiśca cetanarūpā nahi citsvabhāvasyācidrūpā śaktirbhavati //	* SaktiH-ca cetana-rUpA nahi cit-svaBAvasya-acit-rUpA SaktiH-Bavati //
   MrgTV_1,3.4cd:4	MrgTV_1,3.4cd:4
   * yac caitac chaktyātmakaṃ karaṇam // MrgTV_1,3.4cd:5	* yat ca-etat Sakti-Atmakam karaNam // MrgTV_1,3.4cd:5
   viṣayāniyamādekaṃ bodhe kṛtye ca tattathā /	vizaya-aniyamAt-ekam boDe kRtye ca tat-taTA /
   * yasya jñeyānāṃ karaṇīyānāṃ cānantyaṃ tasya karaṇair apyanantair	* yasya jQeyAnAm karaNIyAnAm ca-Anantyam tasya karaNEH api-anantEH-
   bhavitavyam // MrgTV_1,3.5ab:1	Bavitavyam // MrgTV_1,3.5ab:1
   * aparimitaviṣayaṃ ca parameśvarasya jñānaṃ kṛtyaṃ ca // MrgTV_1,3.5ab:2	* aparimita-vizayam ca parameSvarasya jQAnam kRtyam ca // MrgTV_1,3.5ab:2
   * yad vakṣyati /	* yat vakzyati /
   * śāṃkaram jñānam // MrgTV_1,3.5ab:3	* SAMkaram jQAnam // MrgTV_1,3.5ab:3
   * iti prakramya /	* iti prakramya /
   * tad ekaṃ viṣayānantyād bhedānantyaṃ prapadyate /	* tat ekam vizaya-AnantyAt Beda-Anantyam prapadyate /
   * kartṛtvaṃ tadabhinnatvāt tadvad evopacārataḥ // MrgTV_1,3.5ab:4	* kartR-tvam tad-aBinna-tvAt tadvat eva-upacArataH // MrgTV_1,3.5ab:4
   * iti // MrgTV_1,3.5ab:5	* iti // MrgTV_1,3.5ab:5
   * tasmādviṣayasya jñeyasya karaṇīyasya cāniyatatvād anavacchinnatvād	* tasmAt-vizayasya jQeyasya karaNIyasya ca-aniyata-tvAt anavacCinna-tvAt-
   ekamapi tacchaktirūpaṃ karaṇaṃ bodhaviṣaye kṛtyaviṣaye ca	ekam-api tad-Sakti-rUpam karaNam boDa-vizaye kRtya-vizaye ca
   tathetyanavacchinnam anantam evetyarthaḥ // MrgTV_1,3.5ab:6	taTA-iti-anavacCinnam anantam eva-iti-arTaH // MrgTV_1,3.5ab:6
   * atha matāntaraniranubhāṣaṇeneśvarāstitvam eva draḍhayati //	* aTa mata-antara-niranuBAzaNena-ISvara-astitvam eva draXayati //
   MrgTV_1,3.5ab:7	MrgTV_1,3.5ab:7
   kāryaṃ na sthitijanmādi bījasya prakṛteraṇoḥ || MrgT_1,3.5 ||	kAryam na sTiti-janma-Adi bIjasya prakRteH-aNoH || MrgT_1,3.5 ||
   pāriśeṣyān maheśasya muktasya śiva eva saḥ /	pAriSezyAt maheSasya muktasya SivaH eva saH /
   * nanu kimatra karaṇāpekṣeṇeśvareṇa kalpitena tasmin karmanairapekṣyeṇa	* nanu kim-atra karaNa-apekzeNa-ISvareNa kalpitena tasmin karma-nErapekzyeNa
   kartṛtvānabhyupagamāt taccaritāni karmāṇyeva sṛṣṭisthityādikāraṇatayā	kartR-tva-anaByupagamAt tad-caritAni karmANi-eva sRzwi-sTiti-Adi-kAraNa-tayA
   bhavantviti jaiminīyāḥ // MrgTV_1,3.6ab:1	Bavantu-iti jEminIyAH // MrgTV_1,3.6ab:1
   * yadāhuḥ /	* yat-AhuH /
   * kasyaciddhetumātrasya yadyadhiṣṭhātṛteṣyate /	* kasyacid-hetu-mAtrasya yadi-aDizWAtR-tA-izyate /
   * karmabhiḥ sarvajīvānāṃ tatsiddheḥ siddhasādhanam // MrgTV_1,3.6ab:2	* karmaBiH sarva-jIvAnAm tad-sidDeH sidDa-sADanam // MrgTV_1,3.6ab:2
   * iti // MrgTV_1,3.6ab:3	* iti // MrgTV_1,3.6ab:3
   * yadvā bījam ivāṅkurādīnāṃ kalādikāryāṇām upādānaṃ māyaivānyānapekṣiṇī	* yat-vA bIjam iva-aFkura-AdInAm kalA-Adi-kAryANAm upAdAnam mAyA-eva-anya-anapekziNI
   sṛṣṭyādikṛd bhavatu prakṛtireva vāvyaktā etatkartṛtve nāstu yāṃ vinā	sRzwi-Adi-kRt Bavatu prakRtiH-eva vA-avyaktAH etad-kartR-tve na-astu yAm vinA
   tasyeśvarasyāpi tatkāryāniṣpattir upalabhyate kṣityādyātmanā	tasya-ISvarasya-api tad-kArya-anizpattiH upalaByate kziti-Adi-AtmanA
   pārārthyapravṛttā anyānapekṣiṇī prakṛtireva ataḥ kim īśvareṇeti kāpilāḥ //	pArArTya-pravRttA anya-anapekziNI prakRtiH-eva atas kim ISvareNa-iti kApilAH //
   MrgTV_1,3.6ab:4	MrgTV_1,3.6ab:4
   * tathā hi /	* taTA hi /
   * yad yathā pariṇāmaikasvabhāvaṃ tatra tat tataḥ /	* yat yaTA pariNAma-eka-svaBAvam tatra tat tatas /
   * anyānapekṣi bījādisāmagrī yadvad aṅkure // MrgTV_1,3.6ab:5	* anya-anapekzi bIja-Adi-sAmagrI yadvat aFkure // MrgTV_1,3.6ab:5
   * mahadādivikāraughapariṇāmasvabhāvakam /	* mahat-Adi-vikAra-oGa-pariNAma-svaBAvakam /
   * triguṇātma pradhānaṃ ca tena sāṃkhyam anīśvaram // MrgTV_1,3.6ab:6	* triguNa-Atma praDAnam ca tena sAMKyam anISvaram // MrgTV_1,3.6ab:6
   * iti // MrgTV_1,3.6ab:7	* iti // MrgTV_1,3.6ab:7
   * yadi vā puruṣa evedaṃ sarvaṃ yadbhūtaṃ yac ca bhavyam // MrgTV_1,3.6ab:8	* yadi vA puruzaH eva-idam sarvam yat-BUtam yat ca Bavyam // MrgTV_1,3.6ab:8
   * iti aṇoḥ puruṣād eva vivartatayā cidacillakṣaṇaviśvaprādurbhāvādi	* iti aNoH puruzAt eva vivartatayA cit-acit-lakzaNa-viSva-prAdurBAva-Adi
   bhaviṣyati kimīśvareṇeti // MrgTV_1,3.6ab:9	Bavizyati kim-ISvareNa-iti // MrgTV_1,3.6ab:9
   * tadasad bahirbījabhūtānāṃ karmaṇāṃ māyādīnāṃ cācetanānāṃ	* tat-asat bahis-bIja-BUtAnAm karmaNAm mAyA-AdInAm ca-acetanAnAm
   buddhimadadhiṣṭhitānāṃ sṛṣṭyādi kṛtyam upapannam ityuktatvāt //	budDimat-aDizWitAnAm sRzwi-Adi kRtyam upapannam iti-ukta-tvAt //
   MrgTV_1,3.6ab:10	MrgTV_1,3.6ab:10
   * prakṛterapyautsukyanivṛttyarthaṃ kāryeṣu pravṛttir nitarāmayuktā tasyā	* prakRteH-api-Otsukya-nivRtti-arTam kAryezu pravRttiH nitarAm-ayuktA tasyAH-
   ācaitanyād autsukyasya ca cetanadharmatvāt // MrgTV_1,3.6ab:11	AcEtanyAt Otsukyasya ca cetana-Darma-tvAt // MrgTV_1,3.6ab:11
   * puruṣasyāpi pariṇāmitvādyanekadoṣopanipātāt svatantrasya	* puruzasya-api pariNAmi-tva-Adi-aneka-doza-upanipAtAt svatantrasya
   cābhirucitahāner aniṣṭopanipātasya cānupapatter asvavaśatvāt	ca-aBirucita-hAneH anizwa-upanipAtasya ca-anupapatteH asvavaSa-tvAt-
   sthitijanmapralayakartṛtvanirāse sati pāriśeṣyān maheśvarasyaivaitat	sTiti-janma-pralaya-kartR-tva-nirAse sati pAriSezyAt maheSvarasya-eva-etat-
   sthitijanmādi kāryamiti pāriśeṣyānumānam anavadyamiti gamakametat //	sTiti-janma-Adi kAryam-iti pAriSezya-anumAnam anavadyam-iti gamakam-etat //
   MrgTV_1,3.6ab:12	MrgTV_1,3.6ab:12
   * idamidānīṃ vivicyate yadi tāvat parameśvaraḥ kāruṇyāt	* idam-idAnIm vivicyate yadi tAvat parameSvaraH kAruNyAt-
   saṃsārijanojjihīrṣayā jagatāṃ sthitijanmādau pravartate tatkimarthaṃ	saMsAri-jana-ujjihIrzayA jagatAm sTiti-janma-AdO pravartate tat-kim-arTam
   pratyuta sāṃsārikeṣu duḥkheṣu varākānimān prāṇino niyojayati atha	pratyuta sAMsArikezu duHKezu varAkAn-imAn prANinaH niyojayati aTa
   tasyaivaṃvidha eva svabhāvaḥ tanmuktamapi jantuṃ kiṃ na saṃsārayatītyāha	tasya-evaMviDaH eva svaBAvaH tat-muktam-api jantum kim na saMsArayati-iti-Aha
   muktasya śiva eva saḥ satyaṃ kāruṇyādeva bhagavān prāṇino'nugrahītuṃ	muktasya SivaH eva saH satyam kAruNyAt-eva BagavAn prANinaH-anugrahItum
   pravartate // MrgTV_1,3.6ab:13	pravartate // MrgTV_1,3.6ab:13
   * yattu duḥkhamohādinā nirayādyupabhogena vā tān saṃyojayati	* yat-tu duHKa-moha-AdinA niraya-Adi-upaBogena vA tAn saMyojayati
   tannijakarmānurūpyavaśāt // MrgTV_1,3.6ab:14	tad-nija-karma-AnurUpya-vaSAt // MrgTV_1,3.6ab:14
   * na ca karmāpekṣitayeśvarasya svātantryahānir ityāśaṅkanīyaṃ	* na ca karma-apekzitayA-ISvarasya svAtantrya-hAniH iti-ASaFkanIyam
   karaṇāpekṣayā kartuḥ svātantryavyāghātādarśanāt bhāṇḍāgārikāpekṣasya	karaNa-apekzayA kartuH svAtantrya-vyAGAta-adarSanAt BANxAgArika-apekzasya
   rājñaḥ prasādādidānavat // MrgTV_1,3.6ab:15	rAjQaH prasAda-Adi-dAnavat // MrgTV_1,3.6ab:15
   * yaduktaṃ siddhagurubhiḥ // MrgTV_1,3.6ab:16	* yat-uktam sidDa-guruBiH // MrgTV_1,3.6ab:16
   * svatantrānyāprayojyatvaṃ karaṇādiprayoktṛtā /	* svatantra-anyAprayojya-tvam karaNa-Adi-prayoktR-tA /
   * kartuḥ svātantryametaddhi na karmādyanapekṣitā // MrgTV_1,3.6ab:17	* kartuH svAtantryam-etat-hi na karma-Adi-anapekzitAH // MrgTV_1,3.6ab:17
   * iti // MrgTV_1,3.6ab:18	* iti // MrgTV_1,3.6ab:18
   * na cābhuktasya karmaṇaḥ kṣayo bhavati // MrgTV_1,3.6ab:19	* na ca-aBuktasya karmaNaH kzayaH Bavati // MrgTV_1,3.6ab:19
   * tattadyoniśarīropabhogabhuktavicitrakarmakṣayatas tatsāmyād vā	* tad-tad-yoni-SarIra-upaBoga-Bukta-vicitra-karma-kzayataH tad-sAmyAt vA
   atyutkaṭamalaparipākavaśapravṛttaśaktipātāpasāritamalasyāvāptānugrahasya	atyutkawa-mala-paripAka-vaSa-pravRtta-Sakti-pAta-apasArita-malasya-avApta-anugrahasya
   jantor nirastasamastapāśatvādāvirbhūtasarvārthatattvakartṛkasya	jantoH nirasta-samasta-pASa-tvAt-AvirBUta-sarva-arTa-tattva-kartRkasya
   muktātmanaḥ saṃsāryatāhetoḥ paśutvasyābhāvāc chivasvarūpa eva bhagavān	mukta-AtmanaH saMsAryatA-hetoH paSutvasya-aBAvAt Siva-svarUpaH eva BagavAn
   bhavati na tu paśorivāsya kutsitabhavabhogopabhogahetur bhavatīti bhāvaḥ	Bavati na tu paSoH-iva-asya kutsita-Bava-Boga-upaBoga-hetuH Bavati-iti BAvaH
   // MrgTV_1,3.6ab:20	// MrgTV_1,3.6ab:20
   * punar apīśvarakartṛkatvam eva jagato ghaṭayitum anumānaṃ pratisamādhātum	* punar api-ISvara-kartRka-tvam eva jagataH Gawayitum anumAnam pratisamADAtum
   ākṣipati // MrgTV_1,3.6ab:21	Akzipati // MrgTV_1,3.6ab:21
   sambandhāgrahaṇe bādhā mānasyābhyeti kasyacit || MrgT_1,3.6 ||	sambanDa-agrahaNe bADA mAnasya-aByeti kasyacid || MrgT_1,3.6 ||
   * nanv asya sthitijanmādeḥ kāryasyāvinābhāvalakṣaṇasambandho yadi kadācij	* nanu asya sTiti-janma-AdeH kAryasya-avinABAva-lakzaNa-sambanDaH yadi kadAcid-
   jagatkartrā saha kenacidapi gṛhītaḥ syāt tadaitad anumānaṃ sidhyet	jagatkartrA saha kenacid-api gRhItaH syAt tadA-etat anumAnam siDyet-
   sambandhasyaiva tu agrahaṇāt kathaṃ nāsya bādheti yadi kasyacin mataṃ syāt	sambanDasya-eva tu agrahaNAt kaTam na-asya bADA-iti yadi kasyacid matam syAt-
   tadidam apyasau pratyanuyojya ityāha // MrgTV_1,3.6cd:1	tat-idam api-asO pratyanuyojyaH iti-Aha // MrgTV_1,3.6cd:1
   sā parasyāpi dhūmo'nyo girau māhānasādyataḥ /	sA parasya-api DUmaH-anyaH girO mAhAnasAt-yatas /
   * saiṣā bādhā sarvasyāpy anumānavādinaḥ prasaktā // MrgTV_1,3.7ab:1	* sA-ezA bADA sarvasya-api anumAna-vAdinaH prasaktAH // MrgTV_1,3.7ab:1
   * tathā hi mahānasādigatānāṃ viśiṣṭadeśakālākārāṇām eva dhūmāgnivyaktīnāṃ	* taTA hi mahAnasa-Adi-gatAnAm viSizwa-deSa-kAla-AkArANAm eva DUma-agni-vyaktInAm
   sambandhagrahaṇe dhūmamātrāc ca parvatādau vahnimātrānumānam	sambanDa-grahaNe DUma-mAtrAt ca parvata-AdO vahni-mAtra-anumAnam
   ityagṛhītasambandhaiva dhūmavyaktiḥ kathaṃ tathāvidhavahnivyaktiṃ	iti-agRhIta-sambanDa-eva DUma-vyaktiH kaTam taTAviDa-vahni-vyaktim
