   Svayambhu Purāṇa	SvayamBu PurANa
   tān sarvānsamupāsīnān dṛṣṭvā sa yatirātmavit // SvayambhuP_6.156 //	tAn sarvAn-samupAsInAn dRzwvA sa yatiH-Atma-vid // SvayamBuj-_6.156 //
   vyākhyāya nāmasaṃgītiṃ sa viśuddhi samādiśat /	vyAKyAya nAma-saMgItim sa viSudDi samAdiSat /
   tadā tatra manastasya jijñāsituṃ sa mañjuvāk // SvayambhuP_6.157 //	tadA tatra manaH-tasya jijQAsitum sa maQju-vAc // SvayamBuj-_6.157 //
   dhṛtvotpalaṃ vinidyāṃgaḥ kucīvaramupācarat /	DRtvA-utpalam vinidya-aMgaH kucIvaram-upAcarat /
   tatra sa makṣikān kāye utpalena nivārayan // SvayambhuP_6.158 //	tatra sa makzikAn kAye utpalena nivArayan // SvayamBuj-_6.158 //
   samāgatya sabhaikānte paśyallokānupāśrayet /	samAgatya saBA-ekAnte paSyat-lokAn-upASrayet /
   samāśritaṃ sa dharmmaśrīmitro dṛṣṭvātmanā guruṃ // SvayambhuP_6.159 //	samASritam sa Darmma-SrI-mitraH dRzwvA-AtmanA gurum // SvayamBuj-_6.159 //
   utpalena parijñāya manasaivaṃ vyacintayat /	utpalena parijQAya manasA-evam vyacintayat /
   aho nūnamayaṃ śāstā mano jijñāsituṃ mama // SvayambhuP_6.160 //	aho nUna-m-ayam SAstA manaH jijQAsitum mama // SvayamBuj-_6.160 //
   kucarā durbhagākāro dhṛtvotpalamihāgataḥ /	kucarAH durBaga-AkAraH DRtvA-utpalam-iha-AgataH /
   tatkathamahamutthāya pratyuṅgamya na meya hi // SvayambhuP_6.161 //	tat-kaTam-aham-utTAya pratyuFgamya na meya hi // SvayamBuj-_6.161 //
   atha paśyannamaskāraṃ nakuryāḥ gurave kathaṃ /	aTa paSyat-namaskAram nakuryAH gurave kaTam /
   yadyatrāhaṃ samutthāya na meyamenamādarāt // SvayambhuP_6.162 //	yadi-atra-aham samutTAya na meyam-enam-AdarAt // SvayamBuj-_6.162 //
   dṛṣṭvā lokā ime māṃ dhikkuryuḥ sarve vicārataḥ /	dRzwvA lokAH ime mAm DikkuryuH sarve vicArataH /
   ete na jñāyate yaṃ hi mañjuśrī ṛddhimānapi // SvayambhuP_6.163 //	ete na jQAyate yam hi maQjuSrI RdDimAn-api // SvayamBuj-_6.163 //
   īdṛgevāsya śāstā yaṃ miti me syād vihāsyatāṃ /	IdRS-eva-asya SAstA yam miti me syAt vihAsyatAm /
   iti dhyātvā sa dharmmaśrīmitro lajjābhimohitaḥ // SvayambhuP_6.164 //	iti DyAtvA sa Darmma-SrImitraH lajjA-aBimohitaH // SvayamBuj-_6.164 //
   manasaivaṃ namaskṛtvā śāstārantamamānayet /	manasA-evam namaskRtvA SAstArantamam-Anayet /
   tataḥ sa vimukhī bhūya paśyannapya vibhāvitaḥ // SvayambhuP_6.165 //	tatas sa vimuKI BUya paSyan=-apya viBAvitaH // SvayamBuj-_6.165 //
   ajñāta vānnivāpaśyan padamātramupādiśat /	ajQAta vAn=-ivApaSyan pada-mAtram-upAdiSat /
   tataḥ sarve 'pi te lokāḥ śrutvā tatsaddharmmadeśanāṃ // SvayambhuP_6.166	tatas sarve api te lokAH SrutvA tad-sat-Darmma-deSanAm // SvayamBuj-_6.166
   utthāya taṃ yatiṃ natvā svasvālayamupācaran /	utTAya tam yatim natvA sva-sva-Alayam-upAcaran /
   tata loke gate dharmmaśrī mitraḥ sa samutthitaḥ // SvayambhuP_6.167 //	tatas loke gate DarmmaSrI mitraH sa samutTitaH // SvayamBuj-_6.167 //
   śāstāraṃ taṃ samālokya vandituṃ samupācarat /	SAstAram tam samAlokya vanditum samupAcarat /
   taṃ dṛṣṭvā mañjudevo 'sau vandituṃ samupāgataṃ // SvayambhuP_6.168 //	tam dRzwvA maQjudevaH asO vanditum samupAgatam // SvayamBuj-_6.168 //
   apaśyan vimukhī bhūya tataḥ saṃprasthito 'carat /	apaSyan vimuKI BUya tatas saMprasTitaH acarat /
   taṃ dṛṣṭvā vimukhī bhūta dharmmaśrī mitra ātmanaḥ // SvayambhuP_6.169 //	tam dRzwvA vimuKI BUta Darmma-SrI mitraH AtmanaH // SvayamBuj-_6.169 //
   aparādha mahatpāpamanusmṛtvāpatadbhuvi /	aparADa mahat-pApam-anusmRtvA-apatat-Buvi /
   nipatantaṃ tamālokya mañjuśrīḥ sa kṛpānidhiḥ // SvayambhuP_6.170 //	nipatantam tam-Alokya maQjuSrIH sa kRpA-niDiH // SvayamBuj-_6.170 //
   sahasā pāṇinā dhṛtvā samutthāya tathācarat /	sahasA pANinA DRtvA samutTAya taTA-acarat /
   tatra sa utthito dharmmaśrī mitrastaṃ mahāmatiṃ // SvayambhuP_6.171 //	tatra saH utTitaH DarmmaSrI mitraH-tam mahAmatim // SvayamBuj-_6.171 //
   pracarantaṃ samālokya natvāhaivaṃ mṛṣā punaḥ /	pracarantam samAlokya natvAha-evam mRzA punar /
   bhagavanna mayā dṛṣṭo bhavānatra samāgataḥ // SvayambhuP_6.172 //	Bagavat-na mayA dRzwaH BavAn-atra samAgataH // SvayamBuj-_6.172 //
   paścādutpalacihnena jñāyate 'tra samāśritaḥ /	paScAt-utpala-cihnena jQAyate atra samASritaH /
   ityuktvā sa mṛṣāvādaṃ sāñjalistasya saṅguroḥ // SvayambhuP_6.173 //	iti-uktvA sa mRzAvAdam sa-aQjaliH-tasya saFguroH // SvayamBuj-_6.173 //
   mañjudevasya pādābje praṇanāma rudan punaḥ /	maQjudevasya pAda-abje praNanAma rudan punar /
   tatra tasya mṛṣā vaktuṃ rubhe 'pi nayane mukhāt // SvayambhuP_6.174 //	tatra tasya mRzA vaktum ruBe api nayane muKAt // SvayamBuj-_6.174 //
   śāstuḥ pādābjayo ragre nipetaṃtu mahītale /	SAstuH pAda-abjayaH ragre nipetaMtu mahI-tale /
   tatpatita sa dharmmaśrīmitro vihatamānasaḥ // SvayambhuP_6.175 //	tat-patita sa Darmma-SrI-mitraH vihata-mAnasaH // SvayamBuj-_6.175 //
   cirādrudaṃ samutthāyaḥ śāstāramevamavravīt /	cirAt-rudam samutTAyaH SAstAram-evam-avravIt /
   bhagavan yatmayājñānādaparādhaṃ kṛtaṃ gurau // SvayambhuP_6.176 //	Bagavan yatmayA-ajQAnAt-aparADam kRtam gurO // SvayamBuj-_6.176 //
   bhavati tad bhavāñchāstā kṣantuṃmarhati durmateḥ /	Bavati tat BavAn-SAstA kzantuMm-arhati durmateH /
   iti saṃprārthitaṃ tena mañjuśrīḥ sa kṛpānidhiḥ // SvayambhuP_6.177 //	iti saMprArTitam tena maQjuSrIH sa kRpA-niDiH // SvayamBuj-_6.177 //
   vicakṣuṣkaṃ tamālokyaḥ kṛpādṛśaivamavravīt /	vicakzuzkam tam-AlokyaH kRpA-dRSA-evam-avravIt /
   yadabhilajjayā karmma jñātvāpi duṣkṛtaṃ tvayā // SvayambhuP_6.178 //	yat-aBilajjayA karmma jQAtvA-api duzkRtam tvayA // SvayamBuj-_6.178 //
   tasyedaṃ phalamāsādya bhokta anyaṃmeva bhujyate /	tasya-idam Palam-AsAdya Bokta anyaMmeva Bujyate /
   tathāpi jñāna dṛṣṭvā tvaṃ sampaśya ddṛṣṭimān yathā // SvayambhuP_6.179 //	taTA-api jQAna dRzwvA tvam sampaSya ddRzwimAn yaTA // SvayamBuj-_6.179 //
   jñānaṃ hi te 'sti yattena jñānaśrī mitra ucyase /	jQAnam hi te asti yat-tena jQAna-SrI mitraH ucyase /
   ityuktyaiva sa mañjuśrīḥ kṣaṇādantarhita stataḥ // SvayambhuP_6.180 //	iti-uktyA-eva sa maQjuSrIH kzaNAt-antarhita stataH // SvayamBuj-_6.180 //
   ākāśāt pakṣivad gatvā svāśrame samupāyayau /	AkASAt pakzi-vat gatvA sva-ASrame samupAyayO /
   atraitatsarvavṛttāntaṃ bhāryayoḥ puratormudā // SvayambhuP_6.181 //	atra-etat-sarva-vRttAntam BAryayoH puratos-mudA // SvayamBuj-_6.181 //
   samākhyāya sa mañjuśrī stasthau lokahitārthabhṛt /	samAKyAya sa maQjuSrI stasTO loka-hita-arTa-BRt /
   tataḥ prabhṛtisa jñānaśrīmitro jñānacakṣuṣā // SvayambhuP_6.182 //	tatas praBRti-sa jQAna-SrImitraH jQAna-cakzuzA // SvayamBuj-_6.182 //
   paśyan saddharmmamākhyāya prācaracca jagaddhite /	paSyan sadDarmmam-AKyAya prAcarat-ca jagat-hite /
   tadā maitreya tenāsya dharmadhātoḥ svayaṃbhuvaḥ // SvayambhuP_6.183 //	tadA mEtreya tena-asya DarmaDAtoH svayaMBuvaH // SvayamBuj-_6.183 //
   abhutprasiddhitaṃ dharmadhātuṃ vāgīśvarābhidhaṃ /	aButprasidDitam DarmaDAtum vAc-ISvara-aBiDam /
   iti matvātra ye dharmadhātu vāgīśvara narāḥ // SvayambhuP_6.184 //	iti matvA-atra ye DarmaDAtu vAgISvara narAH // SvayamBuj-_6.184 //
   śraddhayā vidhinābhyarcya bhajanti śaraṇāśritāḥ /	SradDayA viDinA-aByarcya Bajanti SaraNa-ASritAH /
   abhiṣekaṃ ca saṃprāpya bodhicittā samāhitāḥ // SvayambhuP_6.185 //	aBizekam ca saMprApya boDi-cittA samAhitAH // SvayamBuj-_6.185 //
   saddharmma dhāraṇī vidyāmantrāṇi dhārayanti ye /	sadDarmma DAraNI vidyA-mantrANi DArayanti ye /
   te sarve vimalātmānaḥ pariśuddha trimaṇḍalāḥ // SvayambhuP_6.186 //	te sarve vimala-AtmAnaH pariSudDa tri-maNxalAH // SvayamBuj-_6.186 //
   bodhisattvā mahāsattvāścaturbrahma vihāriṇaḥ /	boDisattvAH mahAsattvAH-catur-brahma vihAriNaH /
   bhadraśrī sadguṇādhārāḥ sarva vidyā vicakṣaṇāḥ // SvayambhuP_6.187 //	BadraSrI sat-guNa-ADArAH sarva vidyAH vicakzaNAH // SvayamBuj-_6.187 //
   ṛddhi siddhi mahābhijñā bhaveyurbhadracāriṇaḥ /	RdDi sidDi mahA-aBijQAH BaveyuH-BadracAriNaH /
   āśuḥ sambodhi saṃbhāraṃ pūrayitvā yathākramaṃ // SvayambhuP_6.188 //	ASuH samboDi saMBAram pUrayitvA yaTAkramam // SvayamBuj-_6.188 //
   arhantastrividhāṃ bodhiṃ prāpya yāyu jiṃnālayaṃ // SvayambhuP_6.189 //	arhantaH-triviDAm boDim prApya yAyu jiMna-Alayam // SvayamBuj-_6.189 //
   iti matvābhivāchanti prāptuṃ ye saugataṃ padaṃ /	iti matvA-aBivACanti prAptum ye sOgatam padam /
   te 'tra bauddhālaye dharmmadhātu vāgīśvare sadā // SvayambhuP_6.190 //	te atra bOdDa-Alaye Darmma-DAtu vAgISvare sadA // SvayamBuj-_6.190 //
   śraddhayā bhajanaṃ kṛtvā prāpyābhiṣekamādarāt /	SradDayA Bajanam kRtvA prApya-aBizekam-AdarAt /
   sadharmmadhāraṇī vidyāmantra sādhāratatparāḥ // SvayambhuP_6.191 //	saDarmma-DAraNI vidyA-mantra sa-ADAra-tatparAH // SvayamBuj-_6.191 //
   yathāvidhi samabhyarcya saṃbodhi nihitāśrayāḥ /	yaTAviDi samaByarcya saMboDi nihita-ASrayAH /
   bodhicaryā vrataṃ dhṛtvā saṃcarate jagaddhite // SvayambhuP_6.192 //	boDi-caryA vratam DRtvA saMcarate jagat-hite // SvayamBuj-_6.192 //
   āśu te vimalātmānaḥ pariśuddha trimaṇḍalāḥ /	ASu te vimala-AtmAnaH pariSudDa tri-maNxalAH /
   bodhisattva mahāsattvaścaturbrahma vihāriṇaḥ // SvayambhuP_6.193 //	boDisattva mahAsattvaH-catur-brahma vihAriNaH // SvayamBuj-_6.193 //
   bhadraśrī sadguṇādhārāḥ sarvavidyā vicakṣaṇāḥ /	BadraSrI sat-guNa-ADArAH sarva-vidyA vicakzaNAH /
   ṛddhisiddhi mahābhijñā bhaveyu bhardracāriṇaḥ // SvayambhuP_6.194 //	RdDi-sidDi mahA-aBijQAH Baveyu BardracAriNaH // SvayamBuj-_6.194 //
   tataḥ saṃbodhisaṃbhāraṃ pūrayitvā drutaṃ kramāt /	tatas saMboDi-saMBAram pUrayitvA drutam kramAt /
   arhantamtrividhāṃ bodhiṃ prāpya yāsyatha nivṛtiṃ // SvayambhuP_6.195 //	arhantam-triviDAm boDim prApya yAsyaTa nivRtim // SvayamBuj-_6.195 //
   ityādiṣṭaṃ munīndreṇa niśamya te sabhāśritāḥ /	iti-Adizwam muni-indreNa niSamya te saBA-ASritAH /
   sarve tatheti vijñāya prābhyanandan pravodhitāḥ // SvayambhuP_6.196 //	sarve taTA-iti vijQAya prAByanandan pravoDitAH // SvayamBuj-_6.196 //
   itiśrī svayaṃbhū dharmmadhātu vāgīśvarābhidhāna prasiddha pravartano nāma	iti-SrI svayaMBU Darmma-DAtu vAgISvara-aBiDAna prasidDa pravartanaH nAma
   ṣaṣṭho 'dhyāyaḥ /	zazWaH aDyAyaH /
   saptama adhyāyaḥ svayambhūdharmadhātuvāgīśvaragutikṛtapravartano nāma	saptama aDyAyaH svayamBU-Darma-DAtu-vAgISvara-guti-kRta-pravartanaH nAma
   atha bhūyaḥ sa maitreyo bodhisattvo mahāmatiḥ /	aTa BUyas sa mEtreyaH boDisattvaH mahAmatiH /
   bhagavanta ta mānasya sāñjalirevamavravīt // SvayambhuP_7.1 //	Bagavanta ta mAnasya sa-aQjaliH-evam-avravIt // SvayamBuj-_7.1 //
   bhagavacchilayāchādya dharmmadhātumimaṃ kadā /	Bagavat-SilayA-ACAdya Darmma-DAtum-imam kadA /
   kenaiva hetunā stūpaṃ ko vyadhādīṣṭikāmayaṃ // SvayambhuP_7.2 //	kena-eva hetunA stUpam kaH vyaDAdi-izwikA-mayam // SvayamBuj-_7.2 //
   bhagavantatsamālokya sarvvāllokānsakautukān /	Bagavan-tat-samAlokya sarvvAt-lokAn-sa-kOtukAn /
   etaddhetu samādiśya vinodayitumarhati // SvayambhuP_7.3 //	etat-hetu samAdiSya vinodayitum-arhati // SvayamBuj-_7.3 //
   iti saṃprārthitaṃ tena maitreyena munīśvaraḥ /	iti saMprArTitam tena mEtreyena muni-ISvaraH /
   bhagavānsa mahāsattvaṃ sampaśyannevamādiśat // SvayambhuP_7.4 //	BagavAn-sa mahAsattvam sampaSyan=-evam-AdiSat // SvayamBuj-_7.4 //
   śṛṇu maitreya yenāyaṃ guptikṛto prakāśane /	SRNu mEtreya yena-ayam gupti-kRtaH prakASane /
   etaddhetuṃ samākhyāsi sarve lokābhibodhane // SvayambhuP_7.5 //	etat-hetum samAKyAsi sarve loka-aBiboDane // SvayamBuj-_7.5 //
   tadyathā nivṛtiṃ yāte saṃbuddhe kanakamunau /	tat-yaTA nivRtim yAte saMbudDe kanakamunO /
   viṃśati varṣa sāhasra nṛrṇāmāyu yadā bhavet // SvayambhuP_7.6 //	viMSati varza sAhasra nRrNAm-Ayu yadA Bavet // SvayamBuj-_7.6 //
   tadābhū bhagavāṃñchāstā dharmmarājo munīśvaraḥ /	tadA-aBU BagavAn=-SAstAH DarmmarAjaH muni-ISvaraH /
   sarvajño 'rhamahābhijñaḥ kāśyapākhyastathāgataḥ // SvayambhuP_7.7 //	sarvajQaH arha-mahA-aBijQaH kASyapa-AKyaH-taTAgataH // SvayamBuj-_7.7 //
   sa saṃbuddho mahāpuryā vārāṇasyāmupāśrame /	sa saMbudDaH mahA-puryA vArANasyAm-upASrame /
   mṛgadāve jināvāse vijahāra sasāṃdhikaḥ // SvayambhuP_7.8 //	mRga-dAve jina-AvAse vijahAra sa-sAMDikaH // SvayamBuj-_7.8 //
   tadā saṃbodhisattvo 'haṃ jyotirājā bhidhaḥkila /	tadA saMboDisattvaH aham jyoti-rAjAH BiDaH-kila /
   kāśyapasya jagacchāmtuḥ śaraṇastha upāsakaḥ // SvayambhuP_7.9 //	kASyapasya jagat-SAmtuH SaraNa-sTaH upAsakaH // SvayamBuj-_7.9 //
   yadā sa kāśyapaḥ śāstā sarvatraidhātukādhipaḥ /	yadA sa kASyapaH SAstA sarva-tra-eDAtuka-aDipaH /
   saddharmmaṃ samupādeṣṭuṃ sabhāsane samāśrayet // SvayambhuP_7.10 //	sadDarmmam samupAdezwum saBA-Asane samASrayet // SvayamBuj-_7.10 //
   tatsaddharmmāmṛtaṃ pātuṃ sarve lokāḥ samāgatāḥ /	tad-sat-Darmma-amRtam pAtum sarve lokAH samAgatAH /
   brahmaśakrādayo devāḥ sarve lokādhipā api // SvayambhuP_7.11 //	brahma-Sakra-AdayaH devAH sarve loka-aDipAH api // SvayamBuj-_7.11 //
   grahāstārāgaṇaścāpi vidyādharāścasāpsarāḥ /	grahAH-tArA-gaNaH-ca-api vidyADarAH-casa-apsarAH /
   siddhāsādhyāśca rudrāśca yakṣa guhyaka kinnarāḥ // SvayambhuP_7.12 //	sidDa-asADyAH-ca rudrAH-ca yakza guhyaka kinnarAH // SvayamBuj-_7.12 //
   kumbhāṇḍā rākṣasāścāpi nāgāśca garuḍā api /	kumBANxAH rAkzasAH-ca-api nAgAH-ca garuxAH api /
   ṛṣayastāpasāścāpi tīrthikā brahmacāriṇaḥ // SvayambhuP_7.13 //	RzayaH-tApasAH-ca-api tIrTikAH brahmacAriNaH // SvayamBuj-_7.13 //
   yatayo yoginaścāpi tathānyecāpyupāsakāḥ /	yatayaH yoginaH-ca-api taTA-anyeca-api-upAsakAH /
   brāhmaṇā kṣatriyāścāpi rājānopi mahībhṛtaḥ // SvayambhuP_7.14 //	brAhmaNAH kzatriyAH-ca-api rAjAnopi mahIBRtaH // SvayamBuj-_7.14 //
   vaiśyāśca mantriṇo 'mātyā bhṛtyā sainyādhipāgaṇā apiḥ /	vESyAH-ca mantriNaH amAtyA BRtyA sEnya-aDipa-AgaNAH apiH /
   śilpino vaṇijaścāpi sārthavāho mahājanāḥ // SvayambhuP_7.15 //	SilpinaH vaNijaH-ca-api sArTavAhaH mahAjanAH // SvayamBuj-_7.15 //
   paurā jānapadā grāmyānaigamāḥ pārvatā api /	pOrAH jAnapadAH grAmyA-nEgamAH pArvatAH api /
   tathonya deśikā lokā api sarvve samāgatāḥ // SvayambhuP_7.16 //	taTA-unya deSikAH lokAH api sarvve samAgatAH // SvayamBuj-_7.16 //
   tatra sabhāsanāsīnaṃ saṃbuddha staṃ munīśvaraṃ /	tatra saBAsana-AsInam saMbudDa stam muni-ISvaram /
   bhagavantaṃ samālokya sarve saṃghāḥ samāyayuḥ // SvayambhuP_7.17 //	Bagavantam samAlokya sarve saMGAH samAyayuH // SvayamBuj-_7.17 //
   bhikṣavaḥ śrāvakāḥ sarve yatayo yogino 'piḥ /	BikzavaH SrAvakAH sarve yatayaH yoginaH apiH /
   cailakāvratinaścāpi sarve upāsakā api // SvayambhuP_7.18 //	cElakAvratinaH-ca-api sarve upAsakAH api // SvayamBuj-_7.18 //
   bhikṣuṇyopi tathā sarvāścailikāḥ vratiṇyaḥ /	BikzuNyopi taTA sarvAH-cElikAH vratiNyaH /
   śrāvikāścāpiḥ tathānyāḥ samupāgatāḥ // SvayambhuP_7.19 //	SrAvikAH-ca-apiH taTA-anyAH samupAgatAH // SvayamBuj-_7.19 //
   bodhisattvā mahāsattvā ṛṣayo brahmacāriṇaḥ /	boDisattvAH mahAsattvAH RzayaH brahmacAriNaH /
   tīrthikā vaiṣṇavāḥ śaivārnirganthāśca tapasvinaḥ // SvayambhuP_7.20 //	tIrTikAH vEzNavAH SEvArniH-ganTAH-ca tapasvinaH // SvayamBuj-_7.20 //
   tathānye 'pi samāyātāḥ saddharmaguṇalālasāḥ /	taTA-anye api samAyAtAH sat-Darma-guNa-lAlasAH /
   sarve 'pi te munīndra staṃ dṛṣṭvā yayau pramoditāḥ // SvayambhuP_7.21 //	sarve api te muni-indra stam dRzwvA yayO pramoditAH // SvayamBuj-_7.21 //
   tatra sarve 'pi te lokāstaṃ munīndraṃ yathākramaṃ /	tatra sarve api te lokAH-tam muni-indram yaTAkramam /
   abhyarcya vidhinā natvā tatsabhāyāmupāśrayan // SvayambhuP_7.22 //	aByarcya viDinA natvA tad-saBAyAm-upASrayan // SvayamBuj-_7.22 //
   tatra sarve 'pi te lokāḥ parivṛtya samantataḥ /	tatra sarve api te lokAH parivRtya samantataH /
   puraskṛtya munīndrantaṃ saṃpaśyantaḥ samāhitāḥ // SvayambhuP_7.23 //	puraskRtya muni-indrantam saMpaSyantaH samAhitAH // SvayamBuj-_7.23 //
   tatsaddharmmāmṛtaṃ pātuṃ tṛṣārttā iva sāgaraṃ /	tad-sadDarmma-amRtam pAtum tRzA-ArttAH iva sAgaram /
   sāñjalayaḥ prasannāsyāḥ samātasthu yathākramaṃ // SvayambhuP_7.24 //	sa-aQjalayaH prasanna-asyAH samAtasTu yaTAkramam // SvayamBuj-_7.24 //
   tāṃlokānsamupāsīnānsarvānsaghānsurānapi /	tAnlokAn-samupAsInAn-sarvAn-saGAn-surAn-api /
   sarvāllokādhipāṃścāpi dṛṣṭvā sa bhagavāñjinaḥ // SvayambhuP_7.25 //	sarvAt-loka-aDipAn=-ca-api dRzwvA sa BagavAn-jinaH // SvayamBuj-_7.25 //
   āryasatyaṃ samārabhya saṃbodhi jñānasādhanaṃ /	Arya-satyam samAraBya saMboDi jQAna-sADanam /
   ādi madhyānta kalyāṇaṃ saddharmma samupādiśat // SvayambhuP_7.26 //	Adi maDyAnta kalyANam sadDarmma samupAdiSat // SvayamBuj-_7.26 //
   tatsaddharmmāmṛtaṃ pītvā sarve 'lokāḥ pravodhitāḥ /	tad-sat-Darmma-amRtam pItvA sarve alokAH pravoDitAH /
   sadā bhadrasukhaṃ prāpnu samīcchire susaṃvaraṃ // SvayambhuP_7.27 //	sadA Badra-suKam prApnu samIcCire su-saMvaram // SvayamBuj-_7.27 //
   tataḥ sarve 'pi te lokāḥ saṃbuddha guṇavāñchinaḥ /	tatas sarve api te lokAH saMbudDa guNavAQCinaH /
   bodhicaryā vrataṃ dhṛtvā saṃcarire sadā śubhe // SvayambhuP_7.28 //	boDi-caryA vratam DRtvA saMcarire sadA SuBe // SvayamBuj-_7.28 //
   tadā sarvāṇi kāryāṇi kṛtvā vajrī sa yogavit /	tadA sarvANi kAryANi kRtvA vajrI sa yoga-vid /
   mañjudevaḥ sa bhāryānte svayaṃ nirvṛtimāyayau // SvayambhuP_7.29 //	maQjudevaH sa BAryA-ante svayam nirvRtim-AyayO // SvayamBuj-_7.29 //
   tato gatvā mahācīne sa mañjuśrī jināśrameṃ /	tatas gatvA mahA-cIne sa maQjuSrI jina-ASramem /
   svadivyavapurādhāya taṃsthau bhāryā samanvitaḥ // SvayambhuP_7.30 //	sva-divya-vapuH-ADAya taMsTO BAryA samanvitaH // SvayamBuj-_7.30 //
   atra teṣāṃ śarīrāṇi śiṣyāḥ sarve 'pi pāvake /	atra tezAm SarIrANi SizyAH sarve api pAvake /
   saṃskṛtya vidhināsthīni gṛhitvā samaśodhayan // SvayambhuP_7.31 //	saMskRtya viDinA-asTIni gRhitvA samaSoDayan // SvayamBuj-_7.31 //
   tataste 'tra tadasthīnigarvyasthāpya yathāvidhi /	tatas-te atra tad-asTI-nigarvya-sTApya yaTAviDi /
   caityaṃ kṛtvā pratisthāpya samabhyarcya sadābhajana // SvayambhuP_7.32 //	cEtyam kRtvA pratisTApya samaByarcya sadA-Bajane // SvayamBuj-_7.32 //
   yeyīdaṃ caityamabhyarcya bhajanti śraddhayā sadā /	yeyi-idam cEtyam-aByarcya Bajanti SradDayA sadA /
   te tasya mañjudevasya saddharmmaguṇamāpnuyuḥ // SvayambhuP_7.33 //	te tasya maQjudevasya sat-Darmma-guNam-ApnuyuH // SvayamBuj-_7.33 //
   matvaivaṃ yebhivāñchanti mañjuśrī dharmmasadguṇaṃ /	matvA-evam yeBivAQCanti maQjuSrI Darmma-sat-guNam /
   atra mañjuśrī yaścaitya sarvadā prabhajantu te // SvayambhuP_7.34 //	atra maQjuSrI yaH-ca-etya sarvadA praBajantu te // SvayamBuj-_7.34 //
   ityādiṣṭaṃ munīndreṇa niśamya te sabhājanāḥ /	iti-Adizwam muni-indreNa niSamya te saBAjanAH /
   sarve tatheti śrutva prātyanandatpravodhitāḥ // SvayambhuP_7.35 //	sarve taTA-iti Srutva prAtyanandat-pravoDitAH // SvayamBuj-_7.35 //
   athāsau bhagavān bhūyaḥ śākyasiṃho munīśvaraḥ /	aTa-asO BagavAn BUyas SAkya-siMhaH muni-ISvaraH /
   maitreya staṃ sabhāṃcāpi samālokyaivamādiśat // SvayambhuP_7.36 //	mEtreya stam saBAMca-api samAlokya-evam-AdiSat // SvayamBuj-_7.36 //
   tata ścirāṅgate kāle gauḍarāṣṭre narādhipaḥ /	tatas Scira-aFgate kAle gOxa-rAzwre narADipaH /
   abhūtpracaṇḍa devākhyaḥ śrīmān vajradharāṃśajaḥ // SvayambhuP_7.37 //	aBUt-pracaNxa deva-AKyaH SrImAn vajraDara-aMSa-jaH // SvayamBuj-_7.37 //
   sa rājā suciraṃ rājyaṃ nītidharmmeṇa pālayan /	sa rAjA su-ciram rAjyam nIti-DarmmeNa pAlayan /
   sarvāllokāñchubhe dharme niyujya samacārayat // SvayambhuP_7.38 //	sarvAt-lokAn-SuBe Darme niyujya samacArayat // SvayamBuj-_7.38 //
   etaddharmmānubhāvena sadā tatra samantataḥ /	etat-Darmma-anuBAvena sadA tatra samantataH /
   subhikṣaṃ maṃgalotsāhaṃ nirutpātanavarktata // SvayambhuP_7.39 //	suBikzam maMgala-utsAham nirutpAtana-varc-tate // SvayamBuj-_7.39 //
   tadā sarve 'pi te lokāḥ saddharmaguṇalālasāḥ /	tadA sarve api te lokAH sat-Darma-guNa-lAlasAH /
   kuladharma samācārā dānaśīlavratāratāḥ // SvayambhuP_7.40 //	kula-Darma samAcArAH dAna-SIla-vratA-ratAH // SvayamBuj-_7.40 //
   satyasaṃghā nikādhīrāścaturbrahmavihāriṇaḥ /	satya-saMGAH nikA-DIrAH-catur-brahma-vihAriNaH /
   kuleśabhajanaṃ kṛtvā prācaranta mitho hite // SvayambhuP_7.41 //	kuleSa-Bajanam kRtvA prAcaranta miTas hite // SvayamBuj-_7.41 //
   dṛṣṭvā sa nṛpatī rājā sarvāllokāñchubhārthinaḥ /	dRzwvA sa nRpatiH rAjA sarvAt-lokAn-SuBa-arTinaH /
   muditastānsamāmantraya sampaśyannevamādiśat // SvayambhuP_7.42 //	muditaH-tAn-samAmantraya sampaSyan=-evam-AdiSat // SvayamBuj-_7.42 //
   bho lokāḥ paurikāḥ sarve saddharma yadi vāñchatha /	Bo lokAH pOrikAH sarve sat-Darma yadi vAQCaTa /
   triratna bhajanaṃ kṛtvā carata bodhisamvaraṃ // SvayambhuP_7.43 //	tri-ratna Bajanam kRtvA carata boDi-samvaram // SvayamBuj-_7.43 //
   tena yūyaṃ śubhātmānaḥ pariśuddhatrimaṇḍalāḥ /	tena yUyam SuBa-AtmAnaH pariSudDa-tri-maNxalAH /
   bodhisattvā mahāsattvā bhavata bodhicāriṇaḥ // SvayambhuP_7.44 //	boDisattvAH mahAsattvAH Bavata boDi-cAriNaH // SvayamBuj-_7.44 //
   tataste nirmalātmāno niḥkleśo vimalendriyāḥ /	tatas-te nirmala-AtmAnaH niHkleSaH vimala-indriyAH /
