   // atha prathama ullāsaḥ //	// aTa praTamaH ullAsaH //
   yathā vā vātāhāratayā jagadviṣadharairāśvāsya niḥśeṣitaṃ tegrastāḥ	yaTA vA vAta-AhAra-tayA jagat-vizaDarEH-ASvAsya niHSezitam tegraH-tAH
   punarabhratoyakaṇikātīvravratairbarhibhiḥ /	punar-aBra-toya-kaNikA-tIvra-vratEH-barhiBiH /
   te 'pi krūracamūrucarmavasanairnītāḥ kṣayaṃ lubdhakai- rdambhasya	te api krUra-camUru-carma-vasanEH-nItAH kzayam lubDakE rdamBasya
   sphuritaṃ vidannapi jano jālmo guṇānīhate // 282 //	sPuritam vidan=-api janaH jAlmaH guNAnI-hate // 282 //
   atra vātāhārāditrayaṃ vyutkrame vācyam /	atra vAta-AhAra-Adi-trayam vyutkrame vAcyam /
   (21) are rāmāhastābharaṇa bhasalaśreṇiśaraṇa smārakrīḍāvrīḍāśamana	(21) are rAma-Ahasta-ABaraNa Basala-SreNi-SaraNa smAra-krIxA-vrIxA-Samana
   virahiprāṇadamana /	virahi-prANa-damanaH /
   sarohaṃsottaṃsa pracaladala nīlotpala sakhe sakhedo 'haṃ mohaṃ ślathaya	saraH-haMsa-uttaMsa pracaladala nIlotpala saKe sa-KedaH aham moham SlaTaya
   kathaya kvenduvadanā // 283 //	kaTaya kva-indu-vadanAH // 283 //
   atra "virahiprāṇadamana'; iti nānuvādyam //	atra "virahi-prANa-damana-a; iti na-anuvAdyam //
   (22) lagnaṃ rāgāvṛtāṅgyetyādi // 284 //	(22) lagnam rAga-AvRta-aFgyA-ityAdi // 284 //
   atra "viditaṃ te 'stu'; ityupasaṃhṛto 'pi tenetyādinā punarupāttaḥ //	atra "viditam te astu-a; iti-upasaMhRtaH api tena-ityAdinA punar-upAttaH //
   (23) hantumeva pravṛttasya stabdhasya vivaraiṣiṇaḥ /	(23) hantum-eva pravRttasya stabDasya vivara-eziNaH /
   yathāsya jāyate pāto na tatā punarunnatiḥ // 285 //	yaTA-asya jAyate pAtaH na tatA punar-unnatiH // 285 //
   atra puṃvyajjanasyāpi pratītiḥ /	atra puMvyat-janasya-api pratItiH /
   yatraiko doṣaḥ pradarśitastatra doṣāntarāṇyapi santi tathāpi teṣāṃ	yatra-ekaH dozaH pradarSitaH-tatra doza-antarANi-api santi taTA-api tezAm
   tatrāprakṛtatvātprakāśanaṃ na kṛtam //	tatra-aprakRta-tvAt-prakASanam na kRtam //
   (sū- 77)	(sU 77)
   karṇāvataṃsādipade karṇādidhvaninirmitiḥ /	karNa-avataMsa-Adi-pade karNa-Adi-Dvani-nirmitiH /
   saṃnidhānādibodhārtham	saMniDAna-Adi-boDa-arTam
   avataṃsādīni karṇādyābharaṇānyevocyante tatra karṇādiśabdāḥ	avataMsa-AdIni karNa-Adi-ABaraNAni-eva-ucyante tatra karNa-Adi-SabdAH
   karṇādisthitipratipattaye /	karNa-Adi-sTiti-pratipattaye /
   yathā asyāḥ karṇāvataṃsena jitaṃ sarvaṃ vibhūṣaṇam /	yaTA asyAH karNa-avataMsena jitam sarvam viBUzaNam /
   tathaiva śobhate 'tyarthamasyāḥ śravaṇakuṇḍalam // 286 //	taTA-eva SoBate atyarTam-asyAH SravaNa-kuNxalam // 286 //
   apūrvamadhurāmodapramoditadiśastataḥ /	apUrva-maDura-Amoda-pramodita-diSaH-tatas /
   āyayurbhṛṅgamukharāḥ śiraḥśekharaśālinaḥ // 287 //	AyayuH-BRFga-muKarAH SiraH-SeKara-SAlinaH // 287 //
   atra karṇaśravaṇaśiraḥśabdāḥ saṃnidhānapratītyarthāḥ //	atra karNa-SravaNa-SiraH-SabdAH saMniDAna-prati-iti-arTAH //
   vidīrṇābhimukhārātikarāle saṃgarāntare /	vidIrNa-aBimuKa-arAti-karAle saMgara-antare /
   dhanurjyākiṇacihvena doṣṇā visphuritaṃ tava // 288 //	DanuH-jyAkiNa-cihvena dozNA visPuritam tava // 288 //
   atra dhanuḥśabda ārūḍhatvāvagataye /	atra DanuH-SabdaH ArUXa-tva-avagataye /
   anyatra tu jyābandhaniṣpandabhujena yasya viniśvasadvattkaparaṃpareṇa /	anyatra tu jyA-banDa-nizpanda-Bujena yasya viniSvasadvat-tka-paraMpareNa /
   kārāgṛhe nirjitavāsavena laṅkeśvareṇoṣitamā prasādāt // 289 //	kArA-gRhe nirjita-vAsavena laFkeSvareNa-uzitamA prasAdAt // 289 //
   ityatra kevalo jyāśabdaḥ /	iti-atra kevalaH jyA-SabdaH /
   prāṇeśvarapariṣvaṅgavibhramapratipattibhiḥ /	prANeSvara-parizvaFga-viBrama-pratipattiBiH /
   muktāhāreṇa lasatā hasatīva stanadvayam // 290 //	muktA-hAreNa lasatA hasati-iva stana-dvayam // 290 //
   atra muktānāmanyaratnāmiśritatvabodhanāya muktāśabdaḥ /	atra muktAnAm-anya-ratna-AmiSrita-tva-boDanAya muktA-SabdaH /
   saundaryasaṃpat tāruṇyaṃ yasyāste te ca vibhramāḥ /	sOndarya-saMpad tAruNyam yasyAH-te te ca viBramAH /
   ṣaṭpadān puṣpamāleva kān nākarṣati sā sakhe // 291 //	zawpadAn puzpa-mAlA-iva kAn na-Akarzati sA saKe // 291 //
   atrotkṛṣṭapuṣpaviṣaye puṣpaśabdaḥ /	atra-utkRzwa-puzpa-vizaye puzpa-SabdaH /
   nirupapado hi mālāśabdaḥ puṣpasrajamevābhidhatte //	nirupapadaH hi mAlA-SabdaH puzpasrajam-eva-aBiDatte //
   (sū- 78)	(sU 78)
   sthiteṣvetatsamarthanam //58//	sTitezu-etat-samarTanam //58//
   na khalu karṇāvataṃsādivajjaghanakāñcītyādi kriyate /	na Kalu karNa-avataMsa-Adi-vat-jaGana-kAQcI-ityAdi kriyate /
   jagāda madhurāṃ vācaṃ viśadākṣaraśālinīm // 292 //	jagAda maDurAm vAcam viSada-akzara-SAlinIm // 292 //
   ityādau kriyāviśeṣaṇatve 'pi vivakṣitārthapratītisiddhau "gatārthasyāpi	ityAdO kriyA-viSezaNa-tve api vivakzita-arTa-pratIti-sidDO "gata-arTasya-api
   viśeṣyasya viśeṣaṇadānārṃtha kvacitprayogaḥ kāryaḥ" iti na yuktam /	viSezyasya viSezaNa-dAna-arMTa kvacid-prayogaH kAryaH" iti na yuktam /
   yuktatve vā caraṇatraparitrāṇarahitābhyāmapi drutam /	yukta-tve vA caraNatra-pari-trANa-rahitAByAm-api drutam /
   pādābhyāṃ dūramadhvānaṃ brajanneṣa na khidyate // 293 //	pAdAByAm dUram-aDvAnam brajan=-eza na Kidyate // 293 //
   ityudāhāryam //	iti-udAhAryam //
   (sū- 79)	(sU 79)
   khyāte 'rthe nirhetoraduṣṭatā	KyAte arTe nirhetoH-aduzwa-tA
   yathā candraṃ gatā pajhaguṇānna bhuhkte pajhāśritā cāndramasīmabhikhyām /	yaTA candram gatA paJa-guNAt-na Buhkte paJa-ASritA cAndramasIm-aBiKyAm /
   umāmukhaṃ tu pratipadya lolā dvisaṃśrayāṃ prītimavāpa lakṣmīḥ // 294 //	umA-muKam tu pratipadya lolA dvi-saMSrayAm prItim-avApa lakzmIH // 294 //
   atra rātrau pajhasya saṃkocaḥ, divā candaramasaśva niṣprabhatvaṃ	atra rAtrO paJasya saMkocaH, divA candaramasaSva nizpraBa-tvam
   lokaprasiddhamiti "na bhuṅkte'; iti hetuṃ nāpekṣate //	loka-prasidDam-iti "na BuFkte-a; iti hetum na-apekzate //
   (sū- 80)	(sU 80)
   (a)nukaraṇe tu sarveṣām /	(a)nukaraNe tu sarvezAm /
   sarveṣāṃ śrutikaṭuprabhṛtīnāṃ doṣāṇām /	sarvezAm Sruti-kawu-praBRtInAm dozANAm /
   yathā mṛgacakṣuṣamadrākṣamityādi kathayatyayam /	yaTA mRga-cakzuzam-adrAkzam-ityAdi kaTayati-ayam /
   paśyaiṣa ca gavityāha sutrāmāṇaṃ yajeti ca // 295 //	paSya-eza ca gaviti-Aha sutrAmANam yaja-iti ca // 295 //
   (sū- 81)	(sU 81)
   vaktrādyaucityavaśāddoṣo 'pi guṇaḥ kvacitkvacinnobhau //59//	vaktra-Adi-Ocitya-vaSAt-dozaH api guNaH kvacid-kvacit-noBO //59//
   vaktṛpratipādyavyaṅgyavācyaprakaraṇādīnāṃ mahimnā doṣo 'pi kvacidguṇaḥ	vaktR-pratipAdya-vyaFgya-vAcya-prakaraNa-AdInAm mahimnA dozaH api kvacid-guNaH
   kvacinna doṣo na guṇaḥ /	kvacid-na dozaH na guNaH /
   tatra vaiyākaraṇādau vaktari pratipādye ca raudrādau ca rase vyaṅgye	tatra vEyAkaraNa-AdO vaktari pratipAdye ca rOdra-AdO ca rase vyaFgye
   kaṣṭatvaṃ guṇaḥ /	kazwa-tvam guNaH /
   krameṇodāharaṇam-- dīdhīṅvevīṅsamaḥ kaśvidguṇavṛddhyorabhājanam /	krameNa-udAharaNam- dIDIFvevIj-samaH kaSvit-guNa-vRdDyoH-aBAjanam /
   kvippratyayanibhaḥ kaśvidyatra saṃnihite na te // 296 //	kvippratyaya-niBaH kaSvidyatra saMnihite na te // 296 //
   yadā tvāmahamadrākṣaṃ padavidyāviśāradam /	yadA tvAm-aham-adrAkzam pada-vidyA-viSAradam /
   upādhyāyaṃ tadāsmārṣaṃ samasprākṣaṃ ca saṃmadam // 297 //	upADyAyam tadA-asmArzam sama-sprAkzam ca saMmadam // 297 //
   antraprotabṛhatkapālanalakakrūrakvaṇatkaṅkaṇa-	antra-prota-bRhat-kapAla-nala-ka-krUra-kvaNat-kaFkaNa-
   prāyaprehkhitabhūribhūṣaṇaravairāghoṣayantyambaram /	prAya-prehKita-BUri-BUzaNa-ravEH-AGozayanti-ambaram /
   pītaccharditaraktakardamaghanaprāgmāraghorollasa-	pIta=-Cardita-rakta-kardama-Gana-prAgmAra-Gora-ullasa-
   dvyālolastanabhārabhairavavapurdarpoddhataṃ dhāvati // 298 //	dvi-Alola-stana-BAra-BErava-vapuH-darpa-udDatam DAvati // 298 //
   vācyavaśādyathā mātaṅgāḥ kimu valgitaiḥ kimaphalairāḍambarairjambukāḥ	vAcya-vaSAt-yaTAH mAtaFgAH kimu valgitEH kim-aPalEH-AxambarEH-jambukAH
   sāraṅgā mahiṣā madaṃ vrajatha kiṃ śūnyeṣu śūrā na ke /	sAraFgAH mahizAH madam vrajaTa kim SUnyezu SUrAH na ke /
   kopāṭopasamudbhaṭotkaṭasaṭākoṭeribhāreḥ puraḥ sindhudhvānini huṅkṛte	kopa-Awopa-samudBawa-utkawa-sawA-koweri-BAreH puras sinDu-DvAnini huFkRte
   sphurati yat tadgarjitaṃ garjitam // 299 //	sPurati yat tad-garjitam garjitam // 299 //
   atra siṃhe vācye paruṣāḥ śabdāḥ //	atra siMhe vAcye paruzAH SabdAH //
   prakaraṇavaśādyathā raktāśoka kṛśodahī kva nu gatā tyaktvānuraktaṃ janaṃ	prakaraNa-vaSAt-yaTA rakta-aSoka kRSa-udahI kva nu gatA tyaktvA-anuraktam janam
   no dṛṣṭeti mudhaiva cālayasi kiṃ vātāvadhūtaṃ śiraḥ /	naH dRzwA-iti muDA-eva cAlayasi kim vAta-avaDUtam SiraH /
   utkaṇṭhāghaṭamānaṣaṭpadaghaṭāsaṃghaṭṭadaṣṭacchada- statpādāhatimantareṇa	utkaNWA-GawamAna-zawpada-GawA-saMGawwa-dazwa=-Cada stad-pAda-Ahatim-antareNa
   bhavataḥ puṣpodghamo 'yaṃ kutaḥ // 300 //	BavataH puzpa-udGamaH ayam kutas // 300 //
   atra śirodhūnanena kupitasya vacasi //	atra SiraH-DUnanena kupitasya vacasi //
   kvacinnīrase na guṇo na doṣaḥ /	kvacid-nI-rase na guNaH na dozaH /
   yathā śīrṇagrāṇāṅgripāṇīn vraṇibhirapaghanairghargharāvyaktaghoṣān	yaTA SIrNa-grANa-aFgri-pANIn vraNiBiH-apaGanEH-GarGara-avyakta-GozAn
   dīrghāghrātānaghaughaiḥ punarapi ghaṭayatyeka ullāghayan yaḥ /	dIrGa-AGrAta-an-aGa-oGEH punar-api Gawayati-ekaH ullAGayan yaH /
   gharmāṃśostasya vo 'ntardviguṇaghanaghṛṇānighnanirvighnavṛtter- dattārghāḥ	GarmAMSoH-tasya vaH antar-dviguNa-Gana-GRNA-niGna-nirviGna-vRtter datta-arGAH
   siddhasaṃgharvidadhatu ghṛṇayaḥ śīghramaṃhovighātam // 301 //	sidDa-saMGarvidaDatu GRNayaH SIGram-aMhaH-viGAtam // 301 //
   aprayuktanihatārthau śleṣādāvaduṣṭau /	aprayukta-nihata-arTO Sleza-AdO=-aduzwO /
   yathā yena dhvastamanobhavena balijitkāyaḥ purā strīkṛto	yaTA yena Dvasta-manoBavena bali-jit-kAyaH purA strI-kRtaH-
   yaśvodvṛttabhujaṅgahāravalayogaṅgāṃ ca yo 'dhārayat /	yaSva-udvRtta-BujaFga-hAra-valayaH-gaFgAm ca yaH aDArayat /
   yasyāhuḥ śaśimacchirohara iti stutyaṃ ca nāmāmārāḥ pāyātsa	yasya-AhuH SaSimat-SiraH-haraH iti stutyam ca nAma-amArAH pAyAt-sa
   svayamandhakakṣayakarastvāṃ sarvadomādhavaḥ // 302 //	svayam-anDaka-kzaya-karaH-tvAm sarva-domADavaH // 302 //
   atra mādhavapakṣe śaśimadandhakakṣayaśabdāvaprayuktanihatārthau /	atra mADava-pakze SaSimad-anDaka-kzaya-SabdO=-aprayukta-nihata-arTO /
   aślīlaṃ kvacidguṇaḥ /	aSlIlam kvacid-guNaH /
   yathā suratārambhagoṣṭyām "vdyarthaiḥ padaiḥ piśunayecca rahasyavastu" iti	yaTA surata-AramBa-ga-uzwyAm "vdi-arTEH padEH piSunayet-ca rahasya-vastu" iti
   kāmaśāstrasthitau karihastena saṃbādhe saṃbādhe praviśyāntarviloḍite /	kAmaSAstra-sTitO kari-hastena saMbADe saMbADe praviSya-antar-viloxite /
   upasarpan dhvajaḥ puṃsaḥ sādhanāntarvirājate // 303 //	upasarpan DvajaH puMsaH sADana-antar-virAjate // 303 //
   śamakathāsu uttānocchūnamaṇḍūkapāṭitodarasaṃnibhe /	Sama-kaTAsu uttAna-ucCUna-maNxUka-pAwita-udara-saMniBe /
   kledini strīvraṇe saktirakṛmeḥ kasya jāyate // 304 //	kledini strI-vraNe saktiH-akRmeH kasya jAyate // 304 //
   nirvāṇavairadahanāḥ praśamādarīṇāṃ nandantu pāṇḍutanayāḥ saha mādhavena /	nirvANa-vEra-dahanAH praSamAt-arINAm nandantu pANxu-tanayAH saha mADavena /
   raktaprasādhitabhuvaḥ kṣatavigrahāśva svasthā bhavantu kururājasutāḥ	rakta-prasADita-BuvaH kzata-vigraha-aSva svasTAH Bavantu kuru-rAja-sutAH
   sabhṛtyāḥ // 305 //	sa-BRtyAH // 305 //
   atra bhāvyamaṅgalasūcakam //	atra BAvya-maFgala-sUcakam //
   saṃdigdhamapi vācyamahimnā kvacinniyatārthapratītikṛcvena	saMdigDam-api vAcya-mahimnA kvacid-niyata-arTa-pratIti-kRcvena
   vyājastutiparyavasāyitve guṇaḥ /	vyAjastuti-paryavasAyi-tve guNaH /
   yathā pṛthukārtasvarapātraṃ bhūṣitaniḥśeṣaparijanaṃ deva /	yaTA pRTuka-Arta-svara-pAtram BUzita-niHSeza-parijanam deva /
   vilasatkareṇugahanaṃ saṃprati samamāvayoḥ sadanam // 306 //	vilasat-kareNu-gahanam saMprati samam-AvayoH sadanam // 306 //
   pratipādyapratipādakayorjñatve satyapratītaṃ guṇaḥ /	pratipAdya-pratipAdakayoH-jQatve satya-pratItam guNaH /
   yathā ātmārāmā vihitaratayo nirvikalpe samādhau	yaTA Atma-ArAmA vihita-ratayaH nirvikalpe samADO
   jñānodrekādvighaṭitatamogranthayaḥ sacvaniṣṭhāḥ /	jQAna-udrekAt-vi-Gawita-tamaH-granTayaH sacvanizWAH /
   yaṃ vīkṣante kamapi tamasāṃ jyotiṣāṃ vā parastā- ttaṃ mohāndhaḥ	yam vIkzante kam-api tamasAm jyotizAm vA parastA ttam moha-anDaH
   kathamayamamuṃ vetti devaṃ purāṇam // 307 //	kaTam-ayam-amum vetti devam purANam // 307 //
   svayaṃ vā parāmarśe /	svayam vA parAmarSe /
   yathā ṣaḍadhikadaśanāḍīcakramadhyasthitātmā hṛdi vinihitarūpaḥ	yaTA zaz-aDika-daSa-nAxI-cakra-maDya-sTita-AtmA hRdi vinihita-rUpaH
   siddhidastadvidāṃ yaḥ /	sidDi-daH-tad-vidAm yaH /
   avicalitamanobhiḥ sādhakairmṛgyamāṇaḥ sa jayati pariṇaddhaḥ śaktibhiḥ	avicalita-manoBiH sADakEH-mRgyamANaH sa jayati pariNadDaH SaktiBiH
   śaktināthaḥ // 308 //	Sakti-nATaH // 308 //
   adhamaprakṛtyuktiṣu grāmyo guṇaḥ /	aDama-prakRti-uktizu grAmyaH guNaH /
   yathā phullukkaraṃ kalamakūraṇihaṃ vahanti je sindhuvāraviḍavā maha	yaTA Pulluk-karam kalama-kUraNiham vahanti je sinDuvAra-vixavA maha
   vallahā de /	valla-hAH de /
   je gālidassa mahisīdahiṇo saricchā de kiṃ ca muddhaviaillapasūṇapuñjā //	je gAlidaH-sa mahi-sIdahiNaH saricCA de kim ca mudDa-viEllapa-sUNa-puQjA //
   atra kalamabhaktamahiṣīdadhiśabdā gramyā api vidūṣakoktau //	atra kalama-Bakta-mahizI-daDi-SabdAH gramyAH api vidUzaka-uktO //
   nyūnapadaṃ kvacidguṇaḥ /	nyUna-padam kvacid-guNaH /
   yathā gāḍhāliṅganavāmanīkṛtakucaprodbhūtaromodgamā	yaTA gAXa-AliFgana-vAmanIkRta-kuca-prodBUta-roma-udgamA
   sāndrasneharasātirekavigalacchrīmannitambāmbarā /	sAndra-sneha-rasa-atireka-vigalat-SrImat-nitamba-ambarA /
   mā mā mānada māti māmalamiti kṣāmākṣarollāpinī suptā kiṃ nu mṛtā nu kiṃ	mA mA mAnada mA-ati mAm-alam-iti kzAma-akzara-ullApinI suptA kim nu mRtA nu kim
   manasi me līnā vilīnā nu kim // 310 //	manasi me lInA vilInA nu kim // 310 //
   kvacinna guṇo na doṣaḥ /	kvacid-na guNaH na dozaH /
   yathā tiṣṭhetkopavaśātprabhāvapihitā dīrghaṃ na sā kupyati svargāyotpatitā	yaTA tizWet-kopa-vaSAt-praBOva-pihitA dIrGam na sA kupyati svargAya-utpatitA
   bhavenmayi punarbhāvārdramasyā manaḥ /	Bavet-mayi punarBAva-Ardram-asyAH manaH /
   tāṃ hartuṃ vibudhadviṣo 'pi na ca me śaktāḥ purovartinīṃ sā	tAm hartum vibuDa-dvizaH api na ca me SaktAH puras-vartinIm sA
   cātyantamagocaraṃ nayanayoryāteti ko 'yaṃ vidhiḥ // 311 //	ca-atyantam-agocaram nayanayoH-yAtA-iti kaH ayam viDiH // 311 //
   atra pihitetyato 'nantaraṃ "naitadyataḥ'; ityetairnyūnaiḥ	atra pihitA-iti-atas anantaram "na-etat-yataH-a; iti-etEH-nyUnEH
   padairviṃśeṣabuddherakaraṇānna guṇaḥ /	padEH-viMSeza-budDeH-akaraNAt-na guNaH /
   uttarā pratipattiḥ pūrvāṃ pratipattiṃ bādhate, iti na doṣaḥ /	uttarA pratipattiH pUrvAm pratipattim bADate, iti na dozaH /
   adhikapadaṃ kvacidguṇaḥ /	aDika-padam kvacid-guNaH /
   yathā yadvañcanāhitamatirbahu cāṭugarbhaṃ kāryonmukhaḥ khalajanaḥ kṛtakaṃ	yaTA yat-vaQcana-Ahita-matiH-bahu cAwu-garBam kArya-unmuKaH Kala-janaH kRtakam
   bravīti /	bravIti /
   tatsādhavo na na vidanti vidanti kiṃtu kartuṃ vṛthā praṇayamasya na	tad-sADavaH na na vidanti vidanti kiMtu kartum vRTA praNayam-asya na
   pārayanti // 312 //	pArayanti // 312 //
   atra "vidanti'; iti dvitīyamanyayogavyavacchedaparam /	atra "vidanti-a; iti dvitIyam-anya-yoga-vyavacCeda-param /
   yathā vā vada vada jitaḥ sa śatrurna hato jalpaṃśva tava tavāsmīti /	yaTA vA vada vada jitaH sa SatruH-na hataH jalpaMSva tava tava-asmi-iti /
   citraṃ citramarodīddhā heti paraṃ mṛte putre // 313 //	citram citramara-udIdDA hA-iti param mRte putre // 313 //
   ityevamādau harṣabhayādiyukte vaktari //	iti-evamAdO harza-Baya-Adi-yukte vaktari //
   kathitapadaṃ kvacidguṇaḥ, lāṭānuprāse, arthāntarasaṃkramitavācye	kaTita-padam kvacid-guNaH, lAwa-anuprAse, arTa-antara-saMkramita-vAcye
   vihitasyānuvādyatve ca /	vihitasya-anuvAdya-tve ca /
   krameṇodāharaṇam-- sitakarakararuciravibhā vibhākarākāra dharaṇidhara	krameNa-udAharaNam- sita-kara-kara-rucira-viBA viBAkara-AkAra DaraNiDara
   kīrtiḥ /	kIrtiH /
   pauruṣakamalā kamalā sāpi tavaivāsti nānyasya // 314 //	pOruza-kamalA kamalA sA-api tava-eva-asti na-anyasya // 314 //
   tālā jāaṃti guṇā jālā de sahiaehiṃ dheppanti /	tAlAH jAaMti guNAH jAlAH de sahiaehim Deppanti /
   raikiraṇāṇuggahiāiṃ honti kamalāiṃ kamalāiṃ // 315 //	rEkiraNa-aNuggahiAim honti kamalAim kamalAim // 315 //
   jitendriyatvaṃ vinayasya kāraṇaṃ guṇaprakarṣo vinayādavāpyate /	jita-indriya-tvam vinayasya kAraNam guNa-prakarzaH vinayAt-avApyate /
   guṇaprakarṣeṇa jano 'nurajyate janānurāgaprabhavā hi saṃpadaḥ // 316 //	guNa-prakarzeNa janaH anurajyate jana-anurAga-praBavAH hi saMpadaH // 316 //
   patatprakarṣamapi kvacidguṇaḥ /	patat-prakarzam-api kvacid-guNaH /
   yathā, udāhṛte prāgaprāptetyādau // 317 //	yaTA, udAhRte prAc-aprApta-ityAdO // 317 //
   samāptapunarāttaṃ kvacinna guṇo na doṣaḥ /	samApta-punarAttam kvacid-na guNaH na dozaH /
   yatra na viśeṣaṇamātradānārthaṃ punargrahaṇam api tu vākyāntarameva	yatra na viSezaNa-mAtra-dAna-arTam punar-grahaNam api tu vAkya-antaram-eva
   kriyate /	kriyate /
   yathā, atraiva prāgaprāptetyādau // 318 //	yaTA, atra-eva prAc-aprApta-ityAdO // 318 //
   apadasthasamāsaṃ kvacidguṇaḥ yathā, udāhṛte raktāśeketyādau // 319 //	apadasTa-samAsam kvacid-guNaH yaTA, udAhRte rakta-ASeka-ityAdO // 319 //
   garbhitaṃ tathaiva /	garBitam taTA-eva /
   yathā humi avahatthiareho ṇiraṃkuso aha vivearahio vi /	yaTA humi avahatTi-arehaH NiraMkusaH aha vivearahiaH vi /
   siviṇe vi tumammi puṇo pattihi bhattiṃ ṇa pasumarāmi // 320 //	siviNe vi tumammi puNaH patti-hi Battim Na pasum-arAmi // 320 //
   atra pratīhīti madhye dṛḍhapratyayotpādanāya /	atra pratIhi-iti maDye dRXa-pratyaya-utpAdanAya /
   evamanyadapi lakṣyāllakṣyam //	evam-anyat-api lakzyAt-lakzyam //
   (sū- 82)	(sU 82)
   vyabhicārirasasthāyibāvānāṃ śabdavācyatā /	vyaBicAri-rasa-sTAyi-bAvAnAm Sabda-vAcya-tA /
   kaṣṭakalpanayā vyattkiranubāvavibhāvayoḥ //60//	kazwa-kalpanayA vyattkiranu-bAva-viBAvayoH //60//
   pratikūlavibhāvādigraho dīptiḥ punaḥ punaḥ /	pratikUla-viBAva-Adi-grahaH dIptiH punar punar /
   akāṇḍe prathanacchedau aṅgasyāpyativistṛtiḥ //61//	akANxe praTana=-CedO aFgasya-api-ati-vistRtiH //61//
   aṅgino 'nanusaṃdhānaṃ prakṛtīnāṃ viparyayaḥ /	aFginaH ananusaMDAnam prakRtInAm viparyayaH /
   anahgasyābhidhānaṃ ca rase doṣāḥ syurīdṛśāḥ //62//	anahgasya-aBiDAnam ca rase dozAH syuH-IdRSAH //62//
   (1) svaśabdopādānaṃ vyabhicāriṇo yathā savrīḍā dayitānane sakaruṇā	(1) sva-Sabda-upAdAnam vyaBicAriNaH yaTA sa-vrIxA dayitA-Anane sa-karuNA
   mātaṅgacarmāmbare satrāsā bhūjage savismayarasā candre 'mṛtasyandini /	mAtaFga-carma-ambare sa-trAsAH BUjage sa-vismaya-rasAH candre amRta-syandini /
   serṣyā jahnusutāvalokanavidhau dīnā kapālodare pārvatyā	sa-IrzyA jahnusuta-avalokana-viDO dInA kapAla-udare pArvatyA
   navasaṃgamapraṇayinī dṛṣṭiḥ śivāyāstu vaḥ // 321 //	nava-saMgama-praNayinI dRzwiH SivAya-aH-tu vaH // 321 //
   atra vrījādīnām /	atra vrIja-AdInAm /
   "vyānamrā dayitānane mukulitā mātaṅgacarmāmbare sotkampā bhujage	"vyAnamrA dayitA-Anane mukulitA mAtaFga-carma-ambare sa-utkampA Bujage
   nimeṣarahitā candre 'mṛtasyandini /	nimeza-rahitA candre amRta-syandini /
   mīladbhrūḥ surasindhudarśanavidhau mlānā kapālodare'; ityādi tu yuktam //	mIlat-BrUH sura-sinDu-darSana-viDO mlAnA kapAla-udare-a; ityAdi tu yuktam //
   (2) rasasya svaśapdena vā vācyatvam /	(2) rasasya sva-Sapdena vA vAcya-tvam /
   krameṇodāharaṇam-- tāmanahgajayamaṅgalaśriyaṃ kiṃciduccabhūjamūlalokitām /	krameNa-udAharaNam- tAm-anahgajaya-maFgala-Sriyam kiMcid-ucca-BUja-mUla-lokitAm /
   netrayoḥ kṛtavato 'sya gocare ko 'pyajāyata raso nirantaraḥ // 322 //	netrayoH kRtavataH asya gocare kaH api-ajAyata rasaH nirantaraH // 322 //
   ālokya komalakapolatalābhiṣiktavyaktānurāgasubhagāmabhirāmamūrtim /	Alokya komala-kapola-tala-aBizikta-vyakta-anurAga-suBagAm-aBirAma-mUrtim /
   paśyaiṣa bālyamatiṣtya vivartamānaḥ śṛhgārasīmani taraṅgitamātanoti // 323	paSya-eza bAlyam-atiztya vivartamAnaH SRhgArasImani taraFgitam-Atanoti // 323
   (3) sthāyino yathā saṃprahāre praharaṇaiḥ prahārāṇā parasaparam	(3) sTAyinaH yaTA saMprahAre praharaNEH prahArANA para-sa-param
   ṭhaṇatkāraiḥ śrutikatairutsāhastasta ko 'pyabhūt // 324 //	WaNatkArEH SrutikatEH-utsAhaH-taH-ta kaH api-aBUt // 324 //
   atrotmāhasya //	atra-utmAhasya //
   (4) karpūradhūlidhavaladyutipūradhautadiṅnaṇḍale śiśirarociṣi tasya yūnaḥ	(4) karpUra-DUli-Davala-dyuti-pUra-DOta-diFnaNxale SiSira-rocizi tasya yUnaH
   līlāśiroṃ'gukaniveśaviśeṣakḷptivyaktasasastanonnatirabhūnnayānapo sā //	lIlA-SiroM-aguka-niveSa-viSeza-k?pti-vyakta-sasa-stana-unnatiH-aBUt-nayAnapaH sA //
