   īśvarasiddhiḥ /	ISvara-sidDiH /
   kandukādipravṛttāvupādānaṃ kandukādi, upakaraṇaṃ daṇḍādi / tatsākṣātkārī	kanduka-Adi-pravRttO=-upAdAnam kanduka-Adi, upakaraNam daNxa-Adi / tad-sAkzAt-kArI
   daṇḍena kandukādi pravartayati / tataśca tatra pravṛttirūtpadyate / evaṃ	daNxena kanduka-Adi pravartayati / tatas-ca tatra pravRttiru-utpadyate / evam
   paramāṇvādipravṛtterjñānādyarthāntarātmapravṛtterapyupādānopakaraṇaparamāṇvādyadṛṣṭādisākṣātkartātra	paramANu-Adi-pravRtteH-jQAna-Adi-arTa-antarAtma-pravRtteH-api-upAdAna-upakaraNa-paramANu-Adya-dRzwa-Adi-sAkzAt-kartA-atra
   sādhyate / na caitatsākṣātkartṛtvaṃ jīvānāmiti na taiḥ siddhasādhanam /	sADyate / na ca-etat-sAkzAt-kartR-tvam jIvAnAm-iti na tEH sidDa-sADanam /
   atīndriyārthānāmapi sākṣātkāraḥ phalito 'trānumāne /	atIndriya-arTAnAm-api sAkzAtkAraH PalitaH atra-anumAne /
   atha sākṣādevātīndriyārthān pakṣīkṛtya pratyakṣaviṣayatvaṃ sādhayati	aTa sAkzAt-eva-atIndriya-arTAn pakzIkRtya pratyakza-vizaya-tvam sADayati
   'pratyakṣam' iti / tat-paramāṇvādi / atīndriyārthasākṣātkartā kaścit	apratyakzam-a iti / tat-paramANu-Adi / atIndriya-arTa-sAkzAtkartA kaScid-
   saṃbhavatītyatraiva tātparyamevaṃvadhānumānapratipādakānāṃ paramācāryāṇām	saMBavati-iti-atra-eva tAtparyam-evaMvaDa-anumAna-pratipAdakAnAm parama-AcAryANAm
   / kṣityādikarturabhimata ekatve prayogamāha 'ekecche' ti /	/ kziti-AdikartuH-aBimataH eka-tve prayogam-Aha aeka-icCe-a ti /
   idamacetanaprapañcajātam, acaitanyātam, acaitanyāt acetanatvāt,	idam-acetana-prapaQca-jAtam, acEtanyAtam, acEtanyAt acetana-tvAt,
   ekecchānuvidhāyi ekacetanasaṅkalpanusāri / atrānvayyudāharaṇaṃ svadehaḥ //	eka-icCA-anuviDAyi eka-cetana-saFkalpa-nusAri / atra-anvayi-udAharaNam sva-dehaH //
   ekenādhiṣṭhitāḥ kāryaṃ-kurvate sravacetanāḥ /	ekena-aDizWitAH kAryaM-kurvate srava-cetanAH /
   dehasambandhasāpekṣakāryakṛttvāt tvagādivat // 17 //	deha-sambanDa-sApekza-kArya-kRt-tvAt tvac-Adi-vat // 17 //
   ekapradhānapuruṣaṃ vivādādhyāsitaṃ jagat /	eka-praDAna-puruzam vivAda-aDyAsitam jagat /
   cetanācetanātmatvādekarājakadeśavat // 18 //	cetana-acetana-Atma-tvAt-eka-rAjaka-deSa-vat // 18 //
   iti	iti
   śrīmadviśiṣṭādvaitasiddhāntapravartanadhurandharaparamācāryaśrībhagavadyāmunamuni	SrImat-viSizwa-advEta-sidDAnta-pravartana-DuranDara-parama-AcArya-SrI-Bagavat-yAmuna-muni
   samanugṛhītesiddhitraye īśvarasiddhiḥ //	samanugRhItesidDi-traye ISvara-sidDiH //
   acetanaprapañcasyeśvarecchānuvidhāyipravṛttitvaṃ prasādhya	acetana-prapaQcasya-ISvara-icCA-anuviDAyi-pravRtti-tvam prasADya
   cetanaprapañcasyāpi tatsādhayati	cetana-prapaQcasya-api tat-sADayati
   'ekene' ti / tvagādivat-tvagādīndriyavat // 17 //	aekene-a ti / tvac-Adi-vat--tvac-Adi-indriya-vat // 17 //
   sarvajagatsvāmitvasarveśvaratvarūpaviśeṣasādhakamanumānamāha 'eke' ti /	sarva-jagat-svAmi-tva-sarva-ISvara-tva-rUpa-viSeza-sADakam-anumAnam-Aha aeke-a ti /
   ekaḥ pradhānapuruṣo yasya tadekapradhānapuruṣam /	ekaH praDAna-puruzaH yasya tad-eka-praDAna-puruzam /
   ekapradhānapuruṣaviśiṣṭamityarthaḥ / puruṣasyaikasya prādhānyaṃ	eka-praDAna-puruza-viSizwam-iti-arTaH / puruzasya-ekasya prADAnyam
   niyantṛtvasvāmitvalakṣaṇam / vaiśiṣṭyaṃ niyāmyatvaśeṣatvādinā // 18 //	niyantR-tva-svAmi-tva-lakzaNam / vESizwyam niyAmya-tu-aSeza-tva-AdinA // 18 //
   (vyā0)niṣprayojanatvātkartṛtvāmīśvarasya na saṃbhavatītyāderapi parāso	(vyA0)-nizprayojana-tvAt-kartR-tvAm-ISvarasya na saMBavati-ityAdeH-api parAso
   'tra vibhāvyaḥ / yathā-jīvarakṣārthameva tāvavadīśvarasya jagadvyāpāraḥ /	atra viBAvyaH / yaTA-jIva-rakzA-arTam-eva tAvavat-ISvarasya jagat-vyApAraH /
   nanu tarhi sukhottarameva jagat sṛjet / maivam / jīvīyakarmāpekṣayā tathā	nanu tarhi suKa-uttaram-eva jagat sRjet / mA-evam / jIvIya-karma-apekzayA taTA
   tathā sarjanāt / nanu karmāpekṣitve 'naivaśvaryaṃ tasya prasajyeta / na /	taTA sarjanAt / nanu karma-apekzi-tve anEvaSvaryam tasya prasajyeta / na /
   aparādhānuguṇadaṇḍadharasyeva rājñaḥ	aparADa-anuguNa-daNxa-Darasya-iva rAjQaH
   tattatkarmaphalaniṣpādakasyeśvarasyāpi aiśvaryātiśayasyaiva prasiddheḥ /	tad-tad-karma-Pala-nizpAdakasya-ISvarasya-api ESvarya-atiSayasya-eva prasidDeH /
   adṛṣṭādīnāmadhiṣṭhātṛtvādi hi tasya mahate vaibhavāya / yathākarma	adRzwa-AdInAm-aDizWAtR-tva-Adi hi tasya mahate vEBavAya / yaTAkarma
   phalapradatvāt svāmitvamapi sarvasya tasmin pratitiṣṭhatyeva /	Pala-prada-tvAt svAmi-tvam-api sarvasya tasmin pratitizWati-eva /
   sarvapradhānatvādṛṣṭādhiṣṭhātṛtvādisādhanapramāṇopanyāsakānāṃ	sarva-praDAna-tva-adRzwa-aDizWAtR-tva-Adi-sADana-pramANa-upanyAsakAnAm
   cācāryacaraṇānāmetaddhārdagra mityunnayāma iti dik //	ca-AcArya-caraNAnAm-etat-hArda-gra miti-unnayAmaH iti diS //
   granthabhāgo 'grimaḥ kvāpi netaḥ samupalabhyate /	granTa-BAgaH agrimaH kvApi na-itas samupalaByate /
   yāvallabdhasya vihitā vyākhyeyaṃ saralā mayā //	yAvat-labDasya vihitA vyAKyeyam saralAH mayA //
   iti śrīnāgapurī (tirunāṅgūra) divyadeśābhijanena	iti SrI-nAgapurI (tiH-unA-aFgUra) divya-deSa-aBijanena
   prativādibhayaṅkarācāryānvayabhūṣaṇavidvadvaryaśrīkṛṣṇamācāryākhyācāryavaryaputraratnena	prativAdi-BayaFkara-AcArya-anvaya-BUzaNa-vidvat-varya-SrI-kRzNam-AcAryAKya-AcArya-varya-putra-ratnena
   catustantrīpārāvārapārīṇadigantaviśrantakīrti-dayāmūrti-śrīmadbhāṣyakāradivyavaṃśāvatarṇaśrībhūtapurūnivāsarasika-vidvatsārvabhauma-	catur-tantrI-pArAvAra-pArINa-diS-anta-viSranta-kIrti-dayA-mUrti--SrImat-BAzya-kAra-divya-vaMSa-avatarNa-SrI-BUta-purUnivAsa-rasika-vidvat-sArvaBOma
   hārīta-śrīmadāsūrirāmānujācāryadeśikendracaraṇakamalavarivasyāsamadhigatapadavākyapramāṇatantrahṛdayena	hArIta--SrImat-A-sUrirAma-anuja-AcArya-deSika-indra-caraNa-kamala-varivasyA-samaDigata-pada-vAkya-pramANa-tantra-hRdayena
   śrīvaiṣṇavadāsena pra.bha.aṇṇaṅgācāryeṇa	SrI-vEzNava-dAsena pra.Ba.aNNaFga-AcAryeNa
   nyāyavyākaraṇaśiromaṇinobhayavedāntaviduṣā	nyAya-vyAkaraNa-SiraH-maNinA-uBaya-vedAnta-viduzA
   praṇītamīśvarasiddhervyākhyānaṃsiddhāñjanaṃ vijayatāntarām /	praNItam-ISvara-sidDeH-vyAKyAnaMsidDAQjanam vijayata-antarAm /
