   Abhidharmasamuccaya	ABiDarma-samuccaya
   yathoktaṃ sūtre / daśānāṃ kuśalānāṃ karmapathānāṃ vipākaphalaṃ	yaTA-uktam sUtre / daSAnAm kuSalAnAm karma-paTAnAm vipAka-Palam
   devamanuṣyamatiṣūpapadyamānānāṃ deveṣu manuṣyeṣu vā vipākaḥ /	deva-manuzya-m-atizu-upapadyamAnAnAm devezu manuzyezu vA vipAkaH /
   niṣyandaphalaṃ tadāyataneṣu pratyekaṃ tadānurūpyeṇa ātmābhāvaparigrahayoḥ	nizyanda-Palam tad-Ayatanezu pratyekam tad-AnurUpyeNa Atma-aBAva-parigrahayoH
   saṃpattirabhinirvarttate / adhipattiphalaṃ tadāyataneṣu pratyekaṃ	saMpattiH-aBinirvarttate / aDipatti-Palam tad-Ayatanezu pratyekam
   tadānurūpyeṇaiva vāhyānāṃ bhāvānāṃ saṃpattirabhinirvarttate /	tad-AnurUpyeNa-eva vAhyAnAm BAvAnAm saMpattiH-aBinirvarttate /
   kuśalānāmakuśalānāṃ ca karmaṇāṃ sugatau durgatau ca vipāko 'bhinirvarttate	kuSalAnAm-akuSalAnAm ca karmaNAm sugatO durgatO ca vipAkaH aBinirvarttate
   / taccākṣepakeṇa karmaṇā paripūrakeṇa ca karmaṇā / ākṣepakaṃ karma katamat	/ tat-ca-AkzepakeNa karmaNA paripUrakeNa ca karmaNA / Akzepakam karma katamat-
   / yena phala vipāko 'bhinirvarttate / paripūrakaṃ karma katamat /	/ yena Pala vipAkaH aBinirvarttate / paripUrakam karma katamat /
   yenopapanna iṣṭāniṣṭaphalaṃ vedayate / yena ekena karmaṇā	yena-upapannaH izwa-anizwa-Palam vedayate / yena ekena karmaNA
   ekamātmabhavanākṣipati vā anekena karmaṇā ekamātmabhāvamākṣipati vā	ekam-Atma-Bavana-Akzipati vA anekena karmaNA ekam-Atma-BAvam-Akzipati vA
   anekena karmaṇā anekamātmabhāvamākṣipati vā // ekaḥ sattvo 'nekena karmaṇā	anekena karmaNA anekam-Atma-BAvam-Akzipati vA // ekaH sattvaH anekena karmaNA
   samanvāgataḥ / tatra vipākaphalavedanāyāḥ kaḥ kramaḥ / kāye yad audārikaṃ	samanvAgataH / tatra vipAka-Pala-vedanAyAH kaH kramaH / kAye yat OdArikam
   pūrvaṃ pacyate cyutikāle pratyupasthitaṃ vā pūrvaṃ bahulīkāratāṃ gataṃ vā	pUrvam pacyate cyuti-kAle pratyupasTitam vA pUrvam bahulIkAra-tAm gatam vA
   atrasamācaritaṃ vā / tadvipākaḥ pūrvaṃ pacyate //	atrasamAcaritam vA / tad-vipAkaH pUrvam pacyate //
   yaduktaṃ sūtre trividhaṃ karma puṇyakarma apuṇya karma āniṃjyakarma ca /	yat-uktam sUtre triviDam karma puNya-karma apuNya karma AniMjya-karma ca /
   puṇyakarma katamat / kāmapratisaṃyuktaṃ kuśalaṃ karma / apuṇyakarma	puNya-karma katamat / kAma-pratisaMyuktam kuSalam karma / apuNya-karma
   katamat / akuśalaṃ karma / āniṃjyakarma katamat / rūpārūpyapratisaṃyuktaṃ	katamat / akuSalam karma / AniMjya-karma katamat / rUpa-ArUpya-pratisaMyuktam
   kuśalaṃ karma // yaduktaṃ sūtre avidyālambanāḥ saṃskārāḥ puṇyāniṃjyā	kuSalam karma // yat-uktam sUtre avidyA-AlambanAH saMskArAH puNya-aniMjyA
   apuṇyāniṃjyāśceti / katame (Abhidh-s 55) puṇyāniṃjyā avidyālambanāḥ	apuNya-aniMjyAH-ca-iti / katame (a-aBiD-H 55) puNya-aniMjyAH avidyA-AlambanAH
   saṃskārā utpadyante / dvividhaḥ saṃmūḍhaḥ / phalavipākasaṃmūḍhaḥ	saMskArAH utpadyante / dviviDaH saMmUXaH / Pala-vipAka-saMmUXaH
   tattvārthasaṃmūḍhaśca / phalavipākasaṃmūḍhasyāpuṇyāḥ saṃskārāḥ /	tattva-arTa-saMmUXaH-ca / Pala-vipAka-saMmUXasya-apuNyAH saMskArAH /
   tattvārthasaṃmūḍhasya puṇyāniṃjyāḥ saṃskārāḥ /	tattva-arTa-saMmUXasya puNya-aniMjyAH saMskArAH /
   prāṇātipātasya karmapathasya lobhadveṣamohaiḥ prayogaḥ / dveṣeṇaiva niṣṭhā	prANa-atipAtasya karma-paTasya loBa-dveza-mohEH prayogaH / dvezeNa-eva nizWA
   / prāṇātipātavat paruṣavāgavyāpādayorapi karmapathayoḥ / adattādānasya	/ prANa-atipAta-vat paruza-vAc-avyApAdayoH-api karma-paTayoH / adatta-AdAnasya
   karmapathasya lobhadveṣamohaiḥ prayogaḥ / lobhenaiva niṣṭhā /	karma-paTasya loBa-dveza-mohEH prayogaH / loBena-eva nizWA /
   adattādānavat kāmamithyācārābhidhyayoḥ karmapathayoḥ / mṛṣāvādasya	adatta-AdAna-vat kAma-miTyA-AcAra-aBiDyayoH karma-paTayoH / mRzAvAdasya
   karmapathasya lobhadveṣamohaiḥ prayogaḥ / trayāṇāmanyatamena niṣṭhā /	karma-paTasya loBa-dveza-mohEH prayogaH / trayANAm-anyatamena nizWA /
   mṛṣāvādavat saṃbhinnapralāpapiśunavācoḥ karmapathayoḥ / mithyādṛṣṭeḥ	mRzAvAda-vat saMBinna-pralApa-piSuna-vAcoH karma-paTayoH / miTyA-dRzweH
   karmapathasya rāgadveṣamohaiḥ prayogaḥ / mohenaiva niṣṭhā /	karma-paTasya rAga-dveza-mohEH prayogaH / mohena-eva nizWA /
   yaduktaṃ sūtre sādhāraṇaṃ karma asādhāraṇaṃ karma valavatkarma durvalaṃ	yat-uktam sUtre sADAraNam karma asADAraNam karma vala-vat-karma durvalam
   karma ca / sādhāraṇaṃ karma katamat / yatkarma bhājanaloke nānāvidhaṃ	karma ca / sADAraNam karma katamat / yat-karma BAjana-loke nAnAviDam
   vikalpaṃ karoti // asādhāraṇaṃ karma katamat / yatkarma sattvaloke	vikalpam karoti // asADAraNam karma katamat / yat-karma sattva-loke
   nānavidhaṃ vikalpaṃ karoti // api ca sattvānāmanyonyādhipateyaṃ karmāpi /	nAnaviDam vikalpam karoti // api ca sattvAnAm-anyonya-ADipatA-iyam karma-api /
   yena karmabalena sattvānāmanyonyādhipatipratyayaḥ proktaḥ /	yena karma-balena sattvAnAm-anyonya-aDipati-pratyayaH proktaH /
   teṣāmanyonyādhipatibalatastadapyucyate sādhāraṇaṃ karma / yataḥ sūtre	tezAm-anyonya-aDipatibalataH-tat-api-ucyate sADAraNam karma / yatas sUtre
   uktam / yathā sattvānāmānyaiḥ sattvaiḥ saha anyonyaṃ darśanādikaṃ	uktam / yaTA sattva-anAmAnyEH sattvEH saha anyonyam darSana-Adikam
   nopabhogo nopalabdhiḥ / balavatkarma katamat / pratipakṣabalavatpugdalasya	na-upaBogaH na-upalabDiH / balavat-karma katamat / pratipakza-balavat-pugdalasya
   saṃcetanīyamakuśalaṃ karma / pratipakṣavalaviskāmbhaṇena	saMcetanIyam-akuSalam karma / pratipakza-vala-viskA-amBaNena
   vedanīyanarakakarmapravṛtteḥ dṛṣṭadharmavedanāyāḥ pariniṣpādanaṃ	vedanIya-naraka-karma-pravRtteH dRzwa-Darma-vedanAyAH parinizpAdanam
   dṛṣṭadharmavedanīyanarakakarmapravṛtteranutpādaḥ / yena tatkarma	dRzwa-Darma-vedanIya-naraka-karma-pravRtteH-anutpAdaH / yena tat-karma
   balavadityucyate / prātipakṣikakarmabalavataḥ sarvaṃ saṃcetanīyaṃ kuśalaṃ	balavat-iti-ucyate / prAtipakzika-karma-balavataH sarvam saMcetanIyam kuSalam
   karma balavadityucyate / tatkarma niśrityoktaṃ bhagavatā mamāryaśrāvakā	karma balavat-iti-ucyate / tat-karma niSritya-uktam BagavatA mama-Arya-SrAvakA
   apramāṇavaipulyakarmaṇi cittaṃ kuśalaṃ paribhāvayanti abhisaṃskṛte	apramANa-vEpulya-karmaNi cittam kuSalam pariBAvayanti aBisaMskRte
   sapramāṇe karmaṇi nākṣipanti nāvasthāpayanti na parihāpayanti tatsaṃkhyāte	sa-pramANe karmaNi na-Akzipanti na-avasTApayanti na parihApayanti tad-saMKyAte
   / yadapi pratipakṣadurbalapugdalasya saṃcetanīyamakuśalaṃ karma tadapi	/ yat-api pratipakza-durbala-pugdalasya saMcetanIyam-akuSalam karma tat-api
   kuśalātkarmaṇo (Abhidh-s 56) balavadityucyate / yat punaḥ saṃcetanīyaṃ	kuSalAt-karmaNaH (a-aBiD-H 56) balavat-iti-ucyate / yat punar saMcetanIyam
   karma niyatavipākamaprahīṇamaparijñātaṃ tad balavat karma ityucyate /	karma niyata-vipAkam-aprahINam-aparijQAtam tat balavat karma iti-ucyate /
   tanmanasi nidhāyoktaṃ sarvaṃ ca kuśalākuśalaṃ karma	tat-manasi niDAya-uktam sarvam ca kuSala-akuSalam karma
   niyatavipākamāryamārgeṇa prahīṇaṃ balavat karma ityucyate / yadapi	niyata-vipAkam-Arya-mArgeNa prahINam balavat karma iti-ucyate / yat-api
   kāmapratisaṃyuktamakuśalaṃ karma yadapi pūrvamabhyastaṃ yadapi padasthaṃ	kAma-pratisaMyuktam-akuSalam karma yat-api pUrvam-aByastam yat-api pada-sTam
   yadapyasādhyamabhisaṃskṛtaṃ karma aparinirvāṇadharmataḥ tadapi prakṛtyā	yat-api-asADyam-aBisaMskRtam karma aparinirvANa-DarmataH tat-api prakRtyA
   balavat karma ityucyate / kṣetrato 'pi cittābhisaṃskārato 'pi balavat	balavat karma iti-ucyate / kzetrataH api citta-aBisaMskArataH api balavat-
   karma veditavyam / punarnavabhirākārairbalavat karma veditavyam / tadyathā	karma veditavyam / punarnavaBiH-AkArEH-balavat karma veditavyam / tat-yaTA
   kṣetrataḥ vastutaḥ svabhāvataḥ āśrayataḥ manasikārataḥ āśayataḥ sahāyataḥ	kzetrataH vastutas svaBAvataH ASrayataH manasikA-rataH ASayataH sahAyataH
   bahulīkārataḥ bāhujanyataśca // tadviparyeṇa durbalaṃ karma //	bahulIkA-rataH bAhu-janyatas-ca // tad-viparyeNa durbalam karma //
   bhagavatoktaṃ ya evaṃ vadedyathāyaṃ puruṣapugdalaḥ karma karotyupacinoti	BagavatA-uktam yaH evam vadet-yaTA-ayam puruza-pugdalaH karma karoti-upacinoti
   tathā tathā vipākaṃ pratisaṃvedayata ityevaṃ sati brahmacaryabhāso na	taTA taTA vipAkam pratisaMvedayate iti-evam sati brahmacarya-BAsaH na
   bhavatyavakāśaśca na prajñāyate samyag duḥkhakṣayāya duḥkhasyāntakriyāyai	Bavati-avakASaH-ca na prajQAyate samyak duHKa-kzayAya duHKasya-anta-kriyAyE
   / yastvevaṃ vadedyathāyaṃ puruṣapugdalo yathāvedanīyaṃ karma	/ yaH-tu-evam vadet-yaTA-ayam puruza-pugdalaH yaTAvedanIyam karma
   karotyupacinoti tathā tathā yathāvedanīyaṃ vipākaṃ pratisaṃvedayata	karoti-upacinoti taTA taTA yaTAvedanIyam vipAkam pratisaMvedayata
   ityevaṃ sati brahmacaryabhāso bhavatyavakāśaśca prajñāyate samyag	iti-evam sati brahmacarya-BAsaH Bavati-avakASaH-ca prajQAyate samyak-
   duḥkhakṣayāya duḥkhasyāntakriyāyai / iti yaduktaṃ sūtre tatra ko	duHKa-kzayAya duHKasya-anta-kriyAyE / iti yat-uktam sUtre tatra kaH-
   'bhisaṃdhiḥ / tatra buddhā manasyevaṃ mithyāvacanaṃ pratiṣeddhuṃ kāmayante	aBisaMDiH / tatra budDAH manasi-evam miTyA-vacanam pratizedDum kAmayante
   / yat sukhasahagatasya karmaṇaḥ sukhasahagata eva vipāko 'bhinirvarttate	/ yat suKa-sahagatasya karmaNaH suKa-sahagataH eva vipAkaH aBinirvarttate
   duḥkhasahagatasya karmaṇo duḥkhasahagata eva vipāko 'bhinirvarttate	duHKa-sahagatasya karmaNaH duHKa-sahagataH eva vipAkaH aBinirvarttate
   aduḥkhāsukhasahagatasya karmaṇastatsahagata eva vipāko 'bhinirvarttate /	aduHKa-asuKa-sahagatasya karmaNaH-tad-sahagataH eva vipAkaH aBinirvarttate /
   ityevamuktam / samyagvacanaṃ tvevamanumanyate / sukhasahagatasya karmaṇaḥ	iti-evam-uktam / samyak-vacanam tu-evam-anumanyate / suKa-sahagatasya karmaNaH
   sukhavedanīyasya sukhavipāko 'nujñāyate duḥkhavedanīyasya duḥkhavipāko	suKa-vedanIyasya suKa-vipAkaH anujQAyate duHKa-vedanIyasya duHKa-vipAkaH-
   'nujñāyate aduḥkhāsukhavedanīyasyāduḥkhāsukhavipāko 'nujñāyate /	anujQAyate aduHKa-asuKa-vedanIyasya-aduHKa-asuKa-vipAkaH anujQAyate /
   duḥkhasahagatasya karmaṇaḥ sukhavedanīyasya sukhavipāko 'nujñāyate	duHKa-sahagatasya karmaNaH suKa-vedanIyasya suKa-vipAkaH anujQAyate
   duḥkhavedanīyasya duḥkhavipāko 'nujñāyate	duHKa-vedanIyasya duHKa-vipAkaH anujQAyate
   aduḥkhāsukhavedanīyasyāduḥkhāsukhavipāko 'nujñāyate /	aduHKa-asuKa-vedanIyasya-aduHKa-asuKa-vipAkaH anujQAyate /
   aduḥkhāsukhasahagatasya karmaṇaḥ sukhavedanīyasya (Abhidh-s 57)	aduHKa-asuKa-sahagatasya karmaNaH suKa-vedanIyasya (a-aBiD-H 57)
   sukhavipāko 'nujñāyate duḥkhavedanīyasya duḥkhavipāko 'nujñāyate	suKa-vipAkaH anujQAyate duHKa-vedanIyasya duHKa-vipAkaH anujQAyate
   aduḥkhāsukhavedanīyasyāduḥkhāsukhavipāko 'nujñāyate / eṣo 'bhisandhiḥ	aduHKa-asuKa-vedanIyasya-aduHKa-asuKa-vipAkaH anujQAyate / ezaH aBisanDiH
   tatra sūtre /	tatra sUtre /
   api khalu karmaprabhedastrividhaḥ / saṃvarakarma asaṃvarakarma	api Kalu karma-praBedaH-triviDaH / saMvara-karma asaMvara-karma
   naivasaṃvaranāsaṃvarakarma ca / saṃvarakarma katamat /	na-eva-saMvaranA-saMvara-karma ca / saMvara-karma katamat /
   prātimokṣasaṃvarasaṃgṛhītaṃ karma dhyānasaṃvarasaṃgṛhītaṃ karma	prAtimokza-saMvara-saMgRhItam karma DyAna-saMvara-saMgRhItam karma
   anāsravasaṃvarasaṃgṛhītaṃ karma ca // prātimokṣasaṃvarasaṃgṛhītaṃ karma	anAsrava-saMvara-saMgRhItam karma ca // prAtimokza-saMvara-saMgRhItam karma
   katamat / sapta saṃghopapannānāṃ saṃvarāḥ / bhikṣusaṃvaraḥ	katamat / sapta saMGa-upapannAnAm saMvarAH / Bikzu-saMvaraH
   bhikṣuṇīsaṃvaraḥ śikṣamāṇavasaṃvaraḥ śrāmaṇerasaṃvaraḥ śrāmaṇerī saṃvaraḥ	BikzuNI-saMvaraH Sikzam-ANavasaMvaraH SrAmaNeH-asaMvaraH SrAmaNerI saMvaraH
   upāsakasaṃvaraḥ upāsikāsaṃvaraḥ upavāsasaṃvaraśca // katamaṃ	upAsaka-saMvaraH upAsikA-saMvaraH upavAsa-saMvaraH-ca // katamam
   pugdalamadhikṛtya pravrajitasaṃvaro vyavasthāpitaḥ /	puc-dalam-aDikRtya pravrajita-saMvaraH vyavasTApitaH /
   duścaritavivekacaritaṃ kāmavivekacaritaṃ pugdalamadhikṛtya / kaṃ	duScarita-viveka-caritam kAma-viveka-caritam puc-dalam-aDikRtya / kam
   pugdalamadhikṛtya upāsakopāsikāsaṃvaro vyavasthāpitaḥ /	puc-dalam-aDikRtya upAsaka-upAsikA-saMvaraH vyavasTApitaH /
   duścaritavivekacaritamadhikṛtya no tu kāmavivekacaritaṃ pugdalam // kaṃ	duScarita-viveka-caritam-aDikRtya no tu kAma-viveka-caritam pugdalam // kam
   pugdalamadhikṛtyopavāsasaṃvaro vyavasthāpitaḥ / naiva	puc-dalam-aDikRtya-upavAsa-saMvaraH vyavasTApitaH / na-eva
   duścaritavivekacaritaṃ na kāmavivekacaritaṃ pugdalamadhikṛtya //	duScarita-viveka-caritam na kAma-viveka-caritam puc-dalam-aDikRtya //
   upāsakānāmekatyānāṃ śikṣāsyānīyānāṃ śikṣasamavāgama ityucyate /	upAsakAnAm-ekatyAnAm SikzA-AsyAnIyAnAm Sikza-samavAgamaH iti-ucyate /
   upāsakasaṃvaro 'samanvāgama ityucyate / uktaḥ samanvāgamaḥ	upAsaka-saMvaraH asamanvAgamaH iti-ucyate / uktaH samanvAgamaH
   śīlavipattirapyucyate / yathā ṣaṇḍapaṇḍakānām / teṣā mupāsakasaṃvaraḥ	SIla-vipattiH-api-ucyate / yaTA zaNxa-paNxakAnAm / tezA mupAsaka-saMvaraH
   pratiṣidhyate na vā / teṣāmupāsakasaṃvaro na pratiṣidhyate / kevalaṃ	pratiziDyate na vA / tezAm-upAsaka-saMvaraH na pratiziDyate / kevalam
   teṣāmupāsakatvaṃ pratiṣidhyate / bhikṣubhikṣuṇīnāmubhayapravrajitānāṃ	tezAm-upAsaka-tvam pratiziDyate / BikzuBi-kzuNInAm-uBaya-pravrajitAnAm
   saṃghasya pakṣasya saṃsevopāsanāyogyatvāt / paṇḍakaḥ punaḥ pañcavidhaḥ /	saMGasya pakzasya saMseva-upAsana-ayogya-tvAt / paNxakaH punar paQcaviDaH /
   jātipaṇḍakaḥ īrṣyāpaṇḍakaḥ pakṣapaṇḍakaḥ āsecanakapaṇḍakaḥ āpatpaṇḍakaśca	jAti-paNxakaH IrzyA-paNxakaH pakza-paNxakaH Asecana-kapaNxakaH Apad-paNxakaH-ca
   dhyānasaṃvarasaṃgṛhitaṃ karma katamat / dauḥśīlyasamutthāpakānāṃ kleśānāṃ	DyAna-saMvara-saMgRhitam karma katamat / dOHSIlya-samutTApakAnAm kleSAnAm
   vījopaghāte sati kāmebhyo vītarāgasya yā viratiḥ /	vIja-upaGAte sati kAmeByaH vIta-rAgasya yA viratiH /
   prathamadhyānavītarāgasya yā viratiḥ / dvitīyadhyanavītarāgasya yā viratiḥ	praTama-DyAna-vIta-rAgasya yA viratiH / dvitIya-Dyana-vIta-rAgasya yA viratiH
   / tṛtīyadhyānavītarāgasya yā viratiḥ / socyate dhyānasaṃvarasaṃgṛhītaṃ	/ tRtIya-DyAna-vIta-rAgasya yA viratiH / sA-ucyate DyAna-saMvara-saMgRhItam
   kāyavākkarma /	kAya-vAkkarma /
   (Abhidh-s 58)	(a-aBiD-H 58)
   anāsravasaṃvarasaṃgṛhītaṃ karma katamat / satyadarśanena	anAsrava-saMvara-saMgRhItam karma katamat / satya-darSanena
   anāsravamanaskārabalena pratilabdhā anāsravā viratiḥ / socyate	anAsrava-manaskAra-balena pratilabDA anAsravA viratiH / sA-ucyate
   anāsravasaṃvarasaṃgṛhītaṃ karma //	anAsrava-saMvara-saMgRhItam karma //
   asaṃvarakarma katamat / abhijanmato vā tatkarmasamādānato vā	asaMvara-karma katamat / aBijanmataH vA tad-karma-samAdAnataH vA
   tatkarmādhyācāraniścayaḥ asaṃvara ityucyate / te punarasaṃvarāḥ katame /	tad-karma-aDyAcAra-niScayaH asaMvaraH iti-ucyate / te punar-asaMvarAH katame /
   aurabhrikāḥ kaukkṛṭikāḥ śaukarikāḥ śākunikāḥ mātsyikāḥ lubdhakāḥ vāgurikāḥ	OraBrikAH kOkkRwikAH SOkarikAH SAkunikAH mAtsyikAH lubDakAH vAgurikAH
   corāḥ ghātakāḥ govaṃdhakāḥ nāgavaṃdhakāḥ māṇḍalikāḥ nāgamaṇḍalikāḥ	corAH GAtakAH go-vaMDakAH nAgavaMDakAH mANxalikAH nAgamaNxalikAH
   kārāgārikāḥ sūcakāḥ upaghātakāḥ prabhṛtayaḥ /	kArAgArikAH sUcakAH upaGAtakAH praBRtayaH /
   naivasaṃvaranāsaṃvara saṃgṛhītaṃ karma katamat /	na-eva-saMvaranA-saMvara saMgRhItam karma katamat /
   naivasaṃvaranāsaṃvaravihāraḥ kuśalākuśalaṃ karma //	na-eva-saMvaranA-saMvara-vihAraH kuSala-akuSalam karma //
   punaḥ karmaprabhedastrividhaḥ / sukhavedanīyaṃ karma duḥkhavedanīyaṃ karma	punar karma-praBedaH-triviDaH / suKa-vedanIyam karma duHKa-vedanIyam karma
   aduḥkhāsukhavedanīyaṃ karma ca // sukhavedanīyaṃ karma katamat /	aduHKa-asuKa-vedanIyam karma ca // suKa-vedanIyam karma katamat /
   kāmāvacarāt tṛtīyadhyānaṃ yāvad yat kuśalaṃ karma // duḥkhavedanīyaṃ karma	kAma-avacarAt tRtIya-DyAnam yAvat yat kuSalam karma // duHKa-vedanIyam karma
   katamat / akuśalaṃ karma // aduḥkhāsukhavedanīyaṃ karma katamat /	katamat / akuSalam karma // aduHKa-asuKa-vedanIyam karma katamat /
   tṛtīyadhyānādūrdhvaṃ yat kuśalaṃ karma /	tRtIya-DyAnAt-UrDvam yat kuSalam karma /
   karmaprabhedaḥ punastrividhaḥ / dṛṣṭadharmavedanīyaṃ karma	karma-praBedaH punar-triviDaH / dRzwa-Darma-vedanIyam karma
   upapadyavedanīyaṃ karma aparaparyāyavedanīyaṃ karma ca //	upapadya-vedanIyam karma apara-paryAya-vedanIyam karma ca //
   dṛṣṭadharmavedanīyaṃ karma katamat / tatkarma dṛṣṭe dharme yasya vipāko	dRzwa-Darma-vedanIyam karma katamat / tat-karma dRzwe Darme yasya vipAkaH-
   vipacyate / tacca maitrīsamāpatteruccalitasyaṃ parihāṇiṃ vṛddhiṃ vā	vipacyate / tat-ca mEtrI-samApatteH-uccalitasyam parihANim vRdDim vA
   kurvataḥ dṛṣṭe dharme vipāko labhyate // yathā maitrīsamāpatteruccalitasya	kurvataH dRzwe Darme vipAkaH laByate // yaTA mEtrI-samApatteH-uccalitasya
   tathā araṇasamāpatteruccalitasya niurodhasamāpatteruccalitasya	taTA araNa-samApatteH-uccalitasya niuroDa-samApatteH-uccalitasya
   strotāpattiphalāduccalitasya arhattvaphalāduccalitasya ca / buddhapramukhe	strotApatti-PalAt-uccalitasya arhat-tva-PalAt-uccalitasya ca / budDa-pramuKe
   saṃghe kuśalamakuśalaṃ ca kurvataḥ dṛṣṭe dharme vipāko labhyate // anyeṣāṃ	saMGe kuSalam-akuSalam ca kurvataH dRzwe Darme vipAkaH laByate // anyezAm
   tīvrāśayaprayogeṇa kuśalākuśalakarmapratipannānāmapi dṛṣṭe dharme vipāko	tIvra-ASaya-prayogeNa kuSala-akuSala-karma-pratipannAnAm-api dRzwe Darme vipAkaH-
   labhyate // upapadyavedanīyaṃ karma katamat / tatkarma anantare janmani	laByate // upapadya-vedanIyam karma katamat / tat-karma anantare janmani
   yasya vipāko vipacyate / (Abhidh-s 59) tadyathā paṃcanāntaryakarmāṇi / api	yasya vipAkaH vipacyate / (a-aBiD-H 59) tat-yaTA paMcana-antarya-karmANi / api
   ca yānyanyāni kuśalākuśalāni karmāṇi yeṣāmanantare janmani vipāko	ca yAni-anyAni kuSala-akuSalAni karmANi yezAm-anantare janmani vipAkaH-
   vipacyate tatsarvamucyate upapadyavedanīyaṃ karma // aparaparyāyavedanīyaṃ	vipacyate tat-sarvam-ucyate upapadya-vedanIyam karma // apara-paryAya-vedanIyam
   karma katamat / tatkarma yasyānantarajanmano 'paraparyāyeṣu vipāko	karma katamat / tat-karma yasya-anantara-janmanaH apara-paryAyezu vipAkaH-
   vipacyate / taducyate 'paraparyāyavedanīyaṃ karma /	vipacyate / tat-ucyate apara-paryAya-vedanIyam karma /
   punaḥ karmaprabhedaścaturvidhaḥ / kṛṣṇaṃ kṛṣṇavipākaṃ karma śuklaṃ	punar karma-praBedaH-caturviDaH / kRzNam kRzNa-vipAkam karma Suklam
   śuklavipākaṃ karma kṛṣṇaśuklaṃ kṛṣṇaśuklavipākaṃ karma akṛṣṇaśuklāvipākaṃ	Sukla-vipAkam karma kRzNa-Suklam kRzNa-Sukla-vipAkam karma akRzNa-Sukla-avipAkam
   vyāmiśraṃ karma // kṛṣṇaṃ kṛṣṇavipākaṃ karma katamat / akuśalaṃ karma //	vyAmiSram karma // kRzNam kRzNa-vipAkam karma katamat / akuSalam karma //
   śuklaṃ śuklavipākaṃ karma katamat / traidhātukaṃ kuśalaṃ karma //	Suklam Sukla-vipAkam karma katamat / trEDAtukam kuSalam karma //
   kṛṣṇaśuklaṃ kṛṣṇaśuklavipākaṃ karma katamat / kāmapratisaṃyuktaṃ karma yat	kRzNa-Suklam kRzNa-Sukla-vipAkam karma katamat / kAma-pratisaMyuktam karma yat-
   karma vā āśayataḥ prayogato vā śuklaṃ yat karma vā prayogataḥ	karma vE ASayataH prayogataH vA Suklam yat karma vA prayogataH
   kṛṣṇamāśayataḥ śuklam // akṛṣṇaśuklāvipākaṃ vyāmiśraṃ karma katamat /	kRzNam-ASayataH Suklam // akRzNa-Sukla-avipAkam vyAmiSram karma katamat /
   prayogānantaryamārge 'nāsravaṃ karma aviśeṣeṇa ca sarvasyānāsravakarmaṇaḥ	prayoga-Anantarya-mArge anAsravam karma aviSezeNa ca sarvasya-anAsrava-karmaNaH
   paripanthamānukūlyasvabhāvamadhikṛtya vaṃkadoṣakaṣāyāṇāṃ śauceyānāṃ	paripanTam-AnukUlya-svaBAvam-aDikRtya vaMka-doza-kazAyANAm SOceyAnAm
   mauneyānāṃ ca karmaṇāṃ yathākramaṃ vyavasthānaṃ veditavyam / tathā ca	mOneyAnAm ca karmaNAm yaTAkramam vyavasTAnam veditavyam / taTA ca
   dānāni śauceyāni karmāṇi / dānakarma katamat / nidānataḥ utthānataḥ	dAnAni SOceyAni karmANi / dAna-karma katamat / nidAnataH utTAnataH
   pradeśataḥ svabhāvataśca dānakarma vikalpyate / nidānam alobho 'dveṣo	pradeSataH svaBAvataH-ca dAna-karma vikalpyate / nidAnam aloBaH advezaH-
   'mohaśca kuśalamūlāni // utthānaṃ tānyeva cetanāsahagatāni // pradeśo	amohaH-ca kuSala-mUlAni // utTAnam tAni-eva cetanA-sahagatAni // pradeSaH-
   deyāni vastūni // svabhāvo dānasaṃpattikāle kāyavāṅmanaskarmāṇi //	deyAni vastUni // svaBAvaH dAna-saMpatti-kAle kAya-vAc-manaskarmANi //
   dānasaṃpat katamā / abhīkṣṇadānataḥ apakṣapātadānataḥ	dAna-saMpad katamA / aBIkzNa-dAnataH apakzapAta-dAnataH
