   1. Vairagyaprakarana	1. VEragya prakarana
   "satyaṃ" bhavati || MoT_3,9.32 ||	"satyaM" Bavati || MoT_3,9.32 ||
   atra dṛṣṭāntaṃ kathayati	atra dRzwAntam kaTayati
        yathā hi hemakaṭake vicāryāpi na dṛśyate /	yaTA hi hema kawake vicArya api na dRSyate /
        kaṭakatvaṃ kvacin nāma ṛte nirmalahāṭakam // Mo_3,9.33 //	kawaka tvam kvacid nAma Rte nirmala hAwakam // MaH _3,9.33 //
   "yathā hī"ti dṛṣṭāntatvadyotakam | asmābhiḥ | "hemakaṭake" suvarṇavalaye |	"yaTA hI"ti dRzwAnta tvadyotakam | asmABiH | "hema kawake" suvarNa valaye |
   "vicāryāpi" vicārayitvāpi | "nirmalahāṭakam ṛte kaṭakatvaṃ nāma kvacit na	"vicArya api" vicArayitvA api | "nirmala hAwakam Rte kawaka tvam nAma kvacid na
   dṛśyate" | yathā kaṭakaṃ hemaiva bhavati tathā jagat brahmaiva bhavatīti	dRSyate" | yaTA kawakam hema eva Bavati taTA jagat brahmA eva Bavati iti
   pūrvaślokadṛṣṭāntatayā yojyam uttaraślokadvayaṃ ca || MoT_3,9.33 ||	pUrva Sloka dRzwAnta tayA yojyam uttaraSloka dvayam ca || MoT_3,9.33 ||
   dvitīyaṃ dṛṣṭāntaṃ kathayati	dvitIyam dRzwAntam kaTayati
        jalād ṛte payovīcau nāhaṃ paśyāmi kiñcana /	jalAt Rte payaH vIcO na aham paSyAmi kiQcana /
        vīcitvaṃ tvādṛśair dṛṣṭaṃ yat {#34} tu nāsty eva tatra hi //	vIci tvam tvAdRSEH dRzwam yat {#34} tu na asti eva tatra hi //
   Mo_3,9.34 //	MaH _3,9.34 //
   "ahaṃ payovīcau" jalataraṅge | "jalād ṛte kiñcana na paśyāmi" payovīcau	"aham payaH vIcO" jala taraFge | "jalAt Rte kiQcana na paSyAmi" payaH vIcO
   "nāsti" || MoT_3,9.34 ||	"nAsti" || MoT_3,9.34 ||
   ***NOTES:	***NOTa ES:
   #34 ya<ṃ>[t]	#34 ya<M>[t]
   tṛtīyaṃ dṛṣṭāntaṃ kathayati	tRtIyam dRzwAntam kaTayati
        spandatvaṃ pavanād anyan na kadācana kutracit /	spanda tvam pavanAt anyat na kadAcana kutracid /
        spanda eva sadā vāyur jagat tasmān na vidyate // Mo_3,9.35 //	spandaH eva sadA vAyuH jagat tasmAt na vidyate // MaH _3,9.35 //
   "kadācana" kutrāpi kāle | "kutracit" kutrāpi {#35} deśe | "spandatvam	"kadAcana" kutra api kAle | "kutra cit" kutra api {#35} deSe | "spanda tvam
   pavanāt anyat na" bhavati | yataḥ "vāyuḥ spanda eva" bhavati | phalitaṃ	pavanAt anyat na" Bavati | yatas "vAyuH spandaH eva" Bavati | Palitam
   kathayati "jagad" iti | yataḥ jagataḥ brahmatve dṛṣṭāntatrayam asti	kaTayati "jagad" iti | yatas jagataH brahma tve dRzwAnta trayam asti
   "tasmāt jagat na vidyate" | ataś ca videhamuktasya sargatāgamanaṃ kathaṃ	"tasmAt jagat na vidyate" | atas ca videha muktasya sarga tA gamanam kaTam
   bhavatīti bhāvaḥ || MoT_3,9.35 ||	Bavati iti BAvaH || MoT_3,9.35 ||
   ***NOTES:	***NOTa ES:
   #35 °trā(di)pi	#35 °tra a(di)pi
   punar api pūrvoktam artham eva sadṛṣṭāntaṃ kathayati	punar api pUrva uktam arTam eva sa dRzwAntam kaTayati
        yathā śūnyatvam ākāśas tāpa eva marau jalam /	yaTA SUnya tvam AkASaH tApaH eva marO jalam /
        teja eva yathāloko brahmaiva trijagat tathā // Mo_3,9.36 //	tejaH eva yaTAlokaH brahma eva trijagat taTA // MaH _3,9.36 //
   spaṣṭam || MoT_3,9.36 ||	spazwam || MoT_3,9.36 ||
   śrīrāmaḥ pṛcchati	SrI rAmaH pRcCati
        atyantābhāvasampattyā jagaddṛśyasya muktatā /	atyanta aBAva sampattyA jagat dRSyasya mukta tA /
        yayodeti mune yuktyā tāṃ mamopadiśottamām // Mo_3,9.37 //	yayaH deti mune yuktyA tAm mama upadiSa uttamAm // MaH _3,9.37 //
   he "mune" | "jagaddṛśyasya" jagadrūpasya dṛśyasya | "yayā yuktyā	he "mune" | "jagat dRSyasya" jagat rUpasya dRSyasya | "yayA yuktyA
   atyantābhāvasampattyā" atyantābhāvasampādanena | "muktatā udeti" | tvam	atyanta aBAva sampattyA" atyanta aBAva sampAdanena | "mukta tA udeti" | tvam
   "mama uttamāṃ" niratiśayām {#36 } | "tām" yuktiṃ | "upadiśa" |	"mama uttamAM" niratiSayAm {#36 } | "tAm" yuktim | "upadiSa" |
   jagadviṣayasyātyantābhāvasya muktatāsādhane kathaṃ sāmarthyam astīty atra	jagat vizayasya atyanta aBAvasya mukta tA sADane kaTam sAmarTyam asti iti atra
   yuktiṃ kathayeti bhāvaḥ || MoT_3,9.37 ||	yuktim kaTaya iti BAvaH || MoT_3,9.37 ||
   ***NOTES:	***NOTa ES:
   #36 nira[ti]śay*ā*[m]	#36 nira[ti] Say*A*[m]
   nanu yuktim eva kiṃ punaḥ punaḥ pṛcchasīty atrottarakathanapūrvaṃ	nanu yuktim eva kim punar punar pRcCasi iti atra uttara kaTana pUrvam
   praśnāntaraṃ karoti	praSna antaram karoti
        mithaḥ sampannayor draṣṭṛdṛśyayor ekasaṅkṣaye /	miTas sampannayoH drazwR dRSyayoH eka saFkzaye /
        dvayābhāve sthitiṃ yāte nirvāṇam avaśiṣyate // Mo_3,9.38 //	dvaya aBAve sTitim yAte nirvANam avaSizyate // MaH _3,9.38 //
        dṛśyasya jagatas tasmād atyantānudbhavo yathā /	dRSyasya jagataH tasmAt atyantAn udBavaH yaTA /
        brahma cetthaṃ svabhāvasthaṃ budhyate vada me tathā // Mo_3,9.39 //	brahma ca itTam svaBAva sTam buDyate vada me taTA // MaH _3,9.39 //
   uktanītyā "mithaḥ sampannayoḥ" yataḥ tvayaivaitad uktam iti śeṣaḥ | yataḥ	ukta nItyAH "miTaH sampannayoH" yatas tvayA eva etat uktam iti SezaH | yatas 
   tvayā eva uktaṃ "mithaḥ sampannayoḥ" uktanītyā mithaḥ siddhayoḥ |	tvayA eva uktam "miTaH sampannayoH" ukta nItyAH miTas sidDayoH |
   "draṣṭṛdṛśyayoḥ" madhye | "ekasaṅkṣaye" sati | tataḥ "dvayābhāve sthitiṃ	"drazwR dRSyayoH" maDye | "eka saFkzaye" sati | tatas "dvaya aBAve sTitim
   yāte" sati | "nirvāṇaṃ" kaivalyam | "avaśiṣyate" | "tasmāt" tataḥ kāraṇāt	yAte" sati | "nirvANaM" kEvalyam | "avaSizyate" | "tasmAt" tatas kAraNAt 
   | "dṛśyasya jagataḥ" dṛśyasvarūpasya jagataḥ | "atyantānudbhavaḥ"	| "dRSyasya jagataH" dRSya svarUpasya jagataH | "atyantAn udBavaH"
   atyantābhāvasvarūpā atyantānutpattiḥ | "yathā" yayā yuktyā | "budhyate"	atyanta aBAva svarUpAH atyanta anutpattiH | "yaTA" yayA yuktyA | "buDyate"
   jñāyate | "tathā brahma" jagadbhāvena bṛṃhitaṃ śuddhacittattvaṃ | "itthaṃ"	jQAyate | "taTA brahma" jagat BAvena bRMhitam SudDa cit tattvam | "itTaM"
   jagadrūpeṇa | "svabhāvasthaṃ" svarūpasthaṃ | "yathā budhyate" | tvaṃ	jagat rUpeNa | "svaBAva sTaM" svarUpa sTam | "yaTA buDyate" | tvam
   "tathā ca me vada" kathaya || MoT_3,9.38 39 ||	"taTA ca me vada" kaTaya || MoT_3,9.38 39 ||
   rasāveśenonmattavat punar api dṛśyātyantābhāvasiddhiyuktiṃ brahmaṇaḥ	rasa AveSena unmatta vat punar api dRSya atyanta aBAva sidDi yuktim brahmaNaH
   itthaṃsvabhāvāvasthitiyuktiṃ ca pṛcchati	itTaMsvaBAva avasTiti yuktim ca pRcCati
        kayaitaj jñāyate yuktyā katham etat prasidhyati | /	kaya etat jQAyate yuktyA kaTam etat prasiDyati | /
        etasmiṃs tu mune siddhe na sādhyam avaśiṣyate // Mo_3,9.40 //	etasmin tu mune sidDe na sADyam avaSizyate // MaH _3,9.40 //
   "etat" ayaṃ dṛśyātyantābhāvaḥ idam brahmaṇaḥ itthaṃsvabhāvāvasthānaṃ ca |	"etat" ayam dRSya atyanta aBAvaH idam brahmaNaH itTaMsvaBAva avasTAnam ca |
   nanu kimartham atra punaḥ punaḥ praśnān karoṣīty | atrāha "etasmin" iti |	nanu kimarTam atra punar punar praSnAn karozi iti | atra Aha "etasmin" iti |
   he "mune" | "etasmin siddhe" sati | "sādhyam" sādhanīyaṃ | "nāvaśiṣyate"	he "mune" | "etasmin sidDe" sati | "sADyam" sADanIyam | "na avaSizyate"
   avaśiṣṭaṃ na bhavati | muktimātrasyaivākāṅkṣitatvāt tasya cānenaiva	avaSizwam na Bavati | mukti mAtrasya eva AkAFkzita tvAt tasya ca anena eva
   siddhatvāt || MoT_3,9.40 ||	sidDa tvAt || MoT_3,9.40 ||
   śrīvasiṣṭhaḥ uttaraṃ kathayati	SrI vasizWaH uttaram kaTayati
        bahukālam iyaṃ rūḍhā mithyājñānaviṣūcikā | /	bahu kAlam iyam rUXA miTyAjQAna vizUcikA | /
        nūnaṃ vicāramantreṇa nirmūlam upaśāmyati // Mo_3,9.41 //	nUnam vicAra mantreNa nirmUlam upaSAmyati // MaH _3,9.41 //
   "nūnaṃ" niścaye | "iyaṃ mithyājñānaviṣūcikā" śuddhacinmātre dṛśyam idam	"nUnaM" niScaye | "iyam miTyA jQAna vizUcikA" SudDa cit mAtre dRSyam idam
   ity evaṃrūpo jñānaviśeṣaḥ | "rūḍhā" manasi satyatvena bhātā | yuktaṃ ca	iti evaMrUpaH jQAna viSezaH | "rUXA" manasi satya tvena BAtA | yuktam ca
   "mantreṇa" viṣūcikāyāḥ upaśamanam | "vicāraś" cātra kiṃrūpam idaṃ dṛśyam	"mantreNa" vizUcikAyAH upaSamanam | "vicAra S" ca atra kiMrUpam idam dRSyam
   ity evaṃrūpo jñeyaḥ || MoT_3,9.41 ||	iti evaMrUpaH jQeyaH || MoT_3,9.41 ||
   nanv asmin samaye mayā kṛta eva leśato vicāraḥ | tat katham idaṃ dṛśyaṃ na	nanu asmin samaye mayA kRtaH eva leSataH vicAraH | tat kaTam idam dRSyam na
   śāntam ity | atrāha	SAntam iti | atra Aha
        na śakyate jhagity eva samucchedayituṃ kṣaṇāt /	na Sakyate Jagiti eva samucCedayitum kzaNAt /
        samaprayatane hy adrau samārohāvarohaṇe // Mo_3,9.42 //	sama prayatane hi adrO samAroha avarohaNe // MaH _3,9.42 //
   "samucchedayituṃ" nāśayitum | uttarārdhenaitat samarthayati "same"ti |	"samucCedayituM" nASayitum | uttara arDena etat samarTayati "same"ti |
   yathā kaścit parvatāgram ārūḍhaḥ tataś cāvataritum icchan "na jhagity	yaTA kaScid parvata agram ArUXaH tatas ca avataritum icCan "na Jagiti 
   evā"vatarituṃ śaknoti | tathā cirarūḍhā dṛśyasatyatāpratītiḥ "na jhagiti"	eva a"vataritum Saknoti | taTA cirarUXA dRSya satya tA pratItiH "na Jagiti"
   dūrīkartuṃ "śakyate" iti bahukālaṃ vicāraḥ kartavya iti bhāvaḥ	dUrIkartum "Sakyate" iti bahu kAlam vicAraH kartavyaH iti BAvaH
   || MoT_3,9.42 ||	|| MoT_3,9.42 ||
   yuktikathanaṃ phalitatvena pratijānīte	yukti kaTanam Palita tvena pratijAnIte
        tasmād abhyāsayogena yuktyā nyāyopapattibhiḥ /	tasmAt aByAsa yogena yuktyA nyAya upapattiBiH /
        jagadbhrāntir yathā śāmyet tathedaṃ kathyate śṛṇu // Mo_3,9.43 //	jagat BrAntiH yaTA SAmyet taTA idam kaTyate SRNu // MaH _3,9.43 //
   "tasmāt" tato hetoḥ | "abhyāsayogena" vicārābhyāsayuktyā {#37} | tathā	"tasmAt" tatas hetoH | "aByAsa yogena" vicAra aByAsa yuktyA {#37} | taTA
   "yuktyā" svabuddhikṛtayā yuktyā | tathā "nyāyopapattibhiḥ"	"yuktyA" sva budDi kRtayA yuktyA | taTA "nyAya upapattiBiH"
   nyāyaśāstreṣūktābhiḥ yuktibhiḥ | "jagadbhrāntiḥ" dṛśyasvarūpajagadbhramaḥ	nyAya SAstrezu uktABiH yuktiBiH | "jagat BrAntiH" dRSya svarUpa jagat BramaH
   | "yathā" yena prakāreṇa | "śāmyet" | "tathā" tena prakāreṇa | "idam"	| "yaTA" yena prakAreNa | "SAmyet" | "taTA" tena prakAreNa | "idam "
   vakṣyamāṇaṃ vāgjālaṃ | mayā "kathyate" | tvaṃ tat "śṛṇu" śravaṇaviṣayaṃ	vakzyamANam vAc jAlam | mayA "kaTyate" | tvam tat "SRNu" SravaNa vizayam
   kuru || MoT_3,9.43 ||	kuru || MoT_3,9.43 ||
   ***NOTES:	***NOTa ES:
   #37 °cār<o>[ā]bhyā°	#37 °cAr<aH >[A]ByA°
   nanu tacchravaṇena mama kiṃ setsyatīty | atrāha	nanu tad SravaNena mama kim setsyati iti | atra Aha
        vadāmy ākhyāyikāṃ rāma yām imāṃ bodhasiddhaye /	vadAmi AKyAyikAm rAma yAm imAm boDa sidDaye /
        tāṃ cec chṛṇoṣi tat sādho mukta evāsi buddhimān // Mo_3,9.44 // {#38}	tAm ced SRNozi tat sADo muktaH eva asi budDimAn // MaH _3,9.44 // {#38}
   spaṣṭam || MoT_3,9.44 ||	spazwam || MoT_3,9.44 ||
   ***NOTES:	***NOTa ES:
   samanantarakṛtāṃ pratijñāṃ sampādayan prakaraṇārambhe pratijñātaṃ	samanantara kRtAm pratijQAm sampAdayan prakaraNa AramBe pratijQAtam
   savistarakathanaṃ prastauti	sa vistara kaTanam prastOti
        athotpattiprakaraṇaṃ mayedaṃ tava kathyate | /	aTa utpatti prakaraNam mayA idam tava kaTyate | /
        yaḥ kilotpadyate rāma tena muktena bhūyate // Mo_3,9.45 //	yaH kila utpadyate rAma tena muktena BUyate // MaH _3,9.45 //
   "atha"śabdaḥ ānantaryārthaḥ saṅkṣepakathanānantaratāṃ dyotayati |	"aTa" SabdaH Anantarya arTaH saFkzepa kaTana anantara tAm dyotayati |
   kimartham utpattiprakaraṇam eva prathamaṃ kathyate ity | atrāha "yaḥ	kimarTam utpatti prakaraNam eva praTamam kaTyate iti | atra Aha "yaH
   kile"ti {#39} | ataḥ muktikathane pravṛttair asmābhiḥ	kile"ti {#39} | atas mukti kaTane pravRttEH asmABiH
   utpattiprakaraṇakathanam eva kāryam | anyathā nirādhārāyāḥ mukteḥ kathanam	utpatti prakaraNa kaTanam eva kAryam | anyaTA nirADArAyAH mukteH kaTanam
   ayuktaṃ syād iti bhāvaḥ || MoT_3,9.45 ||	ayuktam syAt iti BAvaH || MoT_3,9.45 ||
   ***NOTES:	***NOTa ES:
   #39 °l(o)e(tpidyate rāma)[ti]	#39 °l(aH )e(t pidyate rAma )[ti]
   vistareṇa kathayiṣyamāṇe 'sminn utpattiprakaraṇe tvaṃ kiṃ kathayasīty |	vistareNa kaTayizyamANe asmin utpatti prakaraNe tvam kim kaTayasi iti |
   atrāha	atra Aha
        iyam itthaṃ jagadbhrāntir bhāty ajātaiva khātmikā /	iyam itTam jagat BrAntiH BAti ajAtA eva Ka AtmikA /
        ity utpattiprakaraṇe kathyate 'smin mayādhunā // Mo_3,9.46 //	iti utpatti prakaraNe kaTyate asmin mayA aDunA // MaH _3,9.46 //
   "iyam" puraḥsphuraṇaśīlā | "jagadbhrāntiḥ" jagadākāraḥ bhramaḥ | "itthaṃ"	"iyam" puras sPuraNa SIlA | "jagat BrAntiH" jagat AkAraH BramaH | "itTaM"
   anayā yuktyā | "ajātā eva" anutpannā eva | ataḥ "khātmikā" ākāśasvarūpā	anayA yuktyA | "ajAtAH eva" anutpannAH eva | atas "Ka AtmikA" AkASa svarUpA
   satī | "bhāti" sphurati | "iti" etat | "mayā adhunā" "asmin	satI | "BAti" sPurati | "iti" etat | "mayA aDunA" "asmin
   utpattiprakaraṇe kathyate" || MoT_3,9.46 ||	utpatti prakaraNe kaTyate" || MoT_3,9.46 ||
   utpattiprakaraṇam eva kathayiṣyan	utpatti prakaraNam eva kaTayizyan
   sthūṇānikhanananyāyenotpattimūlakāraṇabhūtaśuddhacinmātraprakaṭanārtham	sTUNA niKanana nyAyena utpatti mUla kAraNa BUta SudDa cit mAtra prakawana arTam
   ādau tadāvarakaprapañcalayaṃ tāvat kathayati	AdO tadAvaraka prapaQca layam tAvat kaTayati
        yad idaṃ dṛśyate kiñcij jagat sthāvarajaṅgamam | /	yat idam dRSyate kiQcid jagat sTAvara jaFgamam | /
        sarvaṃ sarvaprakārāḍhyaṃ {#40} sasurāsurakiṃnaram // Mo_3,9.47 //	sarvam sarva prakAra AXyam {#40} sa sura asura kiMnaram // MaH _3,9.47 //
        tan mahāpralaye prāpte rudrādipariṇāmini /	tat mahApralaye prApte rudra Adi pariNAmini /
        bhavaty asad adṛśyaṃ ca kvāpi yāti vinaśyati // Mo_3,9.48 // {#41}	Bavati asat adRSyam ca kvApi yAti vinaSyati // MaH _3,9.48 // {#41}
   {#42} "kiñcit" anirvācyasvarūpam | "sarvaprakārāḍhyaṃ"	{#42} "kiQcit" anirvAcya svarUpam | "sarva prakAra AXyaM"
   samastabhāvābhāvādiprakārayuktaṃ | "mahāpralaye" turyākhye avasthāviśeṣe	samasta BAva aBAva Adi prakAra yuktam | "mahApralaye" turya AKye avasTA viSeze
   mahākalpāntasamaye ca | "rudrādipariṇāmini" rudrādilayayukte | rudro 'tra	mahA kalpa anta samaye ca | "rudra Adi pariNAmini" rudra Adi laya yukte | rudraH atra
   ahaṅkāraḥ saṃhārādhikārī śrīmahādevo jñeyaḥ | "ādi"śabdena buddhyādeḥ	ahaFkAraH saMhAra aDikArI SrI mahAdevaH jQeyaH | "Adi" Sabdena budDi AdeH
   sṛṣṭisthityadhikāriṇaḥ {#43} viṣṇvādeś ca grahaṇam | "adṛśyam"	sRzwi sTiti aDikAriNaH {#43} vizNu AdeH ca grahaNam | "adRSyam"
   bāhyendriyāgocaram | nanu katham "adṛśyaṃ ca" "bhavatī"ty | atrāha	bAhya indriya agocaram | nanu kaTam "adRSyam ca" "BavatI"ti | atra Aha
   "kvāpī"ti | "kvāpi yāti" anirvācye kasmin cittattve ekatāṃ yāti | anyatayā	"kvApi i"ti | "kvApi yAti" anirvAcye kasmin cit tattve eka tAm yAti | anyatayA
   sphuratīti yāvat | ata eva "vinaśyati" adarśanaṃ gacchati | na hi	sPurati iti yAvat | atas eva "vinaSyati" adarSanam gacCati | na hi
   bhāsamānasya sarvathā vināśo yuktaḥ | śuktikārajatasyāpi sarvathā	BAsamAnasya sarvaTA vinASaH yuktaH | SuktikAra jatasya api sarvaTA
   vināśaprasaṅgāt | na hi śuktikārajataṃ sarvathā vinaśyati | kiṃ tu	vinASa prasaFgAt | na hi SuktikAra jatam sarvaTA vinaSyati | kim tu
   śuktibhāvena sphurati || MoT_3,9.47 48 ||	Sukti BAvena sPurati || MoT_3,9.47 48 ||
   ***NOTES:	***NOTa ES:
   #40 °rā(bhyāṃ)*ḍhyaṃ*	#40 °rA(ByAM)*XyaM*
   #41 ta*n mahā° ... 47||*	#41 ta*t mahA° ... 47||*
   #42 (d iti) kiñ°	#42 (t iti) kiQ°
   #43 °ty<ā>[a]dhi°	#43 °ti <A>[a]Di°
   nanu bhāsamānasyaitasya jagataḥ nāśe kiṃ śiṣyate | bhāsamānasya	nanu BAsamAnasya etasya jagataH nASe kim Sizyate | BAsamAnasya
   śuktikārajatasya nāśe hi śuktikā śiṣyate ity | atrāha	SuktikA rajatasya nASe hi SuktikA Sizyate iti | atra Aha
        tataḥ stimitagambhīraṃ na tejo na tamas tatam /	tatas stimita gamBIram na tejaH na tamaH tatam /
        anākhyam anabhivyaktaṃ sat kiñcid avaśiṣyate // Mo_3,9.49 // {#44}	anAKyam anaBivyaktam sat kiQcid avaSizyate // MaH _3,9.49 // {#44}
   "tataḥ" dṛśyanāśānantaram | "kiñcit" arthāt dṛśyavināśasākṣisvarūpaṃ kim	"tataH" dRSya nASa anantaram | "kiQcit" arTAt dRSya vinASa sAkzi svarUpam kim
   api {#45} anirvācyaṃ vastu | "śiṣyate" śiṣṭaṃ bhavati | anyathā	api {#45} anirvAcyam vastu | "Sizyate" Sizwam Bavati | anyaTA
   bhāsamānasya iyataḥ jagataḥ kutrāvasthānaṃ syān | na hi bhāsamānasya	BAsamAnasya iyataH jagataH kutra avasTAnam syAt | na hi BAsamAnasya
   vināśo ghaṭasvarūpanāśavat yuktaḥ | śuktikārajatanāśavad anyarūpatayā	vinASaH Gawa svarUpa nASa vat yuktaH | SuktikA ra jata nASa vat anya rUpa tayA
   sphuraṇamātrarūpatvāt | anyarūpatayā sphuraṇaṃ prādhānyaṃ {#46} vinā	sPuraNa mAtra rUpa tvAt | anya rUpa tayA sPuraNam prADAnyam {#46} vinA
   nopapadyata iti | "kiñcit" kathambhūtam | "stimitagambhīram" | "stimitam"	na upapadyate iti | "kiQcit" kaTamBUtam | "stimita gamBIram" | "stimitam"
   cetyaunmukhyākhyaspandarahitam | "gambhīram"	ca iti OnmuKya AKya spanda rahitam | "gamBIram"
   svaviṣayāvagāhitrabhāvenāvagāhanakriyāviṣayatvābhāvena ca avagāhitum	sva vizaya avagAhitra BAvena avagAhana kriyA vizaya tva aBAvena ca avagAhitum
   aśakyam | tādṛśaṃ ca tat tādṛśaṃ ceti | punaḥ kathambhūtaṃ | "na tejaḥ"	aSakyam | tAdRSam ca tat tAdRSam ca iti | punar kaTamBUtam | "na tejaH"
   śuddhacinmātrarūpatvena jīvādisvarūpalaukikacetanavyatiriktam ity arthaḥ |	SudDa cit mAtra rUpa tvena jIva Adi svarUpa lOkika cetana vyatiriktam iti arTaH |
   tathā "na tamaḥ" jaḍapadārthavyatiriktam ity arthaḥ | atha vā	taTA "na tamaH" jaxa padArTa vyatiriktam iti arTaH | aTa vA
   cinmātrarūpatvena cetyasvarūpabāhyatejastamovyatiriktam iti jñeyam | punaḥ	cit mAtra rUpa tvena ca iti asvarUpa bAhya tejaH tamovyatiriktam iti jQeyam | punar 
   kathambhūtam | sarvatrānusyūtam {#47} | punaḥ kathambhūtam | "anākhyam"	kaTamBUtam | sarvatra anusyUtam {#47} | punar kaTamBUtam | "ana AKyam"
   ākhyākartṛtvenāvasthānāt {#48} ākhyāviṣayatvābhāvāc cākhyātum aśakyam ity	AKyA kartR tvena avasTAnAt {#48} AKyA vizaya tva aBAvAt ca AKyAtum aSakyam iti 
   arthaḥ | punaḥ kathambhūtaṃ | "anabhivyaktam" bāhyāntaḥkaraṇāgocaratvena	arTaH | punar kaTamBUtam | "anaBi vyaktam" bAhya antaHkaraNa agocara tvena
   aprakaṭasvarūpam | kṛtaś ca pūrvam eṣāṃ viśeṣaṇānāṃ hetuhetumadbhāvena	aprakawa svarUpam | kRtaH ca pUrvam ezAm viSezaNAnAm hetu hetum at BAvena
   śṛṅkhalābandha iti na punar āyastam || MoT_3,9.49 ||	SRFKalA banDaH iti na punar Ayastam || MoT_3,9.49 ||
   ***NOTES:	***NOTa ES:
   #45 (i)api	#45 (i)api
   #46 [prā]dhā°	#46 [prA]DA°
   #47 sarv(ejaḥ)atrā°	#47 sarv(ejaH )atrA°
   #48 ākhyā[kar]tṛ°	#48 AKyA[kar]tR°
   avaśiṣṭatayā proktaṃ vastu punar api vistareṇa viśinaṣṭi	avaSizwa tayA proktam vastu punar api vistareNa viSinazwi
        na śūnyaṃ nāpi cākāśaṃ na dṛśyaṃ na ca darśanam /	na SUnyam na api ca AkASam na dRSyam na ca darSanam /
        na ca bhūtapadārthaugho yad anantatayā sthitam // Mo_3,9.50 //	na ca BUta padArTa oGaH yat ananta tayA sTitam // MaH _3,9.50 //
   "anantatayā" anantabhāvena | "sthitaṃ yat" vastu | "śūnyaṃ na" bhavati |	"ananta tayA" ananta BAvena | "sTitam yat" vastu | "SUnyam na" Bavati |
   tattve hi jagadadhiṣṭhānatvam ayuktaṃ syāt | na hi {#49} śūnyaṃ kasyāpi	tattve hi jagat aDizWAna tvam ayuktam syAt | na hi {#49} SUnyam kasya api
   adhiṣṭhānaṃ dṛṣṭam | tatra bhāsamānasya picchikādeḥ {#50}	aDizWAnam dRzwam | tatra BAsamAnasya picCikA AdeH {#50}
   nāyanaraśmyadhiṣṭhānatvāt | tathā "yat" vastu | "ākāśaṃ na" bhavati |	na ayana raSmi aDizWAna tvAt | taTA "yat" vastu | "a AkASam na" Bavati |
   proktanyāyena śūnyavyatiriktatvāt | ākāśasya ca śūnyaikamayatvāt | "yat	prokta nyAyena SUnya vyatirikta tvAt | AkASasya ca SUnya eka maya tvAt | "yat 
   dṛśyaṃ na" bhavati | kevaladraṣṭṛsvarūpatvāt | "yat" vastu | "darśanam na"	dRSyam na" Bavati | kevala drazwR svarUpa tvAt | "yat" vastu | "darSanam na"
   bhavati | draṣṭṛdṛśyānapekṣasiddhikatvāt | "yat bhūtapadārthaughaḥ na"	Bavati | drazwR dRSya anapekza sidDika tvAt | "yat BUta padArTa oGaH na"
   bhavati | tattve hi jaḍaṃ syāt || MoT_3,9.50 ||	Bavati | tattve hi jaxam syAt || MoT_3,9.50 ||
   ***NOTES:	***NOTa ES:
   #49 n<ā>[a] h[i]	#49 n<A>[a] h[i]
   #50 pi<ṃ>[c]chi°	#50 pi<M>[c]Ci°
        kim apy avyapadeśātma {#51} pūrṇāt pūrṇatarākṛti {#52} /	kim api avyapadeSa Atma {#51} pUrNAt pUrNatara AkRti {#52} /
