   1. Gaurava Vilasa	1. GOrava  Vilasa
   tad utthayā nivedyaṃ tat siced amṛta dhārayā // Hbhv_8.100 //	tad  utTayA nivedyam tat sicet amRta DArayA // HBu _8.100 //
   jalena mūla japtena prokṣya tac cāmṛtātmakam |	jalena mUla japtena prokzya tat ca amRta Atmakam |
   sarvaṃ vicintya saṃspṛśya mūlaṃ vārāṣṭakaṃ japet // Hbhv_8.101 //	sarvam vicintya saMspRSya mUlam vAra azwakam japet // HBu _8.101 //
   amṛtī kṛtya tad dhenu mudrayā salilādibhiḥ |	amRtI kRtya tat Denu mudrayA salila AdiBiH |
   tac ca kṛṣṇaṃ ca sampūjya gṛhitvā kusumāñjalim // Hbhv_8.102 //	tat ca kRzNam ca sampUjya gRhitvA kusuma aQjalim // HBu _8.102 //
   śrī kṛṣṇaṃ prārthya tad vaktrāt tejo dhyātvā vinirgatam |	SrI  kRzNam prArTya tad  vaktrAt tejaH DyAtvA vinirgatam |
   saṃyojya ca nivedyaitat patraṃ vāmena saṃspṛśan // Hbhv_8.103 //	saMyojya ca nivedya etat patram vAmena saMspRSan // HBu _8.103 //
   dakṣeṇa pāṇinādāya gandha puṣpānvitaṃ jalam |	dakzeNa pANinA AdAya ganDa  puzpa anvitam jalam |
   svāhāntaṃ mūlam uccārya taj jalaṃ visṛjed bhuvi // Hbhv_8.104 //	svAhA antam mUlam uccArya taj jalam visRjet Buvi // HBu _8.104 //
   tat pāṇibhyāṃ samutthāya nivedyaṃ tulasī yutam |	tat pANiByAm samutTAya nivedyam tulasI  yutam |
   patrāḍhyaṃ tasya mantreṇa bhaktyā bhāgavate'rpayet // Hbhv_8.105 //	patra AXyam tasya mantreNa BaktyA BAgavate arpayet // HBu _8.105 //
   nivedana mantraś cayaṃ 	nivedana mantraH cayaM 
   nivedayami bhavate jusanedaṃ havir hare // Hbhv_8.106 //	nivedayami Bavate jusana idam haviH hare // HBu _8.106 //
   iti |	iti |
   amṛtopastaranam asi svāhety uccārayan hareḥ |	amRta upastaranam asi svAhA iti uccArayan hareH |
   dattvātha vidhivad vāri gaṇḍūṣaṃ vāma pāṇinā |	dattvA aTa viDivat vAri  gaNxUzam vAma pANinA |
   darśayed grāsa mudrāṃ tu praphullotpala sannibham // Hbhv_8.107 //	darSayet grAsa mudrAm tu praPulla utpala  sanniBam // HBu _8.107 //
   prāṇādi mudrā hastena dakṣiṇena tu darśayet |	prANa Adi  mudrA  hastena dakziNena tu darSayet |
   mantraiś caturthī svāhāntais tārādyais tat tad āhvayaiḥ // Hbhv_8.108 //	mantrEH caturTI  svAhA antEH tAra AdyEH tat tad  AhvayEH // HBu _8.108 //
   tataḥ spṛśamś ca karayor aṅguṣṭhābhyām anāmike |	tatas spRSamH ca karayoH aFguzWAByAm anAmike |
   pradarśayen nivedyasya mudrāṃ tasya manuṃ japan // Hbhv_8.109 //	pradarSayet nivedyasya mudrAm tasya manum japan // HBu _8.109 //
   mantraś cāyaṃ krama dīpikāyām [4.62]   	mantraH ca ayam krama dIpikAyAm [4.62]   
   nandajo 'mbumanu bindu yuṅ natiḥ	nanda jaH ambum anu  bindu yuj natiH
   pārśva rā marud avātmane ni ca |	pArSva rA  marut  ava Atmane ni ca |
   ruddha ṅe yuta nivedyam ātma bhūr	rudDa Fe yuta  nivedyam Atma BUH 
   māsa pārśvam anilas tathā'mi yuk // Hbhv_8.110 //	mAsa pArSvam anilaH taTA ami  yuj // HBu _8.110 //
   nivedyasya manutvena svābhīṣṭaṃ manum eva te |	nivedyasya manu tvena sva aBIzwam manum eva te |
   ekāntino japantas tu grāsa mudrāṃ vitanvate // Hbhv_8.111 //	ekAntinaH japantaH tu grAsa mudrAm vitanvate // HBu _8.111 //
   na ca dhyāyante te kṛṣṇa vaktrāt tejo vinirgamam |	na ca DyAyante te kRzNa vaktrAt tejo  vinirgamam |
   mañjula vyavahāreṇa bhojayanti hariṃ mudā // Hbhv_8.112 //	maQjula  vyavahAreNa Bojayanti harim mudA // HBu _8.112 //
   anyatra ca 	anyatra ca 
   śālī bhaktaṃ su bhaktaṃ śiśira kara sitaṃ pāyasaṃ pūpa sūpam	SAlI Baktam su Baktam SiSira kara sitam pAyasam pUpa sUpam
   lehyaṃ peyaṃ su cūṣyaṃ sitam amṛta phalaṃ ghārikādyaṃ sukhādyam |	lehyam peyam su cUzyam sitam amRta Palam GArikA Adyam suKa Adyam |
   ājyaṃ prājyaṃ samijyaṃ nayana ruci karaṃ vājikaila marīca 	Ajyam prAjyam samijyam nayana ruci karam vAjika ela marIca 
   svādiyaḥ śākarāji parikaram amṛtāhāra joṣaṃ juṣasva // Hbhv_8.113 //	svAdiyaH SAka rAji  parikaram amRta AhAra  jozam juzasva // HBu _8.113 //
   kiṃ ca garuḍa purāṇe 	kim ca garuxa purANe 
   naivedyaṃ parayā bhaktyā ghaṇṭādyair jaya nisvanaiḥ |	nEvedyam parayA BaktyA GaNwA AdyEH jaya  nisvanEH |
   nīrājanaiś ca haraye dadyād dīpāsanaṃ budhaḥ // Hbhv_8.114 //	nIrAjanEH ca haraye dadyAt dIpAsanam buDaH // HBu _8.114 //
   atha naivedya patrāṇi	aTa nEvedya  patrANi
   skānde śrī brahma nārada saṃvāde 	skAnde SrI  brahma  nAra da  saMvAde 
   naivedya pātraṃ vakṣyāmi keśavasya mahātmanaḥ |	nEvedya  pAtram vakzyAmi keSavasya mahAtmanaH |
   hairaṇyaṃ rajataṃ tāmraṃ kaṃsyaṃ mṛn mayam eva ca |	hEraNyam rajatam tAmram kaMsyam mRn  mayam eva ca |
   palāśaṃ padma patraṃ ca pātraṃ viṣṇor ati priyam // Hbhv_8.115 //	palASam padma  patram ca pAtram vizNoH ati priyam // HBu _8.115 //
   viṣṇu dharmottare 	vizNu  Darma uttare 
   patrāṇāṃ tu pradānena narakaṃ ca na gacchati // Hbhv_8.116 //	patrANAm tu pradAnena narakam ca na gacCati // HBu _8.116 //
   patra parimanaṃ	patra  parimanam
   devī purāṇe 	devI purANe 
   ṣaṭ triṃśad aṅgulaṃ pātram uttamaṃ parikīrtitam |	zaw triMSat  aFgulam pAtram uttamam parikIrtitam |
   madhyamaṃ ca tribhāgonaṃ kanyasaṃ dvādaśāṅgulam |	maDyamam ca tri BAga Unam kanyasam dvAdaSa aFgulam |
   vasv aṅgula vihīnaṃ tu na pātraṃ kārayet kvacit // Hbhv_8.117 //	vasu  aFgula  vihInam tu na pAtram kArayet kvacid // HBu _8.117 //
   atha bhojyani	aTa Bojyani
   ekādaśa skande (11.27.34) 	ekAdaSa  skande (11.27.34) 
   guḍa pāyasa sarpīṃṣi saṣkulyāpūpa modakān |	guxa  pAyasa  sarpIMzi sazkulyA apUpa modakAn |
   saṃyāva dadhi sūpāmś ca naivedyaṃ sati kalpayet // Hbhv_8.118 //	saMyAva daDi sUpAmH ca nEvedyam sati kalpayet // HBu _8.118 //
   kiṃ ca (11.11.41) 	kim ca (11.11.41) 
   yad yad iṣṭatamaṃ loke yac cāti priyam ātmanaḥ |	yat yat izwatamam loke yat ca ati priyam AtmanaH |
   tat tan nivedayen mahyaṃ tad ānantyāya kalpate // Hbhv_8.119 //	tat tat nivedayet mahyam tat AnantyAya kalpate // HBu _8.119 //
   aṣṭama skānde  (8.16.52) 	azwama skAnde (8.16.52) 
   naivedyaṃ cādhi guṇavad dadyāt puruṣa tuṣṭi dam // Hbhv_8.120 //	nEvedyam ca aDi guNavat dadyAt puruza tuzwi dam // HBu _8.120 //
   baudhāyana smṛtau ca 	bODAyana  smRtO ca 
   nānā vidhānna pānaiś ca bhakṣanādyair manoharaiḥ |	nAnA viDAn na  pAnEH ca Bakzana AdyEH manoharEH |
   naivedyaṃ kalpayed viṣṇos tad abhāve ca pāyasaṃ	nEvedyam kalpayet vizNoH tad  aBAve ca pAyasam
   kevalaṃ ghṛta saṃyuktaṃ // Hbhv_8.121 //	kevalam GRta  saMyuktam // HBu _8.121 //
   vāmana purāṇe   	vAmana purANe   
   haviṣā saṃskṛtā ye ca yava godhūma śalayaḥ |	havizA saMskRtAH ye ca yava  goDUma SalayaH |
   tila mudgādayo māṣā vrīhayaś ca priyā hareḥ // Hbhv_8.122 //	tila  mudga AdayaH mAzAH vrIhayaH ca priyA hareH // HBu _8.122 //
   gāruḍe 	gAruxe 
   annaṃ catur vidhaṃ puṇyam guṇāḍhyaṃ cāmṛtopamam |	annam catur viDam puNyam guNa AXyam ca amRta upamam |
   niṣpaṇṇaṃ sva gṛhe yad vā śraddhayā kalpayed dhareḥ // Hbhv_8.123 //	nizpaNNam sva  gRhe yat vA SradDayA kalpayet DareH // HBu _8.123 //
   bhaviṣye 	Bavizye 
   puṣpaṃ dhūpaṃ tathā dīpaṃ naivedyaṃ su manoharam |	puzpam DUpam taTA dIpam nEvedyam su manoharam |
   khaṇḍa laḍḍuka śrī vesta kāsārāśoka vartikāḥ // Hbhv_8.124 //	KaNxa  laxxuka  SrI  veH ta ka AsAra aSoka vartikAH // HBu _8.124 //
   svastikollasika dugdha tila veṣṭa kilāṭikāḥ |	svastika ullasika  dugDa tila vezwa  kilAwikAH |
   phalāni caiva pakvāni nāgaraṅgādikāni ca // Hbhv_8.125 //	PalAni ca eva pakvAni nAgaraFga AdikAni ca // HBu _8.125 //
   anyāni vidhinā dattvā bhakṣyāṇi vividhāni ca |	anyAni viDinA dattvA BakzyANi viviDAni ca |
   evam ādini dāpayed bhaktito nrpa // Hbhv_8.126 //	evam Adini dApayet BaktitaH nrpa // HBu _8.126 //
   vārāhe 	vArAhe 
   yas tu bhāgavato devi annād yena tu prīṇayet |	yaH tu BAgavataH devi annAt yena tu prINayet |
   prīṇitas tiṣṭhate'sau vā bahu janmāni mādhavi // Hbhv_8.127 //	prINitaH tizWate asO vA bahu  janmAni mADavi // HBu _8.127 //
   sarva vrīhi mayaṃ gṛhyam śubhaṃ sarva rasānvitam |	sarva vrIhi mayam gRhyam SuBam sarva rasa anvitam |
   mantreṇa me pradīyeta na kiṃcid api saṃspṛśet // Hbhv_8.128 //	mantreNa me pradIyeta na kiMcid api saMspRSet // HBu _8.128 //
   iṅgudi phala bilvāni badarāmalakāni ca |	iFgudi Pala  bilvAni badara AmalakAni ca |
   kharjurāmś cāsanāmś caiva mānavāmś ca parūṣakān // Hbhv_8.129 //	KarjurAmH ca AsanAmH ca eva mAnavAmH ca parUzakAn // HBu _8.129 //
   śāloḍḍambarikāmś caiva tathā plakṣa phalāni ca |	SAloxxambarikAmH ca eva taTA plakza  PalAni ca |
   paippalaṃ kaṇṭakīyaṃ ca tumburuṃ ca priyaṅgukam // Hbhv_8.130 //	pEppalam kaNwakIyam ca tumburum ca priyaFgukam // HBu _8.130 //
   marīcaṃ śiṃśa pākaṃ ca bhallātakara mardakam |	marIcam SiMSa pAkam ca BallAta kara  mardakam |
   drākṣāṃ ca dāḍimaṃ caiva piṇḍa kharjūram eva ca // Hbhv_8.131 //	drAkzAm ca dAximam ca eva piNxa KarjUram eva ca // HBu _8.131 //
   sauvīraṃ kelikaṃ caiva tathā śubha phalāni ca |	sOvIram kelikam ca eva taTA SuBa  PalAni ca |
   piṇḍāraka phalaṃ caiva punnāga phalam eva ca // Hbhv_8.132 //	piNxAraka Palam ca eva punnAga  Palam eva ca // HBu _8.132 //
   śamīṃ caiva kavīraṃ ca kharjūraka mahāphalam |	SamIm ca eva kavIram ca KarjUra ka mahA Palam |
   kumudasya phalaṃ caiva vaheḍaka phalaṃ tathā // Hbhv_8.133 //	kumudasya Palam ca eva vahexaka Palam taTA // HBu _8.133 //
   ajaṃ karkoṭakaṃ caiva tathā tala phalāni ca |	ajam karkowakam ca eva taTA tala  PalAni ca |
   kadambaḥ kaumudaṃ caiva dvi vidhaṃ sthala kañjayoḥ // Hbhv_8.134 //	kadambaH kOmudam ca eva dvi viDam sTala  kaQjayoH // HBu _8.134 //
   piṇḍikaṇḍeti vikhyātaṃ vaṃśa nīpaṃ tataḥ param |	piNxikaNxA iti viKyAtam vaMSa nIpam tatas param |
   madhu kaṇḍeti vikhyātaṃ māhiṣaṃ kaṇḍam eva ca // Hbhv_8.135 //	maDu kaNxA iti viKyAtam mAhizam kaNxam eva ca // HBu _8.135 //
   kara mardaka kandaṃ ca tathā nilotpalasya ca |	kara mardaka kandam ca taTA nilotpalasya ca |
   mṛṇālaṃ pauṣkaraṃ caiva śālūkasya phalaṃ tathā // Hbhv_8.136 //	mRNAlam pOzkaram ca eva SAlUkasya Palam taTA // HBu _8.136 //
   ete cānye ca bahavaḥ kāṇḍa mūla phalāni ca |	ete ca anye ca bahavaH kANxa mUla  PalAni ca |
   etāni copayojyāni ye mayā parikalpitāḥ // Hbhv_8.137 //	etAni ca upayojyAni ye mayA parikalpitAH // HBu _8.137 //
   mūlakasya tataḥ śākam ciñca śākaṃ tathaiva ca |	mUlakasya tatas SAkam ciQca SAkam taTA eva ca |
   śākaṃ caiva kalāyasya sarṣapasya tathaiva ca // Hbhv_8.138 //	SAkam ca eva kalAyasya sarzapasya taTA eva ca // HBu _8.138 //
   vaṃsakasya tu śākaṃ ca śākam eva kalambikam |	vaMsakasya tu SAkam ca SAkam eva kalambikam |
   ārdrakasya ca śākaṃ vai pālaṅkaṃ śākam eva ca // Hbhv_8.139 //	Ardrakasya ca SAkam vE pAlaFkam SAkam eva ca // HBu _8.139 //
   ambiloḍaka śākaṃ ca kāśaṃ kaumārakaṃ tathā |	ambi loxaka SAkam ca kASam kOmArakam taTA |
   śuka maṇḍala patraṃ ca dvāv eva taru vānakau // Hbhv_8.140 //	Suka  maNxala patram ca dvO eva taru  vAnakO // HBu _8.140 //
   carasya caiva śākaṃ ca madhu koḍḍumbaraṃ tathā |	carasya ca eva SAkam ca maDu ka uxxumbaram taTA |
   ete cānye ca bahavah śataśo 'tha sahasraśaḥ |	ete ca anye ca bahavah SataSas aTa sahasraSas |
   karmaṇyāś caiva sarve vai ye mayā parikīrtitāḥ // Hbhv_8.141 //	karmaNyAH ca eva sarve vE ye mayA parikIrtitAH // HBu _8.141 //
   vrīhīṇāṃ ca pravakṣyāmi upayogāmś ca mādhavi |	vrIhINAm ca pravakzyAmi upayogAmH ca mADavi |
   eka cittaṃ samādhāya tat sarvaṃ śṛṇu sundari // Hbhv_8.142 //	eka cittam samADAya tat sarvam SRNu sundari // HBu _8.142 //
   dharmādhārmika raktaṃ ca su gandhaṃ rakta śālikam |	Darma aDArmika  raktam ca su ganDam rakta SAlikam |
   dīrghaśūkaṃ mahāśāliṃ vara kuṅkuma patrakam // Hbhv_8.143 //	dIrGaSUkam mahA SAlim vara kuFkuma  patrakam // HBu _8.143 //
   grāma śāliṃ samadrāśām sa śrīśāṃ kuśa śālikām |	grAma  SAlim sa madrA ASAm sa SrISAm kuSa SAlikAm |
   yavāś ca dvi vidhā jñeyāḥ karmaṇyā mama sundari // Hbhv_8.144 //	yavAH ca dvi viDAH jQeyAH karmaNyA mama sundari // HBu _8.144 //
   karmaṇyāś caiva mudgāś ca tilāḥ kṛṣṇāḥ kulatthakāḥ |	karmaNyAH ca eva mudgAH ca tilAH kRzNAH kulatTakAH |
   godhūmakaṃ mahā mudga mudgāṣṭakam avāṭa jit // Hbhv_8.145 //	goDUmakam mahA mudga  mudga azwakam avAwa jit // HBu _8.145 //
   karmaṇy etāni coktāni vyajanāni priyānvitān |	karmaNi etAni ca uktAni vyajanAni priya anvitAn |
   pratigṛhṇāmy ahaṃ hy etān sarvān bhāgavatān priyān // Hbhv_8.146 //	pratigRhNAmi aham hi etAn sarvAn BAgavatAn priyAn // HBu _8.146 //
   kiṃ ca  	kim ca  
   ye mayaivopayojyāni gavyaṃ dadhi payo ghṛtam // Hbhv_8.147 //	ye mayA eva upayojyAni gavyam daDi payaH GRtam // HBu _8.147 //
   skānde ca brahma nārada saṃvāde 	skAnde ca brahma nArada  saMvAde 
   haviḥ śalyodanaṃ divyam ājya yuktaṃ sa śarkaram |	haviH Salyodanam divyam Ajya  yuktam sa Sarkaram |
   naivedyaṃ deva devāya yāvakaṃ pāyasaṃ tathā // Hbhv_8.148 //	nEvedyam deva devAya yAvakam pAyasam taTA // HBu _8.148 //
   naivedyānām abhāve tu phalāni vinivedayet |	nEvedyAnAm aBAve tu PalAni vinivedayet |
   phalānām apy abhāve tu tṛṇa gulmauṣadhīr api // Hbhv_8.149 //	PalAnAm api aBAve tu tRNa  gulma ozaDIH api // HBu _8.149 //
   auṣadhīnām alābhe tu toyaṃ ca vinivedayet |	OzaDInAm alABe tu toyam ca vinivedayet |
   tad alābhe tu sarvatra mānasaṃ pravaraṃ smṛtam // Hbhv_8.150 //	tad  alABe tu sarvatra mAnasam pravaram smRtam // HBu _8.150 //
   skānde mahendraṃ prati śrī nārada vacanaṃ 	skAnde mahA indram prati SrI nArada vacanaM 
   yacchanti tulasī śākaṃ śrutaṃ ye mādhavāgrataḥ |	yacCanti tulasI  SAkam Srutam ye mADava agratas |
   kalpāntaṃ viṣṇu loke tu vasanti pitṛbhiḥ saha // Hbhv_8.151 //	kalpa antam vizNu  loke tu vasanti pitRBiH saha // HBu _8.151 //
   atha naivedya niṣiddhāni	aTa nEvedya  nizidDAni
   hārita smṛtau 	hArita  smRtO 
   nābhakṣyaṃ naivedyārthe bhakṣyesv apy ajā mahiṣī kṣīraṃ pañca nakhā	na aBakzyam nEvedya arTe Bakzyesu api ajA  mahizI  kzIram paQca naKA
   matsyāś ca // Hbhv_8.152 //	matsyAH ca // HBu _8.152 //
   dvārakā māhātmye 	dvArakA  mAhAtmye 
   nīlī kṣetraṃ vāpayanti mūlakaṃ bhakṣayanti ye |	nIlI  kzetram vApayanti mUlakam Bakzayanti ye |
   naivāsti narakottārah kalpa koṭi śatair api // Hbhv_8.153 //	na eva asti naraka uttArah kalpa  kowi  SatEH api // HBu _8.153 //
   vārāhe 	vArAhe 
   māhiṣaṃ cāvikaṃ cājam ayajñīyam udāhṛtam // Hbhv_8.154 //	mAhizam ca Avikam ca Ajam ayajQIyam udAhRtam // HBu _8.154 //
   kiṃ ca 	kim ca 
   māhiṣaṃ varjayen mahyaṃ kṣīraṃ dadhi ghṛtaṃ yadi // Hbhv_8.155 //	mAhizam varjayet mahyam kzIram daDi GRtam yadi // HBu _8.155 //
   viṣṇu dharmottare tṛtīya khaṇḍe 	vizNu  Darma uttare tRtIya   KaNxe 
   abhakṣyaṃ capy ahṛdyaṃ ca naivedyaṃ na nivedayet |	aBakzyam capi ahRdyam ca nEvedyam na nivedayet |
   keśa kīṭāvapannaṃ ca tathā cāvihitaṃ ca yat // Hbhv_8.156 //	keSa  kIwa avapannam ca taTA ca avihitam ca yat // HBu _8.156 //
   mūṣikā lāṅgulopetam avadhūtam avakṣutam |	mUzikA a la aFgula upetam avaDUtam avakzutam |
   uḍḍumbaraṃ kapitthaṃ ca tathā danta śaṭhaṃ ca yat |	uxxumbaram kapitTam ca taTA danta SaWam ca yat |
   evam ādīni devāya na deyāni kadācana // Hbhv_8.157 //	evam AdIni devAya na deyAni kadAcana // HBu _8.157 //
   athābhakṣyāṇi	aTa aBakzyANi
   kaurme 	kOrme 
   vṛntākaṃ jālikā śākaṃ kusumbhāśmantakaṃ tathā |	vRntAkam jAlikA SAkam kusumBa aSmantakam taTA |
   palāṇḍuṃ laśunaṃ śuklam niryāsaṃ caiva varjayet // Hbhv_8.158 //	palANxum laSunam Suklam niryAsam ca eva varjayet // HBu _8.158 //
   gṛñjanaṃ kiṃśukaṃ caiva kukuṇḍaṃ ca tathaiva ca |	gRQjanam kiMSukam ca eva kukuNxam ca taTA eva ca |
   uḍumbaram alābuṃ ca jagdhvā patati vai dvijaḥ // Hbhv_8.159 //	uxumbaram alAbum ca jagDvA patati vE dvijaH // HBu _8.159 //
   vaiṣṇave 	vEzNave 
   bhuñjītoddhṛta sārāṇi na kadācin nareśvara // Hbhv_8.160 //	BuQjIta udDRta  sArANi na kadAcid nareSvara // HBu _8.160 //
   skānde 	skAnde 
   na bhakṣayati vṛntākaṃ tasya dūrataro hariḥ // Hbhv_8.161 //	na Bakzayati vRntAkam tasya dUrataraH hariH // HBu _8.161 //
   kiṃ cānyatra 	kim ca anyatra 
   dorbhyāṃ pādbhyāṃ ca jānubhyām urasā śirasā dṛśā |	dorByAm pAdByAm ca jAnuByAm urasA SirasA dRSA |
   manasā vacasā ceti praṇāmo 'ṣṭāṅga īritaḥ // Hbhv_8. 162 //	manasA vacasA ca iti praNAmaH azwa aFgaH IritaH // HBu _8. 162 //
   jānubhyām caiva bāhubhyāṃ śirasā vacasā dhiyā |	jAnuByAm ca eva bAhuByAm SirasA vacasA DiyA |
   pañcāṅgakaḥ praṇāmaḥ syāt pūjāsu pravarāv imau // Hbhv_8. 163 //	paQcAFgakaH praNAmaH syAt pUjAsu pravarO imO // HBu _8. 163 //
   ata evoktaṃ yāmale 	atas eva uktam yAmale 
   yatra madyaṃ tathā māṃsam tathā vṛntāka mūlake |	yatra madyam taTA mAMsam taTA vRntAka mUlake |
   nivedayen naiva tatra harer aikāntikī ratiḥ // Hbhv_8.164 //	nivedayet na eva tatra hareH EkAntikI ratiH // HBu _8.164 //
   atha naivedyarpana māhātmyaṃ	aTa nEvedyarpana  mAhAtmyam
   skānde 	skAnde 
   naivedyāni manojñāni kṛṣṇasyāgre nivedayet |	nEvedyAni manojQAni kRzNasya agre nivedayet |
   kalpāntaṃ tat pitṝṇaṃ tu tṛptir bhavati śāśvatī // Hbhv_8.165 //	kalpa antam tat  pitLNam tu tRptiH Bavati SASvatI // HBu _8.165 //
   phalāni yacchate yo vai suhṛdyāni nareśvara |	PalAni yacCate yaH vE suhRdyAni nareSvara |
   kalpāntaṃ jāyate tasya sa phalaṃ ca manorathaḥ // Hbhv_8.166 //	kalpa antam jAyate tasya sa Palam ca manoraTaH // HBu _8.166 //
   nārasiṃhe 	nArasiMhe 
   haviḥ śālyodanaṃ diyyam ājya yuktaṃ sa śarkaram |	haviH SAlyodanam diyyam Ajya  yuktam sa Sarkaram |
   nivedya narasiṃhāya yāvakaṃ pāyasaṃ tathā // Hbhv_8.167 //	nivedya narasiMhAya yAvakam pAyasam taTA // HBu _8.167 //
   samās taṇḍula śaṅkhyāyā yāvatyas tāvatīr nṛpa |	samAH taNxula  SaFKyAyAH yAvatyaH tAvatIH nRpa |
   viṣṇu loke mahā bhogan bhuñjānas te sa vaiṣṇavāḥ // Hbhv_8.168 //	vizNu  loke mahA Bogan BuQjAnaH te sa vEzNavAH // HBu _8.168 //
   viṣṇu dharmottare 	vizNu  Darma uttare 
   anna das tṛptim āpnoti svarga lokaṃ ca gacchati |	anna daH tRptim Apnoti svarga  lokam ca gacCati |
   dattvā ca saṃvibhāgāya tathaivānnam atandritaḥ |	dattvA ca saMviBAgAya taTA eva annam atandritaH |
   trailokya tarpite puṇyaṃ tat kṣanāt samavāpnuyāt // Hbhv_8.169 //	trElokya  tarpite puNyam tad  kzanAt samavApnuyAt // HBu _8.169 //
   akṣayyam anna pānaṃ ca pitṛbhyaś copatiṣṭhate |	akzayyam anna pAnam ca pitRByaH ca upatizWate |
   odanaṃ vyajanopetam dattvā svargam avāpnuyāt // Hbhv_8.170 //	odanam vyajana upetam dattvA svargam avApnuyAt // HBu _8.170 //
   paramānnaṃ tathā dattvā tṛptim āpnoti śaśvatim |	paramAnnam taTA dattvA tRptim Apnoti SaSvatim |
   viṣṇu lokam avāpnoti kulam uddharate tathā // Hbhv_8.171 //	vizNu  lokam avApnoti kulam udDarate taTA // HBu _8.171 //
   ghṛtaudana pradānena dīrgham āyur avāpnuyāt |	GRta odana  pradAnena dIrGam AyuH avApnuyAt |
   dadhy odana pradānena śriyam āpnoty anuttamām // Hbhv_8.172 //	daDi  odana  pradAnena Sriyam Apnoti anuttamAm // HBu _8.172 //
   kṣīrodana pradānena dīrgha jīvitam āpnuyāt |	kzIrodana  pradAnena dIrGa  jIvitam ApnuyAt |
   ikṣūṇāṃ ca pradānena paraṃ saubhāgyam aśnute // Hbhv_8.173 //	ikzUNAm ca pradAnena param sOBAgyam aSnute // HBu _8.173 //
   ratnānāṃ caiva bhāgī syāt svarga lokaṃ ca gacchati |	ratnAnAm ca eva BAgI syAt svarga  lokam ca gacCati |
   phāṇitasya pradānena agny ādhāna phalaṃ labhet // Hbhv_8.174 //	PANitasya pradAnena agni  ADAna  Palam laBet // HBu _8.174 //
   tathā guḍa pradānena kāmitābhīṣṭam āpnuyāt // Hbhv_8.175 //	taTA guxa  pradAnena kAmitA aBIzwam ApnuyAt // HBu _8.175 //
   nivedyekṣu rasaṃ bhaktyā paraṃ saubhāgyam āpnuyāt |	nivedya ikzu  rasam BaktyA param sOBAgyam ApnuyAt |
   sarvān kāmān avāpnoti kṣaudraṃ yaś ca prayacchati // Hbhv_8.176 //	sarvAn kAmAn avApnoti kzOdram yaH ca prayacCati // HBu _8.176 //
   tad eva tuhitopetam rājasūyam avāpnuyāt |	tat eva tuhita upetam rAjasUyam avApnuyAt |
   vahniṣṭomam avāpnoti yavākasya nivedakaḥ |	vahnizwomam avApnoti yavAkasya nivedakaH |
   ati rātram avāpnoti tathā pūpa nivedakaḥ // Hbhv_8.177 //	ati rAtram avApnoti taTA pUpa nivedakaH // HBu _8.177 //
   vaidalānāṃ ca bhakṣyāṇāṃ dānāt kāmān avāpnuyāt |	vEdalAnAm ca BakzyANAm dAnAt kAmAn avApnuyAt |
   dīrgha jīvitam āpnoti ghṛta pūra nivedakaḥ // Hbhv_8.178 //	dIrGa  jIvitam Apnoti GRta pUra nivedakaH // HBu _8.178 //
   modakānāṃ pradānena kāmān āpnoty abhīpsitān // Hbhv_8.179 //	modakAnAm pradAnena kAmAn Apnoti aBIpsitAn // HBu _8.179 //
   nānā vidhānāṃ bhakṣyāṇāṃ dānāt svargam avāpnuyāt |	nAnA  viDAnAm BakzyANAm dAnAt svargam avApnuyAt |
   bhojanīya pradānena tṛptim āpnoty anuttamām // Hbhv_8.180 //	BojanIya  pradAnena tRptim Apnoti anuttamAm // HBu _8.180 //
