   pañcatantram	paQcatantram
   samabhyeti tāvad drutataraṃ kartayemaṃ mat pāda pāśaṃ |	samaByeti tAvat drutataram kartayA imam mat  pAda  pASam |
   tad ākarṇya vihasyāha hiraṇyakaḥ kiṃ mayy api samāyāte lubdhakād bibheṣi	tat AkarNya vihasya Aha hiraNyakaH kim mayi api samAyAte lubDakAt biBezi
   tataḥ śāstraṃ prati mahatī me viraktiḥ sampannā yad bhavad vidhā api	tatas SAstram prati mahatI me viraktiH sampannAH yat Bavat  viDAH api
   nīti śāstra vida etām avasthāṃ prāpnuvanti | tena tvāṃ pṛcchāmi |	nIti  SAstra  vide etAm avasTAm prApnuvanti | tena tvAm pRcCAmi |
   sa āha bhadra karmaṇā buddhir api hanyate | uktaṃ ca 	saH Aha Badra karmaNA budDiH api hanyate | uktam ca 
   kṛtānta pāśa baddhānāṃ daivopahata cetasāṃ |	kRtAnta  pASa  badDAnAm dEva upahata  cetasAm |
   buddhayaḥ kubja gāminyo bhavanti mahatām api ||Panc_2.179||	budDayaH kubja  gAminyaH Bavanti mahatAm api ||Pan= _2.179||
   vidhātrā racitā yā sā lalāṭe'kṣara mālikā |	viDAtrA racitA yA sA lalAwe akzara mAlikA |
   na tāṃ mārjayituṃ śaktāḥ sva śaktyāpy atipaṇḍitāḥ ||Panc_2.180||	na tAm mArjayitum SaktAH sva  SaktyA api atipaNxitAH ||Pan= _2.180||
   evaṃ tayoḥ pravadatoḥ suhṛd vyasana santapta hṛdayo mantharakaḥ śanaiḥ	evam tayoH pravadatoH suhRd vyasana  santapta  hRdayaH manTarakaH SanEs 
   śanais taṃ pradeśam ājagāma | taṃ dṛṣṭvā laghupatanako hiraṇyakam āha aho	SanEs tam pradeSam AjagAma | tam dRzwvA laGupatanakaH hiraNyakam Aha aho
   na śobhanam āpatitam |	na SoBanam Apatitam |
   hiraṇyaka āha kiṃ sa lubdhakaḥ samāyāti ?	hiraNyakaH Aha kim sa lubDakaH samAyAti ?
   sa āha āstāṃ tāval lubdhaka vārtā | eṣa mantharakaḥ samāgacchati | tad	saH Aha AH tAm tAvat lubDaka vArtA | eza manTarakaH samAgacCati | tat 
   anītir anuṣṭhitānena yato vayam apy asya kāraṇān nūnaṃ vyāpādanaṃ yāsyāmo	anItiH anuzWitA anena yatas vayam api asya kAraNAt nUnam vyApAdanam yAsyAmaH 
   yadi sa pāpātmā lubdhakaḥ samāgamiṣyati | tad ahaṃ tāvat kham utpatiṣyāmi	yadi sa pApa AtmA lubDakaH samAgamizyati | tat aham tAvat Kam utpatizyAmi
   | tvaṃ punar bilaṃ praviṣyātmānaṃ rakṣayiṣyasi | citrāṅgo 'pi vegena	| tvam punar bilam pravizya AtmAnam rakzayizyasi | citrAFgaH api vegena
   dig antaraṃ yāsyati | eṣa punar jalacaraḥ sthale kathaṃ bhaviṣyatīti	diS  antaram yAsyati | eza punar jalacaraH sTale kaTam Bavizyati iti
   vyākulo 'smi | atrāntare prāpto 'yaṃ mantharakaḥ |	vyAkulaH asmi | atra antare prAptaH ayam manTarakaH |
   hiraṇyaka āha bhadra, na yuktam anuṣṭhitaṃ bhavatā yad atra samāyātaḥ |	hiraNyakaH Aha Badra, na yuktam anuzWitam BavatA yat atra samAyAtaH |
   tad bhūyo 'pi drutataraṃ gamyatāṃ yāvad asau lubdhako na samāyāti |	tat BUyas api drutataram gamyatAm yAvat asO lubDakaH na samAyAti |
   mantharaka āha bhadra, kiṃ karomi ? na śaknomi tatra stho	manTarakaH Aha Badra, kim karomi ? na Saknomi tatra sTaH 
   mitra vyasanāgni dāghaṃ soḍhum | tenāham atrāgataḥ | athavā sādhv idam	mitra  vyasana agni  dAGam soXum | tena aham atra AgataH | aTavA sADu idam
   ucyate 	ucyate 
   dayita jana viprayogo vitta viyogaś ca sahyāḥ syuḥ |	dayita  jana  viprayogaH vitta  viyogaH ca sahyAH syuH |
   yadi sumahauṣadha kalpo vayasya jana saṃgamo na syāt ||Panc_2.181||	yadi su mahOzaDa  kalpaH vayasi a  jana  saMgamaH na syAt ||Pan= _2.181||
   varaṃ prāṇa parityāgo na viyogo bhavādṛśaiḥ |	varam prANa  parityAgaH na viyogaH BavAdRSEH |
   prāṇā janmāntare bhūyo na bhavanti bhavad vidhāḥ ||Panc_2.182||	prANAH janma antare BUyas na Bavanti Bavat  viDAH ||Pan= _2.182||
   evaṃ tasya pravadata ākarṇa pūrita śarāsano lubdhako 'py upāgataḥ | taṃ	evam tasya pravadate AkarNa  pUrita SarAsanaH lubDakaH api upAgataH | tam
   dṛṣṭvā mūṣakeṇa tasya snāyu pāśas tat kṣaṇāt khaṇḍitaḥ | atrāntare	dRzwvA mUzakeNa tasya snAyu pASaH tat kzaNAt KaNxitaH | atra antare
   citrāṅgaḥ satvaraṃ pṛṣṭham avalokayan pradhāvitaḥ | laghupatanako vṛkṣam	citrAFgaH sa tvaram pRzWam avalokayan praDAvitaH | laGupatanakaH vRkzam
   ārūḍhaḥ | hiraṇyakaś ca samīpa varti bilaṃ praviṣṭaḥ | athāsau lubdhako	ArUXaH | hiraNyakaH ca samIpa varti bilam pravizwaH | aTa asO lubDakaH 
   mṛga gamanād viṣaṇṇa vadano vyartha śramas taṃ mantharakaṃ mandaṃ mandaṃ	mRga  gamanAt vizaNNa  vadanaH vyarTa SramaH tam manTarakam mandam mandam
   sthala madhye gacchantaṃ dṛṣṭavān | acintayac ca yady api kuraṅgo	sTala  maDye gacCantam dRzwavAn | acintayat ca yadi api kuraFgaH 
   dhātrāpahṛtas tathāpy ayaṃ kūrma āhārārthaṃ sampāditaḥ | tad adyāsyāmiṣeṇa	DAtrA apahRtaH taTA api ayam kUrmaH AhAra arTam sampAditaH | tat adya asya AmizeNa
   me kuṭumbasyāhāra nirvṛttir bhaviṣyati |	me kuwumbasya AhAra  nirvRttiH Bavizyati |
   evaṃ vicintya taṃ darbhaiḥ sañchādya dhanuṣu samāropya skandhe kṛtvā gṛhaṃ	evam vicintya tam darBEH san SAdya Danuzu samAropya skanDe kRtvA gRham
   prati prasthitaḥ | atrāntare taṃ nīyamānam avalokya hiraṇyako duḥkhākulaḥ	prati prasTitaH | atra antare tam nIyamAnam avalokya hiraNyakaH duHKa AkulaH
   paryadevayat kaṣṭaṃ bhoḥ kaṣṭam āpatitam |	paryadevayat  kazwam BoH kazwam Apatitam |
   ekasya duḥkhasya na yāvad antaṃ	ekasya duHKasya na yAvat antam
   gacchāmy ahaṃ pāram ivārṇavasya |	gacCAmi aham pAram iva arNavasya |
   tāvad dvitīyaṃ samupasthitaṃ me chidreṣv anarthā bahulī bhavanti	tAvat dvitIyam samupasTitam me Cidrezu anarTAH bahulI Bavanti
   ||Panc_2.183||	||Pan= _2.183||
   tāvad askhalitaṃ yāvat sukhaṃ yāti same pathi |	tAvat asKalitam yAvat suKam yAti same paTi |
   skhalite ca samutpanne viṣame ca pade pade ||Panc_2.184||	sKalite ca samutpanne vizame ca pade pade ||Pan= _2.184||
   yan namraṃ saralaṃ cāpi yac cāpatsu na sīdati |	yat namram saralam ca api yat ca Apatsu na sIdati |
   dhanur mitraṃ kalatraṃ ca durlabhaṃ śuddha vaṃśajam ||Panc_2.185||	DanuH mitram kalatram ca durlaBam SudDa  vaMSa jam ||Pan= _2.185||
   na mātari na dāreṣu na sodarye na cātmaje |	na mAtari na dArezu na sodarye na ca Atmaje |
   viśrambhas tādṛśaḥ puṃsāṃ yādṛṅ mitre nirantare ||Panc_2.186||	viSramBaH tAdRSaH puMsAm yAdRS mitre nirantare ||Pan= _2.186||
   yadi tāvat kṛtāntena me dhana nāśo vihitas tan mārga śrāntasya me	yadi tAvat kRtAntena me Dana nASaH vihitaH tan  mArga  SrAntasya me
   viśrāma bhūtaṃ mitraṃ kasmād apahṛtaṃ | aparam api mitraṃ paraṃ	viSrAma  BUtam mitram kasmAt apahRtam | aparam api mitram param
   mantharaka samaṃ na syāt | uktaṃ ca 	manTaraka  samam na syAt | uktam ca 
   asampattau paro lābho guhyasya kathanaṃ tathā |	asampattO paraH lABaH guhyasya kaTanam taTA |
   āpad vimokṣaṇaṃ caiva mitrasyaitat phala trayam ||Panc_2.187||	Apad  vimokzaNam ca eva mitrasya etat Pala trayam ||Pan= _2.187||
   tad asya paścān nānyaḥ suhṛn me | tat kiṃ mamopary anavarataṃ	tat asya paScAt na anyaH suhRd me | tat kim mama upari anavaratam
   vyasana śarair varṣati hanta vidhiḥ | yata ādau tāvad vitta nāśas tataḥ	vyasana  SarEH varzati hanta viDiH | yatas AdO tAvat vitta nASaH tatas 
   parivāra bhraṃśas tato deśa tyāgas tato mitra viyoga iti | athavā svarūpam	parivAra  BraMSaH tatas deSa tyAgaH tatas mitra  viyogaH iti | aTavA svarUpam
   etat sarveṣām eva jantūnāṃ jīvita dharmasya | uktaṃ ca 	etat sarvezAm eva jantUnAm jIvita  Darmasya | uktam ca 
   kāyaḥ saṃnihitāpāyaḥ sampadaḥ padam āpadām |	kAyaH saMnihita apAyaH sampadaH padam ApadAm |
   samāgamāḥ sāpagamāḥ sarvam utpādi bhaṅguram ||Panc_2.188||	samAgamAH sa apagamAH sarvam utpAdi BaFguram ||Pan= _2.188||
   tathā ca 	taTA ca 
   kṣate prahārā nipatanty abhīkṣṇaṃ	kzate prahArAH nipatanti aBIkzNam
   dhana kṣaye vardhati jāṭharāgniḥ |	Dana kzaye varDati jAWara agniH |
   āpatsu vairāṇi samudbhavanti	Apatsu vErANi samudBavanti
   cchidreṣv anarthā bahulī bhavanti ||Panc_2.189||	cCidrezu anarTAH bahulI Bavanti ||Pan= _2.189||
   aho sādhūktaṃ kenāpi |	aho sADu uktam kena api |
   prāpte bhaye paritrāṇaṃ prīti viśrambha bhājanaṃ |	prApte Baye paritrANam prIti viSramBa  BAjanam |
   kena ratnam idaṃ sṛṣṭaṃ mitram ity akṣara dvayaṃ ||Panc_2.190||	kena ratnam idam sRzwam mitram iti akzara  dvayam ||Pan= _2.190||
   atrāntare ākranda parau citrāṅga laghupatanakau tatraiva samāyātau | atha	atra antare Akranda  parO citrAFga laGupatanakO tatra eva samAyAtO | aTa
   hiraṇyaka āha aho kiṃ vṛthā pralapitena | tad yāvad eṣa mantharako	hiraNyakaH Aha aho kim vRTA  pralapitena | tat yAvat eza manTarakaH 
   dṛṣṭi gocarān na nīyate tāvad asya mokṣopāyaś cintyatām iti | uktaṃ ca 	dRzwi gocarAt na nIyate tAvat asya mokza upAyaH cintyatAm iti | uktam ca 
   vyasanaṃ prāpya yo mohāt kevalaṃ paridevayet |	vyasanam prApya yaH mohAt kevalam paridevayet |
   krandanaṃ vardhayaty eva tasyāntaṃ nādhigacchati ||Panc_2.191||	krandanam varDayati eva tasya antam na aDigacCati ||Pan= _2.191||
   kevalaṃ vyasanasyoktaṃ bheṣajaṃ naya paṇḍitaiḥ |	kevalam vyasanasya uktam Bezajam naya  paNxitEH |
   tasyoccheda samārambho viṣāda parivarjanaṃ ||Panc_2.192||	tasya ucCeda  samAramBaH vizAda  parivarjanam ||Pan= _2.192||
   anyac ca 	anyat ca 
   atīta lābhasya surakṣaṇārthaṃ	atIta  lABasya su rakzaNa arTam
   bhaviṣya lābhasya ca saṅgamārtham |	Bavizya  lABasya ca saFgama arTam |
   āpat prapannasya ca mokṣaṇārthaṃ	Apat  prapannasya ca mokzaNa arTam
   yan mantryate'sau paramo hi mantraḥ ||Panc_2.193||	yat mantryate asO paramaH hi mantraH ||Pan= _2.193||
   tac chrutvā vāyasa āha bho yady evaṃ tat kriyatāṃ mad vacaḥ | eṣa citrāṅgo	tat SrutvA vAyasaH Aha BaH yadi evam tat kriyatAm mad  vacaH | eza citrAFgaH 
   'sya mārge gatvā kiṃcit palvalam āsādya tasya tīre niścetano bhūtvā patatu	asya mArge gatvA kiMcid palvalam AsAdya tasya tIre niScetanaH BUtvA patatu
   | aham apy asya śirasi samāruhya mandaiś cañcu prahāraiḥ śira ullekhiṣyāmi	| aham api asya Sirasi samAruhya mandEH caQcu  prahArEH SiraH ulleKizyAmi
   yenāsau lubdhako 'muṃ mṛtaṃ matvā mama cañcu prahāra pratyayena	yena asO lubDakaH amum mRtam matvA mama caQcu  prahAra  pratyayena
   mantharakaṃ bhūmau kṣiptvā mṛgārthe dhāvati | atrāntare tvayā	manTarakam BUmO kziptvA mRga arTe DAvati | atra antare tvayA
   darbha maya bandhana veṣṭanāni khaṇḍanīyāni yenāsau mantharako drutataraṃ	darBa  maya   banDana vezwanAni KaNxanIyAni yena asO manTarakaH drutataram
   palvalaṃ praviśati |	palvalam praviSati |
   citrāṅgaḥ prāha bho bhadro 'yaṃ dṛṣṭo mantras tvayā | nūnaṃ mantharako	citrAFgaH prAha BaH BadraH ayam dRzwaH mantraH tvayA | nUnam manTarakaH 
   mukto mantavyaḥ | uktaṃ ca 	muktaH mantavyaH | uktam ca 
   siddhiṃ vā yadi vāsiddhiṃ cittotsāho nivedayet |	sidDim vA yadi vA asidDim citta utsAhaH nivedayet |
   prathamaṃ sarva jantūnāṃ prājño vetti na cetaraḥ ||Panc_2.194||	praTamam sarva jantUnAm prAjQaH vetti na ca itaraH ||Pan= _2.194||
   tat tad evaṃ kriyatām | tathānuṣṭhite sa lubdhakas tathaiva	tat tat evam kriyatAm | taTA anuzWite sa lubDakaH taTA eva
   mārgāsanna palvala tīrasthaṃ citrāṅgaṃ vāyasa sanātham adrākṣīt | taṃ	mArga Asanna  palvala tIra sTam citrAFgam vAyasa sanATam adrAkzIt | tam
   dṛṣṭvā harṣita manā vyacintayat | nūnaṃ pāśa vedanayā varāko 'yaṃ mṛgo	dRzwvA harzi ta manAH vyacintayat | nUnam pASa vedanayA varAkaH ayam mRgaH 
   gatvāyuḥ śeṣa jīvitaḥ pāśaṃ troṭayitvā katham apy etad vanāntaraṃ praviṣṭo	gatvA AyuH Seza  jIvitaH pASam trowayitvA kaTam api etat vana antaram pravizwaH 
   yāvan mṛtaḥ | tad vaśyo 'yaṃ me kacchapaḥ suyantritatvāt | tad enam api	yAvat mRtaH | tat vaSyaH ayam me kacCapaH su yantrita tvAt | tat enam api
   tāvad gṛhṇāmīty avardhāya kacchapaṃ bhū tale prakṣipya mṛgam upādravat |	tAvat gRhNAmi iti avarDAya kacCapam BU  tale prakzipya mRgam upAdravat |
   atrāntare hiraṇyakena vajropama daṃṣṭrā prahāreṇa tad darbha veṣṭanaṃ	atra antare hiraNyakena vajra upama daMzwrA  prahAreNa tat darBa  vezwanam
   tat kṣaṇāt khaṇḍaśaḥ kṛtaṃ | mantharako 'pi tṛṇa madhyān niṣkramya	tat kzaNAt KaNxaSas kRtam | manTarakaH api tRNa  maDyAt nizkramya
   palvalaṃ praviṣṭaḥ | citrāṅgo 'py aprāptasyāpi tasyotthāya vāyasena saha	palvalam pravizwaH | citrAFgaH api aprAptasya api tasya utTAya vAyasena saha
   drutaṃ pranaṣṭaḥ | atrāntare vilakṣo viṣāda paro nivṛtto lubdhako yāvat	drutam pranazwaH | atra antare vilakzaH vizAda paraH nivRttaH lubDakaH yAvat 
   paśyati tāvat kacchapo 'pi gataḥ | tataś ca tatropaviśyemaṃ ślokam	paSyati tAvat kacCapaH api gataH | tatas ca tatra upaviSya imam Slokam
   apaṭhat 	apaWat 
   prāpto bandhanam apy ayaṃ guru mṛgas tāvat tvayā me hṛtaḥ	prAptaH banDanam api ayam guru  mRgaH tAvat tvayA me hRtaH
   samprāptaḥ kamaṭhaḥ sa cāpi niyataṃ naṣṭas tavādeśataḥ |	samprAptaH kamaWaH sa ca api niyatam nazwaH tava AdeSataH |
   kṣut kṣāmo 'tra vane bhramāmi śiśukais tyaktaḥ samaṃ bhāryayā	kzut  kzAmaH atra vane BramAmi SiSukEH tyaktaH samam BAryayA
   yac cānyan na kṛtaṃ kṛtānta kurute tac cāpi sahyaṃ mayā ||Panc_2.195||	yat ca anyat na kRtam kRtAnta kurute tat ca api sahyam mayA ||Pan= _2.195||
   evaṃ bahu vidhaṃ vilapya sva gṛhaṃ gataḥ | atha tasmin dūrī bhūte sarve'pi	evam bahu viDam vilapya sva  gRham gataH | aTa tasmin dUrI BUte sarve api
   te kāka kūrma mṛgākhavaḥ paramānanda bhājo militvā parasparam āliṅgya	te kAka kUrma  mRga AKavaH parama Ananda BAjaH militvA parasparam AliFgya
   punar jātān ivātmano manyamānas tad eva saraḥ prāpya mahā sukhena	punar jAtAn iva AtmanaH manyamAnaH tat eva saraH prApya mahA  suKena
   subhāṣita goṣṭhī vinodaṃ kurvantaḥ kālaṃ nayanti sma | evaṃ jñātvā	su BAzita  gozWI  vinodam kurvantaH kAlam nayanti sma | evam jQAtvA
   vivekinā mitra saṅgrahaḥ kāryaḥ | tathā mitreṇa sahāvyājena vartitavyam |	vivekinA mitra saFgrahaH kAryaH | taTA mitreNa saha avyAjena vartitavyam |
   uktaṃ ca 	uktam ca 
   yo mitrāṇi karoty atra na kauṭilyena vartate |	yaH mitrANi karoti atra na kOwilyena vartate |
   taiḥ samaṃ na parābhūtiṃ samprāpnoti kathañcana ||Panc_2.196||	tEH samam na parABUtim samprApnoti kaTaQcana ||Pan= _2.196||
   iti śrī viṣṇu śarma viracite pañcatantre mitra samprāptir nāma	iti SrI  vizNu Sarma viracite paQcatantre mitra samprAptiH nAma
   dvitīyaṃ tantraṃ samāptam	dvitIyam tantram samAptam
   tṛtīyaṃ tantram	tRtIyam tantram
   atha kākolūkīyam	aTa kAkolUkI iyam
   prastāvanā kathā	prastAvanA kaTA
   meghavarṇārimardana vṛttāntaḥ	meGa varNa ari mardana  vRttAntaH
   athedam ārabhyate kākolūkīyaṃ nāma tṛtīyaṃ tantram | yasyāyam ādyaḥ	aTa idam AraByate kAkolUkI iyam nAma tRtIyam tantram | yasya ayam AdyaH
   ślokaḥ 	SlokaH 
   na viśvaset pūrva virodhitasya	na viSvaset pUrva  viroDitasya
   śatroś ca mitratvam upāgatasya |	SatroH ca mitra tvam upAgatasya |
   dagdhāṃ guhāṃ paśya ulūka pūrṇāṃ	dagDAm guhAm paSya ulUka  pUrNAm
   kāka praṇītena hutāśanena ||Panc_3.1||	kAka  praNItena hutASanena ||Pan= _3.1||
   tad yathānuśruyate asti dakṣiṇātye janapade mahilāropyaṃ nāma nagaram |	tat yaTA anuSruyate asti dakziNAtye janapade mahilA Aropyam nAma nagaram |
   tasya samīpastho 'neka śākhāsanātho 'tighanatara patra cchanno	tasya samIpa sTaH aneka SAKA AsanATaH ati Ganatara  patra  = Canno
   nyagrodha pādapo 'sti | tatra ca megha varṇo nāma vāyasa rājo	nyagroDa  pAdapaH asti | tatra ca meGa varNaH nAma vAyasa rAjaH 
   'neka kāka parivāraḥ prativasati sma | sa tatra vihita durga racanaḥ	aneka kAka parivAraH prativasati sma | sa tatra vihita  durga racanaH
   saparijanaḥ kālaṃ nayati | tathānyo 'ri mardano nāmolūka rājo	sa parijanaH kAlam nayati | taTA anyaH ari mardanaH nAma ulUka rAjaH 
   'saṅkhyolūka parivāro giri guhā durgāśrayaḥ prativasati sma | sa ca rātrāv	asaFKya ulUka parivAraH giri guhA  durga ASrayaH prativasati sma | sa ca rAtrO= 
   abhyetya sadaiva tasya nyagrodhasya samantāt paribhramati | atholūkarājaḥ	aByetya sadA eva tasya nyagroDasya samantAt pariBramati | aTa ulUka rAjaH
   pūrva virodha vaśādyaṃ kañcid vāyasa samāsādayati | taṃ vyāpādya gacchati	pUrva  viroDa  vaSa Adyam kaQcid vAyasa samAsAdayati | tam vyApAdya gacCati
   | evaṃ nityābhigamanāc chanaiḥ śanais tan nyagrodha pādapad durgaṃ tena	| evam nitya aBigamanAt SanEs SanEs tat nyagroDa  pAda pad  durgam tena
   samantān nirvāyasaṃ kṛtam | athavā bhavaty evam | uktaṃ ca 	samantAt nirvAyasam kRtam | aTavA Bavati evam | uktam ca 
   ya upekṣeta śatruṃ svaṃ prasarantaṃ yadṛcchayā |	yaH upekzeta Satrum svam prasarantam yadRcCayA |
   rogaṃ cālasya saṃyuktaḥ sa śanais tena hanyate ||Panc_3.2||	rogam ca Alasya  saMyuktaH sa SanEs tena hanyate ||Pan= _3.2||
   tathā ca 	taTA ca 
   jāta mātraṃ na yaḥ śatruṃ vyādhiṃ ca praśamaṃ nayet |	jAta  mAtram na yaH Satrum vyADim ca praSamam nayet |
   mahābalo 'pi tenaiva vṛddhiṃ prāpya sa hanyate ||Panc_3.3||	mahA balaH api tena eva vRdDim prApya sa hanyate ||Pan= _3.3||
   athānyedyuḥ sa vāyasa rājaḥ sarvān sacivān āhūya provāca bhoḥ ! utkaṭas	aTa anyedyus sa vAyasa rAjaH sarvAn sacivAn AhUya provAca  BoH ! utkawa s
   tāvad asmākaṃ śatrur udyama sampannaś ca kālavic ca nityam eva niśāgame	tAvat asmAkam SatruH udyama  sampannaH ca kAla vid ca nityam eva niSA Agame
   sametyāsmat pakṣa kadanaṃ karoti | tat katham asya prativighātavyam ?	sametya asmat  pakza  kadanam karoti | tat kaTam asya prativiGAtavyam ?
   vayaṃ tāvad rātrau na paśyāmaḥ | na ca divā durgaṃ vijānīmo yena gatvā	vayam tAvat rAtrO na paSyAmaH | na ca divA durgam vijAnImaH yena gatvA
   praharāmaḥ | tad atra kiṃ yujyate	praharAmaH | tat atra kim yujyate
   sandhi vigraha yānāsana saṃśraya dvaidhī bhāvānāṃ madhyāt | atha te	sanDi vigraha yAna Asana  saMSraya dvEDI BAvAnAm maDyAt | aTa te
   procuḥ yuktam abhihitaṃ devena yad eṣa praśnaḥ kṛtaḥ | uktaṃ ca 	procuH  yuktam aBihitam devena yat eza praSnaH kRtaH | uktam ca 
   apṛṣṭenāpi vaktavyaṃ sacivenātra kiṃcana |	apRzwena api vaktavyam sacivena atra kiMcana |
   pṛṣṭena tu viśeṣeṇa vācyaṃ pathyaṃ mahīpateḥ ||Panc_3.4||	pRzwena tu viSezeNa vAcyam paTyam mahIpateH ||Pan= _3.4||
   yo na pṛṣṭo hitaṃ brūte pariṇāme sukhāvaham |	yaH na pRzwaH hitam brUte pariNAme suKa Avaham |
   mantro na priya vaktā ca kevalaṃ sa ripuḥ smṛtam ||Panc_3.5||	mantraH na priya vaktA ca kevalam sa ripuH smRtam ||Pan= _3.5||
   tasmād ekāntam āsādya kāryo mantro mahīpate |	tasmAt ekAntam AsAdya kAryaH mantraH mahIpate |
   yena tasya vayaṃ kurmo niyamaṃ kāraṇaṃ tathā ||Panc_3.6||	yena tasya vayam kurmaH niyamam kAraNam taTA ||Pan= _3.6||
   uktaṃ ca 	uktam ca 
   balīyasi praṇamatāṃ kāle praharatām api |	balIyasi praNamatAm kAle praharatAm api |
   sampado nāvagacchanti pratīpam iva nimnagāḥ ||Panc_3.7||	sampadaH na avagacCanti pratIpam iva nimnagAH ||Pan= _3.7||
   satyāḍhyo dhārmikaś cāryo bhrātṛ saṅghātavān balī |	satya AXyaH DArmikaH ca AryaH BrAtR  saFGAtavAn balI |
   aneka vijayī caiva sandheyaḥ sa ripur bhavet ||Panc_3.8||	aneka vijayI ca eva sanDeyaH sa ripuH Bavet ||Pan= _3.8||
   sandhiḥ kāryo 'py anāryeṇa vijñāya prāṇa saṃśayam |	sanDiH kAryaH api anAryeNa vijQAya prANa saMSayam |
   prāṇaiḥ saṃrakṣitaiḥ sarvaṃ yato bhavati rakṣitam ||Panc_3.9||	prANEH saMrakzitEH sarvam yatas Bavati rakzitam ||Pan= _3.9||
   aneka yuddha vijayī sandhānaṃ yasya gacchati |	aneka  yudDa  vijayI sanDAnam yasya gacCati |
   tat prabhāveṇa tasyāśu vaśaṃ gacchanty arātayaḥ ||Panc_3.10||	tat  praBAveNa tasya ASu vaSam gacCanti arAtayaH ||Pan= _3.10||
   sandhim icchet samenāpi sandigdho vijayī yudhi |	sanDim icCet samena api sandigDaH vijayI yuDi |
   na hi sāṃśayikaṃ kuryād ity uvāca bṛhaspatiḥ ||Panc_3.11||	na hi sAMSayikam kuryAt iti uvAca bRhaspatiH ||Pan= _3.11||
   sandigdho vijayo yuddhe janānām iha yuddhyatām |	sandigDaH vijayaH yudDe janAnAm iha yudDyatAm |
   upāya tritayād ūrdhvaṃ tasmād yuddhaṃ samācaret ||Panc_3.12||	upAya tritayAt UrDvam tasmAt yudDam samAcaret ||Pan= _3.12||
   asandadhāno mānāndhaḥ samenāpi hato bhṛśam |	asandaDAnaH mAna anDaH samena api hataH BRSam |
   āmakumbham ivābhittvā nāvatiṣṭheta śaktimān ||Panc_3.13||	Ama kumBam iva aBittvA na avatizWeta SaktimAn ||Pan= _3.13||
