   atha caturtho 'dhyāyaḥ /	aTa caturTaH aDyAyaH /
   'ādityāccandramasaṃ candramaso vidyutam' (chā. 4.15.5) iti asyā vidyuta	aAdityAt-candramasam candramasaH vidyutam-a (CA. 4.15.5) iti asyAH vidyuta
   upariṣṭāt sa varuṇalokam iti ayaṃ varuṇaḥ saṃbadhyate /	uparizwAt sa varuNa-lokam iti ayam varuNaH saMbaDyate /
   asti hi saṃbandho vidyut varuṇayoḥ /	asti hi saMbanDaH vidyut varuNayoH /
   yadā hi viśāla avidyutaḥ tīvraḥ tanitaniḥ ghoṣā jīmūta udareṣu pranṛtyanti	yadA hi viSAla avidyutaH tIvraH tanitaniH GozAH jImUtaH udarezu pranRtyanti
   āthāpaḥ prapatanti /	ATApaH prapatanti /
   vidyotate stanayati 'varṣiṣyati vā' (chā. 7.11.1) iti ca brāhmaṇam /	vidyotate stanayati avarzizyati vA-a (CA. 7.11.1) iti ca brAhmaNam /
   apāṃ ca adhipatiḥ varuṇa iti śrutismṛtiprasiddhiḥ /	apAm ca aDipatiH varuNaH iti Sruti-smRti-prasidDiH /
   varuṇāt adhīndraprajāpatī sthānāntara abhāvāt pāṭhasāmarthyāt ca /	varuNAt aDIndra-prajApatI sTAna-antara aBAvAt pAWa-sAmarTyAt ca /
   ānantukatvāt api varuṇādīnām anta eva niveśo vaiśeṣikasthānābhāvāt vidyut	Anantuka-tvAt api varuNa-AdInAm antaH eva niveSaH vESezika-sTAna-aBAvAt vidyut-
   ca antya arcirādau vartmani // 3 //	ca antya arciH-AdO vartmani // 3 //
   4 ātivāhika adhikaraṇam / sū. 4-6	4 AtivAhika aDikaraNam / sU. 4-6
   ātivāhikās talliṅgāt | BBs_4,3.4 |	AtivAhikAH tad-liFgAt | BBH-_4,3.4 |
   teṣu eva arcirādiṣu saṃśayaḥ - kim etāni mārgacihnāni uta bhogabhūmayaḥ	tezu eva arciH-Adizu saMSayaH  kim etAni mArga-cihnAni uta Boga-BUmayaH
   athavā netāro gantṛṇām iti /	aTavA netAraH gantRNAm iti /
   tatra mārgalakṣaṇabhūtā arcirādaya iti tāvat prāptam /	tatra mArga-lakzaNa-BUtAH arciH-AdayaH iti tAvat prAptam /
   tatsvarūpatvāt upadeśasya /	tad-svarUpa-tvAt upadeSasya /
   yathā hi loke kaścit grāmaṃ nagaraṃ vā pratiṣṭhāsamānaḥ anuśiṣyate	yaTA hi loke kaScid grAmam nagaram vA pratizWA-samAnaH anuSizyate
   gacchetaḥ tvam amuṃ giriṃ tato nyagrodhaṃ tato nadīṃ tato grāmaṃ tato	gacCa-itaH tvam amum girim tatas nyagroDam tatas nadIm tatas grAmam tatas-
   nagaraṃ vā prāpsyasi iti evam iha api arciṣo aharahna āpūryamāṇapakṣim	nagaram vA prApsyasi iti evam iha api arcizaH aharahnaH ApUryamANa-pakzim
   ityādi āha /	ityAdi Aha /
   athavā bhogabhūmaya iti prāptam /	aTavA Boga-BUmayaH iti prAptam /
   tathā hi - 'lokaśabdenāgnyādīnanubadhnāti agnilokamāgacchati' (kauṣī. 1.3)	taTA hi  aloka-Sabdena-agni-AdIn-anubaDnAti agni-lokam-AgacCati-a (kOzI. 1.3)
   ityādi /	ityAdi /
   lokaśabdaḥ ca prāṇināṃ bhogāyataneṣu bhāṣyate - 'manuṣyalokaḥ pitṛloko	loka-SabdaH ca prANinAm Boga-Ayatanezu BAzyate  amanuzya-lokaH pitR-lokaH-
   devalokaḥ' (bṛ. 1.5.16) iti ca /	deva-lokaH-a (bR. 1.5.16) iti ca /
   tathā ca brāhmaṇam - 'ahorātreṣu te lokeṣu sajjante' ityādi /	taTA ca brAhmaNam  aahorAtrezu te lokezu sajjante-a ityAdi /
   tasmāt na ativāhikā arcirādayaḥ /	tasmAt na ativAhikAH arciH-AdayaH /
   acetanatvāt api eteṣām ativāhikatva anupapattiḥ /	acetana-tvAt api etezAm ativAhika-tva anupapattiH /
   cetanā hi loke rājaniyuktāḥ puruṣā durgeṣu mārgeṣu ativāhyān ativāhayanti	cetanAH hi loke rAja-niyuktAH puruzAH durgezu mArgezu ati-vAhyAn ativAhayanti
   iti /	iti /
   evaṃ prāpte brūmaḥ - ātivāhikā eva ete bhavitum arhanti /	evam prApte brUmaH  AtivAhikAH eva ete Bavitum arhanti /
   kutaḥ - talliṅgāt /	kutas  tad-liFgAt /
   tathā hi 'candramaso vidyutaṃ tatpuruṣo 'mānavaḥ sa etānbrahma gamayati'	taTA hi acandramasaH vidyutam tatpuruzaH amAnavaH saH etAn-brahma gamayati-a
   (chā. 4.15.5) iti siddhat gamayitṛtvaṃ darśayati /	(CA. 4.15.5) iti sidDat gamayitR-tvam darSayati /
   tat vacanaṃ tat viṣayam eva upakṣīṇam iti cet /	tat vacanam tat vizayam eva upakzINam iti ced /
   na /	na /
   prāptamānavatva nivṛttiparatvāt viśeṣaṇasya /	prApta-mAnavatva nivRtti-paratvAt viSezaNasya /
   yadi arcirādiṣu puruṣā gamayitāraḥ prāptāḥ te ca mānavāḥ tato yuktaṃ tat	yadi arciH-Adizu puruzAH gamayitAraH prAptAH te ca mAnavAH tatas yuktam tat-
   nivṛttyarthaṃ puruṣaviśeṣaṇam amānava iti // 4 //	nivRtti-arTam puruza-viSezaNam amAnavaH iti // 4 //
   nanu talliṅgamātram agamakaṃ nyāya abhāvāt /	nanu tad-liFga-mAtram agamakam nyAya aBAvAt /
   na eṣa doṣaḥ /	na eza dozaH /
   ubhayavyāmohāt tat siddheḥ | BBs_4,3.5 |	uBaya-vyAmohAt tat sidDeH | BBH-_4,3.5 |
   ye tāvat arcirādimārgāḥ te dehaviyogāt saṃpiṇḍitakaraṇagrāmā iti	ye tAvat arciH-Adi-mArgAH te deha-viyogAt saMpiNxita-karaNa-grAmAH iti
   asvatantrā arcirādīnām api acetanatvāt asvātantryam iti ataḥ arcirādi	asvatantrAH arciH-AdInAm api acetana-tvAt asvAtantryam iti atas arciH-Adi
   abhimāninaḥ cetanā devatāviśeṣā atiyātrāyāṃ niyuktā iti gamyate /	aBimAninaH cetanA devatA-viSezAH atiyAtrAyAm niyuktAH iti gamyate /
   loke api hi matta mūrcchitādayaḥ saṃpiṇḍitakaraṇāḥ paraprayuktavartmāno	loke api hi matta mUrcCita-AdayaH saMpiNxita-karaNAH para-prayukta-vartmAnaH-
   bhavanti /	Bavanti /
   anavasthitatvāt api arcirādīnāṃ na mārgalakṣaṇatva upapattiḥ /	anavasTita-tvAt api arciH-AdInAm na mArga-lakzaNa-tvaH upapattiH /
   na hi rātrau pretasya ahaḥsvarūpa abhisaṃbhava upapadyate /	na hi rAtrO pretasya ahar-svarUpaH aBisaMBavaH upapadyate /
   na ca pratipālanamasti iti uktaṃ purastāt /	na ca pratipAlanam-asti iti uktam purastAt /
   dhruvatvāt tu devatā ātmānāṃ na ayaṃ doṣo bhavati /	Druva-tvAt tu devatAH AtmAnAm na ayam dozaH Bavati /
   arcirādi śabdatā ca eṣām arcirādi abhimānāt upapadyate 'arciṣo 'haḥ'(chā.	arciH-Adi Sabda-tA ca ezAm arciH-Adi aBimAnAt upapadyate aarcizaH ahaH-a(CA.
   4.15.5, 5,10.1) ityādinirdeśaḥ tu ativāhikatve api na virudhyate arciṣā	4.15.5, 5,10.1) ityAdi-nirdeSaH tu ativAhika-tve api na viruDyate arcizA
   hetunā ahaḥ abhisaṃbhavati /	hetunA ahar aBisaMBavati /
   ahnā hetunā āpūryamāṇapakṣam iti /	ahnA hetunA ApUryamANa-pakzam iti /
   tathā ca loke prasiddheṣu api ativāhikeṣu evañjātīyaka upadeśo dṛśyate /	taTA ca loke prasidDezu api ativAhikezu evan-jAtIyakaH upadeSaH dRSyate /
   gaccha tvam ito balavarmāṇaṃ tato jayasiṃhaṃ tataḥ kṛṣṇaguptam iti /	gacCa tvam itas bala-varmANam tatas jayasiMham tatas kRzNa-guptam iti /
   api ca upakrame 'te 'rcirabhisaṃbhavanti' (bṛ. 6.2.15) iti	api ca upakrame ate arciH-aBisaMBavanti-a (bR. 6.2.15) iti
   saṃbandhamātramuktaṃ na saṃbandhaviśeṣaḥ kaścit /	saMbanDa-mAtram-uktam na saMbanDa-viSezaH kaScid /
   upasaṃhāre tu 'sa etānbrahma gamayati (chā. 4.15.6) iti saṃbandhaviśeṣaḥ	upasaMhAre tu asaH etAn-brahma gamayati (CA. 4.15.6) iti saMbanDa-viSezaH
   ativāhi ativāhakatva lakṣaṇa uktaḥ tena sa eva upakrame api iti	ativAhi ativAhaka-tva lakzaNaH uktaH tena saH eva upakrame api iti
   nirdhāryate /	nirDAryate /
   saṃpiṇḍitakaraṇatvāt eva ca gantṛṣu na tatra upabhogasaṃbhavaḥ /	saMpiNxita-karaNa-tvAt eva ca gantRzu na tatra upaBoga-saMBavaH /
   lokaśabdaḥ tu anupabhuñjāneṣu api gantṛṣu gamayituṃ śakyate /	loka-SabdaH tu anupaBuQjAnezu api gantRzu gamayitum Sakyate /
   anyeṣāṃ tat lokavāsināṃ bhogabhūmitvāt /	anyezAm tat loka-vAsinAm Boga-BUmi-tvAt /
   ataḥ agnisvāmikaṃ lokaṃ prāptaḥ agninā ativāhyate vāyusvāmikaṃ prāpto	atas agni-svAmikam lokam prAptaH agninA ativAhyate vAyu-svAmikam prAptaH-
   vāyunā iti yojayitavyam // 5 //	vAyunA iti yojayitavyam // 5 //
   kathaṃ punaḥ ativāhikatvapakṣe varuṇādiṣu tatsaṃbhavaḥ /	kaTam punar ativAhika-tva-pakze varuNa-Adizu tad-saMBavaH /
   vidyuto hi adhi varuṇādaya upakṣiptā vidyutaḥ tu anantaramā brahmaprāpteḥ	vidyutaH hi aDi varuNa-AdayaH upakziptA vidyutaH tu anantaramAH brahma-prApteH
   amānavasya eva puruṣasya gamayitṛtvaṃ śrutam iti /	amAna-vasyaH eva puruzasya gamayitR-tvam Srutam iti /
   ata uttaraṃ paṭhati -	atas uttaram paWati -
   vaidyutenaiva tatas tacchruteḥ | BBs_4,3.6 |	vEdyutena-eva tatas tat-SruteH | BBH-_4,3.6 |
   tato vidyut abhisaṃbhavanāt ūrdhvaṃ vidyut anantaravartina eva amānavena	tatas vidyut aBisaMBavanAt UrDvam vidyut anantara-vartinaH eva amAnavena
   puruṣeṇa varuṇalokādiṣu ativāhyamānā brahmalokaṃ gacchanti iti	puruzeNa varuNa-loka-Adizu ativAhyamAnAH brahma-lokam gacCanti iti
   avagantavyam /	avagantavyam /
   'tānvaidyutātpuruṣo 'mānavaḥ sa etya brahmalokaṃ gamayati' iti tasya eva	atAn-vEdyutAt-puruzaH amAnavaH saH etya brahma-lokam gamayati-a iti tasya eva
   gamayitṛtvaśruteḥ /	gamayitR-tva-SruteH /
   varuṇādayaḥ tu tasya eva apratibandhakaraṇena sāhāyya anuṣṭhānena vā	varuNa-AdayaH tu tasya eva apratibanDa-karaNena sAhAyya anuzWAnena vA
   kenacit anugrāhakā iti avagantavyam /	kenacid anugrAhakAH iti avagantavyam /
   tasmāt sādhu uktam ativāhikā devatātmānaḥ arcirādaya iti // 6 //	tasmAt sADu uktam ativAhikA devatA-AtmAnaH arciH-AdayaH iti // 6 //
   5 kārya adhikaraṇam / sū. 7-14	5 kArya aDikaraNam / sU. 7-14
   kāryaṃ bādarirasya gatyupapatteḥ | BBs_4,3.7 |	kAryam bAdariH-asya gati-upapatteH | BBH-_4,3.7 |
   'sa enānbrahma gamayati (chā. 4.15.5) iti atra vicikitsyate - kiṃ kāryam	asaH enAn-brahma gamayati (CA. 4.15.5) iti atra vicikitsyate  kim kAryam
   aparaṃ brahma gamayati āhosvit param eva avikṛtaṃ mukhyaṃ brahma iti /	aparam brahma gamayati Ahosvit param eva avikRtam muKyam brahma iti /
   kutaḥ saṃśayaḥ /	kutas saMSayaH /
   brahmaśabdaprayogāt gatiśruteḥ ca /	brahma-Sabda-prayogAt gati-SruteH ca /
   tatra kāryameva saguṇam aparaṃ brahma enān gamayati amānavaḥ puruṣa iti	tatra kAryam-eva sa-guNam aparam brahma enAn gamayati amAnavaH puruzaH iti
   bādariḥ ācāryo manyate /	bAdariH AcAryaH manyate /
   kutaḥ - asya gati upapatteḥ /	kutas  asya gati upapatteH /
   asya hi kāryabrahmaṇo gantavyatvam upapatteḥ /	asya hi kArya-brahmaNaH gantavya-tvam upapatteH /
   asya hi kāryabrahmaṇo gantavyatvam upapadyate pradeśavattvāt /	asya hi kArya-brahmaNaH gantavya-tvam upapadyate pradeSavat-tvAt /
   na tu parasmin brahmaṇi gantṛtvaṃ gantavyatvaṃ gatiḥ vā avakalpate /	na tu parasmin brahmaNi gantR-tvam gantavya-tvam gatiH vA avakalpate /
   sarvagatatvāt pratyagātmatvāt ca gantṛṇām // 7 //	sarva-gata-tvAt pratyagAtma-tvAt ca gantRNAm // 7 //
   viśeṣitatvāc ca | BBs_4,3.8 |	viSezita-tvAt ca | BBH-_4,3.8 |
   brahmalokāngamayati te teṣu brahmalokeṣu parāḥ parāvato vasanti' (bṛ.	brahma-lokAn-gamayati te tezu brahma-lokezu parAH parAvataH vasanti-a (bR.
   6.2.15) iti ca śrutyantare viśeṣitatvāt kāryabrahmaviṣaya eva gatiḥ iti	6.2.15) iti ca Sruti-antare viSezita-tvAt kArya-brahma-vizayaH eva gatiH iti
   gamyate /	gamyate /
   nahi bahuvacanena viśeṣaṇaṃ parasmin brahmaṇi avakalpate /	na-hi bahuvacanena viSezaNam parasmin brahmaNi avakalpate /
   kārye tu avasthābheda upapatteḥ saṃbhavati bahuvacanam /	kArye tu avasTA-BedaH upapatteH saMBavati bahuvacanam /
   lokaśrutiḥ api vikāragocarāyāma eva saṃniveśaviśiṣṭāyāṃ bhogabhūmāvau	loka-SrutiH api vikAra-gocara-AyAmaH eva saMniveSa-viSizwAyAm Boga-BUmA=-O
   āñjasī /	AQjasI /
   gauṇī tu anyatra 'brahmaiva loka eṣa samrāṭ' ityādiṣu /	gONI tu anyatra abrahmA-eva lokaH eza samrAw-a ityAdizu /
   adhikaraṇa adhikartavyanirdeśaḥ api parasmin brahmaṇi anāñjasaḥ syāt /	aDikaraNa aDikartavya-nirdeSaH api parasmin brahmaNi anAQjasaH syAt /
   tasmāt kāryaviṣayameva idaṃ nayanam // 8 //	tasmAt kArya-vizayam-eva idam nayanam // 8 //
   nanu kāryaviṣaye api brahmaśabdo na upapadyate samanvaye hi samastasya	nanu kArya-vizaye api brahma-SabdaH naH upapadyate samanvaye hi samastasya
   jagato janmādikāraṇaṃ sthāpitam iti /	jagataH janma-Adi-kAraNam sTApitam iti /
   atra ucyate -	atra ucyate -
   sāmīpyāt tu tadvyapadeśaḥ | BBs_4,3.9 |	sAmIpyAt tu tad-vyapadeSaH | BBH-_4,3.9 |
   tu śabda āśaṅkā vyāvṛttyarthaḥ /	tu SabdaH ASaFkA vyAvRtti-arTaH /
   parabrahmasāmīpyāt aparasya brahmaṇaḥ tasmin api brahmaśabdaprayogo na	para-brahma-sAmIpyAt aparasya brahmaNaH tasmin api brahma-Sabda-prayogaH na
   virudhyate /	viruDyate /
   param eva hi brahma viśuddha upādhisaṃbandhaṃ kvacit kaiścit	param eva hi brahma viSudDaH upADi-saMbanDam kvacid kEScid-
   vikāradharmaiḥ manomayatvādibhiḥ upāsanāya upadiśyamānam aparam iti	vikAra-DarmEH manaH-maya-tva-AdiBiH upAsanAya upadiSyamAnam aparam iti
   sthitiḥ // 9 //	sTitiH // 9 //
   nanu kāryaprāptau anāvṛttiśravaṇaṃ na ghaṭate /	nanu kArya-prAptO anAvRtti-SravaNam na Gawate /
   na hi parasmāt brahmaṇaḥ anyatra kvacit nityatāṃ saṃbhāvayanti /	na hi parasmAt brahmaNaH anyatra kvacid nitya-tAm saMBAvayanti /
   darśayati ca devayānena pathā prasthitānām anāvṛttim /	darSayati ca deva-yAnena paTA prasTitAnAm anAvRttim /
   'etena pratipadyamānā imaṃ mānavamāvartaṃ nāvartante' (chā. 4.15.6) iti	aetena pratipadyamAnAH imam mAnavam-Avartam na-Avartante-a (CA. 4.15.6) iti
   teṣām iha na punarāvṛttiḥ asti 'tayordhvamāyannamṛtatvameti' (chā. 8.6.6),	tezAm iha na punarAvRttiH asti ataya-UrDvamAyan=-amRta-tvam-eti-a (CA. 8.6.6),
   ka. 6.16) iti cet /	ka. 6.16) iti ced /
   atra brūmaḥ -	atra brUmaH -
   kāryātyaye tadadhyakṣeṇa sahātaḥ param abhidhānāt | BBs_4,3.10 |	kArya-atyaye tad-aDyakzeNa sahAtas param aBiDAnAt | BBH-_4,3.10 |
   kāryabrahmalokapralayapratyupasthāne sati tatra eva utpannasamyagdarśanāḥ	kArya-brahma-loka-pralaya-pratyupasTAne sati tatra eva utpanna-samyak-darSanAH
   santaḥ tat adhyakṣeṇa hiraṇyagarbheṇa sahātaḥ paraṃ pariśuddhaṃ viṣṇoḥ	santaH tat aDyakzeNa hiraNyagarBeNa sahAtas param pariSudDam vizNoH
   paramaṃ padaṃ pratipadyanta iti /	paramam padam pratipadyante iti /
   kramamuktiḥ anāvṛttyādi śruti abhidhānebhyo abhyupagantavyā /	krama-muktiH anAvRtti-Adi Sruti aBiDAneByaH aByupagantavyA /
   na hi āñjasa eva gatipūrvikā paraprāptiḥ saṃbhavati iti upapaditam // 10	na hi AQjasaH eva gati-pUrvikA para-prAptiH saMBavati iti upapaditam // 10
   smṛteś ca | BBs_4,3.11 |	smRteH ca | BBH-_4,3.11 |
   smṛtiḥ api etam artham anujānāti - 'brahmaṇā saha te sarve saṃprāpte	smRtiH api etam arTam anujAnAti  abrahmaNA saha te sarve saMprApte
   pratisaṃcare /	pratisaMcare /
   parasyānte kṛtātmānaḥ praviśanti paraṃ padam'iti /	parasya-ante kRtAtmAnaH praviSanti param padam-aiti /
   tasmāt kāryabrahmaviṣayā gatiḥ śrūyata iti siddhāntaḥ // 11 //	tasmAt kArya-brahma-vizayA gatiH SrUyate iti sidDAntaH // 11 //
   kaṃ puna- pūrvapakṣam āśaṅkya ayaṃ siddhāntaḥ pratiṣṭhāpitaḥ 'kāryaṃ	kam puna pUrva-pakzam ASaFkya ayam sidDAntaH pratizWApitaH akAryam
   bādariḥ' (bra.sū. 4.3.7) ityādina iti /	bAdariH-a (bra.sU. 4.3.7) ityAdinaH iti /
   sa idānīṃ sūtraiḥ eva upadarśyate -	saH idAnIm sUtrEH eva upadarSyate -
   paraṃ jaiminir mukhyatvāt | BBs_4,3.12 |	param jEminiH muKya-tvAt | BBH-_4,3.12 |
   jaiminiḥ tu ācāryaḥ 'sa enānbrahma gamayati'(chā. 4.15.6) iti atra	jEminiH tu AcAryaH asaH enAn-brahma gamayati-a(CA. 4.15.6) iti atra
   parameva brahma prāpayati iti manyate /	param-eva brahma prApayati iti manyate /
   kutaḥ - mukhyatvāt /	kutas  muKya-tvAt /
   paraṃ hi brahma brahmaśabdasya mukhyam ālambanaṃ, gauṇam aparaṃ,	param hi brahma brahma-Sabdasya muKyam AlambanaM, gONam aparaM,
   mukhyagauṇayogaḥ ca mukhye saṃpratyayo bhavati // 12 //	muKya-gONa-yogaH ca muKye saMpratyayaH Bavati // 12 //
   darśanāc ca | BBs_4,3.13 |	darSanAt ca | BBH-_4,3.13 |
   'tayordhvamāyannamṛtatvameti' (chā. 8.6.6, ka. 6.16) iti ca gatipūrvakam	ataya-UrDvamAyan=-amRta-tvam-eti-a (CA. 8.6.6, ka. 6.16) iti ca gati-pUrvakam
   amṛtatvaṃ darśayati /	amRta-tvam darSayati /
   amṛtatvaṃ ca parasmin brahmaṇi upapadyate na kārye, vināśitvāt kāryasya /	amRta-tvam ca parasmin brahmaNi upapadyate na kArye, vinASi-tvAt kAryasya /
   'atha yatrānyatpaśyati tadalpaṃ tanmartyam' (chā. 7.24.1) iti pravacanāt /	aaTa yatra-anyat-paSyati tat-alpam tat-martyam-a (CA. 7.24.1) iti pravacanAt /
   paraviṣaya eva ca eṣā gatiḥ kaṭhavallīṣu paṭhyate /	para-vizayaH eva ca ezA gatiH kaWavallIzu paWyate /
   na hi tatra vidyāntaraprakramaḥ asti 'anyatra dharmādanyatrādharmāt' (ka.	na hi tatra vidyA-antara-prakramaH asti aanyatra DarmAt-anyatra-aDarmAt-a (ka.
   2.14) iti parasya eva brahmaṇaḥ prakrāntatvāt // 13 //	2.14) iti parasya eva brahmaNaH prakrAnta-tvAt // 13 //
   na ca kārye pratipattyabhisaṃdhiḥ | BBs_4,3.14 |	na ca kArye pratipatti-aBisaMDiH | BBH-_4,3.14 |
   api ca 'prajāpateḥ sabhāṃ veśma prapadye' (chā. 8.14.1) iti na ayaṃ	api ca aprajApateH saBAm veSma prapadye-a (CA. 8.14.1) iti na ayam
   kāryaviṣayaḥ pratipatti abhisaṃdhiḥ 'nāmarūpayornirvahitā te yadantarā	kArya-vizayaH pratipatti aBisaMDiH anAma-rUpayoH-nirvahitA te yat-antarA
   tadbrahma' (chā. 8.14.1) iti kāryavilakṣaṇasya parasya eva brahmaṇaḥ	tat-brahma-a (CA. 8.14.1) iti kArya-vilakzaNasya parasya eva brahmaNaH
   prakṛtatvāt /	prakRta-tvAt /
   'yaśo 'haṃ bhavāmi brāhmaṇānām' (chā. 8.14.1) iti ca sarvātmatvena	ayaSaH aham BavAmi brAhmaNAnAm-a (CA. 8.14.1) iti ca sarva-Atma-tvena
   upakramaṇāt /	upakramaNAt /
   'na tasya pratimā asti, yasya nāmamahadyaśaḥ' (śvetā. 4.19) iti ca parasya	ana tasya pratimA asti, yasya nAma-mahat-yaSaH-a (SvetA. 4.19) iti ca parasya
   eva brahmaṇo yaśonāmatva prasiddheḥ /	eva brahmaNaH yaSaH-nAma-tva prasidDeH /
   'sā ceyaṃ veśmapratipattirgatipūrvikā hārdavidyāyāmuditā tadaparājitā	asA ca-iyam veSma-pratipattiH-gati-pUrvikA hArdavidyAya-amuditA tad-aparAjitA
   pūrbrahmaṇaḥ prabhuvimitaṃ hiraṇmayam' (chā. 8.5.3) iti atra /	pUrbrahmaNaH praBu-vimitam hiraNmayam-a (CA. 8.5.3) iti atra /
   paderapi ca gatyarthatvāt mārga apekṣā avasīyate /	padeH-api ca gati-arTa-tvAt mArga apekzAH avasIyate /
   tasmāt parabrahmaviṣayā gatiśrutaya iti pakṣāntaram /	tasmAt para-brahma-vizayAH gati-SrutayaH iti pakza-antaram /
   tau etau dvau pakṣau ācāryeṇa sūtritau gati upapattyādibhiḥ	tO etO dvO pakzO AcAryeNa sUtritO gati upapatti-AdiBiH
   eko mukhyatvādibhiḥ aparaḥ /	ekaH muKya-tva-AdiBiH aparaH /
   tatra gati upapattyādayaḥ prabhavanti mukhyatvādīna ābhāsayituṃ na tu	tatra gati upapatti-AdayaH praBavanti muKya-tva-AdInaH ABAsayitum na tu
   mukhyatvādayo gati upapattyādīn ityādya eva siddhānto vyākhyāto dvitīyaḥ	muKya-tva-AdayaH gati upapatti-AdIn iti-AdyaH eva sidDAntaH vyAKyAtaH dvitIyaH
   pūrvapakṣaḥ /	pUrva-pakzaH /
   na hi asati api saṃbhave mukhyasya eva arthasya grahaṇam iti kaścit	na hi asati api saMBave muKyasya eva arTasya grahaNam iti kaScid-
   ājñāpayitā vidyate /	AjQApayitA vidyate /
   paravidyāprakaraṇe api ca tat stutyarthaṃ vidyāntara āśrayagati	para-vidyA-prakaraNe api ca tat stuti-arTam vidyA-antaraH ASraya-gati
   anukīrtanam upapadyate 'viṣvaṅṅanyā utkramaṇe bhavanti' (chā. 8.6.6)	anukIrtanam upapadyate avizvaFFanyAH utkramaNe Bavanti-a (CA. 8.6.6)
   itivat /	iti-vat /
   'prajāpateḥ sabhāṃ veśma prapadye' (chā. 8.14.1) iti tu	aprajApateH saBAm veSma prapadye-a (CA. 8.14.1) iti tu
   pūrvavākyavicchedena kārye api pratipatti abhisaṃdhiḥ na virudhyate /	pUrva-vAkya-vicCedena kArye api pratipatti aBisaMDiH na viruDyate /
   saguṇe api ca brahmaṇi sarvātmatva saṃkīrtanaṃ sarvakarmā sarvakāma	sa-guNe api ca brahmaNi sarva-Atma-tva saMkIrtanam sarva-karmA sarva-kAma-
   ityādivat avakalpate /	ityAdi-vat avakalpate /
   tasmāt aparaviṣayā eva gatiśrutayaḥ /	tasmAt apara-vizayAH eva gati-SrutayaH /
   kecit punaḥ pūrvāṇi pūrvapakṣasūtrāṇi bhavanti uttarāṇi siddhāntasūtrāṇi	kecid punar pUrvANi pUrva-pakza-sUtrANi Bavanti uttarANi sidDAnta-sUtrANi
   iti etāṃ vyavasthānam anurudhyamānāḥ paraviṣayā eva gatiśrutīḥ	iti etAm vyavasTAnam anuruDyamAnAH para-vizayAH eva gati-SrutIH
   pratiṣṭhāpayanti tat anupapannaṃ gantavyatva anupapatteḥ brahmaṇaḥ /	pratizWApayanti tat anupapannam gantavya-tva anupapatteH brahmaNaH /
   yat sarvagataṃ sarvāntaraṃ sarvātmakaṃ ca paraṃ brahma	yat sarva-gatam sarva-antaram sarva-Atmakam ca param brahma
   'ākāśavatsarvagataśca nityaḥ' 'yatsākṣādaparokṣādbrahma' (bṛ. 3.4.1) 'ya	aAkASa-vat-sarva-gataH-ca nityaHa ayat-sAkzAt-aparokzAt-brahma-a (bR. 3.4.1) aya
   ātmā sarvāntaraḥ' (bṛ. 3.4.1) 'ātmaivedaṃ sarvam' (chā. 7.25.2)	AtmA sarva-antaraH-a (bR. 3.4.1) aAtmA-eva-idam sarvam-a (CA. 7.25.2)
   'brahmaivedaṃ viśvamidaṃ variṣṭham' (mu. 2.2.11) ityādi śrutinirdhārita	abrahma-eva-idam viSvam-idam varizWam-a (mu. 2.2.11) ityAdi Sruti-nirDArita
   viśeṣaṃ tasya gantavyatā na kadācit api upapadyate /	viSezam tasya gantavya-tA na kadAcid api upapadyate /
   na hi gatameva gamyate /	na hi gatam-eva gamyate /
   anyo hi anyat gacchati iti prasiddhaṃ loke /	anyaH hi anyat gacCati iti prasidDam loke /
   nanu loke gatasya api gantavyatā deśāntaraviśiṣṭā dṛṣṭā /	nanu loke gatasya api gantavya-tA deSa-antara-viSizwAH dRzwAH /
   yathā pṛthivīstha eva pṛthivīṃ deśāntaradvāreṇa gacchati iti /	yaTA pRTivI-sTaH eva pRTivIm deSa-antara-dvAreNa gacCati iti /
   tathā ananyatve api sarvaśakti upetatvāt kathañcit gantavyatā syāt iti /	taTA ananya-tve api sarva-Sakti upeta-tvAt kaTaQcid gantavya-tA syAt iti /
   na /	na /
   pratiṣiddhasarvaviśeṣatvāt brahmaṇaḥ /	pratizidDa-sarva-viSeza-tvAt brahmaNaH /
   'niṣkalaṃ niṣkriyaṃ śāntaṃ niravadyaṃ nirañjanam'(śvetā. 6.19)	anizkalam nizkriyam SAntam niravadyam niraQjanam-a(SvetA. 6.19)
   'asthūlamanaṇvahrasvamadīrgham'(bṛ. 3.8.8) 'sabāhyābhyantaro hyajaḥ'(mu.	aasTUla-manaNva-hrasvam-adIrGam-a(bR. 3.8.8) asa-bAhya-aByantaraH hi-ajaH-a(mu.
   2.1.2) 'sa vā eṣa mahānaja ātmājaro 'maro 'mṛto 'bhayo brahma'(bṛ. 4.4.25)	2.1.2) asa vE eza mahAn-ajaH Atma-ajaraH amaraH amRtaH aBayaH brahma-a(bR. 4.4.25)
