   Mahāsannipātaratnaketudhāraṇī sūtraṃ	MahAsannipAta-ratna-ketu-DAraNI sUtram
   utsṛjya kāmānaśūcinanantā- nupasaṃkramadhvaṃ sugataṃ śaraṇyam //	utsRjya kAmAnaSUcinanantA nupasaMkramaDvam sugatam SaraNyam //
   Rkp_3.67(="66") //	RkB-_3.67(="66") //
   (Dutt 72)	(Dutt 72)
   gatvā ca tasmād vacanaṃ śṛṇudhvaṃ subhāṣitaṃ taddhi mahārthikaṃ vacaḥ /	gatvA ca tasmAt vacanam SRNuDvam su-BAzitam tat-hi mahArTikam vacaH /
   prajñā-vimuktiḥ praśamāya hetuḥ saddharmayuktaṃ śravaṇaṃ mahārtham //	prajQA--vimuktiH praSamAya hetuH sadDarma-yuktam SravaNam mahArTam //
   Rkp_3.68(="67") //	RkB-_3.68(="67") //
   yāvat ṣoḍaśasu devanikāyeṣu tasya padmasya patrebhyaḥ imā evaṃrūpā gāthā	yAvat zoxaSasu deva-nikAyezu tasya padmasya patreByaH imAH evaMrUpA gATA
   niśceruḥ /	niSceruH /
   dharmaṃ prayatnena vibhāvayadhvaṃ samāhita-dhyānaratā anaṅganāḥ /	Darmam prayatnena viBAvayaDvam samAhita--DyAna-ratAH anaFganAH /
   abhrāntacittāśca vimokṣakāṅkṣiṇo dveṣaprahāṇāya matiṃ kurudhvam //	aBra-anta-cittAH-ca vimokza-kAFkziNaH dveza-prahANAya matim kuruDvam //
   Rkp_3.69(="68") //	RkB-_3.69(="68") //
   trayodaśākāra-nimitta-dīpikāṃ vibhāvayadhvaṃ paramāṃ hi kṣāntim /	trayodaSa-AkAra--nimitta-dIpikAm viBAvayaDvam paramAm hi kzAntim /
   athaiva cāpyatra vimokṣamāśu saṃprāpsyatha vyādhijarāviyuktam //	aTa-eva ca-api-atra vimokzam-ASu saMprApsyaTa vyADi-jarA-viyuktam //
   Rkp_3.70(="69") //	RkB-_3.70(="69") //
   śāśvata ye rūpavikalpasaṃjñake nityaṃ dhruvātmasthirabhāvadṛṣṭayaḥ /	SASvata ye rUpa-vikalpa-saMjQake nityam DruvAtma-sTira-BAva-dRzwayaH /
   (Dutt 73)	(Dutt 73)
   teṣāṃ ca janma[jarayora]hāni- rapāyabhūmipravaṇā hi te vai //	tezAm ca janma[-jarayoH-a]hAni rapAya-BUmi-pravaNAH hi te vE //
   Rkp_3.71(="70") //	RkB-_3.71(="70") //
   traidhātukaṃ vīkṣya sadā nirātma- madravyamasvaṃvaśakaṃ nirīham /	trEDAtukam vIkzya sadA nirAtma madravyamasvaMvaSakam nirIham /
   kṣāntiṃ vibhāventi ya ānulomikīṃ bhavanti te sarvi gatipramuktāḥ //	kzAntim viBAventi ye AnulomikIm Bavanti te sarvi gati-pramuktAH //
   Rkp_3.72(="71") //	RkB-_3.72(="71") //
   teṣāṃ na mṛtyurna jarā na rogo na durgatirnāpriyasaṃprayogaḥ /	tezAm na mRtyuH-na jarA na rogaH na durgatiH-na-apriya-saMprayogaH /
   ākāśatulyāniha sarvadharmān ye bhāvayante vyayabhāvayuktān //	AkASa-tulyAn-iha sarva-DarmAn ye BAvayante vyaya-BAva-yuktAn //
   Rkp_3.73(="72") //	RkB-_3.73(="72") //
   atyantaśuddho hi varaḥ sa mārgo yeṣāmasaṅgaṃ mana-indriyeṣu /	atyanta-SudDaH hi varaH sa mArgaH yezAm-asaFgam mana-indriyezu /
   mārān vidhunvanti catuṣprakārān yathāhyayaṃ saṃprati śākyasiṃhaḥ //	mArAn viDunvanti catuzprakArAn yaTA-hi-ayam saMprati SAkya-siMhaH //
   Rkp_3.74(="73") //	RkB-_3.74(="73") //
   ekaṃ nayaṃ ye tu vibhāvayanti niṣkiñcanaṃ sarvanimittavarjitam /	ekam nayam ye tu viBAvayanti nizkiQcanam sarva-nimitta-varjitam /
   dvayaprahāṇāya vinītaceṣṭā teṣāmayaṃ mārgavaraḥ praṇītaḥ //	dvaya-prahANAya vinIta-cezwA tezAm-ayam mArga-varaH praNItaH //
   Rkp_3.75(="74") //	RkB-_3.75(="74") //
   (Dutt 74)	(Dutt 74)
   vibhāvya śūnyāniha sarvadharmān asvāmikānakārakajātivṛttān /	viBAvya SUnyAn-iha sarva-DarmAn asvAmikAn-akAraka-jAti-vRttAn /
   spṛśanti bodhiṃ gaganasvabhāvāṃ niruttamāṃ prārthanayā vivarjitām //	spRSanti boDim gagana-svaBAvAm niruttamAm prArTanayA vivarjitAm //
   Rkp_3.76(="75") //	RkB-_3.76(="75") //
   ebhirevaṃrūpairarthapadadharmaśabdairniścaradbhirya iha lokadhātau	eBiH-evaMrUpEH-arTa-pada-Darma-SabdEH-niScaradBiH-yaH iha lokaDAtO
   manuṣyāmanuṣyāste samāgamya vīthīmadhye samantāstasya padmasya niṣeduḥ /	manuzya-amanuzyAH-te samAgamya vITI-maDye samantAH-tasya padmasya nizeduH /
   yāvadaprameyāsaṃkhyeyā akaniṣṭhā devā akaniṣṭhābhavanādavatīrya te	yAvat-aprameya-asaMKyeyAH akanizWA devAH akanizWA-BavanAt-avatIrya te
   padmasya samantato nyaṣīdan dharmaśravaṇāya / aśrauṣīnmāraḥ pāpīmānetān	padmasya samantataH nyazIdan Darma-SravaNAya / aSrOzIt-mAraH pApImAn-etAn
   ślokān / samantataśca vyavalokya adrākṣīt rājagṛhe mahānagare vīthimadhye	SlokAn / samantataH-ca vyavalokya adrAkzIt rAja-gRhe mahA-nagare vITi-maDye
   padmam / tataśceme ślokāḥ niśceruḥ / tadā padmaṃ paricārya	padmam / tatas-ca-ime SlokAH niSceruH / tadA padmam paricArya
   aprameyāsaṃkhyeyāni manuṣyakoṭīnayutaśatasahasrāṇi sanniṣaṇṇāni	aprameya-asaMKyeyAni manuzya-kowIn-ayuta-Sata-sahasrANi sannizaNNAni
   dharmaśravaṇāya /	Darma-SravaNAya /
   atha khalu māraḥ pāpīmān ūrddhvaṃ vyavalokitavān / adrākṣīt ṣaṭsu	aTa Kalu mAraH pApi-imAn UrdDvam vyavalokitavAn / adrAkzIt zawsu
   kāmāvacareṣu deveṣu sarvatra devabhavane tatpadmam / tadeva cānuparivārya	kAma-avacarezu devezu sarvatra deva-Bavane tat-padmam / tat-eva ca-anuparivArya
   aprameyāsaṃkhyeyāni devakoṭīnayutaśatasahasrāṇi [sanniṣaṇṇāni]	aprameya-asaMKyeyAni deva-kowIn-ayuta-Sata-sahasrANi [sannizaNNAni]
   dharmaśravaṇāya /	Darma-SravaNAya /
   atha bhūyasyā mātrayā māraḥ pāpīmān duḥkhito durmanā vipratisārī	aTa BUyasyAH mAtrayA mAraH pApi-imAn duHKitaH durmanAH vipratisArI
   saṃhṛṣṭaromakūpaḥ prakhinnagātraḥ saṃprakampitaśarīro gagane pradhāvan	saMhRzwa-romakUpaH praKinna-gAtraH saMprakampita-SarIraH gagane praDAvan
   mahatā svareṇa parān mārān prakrośannevamāha /	mahatA svareNa parAn mArAn prakroSan=-evam-Aha /
   (Dutt 75)	(Dutt 75)
   śṛṇu giri mama imā samavahitamanā na me vaśo svaviṣaye na ca balamiha me /	SRNu giri mama imA samavahita-manAH na me vaSaH sva-vizaye na ca balam-iha me /
   idamiha munibalamatiguṇaviśadaṃ prasarati jagati sthirajanakaraṇam //	idam-iha muni-balam-ati-guNa-viSadam prasarati jagati sTira-jana-karaNam //
   Rkp_3.77(="76") //	RkB-_3.77(="76") //
   kamalamihodayati naramaru lhādayitumupagata nikhiulato sujananiyatā /	kamalam-iha-udayati nara-maru lhAt-ayitum-upagata niKiulataH su-jana-niyatA /
   paritṛṣita sugatasuvacananiratā vrajati hi śamathapathamatiguṇaparamā //	paritRzita sugata-suvacana-niratAH vrajati hi SamaTa-paTam-ati-guNa-paramAH //
   Rkp_3.78(="77") //	RkB-_3.78(="77") //
   māyeyaṃ śramaṇa pravartata iha trailokyasaṃmohane	mAyA-iyam SramaNa pravartate iha trElokya-saMmohane
   sarve 'nanyamanā narāmaragaṇāḥ padmaṃ vitatya sthitāḥ /	sarve ananya-manAH nara-amara-gaNAH padmam vitatya sTitAH /
   kṣipraṃ muñcata śailavṛṣṭimadhunā bhīṣmasvaraṃ rāviṇo	kzipram muQcata SEla-vRzwi-maDunA BIzma-svaram rAviNaH-
   gacchennāśamayaṃ yathādya nihato māro 'grasinyāyudhaiḥ // Rkp_3.79(="78")	gacCet-nASa-mayam yaTA-adya nihataH mAraH agrasinyAyuDEH // RkB-_3.79(="78")
   athāparo māraḥ pāpīmantamevamāha /	aTa-aparaH mAraH pApIm-antam-evam-Aha /
   śṛṇvasmākamidaṃ vaco hitakaraṃ vijñātadharmo 'si kiṃ	SRNu-asmAkam-idam vacaH hita-karam vijQAta-DarmaH asi kim
   yat paśyanniha marasainyavilayaṃ nāyāsi śānti tataḥ /	yat paSyan=-iha mara-sEnya-vilayam na-AyAsi SAnti tatas /
   bhrāntāḥ sma asamīkṣya saugatamidaṃ tejovapuḥ śrīghanaṃ	BrAntAH sma asamIkzya sOgatam-idam tejaH-vapuH SrIGanam
   rūpaṃ nānyadihottamaṃ suśaraṇaṃ buddhādṛte nāyakam // Rkp_3.80(="79") //	rUpam na-anyat-iha-uttamam su-SaraNam budDAt-Rte nAyakam // RkB-_3.80(="79") //
   (Dutt 76)	(Dutt 76)
   athāparo māraḥ prarudan paramakrodhāviṣṭavacano māraṃ pāpīmantamevamāha /	aTa-aparaH mAraH prarudan parama-kroDa-Avizwa-vacanaH mAram pApIm-antam-evam-Aha /
   kumārgasaṃprasthita mārgahīna prajānase na svabalaṃ na śaktim /	kumArga-saMprasTita mArga-hIna prajAnase na sva-balam na Saktim /
   na lajjase 'patrapase na caiva yastvaṃ saha spardhasi nāyakena //	na lajjase apatrapase na ca-eva yaH-tvam saha sparDasi nAyakena //
   Rkp_3.81(="80") //	RkB-_3.81(="80") //
   asmabdalairyadvilayaṃ prayātaṃ buddhasya śaktyā tu jagat samagram /	asmabdalEH-yat-vilayam prayAtam budDasya SaktyA tu jagat samagram /
   upāgamat padmasamīpamāśu dharmaśravāpyāyitaśuddhadehaḥ // Rkp_3.82(="81")	upAgamat padma-samIpam-ASu Darma-Srava-ApyAyita-SudDa-dehaH // RkB-_3.82(="81")
   vayaṃ tu vībhatsatarāḥ prayātā durgandhakāyā balavīryanaṣṭāḥ /	vayam tu vIBatsatarAH prayAtAH durganDakAyAH bala-vIrya-nazwAH /
   yāvanna yātā vilayaṃ kṣaṇena tāvad vrajāmaḥ śaraṇaṃ munīndram //	yAvat-na yAtAH vilayam kzaNena tAvat vrajAmaH SaraNam muni-indram //
   Rkp_3.83(="82") //	RkB-_3.83(="82") //
   athāpare mārāḥ kṛtāñjalaya evamāhuḥ /	aTa-apare mArAH kRtAQjalayaH evam-AhuH /
   pāpīmaṃstvamapetadharmacaraṇaḥ pāpakriyāyāṃ rato	pApIman=-tvam-apeta-Darma-caraNaH pApa-kriyAyAm rataH-
   nātho hyeṣa jagaddhitārthakuśalo buddhaḥ satāmagraṇīḥ /	nATaH hi-eza jagat-hita-arTa-kuSalaH budDaH satAm-agraNIH /
   āyāmo nagaraṃ drutaṃ vayamiha prītiprasannekṣaṇāḥ	AyAmaH nagaram drutam vayam-iha prIti-prasanna-IkzaNAH
   gacchāmaḥ śaraṇaṃ trilokamahitaṃ sarvauṣadhaṃ prāṇinām // Rkp_3.84(="83")	gacCAmaH SaraNam trilokam-ahitam sarva-OzaDam prANinAm // RkB-_3.84(="83")
   (Dutt 77)	(Dutt 77)
   atha tatraiva gaganaghoṣavatirnāma māraḥ sa uccasvareṇaivamāha /	aTa tatra-eva gaganaGozavatiH-nAma mAraH saH ucca-svareNa-evam-Aha /
   sava yūyaṃ samagrāḥ śṛṇuta mama vaco bhaktitaḥ prītiyuktāḥ	sava yUyam samagrAH SRNuta mama vacaH BaktitaH prIti-yuktAH
   pāpād dṛṣṭiṃ nivārya praṇatatanumanovāksamācāraceṣṭāḥ /	pApAt dRzwim nivArya praNata-tanu-manaH-vAc-samAcAra-cezwAH /
   tyaktakrodhāḥ prahṛṣṭamunivaravacanāḥ sphītabhaktiprasādā	tyakta-kroDAH prahRzwa-muni-vara-vacanAH sPIta-Bakti-prasAdA
   gatvā buddhaṃ samakṣaṃ śaraṇamasulabhaṃ pūjayāmo 'dya bhaktayā //	gatvA budDam samakzam SaraNam-asulaBam pUjayAmaH adya BaktayA //
   Rkp_3.85(="84") //	RkB-_3.85(="84") //
   atha tatkṣaṇameva sarve mārā gaganatalādavatīrya rājagṛhanagaradvārāṇi	aTa tad-kzaNam-eva sarve mArA gagana-talAt-avatIrya rAjagRha-nagara-dvArANi
   saptaratnamayāni cakruḥ / kecinmāracakravartirājaveṣamātmānamabhinirmīya	sapta-ratna-mayAni cakruH / kecid-mAra-cakravarti-rAja-vezam-AtmAnam-aBinirmIya
   bhagavataḥ pūjāparāstasthuḥ / kecid brahmaveṣaṃ kecidvaśavartiveṣaṃ	BagavataH pUjA-parAH-tasTuH / kecid brahma-vezam kecid-vaSa-varti-vezam
   kecinmaheśvaraveṣaṃ kecinnārāyaṇaveṣaṃ kecittuṣitaveṣaṃ kecid yamaveṣaṃ	kecid-maheSvara-vezam kecid-nArAyaNa-vezam kecid-tuzita-vezam kecid yama-vezam
   kecicchakraveṣaṃ kecittrayastriṃśadveṣaṃ kecit kumāraveṣaṃ kecid	kecid-Sakra-vezam kecid-trayastriMSat-vezam kecid kumAra-vezam kecid-
   vaiśravaṇaveṣaṃ kecid virūḍhakaveṣaṃ kecid virūpākṣaveṣaṃ kecid	vESravaNa-vezam kecid virUXaka-vezam kecid virUpAkza-vezam kecid-
   dhṛtarāṣṭraveṣaṃ kecit prākṛtacaturmahārājaveṣaṃ kecit sūryaveṣaṃ	DRtarAzwra-vezam kecid prAkRta-catur-mahA-rAja-vezam kecid sUrya-vezam
   keciccandraveṣaṃ kecittārakaveṣaṃ kecidasuraveṣaṃ kecid garuḍaveṣaṃ kecit	kecid-candra-vezam kecid-tAraka-vezam kecid-asura-vezam kecid garuxa-vezam kecid-
   kinnaraveṣaṃ kecinmahoragaveṣaṃ kecid ratnaparvataveṣaṃ kecit niṣkaveṣaṃ	kinnara-vezam kecid-mahA-uraga-vezam kecid ratna-parvata-vezam kecid nizka-vezam
   kecinnānāratnaveṣaṃ kecid ratnavṛkṣaveṣaṃ kecit kṣatriyaveṣaṃ	kecid-nAnA-ratna-vezam kecid ratna-vRkza-vezam kecid kzatriya-vezam
   kecidanyatīrthikaveṣaṃ keciccakraratnaveṣaṃ kecinmaṇiratnaveṣaṃ	kecid-anya-tIrTika-vezam kecid-cakra-ratna-vezam kecid-maNi-ratna-vezam
   kecidairāvaṇaveṣaṃ kecidvalāhakarājaveṣaṃ (Dutt 78) kecit strīratnaveṣaṃ	kecid-ErAvaNa-vezam kecid-valAhaka-rAja-vezam (Dutt 78) kecid strI-ratna-vezam
   kecit śreṣṭhimahāratnaveṣam ātmānamabhinirmīya tasthurbhagavataḥ	kecid SrezWi-mahA-ratna-vezam AtmAnam-aBinirmIya tasTuH-BagavataH
   pūjākarmaṇe / kecinnīlā nīlavarṇāḥ	pUjA-karmaNe / kecid-nIlAH nIla-varNAH
   śvetavarṇālaṅkārālaṃkṛtamātmānamabhinirmīya bhagavataḥ pūjākarmaṇe lohitān	Sveta-varNa-alaFkAra-alaMkRtam-AtmAnam-aBinirmIya BagavataH pUjA-karmaNe lohitAn
   chatradhvajapatākāmuktāhārān dhārayantastālapramāṇāmātramuccatvena	Catra-Dvaja-patAkA-muktA-AhArAn DArayantaH-tAla-pramANA-mAtram-ucca-tvena
   gaganatale tasthuḥ / kecidavadātā avadātavarṇā	gagana-tale tasTuH / kecid-avadAtA avadAta-varNA
   mañjiṣṭhavarṇābharaṇavibhūṣaṇāḥ pītān chatradhvajapatākāna	maQjizWa-varNa-ABaraNa-viBUzaNAH pItAn Catra-Dvaja-patAkA-na
   dhārayantastasthuḥ / kecinmañjiṣṭhā mañjiṣṭhavarṇāḥ	DArayantaH-tasTuH / kecid-maQjizWAH maQjizWa-varNAH
   suvarṇābharaṇavibhūṣaṇā nīlān chatradhvajapatākān dhārayantastasthuḥ /	suvarNa-ABaraNa-viBUzaNAH nIlAn Catra-Dvaja-patAkAn DArayantaH-tasTuH /
   kecillohitā lohitavarṇāḥ śvetamuktavarṣaṃ vavarṣuḥ / kecit śvetāḥ	kecid-lohitAH lohita-varNAH Sveta-mukta-varzam vavarzuH / kecid SvetAH
   śvetavarṇāḥ lohitamuktavarṣaṃ vavarṣuḥ /	Sveta-varNAH lohita-mukta-varzam vavarzuH /
   keciddevarṣivarṇamātmānamabhinirmīya gaganāt puṣpavarṣam abhipravarṣuḥ /	kecid-devaRzi-varNam-AtmAnam-aBinirmIya gaganAt puzpa-varzam aBipravarzuH /
   kecid bhagavataḥ śrāvakaveṣamātmānamabhinirmīya nānādivyagandhavarṣaṃ	kecid BagavataH SrAvaka-vezam-AtmAnam-aBinirmIya nAnA-divya-ganDa-varzam
   gaganādvavarṣuḥ / kecid gandharvavarṇā nānādivyatūryāṇi parājaghnuḥ /	gaganAt-vavarzuH / kecid ganDarva-varNAH nAnA-divya-tUryANi parAjaGnuH /
   kecit amarakanyāvarṇā nānāratnabhājaneṣu gandhodakaṃ dhārayantaḥ pṛthivīṃ	kecid amara-kanyA-varNAH nAnA-ratna-BAjanezu ganDa-udakam DArayantaH pRTivIm
   siṣiñcuḥ / kecit kālakṛṣṇavarṇāḥ gandhān pradhūpayāmāsuḥ /	siziQcuH / kecid kAla-kRzNa-varNAH ganDAn praDUpayAmAsuH /
   keciddevaputrarūpeṇa nṛtyagītasvarān mumucuḥ / kecinnānāvarṇā yena	kecid-deva-putra-rUpeNa nRtya-gIta-svarAt mumucuH / kecid-nAnA-varNAH yena
   bhagavāṃstena prāñjalayo bhagavantaṃ tuṣṭuvuḥ / kecinmārāḥ mārapārṣadyā	BagavAn=-tena prAQjalayaH Bagavantam tuzwuvuH / kecid-mArAH mAra-pArzadyA
   api yasyāṃ diśi bhagavāṃstadabhimukhā nānāvidhāni maṇiratnāni dadhire	api yasyAm diSi BagavAn=-tad-aBimuKAH nAnAviDAni maNi-ratnAni daDire
   bhagavataḥ pūjākarmaṇe / kecid	BagavataH pUjA-karmaNe / kecid-
   vīthīgṛhaśaraṇagavākṣoraṇaharmya-catvaraśṛṅgāṭakakūṭāgāra-dvāra-vṛkṣavimāneṣu	vITI-gRha-SaraNa-gavAkzoraNa-harmya--catvara-SRFgAwaka-kUwAgAra-dvAra--vRkza-vimAnezu
   (Dutt 79) sthitvā prāñjalayo niṣeduḥ bhagavata pūjākarmaṇe /	(Dutt 79) sTitvA prAQjalayaH nizeduH Bagavata pUjA-karmaNe /
   atha sa māro yadā adrākṣīt sarvāṃstān mārān saparivārān śramaṇagautamaṃ	aTa sa mAraH yadA adrAkzIt sarvAn=-tAn mArAn sa-parivArAn SramaNa-gOtamam
   śaraṇaṃ gatān tadā bhūyasyā mātrayā kṣūbdhastrasto bhrāntaḥ	SaraNam gatAn tadA BUyasyAH mAtrayA kzUbDaH-trastaH BrAntaH
   prarudannevamāha /	prarudan=-evam-Aha /
   na bhūyo me sahāyo 'sti naṣṭā śrīrme 'dya sarvataḥ /	na BUyas me sahAyaH asti nazwA SrIH-me adya sarvatas /
   bhraṣṭo 'smi māraviṣayāt kuryāṃ vīryaṃ hi paścimam // Rkp_3.86(="85") //	BrazwaH asmi mAra-vizayAt kuryAm vIryam hi paScimam // RkB-_3.86(="85") //
   mūlaṃ chindyāmahaṃ padmaṃ sattvā yena diśo 'vrajan /	mUlam CindyAm-aham padmam sattvAH yena diSaH avrajan /
   chedāt padmasya saṃbhrāntā etat syāt paścimaṃ balam // Rkp_3.87(="86") //	CedAt padmasya saMBrAntAH etat syAt paScimam balam // RkB-_3.87(="86") //
   iti saṃcintya māraḥ pāpīmān vāyuvadavatīrya gaganād yena tatpadmaṃ	iti saMcintya mAraH pApi-imAn vAyu-vat-avatIrya gaganAt yena tat-padmam
   vīthīgataṃ tena prasṛtya tatpadmamādaṇḍādicchati ūddhartuṃ spraṣṭumapi na	vITI-gatam tena prasRtya tat-padmam-AdaNxAt-icCati UdDartum sprazwum-api na
   śaśāka / patrāṇi chettumicchati na ca tāni dadarśuḥ / padmakarṇikāmapi	SaSAkaH / patrANi Cettum-icCati na ca tAni dadarSuH / padma-karNikAm-api
   pāṇinā parāhantumicchati tāmapi naiva lebhe / tad yathā vidyud dṛśyate na	pANinA parAhantum-icCati tAm-api na-eva leBe / tat yaTA vidyut dRSyate na
   copalabhyate / tad yathā vā chāyā dṛśyate na copalabhyate / evameva tat	ca-upalaByate / tat yaTA vA CAyA dRSyate na ca-upalaByate / evam-eva tat-
   padmaṃ dṛśyate na copalabhyate /	padmam dRSyate na ca-upalaByate /
   yadā ca māraḥ pāpīmān tat padmaṃ dadarśa na copalebhe na pasparśa atha	yadA ca mAraH pApImAn tat padmam dadarSa na ca-upaleBe na pasparSa aTa
   punaḥ sarvaparṣat saṃtrāsanārtham uccaiḥ mahābhairavaṃ svaraṃ	punar sarva-parzat saMtrAsana-arTam uccEs mahABEravam svaram
   moktumicchati tadapi na śaśāka / na punarmahābalavegena ubhābhyāṃ	moktum-icCati tat-api na SaSAkaH / na punar-mahA-bala-vegena uBAByAm
   pāṇibhyāmicchati mahāpṛthivīṃ parāhantuṃ kampayituṃ tadapi spraṣṭuṃ na	pANiByAm-icCati mahA-pRTivIm parAhantum kampayitum tat-api sprazwum na
   śaśāka naivopalebhe / tad yathāpi nāma kaścit (Dutt 80) ākāśamicchet	SaSAka na-eva-upaleBe / tat yaTA-api nAma kaScid (Dutt 80) AkASam-icCet-
   parāmarṣṭuṃ na ca upalabhate / evameva māraḥ pāpīmān dadarśa pṛthivīṃ na	para-amarzwum na ca upalaBate / evam-eva mAraH pApi-imAn dadarSa pRTivIm na
   ca pasparśa nopalebhe / tasyaitadabhavat / yattvahaṃ yathā saṃnipatitānāṃ	ca pasparSa na-upaleBe / tasya-etat-aBavat / yat-tu-aham yaTA saMnipatitAnAm
   sattvānāṃ prahāraṃ dadyāṃ cittavikṣepaṃ vā kuryām iti / dadarśa tān	sattvAnAm prahAram dadyAm citta-vikzepam vA kuryAm iti / dadarSa tAn
   sattvān na caikasattvamapi upalebhe na ca pasparśa /	sattvAt na ca-eka-sattvam-api upaleBe na ca pasparSaH /
   atha bhūyasyā mātrayā māraḥ pāpīmān ruroda / buddhanubhāvena cāsya sarvaṃ	aTa BUyasyAH mAtrayA mAraH pApImAn ruroda / budDanuBAvena ca-asya sarvam
   śarīraṃ vṛkṣavat cakampe / sāśrumukhaścaturdiśaṃ ca vyavalokayannevamāha /	SarIram vRkza-vat cakampe / sa-aSru-muKaH-caturdiSam ca vyavalokayan=-evam-Aha /
   māyaiṣā śramaṇena sarvajagato 'dyāvarjanārthaṃ kṛtā	mAyA-ezA SramaNena sarva-jagataH adya-Avarjana-arTam kRtA
   yenāhaṃ purato vimohita ida bhrāntiṃ gato 'smi kṣaṇāt /	yena-aham puratas vimohitaH ida BrAntim gataH asmi kzaNAt /
   bhraṣṭo 'haṃ viṣayāt svapuṇyabalataḥ kṣīṇaṃ ca me jīvitaṃ	BrazwaH aham vizayAt sva-puNya-balataH kzINam ca me jIvitam
   śīghraṃ yāmi nirākṛtaḥ svabhavanaṃ yāvanna yāmi kṣayam // Rkp_3.88(="87")	SIGram yAmi nirAkRtaH sva-Bavanam yAvat-na yAmi kzayam // RkB-_3.88(="87")
   svabhavanamapi gantumicchati na tatrāpi śaśāka gantum / sa bhūyasyā	sva-Bavanam-api gantum-icCati na tatra-api SaSAka gantum / sa BUyasyA
   mātrayā trasto ruroda / evaṃ cāsyodapādi / parikṣīṇo 'ham ṛddhibalāt	mAtrayA trastaH ruroda / evam ca-asya-udapAdi / parikzINaH aham RdDi-balAt-
   māhyaivāhaṃ śramaṇasya vaśamāgaccheyam / mā vā me 'sya śatrorvā agrato	mAhyA-eva-aham SramaNasya vaSam-AgacCeyam / mA vA me asya SatroH-vA agratas-
   jīvitakṣayaḥ syāt yat tvahamato 'ntardhāyeyaṃ sahābuddhakṣetrasya bahirdhā	jIvita-kzayaH syAt yat tu-aham-atas antarDAyeyam saha-abudDa-kzetrasya bahirDA
   kālaṃ kruyāṃ yathaikasattvo (Dutt 81) 'pi me sahābuddhakṣetre vā kālaṃ	kAlam kruyAm yaTA-eka-sattvaH (Dutt 81) api me saha-abudDa-kzetre vA kAlam
   kurvantaṃ na paśyet / tathāpi na śaknoti antardhātuṃ na digvidikṣu	kurvantam na paSyet / taTA-api na Saknoti antarDAtum na diS-vidikzu
   palāyituṃ vā tatraiva kaṇṭhe paṃcabandhanabaddhamātmānaṃ dadarśa /	palAyitum vA tatra-eva kaNWe paMca-banDana-badDam-AtmAnam dadarSa /
   bhūyasyā mātrayā kupitastrastaḥ uccai rudannevamāha / hā	BUyasyAH mAtrayA kupitaH-trastaH uccEs rudan=-evam-Aha / hA
   priyaputrabāndhavajanā na bhūyo drakṣyāma iti /	priya-putra-bAnDava-janAH na BUyas drakzyAmaH iti /
   atha ghoṣavatirnāma māraścakravartiveṣeṇa niṣaṇṇabhūto māraṃ	aTa GozavatiH-nAma mAraH-cakravarti-vezeNa nizaNNa-BUtaH mAram
   pāpīmantamevamāha /	pApIm-antam-evam-Aha /
   kiṃ bhoḥ śokamanāstvamadya rudiṣi vyākoṣavaktrasvaraḥ	kim BoH Soka-manAH-tvam-adya rudizi vyAkoza-vaktra-svaraH
   kṣipraṃ sarvajagadvaraṃ munivaraṃ nirbhīḥ śaraṇyaṃ vraja /	kzipram sarva-jagat-varam muni-varam nirBIH SaraNyam vraja /
   trāṇaṃ lokagatiśca dīpaśaraṇaṃ nāthastriduḥkhāpaho	trANam loka-gatiH-ca dIpa-SaraNam nATaH-tri-duHKa-apahaH-
   na tvetaṃ samupāsyasi sukhaśamaṃ saukhyaṃ na saṃprāpsyasi //	na tu-etam samupAsyasi suKa-Samam sOKyam na saMprApsyasi //
   Rkp_3.89(="88") //	RkB-_3.89(="88") //
   atha mārasya pāpīmata etadabhavat / yattvahaṃ santoṣavacanena	aTa mArasya pApIm-atas etat-aBavat / yat-tu-aham santoza-vacanena
   śramaṇagautamaṃ śaraṇaṃ vrajeyaṃ yadahamebhyo bandhanebhyaḥ parimucyeyam /	SramaNa-gOtamam SaraNam vrajeyam yat-aham-eByaH banDaneByaH parimucyeyam /
   ath māraḥ pāpīmān yasyāṃ diśi bhagavān vijahāra tenāñjaliṃ praṇamyaivamāha	aT mAraH pApImAn yasyAm diSi BagavAn vijahAra tena-aQjalim praNamya-evam-Aha
   / namastasmai varapudgalāya jarāvyādhiparimocakāya / evamahaṃ tsaṃ buddhaṃ	/ namaH-tasmE vara-pudgalAya jarA-vyADi-parimocakAya / evam-aham tsam budDam
   bhagavantaṃ śaraṇaṃ gacchāmi / evaṃ cāha /	Bagavantam SaraNam gacCAmi / evam ca-Aha /
   asmānnātha mahābhayāt suviṣamāt kṣipraṃ munerbandhanāt	asmAt-na-aTa mahA-BayAt su-vizamAt kzipram muneH-banDanAt-
