   akarotkiṃ mahādeva SkP_26.2c	akarot kim mahAdeva SkP_26.2c
   brahmā paramasaṃvigno SkP_13.39c	brahmA parama saMvignaH SkP_13.39c
   brahmā mama pitā svayam SkP_13.127d	brahmA mama pitA svayam Sku _13.127d
   brahmā māmabravīttataḥ SkP_29.13b	brahmA mAm abravIt tatas Sku _29.13b
   brahmārkavaiśvānaraśakracandrair SkP_29.89a	brahma arka vESvAnara Sakra candrEH Sku _29.89a
   brahmā lokapitāmahaḥ SkP_5.55b	brahmA lokapitAmahaH SkP_5.55b
   brahmā lokapitāmahaḥ SkP_5.65d	brahmA lokapitAmahaH SkP_5.65d
   brahmā lokapitāmahaḥ SkP_13.58b	brahmA lokapitAmahaH SkP_13.58b
   brahmā lokapitāmahaḥ SkP_13.131b	brahmA lokapitAmahaH SkP_13.131b
   brahmā lokapitāmahaḥ SkP_25.8b	brahmA lokapitAmahaH SkP_25.8b
   brahmā vacanamabravīt SkP_9.13d	brahmA vacanam abravIt SkP_9.13d
   brahmā vacanamabravīt SkP_11.35f	brahmA vacanam abravIt Sku _11.35f
   brahmā vedamabhāṣata SkP_5.35b	brahmA vedam aBAzata Sku _5.35b
   brahmā vyajñāpayadvibhum SkP_13.129b	brahmA vyajQApayat viBum Sku _13.129b
   brahmā vyāsa gireḥ sutām SkP_12.2b	brahmA vyAsa gireH sutAm Sk= _12.2b
   brahmā śakrastathaiva ca SkP_24.59d	brahmA SakraH taTA eva ca Sku _24.59d
   brahmā śarveṇa dhīmatā SkP_3.6b	brahmA SarveNa DImatA Sku _3.6b
   brahmiṣṭhaṃ śaktināmānaṃ SkP_16.2e	brahmizWam Sakti nAmAnam Sku _16.2e
   brāhmaṇaṃ brāhmaṇapriyā SkP_12.7d	brAhmaNam brAhmaNa priyA SkP_12.7d
   brāhmaṇaḥ kṣatriyo 'tha viṭ SkP_28.19b	brAhmaNaH kzatriyaH aTa viz SkP_28.19b
   brāhmaṇaḥ sa mṛto yāti SkP_25.58e	brAhmaNaH sa mRtaH yAti Sku _25.58e
   brāhmaṇāñchrāvayīta vā SkP_19.26b	brAhmaNAn SrAvayIta vA SkP_19.26b
   brāhmaṇānāṃ samīpataḥ SkP_5.67b	brAhmaNAnAm samIpatas SkP_5.67b
   brāhmaṇānāṃ sahasrāṇāṃ SkP_26.45a	brAhmaNAnAm sahasrANAm Sku _26.45a
   brāhmaṇānbhūmidaivatān SkP_12.12b	brAhmaNAn BUmi dEvatAn SkP_12.12b
   brāhmaṇāṃstarpayecchuciḥ SkP_28.40d	brAhmaNAn= tarpayet SuciH SkP_28.40d
   bruvāṇaṃ śuddhayā girā SkP_20.67b	bruvANam SudDayA girA Sku _20.67b
   brūta kiṃ karavāṇi vaḥ SkP_25.35d	brUta kim karavANi vaH SkP_25.35d
   brūta tatkṛtameveha SkP_8.18c	brUta tat kRtam eva iha SkP_8.18c
   brūta yaccāpi kiṃcidvo SkP_29.222a	brUta yat ca api kiMcid vaH Sku _29.222a
   brūhi kiṃ te jaganmātaḥ SkP_11.37c	brUhi kim te jaganmAtar SkP_11.37c
   brūhi kiṃ te dadāni te SkP_15.17d	brUhi kim te dadAni te SkP_15.17d
   brūhi kiṃ vā dadāni te SkP_21.16d	brUhi kim vA dadAni te SkP_21.16d
   brūhi kiṃ vā priyaṃ te 'dya SkP_18.19c	brUhi kim vA priyam te adya SkP_18.19c
   brūhi cānyānapi varān SkP_15.34e	brUhi ca anyAn api varAn Sk= _15.34e
   brūhi tanme śucismite SkP_26.12d	brUhi tat me Suci smite SkP_26.12d
   brūhi tuṣṭo 'smi te śaila SkP_11.20c	brUhi tuzwaH asmi te SEla SkP_11.20c
   brūhi yatte manogatam SkP_20.22d	brUhi yat te manogatam Sku _20.22d
   brūhi yatte manogatam SkP_21.13d	brUhi yat te manogatam Sku _21.13d
   brūhi yatte manogatam SkP_29.100d	brUhi yat te manogatam Sku _29.100d
   brūhi viśravasaḥ suta SkP_29.167d	brUhi viSravasaH suta SkP_29.167d
   bhaktastvāṃ ca viśeṣataḥ SkP_29.138d	BaktaH tvAm ca viSezataH Sku _29.138d
   bhaktasyāsya tapasvinaḥ SkP_29.138b	Baktasya asya tapasvinaH Sku _29.138b
   bhaktānāṃ bhayahāriṇe SkP_9.2b	BaktAnAm Baya hAriNe Sku _9.2b
   bhaktānugrahamīpsitam SkP_29.181b	Bakta anugraham Ipsitam Sku _29.181b
   bhaktānugrahalipsayā SkP_29.125d	Bakta anugraha lipsayA SkP_29.125d
   bhaktā ye phalamuddiśya SkP_27.4c	BaktAH ye Palam uddiSya SkP_27.4c
   bhaktiprītyā tadā vibhuḥ SkP_15.15b	Bakti prItyA tadA viBuH SkP_15.15b
   bhaktimadbhirdvijottamaiḥ SkP_29.72d	BaktimadBiH dvijottamEH SkP_29.72d
   bhaktiśca tvayi śāśvatī SkP_29.168b	BaktiH ca tvayi SASvatI Sku _29.168b
   bhakto mama varārohe SkP_31.2a	BaktaH mama varArohe Sku _31.2a
   bhaktyā ca mama bhāvataḥ SkP_29.73b	BaktyA ca mama BAvataH Sku _29.73b
   bhaktyā ca mama bhāvataḥ SkP_30.55d	BaktyA ca mama BAvataH SkP_30.55d
   bhaktyā paramayāpi ca SkP_29.114b	BaktyA paramayA api ca SkP_29.114b
   bhaktyā paramayā yutam SkP_22.1b	BaktyA paramayA yutam Sku _22.1b
   bhaktyā paramayā yutam SkP_29.99b	BaktyA paramayA yutam Sku _29.99b
   bhaktyā paramayā yutaḥ SkP_29.28d	BaktyA paramayA yutaH SkP_29.28d
   bhaktyā munivarasya ha SkP_15.13d	BaktyA muni varasya ha SkP_15.13d
   bhakṣayanti sma mahiṣaṃ SkP_7.23a	Bakzayanti sma mahizam Sku _7.23a
   bhakṣayāmāsa saṃrabdho SkP_16.15c	BakzayAmAsa saMrabDaH SkP_16.15c
   bhakṣayitvā viśuddhyarthaṃ SkP_17.27a	BakzayitvA viSudDi arTam SkP_17.27a
   bhakṣitaṃ rakṣasā śucim SkP_18.25b	Bakzitam rakzasA Sucim Sku _18.25b
   bhakṣitaḥ saha sodaraiḥ SkP_18.32b	BakzitaH saha sodarEH SkP_18.32b
   bhakṣyabhojyaiśca vividhaiḥ SkP_28.15a	Bakzya BojyEH ca viviDEH Sku _28.15a
   bhakṣyamāṇaḥ pipīlikaiḥ SkP_30.17b	BakzyamANaH pipIlikEH Sk= _30.17b
   bhaganayananipātī daityadarpāpahārī SkP_29.239a	Baga nayana nipAtI dEtya darpa apahArI Sku _29.239a
   bhaganetranipātāya SkP_14.10a	Baga netra nipAtAya Sku _14.10a
   bhagavatyamitātmani SkP_12.28b	Bagavati amita Atmani SkP_12.28b
   bhagavantamanuvratā SkP_18.10d	Bagavantam anuvratA SkP_18.10d
   bhagavantāvṛṣī satyau SkP_20.49a	BagavantO= RzI satyO Sku _20.49a
   bhagavandevatārighna SkP_24.2a	Bagavan devatA ari Gna Sku _24.2a
   bhagavandevatārighna SkP_27.3a	Bagavan devatA ari Gna Sku _27.3a
   bhagavandevadeveśa SkP_26.10c	Bagavan devadeveSa SkP_26.10c
   bhagavandevadeveśa SkP_29.121a	Bagavan devadeveSa Sku _29.121a
   bhagavannandhakāreṇa SkP_4.26a	Bagavan= anDakAreNa Sku _4.26a
   bhagavannasvatantrāsmi SkP_12.8a	Bagavan= asvatantrA asmi Sku _12.8a
   bhagavannāvamanyāmi SkP_12.12a	Bagavat na avamanyAmi Sku _12.12a
   bhagavannaiva me duḥkhaṃ SkP_5.62a	Bagavat na eva me duHKam Sku _5.62a
   bhagavanpiṅgalaḥ kena SkP_30.1a	Bagavan piFgalaH kena Sku _30.1a
   bhagavanputramicchāmi SkP_11.21a	Bagavan putram icCAmi Sku _11.21a
   bhagavanbhaktimagryāṃ tu SkP_31.8c	Bagavan Baktim agryAm tu SkP_31.8c
   bhagavanyadi tuṣṭo 'si SkP_20.24a	Bagavan yadi tuzwaH asi Sku _20.24a
   bhagavanyadi tuṣṭo 'si SkP_25.15a	Bagavan yadi tuzwaH asi Sku _25.15a
   bhagavanviditaṃ sarvaṃ SkP_15.35a	Bagavan viditam sarvam SkP_15.35a
   bhagavaṃstvāṃ ca paśyeyaṃ SkP_29.168c	Bagavan= tvAm ca paSyeyam SkP_29.168c
   bhagavānabhyavinyasat SkP_24.42d	BagavAn aByavinyasat SkP_24.42d
   bhagavānidamabravīt SkP_29.180f	BagavAn idam abravIt Sku _29.180f
   bhagavāngovṛṣadhvajaḥ SkP_12.14b	BagavAn govRza DvajaH SkP_12.14b
   bhagavāngovṛṣadhvajaḥ SkP_24.35b	BagavAn govRza DvajaH SkP_24.35b
   bhagavāndevadeveśaḥ SkP_23.1a	BagavAn devadeveSaH Sku _23.1a
   bhagavānpratyuvāca ha SkP_21.9b	BagavAn pratyuvAca ha SkP_21.9b
   bhagavānvadatāṃ varaḥ SkP_7.5b	BagavAn vadatAm varaH Sku _7.5b
   bhagavānvarado 'smīti SkP_29.151c	BagavAn vara daH asmi iti SkP_29.151c
   bhagavānviśvarūpadhṛk SkP_9.18d	BagavAn viSva rUpa DRk SkP_9.18d
   bhagavānsarvalokapaḥ SkP_7.1b	BagavAn sarva lokapaH Sku _7.1b
   bhagavānsahasābhyetya SkP_29.99c	BagavAn sahasA aByetya SkP_29.99c
   bhagavānsaṃnyaveśayat SkP_24.40d	BagavAn saMnyaveSayat SkP_24.40d
   bhagavānhimavacchṛṅge SkP_26.3a	BagavAn himavat SRFge Sku _26.3a
   bhago nāma tato deva SkP_13.35a	BagaH nAma tatas deva Sku _13.35a
   bhajante sarvato 'bhyetya SkP_29.78c	Bajante sarvatas aByetya SkP_29.78c
   bhadradohamiti khyātaṃ SkP_29.21c	Badradoham iti KyAtam SkP_29.21c
   bhadreśvara tathaiva ca SkP_29.83d	BadreSvara taTA eva ca Sku _29.83d
   bhayānnopasasāra tam SkP_20.29d	BayAt na upasasAra tam SkP_20.29d
   bhartrā krīḍasi saṃgatā SkP_26.7f	BartrA krIxasi saMgatA Sku _26.7f
   bhavatyā svalpamantaśaḥ SkP_12.49b	BavatyA su alpam antaSas Sku _12.49b
   bhavadbhyāmanyathā kṛtaḥ SkP_5.36d	BavadByAm anyaTA kRtaH SkP_5.36d
   bhava naḥ priyakṛtsadā SkP_25.38d	Bava naH priya kRt sadA SkP_25.38d
   bhava nārya iti prāha SkP_29.230e	Bava nAryaH iti prAha Sku _29.230e
   bhava no bhaktavatsala SkP_9.10d	Bava naH Bakta vatsala SkP_9.10d
   bhavantaṃ tapasāṃ yoniṃ SkP_19.12c	Bavantam tapasAm yonim SkP_19.12c
   bhavantu gaṇanāyakāḥ SkP_25.51f	Bavantu gaNanAyakAH Sku _25.51f
   bhavantu puruṣā vaśāḥ SkP_29.224d	Bavantu puruzAH vaSAH SkP_29.224d
   bhava bhūteśvara prabho SkP_25.34d	Bava BUteSvara praBo SkP_25.34d
   bhava somo hi naḥ prabho SkP_14.24d	Bava somaH hi naH praBo SkP_14.24d
   bhavasyāmitatejasaḥ SkP_14.1b	Bavasya amita tejasaH SkP_14.1b
   bhavaḥ koṭiśatāvṛtaḥ SkP_23.47d	BavaH kowi Sata AvRtaH SkP_23.47d
   bhavānmantānumantā ca SkP_25.29a	BavAn mantA anumantA ca Sku _25.29a
   bhavānyai ca namo namaḥ SkP_29.208d	BavAnyE ca namaH namaH SkP_29.208d
   bhavānrājā kutastrātā SkP_8.13a	BavAn rAjA kutas trAtA Sku _8.13a
   bhavāṃstu varṣeṇaikena SkP_20.60a	BavAn= tu varzeNa ekena Sku _20.60a
   bhavitā mā tapaḥ kṛthāḥ SkP_12.1f	BavitA mA tapaH kRTAH Sku _12.1f
   bhavitā viprapūjitaḥ SkP_12.13b	BavitA vipra pUjitaH Sku _12.13b
   bhaviteti śucismite SkP_25.26b	BavitA iti Suci smite Sku _25.26b
   bhaviṣyati gaṇādhyakṣo SkP_25.20c	Bavizyati gaNADyakzaH SkP_25.20c
   bhaviṣyati ca te mama SkP_29.124d	Bavizyati ca te mama SkP_29.124d
   bhaviṣyati na saṃdehaḥ SkP_7.27c	Bavizyati na saMdehaH SkP_7.27c
   bhaviṣyati na saṃśayaḥ SkP_8.18d	Bavizyati na saMSayaH SkP_8.18d
   bhaviṣyati na saṃśayaḥ SkP_9.23d	Bavizyati na saMSayaH SkP_9.23d
   bhaviṣyati na saṃśayaḥ SkP_22.12f	Bavizyati na saMSayaH Sku _22.12f
   bhaviṣyati na saṃśayaḥ SkP_26.25f	Bavizyati na saMSayaH Sku _26.25f
   bhaviṣyati mamājñayā SkP_4.6d	Bavizyati mama AjQayA SkP_4.6d
   bhaviṣyati sahasradhā SkP_12.61d	Bavizyati sahasraDA SkP_12.61d
   bhaviṣyati sutastava SkP_20.33d	Bavizyati sutaH tava SkP_20.33d
   bhaviṣyati supūjitam SkP_25.22b	Bavizyati su pUjitam Sku _25.22b
   bhaviṣyatyaparādhīśa SkP_26.25c	Bavizyati aparADISa SkP_26.25c
   bhaviṣyatyariduḥsaham SkP_29.171d	Bavizyati ari duHsaham Sku _29.171d
   bhaviṣyatha mamājñayā SkP_29.221d	BavizyaTa mama AjQayA SkP_29.221d
   bhaviṣyanti sadā ratāḥ SkP_29.233f	Bavizyanti sadA ratAH Sku _29.233f
   bhaviṣyasi gaṇādhyakṣo SkP_31.10c	Bavizyasi gaNADyakzaH SkP_31.10c
   bhaviṣyasi dṛḍhaṃ priyaḥ SkP_12.24d	Bavizyasi dRXam priyaH SkP_12.24d
   bhaviṣyasi dvijaśreṣṭha SkP_29.116e	Bavizyasi dvijaSrezWa Sku _29.116e
   bhaviṣyasi na saṃśayaḥ SkP_7.10d	Bavizyasi na saMSayaH SkP_7.10d
   bhaviṣyasi na saṃśayaḥ SkP_29.149b	Bavizyasi na saMSayaH Sku _29.149b
   bhaviṣyasi saridvarā SkP_22.18f	Bavizyasi sarit varA Sku _22.18f
   bhaviṣyaṃ devasattama SkP_15.35b	Bavizyam deva sattama Sku _15.35b
   bhaviṣyaṃ nānyathā kuryād SkP_15.36a	Bavizyam na anyaTA kuryAt Sku _15.36a
   bhavecca sarvāmararājatulyas SkP_19.27c	Bavet ca sarva amararAja tulyaH SkP_19.27c
   bhavedgaṇastasya kumāratulyaḥ SkP_12.63d	Bavet gaNaH tasya kumAra tulyaH SkP_12.63d
   bhaveddattasya yatphalam SkP_28.33b	Bavet dattasya yat Palam Sku _28.33b
   bhasmakakṣāvalambanam SkP_23.20d	Basma kakza avalambanam Sku _23.20d
   bhasmadigdhāṅga eva ca SkP_23.25b	Basma digDa aFgaH eva ca Sku _23.25b
   bhasmapraharaṇaṃ caiva SkP_23.23c	Basma praharaNam ca eva SkP_23.23c
   bhasmaśāyī bhasmadigdho SkP_29.98c	Basma SAyI Basma digDaH SkP_29.98c
   bhasmaśāyī yatavrataḥ SkP_28.66d	Basma SAyI yata vrataH SkP_28.66d
   bhasmasomodbhavaścaiva SkP_2.23a	Basma soma udBavaH ca eva Sku _2.23a
   bhasmābhiṣekamānantyaṃ SkP_27.27c	Basma aBizekam Anantyam SkP_27.27c
   bhasmābhyaṅgasitaprabhāḥ SkP_29.62b	Basma aByaFga sita praBAH Sku _29.62b
   bhāgaṃ ca tava yajñeṣu SkP_10.31a	BAgam ca tava yajQezu Sku _10.31a
   bhāgaṃ yacchanti me tataḥ SkP_10.34d	BAgam yacCanti me tatas SkP_10.34d
   bhāgānapaḥ spṛśanti sma SkP_10.36c	BAgAn apaH spRSanti sma SkP_10.36c
   bhāgāndattvā tathānyebhyo SkP_10.34a	BAgAn dattvA taTA anyeByaH Sku _10.34a
   bhāgīrathīmihāsādya SkP_29.93a	BAgIraTIm iha AsAdya Sku _29.93a
   bhāgīrathīṃ sameṣyanti SkP_29.80e	BAgIraTIm samezyanti Sku _29.80e
   bhāratākhyānasadṛśaṃ SkP_1.11a	BArata AKyAna sadRSam SkP_1.11a
   bhārabhūtīti vikhyāto SkP_23.19a	BAraBUti iti viKyAtaH Sku _23.19a
   bhāvanaḥ sarvabhūtānāṃ SkP_25.34a	BAvanaH sarva BUtAnAm Sku _25.34a
   bhāvanāya bhavāya ca SkP_28.55b	BAvanAya BavAya ca Sku _28.55b
   bhāvayantī tadīritam SkP_12.17b	BAvayantI tat Iritam Sku _12.17b
   bhāvaliṅgāya vai namaḥ SkP_15.24d	BAva liFgAya vE namaH SkP_15.24d
   bhāvaśuddhena cetasā SkP_13.51d	BAva SudDena cetasA SkP_13.51d
   bhāvaṃ ca rudranihitaṃ SkP_12.17c	BAvam ca rudra nihitam SkP_12.17c
   bhāvaṃ divyamatarkitam SkP_3.25b	BAvam divyam atarkitam Sku _3.25b
   bhāvaṃ śuddhaṃ samāsthitaḥ SkP_20.65b	BAvam SudDam samAsTitaH Sku _20.65b
   bhāvānugatacetase SkP_29.111d	BAva anugata cetase SkP_29.111d
   bhāvāśca sarve te devam SkP_3.23e	BAvAH ca sarve te devam Sku _3.23e
   bhāvena parameṇa ha SkP_5.54b	BAvena parameNa ha SkP_5.54b
   bhāṣantya iva rejire SkP_13.109d	BAzantyaH iva rejire SkP_13.109d
   bhāsayantau mahāmaṇī SkP_13.67b	BAsayantO mahA maNI Sku _13.67b
   bhāskaragraharaśmaye SkP_29.190d	BAskara graha raSmaye SkP_29.190d
   bhāskarākāravarcasam SkP_17.20b	BAskara AkAra varcasam SkP_17.20b
   bhāskarākāravarcasam SkP_29.173d	BAskara AkAra varcasam Sku _29.173d
   bhāsvatsphaṭikabhittībhir SkP_13.65c	BAsvat sPawika BittIBiH SkP_13.65c
   bhikṣāmuccārayañchubhām SkP_6.4d	BikzAm uccArayan SuBAm SkP_6.4d
   bhikṣārthamagamaddvijāḥ SkP_6.3b	BikzA arTam agamat dvijAH Sku _6.3b
   bhittvā śūlena saṃkruddhā SkP_7.20c	BittvA SUlena saMkrudDA SkP_7.20c
   bhittvā sambhavabandhajālagahanaṃ vindanti mokṣaṃ param SkP_29.91d	BittvA samBava banDa jAla gahanam vindanti mokzam param SkP_29.91d
   bhinne dehe na saṃśayaḥ SkP_27.22d	Binne dehe na saMSayaH SkP_27.22d
   bhītaḥ śāpācca vimanā SkP_12.11c	BItaH SApAt ca vimanA SkP_12.11c
   bhuktvā ca suciraṃ nṛpaḥ SkP_30.65b	BuktvA ca su ciram nRpaH Sku _30.65b
   bhujagābaddhamekhalam SkP_8.32d	Bujaga AbadDa meKalam SkP_8.32d
   bhujagābaddhamekhalam SkP_23.22d	Bujaga AbadDa meKalam Sku _23.22d
   bhujagābaddhamekhalaḥ SkP_23.7d	Bujaga AbadDa meKalaH SkP_23.7d
   bhujagābaddhamauñjiśca SkP_23.9a	Bujaga AbadDa mOQjiH ca Sku _23.9a
   bhujagaireva kaṅkaṇaiḥ SkP_23.9b	BujagEH eva kaFkaNEH Sku _23.9b
   bhujaṃgānāṃ ca sarveṣāṃ SkP_20.37c	BujaMgAnAm ca sarvezAm SkP_20.37c
   bhuñjāno 'tha pibanvāpi SkP_30.6c	BuQjAnaH aTa piban vA api SkP_30.6c
   bhuvanasya tathaiva ca SkP_5.29b	Buvanasya taTA eva ca Sku _5.29b
   bhuvanāmiti vikhyātāṃ SkP_21.1c	BuvanAm iti viKyAtAm SkP_21.1c
   bhuvaneśa mahādyute SkP_26.10f	BuvaneSa mahA dyute Sku _26.10f
   bhūtagrāmacikitsāṃ ca SkP_20.37a	BUta grAma cikitsAm ca Sku _20.37a
   bhūtabhavyāya śarvāya SkP_5.52c	BUta BavyAya SarvAya SkP_5.52c
   bhūtalaṃ samupāśritaḥ SkP_5.38b	BU talam samupASritaH Sku _5.38b
   bhūtaliṅgāya vai namaḥ SkP_15.23d	BUta liFgAya vE namaH SkP_15.23d
   bhūtasaṃmohanaṃ hyetat SkP_1.26c	BUta saMmohanam hi etat SkP_1.26c
   bhūtādhipataye namaḥ SkP_29.155d	BUta aDipataye namaH SkP_29.155d
   bhūtānāṃ guṇakartre ca SkP_3.18a	BUtAnAm guNa kartre ca Sku _3.18a
   bhūtānāṃ tava ca prabho SkP_3.27b	BUtAnAm tava ca praBo Sku _3.27b
   bhūtānāṃ dayitaścaiva SkP_28.11c	BUtAnAm dayitaH ca eva SkP_28.11c
   bhūtānāṃ pataye namaḥ SkP_24.51b	BUtAnAm pataye namaH Sku _24.51b
   bhūtānāṃ yuvayośca ha SkP_5.32d	BUtAnAm yuvayoH ca ha SkP_5.32d
   bhūtāni prakṛtiścaiva SkP_24.32c	BUtAni prakRtiH ca eva SkP_24.32c
   bhūtāya bhūtanāthāya SkP_21.46c	BUtAya BUtanATAya SkP_21.46c
   bhūtāḥ koṭisahasreṇa SkP_23.56a	BUtAH kowi sahasreNa Sku _23.56a
   bhūto vā rākṣaso 'pi vā SkP_26.54b	BUtaH vA rAkzasaH api vA SkP_26.54b
   bhūtvā pañcaśikhaḥ śiśuḥ SkP_13.29b	BUtvA paQcaSiKaH SiSuH Sku _13.29b
   bhūtvā lohitamāśveva SkP_4.16c	BUtvA lohitam ASu eva SkP_4.16c
   bhūmigaḥ sambabhūva ha SkP_5.38f	BUmi gaH sambaBUva ha SkP_5.38f
   bhūya eva tapaḥ kartum SkP_12.59c	BUyas eva tapaH kartum Sku _12.59c
   bhūyaścādharmakāryebhyas SkP_5.63a	BUyas ca aDarma kAryeByaH SkP_5.63a
   bhūyaḥ pañcaguṇaṃ tathā SkP_27.26d	BUyas paQcaguNam taTA SkP_27.26d
   bhūyaḥ putrastavāvyayaḥ SkP_15.37d	BUyas putraH tava avyayaH SkP_15.37d
   bhūyo 'nyena ha sattreṇa SkP_8.3a	BUyas anyena ha sattreNa Sku _8.3a
   bhūyo 'pi tava tejasā SkP_21.14b	BUyas api tava tejasA SkP_21.14b
   bhūrloke vatsyase nityaṃ SkP_10.30c	BUrloke vatsyase nityam SkP_10.30c
   bhūrloke hi dhṛte lokāḥ SkP_10.33c	BUrloke hi DRte lokAH SkP_10.33c
   bhṛkuṭībhūṣitānanaḥ SkP_23.6b	BRkuwI BUzita AnanaH SkP_23.6b
   bhṛkuṭīsaṃhatānanaḥ SkP_23.16d	BRkuwI saMhata AnanaH SkP_23.16d
   bhṛgavo 'ṅgirasaścaiva SkP_4.25a	BRgavaH aFgirasaH ca eva Sku _4.25a
   bhṛgau tasmiṃśca yaḥ prāṇāṃs SkP_25.22c	BRgO tasmin= ca yaH prANAn SkP_25.22c
   bhṛṅgāvalīśabalitāmrakadambapuṣpam SkP_30.38d	BRFga AvalISa bali ta Amra kadamba puzpam SkP_30.38d
   bhṛśamevānvakīryata SkP_18.3f	BRSam eva anvakIryata Sku _18.3f
   bhṛśaṃ bāle śubhānane SkP_12.47b	BRSam bAle SuBa Anane Sku _12.47b
   bherījharjharasaṃnādair SkP_23.67a	BerI JarJara saMnAdEH Sku _23.67a
   bherīśaṅkhamṛdaṅgaiśca SkP_23.66a	BerI SaFKa mRdaFgEH ca Sku _23.66a
   bhaikṣāya pracacāra ha SkP_6.2d	BEkzAya pracacAra ha SkP_6.2d
   bhaikṣyaṃ bhaikṣyamiti procya SkP_7.1c	BEkzyam BEkzyam iti procya SkP_7.1c
   bhairaveśvaramīśānaṃ SkP_29.84c	BEraveSvaram ISAnam SkP_29.84c
   bhojanaṃ niśi saṃskṛtam SkP_17.7d	Bojanam niSi saMskRtam SkP_17.7d
   bhojanaṃ rākṣasocitam SkP_17.23b	Bojanam rAkzasa ucitam Sku _17.23b
   bho bho viśravasaḥ putra SkP_29.129a	Bo Bo viSravasaH putra Sku _29.129a
   bho bho sabrahmakā devāḥ SkP_8.29a	Bo Bo sa brahmakAH devAH Sku _8.29a
   bhramarāvalisevitām SkP_24.18d	Bramara Avali sevitAm SkP_24.18d
   bhramarāvalisevitāḥ SkP_13.124d	Bramara Avali sevitAH SkP_13.124d
   bhrātṛbhiḥ sahitaṃ dvija SkP_17.26d	BrAtRBiH sahitam dvija SkP_17.26d
   bhrāmayantī śubhānanā SkP_29.230d	BrAmayantI SuBa AnanA SkP_29.230d
   bhrāmyatastasya dāmnastu SkP_29.231a	BrAmyataH tasya dAmnaH tu Sku _29.231a
   maṅgalānāṃ ca maṅgalam SkP_28.72d	maFgalAnAm ca maFgalam SkP_28.72d
   mañjarībhiścakāśire SkP_13.106d	maQjarIBiH cakASire SkP_13.106d
   maḍḍukairveṇuvīṇābhir SkP_23.67c	maxxukEH veNu vINABiH SkP_23.67c
   maṇipradīptojjvalakuṇḍalaśca SkP_13.11a	maNi pradIpta ujjvala kuNxalaH ca SkP_13.11a
   maṇiratnāvabhāsitam SkP_24.13d	maNi ratna avaBAsitam Sku _24.13d
   maṇḍapaṃ viśvatomukham SkP_24.14d	maNxapam viSvatomuKam SkP_24.14d
   maṇḍalasthaṃ mahādevam SkP_5.45c	maNxala sTam mahAdevam SkP_5.45c
   maṇḍūkākṣa nikumbho 'haṃ SkP_26.28a	maNxUkAkza nikumBaH aham Sku _26.28a
   maṇḍūkākṣāya rūpaṃ ca SkP_26.27c	maNxUkAkzAya rUpam ca SkP_26.27c
   mataye smṛtaye namaḥ SkP_29.189b	mataye smRtaye namaH Sku _29.189b
   matiṃ dadhre tapoyonir SkP_29.137c	matim daDre tapaH yoniH SkP_29.137c
   mattadvirephārdhavidaṣṭapatraiḥ SkP_13.110d	matta dvirePa arDa vidazwa patrEH SkP_13.110d
   mattālivrātagītaśrutisukhajananairbhāsitāntaṃ manojñaiḥ SkP_30.34b	matta ali vrAta gIta Sruti suKa jananEH BAsita antam manojQEH Sku _30.34b
   matto daṇḍaṃ tvamarhasi SkP_26.56b	mattaH daNxam tvam arhasi SkP_26.56b
   matprasādāccariṣyatha SkP_9.29d	mad prasAdAt carizyaTa SkP_9.29d
   matprasādādavāpsyati SkP_9.28d	mad prasAdAt avApsyati SkP_9.28d
   matprasādādavāpsyati SkP_30.64b	mad prasAdAt avApsyati SkP_30.64b
   matprasādādgamiṣyanti SkP_30.66e	mad prasAdAt gamizyanti Sku _30.66e
   matprasādāddhi vedastvaṃ SkP_5.36a	mad prasAdAt hi vedaH tvam Sku _5.36a
   matprasādādbhaviṣyati SkP_29.150d	mad prasAdAt Bavizyati SkP_29.150d
   matprasādānna saṃśayaḥ SkP_28.64f	mad prasAdAt na saMSayaH Sku _28.64f
   matsīgarbhasamutpannāṃ SkP_19.11a	matsI garBa samutpannAm Sku _19.11a
   matsaukhyaṃ prāpnute param SkP_28.19d	mad sOKyam prApnute param SkP_28.19d
   madanapuravidārī netradantāvapātī SkP_9.33a	madanapura vidArI netra danta avapAtI Sku _9.33a
   madamuditavihaṃgavrātanādābhirāmam SkP_30.30b	mada mudita vihaMga vrAta nAda aBirAmam Sku _30.30b
   madākulābhirbhramarāṅganābhir SkP_30.27a	mada AkulABiH Bramara aFganABiH SkP_30.27a
   madālasairbhekagaṇaiśca nāditā SkP_13.76d	mada alasEH Beka gaNEH ca nAditA SkP_13.76d
   madāśīrmannamaskāro SkP_28.46c	mad ASIrmat namaskAraH SkP_28.46c
   madīyavratacāriṇām SkP_29.45b	madIya vrata cAriNAm Sku _29.45b
   madīyaṃ vratamāśritāḥ SkP_30.47b	madIyam vratam ASritAH SkP_30.47b
   madīyaṃ vratamāśritya SkP_29.72c	madIyam vratam ASritya SkP_29.72c
   madīyo gaṇanāyakaḥ SkP_4.7b	madIyaH gaNanAyakaH Sku _4.7b
   madīyo gaṇapo yaste SkP_5.58a	madIyaH gaNapaH yaH te Sku _5.58a
   madbhaktastapasā yukto SkP_28.7a	mad BaktaH tapasA yuktaH Sku _28.7a
   madbhaktā matparāyaṇāḥ SkP_30.66d	mad BaktAH mad parAyaNAH SkP_30.66d
   madbhaktā ye śubhānane SkP_28.49d	mad BaktAH ye SuBa Anane SkP_28.49d
