   śrīgaṇeśāya namaḥ	SrI gaNeSAya namaH
   mṛgaścaiko mayā dṛṣṭo madhyame puṣkare vibho // BndP_2,35.54 //	mRgaH ca ekaH mayA dRzwaH maDyame puzkare viBo // Bndu _2,35.54 //
   tenoktamakhilaṃ vṛttaṃ mama bhūtamanāgatam /	tena uktam aKilam vRttam mama BUtam anAgatam /
   tacchūtvā vismayāviṣṭo bhavaccharaṇamāgataḥ // BndP_2,35.55 //	tat SUtvA vismaya AvizwaH Bavat SaraNam AgataH // Bndu _2,35.55 //
   pāhi māṃ kṛpayā nātha sādhayanta mahāmanum /	pAhi mAm kRpayA nATa sADayanta mahA manum /
   śivena dattaṃ kavaca mama sādhayato guro // BndP_2,35.56 //	Sivena dattam kavaca mama sADayataH guro // Bndu _2,35.56 //
   kṛṣmasya samatīta tu sādhikaṃ hi śaracchatam /	kRzmasya samatIta tu sADikam hi Sarad Satam /
   na ca siddhimavāpto 'haṃ tanme tvaṃ kṛpayā vada // BndP_2,35.57 //	na ca sidDim avAptaH aham tat me tvam kRpayA vada // Bndu _2,35.57 //
   vasiṣṭha uvāca	vasizWaH uvAca
   evaṃ praśnaṃ samākarṇya rāmasya sumahātmanaḥ /	evam praSnam samAkarNya rAmasya su mahAtmanaH /
   kṣaṇaṃ dhyātvā mahārāja mṛgoktaṃ jñātavān hṛdā // BndP_2,35.58 //	kzaNam DyAtvA mahA rAja mRga uktam jQAtavAn hRdA // Bndu _2,35.58 //
   mṛgaṃ cāpi samāyātaṃ mṛgyā saha nijāśrame /	mRgam ca api samAyAtam mRgyA saha nija ASrame /
   śrotuṃ kṛṣṇāmṛtaṃ stotraṃ sarvaṃ tatkāraṇa muniḥ /	Srotum kRzNAmRtam stotram sarvam tad kAraNa muniH /
   vicāryāśvāsayāmāsa bhārgavaḥ svavacomṛtaiḥ // BndP_2,35.59 //	vicArya ASvAsayAmAsa BArgavaH sva vacaH mRtEH // Bndu _2,35.59 //
   iti śrībrahmāṇḍe mahāpurāṇe vāyuprokte madhyamabhāge tṛtīya	iti SrI brahmANxe mahApurANe vAyu prokte maDyama BAge tRtIya
   upoddhātapāde bhārgavaca rite pañcatriṃśattamo 'dhyāyaḥ // 35//	upodDAta pAde BArgavaca rite paQcatriMSattamaH aDyAyaH // 35//
   vasiṣṭha uvāca	vasizWaH uvAca
   avagatya sa vai sarvaṃ kāraṇaṃ prītamānasaḥ /	avagatya sa vE sarvam kAraNam prIta mAnasaH /
   uvāca bhārgavaṃ rāmamagastyaḥ kuṃbhasaṃbhavaḥ // BndP_2,36.1 //	uvAca BArgavam rAmam agastyaH kuMBa saMBavaH // Bndu _2,36.1 //
   agastya uvāca	agastyaH uvAca
   śṛṇu rāma mahābhāga kathayāmi hitaṃ tava /	SRNu rAma mahABAga kaTayAmi hitam tava /
   mantrasya siddhiṃ yena tvaṃ śīghrameva samāpnuyāḥ // BndP_2,36.2 //	mantrasya sidDim yena tvam SIGram eva samApnuyAH // Bndu _2,36.2 //
   bhaktestu lakṣaṇaṃ jñātvā trividhāyā mahāmate /	BakteH tu lakzaNam jQAtvA triviDAyAH mahAmate /
   yo yateta narastasya siddhirbhavati satvaram // BndP_2,36.3 //	yaH yateta naraH tasya sidDiH Bavati sa tvaram // Bndu _2,36.3 //
   ekadāhamanuprāpto 'nantadarśanakāṅkṣayā /	eka dAham anuprAptaH ananta darSana kAFkzayA /
   pātālaṃ nāgarācaindraiḥ śobhitaṃ parayā mudā // BndP_2,36.4 //	pAtAlam nAgarAcEndrEH SoBitam parayA mudA // Bndu _2,36.4 //
   tatra dṛṣṭā mahābhāga mayā siddhāḥ samantataḥ /	tatra dRzwAH mahABAga mayA sidDAH samantataH /
   sanakādyā nāradaśca gautamo jājaliḥkratuḥ // BndP_2,36.5 //	sanaka AdyAH nAradaH ca gOtamaH jAjaliH kratuH // Bndu _2,36.5 //
   ṛbhurhaṃso 'ruṇiścaiva vālmīkiḥ śaktirāsuriḥ /	RBuH haMsaH aruNiH ca eva vAlmIkiH SaktiH AsuriH /
   ete 'nye ca mahāsiddhā vātsyāyanamukhā dvija // BndP_2,36.6 //	ete anye ca mahAsidDAH vAtsyAyana muKAH dvija // Bndu _2,36.6 //
   upāsata hyupā sīnā jñānārthaṃ phaṇināyakam /	upAsata hi upA sInA jQAna arTam PaNinAyakam /
   taṃ namaskṛtya nāgaindraiḥ saha siddhairmahātmabhiḥ // BndP_2,36.7 //	tam namaskRtya nAga EndrEH saha sidDEH mahAtmaBiH // Bndu _2,36.7 //
   upaviṣṭaḥ kathāttatra śṛṇvāno vaiṣṇavīrmudā /	upavizwaH kaTAt tatra SRNvAnaH vEzNavIH mudA /
   yeyaṃ bhūmirmahābhāga bhūtadhātrī svarūpiṇī // BndP_2,36.8 //	yA iyam BUmiH mahABAga BUtaDAtrI svarUpiNI // Bndu _2,36.8 //
   niviṣṭā puratastasya śṛṇvantī tāḥ kathāḥ sadā /	nivizwA puratas tasya SRNvantI tAH kaTAH sadA /
   yadyatpṛcchati sā bhūmiḥ śeṣaṃ sākṣānmahīdharam // BndP_2,36.9 //	yat yat pRcCati sA BUmiH Sezam sAkzAt mahIDaram // Bndu _2,36.9 //
   śṛṇvanti ṛṣayaḥ sarve tatrasthā tadanugrahāt /	SRNvanti RzayaH sarve tatrasTA tad anugrahAt /
   mayā tatra śrutaṃ vatsa kṛṣṇapremāmṛtaṃ śubham // BndP_2,36.10 //	mayA tatra Srutam vatsa kRzNa prema amRtam SuBam // Bndu _2,36.10 //
   stotraṃ tatte pravakṣyāmi yasyārthaṃ tvamihāgataḥ /	stotram tat te pravakzyAmi yasya arTam tvam iha AgataH /
   vārāhādyavatārāṇāṃ caritaṃ pāpanāśanam // BndP_2,36.11 //	vArAha Adi avatArANAm caritam pApa nASanam // Bndu _2,36.11 //
   sukhadaṃ mokṣadaṃ caiva jñānavijñāna kāraṇam /	suKa dam mokza dam ca eva jQAna vijQAna kAraNam /
   śrutvā sarvaṃ dharā vatsa pratdṛṣṭā taṃ dharādharam // BndP_2,36.12 //	SrutvA sarvam DarA vatsa pratdRzwA tam DarADaram // Bndu _2,36.12 //
   uvāca praṇatā bhūyo jñātuṃ kṛṣṇaviceṣṭitam /	uvAca praNatAH BUyas jQAtum kRzNa vicezwitam /
   dharaṇyuvāca	DaraNI uvAca
   alaṅkṛtaṃ janma puṃsāmapi nandavrajaukasām // BndP_2,36.13 //	alaFkRtam janma puMsAm api nanda vraja okasAm // Bndu _2,36.13 //
   tasya devasya kṛṣṇasya līlāvigrahadhāriṇaḥ /	tasya devasya kRzNasya lIlA vigraha DAriNaH /
   jayopādhiniyuktāni saṃti nāmānyanekaśaḥ // BndP_2,36.14 //	jaya upADi niyuktAni saMti nAmAni anekaSas // Bndu _2,36.14 //
   teṣu nāmāni mukhyāni śrotukāmā cirādaham /	tezu nAmAni muKyAni Srotu kAmA cirAt aham /
   tattāni brūhi nāmāni vāsudevasya vāsuke // BndP_2,36.15 //	tad tAni brUhi nAmAni vAsudevasya vAsuke // Bndu _2,36.15 //
   nātaḥ parataraṃ puṇyaṃ triṣu lokeṣu vidyate /	na atas parataram puNyam trizu lokezu vidyate /
   śeṣa uvāca	SezaH uvAca
   vasuṃdhare varārohe janānāmasti muktidam // BndP_2,36.16 //	vasuMDare varArohe janAnAm asti mukti dam // Bndu _2,36.16 //
   sarvamaṅgalamūrddhanyamaṇimādyaṣṭasiddhidam /	sarva maFgala mUrdDanya maNima Adi azwa sidDi dam /
   mahāpātakakoṭighna sarvatīrthaphalapradam // BndP_2,36.17 //	mahApAtaka kowi Gna sarva tIrTa Pala pradam // Bndu _2,36.17 //
   samastajapayajñānāṃ phaladaṃ pāpanāśanam /	samasta japaya jQAnAm Pala dam pApa nASanam /
   śṛṇu devi pravakṣyāmi nāmnāmaṣṭotaraṃ śatam // BndP_2,36.18 //	SRNu devi pravakzyAmi nAmnAm azwa utaram Satam // Bndu _2,36.18 //
   mahasranāmnāṃ puṇyānāṃ trirāvṛttyā tu yatphalam /	mahasra nAmnAm puNyAnAm tris AvRttyA tu yat Palam /
   ekāvṛttyā tu kṛṣṇasya nāmaikaṃ tatprayacchati // BndP_2,36.19 //	eka AvRttyA tu kRzNasya nAma ekam tat prayacCati // Bndu _2,36.19 //
   tasmātpuṇyataraṃ caitatstotraṃ pātakanāśanam /	tasmAt puNyataram ca etat stotram pAtaka nASanam /
   nāmnāmaṣṭottaraśatasyāhameva ṛṣiḥ priye // BndP_2,36.20 //	nAmnAm azwottaraSatasya aham eva RziH priye // Bndu _2,36.20 //
   chando 'nuṣṭubdevatā tu yogaḥ kṛṣṇapriyāvahaḥ /	CandaH anuzwuB devatA tu yogaH kRzNa priya AvahaH /
   śrīkṛṣṇaḥ kamalānātho vāsudevaḥ sanātanaḥ // BndP_2,36.21 //	SrI kRzNaH kamalAnATaH vAsudevaH sanAtanaH // Bndu _2,36.21 //
   vasudevātmajaḥ puṇyo līlāmānuṣavigrahaḥ /	vasudeva AtmajaH puNyaH lIlA mAnuza vigrahaH /
   śrīvatsakaustabhadharo yaśodāvatsalo hariḥ // BndP_2,36.22 //	SrIvatsa kOstaBa DaraH yaSodA vatsalaH hariH // Bndu _2,36.22 //
   caturbhujāttacakrāsigadāśaṅkhādyudāyudhaḥ /	caturBuja Atta cakra asi gadA SaFKa Adi udAyuDaH /
   devakīnandanaḥ śrīśo nandagopapriyātmajaḥ // BndP_2,36.23 //	devakInandanaH SrISas nanda gopa priya AtmajaH // Bndu _2,36.23 //
   yamunāvegasaṃhārī balabhadrapriyānujaḥ /	yamunA vega saMhArI balaBadra priya anujaH /
   pūtanājīvitaharaḥ śakaṭāsurabhañjanaḥ // BndP_2,36.24 //	pUtanA jIvita haraH Sakawa asura BaQjanaH // Bndu _2,36.24 //
   nandaprajajanānandī saccidānandavigrahaḥ /	nanda prajajana AnandI saccidAnanda vigrahaH /
   navanītaviliptāṅgo navanītanaṭo 'naghaḥ // BndP_2,36.25 //	navanIta vilipta aFgaH navanItanawaH anaGaH // Bndu _2,36.25 //
   navanītalavāhārī mucukundaprasādakṛt /	navanIta lava AhArI mucukunda prasAda kRt /
   ṣoḍaśastrīsahasreśastribhaṅgī madhurākṛtiḥ // BndP_2,36.26 //	zoxaSa strI sahasreSaH tri BaFgI maDura AkRtiH // Bndu _2,36.26 //
   śukavāgamṛtābdhīndurgovindo govidāṃpatiḥ /	Suka vAc amRtA abDIn durgovindaH go vidAMpatiH /
   vatsapālanasaṃcārī dhenukāsuramarddanaḥ // BndP_2,36.27 //	vatsa pAlana saMcArI Denuka asura marddanaH // Bndu _2,36.27 //
   tṛṇīkṛtatṛṇāvartto yamalārjunabhañjanaḥ /	tRNIkRta tRNAvarttaH yamala arjuna BaQjanaH /
   uttālatālabhettā ca tamālaśyāmalā kṛtiḥ // BndP_2,36.28 //	uttAlatA AlaBettA ca tamAla SyAmalA kRtiH // Bndu _2,36.28 //
   gopagopīśvaro yogī sūryakoṭisamaprabhaḥ /	gopa gopi ISvaraH yogI sUrya kowi sama praBaH /
   ilāpatiḥ parañjyotiryādavendro yadūdvahaḥ // BndP_2,36.29 //	ilA patiH paraQjyotiH yAdava indraH yadu udvahaH // Bndu _2,36.29 //
   vanamālī pītavāsāḥ pārijātāpaharakaḥ /	vanamAlI pIta vAsAH pArijAta apaharakaH /
   govarddhanācaloddharttā gopālaḥ sarvapālakaḥ // BndP_2,36.30 //	go vardDana acala udDarttA gopAlaH sarva pAlakaH // Bndu _2,36.30 //
   ajo nirañjanaḥ kāmajanakaḥ kañjalocanaḥ /	ajaH niraQjanaH kAma janakaH kaQja locanaH /
   madhuhā mathurānātho dvārakānāthako balī // BndP_2,36.31 //	maDuhA maTurA nATaH dvArakA anATakaH balI // Bndu _2,36.31 //
   vṛndāvanāntasaṃcārī tulasīdāmabhūṣaṇaḥ /	vRndAvana anta saMcArI tulasI dAma BUzaNaH /
   syamantakamaṇerharttā naranārāyaṇātmakaḥ // BndP_2,36.32 //	syamantaka maNeH harttA nara nArAyaNa AtmakaH // Bndu _2,36.32 //
   kubjākṛṣṭāṃbaradharo māyī paramapūruṣaḥ /	kubja AkRzwa aMbara DaraH mAyI parama pUruzaH /
   muṣṭikāsuracāṇūramallayuddhaviśāradaḥ // BndP_2,36.33 //	muzwika asura cANUra malla yudDa viSAradaH // Bndu _2,36.33 //
   saṃsāravairī kaṃsārirmurārirnarakāntakaḥ /	saMsAra vErI kaMsAriH murAriH naraka antakaH /
   anādi brahmacārī ca kṛṣṇāvyasanakarṣakaḥ // BndP_2,36.34 //	anAdi brahmacArI ca kRzNA vyasana karzakaH // Bndu _2,36.34 //
   śiśupālaśiraschettā duryodhanakulāntakṛta /	SiSupAla SirasCettA duryoDana kula anta kRta /
   vidurākrūravarado viśvarūpapradarśakaḥ // BndP_2,36.35 //	vidura akrUra vara daH viSva rUpa pradarSakaH // Bndu _2,36.35 //
   satyavāksatyasaṃkalpaḥ satyabhāmārato jayī /	satya vAc satya saMkalpaH satyaBAmA rataH jayI /
   subhadrāpūrvajo viṣṇurbhīṣmamuktipradāyakaḥ // BndP_2,36.36 //	suBadrA pUrvajaH vizNuH BIzma mukti pradAyakaH // Bndu _2,36.36 //
   jagadgururjagannātho veṇuvādya viśāradaḥ /	jagadguruH jagannATaH veNuvAdya viSAradaH /
   vṛṣabhāsuravidhvaṃsī bakārirbāṇabāhukṛt // BndP_2,36.37 //	vRzaBa asura viDvaMsI baka ariH bANa bAhu kRt // Bndu _2,36.37 //
   yudhiṣṭirapratiṣṭhātā barhibarhāvataṃsakaḥ /	yuDizwiH apratizWAtA barhi barha avataMsakaH /
   pārthasārathiravyakto gītāmṛtamahodadhiḥ // BndP_2,36.38 //	pArTa sAraTiH avyaktaH gIta amRta mahA udaDiH // Bndu _2,36.38 //
   kālīyaphaṇimāṇikyarañjitaḥ śrīpadāṃbujaḥ /	kAlIya PaNi mANikya raQjitaH SrIpadAMbujaH /
   dāmodaro yajñabhoktā dānavaidravināśanaḥ // BndP_2,36.39 //	dAmodaraH yajQa BoktA dAna vEdra vinASanaH // Bndu _2,36.39 //
   nārāyaṇaḥ paraṃ brahma pannagāśanavāhanaḥ /	nArAyaNaH param brahma pannagASana vAhanaH /
   jalakrīḍāsamāsaktagopīvastrāpahārakaḥ // BndP_2,36.40 //	jala krIxA samAsakta gopI vastra apahArakaH // Bndu _2,36.40 //
   puṇyaślokastīrthapādo vedavedyo dayānidhiḥ /	puNyaSlokaH tIrTa pAdaH veda vedyaH dayA niDiH /
   sarvatīrthānmakaḥ sarvagraharūpī parātparaḥ // BndP_2,36.41 //	sarva tIrTAt makaH sarva graha rUpI parAtparaH // Bndu _2,36.41 //
   ityevaṃ kṛṣṇadevasya nāmnāmaṣṭottaraṃ śatam /	iti evam kRzNadevasya nAmnAm azwa uttaram Satam /
   kṛṣṇona kṛṣṇabhaktena śrutvā gītāmṛtaṃ purā // BndP_2,36.42 //	kRzNona kRzNa Baktena SrutvA gIta amRtam purA // Bndu _2,36.42 //
   stotraṃ kṛṣṇapriyakaraṃ kṛtaṃ tasmānmayā śrutam /	stotram kRzNa priya karam kRtam tasmAt mayA Srutam /
   kṛṣṇapremāmṛtaṃ nāma paramānandadāyakam // BndP_2,36.43 //	kRzNaprema amRtam nAma parama Ananda dAyakam // Bndu _2,36.43 //
   atyupadravaduḥ khaghnaṃ paramāyuṣya varddhanam /	ati upadravaduH Ka Gnam param a Ayuzya vardDanam /
   dānaṃ vrataṃ tapastīrthaṃ yatkṛtaṃ tviha janmani // BndP_2,36.44 //	dAnam vratam tapaH tIrTam yat kRtam tu iha janmani // Bndu _2,36.44 //
   paṭhatāṃ śṛṇvatāṃ caiva koṭikoṭiguṇaṃ bhavet /	paWatAm SRNvatAm ca eva kowi kowi guNam Bavet /
   putrapradamaputrāṇāmagatī nāṃ gatipradam // BndP_2,36.45 //	putra pradama putrANAm agatI nAm gati pradam // Bndu _2,36.45 //
   dhanavāhaṃ daridrāṇāṃ jayecchūnāṃ jayāvaham /	DanavAham daridrANAm jaya icSUnAm jaya Avaham /
   śiśūnāṃ gokulānāṃ ca puṣṭidaṃ puṇyavarddhanam // BndP_2,36.46 //	SiSUnAm gokulAnAm ca puzwi dam puNya vardDanam // Bndu _2,36.46 //
   bālarogagrahādīnāṃ śamanaṃ śāntikārakam /	bAla roga graha AdInAm Samanam SAnti kArakam /
   ante kṛṣṇasmaraṇadaṃ bhavatāpatrayāpaham // BndP_2,36.47 //	ante kRzNa smaraNa dam Bava tApatraya apaham // Bndu _2,36.47 //
   asiddhasādhakaṃ bhadre japādikaramātmanām /	asidDa sADakam Badre japa Adi karam AtmanAm /
   kṛṣṇāya yādavendrāya jñānamudrāya yogine // BndP_2,36.48 //	kRzNAya yAdava indrAya jQAna mudrAya yogine // Bndu _2,36.48 //
   nāthāya rukmiṇīśāya namo vedāntavedine /	nATAya rukmiNi ISAya namaH vedAnta vedine /
   imaṃ mantraṃ mahādevi japanneva divā niśam // BndP_2,36.49 //	imam mantram mahAdevi japan= eva divA niSam // Bndu _2,36.49 //
   sarvagrahānugrahabhāksarvapriyatamo bhavet /	sarva graha anugraha BAj sarva priyatamaH Bavet /
   putrapautraiḥ parivṛtaḥ sarvasiddhisamṛddhimān // BndP_2,36.50 //	putra pOtrEH parivRtaH sarva sidDi samRdDimAn // Bndu _2,36.50 //
   niṣevya bhogānante 'pikṛṣṇāsāyujyamāpnuyāt /	nizevya Boga anante api kRzNA sAyujyam ApnuyAt /
   agastya uvāca	agastyaH uvAca
   etāvadukto bhāgavānananto mūrttistu saṃkarṣaṇasaṃjñitā vibho //	etAvat uktaH BAgavAn anantaH mUrttiH tu saMkarzaNa saMjQitAH viBo //
   BndP_2,36.51 //	Bndu _2,36.51 //
   dharādharo 'laṃ jagatāṃ dharāyai nirdiśya bhūyo virarāma mānadaḥ /	DarADaraH alam jagatAm DarAyE nirdiSya BUyas virarAma mAnadaH /
   tatastu sarve sanakādayo ye samāsthitāstatparitaḥ kathādṛtāḥ /	tatas tu sarve sanaka AdayaH ye samAsTitAH tad paritas kaTA AdRtAH /
   ānanda pūrṇṇaṃbunidhau nimagnāḥ sabhājayāmāsurahīśvaraṃ tam //	Ananda pUrNNaMbuniDO nimagnAH saBAjayAmAsuH ahISvaram tam //
   BndP_2,36.52 //	Bndu _2,36.52 //
   ṛṣaya ūcuḥ	RzayaH UcuH
   namo namaste 'khilaviśvābhāvana prapannabhaktārttiharāvyayātman /	namaH namaH te aKila viSvABAvana prapanna Bakta Artti hara avyaya Atman /
   dharādharāyāpi kṛpārṇavāya śeṣāya viśvaprabhave namaste // BndP_2,36.53 //	DarADarAya api kRpA arNavAya SezAya viSva praBave namaH te // Bndu _2,36.53 //
   kṛṣṇāmṛtaṃ naḥ paripāyitaṃ vibho vidhūtapāpā bhavatā kṛtā vayam /	kRzNAmRtam naH paripAyitam viBo viDUta pApA BavatA kRtAH vayam /
   bhavādṛśā dīnadayālavo vibho samuddharantyeva nijānhi saṃnatān //	BavAdRSAH dIna dayA lavaH viBo samudDaranti eva nijAn hi saMnatAn //
   BndP_2,36.54 //	Bndu _2,36.54 //
   evaṃ namaskṛtya phaṇīśa pādayormano vidhāyākhilakāmapūrayoḥ /	evam namaskRtya PaNi ISa pAdayoH manaH viDAya aKila kAma pUrayoH /
   pradakṣiṇīkṛtya dharādharādharaṃ sarve vayaṃ svāvasathānupāgatāḥ //	pradakziNIkRtya DarADara aDaram sarve vayam sva AvasaTA anupAgatAH //
   BndP_2,36.55 //	Bndu _2,36.55 //
   iti te 'bhihitaṃ rāma stotraṃ premāmṛtābhidham /	iti te aBihitam rAma stotram prema amRta aBiDam /
   kṛṣṇasya rādhākāntasya siddhidam // BndP_2,36.56 //	kRzNasya rADA kAntasya sidDi dam // Bndu _2,36.56 //
   idaṃ rāma mahābhāga stotraṃ paramadurlabham /	idam rAma mahABAga stotram parama durlaBam /
   śrutaṃ sākṣādbhagavataḥ śeṣātkathayataḥ kathāḥ // BndP_2,36.57 //	Srutam sAkzAt BagavataH SezAt kaTayataH kaTAH // Bndu _2,36.57 //
   yāvanti mantrajālāni stotrāṇi kavacāni ca // BndP_2,36.58 //	yAvanti mantra jAlAni stotrANi kavacAni ca // Bndu _2,36.58 //
   trailokye tāni sarvāṇi siddhyantyevāsya śīlanāt /	trElokye tAni sarvANi sidDyantyeva asya SIlanAt /
   vasiṣṭha uvāca	vasizWaH uvAca
   evamuktvā mahārāja kṛṣṇapremāmṛtaṃ stavam /	evam uktvA mahA rAja kRzNa prema amRtam stavam /
   yāvadvyarasīṃtsa munistāvatsvaryānamāgatam // BndP_2,36.59 //	yAvat vyarasIntsa muniH tAvat svaryAnam Agatam // Bndu _2,36.59 //
   caturbhiradbhutaiḥ siddhaiḥ kāmarūpairmanojavaiḥ /	caturBiH adButEH sidDEH kAmarUpEH manojavEH /
   anuyātamathotplutya strīpuṃsau hariṇau tadā /	anuyAtam aTa utplutya strI puMsO hariNO tadA /
   agastyacaraṇau natvā samāruruhaturmudā // BndP_2,36.60 //	agastya caraNO natvA samAruruhatuH mudA // Bndu _2,36.60 //
   divyadehadharau bhūtvā saṃkhacakrādicihnitau /	divya deha DarO BUtvA saMKa cakra Adi cihnitO /
   gatau ca vaiṣṇavaṃ lokaṃ sarva devana maskṛtam /	gatO ca vEzNavam lokam sarva devana maskRtam /
   paśyatāṃ sarvabhūtānāṃ bhārgavāgastyayostathā // BndP_2,36.61 //	paSyatAm sarva BUtAnAm BArgava agastyayoH taTA // Bndu _2,36.61 //
   iti śrībrahmāṇḍe mahāpurāṇe vāyuprokte madhyabhāge tṛtīya	iti SrI brahmANxe mahApurANe vAyu prokte maDya BAge tRtIya
   upoddhātapāde bhārgavacarite ṣaṭtriṃśattamo 'dhyāyaḥ // 36//	upodDAta pAde BArgava carite zawtriMSattamaH aDyAyaH // 36//
   vasiṣṭha uvāca	vasizWaH uvAca
   dṛṣṭvā paraśurāmastu tadāścaryaṃ mahādbhutam /	dRzwvA paraSurAmaH tu tad AScaryam mahA adButam /
   jagāda sarvavṛttāntaṃ mṛgayostu yathāśrutam // BndP_2,37.1 //	jagAda sarva vRttAntam mRgayoH tu yaTASrutam // Bndu _2,37.1 //
   tacchrutvā bhagavānsākṣādagastyaḥ kuṃbhasaṃbhavaḥ /	tat SrutvA BagavAn sAkzAt agastyaH kuMBa saMBavaH /
   modamāna uvācedaṃ bhārgavaṃ purataḥ sthitam // BndP_2,37.2 //	modamAnaH uvAca idam BArgavam puratas sTitam // Bndu _2,37.2 //
   agastya uvāca	agastyaH uvAca
   śṛṇu rāma mahābhāga kāryākārviśārada /	SRNu rAma mahABAga kArya akArviSArada /
   hitaṃ vadāmi yatte 'dya tatkuruṣva samāhitaḥ // BndP_2,37.3 //	hitam vadAmi yat te adya tat kuruzva samAhitaH // Bndu _2,37.3 //
   ito vidūre sumahatsthānaṃ viṣṇoḥ sudurlabham /	itas vidUre su mahat sTAnam vizNoH su durlaBam /
   padāni yatra dṛśyante nyastāni sumāhātmanā // BndP_2,37.4 //	padAni yatra dRSyante nyastAni sumAha AtmanA // Bndu _2,37.4 //
   yatra gaṅgā samudbhūtā vāmasya mahātmanaḥ /	yatra gaFgA samudBUtAH vAmasya mahAtmanaH /
   padāgrātkramato lokāṃstadbalestu vinigrahe // BndP_2,37.5 //	pada agrAt kramataH lokAn= tad baleH tu vinigrahe // Bndu _2,37.5 //
   tatra gatvā stavaṃ cedaṃ māsamaikamananyadhīḥ /	tatra gatvA stavam ca idam mAsam Ekam ananyaDIH /
   paṭhasva niyamenaiva niyato niyatāśanaḥ // BndP_2,37.6 //	paWasva niyamena eva niyataH niyata aSanaH // Bndu _2,37.6 //
   yattvayā kavacaṃ pūrvamabhyastaṃ siddhimicchatā /	yat tvayA kavacam pUrvam aByastam sidDim icCatA /
   śatrūṇāṃ nigrahārthāya tacca te siddhidaṃ bhavet // BndP_2,37.7 //	SatrUNAm nigraha arTAya tat ca te sidDi dam Bavet // Bndu _2,37.7 //
   vasiṣṭha uvāca	vasizWaH uvAca
   eva mukto hyagastyena rāmaḥ śatrunibarhaṇaḥ /	eva muktaH hi agastyena rAmaH Satru nibarhaNaH /
   namaskṛtya munīṃ śāntaṃ nirjagāmāśramādbahiḥ // BndP_2,37.8 //	namaskRtya munIm SAntam nirjagAma ASramAt bahis // Bndu _2,37.8 //
   punastenaiva mārgeṇa saṃprāptastatra satvaram /	punar tena eva mArgeNa saMprAptaH tatra sa tvaram /
   yatrottarātpadanyāsānnirgatā svarṇadī nṛpa // BndP_2,37.9 //	yatra uttarAt pada nyAsAt nirgatA svarNadI nRpa // Bndu _2,37.9 //
   tatra vāsaṃ prakalpyāsāvakṛtavraṇasaṃyutaḥ /	tatra vAsam prakalpya asO= akRta vraNa saMyutaH /
   samabhyasyatstavaṃ divyaṃ kṛṣmapremāmṛtābhidham // BndP_2,37.10 //	samaByasyat stavam divyam kRzma prema amRta aBiDam // Bndu _2,37.10 //
   nityaṃ vrajapatestasya stotraṃ tuṣṭo 'bhavaddhariḥ /	nityam vraja pateH tasya stotram tuzwaH aBavat hariH /
   jagāma darśanaṃ tasya jāmadagnyasya bhūpate // BndP_2,37.11 //	jagAma darSanam tasya jAmadagnyasya BUpate // Bndu _2,37.11 //
   caturvyūhādhipaḥ sākṣātkṛṣṇaḥ kamalalocanaḥ /	catur vyUha aDipaH sAkzAt kRzNaH kamala locanaH /
   kirīṭaṃnārkavarṇena kuṇḍalābhyāṃ ca rājitaḥ // BndP_2,37.12 //	kirIwaMna arka varNena kuNxalAByAm ca rAjitaH // Bndu _2,37.12 //
   kaustubhodbhāsitoraskaḥ pītavāsā dhanaprabhaḥ /	kOstuBa udBAsita uraskaH pIta vAsAH Dana praBaH /
   muralīvādanaparaḥ sākṣānmohanarūpadhṛk // BndP_2,37.13 //	muralI vAdana paraH sAkzAt mohana rUpaDRk // Bndu _2,37.13 //
   taṃ dṛṣṭvā sahasotthāya jāmadagnyo mudānvitaḥ /	tam dRzwvA sahasA utTAya jAmadagnyaH mudA anvitaH /
   praṇamya daṇḍavadbhamau tuṣṭāva prayato vibhum // BndP_2,37.14 //	praNamya daNxa vat BamO tuzwAva prayataH viBum // Bndu _2,37.14 //
   paraśurām uvāca	paraSurAm uvAca
   namo namaḥ kāraṇavigrahāya prapannapālāya surārttihāriṇe /	namaH namaH kAraNa vigrahAya prapanna pAlAya sura Artti hAriNe /
   brahmeśaviṣṇvidramukhastutāya nato 'smi nityaṃ parameśvarāya //	brahma ISa vizNu idra muKa stutAya nataH asmi nityam parameSvarAya //
