   atha dvitīyo 'dhyāyaḥ /	aTa dvitIyaH aDyAyaH /
   tatpravṛttivijñānajananaśaktirvāsanā, tasyāśca svakāryopajanaṃ	tad pravRtti vijQAna janana SaktiH vAsanA, tasyAH ca sva kArya upajanam
   pratyābhimukhyaṃ paripākastasya ca pratyayaḥ svasaṃtānavartī pūrvakṣaṇaḥ	pratyABimuKyam paripAkaH tasya ca pratyayaH sva saMtAna vartI pUrvakzaNaH
   saṃtānāntarāpekṣānabhyupagamāt, tathāca sarve 'pyālayasaṃtānapatitāḥ	saMtAna antara apekzA anaByupagamAt, taTA ca sarve api Alaya saMtAna patitAH
   paripākahetavo bhaveyuḥ /	paripAka hetavaH BaveyuH /
   na vā kaścidapi, ālayasaṃtānapātitvāviśeṣāt /	na vA kaScid api, Alaya saMtA ana pAti tva aviSezAt /
   kṣaṇabhedācchaktibhedastasya ca kādācitkatvātkāryakādācitkatvamiti cet /	kzaNa BedAt Sakti BedaH tasya ca kAdAcid ka tvAt kAryakAdAcid ka tvam iti ced /
   nanvevamekasyaiva nīlajñānopajanasāmarthyaṃ tatprabodhasāmarthyaṃ ceti	nanu evam ekasya eva nIla jQAna upajana sAmarTyam tad praboDa sAmarTyam ca iti
   kṣaṇāntarasyaitanna syāt /	kzaNa antarasya etat na syAt /
   sattve vā kathaṃ kṣaṇabhedātsāmarthyabheda ityālayasaṃtānavartinaḥ sarve	sattve vA kaTam kzaNa BedAt sAmarTya BedaH iti Alaya saMtAna vartinaH sarve
   samarthā iti samarthahetusadbhāve kāryakṣepānupapatteḥ /	samarTAH iti samarTa hetu sadBAve kArya kzepa anupapatteH /
   svasaṃtānamātrādhīnatve niṣedhyasya kādācitkatvasya viruddhaṃ sadātanatvaṃ	sva saMtAna mAtra aDIna tve nizeDyasya kAdAcid ka tvasya virudDam sadAtana tvam
   tasyopalabdhyā kādācitkatvaṃ nivartamānaṃ hetvantarāpekṣatve vyavatiṣṭhata	tasya upalabDyA kAdAcid ka tvam nivartamAnam hetu antara apekza tve vyavatizWata
   iti pratibandhasiddhiḥ /	iti pratibanDa sidDiH /
   naca jñānasaṃtānāntaranibandhanatvaṃ	na ca jQAna saMtAna antara nibanDana tvam
   sarveṣāmiṣyate pravṛttivijñānānāṃ vijñānavādibhirapi tu kasyacideva	sarvezAm izyate pravRtti vijQAnAnAm vijQAna vAdiBiH api tu kasyacid eva
   vicchinnagamanavacanapratibhāsasya pravṛttivijñānasya /	vicCinna gamana vacana pratiBAsasya pravRtti vijQAnasya /
   api ca	api ca
   sattvāntarasaṃtānanimittatve tasyāpi sadā saṃnidhānānna kādācitkatvaṃ syāt	sattva antara saMtAna nimitta tve tasya api sadA saMniDAnAt na kAdAcid ka tvam syAt 
   na hi sattvāntarasaṃtānasya deśataḥ kālato vā viprakarṣasaṃbhavaḥ /	na hi sattva antara saMtAnasya deSataH kAlataH vA viprakarza saMBavaH /
   vijñānavāde vijñānātiriktadeśānābhyupagamādamūrtatvācca	vijQAna vAde vijQAna atirikta deSAnAByupagamAt amUrta tvAt ca
   vijñānānāmadeśātmakatvātsaṃsārasyādimatvāprasaṅgenāpūrvasattvaprādurbhāvānabhyupagamācca	vijQAnAnAm adeSa Atmaka tvAt saMsArasya AdimatvA prasaFgena apUrva sattva prAdurBAva anaByupagamAt ca
   na kālato 'pi viprakarṣasaṃbhavaḥ /	na kAlataH api viprakarza saMBavaH /
   tasmādasati bāhyer'the pratyayavaicitryānupapatterastyānumāniko bāhyārtha	tasmAt asati bAhyer aTe pratyaya vEcitrya anupapatteH astya anumAnikaH bAhya arTa
   iti sautrāntikāḥ pratipedire, tānnirākaroti  vāsanāvaicitryādityāha	iti sOtra antikAH pratipedire, tAn nirAkaroti   vAsanA vEcitryAt iti Aha
   vijñānavādī /	vijQAna vAdI /
   idamatrākūtam  svasaṃtānamātraprabhavatve 'pi pratyayakādācitkatvopapattau	idam atra akUtam   sva saMtAna mAtra praBava tve api pratyaya kAdAcid katva upapattO
   saṃdigdhavipakṣavyāvṛttikatvena heturanaikāntikaḥ /	saMdigDa vipakza vyAvRttika tvena hetuH anEkAntikaH /
   tathāhi  bāhyanimittakatve 'pi kathaṃ kadācit nīlasaṃvedanaṃ kadācit	taTA hi  bAhya nimittaka tve api kaTam kadAcid nIla saMvedanam kadAcid 
   pītasaṃvedanam /	pIta saMvedanam /
   bāhyanīlapītasaṃnidhānāsaṃnidhānābhyāmiti cet /	bAhya nIla pIta saMniDAna asaMniDAnAByAm iti ced /
   atha pītasaṃnidhāne 'pi kimiti nīlajñānaṃ na bhavati, pītajñānaṃ bhavati /	aTa pIta saMniDAne api kim iti nIla jQAnam na Bavati, pIta jQAnam Bavati /
   tatra tasya sāmarthyādasāmarthyāccetarasminniti cet /	tatra tasya sAmarTyAt asAmarTyAt ca itarasmin= iti ced /
   kutaḥ punarayaṃ sāmarthyāsāmarthyabhedaḥ /	kutas punar ayam sAmarTya asAmarTya BedaH /
   hetubhedāditi cet /	hetu BedAt iti ced /
   evaṃ tarhi kṣaṇānāmapi svakāraṇabhedanibandhaḥ śaktibhedo bhaviṣyati /	evam tarhi kzaNAnAm api sva kAraNa Beda nibanDaH Sakti BedaH Bavizyati /
   saṃtānino hi kṣaṇāḥ kāryabhedahetavaste ca pratikāryaṃ bhidyante ca /	saMtAninaH hi kzaNAH kArya Beda hetavaH te ca pratikAryam Bidyante ca /
   na ca saṃtāno nāma kaścideka utpādakaḥ kṣaṇānāṃ yadabhedāt kṣaṇā na	na ca saMtAnaH nAma kaScid ekaH utpAdakaH kzaNAnAm yat aBedAt kzaNAH na
   bhidyeran /	Bidyeran /
   nanūktaṃ na kṣaṇabhedābhedābhyāṃ śaktibhedābhedau, bhinnānāmapi	nanu uktam na kzaNa Beda aBedAByAm Sakti Beda aBedO, BinnAnAm api
   kṣaṇānāmekasāmarthyopalabdheḥ /	kzaNAnAm eka sAmarTya upalabDeH /
   anyathaika eva kṣaṇe nīlajñānajananasāmarthyaṃ iti na bhūyo nīlajñānāni	anyaTA ekaH eva kzaNe nIla jQAna janana sAmarTyam iti na BUyas nIla jQAnAni
   jāyeran /	jAyeran /
   tatsamarthasyātītatvāt, kṣaṇāntarāṇāṃ cāsāmarthyāt /	tad samarTasya atIta tvAt, kzaNa antarANAm ca asAmarTyAt /
   tasmāt kṣaṇabhede 'pi na sāmarthyabhedaḥ, saṃtānabhede tu sāmarthyaṃ	tasmAt kzaNa Bede api na sAmarTya BedaH, saMtAna Bede tu sAmarTyam
   bhidyata iti /	Bidyate iti /
   tanna /	tat na /
   yadi bhinnānāṃ saṃtānānāṃ naikaṃ sāmarthyaṃ, hanta tarhi nīlasaṃtānānāmapi	yadi BinnAnAm saMtAnAnAm na ekam sAmarTyan, hanta tarhi nIla saMtAnAnAm api
   mitho bhinnānāṃ naikamasti nīlākārādhānasāmarthyamiti saṃnidhāne 'pi	miTas BinnAnAm na ekam asti nIla AkAra ADAna sAmarTyam iti saMniDAne api
   nīlasaṃtānāntarasya na nīlajñānamupajāyeta /	nIla saMtAna antarasya na nIla jQAnam upajAyeta /
   tasmātsaṃtānāntarāṇāmiva kṣaṇāntarāṇāmapi svakāraṇabhedādhīnopajanānāṃ	tasmAt saMtAna antarANAm iva kzaNa antarANAm api sva kAraNa Beda aDIna upajanAnAm
   keṣāñcideva sāmarthyabhedaḥ keṣāñcinneti vaktavyam /	kezAQcid eva sAmarTya BedaH kezAQcit na iti vaktavyam /
   tathā caikālayajñānasaṃtānapatiteṣu kasyacideva jñānakṣaṇasya sa tādṛśaḥ	taTA ca eka Alaya jQAna saMtAna patitezu kasyacid eva jQA na kzaNasya sa tAdRSaH
   sāmarthyātiśayo vāsanāparanāmā svapratyayāsāditaḥ /	sAmarTya atiSayaH vAsanA para nAmA sva pratyaya AsAditaH /
   yato nīlākāraṃ pravṛttivijñānaṃ jāyate na pītākāram /	yatas nIla AkAram pravRtti vijQAnam jAyate na pIta AkAram /
   kasyacittu sa tādṛśo yataḥ pītākāraṃ jñānaṃ na nīlākāramiti	kasyacid tu sa tAdRSaH yatas pIta AkAram jQAnam na nIla AkAram iti
   vāsanāvaicitryādeva svapratyayāsāditājjñānavaicitryasiddherna	vAsanA vEcitryAt eva sva pratyaya AsAditAt jQAna vEcitrya sidDeH na
   tadatiriktārthasadbhāve kiñcanāsti pramāṇamiti paśyāmaḥ /	tad atirikta arTa sadBAve kiQcana asti pramANam iti paSyAmaH /
   ālayavijñānasaṃtānapatitamevāsaṃviditaṃ jñānaṃ vāsanā	AlayavijQAna saMtAna patitam eva asaMviditam jQAnam vAsanA
   tadvaicitryānnīlādyanubhavavaicitryaṃ, pūrvanīlādyanubhavavaicitryācca	tad vEcitryAt nIla Adi anuBava vEcitryan, pUrva nIla Adi anuBava vEcitryAt ca
   vāsanāvaicitryamityanāditānayorvijñānavāsanayoḥ /	vAsanA vEcitryam iti anAdita anayoH vijQAna vAsanayoH /
   tasmānna parasparāśrayadoṣasaṃbhavo bījāṅkurasaṃtānavaditi /	tasmAt na paraspara ASraya doza saMBavaH bIja aFkura saMtAna vat iti /
   anvayavyatirekābhyāmapi vāsanāvaicitryasyaiva jñānavaicitryahetutā	anvaya vyatirekAByAm api vAsanA vEcitryasya eva jQAna vEcitrya hetu tA
   nārthavaicitryasyetyāha  api cānvayavyatirekābhyāmiti /	na arTa vEcitryasya iti Aha   api ca anvaya vyatirekAByAm iti /
   evaṃ prāpte brūmaḥ /	evam prApte brUmaH /
   nābhāva upalabdheriti /	na aBAvaH upalabDeH iti /
   na khalvabhāvo bāhyasyārthasyādhyavasātuṃ śakyate /	na KalvaBAvaH bAhyasya arTasya aDyavasAtum Sakyate /
   sa hyupalambhābhāvādvādhyavasīyeta, satyapyupalambhe tasya	sa hi upalamBa aBAvAt vA aDyavasIyeta, sati api upalamBe tasya
   bāhyāviṣayatvādvā, satyapi bāhyaviṣayatve	bAhya avizaya tvAt vA, sati api bAhya vizaya tve
   bāhyārthabādhakapramāṇasadbhāvādvā /	bAhya arTa bADaka pramANa sadBAvAt vA /
   na tāvat sarvathopalambhābhāva iti praśnapūrvakamāha  kasmāt /	na tAvat sarvaTA upalamBa aBAvaH iti praSna pUrvakam Aha    kasmAt /
   upalabdheriti /	upalabDeH iti /
   nahi sphuṭatare sarvajanīna upalambhe sati tadabhāvaḥ śakyo	na hi sPuwatare sarva janInaH upalamBe sati tad aBAvaH SakyaH 
   vaktumityarthaḥ /	vaktum iti arTaH /
   dvitīyaṃ pakṣamavalambate  nanu nāhamevaṃ bravīmīti /	dvitIyam pakzam avalambate  nanu na aham evam bravImi iti /
   nirākaroti  bāḍhamevaṃ bravīṣi /	nirAkaroti   bAXam evam bravIzi /
   upalabdhigrāhiṇā hi sākṣiṇopalabdhirgṛhyamāṇā bāhyaviṣayatvenaiva gṛhyate	upalabDi grAhiNA hi sAkziNA upalabDiH gRhyamANA bAhya vizaya tvena eva gRhyate
   nopalabdhimātramityarthaḥ /	na upalabDi mAtram iti arTaH /
   ataścaiti vakṣyamāṇopapattiparāmarśaḥ /	atas ca eti vakzyamANa upapatti parAmarSaH /
   tṛtīyaṃ pakṣamālambate  nanu	tRtIyam pakzam Alamba te  nanu
   bāhyasyārthasyāsaṃbhavāditi /	bAhyasya arTasya asaMBavAt iti /
   nirākaroti  nāyaṃ sādhuradhyavasāya iti /	nirAkaroti  na ayam sADuH aDyavasAyaH iti /
   idamatrākūtam  ghaṭapaṭādayo hi sthūlā bhāsante na tu paramasūkṣmāḥ /	idam atra AkUta m  Gawa pawa AdayaH hi sTUlAH BAsante na tu parama sUkzmAH /
   tatredaṃ nānādigdeśavyāpitvalakṣaṇaṃ sthaulyaṃ yadyapi	tatra idam nAnA diS deSa vyApi tva lakzaNam sTOlyam yadi api
   jñānākāratvenāvaraṇānāvaraṇalakṣaṇena viruddhadharmasaṃsargeṇa yujyate	jQAna AkAra tvena AvaraNa an AvaraNa lakzaNena virudDa Darma saMsargeNa yujyate
   jñānopādheranāvṛtatvādeva tathāpi	jQAna upADeH anAvRta tvAt eva taTA api
   taddeśatvātaddeśatvakampākampatvaraktāraktatvalakṣaṇairviruddhadhamrasaṃsargairasya	tad deSa tva Atad deSa tva kampA kampa tva raktA raktatva lakzaNEH virudDa Damra saMsargEH asya
   nānātvaṃ prasajyamānaṃ jñānākāratve 'pi na śakyaṃ	nAnAtvam prasajyamAnam jQAna AkAra tve api na Sakyam
   śakreṇāpi vārayitum /	SakreNa api vArayitum /
   vyatirekāvyatirekavṛttivikalpau ca paramāṇoraṃśavattvaṃ copapāditāni	vyatireka avyatireka vRtti vikalpO ca paramANoH aMSavat tvam ca upapAditAni
   vaiśeṣikaparīkṣāyām /	vESezika parIkzAyAm /
   tasmādbāhyārthavanna jñāne 'pi sthaulyasaṃbhavaḥ /	tasmAt bAhya arTavat na jQAne api sTOlya saMBavaH /
   na ca tāvat paramāṇvābhāsamekajñānam, ekasya nānātmatvānupapatteḥ /	na ca tAvat paramANu ABAsam eka jQAnam, ekasya nAnA Atma tva anupapatteH /
   ākārāṇāṃ vā jñānatādātmyādekatvaprasaṅgāt /	AkArANAm vA jQAna tAdAtmyAt eka tva prasaFgAt /
   na ca yāvanta ākārāstāvantyeva jñānāni, tāvatāṃ jñānānāṃ mitho	na ca yAvantaH AkArAH tAvanti eva jQAnAni, tAvatAm jQAnAnAm miTas 
   vārtānabhijñatayā sthūlānubhavābhāvaprasaṅgāt /	vArtA anaBijQa tayA sTUla anuBava aBAva prasaFgAt /
   na ca tatpṛṣṭhabhāvī samastajñānākārasaṃkalanātmaka ekaḥ sthūlavikalpo	na ca tad pRzWa BAvI samasta jQAna AkAra saMkalana AtmakaH ekaH sTUla vikalpaH 
   vijṛmbhata iti sāṃpratam /	vijRmBate iti sAMpratam /
   tasyāpi sākāratayā sthaulyāyogāt /	tasya api sa AkAra tayA sTOlya ayogAt /
   yathāha dharmakīrtiḥ 'tasmānnārthe na ca jñāne sthūlābhāsastadātmanaḥ /	yaTA Aha Darma kIrtiH  atasmAt na arTe na ca jQAne sTUla ABAsaH tad AtmanaH /
   ekatra pratiṣiddhatvādbahuṣvapi na saṃbhavaḥ //	ekatra pratizidDa tvAt bahuzu api na saMBavaH //
   'iti /	aiti /
   tasmādbhavatāpi jñānākāraṃ sthaulyaṃ	tasmAt BavatA api jQAna AkAram sTOlyam
   samarthayamānenapramāṇapravṛttyapravṛttipūrvakau saṃbhavāsaṃbhavāvāstheyau	samarTayamAnena pramANa pravRtti apravRtti pUrvakO saMBava asaMBavO= AsTeyO
   tathā cedantāspadamaśakyaṃ jñānādbhinnaṃ bāhyamapahnotumiti /	taTA ced anta Aspadam aSakyam jQAnAt Binnam bAhyam apahnotum iti /
   yacca jñānasya pratyarthaṃ vyavasthāyai viṣayasārūpyamāsthitaṃ, naitena	yat ca jQAnasya pratyarTam vyavasTAyE vizaya sArUpyam AsTitaM, na etena
   viṣayo 'pahnotuṃ śakyaḥ,	vizayaH apahnotum SakyaH,
   asatyarthe tatsārūpyasya tadvyavasthāyāścānupapatterityāha na ca jñānasya	asati arTe tad sArUpyasya tad vyavasTAyAH ca anupapatteH iti Aha na ca jQAnasya
   viṣayasārūpyāditi //	vizaya sArUpyAt iti //
   yaśca sahopalambhaniyama uktaḥ so 'pi vikalpaṃ na sahate /	yaH ca saha upalamBa niyamaH uktaH saH api vikalpam na sahate /
   yadi jñānārthayoḥ sāhityenopalambhastato viruddho heturnābhedaṃ	yadi jQAna arTayoH sAhityena upalamBaH tatas virudDaH hetuH na aBedam
   sādhayitumarhati, sāhityasya tadviruddhabhedavyāptatvādabhede	sADayitum arhati, sAhityasya tad virudDa Beda vyApta tvAt aBede
   tadanupapatteḥ /	tad anupapatteH /
   athaikopalambhaniyamaḥ /	aTa eka upalamBa niyamaH /
   na ekatvasyāvācakaḥ sahaśabdaḥ /	na eka tvasya avAcakaH saha SabdaH /
   api ca kimekatvenopalambha āho eka upalambho jñānārthayoḥ /	api ca kim eka tvena upalamBaH Aho ekaH upalamBaH jQAna arTayoH /
   na	na
   tāvadekatvenopalambha ityāha  bahirupalabdheśca viṣayasya /	tAvat eka tvena upalamBaH iti Aha   bahis upalabDeH ca vizayasya /
   athaikopalambhaniyamaḥ, tatrāha  ata eva sahopalambhaniyamo 'pi	aTa eka upalamBa niyamaH, tatra aha  ataH eva saha upalamBa niyamaH api
   pratyayaviṣayo 'rupāyopeyabhāvahetuko nābhedahetuka ityavagantavyam /	pratyaya vizayaH aru pAya upeya BAva hetukaH nABeda hetukaH iti avagantavyam /
   yathā hi sarvaṃ cākṣuṣaṃ prabhārūpānuviddhaṃ buddhibodhyaṃ niyamena	yaTA hi sarvam cAkzuzam praBA rUpa anuvidDam budDi boDyam niyamena
   manujairupalabhyate, na caitāvatā ghaṭādirūpaṃ prabhātmakaṃ bhavati, kintu	manujEH upalaByate, na ca etAvatA Gawa Adi rUpam praBA Atmakam Bavati, kintu
   prabhopāyatvānniyamaḥ,	praBA upAya tvAt niyamaH,
   evamihāpyātmasākṣikānubhavopāyatvādarthasyaikopalambhaniyama iti /	evam iha api Atma sAkzika anuBava upAya tvAt arTasya eka upalamBa niyamaH iti /
   api ca yatraikavijñānagocarau ghaṭapaṭau tatrārthabhedaṃ vijñānabhedaṃ	api ca yatra eka vijQAna gocarO Gawa pawO tatra arTa Bedam vijQAna Bedam
   cādyavasyanti pratipattāraḥ /	ca adyavasyanti pratipattAraH /
   na caitadekātmye 'vakalpata ityāha  apica ghaṭajñanaṃ paṭajñānamiti /	na ca etat ekAtmye avakalpate iti Aha  apica Gawa jQanam pawa jQAnam iti /
   tathārthābhede 'pi vijñānabhedadarśanānna	taTA arTa aBede api vijQAna Beda darSanAt na
   vijñānātmakatvamarthasyetyāha tathā ghaṭadarśanaṃ ghaṭasmaraṇamiti /	vijQAna Atmaka tvam arTasya iti Aha  taTA Gawa darSanam Gawa smaraNam iti /
   api ca svarūpamātraparyavasitaṃ jñānaṃ jñānāntaravārtānabhijñamiti	api ca sva rUpa mAtra paryavasitam jQAnam jQAna antara vArtAn aBijQam iti
   yayorbhedaste dve na gṛhīte iti bhedo 'pi tadgato na gṛhīta iti /	yayoH BedaH te dve na gRhIte iti BedaH api tad gataH na gRhItaH iti /
   evaṃ kṣaṇikaśūnyānātmatvādayo	evam kzaNika SUnyAnAtma tvAt ayaH 
   'pyanekapratijñāhetudṛṣṭāntajñānabhedasādhyāḥ /	api aneka pratijQA hetu dRzwAnta jQAna Beda sADyAH /
   evaṃ svamasādhāraṇamanyato vyāvṛttaṃ lakṣaṇaṃ yasya tadapi yadvyāvartate	evam svam asADAraNam anyatas vyAvRttam lakzaNam yasya tat api yat vyAvartate
   yataśca vyāvartate tadanekajñānasādhyam /	yatas ca vyAvartate tad aneka jQAna sADyam /
   evaṃ sāmānyalakṣaṇamapi vidhirūpamanyāpoharūpaṃ vānekajñānagamyam /	evam sAmAnya lakzaNam api viDi rUpam anya apoha rUpam vA aneka jQAna gamyam /
   evaṃ vāsyavāsakabhāvo 'nekajñānasādhyaḥ /	evam vAsya vAsaka BAvaH aneka jQAna sADyaH /
   evamavidyopaplavavaśena yatsadasaddharmatvaṃ yathā nīlamiti saddharmaḥ,	evam avidyA upaplava vaSena yat sat asat Darma tvam yaTA nIlam iti sadDarmaH,
   naraviṣāṇamityasaddharmaḥ, amūrtamiti sadasaddharmaḥ /	nara vizANam iti asat DarmaH, amUrtam iti sat asat DarmaH /
   śakyaṃ hi śaśaviṣāṇamamūrtaṃ vaktum /	Sakyam hi SaSa vizANam amUrtam vaktum /
   śakyaṃ ca vijñānamamūrtaṃ vaktum /	Sakyam ca vijQAnam amUrtam vaktum /
   yathoktam  'anādivāsanodbhūtavikalpapariniṣṭhitaḥ /	yaTA uktam   aana Adi vAsanA udBUta vikalpa parinizWitaH /
   śabdārthastrividho dharmo bhāvābhāvobhayāśrayaḥ //	Sabda arTaH triviDaH DarmaH BAva aBAva uBayASrayaH //
   'iti /	aiti /
   evaṃ mokṣapratijñā ca yo mucyate yataśca mucyate yena mucyate	evam mokza pratijQA ca yaH mucyate yatas ca mucyate yena mucyate
   tadanekajñānasādhyā /	tad aneka jQAna sADyAH /
   evaṃ vipratipannaṃ pratipādayituṃ pratijñeti yatpratipādayati yena	evam vipratipannam pratipAdayitum pratijQA iti yat pratipAdayati yena
   pratipādayati yaśca	pratipAdayati yaH ca
   puruṣaḥ pratipādyate yaśca pratipādayati	puruzaH pratipAdyate yaH ca pratipAdayati
   tadanekajñānasādhyetyasatyekasminnanekārthajñānapratisaṃdhātari	tad aneka jQAna sADya iti asati ekasmin= aneka arTa jQAna pratisaMDAtari
   nopapadyate /	na upapadyate /
   tatsarvaṃ vijñānasya svāṃśālambane 'nupapannamityāha  api ca	tat sarvam vijQAnasya sva aMSa Alambane anupapannam iti Aha  api ca
   dvayorvijñānayoḥ pūrvottarakālayoriti /	dvayoH vijQAnayoH pUrva uttara kAlayoH iti /
   api ca bhedāśrayaḥ karmaphalabhāvo nābhinne jñāne bhavitumarhati /	api ca Beda ASrayaH karma Pala BAvaH na aBinne jQAne Bavitum arhati /
   no khalu chidā chidyate kintu dāru /	no Kalu CidA Cidyate kintu dAru /
   nāpi pākaḥ pacyate 'pi tu taṇḍulāḥ /	na api pAkaH pacyate api tu taNxulAH /
   tadihāpi na jñānaṃ svāṃśena jñeyamātmani vṛttivirodhādapi tu	tat iha api na jQAnam sva aMSena jQeyam Atmani vRtti viroDAt api tu
   tadatiriktor'thaḥ, pācyā iva taṇḍulāḥ pākātiriktā iti /	tad atiriktor aTaH, pAcyAH iva taNxulAH pAka atiriktAH iti /
   bhūmiracanāpūrvakamāha  kiñcānyat /	BUmi racana ApUrvakam Aha  kiQcA anyat /
   vijñānaṃ vijñānamityabhyupagaccheteti /	vijQAnam vijQAnam iti aByupagacCeta iti /
   codayati nanu vijñānasya svarūpavyatiriktagrāhyatva iti /	codayati nanu vijQAnasya svarUpa vyatirikta grAhya tvaH iti /
   ayamarthaḥ  svarūpādatiriktamarthaṃ cedvijñānaṃ gṛhṇāti	ayam arTaH   svarUpAt atiriktam arTam ced vijQAnam gRhNAti
   tatastadapratyakṣaṃ sannarthaṃ pratyakṣayitumarhati /	tatas tad apratyakzam sannarTam pratyakzayitum arhati /
   na hi cakṣuriva tannilīnamarthe kañcanātiśayamādhatte,	na hi cakzuH iva tad nilInam arTe kaQcana atiSayam ADatte,
   yenārthamapratyakṣaṃ satpratyakṣayet /	yena arTam apratyakzam sat pratyakzayet /
   apitu tatpratyakṣataivārthapratyakṣatā /	api tu tad pratyakzatA eva arTa pratyakza tA /
   yathāhuḥ  'apratyakṣopalambhasya nārthadṛṣṭiḥ prasidhyati'iti /	yaTA AhuH   aapratyakza upalamBasya na arTa dRzwiH prasiDyati aiti /
   taccet jñānāntareṇa pratīyeta tadapratītaṃ nārthaviṣayaṃ	tat ced jQAna antareNa pratIyeta tat apratItam na arTa vizayam
   jñānamaparokṣayitumarhati /	jQAnam aparokzayitum arhati /
   evaṃ tattadityanavasthā tasmādanavasthāyā bibhyatā varaṃ svātmani	evam tat tat iti anavasTA tasmAt anavasTAyAH biByatA varam sva Atmani
   vṛttirāsthitā /	vRttiH AsTitA /
   apica yathā pradīpo na dīpāntaramapekṣate, evaṃ jñānamapi na	api ca yaTA pradIpaH na dIpa antaram apekzate, evam jQAnam api na
   jñānāntaramapekṣitumarhati samatvāditi /	jQAna antaram apekzitum arhati sama tvAt iti /
   tadetatpariharati  tadubhayamapyasat /	tat etat pariharati   tad uBayam api asat /
   vijñānagrahaṇamātra eva vijñānasākṣiṇo	vijQAna grahaNa mAtraH eva vijQAna sAkziNaH 
   grahaṇākāṅkṣānutpādādanavasthāśaṅkānupapatteḥ /	grahaNa AkAFkza anutpAdAt anavasTA ASaFkA anupapatteH /
   ayamarthaḥ  satyamapratyakṣasyopalambhasya nārthadṛṣṭiḥ prasidhyati, na	ayam arTaH  satyam apratyakzasya upalamBasya na arTa dRzwiH prasiDyati, na
   tūpalabdhāraṃ prati tatpratyakṣatvāyopalambhāntaraṃ prārthanīyam, apitu	tu upalabDAram prati tad pratyakza tvAya upalamBa antaram prArTanIyam, apitu
   tasminnindriyārthasaṃnikarṣādantaḥ karaṇavikārabheda utpannamātra eva	tasmin= indriya arTa saMnikarzAt antar karaNa vikAra BedaH utpanna mAtre eva
   prabhāturarthaścopalambhaśca pratyakṣau bhavataḥ /	praBAtuH arTaH ca upalamBaH ca pratyakzO BavataH /
   artho hi nilīnasvabhāvaḥ pramātāraṃ prati	arTaH hi nilIna svaBAvaH pramAtAram prati
   svapratyakṣatvāyāntaḥkaraṇavikārabhedamanubhavamapekṣate, anubhavastu jaḍo	sva pratyakza tvAya antaHkaraNa vikAra Bedam anuBavam apekzate, anuBavaH tu jaxaH 
