   atha tṛtīyo 'dhyāyaḥ /	aTa tRtIyaH aDyAyaH /
   kvacittejaḥpūrvakasṛṣṭyabhidhānaṃ na virudhyate 'etasmādātmana ākāśaḥ	kvacid tejaH pUrvaka sRzwi aBiDAnam na viruDyate aetasmAt AtmanaH AkASaH
   saṃbhūtaḥ'iti darśanāt /	saMBUtaH aiti darSanAt /
   ākāśaṃ vāyuṃ sṛṣṭveti hi tatra pūrayitavyamevahāpi mahābhūtāni sṛṣṭveti	AkASam vAyum sRzwvA iti hi tatra pUrayitavyam evahA api mahABUtAni sRzwvA iti
   kalpanīyam /	kalpanIyam /
   sarvaśākhāpratyayatvena jñānasya śrutisiddhyarthamaśrutopalabdhau	sarva SAKA pratyaya tvena jQAnasya Sruti sidDi arTam aSrutA upalabDO
   yatnavatā bhavitavyaṃ na punaḥ śrute mahābhūtāditve sargasya	yatnavatA Bavitavyam na punar Srute mahABUta Adi tve sargasya
   śaithilyamādaraṇīyam /	SETilyam AdaraNIyam /
   apica svādhyāyavidhyadhīnagrahaṇo	api ca svADyAya viDi aDIna grahaNaH 
   vedarāśiradhyayanavidhyāpāditaprayojanavadarthamabhidadhāno yathā yathā	veda rASiH aDyayana viDi ApAdita prayojana vat arTam aBidaDAnaH yaTA yaTA
   prayojanādhikyamāpnoti tathā tathānumanyatetarām /	prayojana ADikyam Apnoti taTA taTA anumanyatetarAm /
   yathā cāsya brahmagocaratve paramapuruṣārthaupayikatvaṃ	yaTA ca asya brahma gocara tve parama puruza arTa Opayika tvam
   naivamanyagocaratve /	na evam anya gocara tve /
   tadidamuktam 	tat idam uktam  
   yo 'pyayaṃ vyāpāraviśeṣānugama iti /	yaH api ayam vyApAra viSeza anugamaH iti /
   naca lokasargo 'pi hiraṇyagarbhavyāpāro 'pi tu tadanupraviṣṭasya	na ca loka sargaH api hiraNyagarBa vyApAraH api tu tad anupravizwasya
   paramātmana ityatraivoktam /	paramAtmanaH iti atra eva uktam /
   tasmādātmaivāgna ityupakramāttadvyāpāreṇa cekṣaṇena madhye	tasmAt AtmA eva agne iti upakramAt tat vyApAreNa ca IkzaNena maDye
   parāmarśādupariṣṭācca bhedajātaṃ mahābhūtaiḥ sahānukamya	parAmarSAt uparizwAt ca Beda jAtam mahABUtEH saha anukamya
   brahmapratiṣṭhatvena brahmaṇa upasaṃhārādbrahmābhilāpatvamevāsyeti	brahma pratizWatvena brahmaNaH upasaMhArAt brahma aBilApa tvam eva asya iti
   niścīyate /	niScIyate /
   yatra tu puruṣavidhādiśravaṇaṃ tasya bhavettvanyaparatvaṃ	yatra tu puruzaviDa Adi SravaNam tasya Bavet tu anya para tvam
   gatyantarābhāvāditi sarvamavadātam /	gati antara aBAvAt iti sarvam avadAtam /
   aparaḥ kalpaḥ /	aparaH kalpaH /
   sadupakramasya saṃdarbhasyātmopakramasya ca	sat upakramasya saMdarBasya Atma upakramasya ca
   kimaikārthyamāhosvidarthabhedaḥ /	kim Eka arTyam AhosvidarTa BedaH /
   tatra sacchabdasyāviśeṣeṇātmani cānātmani ca pravṛtternātmārthatvaṃ kintu	tatra sat Sabdasya aviSezeNa Atmani ca anAtmani ca pravRtteH na Atma arTa tvam kintu
   samastavastvanugatasattāsāmānyārthatvaṃ tathā	samasta vastu anugata sattA sAmAnya arTa tvam taTA
   copakramabhedādbhinnārthatvam /	ca upakrama BedAt Binna arTa tvam /
   sa ātmā tattvamasīti copasaṃhāra upakramānurodhena saṃpattyarthatayā	saH AtmA tat tvam asi iti ca upasaMhAraH upakrama anuroDena saMpatti arTa tayA
   vyākhyeyaḥ /	vyAKyeyaH /
   taddhi satsāmānyaṃ paramātmatayā saṃpādanīyam /	tat hi sat sAmAnyam paramAtma tayA saMpAdanIyam /
   tadvijñānena ca sarvavijñānaṃ mahāsāmānyasya sattāyāḥ	tad vijQAnena ca sarva vijQAnam mahA sAmAnyasya sattAyAH
   samastavastuvistāravyāpitvādityevaṃ prāpta	samasta vastu vistAra vyApi tvAt iti evam prApta
   ucyate ātmagṛhītirvājasaneyināmiva chāndogyānāmapyuttarātsa ātmā	ucyate a Atma gRhItiH vAjasaneyinAm iva CAndogyAnAm api uttarAt saH AtmA
   tattvamasīti tādātmyopadeśāt /	tat tvam asi iti tAdAtmya upadeSAt /
   astu tāvadātmavyātiriktasya prapañcasya sadasattvābhyāmanirvācyatayā na	astu tAvat Atma vyAtiriktasya prapaQcasya sat asat tvAByAm anirvAcya tayA na
   sattvaṃ sattvaṃ tvātmadhātoreva tattvena nirvācyatvāttasmādātmaiva sanniti	sattvam sattvam tu Atma DAtoH eva tattvena nirvAcya tvAt tasmAt AtmA eva san= iti
   abhyupetyāha /	aByupetya Aha /
   sacchabdasya sattāsāmānyābhidhāyitvātprativyakti ca tasya pravṛtterātmani	sat Sabdasya sattA sAmAnya aBiDAyi tvAt prativyakti ca tasya pravRtteH Atmani
   cānyatra ca sacchabdapravṛtteḥ saṃśaye satyupasaṃhārānurodhena	ca anyatra ca sat Sabda pravRtteH saMSaye sati upasaMhAra anuroDena
   sadevetyātmanyevāvasthāpyate /	sat A iva iti Atmani eva avasTApyate /
   nītārthopakramānurodhena hyupasaṃhāravarṇanā na punaḥ	nIta arTa upakrama anuroDena hi upasaMhAra varNanA na punar 
   saṃdigdhārthenopakrameṇopasaṃhāro varṇanīyaḥ /	saMdigDa arTena upakrameNa upasaMhAraH varNanIyaH /
   apica saṃpattau phalaṃ kalpanīyam /	api ca saMpattO Palam kalpanIyam /
   naca sāmānyamātre jñāte viśeṣajñānasaṃbhavaḥ /	na ca sAmAnya mAtre jQAte viSeza jQAna saMBavaH /
   na khalvākārādvṛkṣe jñāte śiṃśapādayastadviśeṣā jñātā bhavanti /	na Kalu a AkArAt vRkze jQAte SiMSapA AdayaH tad viSezAH jQAtAH Bavanti /
   tadevamavadhāraṇādi sarvamanātmārthatve syādanupapannamiti	tat evam avaDAraNa Adi sarvam anAtma arTa tve syAt anupapannam iti
   chāndogyasyātmārthatvameveti siddham /	CAndogyasya Atma arTa tvam eva iti sidDam /
   atra ca pūrvasmin pūrvapakṣe hiraṇyagarbhopāsanā siddhānte tu	atra ca pUrvasmin pUrva pakze hiraNyagarBa upAsanA sidDAnte tu
   brahmabhāvaneti //16//	brahma BAvanA iti //16//
   START BsVBh_3,3.8.17	START BsVBh_3,3.8.17
   anvayād iti cet syād avadhāraṇāt | BBs_3,3.17 |	anvayAt iti ced syAt avaDAraNAt | BBH _3,3.17 |
   START BsVBh_3,3.9.18	START BsVBh_3,3.9.18
   kāryākhyānādapūrvam | BBs_3,3.18 |	kArya AKyAnAt apUrvam | BBH _3,3.18 |
   viṣayamāha 	vizayam Aha 
   chandogā vājasaneyinaśceti /	CandogAH vAjasaneyinaH ca iti /
   ananaṃ prāṇanaṃ anaḥ prāṇaḥ taṃ prāṇamanagnaṃ kurvantaḥ /	ananam prANanam anaH prANaH tam prANam anagnam kurvantaH /
   anagnatācintanamiti /	anagnatA cintanam iti /
   manyanta iti mananaṃ jñānaṃ tadvyānaparyantamiti cintanamuktam /	manyante iti mananam jQAnam tad vyAna paryantam iti cintanam uktam /
   saṃśayamāha 	saMSayam Aha 
   tatkimiti /	tat kim iti /
   khuraravamātreṇāpātata ubhayavidhānapakṣaṃ gṛhītvā madhyamaṃ	Kura rava mAtreNa apAtataH uBaya viDAna pakzam gRhItvA maDyamam
   pakṣamālambate pūrvapakṣī 	pakzam Alambate pUrva pakzI 
   athavācamanameveti /	aTavA Acamanam eva iti /
   yadyevamanagnatāsaṃkīrtanasya kiṃ prayojanamityata āha 	yadi evam anagna tA saMkIrtanasya kim prayojanam iti atas Aha 
   tasyaiva tu stutyarthamiti /	tasya eva tu stuti arTam iti /
   ayamabhisandhiḥ yadyapi smārtaṃ prāyatyārthamācamanamasti tathāpi	ayam aBisanDiH yadi api smArtam prAyatya arTam Acamanam asti taTA api
   prāṇopāsanaprakaraṇe 'vidhānāttadaṅgatvenāprāptamiti	prANa upAsana prakaraNe aviDAnAt tad aFga tvena aprAptam iti
   vidhānamarthavadbhavati, anṛtavadanapratiṣedha iva smārte	viDAnam arTavat Bavati, anRta vadana pratizeDaH iva smArte
   jyotiṣṭomaprakaraṇe samāmnāto nānṛtaṃ vadediti pratiṣedho	jyotizwoma prakaraNe samAmnAtaH na anRtam vadet iti pratizeDaH 
   jyotiṣṭomāṅgatayārthavāniti /	jyotizwoma aFga tayA arTavAn iti /
   rāddhāntamāha 	rAdDa antam Aha 
   evaṃ prāpta iti /	evam prAptaH iti /
   codayati 	codayati 
   nanviyaṃ śrutiriti /	nanu iyam SrutiH iti /
   pariharati 	pariharati 
   neti /	na iti /
   tulyārthayormūlamūlibhāvo nātulyārthayorityarthaḥ /	tulya arTayoH mUla mUli BAvaH na atulya arTayoH iti arTaH /
   abhiprāyasthaṃ pūrvapakṣabījaṃ nirākaroti 	aBiprAya sTam pUrva pakza bIjam nirAkaroti 
   na ceyaṃ śrutiriti /	na ca iyam SrutiH iti /
   kratvarthapuruṣārthayoranṛtavadanapratiṣedhayoryuktamapaunaruktam /	kratu arTa puruza arTayoH anRta vadana pratizeDayoH yuktam apOnaruktam /
   iha tu smārtavācamanaṃ sakalakarmāṅgatayā vihitaṃ prāṇopāsanāṅgamapīti	iha tu smArtavAcamanam sakala karma aFgatayA vihitam prANa upAsana aFgam api iti
   vyāpakena smārtenācamanavidhinā punaruktatvādanarthakam /	vyApakena smArtena Acamana viDinA punarukta tvAt anarTakam /
   naca smārtasyānena paunaruktyaṃ tasya ca vyāpakatvādetasya ca	na ca smArtasya anena pOnaruktyam tasya ca vyApaka tvAt etasya ca
   pratiniyataviṣayatvāditi /	pratiniyata vizaya tvAt iti /
   madhyamaṃ pakṣamapākṛtya prathamapakṣamapākaroti 	maDyamam pakzam apAkRtya praTama pakzam apAkaroti 
   ata eva ca nobhayavidhānam /	atas eva ca na uBaya viDAnam /
   yuktyantaramāha 	yukti antaram Aha 
   ubhayavidhāne ceti /	uBaya viDAne ca iti /
   upasaṃharati 	upasaMharati 
   tasmātprāptameveti /	tasmAt prAptam eva iti /
   na cāyamanagnatāvāda iti /	na ca ayam anagna tO= AdaH iti /
   stotavyābhāve stutirnopapadyata ityarthaḥ /	stotavya aBAve stutiH na upapadyate iti arTaH /
   apica mānāntaraprāptenāprāptaṃ vidheyaṃ stūyeta /	api ca mAna antara prAptena aprAptam viDeyam stUyeta /
   na cānagnatāsaṃkalpo 'nyataḥ prāpto yataḥ stāvako bhavet /	na ca anagnatA saMkalpaH anyatas prAptaH yatas stAvakaH Bavet /
   na cācamanamanyato 'prāptaṃ yena vidheyaṃ satstūyetetyāha 	na ca Acamanam anyatas aprAptam yena viDeyam satstUyeta iti Aha 
   svayaṃ cānagnatāsaṃkalpasyeti /	svayam ca anagnatA saMkalpasya iti /
   api caikasya karmaṇa ekārthataivetyucitaṃ tasya	api ca ekasya karmaNaH ekArTatA eva iti ucitam tasya
   balavatpramāṇavaśādananyagatitve satyanekārthatā kalpyate /	balavat pramANa vaSAt ananya k ati tve sati aneka arTa tA kalpyate /
   saṃkalpe tu karmāntare vidhīyamāne nāyaṃ doṣa ityāha 	saMkalpe tu karma antare viDIyamAne na ayam dozaH iti Aha 
   na caivaṃ satyekasyācamanasyeti /	na ca evam sati ekasya Acamanasya iti /
   apica dṛṣṭicodanāsāhacaryāddṛṣṭicodanaiva nyāyyā na cācamanacodanetyāha 	api ca dRzwi codanA sAhacaryAt dRzwi codanA eva nyAyyAH na ca Acamana codanA iti Aha 
   apica yadidaṃ kiñceti /	api ca yat idam kiQca iti /
   yathā hi śvādimaryādasyānnasyāttumaśakyatvādannadṛṣṭiścodyate	yaTA hi Sva Adi maryAdasya annasyAt tum aSakya tvAt anna dRzwiH ca udyate
   evamihāpyapāṃ paridhānāsaṃbhavāddṛṣṭireva codyata	evam iha api apAm pariDAna asaMBavAt dRzwiH eva codyata
   ityannadṛṣṭividhisāhacaryādgamyate /	iti anna dRzwi viDi sAhacaryAt gamyate /
   aśabdatvaṃ ca yadyapi dṛṣṭyabhyavahārayostulyaṃ tathāpi dṛṣṭiḥ	aSabda tvam ca yadi api dRzwi aByavahArayoH tulyam taTA api dRzwiH
   śābdadṛśyanāntarīyakatayā sākṣācchabdena kriyamāṇopalabhyate /	SAbda dRSyanAntarIyaka tayA sAkzAt Sabdena kriyamANa upalaByate /
   abhyavahārastvadhyāharaṇīyaḥ kathañcidyogyatāmātreṇeti viśeṣaḥ /	aByavahAraH tu aDyAharaNIyaH kaTaQcid yogyatA mAtreNa iti viSezaH /
   kiñca chāndogyānāṃ vājasaneyināṃ cācamane prāyeṇācāmantīti	kiQca CAndogyAnAm vAjasaneyinAm ca Acamane prAyeNa AcAmanti iti
   vartamānāpadeśaḥ evaṃ yatrāpi vidhivibhaktistatrāpi jartilayavāgvavā vā	vartamAna apadeSaH evam yatra api viDi viBaktiH tatra api jartilayavAgvavA vA
   juhuyāditivadvidhitvamavivakṣitam /	juhuyAt iti vat viDi tvam avivakzitam /
   manyanta iti tvatprāptārthatvātsamidho	manyante iti tvad prApta arTa tvAt samiDo
   yajatītyādivadvidhirevetyāha apicācāmantīti /	yajati ityAdi vat viDiH eva iti Aha  apicA AcAmanti iti /
   śeṣamatirohitārtham //18//	Sezam ati rohita arTam //18//
   START BsVBh_3,3.10.19	START BsVBh_3,3.10.19
   samāna evaṃ cābhedāt | BBs_3,3.19 |	samAnaH evam ca aBedAt | BBH _3,3.19 |
   ihābhyāsādhikaraṇanyāyena pūrvaḥ pakṣaḥ /	iha aByAsa aDikaraNa nyAyena pUrvaH pakzaH /
   dvayorvidyāvidhyorekaśākhāgatayoragṛhmamāṇaviśeṣatayā kasya ko 'nuvāda iti	dvayoH vidyA viDyoH eka SAKA gatayoH agRhmamANa viSeza tayA kasya kaH anuvAdaH iti
   viniścayābhāvādajñātajñāpanāpravṛttapravartanārūpasya ca vidhitvasya	viniScaya aBAvAt ajQAta jQApana apravRtta pravartanA rUpasya ca viDi tvasya
   svarasasiddherubhayatropāsanābhedaḥ /	svarasa sidDeH uBayatra upAsana aBedaH /
   naca guṇāntaravidhānāyaikatrānuvāda ubhayatrāpi	na ca guNa antara viDAnAya ekatra anuvAdaH uBayatra api
   guṇāntaravidhānopalabdhervinigamanāhetvabhāvātsamānaguṇānabhidhānaprasaṅgācca	guNa antara viDAna upalabDeH vinigamanA hetu aBAvAt samAna guNa an aBiDAna prasaFgAt ca
   tasmātsamidho yajatītyādivadabhyāsādupāsanābheda iti prāpta	tasmAt samiDaH yajati ityAdi vat aByAsAt upAsana aBedaH iti prApta
   ucyate aikakarmyamekatvena pratyabhijñānāt /	ucyate a eka karmyam eka tvena pratyaBijQAnAt /
   na cāgṛhyamāṇaviśeṣatā /	na ca agRhyamANa viSeza tA /
   yatra bhūyāṃso guṇā yasya karmaṇo vidhīyante tatra tasya pradhānasya	yatra BUyAMsaH guNAH yasya karmaNaH viDIyante tatra tasya praDAnasya
   vidhiritaratra tu tadanuvādena katipayaguṇavidhiḥ /	viDiH itaratra tu tad anuvAdena katipaya guNa viDiH /
   yathā yatra	yaTA yatra
   chatracāmarapatākāhāstikāścīyaśaktikayāṣṭīkadhānuṣkakārpāṇikaprāsikapadātipracayastatrāsti	Catra cAmara patAkA hAstikAH cIya SaktikayAzwIka DAnuzka kArpANika prAsika padAti pracayaH tatra asti
   rājeti gamyate na tu katipayagajavājipadātibhāji tadamātye, tathehāpi /	rAjA iti gamyate na tu katipaya gaja vAji padAti BAji tad amAtye, taTA iha api /
   na caikatra vihitānāṃ guṇānāmitaratroktiranarthikā	na ca ekatra vihitAnAm guNAnAm itaratra uktiH anarTikA
   pratyabhijñānadārḍhyārthatvāt /	pratyaBijQAna dArXya arTa tvAt /
   astu vāsminnityānuvādo nahyanuvādānāmavaśyaṃ sarvatra prayojanavattvam /	astu vA asmin nitya anuvAdaH na hi anuvAdAnAm avaSyam sarvatra prayojanavat tvam /
   anuvādamātrasyāpi tatra tatropalabdheḥ /	anuvAda mAtrasya api tatra tatra upalabDeH /
   tasmāttadeva bṛhadāraṇyake 'pyupāsanaṃ tadguṇenopasaṃhārāditi siddham	tasmAt tat eva bRhadAraNyake api upAsanam tad guNena upasaMhArAt iti sidDam
   START BsVBh_3,3.11.20	START BsVBh_3,3.11.20
   saṃbandhād evam anyatrāpi | BBs_3,3.20 |	saMbanDAt evam anyatra api | BBH _3,3.20 |
   yadyekasyāmapi śākhāyāṃ tattvena pratyabhijñānādupāsanasya tatra vihitānāṃ	yadi ekasyAm api SAKAyAm tattvena pratyaBijQAnAt upAsanasya tatra vihitAnAm
   dharmāṇāṃ saṃkaraḥ /	DarmANAm saMkaraH /
   tathā sati satyasyaikasasyābhedānmaṇḍaladvayavartina upaniṣadorapi	taTA sati satyasya eka sasya aBedAt maNxala dvaya vartinaH upanizadoH api
   saṃkaraprasaṅgāt /	saMkara prasaFgAt /
   tasyeti ca prakṛtaparāmarśitvādbhedaḥ /	tasya iti ca prakRta parAmarSi tvAt BedaH /
   satyasya ca pradhānasya prakṛtatvādadhidaivamityasya	satyasya ca praDAnasya prakRta tvAt aDidEvam iti asya
   viśeṣaṇatayopasarjanatvenāprastutvātprastutasya ca	viSezaNa tayA upasarjana tvena aprastutvAt prastutasya ca
   satyasyābhedātpūrvavadguṇasaṃkaraḥ //20//	satyasya aBedAt pUrvavat guNa saMkaraH //20//
   START BsVBh_3,3.11.21	START BsVBh_3,3.11.21
   iti prāpta ucyate 	iti prAptaH ucyate 
   na vā viśeṣāt | BBs_3,3.21 |	na vA viSezAt | BBH _3,3.21 |
   satyaṃ yatra svarūpamātrasaṃbandho dharmāṇāṃ śrūyate tatraivaṃ svarūpasya	satyam yatra sva rUpa mAtra saMbanDaH DarmANAm SrUyate tatra evam svarUpasya
   sarvatra pratyabhijñāyamānatvāttanmātrasaṃbandhitvācca dharmāṇām /	sarvatra pratyaBijQAyamAna tvAt tanmAtra saMbanDi tvAt ca DarmANAm /
   yatra tu saviśeṣaṇaṃ pradhānamavagamyate tatra saviśeṣaṇasyaiva tasya	yatra tu sa viSezaNam praDAnam avagamyate tatra sa viSezaNasya eva tasya
   dharmābhisaṃbandho na nirviśeṣaṇasya nāpyanyaviśeṣaṇasahitasya /	Darma aBisaMbanDaH na nirviSezaNasya na api anya viSezaNa sahitasya /
   nahi daṇḍinaṃ puruṣamānayetyukte daṇḍarahitaḥ	na hi daNxinam puruzam AnayA iti ukte daNxa rahitaH
   kamaṇḍalumānānīyate /	kamaNxalumAn AnIyate /
   tasmādadhidaivaṃ satyasyopaniṣaduktā na tasyaivādhyātmaṃ bhavitumarhati /	tasmAt aDidEvam satyasya upanizad uktAH na tasya eva aDyAtmam Bavitum arhati /
   yathā cācāryasya gacchato 'nugamanaṃ vihitaṃ na tiṣṭhato bhavati,	yaTA ca AcAryasya gacCataH anugamanam vihitam na tizWataH Bavati,
   tasmānnopaniṣadoḥ saṃkaraḥ kintu vyavasthitiḥ /	tasmAt na upanizadoH saMkaraH kintu vyavasTitiH /
   tadidamuktaṃ svarūpānapāyāditi //21//	tat idam uktaM svarUpa anapAyAt iti //21//
   START BsVBh_3,3.11.22	START BsVBh_3,3.11.22
   darśayati ca | BBs_3,3.22 |	darSayati ca | BBH _3,3.22 |
   atideśādapyevameva tattve hi nātideśaḥ syāditi //22//	atideSAt api evam eva tattve hi na ati deSaH syAt iti //22//
   START BsVBh_3,3.12.23	START BsVBh_3,3.12.23
   saṃbhṛtidyuvyāptyapi cātaḥ | BBs_3,3.23 |	saMBRti dyuvyApti api ca atas | BBH _3,3.23 |
   'brahmajyeṣṭhā vīryā saṃbhṛtāni brahmāgre jyeṣṭhaṃ divamātatāna /	abrahma jyezWA vIryA saMBRtAni brahma agre jyezWam divam AtatAnaH /
   brahma bhūtānāṃ prathamaṃ tu jajñe tenārhati brahmaṇā spardhituṃ kaḥ /	brahma BUtAnAm praTamam tu jajQe tena arhati brahmaNA sparDitum kaH /
   'brahma jyeṣṭhaṃ yeṣāṃ tāni brahmajyeṣṭhā jajñe āsa /	abrahma jyezWam yezAm tAni brahma jyezWAH jajQe Asa /
   yadyapi tāsu tāsu	yadi api tAsu tAsu
   śāṇḍilyādividyāsvāyatanabhedaparigraheṇādhyātmikāyatanatvaṃ saṃbhṛtyādīnāṃ	SANxilya Adi vidyAsu Ayatana Beda parigraheNa ADyAtmika Ayatana tvam saMBRtya AdInAm
   guṇānāmādhidaikatvamityāyatanabhedaḥ pratibhāti, tathāpi jyāyān diva	guNAnAm ADida eka tvam iti Ayatana BedaH pratiBAti, taTA api jyAyAn diva
   ityādinā saṃdarbheṇādhidaivikavibhūtipratyabhijñānātṣoḍaśakalādyāsu ca	ityAdinA saMdarBeNa ADidEvika viBUti pratyaBijQAnAt zoxa SakalA AdyAsu ca
   vidyāsvāyatanāśravaṇādantato brahmāśrayatayā sāmyena pratyabhijñāsaṃbhavāt	vidyAsu Ayatana aSravaNAt antatas brahma ASraya tayA sAmyena pratyaBijQA saMBavAt 
   saṃbṛtyādīnāṃ guṇānāṃ śāṇḍilyādividyāsu ṣoḍaśakalādividyāsu copasaṃhāra	saMbRtya AdInAm guNAnAm SANxilya Adi vidyAsu zoxaSa kalA Adi vidyAsu ca upasaMhAra
   iti pūrvaḥ pakṣaḥ /	iti pUrvaH pakzaH /
   rāddhāntastu mithaḥ samānaguṇaśravaṇaṃ pratyabhijñāya yadvidyā apūrvānapi	rAdDa antaH tu  miTas samAna guNa SravaNam pratyaBijQAya yat vidyA apUrvAn api
   tatrāśrutānguṇānupasaṃhārayati na tviha saṃbhṛtyādiguṇakabrahmavidyāyāṃ	tatra aSrutAn guNAn upasaMhArayati na tu iha saMBRtya Adi guNaka brahma vidyAyAm
   śāṇḍilyādividyāgataguṇaśravaṇamasti /	SANxilya Adi vidyA gata guNa SravaNam asti /
   yā tu kācidādhidaivikī vibhūtiḥ śāṇḍilyādividyāyāṃ śrūyate	yA tu kAcid ADidEvikI viBUtiH SANxilya Adi vidyAyAm SrUyate
   tasyāstatprakaraṇādhīnatvāttāvanmātraṃ grahīṣyate naitāvanmātreṇa	tasyAH tad prakaraNa aDIna tvAt tAvat mAtram grahIzyate na etAvat mAtreNa
   saṃbhṛtyādīnanukraṣṭumarhati /	saMBRtya AdIn anukrazwum arhati /
   tatraitatpratyabhijñānābhāvādityuktam /	tatra etat pratyaBijQAna aBAvAt iti uktam /
   brahmā śrayatvena tu pratyabhijñānasamarthanamatiprasaktam /	brahmA Srayatvena tu pratyaBijQAna samarTanam ati prasaktam /
   bhūyasīnāmaikyaprasaṅgāt /	BUyasInAm Ekya prasaFgAt /
   tadidamuktaṃ 	tad idam uktaM 
   saṃbhṛtyādayastu śāṇḍilyādivākyagocarāśceti /	saMBRtya AdayaH tu SANxilya Adi vAkya gocarAH ca iti /
   tasmātsaṃbhṛtiśca dyuvyāptiśca tadidaṃ saṃbhṛtidyuvyāptyapi cātaḥ	tasmAt saMBRtiH ca dyuvyAptiH ca tat idam saMBRti dyuvyApti api ca atas 
   pratyabhijñānābhāvānna śāṇḍilyādividyāsūpasaṃhriyata iti siddham //23//	pratyaBijQAna aBAvAt na SANxilya Adi vidyA su upasaMhriyate iti sidDam //23//
   START BsVBh_3,3.13.24	START BsVBh_3,3.13.24
   puruṣavidyāyāmiva cetareṣām anāmnānāt | BBs_3,3.24 |	puruza vidyAyAm iva ca itarezAm anAmnAnAt | BBH _3,3.24 |
   puruṣayajñatvamubhayatrāpyaviśiṣṭam /	puruza yajQa tvam uBayatra api aviSizwam /
   naca viduṣo yajñasyeti na sāmānādhikaraṇyasaṃbhavaḥ /	na ca viduzaH yajQasya iti na sAmAnADikaraNya saMBavaH /
   yajñasyātmetyātmaśabdasya svarūpavacanatvāt /	yajQasya AtmA iti Atma Sabdasya svarUpa vacana tvAt /
   yajñasya svarūpaṃ yajamānastasya ca cetanatvādviduṣa iti	yajQasya svarUpam yajamAnaH tasya ca cetana tvAt viduzaH iti
   sāmānādhikaraṇyasaṃbhavaḥ /	sAmAnADikaraNya saMBavaH /
   tasmātpuruṣayajñatvāviśeṣānmaraṇāvabhṛthatvādisāmānyāccaikavidyādhyavasāne	tasmAt puruza yajQa tva aviSezAt maraNa avaBRTa tva Adi sAmAnyAt ca eka vidyA aDyavasAne
   ubhayatra ubhayadharmopasaṃhāra iti prāptam /	uBayatra uBaya Darma upasaMhAraH iti prAptam /
   evaṃ prāpta ucyate yādṛśaṃ tāṇḍināṃ paiṅgināṃ ca puruṣayajñasaṃpādanaṃ	evam prAptaH ucyate yAdRSam tANxinAm pEFginAm ca puruza yajQa saMpAdanam
   tadāyuṣaśca tredhā	tadA AyuzaH ca treDA
   vyavasthitasya savanatrayasaṃpādanam /	vyavasTitasya savana traya saMpAdanam /
   aśiśiṣādīnāṃ ca dīkṣādibhāvasaṃpādanaṃ naivaṃ taittirīyāṇām /	aSiSiza AdInAm ca dIkzA Adi BAva saMpAdanam na evam tEttirIyANAm /
   teṣāṃ na tāvat puruṣe yajñasaṃpattiḥ /	tezAm na tAvat puruze yajQa saMpattiH /
