   1. brahmakāṇḍam	1. brahma-kANxam
   kiyad vā śakyam unnetuṃ % svatarkam anudhāvatā // 2.489 //	kiyat vA Sakyam unnetum % svatarkam anuDAvatA // 2.489 //
   tat tad utprekṣamāṇānāṃ $ purāṇair āgamair vinā &	tat tat utprekzamANAnAm $ purANEH AgamEH vinA &
   anupāsitavṛddhānāṃ % vidyā nātiprasīdati // 2.490 //	anupAsita-vRdDAnAm % vidyA na-ati-prasIdati // 2.490 //
   // iti bhartṛharikṛte vākyapadīye vākyakāṇḍaṃ samāptam //	// iti BartR-hari-kRte vAkyapadIye vAkya-kANxam samAptam //
   3. padakāṇḍam	3. padakANxam
   3.1. jātisamuddeśaḥ	3.1. jAti-samuddeSaH
   dvidhā kaiś cit padaṃ bhinnaṃ $ caturdhā pañcadhāpi vā &	dviDA kEH cit padam Binnam $ caturDA paQcaDA-api vA &
   apoddhṛtyaiva vākyebhyaḥ % prakṛtipratyayādivat // 3.1.1 //	apa-udDRtya-eva vAkyeByaH % prakRti-pratyaya-Adi-vat // 3.1.1 //
   padārthānām apoddhāre $ jātir vā dravyam eva vā &	padArTAnAm apodDAre $ jAtiH vA dravyam eva vA &
   padārthau sarvaśabdānāṃ % nityāv evopavarṇitau // 3.1.2 //	padArTO sarva-SabdAnAm % nityO eva-upavarNitO // 3.1.2 //
   keṣāṃ cit sāhacaryeṇa $ jātiḥ śaktyupalakṣaṇam &	kezAm cit sAhacaryeNa $ jAtiH Sakti-upalakzaNam &
   khadirādiṣv aśakteṣu % śaktaḥ pratinidhīyate // 3.1.3 //	Kadira-Adizu aSaktezu % SaktaH pratiniDIyate // 3.1.3 //
   asvātantryaphalo bandhiḥ $ pramāṇādīva śiṣyate &	asvAtantryaPalaH banDiH $ pramANa-Adi-iva Sizyate &
   ato jātyabhidhāne 'pi % śaktihīnaṃ na gṛhyate // 3.1.4 //	atas jAti-aBiDAne api % Sakti-hInam na gRhyate // 3.1.4 //
   saṃśleṣamātraṃ badhnātir $ yadi syāt tu vivakṣitaḥ &	saMSleza-mAtram baDnAtiH $ yadi syAt tu vivakzitaH &
   śaktyāśraye tato liṅgaṃ % pramāṇādyanuśāsanam // 3.1.5 //	Sakti-ASraye tatas liFgam % pramANa-Adi-anuSAsanam // 3.1.5 //
   svajātiḥ prathamaṃ śabdaiḥ $ sarvair evābhidhīyate &	sva-jAtiH praTamam SabdEH $ sarvEH eva-aBiDIyate &
   tato 'rthajātirūpeṣu % tadadhyāropakalpanā // 3.1.6 //	tatas arTa-jAti-rUpezu % tad-aDyAra-upakalpanA // 3.1.6 //
   yathā rakte guṇe tattvaṃ $ kaṣāye vyapadiśyate &	yaTA rakte guNe tattvam $ kazAye vyapadiSyate &
   saṃyogisaṃnikarṣāc ca % vastrādiṣv api gṛhyate // 3.1.7 //	saMyogi-saMnikarzAt ca % vastra-Adizu api gRhyate // 3.1.7 //
   tathā śabdārthasaṃbandhāc $ chabde jātir avasthitā &	taTA Sabda-arTa-saMbanDAt $ Cabde jAtiH avasTitAH &
   vyapadeśe 'rthajātīnāṃ % jātikāryāya kalpate // 3.1.8 //	vyapadeSe arTa-jAtInAm % jAti-kAryAya kalpate // 3.1.8 //
   jātjśabdaikaśeṣe sā $ jātīnāṃ jātir iṣyate &	jAtjSabda-eka-Seze sA $ jAtInAm jAtiH izyate &
   śabdajātaya ity atra % tajjātiḥ śabdajātiṣu // 3.1.9 //	Sabda-jAtayaH iti atra % tad-jAtiH Sabda-jAtizu // 3.1.9 //
   yā śabdajātiśabdeṣu $ śabdebhyo bhinnalakṣaṇā &	yA Sabda-jAti-Sabdezu $ SabdeByaH Binna-lakzaNA &
   jātiḥ sā śabdajātitvam % avyatikramya vartate // 3.1.10 //	jAtiH sA Sabda-jAti-tvam % avyatikramya vartate // 3.1.10 //
   arthajātyabhidhāne 'pi $ sarve jātyabhidhāyinaḥ &	arTa-jAti-aBiDAne api $ sarve jAti-aBiDAyinaH &
   vyāpāralakṣaṇā yasmāt % padārthāḥ samavasthitāḥ // 3.1.11 //	vyApAra-lakzaNAH yasmAt % padArTAH samavasTitAH // 3.1.11 //
   jātau padārthe jātir vā $ viseṣo vāpi jātivat &	jAtO padArTe jAtiH vA $ visezaH vA-api jAti-vat &
   śabdair apekṣyate yasmād % atas te jātivācinaḥ // 3.1.12 //	SabdEH apekzyate yasmAt % atas te jAti-vAcinaH // 3.1.12 //
   dravyadharmā padārthe tu $ dravye sarvo 'rtha ucyate &	dravya-DarmA padArTe tu $ dravye sarvaH arTaH ucyate &
   dravyadharmāśrayād dravyam % ataḥ sarvo 'rtha iṣyate // 3.1.13 //	dravya-Darma-ASrayAt dravyam % atas sarvaH arTaH izyate // 3.1.13 //
   anupravṛttidharmo vā $ jātiḥ syāt sarvajātiṣu &	anupravRtti-DarmaH vA $ jAtiH syAt sarva-jAtizu &
   vyāvṛttidharmasāmānyaṃ % viśeṣe jātir iṣyate // 3.1.14 //	vyAvRtti-Darma-sAmAnyam % viSeze jAtiH izyate // 3.1.14 //
   saṃyogidharmabhedena $ deśe ca parikalpite &	saMyogi-Darma-Bedena $ deSe ca parikalpite &
   teṣu deśeṣu sāmānyam % ākāśasyāpi vidyate // 3.1.15 //	tezu deSezu sAmAnyam % AkASasya-api vidyate // 3.1.15 //
   adeśānāṃ ghaṭādīnāṃ $ deśāḥ saṃbandhino yathā &	adeSAnAm Gawa-AdInAm $ deSAH saMbanDinaH yaTA &
   ākāśasyāpy adeśasya % deśāḥ saṃyoginas tathā // 3.1.16 //	AkASasya-api adeSasya % deSAH saMyoginaH taTA // 3.1.16 //
   bhinnavastvāśrayā buddhiḥ $ saṃyogiṣv anuvartate &	Binna-vastu-ASrayA budDiH $ saMyogizu anuvartate &
   samavāyiṣu bhedasya % grahaṇaṃ vinivartate // 3.1.17 //	samavAyizu Bedasya % grahaNam vinivartate // 3.1.17 //
   ataḥ saṃyogideśānāṃ $ gauṇatvaṃ parikalpyate &	atas saMyogi-deSAnAm $ gONa-tvam parikalpyate &
   avivekāt pradeśebhyo % mukhyatvaṃ samavāyinām // 3.1.18 //	avivekAt pradeSeByaH % muKya-tvam samavAyinAm // 3.1.18 //
   anupravṛttirūpā yā $ prakhyā tām ākṛtiṃ viduḥ &	anupravRtti-rUpA yA $ praKyA tAm AkRtim viduH &
   ke cid vyāvṛttirūpāṃ tu % dravyatvena pracakṣate // 3.1.19 //	ke cit vyAvRtti-rUpAm tu % dravya-tvena pracakzate // 3.1.19 //
   bhinnā iti paropādhir $ abhinnā iti vā punaḥ &	BinnAH iti para-upADiH $ aBinnAH iti vA punar &
   bhāvātmasu prapañco 'yaṃ % saṃsṛṣṭeṣv eva jāyate // 3.1.20 //	BAva-Atmasu prapaQcaH ayam % saMsRzwezu eva jAyate // 3.1.20 //
   naikatvaṃ nāpi nānātvaṃ $ na sattvaṃ na ca nāstitā &	na-ekatvam na-api nAnAtvam $ na sattvam na ca na-astitAH &
   ātmatattveṣu bhāvānām % asaṃsṛṣṭeṣu vidyate // 3.1.21 //	Atma-tattvezu BAvAnAm % asaMsRzwezu vidyate // 3.1.21 //
   sarvaśaktyātmabhūtatvam $ ekasyaiveti nirṇaye &	sarva-Sakti-Atma-BUta-tvam $ ekasya-eva-iti nirNaye &
   bhāvānām ātmabhedasya % kalpanā syād anarthikā // 3.1.22 //	BAvAnAm Atma-Bedasya % kalpanA syAt anarTikA // 3.1.22 //
   tasmād dravyādayaḥ sarvāḥ $ śaktayo bhinnalakṣaṇāḥ &	tasmAt dravya-AdayaH sarvAH $ SaktayaH Binna-lakzaNAH &
   saṃsṛṣṭāḥ puruṣārthasya % sādhikā na tu kevalāḥ // 3.1.23 //	saMsRzwAH puruza-arTasya % sADikAH na tu kevalAH // 3.1.23 //
   yathaiva cendriyādīnām $ ātmabhūtā samagratā &	yaTA-eva ca-indriya-AdInAm $ Atma-BUtA samagra-tA &
   tathā saṃbandhisaṃbandha- % saṃsarge 'pi pratīyate // 3.1.24 //	taTA saMbanDi-saMbanDa % saMsarge api pratIyate // 3.1.24 //
   na tad utpadyate kiṃ cid $ yasya jātir na vidyate &	na tat utpadyate kim cit $ yasya jAtiH na vidyate &
   ātmābhivyaktaye jātiḥ % kāraṇānāṃ prayojikā // 3.1.25 //	Atma-aBivyaktaye jAtiH % kAraNAnAm prayojikA // 3.1.25 //
   kāraṇeṣu padaṃ kṛtvā $ nityānityeṣu jātayaḥ &	kAraNezu padam kRtvA $ nitya-anityezu jAtayaH &
   kva cit kāryeṣv abhivyaktim % upayānti punaḥ punaḥ // 3.1.26 //	kva cit kAryezu aBivyaktim % upayAnti punar punar // 3.1.26 //
   nirvartyamānaṃ yat karma $ jātis tatrāpi sādhanam &	nirvartyamAnam yat karma $ jAtiH tatra-api sADanam &
   svāśrayasyābhinicpattyai % sā kriyāyāḥ prayojikā // 3.1.27 //	sva-ASrayasya-aBinicpattyE % sA kriyAyAH prayojikA // 3.1.27 //
   vidhau vā pratiṣedhe vā $ brāhmaṇatvādi sādhanam &	viDO vA pratizeDe vA $ brAhmaNa-tva-Adi sADanam &
   vyaktyāśritāśritā jāteḥ % saṃkhyājātir viśeṣikā // 3.1.28 //	vyakti-ASrita-ASritA jAteH % saMKyA-jAtiH viSezikAH // 3.1.28 //
   yathā jalādibhir vyaktaṃ $ mukham evābhidhīyate &	yaTA jala-AdiBiH vyaktam $ muKam eva-aBiDIyate &
   tathā dravyair abhivyaktā % jātir evābhidhīyate // 3.1.29 //	taTA dravyEH aBivyaktA % jAtiH eva-aBiDIyate // 3.1.29 //
   yathendriyagato bheda $ indriyagrahaṇād ṛte &	yaTA-indriya-gataH BedaH $ indriya-grahaNAt Rte &
   indriyārtheṣvadṛśyo 'pi % jñānabhedāya kalpate // 3.1.30 //	indriya-arTezu-adRSyaH api % jQAna-BedAya kalpate // 3.1.30 //
   tathātmarūpagrahaṇāt $ keṣāṃ cid vyaktayo vinā &	taTA-Atma-rUpa-grahaNAt $ kezAm cit vyaktayaH vinA &
   sāmānyajñānabhedānām % upayānti nimittatām // 3.1.31 //	sAmAnya-jQAna-BedAnAm % upayAnti nimitta-tAm // 3.1.31 //
   satyāsatyau tu yau bhāgau $ pratibhāvaṃ vyavasthitau &	satya-asatyO tu yO BAgO $ pratiBAvam vyavasTitO &
   satyaṃ yat tatra sā jātir % asatyā vyaktayaḥ smṛtāḥ // 3.1.32 //	satyam yat tatra sA jAtiH % asatyAH vyaktayaH smRtAH // 3.1.32 //
   saṃbandhibhedāt sattaiva $ bhidyamānā gavādiṣu &	saMbanDi-BedAt sattA-eva $ BidyamAnAH gavA-Adizu &
   jātir ity ucyate tasyāṃ % sarve śabdā vyavasthitāḥ // 3.1.33 //	jAtiH iti ucyate tasyAm % sarve SabdAH vyavasTitAH // 3.1.33 //
   tāṃ prātipadikārthaṃ ca $ dhātvarthaṃ ca pracakṣate &	tAm prAtipadikA-arTam ca $ DAtu-arTam ca pracakzate &
   sā nityā sā mahān ātmā % tām āhus tvatalādayaḥ // 3.1.34 //	sA nityA sA mahAn AtmA % tAm AhuH tu-atala-AdayaH // 3.1.34 //
   prāptakramā viśeṣeṣu $ kriyā saivābhidhīyate &	prApta-kramA viSezezu $ kriyA sA-eva-aBiDIyate &
   kramarūpasya saṃhāre % tat sattvam iti kathyate // 3.1.35 //	krama-rUpasya saMhAre % tat sattvam iti kaTyate // 3.1.35 //
   saiva bhāvavikāreu $ ṣaḍ avasthāḥ prapadyate &	sA-eva BAva-vikAreu $ zaw avasTAH prapadyate &
   krameṇa śaktibhiḥ svābhir % evaṃ pratyavabhāsate // 3.1.36 //	krameNa SaktiBiH svABiH % evam pratyavaBAsate // 3.1.36 //
   ātmabhūtaḥ kramo 'py asyā $ yatredaṃ kāladarśanam &	Atma-BUtaH kramaH api asyAH $ yatra-idam kAla-darSanam &
   paurvāparyādirūpeṇa % pravibhaktam iva sthitam // 3.1.37 //	pOrvAparya-Adi-rUpeNa % praviBaktam iva sTitam // 3.1.37 //
   tirobhāvābhyupagame $ bhāvānāṃ saiva nāstitā &	tiroBAva-aByupagame $ BAvAnAm sA-eva na-astitAH &
   labdhakrame tirobhāve % naśyatīti pratīyate // 3.1.38 //	labDa-krame tiroBAve % naSyati-iti pratIyate // 3.1.38 //
   pūrvasmāt pracyutā dharmād $ aprāptā cottaraṃ padam &	pUrvasmAt pracyutA DarmAt $ aprAptA ca-uttaram padam &
   tadantarāle bhedānām % āśrayāj janma kathyate // 3.1.39 //	tad-antarAle BedAnAm % ASrayAt janma kaTyate // 3.1.39 //
   āśrayaḥ svātmamātrā vā $ bhāvā vā vyatirekiṇaḥ &	ASrayaH sva-Atma-mAtrAH vA $ BAvAH vA vyatirekiNaH &
   svaśaktayo vā sattāyā % bhedadarśanahetavaḥ // 3.1.40 //	sva-SaktayaH vA sattAyAH % Beda-darSana-hetavaH // 3.1.40 //
   pṛthivyādiṣv abhivyaktau $ na saṃsthānam apekṣate &	pRTivI-Adizu aBivyaktO $ na saMsTAnam apekzate &
   anucchinnāśrayāj jātir % anitye 'py āśraye sthitā // 3.1.41 //	anucCinna-ASrayAt jAtiH % anitye api ASraye sTitAH // 3.1.41 //
   anucchedyāśrayām eke $ sarvāṃ jātiṃ pracakṣate &	anucCedya-ASrayAm eke $ sarvAm jAtim pracakzate &
   na yaugapadyaṃ pralaye % sarvasyeti vyavasthitāḥ // 3.1.42 //	na yOgapadyam pralaye % sarvasya-iti vyavasTitAH // 3.1.42 //
   prakṛtau pravilīneṣu $ bhedeṣv ekatvadarśinām &	prakRtO pravilInezu $ Bedezu ekatva-darSinAm &
   dravyasattvaṃ prapadyante % svāśrayā eva jātayaḥ // 3.1.43 //	dravya-sattvam prapadyante % sva-ASrayAH eva jAtayaH // 3.1.43 //
   brāhmaṇatvādayo bhāvāḥ $ sarvaprāṇiṣv avasthitāḥ &	brAhmaNa-tva-AdayaH BAvAH $ sarva-prANizu avasTitAH &
   abhivyaktāḥ svakāryāṇāṃ % sādhakā ity api smṛtiḥ // 3.1.44 //	aBivyaktAH sva-kAryANAm % sADakAH iti api smRtiH // 3.1.44 //
   citrādiṣv apy abhivyaktir $ jātīnāṃ kaiś cid iṣyate &	citra-Adizu api aBivyaktiH $ jAtInAm kEH cit izyate &
   prāṇyāśritās tu tāḥ prāptau % nimittaṃ puṇyapāpayoḥ // 3.1.45 //	prANi-ASritAH tu tAH prAptO % nimittam puNya-pApayoH // 3.1.45 //
   jñānaṃ tv asmadviśiṣṭānāṃ $ tāsu sarvendriyaṃ viduḥ &	jQAnam tu asmad-viSizwAnAm $ tAsu sarva-indriyam viduH &
   abhyāsān maṇirūpyādi- % viśeṣeṣv iva tadvidām // 3.1.46 //	aByAsAt maNi-rUpyAdi % viSezezu iva tad-vidAm // 3.1.46 //
   jātyutpalādigandhādau $ bhedatattvaṃ yad āśritam &	jAti-utpala-Adi-ganDa-AdO $ Beda-tattvam yat ASritam &
   tad bhāvapratyayair loke % 'nityatvān nābhidhīyate // 3.1.47 //	tat BAva-pratyayEH loke % anitya-tvAt na-aBiDIyate // 3.1.47 //
   asvaśabdābhidhānās tu $ narasiṃhādijātayaḥ &	asva-Sabda-aBiDAnAH tu $ nara-siMha-Adi-jAtayaH &
   sarūpāvayavevānyā % tāsu śrutir avasthitā // 3.1.48 //	sarUpa-avayava-iva-anyA % tAsu SrutiH avasTitAH // 3.1.48 //
   jātyavasthāparicchede $ saṃkhyā saṃkhyātvam eva vā &	jAti-avasTA-paricCede $ saMKyA saMKyA-tvam eva vA &
   viprakarṣe 'pi saṃsargād % upakārāya kalpate // 3.1.49 //	viprakarze api saMsargAt % upakArAya kalpate // 3.1.49 //
   lakṣaṇā śabdasaṃskāre $ vyāpāraḥ kāryasiddhaye &	lakzaNA Sabda-saMskAre $ vyApAraH kArya-sidDaye &
   saṃkhyākarmādiśaktīnāṃ % śrutisāmye 'pi dṛśyate // 3.1.50 //	saMKyA-karma-Adi-SaktInAm % Sruti-sAmye api dRSyate // 3.1.50 //
   na vinā saṃkhyayā kaś cit $ sattvabhūto 'rtha ucyate &	na vinA saMKyayA kaH cit $ sattva-BUtaH arTaH ucyate &
   ataḥ sarvasya nirdeśe % saṃkhyā syād avivakṣitā // 3.1.51 //	atas sarvasya nirdeSe % saMKyA syAt avivakzitAH // 3.1.51 //
   ekatvaṃ vā bahutvaṃ vā $ keṣāṃ cid avivakṣitam &	eka-tvam vA bahu-tvam vA $ kezAm cit avivakzitam &
   tad dhi jātyabhidhānāya % dvitvaṃ tu syād vivakṣitam // 3.1.52 //	tat Di jAti-aBiDAnAya % dvi-tvam tu syAt vivakzitam // 3.1.52 //
   yady etau vyādhitau syātāṃ $ deyaṃ syād idam auṣadham &	yadi etO vyADitO syAtAm $ deyam syAt idam OzaDam &
   ity evaṃ lakṣaṇe 'rthasya % dvitvaṃ syād avivakṣitam // 3.1.53 //	iti evam lakzaNe arTasya % dvi-tvam syAt avivakzitam // 3.1.53 //
   ekādiśabdavācyāyāḥ $ karmasv aṅgatvam iṣyate &	eka-Adi-Sabda-vAcyAyAH $ karmasu aFga-tvam izyate &
   saṃkhyāyāḥ khanati dvābhyām % iti rūpād dhi sāśritā // 3.1.54 //	saMKyAyAH Kanati dvAByAm % iti rUpAt Di sa-ASritAH // 3.1.54 //
   yajeta paśunety atra $ saṃskārasyāpi saṃbhave &	yajeta paSunA-iti atra $ saMskArasya-api saMBave &
   yathā jātis tathaikatvaṃ % sādhanatvena gamyate // 3.1.55 //	yaTA jAtiH taTA-ekatvam % sADana-tvena gamyate // 3.1.55 //
   liṅgāt tu syād dvitīyādes $ tad ekatvaṃ vivakṣitam &	liFgAt tu syAt dvitIya-AdeH $ tat eka-tvam vivakzitam &
   ekārthaviṣayatve ca % talliṅgaṃ jātisaṃkhyayoḥ // 3.1.56 //	eka-arTa-vizaya-tve ca % tat-liFgam jAti-saMKyayoH // 3.1.56 //
   anyatrāvihitasyaiva $ sa vidhiḥ prathamaṃ paśoḥ &	anyatra-avihitasya-eva $ sa viDiH praTamam paSoH &
   kriyāyām aṅgabhāvaś ca % tat tv etasmād vivakṣitam // 3.1.57 //	kriyAyAm aFga-BAvaH ca % tat tu etasmAt vivakzitam // 3.1.57 //
   grahās tv anyatra vihitā $ bhinnasaṃkhyāḥ pṛthak pṛthak &	grahAH tu anyatra vihitAH $ Binna-saMKyAH pRTak pRTak &
   prājāpatyā navety evam- % ādibhedasamanvitāḥ // 3.1.58 //	prAjApatyAH nava-iti evam % Adi-Beda-samanvitAH // 3.1.58 //
   aṅgatvena pratītānāṃ $ saṃmārge tv aṅgināṃ punaḥ &	aFga-tvena pratItAnAm $ saMmArge tu aFginAm punar &
   nirdeśaṃ prati yā saṃkhyā % sā kathaṃ syād vivakṣitā // 3.1.59 //	nirdeSam prati yA saMKyA % sA kaTam syAt vivakzitAH // 3.1.59 //
   nānyatra vidhir astīti $ saṃskāro nāpi cāṅgitā &	na-anyatra viDiH asti-iti $ saMskAraH na-api ca-aFgitAH &
   hetuḥ saṃkhyāvivakṣāyā % yatnāt sā hi vivakṣitā // 3.1.60 //	hetuH saMKyA-vivakzAyAH % yatnAt sA hi vivakzitAH // 3.1.60 //
   saṃmārjane viśeṣaś ca $ na grahe kva cid āśritaḥ &	saMmArjane viSezaH ca $ na grahe kva cit ASritaH &
   vihītās te ca saṃskāryāḥ % sarveṣām āśrayas tataḥ // 3.1.61 //	vihItAH te ca saMskAryAH % sarvezAm ASrayaH tatas // 3.1.61 //
   pratyāśrayaṃ samāptāyāṃ $ jātāv ekena cet kriyā &	pratyASrayam samAptAyAm $ jAtO ekena ced kriyA &
   paśunā na prakalpeta % tat syād eva prakalpanam // 3.1.62 //	paSunA na prakalpeta % tat syAt eva prakalpanam // 3.1.62 //
   ekena ca prasiddhāyāṃ $ kriyāyāṃ yadi saṃbhavāt &	ekena ca prasidDAyAm $ kriyAyAm yadi saMBavAt &
   paśvantaram upādeyam % upādānam anarthakam // 3.1.63 //	paSu-antaram upAdeyam % upAdAnam anarTakam // 3.1.63 //
   yathaivāhitagarbhāyāṃ $ garbhādhānam anarthakam &	yaTA-eva-Ahita-garBAyAm $ garBADAnam anarTakam &
   tathaikena prasiddhāyāṃ % paśvantaram anarthakam // 3.1.64 //	taTA-ekena prasidDAyAm % paSu-antaram anarTakam // 3.1.64 //
   tāvatārthasya siddhatvād $ ekatvasyāvyatikramam &	tAvatA-arTasya sidDa-tvAt $ ekatvasya-avyatikramam &
   ke cid icchanti na tv atra % saṃkhyāṅgatvena gṛhyate // 3.1.65 //	ke cit icCanti na tu atra % saMKyA-aFga-tvena gRhyate // 3.1.65 //
   dvitīyādi tu yal liṅgam $ uktanyāyānuvādi tat &	dvitIya-Adi tu yat liFgam $ ukta-nyAya-anuvAdi tat &
   nasaṃkhyā sādhanatvena % jātivat tena gamyate // 3.1.66 //	na-saMKyA sADana-tvena % jAti-vat tena gamyate // 3.1.66 //
   anvayavyatirekābhyāṃ $ saṃkhyābhyupagame sati &	anvaya-vyatirekAByAm $ saMKyA-aByupagame sati &
   yuktaṃ yat sādhanatvaṃ syān % na tv anyārthopalakṣaṇam // 3.1.67 //	yuktam yat sADana-tvam syAt % na tu anya-arTa-upalakzaNam // 3.1.67 //
   sādhanatve padārthasya $ sāmarthyaṃ na prahīyate &	sADana-tve padArTasya $ sAmarTyam na prahIyate &
   saṃkhyāvyāpāradharmo 'tas % tena liṅgena gamyate // 3.1.68 //	saMKyA-vyApAra-DarmaH atas % tena liFgena gamyate // 3.1.68 //
   apūrvasya vidheyatvāt $ prādhānyam avasīyate &	apUrvasya viDeya-tvAt $ prADAnyam avasIyate &
   vihitasya parārthatvāc % cheṣabhāvaḥ pratīyate // 3.1.69 //	vihitasya para-arTa-tvAt % Ceza-BAvaH pratIyate // 3.1.69 //
   saṃmārgasya vidheyatvād $ anyatra vihite grahe &	saMmArgasya viDeya-tvAt $ anyatra vihite grahe &
   vidhivākye śrutā saṃkhyā % lakṣaṇāyāṃ na bādhyate // 3.1.70 //	viDi-vAkye SrutA saMKyA % lakzaNAyAm na bADyate // 3.1.70 //
   vidhivākyāntare saṃkhyā $ paśor nāsti virodhinī &	viDi-vAkya-antare saMKyA $ paSoH na-asti viroDinI &
   tasmāt saguṇa evāsau % sahaikatvena gamyate // 3.1.71 //	tasmAt sa-guNaH eva-asO % saha-ekatvena gamyate // 3.1.71 //
   nirjñātadravyasaṃbandhe $ yaḥ karmaṇy upadiśyate &	nirjQAta-dravya-saMbanDe $ yaH karmaNi upadiSyate &
   guṇas tenārthitā tasya % dravyeṇeva pratīyate // 3.1.72 //	guNaH tena-arTitA tasya % dravyeNa-iva pratIyate // 3.1.72 //
   kaś cid eva guṇo dravye $ yathā sāmarthyalakṣaṇaḥ &	kaH cit eva guNaH dravye $ yaTA sAmarTya-lakzaNaH &
   ādhāro 'pi guṇasyaivaṃ % prāptaḥ sāmarthyalakṣaṇaḥ // 3.1.73 //	ADAraH api guNasya-evam % prAptaH sAmarTya-lakzaNaH // 3.1.73 //
   tayos tu pṛthagarthitve $ saṃbandho yaḥ pratīyate &	tayoH tu pRTak-arTi-tve $ saMbanDaH yaH pratIyate &
   na tasminn upaghāto 'sti % kalpyam anyan na cāśrutam // 3.1.74 //	na tasmin upaGAtaH asti % kalpyam anyat na ca-aSrutam // 3.1.74 //
   kriyayā yo 'bhisaṃbandhaḥ $ sa śrutiprāpitas tayoḥ &	kriyayA yaH aBisaMbanDaH $ sa Sruti-prApitaH tayoH &
   āśrayāśrayiṇor vākyān % niyamas tv avatiṣṭhate // 3.1.75 //	ASraya-ASrayiNoH vAkyAn % niyamaH tu avatizWate // 3.1.75 //
   tatra dravyaguṇābhāve $ pratyekaṃ syād vikalpanam &	tatra dravya-guNa-aBAve $ pratyekam syAt vikalpanam &
   śrutiprāpto hi saṃbandho % balavān vākyalakṣaṇāt // 3.1.76 //	Sruti-prAptaH hi saMbanDaH % balavAn vAkya-lakzaNAt // 3.1.76 //
   yadā tu jātiḥ śaktir vā $ kriyāṃ praty upadiśyate &	yadA tu jAtiH SaktiH vA $ kriyAm prati upadiSyate &
   sāmarthyāt saṃnidhīyete % tatra dravyaguṇau tadā // 3.1.77 //	sAmarTyAt saMniDIyete % tatra dravya-guNO tadA // 3.1.77 //
   jātīnāṃ ca guṇānāṃ ca $ tulye 'ṅgatve kriyāṃ prati &	jAtInAm ca guNAnAm ca $ tulye aFga-tve kriyAm prati &
   guṇāḥ pratinidhīyante % chāgādīnāṃ na jātayaḥ // 3.1.78 //	guNAH pratiniDIyante % CAga-AdInAm na jAtayaH // 3.1.78 //
   vyaktiśakteḥ samāsannā $ jātayo na tathā guṇāḥ &	vyakti-SakteH samAsannAH $ jAtayaH na taTA guNAH &
   sākṣād dravyaṃ kriyāyogi % guṇas tasmād vikalpate // 3.1.79 //	sAkzAt dravyam kriyA-yogi % guNaH tasmAt vikalpate // 3.1.79 //
   sāmyenānyatarābhāve $ vikalpaḥ kaiś cid iṣyate &	sAmyena-anyatara-aBAve $ vikalpaH kEH cit izyate &
   atadguṇo 'taś chāgaḥ syān % meṣo vā tadguṇo bhavet // 3.1.80 //	atad-guNaH atas CAgaH syAt % mezaH vA tad-guNaH Bavet // 3.1.80 //
   jāter āśritasaṃkhyāyāḥ $ pravṛttir upalabhyate &	jAteH ASrita-saMKyAyAH $ pravRttiH upalaByate &
   saṃkhyāviśeṣam utsṛjya % kva cit saiva pravartate // 3.1.81 //	saMKyA-viSezam utsRjya % kva cit sA-eva pravartate // 3.1.81 //
   parāṅgabhūtaṃ sāmānyaṃ $ yujyate dravyasaṃkhyayā &	para-aFga-BUtam sAmAnyam $ yujyate dravya-saMKyayA &
   svārthaṃ pravartamānaṃ tu % na saṃkhyām avalambate // 3.1.82 //	sva-arTam pravartamAnam tu % na saMKyAm avalambate // 3.1.82 //
   yajeta paśunety atra $ yajyarthāyāṃ paśuśrutau &	yajeta paSunA-iti atra $ yaji-arTAyAm paSu-SrutO &
   kṛtārthaikena paśunā % pradhānaṃ bhavati kriyā // 3.1.83 //	kRtArTa-ekena paSunA % praDAnam Bavati kriyA // 3.1.83 //
   yāvatāṃ saṃbhavo yasya $ sa kuryāt tāvatāṃ yadi &	yAvatAm saMBavaH yasya $ sa kuryAt tAvatAm yadi &
   ālambhanaṃ guṇais tena % pradhānaṃ syāt prayojitam // 3.1.84 //	AlamBanam guNEH tena % praDAnam syAt prayojitam // 3.1.84 //
   saṃmṛjyamānatantre tu $ grahe yatra kriyāśrutiḥ &	saMmRjyamAna-tantre tu $ grahe yatra kriyA-SrutiH &
   saṃkhyāviśeṣagrahaṇaṃ % naiva tatrādriyāmahe // 3.1.85 //	saMKyA-viSeza-grahaNam % na-eva tatra-AdriyAmahe // 3.1.85 //
   śiṣyamāṇapare vākye $ yad ekagrahaṇaṃ kṛtam &	SizyamANa-pare vAkye $ yat eka-grahaNam kRtam &
   śeṣe viśiṣṭasaṃkhye 'pi % vyaktaṃ talliṅgadarśanam // 3.1.86 //	Seze viSizwa-saMKye api % vyaktam tad-liFga-darSanam // 3.1.86 //
   samāsapratyayavidhau $ yathā nipatitā śrutiḥ &	samAsa-pratyaya-viDO $ yaTA nipatitA SrutiH &
