   Larger Prajñāpāramitā	LargeH PrajQApAramitA
   paryāyeṇa śāradvatīputra bodhisatvā mahāsatvāḥ kāmānām avarṇaṃ bhāṣante |	paryAyeNa SAradvatI-putra boDisatvAH mahAsatvAH kAmAnAm avarNam BAzante |
   ādīptāḥ kāmā jugupsitāḥ kāmā vadhakāḥ kāmāḥ pratyarthikāḥ kāmāḥ	AdIptAH kAmAH jugupsitAH kAmAH vaDakAH kAmAH pratyarTikAH kAmAH
   pratyamitrāḥ kāmāḥ evaṃ hi śāradvatīputra bodhisatvā mahāsatvāḥ satvānāṃ	pratyamitrAH kAmAH evam hi SAradvatI-putra boDisatvAH mahAsatvAH satvAnAm
   paṃcabhyaḥ kāmaguṇebhyo vivecanārthaṃ vicchandanārthaṃ paṃca kāmaguṇān	paMcaByaH kAma-guNeByaH vivecana-arTam vicCandana-arTam paMca kAma-guNAn
   upadarśayaṃti | na ca tair mādyanti na pramādyanti | na kāmahetor na	upadarSayaMti | na ca tEH mAdyanti na pramAdyanti | na kAma-hetoH na
   kāmanidānaṃ (LPG 17v) pāpaṃ karmādhyavasyanti | // evam ukte āyuṣmāṃc	kAmanidAnam (LPu 17v) pApam karma-aDyavasyanti | // evam ukte AyuzmAMc
   chāradvatiputro bhagavantam etad avocat* kathaṃ punar bhagavan	CAradvati-putraH Bagavantam etat avocat* kaTam punar Bagavan
   bodhisatvena mahāsatvena prajñāpāramitāyāṃ caritavyam* bhagavān āha | iha	boDisatvena mahAsatvena prajQApAramitAyAm caritavyam* BagavAn Aha | iha
   śāradvatīputra bodhisatvo mahāsatvaḥ prajñāpāramitāyāṃ caran bodhisatva	SAradvatI-putra boDisatvaH mahAsatvaH prajQApAramitAyAm caran boDisatva
   iti na samanupaśyati | bodhisatvanāmāpi na samanupaśyati |	iti na samanupaSyati | boDisatva-nAma-api na samanupaSyati |
   bodhisatvacaryām api na samanupaśyati | prajñāpāramiteti na samanupaśyati	boDisatva-caryAm api na samanupaSyati | prajQApAramitA-iti na samanupaSyati
   | prajñāpāramitānāmāpi na samanupaśyati | caratīti na samanupaśyati | na	| prajQApAramitA-nAmA-api na samanupaSyati | carati-iti na samanupaSyati | na
   caratīti na samanupaśyati | rūpam api na samanupaśyati | vedanāṃ saṃjñāṃ	carati-iti na samanupaSyati | rUpam api na samanupaSyati | vedanAm saMjQAm
   saṃskārān vijñānam api na samanupaśyati | tat kasya hetoḥ tathā hi sa	saMskArAn vijQAnam api na samanupaSyati | tat kasya hetoH taTA hi sa
   bodhisatvo nāmasvabhāvena śunyaḥ na śunyatayā rūpaṃ śunyaṃ na vedanā	boDisatvaH nAma-svaBAvena SunyaH na SunyatayA rUpam Sunyam na vedanA
   saṃjñā saṃskārā na śunyatayā vijñānaṃ śunyam* nānyatra rūpāc chunyatā	saMjQA saMskArAH na SunyatayA vijQAnam Sunyam* na-anyatra rUpAt SunyatA
   nānyatra vedanāyāḥ saṃjñāyāḥ saṃskārebhyo nānyatra vijñānāc chunyatā |	na-anyatra vedanAyAH saMjQAyAH saMskAreByaH na-anyatra vijQAnAt SunyatA |
   śunyataiva rūpaṃ śunyataiva vedanā saṃjñā saṃskārāḥ śunyataiva vijñānaṃ	Sunyata-eva rUpam SunyatA-eva vedanA saMjQA saMskArAH SunyatA-eva vijQAnam
   tat kasya hetoḥ tathā hi nāmamātram idaṃ yad uta bodhiḥ nāmamātram idaṃ	tat kasya hetoH taTA hi nAma-mAtram idam yat uta boDiH nAma-mAtram idam
   yad uta bodhisatvaḥ nāmamātram idaṃ yad uta cchunyatā | nāmamātram idaṃ	yat uta boDisatvaH nAma-mAtram idam yat uta cCunyatA | nAma-mAtram idam
   yad uta rūpaṃ vedanā saṃjñā saṃskārā vijñānaṃ | tathā hi māyopamaṃ rūpam	yat uta rUpam vedanA saMjQA saMskArAH vijQAnam | taTA hi mAyA-upamam rUpam
   vedanā saṃjñā saṃskārā māyopamaṃ vijñānaṃ māyā ca nāmamātraṃ na deśasthā	vedanA saMjQA saMskArAH mAyA-upamam vijQAnam mAyA ca nAma-mAtram na deSa-sTA
   na pradeśasthā : asad abhūtaṃ vitathasamaṃ māyādarśanaṃ svabhāvarahitaṃ	na pradeSa-sTA : asat aBUtam vitaTa-samam mAyA-darSanam svaBAva-rahitam
   asvabhāvaś cānutpādaḥ anirodaḥ na hānir na vṛddhiḥ na saṃkleśo na	asvaBAvaH ca-anutpAdaH anirodaH na hAniH na vRdDiH na saMkleSaH na
   vyavadānam evaṃ caran bodhisatvo mahāsatvaḥ utpādaṃ na samanupaśyati |	vyavadAnam evam caran boDisatvaH mahAsatvaH utpAdam na samanupaSyati |
   nirodhaṃ na samanupaśyati | sthānaṃ na samanupaśyati | hāniṃ na	niroDam na samanupaSyati | sTAnam na samanupaSyati | hAnim na
   samanupaśyati | (LPG 18r) vṛddhiṃ na samanupaśyati | saṃkleśan na	samanupaSyati | (LPu 18r) vRdDim na samanupaSyati | saMkleSan na
   samanupaśyati | vyavadānan na samanupaśyati | rūpan na samanupaśyati |	samanupaSyati | vyavadAnan na samanupaSyati | rUpan na samanupaSyati |
   vedanāṃ saṃjñāṃ saṃskārān vijñānaṃ na samanupaśyati | bodhir iti	vedanAm saMjQAm saMskArAn vijQAnam na samanupaSyati | boDiH iti
   bodhisatva iti yad ucyate tad api na samanupaśyati | tat kasya hetoḥ	boDisatvaH iti yat ucyate tat api na samanupaSyati | tat kasya hetoH
   kṛtriman nāma pratipratidharman te kalpitā āgantukena	kRtriman nAma pratipratiDarman te kalpitAH Agantukena
   nāmadheyenābhūtaparikalpitena vyavahṛyante // vyavahārāc cābhiniviśyante |	nAmaDeyena-aBUta-parikalpitena vyavahRyante // vyavahArAt ca-aBiniviSyante |
   tad bodhisatvo mahāsatvaḥ prajñāpāramitāyāṃ caran sarvadharmān na	tat boDisatvaH mahAsatvaH prajQApAramitAyAm caran sarva-DarmAt na
   samanupaśyaty asamanupaśyan na manyate | nābhiniviśate | //	samanupaSyati asam-anupaSyat na manyate | na-aBiniviSate | //
   punar aparaṃ śāradvatīputra bodhisatvo mahāsatvaḥ prajñāpāramitāyāṃ carann	punar aparam SAradvatI-putra boDisatvaH mahAsatvaH prajQApAramitAyAm caran=-
   evaṃ vyupaparīkṣate | nāmamātram idaṃ yad uta bodhisatva iti nāmamātram	evam vyupaparIkzate | nAma-mAtram idam yat uta boDisatvaH iti nAma-mAtram
   idaṃ yad uta bodhir iti | nāmamātram idaṃ yad uta buddha iti | nāmamātram	idam yat uta boDiH iti | nAma-mAtram idam yat uta budDaH iti | nAma-mAtram
   idaṃ yad uta prajñāpāramiteti | nāmamātram idaṃ yad uta prajñāpāramitāyāṃ	idam yat uta prajQApAramitA-iti | nAma-mAtram idam yat uta prajQApAramitAyAm
   caratīti | nāmamātram idaṃ yad uta rūpam iti | vedanā saṃjñā saṃskārā	carati-iti | nAma-mAtram idam yat uta rUpam iti | vedanA saMjQA saMskArA
   vijñānam iti | tadyathāpi nāma śāradvatīputra ātmātmeti vyavahṛyate sa ca	vijQAnam iti | tat-yaTA-api nAma SAradvatI-putraH Atma-AtmA-iti vyavahRyate sa ca
   parigaveṣyamāṇo nopalabhyate | evaṃ satvo jīvaḥ poṣaḥ pudgalo manujo	parigavezyamANaH na-upalaByate | evam satvaH jIvaH pozaH pudgalaH manujaH-
   mānavaḥ kārakaḥ kārāpako vedako vedayitṛkaḥ utthāpakaḥ samutthāpako	mAnavaH kArakaH kArApakaH vedakaH vedayitRkaH utTApakaH samutTApakaH-
   jānakaḥ paśyakaḥ sparśako vijānakaḥ sarva ete yathābhūtaṃ parigaveṣyamāṇāḥ	jAnakaH paSyakaH sparSakaH vijAnakaH sarve ete yaTABUtam parigavezyamANAH
   sarveṇa sarvan nopalabhyante | anupalaṃbhaśunyatām upādāya | yāvad eva	sarveNa sarvat na-upalaByante | anupalaMBa-SunyatAm upAdAya | yAvat eva
   nāmasaṃketena vyavahriyante | // evam eva bodhisatvo mahāsatvaḥ	nAma-saMketena vyavahriyante | // evam eva boDisatvaH mahAsatvaH
   prajñāpāramitāyāṃ caran bodhisatvan na samanupaśyati | bodhin na	prajQApAramitAyAm caran boDisatvat na samanupaSyati | boDit na
   samanupaśyati | buddhan na samanupaśyati | prajñāpāramitāṃ na	samanupaSyati | budDan na samanupaSyati | prajQApAramitAm na
   samanupaśyati | prajñāpāramitāyāṃ caratīti na samanupaśyati | rūpan na	samanupaSyati | prajQApAramitAyAm carati-iti na samanupaSyati | rUpan na
   samanupaśyati | vedanāṃ saṃjñāṃ saṃskārān vijñānan na samanupaśyati | yena	samanupaSyati | vedanAm saMjQAm saMskArAn vijQAnan na samanupaSyati | yena
   nāmnā vyavahṛyeta | tad api nāmaṃ na samanupaśyaty evaṃ caran bodhisatvo	nAmnA vyavahRyeta | tat api nAmam na samanupaSyati evam caran boDisatvaH-
   mahāsatvaḥ prajñāpāramitāyāṃ tathāgataprajñāṃ sthāpayitvā sarvās tadanyāḥ	mahAsatvaH prajQApAramitAyAm taTAgata-prajQAm sTApayitvA sarvAH tad-anyAH
   prajñā yāvat sarvaśrāvakapratyekabuddhānāṃ prajñā abhibhavaty	prajQA yAvat sarva-SrAvaka-pratyekabudDAnAm prajQA aBiBavati-
   anupalambhaśunyatām (LPG 18v) upādāya | tat kasya hetoḥ tathā hi sa tad	anupalamBa-SunyatAm (LPu 18v) upAdAya | tat kasya hetoH taTA hi sa tat-
   api na samanupaśyati | yenābhiniviśeta evaṃ caraṃc chāradvatīputrāyaṃ	api na samanupaSyati | yena-aBiniviSeta evam caran SAradvatI-putrAyam
   jaṃbudvīpaḥ paripūrṇo bhavec chāradvatīputramaudgalyāyanasadṛśair	jaMbudvIpaH paripUrNaH Bavet SAradvatI-putra-mOdgalyAyana-sadRSEH-
   bhikṣubhiḥ tadyathāpi nāma naḍavanaṃ vā veṇuvanaṃ vā ikṣuvanaṃ vā	BikzuBiH tat-yaTA-api nAma naxa-vanam vA veNu-vanam vE ikzu-vanam vA
   śaravaṇaṃ vā śālivanaṃ vā tilavanaṃ vā teṣāṃ yā prajñā sā bodhisatvasya	SaravaNam vA SAli-vanam vA tila-vanam vA tezAm yA prajQA sA boDisatvasya
   mahāsatvasya prajñāpāramitāyāṃ carataḥ prajñāyāḥ śatatamīm api kalān	mahAsatvasya prajQApAramitAyAm carataH prajQAyAH SatatamIm api kalAn
   nopaiti | sahasratamīm api | śatasahasratamīm api | koṭīśatasahasratamīm	na-upEti | sahasratamIm api | Sata-sahasratamIm api | kowI-Sata-sahasratamIm
   api | saṃkhyām api kalām api gaṇanām apy upamām apy upaniśām api na	api | saMKyAm api kalAm api gaNanAm api upamAm api upaniSAm api na
   kṣamate | tat kasya hetoḥ tathā hi śāradvatīputra bodhisatvasya	kzamate | tat kasya hetoH taTA hi SAradvatI-putra boDisatvasya
   mahāsatvasya yā prajñā sā sarvasatvānāṃ parinirvāpaṇārthāya pratyupasthitā	mahAsatvasya yA prajQA sA sarva-satvAnAm parinirvApaNa-arTAya pratyupasTitA
   punar aparaṃ śāradvatīputra bodhisatvasya mahāsatvasya prajñāpāramitāyāṃ	punar aparam SAradvatI-putra boDisatvasya mahA-satvasya prajQApAramitAyAm
   carato yā ekadivasaparibhāvitā prajñā sā sarvaśrāvakapratyekabuddhānāṃ	carataH yA eka-divasa-pariBAvitA prajQA sA sarva-SrAvaka-pratyekabudDAnAm
   prajñā abhibhūya tiṣṭhati // tiṣṭhatu śāradvatīputra jambudvīpaḥ	prajQA aBiBUya tizWati // tizWatu SAradvatI-putra jambudvIpaH
   paripūrṇaḥ śāradvatīputramaudgalyāyanasadṛśair bhikṣubhiḥ sacec	paripUrNaH SAradvatI-putra-mOdgalyAyana-sadRSEH BikzuBiH saced-
   chāradvatīputra trisāhasramahāsāhasro lokadhātuḥ paripūrṇo bhaved	CAradvatI-putra tri-sAhasra-mahA-sAhasraH lokaDAtuH paripUrNaH Bavet-
   yuṣmādṛśair bhikṣubhiḥ teṣāṃ yā prajñā sā bodhisatvasya mahāsatvasya	yuzmAdRSEH BikzuBiH tezAm yA prajQA sA boDisatvasya mahAsatvasya
   prajñāpāramitāyāṃ carataḥ śatatamīm api kalān nopaiti yāvad upaniśām api	prajQApAramitAyAm carataH SatatamIm api kalAn na-upEti yAvat upaniSAm api
   na kṣamate // tiṣṭhatu śāradvatīputra trisāhasramahāsāhasro lokadhātuḥ	na kzamate // tizWatu SAradvatI-putra tri-sAhasra-mahA-sAhasraH lokaDAtuH
   sacec chāradvatīputra pūrvasyān diśi gaṃgānadīvālukopamā lokadhātavaḥ	saced SAradvatI-putra pUrvasyAn diSi gaMgA-nadI-vAlukA-upamAH lokaDAtavaH
   paripūrṇā bhaveyuḥ śāradvatīputramaudgalyāyanasadṛśair bhikṣubhiḥ evan	paripUrNAH BaveyuH SAradvatI-putra-mOdgalyAyana-sadRSEH BikzuBiH evan
   dakṣiṇasyāṃ diśi paścimāyām uttarasyām adhastād upariṣṭād yāvat samantād	dakziNasyAm diSi paScimAyAm uttarasyAm aDastAt uparizwAt yAvat samantAt-
   daśasu dikṣv ekaikasyān diśi gaṃgānadīvālukopamā lokadhātavaḥ paripūrṇā	daSasu dikzu ekEkasyAn diSi gaMgA-nadI-vAlukA-upamA lokaDAtavaH paripUrNA
   bhaveyuḥ teṣāṃ yā prajñā sā bodhisatvasya mahāsatvasya prajñāpāramitāyāṃ	BaveyuH tezAm yA prajQA sA boDisatvasya mahA-satvasya prajQApAramitAyAm
   carataḥ ekadivasaparibhāvitāyāḥ (LPG 19r) prajñāyāḥ śatatamīm api kalān	carataH eka-divasa-pariBAvitAyAH (LPu 19r) prajQAyAH SatatamIm api kalAn
   nopaiti yāvad upaniśām api na kṣamate | śāradvatīputra āha | yeyaṃ	na-upEti yAvat upaniSAm api na kzamate | SAradvatI-putraH Aha | yA-iyam
   bhagavaṃc chrāvakāṇāṃ prajñā srotaāpannasya sakṛdāgāminaḥ anāgāminaḥ	Bagavan SrAvakANAm prajQA srotaApannasya sakRdAgAminaH anAgAminaH
   arhataḥ yā ca pratyekabuddhasya bodhisatvasya tathāgatasya cārhataḥ	arhataH yA ca pratyekabudDasya boDisatvasya taTAgatasya ca-arhataH
   samyaksaṃbuddhasya prajñā sarvās tāḥ prajñā abhedaḥ śunyatā viviktāḥ	samyaksaMbudDasya prajQA sarvAH tAH prajQAH aBedaH SunyatA viviktAH
   anutpādaprakṛtikāḥ svabhāvaśunyā na ca bhagavann abhedasya	anutpAda-prakRtikAH svaBOva-SunyA na ca Bagavan aBedasya
   viviktasyānutpādasya svabhāvaśunyasya viśeṣo vā nānākaraṇaṃ vopalabhyate |	viviktasya-anutpAdasya svaBAva-Sunyasya viSezaH vA nAnA-karaNam vA-upalaByate |
   tat kathaṃ bhagavan yeyaṃ bodhisatvasya mahāsatvasyaikadivasaparibhāvitā	tat kaTam Bagavan yA-iyam boDisatvasya mahAsatvasya-eka-divasa-pariBAvitA
   prajñā sā sarvaśrāvakapratyekabuddhānāṃ prajñām abhibhavati | // bhagavān	prajQA sA sarva-SrAvaka-pratyekabudDAnAm prajQAm aBiBavati | // BagavAn
   āha | tat kiṃ manyase śāradvatīputra yena kāryeṇa bodhisatvasya	Aha | tat kim manyase SAradvatI-putra yena kAryeNa boDisatvasya
   mahāsatvasya prajñāpāramitāyāṃ carataḥ ekadivasaparibhāvitā prajñā	mahAsatvasya prajQApAramitAyAm carataH eka-divasa-pariBAvitA prajQA
   pratyupasthitā mayā mārgākārajñatāyāṃ caratā sarvasatvānām arthaṃ kurvatā	pratyupasTitA mayA mArga-AkAra-jQa-tAyAm caratA sarva-satvAnAm arTam kurvatA
   sarvākāraiḥ sarvadharmān abhisaṃbudhya sarvasatvāḥ parinirvāpayitavyā api	sarva-AkArEH sarva-DarmAn aBisaMbuDya sarva-satvAH parinirvApayitavyAH api
   nu tena kṛtyena sarvaśrāvakapratyekabuddhānāṃ pratyupasthitā | āha | no	nu tena kRtyena sarva-SrAvaka-pratyekabudDAnAm pratyupasTitA | Aha | no
   hīdaṃ bhagavan* bhagavān āha | tat kiṃ manyase śāradvatīputrāpi nu	hi-idam Bagavan* BagavAn Aha | tat kim manyase SAradvatI-putrA-api nu
   sarvaśrāvakapratyekabuddhānām evaṃ bhavaty asmābhir anuttarāṃ	sarva-SrAvaka-pratyekabudDAnAm evam Bavati asmABiH anuttarAm
   samyaksaṃbodhim abhisaṃbudhya sarvasatvā anupadhiśeṣe nirvāṇadhātau	samyaksaMboDim aBisaMbuDya sarva-satvAH anupaDi-Seze nirvANa-DAtO
   parinirvāpayitavyā āha | no hīdaṃ bhagavan bhagavān āha | tad anenāpi te	parinirvApayitavyAH Aha | no hi-idam Bagavan BagavAn Aha | tat anena-api te
   śāradvatīputra paryāyeṇaivaṃ veditavyam* yeyaṃ	SAradvatI-putra paryAyeNa-evam veditavyam* yA-iyam
   sarvaśrāvakapratyekabuddhānāṃ prajñā yā ca bodhisatvasya mahāsatvasya	sarva-SrAvaka-pratyekabudDAnAm prajQA yA ca boDisatvasya mahAsatvasya
   prajñā imāṃ prajñām upanidhāyaiṣā sarvaśrāvakapratyekabuddhānāṃ prajñā	prajQA imAm prajQAm upaniDAya-ezA sarva-SrAvaka-pratyekabudDAnAm prajQA
   śatatamīm api kalān nopaiti | yāvad upaniśām api na kṣamate | tat kiṃ	SatatamIm api kalAn na-upEti | yAvat upaniSAm api na kzamate | tat kim
   manyase śāradvatīputrāpi nu sarvaśrāvakapratyekabuddhānām evaṃ bhavati	manyase SAradvatI-putrA-api nu sarva-SrAvaka-pratyekabudDAnAm evam Bavati
   vayaṃ ṣaṭsu pāramitāsu caritvā satvān paripācya buddhakṣetraṃ pariśodhya	vayam zawsu pAramitAsu caritvA satvAn paripAcya budDa-kzetram pariSoDya
   daśa tathāgatabalāni paripūrya catvāri vaiśāradyāni catasraḥ pratisaṃvido	daSa taTAgata-balAni paripUrya catvAri vESAradyAni catasraH pratisaMvidaH-
   'ṣṭādaśāveṇikān buddhadharmān paripūryānuttarāṃ samyaksaṃbodhim (LPG 19v)	azwAdaSa-AveNikAn budDa-DarmAn paripUrya-anuttarAm samyaksaMboDim (LPu 19v)
   abhisaṃbuddhyāparimāṇān aprameyān asaṃkhyeyān satvān parinirvāpayiṣyāma	aBisaMbudDyA-parimANAn aprameyAn asaMKyeyAn satvAn parinirvApayizyAma
   iti āha | no hīdaṃ bhagavan* bhagavān āha | bodhisatvasya punaḥ	iti Aha | no hi-idam Bagavan* BagavAn Aha | boDisatvasya punar-
   śāradvatīputraivaṃ bhavati | mayā ṣaṭsu pāramitāsu caritvā satvān	SAradvatI-putra-evam Bavati | mayA zawsu pAramitAsu caritvA satvAn
   paripācya buddhakṣetraṃ pariśodhya daśa tathāgatabalāni paripūrya catvāri	paripAcya budDa-kzetram pariSoDya daSa taTAgata-balAni paripUrya catvAri
   vaiśāradyāni catasraḥ pratisaṃvido 'ṣṭādaśāveṇikān buddhadharmān	vESAradyAni catasraH pratisaMvidaH azwAdaSa-AveNikAn budDa-DarmAn
   paripūryānuttarāṃ samyaksaṃbodhim abhisaṃbudhyāprameyāsaṃkhyeyāparimāṇāḥ	paripUrya-anuttarAm samyaksaMboDim aBisaMbuDya-aprameya-asaMKyeya-aparimANAH
   satvāḥ parinirvāpayitavyāḥ // tadyathāpi nāma śāradvatīputra khadyotakasya	satvAH parinirvApayitavyAH // tat-yaTA-api nAma SAradvatI-putra Kadyotakasya
   prāṇikajātasya naivaṃ bhavaty aham ābhayā jambudvīpam avabhāsayeyaṃ	prANika-jAtasya na-evam Bavati aham ABayA jambudvIpam avaBAsayeyam
   mamābhayā jambudvīpaḥ sphuṭo bhavet* evam eva śāradvatīputra	mama-aBayA jambudvIpaH sPuwaH Bavet* evam eva SAradvatI-putra
   sarvaśrāvakapratyekabuddhānāṃ naivaṃ bhavati vayaṃ ṣaṭsu pāramitāsu	sarva-SrAvaka-pratyekabudDAnAm na-evam Bavati vayam zawsu pAramitAsu
   caritvā yāvad aṣṭādaśāveṇikāṃ buddhadharmān paripūryānuttarāṃ	caritvA yAvat azwAdaSa-AveNikAm budDa-DarmAn paripUrya-anuttarAm
   samyaksaṃbodhim abhisaṃbuddhyāprameyāsaṃkhyeyāparimāṇān satvān	samyaksaMboDim aBisaMbudDyA-aprameya-asaMKyeya-aparimANAn satvAn
   parinirvāpayiṣyāmaḥ // tadyathāpi nāma śāradvatīputra sūryamaṇḍalam	parinirvApayizyAmaH // tat-yaTA-api nAma SAradvatI-putra sUrya-maNxalam
   udāgacchat sarvajaṃbūdvīpam avabhāsena spharati | sarvajambudvīpam	udAgacCat sarva-jaMbUdvIpam avaBAsena sParati | sarva-jambudvIpam
   avabhāsena sphuṭīkaroti evam eva śāradvatīputra bodhisatvo mahāsatvaḥ	avaBAsena sPuwIkaroti evam eva SAradvatI-putra boDisatvaH mahAsatvaH
   ṣaṭsu pāramitāsu caran satvān paripācya buddhakṣetraṃ pariśodhya daśa	zawsu pAramitAsu caran satvAn paripAcya budDa-kzetram pariSoDya daSa
   tathāgatabalāni paripūrya catvāri vaiśāradyāni catasraḥ pratisaṃvido	taTAgata-balAni paripUrya catvAri vESAradyAni catasraH pratisaMvidaH-
   'ṣṭādaśāveṇikān buddhadharmān paripūryānuttarāṃ samyaksaṃbodhim	azwAdaSa-AveNikAn budDa-DarmAn paripUrya-anuttarAm samyaksaMboDim
   abhisaṃbudhyāprameyāsaṃkhyeyāparimāṇān* satvān parinirvāpayati | evam ukte	aBisaMbuDya-aprameya-asaMKyeya-aparimANAn* satvAn parinirvApayati | evam ukte
   āyuṣmāṃc chāradvatīputro bhagavantam etad avocat* kathaṃ bhagavaṃ	AyuzmAn SAradvatI-putraH Bagavantam etat avocat* kaTam Bagavam
   bodhisatvo mahāsatvaḥ śrāvakapratyekabuddhabhūmī atikramyāvaivartikabhūmīm	boDisatvaH mahAsatvaH SrAvaka-pratyekabudDa-BUmI atikramya-avEvartika-BUmIm
   anuprāpnoti | bodhisatvamārgaṃ ca pariśodhayati | // evam ukte bhagavān	anuprApnoti | boDisatva-mArgam ca pariSoDayati | // evam ukte BagavAn
   āyuṣmantaṃ śāradvatīputram etad avocat* iha śāradvatīputra bodhisatvo	Ayuzmantam SAradvatI-putram etat avocat* iha SAradvatI-putra boDisatvaH-
   mahāsatvaḥ prathamacittotpādam upādāya ṣaṭsu pāramitāsu caraṃc	mahAsatvaH praTama-citta-utpAdam upAdAya zawsu pAramitAsu caraMc
   chunyatānimittāpraṇihiteṣu (LPG 20r) dharmeṣu sthitvā	CunyatA-nimitta-apraNihitezu (LPG 20r) Darmezu sTitvA
   śrāvakapratyekabuddhabhūmī atikramya buddhabhūmim anuprāpnoti | //	SrAvaka-pratyekabudDa-BUmI atikramya budDa-BUmim anuprApnoti | //
   śāradvatīputra āha | katamasyāṃ bhagavan bhūmau sthitvā bodhisatvo	SAradvatI-putraH Aha | katamasyAm Bagavan BUmO sTitvA boDisatvaH-
   mahāsatvaḥ sarvaśrāvakapratyekabuddhānāṃ dakṣiṇīyo bhavati | bhagavān āha	mahAsatvaH sarva-SrAvaka-pratyekabudDAnAm dakziNIyaH Bavati | BagavAn Aha
   | prathamacittotpādaṃ śāradvatīputropādāya bodhisatvo mahāsatvaḥ ṣaṭsu	| praTama-citta-utpAdam SAradvatI-putra-upAdAya boDisatvaH mahAsatvaH zawsu
   pāramitāsu caran yāvad bodhimaṇḍaniṣaṇṇaḥ atrāntarād bodhisatvo mahāsatvaḥ	pAramitAsu caran yAvat boDimaNxa-nizaNNaH atra-antarAt boDisatvaH mahAsatvaH
   sarvaśrāvakapratyekabuddhānām agro vaktavyaḥ tat kasya hetoḥ tathā hi	sarva-SrAvaka-pratyekabudDAnAm agraH vaktavyaH tat kasya hetoH taTA hi
   śāradvatīputra bodhisatvaṃ mahāsatvam āgamya sarveṣāṃ kuśalānāṃ dharmāṇāṃ	SAradvatI-putra boDisatvam mahA-satvam Agamya sarvezAm kuSalAnAm DarmANAm
   loke prādurbhāvo bhavati | yad uta daśānāṃ kuśalānāṃ karmapathānāṃ	loke prAdurBAvaH Bavati | yat uta daSAnAm kuSalAnAm karma-paTAnAm
   paṃcānāṃ śikṣāpadānām aṣṭāṃgasamanvāgatasya poṣadhasya caturṇāṃ dhyānānāṃ	paMcAnAm SikzA-padAnAm azwa-aMga-samanvAgatasya pozaDasya caturNAm DyAnAnAm
   caturṇām apramāṇānāṃ catasṛṇām ārūpyasamāpattīnāṃ paṃcānām abhijñānāṃ	caturNAm apramANAnAm catasRNAm ArUpya-samApattInAm paMcAnAm aBijQAnAm
   ṣaṇṇām anusmṛtīnāṃ caturṇāṃ smṛtyupasthānānāṃ caturṇāṃ samyakprahāṇānāṃ	zaNNAm anusmRtInAm caturNAm smRti-upasTAnAnAm caturNAm samyak-prahANAnAm
   caturṇām ṛddhipādānāṃ paṃcānām indriyāṇāṃ paṃcānāṃ balānāṃ saptānāṃ	caturNAm RdDi-pAdAnAm paMcAnAm indriyANAm paMcAnAm balAnAm saptAnAm
