   // āyurvedamahodadhiḥ //	// Ayurveda-mahA-udaDiH //
   annapānavidhiḥ	anna-pAna-viDiH
   kāñjīkavaṭakāḥ //	kAQjIka-vawakAH //
   kāñjike rucinikṣiptā vaṭakā māṃsasaṃbhavāḥ /	kAQjike ruci-nikziptAH vawakAH mAMsa-saMBavAH /
   vātaghnā rocakā hṛdyāḥ kaphapittaprakopanāḥ // 16 //	vAta-GnAH rocakAH hRdyAH kaPa-pitta-prakopanAH // 16 //
   rājikācūrṇasaṃskṛtaḥ /	rAjikA-cUrNa-saMskRtaH /
   rājīcūrṇe vimiśraḥ kaphapavanaharo rocano dīpanaḥ syān	rAjI-cUrNe vimiSraH kaPa-pavana-haraH rocanaH dIpanaH syAt-
   mandāgnidhvaṃsakarttā malaviṣaśamano jārayet sarvannam /	manda-agni-DvaMsa-karttA mala-viza-SamanaH jArayet sarvannam /
   kiṃ vā toyair vimiśro guḍalavaṇayutaḥ pittaraktādihantā	kim vA toyEH vimiSraH guxa-lavaNa-yutaH pitta-rakta-Adi-hantA
   tṛṣṇāmūrchāli [bhi]ghātajvarapavanaharaḥ kṣudrarogasya hantā // 17 //	tRzNA-mUrCA-Ali [Bi]-GAta-jvara-pavana-haraH kzudrarogasya hantA // 17 //
   takraṃ komalaśṛṅgaberakalikākustuṃburīsaṃyutaṃ	takram komala-SRFgabera-kalikA-kustuMburI-saMyutam
   yuktyāvartitam ardhaśoṣam aparaṃ bhāṇḍe sudhūpāvṛte /	yukti-Avartitam arDa-Sozam aparam BANxe suDUpa-AvRte /
   havā [?] takramanoharāś ca vaṭakās teṣāṃ ruciṃ mārdavaṃ	havAH [?] takra-manoharAH ca vawakAH tezAm rucim mArdavam
   svādaṃ saurabhabham udvahanty aharahaḥ tān vetti viśvambharā // 18 /	svAdam sOraBaBam udvahanti aharahar tAn vetti viSvamBarA // 18 /
   amlavaṭakaḥ //	amlavawakaH //
   ajājībāhlīkārdrakamaricasindhūtthabharitaḥ	ajAjI-bAhlIka-Ardraka-marica-sinDUtTa-BaritaH
   supākaḥ svādīyān dadhimathitatālīviracitaḥ /	supAkaH svAdIyAn daDi-maTita-tAlI-viracitaH /
   (Ap 59)	(Ap 59)
   kṛtailāsaṃvāsaḥ kvathitamathite svair amuṣitaḥ	kRtElA-saMvAsaH kvaTitam-aTite svEH amuzitaH
   vihantāsau sākṣād arucitarujām amlavaṭakaḥ // 19 //	vihantA-asO sAkzAt arucita-rujAm amlavawakaH // 19 //
   vaṭakaprakārāḥ /	vawaka-prakArAH /
   kūṣmāṇḍārdhamarīce sindhūtthamethikāsahitaiḥ /	kUzmANxa-arDa-marIce sinDUtTa-meTikA-sahitEH /
   piṣṭair māṣadalotthair vihitā vaṭakāś ca vaṭikāś ca // 20 //	pizwEH mAza-dala-utTEH vihitAH vawakAH ca vawikAH ca // 20 //
   kohalavaḍāḥ (bhā-) //	koha-lavaxAH (BA-) //
   godhūmamaṇḍakāḥ //	goDUma-maNxakAH //
   ślakṣṇaṃ godhūmacūrṇaṃ śarapihitamukhaṃ svādutoyena siktaṃ	SlakzNam goDUma-cUrNam Sara-pihita-muKam svAdu-toyena siktam
   saṃmardyaṃ sundarībhir dhanaparilulitaṃ golakaṃ sūkṣmapiṣṭaiḥ /	saMmardyam sundarIBiH Dana-parilulitam golakam sUkzma-pizwEH /
   antaḥ pātre sutapte karayugaracitā maṇḍakāḥ śvetadīrghā	antar pAtre su-tapte kara-yuga-racitAH maNxakAH Sveta-dIrGA
   nikṣiptā bhājaneṣu cimicimiramitāḥ puṣṭayantaḥ susiddhā // 21 //	nikziptAH BAjanezu cimicimira-mitAH puzwayantaH su-sidDAH // 21 //
   te bhojyā bhaktayuktyā parivṛtasahitā mudgayūṣe vimiśrā	te BojyA Bakta-yuktyA parivRta-sahitA mudga-yUze vimiSrA
   āḍhakyair vā masūraiḥ ghṛtapiśitarasair jāṃgalānūpamāṃsaiḥ /	AXakyEH vA masUrEH GRta-piSita-rasEH jAMgala-AnUpa-mAMsEH /
   kāle vāsantapūrve praharayugamukhe bhojanaṃ nityapathyaṃ	kAle vAsanta-pUrve prahara-yuga-muKe Bojanam nitya-paTyam
   gatrau kṣīrājyayuktā salila (lalita) narapater bhojanaṃ grīṣmakāle // 22	gatrO kzIra-Ajya-yuktA salila (lalita) narapateH Bojanam grIzma-kAle // 22
   godhūmamaṇḍakā rucyā laghavaś coṣṇadīpanāḥ /	goDUma-maNxakAH rucyAH laGavaH ca-uzNa-dIpanAH /
   māṇḍepātiyā (bhā-) //	mANxepa-atiyA (BA-) //
   maṇḍakā maṇḍikāś caiva pathyā aṃgārapācitāḥ // 23 //	maNxakAH maNxikAH ca-eva paTyAH aMgAra-pAcitAH // 23 //
   atyuṣṇā maṇḍakā pathyā atiśītā guruḥ smṛtā /	ati-uzNA maNxakA paTyA atiSItA guruH smRtA /
   (Ap 60)	(Ap 60)
   kukūlakarparabhrāṣṭrakandvāṅgare vipācitān // 24 //	kukUla-karpara-BrAzwra-kandvAFgare vipAcitAn // 24 //
   (ekayor nīlladhūn vidyād apūpān uttarottaram)	(ekayoH nIllaDUn vidyAt apUpAn uttarottaram)
   raktaghnā pittakopi ca svādur mārutanāśinī (?) /	raktaGnA pittakopi ca svAduH mAruta-nASinI (?) /
   vṛṣṇī dīpanī vṛṣyā godhūmāṃgārapācitā (?) // 26 //	vRzNI dIpanI vRzyA goDUma-aMgAra-pAcitAH (?) // 26 //
   atha vaṭakādibhakṣyāṇāṃ guṇāḥ //	aTa vawaka-Adi-BakzyANAm guNAH //
   bāhlījair māricair lavaṇapūḍu (lālavaṇapṛthu) tarair ārdrakaiḥ	bAhlIjEH mAricEH lavaNapUxu (lA-lavaNa-pRTu) tarEH ArdrakEH
   pūrṇagarbhaḥ	pUrNa-garBaH
   svinnaḥ śvāduḥ sugandhiḥ parimalabahulaḥ komalaḥ kuṅkumābhaḥ /	svinnaH SvAduH suganDiH parimala-bahulaH komalaH kuFkuma-ABaH /
   kṣipto dantāntarāle murumuru kurute vyaktaśabdaṃ yathā vā	kziptaH danta-antarAle murum-uru kurute vyakta-Sabdam yaTA vA
   dhanyo 'sau yat kapole praviśati vaṭakaḥ kāntayā prītidattaḥ // 27 //	DanyaH asO yat kapole praviSati vawakaH kAntayA prItidattaH // 27 //
   koravaḍā (bhā-) //	koravaxAH (BA-) //
   dadhivaṭakāḥ //	daDivawakAH //
   śālipiṣṭadadhikhaṇḍasaṃyutā dadhna eva vaṭakeṣu kīrtitāḥ /	SAli-pizwa-daDi-KaNxa-saMyutAH daDnaH eva vawakezu kIrtitAH /
   ghoravātaśamanā rucipradāḥ pittam apy apaharanti dāruṇam // 28 //	Gora-vAta-SamanAH ruci-pradAH pittam api apaharanti dAruNam // 28 //
   caṇakādikṛtāḥ /	caNaka-Adi-kRtAH /
   durjaraṃ caṇakādīnāṃ vahnimāndyakaraṃ param /	durjaram caNaka-AdInAm vahni-mAndya-karam param /
   laghu rucyāgnijananaṃ dadyān māṣādipūraṇam // 29 //	laGu rucya-agni-jananam dadyAt mAza-Adi-pUraNam // 29 //
   madhuraṃ madhurāmlaṃ tat tad eva prakaroti ca /	maDuram maDura-amlam tat tat eva prakaroti ca /
   kaphaprakopajananaṃ cāṇakyaṃ pūraṇaṃ smṛtam // 30 //	kaPa-prakopa-jananam cANakyam pUraNam smRtam // 30 //
   veṅgaṇī (bhā-) //	veFgaNI (BA-) //
   godhūmacūrṇadhanaveṣṭitamāṣamudgapiṣṭaṃ supakvam iti veṣṭanikā vadanti /	goDUma-cUrNa-Dana-vezwita-mAza-mudga-pizwam su-pakvam iti vezwanikAH vadanti /
   (Ap 61)	(Ap 61)
   tāṃ bhakṣayed atibalāṃ labhate (ramate) manuṣyas tailena vā saha ghṛtena	tAm Bakzayet atibalAm laBate (ramate) manuzyaH tElena vA saha GRtena
   sugandhinā vā // 31 //	suganDinA vA // 31 //
   tāvad vargo 'tra bhakṣyāṇo (ṇāṃ) svadate sādhyate 'pi ca /	tAvat vargaH atra BakzyANaH (NAM) svadate sADyate api ca /
   uṣṇoṣṇāḥ sarpiṣā snātā yāvac cāṅgārapācitāḥ // 32 //	uzNa-uzNAH sarpizA snAtAH yAvat ca-aFgAra-pAcitAH // 32 //
   guḍagodhūmayor miśraṃ tailapakvānnabhakṣaṇam /	guxa-goDUmayoH miSram tEla-pakva-anna-BakzaNam /
   karoti śleṣmapittaṃ ca mārutaṃ cāpakarṣati //33 //	karoti Slezma-pittam ca mArutam ca-apakarzati //33 //
   tailavaḍiyā (bhā-) //	tEla-vaxiyA (BA-) //
   laghavaḥ parya (rpa)ṭā rucyāḥ kaphaghnāḥ śālisaṃbhavāḥ /	laGavaH paryaH (rpa)wAH rucyAH kaPa-GnAH SAli-saMBavAH /
   guravo rocakāś caiva śālimudgādisaṃbhavāḥ // 34 //	guravaH rocakAH ca-eva SAli-mudga-Adi-saMBavAH // 34 //
   śālimudgapāpaḍa (bhā-) //	SAli-mudga-pApaxa (BA-) //
   viṣṭambhī pāyaso balyo medaḥkaphakaro guruḥ /	vizwamBI pAyasaH balyaH medaH-kaPa-karaH guruH /
   kaphapittakarī balyā kṛśarānilanāśinī // 35 //	kaPa-pitta-karI balyA kRSarA-anila-nASinI // 35 //
   taile vipakvā vaṭikāś ca śālibhiḥ sudurjarā rocanabhakṣaṇāś ca /	tEle vipakvAH vawikAH ca SAliBiH su-durjarAH rocana-BakzaNAH ca /
   kaphaprakopaṃ janayanti sadyo viśeṣataḥ kūravaḍā viśīrṇāḥ // 36 //	kaPa-prakopam janayanti sadyas viSezataH kUra-vaxAH viSIrNAH // 36 //
   kūravaḍāḥ (bhā-) //	kUravaxAH (BA-) //
   saktavo bṛṃhaṇā vṛṣyāḥ tṛṣṇāpittakaphāpahāḥ /	saktavaH bRMhaNAH vRzyAH tRzNA-pitta-kaPa-apahAH /
   rucyāḥ sadyo balakarā bhedinaḥ pavanāpahāḥ // 37 //	rucyAH sadyas bala-karAH BedinaH pavana-apahAH // 37 //
   sātu (bhā-) //	sAtu (BA-) //
   saṃdhānakṛtpiṣṭam annaṃ taṇḍulāḥ kṛmihetavaḥ /	saMDAna-kRt-pizwam annam taNxulAH kRmi-hetavaH /
   sudurjaraḥsvāduraso bṛṃhaṇas taṇḍulodbhavaḥ // 38 //	su-durjaraH-svAdu-rasaH bRMhaNaH taNxula-udBavaH // 38 //
   taṇḍulapīḍha (bhā-) //	taNxula-pIXaH (BA-) //
   // ity āyurvedamahodadhau suṣeṇakṛte kṛtānnavargaḥ //	// iti Ayurveda-mahodaDO suzeNa-kRte kRtAnna-vargaH //
   // atha phalānāṃ guṇāḥ kathyante //	// aTa PalAnAm guNAH kaTyante //
   tatrādau dāḍimasya guṇāḥ //	tatra-AdO dAximasya guNAH //
   tridoṣaśamanaṃ pathyaṃ vṛṣyaṃ madhuraśītalam /	tridoza-Samanam paTyam vRzyam maDura-SItalam /
   chardyarocakatṛṣṇāghnaṃ śophapittajvarāpaham // 1 //	Cardi-arocaka-tRzNA-Gnam SoPa-pitta-jvara-apaham // 1 //
   (Ap 62)	(Ap 62)
   dāhaśiktasta (pittapra)śamanaṃ sarvarogavināśanam /	dAha-SiktaH-te (pitta-pra)Samanam sarva-roga-vinASanam /
   balavarṇakaraṃ hṛdyaṃ supakvaṃ dāḍinīphalam // 2 //	bala-varNa-karam hRdyam su-pakvam dAxinI-Palam // 2 //
   atyamlaṃ madhuraṃ kaṣāyaguṇabhṛdvidvadbhir uktaṃ rase	ati-amlam maDuram kazAya-guNa-BRt-vidvadBiH uktam rase
   vīrye saṃśamanaṃ samīraṇaharaṃ pittāpahaṃ dīpanam /	vIrye saMSamanam samIraNa-haram pitta-apaham dIpanam /
   kiṃcit saṃgrahaṇaṃ kaphasya haraṇaṃ prāyo 'pi pāke punaḥ	kiMcid saMgrahaNam kaPasya haraNam prAyas api pAke punar-
   prakhyātaṃ rasavīryapākavibhavair evaṃ guṇaṃ dāḍimam // 3 //	praKyAtam rasa-vIrya-pAka-viBavEH evam guNam dAximam // 3 //
   dāḍimaṃ dvividham īḍitabhāryair amlam ekam aparaṃ maduraṃ ca /	dAximam dviviDam Ixita-BAryEH amlam ekam aparam maduram ca /
   tatra vātakaphahāri kilāmlaṃ tāpahāri madhuraṃ laghu pathyam // 4 //	tatra vAta-kaPa-hAri kila-amlam tApa-hAri maDuram laGu paTyam // 4 //
   dāḍimaṃ madhuram amlakaṣāyaṃ kāsavātakaphapittavināśi /	dAximam maDuram amla-kazAyam kAsa-vAta-kaPa-pitta-vinASi /
   grāhi dīpanakaraṃ ca laghūṣṇaṃ śītalaṃ bhramahara rucidāyi // 5 //	grAhi dIpana-karam ca laGu-uzNam SItalam Brama-hara ruci-dAyi // 5 //
   iti dāḍimam //	iti dAximam //
   atha drākṣāguṇāḥ //	aTa drAkzA-guNAH //
   cakṣuṣyā raktapittaṃ śamayati madhurā śītavīryā vipāke	cakzuzyA raktapittam Samayati maDurA SIta-vIryA vipAke
   svāduḥ snigdhā kaṣāyā gururati ca tṛṣāśoṣadoṣāpahantrī /	svAduH snigDA kazAyA guruH-ati ca tRzA-Soza-doza-apahantrI /
   drākṣā kṣīṇaru (kṣa)tānām apaharati vamīśvāsakāsajvarārtīs	drAkzA kzINaru (kza)tAnAm apaharati vamI-SvAsa-kAsa-jvara-ArtI-H-
   tiktāsyatvaṃ madaṃ ca pravarataraphaleṣūttamā saṃpradiṣṭā // 6 ///	tikta-Asya-tvam madam ca pravaratara-Palezu-uttamA saMpradizwAH // 6 ///
   supakvā //	supakvAH //
   drākṣā saiva nu dhātuvṛddhijananī saṃtarpaṇī doṣahat	drAkzA sA-eva nu DAtu-vRdDi-jananI saMtarpaNI dozahat-
   tṛṣṇārticyavanī samīraśamanī chardyāmayadhvaṃsinī /	tRzNA-Arti-cyavanI samIra-SamanI Cardi-Amaya-DvaMsinI /
   pāke 'amlā surasā rase ca madhurā (śītā) śāntā ca vīryeṇa sā	pAke aamlA surasA rase ca maDurA (SItA) SAntA ca vIryeNa sA
   sā pakvā vihitā jvare ca kaphaje viṇmūtrasaṃśodhanī // 7 //	sA pakvA vihitA jvare ca kaPa-je viz-mUtra-saMSoDanI // 7 //
   (Ap 63)	(Ap 63)
   śītā pitāsta(sra) doṣaṃ śamayati madhurā svādupākādi (ti) rucyā	SItA pitAH-ta(sra) dozam Samayati maDurA svAdu-pAka-Adi (ti) rucyA
   cakṣuṣyā śvāsakāsaśramavamitra (śa)manī śoṣatṛṣṇājvaraghnī //	cakzuzyA SvAsa-kAsa-Srama-vamitra (Sa)manI Soza-tRzNA-jvara-GnI //
   dāhādhmānaśramādīn apanayati parā tarpaṇī pakvaśuṣkā	dAha-ADmAna-Srama-AdIn apanayati parA tarpaNI pakva-SuzkA
   drākṣā sukṣīṇavīryān api madanakarā kolā (kalākeli) dakṣān vidhatte // 8	drAkzA su-kzINa-vIryAn api madana-karA kolAH (kalA-keli) dakzAn viDatte // 8
   iti drākṣā //	iti drAkzA //
   atha mātuliṅgaguṇāḥ //	aTa mAtuliFga-guNAH //
   cakṛ (tvak) tiktā kaṭukā kaphakrimiharā snigdhāniladhvaṃsinī	cakR (tvak) tiktA kawukA kaPa-krimi-harA snigDa-anila-DvaMsinI
   māṃsaṃ bṛṃhaṇavātapittaśamanaṃ vṛṣyaṃ mahādurjaram /	mAMsam bRMhaNa-vAta-pitta-Samanam vRzyam mahA-durjaram /
   amlaṃ kesaram agnivṛddhijananaṃ saśvāsakāsāpahaṃ	amlam kesaram agni-vRdDi-jananam sa-SvAsa-kAsa-apaham
   hidhmāccharditṛṣāsyajāḍyaharaṇaṃ tan mātuliṅgodbhavam // 1 //	hiDmAt-Cardi-tRzA-Asya-jAxya-haraNam tat mAtuliFga-udBavam // 1 //
   tiktā snigdhā bhavati kaṭukā mātuliṃgasya sā tvak	tiktA snigDA Bavati kawukA mAtuliMgasya sA tvac-
   madhyaṃ snigdhaṃ ca (harati) madhuraṃ bṛṃhaṇaṃ vātapitte /	maDyam snigDam ca (harati) maDuram bRMhaNam vAta-pitte /
   māṃsaṃ bhinnaṃ (snigdhaṃ) bhavati laghu tat kesaraṃ kāsahidhmā-	mAMsam Binnam (snigDaM) Bavati laGu tat kesaram kAsa-hiDmA-
   śvāsaśleṣmānila jaṭharajid gulmaśūlmā (lā) nilaghnam // 10 //	SvAsa-Slezma-anila jaWara-jit gulma-SUlmA (lA) nilaGnam // 10 //
   sindhū (tthe) cchena ghanāgame (ca) vasitayā kāle śaratsaṃjñake	sinDU (tTe) cCena Gana-Agame (ca) vasitayA kAle Sarad-saMjQake
   hemante lavaṇārdrahiṅgumaricaiḥ siddhārthacūrṇānvitam /	hemante lavaNa-Ardra-hiFgu-maricEH sidDArTa-cUrNa-anvitam /
   etais taiḥ śiśire madhāv api yutaṃ grīṣme guḍenānvitaṃ	etEH tEH SiSire maDO api yutam grIzme guxena-anvitam
   vaidyair bhūmipa sālu (mātu) liṃgam uditaṃ sarvartusādhāraṇam // 11 //	vEdyEH BUmipa sAlu (mAtu) liMgam uditam sarva-Rtu-sADAraNam // 11 //
   atha jambīram //	aTa jambIram //
   jambīram amlaṃ rasato vipāke vātāpahaṃ pittakaphapradaṃ ca /	jambIram amlam rasataH vipAke vAta-apaham pitta-kaPa-pradam ca /
   annasya pārvanva (kaṃ tva) cireṇa kuryāt surocanaṃ vahnivivardhanaṃ ca //	annasya pArvanvaH (kam tva) cireNa kuryAt surocanam vahni-vivarDanam ca //
   (Ap 64)	(Ap 64)
   kaṭukamadhuram amlaṃ supratītaṃ raseṣu rucikaram udarāgner dīpanaṃ	kawuka-maDuram amlam su-pratItam rasezu ruci-karam udara-agneH dIpanam
   vātahāri /	vAta-hAri /
   nihata (harati) kaphasamīrau pittam āhanti vīryaṃ karaṇaphalam itīdaṃ	nihata (harati) kaPa-samIrO pittam Ahanti vIryam karaNa-Palam iti-idam
   vātapittaṃ vipakvam // 13 //	vAta-pittam vipakvam // 13 //
   (karaṇam api na hṛdyaṃ raktapittaṃ tanoti /)	(karaNam api na hRdyam raktapittam tanoti /)
   nimbūphalaṃ rocakam agnivṛddhiṃ karoti pittaṃ ca savātaraktam /	nimbU-Palam rocakam agni-vRdDim karoti pittam ca sa-vAta-raktam /
   acākṣuṣaṃ śleṣmakaraṃ viśeṣāt bhuktānnapākaṃ kurute ca sadyaḥ // 14 //	acAkzuzam Slezma-karam viSezAt Bukta-anna-pAkam kurute ca sadyas // 14 //
   nimbukaṃ krimisamūhanāśanaṃ tīkṣṇam amlamudarāpahaṃ smṛtam /	nimbukam krimi-samUha-nASanam tIkzNam amlam-udara-apaham smRtam /
   vātapittakaphaśūlatāhitaṃ naṣṭadhānyarucirocakapradam // 15 //	vAta-pitta-kaPa-SUla-tA-hitam nazwa-DAnya-ruci-rocaka-pradam // 15 //
   atha nāraṅgaphalam //	aTa nAraFga-Palam //
   nāraṅgasya phalaṃ balaṃ ca kurute susvādu hṛdyaṃ laghu	nAraFgasya Palam balam ca kurute su-svAdu hRdyam laGu
   śreṣṭhaṃ vahnikaraṃ vidāhaśamanaṃ bhuktānnapaktipradam /	SrezWam vahni-karam vidAha-Samanam Bukta-anna-pakti-pradam /
   sarvārocakanāśanaṃ śramaharaṃ vātāpahaṃ puṣṭidaṃ	sarva-arocaka-nASanam Srama-haram vAta-apaham puzwi-dam
   bhuktvāpi pratibhakṣitaṃ na kurute kiṃcid vikāraṃ nṛṇām // 16 //	BuktvA-api pratiBakzitam na kurute kiMcid vikAram nRNAm // 16 //
   īṣadrase madhuraśītalam amlatiktaṃ vīryodgamāc chamanadīpanapācanaṃ ca	Izat-rase maDura-SItalam amla-tiktam vIrya-udgamAt Samana-dIpana-pAcanam ca
   ārvedayati (?) kaphapittaharaṃ vipāke nāraṅgakaṃ phalam udāradhiyo	Arvedayati (?) kaPa-pitta-haram vipAke nAraFgakam Palam udAra-Diyo
   munīndrāḥ // 17 //	muni-indrAH // 17 //
   (Ap 65)	(Ap 65)
   atha madhukarkaṭī //	aTa maDukarkawI //
   susvādu pāke rasataś ca raktapittaprakopaṃ vilayanti māndye (?) /	su-svAdu pAke rasataH ca raktapitta-prakopam vilayanti mAndye (?) /
   dāhajvaraṃ nāśayatīti nityaṃ prāhuś ca vaidyā madhukarkaṭī ca // 18 //	dAha-jvaram nASayati-iti nityam prAhuH ca vEdyA maDukarkawI ca // 18 //
   atha mocāphalam //	aTa mocA-Palam //
   mocaṃ svādurasaṃ vipākamadhuraṃ vīryeṇa śītaṃ jaḍaṃ	mocam svAdu-rasam vipAka-maDuram vIryeNa SItam jaxam
   pittaghnaṃ tv anilāpahaṃ gurutaraṃ pathyaṃ na mande 'nale /	pitta-Gnam tu anila-apaham gurutaram paTyam na mande anale /
   sadyo bhuktavivardhanaṃ klamaharaṃ tṛṣṇāpahaṃ śāntidaṃ	sadyas Bukta-vivarDanam klama-haram tRzNA-apaham SAnti-dam
   dīptāgneḥ sukhadaṃ kaphāmayaharaṃ saṃtarpaṇaṃ prāṇinām // 19 //	dIpta-agneH suKa-dam kaPa-Amaya-haram saMtarpaNam prANinAm // 19 //
   atha nālikerīphalam //	aTa nAlikerI-Palam //
   snigdhaṃ svādurasaṃ vipākamadhuraṃ hṛdyaṃ jaraṃ(ḍa) durjaraṃ	snigDam svAdu-rasam vipAka-maDuram hRdyam jaraM(xa) durjaram
   pittaghnaṃ krimivardhanaṃ madakaraṃ vātāmayadhvaṃsanam /	pitta-Gnam krimi-varDanam mada-karam vAta-Amaya-DvaMsanam /
   āmaśleṣmavikopanaṃ praśamanaṃ vahner bhramadhvaṃsanaṃ	Ama-Slezma-vikopanam praSamanam vahneH Brama-DvaMsanam
   kandarpasya balaṃ dadāti nitarāṃ tan nālikerīphalam	kandarpasya balam dadAti nitarAm tat nAlikerI-Palam
   nālikerodakam //	nAlikera-udakam //
   susvāduvṛṣyalaghudīpanarūkṣaśītaṃ tadvātapittaharavastiviśuddhihetuḥ /	su-svAdu-vRzya-laGu-dIpana-rUkza-SItam tad-vAta-pitta-hara-vasti-viSudDi-hetuH /
   syān nārikelasalilaṃ śaśikānti pathyaṃ pittajvarasya viṣahāri vadanti	syAt nArikela-salilam SaSi-kAnti paTyam pitta-jvarasya viza-hAri vadanti
   vaidyāḥ // 20 //	vEdyAH // 20 //
   (Ap 66)	(Ap 66)
   atha bhavyaphalam //	aTa Bavya-Palam //
   bhavyaṃ bhavyataraṃ svādu kiñcid amlaṃ surocanam /	Bavyam Bavyataram svAdu kiQcid amlam surocanam /
   vātaghnaṃ sukhavairasyanāśanaṃ vahnidīpanam // 21 //	vAta-Gnam suKa-vErasya-nASanam vahni-dIpanam // 21 //
   atha āmalakīphalama //	aTa AmalakI-PalamaH //
   karamara (?) hanti (vātaṃ tad amlatvāt) vātadamlaṃ cātpittaṃ mādhuryaśaity	karamara (?) hanti (vAtam tat amla-tva-at) vAta-damlam cAt-pittam mADurya-SEty
   ataḥ /	atas /
   kaphaṃ rukṣakapāyaṃ (yatvāt phalaṃ dhātryās tridoṣajit) // 22 //	kaPam rukza-kapAyam (ya-tvAt Palam DAtryAH tridoza-jit) // 22 //
   {cf. Bhāvamiśra: Bhāvaprakāśaḥ 41}	{cf. Bha-avamiSra: BhOva-prakASaH 41}
   .................. tathā	.................. taTA
   kiṃcit svādurasaṃ vipākamadhuraṃ doṣatrayadhvaṃsanam /	kiMcid svAdu-rasam vipAka-maDuram dozatraya-DvaMsanam /
   mūtravyādhiharaṃ pramehaśamanaṃ viṣṭambhavicchedanam	mUtra-vyADi-haram prameha-Samanam vizwamBa-vicCedanam
   bhuktābhūktahitaṃ sadāmṛtarasaṃ pathyaṃ ca dhātrīphalam // 23 //	Bukta-aBu-ukta-hitam sadA-amRta-rasam paTyam ca DAtrI-Palam // 23 //
   rūkṣaṃ svādu kaṣāyam amlakaṭukaṃ snigdhaṃ suse (?) rocanaṃ	rUkzam svAdu kazAyam amla-kawukam snigDam suse (?) rocanam
   cakṣuṣyaṃ balavarṇadaṃ dhṛtikaraṃ vṛṣyaṃ ca buddhipradam /	cakzuzyam bala-varNa-dam DRti-karam vRzyam ca budDi-pradam /
   kaṇḍūkuṣṭhavināśanaṃ jvaraharaṃ tṛḍdāhatāpāpahaṃ	kaNxU-kuzWa-vinASanam jvara-haram tRz-dAha-tApa-apaham
   jātaṃ kiṃbahunā tridoṣaśamanaṃ dhātrīphalaṃ prāṇinām // 24 //	jAtam kiMbahunA tridoza-Samanam DAtrI-Palam prANinAm // 24 //
   tridhāphale (dhātrīphalaṃ) dinaṃ (tadvini) hanti mehān arocakādīn vividhān	triDA-Pale (DAtrI-Palan) dinam (tad-vini) hanti mehAn arocaka-AdIn viviDAn
   vikārān /	vikArAn /
   amlaṃ ca (mlatva) mādhuryakaṣāyataḥ kramāt doṣatrayaghnaṃ laghu śītavīryam	amlam ca (mla-tva) mADurya-kazAyataH kramAt dozatraya-Gnam laGu SIta-vIryam
   prācīnāmalakaphalam //	prAcInAmalaka-Palam //
   pānī ya (?) malakaṃ (prācīnāmalakaṃ) vṛṣyaṃ svādu hṛdyaṃ kaphāpaham /	pAnI yaH (?) malakam (prAcInAmalakaM) vRzyam svAdu hRdyam kaPa-apaham /
   śītalaṃ vṛṣa(ṣya)m āyuṣyaṃ dāhajvaraharaṃ param // 26 //	SItalam vRza(zya)m Ayuzyam dAha-jvara-haram param // 26 //
   (Ap 67)	(Ap 67)
   atha āmraphalam //	aTa Amra-Palam //
   bālaṃ pittakaphāsravātajananaṃ badhā (ddhā)sthi tādṛgvidhaṃ	bAlam pitta-kaPa-asra-vAta-jananam baDAH (dDA)sTi tAdRgviDam
   pakvaṃ svādurasaṃ tridoṣaśamanaṃ kṣīṇāṅgapuṣṭipradam /	pakvam svAdu-rasam tridoza-Samanam kzINa-aFga-puzwi-pradam /
   dhātor vṛddhikaraṃ vipākamadhuraṃ saṃtarpaṇaṃ kāntidaṃ	DAtoH vRdDi-karam vipAka-maDuram saMtarpaNam kAnti-dam
   tṛṣṇāśoṣanivāraṇaṃ rucikaraṃ āplaṃ (mraṃ) phaleṣūttamam // 27 //	tRzNA-Soza-nivAraNam ruci-karam Aplam (mraM) Palezu-uttamam // 27 //
   santarpaṇīyaḥ sakalendriyāṇāṃ balaprado vṛṣyatamaś ca hṛdyaḥ /	santarpaNIyaH sakala-indriyANAm bala-pradaH vRzyatamaH ca hRdyaH /
   strīṣu praharṣaṃ vipulaṃ dadāti phalādhirājaḥ sahakāra eva // 28 //	strIzu praharzam vipulam dadAti Pala-aDirAjaH sahakAraH eva // 28 //
   āmraṃ pākasya kāle madhuram iha raseneṣad amlaṃ ca hṛdyaṃ	Amram pAkasya kAle maDuram iha rasena-Izat amlam ca hRdyam
   retovṛddhiṃ vidhatte śamayati pavanaṃ pācanaṃ dīpanaṃ ca /	retaH-vRdDim viDatte Samayati pavanam pAcanam dIpanam ca /
   ānandaṃ saṃdadhāti pratidiśati balaṃ vīryataḥ suśrutādyāḥ	Anandam saMdaDAti pratidiSati balam vIryataH suSruta-AdyAH
   vikhyātāḥ sarvaloke hy atijanitakaphaṃ durjaraṃ kīrtayanti // 29 //	viKyAtAH sarva-loke hi ati-janita-kaPam durjaram kIrtayanti // 29 //
   yat kāminyadharovṛṣaṃ (ṣṭhasaṃ)bhṛtam iti khyātaṃ viśiṣṭair buddhaiḥ	yat kAminI-aDara-uvRzam (zWa-saM)BRtam iti KyAtam viSizwEH budDEH
   yad daityapramukhaiḥ prayatnanirataiḥ kṛṣṭaṃ suraiḥ sāgarāt /	yat dEtya-pramuKEH prayatna-niratEH kRzwam surEH sAgarAt /
