   Prajñāpāramitopadeśaśāstre	PrajQApAramita upadeSa SAstre
   'bhisamaye laukikanirvedhabhāgīyādhigamapūrvako	aBisamaye lOkika nirveDa BAgIya aDi gama pUrva kaH 
   lokottaradarśanabhāvanāmārgādhigamaḥ / sarvākārābhisambodhādau tu trividhe	loka uttara darSana BAvanA mArga aDigamaH / sarva AkAra aBisamboDa AdO tu triviDe
   'bhisamaye bhāvanottarottarāvasthāviśeṣeṇa sarvākāraviśeṣamārgasaṃgṛhītaṃ	aBisamaye BAvanA uttara uttara avasTA viSezeNa sarva AkAra viSeza mArga saMgRhItam
   jñānamanāsravaṃ mṛdumadhyādhimātrakrameṇotpadyata iti sakṛdutpattinirāsāya	jQAnam anAsravam mRdu maDya aDimAtra krameNa utpadyate iti sakRt utpatti nirAsAya
   nirvedhabhāgīyādivyapadeśo 'bhihita iti veditavyam /	nirveDa BAgIya Adi vyapadeSaH aBihitaH iti veditavyam /
   8   avaivartiko gaṇaḥ	8  avEvartikaH gaNaH
   avaivartikabodhisattvasaṃghasya yathoktanirvedhabhāgīyamutpadyata	avEvartika boDisattva saMGasya yaTA ukta nirveDa BAgIyam utpadyata
   ityavaivartikabodhisattvasaṃghalakṣaṇamāha  	iti avEvartika boDisattva saMGa lakzaNam Aha  
   nirvedhāṅgānyupādāya darśanābhyāsamārgayoḥ /	nirveDa aFgAni upAdAya darSana aByAsa mArgayoH /
   ye bodhisattvā vartante so 'trāvaivartiko gaṇaḥ // Abhis_4.38 //	ye boDisattvAH vartante saH atra avEvartikaH gaNaH // ABiH _4.38 //
   iti / ye vīrāḥ caturṣu nirvedhabhāgīyeṣu	iti / ye vIrAH caturzu nirveDa BAgIyezu
   vakṣyamāṇadarśanamārgabhāvanāmārgayoḥ tattadadhigamanayena sthitāḥ, te eva	vakzyamANa darSana mArga BAvanA mArgayoH tad tad aDigamanayena sTitAH, te eva
   avaivartikaśaikṣyabodhisattvasaṃghā bhavanti /	avEvartika SEkzya boDisattva saMGAH Bavanti /
   kiñca teṣāmāveṇikalakṣaṇamiti cet tāvadekena antaraślokena	kiQca tezAm AveNika lakzaNam iti ced tAvat ekena antaraSlokena
   nirvedhabhāgīyasthitānāṃ lakṣaṇamāha  	nirveDa BAgIya sTitAnAm lakzaNam Aha  
   rūpādibhyo nivṛttyādyairliṅgairviṃśatidheritaiḥ /	rUpa AdiByaH nivRtti AdyEH liFgEH viMSati DA IritEH /
   nirvedhāṅgasthitasyedamavaivarttikalakṣaṇam // Abhis_4.39 //	nirveDa aFga sTitasya Idam avEvarttika lakzaNam // ABiH _4.39 //
   iti /	iti /
   rūpādinivṛttinirvicikitsādyākārairviṃśatiprakārairnirvedhabhāgīyasthānāmavaivartikalakṣaṇaṃ	rUpa Adi nivRtti nirvicikitsA Adi AkArEH viMSati prakArEH nirveDa BAgIya sTAna Am avEvartika lakzaNam
   jñeyam /	jQeyam /
   kāni ca nivṛttyāderlakṣaṇāni iti cet ṣaḍbhiḥ antaraślokaiḥ	kAni ca nivRtti AdeH lakzaNAni iti ced zaxBiH antaraSlokEH
   pratipādayitumāha  	pratipAdayitum Aha  
   rūpādibhyo nivṛttiśca vicikitsākṣaṇakṣayau /	rUpa AdiByaH nivRttiH ca vicikitsA akzaNa kzayO /
   ātmanaḥ kuśalasthasya pareṣāṃ tanniyojanam // Abhis_4.40 //	AtmanaH kuSala sTasya parezAm tad niyojanam // ABiH _4.40 //
   parādhārañca dānādi gambhīre 'rthepyakāṃkṣaṇam /	para ADAraQca dAna Adi gamBIre arTa Ipi akAMkzaNam /
   maitraṃ kāyādyasaṃvāsaḥ pañcadhāvaraṇena ca // Abhis_4.41 //	mEtram kAya Adya saMvAsaH paQcaDA AvaraNena ca // ABiH _4.41 //
   sarvānuśayahānañca smṛtisaṃprajñatā śuci /	sarva anuSaya hAnaQca smRti saMprajQatA Suci /
   cīvarādi śarīre ca kṛmīṇāmasamudbhavaḥ // Abhis_4.42 //	cIvara Adi SarIre ca kRmINAm asamudBavaH // ABiH _4.42 //
   cittākauṭilyamādānaṃ dhūtasyāmatsarāditā /	cittA kOwilyam AdAnam DUtasya amatsara AditAH /
   dharmatāyuktagāmitvaṃ lokārthaṃ narakaiṣaṇā // Abhis_4.43 //	DarmatA yukta gAmi tvam loka arTam naraka ezaNAH // ABiH _4.43 //
   parairaneyatā mārasyānyamārgopadeśinaḥ /	parEH aneya tA mArasya anya mArga upadeSinaH /
   māra ityeva bodhaśca caryā buddhānumoditā // Abhis_4.44 //	mAraH iti eva boDaH ca caryA budDa anumoditAH // ABiH _4.44 //
   ūṣmamūrddhasu sakṣāntiṣvagradharmeṣvavasthitaḥ /	Uzma mUrdDasu sakzAntizu agra Darmezu avasTitaH /
   liṅgairamībhirviṃśatyā sambodherna nivartate // Abhis_4.45 //	liFgEH amIBiH viMSatyA samboDeH na nivartate // ABiH _4.45 //
   iti / asvabhāvatvād rūpādidharmebhyo nivṛttiḥ, avetya prasādalābhena	iti / asvaBAva tvAt rUpa Adi DarmeByaH nivRttiH, avetya prasAda lABena
   vicikitsākṣayaḥ, praṇidhānasamṛddhyā	vicikitsA kzayaH, praNiDAna samRdDyA
   mithyādṛṣṭi naraka preta tiryagupapatti buddhavacanā śravaṇa pratyantajanapadotpāda indriyavaikalyajaḍamūkabhāva dīrghāyuṣkadevopapattītyaṣṭā kṣaṇakṣayaḥ,	miTyA dRzwi naraka  preta  tiryak upapatti  budDa vacanA  SravaNa  pratyanta janapada utpAda indriya vEkalya jaxa mUka BAva  dIrGa Ayuzka deva upapa
   kāruṇikatayā svaparakuśaladharmaniyojanam, parātmaparivarttakatvena	kAruNika tayA sva para kuSala Darma niyojanam, para Atma parivarttaka tvena
   parasattvaviṣayapariṇāmitadānādiḥ, samyagdharmāvabodhena	para sattva vizaya pariNAmita dAnAdiH, samyak Darma avaboDena
   gambhīradharmārthākāṃkṣaṇam, parahitapratipannatvena	gamBIra Darma arTa akAMkzaNam, para hita pratipanna tvena
   maitrakāyavāṅmanaskarma, prayogasampattyā kāmacchando vyāpādaḥ	mEtrakAya vAc manaskarma, prayoga sampattyA kAma= CandaH vyApAdaH
   styānamiddhamauddhatyakaukṛtyaṃ vicikitsā ceti pañcanīvaraṇairasaṃvāsaḥ,	styAnam idDam OdDatya kOkRtyam vicikitsA ca iti paQcanI varaNEH asaMvAsaH,
   vibhāvitapratipakṣatvena avidyādisarvānuśayavidhvaṃsaḥ, nityasamāhitatvena	viBAvita pratipakza tvena avidyA Adi sarva anuSaya viDvaMsaH, nitya samAhita tvena
   smṛtisamprajñānayogaḥ, caukṣasamudācāratvena śuciparibhogyacīvarādīti	smRti samprajQAna yogaH, cOkza samudAcAra tvena Suci pariBogya cIvara Adi iti
   ekādaśa ākārāḥ / sarvalokābhyupagatakuśalamūlatvena kāye	ekAdaSa AkArAH / sarva loka aByupagata kuSala mUla tvena kAye
   aśītikṛmikulasahasrāsambhavaḥ, kuśalamūlaviśuddhyā cittākauṭilyam,	aSIti kRmi kula sahasra asamBavaH, kuSala mUla viSudDyA cittA kOwilyam,
   lābhasatkārādinirapekṣatvena pāṃśukūlikatvādidhūtaguṇasamādānam,	lABa satkAra Adi nirapekza tvena pAMSu kUlika tva Adi DUta guNa samAdAnam,
   dānādiviśeṣapratipatipattyā tadvipakṣamātsaryabhraṣṭaśīlāderabhāvaḥ,	dAna Adi viSeza pratipati pattyA tad vipakza mAtsarya Brazwa SIla AdeH aBAvaH,
   sarvadharmasaṃgrahād dharmatā 'viruddhaprajñāpāramitāyogagamanam,	sarva Darma saMgrahAt DarmatA avirudDa prajQApAramitA yoga gamanam,
   svātmīkṛtasattvadhātutvena parārthanarakābhilāṣa iti ṣaḍākārāḥ /	sva AtmIkRta sattva DAtu tvena para arTa naraka aBilAzaH iti zaz AkArAH /
   adhigatasampratyayadharmatvena aparapraṇayanam,	aDigata sampratyaya Darma tvena apara praNayanam,
   viditabuddhatvopāyakauśalatvena pratirūpamārgopadekamārasya	vidita budDa tva upAya kOSala tvena pratirUpa mArga upadeka mArasya
   māratvāvabodhaśceti dvāvākārau / trimaṇḍalaviśuddhyā sarvāsu caryāsu	mAra tva avaboDaH ca iti dvO= AkArO / tri maNxala viSudDyA sarvAsu caryAsu
   buddhānumoditatvamiti eva ākāraḥ / yathākramaṃ	budDa anumodita tvam iti eva AkAraH / yaTAkramam
   ūṣmamūrdhakṣāntyagradharmeṣvavasthito bodhisattvo 'nuttarabodherna	Uzma mUrDa kzAnti agra Darmezu avasTitaH boDisattvaH anuttara boDeH na
   nivartata iti ebhirviṃśatiliṅgairvijñeyam /	nivartate iti eBiH viMSati liFgEH vijQeyam /
   nirvedhabhāgīyāvaivartikalakṣaṇānantaraṃ	nirveDa BAgIyAH vEvartika lakzaNa anantaram
   darśanamārgāvaivartikalakṣaṇamekena antaraślokenāha  	darSana mArgA vEvartika lakzaNam ekena antaraSlokena Aha  
   kṣāntijñānakṣaṇāḥ ṣaṭ ca pañca pañca ca dṛkpathe /	kzAnti jQAna kzaNAH zaw ca paQca paQca ca dRkpaTe /
   bodhisattvasya vijñeyamavaivartikalakṣaṇam // Abhis_4.46 //	boDisattvasya vijQeyam avEvartika lakzaNam // ABiH _4.46 //
   iti / duḥkhādisatyadvārā dharmānvayajñānakṣāntyādayaḥ ṣoḍaśa kṣaṇāḥ	iti / duHKa Adi satya dvArAH Darma anvaya jQAnakzAnti AdayaH zoxaSa kzaNAH
   darśanamārgasthabodhisattvasyāvaivartikalakṣaṇaṃ bhavati /	darSana mArga sTa boDisattvasya avEvartika lakzaNam Bavati /
   kīdṛśakṣaṇākāralakṣaṇamiti cet pañcabhirantaraślokairākārānāha  	kIdRSa kzaNa AkAra lakzaNam iti ced paQcaBiH antaraSlokEH AkArAn Aha  
   rūpādisaṃjñāvyāvṛttirdārḍhyaṃ cittasya hīnayoḥ /	rUpa Adi saMjQA vyAvRttiH dArXyam cittasya hInayoH /
   yānayorvinivṛttiśca dhyānādyaṅgaparikṣayaḥ // Abhis_4.47 //	yAnayoH vinivRttiH ca DyAna Adi aFga parikzayaH // ABiH _4.47 //
   kāyacetolaghutvañca kāmasevābhyupāyikī /	kAya cetolaGu tvaQca kAma sevA aByupAyikI /
   sadaiva brahmacāritvamājīvasya viśuddhatā // Abhis_4.48 //	sadA eva brahmacAri tvam AjIvasya viSudDa tA // ABiH _4.48 //
   skandhādāvantarāyeṣu sambhāre sendriyādike /	skanDa AdO= antarAyezu samBAre sa indriya Adike /
   samare matsarādau ca neti yogānuyogayoḥ // Abhis_4.49 //	samare matsara AdO ca na iti yoga anuyogayoH // ABiH _4.49 //
   vihārapratiṣedhaśca dharmasyāṇoralabdhatā /	vihAra pratizeDaH ca Darmasya aNoH a labDa tA /
   niścitatvaṃ svabhūmau ca bhūmitritayasaṃsthitiḥ // Abhis_4.50 //	niScita tvam sva BUmO ca BUmi tritaya saMsTitiH // ABiH _4.50 //
   dharmārthaṃ jīvitatyāga ityamī ṣoḍaśa kṣaṇāḥ /	Darma arTam jIvita tyAgaH iti amI zoxaSa kzaNAH /
   avaivartikaliṅgāni dṛṅmārgasthasya dhīmataḥ // Abhis_4.51 //	avEvartika liFgAni dRS mArga sTasya DImataH // ABiH _4.51 //
   iti / svalakṣaṇaśūnyatayā rūpādidharmāvabodhavyāvartanam,	iti / sva lakzaNa SUnyatayA rUpa Adi Darma avaboDa vyAvartanam,
   buddhāderadhiṣṭhānena anuttarabodhicittadṛḍhatā,	budDa AdeH aDizWAnena anuttara boDi citta dRXa tA,
   mahāyānaviśeṣadharmapratipattyā	mahAyAna viSeza Darma pratipattyA
   śrāvakapratyekabuddhayānacittavinivartanam, dharmapravicayasāmarthyād	SrAvaka pratyekabudDa yAna citta vinivartanam, Darma pravicaya sAmarTyAt 
   dhyānārūpyasamāpattyādyudayāṅgaparikṣaya iti catvāra eva duḥkhasyākārā	DyAna ArUpya samApatti Adi udaya aFga parikzayaH iti catvAraH eva duHKasya AkArA
   bhavanti /	Bavanti /
   apagatākuśalatvena kāyacetolāghavam, sattvadamanopāyakauśalasāmarthyena	apagata akuSala tvena kAya cetolAGavam, sattva damana upAya kOSala sAmarTyena
   anabhiniveśakāmopabhogaḥ, viṣayādīnavadarśanena sadā brahmacāritvam,	anaBiniveSa kAma upaBogaH, vizaya AdIn avadarSanena sadA brahmacAri tvam,
   satpuruṣadharmatayā samyagupakaraṇājīvaviśuddhatvamiti catvāra eva	sat puruza Darma tayA samyak upakaraNa ajIva viSudDa tvam iti catvAraH eva
   samudayākārā bhavanti /	samudaya AkArAH Bavanti /
   śūnyatāvasthitatvena skandhadhātvāyatanayogānuyogayorakaraṇamityevaṃ	SUnyatA avasTita tvena skanDa DAtu Ayatana yoga anuyogayoH akaraNam iti evam
   yogānuyogavihārapratiṣedhaḥ, nirastavipakṣatvena adhigamāntarāyadharmāṇāṃ	yoga anuyoga vihAra pratizeDaH, nirasta vipakza tvena aDigama antarAya DarmANAm
   pūrvavadyogānuyogavihārapratiṣedhaḥ, parijñātavikalpadoṣatvena	pUrvavat yoga anuyoga vihAra pratizeDaH, parijQAta vikalpa doza tvena
   bodhisambhāradānādīnāṃ pūrvavat kathāyogānuyogavihārapratiṣedhaḥ,	boDi samBAra dAna AdInAm pUrvavat kaTA yoga anuyoga vihAra pratizeDaH,
   grāhyagrāhakayorheyatvenendriyāśrayanagarādiyuddheṣu	grAhya grAhakayoH heya tvena indriya ASraya nagara Adi yudDezu
   pūrvavadyogānuyogavihārapratiṣedha iti catvāro nirodhākārā bhavanti /	pUrvavat yoga anuyoga vihAra pratizeDaH iti catvAraH niroDa AkArAH Bavanti /
   dānādiviśeṣāvabodhena mātsaryadauḥśīlyādiyogānuyogavihārapratiṣedhaḥ,	dAna Adi viSeza avaboDena mAtsarya dOHSIlya Adi yoga anuyoga vihAra pratizeDaH,
   sarvadharmatrivimokṣamukhasvabhāvatvena aṇumātrajñeyadharmānupalambhaḥ,	sarva Darma tri vimokza muKa svaBAva tvena aNu mAtra jQeya Darma anupalamBaH,
   abhisampratyayalābhena	aBisampratyaya lABena
   trisarvajñatātmakasvabhūmitrayayathāvanniścitāvasthānam, ekāntaniṣṭhatvena	tri sarvajQa tA Atmaka sva BUmi traya yaTAvat niScita avasTAnam, ekAnta nizWatvena
   sarvākārajñatādidharmārthaṃ jīvitatyāga iti catvāro mārgākārā bhavanti /	sarva AkAra jQa tA Adi Darma arTam jIvita tyAgaH iti catvAraH mArga AkArAH Bavanti /
   evaṃ kṣāntijñānakṣaṇāḥ ṣoḍaśabhirākāraiḥ samyagadhigatāḥ santo	evam kzAnti jQAna kzaNAH zoxaSaBiH AkArEH samyak aDigatAH santaH 
   'nabhiniviṣṭagrāhyagrāhakākāraśuddhalaukikapṛṣṭhacittasaṃgṛhītaṃ	anaBinivizwa grAhya grAhaka AkAra SudDa lOkika pRzWa citta saMgRhItam
   svānurūpakāryaṃ rūpādisaṃjñāvyāvartanādikaṃ parapratipattiviṣayaṃ	sva anurUpa kAryam rUpa Adi saMjQA vyAvartana Adikam para pratipatti vizayam
   janayantītyato darśanamārgasthāvaivartikabodhisattvalakṣaṇāni bhavanti /	janayanti iti atas darSana mArga sTA vEvartika boDisattva lakzaNAni Bavanti /
   adhigamānurūpa eva sarvatra yogināṃ vyavahāraḥ anyatra	aDigama anurUpaH eva sarvatra yoginAm vyavahAraH anyatra
   sattvavinayaprayojanavaśāditi jñāpanāyopacāreṇoktam, anyathā	sattva vinaya prayojana vaSAt iti jQApanAya upacAreNa uktam, anyaTA
   yogisantānapratyātmavedyakṣaṇāḥ kathaṃ parapratipattaye lakṣaṇānīti?	yogi santAna pratyAtma vedya kzaNAH kaTam para pratipattaye lakzaNAni iti?
   tadanantaraṃ satyapi bhāvanāmārgasthāvaivartikalakṣaṇe 'nāgṛhītaviśeṣaṇā	tad anantaram sati api BAvanA mArga sTA vEvartika lakzaNe anAgRhIta viSezaNA
   viśeṣye buddhirutpadyate ' iti nyāyāt tāvadbhāvanāmārgaṃ viśeṣayannāha  	viSezye budDiH utpadyate a iti nyAyAt tAvat BAvanA mArgam viSezayan= Aha  
   gambhīro bhāvanāmārgo gāmbhīryaṃ śūnyatādikam /	gamBIraH BAvanA mArgaH gAmBIryam SUnyatA Adikam /
   samāropāpavādāntamuktatā sā gabhīratā // Abhis_4.52 //	samAropa apavAda antamukta tA sA gaBIra tA // ABiH _4.52 //
   iti / śūnyatādike na rūpādikam, na tato 'nyacchūnyatādikamiti yathākramaṃ	iti / SUnyatA Adike na rUpa Adikam, na tatas anyat SUnyatA Adikam iti yaTAkramam
   yā samāropāpavādāntamuktatā, sā śūnyatādergāmbhīryaṃ śūnyatādikamiti	yA samAropa apavAda antamukta tA, sA SUnyatAdeH gAmBIryam SUnyatA Adikam iti
   gāmbhīryayogād gambhīro 'bhyāsapatha iti /	gAmBIrya yogAt gamBIraH aByAsa paTaH iti /
   viśeṣaṇaṃ nirdiśyaivaṃ viśeṣyaṃ vastu āha  	viSezaNam nirdiSya evam viSezyam vastu Aha  
   cintātulananidhyānānyabhīkṣṇaṃ bhāvanāpathaḥ /	cintA tulana niDyAnAni aBIkzNam BAvanApaTaH /
   nirvedhāṅgeṣu dṛṅmārge bhāvanāmārga eva ca // Abhis_4.53 //	nirveDa aFgezu dRS mArge BAvanA mArgaH eva ca // ABiH _4.53 //
   iti / śrutacintābhāvanāmayaprajñayā samādhau vā prayogamaulapṛṣṭhabhāvinyā	iti / Sruta cintA BAvanA maya prajQayA samADO vA prayoga mOla pRzWa BAvinyA
   prajñayā yathākramaṃ triṣu nirvedhāṅgādiṣu nirdiṣṭānāmarthānāṃ punaḥ	prajQayA yaTAkramam trizu nirveDa aFga Adizu nirdizwAnAm arTAnAm punar 
   punaścintātulananidhyānāni bhāvanāmārge prābandhikāni bhavanti /	punar cintA tulana niDyAnAni BAvanA mArge prAbanDikAni Bavanti /
   tasya kati prakārā iti cedāha  	tasya kati prakArAH iti ced Aha  
   prābandhikatvādiṣṭo 'sau navadhā ca prakārataḥ /	prAbanDika tva AdizwaH asO navaDA ca prakArataH /
   mṛdumadhyādhimātrāṇāṃ punarmṛdvādibhedataḥ // Abhis_4.54 //	mRdu maDya aDimAtrANAm punar mRdu Adi BedataH // ABiH _4.54 //
   iti / vikalpakleśā bodhisattvā iti kṛtvā yathaudārikañca tamaḥ	iti / vikalpa kleSAH boDisattvAH iti kRtvA yaTA OdAri kaQca tamaH
   sūkṣmeṇālokena hanyate sukṣmañcādhimātreṇeti mṛdumadhyādhimātravikalpānāṃ	sUkzmeNa Alokena hanyate sukzmaQca aDimAtreNa iti mRdu maDya aDimAtra vikalpAnAm
   pratyekaṃ mṛdumadhyādhimātrabhedāt teṣāṃ mṛdumadhyādhimātrapratipakṣāṇāṃ	pratyekam mRdu maDya aDimAtra BedAt tezAm mRdu maDya aDimAtra pratipakzANAm
   pratyekaṃ mṛdumadhyādhimātrabhedāt tathā paramārthataḥ	pratyekam mRdu maDya aDimAtra BedAt taTA paramArTataH
   śūnyatālakṣaṇākāradvārā vikalpapratipakṣayorbhedād yathāsaṃkhyaṃ	SUnyatA lakzaNa AkAra dvArA vikalpa pratipakzayoH BedAt yaTAsaMKyam
   kāmadhātvādinavabhūmiṣu navaprakāraḥ prabandhena vartamānaḥ bhāvanāmārgo	kAmaDAtu Adi nava BUmizu nava prakAraH prabanDena vartamAnaH BAvanA mArgaH 
   bhavati /	Bavati /
   tattajjinajananīnāmekaikaṃ prakāramadhikṛtya	tad tad jina jananInAm ekEkam prakAram aDikRtya
   asaṃkhyeyāprameyāpramāṇapuṇyaprasavavacanād bahudhā bhedāt kathaṃ	asaMKyeya aprameya apramANa puNya prasava vacanAt bahuDA BedAt kaTam
   navaprakāra iti cedāha  	nava prakAraH iti ced Aha  
   asaṃkhyeyādinirdeśā paramārthena na kṣamāḥ /	asaMKyeya Adi nirdeSA parama arTena na kzamAH /
   kṛpāniṣyandabhūtāste saṃvṛtyābhimatā muneḥ // Abhis_4.55 //	kRpA nizyanda BUtAH te saMvRtya aBimatAH muneH // ABiH _4.55 //
   iti / asaṃkhyeyāprameyāpramāṇanirdeśā vāgabhilāpasvabhāvā	iti / asaMKyeya aprameya apramANa nirdeSA vAc aBilApa svaBAvA
   vyāvṛttyapekṣopajanitanānātvarūpeṇa ekasminnarthe pratyuktāstasmāt	vyAvRtti apekzA upajanita nAnA tva rUpeNa ekasmin= arTe pratyuktAH tasmAt 
   paramārthena yathoktalakṣaṇasya bhāvanāmārgasya bhedaṃ kartuṃ na kṣamāḥ /	parama arTena yaTA ukta lakzaNasya BAvanA mArgasya Bedam kartum na kzamAH /
   saṃvṛtyā tvanālambanamahākaruṇāsvabhāvadharmadhātuniṣyandabhūtāste	saMvRtyA tu anAlambana mahA karuNA svaBAva Darma DAtu nizyanda BUtAH te
   deśanādharmasvabhāvā yathoktanirdeśā bālajanānāṃ	deSanA Darma svaBAvAH yaTA ukta nirdeSA bAla janAnAm
   mahāphalodayaprakāśakatvenābhimatāstathāgatasyeti bahutvaṃ na prasajyate /	mahA Pala udaya prakASaka tvena aBimatAH taTAgatasya iti bahu tvam na prasajyate /
   śūnyatālakṣaṇatayā atiśayādhānābhāvād kiñcidapi mandabuddhipuruṣaṃ prati	SUnyatA lakzaNa tayA atiSaya ADAna aBAvAt kiQcid api manda budDi puruzam prati
   na kriyata eveti āśaṅkyāha  	na kriyate eva iti ASaFkya Aha  
   hānivṛddhī na yujyete nirālāpasya vastunaḥ /	hAni vRdDI na yujyete nirAlApasya vastunaH /
   bhāvanākhyena kiṃ hīnaṃ vartmanā kimudāgatam // Abhis_4.56 //	BAvanA AKyena kim hInam vartmanA kim udAgatam // ABiH _4.56 //
   dharmatāsvarūpasya abhimatamārgavastuno niḥsvabhāvatayā	DarmatA svarUpasya aBimata mArga vastunaH niHsvaBAva tayA
   tattvānyatvobhayānubhayatvairavācyasya bhāvanātiśayādhānābhāvāt	tattva anyatva uBayA anuBaya tvEH avAcyasya BAvanA atiSaya ADAna aBAvAt
   vipakṣapratipakṣayoryathākramamapagamodayau na yujyete /	vipakza pratipakzayoH yaTAkramam apagama udayO na yujyete /
   yadyevaṃ bhāvanāsaṃjñakena mārgeṇa kiṃ vipakṣasvarūpaṃ parityaktam, kiñca	yadi evam BAvanA saMjQakena mArgeNa kim vipakza svarUpam parityaktam, kiQca
   vyavadāna svarūpaṃ prāptam, na kiñcidapi kriyate, ataḥ anupanyasanīya	vyavadAna svarUpam prAptam, na kiQcid api kriyate, atas anupanyasanIya
   eveti cet? maivam / tathā coktam  	eva iti cet? mA evam / taTA ca uktam  
   yathā bodhistathaivāsāviṣṭasyārthasya sādhakaḥ /	yaTA boDiH taTA eva AsO= izwasya arTasya sADakaH /
   tathatālakṣaṇā bodhiḥ so 'pi tallakṣaṇo mataḥ // Abhis_4.57 //	taTatA lakzaNAH boDiH saH api tad lakzaNaH mataH // ABiH _4.57 //
   iti / yathā niratiśayādhānā tathatāsvarūpā bodhiḥ	iti / yaTA niratiSaya ADAnA taTatA svarUpA boDiH
   niṣprapañcajñānātmakadharmakāyādibuddhasvabhāvā ādhipatyamātreṇa	nizprapaQca jQAna Atmaka Darma kAya Adi budDa svaBAvAH ADipatya mAtreNa
   vineyajanānāṃ puṇyajñānānurūpatayā	vineya janAnAm puNya jQAna anurUpa tayA
   viśiṣṭārthapratibhāsicittajananadvāreṇābhimatārthasya sādhikā,	viSizwa arTa pratiBAsi citta janana dvAreNa aBimata arTasya sADikA,
   tadvadayamapyāgantukamalāpagamād bhāvanayā sākṣātkṛto mārgaḥ	tat vat ayam api Agantu kamala apagamAt BAvanayA sAkzAtkRtaH mArgaH
   tathatālakṣaṇo 'pi saṃvṛtyābhimatārthakriyākārī / paramārthatastu	taTatA lakzaNaH api saMvRtya aBimata arTa kriyA kArI / paramArTataH tu
   hānivṛddhyabhāva evāṅgīkriyata iti aprayoga eva prayogatvāt na doṣaḥ /	hAni vRdDi aBAvaH eva aFgIkriyate iti aprayogaH eva prayoga tvAt na dozaH /
   evaṃ sati saṃvṛtyā arthakriyāsāmarthyaṃ na ghaṭata ityāśaṅkayannāha  	evam sati saMvRtyAH arTa kriyA sAmarTyam na GawataH iti ASaFkayan= Aha  
   pūrveṇa bodhirno yuktā manasā paścimena vā /	pUrveNa boDiH naH yuktAH manasA paScimena vA /
   iti / ekaikasmiṃścitte pūrvāparībhūte	iti / ekEkasmin= citte pUrva aparIBUte
   buddhabodhiniṣpādakasarvākārajñatādisamastārthāpratibhāsanānnaivaikena	budDa boDi nizpAdaka sarva AkAra jQa tA Adi samasta arTa apratiBAsanAt na eva ekena
   (pūrveṇa paścimena vā) bodhiryujyate / 'ekavijñānasantatayaḥ sattvāḥ' iti	(pUrveNa paScimena vA) boDiH yujyate / aeka vijQAna santatayaH sattvAHa iti
