   // śrīḥ //	// SrIH //
   // Āryamañjuśrīmūlakalpam /	// Ārya maQju SrI mUla kalpam /
   hastau sampuṭitau nityau aṅguṣṭhābucchritāvubhau // Mmk_44.68 //	hastO sampuwitO nityO aFguzWa abucSritO= uBO // Mmc _44.68 //
   eṣa mudrā mahāpuṇyā mahāśūle samāgatā /	eza mudrA mahA puNyA mahA SUle samAgatAH /
   vividhā lokanāthaistu vicitrapraharaṇodbhavā // Mmk_44.69 //	viviDAH lokanATEH tu vicitra praharaNa udBavAH // Mmc _44.69 //
   yo yasya cintayejjāpī śatroḥ praharaṇāni vai /	yaH yasya cintayet jApI SatroH praharaNAni vE /
   tenaiva cchindayed gātraṃ cittotpādācca tad bhavet // Mmk_44.70 //	tena eva cCindayet gAtram citta utpAdAt ca tat Bavet // Mmc _44.70 //
   niyataṃ nāśayecchatruṃ mudrā mantrāśca yojitā /	niyatam nASayet Satrum mudrAH mantrAH ca yojitA /
   nihanyācchatrugaṇāṃ sarvāṃmantrāścāpi maharddhikām // Mmk_44.71 //	nihanyAt Satru gaNAm sarvAMmantrAH ca api mahardDikAm // Mmc _44.71 //
   (Vaidya 377)	(VEdyaH 377)
   yamadūtagaṇāṃ vighnāṃ grahāṃścāpi samātarām /	yama dUta gaNAm viGnAm grahAn= ca api sa mAtarAm /
   pūtanāskandarudraśca pretāṃścāpi maharddhikām // Mmk_44.72 //	pUtanA skanda rudraH ca pretAn= ca api mahardDikAm // Mmc _44.72 //
   japtā vaivasvatāṃ lokāṃ kṛtsnāṃ caiva savāsavām /	japtA vEvasvatAm lokAm kRtsnAm ca eva sa vAsavAm /
   yamāntakakrodharājena nānyaṃ mantraṃ prayojayet // Mmk_44.73 //	yamAntaka kroDarAjena na anyam mantram prayojayet // Mmc _44.73 //
   mudrairetaiḥ prayuñjīta mahāśūlasamaistadā /	mudrEH etEH prayuQjIta mahA SUla samEH tadA /
   sadyaṃ vaivasvataṃ hanyāt kaḥ punarbhuvi mānuṣām // Mmk_44.74 //	sadyam vEvasvatam hanyAt kaH punarBuvi mAnuzAm // Mmc _44.74 //
   sarvapraharaṇī mudrāṃ sarvaduṣṭāṃ vināśinīm /	sarva praharaNI mudrAm sarva duzwAm vinASinIm /
   vihitā lokamukhyaistu sambuddhairdvipadottamaiḥ // Mmk_44.75 //	vihitAH loka muKyEH tu sambudDEH dvipada uttamEH // Mmc _44.75 //
   tathaiva hastau saṃnyasta madhyamāṃ śṛtya kārayet /	taTA eva hastO saMnyasta maDyamAm SRtya kArayet /
   tathaiva hastau kṛtveha muṣṭiyogena kārayet // Mmk_44.76 //	taTA eva hastO kRtvA iha muzwi yogena kArayet // Mmc _44.76 //
   ........ aṅguṣṭhāgrau tu pīḍitau /	........ aFguzWa agrO tu pIxitO /
   suṣirāvāṅgulisaṃyuktau madhyāṅgulyasamucchritau // Mmk_44.77 //	suzirAvAFguli saMyuktO maDya aFgulya samucCritO // Mmc _44.77 //
   sūcikāgrau tathā nityau tarjanyāṅgulimāśritau /	sUcika agrO taTA nityO tarjanyA aFgulim ASritO /
   eṣā mudrā varā ghorā śūletyāhurmunivarāḥ // Mmk_44.78 //	ezA mudrA varAH GorA SUla iti AhuH muni varAH // Mmc _44.78 //
   mahāśūlā bhavet sādhuḥ tarjanyākuñcitāvubhau /	mahA SUlA Bavet sADuH tarjanI AkuQcitO= uBO /
   visṛtaiḥ paṭṭiśā jñeyā mahāmudravarā parā // Mmk_44.79 //	visRtEH pawwiSA jQeyA mahAmudra varA parA // Mmc _44.79 //
   tadeva saṅkucāgrau tu aṅgulyāstribhirucchritā /	tat eva saFkuca agrO tu aFgulyAH triBiH ucCritA /
   eṣa sā triśūlamudreti pravadanti manīṣiṇaḥ // Mmk_44.80 //	eza sA triSUla mudrA iti pravadanti manIziNaH // Mmc _44.80 //
   vicitrapraharaṇā jñeyā aṅguṣṭhāvubhayocchritau /	vicitra praharaNAH jQeyAH aFguzWO= uBaya ucCritO /
   mahāśūlasamā hyete mahāvīryā bhayānakāḥ // Mmk_44.81 //	mahA SUla samAH hi ete mahA vIryAH BayAnakAH // Mmc _44.81 //
   pāpasattvavināśāya tantre 'smiṃ mañjurave vare /	pApa sattva vinASAya tantre asmim maQjurave vare /
   durdāntadamitā hyetā mahāmudrādbhutaceṣṭitā // Mmk_44.82 //	durdAnta damitA hi etAH mahAmudrA adButa cezwitA // Mmk _44.82 //
   raudraprāṇaharā te vikṛtākārasambhavā /	rOdra prANa harA te vikRta AkAra samBavA /
   mahāghoratamā raudrā mahākrūratamāhitā // Mmk_44.83 //	mahA GoratamA rOdrAH mahA krUratamAhitAH // Mmk _44.83 //
   mahāghoravarā jyeṣṭhā bahurūpiṇyaḥ prakāśitā /	mahA Gora varAH jyezWA bahu rUpiNyaH prakASitA /
   sarvatra jāpino buddhā jarāvyādhivivarjitā // Mmk_44.84 //	sarvatra jApinaH budDAH jarA vyADi vivarjitAH // Mmc _44.84 //
   vicaranti imāṃ lokāṃ saṃsiddhā jāpinaḥ sadā /	vicaranti imAm lokAm saMsidDAH jApinaH sadA /
   vihitā mṛtyunāśāya sambuddhairmunipuṅgavaiḥ // Mmk_44.85 //	vihitA mRtyu nASAya sambudDEH muni puFgavEH // Mmc _44.85 //
   jarāvyādhivināśinyaḥ mṛtyunāśāya saṃsṛjet /	jarA vyADi vinASinyaH mRtyu nASAya saMsRjet /
   yojitā mantribhiḥ kṣipraṃ kṛtāntasyāpi bhayānakā // Mmk_44.86 //	yojitA mantriBiH kzipram kRtAntasya api BayAnakAH // Mmc _44.86 //
   (Vaidya 378)	(VEdyaH 378)
   sṛjet prabhuvaraḥ śrīmāṃ śuddhāvāsapure vare /	sRjet praBuvaraH SrImAm SudDAvAsa pure vare /
   munisattamaje mudrā śākyasiṃhe narottame // Mmk_44.87 //	muni sattama je mudrA SAkya siMhe narottame // Mmc _44.87 //
   na buddhā mantra bhāṣante na mudrā krūrakarmiṇām /	na budDAH mantra BAzante na mudrA krUra karmiNAm /
   sattvakāraṇavātsalyāt sarvajñārthaprapūraṇā // Mmk_44.88 //	sattva kAraNa vAtsalyAt sarva jQa arTa prapUraNAH // Mmk _44.88 //
   ṛddhivikrīḍanārtthā vā bodhisambhārakāraṇā /	RdDi vikrIxana ArtTAH vA boDi samBAra kAraNA /
   upāyasattvavaineyā mahāyānāgraniyojanā // Mmk_44.89 //	upAya sattva vEneyAH mahAyAna agra niyojanA // Mmk _44.89 //
   mahāsaṃsārapūraṇā ............. /	mahA saMsAra pUraNA ............. /
   adhimukti vasāṃ sattvāṃ mantramudrāmudāhṛtām // Mmk_44.90 //	aDimukti vasAm sattvAm mantra mudrAm udAhRtAm // Mmk _44.90 //
   ākāśa ceti yā buddhā na buddhā vācāya kalpitā /	AkASa ca iti yA budDAH na budDAH vAcAya kalpitA /
   niḥprapañcārthayuktānāṃ kutaḥ saṅkalpagocaram // Mmk_44.91 //	niHprapaQca arTa yuktAnAm kutas saFkalpa gocaram // Mmc _44.91 //
   dharmadhātusamā niṣṭhā bhūtakoṭisamā ca yā /	DarmaDAtu samA nizWA BUtakowi samA ca yA /
   mantrayuktānāṃ niṣṭhā mudrā samudritā // Mmk_44.92 //	mantra yuktAnAm nizWA mudrA samudritAH // Mmc _44.92 //
   kathayanti bhavāṅgānāṃ muktyarthaṃ hetavāṃ sadā /	kaTayanti Bava aFgAnAm mukti arTam hetavAm sadA /
   sarvajñamudramākhyātā sarvajñānārthaprapūraṇā // Mmk_44.93 //	sarvajQa mudram AKyAtA sarva jQAna arTa prapUraNAH // Mmk _44.93 //
   yuktiyuktārthapūjārthaṃ mudrāmudramudāhṛtā /	yukti yukta arTa pUjA arTam mudrA mudram udAhRtA /
   buddhaiśca buddhaputraiśca acintyācintyagocaraiḥ // Mmk_44.94 //	budDEH ca budDa putrEH ca acintya acintya gocarEH // Mmc _44.94 //
   sarvajñadarśino mudrā uṣṇīṣādyāḥ prabhāvitāḥ /	sarvajQa darSinaH mudrAH uzNIza AdyAH praBAvitAH /
   avalokitamudrā tu vajrapāṇe tha laukikāḥ // Mmk_44.95 //	avalokita mudrA tu vajrapANe Ta lOkikAH // Mmc _44.95 //
   kathitāḥ kathayiṣyanti śreyasārthaṃ hi dehinām /	kaTitAH kaTayizyanti Sreyasa arTam hi dehinAm /
   yāvad buddhasutairmudrā muniśreṣṭhaiśca bhāṣitāḥ // Mmk_44.96 //	yAvat budDa sutEH mudrA muni SrezWEH ca BAzitAH // Mmc _44.96 //
   sarvārthapūraṇā mudrā prabhāvācintacintitā /	sarva arTa pUraNA mudrA praBAva Acinta cintitAH /
   vikalpārthaṃ hi bhūtānāṃ tridhā mantrāstu bhāṣitā // Mmk_44.97 //	vikalpa arTam hi BUtAnAm triDA mantrAH tu BAzitA // Mmk _44.97 //
   eka eva bhavenmantraḥ yo buddhaistu bhāṣitaḥ /	ekaH eva Bavet mantraH yaH budDEH tu BAzitaH /
   saugatārthaṃ tu mantrāṇāṃ mantro hyekaḥ pragīyate // Mmk_44.98 //	sOgata arTam tu mantrANAm mantraH hi ekaH pragIyate // Mmc _44.98 //
   uṣṇīṣādhipatiḥ śrīmāṃ ekavarṇautha vi sadā /	uzNIza aDipatiH SrImAm eka varNOTa vi sadA /
   cakravartī bhavennityaṃ takāro rephasaṃyuta // Mmk_44.99 //	cakravartI Bavet nityam takAraH rePa saMyutaH // Mmc _44.99 //
   ūkārasahito nityaṃ yukto 'tha pragīyate /	UkAra sahitaH nityam yuktaH aTa pragIyate /
   sa bhaveccakriṇaḥ śrīmāṃ buddhānāṃ mūrddhajo varaḥ // Mmk_44.100 //	sa Bavet cakriNaH SrImAm budDAnAm mUrdDajaH varaH // Mmc _44.100 //
   bhāparaṃ mantramityāhurbuddhaputrasya dhīmataḥ /	BAparam mantram iti AhuH budDa putrasya DImataH /
   prabhāvāt tatsamo jñeyaḥ makāro 'ntyārttha gīyate // Mmk_44.101 //	praBAvAt tad samaH jQeyaH makAraH antyArtTa gIyate // Mmc _44.101 //
   (Vaidya 379)	(VEdyaH 379)
   mañjughoṣasya vikhyātaḥ hṛdayo 'yaṃ buddhamūrdhnajaḥ /	maQjuGozasya viKyAtaH hRdayaH ayam budDa mUrDnajaH /
   prabhāvātiśayo jñeyaḥ mahāpuṇya maharddhikaḥ // Mmk_44.102 //	praBAva atiSayaH jQeyaH mahA puNya mahardDikaH // Mmc _44.102 //
   sarvārthapūraṇo mantraḥ ........... /	sarva arTa pUraNaH mantraH ........... /
   mudrā pañcaśikhopetau ubhayārthārthapūraṇau // Mmk_44.103 //	mudrA paQcaSiKA upetO uBaya arTa arTa pUraNO // Mmc _44.103 //
   mudrā pañcaśikhā vāpi makāre cāpi yojitau /	mudrA paQcaSiKAH vA api makAre ca api yojitO /
   paramārthaṃ bodhayeccārthaṃ ihaivārthaṃ tu bhogadau // Mmk_44.104 //	parama arTam boDayet ca arTam iha eva arTam tu Boga dO // Mmc _44.104 //
   aparaṃ mantramityāhuḥ .......... /	aparam mantram iti AhuH .......... /
   jakāraṃ rephasaṃyuktaṃ avoṣmārthapūjitam // Mmk_44.105 //	jakAram rePa saMyuktam avozma arTa pUjitam // Mmc _44.105 //
   eṣa mantravaro hyagraḥ abjaketo 'tha mūrdhnajaḥ /	eza mantra varaH hi agraH abjaketaH aTa mUrDnajaH /
   mudre padmavare yukto āryā puṣṭyārthajanminām // Mmk_44.106 //	mudre padma vare yuktaH AryA puzwyA arTa janminAm // Mmc _44.106 //
   jāpināṃ karmasiddhiṃ tu kuryāt sarvārthasampadām /	jApinAm karma sidDim tu kuryAt sarva arTa sampadAm /
   aparaṃ vajriṇe mantrāṃ hraṃṅkāraṃ bāhumūrdhajam // Mmk_44.107 //	aparam vajriNe mantrAm hraMFkAram bAhu mUrDajam // Mmc _44.107 //
   eṣa mantravaro hyagraḥ caṇḍo 'tha gīyate /	eza mantra varaH hi agraH caNxaH aTa gIyate /
   prayukto vajrālaye mudre kuryāt prāyārthakarmiṇām // Mmk_44.108 //	prayuktaH vajra Alaye mudre kuryAt prAya arTa karmiNAm // Mmc _44.108 //
   durdāntadamako ghoro mantro 'yaṃ nāśahetavaḥ /	durdAnta damakaH GoraH mantraH ayam nASa hetavaH /
   uktārthaṃ śāsanārthaṃ ca yathoktaṃ vidhimācaret // Mmk_44.109 //	ukta arTam SAsana arTam ca yaToktam viDim Acaret // Mmc _44.109 //
   na kuryāt pāpakarmāṇi sattvanigrahamādarāt /	na kuryAt pApa karmANi sattva nigraham AdarAt /
   na yojayenmantravaraṃ nityaṃ saumyasattveṣu nityaśa // Mmk_44.110 //	na yojayet mantra varam nityam sOmya sattvezu nityaSas // Mmc _44.110 //
   nāparādhye 'lpadoṣeṇa sattvanāśayatotsṛjet /	na aparADye alpa dozeNa sattva nASayata utsRjet /
   na kuryādādarānmohādalpadoṣeṣu jantuṣu // Mmk_44.111 //	na kuryAt AdarAn mohAt alpa dozezu jantuzu // Mmc _44.111 //
   śāsane duṣṭacittānāṃ aprasannāṃ prasadanām /	SAsane duzwa cittAnAm aprasannAm prasadanAm /
   vinayārthaṃ tu sattvānāṃ damanārthaṃ piśitāśinām // Mmk_44.112 //	vinaya arTam tu sattvAnAm damana arTam piSita ASinAm // Mmc _44.112 //
   nigrahārthaṃ tu duṣṭānāṃ saumyasattvaprasādanām /	nigraha arTam tu duzwAnAm sOmya sattva prasAdanAm /
   ukto mantravaro hyagraḥ na kuryāt prāṇāntikaṃ kadā // Mmk_44.113 //	uktaH mantra varaH hi agraH na kuryAt prANAntikam kadA // Mmc _44.113 //
   sarvalaukikamantrāṇāṃ vajriṇe ca maharddhikām /	sarva lOkika mantrANAm vajriNe ca mahardDikAm /
   agro mantravaro hyuktaḥ sarvalaukikadevatām // Mmk_44.114 //	agraH mantra varaH hi uktaH sarva lOkika devatAm // Mmc _44.114 //
   aparo mantravaro hyeṣa sarvalaukikadevatām /	aparaH mantra varaH hi eza sarva lOkika devatAm /
   mantrāṇāṃ mūrdhnajo jñeyaḥ śiva ekākṣaro hyataḥ // Mmk_44.115 //	mantrANAm mUrDnajaH jQeyaH SivaH eka akzaraH hi atas // Mmc _44.115 //
   īśvaraḥ sarvalokānāṃ mantrāṇāṃ tu laukikāṃ prabhuḥ /	ISvaraH sarva lokAnAm mantrANAm tu lOkikAm praBuH /
   parameśvaramityāhuḥ svakāro tā vidurbudhāḥ // Mmk_44.116 //	parameSvaram iti AhuH sva kAraH tAH viduH buDAH // Mmc _44.116 //
   (Vaidya 380)	(VEdyaH 380)
   sarvamantrāstu gīyante yāvantyo laukikāḥ smṛtāḥ /	sarva mantrAH tu gIyante yAvantyaH lOkikAH smRtAH /
   sarve te yatra vai mantre nibaddhā sarvatra pūjitā // Mmk_44.117 //	sarve te yatra vE mantre nibadDA sarvatra pUjitAH // Mmk _44.117 //
   vihitā munivarai hyetā mudrā sarvatra yojitā /	vihitA muni varEH hi etAH mudrA sarvatra yojitA /
   matā śivatamā śreṣṭhā laukikāgrā samāhitā // Mmk_44.118 //	matA SivatamA SrezWA lOkika agrA samAhitAH // Mmk _44.118 //
   īśvarādyāntarbhūtā vai vipaśyagrahamātarām /	ISvara Adya antar BUtA vE vipaSya graha mAtarAm /
   kaṭapūtanayakṣādyāṃ rākṣasāṃ piśitāśinām // Mmk_44.119 //	kawa pUtana yakza AdyAm rAkzasAm piSita ASinAm // Mmc _44.119 //
   garuḍadhvajaviṣṇośca brahmaṇaścāpi kīrtitā /	garuxaDvaja vizNoH ca brahmaNaH ca api kIrtitA /
   mudrā hyetāḥ samādiṣṭā durdāntadamane hitā // Mmk_44.120 //	mudrAH hi etAH samAdizwAH durdAnta damane hitAH // Mmk _44.120 //
   praśastā maṅgalā hyetā mudrā hyuktā manīṣibhiḥ /	praSastA maFgalA hi etAH mudrA hi uktAH manIziBiH /
   vaśyāveṣaṇabhūtānāṃ ākṛṣṭā hetavohitām // Mmk_44.121 //	vaSyA vezaNa BUtAnAm AkRzwAH hetavohitAm // Mmk _44.121 //
   vivikte tu sadā deśe śuklapuṣpaiḥ suśobhite /	vivikte tu sadA deSe Sukla puzpEH su SoBite /
   sumṛṣṭe siddhagandhaistu śvetacandanakuṅkumaiḥ // Mmk_44.122 //	su mRzwe sidDa ganDEH tu Svetacandana kuFkumEH // Mmc _44.122 //
   jātīkusumamālābhiḥ abhyarcya sugataṃ prabhum /	jAtI kusuma mAlABiH aByarcya sugatam praBum /
   śākyasiṃhaṃ mahāpuṇyaṃ sarvamantreśvaraṃ vibhum // Mmk_44.123 //	SAkya siMham mahA puNyam sarva mantreSvaram viBum // Mmc _44.123 //
   sarvajñaṃ sarvadā bhaktyā praṇipatya tathāgatam /	sarvajQam sarvadA BaktyA praNipatya taTAgatam /
   mantranāthaṃ ca lokeśaṃ vajriṇaṃ cāpi śaktitaḥ // Mmk_44.124 //	mantra nATam ca lokeSam vajriNam ca api Saktitas // Mmc _44.124 //
   mañjuśriyaṃ mahātmānaṃ dharmadhātveśvaraṃ gurum /	maQju Sriyam mahAtmAnam DarmaDAtveSvaram gurum /
   sarvaṃ buddhasutāṃ buddhāṃ anupūrvyā samāhitaḥ // Mmk_44.125 //	sarvam budDa sutAm budDAm anupUrvyA samAhitaH // Mmc _44.125 //
   kuśaviṇḍe pallave caiva sakṣīare sārdre suśobhane /	kuSaviNxe pallave ca eva sakzIare sArdre su SoBane /
   upaviṣṭaḥ prāṅmukhaḥ śuciḥ // Mmk_44.126 //	upavizwaH prAFmuKaH SuciH // Mmc _44.126 //
   udaṅmukhaḥ śāntikarme tu paścādāhvānane na mukhe /	udaFmuKaH SAnti karme tu paScAt Ahva Anane na muKe /
   na kuryuḥ sarvakarmāṇi yathādaivatamandirām // Mmk_44.127 //	na kuryuH sarva karmANi yaTA dEvata mandirAm // Mmc _44.127 //
   pravṛttaḥ sarvabhūteṣu dayāvāṃ mudrakarmaṇi /	pravRttaH sarva BUtezu dayAvAm mudra karmaNi /
   sarvatra yojitā mudrā kuryāt sarvasādhanam // Mmk_44.128 //	sarvatra yojitA mudrA kuryAt sarva sADanam // Mmc _44.128 //
   pūrvābhimukhe pauṣṭikaṃ karma mantrāṇāmānayane dhruvam /	pUrva aBimuKe pOzwikam karma mantrANAm Anayane Druvam /
   paścānmukhe tu kurvīta vaśyārthaṃ sarvabhautikam // Mmk_44.129 //	paScAt muKe tu kurvIta vaSya arTam sarva BOtikam // Mmc _44.129 //
   udaṅmukhe śāntikaṃ vindyāt sarvavyādhipraṇāśane /	udak muKe SAntikam vindyAt sarva vyADi praNASane /
   dakṣiṇe pāpakarmaṃ tu na kuryāt prāṇāntikaṃ sadā // Mmk_44.130 //	dakziNe pApa karmam tu na kuryAt prANAntikam sadA // Mmc _44.130 //
   ūrdhvaṃ vighnanāśaṃ tu uttiṣṭhottamasiddhidaḥ /	UrDvam viGna nASam tu uttizWa uttama sidDi daH /
   asurapure karma pātālādhipate tadā // Mmk_44.131 //	asura pure karma pAtAla aDipate tadA // Mmc _44.131 //
   (Vaidya 381)	(VEdyaH 381)
   aghomukhaśca kurvīta sarvatrāpratipūjitā /	aGomuKaH ca kurvIta sarvatra apratipUjitA /
   vidikṣu ca sarvatra yathā yathā ca samāsṛtā // Mmk_44.132 //	vidikzu ca sarvatra yaTA yaTA ca samAsRtA // Mmc _44.132 //
   teṣu teṣu kurvīta sidhyante sarvadehinām /	tezu tezu kurvIta siDyante sarva dehinAm /
   kuryāt sarvatra mudrāṇāṃ vidhihomasamā japī // Mmk_44.133 //	kuryAt sarvatra mudrANAm viDi homa samA japI // Mmc _44.133 //
   tatrasthāṃ siddhimāyānti tanmukhāścāpi mudritā /	tatrasTAm sidDim AyAnti tad muKAH ca api mudritAH /
   vidhiḥ śreṣṭhaḥ kathyatāṃ tāṃ nibodhatām // Mmk_44.134 //	viDiH SrezWaH kaTyatAm tAm niboDatAm // Mmc _44.134 //
   śucirvastraśucirbhūtvā sukhaśaucasamāhitaḥ /	SuciH vastraSuciH BUtvA suKa SOca samAhitaH /
   imāṃ mudrāṃ prayuñjīta sarvārthāṃ ca susamādhikām // Mmk_44.135 //	imAm mudrAm prayuQjIta sarva arTAm ca su sama aDikAm // Mmc _44.135 //
   hastāvuddhṛtya gandhaiśca śvetacandanakuṅkumaiḥ /	hastO= udDRtya ganDEH ca Svetacandana kuFkumEH /
   sudhūpaiḥ prāṇyaṅgarahitaiḥ karpūrāgarucandanaiḥ // Mmk_44.136 //	suDUpEH prANi aFga rahitEH karpUra agaru candanEH // Mmc _44.136 //
   yuktikuṅkumamukhyaiśca kuryāddhūmavaraṃ vidā /	yukti kuFkuma muKyEH ca kuryAt DUma varam vidA /
   nivedya vividhā karmāṃ ācared vidhivat sadā // Mmk_44.137 //	nivedya viviDA karmAm Acaret viDivat sadA // Mmc _44.137 //
   ācaret pūrvanirdiṣṭaṃ karmaṃ sarvatra kalpabhāṣitam /	Acaret pUrva nirdizwam karmam sarvatra kalpa BAzitam /
   prāṅmukho 'tha tato bhūtvā ubhau hastau susampuṭau // Mmk_44.138 //	prAFmuKaH aTa tatas BUtvA uBO hastO su sampuwO // Mmc _44.138 //
   miśrīkṛtāṃ tato 'nyonyāṃ aṅgulyā veṇitaḥ sthitau /	miSrIkRtAm tatas anyonyAm aFgulyA veNitaH sTitO /
   madhyamau kanyasau jyaṣṭhau anāmikāgrau ca yojitau // Mmk_44.139 //	maDyamO kanyasO jyazWO anAmika agrO ca yojitO // Mmc _44.139 //
   aṅguṣṭhau niścalau jñeyau samau cāpi pratiṣṭhitau /	aFguzWO niScalO jQeyO samO ca api pratizWitO /
   śirasthāne tadā kuryā lalāṭadeśe tu bhaktitaḥ // Mmk_44.140 //	Sira sTAne tadA kuryAH lalAwa deSe tu BaktitaH // Mmc _44.140 //
   namaskāraṃ tathā mantraṃ ṣaḍvarṇotha yojitām /	namaskAram taTA mantram zaz varNoTa yojitAm /
   om vākyeda namaḥ vākyaṃ svāhākāravarjitam // Mmk_44.141 //	om vAkyeda namaH vAkyam svAhAkAra varjitam // Mmc _44.141 //
   huṅkārāpagataṃ śreṣṭhaṃ phaṭkārāpagataṃ sadā /	huFkAra apagatam SrezWam PawkArApa gatam sadA /
   pavitraṃ maṅgalaṃ jyeṣṭhaṃ hṛdayaṃ tu sadā japet // Mmk_44.142 //	pavitram maFgalam jyezWam hRdayam tu sadA japet // Mmc _44.142 //
   eṣa mañjuvara śreṣṭhaṃ bālarūpisurūpiṇe /	eza maQjuvara SrezWam bAla rUpi surUpiNe /
   paścānme viśvarūpe tu hṛdayo 'yaṃ prakīrtyate // Mmk_44.143 //	paScAt me viSva rUpe tu hRdayaH ayam prakIrtyate // Mmc _44.143 //
   ṣaḍete ṣaḍakṣarā jñeyā mantrā śreṣṭhā hṛdayottamā /	zaw ete zaz akzarA jQeyA mantrA SrezWA hRdaya uttamA /
   teṣāmagratarā hyeṣā pravṛttaḥ sarvakarmasu // Mmk_44.144 //	tezAm agratarA hi ezA pravRttaH sarva karmasu // Mmc _44.144 //
   idaṃ mudrottamaṃ mantraṃ kuryāt sarvakarmasu /	idam mudrA uttamam mantram kuryAt sarva karmasu /
   mūrdhni sthāne dattvā lalāṭoddeśe tu yuktitaḥ // Mmk_44.145 //	mUrDni sTAne dattvA lalAwa uddeSe tu yuktitaH // Mmc _44.145 //
   madhyamāṅgulyaṃ tu cāled vaśyārthaṃ sārvabhautikam /	maDyama aFgulyam tu cAlet vaSya arTam sArvaBOtikam /
   aṅguṣṭhāgrāvubhau nāmyau ākṛṣṭārthaṃ ca devatām // Mmk_44.146 //	aFguzWa agrO= uBO nAmyO AkRzwa arTam ca devatAm // Mmc _44.146 //
   (Vaidya 382)	(VEdyaH 382)
   taireva visṛtau nityaṃ visarjyaṃ mantradevatām /	tEH eva visRtO nityam visarjyam mantradevatAm /
   madhyajyeṣṭhau tathā śrāvakāṃśca munivaram // Mmk_44.147 //	maDya jyezWO taTA SrAvakAn= ca muni varam // Mmc _44.147 //
   tarjanyau kuñcitau nityau bodhisattvāṃ kuliśodbhavām /	tarjanyO kuQcitO nityO boDisattvAm kuliSa udBavAm /
   daśabhūmyeśvarā ye ca āhvayante na saṃśayam // Mmk_44.148 //	daSa BUmyeSvarAH ye ca Ahvayante na saMSayam // Mmc _44.148 //
   kanyasāṅgulisaṃyuktā ākuñcyāt sarāhvaye /	kanyasA aFguli saMyuktAH AkuQcyAt sara Ahvaye /
   yakṣarākṣasapretāṃśca kūṣmāṇḍā kaṭapūtanām // Mmk_44.149 //	yakza rAkzasa pretAn= ca kUzmANxA kawa pUtanAm // Mmc _44.149 //
   daityadānavasaṅghāṃśca yakṣiṇyāśca dhanadapriyā /	dEtya dAnava saFGAn= ca yakziNyAH ca Danada priyA /
   mātṛvat kurute hyetāṃ mudreyaṃ samprapūjitā // Mmk_44.150 //	mAtR vat kurute hi etAm mudrA iyam samprapUjitAH // Mmc _44.150 //
   arthānarthāṃ tathā nityamiṣṭāniṣṭā phalapradām /	arTa anarTAm taTA nityam izwa anizwA Pala pradAm /
   mahāmudreti vikhyātā gīyate tṛbhavālaye // Mmk_44.151 //	mahAmudrA iti viKyAtA gIyate tRBava Alaye // Mmc _44.151 //
   eṣa mudramahāmudrā baddhā mūrdhasu paṇḍitaḥ /	eza mudra mahAmudrA badDA mUrDasu paNxitaH /
   adhṛṣyaḥ sarvabhūtānāṃ bhavate nātra saṃśayaḥ // Mmk_44.152 //	aDRzyaH sarva BUtAnAm Bavate na atra saMSayaH // Mmc _44.152 //
   dūrād dūraṃ namasyanti sarvavighnavināyakā /	dUrAt dUram namasyanti sarva viGna vinAyakAH /
   mahābrahmasamaṃ puṇyaṃ niyataṃ bodhimavāpnuyāditi // Mmk_44.153 //	mahA brahma samam puNyam niyatam boDim avApnuyAt iti // Mmc _44.153 //
   bodhisattvapiṭakāvataṃsakānmahāyānavaipulyasūtrāt āryamañjuśriyamūlakalpāt	boDisattva piwaka avataMsakAn mahAyAna vEpulya sUtrAt Arya maQju Sriya mUla kalpAt 
   dvicatvāriṃśatimaḥ mahāmudrāpaṭalavisaraḥ parisamāpta iti //	dvicatvAriMSatimaH mahAmudrA pawala visaraH parisamAptaH iti //
