   Sarva Tathāgata Tattva Saṅgrah	Sarva TaTAgataH Tattva SaFgrah
   athāsmin bhāṣitamātre mahāvajradharapādamūlān mahādevo [muktayitvā punaḥ	aTa asmin BAzita mAtre mahA vajraDara pAda mUlAt mahAdevaH [muktayitvA punar 
   saṃjīvīkṛtaḥ /] atha maheśvara[kāyaṃ tena tathāgatena saṃ]jīvamadhiṣṭhāya,	saMjIvIkRtaH /] aTa maheSvara[ kAyam tena taTAgatena saM]jIvam aDizWAya,
   svayauvarājyatāyāmatraiva lokadhātau sarvasatva[hitārthañca	sva yOva rAjya tAyAm atra eva lokaDAtO sarva satva[hita arTaQca
   duṣṭa]vinayārthaṃ ca pratiṣṭhāpitavāniti //	duzwa] vinaya arTam ca pratizWApitavAn iti //
   atha tato vajrapāṇi caraṇatalādimāṃ candrapādānnāma	aTa tatas vajrapANi caraNa talAt imAm candra pAdAt nAma
   sarvatathāgatabodhicittamudrāṃ [viniḥsṛtaḥ /] oṃ candrottare	sarva taTAgata boDi citta mudrAm [viniHsRtaH /] om candrottare
   samantabhadrakiraṇī mahāvajriṇi hūṃ //	samantaBadra kiraNI mahA vajriNi hUm //
   athāsya mudrābandho bhavati /	aTa asya mudrA banDaH Bavati /
   vajrabandhaṃ dṛḍhīkṛtya kaniṣṭhāṅguṣṭha[samotthā /	vajra banDam dRXIkRtya kanizWA aFguzWa[ sama utTA /
   samotthitvā susāritā candraprabheti] kīrtitā //	sama utTitvA su sAritA candra praBeti] kIrtitAH //
   athāsyāṃ viniḥsṛtamātrāyāṃ tata eva pādatalāc candrottara eva tathāgato	aTa asyAm viniHsRta mAtrAyAm tatas eva pAda talAt candrottaraH eva taTAgataH 
   [niścacāra, tasya maheśvarasya śire vajrapāṇi pādāvakrānte	[niScacAra, tasya maheSvarasya Sire vajrapANi pAda avakrAnte
   tadardhacandramūrdhanabhiṣikto, vajrapāṇervāmapārśve sthitaḥ / tataḥ]	tad arDacandra mUrDanaBizikto, vajrapANeH vAma pArSve sTitaH / tatas ]
   sarvatathāgatai[rvajrapāṇermitrasya pāṇau] vajraśūlaṃ datvā,	sarva taTAgatE[ru ajrapANeH mitrasya pANO] vajra SUlam datvA,
   vajravidyottamo vajravidyottama iti vajranāmābhiṣekeṇābhiṣiktaḥ //	vajra vidyA uttamaH vajra vidyA uttamaH iti vajra nAma aBizekeNa aBiziktaH //
   atha vajravidyottamo bodhisattvo [mahāsattvaśca] tena vajraśūlena	aTa vajra vidyA uttamaH boDisattvaH [mahAsattvaH ca] tena vajra SUlena
   cakraparivartanagatyā nṛtyopahārapūjāṃ kurvannidamudānamudānayāmāsa /	cakra parivartana gatyA nRtya upahAra pUjAm kurvan= idam udAnam udAnayAmAsa /
   aho hi sarvabuddhānāṃ bodhicittamanuttaraṃ /	aho hi sarva budDAnAm boDi cittam anuttaram /
   yatpādāgrasparśenāpi buddhatvaṃ prāpyate mayā // iti //	yad pAda agra sparSena api budDa tvam prApyate mayA // iti //
   atha vajrapāṇirmahābodhisatvaḥ, tato vajrakrodhasamādhervyutthāya,	aTa vajrapANiH mahAboDisatvaH, tatas vajra kroDa samADeH vyutTAya,
   bhagavantame[tāṃ vācamuvāca] / "ahaṃ bhagavaṃ sarvatathāgatairvajraṃ	Bagavantam e[tAm vAcam uvAca] / "aham Bagavam sarva taTAgatEH vajram
   pāṇibhyāṃ datvā vajrapāṇitvenābhiṣiktaḥ // tadeṣāṃ devādīnāṃ	pANiByAm datvA vajrapANi tvena aBiziktaH // tat ezAm deva AdInAm
   bāhyavajrakulānāmasmiṃ trilokavijayamahāmaṇḍale sthānaviniyogaṅkariṣyāmi /	bAhya vajra kulAnAm asmim triloka vijaya mahA maNxale sTAna viniyogaFkarizyAmi /
   yena te satvā avaivartikā bhaviṣyanti anuttarāyāṃ samyaksaṃbodhāv" iti //	yena te satvAH avEvartikAH Bavizyanti anuttarAyAm samyaksaMboDAv" iti //
   atha bhaga[vān vairocanas] tathāgato 'rhan samyaksaṃbuddha idaṃ	aTa Baga[vAn vErocanas] taTAgataH arhan samyaksaMbudDaH idam
   sarvatathāgatoṣṇīṣamudājahāra oṃ vajrasatvoṣṇīṣa huṃ phaṭ //	sarva taTAgata uzNIzam udAjahAraH om vajra satva uzNIza hum Paw //
   athāsmin bhāṣitamātre sarvatathāgatoṣṇī[ṣemyo viniḥsṛto	aTa asmin BAzita mAtre sarva taTAgata uzNI[zemyaH viniHsRtaH 
   bhagavadvajrapāṇivigrahaḥ, nānā]varṇaraśmayo bhūtvā, sarvalokadhātavo	Bagavat vajra pANi vigrahaH, nAnA ]varNa raSmayaH BUtvA, sarva loka DAtavaH 
   'vabhāsya, punarapi bhagavato vajrapāṇermūdham [anupariveṣṭitāḥ,	avaBAsya, punar api BagavataH vajrapANeH mUDam [anuparivezwitAH,
   sarvatathāgatoṣṇīṣatejorāśiṃ bhūtvā] sthitaḥ / atha tatastejorāśita idaṃ	sarva taTAgata uzNIza tejaH rASim BUtvA] sTitaH / aTa tatas tejaH rASitaH idam
   sarvatathāgatoṣṇīṣaṃ niścacāra / oṃ namassarvatathāga[toṣṇīṣa] tejorāśi	sarva taTAgata uzNIzam niScacAra / om namassarva taTAga[ta uzNIza] tejaH rASi
   anavalokitamūrdha hūṃ jvāla dhaka vidhaka dara vidara huṃ phaṭ //	anavalokita mUrDa hUm jvAla Daka viDaka dara vidara hum Paw //
   atha vajrapāṇirbodhisatvo mahāsatva idaṃ svavidyottamamudā[jahāra]oṃ	aTa vajrapANiH boDisatvaH mahAsatvaH idam sva vidyA uttamam udA[ja hAra ]om
   nisuṃbha vajra huṃ phaṭ //	nisuMBa vajra hum Paw //
   tataḥ punarapi vajrapāṇiḥ svahṛdayādidaṃ hṛdayamudājahāra oṃ ṭṭakki jjaḥ	tatas punar api vajrapANiH sva hRdayAt idam hRdayam udAjahAraH om wwakki jjaH
   atha vajragarbho bodhisatvo mahāsatva idaṃ svavidyottamamabhāṣat oṃ vajra	aTa vajragarBaH boDisatvaH mahAsatvaH idam sva vidyA uttamam aBAzat om vajra
   ratnottama jvālaya huṃ phaṭ //	ratna uttama jvAlaya hum Paw //
   atha vajranetro bodhisatvo mahāsatva idaṃ svavidyottamamabhāṣat oṃ	aTa vajra netraH boDisatvaH mahAsatvaH idam sva vidyA uttamam aBAzat om
   svabhāvaśuddha vajrapadma śodhaya sarvān vidyottama huṃ phaṭ //	svaBAva SudDa vajra padma SoDaya sarvAn vidyA uttama hum Paw //
   atha vajraviśvo bodhisattvo mahāsatva imaṃ svavidyottamamabhāṣat oṃ	aTa vajra viSvaH boDisattvaH mahAsatvaH imam sva vidyA uttamam aBAzat om
   vajrakarmottama vajradhara samayamanusmara suṃbhanisuṃbhākarṣaya	vajrakarma uttama vajraDara samayam anusmara suMBa nisuMBAkarzaya
   praveśayāveśaya bandhaya samayaṃ grahaya sarvakarmāṇi me kuru mahāsatva	praveSaya AveSaya banDaya samayam grahaya sarva karmANi me kuru mahA satva
   huṃ phaṭ //	hum Paw //
   atha vajravidyottamo bodhisatvo mahāsatva idaṃ svahṛdayaṃ bhagavato	aTa vajra vidyA uttamaH boDisatvaH mahAsatvaH idam sva hRdayam BagavataH 
   vajrapāṇeḥ pādavandanīyaṃ niryātayāmāsa oṃ suṃbha nisuṃbha vajravidyottama	vajrapANeH pAdavandanIyam niryAtayAmAsa om suMBa nisuMBa vajra vidyA uttama
   huṃ phaṭ //	hum Paw //
   atha krodhavajro vidyārājo bhagavataścaraṇayornipatyeda svahṛdayamadāt huṃ	aTa kroDa vajraH vidyA rAjaH BagavataH caraNayoH nipatyeda sva hRdayam adAt hum
   vajraśūla //	vajra SUlaH //
   atha māyāvajro vidyārājedaṃ svahṛdayamabhāṣat oṃ vajramāya vidarśaya sarva	aTa mAyA vajraH vidyA rAja idam sva hRdayam aBAzat om vajramAya vidarSaya sarva
   huṃ phaṭ //	hum Paw //
   atha vajraghaṇṭo vidyārājaḥ svahṛdayamadāt oṃ vajraghaṇṭa raṇa raṇa huṃ	aTa vajraGaNwaH vidyA rAjaH sva hRdayam adAt om vajra GaNwa raNa raNa hum
   phaṭ //	Paw //
   atha maunavajraḥ svahṛdayamadāt oṃ vajramauna mahāvrata huṃ phaṭ //	aTa mOna vajraH sva hRdayam adAt om vajram Ona mahAvrata hum Paw //
   atha vajrāyudhaḥ svahṛdayamadāt oṃ vajrāyudha dāmaka huṃ phaṭ //	aTa vajrAyuDaH sva hRdayam adAt om vajrAyuDa dAmaka hum Paw //
   vidyārājanakāḥ //	vidyA rAjanakAH //
   atha vajrakuṇḍalirvajrakrodho bhagavate vajrapāṇaye idaṃ svahṛdayaṃ	aTa vajra kuNxaliH vajra kroDaH Bagavate vajrapANaye idam sva hRdayam
   pādavandanīyaṃ niryātayāmāsa / oṃ vajrakuṇḍali mahāvajrakrodha guhṇa hana	pAdavandanIyam niryAtayAmAsa / om vajra kuNxali mahA vajra kroDa guhNa hana
   daha paca vidhvaṃsaya / vajreṇa mūrdhānaṃ sphālaya bhinda hṛdayaṃ	daha paca viDvaMsaya / vajreNa mUrDAnam sPAlaya Binda hRdayam
   vajrakrodha huṃ phaṭ //	vajra kroDa hum Paw //
   atha vajraprabho vajrakrodha idaṃ svahṛdayamadāt / oṃ vajraprabha māraya	aTa vajra praBaH vajra kroDaH idam sva hRdayam adAt / om vajrapraBa mAraya
   saumyakrodha huṃ phaṭ //	sOmya kroDa hum Paw //
   atha vajradaṇḍo vajrakrodhaḥ svahṛdayamadāt / oṃ vajradaṇḍa tanuya	aTa vajradaNxaH vajra kroDaH sva hRdayam adAt / om vajra daNxa tanuya
   sarvaduṣṭān mahākrodha huṃ phaṭ //	sarva duzwAt mahA kroDa hum Paw //
   atha vajrapiṅgalo vajrakrodha idaṃ svahṛdayamadāt / oṃ vajrapiṅgala	aTa vajra piFgalaH vajra kroDaH idam sva hRdayam adAt / om vajra piFgala
   bhīṣaya sarvaduṣṭān bhīmakrodha huṃ phaṭ //	BIzaya sarva duzwAn BIma kroDa hum Paw //
   vajrakrodhāḥ //	vajra kroDAH //
   atha vajraśauṇḍo gaṇapatirbhagavate vajrapāṇaye idaṃ hṛdayanniryātayati	aTa vajraSONxaH gaNapatiH Bagavate vajrapANaye idam hRdayat niryAtayati
   sma / oṃ vajraśauṇḍa mahāgaṇapati rakṣa sarvaduṣṭebhyo vajradharājñāṃ	sma / om vajra SONxa mahAgaNapati rakza sarva duzweByaH vajraDara AjQAm
   pālaya huṃ phaṭ /	pAlaya hum Paw /
   atha vajramāla idaṃ svahṛdayamadāt / oṃ vajramāla gaṇapataye mālayākarṣaya	aTa vajramAlaH idam sva hRdayam adAt / om vajra mAla gaNapataye mAlayA Akarzaya
   praveśayāveśaya bandhaya vaśīkuru māraya huṃ phaṭ //	praveSaya AveSaya banDaya vaSIkuru mAraya hum Paw //
   atha vajravaśī svahṛdayamadāt / oṃ vajravaśī mahāgaṇapate vaśīkuru huṃ	aTa vajra vaSI sva hRdayam adAt / om vajra vaSI mahAgaNapate vaSIkuru hum
   phaṭ //	Paw //
   atha vijayavajro gaṇapatiḥ svahṛdayamadāt / oṃ vajravijaya vijayaṃ kuru	aTa vijaya vajraH gaNapatiH sva hRdayam adAt / om vajravijaya vijayam kuru
   mahāgaṇapati huṃ phaṭ //	mahAgaNapati hum Paw //
   gaṇapa[tayaḥ //]	gaNa pa[tayaH //]
   atha vajramusalo vajradūta idaṃ svahṛdayaṃ vajrapāṇaye niryātayāmāsa / oṃ	aTa vajra musalaH vajra dUtaH idam sva hRdayam vajrapANaye niryAtayAmAsa / om
   vajramusala kṛṭṭa kuṭṭa sarvaduṣṭān vajradūtahuṃ phaṭ //	vajra musala kRwwa kuwwa sarva duzwAn vajradUta hum Paw //
   [atha vajrā]nilo dūtaḥ svahṛdayamadāt / oṃ vajrānila mahāvegānaya	[aTa vajra a]nilaH dUtaH sva hRdayam adAt / om vajra anila mahA vega Anaya
   sarvaduṣṭān huṃ phaṭ //	sarva duzwAn hum Paw //
   atha vajrānalo dūtaḥ svahṛdayamadāt / oṃ vajrānala mahādūta jvālaya sarva	aTa vajra analaH dUtaH sva hRdayam adAt / om vajra anala mahA dUta jvAlaya sarva
   bhasmīkuru sarvaduṣṭān huṃ phaṭ //	BasmIkuru sarva duzwAn hum Paw //
   atha vajrabhairavo dūtaḥ svahṛdayamadāt / oṃ vajrabhairava vajradūta	aTa vajraBEravaH dUtaH sva hRdayam adAt / om vajraBErava vajradUta 
   bhakṣaya sarvaduṣṭān mahāyakṣa huṃ phaṭ //	Bakzaya sarva duzwAn mahA yakza hum Paw //
   dūtāḥ //	dUtAH //
   atha vajrāṅkuśo vajraceṭa idaṃ svahṛdayaṃ bhagavate vajrapāṇaye	aTa vajrAFkuSaH vajra cewaH idam sva hRdayam Bagavate vajrapANaye
   niryātayāmāsa / oṃ vajraṅkuśākarṣaya sarva mahāceṭa huṃ phaṭ //	niryAtayAmAsa / om vajraFkuSa Akarzaya sarva mahA cewa hum Paw //
   atha vajrakālaḥ svahṛdayamadāt / oṃ vajrakāla mahāmṛtyumutpādaya huṃ phaṭ	aTa vajra kAlaH sva hRdayam adAt / om vajra kAla mahA mRtyum utpAdaya hum Paw 
   atha vajravināyakaḥ svahṛdayamadāt / oṃ vajravināyakāsya vighnaṃ kuru huṃ	aTa vajra vinAyakaH sva hRdayam adAt / om vajra vinAyaka asya viGnam kuru hum
   phaṭ //	Paw //
   atha nāgavajra idaṃ svahṛdayaṃ bhagavate vajrāpāṇaye pādavandanīyaṃ	aTa nAga vajraH idam sva hRdayam Bagavate vajra apANaye pAda vandanIyam
   niryatayāmāsa / oṃ nāgavajrānaya	niryatayAmAsa / om nAga vajrAnaya
   sarvadhanadhānyahiraṇyasuvarṇamaṇimuktālaṅkārādīni sarvopakaraṇāni	sarva Dana DAnya hiraNya suvarNa maNi muktA alaFkAra AdIni sarva upakaraNAni
   vajradhara samayamanusmarakaḍḍha gṛhṇa bandha hara hara prāṇān mahāceṭa	vajraDara samayam anusmara kaxXa gRhNa banDa hara hara prANAn mahA cewa
   huṃ phaṭ //	hum Paw //
   ceṭāḥ //	cewAH //
   atha vajrapāṇirmahābodhisatva idaṃ sarvavajrakulākarṣaṇasamayamudājahāra	aTa vajrapANiH mahA boDisatvaH idam sarva vajra kula AkarzaNa samayam udAjahAra
   oṃ vajrāṅkuśākarṣaya huṃ //	om vajra aFkuSa Akarzaya hum //
   tataḥ praveśanasamayamudājahāra huṃ vajrapāśākaḍḍha huṃ //	tatas praveSana samayam udAjahAra hum vajra pASA kaxXa hum //
   tataḥ samayabandhamudājahāra huṃ vajrasphoṭa vaṃ //	tatas samaya banDam udAjahAra hum vajrasPowa vam //
   tataḥ karmahṛdayamudājahāra oṃ vajrakarma sādhaya kṛt //	tatas karma hRdayam udAjahAraH om vajra karma sADaya kRt //
   Delineation of the mandala	Delineation of Te mandala
   atha vajrapāṇiridaṃ sarvavajrakulamahāmaṇḍalamabhāṣat /	aTa vajrapANiH idam sarva vajra kula mahA maNxalam aBAzat /
   athātaḥ saṃpravakṣyāmi mahāmaṇḍalamuttamaṃ /	aTa atas saMpravakzyAmi mahA maNxalam uttamam /
   dharmacakrapratīkāśaṃ sūtraye sarvamaṇḍalaṃ //	Darma cakra pratIkASam sUtraye sarva maNxalam //
   tatredaṃ sūtraṇahṛdayaṃ bhavati oṃ vajrasūtrākarṣaya sarvamaṇḍalān huṃ //	tatra idam sUtraNa hRdayam Bavati om vajra sUtra Akarzaya sarva maNxalAn hum //
   maṇḍalasya tu madhye vai vidhvā khadirakīlakaṃ /	maNxalasya tu maDye vE viDvA Kadira kIlakam /
   tatastu sūtraṃ dviguṇaṃ kṛtvā tena prasūtrayet //	tatas tu sUtram dviguNam kRtvA tena prasUtrayet //
   tatredaṃ kīlakahṛdayaṃ / oṃ vajrakīla kīlaya sarvavidhnān bandhaya hūṃ	tatra idam kIlaka hRdayam / om vajra kIla kIlaya sarva viDnAn banDaya hUm
   phaṭ //	Paw //
   catuḥsūtrasamāyuktaṃ sūtrayeccakramaṇḍalaṃ /	catur sUtra samAyuktam sUtrayet cakra maNxalam /
   bāhyatastasya niḥkramya dviguṇaṃ tu tathaiva ca // 1 //	bAhyatas tasya niHkramya dviguNam tu taTA eva ca // 1 //
   tasyāpi triguṇaṅkuryāt bāhyamaṇḍalasūtraṇaṃ /	tasya api triguNaFkuryAt bAhya maNxala sUtraNam /
   vidiśāścārayogena koṇarekhāstu sūtrayed // iti // 2 //	vidiSAH cAra yogena koNa reKA aH tu sUtrayet // iti // 2 //
   sūtraṇavidhiḥ /	sUtraNa viDiH /
   tatastu sūtraṇaṃ tattu raṅgaiḥ śuddhaistu pūrayet /	tatas tu sUtraNam tat tu raFgEH SudDEH tu pUrayet /
   vāmavajramahāmuṣṭyā prāgrekhāṃ tu yathāsukhaṃ //	vAma vajra mahAmuzwyA prAgreKAm tu yaTAsuKam //
   tatredaṃ raṅgahṛdayaṃ / oṃ vajraraṅga samaya hūṃ //	tatra idam raFga hRdayam / om vajraraFga samaya hUm //
   tato madhyasthito bhūtvā vajrācāryaḥ samāhitaḥ /	tatas maDya sTitaH BUtvA vajra AcAryaH samAhitaH /
   manasodghāṭayeccaiva vajradvāracatuṣṭayaṃ //	manasA udGAwayet ca eva vajra dvAra catuzwayam //
   tatredaṃ dvārodghāṭanahṛdayaṃ / oṃ vajrodghāṭanasamaya praviśa śīghraṃ	tatra idam dvAra udGAwana hRdayam / om vajra udGAwana samaya praviSa SIGram
   smara vajrasamaya huṃ phaṭ //	smara vajra samaya hum Paw //
   saurvarṇarājate vāpi mṛṇmaye vā sucitrite /	sOrvarNa rAjate vA api mRNmaye vA su citrite /
   iṣṭake tu caturaśre tu buddhabimbaṃ niveśayet //	izwake tu caturaSre tu budDa bimbam niveSayet //
   tatredaṃ sarvabuddhahṛdayaṃ[bha]vati / oṃ sarvavid //	tatra idam sarva budDa hRdayaM[Ba]vati / om sarva vid //
   buddhasya sarvataḥ kuryanmahāsatvacatuṣṭayaṃ /	budDasya sarvatas kuryat mahA satva catuzwayam /
   trilokavijayaṃ kurvan vajrāpāṇiṃ puraḥsthitaṃ //	triloka vijayam kurvan vajrApANim puras sTitam //
   tatraitāni mahāsatvacatuṣṭayahṛdayāni bhavanti /	tatra etAni mahAsatva catuzwaya hRdayAni Bavanti /
   oṃ suṃbha nisuṃbha huṃ gṛṇha gṛṇha huṃ gṛṇha pya huṃ ānaya ho bhagavan	om suMBa nisuMBa hum gRNha gRNha hum gRNha pya hum Anaya ho Bagavan
   vajra huṃ phaṭ // 1 //	vajra hum Paw // 1 //
   oṃ vajrabhṛkuṭi krodhānaya sarvaratnān hīḥ phaṭ // 2 //	om vajraBRkuwi kroDa Anaya sarva ratnAn hIH Paw // 2 //
   oṃ vajradṛṣṭi krodhadṛṣṭyā māraya huṃ phaṭ // 3 //	om vajra dRzwi kroDa dRzwyA mAraya hum Paw // 3 //
   oṃ vajraviśva krodha kuru sarvaṃ viśvarūpatayā sādhaya hūṃ phaṭ // 4 //	om vajra viSva kroDa kuru sarvam viSva rUpa tayA sADaya hUm Paw // 4 //
   praveśenniṣkramedvāpi sutrādhastānmanogataṃ /	praveSet nizkramet vA api sutra aDastAt manogatam /
   vajravega iti khyātastena rekhāṃ samākramed // iti //	vajravegaH iti KyAtaH tena reKAm samAkramet // iti //
   tatredaṃ vajravegahṛdayaṃ / vajravega //	tatra idam vajra vega hRdayam / vajra vega //
   vajravegena niḥkramya prathamaṃ maṇḍalaṃ tathā /	vajra vegena niHkramya praTamam maNxalam taTA /
   yathāvadanupūrveṇa vajramāyādayo likhet //	yaTAvat anupUrveNa vajra mAyA AdayaH liKet //
   tatraiṣāṃ samayahṛdayāni bhavanti /	tatra ezAm samaya hRdayAni Bavanti /
   oṃ vajracakra hūṃ // 1 //	om vajracakra hUm // 1 //
   oṃ vajraghaṇṭa hūṃ // 2 //	om vajra GaNwa hUm // 2 //
   oṃ vajradaṇḍakāṣṭha hūṃ // 3 //	om vajra daNxa kAzWa hUm // 3 //
   oṃ vajrāyudha hūṃ // 4 //	om vajrAyuDa hUm // 4 //
   vajravegena cākramya dvitīyaṃ maṇḍalaṃ tathā /	vajra vegena ca Akramya dvitIyam maNxalam taTA /
   vajrakuṇḍalipūrvāṃstu vajrakodhānniveśayet //	vajra kuNxali pUrvAn= tu vajra koDAn niveSayet //
   tatraiṣāṃ hṛdayāni bhavanti /	tatra ezAm hRdayAni Bavanti /
   oṃ prajvalita pradīptavajra hūṃ // 1 //	om prajvalita pradIpta vajra hUm // 1 //
   oṃ vajrasaumya hūṃ // 2 //	om vajra sOmya hUm // 2 //
   oṃ vajradaṇḍa hūṃ // 3 //	om vajra daNxa hUm // 3 //
   oṃ vajravikṛta huṃ // 4 //	om vajra vikRta hum // 4 //
   tatastu vajravegena likhed dvāracatuṣṭaye /	tatas tu vajra vegena liKet dvAra catuzwaye /
   vajraśauṇḍādayaḥ sarve yathāvadanupūrvaśaḥ //	vajra SONxa AdayaH sarve yaTAvat anupUrvaSas //
   tatraiṣāṃ samayahṛdayāni bhavanti /	tatra ezAm samaya hRdayAni Bavanti /
   oṃ vajramada huṃ //	om vajramada hum //
   oṃ vajramāle hūṃ //	om vajra mAle hUm //
   oṃ vajrārtha hūṃ //	om vajra arTa hUm //
   oṃ vajrāśi hūṃ //	om vajra ASi hUm //
   vajravegena cākramya tṛtīye maṇḍale likhet /	vajra vegena ca Akramya tRtIye maNxale liKet /
   yathāvadanupūrveṇa sa vajramusalādayaḥ //	yaTAvat anupUrveNa sa vajra musala AdayaH //
   tatraiṣāṃ hṛdayāni bhavanti /	tatra ezAm hRdayAni Bavanti /
   oṃ vajramusala hūṃ //	om vajra musala hUm //
   oṃ vajrapaṭa hūṃ //	om vajrapawa hUm //
   oṃ vajrajvāla hūṃ //	om vajra jvAla hUm //
   oṃ vajragraha hūṃ //	om vajra graha hUm //
   vajravegena cākramya caturthe maṇḍale likhet /	vajra vegena ca Akramya caturTe maNxale liKet /
   vajrāṅkuśādayaśceṭā yathāvadanupūrvaśaḥ //	vajra aFkuSa AdayaH cewAH yaTAvat anupUrvaSas //
   tatraiṣāṃ hṛdayāni bhavanti //	tatra ezAm hRdayAni Bavanti //
   oṃ vajradaṃṣṭra hūṃ //	om vajra daMzwra hUm //
   oṃ vajrāmāraṇa hūṃ //	om vajrA mAraNa hUm //
   oṃ vajravidhna hūṃ //	om vajra viDna hUm //
   oṃ vajraharaṇa huṃ //	om vajra haraNa hum //
   vajravegena niḥkramya bāhyamaṇḍale saṃsthitā /	vajra vegena niHkramya bAhya maNxale saMsTitA /
   yathāvadanupūrveṇa saṃlikhetsarvamātaraḥ // 1 //	yaTAvat anupUrveNa saMliKet sarva mAtaraH // 1 //
   vajradvāreṣu sarveṣu dvārapālāsta eva tu /	vajra dvArezu sarvezu dvArapAlAH te eva tu /
   ataḥ paraṃ pravakṣyāmi yathāvadvidhivistaram // 2 // iti //	atas param pravakzyAmi yaTAvat viDi vistaram // 2 // iti //
   athātra trilokacakramahāmaṇḍale ākarṣaṇādikarma kṛtvā, svayaṃ vajrācāryo	aTa atra tri loka cakra mahA maNxale AkarzaNa Adi karma kRtvA, svayam vajra AcAryaH 
   vajrakrodhaterintirimudrāṃ badhvā, evaṃ brūyād, "ahante	vajra kroDateH intirimudrAm baDvA, evam brUyAd, "ahante
   vajrasamayajñānamutpādayiṣyāmi / tattvayā na kasyacidvaktavyaṃ / mā te	vajra samaya jQAnam utpAdayizyAmi / tattvayA na kasyacid vaktavyam / mA te
   viṣamā parihāreṇa kālakriyayā narakapatanaṃ syād," idamuktvedaṃ	vizamA parihAreNa kAla kriyayA naraka patanam syAt ," idam uktvA idam
   śapathahṛdayaṃ dadyāt / vajrakrodhaterintirimudrāṃ badhvā darśayet "ayaṃ	SapaTa hRdayam dadyAt / vajra kroDateH intirimudrAm baDvAH darSayet "ayam
   vajrakrodhasamayaste sandahet kulan, murdhādārabhya kāyaṃ tu nāśayet,	vajra kroDa samayaH te sandahet kulan, murDAt AraBya kAyam tu nASayet,
   yadyatikramet samayaṃ bandhaya" //	yadi atikramet samayam banDaya" //
   tato vajradhāri karmamudrāṃ bandhayedanena hṛdayena oṃ sarvatathāgata	tatas vajraDAri karma mudrAm banDayet anena hRdayena om sarva taTAgata
   vajradhara gṛhṇa bandha samaya hūṃ //	vajraDara gRhNa banDa samaya hUm //
   athāsyā mudrāyā bandho bhavati /	aTa asyAH mudrAyAH banDaH Bavati /
   kaniṣṭhāṅguṣṭhabandho tu hastau dvāvadharottarau /	kanizWA aFguzWa banDo tu hastO dvO= aDara uttarO /
   mudreyaṅkarmasamaya[vajrabandheti] kīrtitā //	mudreyaFkarma samaya[vajra banDa iti] kIrtitAH //
   tato vajra odakenābhiṣiñcedanena hṛdayena oṃ vajrābhiṣekābhiṣiñca	tatas vajraH odakena aBiziQcet anena hRdayena om vajra aBizeka aBiziQca
   vajradharatve samaya gra gra //	vajraDara tve samaya gra gre //
